   śrīḥ /	SrIH /
   tannirarthakamāpadyetādhyātmaśāstraṃ tattvamasimahāvākyaṃ vetyarthaḥ /	tad-nirarTakam-Apadyeta-aDyAtma-SAstram tattvam-asi-mahA-vAkyam vA-iti-arTaH /
   etenāvidyākṛtāntaḥkaraṇabheda eva jīveśvarabhāvakalpakopādhiścinmātre	etena-avidyA-kRta-antaHkaraNa-BedaH eva jIva-ISvara-BAva-kalpaka-upa-ADiH-cit-mAtre
   ityapi parastam /	iti-api paraH-tam /
   avidyāyā evāsambhavāttatreti bodhyam // 58 //	avidyAyAH eva-asamBavAt-tatra-iti boDyam // 58 //
   etena satyakāmatvajagatkāraṇatādayaḥ /	etena satya-kAma-tva-jagat-kAraNa-tA-AdayaH /
   mā ... pare ( māyopādhau pare )'dhyastāḥ śokamohadayaḥ punaḥ // 59 //	mA ... pare ( mAyA-upADO pare )-aDyastAH Soka-moha-dayaH punar // 59 //
   avidyopādhike jīve vināśe neti yanmatam /	avidyA-upADike jIve vinASe na-iti yat-matam /
   kṣudrabrahmavidāmetanmataṃ prāgeva dūṣitam // 60 //	kzudra-brahma-vidAm-etat-matam prAk-eva dUzitam // 60 //
   cinmātre brahmaṇyavidyānvayānupapattiparyālocanayā kaiścidadvaitibhiḥ	cit-mAtre brahmaNi-avidyA-anvaya-anupapatti-paryAlocanayA kEScid-advEtiBiH
   kalpitaṃ māyāvidyopādhibhedaṃ tata eveśeśitavyabhedaṃ	kalpitam mAyA-vidyA-upADi-Bedam tatas eva-ISa-ISitavyaBedam
   cāparamārthamupapādyamānaṃ nirasyatieteneti /	ca-aparama-arTam-upapAdyamAnam nirasyatietena-iti /
   etena-nirdhūtatrividhabhede cinmātre māyāvidyopādhibhedāsiddhyaiva /	etena--nirDUta-triviDa-Bede cit-mAtre mAyA-vidyA-upADi-Beda-asidDyA-eva /
   māyopādhau-māyopahitacinmātre pare-īśvare /	mAyA-upADO--mAyA-upahita-cit-mAtre pare-ISvare /
   vināśeneti /	vinASena-iti /
   tattvamasivākyajanyaikyasākṣātkāreṇa māyāvidyopādhināśe tatkalpita	tattvam-asi-vAkya-janyA-Ekya-sAkzAtkAreNa mAyA-vidyA-upADi-nASe tad-kalpita
   īśajīvabhāvo 'pi nivṛtto nāvatiṣṭhata ityarthaḥ /	ISa-jIva-BAvaH api nivRttaH na-avatizWate iti-arTaH /
   prāgeva dūṣitamiti /	prAk-eva dUzitam-iti /
   etaddūṣaṇabhāgo viluptaḥ /	etad-dUzaNa-BAgaH viluptaH /
   aparamārthatvenābhimatayostayoḥ kalpakābhāvādasiddhireva /	aparamArTa-tvena-aBimatayoH-tayoH kalpakA-BAvAt-asidDiH-eva /
   svataḥkalpanāyāmātmāśrayaḥ /	svatas-kalpanAyAm-Atma-ASrayaH /
   brahmaṇa eva tatkalpakatve brahmasvarūpasya	brahmaNaH eva tad-kalpaka-tve brahma-svarUpasya
   nityatvāttayornityatvaprasaktiḥ /	nitya-tvAt-tayoH-nitya-tva-prasaktiH /
   aikyajñānena nivṛttyupagame 'pi tasya kṣaṇikatvādeva punarapi	Ekya-jQAnena nivRtti-upagame api tasya kzaNika-tvAt-eva punar-api
   brahmasvarūpabalāttayoḥ kalpanāprasaṅgaḥ /	brahma-svarUpa-balAt-tayoH kalpanA-prasaFgaH /
   kiñca māyāyā bhrāntijanakatve duḥkhādijanakatve cāvidyāto vibhāgāsiddhiḥ /	kiQca mAyAyAH BrAnti-janaka-tve duHKa-Adi-janaka-tve ca-avidyAtaH viBAga-asidDiH /
   tasyā yathārthabuddhijanakatve krīḍārasamātraparikaratve	tasyAH yaTA-arTa-budDi-janaka-tve krIxA-rasa-mAtra-parikara-tve
   cāpuruṣārthatvāyogāttannirasanānupapattiḥ /	ca-Apuruza-arTa-tva-ayogAt-tad-nirasana-anupapattiH /
   anādibhāvarūpāyāstasyā jñānamātrato nirasanāyogaścetyādi	anAdi-BAva-rUpAyAH-tasyAH jQAna-mAtrataH nirasana-ayogaH-ca-ityAdi
   dūṣaṇamanusandheyam /	dUzaNam-anusanDeyam /
   avidyāyā eva bahusaṃmatatvānmāyāvidyopādhibhedavādino 'mī kṣudrā	avidyAyAH eva bahu-saMmata-tvAt-mAyA-vidyA-upADi-Beda-vAdinaH amI kzudrA
   brahmavido 'dvaitiṣviti ca bodhyam // 59 //60 //	brahma-vidaH advEtizu-iti ca boDyam // 59 //60 //
   citsvarūpe viśiṣṭe vā māyāvidyādyupādhayaḥ /	cit-svarUpe viSizwe vA mAyA-vidyA-Adi-upADayaH /
   pūrvasmin sarvasāṅkaryaṃ parajīvāvibhāgataḥ // 61 //	pUrvasmin sarvasAFkaryam para-jIva-aviBAgataH // 61 //
   uttarasminnapi tathā viśiṣṭamapi cidyadi /	uttarasmin=-api taTA viSizwam-api cit-yadi /
   citsvarūpaṃ hi nirbhedaṃ māyāvidyādyupādhibhiḥ /	cit-svarUpam hi nirBedam mAyA-vidyA-Adi-upADiBiH /
   vibhinnamiva vibhrāntaṃ viśiṣṭaṃ ca ... (mataṃ tava ) // 62 //	viBinnam-iva viBrAntam viSizwam ca ... (matam tava ) // 62 //
   upādhibhedopagamāsambhava ityuktam /	upADi-Beda-upagamA-samBavaH iti-uktam /
   tadupagamena dūṣaṇāntaraṃ cocyate citsvarūpe iti /	tad-upagamena dUzaNa-antaram ca-ucyate cit-svarUpe iti /
   kiṃ cinmātremāyāvidyādyupādhayaḥ saṃbandhante, uta viśiṣṭe /	kim cit-mAtremAyA-vidyA-Adi-upADayaH saMbanDante, uta viSizwe /
   niraṃśe cinmātre māyāvidyāsambandhe tatprayuktasvabhāvabhedā ekasminneva	niraMSe cit-mAtre mAyA-vidyA-sambanDe tad-prayukta-svaBAva-BedAH ekasmin=-eva
   prasajyante iti jīveśvarasvabhāvasāṅkaryaprasaṅgaḥ /	prasajyante iti jIva-ISvara-svaBAva-sAFkarya-prasaFgaH /
   viśiṣṭe cet kiṃ tadviśeṣaṇam ? māyāvidyā ceti cedātmāśrayaḥ,	viSizwe ced kim tad-viSezaNam ? mAyA-avidyA ca-iti ced-Atma-ASrayaH,
   jīvatveśvaratve iti cedanyonyāśrayaḥ, anyattu viśeṣaṇaṃ durvacameva /	jIvatvA-ISvara-tve iti ced-anyonya-ASrayaH, anyat-tu viSezaNam durvacam-eva /
   kiñca māyayāvidyayā vā saṃvitsvarūpasya cchedāsambhavādekameva	kiQca mAyayA-avidyayA vA saMvid-svarUpasya cCeda-asamBavAt-ekam-eva
   tattadupahitaṃ bhavedgaganamiva maṭhāntavartighaṭena maṭhena copahitam /	tat-tad-upahitam Bavet-gaganam-iva maWa-anta-varti-Gawena maWena ca-upahitam /
   tathā ca hastapādādyavacchinnasukhaduḥkhabhoga ekasyaiva yathā jīvasya,	taTA ca hasta-pAda-Adi-avacCinna-suKa-duHKa-BogaH ekasya-eva yaTA jIvasya,
   tathā tattadupādhiprayuktaiśvaryaduḥkhādibhoga ekasyaiva brahmaṇaḥ	taTA tad-tad-upADi-prayukta-ESvarya-duHKa-Adi-BogaH ekasya-eva brahmaNaH
   prasajyata iti jīvaparasvabhāvāvyavasthitirevetyarthaḥ // 61 //62 //	prasajyate iti jIva-para-svaBAva-avyavasTitiH-eva-iti-arTaH // 61 //62 //
   taṭasthāvasthitā dharmāḥ svarūpaṃ na spṛśanti kim /	tawasTa-avasTitAH DarmAH svarUpam na spRSanti kim /
   na hi daṇḍiśiraśchedāddevadatto na hiṃsitaḥ // 63 //	na hi daNxiSiraH-CedAt-devadattaH na hiMsitaH // 63 //
   nanvaupādhikapradeśabhedopagamādbrahmaṇi na jīveśasvabhāvasāṅkaryamiti	nanu-OpADika-pradeSa-Beda-upagamAt-brahmaNi na jIveSa-svaBAvasAFkaryam-iti
   cettatrāhataṭastheti /	ced-ta-trAha-tawa-sTA-iti /
   māyayāvidyayā vopahitaṃ taṭasthamityucyate brahma /	mAyayA-avidyayA vA-upahitam tawasTam-iti-ucyate brahma /
   tanniṣṭhasya sārvajñyāderajñatvādeśca daṇḍena kuṇḍalena vopahite	tad-nizWasya sArvajQyAdeH-ajQa-tva-AdeH-ca daNxena kuNxalena vA-upahite
   kādācitkadaṇḍādiviśeṣaṇavattayā taṭasthaśabdite devadatte vartamānasya	kAdAcid-ka-daNxa-Adi-viSezaNavat-tayA tawasTa-Sabdite devadatte vartamAnasya
   sukhasya duḥkhasya ca devadattātmanīva brahmaṇi sambandho durvāra eveti	suKasya duHKasya ca devadatta-Atmani-iva brahmaNi sambanDaH durvAraH eva-iti
   bhāvaḥ /	BAvaH /
   tatrānanditvaprasaṅgasya sahyatvātkathañcihuḥkhitvasyāsahyasya prasaṅge	tatra-Ananditva-prasaFgasya sahya-tvAt-kaTaQci-huHKitvasya-asahyasya prasaFge
   nidarśanamāhanahīti /	nidarSanam-Ahana-hi-iti /
   upādhibhede 'pi viruddhasamāveśaprasaṅgo durvāraḥ /	upADi-Bede api virudDa-samAveSa-prasaFgaH durvAraH /
   vastubhedamantarā kalpitapradeśabhedamātreṇa vyavasthā durghaṭā /	vastu-Bedam-antarA kalpita-pradeSa-Beda-mAtreNa vyavasTA durGawAH /
   tathāca māyāvidyopādhibhe dakalpanāpārtheti sthitam // 63 //	taTA-ca mAyA-vidya-upADi-Be dakalpanA-apArTa-iti sTitam // 63 //
   acidaṃśavyapohena cidekapariśeṣatā /	acit-aMSa-vyapohena cit-eka-pariSeza-tA /
   atastattvamasītyāderartha ityapyasundaram // 64 //	atas-tat-tvam-asi-iti-AdeH-arTaH iti-api-asundaram // 64 //
   ( iti tattvamasivākyasya parābhimatabrahmātmaikyaparatve	( iti tattvam-asi-vAkyasya para-aBimata-brahma-Atma-Ekya-paratve
   'nupapattyupapādanam ) etena māyāvidyopādhirūpaviśeṣaṇabhedaparityāgena	anupapatti-upapAdanam ) etena mAyA-vidyA-upADi-rUpa-viSezaNa-Beda-parityAgena
   viśeṣyībhūtacinmātraikyaṃ tattvamasivākyārtha ityapi	viSezyIBUta-cit-mAtra-Ekyam tattvam-asi-vAkya-arTaH iti-api
   nirastamityāhaacidaṃśeti /	nirastam-iti-Ahaa-cit-aMSa-iti /
   padadvayalakṣaṇā, brahmaṇyeva doṣāpattiścetyuktametāvatā // 64 //	pada-dvaya-lakzaNA, brahmaNi-eva doza-ApattiH-ca-iti-uktam-etAvatA // 64 //
   abrahmānātmatābhāve pratyak cit pariśiṣyate /	abrahmAn-Atma-tA-aBAve pratyak cit pariSizyate /
   tattvaṃpadadvayaṃ jīvaparatādātmyagocaram /	tat-tvaMpada-dvayam jIva-para-tAdAtmya-gocaram /
   tanmukhyavṛtti tādātmyamapi vastudvayāśrayam // 65 //	tad-muKya-vRtti tAdAtmyam-api vastu-dvaya-ASrayam // 65 //
   atha paramate sāmānādhikaraṇyārthasya	aTa para-mate sAmAna-aDikaraNya-arTasya
   tādātmyasyāpyanupapattimupapādayatiabrahmeti /	tAdAtmyasya-api-anupapattim-upapAdayatia-brahma-iti /
   brahmabhinnasyānātmatve tattvaṃpadadvayalakṣyārtha eka pratyaktatvaṃ	brahma-Binnasya-anAtma-tve tattvaMpada-dvaya-lakzya-arTaH eka pratyakta-tvam
   cinmātramava śiṣyate /	cit-mAtram-ava Sizyate /
   tatra ca samānādhikaraṇavākyārthasya tādātmyasyanupapattirityarthaḥ /	tatra ca samAna-aDikaraNa-vAkya-arTasya tAdAtmyasi-anupapattiH-iti-arTaH /
   atrottarārdhaṃ viluptamityūhyate /	atra-uttara-arDam viluptam-iti-Uhyate /
   taccaekaśeṣe tu tādātmyaṃ cinmātre naiva sambhavet iti syāt /	tat-caeka-Seze tu tAdAtmyam cit-mAtre na-eva samBavet iti syAt /
   ekaśeṣe tādātmyānupapattimeva vivṛṇotitattvamiti /	eka-Seze tAdAtmya-anupapattim-eva vivRNoti-tattvam-iti /
   samānādhikaraṇamiti śeṣaḥ /	samAna-aDikaraNam-iti SezaH /
   tasya mukhyavṛttiryatra tat tanmukhyavṛtti /	tasya muKya-vRttiH-yatra tat tad-muKya-vRtti /
   vastudvayāśrayamiti /	vastu-dvaya-ASrayam-iti /
   bhedasamānādhikaraṇābhedasya tādātmyasyātyantāyābhede 'sambhava iti bhāvaḥ	Beda-samAna-aDikaraNa-aBedasya tAdAtmyasya-atyantAya-aBede asamBavaH iti BAvaH
   atra yādavaprakāśaprakriyayā bhāṭṭaprakriyayā vā nirūpyate tādātmyamiti	atra yAdava-prakASa-prakriyayA BAwwa-prakriyayA vA nirUpyate tAdAtmyam-iti
   bodhyam /	boDyam /
   siddhānte tuvastudvayāśrayamityasya	sidDAnte tuvastu-dvaya-ASrayam-iti-asya
   pravṛttinimittadharmabhedavadekavastvāśritamityarthaḥ /	pravRtti-nimitta-Darma-Beda-vat-ekavastu-ASritam-iti-arTaH /
   dharmadvārakabhedaviśiṣṭasvarūpābheda eva ca tādātmyaṃ matamiti vivekaḥ //	Darma-dvAraka-Beda-viSizwa-svarUpa-aBedaH eva ca tAdAtmyam matam-iti vivekaH //
   bhedābhedavikalpastu yastvayā paricoditaḥ /	Beda-aBeda-vikalpaH-tu yaH-tvayA paricoditaH /
   abhedābhedino 'satye bandhe sati nirarthakaḥ // 66 //	aBeda-aBedinaH asatye banDe sati nirarTakaH // 66 //
   nanu bhedābhedastādātmyamiti na saṃbhavati /	nanu Beda-aBedaH-tAdAtmyam-iti na saMBavati /
   bhedābhedayorabhede 'tyantabhede 'pi bhedābhedasyāsiddheḥ /	Beda-aBedayoH-aBede atyanta-Bede api Beda-aBedasya-asidDeH /
   bhedābhede vā tatrāpi tathetyanavastheti cettatrāhabhedābhedeti /	Beda-aBede vA tatra-api taTA-iti-anavasTA-iti ced-tatra-ahaBeda-aBeda-iti /
   ayaṃ vikalpanaprakāro nopalabhyamānagranthabhāge 'sti /	ayam vikalpana-prakAraH na-upalaByamAna-granTa-BAge asti /
   tadbhāgo viluptaḥ syādvā /	tad-BAgaH viluptaH syAt-vA /
   bhinnayostādātmyamutābhinnayoḥ /	BinnayoH-tAdAtmya-muta-aBinnayoH /
   ādye ghaṭaḥ paṭa iti prasajyate /	Adye GawaH pawaH iti prasajyate /
   antye ghaṭo ghaṭa itīti vā bhedābhedavikalpo bodhyaḥ /	antye GawaH GawaH iti-iti vA Beda-aBeda-vikalpaH boDyaH /
   abhedābhedinaḥ-bhedābhedibhinnasya, atyantabhinnasyātyantābhinnasya vā	aBeda-aBedinaH--Beda-aBedi-Binnasya, atyanta-Binnasya-atyanta-aBinnasya vA
   bandhe - tādātmyasambandhe asati-aprāmāṇike sati bhavatkṛto 'yaṃ vikalpo	banDe  tAdAtmya-sambanDe asati-a-prAmANike sati Bavat-kRtaH ayam vikalpaH-
   'pārtha ityarthaḥ /	apArTaH iti-arTaH /
   na hi ghaṭo ghaṭa iti vā ghaṭaḥ paṭa iti vā sāmānādhikaraṇyaṃ dṛṣṭam /	na hi GawaH GawaH iti vA GawaH pawaH iti vA sAmAnADikaraNyam dRzwam /
   kintu nīlo ghaṭa ityeva /	kintu nIlaH GawaH iti-eva /
   tadbhedābheda eva tādātmya meṣṭavyam /	tad-Beda-aBedaH eva tAdAtmya mezwavyam /
   bhedābhedayorbheda eva /	Beda-aBedayoH-BedaH eva /
   na ca bhede tayorvirodhādekatra samāveśo na ghaṭata iti vācyam ,	na ca Bede tayoH-viroDAt-ekatra samAveSaH na GawataH iti vAcyam ,
   nīlaghaṭayoḥ pratītatvādeva tayorvirodhābhāvāt /	nIla-GawayoH pratIta-tvAt-eva tayoH-viroDa-aBAvAt /
   dharmato bhedaḥ svarūpato 'bheda iti vāvirodha iti bhāvaḥ // 66 //	DarmataH BedaH svarUpataH aBedaH iti vA-aviroDaH iti BAvaH // 66 //
   abhedo bhedamardī tu svāśrayībhūtavastunoḥ /	aBedaH Beda-mardI tu sva-ASrayIBUta-vastunoH /
   bhedaḥ parasparānātmyaṃ bhāvānāmevametayoḥ // 67 //	BedaH paraspara-anAtmyam BAvAnAm-evam-etayoH // 67 //
   svarūpamabhyupetyaiva bhedābhedavikalpayoḥ /	svarUpam-aByupetya-eva Beda-aBeda-vikalpayoH /
   bhedābhedaṃ vikalpayataḥ svavyāghāto 'pītyāhaabheda iti ślokadvayena /	Beda-aBedam vikalpayataH sva-vyAGAtaH api-iti-Ahaa-BedaH iti Sloka-dvayena /
   bhedamardītiiti kvacitpāṭhaḥ /	Beda-m-ardI-itiiti kvacid-pAWaH /
   tatra itiśabdasya evamityanenānvayaḥ ityevamiti /	tatra iti-Sabdasya evam-iti-anena-anvayaH iti-evam-iti /
   bhedamardī-atyantabhedanirāsakaḥ /	Beda-mardI-atyanta-Beda-nirAsakaH /
   etayoḥ-bhedābhedayoḥ svarūpaṃ svarūpabhedamupagamyaiva bhedo 'bhedo veti	etayoH-Beda-aBedayoH svarUpam svarUpa-Bedam-upagamya-eva BedaH aBedaH vA-iti
   vikalpakoṭyorbādhanaṃ dūṣaṇaṃ kriyate /	vikalpa-kowyoH-bADanam dUzaNam kriyate /
   tenasvābhyugamena, vāgbādhā-bhavaduktadūṣaṇavacanoparodhaḥ /	tena-sva-aByugamena, vAc-bADA--Bavat-ukta-dUzaNa-vacana-uparoDaH /
   prasajyata iti śeṣaḥ /	prasajyate iti SezaH /
   tvaṃ ca svābhyupagamaviruddhavacanatvena nigṛhyasa ityarthaḥ // 67 //68 //	tvam ca sva-aByupagama-virudDa-vacana-tvena nigRhyasaH iti-arTaH // 67 //68 //
   bhinnābhinnatvasambandhasadasattvavikalpanam /	Binna-aBinna-tva-sambanDa-sada-sattva-vikalpanam /
   pratyakṣānubhāvāpāstaṃ kevalaṃ kaṇṭhaśoṣaṇam // 69 //	pratyakza-anuBAva-apAstam kevalam kaNWa-SozaNam // 69 //
   bhinnābhinnatveti /	Binna-aBinna-tvA-iti /
   bhinnābhinnatvasya dharmiṇā sambandho 'sti na vā /	Binna-aBinna-tvasya DarmiNA sambanDaH asti na vA /
   ādye tatsambandhe 'pi sambandhāntaraṃ vācyam /	Adye tad-sambanDe api sambanDa-antaram vAcyam /
   tatrāpi tathetyanavasthā /	tatra-api taTA-iti-anavasTA /
   antye asambaddhasya viśiṣṭabuddhinirvāhakatvaṃ tasya na syāditi	antye asambadDasya viSizwa-budDi-nirvAhaka-tvam tasya na syAt-iti
   vikalpanamapi kaṇṭhaśoṣaṇamātraphalakaṃ pratyakṣānubhavabādhitaṃ	vikalpanam-api kaNWa-SozaNa-mAtra-Palakam pratyakza-anuBava-bADitam
   cetyarthaḥ // 69 //	ca-iti-arTaH // 69 //
   nīle nīlamatiryādṛgutpale nīladhīrhi sā /	nIle nIla-matiH-yAdRS-utpale nIlaDIH-hi sA /
   nīlamutpalamevedamiti sākṣāccakāsti naḥ // 70 //	nIlam-utpalam-eva-idam-iti sAkzAt-cakAsti naH // 70 //
   nīlaiti /	nIlEti /
   nīlarūpavati ghaṭādau nīlabuddhiryathā nīlasamavāyāvagāhinī viditā	nIla-rUpavati Gawa-AdO nIla-budDiH-yaTA nIla-samavAya-avagAhinI viditA
   nāpalapyā, evaṃ nīlamutpalamiti viditāprasiddhā nīlatādātmyamatirapi	na-apalapyA, evam nIlam-utpalam-iti vidita-aprasidDA nIla-tAdAtmya-matiH-api
   nāpalapyā /	na-apalapyAH /
   svaparanirvāhakasamādhinā svarūpasambandhena vānavasthā parihāryeti bhāvaḥ	sva-para-nirvAhaka-samADinA svarUpa-sambanDena vA-anavasTA parihArya-iti BAvaH
   yathā viditasaṃyogasambandhe 'pyakṣagocare /	yaTA vidita-saMyoga-sambanDe api-akza-gocare /
   bhedābhedādidustarkavikalpādhānavibhramaḥ // 71 //	Beda-aBeda-Adi-dustarka-vikalpa-ADAna-viBramaH // 71 //
   tadvattādātmyasambandhe śrutipratyakṣamūlake /	tadvat-tAdAtmya-sambanDe Sruti-pratyakza-mUlake /
   śrutidaṇḍena dustarkavikalpabhramavāraṇam // 72 //	Sruti-daNxena dustarka-vikalpa-Brama-vAraNam // 72 //
   tādātmyasambandhavidveṣiprayuktānāṃ dustarkāṇāṃ	tAdAtmya-sambanDa-vidvezi-prayuktAnAm dustarkANAm
   pratyakṣaśāstraparāhatatvameva prapañcayatiyatheti /	pratyakza-SAstra-parAhata-tvam-eva prapaQcayati-yaTA-iti /
   saṃyoge bhedābhedāditustarko yathā-bhinnayoḥ saṃyoga utābhinnayoḥ /	saMyoge Beda-aBeda-At-ituH-tarkaH yaTA-BinnayoH saMyogaH uta-aBinnayoH /
   ādye himavadvindhyayorapi saṃyogaprasaṅgaḥ /	Adye himavat-vinDyayoH-api saMyoga-prasaFgaH /
   antye svenaiva svasya saḥ /	antye svena-eva svasya saH /
   saṃyogo dharmiṇo bhinno na vā /	saMyogaH DarmiNaH BinnaH na vA /
   bhede tasyāpi sambandhāntaraṃ tasyāpi tathetyanavasthā /	Bede tasya-api sambanDa-antaram tasya-api taTA-iti-anavasTA /
   abhede saṃyoga eva na sidhyatītyādiḥ /	aBede saMyogaH eva na siDyati-ityAdiH /
   sphuṭapratipanne saṃyoge dustarkatanmūlavikalpanādi yathā bhramalakṣaṇaṃ	sPuwa-pratipanne saMyoge dustarka-tad-mUla-vikalpanA-Adi yaTA Brama-lakzaNam
   kaṇṭhaśoṣaṇamātram , pratyakṣaparāhataṃ ca ; evaṃ nīlotpalāditādātmye	kaNWa-SozaNa-mAtram , pratyakza-parAhatam ca ; evam nIlotpala-Adi-tAdAtmye
   pratyakṣe jīvabrahmatādātmye ca śāstrasiddhe dustarkavikalpanādi	pratyakze jIva-brahma-tAdAtmye ca SAstra-sidDe dustarka-vikalpana-Adi
   pratyakṣaśāstradaṇḍanivāritamiti bhāvaḥ /	pratyakza-SAstra-daNxa-nivAritam-iti BAvaH /
   śrutidaṇḍeneti prakṛtatattvamasivākyārthābhiprāyeṇoktam // 71 //72 //	Sruti-daNxena-iti prakRta-tattvam-asi-vAkya-arTa-aBiprAyeNa-uktam // 71 //72 //
   nirdeṣāpauruṣeyī ca śrutiratyarthamādarāt /	nirdeza-apOruzeyI ca SrutiH-atyarTam-AdarAt /
   asakṛttattvamityāha tādātmyaṃ brahmajīvāyoḥ // 73 //	asakRt-tattvam-iti-Aha tAdAtmyam brahma-jIvAyoH // 73 //
   jīvaparayosdātmye 'bhyāsarūpaṃ tātparyaliṅgamapyastītyāhanirdeṣeti /	jIva-parayosdAtmye aByAsa-rUpam tAtparyaliFgam-api-asti-iti-Ahanirdeza-iti /
   pravṛttinimittarūpadharmabhedena dharmisvarūpābhedena ca tādātmyaṃ	pravRtti-nimitta-rUpa-Darma-Bedena Darmi-svarUpa-aBedena ca tAdAtmyam
   tattvamasītyādau tvamādiśabdānāṃ tattaccharīrakabrahmaparyantatayā	tat-tvam-asi-iti-AdO tvam-Adi-SabdAnAm tad-tad-SarIraka-brahma-paryanta-tayA
   nirūpaṇīyam , tadādipadānāṃ brahmātmakaparatayā vā /	nirUpaNIyam , tad-Adi-padAnAm brahma-Atmaka-para-tayA vA /
   yādavaprakāśādimate tu jīvabrahmasvarūpagatāveva bhedābhedāviti vivekaḥ //	yAdava-prakASa-Adi-mate tu jIva-brahma-svarUpa-gatO=-eva Beda-aBedO=-iti vivekaH //
   brahmānandahradāntaḥstho muktātmā sukhamedhate /	brahma-Ananda-hrada-antar-sTaH mukta-AtmA suKam-eDate /
   phale ca phalino 'bhāvānmokṣasyāpuruṣārthatā /	Pale ca PalinaH aBAvAt-mokzasya-apuruzArTa-tA /
   ekaśeṣe hi ciddhātoḥ kasya mokṣaḥ phalaṃ bhavet // 74 //	eka-Seze hi cit-DAtoH kasya mokzaH Palam Bavet // 74 //
   ( iti paramate sāmānādhikaraṇyārthāyogavarṇanam ) etāvatā paramate	( iti para-mate sAmAnADikaraNya-arTa-ayoga-varNanam ) etAvatA para-mate
   prātipadikayoriva samānavibhakterapi na mukhyārthateti vyavasthāpitam /	prAtipadikayoH-iva samAna-viBakteH-api na muKya-arTa-tA-iti vyavasTApitam /
   yadyapi abhedamātrasya samānavibhaktyarthatvaṃ sambhavati /	yadi-api aBeda-mAtrasya samAna-viBakti-arTa-tvam samBavati /
   tathāpi pravṛttinimittadharmabhedaprahāṇānna sāmānādhikaraṇyamukhyārthatā	taTA-api pravRtti-nimitta-Darma-Beda-prahANAt-na sAmAnADikaraNya-muKya-arTa-tA
   paramata iti bodhyam /	paramatas iti boDyam /
   atha cinmātrapariśeṣe 'pi na yuktaḥ /	aTa cit-mAtra-pariSeze api na yuktaH /
   tathā sati mokṣasyāpuruṣārthatāprasakterityāhabrahmeti /	taTA sati mokzasya-apuruzArTa-tA-prasakteH-iti-Aha-brahma-iti /
   eṣa brahma praviṣṭo 'smi grīṣme śītamiva hradam itivacanānusāreṇa	eza brahma pravizwaH asmi grIzme SItam-iva hradam iti-vacana-anusAreNa
   brahmānandasya hradatvarūpaṇam ,	brahma-Anandasya hrada-tva-rUpaNam ,
   sakalasaṃsāratāpakleśaharatvānniratiśayāhlādakaratvācca tasya /	sakala-saMsAra-tApa-kleSa-hara-tvAt-niratiSaya-AhlAda-kara-tvAt-ca tasya /
   brahmānandaṃ hṛdantaḥstha  iti pūrvamudritapāṭhastu na samīcīnaḥ /	brahma-Anandam hRd-antaHsTa  iti pUrva-mudrita-pAWaH-tu na samIcInaH /
   muktātmāparicchinnabrahmānandasāgare nimagno nityapravṛddhasukho	mukta-Atma-aparicCinna-brahma-Ananda-sAgare nimagnaH nitya-pravRdDa-suKaH-
   varīvartitarāmiti śāstramaryādā /	varIvartitarAm-iti SAstra-maryAdA /
   paramaphale mokṣe bhoktṛtvāvasthāpannasya svasya vilayaṃ	parama-Pale mokze BoktR-tvA-avasTA-Apannasya svasya vilayam
   cejjānīyānnābhilaṣyettāmityarthaḥ /	ced-jAnIyAt-na-aBilazyet-tAm-iti-arTaH /
   ekaśeṣe-nirviśeṣacinmā trapariśeṣe, kasya-brahmaṇo jīvasya vā mokṣaḥ	eka-Seze--nirviSeza-cit-mA trapariSeze, kasya-brahmaNaH jIvasya vA mokzaH
   phalam ? na brahmaṇaḥ, nityamuktatvāt , nāpi jīvasya, tasyaiva tadā	Palam ? na brahmaNaH, nitya-mukta-tvAt , na-api jIvasya, tasya-eva tadA
   vilayāditi bhāvaḥ /	vilayAt-iti BAvaH /
   cinmātrameva brahma jīvasya svarūpamiti cettarhi brahmaṇa	cit-mAtram-eva brahma jIvasya svarUpam-iti ced-tarhi brahmaNa
   evāvidyājīvabhāvādi vaktavyam /	eva-avidyA-jIva-BAva-Adi vaktavyam /
   tacca śrutiyuktiparāhatamiti dhyeyam /	tat-ca Sruti-yukti-parAhatam-iti Dyeyam /
   evamavidyāparikalpitajīveśvaratvādivikalpaparityāgena	evam-avidyA-parikalpita-jIva-ISvara-tva-Adi-vikalpa-parityAgena
   nirviśeṣacinmātraikyaṃntattvamasivākyārtha ityatra dūṣaṇajātaṃ proktam //	nirviSeza-cit-mAtra-Ekyan=-tattvam-asi-vAkya-arTaH iti-atra dUzaNa-jAtam proktam //
   kiñca prapañcarūpeṇa ko nu saṃvidvivartate /	kiQca prapaQca-rUpeNa kaH nu saMvid-vivartate /
   na tāvadghaṭadhīstasyāmasatyāmapi darśanāt // 75 //	na tAvat-Gawa-DIH-tasyAm-asatyAm-api darSanAt // 75 //
   na hi tasyāmajātāyāṃ naṣṭāyāṃ vākhilaṃ jagat /	na hi tasyAm-ajAtAyAm nazwAyAm vA-aKilam jagat /
   nāstīti śakyate vaktumuktau pratyakṣabādhanāt /	na-asti-iti Sakyate vaktumuktO pratyakza-bADanAt /
   nāpyanyasaṃvit tannāśe 'pyanyeṣāmupalambhanāt // 76 //	na-api-anya-saMvid tad-nASe api-anyezAm-upalamBanAt // 76 //
