   devadeva uvāca	devadevaH uvAca
   viditaṃ muniśārdula mayaitat tvanmukhācchrutam // VamPSm_10.26 //	viditam muni-SArdula mayA-etat tvad-muKAt-Srutam // VamPSm_10.26 //
   matprasādaparo nūnaṃ yajñenārādhito hiraḥ /	mad-prasAda-paraH nUnam yajQena-ArADitaH hiraH /
   mama dānamavāpyāsau puṣṇāti yadi devatāḥ // VamPSm_10.27 //	mama dAnam-avApya-asO puzNAti yadi devatAH // VamPSm_10.27 //
   etadbījavare dānabījaṃ patati ced gurau /	etat-bIja-vare dAna-bIjam patati ced gurO /
   janārdane mahāpātre kiṃ na prāptaṃ tato mayā // VamPSm_10.28 //	janArdane mahA-pAtre kim na prAptam tatas mayA // VamPSm_10.28 //
   viśiṣṭaṃ mama taddānaṃ parituṣṭāśca devatāḥ /	viSizwam mama tat-dAnam parituzwAH-ca devatAH /
   uvabhogācchataguṇaṃ dānaṃ sukhakaraṃ smṛtam // VamPSm_10.29 //	uvaBogAt-SataguNam dAnam suKa-karam smRtam // VamPSm_10.29 //
   matprasādaparo nūnaṃ jajñenārādhito hariḥ /	mad-prasAda-paraH nUnam jajQena-ArADitaH hariH /
   tenābhyeti na saṃdeho darśanādupakārakṛt // VamPSm_10.30 //	tena-aByeti na saMdehaH darSanAt-upakAra-kRt // VamPSm_10.30 //
   atha kopena cābhyeti devabhāgoparodhataḥ /	aTa kopena ca-aByeti deva-BAga-uparoDataH /
   māṃ nihantuṃ tato hi syād vadhaḥ ślāghyataro 'cyutāt // VamPSm_10.31 //	mAm nihantum tatas hi syAt vaDaH SlAGyataraH acyutAt // VamPSm_10.31 //
   etajjñātvā muniśreṣṭha dānavighnākareṇa me /	etat-jQAtvA muni-SrezWa dAna-viGna-AkareNa me /
   naiva bhāvyaṃ jagannāthe govinde samupasthite // VamPSm_10.32 //	na-eva BAvyam jagannATe govinde samupasTite // VamPSm_10.32 //
   lomaharṣaṇa uvāca	lomaharzaNaH uvAca
   ityevaṃ vadatastasya prāptastatra janārdanaḥ /	iti-evam vadataH-tasya prAptaH-tatra janArdanaH /
   sarvadevamayo 'tintyo māyāvāmanarūpadhṛk // VamPSm_10.33 //	sarva-deva-mayaH atintyaH mAyA-vAmana-rUpa-DRk // VamPSm_10.33 //
   taṃ dṛṣṭvā yajñavāṭaṃ tu praviṣṭamasurāḥ prabhum /	tam dRzwvA yajQa-vAwam tu pravizwam-asurAH praBum /
   jagmuḥ prabhāvataḥ kṣobhaṃ tejasā tasya niṣprabhāḥ // VamPSm_10.34 //	jagmuH praBAvataH kzoBam tejasA tasya nizpraBAH // VamPSm_10.34 //
   jeṣuśca munayastatra ye sametā mahādhvare /	jezuH-ca munayaH-tatra ye sametAH mahA-aDvare /
   vasiṣṭho gādhijo gargo anye ca munisattamāḥ // VamPSm_10.35 //	vasizWaH gADijaH gargaH anye ca muni-sattamAH // VamPSm_10.35 //
   baliścaivākhilaṃ janma mene śaphalamātmanaḥ /	baliH-ca-eva-aKilam janma mene SaPalam-AtmanaH /
   tataḥ saṃkṣobhamāpanno na kaścit kiñciduktavān // VamPSm_10.36 //	tatas saMkzoBam-ApannaH na kaScid kiQcid-uktavAn // VamPSm_10.36 //
   pratyekaṃ devadeveśaṃ pūjayāmāsa tejasā /	pratyekam devadeveSam pUjayAmAsa tejasA /
   athāsurapati prahvaṃ dṛṣṭvā munivarāśca tān // VamPSm_10.37 //	aTa-asurapati prahvam dRzwvA muni-varAH-ca tAn // VamPSm_10.37 //
   devadevapatiḥ sākṣād viṣṇurvāmanarūpadhṛk /	devadevapatiH sAkzAt vizNuH-vAmana-rUpaDRk /
   tuṣṭāva yajñaṃ vahniṃ ca yajamānamathārcitaḥ /	tuzwAva yajQam vahnim ca yajamAnam-aTa-arcitaH /
   yajñakarmādhikārasthān sadasyān dravyasaṃpadam // VamPSm_10.38 //	yajQa-karma-aDikAra-sTAn sadasyAn dravya-saMpadam // VamPSm_10.38 //
   sadasyāḥ pātramakhilaṃ vāmanaṃ prati tatkṣaṇāt /	sadasyAH pAtram-aKilam vAmanam prati tad-kzaNAt /
   yajñavāṭasthitaṃ viprāḥ sādhu sādhvityudīrayan // VamPSm_10.39 //	yajQa-vAwa-sTitam viprAH sADu sADu-iti-udIrayan // VamPSm_10.39 //
   sa cārghamādāya baliḥ prodbhūtapulakastadā /	sa ca-arGam-AdAya baliH prodBUta-pulakaH-tadA /
   pūjayāmāsa govindaṃ prāha cedaṃ mahāsuraḥ // VamPSm_10.40 //	pUjayAmAsa govindam prAha ca-idam mahA-asuraH // VamPSm_10.40 //
   baliruvāca	baliH-uvAca
   suvarṇaratnasaṃghāto gajāśvasamitistathā /	suvarNa-ratna-saMGAtaH gaja-aSva-samitiH-taTA /
   striyo vastrāṇyalaṅkārān gāvo grāmāśca puṣkalāḥ // VamPSm_10.41 //	striyaH vastrANi-alaFkArAn gAvaH grAmAH-ca puzkalAH // VamPSm_10.41 //
   sarve ca saralā pṛthvī bhavato vā yadīpsitam /	sarve ca saralA pRTvI BavataH vA yat-Ipsitam /
   tad dadāsi vṛṇuṣveṣṭaṃ mamārthāḥ santi te priyāḥ // VamPSm_10.42 //	tat dadAsi vRNuzva-izwam mama-arTAH santi te priyAH // VamPSm_10.42 //
   ityukto daityapatinā prītigarbhānvitaṃ vacaḥ /	iti-uktaH dEtya-patinA prIti-garBa-anvitam vacaH /
   prāha sasmitagambhīraṃ bhagavān vāmanākṛtiḥ // VamPSm_10.43 //	prAha sa-smita-gamBIram BagavAn vAmana-AkRtiH // VamPSm_10.43 //
   mamāgniśaraṇārthāya dehi rājan padatrayam /	mama-agni-SaraNa-arTAya dehi rAjan pada-trayam /
   suvarṇagrāmaratnādi tadarthibhyaḥ pradīyatām // VamPSm_10.44 //	suvarNa-grAma-ratna-Adi tad-arTiByaH pradIyatAm // VamPSm_10.44 //
   baliruvāca	baliH-uvAca
   tribhiḥ prayojanaṃ kiṃ te padaiḥ padavatāṃ vara /	triBiH prayojanam kim te padEH padavatAm varaH /
   śataṃ śatasahasraṃ vā padānāṃ mārgatāṃ bhavān // VamPSm_10.45 //	Satam Sata-sahasram vA padAnAm mArga-tAm BavAn // VamPSm_10.45 //
   śrīvāmana uvāca	SrI-vAmanaH uvAca
   etāvatā daityapate kṛtakṛtyo 'smi mārgaṇe /	etAvatA dEtya-pate kRtakRtyaH asmi mArgaNe /
   anyeṣāmarthināṃ vittamicchayā dāsyate bhavān // VamPSm_10.46 //	anyezAm-arTinAm vittam-icCayA dAsyate BavAn // VamPSm_10.46 //
   etacchrutvā tu gaditaṃ vāmanasya mahātmanaḥ /	etat-SrutvA tu gaditam vAmanasya mahAtmanaH /
   vācayāmāsa vai tasmai vāmanāya mahātmane // VamPSm_10.47 //	vAcayAmAsa vE tasmE vAmanAya mahAtmane // VamPSm_10.47 //
   pāṇau tu patite toye vāmano 'bhūdavāmanaḥ /	pANO tu patite toye vAmanaH aBUt-avAmanaH /
   sarvedevamayaṃ rūpaṃ darśayāmāsa tatkṣaṇāt // VamPSm_10.48 //	sarvedeva-mayam rUpam darSayAmAsa tad-kzaNAt // VamPSm_10.48 //
   cantrasūryau tu nayane dyauḥ śiraścaraṇau kṣitiḥ /	cantra-sUryO tu nayane dyOH SiraH-caraNO kzitiH /
   pādāṅgulyaḥ piśācāstu hastāṅgulyaśca guhyakāḥ // VamPSm_10.49 //	pAda-aFgulyaH piSAcAH-tu hasta-aFgulyaH-ca guhyakAH // VamPSm_10.49 //
   viśvedevāśca jānusthā jaṅghe sādhyāḥ surottamāḥ /	viSvedevAH-ca jAnu-sTAH jaFGe sADyAH sura-uttamAH /
   yakṣā nakheṣu saṃbhūtā rekhāsvapsarasastathā // VamPSm_10.50 //	yakzAH naKezu saMBUtAH reKAsu-apsarasaH-taTA // VamPSm_10.50 //
   dṛṣṭirṛkṣāṇyaśeṣāṇi keśāḥ sūryāśavaḥ prabhoḥ /	dRzwiH-RkzANi-aSezANi keSAH sUryASavaH praBoH /
   tārakā romakūpāṇi romeṣu ca maharṣayaḥ // VamPSm_10.51 //	tArakAH romakUpANi romezu ca mahA-RzayaH // VamPSm_10.51 //
   bāhavo vidiśastasya diśaḥ śrotre mahātmanaḥ /	bAhavaH vidiSaH-tasya diSaH Srotre mahAtmanaH /
   aśvinau śravaṇe tasya nāsā vāyurmahātmanaḥ // VamPSm_10.52 //	aSvinO SravaNe tasya nAsA vAyuH-mahAtmanaH // VamPSm_10.52 //
   prasāde candramā devo mano dharmaḥ samāśritaḥ /	prasAde candramAH devaH manaH DarmaH samASritaH /
   satyamasyābhavad vāṇī jihvā devī sarasvatī // VamPSm_10.53 //	satyam-asya-aBavat vANI jihvA devI sarasvatI // VamPSm_10.53 //
   grīvāditirdevamātā vidyāstadvalayastathā /	grIvA-aditiH-deva-mAtA vidyAH-tad-valayaH-taTA /
   svargadvāramabhūnmaitraṃ tvaṣṭā pūṣā ca vai bhruvau // VamPSm_10.54 //	svarga-dvAram-aBUt-mEtram tvazwA pUzA ca vE BruvO // VamPSm_10.54 //
   mukhe vaiśvānaraścāsya vṛṣaṇau tu prajāpatiḥ /	muKe vESvAnaraH-ca-asya vRzaNO tu prajApatiH /
   hṛdayaṃ ca paraṃ brahma puṃstvaṃ vai kaśyapo muniḥ // VamPSm_10.55 //	hRdayam ca param brahma puMstvam vE kaSyapaH muniH // VamPSm_10.55 //
   pṛṣṭhe 'sya vasavo devā marutaḥ sarvasaṃdhiṣu /	pRzWe asya vasavaH devAH marutaH sarva-saMDizu /
   vakṣasthale tathā rudro dhairye cāsya mahārṇavaḥ // VamPSm_10.56 //	vakza-sTale taTA rudraH DErye ca-asya mahA-arNavaH // VamPSm_10.56 //
   udare cāsya gandharvā marutaśca mahābalāḥ /	udare ca-asya ganDarvAH marutaH-ca mahA-balAH /
   lakṣmīrmedhā dhṛtiḥ kāntiḥ sarvavidyāśca vai kaṭiḥ // VamPSm_10.57 //	lakzmIH-meDA DRtiH kAntiH sarva-vidyAH-ca vE kawiH // VamPSm_10.57 //
   sarvajyotīṃṣi yānīha tapaśca paramaṃ mahat /	sarva-jyotIMzi yAni-iha tapaH-ca paramam mahat /
   tasya devādhidevasya tejaḥ prodbhūtamuttamam // VamPSm_10.58 //	tasya deva-aDidevasya tejaH prodBUtam-uttamam // VamPSm_10.58 //
   tanau kukṣiṣu vedāśca jānunī ca mahāmakhāḥ /	tanO kukzizu vedAH-ca jAnunI ca mahA-maKAH /
   iṣṭayaḥ paśavaścāsya dvijānāṃ ceṣṭitāni ca // VamPSm_10.59 //	izwayaH paSavaH-ca-asya dvijAnAm cezwitAni ca // VamPSm_10.59 //
   tasya devamayaṃ rūpaṃ dṛṣṭvā viṣṇormahātmanaḥ /	tasya deva-mayam rUpam dRzwvA vizNoH-mahAtmanaH /
   upasarpanti te daityāḥ pataṅgā iva pāvakam // VamPSm_10.60 //	upasarpanti te dEtyAH pataFgAH iva pAvakam // VamPSm_10.60 //
   cikṣurastu mahādaityaḥ pādāṅguṣṭhaṃ gṛhītavān /	cikzuH-aH-tu mahA-dEtyaH pAdAFguzWam gRhItavAn /
   dantābhyāṃ tasya vai grīvāmaṅguṣṭhenāhanaddhariḥ // VamPSm_10.61 //	dantAByAm tasya vE grIvAm-aFguzWena-ahanat-hariH // VamPSm_10.61 //
   pramathya sarvānasurān pādahastatalairvibhuḥ /	pramaTya sarvAn-asurAn pAda-hasta-talEH-viBuH /
   kṛtvā rūpaṃ mahākāyaṃ saṃjahārāśu medinīm // VamPSm_10.62 //	kRtvA rUpam mahA-kAyam saMjahAra-ASu medinIm // VamPSm_10.62 //
   tasya vikramato bhūmiṃ candrādityau stanāntare /	tasya vikramataH BUmim candra-AdityO stanAntare /
   nabho vikramamāṇasya sakthideśe sthitāvubhau // VamPSm_10.63 //	naBaH vikramamANasya sakTi-deSe sTitO=-uBO // VamPSm_10.63 //
   paraṃ vikramamāṇasya jānumūle prabhākarau /	param vikramamANasya jAnu-mUle praBAkarO /
   viṣṇorāstāṃ sthitasyaitau devapālanakarmaṇi // VamPSm_10.64 //	vizNoH-AstAm sTitasya-etO deva-pAlana-karmaNi // VamPSm_10.64 //
   jitvā lokatrayaṃ tāṃśca hatvā cāsurapuṅgavān /	jitvA lokatrayam tAn=-ca hatvA ca-asura-puFgavAn /
   purandarāya trailokyaṃ dadau viṣṇururukramaḥ // VamPSm_10.65 //	purandarAya trElokyam dadO vizNuH-urukramaH // VamPSm_10.65 //
   sutalaṃ nāma pātālamadhastādvasudhātalāt /	sutalam nAma pAtAlam-aDastAt-vasuDA-talAt /
   balerdattaṃ bhagavatā viṣṇunā prabhaviṣṇunā // VamPSm_10.66 //	baleH-dattam BagavatA vizNunA praBavizNunA // VamPSm_10.66 //
   atha daityaiśvaraṃ prāha viṣṇuḥ sarveśvareśvaraḥ /	aTa dEtya-ESvaram prAha vizNuH sarva-ISvara-ISvaraH /
   yat tvayā salilaṃ dattaṃ gṛhītaṃ pāṇinā mayā // VamPSm_10.67 //	yat tvayA salilam dattam gRhItam pANinA mayA // VamPSm_10.67 //
   kalpapramāṇaṃ tasmāt te bhaviṣyatyāyuruttamam /	kalpa-pramANam tasmAt te Bavizyati-AyuH-uttamam /
   vaivakhate tathātīte kāle manvantare tathā // VamPSm_10.68 //	vEvaKate taTA-atIte kAle manvantare taTA // VamPSm_10.68 //
   sāvarṇike tu saṃprāpte bhavānindro bhaviṣyati /	sAvarNike tu saMprApte BavAn-indraH Bavizyati /
   idānīṃ bhuvanaṃ sarvaṃ dattaṃ śakrāya vai purā // VamPSm_10.69 //	idAnIm Buvanam sarvam dattam SakrAya vE purA // VamPSm_10.69 //
   caturyugavyavasthā ca sādhikā hyekasaptatiḥ /	caturyuga-vyavasTA ca sADikA hi-ekasaptatiH /
   niyantavyā mayā sarve ye tasya paripanthinaḥ // VamPSm_10.70 //	niyantavyAH mayA sarve ye tasya paripanTinaH // VamPSm_10.70 //
   tenāhaṃ parayā bhaktyā pūrvamārādhito bale /	tena-aham parayA BaktyA pUrvam-ArADitaH bale /
   sutalaṃ nāma pātālaṃ samāsādya vaco mama // VamPSm_10.71 //	sutalam nAma pAtAlam samAsAdya vacaH mama // VamPSm_10.71 //
   vasāsura mamādeśaṃ yathāvatparipālayan /	vasA-asura mama-AdeSam yaTAvat-paripAlayan /
   tatra devasukhopete prāsādaśatasaṃkule // VamPSm_10.72 //	tatra deva-suKa-upete prAsAda-Sata-saMkule // VamPSm_10.72 //
   protphullapadmasarasi hvadasuddhasaridvare /	protPulla-padma-sarasi hvada-sudDa-sarit-vare /
   sugandhī pūpasaṃpanno varābharamabhūṣitaḥ // VamPSm_10.73 //	suganDI pUpa-saMpannaH vara-aBaram-a-BUzitaH // VamPSm_10.73 //
   srakcandanādidigdhāṅgo nṛtyagītamanoharān /	sraj-candana-Adi-digDa-aFgaH nRtya-gIta-manoharAn /
   upabhuñjan mahābhogān vividhān dānaveśvara // VamPSm_10.74 //	upaBuQjan mahA-BogAn viviDAn dAnava-ISvara // VamPSm_10.74 //
   mamājñayā kālamimaṃ tiṣṭha strīśatasaṃvṛtaḥ /	mama-AjQayA kAlam-imam tizWa strI-Sata-saMvRtaH /
   yāvatsuraiśca vipraiśca na virodhaṃ gamiṣyasi // VamPSm_10.75 //	yAvat-surEH-ca viprEH-ca na viroDam gamizyasi // VamPSm_10.75 //
   tāvat tvaṃ bhuṅkṣva saṃbhogān sarvakāmasamanvitān /	tAvat tvam BuFkzva saMBogAn sarva-kAma-samanvitAn /
   yadā suraiśca vipraiśca virodhaṃ tvaṃ kariṣyasi /	yadA surEH-ca viprEH-ca viroDam tvam karizyasi /
   bandhiṣyanti tadā pāsā vāruṇā ghoradarśanāḥ // VamPSm_10.76 //	banDizyanti tadA pAsAH vAruNAH Gora-darSanAH // VamPSm_10.76 //
   baliruvāca	baliH-uvAca
   tatrāsato me pātāle bhagavan bhavadājñayā /	tatra-asataH me pAtAle Bagavan Bavat-AjQayA /
   kiṃ bhaviṣyatyupādānamupabhogopapādakam /	kim Bavizyati-upAdAnam-upaBoga-upapAdakam /
   āpyāyito yena deva smareyaṃ tvāmahaṃ sadā // VamPSm_10.77 //	ApyAyitaH yena deva smareyam tvAm-aham sadA // VamPSm_10.77 //
   śrībhagavānuvāca	SrI-BagavAn-uvAca
   dānānyavidhidattāni śrāddhānyaśrotriyāṇi ca /	dAna-anyaviDi-dattAni SrAdDAni-aSrotriyANi ca /
   hutānyaśraddhayā yāni tāni dāsyanti te phalam // VamPSm_10.78 //	huta-ani-aSradDayA yAni tAni dAsyanti te Palam // VamPSm_10.78 //
   adakṣiṇāstathā yajñāḥ kriyāścāvidhinā kṛtāḥ /	adakziNAH-taTA yajQAH kriyAH-ca-aviDinA kRtAH /
   phalāni tava dāsyanti adhītānyavratāni ca // VamPSm_10.79 //	PalAni tava dAsyanti aDIta-anya-vratAni ca // VamPSm_10.79 //
   udakena vinā pūjā vinā darbeṇa yā kriyā /	udakena vinA pUjA vinA darbeNa yA kriyA /
   ājyena ca vinā homaṃ phalaṃ dāsyanti te bale // VamPSm_10.80 //	Ajyena ca vinA homam Palam dAsyanti te bale // VamPSm_10.80 //
   yaścedaṃ sthānamāśritya kriyāḥ kāścitkariṣyati /	yaH-ca-idam sTAnam-ASritya kriyAH kAScid-karizyati /
   na tatra cāsuro bhāgo bhaviṣyati kadācana // VamPSm_10.81 //	na tatra ca-asuraH BAgaH Bavizyati kadAcana // VamPSm_10.81 //
   jyeṣṭhāśrame mahāpuṇye tathā viṣṇupade hvade /	jyezWa-ASrame mahA-puNye taTA vizNupade hvade /
   ye ca śrāddhāni dāsyanti vrataṃ niyamameva ca // VamPSm_10.82 //	ye ca SrAdDAni dAsyanti vratam niyamam-eva ca // VamPSm_10.82 //
   kriyā kṛtā ca yā kācid vidhināvidhināpi vā /	kriyA kRtA ca yA kAcid viDinA-viDinA-api vA /
   sarvaṃ tadakṣayaṃ tasya bhaviṣyati na saṃśayaḥ // VamPSm_10.83 //	sarvam tat-akzayam tasya Bavizyati na saMSayaH // VamPSm_10.83 //
   jyeṣṭhe māsi site pakṣe ekādasyāmupoṣitaḥ /	jyezWe mAsi site pakze ekAt-asyAm-upozitaH /
   dvādaśyāṃ vāmanaṃ dṛṣṭvā snātvā viṣṇupade hvade /	dvAdaSyAm vAmanam dRzwvA snAtvA vizNupade hvade /
   dānaṃ dattvā yathāśaktyā prāpnoti paramaṃ padam // VamPSm_10.84 //	dAnam dattvA yaTASaktyA prApnoti paramam padam // VamPSm_10.84 //
   lomaharṣaṇa uvāca	lomaharzaNaH uvAca
   balervaramimaṃ dattvā śakrāya ca triviṣṭapam /	baleH-varam-imam dattvA SakrAya ca trivizwapam /
   vyāpinā tena rūpeṇa jagāmādarśanaṃ hariḥ // VamPSm_10.85 //	vyApinA tena rUpeNa jagAma-adarSanam hariH // VamPSm_10.85 //
   śaśāsa ca yathāpūrvaṃmindrastrailokyamūrjitaḥ /	SaSAsa ca yaTApUrvaMmindraH-trElokyam-UrjitaH /
   niḥśeṣaṃ ca tadā kālaṃ baliḥ pātālamāsthitaḥ // VamPSm_10.86 //	niHSezam ca tadA kAlam baliH pAtAlam-AsTitaH // VamPSm_10.86 //
   ityetat kathitaṃ tasya viṣṇormāhātmyamuttamam /	iti-etat kaTitam tasya vizNoH-mAhAtmyam-uttamam /
   vāmanasya śṛṇvan yastu sarvapāṣaiḥ pramucyate // VamPSm_10.87 //	vAmanasya SRNvan yaH-tu sarva-pAzEH pramucyate // VamPSm_10.87 //
   baliprahlādasaṃvādaṃ mantritaṃ baliśukrayoḥ /	bali-prahlAda-saMvAdam mantritam bali-SukrayoH /
   balerviṣṇośca caritaṃ ye smariṣyanti mānavāḥ // VamPSm_10.88 //	baleH-vizNoH-ca caritam ye smarizyanti mAnavAH // VamPSm_10.88 //
   nādhayo vyādhayasteṣāṃ na ca mohākulaṃ manaḥ /	na-ADayaH vyADayaH-tezAm na ca moha-Akulam manaH /
   bhaviṣyati dvijaśreṣṭhāḥ puṃsastasya kadācana // VamPSm_10.89 //	Bavizyati dvijaSrezWAH puMsaH-tasya kadAcana // VamPSm_10.89 //
   cyutarājyo nijaṃ rājyamiṣṭaprāptiṃ viyogavān /	cyuta-rAjyaH nijam rAjyam-izwa-prAptim viyogavAn /
   samāpneti mahābhāgā naraḥ śrutvā kathāmimām // VamPSm_10.90 //	samApna-iti mahABAgAH naraH SrutvA kaTAm-imAm // VamPSm_10.90 //
   brāhmaṇo vedamāpnoti kṣatriyo jayate mahīm /	brAhmaNaH vedam-Apnoti kzatriyaH jayate mahIm /
   vaiśyo dhanasamṛddhiṃ ca śūdraḥ sukhamavāpnuyāt /	vESyaH Dana-samRdDim ca SUdraH suKam-avApnuyAt /
   vāmanasya ca māhatmyaṃ śṛṇvan pāpaiḥ pramucyate // VamPSm_10.91 //	vAmanasya ca mAhatmyam SRNvan pApEH pramucyate // VamPSm_10.91 //
   iti śrīvāmanapurāṇe saromāhātmye daśamo 'dhyāyaḥ	iti SrI-vAmanapurANe saromAhAtmye daSamaH aDyAyaH
   ṛṣaya ūcuḥ	RzayaH UcuH
   kathameṣā samutpannā nadīnāmuttamā nadī /	kaTam-ezA samutpannA nadInAm-uttamA nadI /
   sakakhatī mahābhāgā kurukṣetrapravāhinā // VamPSm_11.1 //	sa-kaKatI mahABAgA kurukzetra-pravAhinA // VamPSm_11.1 //
   kathaṃ saraḥ samāsādya kṛtvā tīrthāni pārśvataḥ /	kaTam saraH samAsAdya kRtvA tIrTAni pArSvatas /
   prayātā paścimāmāśāṃ dṛśyāhṛśyagatiḥ śubhā /	prayAtA paScimAm-ASAm dRSya-ahRSya-gatiH SuBA /
   etad vistarato brūhi tīrthaṃvaṃśaṃ sanātanam // VamPSm_11.2 //	etat vistarataH brUhi tIrTaMvaMSam sanAtanam // VamPSm_11.2 //
   lomaharṣaṇa uvāca	lomaharzaNaH uvAca
   plakṣavṛkṣāt samudbhūtā saricchreṣṭhā sanātanī /	plakza-vRkzAt samudBUtA sarit-SrezWA sanAtanI /
   sarvapāpakṣayakarī smaraṇādeva nityaśaḥ // VamPSm_11.3 //	sarva-pApa-kzaya-karI smaraNAt-eva nityaSas // VamPSm_11.3 //
   saiṣā śailasahasrāṇi vidārya ca mahānadī /	sA-ezA SEla-sahasrANi vidArya ca mahA-nadI /
   praviṣṭā puṇyatoyaughā vanaṃ dvaitamiti smṛtam // VamPSm_11.4 //	pravizwA puNya-toya-oGAH vanam dvEtam-iti smRtam // VamPSm_11.4 //
   tasmin palkṣe sthitāṃ dṛṣṭvā mārkaṇḍeyo mahāmuniḥ /	tasmin palkze sTitAm dRzwvA mArkaNxeyaH mahA-muniH /
   praṇipatya tadā mūrdhnā tuṣṭāvātha sarasvatīm // VamPSm_11.5 //	praNipatya tadA mUrDnA tuzwAva-aTa sarasvatIm // VamPSm_11.5 //
   tvaṃ devi sarvalokānāṃ mātā devāraṇiḥ śubhā /	tvam devi sarva-lokAnAm mAtA deva-araNiH SuBA /
   sadasad devi yatkiñcinmokṣadāyyarthavat padam // VamPSm_11.6 //	sat-asat devi yat-kiQcit-mokza-dAyi-arTavat padam // VamPSm_11.6 //
   tat sarvaṃ tvayi saṃyogi yogivad devi saṃsthitam /	tat sarvam tvayi saMyogi yogi-vat devi saMsTitam /
   akṣaraṃ paramaṃ devī yatra sarvaṃ pratiṣṭhitam /	akzaram paramam devI yatra sarvam pratizWitam /
   akṣaraṃ paramaṃ brahma viśvaṃ caitat kṣarātmakam // VamPSm_11.7 //	akzaram paramam brahma viSvam ca-etat kzara-Atmakam // VamPSm_11.7 //
   dāruṇyavasthito vahnirbhṛmau gandho yathā dhruvam /	dAruNI-avasTitaH vahniH-BRmO ganDaH yaTA Druvam /
   tathā tvayi sthitaṃ brahma jagaccedamaśeṣataḥ // VamPSm_11.8 //	taTA tvayi sTitam brahma jagat-ca-idam-aSezatas // VamPSm_11.8 //
   oṅkārākṣarasaṃsthānaṃ yat tad devi sthirāsthiram /	oFkAra-akzara-saMsTAnam yat tat devi sTirA-sTiram /
   tatra mātrātrayaṃ sarvamasti yad devi nāsti ca // VamPSm_11.9 //	tatra mAtrA-trayam sarvam-asti yat devi na-asti ca // VamPSm_11.9 //
   trayo lokāstrayo vedāstraividyaṃ pāvakatrayam /	trayaH lokAH-trayaH vedAH-trEvidyam pAvakatrayam /
   trīṇi jyotīṃṣi vargāśca trayo dharmādayastathā // VamPSm_11.10 //	trINi jyotIMzi vargAH-ca trayaH Darma-AdayaH-taTA // VamPSm_11.10 //
   trayo guṇāstrayo varṇāstrayo devāstathā kramāt /	trayaH guNAH-trayaH varNAH-trayaH devAH-taTA kramAt /
   traidhātavastathāvasthāḥ pitaraścaivamādayaḥ // VamPSm_11.11 //	trEDAtavaH-taTA-avasTAH pitaraH-ca-evamAdayaH // VamPSm_11.11 //
   etanmātrātrayaṃ devi tava rūpaṃ sarasvati /	etad-mAtrA-trayam devi tava rUpam sarasvati /
   vibhinnadarśanāmādyāṃ brahmaṇo hi sanātanīm // VamPSm_11.12 //	viBinna-darSa-nAmAdyAm brahmaNaH hi sanAtanIm // VamPSm_11.12 //
   somasaṃsthā haviḥsaṃsthā pākasaṃsthā sanātanī /	soma-saMsTA haviH-saMsTA pAka-saMsTA sanAtanI /
   tāstvaduccāraṇād devi kriyante brahmavādibhiḥ // VamPSm_11.13 //	tAH-tvad-uccAraNAt devi kriyante brahma-vAdiBiH // VamPSm_11.13 //
   anirdeśyapadaṃ tvetadarddhamātrāśritaṃ param /	anirdeSya-padam tu-etat-ardDa-mAtra-ASritam param /
   avikāryakṣayaṃ divyaṃ pariṇāmavivarjitam // VamPSm_11.14 //	avikArya-kzayam divyam pariNAma-vivarjitam // VamPSm_11.14 //
   tavaitat paramaṃ rūpaṃ yanna śakyaṃ mayoditum /	tava-etat paramam rUpam yat-na Sakyam mayA-uditum /
   na cāsyena na vā jihvātālvoṣṭhādibhirucyate // VamPSm_11.15 //	na ca-Asyena na vA jihvA-tAlu-ozWa-AdiBiH-ucyate // VamPSm_11.15 //
   sa viṣṇuḥ sa vṛṣo brahma candrākrajyotireva ca /	sa vizNuH sa vRzaH brahma candrAkrajyotiH-eva ca /
   viśvāvāsaṃ viśvarūpaṃ viśvātmānamanīśvaram // VamPSm_11.16 //	viSvAvAsam viSva-rUpam viSvAtmAnam-anISvaram // VamPSm_11.16 //
   sāṅkhyasiddhāntavedoktaṃ bahuśākhāsthirīkṛtam /	sAFKya-sidDAnta-veda-uktam bahu-SAKA-sTirIkRtam /
   anādimadhyanidhanaṃ sadasacca sadeva tu // VamPSm_11.17 //	anAdi-maDya-niDanam sat-asat-ca sat-eva tu // VamPSm_11.17 //
   ekaṃ tvanekadhāpyekabhāvavedasamāśritam /	ekam tu-aneka-DA-api-eka-BAva-veda-samASritam /
   anākhyaṃ ṣaḍguṇākhyaṃ ca bahvākhyaṃ triguṇāśrayam // VamPSm_11.18 //	anAKyam zaxguNa-AKyam ca bahu-AKyam triguNa-ASrayam // VamPSm_11.18 //
   nānāśaktivibhāvajñaṃ nānāśaktivibhāvakam /	nAnA-Sakti-viBAva-jQam nAnA-Sakti-viBAvakam /
   sukhāt sukhaṃ mahātsaukhyaṃ rūpaṃ tattvaguṇātmakam // VamPSm_11.19 //	suKAt suKam mahAt-sOKyam rUpam tattva-guNa-Atmakam // VamPSm_11.19 //
   evaṃ devi tvayā vyāptaṃ sakalaṃ niṣkalaṃ ca yat /	evam devi tvayA vyAptam sakalam nizkalam ca yat /
   advaitāvasthitaṃ brahma yacca dvaite vyavasthitam // VamPSm_11.20 //	advEta-avasTitam brahma yat-ca dvEte vyavasTitam // VamPSm_11.20 //
