   śrīgaṇādhipataye namaḥ /	SrI gaNADipataye namaH /
   pradoṣe saṃjapelliṅgamāmapātraṃ ca mārayet /	pradoze saMjapet liFgam Ama pAtram ca mArayet /
   oṃ namaḥ sarvatoyantrāṇyetadyathā jambhani mohani sarvaśatruvidāriṇi	om namaH sarvatas yantrANi etat yaTA jamBani mohani sarva Satru vidAriNi
   rakṣarakṣa māmamukaṃ sarvabhayopadravebhyaḥ svāhā /	rakzarakza mAm amukam sarva Baya upadraveByaH svAhA /
   śukre naṣṭe mahādeva vakṣye 'haṃ dvijapādiha // GarP_1,41.3 //	Sukre nazwe mahAdeva vakzye aham dvijapAt iha // GarP_1,41.3 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   vaśyādisādhikamantranirūpaṇaṃ nāmaikacatvāriṃśo 'dhyāyaḥ	vaSyAdisADikamantranirUpaNam nAma ekacatvAriMSaH aDyAyaH
   śrīgaruḍamahāpurāṇam  42	SrI garuxa mahApurANam 42
   hariruvāca /	hariH uvAca /
   pavitrāropaṇaṃ vakṣye sivasyāśivanāśanam /	pavitrAropaNam vakzye sivasya aSiva nASanam /
   ācāryaḥ sādhakaḥ kuryātputrakaḥ samayī hara // GarP_1,42.1 //	AcAryaH sADakaH kuryAt putrakaH samayI hara // GarP_1,42.1 //
   saṃvatsarakṛtāṃ pūjāṃ vighneśo harate 'nyathā /	saMvatsara kRtAm pUjAm viGneSaH harate anyaTA /
   āṣāḍhe śrāvaṇe māghe kuryādbhādrapade 'pi vā // GarP_1,42.2 //	AzAXe SrAvaNe mAGe kuryAt BAdrapade api vA // GarP_1,42.2 //
   sauvarṇaraupyatāmraṃ ca sūtraṃ kārpāsikaṃ kramāt /	sOvarNa rOpya tAmram ca sUtram kArpAsikam kramAt /
   jñeyaṃ kujādau saṃgrāhyaṃ kanyayā kartitaṃ ca yat // GarP_1,42.3 //	jQeyam kuja AdO saMgrAhyam kanyayA kartitam ca yat // GarP_1,42.3 //
   triguṇaṃ triguṇīkṛtya tataḥ kuryātpavitrakam /	triguNam triguNIkRtya tatas kuryAt pavitrakam /
   granthayo vāmadevena satyena kṣālayecchiva // GarP_1,42.4 //	granTayaH vAmadevena satyena kzAlayet Siva // GarP_1,42.4 //
   aghoreṇa tu saṃśodhya baddhastatpuruṣādbhavet /	aGoreNa tu saMSoDya badDaH tatpuruzAt Bavet /
   dhūpayedīśamantreṇa tantudevā iti (me) smṛtāḥ // GarP_1,42.5 //	DUpayet ISa mantreNa tantu devAH iti (me) smRtAH // GarP_1,42.5 //
   oṃ kāraścandramā vahnirbrahnā nāgaḥ śikhidhvajaḥ /	om kAraH candramAH vahniH brahnA nAgaH SiKiDvajaH /
   ravirviṣṇuḥ śivaḥ proktaḥ kramāttantuṣu devatāḥ // GarP_1,42.6 //	raviH vizNuH SivaH proktaH kramAt tantuzu devatAH // GarP_1,42.6 //
   aṣṭottaraśataṃ kuryātpañcāśatpañcaviṃśatim /	azwottaraSatam kuryAt paQcASat paQcaviMSatim /
   rudro 'ttamādi vijñeyaṃ mānaṃ ca granthayo daśa // GarP_1,42.7 //	rudraH attamAdi vijQeyam mAnam ca granTayaH daSa // GarP_1,42.7 //
   caturaṅgulāntarāḥ syurgranthināmāni ca kramāt /	catur aFgula antarAH syuH granTi nAmAni ca kramAt /
   prakṛtiḥ pauruṣī vīrā caturtho cāparājitā // GarP_1,42.8 //	prakRtiH pOruzI vIrA caturTaH ca aparAjitAH // GarP_1,42.8 //
   jayā ca vijayā rudrā ajitā ca sadāśivā /	jayA ca vijayA rudrAH ajitA ca sadASivA /
   manonmanī sarvamukhī dvyaṅgulāṅgulato 'thavā // GarP_1,42.9 //	manonmanI sarva muKI dvi aFgula aFgulataH aTavA // GarP_1,42.9 //
   rañjayetkuṅkumādyaistu kuryādrandhaiḥ pavitrakam /	raQjayet kuFkuma AdyEH tu kuryAt ranDEH pavitrakam /
   saptamyāṃ vā trayodaśyāṃ śuklapakṣe tathetare // GarP_1,42.10 //	saptamyAm vA trayodaSyAm Sukla pakze taTA itare // GarP_1,42.10 //
   kṣīrādibhiśca saṃsnāpya liṅgaṃ gandhādibhiryajet /	kzIra AdiBiH ca saMsnApya liFgam ganDa AdiBiH yajet /
   dadyādrandhapavitraṃ tu ātmane brahmaṇe hara // GarP_1,42.11 //	dadyAt ranDa pavitram tu Atmane brahmaNe hara // GarP_1,42.11 //
   puṣpaṃ gandhayutaṃ dadyānmūleneśānagocare /	puzpam ganDa yutam dadyAt mUlena ISAna gocare /
   pūrve ca daṇḍakāṣṭhaṃ tu uttare cāmalakīphalam // GarP_1,42.12 //	pUrve ca daNxakAzWam tu uttare ca AmalakI Palam // GarP_1,42.12 //
   mṛttikāṃ paścime dadyāddakṣiṇe bhasma bhūtayaḥ /	mRttikAm paScime dadyAt dakziNe Basma BUtayaH /
   nairṛtehyaguruṃ dadyācchikhāmantreṇa mantravit // GarP_1,42.13 //	nErRtehi agurum dadyAt SiKA mantreNa mantra vid // GarP_1,42.13 //
   vāyavyāṃ sarṣapaṃ dadyātkavacena vṛṣadhvaja /	vAyavyAm sarzapam dadyAt kavacena vRzaDvaja /
   gṛhaṃ saṃveṣṭya sūtreṇa dadyādrandhapavitrakam // GarP_1,42.14 //	gRham saMvezwya sUtreNa dadyAt ranDa pavitrakam // GarP_1,42.14 //
   homaṃ kṛtvā gneya dattvā dadyādbhūtabaliṃ tathā /	homam kRtvA gneya dattvA dadyAt BUta balim taTA /
   āmantrito 'si deveśa gaṇaiḥ sārdhaṃ maheśvara // GarP_1,42.15 //	AmantritaH asi deveSa gaNEH sArDam maheSvara // GarP_1,42.15 //
   prātastvāṃ pūjayiṣyāmi atra sannihito bhava /	prAtar tvAm pUjayizyAmi atra sannihitaH Bava /
   nimantryānena tiṣṭhettu kurvan gītādikaṃ niśi // GarP_1,42.16 //	nimantrya anena tizWet tu kurvan gIta Adikam niSi // GarP_1,42.16 //
   mantritāni pavitrāṇi sthāpayeddevapārśvataḥ /	mantritAni pavitrANi sTApayet deva pArSvataH /
   snātvādityaṃ caturdaśyāṃ prāgrudraṃ ca prapūjayet // GarP_1,42.17 //	snAtvA Adityam caturdaSyAm prAk rudram ca prapUjayet // GarP_1,42.17 //
   lalāṭasthaṃ viśvarūpaṃ dhyātvātmānaṃ prapūjayet /	lalAwa sTam viSva rUpam DyAtvA AtmAnam prapUjayet /
   astreṇa prokṣitānyevaṃ hṛdayenārcitānyatha // GarP_1,42.18 //	astreNa prokzitAni evam hRdayena arcitAni aTa // GarP_1,42.18 //
   saṃhitāmantritānyeva dhūpitāni samarpayet /	saMhitA mantritAni eva DUpitAni samarpayet /
   śivatattvātmakaṃ cādau vidyātattvātmakaṃ tataḥ // GarP_1,42.19 //	Siva tattva Atmakam ca AdO vidyA tattva Atmakam tatas // GarP_1,42.19 //
   ātmatattvātmakaṃ paścāddevakākhyaṃ tator'cayet /	Atma tattva Atmakam paScAt devaka AKyam tator acayet /
   oṃ hauṃ hauṃ śivatattvāya namaḥ /	om hOm hOm Siva tattvAya namaH /
   oṃ hīṃ(hīḥ) vidyātattvāya namaḥ // GarP_1,42.20 //	om hIM(hIH) vidyA tattvAya namaH // GarP_1,42.20 //
   oṃ hāṃ (hauḥ) ātmatattvāya namaḥ /	om hAm (hOH) Atma tattvAya namaH /
   oṃ hāṃ hīṃ hūṃ kṣaiṃ sarvatattvāya namaḥ /	om hAm hIm hUm kzEm sarva tattvAya namaH /
   kālātmanā tvayā deva yaddṛṣṭaṃ māmake vidhau // GarP_1,42.21 //	kAla AtmanA tvayA deva yat dRzwam mAmake viDO // GarP_1,42.21 //
   kṛtaṃ kliṣṭaṃ samutsṛṣṭaṃ hutaṃ gupta ca yatkṛtam /	kRtam klizwam samutsRzwam hutam gupta ca yat kRtam /
   sarvātmanātmanā śambho pavitreṇa tvadicchayā // GarP_1,42.22 //	sarva AtmanA AtmanA SamBo pavitreNa tvad icCayA // GarP_1,42.22 //
   pūrayapūraya makhavrataṃ tanniyameśvarāya sarvatattvātmakāya	pUrayapUraya maKa vratam tat niyameSvarAya sarva tattva AtmakAya
   sarvakāraṇapālitāya oṃ hāṃ hīṃ hūṃ haiṃ hauṃ śivāya namaḥ // GarP_1,42.23	sarva kAraNa pAlitAya om hAm hIm hUm hEm hOm SivAya namaH // GarP_1,42.23
   pūrvairanena yo dadyātpavitrāṇāṃ catuṣṭayam /	pUrvEH anena yaH dadyAt pavitrANAm catuzwayam /
   dattvā vahneḥ (vare) pavitraṃ ca gurave dakṣiṇāṃ diśet // GarP_1,42.24 //	dattvA vahneH (vare) pavitram ca gurave dakziNAm diSet // GarP_1,42.24 //
   baliṃ dattvā dvijān bhojya caṇḍaṃ prācyai visarjayet // GarP_1,42.25 //	balim dattvA dvijAn Bojya caNxam prAcyE visarjayet // GarP_1,42.25 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   śivapavitrāropaṇaṃ nāma dvicatvāriṃśo 'dhyāyaḥ	SivapavitrAropaNam nAma dvicatvAriMSaH aDyAyaH
   śrīgaruḍamahāpurāṇam  43	SrI garuxa mahApurANam 43
   hariruvāca /	hariH uvAca /
   pavitrāropaṇaṃ vakṣye bhuktimuktipradaṃ hareḥ /	pavitrAropaNam vakzye Bukti mukti pradam hareH /
   purā devāsure yuddhe brahmādyāḥ śaraṇaṃ yayuḥ // GarP_1,43.1 //	purA devAsure yudDe brahma AdyAH SaraNam yayuH // GarP_1,43.1 //
   viṣṇuśca teṣāṃ devānāṃ dhvajaṃ graiveyakaṃ dadau /	vizNuH ca tezAm devAnAm Dvajam grEveyakam dadO /
   etau dṛṣṭvā vinaṅkṣyanti dānavānabravīddhariḥ // GarP_1,43.2 //	etO dRzwvA vinaFkzyanti dAnavAn abravIt hariH // GarP_1,43.2 //
   viṣṇūkte hyabravīnnāgo vāsukeranujastadā /	vizNu ukte hi abravIt nAgaH vAsukeH anujaH tadA /
   vṛṇīta ca vapitrākhyaṃ varaṃ cedaṃ vṛṣadhvaja // GarP_1,43.3 //	vRNIta ca vapitra AKyam varam ca idam vRzaDvaja // GarP_1,43.3 //
   graiveyaṃ haridattaṃ tu mannāmnā khyātimeṣyati /	grEveyam hari dattam tu mad nAmnA KyAtim ezyati /
   ityukte tena te devāstannāmnā tadvaraṃ viduḥ // GarP_1,43.4 //	iti ukte tena te devAH tad nAmnA tad varam viduH // GarP_1,43.4 //
   prāvṛṭkāle tu ye martyā nārciṣyanti pavitrakaiḥ /	prAvRz kAle tu ye martyAH na arcizyanti pavitrakEH /
   teṣāṃ sāṃvatsarī pūjā viphalā ca bhaviṣyati // GarP_1,43.5 //	tezAm sAMvatsarI pUjA viPalA ca Bavizyati // GarP_1,43.5 //
   tasmātsarveṣu deveṣu pavitrāropaṇaṃ kramāt /	tasmAt sarvezu devezu pavitrAropaNam kramAt /
   pratipatpaurṇamāsyāntā yasya yā tithirucyate // GarP_1,43.6 //	pratipad pOrNamAsya antA yasya yA tiTiH ucyate // GarP_1,43.6 //
   dvādaśyāṃ viṣṇave kāryaṃ śukle kṛṣṇe 'tha vā hara /	dvAdaSyAm vizNave kAryam Sukle kRzNe aTa vA hara /
   vyatīpāte 'yane caiva candarasūryagrahe śiva // GarP_1,43.7 //	vyatIpAte ayane ca eva candara sUrya grahe Siva // GarP_1,43.7 //
   viṣṇave vṛddhikārye ca gurorāgamane tathā /	vizNave vRdDi kArye ca guroH Agamane taTA /
   nityaṃ pavitramuddiṣṭaṃ prāvṛṭkāle tvavaśyakam // GarP_1,43.8 //	nityam pavitram uddizwam prAvRz kAle tu avaSyakam // GarP_1,43.8 //
   kauśeyaṃ paṭṭasūtraṃ vā kārpāsaṃ kṣaumameva vā /	kOSeyam pawwasUtram vA kArpAsam kzOmam eva vA /
   kuśasūtra dvijānāṃ syādrājñā kauśeyapaṭṭakam // GarP_1,43.9 //	kuSasUtra dvijAnAm syAt rAjQA kOSeya pawwakam // GarP_1,43.9 //
   vaiśyānāṃ cīraṇaṃ kṣaumaṃ śūdrāṇāṃ śaṇavalkajam /	vESyAnAm cIraNam kzOmam SUdrANAm SaNa valka jam /
   kārpāsaṃ padmajaṃ caiva sarveṣāṃ śastamīśvara // GarP_1,43.10 //	kArpAsam padma jam ca eva sarvezAm Sastam ISvara // GarP_1,43.10 //
   brāhmaṇyā kartitaṃ sūtraṃ triguṇaṃ triguṇīkṛtam /	brAhmaNyA kartitam sUtram triguNam triguNIkRtam /
   oṃ kāro 'tha śivaḥ somo hyagnirbrahyā phaṇī raviḥ // GarP_1,43.11 //	om kAraH aTa SivaH somaH hi agniH brahyA PaNI raviH // GarP_1,43.11 //
   vighneśo viṣṇurityete sthitāstantuṣu devatāḥ /	viGneSaH vizNuH iti ete sTitAH tantuzu devatAH /
   brahmā viṣṇuśca rudraśca trisūtre devatāḥ smṛtāḥ // GarP_1,43.12 //	brahmA vizNuH ca rudraH ca tri sUtre devatAH smRtAH // GarP_1,43.12 //
   sauvarṇe rājate tāmre vaiṇave mṛnmaye nyaset /	sOvarNe rAjate tAmre vENave mRd maye nyaset /
   aṅguṣṭhena catuḥ ṣaṣṭiḥ śreṣṭhaṃ madhyaṃ tadardhataḥ // GarP_1,43.13 //	aFguzWena catuH zazwiH SrezWam maDyam tad arDataH // GarP_1,43.13 //
   tadardhā tu kaniṣṭhā syātsūtramaṣṭottaraṃ śatam /	tad arDA tu kanizWA syAt sUtram azwa uttaram Satam /
   uttamaṃ madhyamaṃ caiva kanyasaṃ pūrvavatkramāt // GarP_1,43.14 //	uttamam maDyamam ca eva kanyasam pUrvavat kramAt // GarP_1,43.14 //
   uttamoṃ'guṣṭhamānena madhyamo madhyamena tu /	uttamoM aguzWa mAnena maDyamaH maDyamena tu /
   kanyase ca kaniṣṭhena aṅgulyā granthayaḥ smṛtāḥ // GarP_1,43.15 //	kanyase ca kanizWena aFgulyAH granTayaH smRtAH // GarP_1,43.15 //
   vimāne sthaṇḍile caiva etatsāmānyalakṣaṇam /	vimAne sTaNxile ca eva etad sAmAnya lakzaNam /
   śivoddhṛtaṃ pavitraṃ tu pratimāyāṃ ca kārayet // GarP_1,43.16 //	Siva udDRtam pavitram tu pratimAyAm ca kArayet // GarP_1,43.16 //
   hṛnnābhirū(ru) rumāne ca jānubhyāmavalambinī /	hRd nABiH U(ru) rumAne ca jAnuByAm avalambinI /
   aṣṭottarasahasreṇa catvāro granthayaḥ smṛtāḥ // GarP_1,43.17 //	azwottarasahasreNa catvAraH granTayaH smRtAH // GarP_1,43.17 //
   ṣaṭtriṃ(ḍviṃ) śacca caturviśaddvādaśa granthayo 'thavā /	zaz triM(xvin) Sat ca catur viSat dvAdaSa granTayaH aTavA /
   uttamādiṣu vijñeyāḥ parvabhirvā pavitrakam // GarP_1,43.18 //	uttama Adizu vijQeyAH parvaBiH vA pavitrakam // GarP_1,43.18 //
   carcitaṃ kuṅkumenaiva haridrācandanena vā /	carcitam kuFkumena eva haridrA candanena vA /
   sopavāsaḥ pavitrantu pātrasthamadhivāsayet // GarP_1,43.19 //	sa upavAsaH pavitrantu pAtra sTam aDivAsayet // GarP_1,43.19 //
   aśvatthapatrapuṭake aṣṭadikṣu niveśitam /	aSvatTa patra puwake azwa dikzu niveSitam /
   daṇḍakāṣṭhaṃ kuśāgraṃ ca pūrve saṅkarṣaṇena tu // GarP_1,43.20 //	daNxakAzWam kuSa agram ca pUrve saFkarzaNena tu // GarP_1,43.20 //
   rocanākuṅkumenava pradyumnena tu dakṣiṇe /	rocanA kuFkumenava pradyumnena tu dakziNe /
   yuddhārtho phalasiddhyarthamaniruddhena paścime // GarP_1,43.21 //	yudDa arTaH Pala sidDi arTam anirudDena paScime // GarP_1,43.21 //
   candanaṃ nīlayuktaṃ ca tilabhasmākṣataṃ tathā /	candanam nIla yuktam ca tila Basma akzatam taTA /
   āgneyādiṣu koṇeṣur śyādīnāṃ tu kramānnyaset // GarP_1,43.22 //	Agneya Adizu koNezuH SyA AdInAm tu kramAt nyaset // GarP_1,43.22 //
   pavitraṃ vāsudevena abhimantrya sakṛtsakṛt /	pavitram vAsudevena aBimantrya sakRt sakRt /
   dṛṣṭvā punaḥ prapūjyātha vastreṇācchādya yatnataḥ // GarP_1,43.23 //	dRzwvA punar prapUjya aTa vastreNa AcCAdya yatnatas // GarP_1,43.23 //
   devasya purataḥ sthāpyaṃ pratimāmaṇḍalasya vā /	devasya puratas sTApyam pratimA maNxalasya vA /
   paścime dakṣiṇe caiva uttare pūrvavatkramāt // GarP_1,43.24 //	paScime dakziNe ca eva uttare pUrvavat kramAt // GarP_1,43.24 //
   brāhmādīṃścāpi saṃsthāpya kalaśaṃ cāpi pūjayet /	brAhma AdIn= ca api saMsTApya kalaSam ca api pUjayet /
   astreṇa maṇḍalaṃ kṛtvā naivedyañca samarpayet // GarP_1,43.25 //	astreNa maNxalam kRtvA nEvedyaQca samarpayet // GarP_1,43.25 //
   adhivāsya pavitraṃ tu trisūtreṇa navena vā (ca) /	aDivAsya pavitram tu tri sUtreNa navena vA (ca) /
   vedikāṃ veṣṭayitvā tu ātmānaṃma kalaśaṃ ghṛtam // GarP_1,43.26 //	vedikAm vezwayitvA tu AtmAnaMma kalaSam GRtam // GarP_1,43.26 //
   agnikuṇḍaṃ vimānaṃ ca maṇḍapaṃ gṛhameva ca /	agnikuNxam vimAnam ca maNxapam gRham eva ca /
   sūtramekaṃ tu saṃgṛhya dadyāddevasya mṛrdhāni // GarP_1,43.27 //	sUtram ekam tu saMgRhya dadyAt devasya mRrDAni // GarP_1,43.27 //
   dattvā paṭhedimaṃ mantraṃ pūjayitvā maheśvaram /	dattvA paWet imam mantram pUjayitvA maheSvaram /
   āvāhito 'si deveśa pūjārthaṃ parameśvara // GarP_1,43.28 //	AvAhitaH asi deveSa pUjA arTam parameSvara // GarP_1,43.28 //
   tatprabhāter'cayiṣyāmi sāmagyāḥ sannidhau bhava /	tad praBAter acayizyAmi sAmagyAH sanniDO Bava /
   ekarātraṃ trirātraṃ vā adhivāsya pavitrakam // GarP_1,43.29 //	eka rAtram tri rAtram vA aDivAsya pavitrakam // GarP_1,43.29 //
   rātrau jāgaraṇaṃ kṛtvā prātaḥ saṃpūjya keśavam /	rAtrO jAgaraNam kRtvA prAtar saMpUjya keSavam /
   āropayetkrameṇaiva jyeṣṭhamadhyakanīyasam // GarP_1,43.30 //	Aropayet krameNa eva jyezWa maDya kanIyasam // GarP_1,43.30 //
   dhūpayitvā pavitraṃ tu mantreṇaivābhimantrayet /	DUpayitvA pavitram tu mantreNa eva aBimantrayet /
   prajaptagranthikaṃ caiva pūjayetkusumādibhiḥ // GarP_1,43.31 //	prajapta granTikam ca eva pUjayet kusuma AdiBiH // GarP_1,43.31 //
   gāyattryā cārcitaṃ tena devaṃ saṃpūjya dāpayet /	gAyattryA ca arcitam tena devam saMpUjya dApayet /
   samaṃ putrakalatrādyaiḥ sūtrapucchaṃ tu dhārayet // GarP_1,43.32 //	samam putra kalatra AdyEH sUtra pucCam tu DArayet // GarP_1,43.32 //
   viśuddhagranthikaṃ ramyaṃ mahāpātakanāśanam /	viSudDa granTikam ramyam mahApAtaka nASanam /
   sarvapāpakṣayaṃ deva tavāgre dhārayāmyaham // GarP_1,43.33 //	sarva pApa kzayam deva tava agre DArayAmi aham // GarP_1,43.33 //
   evaṃ dhūpādinābhyarcya madhyamādīntsamarpayet /	evam DUpa AdinA aByarcya maDyam AdIn tsamarpayet /
   pavitraṃ vaiṣṇavaṃ tejaḥ sarvapātakanāśanam // GarP_1,43.34 //	pavitram vEzNavam tejaH sarva pAtaka nASanam // GarP_1,43.34 //
   dharmakāmārthasiddhyarthaṃ svakaṇṭhe dhārayāmyaham /	Darma kAma arTa sidDi arTam sva kaNWe DArayAmi aham /
   vanamālāṃ samabhyarcya svena mantreṇa dāpayet // GarP_1,43.35 //	vanamAlAm samaByarcya svena mantreNa dApayet // GarP_1,43.35 //
   naivedyaṃ vividhaṃ dattvā kusumāderbaliṃ haret /	nEvedyam viviDam dattvA kusuma AdeH balim haret /
   agniṃ saṃtarpya tatrāpi dvādaśāṅgulamānataḥ // GarP_1,43.36 //	agnim saMtarpya tatra api dvAdaSa aFgula mAnataH // GarP_1,43.36 //
   aṣṭottaraśatenaiva dadyādekapavitrakam /	azwottaraSatena eva dadyAt eka pavitrakam /
   ādau dattvārghyamāditye tatra caikaṃ pavitrakam // GarP_1,43.37 //	AdO dattvA arGyam Aditye tatra ca ekam pavitrakam // GarP_1,43.37 //
   viṣvaksenaṃ tataḥ prārcya surumarghyādibhirhara /	vizvaksenam tatas prArcya surumarGya AdiBiH hara /
   devasyāgre paṭhenmantraṃ kṛtāñjalipuṭaḥ sthitaḥ // GarP_1,43.38 //	devasya agre paWet mantram kRta aQjali puwaH sTitaH // GarP_1,43.38 //
   jñānato 'jñānato vāpi pūjanādi kṛtaṃ mayā /	jQAnataH ajQAnataH vA api pUjana Adi kRtam mayA /
   tatsarvaṃ pūrṇamevāstu tvatprasādātsureśvara // GarP_1,43.39 //	tat sarvam pUrNam eva astu tvad prasAdAt sura ISvara // GarP_1,43.39 //
   maṇividrumamālabhirmandārakusumādibhiḥ /	maNi vidruma m AlaBiH mandAra kusuma AdiBiH /
   iyaṃ sāṃvatsarī pūjā tavāstu garuḍadhvaja // GarP_1,43.40 //	iyam sAMvatsarI pUjA tava astu garuxaDvaja // GarP_1,43.40 //
   vanamālā yathā deva kaustubhaṃ satataṃ hṛdi /	vanamAlA yaTA deva kOstuBam satatam hRdi /
   tadvatpavitraṃ tantūnāṃ mālāṃ tvaṃ hṛdaye dhara // GarP_1,43.41 //	tadvat pavitram tantUnAm mAlAm tvam hRdaye Dara // GarP_1,43.41 //
   evaṃ prārthya dvijān bhojya dattvā tebhyaśca dakṣiṇām /	evam prArTya dvijAn Bojya dattvA teByaH ca dakziNAm /
   visarjayettu tenaiva sāyāhne tvapare 'hani // GarP_1,43.42 //	visarjayet tu tena eva sAyAhne tu apare ahani // GarP_1,43.42 //
   sāṃvatsarīmimāṃ pūjāṃ sampādya vidhivanmayā /	sAMvatsarIm imAm pUjAm sampAdya viDivat mayA /
   vrajeḥ pavitrakedānīṃ viṣṇulekaṃ visarjitaḥ // GarP_1,43.43 //	vrajeH pavitraka idAnIm vizNu lekam visarjitaH // GarP_1,43.43 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   viṣṇupavitrāropaṇaṃ nāma tricatvāriṃśo 'dhyāyaḥ	vizNupavitrAropaNam nAma tricatvAriMSaH aDyAyaH
   śrīgaruḍamahāpurāṇam  44	SrI garuxa mahApurANam 44
   hariruvāca /	hariH uvAca /
   pūjayitvā pavitrādyairbrahma dhyātvā harirbhavet /	pUjayitvA pavitra AdyEH brahma DyAtvA hariH Bavet /
   brahmadhyānaṃ pravakṣyāmi māyāyantrapramardakam // GarP_1,44.1 //	brahma DyAnam pravakzyAmi mAyA yantra pramardakam // GarP_1,44.1 //
   yacchedvāṅmanasaṃ prājñastaṃ yajejjñānamātmani /	yacCet vAc manasam prAjQaH tam yajet jQAnam Atmani /
   jñānaṃ mahati saṃyacchedya icchejjñānamātmāni // GarP_1,44.2 //	jQAnam mahati saMyacCet yaH icCet jQAnam AtmAni // GarP_1,44.2 //
   dehendriyamanobuddhiprāṇāhaṅkarāvarjitam /	deha indriya manaH budDi prANa ahaFkara Avarjitam /
   varjitaṃ bhūtatanmātrairguṇajanmāśanādibhiḥ // GarP_1,44.3 //	varjitam BUta tanmAtrEH guNa janma aSana AdiBiH // GarP_1,44.3 //
   svaprakāśaṃ nirākāraṃ sadānaṃ damanādi yat /	sva prakASam nirAkAram sa dAnam damana Adi yat /
   nityaṃ śuddhaṃ buddhamṛddhaṃ satyamānandamadvayam // GarP_1,44.4 //	nityam SudDam budDam RdDam satyam Anandam advayam // GarP_1,44.4 //
   turīyamakṣaraṃ brahma ahamasmi paraṃ padam /	turIyam akzaram brahma aham asmi param padam /
   ahaṃ brahmetyavasthānaṃ samādhirapi (riti) gīyate // GarP_1,44.5 //	aham brahma iti avasTAnam samADiH api (riti) gIyate // GarP_1,44.5 //
   ātmānaṃ rathinaṃ viddhi śarīraṃ rathameva tu /	AtmAnam raTinam vidDi SarIram raTam eva tu /
   buddhiṃ ca sārathiṃ viddhi manaḥ pragrahameva ca /	budDim ca sAraTim vidDi manaH pragraham eva ca /
   indriyāṇi hayānāhurviṣayāsteṣu gocarāḥ // GarP_1,44.6 //	indriyANi hayAn AhuH vizayAH tezu gocarAH // GarP_1,44.6 //
   ātmendriyamanoyukto bhoktetyārmanīṣiṇaḥ /	Atma indriya manaH yuktaH BoktA iti ArmanIziNaH /
   yastu vijñāna bāhmena yuktena manasā sadā // GarP_1,44.7 //	yaH tu vijQAna bAhmena yuktena manasA sadA // GarP_1,44.7 //
   sa tu tatpadamāpnoti sa hi bhūyo na jāyate /	sa tu tat padam Apnoti sa hi BUyas na jAyate /
   vijñānasārathiryastu manaḥ pragrahavānnaraḥ // GarP_1,44.8 //	vijQAna sAraTiH yaH tu manaH pragrahavAn naraH // GarP_1,44.8 //
   svardhunyāḥ pāramāpnoti tadviṣṇoḥ paramaṃ padam /	svarDunyAH pAram Apnoti tat vizNoH paramam padam /
   ahiṃsādiryamaḥ proktaḥ śaucādirniyamaḥ smṛtaḥ // GarP_1,44.9 //	ahiMsA AdiH yamaH proktaH SOca AdiH niyamaH smRtaH // GarP_1,44.9 //
   āsanaṃ padmakādyuktaṃ prāṇāyāmo marujjayaḥ /	Asanam padmaka Adi uktam prANAyAmaH marut jayaH /
   pratyāhā ro jayaḥ prokto dhyānamīśvaracintanam // GarP_1,44.10 //	pratyAhAH raH jayaH proktaH DyAnam ISvara cintanam // GarP_1,44.10 //
   manodhṛtirdhāraṇā sthātsamādhirbrahmaṇi sthitiḥ /	manaH DRtiH DAraNA sTAt samADiH brahmaNi sTitiH /
   pūrvaṃ cetaḥ sthiraṃ na syāttatomūrtiṃ vicintayet // GarP_1,44.11 //	pUrvam cetaH sTiram na syAt tatas mUrtim vicintayet // GarP_1,44.11 //
   hṛtpadmakarṇikāmadhye śaṅkhacakragadābjavān /	hRd padma karNikA maDye SaFKa cakra gadA abjavAn /
   śrīvatsakaustubhayuto vanamālāśriyā yutaḥ // GarP_1,44.12 //	SrIvatsa kOstuBa yutaH vanamAlA SriyA yutaH // GarP_1,44.12 //
