   Kāvyaprakāśaḥ	KAvya prakASaH
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra tulyayogitādyotakasya [ca] iti nipātasya /	atra tulya yogitAdyotakasya [ca] iti nipAtasya /
        {rāmosau bhuvaneṣu vikramaguṇaiḥ prāptaḥ prasiddhiṃ parā 	{rAmosO Buvanezu vikrama guNEH prAptaH prasidDim parA 
             masmadbhāgyaviparyayādyadi paraṃ devo na jānāti tam /	masmad BAgya viparyayAt yadi param devaH na jAnAti tam /
        bandīvaiṣa yaśāṃsi gāyati marudyasyaikabāṇāhati 	bandI iva eza yaSAMsi gAyati marudyasya eka bANa Ahati 
             śreṇībhūtaviśālatālavivarodgīrṇaiḥsvaraiḥsaptabhiḥ //109//}	SreNI BUta viSAla tAla vivara udgIrNEH svarEH saptaBiH //109//}
                       ([Viśākhadatta])	([ViSa AKadatta])
   atrāsāviti bhuvaneṣviti guṇairiti sarvanāmaprātipadikavacanānāṃ na tvaditi	atra asO= iti Buvanezu iti guNEH iti sarva nAma prAtipadika vacanAnAm na tvad iti
   na maditi api asmadityasya sarvākṣepiṇaḥ	na mad iti api asmad iti asya sarva AkzepiNaH
   bhāgyaviparyayādityanyathāsaṃpattimukhena na tvabhāvamukhenābhidhānasya /	BAgya viparyayAt iti an yaTA saMpatti muKena na tu aBAva muKena aBiDAnasya /
        {taruṇimani kalayati kalāmanumadanadhanurbhruvoḥ paṭhatyagre /	{taruNimani kalayati kalAmanumadana DanuH BruvoH paWati agre /
        adhivasati sakalalalanāmaulimiyaṃ cakitaṃhariṇacalanayanā //110//}	aDivasati sakala lalanA mOlim iyam cakitaMhariNa cala nayanA //110//}
                       (Mahimabhaṭṭa's Vyaktiviveka)	(Mahima Bawwa as Vyakti viveka)
   atra imanijavyayībhāvakarmabhūtādhārāṇāṃ svarūpasya taruṇatve, iti	atra ima nija vyayIBAva karma BUta ADArANAm svarUpasya taruNa tve, iti
   dhanuṣaḥ samīpe, iti maulau vasatīti tvādibhistulye, eṣāṃ vācakatve, asti	DanuzaH samIpe, iti mOlO vasati iti tu AdiBiH tulye, ezAm vAcaka tve, asti
   kaścit svarūpasya viśeṣo yaścamatkārakārī sa eva vyañjakatvaṃ prāpnoti /	kaScid svarUpasya viSezaH yaH camatkAra kArI saH eva vyaQjaka tvam prApnoti /
   evamanyeṣāmapi boddhavyam /	evam anyezAm api bodDavyam /
   varṇaracanānāṃ vyañjakatvaṃ guṇasvarūpanirūpaṇe udāhariṣyate apiśabdāt	varNa racanAnAm vyaQjaka tvam guNa svarUpa nirUpaNe udAharizyate api SabdAt 
   prabandheṣu nāṭakādiṣu /	prabanDezu nAwaka Adizu /
   evaṃ rasādīnāṃ pūrvagaṇitabhedābhyāṃ saha ṣaḍ bhedāḥ /	evam rasa AdInAm pUrva gaNita BedAByAm saha zaw BedAH /
   bhedāstadekapañcāśat ...	BedAH tat ekapaQcASat ...
   vyākhyātāḥ //	vyAKyAtAH //
   ... teṣāṃ cānyonyayojane // MKpr K_43 //	... tezAm ca anyonya yojane // MKpr K_43 //
   saṃkareṇa trirūpeṇa saṃsṛṣṭyā caikarūpayā /	saMkareNa trirUpeNa saMsRzwyA ca eka rUpayA /
   na kevalaṃ śuddhā evaikapañcāśadbhedā bhavanti / yāvatteṣāṃ	na kevalam SudDAH eva eka paQcASat BedAH Bavanti / yAvat tezAm
   svaprabhedairekapañcāśatā	sva praBedEH ekapaQcASatA
   saṃśayāspadatvenānugrāhakatayaikavyañjakānupraveśena ceti trividhena	saMSaya Aspada tvena anugrAhaka tayA eka vyaQjaka anupraveSena ca iti triviDena
   saṃkareṇa parasparanirapekṣarūpayaikaprakārayā saṃsṛṣṭyā ceti	saMkareNa paraspara nirapekza rUpayA eka prakArayA saMsRzwyA ca iti
   catur[bhir]guṇane /	catur[BiH ]guNane /
   vedakhābdhiviyaccandrāḥ ...	veda KAbDi viyat candrAH ...
   śuddhabhedaiḥ saha	SudDa BedEH saha
   ... śareṣuyugakhendavaḥ // MKpr K_44 //	... Sara izu yuga KendavaH // MKpr K_44 //
   tatra diṅmātramudāhṇiyate /	tatra diFmAtram udAhNiyate /
        {kkhaṇapāhuṇi ā de ara jā ā e suha a kiṃpi de bhaṇi ā /	{kKaNa pAhuNi A de ara jA A e suha a kiMpi de BaNi A /
        ru a i paḍoharavalahīgharammi aṇuṇiñja u varā ī //111//}	ru a i paxohara vala hIGarammi aNuNiQja u varA I //111//}
        [kṣaṇaprāghuṇikā devara jāyayā subhaga kimapi te bhaṇitā /	[kzaNa prAGuNikA devara jAyayA suBaga kim api te BaNitA /
        roditi gṛhapaścādbhāgavalanbhīgṛhe 'nunīyatāṃ varākī //]	roditi gRha paScAt BAga valan BIgRhe anunIyatAm varAkI //]
                       (Hāla's Gāthāsaptaśatī 963 ; Abhinavagupta's	(HAla as GATA saptaSatI 963 ; ABinava gupta as
   Dhvanyālokalocana 3)	Dhvani Aloka locanaH 3)
   atrānunayaḥ kimupabhogalakṣaṇe 'rthāntare saṃkramitaḥ	atra anunayaH kim upaBoga lakzaNe arTa antare saMkramitaH
   kimanuraṇananyāyenopabhoge eva vyaṅgye vyañjakaḥ iti saṃdehaḥ /	kim anuraNana nyAyena upaBoge eva vyaFgye vyaQjakaH iti saMdehaH /
        {snigdhaśyāmalakāntiliptaviyato velladbalākā ghanāḥ	{snigDa SyAmala kAnti lipta viyataH vellat balAkAH GanAH
             vātāḥ śīkariṇaḥ payodasuhṛdāmānandakekāḥ kalāḥ /	vAtAH SIkariNaH payoda suhRdAm Ananda kekAH kalAH /
        kāmaṃ santu dṛḍhaṃ kaṭhorahṛdayo rāmo 'smi sarvaṃ sahe	kAmam santu dRXam kaWora hRdayaH rAmaH asmi sarvam sahe
             vaidehī tu kathaṃ bhaviṣyati ha hā hā devi dhīrā bhava //112//}	vEdehI tu kaTam Bavizyati ha hA hA devi DIrAH Bava //112//}
                       (Ānandavardana's dhvanyāloka 2)	(Ānanda vardana as Dvani Aloke 2)
   atra lipteti payodasuhṛdāmiti ca atyantatiraskṛtavācyayoḥ saṃsṛṣṭiḥ /	atra liptA iti payoda suhRdAm iti ca atyanta tiraskRta vAcyayoH saMsRzwiH /
   tābhyāṃ saha rāmo 'smītyarthāntarasaṃkramitavācyasyānugrāhakabhāvena	tAByAm saha rAmaH asmi iti arTa antara saMkramita vAcyasya anugrAhaka BAvena
   rāmapadalakṣaṇaikavyañjakānupraveśena	rAma pada lakzaNa eka vyaQjaka anupraveSena
   cārthāntarasaṃkramitavācyarasadhvanyoḥ saṃkaraḥ / evamanyadapyudāhāryam //	ca arTa antara saMkramita vAcya rasa DvanyoH saMkaraH / evam anyat api udAhAryam //
   iti kāvyaprakāśe dhvaninirṇayo nāma caturtha ullāsaḥ ||4||	iti kAvya prakASe DvaninirNayaH nAma caturTaH ullAsaH ||4||
   atha pañcama ullāsaḥ	aTa paQcamaH ullAsaH
   evaṃ dhvanau nirṇīte guṇībhūtavyaṅgyaprabhedānāha /	evam DvanO nirNIte guNIBUta vyaFgya praBedAn Aha /
   agūḍhamaparasyāṅgaṃ vācyasiddhyaṅgamasphuṭam /	agUXam aparasya aFgam vAcya sidDi aFgama sPuwam /
   sandigdhatulyaprādhānye kākvākṣiptamasundaram // MKpr K_45 //	sandigDa tulya prADAnye kAku Akziptam asundaram // MKpr K_45 //
   vyaṅgyamevaṃ guṇībhūtavyaṅgyasyāṣṭau bhidāḥ smṛtāḥ /	vyaFgyam evam guNIBUta vyaFgyasya azwO BidAH smRtAH /
   kāminīkucakalaśavat gūḍhaṃ camatkaroti / agūḍhaṃ tu sphuṭatayā	kAminI kuca kalaSa vat gUXam camatkaroti / agUXam tu sPuwa tayA
   vācyāyamānamiti guṇībhūtameva / agūḍhaṃ yathā	vAcyAyamAnam iti guNIBUtam eva / agUXam yaTA
        {yasyāsuhṛtkṛtatiraskṛtiretya tapta 	{yasyA suhRd kRta tiraskRtiH etya tapta 
             sūcīvyadhavyatikareṇa yunakti karṇau /	sUcIvyaDa vyatikareNa yunakti karNO /
        kāñcīguṇagrathanabhājanameṣa so 'smi	kAQcI guNa graTana BAjanam eza saH asmi
             jīvanna saṃprati bhavāmi kimāvahāmi //113//}	jIvan na saMprati BavAmi kim AvahAmi //113//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra jīvannityarthāntarasaṃkramitavācyasya /	atra jIvan= iti arTa antara saMkramita vAcyasya /
        {unnidrakokanadareṇupiśaṅgitāngā	{unnidra kokanada reNu piSaFgitAn gA
             gāyanti mañju madhupā gṛhadīrghikāsu /	gAyanti maQju maDupAH gRha dIrGikAsu /
        etaccakāsti ca ravernavabandhujīva 	etat caka asti ca raveH navabanDujIva 
             puṣpacchadābhamudayācalacumbi bimbam //114//}	puzpa= Cada ABam udaya acala cumbi bimbam //114//}
                       (Kuntaka's Vakroktijīvita 2.3)	(Kuntaka as Vakrokti jIvitaH 2.3)
   atra cumbanasyātyantatiraskṛtavācyasya /	atra cumbanasya atyanta tiraskRta vAcyasya /
        {atrāsīt phaṇipāśabandhanavidhiḥ śaktyā bhavaddevare	{atra AsIt PaNi pASa banDana viDiH SaktyA Bavat devare
             gāḍhaṃ vakṣasi tāḍite hanumatā droṇādriratrāhṛtaḥ /	gAXam vakzasi tAxite hanumatA droNa adriH atra AhRtaH /
        divyairindrajidatra lakṣmaṇaśarairlokāntaraṃ prāpitaḥ	divyEH indrajit atra lakzmaNa SarEH loka antaram prApitaH
             kenāpyatra mṛgākṣi rākṣasapateḥ kṛttā ca kaṇṭhāṭavī //115// (1)}	kena api atra mRga akzi rAkzasa pateH kRttA ca kaNWa awavI //115// (1)}
                       (Rājaśekhara's Bālarāmāyaṇa 10.20)	(RA aja SeKara as BAla rAmAyaNa 10.20)
   atra kenāpyatretyarthaśaktimūlānuraṇanarūpasya / {tasyāpyatra} iti yuktaḥ	atra kena api atra iti arTa Sakti mUla anuraNana rUpasya / {tasya api atra} iti yuktaH
   pāṭhaḥ /	pAWaH /
   aparasya rasādervācyasya vā (vākyārthībhūtasya) aṅgaṃ rasādi	aparasya rasa AdeH vAcyasya vA (vAkya arTIBUtasya) aFgam rasa Adi
   anuraṇanarūpaṃ vā / yathā	anuraNana rUpam vA / yaTA
        {ayaṃ sa raśanotkarṣī pīnastanavimardanaḥ /	{ayam sa raSana utkarzI pIna stana vimardanaH /
        nābhyūrujaghanasparśī nīvīvisraṃsanaḥ karaḥ //116//}	nABI Uru jaGana sparSI nIvI visraMsanaH karaH //116//}
                       (Mahābhārata)	(Maha aBArata)
   atra śṛṅgāraḥ karuṇasya /	atra SRFgAraH karuNasya /
        {kailāsālayabhālalocanarucā nirvartitālaktaka 	{kElAsa Alaya BAla locana rucA nirvartita alaktaka 
             vyaktiḥ pādanakhadyutirgiribhuvaḥ sā vaḥ sadā trāyatām /	vyaktiH pAda naKa dyutiH giri BuvaH sA vaH sadA trAyatAm /
        spardhābandhasamṛddhayeva sudṛḍhaṃ rūḍhā yayā netrayoḥ	sparDA banDa samRdDayA iva su dRXam rUXAH yayA netrayoH
             kāntiḥ kokanadānukārasarasā sadyaḥ samutsāryate //117//}	kAntiH kokanada anukAra sarasA sadyas samutsAryate //117//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra bhāvasya rasaḥ /	atra BAvasya rasaH /
        {atyuccāḥ paritaḥ sphuranti girayaḥ sphārāstathābhyodhaya 	{ati uccAH paritas sPuranti girayaH sPArAH taTA aByoDaya 
             stānetānapi bibhratī kimapi na klāntāsi tubhyaṃ namaḥ /	stAn etAn api biBratI kim api na klAntA asi tuByam namaH /
        āścaryeṇa muhurmuhuḥ stutimiti prastaumi yāvadbhuva 	AScaryeNa muhur muhur stutim iti prastOmi yAvat Buva 
             stāvadbibhradimāṃ smṛtastava bhujo vācastato mudritāḥ //118//}	stAvat biBrat imAm smRtaH tava BujaH vAcaH tatas mudritAH //118//}
                       (Pañcākṣarīpraśasti)	(PaQcAkzarI praSasti)
   atra bhū.viṣayo ratyākhyo bhāvo rājaviṣayasya ratibhāvasya /	atra BU. vizayaH rati AKyaH BAvaH rAja vizayasya rati BAvasya /
        {bandīkṛtya nṛpa dviṣāṃ mṛgadṛśastāḥ paśyatāṃ preyasāṃ	{bandIkRtya nRpa dvizAm mRga dRSaH tAH paSyatAm preyasAm
             śliṣyanti praṇamanti lānti paritaścumbanti te sainikāḥ /	Slizyanti praNamanti lAnti paritas cumbanti te sEnikAH /
        asmākaṃ sukṛtairdṛśornipatitosyaucityavārāṃnidhe	asmAkam sukRtEH dRSoH nipati tosya OcityavAra aMniDe
             vidhvastā vipadokhilāstaditi taiḥ pratyarthibhiḥ stūyase	viDvastAH vipadoKilAH tat iti tEH pratyarTiBiH stUyase
                       (Subhāṣitaratnabhāṇḍāgāra 112/268)	(Su BAzita ratna BANxa AgAraH 112/268)
   atra bhāvasya rasābhāsabhāvābhāsau prathamārdhadvitīyārdhadyotyau /	atra BAvasya rasa ABAsa BAva aBAsO praTama arDa dvitIya arDa dyotyO /
        {aviralakaravālakampanairbhrukuṭītarjanagarjanairmuhuḥ /	{avirala karavAla kampanEH BrukuwI tarjana garjanEH muhur /
        dadṛśe tava vairiṇāṃ madaḥ sa gataḥ kvāpi tavekṣaṇe kṣaṇāt //120//}	dadRSe tava vEriNAm madaH sa gataH kvApi tava IkzaNe kzaNAt //120//}
                       (Viśvanātha's Sāhityadarpaṇa)	(ViSvanATa as SAhiti adarpaNa)
   atra bhāvasya bhāvapraśamaḥ /	atra BAvasya BAva praSamaH /
        {sākaṃ kuraṅgakadṛśā madhupānalīlāṃ	{sAkam kuraFga ka dRSA maDu pAna lIlAm
             kartuṃ suhṛdbhirapi vairiṇi te pravṛtte /	kartum suhRdBiH api vEriNi te pravRtte /
        anyābhidhāyi tava nāma vibho gṛhītaṃ	anya aBiDAyi tava nAma viBo gRhItam
             kenāpi tatra viṣamāmakarodavasthām //121//}	kena api tatra vizamAm akarot avasTAm //121//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra trāsodayaḥ /	atra trAsa udayaH /
        {asoḍhā tatkālollasadasahabhāvasya tapasaḥ	{a soXA tad kAla ulla sat asahaBAvasya tapasaH
             kathānāṃ viśrambheṣvatha ca rasikaḥ śailaduhituḥ /	kaTAnAm viSramBezu aTa ca rasikaH SEla duhituH /
        pramodaṃ vo diśyāt kapaṭabaṭuveṣāpanayane	pramodam vaH diSyAt kapawa bawu veza apanayane
             tvarāśaithilyābhyāṃ yugapadabhiyuktaḥ smaraharaḥ //122//}	tvarA SETilyAByAm yugapad aBi yuktaH smara haraH //122//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atrāvegadhairyayoḥ saṃdhiḥ //	atra Avega DEryayoH saMDiH //
        {paśyetkaściccala capala re kā tvarāhaṃ kumārī	{paSyet kaScid cala capala re kA tvarA aham kumArI
             hastālambaṃ vitara ha ha hā vyutkramaḥ kvāsi yāsi /	hasta Alambam vitara ha ha hA vyutkramaH kva asi yAsi /
        itthaṃ pṛthvīparivṛḍha bhavadvidviṣoraṇyavṛtteḥ	itTam pRTvI parivRXa Bavat vidvizoraNya vRtteH
             kanyā kañcit phalakisalayānyādadānābhidhatte //123//}	kanyA kaQcid Pala kisalayAni AdadAna aBiDatte //123//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra śaṅkāsūyādhṛtismṛtiśramadainyavibodhautsukyānāṃ śabalatā / ete ca	atra SaFkA asUyA DRti smRti Srama dEnya viboDa OtsukyAnAm Sabala tA / ete ca
   rasavadādyalaṅkārāḥ / yadyapi bhāvodayabhāvasaṃdhibhāvaśabalatvāni	rasavat Adi alaFkArAH / yadi api BAva udaya BAva saMDi BAva Sabala tvAni
   nālaṅkāratayā uktāni tathāpi kaścit brūyādityevamuktam / yadyapi sa nāsti	na alaFkAra tayA uktAni taTA api kaScid brUyAt iti evam uktam / yadi api sa na asti
   kaścidviṣayaḥ yatra dhvaniguṇībhūtavyaṅgyayoḥ svaprabhedādibhiḥ saha	kaScid vizayaH yatra Dvani guNIBUta vyaFgyayoH sva praBeda AdiBiH saha
   saṃkaraḥ saṃsṛṣṭirvā nāsti tathāpi prādhānyena vyapadeśā bhavantīti	saMkaraH saMsRzwiH vA na asti taTA api prADAnyena vyapadeSAH Bavanti iti
   kvacitkenacidvyavahāraḥ /	kvacid kenacid vyavahAraH /
        {janasthāne bhrāntaṃ kanakamṛgatṛṣṇāndhitadhiyā	{jana sTAne BrAntam kanaka mRga tRzNA anDita DiyA
             vaco vaidehīti pratipadamudaśru pralapitam /	vacaH vEdehi iti pratipadam udaSru pralapitam /
        kṛtālaṅkābharturvadanaparipāṭīṣughaṭanā	kRta alaFkA BartuH vadana paripAwI izu GawanA
             mayāptaṃ rāmatvaṃ kuśalavasutā na tvadhigatā //124//}	mayA Aptam rAma tvam kuSa la va sutA na tu aDigatA //124//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 66)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 66)
   atra śabdaśaktimūlānuraṇanarūpo rāmeṇa sahopamānopameyabhāvo	atra Sabda Sakti mUla anuraNana rUpaH rAmeNa saha upamAna upameya BAvaH 
   vācyāṅgatāṃ nītaḥ /	vAcya aFga tAm nItaH /
        {āgatya saṃprati viyogavisaṃṣṭhulāṅgī	{Agatya saMprati viyoga visaMzWulA aFgI
             mambhojinīṃ kvacidapi kṣapitatriyāmaḥ /	mamBojinIm kvacid api kzapita triyAmaH /
        etāṃ prasādayati paśya śanaiḥ prabhāte	etAm prasAdayati paSya SanEs praBAte
             tanvaṅgi pādapatanena sahasraraśmiḥ //125// (2)}	tanu aFgi pAda patanena sahasraraSmiH //125// (2)}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 67)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 67)
   atra nāyakavṛttānto 'rthaśaktimūlo vasturūpo	atra nAyaka vRttAntaH arTa Sakti mUlaH vastu rUpaH 
   nirapekṣaravikamalinīvṛttāntādhyāropeṇaiva sthitaḥ //	nirapekza ra vikamalinI vRttAnta aDyAropeNa eva sTitaH //
   vācyasiddhyaṅgaṃ yathā	vAcya sidDi aFgam yaTA
        {bhramimaratimalasahṛdayatāṃ pralayaṃ mūrchā tamaḥ śarīrasādam /	{Bramim arati mala sahRdaya tAm pralayam mUrCA tamaH SarIra sAdam /
        maraṇaṃ jaladabhujagajaṃ prasahya kurute viṣaṃ viyoginīnām //126//}	maraNam jalada Bujaga jam prasahya kurute vizam viyoginInAm //126//}
                       (Ānandavardana's dhvanyāloka 2.3)	(Ānanda vardana as Dvani Aloke 2.3)
   atra hālāhalaṃ vyaṅgyaṃ bhujagarūpasya vācyasya siddhikṛt / yathā vā	atra hAlAhalam vyaFgyam Bujaga rUpasya vAcyasya sidDi kRt / yaTA vA
        {gacchāmyacyuta darśanena bhavataḥ kiṃ tṛptirutpadyate	{gacCAmi acyuta darSanena BavataH kim tRptiH utpadyate
             kiṃ tvevaṃ vijanasthayorhatajanaḥsaṃbhāvayatyanyathā /	kim tu evam vijana sTayoH hata janaH saMBAvayati anyaTA /
        ityāmantraṇabhaṅgisūcitavṛthāvasthānakhedālasām	iti AmantraNa BaFgi sUcita vRTa avasTAna Keda alasAm
             āśliṣyan pulakotkarāñcitatanurgopīṃ hariḥ pātu vaḥ //127// (3)}	ASlizyan pulaka utkara AQcita tanuH gopIm hariH pAtu vaH //127// (3)}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atrācyutādipadavyaṅgyamāmantraṇetyādivācyasya / etaccaikatra	atra acyuta Adi pad a vyaFgyam AmantraNa ityAdi vAcyasya / etat ca ekatra
   ekavaktṛgatatvena aparatra bhinnavaktṛgatatvenetyanayorbhedaḥ //	eka vaktR gata tvena aparatra Binna vaktR gata tvena iti anayoH BedaH //
   asphuṭaṃ yathā	asPuwam yaTA
        {adṛṣṭe darśanotkaṇṭhā dṛṣṭe vicchedabhīrutā /	{adRzwe darSana utkaNWA dRzwe vicCeda BIru tA /
        nādṛṣṭena na dṛṣṭena bhavatā labhyate sukham //128// (4)}	na adRzwena na dRzwena BavatA laByate suKam //128// (4)}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atrādṛṣṭo yathā na bhavasi viyogabhayaṃ ca yathā notpadyate tathā kuryā	atra adRzwaH yaTA na Bavasi viyoga Bayam ca yaTA na utpadyate taTA kuryA
   iti kliṣṭam //	iti klizwam //
   saṃdigdhaprādhānyaṃ yathā	saMdigDa prADAnyam yaTA
        {harastu kiñcitparivṛttadhairyaścandrodayārambha ivāmburāśiḥ /	{haraH tu kiQcid parivRtta DEryaH candra udaya AramBaH iva amburASiH /
        umāmukhe bimbaphalādharoṣṭhe vyāpārayāmāsa vilocanāni //129// (5)}	umA muKe bimba Pala aDara uzWe vyApArayAmAsa vilocanAni //129// (5)}
                       (Kālidāsa's Kumārasaṃbhava 3.67)	(KAli dAsa as KumAra saMBavaH 3.67)
   atra paricumbitumaicchaditi kiṃ pratīyamānaṃ kiṃ vā vilocanavyāpāraṇaṃ	atra paricumbitum EcCat iti kim pratIyamAnam kim vA vilocana vyApAraNam
   vācyaṃ pradhānamiti saṃdehaḥ //	vAcyam praDAnam iti saMdehaH //
   tulyaprādhānyaṃ yathā	tulya prADAnyam yaTA
        {brāhmaṇātikramatyāgo bhavatāmeva bhūtaye /	{brAhmaNa atikrama tyAgaH BavatAm eva BUtaye /
        jāmadagnyastathā mitramanyathā durmanāyate //130// (6)}	jAmadagnyaH taTA mitram anyaTA durmanAyate //130// (6)}
                       (Bhavabhūti's Mahāvīracarita 2.8)	(Bhava BUti as MahAvIra caritaH 2.8)
   atra jāmadagnyaḥ sarveṣāṃ kṣatriyāṇāmiva rakṣasāṃ kṣaṇāt kṣayaṃ	atra jAmadagnyaH sarvezAm kzatriyANAm iva rakzasAm kzaNAt kzayam
   kariṣyatīti vyaṅgyasya vācyasya ca samaṃ prādhānyam //	karizyati iti vyaFgyasya vAcyasya ca samam prADAnyam //
   kākvākṣiptaṃ yathā	kAkvAkziptam yaTA
        {mathnāmi kauravaśataṃ samare na kopāt	{maTnAmi kOrava Satam samare na kopAt 
             duḥśāsanasya rudhiraṃ na pbāmyurastaḥ //	duHSAsanasya ruDiram na pbAmi uH astaH //
        saṃcūrṇayāmi gadayā na suyodhanorū	saMcUrNayAmi gadayA na suyoDana UrU
