   ṛṣaya ūcuḥ	RzayaH UcuH
   vayasyeva tato dharmānkuru tvamanahaṅkṛtaḥ // NarP_1,34.30 //	vayasi eva tatas DarmAn kuru tvam anahaFkRtaH // NA rP_1,34.30 //
   mā vināśaṃ vraja mune magnaḥ saṃsāragahvare /	mA vinASam vraja mune magnaH saMsAra gahvare /
   varurvināśanilayamāpadāṃ paramaṃ padam // NarP_1,34.31 //	varuH vinASa nilayam ApadAm paramam padam // NA rP_1,34.31 //
   śarīraṃ bhoganilayaṃ malādyaiḥ paridūṣitam /	SarIram Boga nilayam mala AdyEH paridUzitam /
   kimarthaṃ śāśvatadhiyā kuryātpāpaṃ naro vṛthā // NarP_1,34.32 //	kimarTam SASvata DiyA kuryAt pApam naraH vRTA // NA rP_1,34.32 //
   āsārabhūte saṃsāre nānāduḥ khasamanvite /	AsAra BUte saMsAre nAnAduH Ka samanvite /
   viśvāso nātra karttavyo niścitaṃ mṛtyusaṃkule // NarP_1,34.33 //	viSvAsaH na atra karttavyaH niScitam mRtyu saMkule // NA rP_1,34.33 //
   tasmācchṛṇuṣva viprendra satyametadvravīmyaham /	tasmAt SRNuzva vipra indra satyam etat vravImi aham /
   dehayoganivṛttyarthaṃ sadya eva janārdanam // NarP_1,34.34 //	deha yoga nivRtti arTam sadyas eva janArdanam // NA rP_1,34.34 //
   mānaṃ tyaktvā tathā lobhaṃ kāmakrodhavivarjitaḥ /	mAnam tyaktvA taTA loBam kAma kroDa vivarjitaH /
   bhajasva satataṃ viṣṇuṃ mānuṣyamatidurlabham // NarP_1,34.35 //	Bajasva satatam vizNum mAnuzyam ati durlaBam // NA rP_1,34.35 //
   koṭijanmasahasreṣu sthāvarādiṣu sattama /	kowi janma sahasrezu sTAvara Adizu sattamaH /
   saṃbhrāntasya tu mānuṣyaṃ kathañcitparilabhyate // NarP_1,34.36 //	saMBrAntasya tu mAnuzyam kaTaQcid parilaByate // NA rP_1,34.36 //
   tatrāpi devatābuddhirdānabuddhiśca sattama /	tatra api devatA budDiH dAna budDiH ca sattamaH /
   bhogabuddhistathā nṝṇāṃ janmāntaratapaḥ phalam // NarP_1,34.37 //	Boga budDiH taTA nLNAm janma antara tapaH Palam // NA rP_1,34.37 //
   mānuṣyaṃ durlabhaṃ prāpya yo hariṃ nārcayetsakṛt /	mAnuzyam durlaBam prApya yaH harim na arcayet sakRt /
   mūrkhaḥ ko 'sti parastasmājjaḍabuddhiracetanaḥ // NarP_1,34.38 //	mUrKaH kaH asti paraH tasmAt jaxa budDiH acetanaH // NA rP_1,34.38 //
   durlabhaṃ prāpya mānuṣyaṃ nārcayanti ca ye harim /	durlaBam prApya mAnuzyam na arcayanti ca ye harim /
   teṣāmatīva mūrkhāṇāṃ vivekaḥ kutra tiṣṭhati // NarP_1,34.39 //	tezAm atIva mUrKANAm vivekaH kutra tizWati // NA rP_1,34.39 //
   ārādhito jagannātho dadātyabhimataṃ phalam /	ArADitaH jagannATaH dadAti aBimatam Palam /
   kastaṃ na pūjayedviprasaṃsārāpripradīpitaḥ // NarP_1,34.40 //	kaH tam na pUjayet vipra saMsAra apripradIpitaH // NA rP_1,34.40 //
   caṇḍālo 'pi muniśreṣṭa viṣṇubhakto dvijādhikaḥ /	caNxAlaH api muni Srezwa vizNu BaktaH dvija aDikaH /
   viṣṇubhaktivihīnaśca dvijo 'pi śvapacādhamaḥ // NarP_1,34.41 //	vizNu Bakti vihInaH ca dvijaH api Svapaca aDamaH // NA rP_1,34.41 //
   tasmātkāmādikaṃ tyaktvā bhajeta harimavyayam /	tasmAt kAma Adikam tyaktvA Bajeta harim avyayam /
   yasmiṃstuṣṭe 'khilaṃ tuṣyedyataḥ sarvagato hariḥ // NarP_1,34.42 //	yasmin= tuzwe aKilam tuzyet yatas sarva gataH hariH // NA rP_1,34.42 //
   yathā hastipade sarvaṃ padamātraṃ pralīyate /	yaTA hasti pade sarvam pada mAtram pralIyate /
   tathaḥā carācaraṃ viśvaṃ viṣṇāviva pralīyate // NarP_1,34.43 //	taTaHA carAcaram viSvam vizNO= iva pralIyate // NA rP_1,34.43 //
   ākāśena yathā vyātpaṃ jagatsthāvarajaṅgamam /	AkASena yaTA vyAtpam jagat sTAvara jaFgamam /
   tathaiva hariṇā vyātpaṃ viśvametaccarācaram // NarP_1,34.44 //	taTA eva hariNA vyAtpam viSvam etat carAcaram // NA rP_1,34.44 //
   janmano maraṇaṃ nṝṇāṃ janma vai mṛtyusādhanam /	janmanaH maraNam nLNAm janma vE mRtyu sADanam /
   ubhe te nikaṭe viddhi tannāśo harisevayā // NarP_1,34.45 //	uBe te nikawe vidDi tad nASaH hari sevayA // NA rP_1,34.45 //
   dhyātaḥ smṛtaḥ pūjito vā praṇato vā janārdanaḥ /	DyAtaH smRtaH pUjitaH vA praNataH vA janArdanaH /
   saṃsārapāśavicchedīkastaṃ na pratipūjayet // NarP_1,34.46 //	saMsAra pASa vicCedIkaH tam na pratipUjayet // NA rP_1,34.46 //
   yannāmoccāṃraṇādeva mahāpātakanāśanam /	yat nAma uccAMraNAt eva mahApAtaka nASanam /
   yaṃ samabhyarcya viprarṣe mokṣabhāgī bhavennaraḥ // NarP_1,34.47 //	yam samaByarcya vipra Rze mokza BAgI Bavet naraH // NA rP_1,34.47 //
   aho citramaho citramaho citramidaṃ dvija /	aho citram aho citram aho citram idam dvija /
   harināmni sthite lokaḥ saṃsāre parivarttate // NarP_1,34.48 //	hari nAmni sTite lokaH saMsAre parivarttate // NA rP_1,34.48 //
   bhūyobhūyo 'pi vakṣyāmi satyametattapodhana /	BUyas BUyas api vakzyAmi satyam etat tapoDana /
   nīyamāno yamabhaṭairaśakto dharmasādhanaiḥ // NarP_1,34.49 //	nIyamAnaH yama BawEH aSaktaH Darma sADanEH // NA rP_1,34.49 //
   yāvannendriyavaikalyaṃ yāvadvyādhirna bādhate /	yAvat na indriya vEkalyam yAvat vyADiH na bADate /
   tāvadevārcayedviṣṇuṃ yadi muktimabhīpsati // NarP_1,34.50 //	tAvat eva arcayet vizNum yadi muktim aBIpsati // NA rP_1,34.50 //
   māturgarbhādviniḥ	mAtuH garBAt viniH
   māturgarbhādviniṣkrānto yadā jantustadaiva hi /	mAtuH garBAt vinizkrAntaH yadA jantuH tadA eva hi /
   mṛtyuḥ saṃnihito bhūyāttasmāddharmaparo bhavet // NarP_1,34.51 //	mRtyuH saMnihitaH BUyAt tasmAt Darma paraH Bavet // NA rP_1,34.51 //
   aho kaṣṭamaho kaṣṭamahokaṣṭamidaṃ vapuḥ /	aho kazwam aho kazwam ahokazwam idam vapuH /
   vinaśvaraṃ samājñāya dharmaṃ naivācaratyayam // NarP_1,34.52 //	vinaSvaram samAjQAya Darmam na eva Acarati ayam // NA rP_1,34.52 //
   satyaṃ satyaṃ punaḥ satyamuddhṛtya bhujamucyate /	satyam satyam punar satyam udDRtya Bujam ucyate /
   dambhācāraṃ parityajyaṃ vāsudevaṃ samarcayet // NarP_1,34.53 //	damBa AcAram parityajyam vAsudevam samarcayet // NA rP_1,34.53 //
   bhūyo bhūyo hitaṃ vacmi bhujamuddhṛtya nārada /	BUyas BUyas hitam vacmi Bujam udDRtya nArada /
   viṣṇuḥ sarvātmanā pūjyastyājyāsūyā tathānṛtam // NarP_1,34.54 //	vizNuH sarva AtmanA pUjyaH tyAjya asUyA taTA anRtam // NA rP_1,34.54 //
   krodhamūlo manastāpaḥ krodhaḥ saṃsārabandhanam /	kroDa mUlaH manaH tApaH kroDaH saMsAra banDanam /
   dharmakṣayakaraḥ krodhastasmāttaṃ parivarjayet // NarP_1,34.55 //	Darma kzaya karaH kroDaH tasmAt tam parivarjayet // NA rP_1,34.55 //
   kāmamūlamidaṃ janma kāmaḥ pāpasya kāraṇam /	kAma mUlam idam janma kAmaH pApasya kAraNam /
   yaśaḥ kṣayakaraḥ kāmastasmāttaṃ parivarjayet // NarP_1,34.56 //	yaSaH kzaya karaH kAmaH tasmAt tam parivarjayet // NA rP_1,34.56 //
   samastaduḥkhajālānāṃ mātsaryaṃ kāraṇaṃ smṛtam /	samasta duHKa jAlAnAm mAtsaryam kAraNam smRtam /
   narakāṇāṃ sādhanaṃ ca tasmāttadapi saṃtyajet // NarP_1,34.57 //	narakANAm sADanam ca tasmAt tat api saMtyajet // NA rP_1,34.57 //
   mana eva manuṣyāṇāṃ kāraṇaṃ bandhamokṣayoḥ /	manaH eva manuzyANAm kAraNam banDa mokzayoH /
   tasmāttadabhisaṃyojya parātmani sukhī bhavet // NarP_1,34.58 //	tasmAt tad aBisaMyojya para Atmani suKI Bavet // NA rP_1,34.58 //
   aho dhairyamaho dhairyamaho dhairyamaho nṛṇām /	aho DEryam aho DEryam aho DEryam aho nRNAm /
   viṣṇau sthite jagannāthe na bhajanti madoddhatāḥ // NarP_1,34.59 //	vizNO sTite jagannATe na Bajanti mada udDatAH // NA rP_1,34.59 //
   anārādhya jagannāthaṃ sarvadhātāramacyutam /	anArADya jagannATam sarva DAtAram acyutam /
   saṃsārasāgare magnāḥ kathaṃ pāraṃ prayānti hi // NarP_1,34.60 //	saMsAra sAgare magnAH kaTam pAram prayAnti hi // NA rP_1,34.60 //
   acyutānantagovindanāmoccāraṇabheṣajāt /	acyuta ananta govinda nAma uccAraNa BezajAt /
   naśyanti sakalā rogāḥ satyaṃ satyaṃ vadāmyaham // NarP_1,34.61 //	naSyanti sakalAH rogAH satyam satyam vadAmi aham // NA rP_1,34.61 //
   nārāyaṇa jagannātha vāsudeva janārddana /	nArAyaNa jagannATa vAsudeva janArddana /
   itīrayanti ye nityaṃ te vai sarvatra vanditāḥ // NarP_1,34.62 //	iti Irayanti ye nityam te vE sarvatra vanditAH // NA rP_1,34.62 //
   adyāpi ca muniśreṣṭa brahmādyā api devatāḥ /	adya api ca muni Srezwa brahma AdyAH api devatAH /
   yatprābhāvaṃ na jānanti taṃ yāhi śaraṇaṃ mune // NarP_1,34.63 //	yad prABAvam na jAnanti tam yAhi SaraNam mune // NA rP_1,34.63 //
   aho maurkhyamaho maurkhyamaho maurkhyaṃ durātmanām /	aho mOrKyam aho mOrKyam aho mOrKyam durAtmanAm /
   hṛtpadmasaṃsthitaṃ viṣṇuṃ na vijānanti nārada // NarP_1,34.64 //	hRd padma saMsTitam vizNum na vijAnanti nArada // NA rP_1,34.64 //
   śṛṇuṣva muniśārdūla bhūyobhūyo vadāmyaham /	SRNuzva muni SArdUla BUyas BUyas vadAmi aham /
   hariḥ śraddhāvatāṃ tuṣyenna dhanairna ca bāndhavaiḥ // NarP_1,34.65 //	hariH SradDAvatAm tuzyet na DanEH na ca bAnDavEH // NA rP_1,34.65 //
   bandhumattvaṃ dhanāḍhyatvaṃ putravattvaṃ ca sattama /	banDumat tvam Dana AXya tvam putravat tvam ca sattamaH /
   viṣṇubhaghaktimatāṃ nṝṇāṃ bhavejjanmani janmani // NarP_1,34.66 //	vizNu BaGaktimatAm nLNAm Bavet janmani janmani // NA rP_1,34.66 //
   pāpamūlamayaṃ dehaḥ pāpakarmaratastathā /	pApa mUla mayam dehaH pApa karma rataH taTA /
   etadviditvā satataṃ pūjanīyo janārddanaḥ // NarP_1,34.67 //	etat viditvA satatam pUjanIyaH janArddanaH // NA rP_1,34.67 //
   putramitrakalatrādyā bahavaḥ syuśca saṃpadaḥ /	putra mitra kalatra AdyAH bahavaH syuH ca saMpadaH /
   haripūjāratānāṃ tu bhavatyena na saṃśayaḥ // NarP_1,34.68 //	hari pUjA ratAnAm tu Bavati ena na saMSayaH // NA rP_1,34.68 //
   ihāmutra sukhaprepsuḥ pūjayetsatataṃ harim /	iha amutra suKa prepsuH pUjayet satatam harim /
   ihāmutrāsukhaprepsuḥ paranindāparo bhavet // NarP_1,34.69 //	iha amutra asuKa prepsuH para nindA paraH Bavet // NA rP_1,34.69 //
   dhigjanma bhaktihīnānāṃ devadeve janārddane /	Dik janma Bakti hInAnAm devadeve janArddane /
   satpātradānaśūnyaṃ yattaddhanaṃ dhikpunaḥ punaḥ // NarP_1,34.70 //	sat pAtra dAna SUnyam yat tat Danam Dik punaH punar // NA rP_1,34.70 //
   na namedviṣṇave yasya śarīraṃ karmabhedine /	na namet vizNave yasya SarIram karma Bedine /
   pāpānāmākaraṃ tadvai vijñeyaṃ munisattama // NarP_1,34.71 //	pApAnAm Akaram tat vE vijQeyam muni sattamaH // NA rP_1,34.71 //
   satpātradānarahitaṃ yaddravyaṃ yena rakṣitam /	sat pAtra dAna rahitam yat dravyam yena rakzitam /
   cauryeṇa rakṣitamiva viddhi lokeṣu niścitam // NarP_1,34.72 //	cOryeNa rakzitam iva vidDi lokezu niScitam // NA rP_1,34.72 //
   taḍillolaśriyā mattāḥ kṣaṇaṃbhayuraśālinaḥ /	taxit lola SriyA mattAH kzaNaMBayuH aSAlinaH /
   nārādhayanti viśveśaṃ paśupāśavimocakam // NarP_1,34.73 //	na ArADayanti viSveSam paSu pASa vimocakam // NA rP_1,34.73 //
   sṛṣṭistu dvividhā proktā daivāsuravibhedataḥ /	sRzwiH tu dviviDA proktAH dEva asura viBedataH /
   hari bhakti yutā daivī taddhīnā hyāsurī mahā // NarP_1,34.74 //	hari Bakti yutA dEvI tad hInA hi AsurI mahA // NA rP_1,34.74 //
   tasmācchṛṇaṣva viprendra haribhaktiparāyaṇāḥ /	tasmAt SRNazva vipra indra hari Bakti parAyaNAH /
   śreṣṭhāḥ sarvatra vikhyātā yato bhaktiḥ sudurlabhā // NarP_1,34.75 //	SrezWAH sarvatra viKyAtA yatas BaktiH su durlaBAH // NA rP_1,34.75 //
   asūyārahitā ye ca vipratrāṇaparāyaṇāḥ /	asUyA rahitAH ye ca vipratrANa parAyaNAH /
   kāmādirahitā ye ca teṣāṃ tuṣyati keśavaḥ // NarP_1,34.76 //	kAma Adi rahitAH ye ca tezAm tuzyati keSavaH // NA rP_1,34.76 //
   saṃmārjanādinā ye tu viṣṇuśuśrūṣaṇe ratāḥ /	saMmArjana AdinA ye tu vizNu SuSrUzaNe ratAH /
   satpātradānaniratāḥ prayānti paramaṃ padam // NarP_1,34.77 //	sat pAtra dAna niratAH prayAnti paramam padam // NA rP_1,34.77 //
   iti śrībṛhannāradīyapurāṇe pūrvabhāge prathamapāde haribhaktilakṣaṇaṃ nāma	iti SrI bRhat nAradIyapurANe pUrva BAge praTama pAde hariBakti lakzaNam nAma
   catustriṃśo 'dhyāyaḥ	catustriMSaH aDyAyaH
   sanaka uvāca	sanakaH uvAca
   punarvakṣyāmi māhātmyaṃ devadevasya cakriṇaḥ /	punar vakzyAmi mAhAtmyam devadevasya cakriNaH /
   paṭhatāṃ śuṇvatāṃ sadyaḥ pāparāśiḥ praṇaśyati // NarP_1,35.1 //	paWatAm SuNvatAm sadyas pApa rASiH praNaSyati // NA rP_1,35.1 //
   śāntā jitāriṣaḍvargā yogenāpyanahṝṅkṛtāḥ /	SAntAH jita ari zaxvargAH yogena api anahLFkRtAH /
   yajanti jñānayogena jñānarūpiṇamavyayam // NarP_1,35.2 //	yajanti jQAna yogena jQAna rUpiNam avyayam // NA rP_1,35.2 //
   tīrthasnānairviśuddhā ye vratadānatapomakhaiḥ /	tIrTa snAnEH viSudDAH ye vrata dAna tapaH maKEH /
   yajanti karmayogena sarvadhātāramacyutam // NarP_1,35.3 //	yajanti karma yogena sarva DAtAram acyutam // NA rP_1,35.3 //
   lubdhā vyasanito 'jñāśca na yajanti jagatpatim /	lubDAH vyasanitaH ajQAH ca na yajanti jagatpatim /
   ajarāmaravanmūḍhāstiṣṭanti narakīṭakāḥ // NarP_1,35.4 //	ajara amara vat mUXAH tizwanti nara kIwakAH // NA rP_1,35.4 //
   taḍillekhāśriyā mattā vṛthāhṝṅkāradviṣitāḥ /	taxit leKA SriyAH mattAH vRTA hLFkAra dvizitAH /
   na yajanti jagannāthaṃ sarvaśraiyovidhāyakam // NarP_1,35.5 //	na yajanti jagannATam sarva SrEyoviDAyakam // NA rP_1,35.5 //
   haridharmaratāḥ śāntā haripādābjasevakāḥ /	hari Darma ratAH SAntAH hari pAda abja sevakAH /
   daivātke 'pīha jāyante lokānugrahatatparāḥ // NarP_1,35.6 //	dEvAt ke api iha jAyante loka anugraha tatparAH // NA rP_1,35.6 //
   karmaṇā manasā vācā yo yajedbhaktito harim /	karmaNA manasA vAcA yaH yajet BaktitaH harim /
   sa yāti paramaṃ sthānaṃ sarvalokottamottamam // NarP_1,35.7 //	sa yAti paramam sTAnam sarva loka uttama uttamam // NA rP_1,35.7 //
   atraivodāharantīmamitihāsaṃ purātanam /	atra eva udAharanti imam itihAsam purAtanam /
   paṭhatāṃ śṛṇvatāṃ caiva sarvapāpapraṇāśanam // NarP_1,35.8 //	paWatAm SRNvatAm ca eva sarva pApa praNASanam // NA rP_1,35.8 //
   tatpravakṣyāmi caritaṃ yajñamālisumālinoḥ /	tat pravakzyAmi caritam yajQam Ali sumAlinoH /
   yasya śravaṇamātreṇa vācimedha phalaṃ labhet // NarP_1,35.9 //	yasya SravaNa mAtreNa vAcimeDa Palam laBet // NA rP_1,35.9 //
   kaścidāsītpurā vipra brahmaṇo raivateṃ'tare /	kaScid AsIt purA vipra brahmaNaH rEvateM atare /
   vedamāliriti khyāto vedavedāṅgapāragaḥ // NarP_1,35.10 //	vedamAliH iti KyAtaH veda vedAFga pAragaH // NA rP_1,35.10 //
   sarvabhūtadayāyukto haripūjāparāyaṇaḥ /	sarva BUta dayA yuktaH hari pUjA parAyaNaH /
   putramitrakalatrārthaṃ dhanārjanaparo 'bhavat // NarP_1,35.11 //	putra mitra kalatra arTam Dana arjana paraH aBavat // NA rP_1,35.11 //
   apaṇyaṃvikrayaṃ cakre tathā ca rasivikrayam /	apaNyaMvikrayam cakre taTA ca rasi vikrayam /
   caṇḍālādyairapi tathā saṃbhaṣī tatpratigrahī // NarP_1,35.12 //	caNxAla AdyEH api taTA saMBazI tad pratigrahI // NA rP_1,35.12 //
   tapasāṃ vikrayaṃ cakre vratānāṃ vikrayaṃ tathā /	tapasAm vikrayam cakre vratAnAm vikrayam taTA /
   parārthaṃ tīrthagamanaṃ kalatrārthamakārayat // NarP_1,35.13 //	para arTam tIrTa gamanam kalatra arTam akArayat // NA rP_1,35.13 //
   kālena gacchatā vipra jātau tasya sutāvubho /	kAlena gacCatA vipra jAtO tasya sutO= uBaH /
   yajñamālī sumālī ca yamalāvatiśobhanau // NarP_1,35.14 //	yajQamAlI sumAlI ca yamalO= ati SoBanO // NA rP_1,35.14 //
   tataḥ pitā kumārau tāvatisnehasamanvitaḥ /	tatas pitA kumArO tO= ati sneha samanvitaH /
   poṣayāmāsa vātsalyādbahubhiḥ sādhanaistadā // NarP_1,35.15 //	pozayAmAsa vAtsalyAt bahuBiH sADanEH tadA // NA rP_1,35.15 //
   vedamālirbahūpāyairdhanaṃ saṃpādya yatnataḥ /	vedam AliH bahu upAyEH Danam saMpAdya yatnatas /
   svadhanaṃ gaṇayāmāsa kiyatsyāditi veditum // NarP_1,35.16 //	sva Danam gaNayAmAsa kiyatsyAt iti veditum // NA rP_1,35.16 //
   nidhikoṭisahasrāṇāṃ koṭikoṭiguṇānvitam /	niDi kowi sahasrANAm kowi kowi guNa anvitam /
   vigaṇayya svayaṃ dṛṣṭo vismitaścārthacintayā // NarP_1,35.17 //	vigaNayya svayam dRzwaH vismitaH ca arTa cintayA // NA rP_1,35.17 //
   asatpratigrahaiścaiva apaṇyānāṃ ca vikrayaiḥ /	asat pratigrahEH ca eva apaNyAnAm ca vikrayEH /
   meyā tapo vikrayādyairetaddhanamupārjitam // NarP_1,35.18 //	meyA tapaH vikraya AdyEH etat Danam upArjitam // NA rP_1,35.18 //
   nādyāpi śāntimāpannā mama tṛṣṇātiduḥsahā /	na adya api SAntim ApannA mama tRzNA ati duHsahAH /
   merutulyasuvarṇāni hyasaṃkhyātāni vāñchati // NarP_1,35.19 //	meru tulya suvarNAni hi asaMKyAtAni vAQCati // NA rP_1,35.19 //
   aho manye mahākaṣṭaṃ samastakleśasādhanam /	aho manye mahAkazwam samasta kleSa sADanam /
   sarvānkāmānavāṃpnoti punaranyañca kāṅkṣati // NarP_1,35.20 //	sarvAn kAmAn avAMpnoti punar anyaQca kAFkzati // NA rP_1,35.20 //
   jīryanti jīryataḥ keśāḥ dantā jīryanti jīryataḥ /	jIryanti jIryataH keSAH dantAH jIryanti jIryataH /
   cakṣuḥśrotre ca jīryete tṛṣṇekā taruṇāyate // NarP_1,35.21 //	cakzuH Srotre ca jIryete tRzNekA taruNAyate // NA rP_1,35.21 //
   mamedriyāṇi sarvāṇi mandabhāvaṃ vrajanti ca /	mama idriyANi sarvANi manda BAvam vrajanti ca /
   balaṃ hataṃ ca jarasā tṛṣṇā taruṇatāṃ gatā // NarP_1,35.22 //	balam hatam ca jarasA tRzNA taruNa tAm gatAH // NA rP_1,35.22 //
   kaṣṭāśā varttate yasya sa vidrānatha paṇḍitaḥ /	kazwa ASA varttate yasya sa vidrAn aTa paNxitaH /
   suśānto 'pi pramanyuḥ syāddhīmānapyatimūḍhadhīḥ // NarP_1,35.23 //	su SAntaH api pramanyuH syAt DImAn api ati mUXa DIH // NA rP_1,35.23 //
   āśā bhaṅgakarī puṃsāmajeyārātisannibhā /	ASA BaFga karI puMsAm ajeya arAti sanniBA /
   tasmādāśāṃ tyajetprājño yadīcchecchāśvataṃ sukham // NarP_1,35.24 //	tasmAt ASAm tyajet prAjQaH yadi icCet SASvatam suKam // NA rP_1,35.24 //
   balaṃ tejoḥ yaśaśvaiva vidyāṃ mānaṃ ca vṛddhatām /	balam tejoH yaSaSvA eva vidyAm mAnam ca vRdDa tAm /
   tathaiva satkule janma āśā hatyativegataḥ // NarP_1,35.25 //	taTA eva sat kule janma ASAH hati ati vegataH // NA rP_1,35.25 //
   nṛṇāmāśābhibhūtānāmāścaryamidasucyate /	nRNAm ASA aBiBUtAnAm AScaryam idasucyate /
   kiñciddātāpi cāṇḍālastasmādadhikatāṃ gataḥ // NarP_1,35.26 //	kiQcid dAtA api cANxAlaH tasmAt aDika tAm gataH // NA rP_1,35.26 //
   āśābhibhūtā ye martyā mahāmohā mahoddhatāḥ /	ASA aBiBUtAH ye martyAH mahA mohAH mahA udDatAH /
   avamānādikaṃ duḥkhaṃ na jānanti kadāpyaho // NarP_1,35.27 //	avamAna Adikam duHKam na jAnanti kadA api aho // NA rP_1,35.27 //
   mayāpyevaṃ bahukliśairetaddhanamupārjitam /	mayA api evam bahu kliSEH etat Danam upArjitam /
   śarīramapi jīrṇaṃ ca jarasāpahataṃ balam // NarP_1,35.28 //	SarIram api jIrNam ca jarasA apahatam balam // NA rP_1,35.28 //
   itaḥ paraṃ yatiṣyāmi paralokārthamādarāt /	itas param yatizyAmi para loka arTam AdarAt /
   evaṃ niścitya viprendra dharmamārga rato 'bhavat // NarP_1,35.29 //	evam niScitya vipra indra Darma mArga rataH aBavat // NA rP_1,35.29 //
   tadaiva taddhanaṃ sarvaṃ caturddhā vyabhajattathā /	tadA eva tat Danam sarvam caturdDA vyaBajat taTA /
   svayaṃ tu bhāga dvitaya svārjitārthādapāharat // NarP_1,35.30 //	svayam tu BAga dvitaya sva arjita arTAt apAharat // NA rP_1,35.30 //
   śeṣaṃ ca bhāgadvitayaṃ putrayorubhayordadau /	Sezam ca BAga dvitayam putrayoH uBayoH dadO /
   svenārjitānāṃ pāpānāṃ nāśaṃ kartumanāstadā // NarP_1,35.31 //	svena arjitAnAm pApAnAm nASam kartu manAH tadA // NA rP_1,35.31 //
   prapātaḍāgārāmāṃśca tathā devagṛhānbahūn /	prapAta xAga ArAmAn= ca taTA deva gRhAn bahUn /
   annādīnāṃ ca dānāni gaṅgātīre cakāra saḥ // NarP_1,35.32 //	anna AdInAm ca dAnAni gaFgA tIre cakAra saH // NA rP_1,35.32 //
   evaṃ dhanamaśeṣaṃ ca viśrāṇya haribhaktimān /	evam Danam aSezam ca viSrANya hari BaktimAn /
   nāranārāyaṇa sthānaṃ jagāma tapase vanam // NarP_1,35.33 //	nAra nArAyaNa sTAnam jagAma tapase vanam // NA rP_1,35.33 //
   tatrāpaśyanmahāramyamāśramaṃ munisevitam /	tatra apaSyat mahA ramyam ASramam muni sevitam /
   phalitaiḥ puṣaapitaiścaiva śobhitaṃ vṛkṣasaṃcayaiḥ // NarP_1,35.34 //	PalitEH puzaa pitEH ca eva SoBitam vRkza saMcayEH // NA rP_1,35.34 //
   gṛṇadbhiḥ paramaṃ brahma śāstracintāparaistathā /	gRNadBiH paramam brahma SAstra cintA parEH taTA /
   paricaryāparairvṛddhairmunibhiḥ pariśobhitam // NarP_1,35.35 //	paricaryA parEH vRdDEH muniBiH pariSoBitam // NA rP_1,35.35 //
   śiṣyaiḥ parivṛtaṃ tatra muniṃ jānanti saṃjñakam /	SizyEH parivRtam tatra munim jAnanti saMjQakam /
   gṛṇantaṃ paramaṃ brahma tejorāśiṃ dadarśa ha // NarP_1,35.36 //	gRNantam paramam brahma tejaH rASim dadarSa ha // NA rP_1,35.36 //
   śamādiguṇasaṃyuktaṃ rāgādirahitaṃ munim /	Sama Adi guNa saMyuktam rAga Adi rahitam munim /
   śīrṇaparṇāśanaṃ dṛṣṭvā vedamālirnanāma tam // NarP_1,35.37 //	SIrNa parNa aSanam dRzwvA vedamAliH nanAma tam // NA rP_1,35.37 //
   tasya jānantirāgantoḥ kalpayāmāsa cārhaṇam /	tasya jAnantiH AgantoH kalpayAmAsa ca arhaNam /
   kandamūlaphalādyaistu nārāyaṇadhiyā mune // NarP_1,35.38 //	kanda mUla Pala AdyEH tu nArAyaNa DiyA mune // NA rP_1,35.38 //
   kṛtātithyakriyastena vedamālī kṛtāñjaliḥ /	kRta AtiTya kriyaH tena vedamAlI kRtAQjaliH /
