   Vimalakīrtinirdeśa	Vimala-kIrti-nirdeSa
   anupādāyāsravebhyaś cittāni vimuktāni / tan nāhaṃ bhagavan utsahe tasya	anupAdAya-AsraveByaH cittAni vimuktAni / tat na-aham Bagavan utsahe tasya
   satpuruṣasya glānaparipṛcchako gantum /	sat-puruzasya glAna-paripRcCakaH gantum /
   Vkn .3.28 tatra bhagavān āyuṣmantam aniruddham āmantrayate sma: gaccha	Vk .3.28 tatra BagavAn Ayuzmantam anirudDam Amantrayate sma: gacCa
   tvam aniruddha vimalakīrter licchaver glānaparipṛcchakaḥ /	tvam anirudDa vimala-kIrteH licCaveH glAna-paripRcCakaH /
   aniruddho 'py āha: nāhaṃ bhagavan utsahe tasya satpuruṣasya	anirudDaH api Aha: na-aham Bagavan utsahe tasya sat-puruzasya
   glānaparipṛcchako gantum / tat kasmād dhetoḥ /	glAna-paripRcCakaH gantum / tat kasmAt DetoH /
   Vkn .3.29 abhijānāmy ahaṃ bhagavan: anyatamasmiṃś caṅkrame caṅkramāmi /	Vk .3.29 aBijAnAmi aham Bagavan: anyatamasmin caFkrame caFkramAmi /
   tatra śubhavyūho nāma brahmā daśabhir brahmasahasraiḥ sārdhaṃ taṃ pradeśam	tatra SuBa-vyUhaH nAma brahmA daSaBiH brahma-sahasrEH sArDam tam pradeSam
   avabhāsya yenāhaṃ tenopasaṃkramya mama pādau śirasābhivandyaikānte sthitvā	avaBAsya yena-aham tena-upasaMkramya mama pAdO SirasA-aBivandya-ekAnte sTitvA
   mām etad avocat: kiyad āyuṣmān aniruddho divyena cakṣuṣā paśyati /	mAm etat avocat: kiyat AyuzmAn anirudDaH divyena cakzuzA paSyati /
   tam enam aham etad avocam: ahaṃ mārṣa imaṃ triṃ sāhasramahāsāhasraṃ	tam enam aham etat avocam: aham mArzaH imam trim sAhasra-mahA-sAhasram
   lokadhātuṃ bhagavataḥ śākyamuner buddhakṣetraṃ tad yathāpi nāma karatale	lokaDAtum BagavataH SAkya-muneH budDa-kzetram tat yaTA-api nAma kara-tale
   nyastam āmalakaphalam evaṃ paśyāmi /	nyastam Amalaka-Palam evam paSyAmi /
   Vkn .3.30 iyaṃ ca kathā pravṛttā vimalakīrtiś ca licchavis taṃ pradeśam	Vk .3.30 iyam ca kaTA pravRttA vimala-kIrtiH ca licCaviH tam pradeSam
   upasaṃkrāmat / upasaṃkramya mama pādau śirasā vanditvaivam āha: kiṃ	upasaMkrAmat / upasaMkramya mama pAdO SirasA vanditvA-evam Aha: kim
   bhadantāniruddha divyaṃ cakṣur abhisaṃskāralakṣaṇam	Badanta-anirudDa divyam cakzuH aBisaMskAra-lakzaNam
   utānabhisaṃskāralakṣaṇam / yady abhisaṃskāralakṣaṇaṃ tad bāhyaiḥ	uta-anaBisaMskAra-lakzaNam / yadi aBisaMskAra-lakzaNam tat bAhyEH
   pañcābhijñaiḥ samam, athānabhisaṃskāralakṣaṇaṃ anabhisaṃskāro 'saṃskṛtas	paQca-aBijQEH samam, aTa-anaBisaMskAra-lakzaNam anaBisaMskAraH asaMskRta-s
   tena na śakyaṃ draṣṭum / tat kathaṃ sthaviraḥ paśyati /	tena na Sakyam drazwum / tat kaTam sTaviraH paSyati /
   so 'haṃ tūṣṇīm abhūvam /	saH aham tUzNIm aBUvam /
   Vkn .3.31 sa ca brahmā tasya satpuruṣasyemaṃ nirdeśaṃ śrutvāścaryaprāptas	Vk .3.31 sa ca brahmA tasya sat-puruzasya-imam nirdeSam SrutvA-AScarya-prApta-s
   taṃ namaskṛtyaitad avocat: ke loke divyacakṣuṣaḥ /	tam namaskRtya-etat avocat: ke loke divya-cakzuzaH /
   āha: buddhā bhagavanto loke divyacakṣuṣo ye samāhitāvasthāṃ ca na vijahati	Aha: budDAH BagavantaH loke divya-cakzuzaH ye samAhita-avasTAm ca na vijahati
   sarvabuddhakṣetrāṇi ca paśyanti / na ca dvayaprabhāvitāḥ /	sarva-budDa-kzetrANi ca paSyanti / na ca dvaya-praBAvitAH /
   Vkn .3.32 atha sa brahmemaṃ nirdeśaṃ śrutvā daśasahasraparivāro	Vk .3.32 aTa sa brahma-imam nirdeSam SrutvA daSa-sahasra-parivAraH-
   'dhyāśayenānuttarāyāṃ samyaksaṃbodhau cittam utpādayati sma / sa māṃ	aDyASayena-anuttarAyAm samyaksaMboDO cittam utpAdayati sma / sa mAm
   vanditvā taṃ ca satpuruṣam abhivādya tatraivāntarhitaḥ / ahaṃ ca	vanditvA tam ca sat-puruzam aBivAdya tatra-eva-antarhitaH / aham ca
   niṣpratibhāno 'bhūvam / tan nāham utsahe tasya satpuruṣasya	nizpratiBAnaH aBUvam / tat na-aham utsahe tasya sat-puruzasya
   glānaparipṛcchako gantum /	glAna-paripRcCakaH gantum /
   Vkn .3.33 tatra bhagavān āyuṣmantam upālim āmantrayate sma: gaccha tvam	Vk .3.33 tatra BagavAn Ayuzmantam upAlim Amantrayate sma: gacCa tvam
   upāle vimalakīrter licchaver glānaparipṛcchakaḥ /	upAle vimala-kIrteH licCaveH glAna-paripRcCakaH /
   upālir apy āha: nāhaṃ bhagavan utsahe tasya satpuruṣasya glānaparipṛcchako	upAliH api Aha: na-aham Bagavan utsahe tasya sat-puruzasya glAna-paripRcCako
   gantum / tat kasmād dhetoḥ / abhijānāmy ahaṃ bhagavan: anyatamau dvau	gantum / tat kasmAt DetoH / aBijAnAmi aham Bagavan: anyatamO dvO
   bhikṣū āpattim āpannau, tau bhagavataḥ paryapatrapamāṇau bhagavantaṃ	BikzU Apattim ApannO, tO BagavataH paryapatrapamANO Bagavantam
   nopasaṃkrāmataḥ / tau yenāhaṃ tenopasaṃkrāntāv upasaṃkrāmya mām etad	na-upasaMkrAmataH / tO yena-aham tena-upasaMkrAntO upasaMkrAmya mAm etat-
   avocatām / āvāṃ bhadantopāle āpattim āpannau, tāv āvāṃ paryapatrapamāṇau	avocatAm / AvAm Badanta-upAle Apattim ApannO, tO AvAm paryapatrapamANO
   bhagavantam upasaṃkramituṃ notsahāvahe / utsāhāya āyuṣmann upāle	Bagavantam upasaMkramitum na-utsahAvahe / utsAhAya Ayuzman upAle
   vinodayasvāvayoḥ kaukṛtyaṃ vyutthāpayasvāvām āpatteḥ /	vinA-udayasva-AvayoH kOkRtyam vyutTApayasva-AvAm ApatteH /
   Vkn .3.34 so 'haṃ bhagavaṃs tau bhikṣū dharmyayā kathayā saṃdarśayāmi /	Vk .3.34 saH aham Bagavan tO BikzU DarmyayA kaTayA saMdarSayAmi /
   vimalakīrtiś ca licchavis taṃ pradeśam anuprāptaḥ sa mām etad avocat: mā	vimala-kIrtiH ca licCaviH tam pradeSam anuprAptaH sa mAm etat avocat: mA
   bhadantopāle etau bhikṣū āgāḍhīkārṣīḥ, vinodayānayor āpattim, mā	Badanta-upAle etO BikzU AgAXI-kArzIH, vinodayAnayoH Apattim, mA
   āvilīkārṣīḥ / na hi bhadantopāle āpattir adhyātmapratiṣṭhitā na	AvilIkArzIH / na hi Badanta-upAle ApattiH aDyAtma-pratizWitAH na
   bahirdhāsaṃkrānto nobhayam antareṇopalabhyate / tat kasmād dhetoḥ / uktaṃ	bahirDA-saMkrAntaH na-uBayam antareNa-upalaByate / tat kasmAt DetoH / uktam
   hi bhagavatā cittasaṃkleśāt satvāḥ saṃkliśyante cittavyavadānād	hi BagavatA citta-saMkleSAt satvAH saMkliSyante citta-vyavadAnAt-
   viśudhyante / cittaṃ ca bhadantopāle nādhyātmapratiṣṭhitaṃ na bahirdhā	viSuDyante / cittam ca Badanta-upAle na-aDyAtma-pratizWitam na bahirDA
   nobhayam antareṇopalabhyate / yathā cittaṃ tathāpattiḥ, yathāpattis tathā	na-uBayam antareNa-upalaByate / yaTA cittam taTA-ApattiH, yaTApattiH taTA
   sarvadharmāḥ, tathatāṃ na vyativartante / yā bhadantopāle cittasya	sarva-DarmAH, taTatAm na vyativartante / yA Badanta-upAle cittasya
   prakṛtir yayā cittaprakṛtyā bhadantasya cittaṃ vimuktam, kiṃ jātu sā	prakRtiH yayA citta-prakRtyA Badantasya cittam vimuktam-, kim jAtu sA
   cittaprakṛtiḥ saṃkliṣṭā /	citta-prakRtiH saMklizwAH /
   āha: no hidam /	Aha: naH hidam /
   āha: tatprakṛtikāni bhadantopāle sarvasatvānāṃ cittāni /	Aha: tad-prakRtikAni Badanta-upAle sarva-satvAnAm cittAni /
   Vkn .3.35 saṃkalpo bhadantopāle kleśaḥ / akalpāvikalpā ca prakṛtiḥ /	Vk .3.35 saMkalpaH Badanta-upAle kleSaH / akalpa-avikalpA ca prakRtiH /
   viparyāsaḥ saṃkleśaḥ, aviparyastā ca prakṛtiḥ / ātmasamāropaḥ saṃkleśaḥ,	viparyAsaH saMkleSaH, aviparyastA ca prakRtiH / Atma-samAropaH saMkleSaH,
   nairātmyā ca prakṛtiḥ / utpannabhagnānavasthitā bhadantopāle sarvadharmā	nErAtmyA ca prakRtiH / utpanna-Bagna-anavasTitA Badanta-upAle sarva-DarmA
   māyāmeghavidyutsadṛśāḥ / nirapekṣāḥ sarvadharmāḥ kṣaṇam api nāvatiṣṭhante	mAyA-meGa-vidyut-sadRSAH / nirapekzAH sarva-DarmAH kzaNam api na-avatizWante
   / svapnamarīcisadṛśāḥ sarvadharmā vitathadarśanāḥ /	/ svapna-marIci-sadRSAH sarva-DarmAH vitaTa-darSanAH /
   dakacandrapratibimbasadṛśāḥ sarvadharmāś cittaparikalpenotpadyante / ye tv	daka-candra-pratibimba-sadRSAH sarva-DarmAH citta-parikalpena-utpadyante / ye tu-
   evaṃ jānanti te vinayadharā ity ucyante / ya evaṃ vinītās te suvinītāḥ /	evam jAnanti te vinaya-DarAH iti ucyante / yaH evam vinItAH te su-vinItAH /
   Vkn .3.36 atha tau bhikṣu etad avocatām: prajñādharo vinayadharo 'yam	Vk .3.36 aTa tO Bikzu etat avocatAm: prajQA-DaraH vinaya-DaraH ayam
   upāsakaḥ / na tv ayaṃ bhadantopālir yo bhagavatā vinayadharāṇām agro	upAsakaH / na tu ayam Badanta-upAliH yaH BagavatA vinaya-DarANAm agro
   nirdiṣṭaḥ /	nirdizwaH /
   tāv aham evaṃ vadāmi: mā bhikṣū atra gṛhapatisaṃjñām utpādayatām / tat	tO aham evam vadAmi: mA BikzU atra gRhapati-saMjQAm utpAdayatAm / tat-
   kasmād dhetoḥ / tathāgataṃ sthāpayitvā nāsti kaścic chrāvako vā bodhisatvo	kasmAt DetoH / taTAgatam sTApayitvA na-asti kaScid SrAvakaH vA boDisatvaH-
   vā, ya etasya pratibhānam ācchindyāt / tādṛśa etasya prajñālokaḥ /	vA, yaH etasya pratiBAnam AcCindyAt / tAdRSaH etasya prajQA-lokaH /
   Vkn .3.37 atha tau bhikṣū vinītakaukṛtyāv adhyāśayena tatraivānuttarāyāṃ	Vk .3.37 aTa tO BikzU vinIta-kOkRtyO aDyASayena tatra-eva-anuttarAyAm
   samyaksaṃbodhau cittam utpāditavantau, taṃ ca satpuruṣam abhivandyaivam	samyaksaMboDO cittam utpAditavantO, tam ca sat-puruzam aBivandya-evam
   āhatuḥ: sarvasatvā īdṛśasya pratibhānasya lābhino bhavantu / tan nāham	AhatuH: sarva-satvAH IdRSasya pratiBAnasya lABinaH Bavantu / tat na-aham
   utsahe tasya satpuruṣasya glānaparipṛcchako gantum /	utsahe tasya sat-puruzasya glAna-paripRcCakaH gantum /
   Vkn .3.38 tatra bhagavān āyuṣmantaṃ rāhulam āmantrayate sma: gaccha tvaṃ	Vk .3.38 tatra BagavAn Ayuzmantam rAhulam Amantrayate sma: gacCa tvam
   rāhula vimalakīrter licchaver glānaparipṛcchakaḥ /	rAhula vimala-kIrteH licCaveH glAna-paripRcCakaH /
   rāhulo 'py āha: nāhaṃ bhagavan utsahe tasya satpuruṣasya glānaparipṛcchako	rAhulaH api Aha: na-aham Bagavan utsahe tasya sat-puruzasya glAna-paripRcCako
   gantum / tat kasmād dhetoḥ / abhijānāmy ahaṃ bhagavan: ekasmin samaye	gantum / tat kasmAt DetoH / aBijAnAmi aham Bagavan: ekasmin samaye
   saṃbahulā licchavikumārakā yenāhaṃ tenopasaṃkramya mām etad avocan: tvaṃ	saMbahulA licCa-vikumArakAH yena-aham tena-upasaMkramya mAm etat avocan: tvam
   rāhula tasya bhagavataḥ putraś cakravartirājyam utsṛjya pravrajitaḥ, tatra	rAhula tasya BagavataH putraH cakravarti-rAjyam utsRjya pravrajitaH, tatra
   ke te pravrajyāyā guṇānuśaṃsāḥ /	ke te pravrajyAyAH guNa-anuSaMsAH /
   teṣām ahaṃ yathārūpaṃ pravrajyāyā guṇānuśaṃsā nirdiśāmi, vimalakīrtir	tezAm aham yaTArUpam pravrajyAyAH guNa-anuSaMsA nirdiSAmi, vimala-kIrtiH-
   licchavir yenāhaṃ tenopasaṃkrāntaḥ / sa mām abhivandyaitad avocat:	licCaviH yena-aham tena-upasaMkrAntaH / sa mAm aBivandya-etat avocat-:
   Vkn .3.39 na bhadantarāhula evaṃ pravrajyāyā guṇānuśaṃsā nirdeṣṭavyā yathā	Vk .3.39 na BadantarAhulaH evam pravrajyAyAH guNa-anuSaMsA nirdezwavyA yaTA
   tvaṃ nirdiśasi / tat kasmād dhetoḥ / nirguṇā niranuśaṃsā hi pravrajyā /	tvam nirdiSasi / tat kasmAt DetoH / nirguNAH niranuSaMsA hi pravrajyA /
   yatra bhadantarāhula saṃskṛtapravṛttis tatra guṇānuśaṃsā / pravrajyā	yatra BadantarAhula saMskRta-pravRttiH tatra guNa-anuSaMsA / pravrajyA
   cāsaṃskṛtā, asaṃskṛte ca na guṇā nānuśāṃsā / pravrajyā bhadantarāhula	ca-asaMskRtA, asaMskRte ca na guNAH na-anuSAMsAH / pravrajyA BadantarAhula
   arūpiṇi rūpavigatā, panthā nirvāṇasya, praśaṃsitā paṇḍitaiḥ,	arUpiNi rUpa-vigatA, panTAH nirvANasya, praSaMsitA paNxitEH,
   parigṛhītāryaiḥ, parājayaḥ sarvamārāṇām, pañcagatyuttāraṇī,	parigRhIta-AryEH, parAjayaH sarva-mArANAm, paQcagati-uttAraNI,
   pañcacakṣuviśodhanī, pañcabalapratilambhā, pañcendriyapratiṣṭhā, pareṣām	paQca-cakzu-viSoDanI, paQca-bala-pratilamBA, paQca-indriya-pratizWA, parezAm
   anupaghātaḥ, pāpadharmāsaṃsṛṣṭā, paratīrthyapramardanī,	anupaGAtaH, pApa-Darma-asaMsRzwA, para-tIrTya-pramardanI,
   prajñaptisamatikrāntā, paṅke saṃkramaḥ, amamā mamakāravigatā, aparigrahā,	prajQapti-samatikrAntA, paFke saMkramaH, amamA mamakAra-vigatA, aparigrahA,
   anupādānā, anākulā, ākulaprahīṇā, svacittadarśanī paracittasaṃrakṣaṇī,	anupAdAnA, anAkulA, Akula-prahINA, sva-citta-darSanI para-citta-saMrakzaNI,
   śamathānukūlā, sarvato 'navadyā / iyam ucyate pravrajyā / ya evaṃ	SamaTa-anukUlA, sarvatas anavadyA / iyam ucyate pravrajyA / yaH evam
   pravrajitās te supravrajitāḥ /	pravrajitAH te su-pravrajitAH /
   Vkn .3.40 pravrajata yūyaṃ kumārakāḥ svākhyāte dharmavinaye / durlabho hi	Vk .3.40 pravrajata yUyam kumArakAH su-AKyAte Darma-vinaye / durlaBaH hi
   buddhotpādaḥ, durlabhā kṣaṇasaṃpat, durlabho manuṣyapratilambhaḥ /	budDa-utpAdaH, durlaBA kzaNa-saMpat, durlaBaH manuzya-pratilamBaH /
   te kumārakā evam āhuḥ: śrutam asmābhir gṛhapate, na tathāgato 'navasṛṣṭaṃ	te kumArakAH evam AhuH: Srutam asmABiH gRhapate, na taTAgataH anavasRzwam
   mātāpitṛbhyāṃ pravrājayatīti /	mAtA-pitRByAm pravrAjayati-iti /
   sa tān āha: utpādayata yūyaṃ kumārakāḥ anuttarāyāṃ samyaksaṃbodhau cittam	sa tAn Aha: utpAdayata yUyam kumArakAH anuttarAyAm samyaksaMboDO cittam
   / pratipattyā ca saṃpādayata, saiva yuṣmākaṃ bhaviṣyati pravrajyā	/ pratipattyA ca saMpAdayata, sA-eva yuzmAkam Bavizyati pravrajyA
   sopasaṃpat /	sa-upasaMpad /
   Vkn .3.41 tatra dvātriṃśatā licchavikumārair anuttarāyāṃ samyaksaṃbodhau	Vk .3.41 tatra dvAtriMSatA licCa-vikumArEH anuttarAyAm samyaksaMboDO
   cittāny utpāditāni / tan nāhaṃ bhagavan utsahe tasya satpuruṣasya	cittAni utpAditAni / tat na-aham Bagavan utsahe tasya sat-puruzasya
   glānaparipṛcchako gantum /	glAna-paripRcCakaH gantum /
   Vkn .3.42 tatra bhagavān āyuṣmantam ānandam āmantrayate sma: gaccha tvam	Vk .3.42 tatra BagavAn Ayuzmantam Anandam Amantrayate sma: gacCa tvam
   ānanda vimalakīrter licchaver glānaparipṛcchakaḥ /	Ananda vimala-kIrteH licCaveH glAna-paripRcCakaH /
   ānanda āha: nāhaṃ bhagavan utsahe tasya satpuruṣasya glānaparipṛcchako	AnandaH Aha: na-aham Bagavan utsahe tasya sat-puruzasya glAna-paripRcCako
   gantum / tat kasmād dhetoḥ / abhijānāmy ahaṃ bhagavan: ekasmin samaye	gantum / tat kasmAt DetoH / aBijAnAmi aham Bagavan: ekasmin samaye
   bhagavataḥ kāyasya kaścid evābādhaḥ / tatra ca kṣīreṇa kṛtyam āsīt / so	BagavataH kAyasya kaScid eva-AbADaH / tatra ca kzIreNa kRtyam AsIt / saH-
   'ham anyatamasmin brāhmaṇamahāśālasya gṛhamūle pātraṃ gṛhītvā sthitaḥ /	aham anyatamasmin brAhmaNa-mahASAlasya gRha-mUle pAtram gRhItvA sTitaH /
   vimalakīrtir licchavis taṃ pradeśam anuprāptaḥ / sa māṃ vanditvaivam āha:	vimala-kIrtiH licCaviH tam pradeSam anuprAptaH / sa mAm vanditvA-evam Aha:
   Vkn .3.43 kiṃ bhadantānanda kālyam eva pātram ādāyāsmin gṛhadvārasamīpe	Vk .3.43 kim Badanta-Ananda kAlyam eva pAtram AdAya-asmin gRha-dvAra-samIpe
   tiṣṭhasi /	tizWasi /
   tam enam aham etad avocam: bhagavato gṛhapate kāyasya kaścid evābādhaḥ /	tam enam aham etat avocam: BagavataH gRhapate kAyasya kaScid eva-AbADaH /
   tatra ca kṣīreṇa kṛtyam, tat paryeṣāmi /	tatra ca kzIreNa kRtyam, tat paryezAmi /
   sa mām evam āha: alaṃ bhadantānanda mā evaṃ vocaḥ / vajrasaṃhatano hi	sa mAm evam Aha: alam Badanta-Ananda mA evam vocaH / vajra-saMhatanaH hi
   bhadantānanda tathāgatakāyaḥ sarvākuśalavāsanāprahīṇaḥ	Badanta-Ananda taTAgata-kAyaH sarva-akuSala-vAsanA-prahINaH
   sarvamahaujaskakuśaladharmasamanvāgataḥ / kutas tasya vyādhiḥ kuta	sarva-mahA-ojaska-kuSala-Darma-samanvAgataH / kutas tasya vyADiH kuta
   upadravaḥ /	upadravaH /
   Vkn .3.44 tūṣṇīṃbhūto bhadantānanda gaccha / mā bhagavantam abhyācakṣva /	Vk .3.44 tUzNIMBUtaH Badanta-Ananda gacCa / mA Bagavantam aByAcakzva /
   mā kasyacid bhūya evaṃ vocaḥ / mā mahaujaskā devaputrā	mA kasyacid BUyas evam vocaH / mA mahA-ojaskA deva-putrA
   anyabuddhakṣetrasaṃnipatitāś ca bodhisatvāḥ śroṣyanti / rājñas tāvad	anya-budDa-kzetra-saMnipatitAH ca boDisatvAH Srozyanti / rAjQaH tAvat-
   bhadantānanda cakravartina itvarakuśalamūlasamanvāgatasya vyādhir na	Badanta-Ananda cakravartinaH itvara-kuSala-mUla-samanvAgatasya vyADiH na
   saṃvidyate / kutas tasya bhagavato 'pramāṇakuśalasamanvāgatasya vyādhir	saMvidyate / kutas tasya BagavataH apramANa-kuSala-samanvAgatasya vyADiH-
   bhaviṣyati / nedaṃ sthānaṃ vidyate / gaccha gaccha bhadantānanda / mā mām	Bavizyati / na-idam sTAnam vidyate / gacCa gacCa Badanta-Ananda / mA mAm
   adhyapatrāpaya, mā anyatīrthikacarakaparivrājakanigranthājīvāḥ śroṣyanti,	aDyapatrApaya, mA anya-tIrTika-caraka-parivrAjaka-nigranTa-AjIvAH Srozyanti,
   mā teṣām evaṃ bhaviṣyati / kīdṛśo bata ayam eṣāṃ śāstā yaḥ svayam eva	mA tezAm evam Bavizyati / kIdRSaH bata ayam ezAm SAstA yaH svayam eva
   tāvad ātmānaṃ glānaṃ na śaknoti paritrātum, kutaḥ punar glānānāṃ satvānāṃ	tAvat AtmAnam glAnam na Saknoti paritrAtum, kutas punar glAnAnAm satvAnAm
   trāṇaṃ bhaviṣyati / tataḥ pracchannaṃ bhadantānanda gaccha śīghram / mā	trANam Bavizyati / tatas pracCannam Badanta-Ananda gacCa SIGram / mA
   kaścic chṛṇuyāt /	kaScid SRNuyAt /
   Vkn .3.45 api tu bhadantānanda dharmakāyās tathāgatā nāmiṣakāyāḥ /	Vk .3.45 api tu Badanta-Ananda Darma-kAyAH taTAgatAH na-AmizakAyAH /
   lokottarakāyās tathāgatāḥ sarvalokadharmasamatikrāntāḥ / anābādhas	loka-uttara-kAyAH taTAgatAH sarva-loka-Darma-samatikrAntAH / anAbADas
   tathāgatasya kāyaḥ sarvāsravavinivṛtaḥ / asaṃskṛtas tathāgatasya kāyaḥ	taTAgatasya kAyaH sarva-Asrava-vinivRtaH / asaMskRtaH taTAgatasya kAyaH
   sarvasaṃkhyāvigataḥ / tasya bhadanto vyādhim icchatīty ayuktam asadṛśam /	sarva-saMKyA-vigataH / tasya BadantaH vyADim icCati-iti ayuktam asadRSam /
   Vkn .3.46 tasya me bhagavan mahadapatrāpyaṃ jātam / mā me bhagavato	Vk .3.46 tasya me Bagavat mahat-apatrApyam jAtam / mA me BagavataH-
   'ntikād duḥśrutaṃ durgṛhītaṃ vā kṛtam iti / so 'ham antarīkṣāc chabdam	antikAt duHSrutam durgRhItam vA kRtam iti / saH aham antarIkzAt Sabdam
   aśrauṣam /	aSrOzam /
   evam etad ānanda yathā gṛhapatir nirdiśati / atha ca punaḥ pañcakaṣāye	evam etat Ananda yaTA gRhapatiH nirdiSati / aTa ca punar paQcakazAye
   bhagavān utpannaḥ, tenānarthalūhadaridracaryayā satvā vinetavyāḥ / tad	BagavAn utpannaH, tena-anarTa-lUha-daridra-caryayA satvAH vinetavyAH / tat-
   gaccha tvam ānanda kṣīraṃ gṛhītvā, mā paryapatrapaś ceti /	gacCa tvam Ananda kzIram gRhItvA, mA paryapatrapaH ca-iti /
   Vkn .3.47 īdṛśā bhagavan vimalakīrter licchaveḥ praśnavyākaraṇanirdeśāḥ /	Vk .3.47 IdRSAH Bagavan vimala-kIrteH licCaveH praSna-vyAkaraNa-nirdeSAH /
   tan nāhaṃ bhagavan utsahe tasya kulaputrasya glānaparipṛcchako gantum /	tat na-aham Bagavan utsahe tasya kula-putrasya glAna-paripRcCakaH gantum /
   Vkn .3.48 evaṃ tāni pañcamātrāṇi śrāvakaśatāny anutsahamānāni bhagavate	Vk .3.48 evam tAni paQca-mAtrANi SrAvaka-SatAni anutsahamAnAni Bagavate
   nivedayanti / ye ca tair vimalakīrtinā licchavinā sārdhaṃ kathāsaṃlāpāḥ	nivedayanti / ye ca tEH vimala-kIrtinA licCavinA sArDam kaTA-saMlApAH
   kṛtās tān sarvān bhagavate nivedayanti sma /	kRtAH tAn sarvAn Bagavate nivedayanti sma /
   Vkn .3.49 tatra bhagavān maitreyaṃ bodhisatvam āmantrayate sma: gaccha	Vk .3.49 tatra BagavAn mEtreyam boDisatvam Amantrayate sma: gacCa
   tvaṃ maitreya vimalakīrter licchaver glānaparipṛcchakaḥ /	tvam mEtreya vimala-kIrteH licCaveH glAna-paripRcCakaH /
   maitreyo 'py āha: nāhaṃ bhagavan utsahe tasya satpuruṣasya	mEtreyaH api Aha: na-aham Bagavan utsahe tasya sat-puruzasya
   glānaparipṛcchako gantum / tat kasmād dhetoḥ / abhijānāmy ahaṃ bhagavan:	glAna-paripRcCakaH gantum / tat kasmAt DetoH / aBijAnAmi aham Bagavan-:
   ekasmin samaye saṃtuṣitena devaputreṇa sārdhaṃ tuṣitakāyikaiś ca	ekasmin samaye saMtuzitena deva-putreNa sArDam tuzita-kAyikEH ca
   devaputraiḥ sārdhaṃ dharmyāṃ kathāṃ kathayāmi yad idaṃ bodhisatvānāṃ	deva-putrEH sArDam DarmyAm kaTAm kaTayAmi yat idam boDisatvAnAm
   mahāsatvānām avivartyāṃ bhūmim ārabhya / tatra ca vimalakīrtir licchavis	mahAsatvAnAm avivartyAm BUmim AraBya / tatra ca vimala-kIrtiH licCavis
   taṃ pradeśam upasaṃkrāntaḥ / sa mām etad avocata:	tam pradeSam upasaMkrAntaH / sa mAm etat avocata:
   Vkn .3.50 tvaṃ maitreya ekajātipratibaddho bhagavatā vyākṛto 'nuttarāyāṃ	Vk .3.50 tvam mEtreyaH eka-jAti-pratibadDaH BagavatA vyAkRtaH anuttarAyAm
   samyaksaṃbodhau / tat katamayāsi maitreya jātyāu vyākṛtaḥ, kim atītayā	samyaksaMboDO / tat katamayA-asi mEtreya jAtyAu vyAkRtaH, kim atItayA
   vānāgatayota pratyutpannayā / tatra yātītā jātiḥ sā kṣīṇā, yāpy anāgatā	vA-anAgatayA-uta pratyutpannayA / tatra yAtItA jAtiH sA kzINA, yA-api anAgatA
   sāpy asaṃprāptā, pratyutpannāyāḥ sthitir nāsti jāteḥ / yathoktaṃ	sA-api asaMprAptA, pratyutpannAyAH sTitiH na-asti jAteH / yaTA-uktam
   bhagavatā: tathā hi tvaṃ bhikṣaḥ kṣaṇe kṣaṇe jāyase jīryasi mriyase	BagavatA: taTA hi tvam BikzaH kzaNe kzaNe jAyase jIryasi mriyase
   cyavase upapadyase ceti / ajātitaś ca niyāmāvakrāntiḥ / na cājātir	cyavase upapadyase ca-iti / ajAtitaH ca niyAma-avakrAntiH / na ca-ajAtir
   vyākriyate / nāpy ajātir abhisaṃbudhyate /	vyAkriyate / na-api ajAtiH aBisaMbuDyate /
   Vkn .3.51 tat kathaṃ tvaṃ maitreya vyākṛtas tathatotpādena	Vk .3.51 tat kaTam tvam mEtreya vyAkRtaH taTatA-utpAdena
