   namo buddhāya |	namaH budDAya |
   tatra ṣaḍvidhavikṣepābhāvād avikṣiptā / tatra ṣaḍvidho vikṣepaḥ /	tatra zaxviDa-vikzepa-aBAvAt avikziptA / tatra zaxviDaH vikzepaH /
   prakṛtivikṣepaḥ / bahirdhāvikṣepaḥ / adhyātmavikṣepaḥ nimittavikṣepaḥ	prakRti-vikzepaH / bahirDAvikzepaH / aDyAtma-vikzepaH nimitta-vikzepaH
   dauṣṭhulyavikṣepaḥ manasikāravikṣepaś ca / sa eṣa kiṃlakṣaṇo veditavya ity	dOzWulya-vikzepaH manasikAra-vikzepaH ca / saH eza kiMlakzaNaH veditavyaH iti-
   ata āha /	atas Aha /
   vyutthānaṃ viṣaye sāras tathāsvādalayoddhataḥ / V.11	vyutTAnam vizaye sAraH taTA-AsvAdalayA-udDataH / V.11
   saṃbhāvanābhisandhiś ca manaskāre 'py ahaṃkṛtiḥ /	saMBAvanA-aBisanDiH ca manaskAre api ahaMkRtiH /
   (Mvbh 65)	(MvB 65)
   hīnacittaṃca vikṣepaḥ parijñeyo hi dhīmatā // V.12	hIna-cittaMca vikzepaH parijQeyaH hi DImatA // V.12
   ity evaṃlakṣaṇaḥ ṣaḍvidho vikṣepo yo bodhisatvena parijñeyaḥ / tatra	iti evaMlakzaNaH zaxviDaH vikzepaH yaH boDisatvena parijQeyaH / tatra
   vyutthānaṃ samādhitaḥ pañcabhir vijñānakāyaiḥ prakṛtivikṣepaḥ viṣaye	vyutTAnam samADitaH paQcaBiH vijQAna-kAyEH prakRti-vikzepaH vizaye
   visāro bahirdhāvikṣepaḥ / samādher āsvādanā layauddhatyaṃ	visAraH bahirDAvikzepaH / samADeH AsvAdanA laya-OdDatyam
   cādhyātmavikṣepaḥ / saṃbhāvanābhisandhiḥ nimittavikṣepaḥ / tan nimittaṃ	ca-aDyAtma-vikzepaH / saMBAvanA-aBisanDiH nimitta-vikzepaH / tat nimittam
   kṛtvā prayogāt / sāhaṃkāramanaskāratā dauṣṭhulyavikṣepaḥ /	kRtvA prayogAt / sa-ahaMkAra-manaskAra-tA dOzWulya-vikzepaH /
   dauṣṭhulyavaśenāsmimānasamudācārāt / hīnacittatvaṃ / manasikāravikṣepaḥ	dOzWulya-vaSena-asmi-mAnasam-udAcArAt / hIna-citta-tvam / manasikAra-vikzepaH
   hīnayānamanasikārasamudācārāt /	hIna-yAna-manasikAra-samudAcArAt /
   [Aviparyāsapariṇatā]	[AviparyAsa-pariNatA]
   tatrāviparyāso daśavidhe vastuni veditavyaḥ / yad uta /	tatra-aviparyAsaH daSaviDe vastuni veditavyaH / yat uta /
   vyañjanārthamanaskāre 'visāre lakṣaṇadvaye /	vyaQjana-arTa-manaskAre avisAre lakzaNa-dvaye /
   aśuddhaśuddhāv āgantukatve 'trāsitānunnatau // V.13	aSudDa-SudDO Agantuka-tve atra-asitAn-unnatO // V.13
   tatra /	tatra /
   saṃyogāt saṃstavāc caiva viyogād apy asaṃstavāt /	saMyogAt saMstavAt ca-eva viyogAt api asaMstavAt /
   arthasatvam asatvañ ca vyañjane so 'viparyayaḥ /] V.14	arTa-satvam asatvan ca vyaQjane saH aviparyayaH /] V.14
   saṃyoge sati vyañjanānām avicchinnoccāraṇatayā asya cedaṃ nāmeti saṃstavāt	saMyoge sati vyaQjanAnAm avicCinna-uccAraNa-tayA asya ca-idam nAma-iti saMstavAt-
   sārthakatvaṃ viparyayān nirarthakatvam iti / yad evandarśanaṃ so	sArTaka-tvam viparyayAt nirarTaka-tvam iti / yat evan-darSanam saH-
   'viparyāso vyañjane veditavyaḥ / katham arthe 'viparyāsaḥ /	aviparyAsaH vyaQjane veditavyaH / kaTam arTe aviparyAsaH /
   dvayena pratibhāsatvaṃ tathā cāvidyamānatā j	dvayena pratiBAsa-tvam taTA ca-avidyamAna-tA j
   arthe sa cāviparyāsaḥ sadasatvena varjitaḥ // V.15	arTe sa ca-aviparyAsaH sat-asatvena varjitaH // V.15
   dvayena grāhyagrāhakatvena pratibhāsate tadākarotpattitaḥ / tathā (Mvbh	dvayena grAhya-grAhaka-tvena pratiBAsate tadA-akarot-pattitaH / taTA (MvB
   66) ca na vidyate / yathā pratibhāsata iti / arthe yad darśanaṃ sa	66) ca na vidyate / yaTA pratiBAsate iti / arTe yat darSanam sa
   tatrāviparyāsaḥ arthasya satvena varjito grāhyagrāhakābhāvād asatvena	tatra-aviparyAsaH arTasya satvena varjitaH grAhya-grAhaka-aBAvAt asatvena
   varjitaḥ / tatpratibhāsabhrāntisadbhāvāt /	varjitaH / tad-pratiBAsa-BrAnti-sadBAvAt /
   tajjalpabhāvito jalpamanaskāras tadāśrayaḥ	tad-jalpa-BAvitaH jalpa-manaskAraH tad-ASrayaH
   manaskāre 'viparyāso dvayaprakhyānakāraṇe // V.16	manaskAre aviparyAsaH dvaya-praKyAna-kAraNe // V.16
   grāhyagrāhakajalpaparibhāvito jalpamanaskāras tasya	grAhya-grAhaka-jalpa-pariBAvitaH jalpa-manaskAraH tasya
   grāhyagrāhakavikalpasyāśrayo bhavatīty ayaṃ manaskāre 'viparyāsaḥ /	grAhya-grAhaka-vikalpasya-ASrayaH Bavati-iti ayam manaskAre aviparyAsaH /
   katamasmin manaskāre grāhyagrāhakasaṃprakhyānakāraṇe sa hy asau	katamasmin manaskAre grAhya-grAhaka-saMpraKyAna-kAraNe sa hi asO
   jalpamanaskāro 'bhilāpasaṃjñāparibhāvitatvāt grāhyagrāhakavikalpāśrayo	jalpa-manaskAraH aBilApa-saMjQA-pariBAvita-tvAt grAhya-grAhaka-vikalpa-ASrayaH-
   veditavyaḥ /	veditavyaH /
   māyādivad asatvañ ca satvaṃ cārthasya tan mataṃ [/]	mAyA-Adi-vat asatvan ca satvam ca-arTasya tat matam [/]
   so 'visāre 'viparyāso bhāvābhāvāvisārataḥ // V.17	saH avisAre aviparyAsaH BAva-aBAva-avisArataH // V.17
   yat tad arthasyāsatvaṃ satvaṃ cānantaram uktaṃ / tan māyādivan mataṃ yathā	yat tat arTasya-asatvam satvam ca-anantaram uktam / tat mAyA-Adi-vat matam yaTA
   māyā na hastyādibhāvenāsti na ca naivāsti / tadbhrāntimātrāstitvāt / evam	mAyA na hasti-Adi-BAvena-asti na ca na-eva-asti / tad-BrAnti-mAtra-astitvAt / evam
   artho 'pi na cāsti yathā saṃprakhyāti grāhyagrāhakatvena na ca naivāsti	arTaH api na ca-asti yaTA saMpraKyAti grAhya-grAhaka-tvena na ca na-eva-asti
   tadbhrāntimātrāstitvāt / ādiśabdena marīcisvapnodakacandrādayo dṛṣṭāntā	tad-BrAnti-mAtra-astitvAt / Adi-Sabdena marIci-svapna-udaka-candra-AdayaH dRzwAntA
   yathāyogaṃ veditavyā iti yan māyādyupamārthe darśanād avisāraṃ cetasaḥ	yaTAyogam veditavyAH iti yat mAyA-Adi-upama-arTe darSanAt avisAram cetasaH
   paśyati so 'visāre 'viparyāsas tena bhāvābhāvayoś cittasyāvisaraṇāt /	paSyati saH avisAre aviparyAsaH tena BAva-aBAvayoH cittasya-avisaraNAt /
   (Mvbh 67)	(MvB 67)
   sarvasya nāmamātratvaṃ sarvakalpāpravṛttaye /	sarvasya nAma-mAtra-tvam sarva-kalpa-apravRttaye /
   svalakṣaṇe 'viparyāsaḥ /	sva-lakzaNe aviparyAsaH /
   sarvam idaṃ nāmamātraṃ / yad idaṃ cakṣūrūpaṃ yāvan manodharmā iti yaj	sarvam idam nAma-mAtram / yat idam cakzU-rUpam yAvat manaH-DarmA iti yaj
   jñānaṃ sarvavikalpānāṃ pratipakṣeṇa ayaṃ svalakṣaṇe 'viparyāsaḥ /	jQAnam sarva-vikalpAnAm pratipakzeNa ayam sva-lakzaNe aviparyAsaH /
   katamasmin svalakṣaṇe /	katamasmin sva-lakzaNe /
   paramārthe svalakṣaṇe // V.18	parama-arTe sva-lakzaNe // V.18
   saṃvṛtyā tu nedaṃ nāmamātram iti gṛhyate /	saMvRtyA tu na-idam nAma-mAtram iti gRhyate /
   dharmadhātuvinirmukto yasmād dharmo na vidyate /	DarmaDAtu-vinirmuktaH yasmAt DarmaH na vidyate /
   sāmānyalakṣaṇaṃ tasmāt sa ca tatrāviparyayaḥ // V.19	sAmAnya-lakzaNam tasmAt sa ca tatra-aviparyayaH // V.19
   na hi dharmanairātmyena vinā kaścid dharmo vidyate / tasmād dharmadhātuḥ	na hi Darma-nErAtmyena vinA kaScid DarmaH vidyate / tasmAt DarmaDAtuH
   sarvadharmāṇāṃ sāmānyaṃ lakṣaṇam iti / yad evaṃjñānam ayaṃ sāmānyalakṣaṇe	sarva-DarmANAm sAmAnyam lakzaNam iti / yat evaMjQAnam ayam sAmAnya-lakzaNe
   'viparyāsaḥ /	aviparyAsaH /
   viparyastamanaskārāvihāniparihāṇitaḥ /	viparyasta-manaskAra-aviha-ani-parihANitaH /
   tadaśuddhir viśuddhiś ca sa ca tatrāviparyayaḥ // V.20	tat-aSudDiH viSudDiH ca sa ca tatra-aviparyayaH // V.20
   viparyastasmanaskārāprahāṇan tasya dharmadhātor aviśuddhis tatprahāṇaṃ	viparyasta-smanaskAra-aprahANan tasya DarmaDAtoH aviSudDiH tad-prahANam
   viśuddhir iti yad evaṃjñānam ayam aviśuddhau viśuddhau cāviparyāso	viSudDiH iti yat evaMjQAnam ayam aviSudDO viSudDO ca-aviparyAsaH-
   yathākramaṃ /	yaTAkramam /
   dharmadhātor viśuddhatvāt prakṛtyā vyomavat punaḥ /	DarmaDAtoH viSudDa-tvAt prakRtyA vyoma-vat punar /
   dvayasyāgantukatvaṃ hi sa ca tatrāviparyayaḥ // V.21	dvayasya-Agantuka-tvam hi sa ca tatra-aviparyayaH // V.21
   dharmadhātoḥ punar ākāśavat / prakṛtiviśuddhatvāt / dvayam apy etad	DarmaDAtoH punar AkASa-vat / prakRti-viSudDa-tvAt / dvayam api etat-
   āgantukam aviśuddhiru viśuddhiś ca paścād iti / yad evaṃjñānam ayam	Agantukam aviSudDiru viSudDiH ca paScAt iti / yat evaMjQAnam ayam
   āgantukatve 'viparyāsaḥ /	Agantuka-tve aviparyAsaH /
   (Mvbh 68)	(MvB 68)
   saṃkleśaś ca viśuddhiś ca dharmapudgalayor na hi /	saMkleSaH ca viSudDiH ca Darma-pudgalayoH na hi /
   asatvāt trāsatāmānau nātaḥ so 'trāviparyayaḥ // V.22	asatvAt trAsa-tA-mAnO na-atas saH atra-aviparyayaH // V.22
   na hi pudgalasya saṃkleśo na viśuddhir nāpi dharmasya / yasmān na pudgalo	na hi pudgalasya saMkleSaH na viSudDiH na-api Darmasya / yasmAt na pudgalaH-
   'sti na dharmo yataś ca na kasyacit saṃkleśo na vyavadānaṃ ato na	asti na DarmaH yatas ca na kasyacid saMkleSaH na vyavadAnam atas na
   saṃkleśapakṣe kasyacid dhāniḥ na vyavadānapakse kasyacid viśeṣaḥ / yatas	saMkleSa-pakze kasyacid DAniH na vyavadAna-pakse kasyacid viSezaH / yatas-
   trāso vā syād unnatir vety ayam atrāse 'nunnatau cāviparyāsaḥ /	trAsaH vA syAt unnatiH vA-iti ayam atra-Ase anunnatO ca-aviparyAsaH /
   [Daśa vajrapadāni]	[DaSa vajra-padAni]
   ete ca daśāviparyāsā daśasu vajrapadeṣu yathākramaṃ yojayitavyāḥ / daśa	ete ca daSa-aviparyAsAH daSasu vajra-padezu yaTAkramam yojayitavyAH / daSa
   vajrapadāni / sadasattā aviparyasaḥ / āśrayo māyopamatā avikalpanatā	vajra-padAni / sat-asat-tA aviparyasaH / ASrayaH mAyA-upama-tA avikalpana-tA
   prakṛtiprabhāsvaratā saṃkleśo vyavadānaṃ / ākāśopamatā ahīnatā aviśiṣṭatā	prakRti-praBAsvaratA saMkleSaH vyavadAnam / AkASa-upama-tA ahIna-tA aviSizwa-tA
   ca / vajrapadānāṃ śarīravyavasthānaṃ / svabhāvataḥ / ālambanataḥ /	ca / vajra-padAnAm SarIra-vyavasTAnam / svaBAvataH / AlambanataH /
   avikalpanataḥ / codyaparihārataś ca / tatra svabhāvataḥ trayaḥ svabhāvāḥ /	avikalpanataH / codya-parihArataH ca / tatra svaBAvataH trayaH svaBAvAH /
   pariniṣpannaparikalpitaparatantrākhyā ādyais tribhiḥ padair yathākramaṃ /	parinizpanna-parikalpita-paratantra-AKyAH AdyEH triBiH padEH yaTAkramam /
   ālambanataḥ / ta eva avikalpanato yena ca na vikalpayati nirvikalpena	AlambanataH / te eva avikalpanataH yena ca na vikalpayati nirvikalpena
   jñānena yac ca na vikalpayati prakṛtiprabhāsvaratāṃ / tad anena	jQAnena yat ca na vikalpayati prakRti-praBAsvaratAm / tat anena
   jñeyajñānavyavasthānaṃ yathākramaṃ veditavyaṃ / yad uta tribhiḥ svabhāvair	jQeya-jQAna-vyavasTAnam yaTAkramam veditavyam / yat uta triBiH svaBAvEH-
   avikalpanatayā ca / codyaparihārataḥ / śiṣṭāni padāni tatredaṃ codyaṃ /	avikalpana-tayA ca / codya-parihArataH / SizwAni padAni tatra-idam codyam /
   yady ete parikalpitaparatantralakṣaṇā dharmā na saṃvidyante / katham	yadi ete parikalpita-paratantra-lakzaNAH DarmAH na saMvidyante / kaTam
   upalabhyante / atha saṃvidyante dharmāṇāṃ prakṛtiprabhāsvaratā na (Mvbh	upalaByante / aTa saMvidyante DarmANAm prakRti-praBAsvaratA na (MvB
   69) yujyate / tan māyopamatayā pariharati / yathā māyākṛtaṃ na vidyata	69) yujyate / tat mAyA-upama-tayA pariharati / yaTA mAyA-kRtam na vidyata
   upalabhyate ca yadi prakṛtiprabhāsvaratā dharmāṇāṃ tat kathaṃ pūrvaṃ	upalaByate ca yadi prakRti-praBAsvaratA DarmANAm tat kaTam pUrvam
   saṃkleśaḥ paścād vyavadānaṃ / asya parihāraḥ / saṃkleśavyavadānam	saMkleSaH paScAt vyavadAnam / asya parihAraH / saMkleSa-vyavadAnam
   ākāśopamatayā veditavyaṃ / yathākāśaṃ prakṛtipariśuddhaṃ saṃkliśyate /	AkASa-upama-tayA veditavyam / yaTA-AkASam prakRti-pariSudDam saMkliSyate /
   vyavadāyate ceti / yady aprameyabuddhotpāde saty aprameyāṇāṃ satvānāṃ	vyavadAyate ca-iti / yadi aprameya-budDa-utpAde sati aprameyANAm satvAnAm
   kleśāpaśamaḥ / tat kathaṃ na saṃsārasamucchedo na nirvāṇavṛddhir bhavati /	kleSa-apaSamaH / tat kaTam na saMsAra-samucCedaH na nirvANa-vRdDiH Bavati /
   tasyāhīnāviśiṣṭatayā parihāraḥ / aprameyatvāt satvadhātor	tasya-ahIna-aviSizwa-tayA parihAraH / aprameya-tvAt satva-DAtoH-
   vyavadānapakṣasya ca /	vyavadAna-pakzasya ca /
   dvitīyaṃ śarīravyavasthānam /	dvitIyam SarIra-vyavasTAnam /
   yatra yā ca yato bhrāntir abhrāntir yā ca yatra ca /	yatra yA ca yatas BrAntiH aBra-antiH yA ca yatra ca /
   bhrāntyabhrāntiphale caiva paryantaś ca tayor iti //	BrAntyaBrAnti-Pale ca-eva paryantaH ca tayoH iti //
   sadasattāviparyāsaḥ āśrayo māyayopamā /	sat-asat-tA-viparyAsaH ASrayaH mAyayA-upamA /
   akalpanā prakṛtyā ca bhāsvaratvaṃ sadaiva hi //	akalpanA prakRtyA ca BAsvara-tvam sadA-eva hi //
   saṃkleśo vyavadānaṃ cākāśopamatā tathā /	saMkleSaH vyavadAnam ca-AkASa-upama-tA taTA /
   ahīnānadhikatvañ ca daśa vajrapadāni hi //	ahIna-an-aDika-tvan ca daSa vajra-padAni hi //
   uktānudharmapratipattiḥ /	ukta-anuDarma-pratipattiH /
   [d. Antadvayavarjane pratipattiḥ]	[d. Anta-dvaya-varjane pratipattiH]
   antadvayavarjane pratipattiḥ katamā yā ratnakūṭe madhyamā pratipattir	anta-dvaya-varjane pratipattiH katamA yA ratnakUwe maDyamA pratipattiH-
   upadiṣṭā / kasyāntasya varjanād asau veditavyā /	upadizwA / kasya-antasya varjanAt asO veditavyA /
   pṛthaktvaikatvam antaś ca tirthyaśrāvakayor api /	pRTaktvA-eka-tvam antar ca tirTya-SrAvakayoH api /
   samāropāpavādānto dvidhā pudgaladharmayoḥ // V.23	samAropa-apavAda-antaH dviDA pudgala-DarmayoH // V.23
   vipakṣapratipakṣāntaḥ śāśvatocchedasaṃjñitaḥ /	vipakza-pratipakza-antar SASvata-ucCeda-saMjQitaH /
   grāhyagrāhakasaṃkleśavyavadāne dvidhā tridhā // V.24	grAhya-grAhaka-saMkleSa-vyavadAne dviDA triDA // V.24
   vikalpadvayatāntaś ca sa ca saptavidho mataḥ /	vikalpa-dvayata-antaH ca sa ca saptaviDaH mataH /
   bhāvābhāve praśāmye 'tha śamane trāsyantadbhaye // V.25	BAva-aBAve praSAmye aTa Samane trAsyan-tat-Baye // V.25
   (Mvbh 70)	(MvB 70)
   grāhyagrāhe 'tha samyaktvamithyātve vyāpṛtau na ca /	grAhya-grAhe aTa samyaktva-miTyAtve vyApRtO na ca /
   ajanmasamakālatve sa vikalpadvayāntatā // V.26	ajanma-sama-kAla-tve sa vikalpa-dvaya-anta-tA // V.26
   tatra rūpādibhyaḥ / pṛthaktvam ātmana ity antaḥ / ekatvam ity antaḥ	tatra rUpa-AdiByaH / pRTaktvam AtmanaH iti antar / ekatvam iti antar-
   tatparivarjanārthaṃ madhyamā pratipat / yā nātmapratyavekṣā / yāvan na	tad-parivarjana-arTam maDyamA pratipad / yA na-Atma-pratyavekzA / yAvat na
   mānavapratyavekṣā ātmadarśane hi jīvas tac charīraṃ / anyo jīvo 'nyac	mAnava-pratyavekzA Atma-darSane hi jIvaH tat SarIram / anyaH jIvaH anya-t-
   charīram iti bhavati darśanaṃ / nityaṃ rūpam iti tīrthikāntaḥ / anityam	SarIram iti Bavati darSanam / nityam rUpam iti tIrTika-antar / anityam
   iti śrāvakāntaḥ / tatparivarjanārthaṃ madhyamā pratipad yā rūpādīnāṃ na	iti SrAvaka-antaH / tad-parivarjana-arTam maDyamA pratipad yA rUpa-AdInAm na
   nityapratyavekṣā nānityapratyavekṣā / ātmeti pudgalasamāropāntaḥ	nitya-pratyavekzA na-anitya-pratyavekzA / AtmA-iti pudgala-samAropa-antaH
   nairātmyam ity apavādāntaḥ prajñaptisato 'py apavādāt /	nErAtmyam iti apavAda-antar prajQaptisataH api apavAdAt /
   tatparivarjanārthaṃ madhyamā pratipad yad ātmanairātmyayor madhyaṃ	tad-parivarjana-arTam maDyamA pratipad yat Atma-nErAtmyayoH maDyam
   nirvikalpaṃ jñānaṃ / bhūtaṃ cittam iti dharmasamāropāntaḥ abhūtam ity	nirvikalpam jQAnam / BUtam cittam iti Darma-samAropa-antaH aBUtam iti-
   apavādāntaḥ / tatparivarjanārthaṃ madhyamā pratipad yatra na cittaṃ na	apavAda-antaH / tad-parivarjana-arTam maDyamA pratipad yatra na cittam na
   cetanā na mano na vijñānaṃ / akuśalādayo dharmāḥ saṃkleśa iti vipakṣāntaḥ	cetanA na manaH na vijQAnam / akuSala-AdayaH DarmAH saMkleSaH iti vipakza-antaH
   / kuśalādayo vyavadānam iti pratipakṣāntas tatparivarjanārthaṃ madhyamā	/ kuSala-AdayaH vyavadAnam iti pratipakza-antaH tad-parivarjana-arTam maDyamA
   pratipad yo 'syāntadvayasyānupagamo 'nudāhāro 'pravyāhāraḥ / astīti	pratipad yaH asya-anta-dvayasya-anupagamaH anudAhAraH apravyAhAraH / asti-iti
   śāśvatāntas tayor eva pudgaladharmayor nāstīty ucchedāntas	SASvata-antar tayoH eva pudgala-DarmayoH na-asti-iti ucCeda-antas
   tatparivarjanārthaṃ madhyamā pratipad yad anayor dvayor antayor madhyaṃ /	tad-parivarjana-arTam maDyamA pratipad yat anayoH dvayoH antayoH maDyam /
   avidyā grāhyā grāhakā cety antaḥ / evaṃ vidyā saṃskārā asaṃskṛtaṃ ca	avidyA grAhyA grAhakA ca-iti antar / evam vidyA saMskArAH asaMskRtam ca
   tatpratipakṣaḥ / yāvaj jarāmaraṇaṃ grāhyaṃ grāhakaṃ cety antas tannirodho	tad-pratipakzaH / yAvat jarA-maraNam grAhyam grAhakam ca-iti antar tad-niroDaH-
   grāhyo grāhako vety anto yena mārgeṇa tan nirudhyate / evaṃ	grAhyaH grAhakaH vA-iti antaH yena mArgeNa tat niruDyate / evam
   grāhyagrāhakānto (Mvbh 71) dvidhā kṛṣṇaśuklapakṣabhedena	grAhya-grAha-kAntaH (MvB 71) dviDA kRzNa-Sukla-pakza-Bedena
   tatparivarjanārthaṃ madhyamā pratipad vidyā cāvidyā cādvayam etad iti	tad-parivarjana-arTam maDyamA pratipad vidyA ca-avidyA ca-advayam etat iti
   vistareṇa vidyāvidyādīnāṃ grāhyagrāhakatvābhāvāt /	vistareNa vidyA-vidyA-AdInAm grAhya-grAhaka-tva-aBAvAt /
   trividhaḥ saṃkleśaḥ / kleśasaṃkleśaḥ / karmasaṃkleśaḥ / janmasaṃkleśaś ca	triviDaH saMkleSaH / kleSa-saMkleSaH / karma-saMkleSaH / janma-saMkleSaH ca
   / tatra kleśasaṃkleśas trividhaḥ / dṛṣṭiḥ rāgadveṣamohanimittaṃ	/ tatra kleSa-saMkleSaH triviDaH / dRzwiH rAga-dveza-moha-nimittam
   punarbhavapraṇidhānaṃ ca / yasya pratipakṣo jñānaśūnyatā jñānānimittaṃ	punarBava-praNiDAnam ca / yasya pratipakzaH jQAna-SUnyatA jQAna-animittam
   jñānāpraṇihitaṃ ca / karmasaṃkleśaḥ / śubhāśubhakarmābhisaṃskāraḥ yasya	jQAna-apraNihitam ca / karma-saMkleSaH / SuBa-aSuBa-karma-aBisaMskAraH yasya
   pratipakṣo jñānānabhisaṃskāraḥ / janmasaṃkleśaḥ / punarbhavajātiḥ jātasya	pratipakzaH jQAna-anaBisaMskAraH / janma-saMkleSaH / punarBava-jAtiH jAtasya
   cittacaittānāṃ pratikṣaṇotpādaḥ / punarbhavaprabandhaś ca yasya pratipakṣo	citta-cEttAnAm pratikzaNa-utpAdaH / punarBava-prabanDaH ca yasya pratipakzaH-
   jñānājātiḥ jñānānutpādo jñānāsvabhāvatā ca / etasya trividhasya	jQAna-ajAtiH jQAna-anutpAdaH jQAna-asvaBAva-tA ca / etasya triviDasya
   saṃkleśasyāpagamo vyavadānaṃ / tatra jñānaśūnyatādibhiḥ / jñeyaśūnyatādayo	saMkleSasya-apagamaH vyavadAnam / tatra jQAna-SUnyatA-AdiBiH / jQeya-SUnya-tAdayaH-
   dharmā etena trividhena saṃkleśena yathāyogaṃ yāvan na śūnyatādayaḥ	DarmAH etena triviDena saMkleSena yaTAyogam yAvat na SUnyatA-AdayaH
   kriyante / prakṛtyaiva śūnyatādayo dharmadhātoḥ prakṛtyasaṃkliṣṭatvāt tena	kriyante / prakRtyA-eva SUnyatA-AdayaH DarmaDAtoH prakRti-asaMklizwa-tvAt tena
   yadi dharmadhātuḥ saṃkliśyate vā viśudhyate veti kalpayaty ayam antaḥ /	yadi DarmaDAtuH saMkliSyate vA viSuDyate vA-iti kalpayati ayam antar /
   prakṛtyasaṃkliṣṭasya saṃkleśaviśuddhyabhāvād etasyāntasya parivarjanārthaṃ	prakRti-asaMklizwasya saMkleSa-viSudDi-aBAvAt etasya-antasya parivarjana-arTam
   / madhyamā pratipat / yan na śūnyatayā dharmāñ chūnyāṃ karoti / api tu	/ maDyamA pratipad / yat na SUnyatayA DarmAn SUnyAm karoti / api tu
   dharmā eva śūnyā ity evamādi /	DarmAH eva SUnyAH iti evamAdi /
   aparaḥ saptavidho vikalpadvayāntas tad yathā bhāve 'pi vikalpo 'ntaḥ/	aparaH saptaviDaH vikalpa-dvaya-antaH tat yaTA BAve api vikalpaH antar-/
   abhāve 'pi pudgalo 'sti yasya vināśāya śūnyatā (Mvbh 72) nairātmyam api vā	aBAve api pudgalaH asti yasya vinASAya SUnyatA (MvB 72) nErAtmyam api vA
   nāstīti kalpanāt / tad etasya vikalpadvayāntasya parivarjanārtham iyaṃ	na-asti-iti kalpanAt / tat etasya vikalpa-dvaya-antasya parivarjana-arTam iyam
   madhyamā pratipat / na khalu pudgalavināśāya śūnyatā api tu śūnyataiva	maDyamA pratipad / na Kalu pudgala-vinASAya SUnyatA api tu SUnyatA-eva
   śūnyā pūrvāntaśūnyatā / aparāntaśūnyatā ity evamādivistaraḥ /	SUnyA pUrva-anta-SUnyatA / aparAnta-SUnyatA iti evamAdi-vistaraH /
   śāmye 'pi vikalpo 'ntaḥ / śamane 'pi vikalpo 'nataḥ	SAmye api vikalpaH antar / Samane api vikalpaH anataH
   praheyaprahāṇakalpanayā śūnyatāyās trasanād etasya vikalpadvayāntasya	praheya-prahANa-kalpanayA SUnyatAyAH trasanAt etasya vikalpa-dvaya-antasya
   parivarjanārtham ākāśadṛṣṭāntaḥ /	parivarjana-arTam AkASa-dRzwAntaH /
   trāsye 'pi vikalpo 'ntas tataś ca trāsyād bhaye 'pi	trAsye api vikalpaH antar tatas ca trAsyAt Baye api
   parikalpitarūpāditrasanāt (/) duḥkhabhīrutayā etasya vikalpadvayāntasya	parikalpita-rUpa-Adi-trasanAt (/) duHKa-BIru-tayA etasya vikalpa-dvaya-antasya
   parivarjanārthaṃ citrakaradṛṣṭāntaḥ / pūrvako dṛṣṭāntaḥ śrāvakān	parivarjana-arTam citrakara-dRzwAntaH / pUrvakaH dRzwAntaH SrAvakAn
   ārabhyāyaṃ tu bodhisatvān /	AraBya-ayam tu boDisatvAn /
   grāhye 'pi vikalpo 'ntaḥ grāhake 'pi etasya vikalpadvayāntasya	grAhye api vikalpaH antar grAhake api etasya vikalpa-dvaya-antasya
   parivarjanārthaṃ māyākāradṛṣṭāntaḥ / vijñaptimātrajñānakṛtaṃ hy	parivarjana-arTam mAyAkAra-dRzwAntaH / vijQaptimAtra-jQAna-kRtam hi-
   arthābhāvajñānaṃ / tac cārthābhāvajñānaṃ / tad eva vijñaptimātrajñānaṃ	arTa-aBAva-jQAnam / tat ca-arTa-aBAva-jQAnam / tat eva vijQaptimAtra-jQAnam
   nivartayati / arthābhāve vijñaptyasaṃbhavād ity etad atra sādharmyaṃ /	nivartayati / arTa-aBAve vijQapti-asaMBavAt iti etat atra sADarmyam /
   samyaktve 'pi vikalpo 'ntaḥ mithyātve 'pi bhūtapratyavekṣāṃ samyaktvena	samyaktve api vikalpaH antar miTyAtve api BUta-pratyavekzAm samyaktvena
   kalpayato mithyātvena vā etasyāntadvayasya parivarjanārthaṃ /	kalpayataH miTyA-tvena vE etasya-anta-dvayasya parivarjana-arTam /
   kāṣṭhadvayāgnidṛṣṭāntaḥ / yathākāṣṭhadvayād (Mvbh 73) anagnilakṣaṇād agnir	kAzWa-dvaya-agni-dRzwAntaH / yaTA-kAzWa-dvayAt (MvB 73) anagni-lakzaNAt agniH-
   jāyate / jātaś ca tad eva kāṣṭhadvayaṃ dahaty evam asamyaktvalakṣaṇāyā	jAyate / jAtaH ca tat eva kAzWa-dvayam dahati evam asamyaktva-lakzaNAyAH-
   yathābhūtapratyavekṣāyāḥ samyaktvalakṣaṇam āryaṃ prajñendriyaṃ jāyate	yaTABUta-pratyavekzAyAH samyaktva-lakzaNam Aryam prajQA-indriyam jAyate
   jātaṃ ca tām eva bhūtapratyavekṣāṃ vibhāvayatīty etad atra sādharmyaṃ na	jAtam ca tAm eva BUta-pratyavekzAm viBAvayati-iti etat atra sADarmyam na
   cāsamyaktvalakṣaṇāpi bhūtapratyavekṣā mithyātvalakṣaṇā samyaktvānukūlyāt /	ca-asamyak-tva-lakzaNA-api BUta-pratyavekzA miTyAtva-lakzaNA samyaktva-AnukUlyAt /
