   Abhinavagupta: Mālinīślokavārttika	ABinava-gupta: MAlinISloka-vArttika
   tasmāt prakāśo viśvasya paricchedakaniṣṭhitaḥ // 1.675 //	tasmAt prakASaH viSvasya paricCedaka-nizWitaH // 1.675 //
   tatsvātantryāvabhāsotthacitrākāravibheditaḥ	tad-svAtantrya-avaBAsa-utTa-citra-AkAra-viBeditaH
   paricchedaka itthaṃ cet paricchedyo bhavet tataḥ // 1.676 //	paricCedakaH itTam ced paricCedyaH Bavet tatas // 1.676 //
   mūlakṣatikarī seyam anavasthā patiṣyati	mUla-kzati-karI sA-iyam anavasTA patizyati
   ataś ca so 'paricchinnaḥ paricchedaka ucyate // 1.677 //	atas ca saH aparicCinnaH paricCedakaH ucyate // 1.677 //
   akālpyas tena śāstreṣu tan na kālasya gocaraḥ	akAlpyaH tena SAstrezu tat na kAlasya gocaraH
   tenāsya vedyadharmatvaṃ kālasya paribhāṣitam // 1.678 //	tena-asya vedya-Darma-tvam kAlasya pariBAzitam // 1.678 //
   yadi kālaś ca mātāraṃ paricchindyāt tato dhruvam	yadi kAlaH ca mAtAram paricCindyAt tatas Druvam
   mātṛlagnaiva kālasya sthitir nirvāham icchati // 1.679 //	mAtR-lagnA-eva kAlasya sTitiH nirvAham icCati // 1.679 //
   na ca mātrantaraṃ kiṃcit saṃbhaved anavasthiteḥ	na ca mAtrantaram kiMcid saMBavet anavasTiteH
   tāṃ hantuṃ vopagamyo 'sau mātā kālakalojjhitaḥ // 1.680 //	tAm hantum vA-upagamyaH asO mAtA kAla-kalA-ujJitaH // 1.680 //
   ya eva tu paricchedyo mātā tallagna eva cet	yaH eva tu paricCedyaH mAtA tad-lagnaH eva ced-
   sa kālo mātṛmeyatve tarhy ekasya kathaṃ tava // 1.681 //	sa kAlaH mAtR-meya-tve tarhi ekasya kaTam tava // 1.681 //
   bhedavāde hi bhavatāṃ niṣṭhitā matir īdṛśī	Beda-vAde hi BavatAm nizWitA matiH IdRSI
   abhedavādināṃ nas tu naiva kāpy astu khaṇḍanā // 1.682 //	aBeda-vAdinAm naH tu na-eva kA-api astu KaNxanA // 1.682 //
   viśvaṃ mātṛmayaṃ yeṣāṃ mātā viśvamayas tathā	viSvam mAtR-mayam yezAm mAtA viSva-mayaH taTA
   tan na kālakalājālajambālaiḥ parameśvaraḥ // 1.683 //	tat na kAla-kalA-jAla-jambAlEH parameSvaraH // 1.683 //
   citiśaktiprakāśo hi mālinyam avalambate	citi-Sakti-prakASaH hi mAlinyam avalambate
   atas tadā saṃvṛto 'sau paścāt prakaṭarūpakaḥ // 1.684 //	atas tadA saMvRtaH asO paScAt prakawa-rUpakaH // 1.684 //
   iti tasyaiva jṛmbheyaṃ tathātvavyapadeśinī	iti tasya-eva jRmBA-iyam taTA-tva-vyapadeSinI
   kalanaivāsya sā kācit svarūpāmarśanātmikā // 1.685 //	kalanA-eva-asya sA kAcid svarUpa-AmarSana-AtmikAH // 1.685 //
   śivayogārham ātmānaṃ yasyām ātmābhimanyate	Siva-yoga-arham AtmAnam yasyAm AtmA-aBimanyate
   yato vaicitryayogena tathātmānaṃ sa manyate // 1.686 //	yatas vEcitrya-yogena taTA-AtmAnam sa manyate // 1.686 //
   śaktipātasya tenoktā navadhātra vyavasthitiḥ	SaktipAtasya tena-uktA navaDA-atra vyavasTitiH
   anyathā neśvarasyāsti rāgo dveṣo 'tha vā kvacit // 1.687 //	anyaTA na-ISvarasya-asti rAgaH dvezaH aTa vA kvacid // 1.687 //
   yena kvāpy eṣa niyatāṃ svāṃ śaktiṃ pātayed vibhuḥ	yena kvApi eza niyatAm svAm Saktim pAtayet viBuH
   animittas tathā cāyaṃ śaktipāto maheśituḥ // 1.688 //	animittaH taTA ca-ayam SaktipAtaH maheSituH // 1.688 //
   tena rāgakṣayāt karmasāmyāt sukṛtagauravāt	tena rAga-kzayAt karma-sAmyAt su-kRta-gOravAt-
   malapākāt suhṛdyogād bhakter bhāvāc ca sevanāt // 1.689 //	mala-pAkAt suhRd-yogAt BakteH BAvAt ca sevanAt // 1.689 //
   abhyāsād vāsanodbhedāt saṃskāraparipākataḥ	aByAsAt vAsana-udBedAt saMskAra-paripAkataH
   mithyajñānakṣayāt karmasaṃnyāsāt kāmyavicyuteḥ // 1.690 //	miTya-jQAna-kzayAt karma-saMnyAsAt kAmya-vicyuteH // 1.690 //
   sāmyāc cittasya sā śaktiḥ patatīti yad ucyate	sAmyAt cittasya sA SaktiH patati-iti yat ucyate
   tad asan	tat asan
   nanu tatrāpi nimittāntaramārgaṇāt // 1.691 //	nanu tatra-api nimitta-antara-mArgaNAt // 1.691 //
   anavasthātiprasaṅgasaṃbhavābhāvayogataḥ	anavasTA-ati-prasaFga-saMBava-aBAva-yogataH
   anyonyāśrayaniḥśreṇicakrakādyupapātataḥ // 1.692 //	anyonya-ASraya-niHSreNi-cakraka-Adi-upapAtataH // 1.692 //
   asmiṃs tu pakṣe sarveṣāṃ pravādānām api sthitiḥ	asmin tu pakze sarvezAm pravAdAnAm api sTitiH
   yuktā sarvaṃsahe pakṣe na kiṃcit kila duṣyati // 1.693 //	yuktA sarvaMsahe pakze na kiMcid kila duzyati // 1.693 //
   yuktiḥ sudhībhiḥ svayam eva tatra	yuktiH suDIBiH svayam eva tatra
   śakyeta saṃyojayitum tato na	Sakyeta saMyojayitum tatas na
   pṛthaktayā yojanam uktam atra	pRTak-tayA yojanam uktam atra
   yad granthato vistara eṣa mithyā // 1.694 //	yat granTataH vistaraH eza miTyA // 1.694 //
   upajagmur ato 'napekṣiṇīṃ	upajagmuH atas anapekziNIm
   śivaśaktiṃ na ca tāṃ vinā bhavet	Siva-Saktim na ca tAm vinA Bavet-
   apavargapadaṃ yato mudhā	apavarga-padam yatas muDA
   paraśāstreṣu vimokṣasaṃkathāḥ // 1.695 //	para-SAstrezu vimokza-saMkaTAH // 1.695 //
   śaktipātasamaye vicāraṇaṃ	SaktipAta-samaye vicAraNam
   prāptam īśa na karoṣi karhicit	prAptam ISa na karozi karhicit-
   śrīmadutpalagurur nyarūpayat	SrImat-utpala-guruH nyarUpayat-
   tatra tatra nijaśāstra īdṛśam // 1.696 //	tatra tatra nija-SAstre IdRSam // 1.696 //
   tasyaiva hi prasādena bhaktir utpādyate nṛṇām	tasya-eva hi prasAdena BaktiH utpAdyate nRNAm
   yayā yānti parāṃ siddhiṃ tadbhāvagatamānasaḥ // 1.697 //	yayA yAnti parAm sidDim tad-BAva-gata-mAnasaH // 1.697 //
   itthaṃ purāṇaśāstrādau śaktiḥ sā pārameśvarī	itTam purANa-SAstra-AdO SaktiH sA pArameSvarI
   nirapekṣaiva kathitā sāpekṣatve hy anīśatā // 1.698 //	nirapekzA-eva kaTitA sa-apekza-tve hi anISatA // 1.698 //
   kevalaṃ bhedavādāndhyasthagitālasadṛṣṭibhiḥ	kevalam Beda-vAda-AnDya-sTa-gita-alasa-dRzwiBiH
   duḥsamarthatvam etasyā niyamena kvacitsthiteḥ // 1.699 //	duHsamarTa-tvam etasyAH niyamena kvacid-sTiteH // 1.699 //
   paryālocyāniśaṃ karmamalasāmyaprapākataḥ	paryAlocya-aniSam karma-mala-sAmya-prapAkataH
   ityādihetujāleṣu vṛthātmā parikhedyate // 1.700 //	ityAdi-hetu-jAlezu vRTA-AtmA pariKedyate // 1.700 //
   tat teṣāṃ nopakārāya kuśakāśāvalambanam	tat tezAm na-upakArAya kuSa-kASa-avalambanam
   tasmāt sa eva tādṛkṣasvasvātantryopabṛṃhitaḥ // 1.701 //	tasmAt saH eva tAdRkza-sva-svAtantrya-upabRMhitaH // 1.701 //
   tadā tathā tathetyādivaicitryeṇāvabhāsate	tadA taTA taTA-ityAdi-vEcitryeNa-avaBAsate
   tad itthaṃ sarvadṛṣṭīṇām atraiva parameśvare // 1.702 //	tat itTam sarva-dRzwINAm atra-eva parameSvare // 1.702 //
   anupraveśa ity anyair alaṃ vā yuktiḍambaraiḥ	anupraveSaH iti anyEH alam vA yukti-xambarEH
   tad itthaṃ devadevena svasvarūpam ihoditam // 1.703 //	tat itTam devadevena sva-svarUpam iha-uditam // 1.703 //
   pratyakṣaṃ tatra tanmānaṃ sarvamānadhuroddhuram	pratyakzam tatra tat-mAnam sarvam-Ana-Dura-udDuram
   ekam evedṛśaṃ mānam iti kecit prapedire // 1.704 //	ekam eva-IdRSam mAnam iti kecid prapedire // 1.704 //
   dhūmād agnir iti prāyas tasyaivaitad vijṛṃbhitam	DUmAt agniH iti prAyas tasya-eva-etat vijRMBitam
   yathā ghaṭasya pūrvāṃśadṛṣṭaikapariniṣṭhitaḥ // 1.705 //	yaTA Gawasya pUrva-aMSa-dRzwa-eka-parinizWitaH // 1.705 //
   mātā sphuṭāsphuṭākāratāvadarthāvalehinīm	mAtA sPuwa-asPuwa-AkAra-tAvat-arTa-avalehinIm
   sphuṭām eva matiṃ matvā pratyakṣatvaṃ prapadyate // 1.706 //	sPuwAm eva matim matvA pratyakza-tvam prapadyate // 1.706 //
   na cānumānam antyāṃśe saṃvid ekaiva sā yataḥ	na ca-anumAnam antya-aMSe saMvid ekA-eva sA yatas-
   dhūmādhyakṣapratītyantarniviṣṭāgniprathā tathā // 1.707 //	DUma-aDyakza-prati-iti-antar-nivizwa-agni-praTA taTA // 1.707 //
   ekaiva tāvad arthāṃśalehinī jāyate matiḥ	ekA-eva tAvat arTa-aMSa-lehinI jAyate matiH
   tāvaty āṃśe sphuṭākārā pratyakṣam iti bhāṣyatām // 1.708 //	tAvatI AMSe sPuwa-AkArA pratyakzam iti BAzyatAm // 1.708 //
   yathā ratnādivaicityraṃ tathā saṃskārasaṃsthiteḥ	yaTA ratna-Adi-vEcityram taTA saMskAra-saMsTiteH
   netrātmamānasālokaviṣayādiṣu saṃvidi // 1.709 //	netra-Atma-mAnasa-Aloka-vizaya-Adizu saMvidi // 1.709 //
   pratyakṣam eva saṃvittau sphuṭatvenāvabhāsate	pratyakzam eva saMvittO sPuwa-tvena-avaBAsate
   tathā tathāvidhavyāptidhāmasaṃkārasaṃsthiteḥ // 1.710 //	taTA taTAviDa-vyApti-DAma-saMkAra-saMsTiteH // 1.710 //
   ante tathaiva sā vittir dhūmāgnyākārarūpiṇī	ante taTA-eva sA vittiH DUma-agni-AkAra-rUpiNI
   yathā ca dṛḍhasaṃskārāḥ sollekhāḥ sapadi svayam // 1.711 //	yaTA ca dRXa-saMskArAH sa-ulleKAH sapadi svayam // 1.711 //
   ratnāditattvaṃ paśyanti vighnāntaratirodhitaḥ	ratna-Adi-tattvam paSyanti viGna-antaratiroDitaH
   tathā bubhukṣitātmānaḥ śīghram evātiniścitam // 1.712 //	taTA buBukzita-AtmAnaH SIGram eva-ati-niScitam // 1.712 //
   annādi gṛhṇate bhoktuṃ vyāptyādyavyavadhānataḥ	annAdi gRhNate Boktum vyApti-Adi-avyavaDAnataH
   tena pratyuktam eva syād yad āhuḥ parikalpanam // 1.713 //	tena pratyuktam eva syAt yat AhuH parikalpanam // 1.713 //
   abhyasteṣv avinābhāvasvabhāvavyāptisaṃvidaḥ	aByastezu avinA-aBO=-a-svaBAva-vyApti-saMvidaH
   kiṃ hi tatkalpanāvyāptivitter iti na manmahe // 1.714 //	kim hi tad-kalpanA-vyApti-vitteH iti na manmahe // 1.714 //
   āśūtpattivaśād asyā na khalv asty upalakṣaṇam	ASu-utpatti-vaSAt asyAH na Kalu asti upalakzaNam
   anumīyata evaṃ sā tad eva parikalpanam // 1.715 //	anumIyate evam sA tat eva parikalpanam // 1.715 //
   aho svapakṣapātāndhāḥ svam apy upagataṃ muhuḥ	aho sva-pakza-pAta-anDAH svam api upagatam muhur-
   amī vismartum ārabdhās tārkikammanyabuddhayaḥ // 1.716 //	amI vismartum ArabDAH tArkikammanya-budDayaH // 1.716 //
   kṣaṇāpavargiṇī buddhiḥ sarvaiva hi bhavanmatā	kzaNa-apavargiNI budDiH sarvA-eva hi Bavat-matA
   utpattimātrayogena viṣayasyāvabhāsikā // 1.717 //	utpatti-mAtra-yogena vizayasya-avaBAsikAH // 1.717 //
   na kṣaṇāc cāparaṃ kiṃcid āśubhāvitvam ucyate	na kzaNAt ca-aparam kiMcid ASu-BAvi-tvam ucyate
   tat sarvam āśubhāvy eva vijñānam iti tattvataḥ // 1.718 //	tat sarvam ASu-BAvi eva vijQAnam iti tattvataH // 1.718 //
   sarvatra bhāvajāteṣu bhaved anupalakṣaṇam	sarvatra BAva-jAtezu Bavet anupalakzaNam
   athāvicchinnadṛṣṭīnāṃ drāghīyaḥkālagocaram // 1.719 //	aTa-avicCinna-dRzwInAm drAGIyaH-kAla-gocaram // 1.719 //
   jñātaṃ tenāpi tarhy artho janmamātreṇa bhāsyate	jQAtam tena-api tarhi arTaH janma-mAtreNa BAsyate
   yac cotpattivaśād eva viṣayasphuṭatātmakam // 1.720 //	yat ca-utpatti-vaSAt eva vizaya-sPuwatA-Atmakam // 1.720 //
   tasya śīghratarasthāsnubhāvo bhedāvahaḥ katham	tasya SIGratara-sTa-asnuBAvaH Beda-AvahaH kaTam
   yat tat kila grahāpekṣaṃ svaprakāśam athāpi sat // 1.721 //	yat tat kila graha-apekzam sva-prakASam aTa-api sat // 1.721 //
   anyatropāyatāṃ yāti vidyuddīpādivat tathā	anyatra-upAyatAm yAti vidyut-dIpa-Adi-vat taTA
   tatraiva ciraśīghrasthabhāvo bhedāya bhāsate // 1.722 //	tatra-eva cira-SIGra-sTa-BAvaH BedAya BAsate // 1.722 //
   na ca kvāpy anumāneṣu vyāptyāder grahaṇaṃ bhavet	na ca kvApi anumAnezu vyApti-AdeH grahaNam Bavet-
   punaḥ punaḥ sphuṭībhāvaṃ yāti yenopalakṣyate // 1.723 //	punar punar sPuwIBAvam yAti yena-upalakzyate // 1.723 //
   kiṃ ca kramikadhūmādijñānamālātmani sphuṭam	kim ca kramika-DUma-Adi-jQAna-mAlA-Atmani sPuwam
   uditāpi kathaṃ kuryād ekabhāvāvabhāsanam // 1.724 //	uditA-api kaTam kuryAt eka-BAva-avaBAsanam // 1.724 //
   athāntyam anusandhānajñānam evaṃ kariṣyati	aTa-antyam anusanDAn-a-jQAnam evam karizyati
   tad api prāksthasaṃvittisamaṃ bhinnaṃ kathaṃ tathā // 1.725 //	tat api prAc-sTa-saMvitti-samam Binnam kaTam taTA // 1.725 //
   tena prāktanavijñānamālāmanvasyate yadi	tena prAktana-vijQAna-mAlAm-anvasyate yadi
   tad asan na hi saṃdhānaṃ naṣṭāyām upapadyate // 1.726 //	tat asat na hi saMDAnam nazwAyAm upapadyate // 1.726 //
   atha smaraṇam eveha saṃdhānaṃ saṃvidāṃ bhavet	aTa smaraNam eva-iha saMDAnam saMvidAm Bavet-
   tad apy anubhavābhāve kathaṃ nāma bhaviṣyati // 1.727 //	tat api anuBava-aBAve kaTam nAma Bavizyati // 1.727 //
   na ca jñāneṣv anubhavo yujyate saṃvidaḥ kvacit	na ca jQAnezu anuBavaH yujyate saMvidaH kvacid-
   yugapaj jñānayugalaṃ nāstīti hi bhavanmatam // 1.728 //	yugapad jQAna-yugalam na-asti-iti hi Bavat-matam // 1.728 //
   jñānajñeyātmatā dṛṣṭā yugapatsthitatājuṣoḥ	jQAna-jQeya-Atma-tA dRzwA yugapad-sTita-tAjuzoH
   na tu pūrvāparākārasamutpannavirodhinoḥ // 1.729 //	na tu pUrva-apara-AkAra-samutpanna-viroDinoH // 1.729 //
   tasmād vyāptyanusārāvabhāsapūrvāpi yā matiḥ	tasmAt vyApti-anusAra-avaBAsa-pUrvA-api yA matiH
   tatrāpy akramam evedaṃ pratyakṣamānavedanam // 1.730 //	tatra-api akramam eva-idam pratyakzamAna-vedanam // 1.730 //
   yathā jhaṭiti sauṣuptaprabuddhaḥ pronmiṣaddṛṣiḥ	yaTA Jawiti sOzupta-prabudDaH pronmizat-dRziH
   pratyakṣam iti bhāvāṃśadhyāmalatvanivṛtaye // 1.731 //	pratyakzam iti BAva-aMSa-DyAmala-tva-nivRtaye // 1.731 //
   netrasaṃmārjanādīni vidadhannābhimanyate	netra-saMmArjana-AdIni vidaDat-na-aBimanyate
   bhāvān anuminomīti tathaivātrāpi buddhyatām // 1.732 //	BAvAn anuminomi-iti taTA-eva-atra-api budDyatAm // 1.732 //
   yathā ca ghanasauṣuptamohāvyutthitadarśanaḥ	yaTA ca Gana-sOzupta-moha-avyutTita-darSanaH
   svātmānam atha tatsthānaṃ vismaraty eva tat kṣaṇaṃ // 1.733 //	sva-AtmAnam aTa tat-sTAnam vismarati eva tat kzaNam // 1.733 //
   atha prayatnasaṃbhāraprabuddhavimalasvadṛk	aTa prayatna-saMBAra-prabudDa-vimala-svadRS-
   so 'ham asmīti manvānaḥ saṃvitteḥ paramārthataḥ // 1.734 //	saH aham asmi-iti manvAnaH saMvitteH paramArTataH // 1.734 //
   tatra sarvatra nātho 'yaṃ bhairavaś citsvarūpakaḥ	tatra sarvatra nATaH ayam BEravaH cit-svarUpakaH
   svātantryāt svaṃ vapur yāvad gūhate vivṛṇoti ca // 1.735 //	svAtantryAt svam vapuH yAvat gUhate vivRNoti ca // 1.735 //
   tāvad ajñānam etasya vijñānaṃ copajāyate	tAvat ajQAnam etasya vijQAnam ca-upajAyate
   tac ca sphuṭatayā sarvapratyakṣam iti manyatām // 1.736 //	tat ca sPuwa-tayA sarva-pratyakzam iti manyatAm // 1.736 //
   ghaṭaśabde śrute yā ca pṛthubudhnodarādidhīḥ	Gawa-Sabde Srute yA ca pRTu-buDna-udara-Adi-DIH
   tatrāpi khalu samketasmaraṇādi tathāvidham // 1.737 //	tatra-api Kalu samketa-smaraNa-Adi taTAviDam // 1.737 //
   yathā ratnaparīkṣāyāṃ svāṃ saṃvittiṃ sphuṭātmikām	yaTA ratna-parIkzAyAm svAm saMvittim sPuwa-AtmikAm
   samvidantarasaṃghātais tiṣṭhati pratibodhayan // 1.738 //	samvid-antara-saMGAtEH tizWati pratiboDayan // 1.738 //
   tataḥ prabuddhacaramasphuṭasaṃvittiyogataḥ	tatas prabudDa-caram-asPuwa-saMvitti-yogataH
   ratnatattvaṃ vibhāty atra nopayoge 'nyasaṃvidām // 1.739 //	ratna-tattvam viBAti atra na-upayoge anya-saMvidAm // 1.739 //
   tāḥ paraṃ tatprabodhāya kāraṇatvaṃ vitenire	tAH param tat-praboDAya kAraNa-tvam vitenire
   tasyaivāvabhāsayoge hi na tāsām upayogitā // 1.740 //	tasya-eva-avaBAsa-yoge hi na tAsAm upayogi-tAH // 1.740 //
   bālavaikaṭikajñānadṛṣṭāntād īdṛśāt svayam	bAla-vEkawika-jQAna-dRzwAntAt IdRSAt svayam
   śābde 'pi khalu vijñāne sphuṭaivaikā prakāśadhīḥ // 1.741 //	SAbde api Kalu vijQAne sPuwA-eva-ekA prakASa-DIH // 1.741 //
   atas tathāvidhe śabde śrute yat samanantaram	atas taTAviDe Sabde Srute yat samanantaram
   arthāvabhāsane seyam iyatī matir īdṛśī // 1.742 //	arTa-avaBAsane sA-iyam iyatI matiH IdRSI // 1.742 //
   arthaḥ sa tāvāṃs tatrāste ghaṭapūrvāparāṃśavat	arTaH sa tAvAn tatra-Aste Gawa-pUrvA-apara-aMSa-vat
   nanv asau ghaṭa ekaḥ syād avayavyātmakas tathā // 1.743 //	nanu asO GawaH ekaH syAt avayavi-AtmakaH taTA // 1.743 //
   na tu śabdārthayor aikyaṃ tat kathaṃ sāmyam īdṛśam	na tu Sabda-arTayoH Ekyam tat kaTam sAmyam IdRSam
   aho bhedagrahābhyāsatimirāvilalocanaḥ // 1.744 //	aho Beda-graha-aByAsa-timira-Avila-locanaH // 1.744 //
   sadyuktyañjanayoge 'pi na dṛṣṭiṃ vimalāṃ gataḥ	sat-yukti-aQjana-yoge api na dRzwim vimalAm gataH
   abhinno bhagavān eṣa bhairavo bhogyabhoktṛtām // 1.745 //	aBinnaH BagavAn eza BEravaH Bogya-BoktR-tAm // 1.745 //
   ātmany evānusandhāya sarvadā pūrṇavigrahaḥ	Atmani eva-anusanDAya sarvadA pUrNa-vigrahaH
   iti prasādhite pūrvaṃ kaḥ praśnasyāsya saṃbhavaḥ // 1.746 //	iti prasADite pUrvam kaH praSnasya-asya saMBavaH // 1.746 //
   tad evam upamānādāv api mānāntare sphuṭam	tat evam upamAna-AdO api mAna-antare sPuwam
   saṃvitpratyakṣarūpaiva sarvatra pratibhāsate // 1.747 //	saMvid-pratyakza-rUpA-eva sarvatra pratiBAsate // 1.747 //
   andho 'pi sparśaśabdādyais tattadrūpaṃ vilokayan	anDaH api sparSa-Sabda-AdyEH tad-tad-rUpam vilokayan
   sphuṭatām eva tāṃ tāvat saṃvetti sa tathāvidhām // 1.748 //	sPuwa-tAm eva tAm tAvat saMvetti sa taTAviDAm // 1.748 //
   evaṃ jātijaḍā rūpasparśādyair abhimanvate	evam jAti-jaxA rUpa-sparSa-AdyEH aBimanvate
   sphuṭam eva hi bhāvāṃśaṃ teṣāṃ nājñātadhīḥ kvacit // 1.749 //	sPuwam eva hi BAva-aMSam tezAm na-ajQAta-DIH kvacid // 1.749 //
   iyaṃ lāvaṇyasarasī tāruṇyodyānakaṇḍalī	iyam lAvaNya-sarasI tAruNya-udyAna-kaNxalI
   iti tuṣyati jātyandhas tadaṅgaparimarśanāt // 1.750 //	iti tuzyati jAti-anDaH tad-aFga-parimarSanAt // 1.750 //
   aho nu sadalaṃkāraṃ gāyatīti jaḍo janaḥ	aho nu sat-alaMkAram gAyati-iti jaxaH janaH
   gātur mukhaṃ vilokyaiva tāvatā parituṣyati // 1.751 //	gAtuH muKam vilokya-eva tAvatA parituzyati // 1.751 //
   iti pratyakṣam evaikaṃ niḥsapatnaṃ vijṛmbhate	iti pratyakzam eva-ekam niHsapatnam vijRmBate
   tad asya phalacintādi kartuṃ prastūyate manāk // 1.752 //	tat asya Pala-cintA-Adi kartum prastUyate manAk // 1.752 //
   tad eva khalu vijñānaṃ parimarśarasātmakam	tat eva Kalu vijQAnam parimarSa-rasa-Atmakam
   tasmād bhedakathā naiva phalaṃ prati susaṃgatā // 1.753 //	tasmAt Beda-kaTA na-eva Palam prati su-saMgatAH // 1.753 //
   hānādidhīḥ phalaṃ vāstu tasyā apy atha bhāsanāt	hAna-Adi-DIH Palam vA-astu tasyAH api aTa BAsanAt-
   yadi vā svaprakāśaiva saṃvittiḥ pāramārthikī // 1.754 //	yadi vA sva-prakASA-eva saMvittiH pAramArTikI // 1.754 //
   tad eva paryanthaphalaṃ sarvatraiva suniścitam	tat eva paryanTa-Palam sarvatra-eva su-niScitam
   hlādādikaṃ phalaṃ mukhyaṃ yat sarvatreha gīyate // 1.755 //	hlAda-Adikam Palam muKyam yat sarvatra-iha gIyate // 1.755 //
   tatsvasaṃvidi viśrāntim abhyeti bharitātmani	tad-sva-saMvidi viSrAntim aByeti Barita-Atmani
   tad evam idam adhyakṣaṃ sarvataḥ pravijṛmbhate // 1.756 //	tat evam idam aDyakzam sarvatas pravijRmBate // 1.756 //
   etadabhyāsaniṣṭḥasya keva siddhir na jāyate	etat-aByAsa-nizwHasya kA-iva sidDiH na jAyate
   brahmādibhāṣitaśrautapraunmukhyena kalādikāt // 1.757 //	brahma-Adi-BAzita-SrOta-prOd-muKyena kalA-AdikAt // 1.757 //
   dūrāc chravaṇavijñānam acirāt saṃpravartate	dUrAt SravaNa-vijQAnam acirAt saMpravartate
   manodṛṣṭe 'pi bhāvāṃśe sphuṭavṛttyudayo hy alam // 1.758 //	manaH-dRzwe api BAva-aMSe sPuwa-vRtti-udayaH hi alam // 1.758 //
   svavimarśabalākrānte kiṃ citraṃ yadi jāyate	sva-vimarSa-bala-AkrAnte kim citram yadi jAyate
   spandaśāstre tathā coktaṃ sāvadhāne 'pi cetasi // 1.759 //	spandaSAstre taTA ca-uktam sa-avaDAne api cetasi // 1.759 //
   bhūyaḥ sphuṭataro bhātīty alaṃ bahulavistaraiḥ	BUyas sPuwataraH BAti-iti alam bahula-vistarEH
   itthaṃ pratyakṣam evedaṃ viśvaṃ yat parameśituḥ // 1.760 //	itTam pratyakzam eva-idam viSvam yat parameSituH // 1.760 //
   tat tato 'py avibhinnasya mātṛvargasya tat tathā	tat tatas api aviBinnasya mAtR-vargasya tat taTA
   na ca pratītisāṃkāryaṃ tathā bhāsanayogataḥ // 1.761 //	na ca pratIti-sAMkAryam taTA BAsana-yogataH // 1.761 //
   pratyakṣe 'pi same sāmyaṃ no ghaṭāghaṭasamvidoḥ	pratyakze api same sAmyam naH Gawa-aGawa-samvidoH
   itthaṃ pratyakṣam evedaṃ niḥsapatnaṃ vijṛmbhate // 1.762 //	itTam pratyakzam eva-idam niHsapatnam vijRmBate // 1.762 //
   tato na bhidyate cārthaḥ pratyakṣādvaitam īdṛśam	tatas na Bidyate ca-arTaH pratyakza-advEtam IdRSam
   idaṃ sandhānakalikāpariniṣṭhitabuddhinā // 1.763 //	idam sanDAna-kalikA-parinizWita-budDinA // 1.763 //
   ācāryanarasiṃhena pratyakṣādvaitam ucyate	AcArya-nara-siMhena pratyakza-advEtam ucyate
   anumānapramāṇatvaṃ viśvasmin kaiś cid ucyate // 1.764 //	anumAna-pramANa-tvam viSvasmin kEH cit ucyate // 1.764 //
   tathā hi devaḥ sarvajño nirvikalpasvabhāvakaḥ	taTA hi devaH sarvajQaH nirvikalpa-svaBAvakaH
   sa cādhyakṣasvabhāvo 'pi nāyāti vyavahāryatām // 1.765 //	sa ca-aDyakza-svaBAvaH api na-AyAti vyavahAryatAm // 1.765 //
   avikalpe vikalpātmā vyavahāraḥ kathaṃ kila	avikalpe vikalpa-AtmA vyavahAraH kaTam kila
   vikalpena ca sarvo 'yaṃ vyavahāro 'vatanyate // 1.766 //	vikalpena ca sarvaH ayam vyavahAraH avatanyate // 1.766 //
   sa eva cānumānaṃ syāt tasyaitāḥ parikalpanāḥ	saH eva ca-anumAnam syAt tasya-etAH parikalpanAH
   pakṣataddharmatadvyāptitatpratītyādayo 'khilāḥ // 1.767 //	pakza-tad-Darma-tad-vyApti-tad-prati-iti-AdayaH aKilAH // 1.767 //
   vastutas tv eka evāsau pratyayaḥ pāramārthikaḥ	vastutas tu ekaH eva-asO pratyayaH pAramArTikaH
   nanv adhyakṣaviyoge syād anumānaṃ kathaṃ yataḥ // 1.768 //	nanu aDyakza-viyoge syAt anumAnam kaTam yatas // 1.768 //
   tatpratyakṣaparicchinnapratibandhanibandhanam	tad-pratyakza-paricCinna-pratibanDa-nibanDanam
   satyaṃ kiṃtu ya eko 'sau devaḥ sarvajñatāspadam // 1.769 //	satyam kiMtu yaH ekaH asO devaH sarvajQa-tA-Aspadam // 1.769 //
   tadāveśavaśād eṣā vyāptir bodhe 'vakalpate	tad-AveSavaSAt ezA vyAptiH boDe avakalpate
