   // brahmasūtrabhāṣyam //	// brahmasUtra BAzyam //
   tatkāryaṃ tasipratyayārthaṃ ca pradarśayituṃ 'taddhetutvaṃ vadan';	tat kAryam tasi pratyaya arTam ca pradarSayitum atad hetu tvam vadan a;
   ityuktam / atrātaḥśabdo 'sakṛdāvartate / tatraikaśśabdaparaḥ, anyo hetau,	iti uktam / atra atas SabdaH asakRt Avartate / tatra ekaH Sabda paraH, anyaH hetO,
   aparo viṣṇuparaḥ / atra śabdaparasyātaśśabdasya samuccayārthena	aparaH vizNu paraH / atra Sabda parasya atas Sabdasya samuccaya arTena
   apiśabdenānvayaḥ / co yata ityarthe / 'tṛtīyaḥ udāhṛtaḥ'; ityanayorāvṛttiḥ	api Sabdena anvayaH / caH yatas iti arTe / atRtIyaH udAhRtaH a; iti anayoH AvRttiH
   / 'prāthamikau'; ityasya vacanavyatyayenānuṣaṅga / tṛtīyaśabdo	/ aprATamikO a; iti asya vacana vyatyayena anuzaFga / tRtIya SabdaH 
   bhāvapradhānaḥ, vibhaktivyatyayaśca / tathā ca na kevalamoṅkārāthaśabdau,	BAva praDAnaH, viBakti vyatyayaH ca / taTA ca na kevala m oFkArATa SabdO,
   kintu 'taddhetutvaṃ'; tasya prasannasyākāravācyasya viṣṇostatra jijñāsādau	kintu atad hetu tvaM a; tasya prasannasya AkAra vAcyasya vizNoH tatra jijQAsA AdO
   kāraṇatvaṃ tasipratyayena vadanprakṛtyaiva tasya	kAraNa tvam tasi pratyayena vadan prakRtyA eva tasya
   jijñāsādermokṣahetutvarūpaṃ liṅgaṃ vā vadan 'ataḥ';	jijQAsA AdeH mokza hetu tva rUpam liFgam vA vadan aataH a;
   sarvanāmāsarvanāmaprakṛtiko 'taśśabdo 'pi yato viṣṇoḥ 'tṛtīyaḥ';	sarva nAmA sarva nAma prakRtikaH atas SabdaH api yatas vizNoH atRtIyaH a;
   tṛtīyatayā 'udāhṛtaḥ'; uccāritaḥ ataḥ so 'pi svarūpottamaḥ ; yata evamato	tRtIyatayA audAhRtaH a; uccAritaH atas saH api svarUpa uttamaH ; yatas evam atas 
   'taśśabdo 'pi tṛtīyatayā prāthamika udāhṛta iti yojanā / tathā ca  	atas SabdaH api tRtIya tayA prATamikaH udAhRtaH iti yojanA / taTA ca  
   maṅgalaśabdena maṅgaloktāvapi tasya svarūpādhikyānukteḥ	maFgala Sabdena maFgala uktO= api tasya svarUpa ADikya anukteH
   athātaḥśabdābhyāmivādhikāraprayojanayoranukteśca na tena gatārthatā,	aTa atas SabdAByAm iva aDikAra prayojanayoH anukteH ca na tena gata arTa tA,
   adhikāraprayonasūcanārthaṃ tayoravaśyāpekṣitatvāt / ata eva ṭīkāyāṃ	aDikAra prayona sUcanA arTam tayoH avaSya apekzita tvAt / atas eva wIkAyAm
   "maṅgaloktyādeḥ"ityādiśabdaḥ tataśśabdena	"maFgala ukti AdeH"iti Adi SabdaH tatas Sabdena
   hetvānantaryapratiyogyadhikārasūcane 'pi na tasyādisūtre niveśā yuktaḥ,	hetvA anantarya pratiyogi aDikAra sUcane api na tasya Adi sUtre niveSA yuktaH,
   tasya svarūpādhikyānuktereveti bhāvaḥ /	tasya svarUpa ADikya anukteH eva iti BAvaH /
   BBsBh_1,1.1.34:	BBsBh_1,1.1.34:
   akārassarvavāgātmā parabrahmābhidhāyakaḥ /	akArassarva vAc AtmA para brahma aBiDAyakaH /
   BBsBhDīp_1,1.1.34:	BBsBhDIB _1,1.1.34:
   na kevalamavaśyavaktavyārthatvāt nāpi svarūpādhikyāt athātaśśabdayoḥ	na kevalam avaSya vaktavya arTa tvAt na api svarUpa ADikyAt aTa atas SabdayoH
   prathamaprayogaḥ, kintvavayavārthataśca / ato 'pi prathamaprayoga iti	praTama prayogaH, kintu avayava arTataH ca / atas api praTama prayogaH iti
   bhāvena kathamiti tṛtīyapraśnasya prākarāntareṇottaramāha   'akāraḥ'; iti	BAvena kaTam iti tRtIya praSnasya prAkara antareNa uttaram Aha  aakAraH a; iti
   / tayorityanuvartate / tathā ca   athātaśśabdayossambandhī 'akāro'; yataḥ	/ tayoH iti anuvartate / taTA ca  aTa atas SabdayoH sambanDI aakAraH a; yatas 
   'sarvavāgātmā'; 'tasmātsarvaguṇān viṣṇoḥ akāro vakti yatprabhoḥ';	asarva vAc AtmA a; atasmAt sarva guNAn vizNoH akAraH vakti yat praBoH a;
   ityaitareyabhāṣyadiśā sarvāsāṃ vācāmartho yatpūrṇatvaṃ tadabhidhāyakaḥ,	iti Etareya BAzya diSA sarvAsAm vAcAm arTaH yat pUrNa tvam tad aBiDAyakaH,
   ataḥ parabrahmābhidhāyakaḥ guṇapūrṇatvadharmiṇa eva parabrahmatvāt,	atas para brahma aBiDAyakaH guNa pUrNa tva DarmiNaH eva para brahma tvAt ,
   dharmadharmiṇorabhedācceti bhāvaḥ/	Darma DarmiNoH aBedAt ca iti BAvaH/
   BBsBh_1,1.1.35:	BBsBh_1,1.1.35:
   tathau prāṇātmakau proktau vyāptisthitividhāyakau /	taTO prANa AtmakO proktO vyApti sTiti viDAyakO /
   BBsBhDīp_1,1.1.35:	BBsBhDIB _1,1.1.35:
   evaṃ tayoḥ 'tathau'; taśca thaśca varṇau 'prāṇātmakau'; prāṇau, doṣātmakaḥ	evam tayoH ataTO a; taH ca TaH ca varNO aprANa AtmakO a; prANO, doza AtmakaH
   doṣa itivat / viśeṣaṇayoḥ pratyekamanvayaḥ / prāṇaśabdo vāyuviṣṇūbhayavācī	dozaH iti vat / viSezaNayoH pratyekam anvayaH / prANa SabdaH vAyu vizNu uBaya vAcI
   / "mahataścaturmukhāt"itivat abhimānyabhimanyamānayoḥ, "ayaṃ vai lokaḥ	/ "mahataH catur muKa At"iti vat aBimAnI aBimanyamAnayoH, "ayam vE lokaH
   prathamā mahānāmnī"( ) itivadvācyavācakayoḥ sāmānādhikaraṇyena	praTamA mahAnAmnI"( ) itivat vAcya vAcakayoH sAmAnADikaraNyena
   aikyavyapadeśaḥ / asya nirūḍhatvajñāpanāya 'ātmaka'; śabdaḥ / proktāviti	Ekya vyapadeSaH / asya nirUXa tva jQApanAya aAtmaka a; SabdaH / proktO= iti
   vācyatvābhimānitvayoḥ prāmāṇikatvamāha / kramabhaṅgastu vargakramānusārāt	vAcya tva aBimAni tvayoH prAmANika tvam Aha / krama BaFgaH tu varga krama anusArAt
   uccāraṇalāghavācca kṛtaḥ / paramātmavācitvaṃ ca tadguṇadvāretyāha  	uccAraNa lAGavAt ca kRtaH / paramAtma vAci tvam ca tad guNa dvAra iti Aha  
   'vyāpti'; iti / tasyeti śeṣaḥ / tathā ca   tasya akāravācyasya	avyApti a; iti / tasya iti SezaH / taTA ca  tasya akAra vAcyasya
   parabrahmaṇo vyāptisthityabhidāyakau ityarthaḥ / tathayoretatkrameṇa	para brahmaNaH vyApti sTiti aBidAyakO iti arTaH / taTayoH etat krameNa
   yojanīyam / atrākārārtho guṇavyāptiḥ, takārārtho deśakālavyāptiḥ,	yojanIyam / atra AkAra arTaH guNa vyAptiH, takAra arTaH deSa kAla vyAptiH,
   thakārasya tu avikāreṇa avasthitirartha ityarthabhedo jñātavyaḥ /	TakArasya tu avikAreNa avasTitiH arTaH iti arTa BedaH jQAtavyaH /
   tattvapradīpe tu   'tathau prāṇātmakaṃ prāptau'; iti pāṭhabhedamaṅgīkṛtya	tattva pradIpe tu  ataTO prANa Atmakam prAptO a; iti pAWa Bedam aFgIkRtya
   prāṇātmakaṃ prāṇapraṇetāraṃ viṣṇuṃ vācakatvena prāptāviti vyākhyātam /	prANa Atmakam prANa praNetAram vizNum vAcaka tvena prAptO= iti vyAKyAtam /
   yadyapi sūtre praviṣṭasya sarvanāmaprakṛtikasya ataśśabdasya	yadi api sUtre pravizwasya sarva nAma prakRtikasya atas Sabdasya
   naivamavayavārthakathanaṃ yujyate, asarvanāmaprakṛtikasya tu 'parasya';	na evam avayava arTa kaTanam yujyate, asarva nAma prakRtikasya tu aparasya a;
   ityanenaiva arthata ādhikyaṃ coktam / tathāpi athaśabdasya arthata	iti anena eva arTataH ADikyam ca uktam / taTA api aTa Sabdasya arTata
   ādhikyānukteḥ tadgatavarṇayoḥ asarvanāmaprakṛtikātaśśabdagatavarṇayośca	ADikya anukteH tad gata varNayoH asarva nAma prakRti kAtaH Sabda gata varNayoH ca
   vākyārthāpraviṣṭātiśayitārthāntaroktiriyamityadoṣaḥ /	vAkya arTa apravizwa atiSayita arTa antara uktiH iyam iti adozaH /
   BBsBh_1,1.1.36:	BBsBh_1,1.1.36:
   ataśca pūrvamuccāryāḥ sarva ete satāṃ matāḥ /	atas ca pUrvam uccAryAH sarve ete satAm matAH /
   BBsBhDīp_1,1.1.36:	BBsBhDIB _1,1.1.36:
   astvevaṃ, tataḥ kimityata āha   'ataśca'; iti / co 'vadhāraṇe samuccaye ca	astu evaM, tatas kim iti atas Aha  aatas ca a; iti / caH avaDAraNe samuccaye ca
   / tatra athātaśśabdaviṣaye samuccayaḥ, oṅkāraviṣaye tu svarūpata	/ tatra aTa atas Sabda vizaye samuccayaH, oFkAra vizaye tu svarUpata
   ādhikyādevetyavadhāraṇārthateti dhyeyam / 'ete'; ityasya vivaraṇaṃ	ADikyAt eva iti avaDAraNa arTa tA iti Dyeyam / aete a; iti asya vivaraNam
   'sarve'; omathātaśśabdā iti / 'ataḥ pūrvaṃ'; etacchāstrādāviti	asarve a; omaTAtas SabdAH iti / aatas pUrvaM a; etat SAstra AdO= iti
   ataśśabdāvṛttyā anvayaḥ / 'kramāt'; ityatrāpi sambadhyate / 'uccāryāḥ';	atas Sabda AvRttyA anvayaH / akramAt a; iti atra api sambaDyate / auccAryAH a;
   ityevaṃ 'satāṃ'; janānāṃ sammatā ityarthaḥ / yadvā   'satāṃ'; mukhyānāṃ	iti evam asatAM a; janAnAm sammatAH iti arTaH / yat vA  asatAM a; muKyAnAm
   brahmasūtrāṇāṃ pūrvaṃ ādisūtre ityarthaḥ / na cātra	brahmasUtrANAm pUrvam Adi sUtre iti arTaH / na ca atra
   "sakalasūtrakārairevameva prayuktatvāt"iti sudhāvirodhaḥ,	"sakala sUtra kArEH evam eva prayukta tvAt"iti suDA viroDaH,
   tasyāthātaśśabdamātraviṣayatvāt / ata eva "etau"iti pūrvamuktvā	tasya aTAtas Sabda mAtra vizaya tvAt / atas eva "etO" iti pUrvam uktvA
   sakalasūtrakārairevamevetyuktam, kramāntaraṃ vihāyāvādāvevetyarthaḥ /	sakala sUtra kArEH evam eva iti uktam, krama antaram vihAyO= AdO= eva iti arTaH /
   athaśabdasya sūtrakṛteti śeṣaḥ /	aTaSabdasya sUtrakRtA iti SezaH /
   BBsBh_1,1.1.37:	BBsBh_1,1.1.37:
   athātaśśabdayorevaṃ vīryamājñāya tattvataḥ	aTa atas SabdayoH evam vIryam AjQAya tattvataH
   BBsBh_1,1.1.38:	BBsBh_1,1.1.38:
   sūtreṣu tu mahāprājñāstāvevādau prayuñjate // iti /	sUtrezu tu mahA prAjQAH tO= evAdO prayuQjate // iti /
   BBsBhDīp_1,1.1.37 38:	BBsBhDIB _1,1.1.37 38:
   tatkimatretyādipraśnottaramupasaṃharati   'atha'; iti / tuśabdo 'vadhāraṇe	tat kim atra ityAdi praSna uttaram upasaMharati  aaTa a; iti / tuSabdaH avaDAraNe
   viśeṣe ca / 'evaṃ'; iti uktaprakāreṇa 'vīryaṃ'; svarūpādhikyādimāhātmyaṃ	viSeze ca / aevaM a; iti ukta prakAreNa avIryaM a; svarUpa ADikya Adi mAhAtmyam
   'ājñāya'; tattvato vijñāya 'sūtreṣu'; vicāraśāstrādiṣu sarveṣu 'tau';	aAjQAya a; tattvataH vijQAya asUtra izu a; vicAra SAstra Adizu sarvezu atO a;
   athātaśśabdāveva natvanyaṃ 'ādau'; prathamameva 'prayuñjate'; prayogaṃ	aTa atas SabdO= eva natu anyam aAdO a; praTamam eva aprayuQjate a; prayogam
   kurvantītyarthaḥ / 'mahāprājñāḥ'; ityanena sūtrakṛtāṃ	kurvanti iti arTaH / amahA prAjQAH a; iti anena sUtra kRtAm
   śabdamārātmyatattvajñāne asāmarthyaṃ nivārayati / evakāraḥ	Sabdam ArAtmya tattva jQAne asAmarTyam nivArayati / eva kAraH
   sarvaśāstrādisūtravivakṣayoṅkāravyavacchedakaḥ / ata eva 'ataśca'; iti	sarva SAstra Adi sUtra vivakzayA uFkAra vyavacCedakaH / atas eva aatas ca a; iti
   trayāṇāṃ prakṛtatvepi oṅkāravaiṣamyajñāpanāya athātaśśabdayorevoktiḥ / ata	trayANAm prakRta tvepi oFkAra vEzamya jQApanAya aTa atas SabdayoH eva uktiH / ata
   eva athātaśśabdaviṣaye upakramopasaṃhārayoḥ 'nikhilāni sūtrāṇi';	eva aTa atas Sabda vizaye upakrama upasaMhArayoH aniKilAni sUtrANi a;
   'sūtreṣu'; iti sarvasūtroktiḥ, oṅkāraviṣaye tu tadanuktiḥ /	asUtra izu a; iti sarva sUtra uktiH, oFkAra vizaye tu tad anuktiH /
   athaśabdasyoṅkāreṇa saha pāṭhe 'pi na sārvatrikatvaṃ,	aTa Sabdasya uFkAreNa saha pAWe api na sArvatrika tvaM,
   upakramopasaṃhāravirodhāt / iti śabdasya uktamityanenānvayaḥ //	upakrama upasaMhAra viroDAt / iti Sabdasya uktam iti anena anvayaH //
   BBsBh_1,1.1.39:	BBsBh_1,1.1.39:
   adhikāraścokto bhāgavatatantre  	aDikAraH ca uktaH BAgavata tantre  
   BBsBhDīp_1,1.1.39:	BBsBhDIB _1,1.1.39:
   athaśabdo 'dhikārānantaryaṃ vaktītyuktaṃ; tatra kosāvadhikāro	aTaSabdaH aDikAra Anantaryam vakti iti uktan; tatra kosO= aDikAraH 
   brahmajijñāsāyāṃ, katividhaśca sa ityata āha   'adhikāraḥ'; iti / caśabdo	brahma jijQAsAyAM, kativiDaH ca saH iti atas Aha  aaDikAraH a; iti / caSabdaH 
   na kevalamadhikāraḥ kintu tadvibhāgaśca bhāgavatatantrākhyagranthe	na kevalam aDikAraH kintu tad viBAgaH ca BAgavata tantra AKya granTe
   'bhihita iti samuccaye / atra pramāṇe adhikārikathane 'pi tadviśeṣaṇatayā	aBihitaH iti samuccaye / atra pramANe aDikAri kaTane api tad viSezaNa tayA
   devatvādirūpo 'pyadhikāraḥ ukto bhavatīti nāsaṅgatiḥ/	deva tva Adi rUpaH api aDikAraH uktaH Bavati iti na asaFgatiH/
   BBsBh_1,1.1.40:	BBsBh_1,1.1.40:
   mandamadhyottamatvena trividhā hyadhikāriṇaḥ /	manda maDya uttama tvena triviDAH hi aDikAriNaH /
   BBsBhDīp_1,1.1.40:	BBsBhDIB _1,1.1.40:
   kathamityatastadvākyaṃ paṭhati   'manda'; iti / tvaḥ pratyekaṃ sambadhyate	kaTam iti atas tat vAkyam paWati  amanda a; iti / tvaH pratyekam sambaDyate
   / itthaṃbhūtalakṣaṇe tṛtīyā / hiśabdaḥ prasiddhau /	/ itTaMBUta lakzaNe tRtIyA / hi SabdaH prasidDO /
   BBsBh_1,1.1.41:	BBsBh_1,1.1.41:
   tatra mandā manuṣyeṣu ya uttamagaṇā matāḥ /	tatra mandAH manuzyezu ye uttama gaNAH matAH /
   BBsBhDīp_1,1.1.41:	BBsBhDIB _1,1.1.41:
   'tatra'; trividheṣu madhye manuṣyeṣu ye uttamagaṇāḥ te mokṣayogyeṣu	atatra a; triviDezu maDye manuzyezu ye uttama gaNAH te mokza yogyezu
   mandādhikāriṇa ityuddeśyavidheyabhāvo draṣṭavyaḥ / evaṃ uttaratrāpi /	manda aDikAriNaH iti uddeSya viDeya BAvaH drazwavyaH / evam uttaratra api /
   gaṇaśabdena puruṣārthanayoktatrividhamanuṣyottamā gṛhītāḥ /	gaNa Sabdena puruza arTanaya ukta triviDa manuzya uttamAH gRhItAH /
   BBsBh_1,1.1.42:	BBsBh_1,1.1.42:
   madhyamā ṛṣigandharvā devāstatrottamā matāḥ /	maDyamAH Rzi ganDarvAH devAH tatra uttamAH matAH /
   BBsBhDīp_1,1.1.42:	BBsBhDIB _1,1.1.42:
   ṛṣayaśca gandharvāśca 'ṛṣigandharvāḥ'; / bahuvacanamādyarthe / tena	RzayaH ca ganDarvAH ca aRzi ganDarvAH a; / bahuvacanam Adi arTe / tena
   pitṛpayorgrahaṇam / 'tatra'; triṣu / punaḥ 'tatra'; ityasya 'evaṃvidhāni';	pitRpayoH grahaNam / atatra a; trizu / punar atatra a; iti asya aevaMviDAni a;
   itivadupasaṃhārarūpatvānna punaruktiḥ / yadvā   prathamasya 'tatra';	itivat upasaMhAra rUpa tvAt na punaruktiH / yat vA  praTamasya atatra a;
   ityasya brahmajijñāsāyāmityarthaḥ / ata evoktaṃ ṭīkāyāṃ	iti asya brahma jijQAsAyAm iti arTaH / atas eva uktam wIkAyAm
   "brahmajijñāsāyāṃ"iti / tathā ca   'tatra';	"brahma jijQAsAyAM"iti / taTA ca  atatra a;
   brahmajijñāsāyāmadhikāriṇastrividhāḥ, 'tatra'; trividheṣvityanvayaḥ /	brahma jijQAsAyAm aDikAriNaH triviDAH, atatra a; triviDezu iti anvayaH /
   athavā "itiśabdaḥ pratyekaṃ abhisambadhyate, ata eva dvirgrahaṇaṃ"iti	aTavA "iti SabdaH pratyekam aBisambaDyate, atas eva dvis grahaNaM"iti
   tatvodyotaṭīkārītyā madhyameṣvanuṣaṅgasūcanāyādyantayostatretyuktiḥ /	tatva udyotawIkArItyA maDyamezu anuzaFga sUcanAya Adi antayoH tatra iti uktiH /
   'tatra'; teṣāmadhikāriṇām //	atatra a; tezAm aDikAriNAm //
   BBsBh_1,1.1.43:	BBsBh_1,1.1.43:
   iti jātikṛto bhedastathānyo guṇapūrvakaḥ /	iti jAti kRtaH BedaH taTA anyaH guNa pUrvakaH /
   BBsBhDīp_1,1.1.43:	BBsBhDIB _1,1.1.43:
   'iti'; evaṃ 'jātikṛto'; manuṣyarṣidevatvādirūpasāmānyanimittakaḥ	aiti a; evam ajAti kRtaH a; manuzya Rzi deva tva Adi rUpa sAmAnya nimittakaH
   tattatkulajaninimitto vā 'bhedaḥ'; avāntaravibhāgaḥ anyonyābhāvo vā jñeya	tad tad kula jani nimittaH vA aBedaH a; avAntara viBAgaH anyonya aBAvaH vA jQeya
   ityarthaḥ / anena mokṣayogyatvaṃ	iti arTaH / anena mokza yogya tvam
   vaidikabrahmavidyādhikārisāmānyalakṣaṇamabhipretam / nanvidaṃ lakṣaṇaṃ	vEdika brahma vidyA DikA ari sAmAnya lakzaNam aBipretam / nanu idam lakzaNam
   sacchūdrādau ativyāptam / na ca sacchūdrāderviprādidehāntare	sat SUdra AdO ati vyAptam / na ca sat SUdra AdeH vipra Adi deha antare
   brahmavidyādhikāritvānnātivyāptiriti vācyam, dehāntare sato 'pi	brahma vidyA aDikAri tvAt na ativyAptiH iti vAcyam, deha antare sataH api
   adhikārasyedānīntanapravṛttyanupayogitvāt, taddehāvacchedena tu	aDikArasya idAnIntana pravRtti anupayogi tva at, tad deha avacCedena tu
   anutpannabrahmāparokṣajñānitvenāsyābhāvaniścayāt / tathā ca	anutpanna brahma aparokza jQAni tvena asya aBAva niScayAt / taTA ca
   sacchūdrādāvasyādhikārasya prāyikatvādbāhulakatvāt, ata evaitaddehe	sat SUdrA dA= asya aDikArasya prAyika tvAt bAhulaka tva at, atas eva etat dehe
   'bhāvāt ata evālakṣyatvāt, asya ca mokṣayogyatvasya svarūpatvenānadhikāraḥ	aBAvAt atas eva alakzya tvAt, asya ca mokza yogya tvasya svarUpa tvena anaDikAraH
   daśāyāmapi sattvādvyāpterdhrauvyādityataḥ prakārāntareṇa adhikāriṇaḥ	daSAyAm api sattvAt vyApteH DrOvyAt ityataH prakAra antareNa aDikAriNaH
   svarūpamāha   'tathā'; iti / samuccayārthoyam / 'anyo';	svarUpam Aha  ataTA a; iti / samuccaya arToyam / aanyaH a;
   jātikṛtabhedādbheda ityasti 'guṇapūrvako';	jAti kRta BedAt BedaH iti asti aguNa pUrvakaH a;
   bhaktyadhyayanādiśubhadharmanimitto 'stīti śeṣaḥ /	Bakti aDyayana Adi SuBa Darma nimittaH asti iti SezaH /
   BBsBh_1,1.1.44:	BBsBh_1,1.1.44:
   bhaktimān parame viṣṇau yastvadhyayanavānnaraḥ /	BaktimAn parame vizNO yaH tu aDyayanavAn naraH /
   BBsBh_1,1.1.45:	BBsBh_1,1.1.45:
   adhamaḥ śamādisaṃyukto madhyamassamudāhṛtaḥ /	aDamaH Sama Adi saMyuktaH maDyamassamudAhRtaH /
   BBsBhDīp_1,1.1.44 45:	BBsBhDIB _1,1.1.44 45:
   tameva darśayati   'bhaktimān'; iti / pūrvamuddeśavākye	tam eva darSayati  aBaktimAn a; iti / pUrvam uddeSa vAkye
   bahuvacananirdeśepyatra 'naraḥ'; ityādyekavacananirdeśo nānupapannaḥ, asya	bahuvacana nirdeSa IpI atra anaraH a; ityAdi ekavacana nirdeSaH na anupapannaH, asya
   lakṣaṇavākyatvāt, "pramāṇāni"ityuddeśavākye bahuvacananirdeśe 'pi	lakzaNa vAkya tva at, "pramANa ani"iti uddeSa vAkye bahuvacana nirdeSe api
   "pramākaraṇaṃ pramāṇaṃ"ityekavacanena lakṣaṇoktivat / atra   avaiṣṇavasya	"pramAkaraNam pramANan"iti eka vacanena lakzaNa ukti vat / atra  avEzNavasya
   vede 'pi hyadhikāro na vidyate /	vede api hi aDikAraH na vidyate /
   gurubhaktivihīnasya śamādirahitasya ca //	guru Bakti vihInasya Sama Adi rahitasya ca //
   ityukteḥ / adhyayanalabdhāpi viṣṇubhaktiḥ śamādikañca	iti ukteH / aDyayana labDA api vizNu BaktiH Sama Adi kaQca
   abhaktānadhikārikṛtādhyayanaśamādinivṛtyarthaṃ pṛthamuktam / ādiśabdena	aBakta anaDikAri kRta aDyayana Sama Adi nivRti arTam pRTam uktam / Adi Sabdena
   "śānto dāntaḥ"ityuktānāṃ grahaṇam / sāranityasamuccaye cāpiśabdau / 'iti';	"SAntaH dAntaH"iti uktAnAm grahaNam / sAra nitya samuccaye ca api SabdO / aiti a;
   iti śeṣaḥ / 'naro'; bhaktajanaḥ / asya sarvatra sambandhaḥ / tathā ca   yo	iti SezaH / anaraH a; Bakta janaH / asya sarvatra sambanDaH / taTA ca  yaH 
   naraḥ parame viṣṇau bhaktimān adhyayanavāṃśca so 'dhamo 'dhikārīti	naraH parame vizNO BaktimAn aDyayanavAn= ca saH aDamaH aDikArI iti
   prāmāṇikaiḥ samudāhṛtaḥ / yaḥ śamādisaṃyukto naraḥ sa madhyama iti proktaḥ	prAmANikEH samudAhRtaH / yaH Sama Adi saMyuktaH naraH sa maDyamaH iti proktaH
   BBsBh_1,1.1.46:	BBsBh_1,1.1.46:
   ābrahmastambaparyantamasāraṃ cāpyanityakam /	Abrahma stamba paryantam asAram ca api anityakam /
   BBsBhDīp_1,1.1.46:	BBsBhDIB _1,1.1.46:
   yaḥ 'ābrahmastambaparyantaṃ'; caturmukhamārabhya tṛṇajīvaparyantaṃ	yaH aAbrahma stamba paryantaM a; caturmuKam AraBya tRNa jIva paryantam
   jīvajātaṃ 'asāraṃ'; asarvottamaṃ, asārapadaṃ mokṣadavaraparaṃ vā	jIva jAtam aasAraM a; asarva uttaman, asAra padam mokza davara param vA
   'anityakaṃ'; anityaṃ brahmādijīvānāṃ dehanāśe 'pi svarūpanāśābhāvāt	aanitya kaM a; anityam brahma Adi jIvAnAm deha nASe api svarUpa nASa aBAvAt
   kapratyayaḥ / parabrahma tu sarvasāraṃ sarvathā nityaṃ ceti /	kapratyayaH / para brahma tu sarva sAram sarvaTA nityam ca iti /
   BBsBh_1,1.1.47:	BBsBh_1,1.1.47:
   vijñāya jātavairāgyo viṣṇupādaikasaṃśrayaḥ /	vijQAya jAta vErAgyaH vizNu pAda eka saMSrayaH /
   BBsBhDīp_1,1.1.47:	BBsBhDIB _1,1.1.47:
   'vijñāya'; jñānavān san sārāsāranityānityavastuvivekavāniti yāvat / yaśca	avijQAya a; jQAnavAn san sAra asAra nitya anitya vastu vivekavAn iti yAvat / yaH ca
   tato vivekāt 'jātavairāgyaḥ'; iti vijñāya janitavairāgya iti vā / yaśca	tatas vivekAt ajAta vErAgyaH a; iti vijQAya janita vErAgyaH iti vA / yaH ca
   'viṣṇupādaikasaṃśrayaḥ'; viṣṇupāda eva eko mukhyaḥ saṃśrayo mama	avizNu pAda eka saMSrayaH a; vizNu pAdaH eva ekaH muKyaH saMSrayaH mama
   śaraṇamiti jñānaṃ yasya saḥ /	SaraNam iti jQAnam yasya saH /
   BBsBh_1,1.1.48:	BBsBh_1,1.1.48:
   sa uttamodhikārī syātsaṃnyastākhilakarmavān // iti //	saH uttamoDi kArI syAt saMnyasta aKila karmavAn // iti //
   BBsBhDīp_1,1.1.48:	BBsBhDIB _1,1.1.48:
   yaśca 'sannyastākhilakarmavān'; sannyastaṃ bhagavati samarpitaṃ akhilaṃ	yaH ca asannyasta aKila karmavAn a; sannyastam Bagavati samarpitam aKilam
   yadakāmyaṃ karma tadvān 'saḥ'; naraḥ 'uttamo 'dhikārī'; syāditi yojanā /	yat akAmyam karma tadvAn asaH a; naraH auttamaH aDikArI a; syAt iti yojanAH /
   atra sannyāso nāma bhagavān sarvāṇi karmāṇi karoti sarvakarmāṇi	atra sannyAsaH nAma BagavAn sarvANi karmANi karoti sarva karmANi
   bhagavatpūjārūpāṇīti ca jñātvā bhrāntyā jīvakartṛkatvena jñātānāṃ karmaṇāṃ	Bagavat pUjA rUpANi iti ca jQAtvA BrAntyA jIva kartRka tvena jQAtAnAm karmaNAm
   bhagavati visargaḥ / yathoktaṃ gītābhāṣye   "bhagavāneva sarvāṇi karmāṇi	Bagavati visargaH / yaToktam gIta ABAzye  "BagavAn eva sarvANi karmANi
   karoti"ityādinā / anena 'bhaktimān parame viṣṇau'; ityādi	karoti"ityAdinA / anena aBaktimAn parame vizNO a; ityAdi
   'sannyastākhilakarmavān'; ityantavākyena yānyadhikāritrayaviśeṣaṇānyuktāni	asannyasta aKila karmavAn a; iti anta vAkyena yAni aDikAri traya viSezaNAni uktAni
   tānyeva sarvāṇi militvādhikārisāmānyalakṣaṇabhūtānītyuktaṃ bhavati/ na ca	tAni eva sarvANi militvA aDikAri sAmAnya lakzaNa BUtAni iti uktam Bavati/ na ca
   militānāṃ trayāṇāṃ pratyekaṃ triṣvabhāvādasambhavaḥ, bhāve	militAnAm trayANAm pratyekam trizu aBAvAt asamBavaH, BAve
   vādhamādilakṣaṇasya madhyamādiṣvativyāptyāpattiriti vācyam, uttaravākye	vA aDama Adi lakzaNasya maDyam Adizu ati vyApti ApattiH iti vAcyam, uttara vAkye
   pūrvasya pūrvavākye cottarasyānukarṣeṇa sarvatra sarvasya	pUrvasya pUrva vAkye ca uttarasya anukarzeNa sarvatra sarvasya
