   Rcūm, 3	RcUm, 3
   anayā sādhitaḥ sūto jāyate guṇavattaraḥ // Rcūm_5.105 //	anayA sADitaH sUtaH jAyate guNavattaraH // RcUm_5.105 //
   {vajradrāvaṇamūṣā}	{vajra-drAvaNa-mUzA}
   gārabhūnāgadhautābhyāṃ śaṇairdagdhatuṣairapi /	gAra-BUnAga-DOtAByAm SaNEH-dagDa-tuzEH-api /
   samaiḥ samā ca mūṣā mṛnmahiṣīdugdhamarditā // Rcūm_5.106 //	samEH samA ca mUzA mRd-mahizI-dugDa-marditA // RcUm_5.106 //
   kothitā pakṣamātraṃ hi bahudhā parivartitā /	koTitA pakza-mAtram hi bahuDA parivartitA /
   tayā viracitā mūṣā vajradrāvaṇikeritā // Rcūm_5.107 //	tayA viracitA mUzA vajra-drAvaNikA-IritAH // RcUm_5.107 //
   {gāramūṣā}	{gAra-mUzA}
   dagdhaṣaḍguṇagārāḍhyā kiṭṭāṅgāraśaṇānvitā /	dagDa-zaxguNa-gAra-AXyA kiwwa-aFgAra-SaNa-anvitA /
   kṛṣṇamṛdbhiḥ kṛtā mūṣā gāramūṣetyudāhṛtā // Rcūm_5.108 //	kRzNamRdBiH kRtA mUzA gAramUzA-iti-udAhRtA // RcUm_5.108 //
   yāmayugmam atidhmānānnāsau dravati vahninā /	yAma-yugmam ati-DmAnAt-na-asO dravati vahninA /
   {varamūṣā}	{varamUzA}
   vastrāṅgāratuṣāstulyāstaccaturguṇamṛttikā // Rcūm_5.109 //	vastra-aFgAra-tuzAH-tulyAH-tad-caturguNa-mRttikA // RcUm_5.109 //
   gāraśca mṛttikātulyaḥ sarvairetair vimarditā /	gAraH-ca mRttikA-tulyaH sarvEH-etEH vimarditA /
   varamūṣeti nirdiṣṭā yāmaṃ vahniṃ saheta ca // Rcūm_5.110 //	varamUzA-iti nirdizwA yAmam vahnim saheta ca // RcUm_5.110 //
   {varṇamūṣā}	{varNamUzA}
   raktavargarajoyuktā raktavargāmbubhāvitā /	raktavarga-rajaH-yuktA raktavarga-ambu-BAvitAH /
   mṛt tayā lepitā mūṣā kṣitikhecaralepitā // Rcūm_5.111 //	mRd tayA lepitA mUzA kziti-Kecara-lepitA // RcUm_5.111 //
   varṇamūṣeti sā proktā varṇotkarṣe niyujyate /	varNamUzA-iti sA proktA varNa-utkarze niyujyate /
   {rūpyamūṣā}	{rUpya-mUzA}
   evaṃ hi śvetavargeṇa rūpyamūṣā prakīrtitā // Rcūm_5.112 //	evam hi SvetavargeNa rUpya-mUzA prakIrtitAH // RcUm_5.112 //
   {viḍamūṣā}	{vixamUzA}
   tattadviḍamṛdodbhūtā tattadviḍavilepitā /	tad-tad-vixa-mRdA-udBUtA tad-tad-vixa-vilepitA /
   dehalohārthayogārthaṃ viḍamūṣetyudāhṛtā // Rcūm_5.113 //	deha-loha-arTa-yoga-arTam vixamUzA-iti-udAhRtA // RcUm_5.113 //
   {vajradrāvanāmuṣā (II)}	{vajra-drAvana-amuzA (II)}
   gārabhūnāgadhautābhyāṃ tuṣamaṣyā śaṇena ca /	gAra-BUnAga-DOtAByAm tuza-mazyA SaNena ca /
   samaiḥ samā ca mūṣā mṛnmahiṣīdugdhamarditā // Rcūm_5.114 //	samEH samA ca mUzA mRd-mahizI-dugDa-marditA // RcUm_5.114 //
   kothitā pakṣamātraṃ hi bahudhā parikīrtitā /	koTitA pakza-mAtram hi bahuDA parikIrtitA /
   tayā viracitā mūṣā liptā matkuṇaśoṇitaiḥ // Rcūm_5.115 //	tayA viracitA mUzA liptA matkuNa-SoNitEH // RcUm_5.115 //
   balābdadhāvanīmūlair vajradrāvaṇakrauñcikā /	bala-abda-DAvanI-mUlEH vajra-drAvaNa-krOQcikA /
   sahate'gniṃ caturyāmaṃ drāvaṇe vyayitā satī // Rcūm_5.116 //	sahate-agnim catur-yAmam drAvaNe vyayitA satI // RcUm_5.116 //
   {mūṣāpyāyana}	{mUzA-ApyAyana}
   dravībhāvamupeyuḥ syānmūṣāyā dhmānayogataḥ /	dravIBAvam-upeyuH syAt-mUzAyAH DmAna-yogataH /
   kṣaṇamuddharaṇaṃ yat tanmūṣāpyāyanam ucyate // Rcūm_5.117 //	kzaNam-udDaraNam yat tat-mUzA-ApyAyanam ucyate // RcUm_5.117 //
   {vṛntākamūṣā}	{vRntAka-mUzA}
   vṛntākāramūṣāyāṃ nālaṃ dattvā daśāṅgulam /	vRnta-AkAra-mUzAyAm nAlam dattvA daSa-aFgulam /
   dhattūrapuṣpavaccordhvaṃ sudṛḍhaṃ śliṣṭapuṣpavat // Rcūm_5.118 //	DattUra-puzpa-vat-ca-UrDvam su-dRXam Slizwa-puzpa-vat // RcUm_5.118 //
   aṣṭāṅgulaṃ ca sacchidraṃ sā syādvṛntākamūṣikā /	azwa-aFgulam ca sa=-Cidram sA syAt-vRntAka-mUzikA /
   anayā kharparādīnāṃ mṛdūnāṃ sattvamāharet // Rcūm_5.119 //	anayA Karpara-AdInAm mRdUnAm sattvam-Aharet // RcUm_5.119 //
   {gostanīmūṣā}	{gostanI-mUzA}
   mūṣā yā gostanākārā śikhāyuktapidhānakā /	mUzA yA go-stana-AkArA SiKA-yukta-piDAnakAH /
   sattvānāṃ drāvaṇe śuddhau sā mūṣā gostanī bhavet // Rcūm_5.120 //	sattvAnAm drAvaNe SudDO sA mUzA gostanI Bavet // RcUm_5.120 //
   {mallamūṣā}	{mallamUzA}
   nirdiṣṭā mallamūṣā yā malladvitayasampuṭāt /	nirdizwA mallamUzA yA malla-dvitaya-sampuwAt /
   parpaṭyādirasādīnāṃ svedanāya prakīrtitā // Rcūm_5.121 //	parpawI-Adi-rasa-AdInAm svedanAya prakIrtitAH // RcUm_5.121 //
   {pakvamūṣā}	{pakvamUzA}
   kulālabhāṇḍarūpā yā dṛḍhā ca paripācitā /	kulAla-BANxa-rUpA yA dRXA ca paripAcitA /
   pakvamūṣeti sā proktā poṭalyādivipācane // Rcūm_5.122 //	pakvamUzA-iti sA proktA powalI-Adi-vipAcane // RcUm_5.122 //
   {golamūṣā}	{golamUzA}
   nirvaktragolakākārā puṭanadravyagarbhiṇī /	nirvaktra-golaka-AkArA puwana-dravya-garBiNI /
   golamūṣeti sā proktā satvaraṃ dravyarodhinī // Rcūm_5.123 //	golamUzA-iti sA proktA sa-tvaram dravya-roDinI // RcUm_5.123 //
   {mahāmūṣā}	{mahAmUzA}
   tale yā kūrparākārā kramād upari vistṛtā /	tale yA kUrpara-AkArA kramAt upari vistRtA /
   sthūlavṛntākavatsthūlā mahāmūṣetyasau matā /	sTUla-vRntAka-vat-sTUlA mahAmUzA-iti-asO matA /
   sā cāyo'bhrakasattvādeḥ puṭāya drāvaṇāya ca // Rcūm_5.124 //	sA ca-ayaH-aBraka-sattva-AdeH puwAya drAvaNAya ca // RcUm_5.124 //
   {mañjūṣamūṣā}	{maQjUza-mUzA}
   mañjūṣākāramūṣā yā nimnatāyāmavistarā /	maQjUzA-AkAra-mUzA yA nimna-tA-AyAma-vistarAH /
   ṣaḍaṅgulapramāṇena mūṣā mañjūṣasaṃjñitā /	zaz-aFgula-pramANena mUzA maQjUza-saMjQitAH /
   bhūmau nikhanya tāṃ mūṣāṃ dadyātpuṭamathopari // Rcūm_5.125 //	BUmO niKanya tAm mUzAm dadyAt-puwam-aTa-upari // RcUm_5.125 //
   {mūśalamūṣā}	{mUSalamUzA}
   mūṣā yā cipiṭā mūle vartulāṣṭāṅgulocchrayā /	mUzA yA cipiwA mUle vartula-azwa-aFgula-ucCrayA /
   mūṣā sā muśalākhyā syāccakrībaddharase hitā // Rcūm_5.126 //	mUzA sA muSala-AKyA syAt-cakrIbadDa-rase hitAH // RcUm_5.126 //
   {koṣṭhī (intr.)}	{kozWI (intr.)}
   sattvānāṃ pātanārthāya pātitānāṃ viśuddhaye /	sattvAnAm pAtana-arTAya pAtitAnAm viSudDaye /
   koṣṭhikā vividhākārāstāsāṃ lakṣaṇamucyate // Rcūm_5.127 //	kozWikAH viviDa-AkArAH-tAsAm lakzaNam-ucyate // RcUm_5.127 //
   {aṅgārakoṣṭhikā}	{aFgArakozWikA}
   rājahastasamutsedhā tadardhāyāmavistarā /	rAjahasta-samutseDA tad-arDa-AyAma-vistarAH /
   caturasrā ca kuḍyena veṣṭitā mṛnmayena hi // Rcūm_5.128 //	catur-asrA ca kuxyena vezwitAH mRd-mayena hi // RcUm_5.128 //
   ekabhittau caredgartaṃ vitastyābhogasaṃmitam /	eka-BittO caret-gartam vitasti-ABoga-saMmitam /
   dvāraṃ sārdhavitastyā ca saṃmitaṃ sudṛḍhaṃ śubham // Rcūm_5.129 //	dvAram sArDa-vitastyA ca saMmitam su-dRXam SuBam // RcUm_5.129 //
   dehalyadho vidhātavyaṃ dhamanāya yathocitam /	dehalI-aDas viDAtavyam DamanAya yaTocitam /
   prādeśapramitā bhittiruttaraṅgasya cordhvataḥ // Rcūm_5.130 //	prAdeSa-pramitA BittiH-uttaraFgasya ca-UrDvatas // RcUm_5.130 //
   dvāraṃ copari kartavyaṃ prādeśapramitaṃ khalu /	dvAram ca-upari kartavyam prAdeSa-pramitam Kalu /
   tataśceṣṭikayā ruddhvā dvārasaṃdhiṃ vilipya ca // Rcūm_5.131 //	tatas-ca-izwikayA rudDvA dvAra-saMDim vilipya ca // RcUm_5.131 //
   śikhitraistāṃ samāpūrya dhamedbhastrādvayena tu /	SiKitrEH-tAm samApUrya Damet-BastrA-dvayena tu /
   śikhitrān dhamanadravyam ūrdhvadvāreṇa nikṣipet // Rcūm_5.132 //	SiKitrAn Damana-dravyam UrDva-dvAreNa nikzipet // RcUm_5.132 //
   sattvapātanagolāṃśca pañca pañca punaḥ punaḥ /	sattva-pAtana-golAn=-ca paQca paQca punar punar /
   bhavedaṅgārakoṣṭhīyaṃ kharāṇāṃ sattvapātinī // Rcūm_5.133 //	Bavet-aFgArakozWI-iyam KarANAm sattva-pAtinI // RcUm_5.133 //
   {pātālakoṣṭhikā}	{pAtAlakozWikA}
   dṛḍhabhūmau caredgartaṃ vitastyā saṃmitaṃ śubham /	dRXa-BUmO caret-gartam vitastyA saMmitam SuBam /
   vartulaṃ cātha tanmadhye gartamanyaṃ prakalpayet // Rcūm_5.134 //	vartulam ca-aTa tad-maDye gartam-anyam prakalpayet // RcUm_5.134 //
   caturaṅgulavistāranimnatvena samanvitam /	catur-aFgula-vistAra-nimnatvena samanvitam /
   gartāddharaṇiparyantaṃ tiryaṅnālasamanvitam // Rcūm_5.135 //	gartAt-DaraNi-paryantam tiryak-nAla-samanvitam // RcUm_5.135 //
   kiṃcitsamunnataṃ bāhye gartābhimukhanimnakam /	kiMcid-samunnatam bAhye garta-aBimuKa-nimnakam /
   mṛccakraṃ pañcarandhrāḍhyaṃ garbhagartopari kṣipet // Rcūm_5.136 //	mRd-cakram paQca-ranDra-AXyam garBa-garta-upari kzipet // RcUm_5.136 //
   āpūrya kokilaiḥ koṣṭhīṃ pradhamed ekabhastrayā /	ApUrya kokilEH kozWIm praDamet eka-BastrayA /
   pātālakoṣṭhikā hy eṣā dhātūnāṃ sattvapātinī // Rcūm_5.137 //	pAtAlakozWikA hi ezA DAtUnAm sattva-pAtinI // RcUm_5.137 //
   dhmānasādhyapadārthānāṃ nandinā parikīrtitā /	DmAna-sADya-padArTAnAm nandinA parikIrtitA /
   {gārakoṣṭhī}	{gArakozWI}
   dvādaśāṅgulanimnā yā prādeśapramitā tathā // Rcūm_5.138 //	dvAdaSa-aFgula-nimnA yA prAdeSa-pramitA taTA // RcUm_5.138 //
   caturaṅgulataścordhvaṃ valayena samanvitā /	catur-aFgulataH-ca-UrDvam valayena samanvitA /
   bhūrichidravatīṃ cakrīṃ valayopari nikṣipet // Rcūm_5.139 //	BUri-CidravatIm cakrIm valaya-upari nikzipet // RcUm_5.139 //
   śikhitrāṃstatra nikṣipya pradhamedvaṅkanālataḥ /	SiKitrAn=-tatra nikzipya praDamet-vaFkanAlataH /
   gārakoṣṭhīyamuddiṣṭā mṛṣṭalohavināśinī // Rcūm_5.140 //	gArakozWI-iyam-uddizwA mRzwa-loha-vinASinI // RcUm_5.140 //
   {vaṅkanāla}	{vaFkanAla}
   kūpīmṛdbhir vidhātavyam aratnipramitaṃ dṛḍham /	kUpI-mRdBiH viDAtavyam aratni-pramitam dRXam /
   adhomukhaṃ ca tadvaktre nālaṃ pañcāṅgulaṃ tathā // Rcūm_5.141 //	aDomuKam ca tad-vaktre nAlam paQca-aFgulam taTA // RcUm_5.141 //
   vaṅkanālamiti proktaṃ dṛḍhadhmānāya kīrtitam /	vaFkanAlam-iti proktam dRXa-DmAnAya kIrtitam /
   {tiryakpradhamakoṣṭhī}	{tiryak-praDama-kozWI}
   koṣṭhī tadvadrasādīnāṃ vidhānāya vidhīyate // Rcūm_5.142 //	kozWI tadvat-rasa-AdInAm viDAnAya viDIyate // RcUm_5.142 //
   dvādaśāṅgulakotsedhā sā budhne caturaṅgulā /	dvAdaSa-aFgulaka-utseDA sA buDne catur-aFgulA /
   tiryakpradhamanākhyā ca mṛdudravyaviśodhinī // Rcūm_5.143 //	tiryakpraDamana-AKyA ca mRdu-dravya-viSoDinI // RcUm_5.143 //
   {puṭa (def.)}	{puwaH (def.)}
   rasādidravyapākānāṃ māraṇajñāpanaṃ puṭam /	rasa-Adi-dravya-pAkAnAm mAraNa-jQApanam puwam /
   neṣṭo nyūnādhikaḥ pākaḥ supākaṃ hitamauṣadham // Rcūm_5.144 //	na-izwaH nyUna-aDikaH pAkaH su-pAkam hitam-OzaDam // RcUm_5.144 //
   lohāderapunarbhāvo guṇādhikyaṃ tato'gratā /	loha-AdeH-apunarBAvaH guNa-ADikyam tatas-agra-tA /
   anapsumajjanaṃ rekhāpūrṇatā puṭato bhavet // Rcūm_5.145 //	anapsu-majjanam reKApUrNa-tA puwataH Bavet // RcUm_5.145 //
   puṭādrāgo laghutvaṃ ca śīghravyāptiśca dīpanam /	puwAt-rAgaH laGu-tvam ca SIGravyAptiH-ca dIpanam /
   jāritādapi sūtendrāllohānām adhiko guṇaḥ // Rcūm_5.146 //	jAritAt-api sUtendrAt-lohAnAm aDikaH guNaH // RcUm_5.146 //
   yathāśmani viśedvahnir bahiḥsthaḥ puṭayogataḥ /	yaTA-aSmani viSet-vahniH bahis-sTaH puwa-yogataH /
   cūrṇatvādiguṇāvāptistathā loheṣu niścitam // Rcūm_5.147 //	cUrNa-tva-Adi-guNa-avAptiH-taTA lohezu niScitam // RcUm_5.147 //
   {mahāpuṭa}	{mahApuwa}
   nimne vistarataḥ kuṇḍe dvihaste caturasrake /	nimne vistarataH kuNxe dvi-haste caturasrake /
   vanopalasahasreṇa pūrite puṭanauṣadham // Rcūm_5.148 //	vanopala-sahasreNa pUrite puwana-OzaDam // RcUm_5.148 //
   krauñcyāṃ ruddhaṃ prayatnena piṣṭakopari nikṣipet /	krOQcyAm rudDam prayatnena pizwaka-upari nikzipet /
   vanopalasahasrārdhaṃ krauñcikopari vinyaset // Rcūm_5.149 //	vanopala-sahasra-arDam krOQcikA-upari vinyaset // RcUm_5.149 //
   vahniṃ prajvālayettatra mahāpuṭamidaṃ smṛtam /	vahnim prajvAlayet-tatra mahApuwam-idam smRtam /
   {gajapuṭa}	{gajapuwa}
   rājahastapramāṇena caturasraṃ ca nimnakam // Rcūm_5.150 //	rAjahasta-pramANena catur-asram ca nimnakam // RcUm_5.150 //
   pūrṇaṃ copalasāhasraiḥ kaṇṭhāvadhyatha nikṣipet /	pUrNam ca-upala-sAhasrEH kaNWa-avaDi-aTa nikzipet /
   vinyaset kumudīṃ tatra puṭanadravyapūritām // Rcūm_5.151 //	vinyaset kumudIm tatra puwana-dravya-pUritAm // RcUm_5.151 //
   pūrvacchagaṇato'rdhāni giriṇḍāni vinikṣipet /	pUrva=-CagaNataH-arDAni giriNxAni vinikzipet /
   etadgajapuṭaṃ proktaṃ mahāguṇavidhāyakam // Rcūm_5.152 //	etat-gajapuwam proktam mahA-guNa-viDAyakam // RcUm_5.152 //
   {vārāhapuṭa}	{vArAha-puwa}
   itthaṃ cāratnike kuṇḍe puṭaṃ vārāhamucyate // Rcūm_5.153 //	itTam ca-aratnike kuNxe puwam vArAham-ucyate // RcUm_5.153 //
   {kukkuṭapuṭa}	{kukkuwa-puwa}
   puṭaṃ bhūmitale yattadvitastidvitayocchrayam /	puwam BUmi-tale yat-tat-vitasti-dvitaya-ucCrayam /
   tāvacca talavistīrṇaṃ tatsyātkukkuṭakaṃ puṭam // Rcūm_5.154 //	tAvat-ca tala-vistIrNam tat-syAt-kukkuwakam puwam // RcUm_5.154 //
   {kapotapuṭa}	{kapota-puwa}
   yatpuṭaṃ dīyate bhūmāvaṣṭasaṃkhyairvanopalaiḥ /	yat-puwam dIyate BUmO=-azwa-saMKyEH-vanopalEH /
   tad bālasūtabhasmārthaṃ kapotapuṭamucyate // Rcūm_5.155 //	tat bAla-sUta-Basma-arTam kapotapuwam-ucyate // RcUm_5.155 //
   {govara (def.; a kind of cowdung)}	{govaraH (def.; a kint of ca-uwdung)}
   goṣṭhāntargokhurakṣuṇṇaṃ śuṣkaṃ cūrṇitagomayam /	gozWa-antar-go-Kura-kzuNNam Suzkam cUrNita-gomayam /
   govaraṃ tatsamādiṣṭaṃ variṣṭhaṃ rasasādhane // Rcūm_5.156 //	govaram tat-samAdizwam varizWam rasa-sADane // RcUm_5.156 //
   {govarapuṭa}	{govara-puwa}
   govarairvā tuṣairvāpi puṭaṃ yatra pradīyate /	govarEH-vA tuzEH-vA-api puwam yatra pradIyate /
   tadgovarapuṭaṃ proktaṃ rasabhasmaprasiddhaye // Rcūm_5.157 //	tad-govarapuwam proktam rasa-Basma-prasidDaye // RcUm_5.157 //
   {bhāṇḍapuṭa}	{BANxa-puwa}
   sthūlabhāṇḍe tuṣāpūrṇe madhye mūṣāsamanvite /	sTUla-BANxe tuzA-pUrNe maDye mUzA-samanvite /
   vahninā vihite pāke tadbhāṇḍapuṭamucyate // Rcūm_5.158 //	vahninA vihite pAke tat-BANxapuwam-ucyate // RcUm_5.158 //
   {vālukāpuṭa}	{vAlukA-puwa}
   adhastādupariṣṭācca krauñcikācchādyate khalu /	aDastAt-uparizwAt-ca krOQcikA-AcCAdyate Kalu /
   vālukābhiḥ prataptābhiryatra tadvālukāpuṭam // Rcūm_5.159 //	vAlukABiH prataptABiH-yatra tat-vAlukApuwam // RcUm_5.159 //
   {bhūdharapuṭa}	{BUDara-puwa}
   vahnimitrāṃ kṣitau samyaṅ nikhanyād dvyaṅgulādadhaḥ /	vahnimitrAm kzitO samyak niKanyAt dvi-aFgulAt-aDas /
   upariṣṭātpuṭaṃ yatra puṭaṃ tadbhūdharāhvayam // Rcūm_5.160 //	uparizwAt-puwam yatra puwam tat-BUDara-Ahvayam // RcUm_5.160 //
   {lāvakapuṭa}	{lAvaka-puwa}
   ūrdhvaṃ ṣoḍaśikāmātraistuṣairvā govaraiḥ puṭam /	UrDvam zoxaSikA-mAtrEH-tuzEH-vA govarEH puwam /
   yatra tallāvakākhyaṃ syāt sumṛdudravyasādhane // Rcūm_5.161 //	yatra tat-lAvaka-AKyam syAt su-mRdu-dravya-sADane // RcUm_5.161 //
   {anuktapuṭa}	{anukta-puwa}
   anuktapuṭamāne tu sādhyadravyabalābalāt /	anukta-puwa-mAne tu sADya-dravya-bala-abalAt /
   puṭaṃ vijñāya dātavyamūhāpohavicakṣaṇaiḥ // Rcūm_5.162 //	puwam vijQAya dAtavyam-Uha-apoha-vicakzaNEH // RcUm_5.162 //
   {synonyms for dried cowdung}	{synA-unyms foH driet ca-uwdung}
   piṣṭakaṃ chagaṇaṃ chāṇamupalaṃ cotpalaṃ tathā /	pizwakam CagaNam CANam-upalam ca-utpalam taTA /
   giriṇḍopalasāṭhī ca navārī chagaṇābhidhaḥ // Rcūm_5.163 //	giriNxa-upalasAWI ca navArI CagaNa-aBiDaH // RcUm_5.163 //
   {upasaṃhāra}	{upasaMhAra}
   yaḥ somadevairvihitaṃ prakīrṇamadhyāyam enaṃ prakaroti pāṭhe /	yaH somadevEH-vihitam prakIrNam-aDyAyam enam prakaroti pAWe /
   nāsau samīheta gurūpadeśaṃ rasendravaidye'pi ca dhātuvāde // Rcūm_5.164 //	na-asO samIheta guru-upadeSam rasendra-vEdye-api ca DAtuvAde // RcUm_5.164 //
   Rcūm, 7	RcUm, 7
   kathyante somadevena sāmprataṃ darśino rasāḥ /	kaTyante somadevena sAmpratam darSinaH rasAH /
   śrīkaṇṭhāgamanirdiṣṭā viśiṣṭā rasasādhane // Rcūm_7.1 //	SrIkaNWa-Agama-nirdizwAH viSizwAH rasa-sADane // RcUm_7.1 //
   {68 prakār kī rasauṣadhiyāṃ}	{68 prakAH kI rasa-ozaDi-yAM}
   jalotpalasamaṅgā ca rasā ca jalapippalī /	jalotpala-samaFgA ca rasA ca jalapippalI /
   sthalaprasāriṇī ciñcī jālinī jalamūlakā // Rcūm_7.2 //	sTalaprasAriNI ciQcI jAlinI jalamUlakAH // RcUm_7.2 //
   candrodakārdhacandrā ca jalāpāmārgatiktakā /	candrodaka-arDacandrA ca jala-apAmArga-tiktakAH /
   tuṣāmbu kākamācī ca jalakumbhī tathā śaṭī // Rcūm_7.3 //	tuzAmbu kAkamAcI ca jalakumBI taTA SawI // RcUm_7.3 //
   uttamā hemapuṣpī ca durgandhā sitagandhinī /	uttamA hemapuzpI ca durganDA sita-ganDinI /
   māṇḍūkī mohinī māṃsī pāṣāṇī cātha śīśikā // Rcūm_7.4 //	mANxUkI mohinI mAMsI pAzANI ca-aTa SISikAH // RcUm_7.4 //
   sārivālambuṣā meghanādī ca śukanāsikā /	sArivA-alambuzA meGanAdI ca SukanAsikA /
   potakī hīriṇī vajrakandikā cāparājitā // Rcūm_7.5 //	potakI hIriNI vajrakandikA ca-aparAjitAH // RcUm_7.5 //
   vanamālā vidārī ca kukkuṭā halinīśvarī /	vanamAlA vidArI ca kukkuwA halinI-ISvarI /
   vārāhī bṛhatī mūrvā sarpākṣī sadacitrikā // Rcūm_7.6 //	vArAhI bRhatI mUrvA sarpAkzI sadacitrikAH // RcUm_7.6 //
   mālārjunaśca gojihvā garuḍī haṃsapādikā /	mAlA-arjunaH-ca gojihvA garuxI haMsapAdikA /
   nandinī śikhipādī ca kāśmarī tulasī tathā // Rcūm_7.7 //	nandinI SiKipAdI ca kASmarI tulasI taTA // RcUm_7.7 //
   vanakūṣmāṇḍavallī ca vṛścikālī ca veṇukā /	vanakUzmANxavallI ca vRScikAlI ca veNukA /
   muśalī citrapādī ca karmasphoṭī tathā viṣā // Rcūm_7.8 //	muSalI citrapAdI ca karmasPowI taTA vizAH // RcUm_7.8 //
   ajamārī pāṭalā ca paṭolī dhanvayāsakaḥ /	ajamArI pAwalA ca pawolI DanvayAsakaH /
   bhārṅgī viṣaghnī guḍūcī vāsā bhṛṅgī ca pāgavaḥ // Rcūm_7.9 //	BArFgI vizaGnI guxUcI vAsA BRFgI ca pAgavaH // RcUm_7.9 //
   aṣṭaṣaṣṭiriti proktā rasauṣadhyo mahābalāḥ /	azwazazwiH-iti proktAH rasOzaDyaH mahA-balAH /
   bandhane māraṇe tadvajjāraṇe ca niyāmane /	banDane mAraNe tadvat-jAraNe ca niyAmane /
   bandhādāne ca sūtasya sarvadoṣāpakarmaṇi // Rcūm_7.10 //	banDa-AdAne ca sUtasya sarva-doza-apakarmaNi // RcUm_7.10 //
   vindhyādrau himaparvate ca malaye gomantake śrīgirau sahyādrāvatha	vinDya-adrO himaparvate ca malaye gomantake SrIgirO sahya-adrO=-aTa
   pāriyātrakagirau kiṣkindhanāmālaye /	pAriyAtraka-girO kizkinDa-nAma-Alaye /
   māhendre'pyatha mālyavatkṣitidhare tadrūpanāmādhikaṃ	mAhendre-api-aTa mAlyavat-kziti-Dare tad-rUpa-nAma-aDikam
   gopābhīrakasiddhavaidyamukhato vaidyaiḥ samāvedyatām // Rcūm_7.11 //	gopa-ABIraka-sidDa-vEdya-muKataH vEdyEH samAvedya-tAm // RcUm_7.11 //
   Rcūm, 8	RcUm, 8
   {sarpākṣyādigaṇaḥ}	{sarpAkzI-Adi-gaNaH}
   sarpākṣī vandhyakarkoṭī jalabimbī ca jambukī /	sarpAkzI vanDyakarkowI jalabimbI ca jambukI /
   punarnavā ca matsyākṣī bhṛṅgarājaḥ śatāvarī // Rcūm_8.1 //	punarnavA ca matsyAkzI BRFgarAjaH SatAvarI // RcUm_8.1 //
   śarapuṅkhā ca maṇḍūkaparṇikā brahmadaṇḍikā /	SarapuFKA ca maNxUkaparNikA brahmadaNxikAH /
   anantā kukkuṭī jaṅghā kākamācī śikhaṇḍinī // Rcūm_8.2 //	anantA kukkuwI jaFGA kAkamAcI SiKaNxinI // RcUm_8.2 //
   sahadevī kapotī ca viṣṇukrāntā kuraṇṭakaḥ /	sahadevI kapotI ca vizNukrAntA kuraNwakaH /
   mahābalā nāgabalā mūrvā rāsnā kuriṅginī // Rcūm_8.3 //	mahAbalA nAgabalA mUrvA rAsnA kuriFginI // RcUm_8.3 //
   phaṇirnīlī prapunnāṭaḥ samaṅgāmalakī tathā /	PaNiH-nIlI prapunnAwaH samaFgA-AmalakI taTA /
   jvālinī meghanādaśca gojihvā padmacāriṇī // Rcūm_8.4 //	jvAlinI meGanAdaH-ca gojihvA padmacAriNI // RcUm_8.4 //
   pāṭhā ca kokilākṣaśca tripattrā cākhukarṇikā /	pAWA ca kokilAkzaH-ca tripattrA ca-AKukarNikA /
   ekaparṇī dviparṇī ca triparṇī kṣīriṇī tathā // Rcūm_8.5 //	ekaparNI dviparNI ca triparNI kzIriNI taTA // RcUm_8.5 //
   tittiḍī meṣaśṛṅgī ca tulasī śyāmaparṇikā /	tittixI mezaSRFgI ca tulasI SyAmaparNikA /
   śvetādriparṇikā ceti sarpākṣyādigaṇo mataḥ // Rcūm_8.6 //	SvetAdriparNikA ca-iti sarpAkzI-Adi-gaNaH mataH // RcUm_8.6 //
   ṣaṭcatvāriṃśako nāma pāradasya niyāmakaḥ /	zawcatvAriMSakaH nAma pAradasya niyAmakaH /
   ihauṣadhīnāṃ pañcāṅgī gṛhītavyā vidhānataḥ // Rcūm_8.7 //	iha-OzaDInAm paQcAFgI gRhItavyA viDAnataH // RcUm_8.7 //
   rasādisvedane mūṣānayane śodhane tathā /	rasa-Adi-svedane mUzA-nayane SoDane taTA /
   aṣṭopari yathālābhaṃ grāhyā prokteṣu karmasu // Rcūm_8.8 //	azwa-upari yaTAlABam grAhyA proktezu karmasu // RcUm_8.8 //
   aṣṭakādhikamādhikyaṃ guṇānāṃ kurute dhruvam /	azwaka-aDikam-ADikyam guNAnAm kurute Druvam /
   {vyāghrikādigaṇaḥ}	{vyAGrikAdi-gaNaH}
   vyāghrikā rākṣasī vahniścāṇḍālī gajakarṇikā // Rcūm_8.9 //	vyAGrikA rAkzasI vahniH-cANxAlI gajakarNikA // RcUm_8.9 //
   ṣaṭkārī śaṅkhapuṣpī ca bṛhatī hilamocakaḥ /	zawkArI SaFKapuzpI ca bRhatI hilamocakaH /
   śṛgālajihvikā vahnirmadanī lāṅgalī tathā // Rcūm_8.10 //	SRgAlajihvikA vahniH-madanI lAFgalI taTA // RcUm_8.10 //
   cakrikā vajriṇī vyāghrī kaṅkatī putrajīvikā /	cakrikA vajriNI vyAGrI kaFkatI putrajIvikA /
   kañcukī caiva karkoṭī kumārī padmacāriṇī // Rcūm_8.11 //	kaQcukI ca-eva karkowI kumArI padmacAriNI // RcUm_8.11 //
   ekavīrā rudantī ca lakṣmī narakasā tathā /	ekavIrA rudantI ca lakzmI narakasA taTA /
   uccaṭā raktacitrā ca nāginī nāgavallikā // Rcūm_8.12 //	uccawA raktacitrA ca nAginI nAgavallikA // RcUm_8.12 //
