   <B1> caturthaḥ pādaḥ /	<B1> caturTaH pAdaH /
   tadapi na; yoge svīkriyamāṇe kḷptāvayavaśaktyaiva tadupapattau	tat api na; yoge svIkriyamANe k?pta avayava SaktyA eva tad upapattO
   rūḍhikalpane mānābhāvāt, itarathā prokṣaṇādiśabdānāmapi rūḍhikalpanāpatteḥ	rUXi kalpane mAna aBAva at, itaraTA prokzaNa Adi SabdAnAm api rUXi kalpanA ApatteH
   matvarthalakṣaṇābhiyātiriktarūḍhikalpane somādipadānāmapi rūḍhikalpanayā	matu arTa lakzaNa aBiyAti rikta rUXi kalpane soma Adi padAnAm api rUXi kalpanayA
   nāmadheyatvāpatteśca /	nAmaDeya tva ApatteH ca /
   uktaṃ ca     dvitīyādyādhikaraṇe gurumatakhaṇḍane śāstradīpikāyām    varaṃ	uktam ca    dvitIya Adya aDikaraNe guru mata KaNxane SAstra dIpikAyAm    varam
   ca matvarthalakṣaṇāprasiddhārthakalpanāt, itarathā "somena yajete"tyatrāpi	ca matu arTa lakzaNa aprasidDa arTa kalpanAt, itaraTAH "somena yajeta i"ti atra api
   "somapadaṃ nāma syādi"ti /	"somapadam nAma syAt i"ti /
   ata eva na yatra yogārthasyāpi pratītiranubhavasiddhā, yathā	atas eva na yatra yoga arTasya api pratItiH anuBava sidDA, yaTA
   godadhyādiśabdeṣu na gamanādeḥ kintu gotvādijātereva tatra yogasya	go daDi Adi Sabdezu na gamana AdeH kintu go tva Adi jAteH eva tatra yogasya
   sādhutvānvākhyānamātrārthatvasvīkāreṇa rūḍhisvīkāre 'pi yatra tasyā api	sADu tva anvA AKyAna mAtra arTa tva svIkAreNa rUXi svIkAre api yatra tasyAH api
   saṃbhavastatra tadarthatyāgenātiriktarūḍhikalpanaṃ niṣpramāṇakameva //	saMBavaH tatra tad arTa tyAgena atirikta rUXi kalpanam nizpramANakam eva //
   (bhāvinaṃ phalodbhedanakāritvajñānamādāyodbhicchabdasya	(BAvinam Pala udBedana kAri tva jQAnam AdAya udBid Sabdasya
   pravṛttinirūpaṇapūrvakaṃ phalodbhedakāritvaprakārakabodhajanakatvenaiva	pravRtti nirUpaNa pUrvakam Pala udBeda kAri tva prakAraka boDa janaka tvena eva
   nāmnaḥ dhātvarthaparicchedakatvopasaṃhāraḥ) naca     itaḥ prāk	nAmnaH DAtu arTa paricCedaka tva upasaMhAraH) na ca    itas prAk 
   phalodbhedanakāritvabodhāsaṃbhavaḥ; agnihotraṃ	Pala udBedana kAri tva boDa asaMBavaH; agni hotram
   juhotītyetasmātprākkarmasvarūpasyaivājñāne saṃpratipannāṅgabhāvasya	juhoti iti etasmAt prAkkarma svarUpasya eva ajQAne saMpratipanna aFga BAvasya
   mantravarṇasya prāptyabhāve 'gnidaivatyatvājñāne 'gnihotrapadādapi	mantra varNasya prApti aBAve agni dEvatya tva ajQAne agnihotra padAt api
   tadbodhāsaṃbhavasya tulyatvāt /	tad boDa asaMBavasya tulya tvAt /
   ataśca bhāvinaṃ pravṛttinimittamādāya yathāgnihotrapadasya	atas ca BAvinam pravRtti nimittam AdAya yaTA agnihotra padasya
   nāmatvamevamihāpyupapadyata eva tat /	nAma tvam evam iha api upapadyate eva tat /
   athavā     karmasāmānyasyaiva loke phalajanakatvakḷpteḥ	aTavA    karma sAmAnyasya eva loke Pala janaka tva k?pteH
   tatsāmānyagṛhītavyāptyāpi avagataphalodbhedanakāritvabodhajanakatvenaiva	tad sAmAnya gRhIta vyAptyA api avagata Pala udBedana kAritva boDa janaka tvena eva
   nāmadheyārthasya dhātvarthatāvacchedakatvamiti prāguktameva yuktamiti    	nAmaDeya arTasya DAtu arTa tA avacCedaka tvam iti prAk uktam eva yuktam iti    
   saṃkṣepaḥ //	saMkzepaH //
   adhikaraṇaprayojanaṃ nāmadheyaprayojanakathanenaiva sūcitam //	aDikaraNa prayojanam nAmaDeya prayojana kaTanena eva sUcitam //
   iti dvitīyaṃ udbhidādiyaugikaśabdayāganāmadheyatādhikaraṇam // <B1>	iti dvitIyam udBida Adi yOgika Sabda yAga nAma Deya tA aDikaraNam // <B1>
   (3 adhikaraṇam / )	(3 aDikaraNam / )
   yasminguṇopadeśaḥ pradhānato 'bhisambandhaḥ / Jaim_1,4.3 /	yasmin guNa upadeSaH praDAnataH aBisambanDaH / JEm_1,4.3 /
   atra guṇa eva rūḍhānāṃ "citrayā yajeta paśukāmaḥ" "pañcadaśānyājyāni"	atra guNaH eva rUXAnAm "citrayA yajeta paSu kAmaH" "paQcadaSAni AjyAni"
   "saptadaśāni pṛṣṭhāni" "trivṛdbahiṣpavamānaḥ" ityādau	"saptadaSAni pRzWAni" "trivRt bahizpavamAnaH" iti AdO
   citrā'jyapṛṣṭhabahiṣpavamānaśabdānāṃ guṇavidhitvaṃ karmanāmatvaṃ veti	citrA ajya pRzWa bahizpavamAna SabdAnAm guNa viDi tvam karma nAma tvam vA iti
   cintāyāṃ, dadhyādivadrūḍheṣu karmanāmatvāsaṃbhavād guṇavidhitvamevaiṣām /	cintAyAn, daDi Adi vat rUXezu karma nAma tva asaMBavAt guNa viDi tvam eva ezAm /
   tatra citrāpade tāvatprātipadikena citratvaṃ strīpratyayena ca strītvaṃ	tatra citrA pade tAvat prAtipadikena citra tvam strI pratyayena ca strI tvam
   vidhīyate /	viDIyate /
   vidheyayośca parasparasāhityāvagatervidheyasāmarthyānurodhena	viDeyayoH ca paraspara sAhitya avagateH viDeya sAmarTya anuroDena
   prāṇidravyakayāgasyoddeśyatvāvagateḥ prakṛtānāmapi "dadhi madhu ghṛtaṃ	prANi dravya ka yAgasya uddeSya tva avagateH prakRtAnAm api "daDi maDu GRtam
   payo dhānā udakaṃ taṇḍulāstatsaṃsṛṣṭaṃ prājāpatya" mityetadvākyavihitānāṃ	payaH DAnAH udakam taNxulAH tad saMsRzwam prAjApatya" miti etad vAkya vihitAnAm
   yāgānāmuddeśyatvāsaṃbhave 'pi sarvaprakṛtibhūtāgnīṣomīyayāgoddeśena	yAgAnAm uddeSya tva asaMBave api sarva prakRti BUta agnIzomIya yAga uddeSena
   sarvapaśuyāgoddeśena vā vidhīyate /	sarva paSu yAga uddeSena vA viDIyate /
   nacānekaguṇavidhāne vākyabhedaḥ;	naca aneka guNa viDAne vAkya BedaH;
   dhenurdakṣiṇetivadubhayaviśiṣṭaikakārakavidhānenāvākyabhedāt /	DenuH dakziNa iti vat uBaya viSizwa eka kAraka viDAnena avAkya BedAt /
   evamājyapadena ghṛtaṃ pṛṣṭhapadena śarīrāvayavaḥ /	evam Ajya padena GRtam pRzWa padena SarIra avayavaH /
   sa ca saṅkhyāviśiṣṭaḥ prakaraṇā "dājyaiḥ stuvate" "pṛṣṭhaiḥ stuvate"	sa ca saFKyA viSizwaH prakaraNAH "da AjyEH stuvate" "pRzWEH stuvate"
   ityetadvākyavihitastotrāṅgatayā yathākramaṃ vidhīyate /	iti etad vAkya vihita stotra aFga tayA yaTAkramam viDIyate /
   evaṃ trivṛcchabdavācyaṃ tribhiṇḍidravyaṃ pavanakriyāviśiṣṭaṃ tathaiva	evam trivRt Sabda vAcyam triBiNxi dravyam pavana kriyA viSizwam taTA eva
   tadvākyena vidhīyate /	tad vAkyena viDIyate /
   sarvatra dravyāṇāṃ stotrasamīpadeśe adṛṣṭārthaṃ sthāpanenaiva	sarvatra dravyANAm stotra samIpa deSe adRzwa arTam sTApanena eva
   stotropakārakatā, utpativākyeṣu tu ājyādipadaṃ	stotra upakAraka tA, utpati vAkyezu tu Ajya Adi padam
   guṇavākyaprāptatvādanuvādaḥ, stotramātraṃ tu vidhīyate iti prāpte     <B2>	guNa vAkya prApta tvAt anuvAdaH, stotra mAtram tu viDIyate iti prApte    <B2>
   (atha citrādiśabdayāganāmadheyatādhikaraṇam)	(aTa citra Adi Sabda yAga nAma Deya tA aDikaraNam)
   pūrvādhikaraṇaviṣayavyāvṛttaviṣayamudāharati     atreti /	pUrva aDikaraNa vizaya vyAvRtta vizayam udAharati    atra iti /
   guṇaeveti //	guNa A iva iti //
   (udbhittatprakhyatadvyapadeśaviṣayavyāvṛttaitadadhikaraṇaviṣayavivekaḥ)	(udBid tad praKya tad vyapadeSa vizaya vyAvRttA etat aDikaraNa vizaya vivekaH)
   guṇapade jātikriyāyogayorapyupalakṣaṇe /	guNa pade jAti kriyA yogayoH api upalakzaNe /
   tena ghṛtajātivacanājyapadasya śarīrāvayavavācakapṛṣṭhapadasya	tena GRta jAti vacana Ajya padasya SarIra avayava vAcaka pRzWa padasya
   pavanakriyāyoganimittabahiṣpavamānādiśabdānāmapi saṃgrahaḥ /	pavana kriyA yoga nimitta bahizpavamAna Adi SabdAnAm api saMgrahaH /
   evakāreṇa karmaṇyapi saṃbhavadvṛttikānāṃ yaugikānāmanudāharaṇatvasūcanena	evakAreNa karmaNi api saMBavat vRttikAnAm yOgikAnAm anudAharaNa tva sUcanena
   pūrvādhikaraṇāpravṛttiruktā /	pUrva aDikaraNa apravRttiH uktAH /
   yadyapi pavamānaśabdaḥ pavanakriyākartari yaugika iti	yadi api pavamAna SabdaH pavana kriyA kartari yOgikaH iti
   pūrvādhikaraṇaviṣayatvānnehodāhartuṃ yuktaḥ; tathāpi "sarvatra yaugikaiḥ	pUrva aDikaraNa vizaya tvAt na iha udAhartum yuktaH; taTA api "sarvatra yOgikEH
   śabdairdravyamevābhidhīyate" iti nyāyena pavanakriyākartari dravya eva	SabdEH dravyam eva aBiDIyate" iti nyAyena pavana kriyA kartari dravyaH eva
   yogena rūḍhatvāt stotre ca pavanakriyākartṛtvāsaṃbhavāt	yogena rUXa tvAt stotre ca pavana kriyA kartR tva asaMBavAt
   udbhicchabdavadubhayatra tulyavadvṛttitvābhāvena nāmatvānupapatterna	udBid Sabda vat uBayatra tulya vat vRtti tva aBAvena nAmatva anupapatteH na
   pūrvādhikaraṇaviṣayatvamityudāharaṇatvopapattiḥ /	pUrva aDikaraNa vizaya tvam iti udAharaNa tva upapattiH /
   yadyapi tatprakhyatadvyapadeśanyāyayorapi jātyādivacanānāmevodāharaṇatvam;	yadi api tad praKya tad vyapadeSa nyAyayoH api jAti Adi vacanAnAm eva udAharaNa tvam;
   tathāpi yatra tannyāyayorapravṛttisteṣāmihodāharaṇatve kalpyamāne	taTA api yatra tad nyAyayoH apravRttiH tezAm iha udAharaNa tve kalpyamAne
   dadhisomādipadānāmapi tannyāyāviṣayāṇāṃ udāharaṇatāpattistadvāraṇāya	daDi soma Adi padAnAm api tad nyAya avizayANAm udAharaNa tA ApattiH tad vAraNAya
   yasminvākye jātiguṇavācakaśabdānāmupādāne sati prasaktavākyabhedaparihāro	yasmin vAkye jAti guNa vAcaka SabdAnAm upAdAne sati prasakta vAkya Beda parihAraH 
   nāmatvena vinā na saṃbhavati teṣāmihodāharaṇatvam ityapi jñeyam /	nAma tvena vinA na saMBavati tezAm iha udAharaNa tvam iti api jQeyam /
   ata eva "dadhnendriyakāmasye" ti vākye vākyabhedasaṃbhāvanāyāmapi tasya	atas eva "daDna indriya kAmasye" ti vAkye vAkya Beda saMBAvanAyAm api tasya
   vinaiva nāmatayā parihartuṃ śakyatvānnodāharaṇatvam /	vinA eva nAmatayA parihartum Sakya tvAt na udAharaNa tvam /
   tathāca tatprakhyatadvyapadeśanyāyāviṣayāṇāṃ jātyādāveva nirūḍhānāṃ	taTA ca tad praKya tad vyapadeSa nyAya avizayANAm jAti AdO= eva nirUXAnAm
   nāmatāmātrakṛtaprasaktavākyabhedaparihāravadvākyagatānāṃ	nAmatA mAtra kRta prasakta vAkya Beda parihAra vat vAkya gatAnAm
   śabdānāmihodāharaṇatvam iti bhāvaḥ /	SabdAnAm iha udAharaNa tvam iti BAvaH /
   tāneva śabdān vākyagatatvena darśayati     citrayeti //	tAn eva SabdAn vAkya gata tvena darSayati    citraya iti //
   (ājyaiḥ stuvate ityādyutpattivākyagatājyādipadaparityāgena	(a AjyEH stuvate ityAdi utpatti vAkya gata Ajya Adi pada parityAgena
   guṇavākyagatasyodāharaṇatvena nirdeśe nimittanirūpaṇam) yadyapi "ājyaiḥ	guNa vAkya gatasya udAharaNa tvena nirdeSe nimitta nirUpaNam) yadi api "a AjyEH
   stuvate" "ṣaṣṭhaiḥ stuvate" ityādyutpattivākyagatānāmapyeṣāṃ śabdānāṃ	stuvate" "zazWEH stuvate" ityAdi utpatti vAkya gatAnAm api ezAm SabdAnAm
   vicāraviṣayatvaṃ saṃbhavati /	vicAra vizaya tvam saMBavati /
   stotrādisamānādhikaraṇatṛtīyāntapadābhidheyatvena nāmatākoṭeḥ tatra	stotra Adi samAna aDikaraNa tRtIyAnta pada aBiDeya tvena nAmatA koweH tatra
   saṃbhavo 'dhiko 'pyasti; tathāpi teṣāmanudāharaṇatvaṃ	saMBavaH aDikaH api asti; taTA api tezAm anudAharaNa tvam
   svayamevāśaṅkānirāsavyājenādūra eva darśayiṣyate 'tastānyupekṣya "yasmin	svayam eva ASaFkA nirAsa vyAjena adUraH eva darSayizyate atas tAni upekzya "yasmin
   guṇopadeśa" iti sūtrāvayavānurodhena guṇavākyagatānāmevodāharaṇatvaṃ	guNa upadeSa" iti sUtra avayava anuroDena guNa vAkya gatAnAm eva udAharaNa tvam
   darśitam //	darSitam //
   (udbhidadhikaraṇena citrādhikaraṇasya pratyudāharaṇasaṃgatiḥ)	(udBid aDikaraNena citra aDikaraNasya pratyudAharaNa saMgatiH)
   kvacidapyaprasiddhatayā sandigdhārthānāṃ padānāṃ	kvacid api aprasidDa tayA sandigDa arTAnAm padAnAm
   sāmānādhikaraṇyānnāmatānirṇaya ityevaṃrūpapūrvādhikaraṇanyāyātyayena	sAmAnADikaraNyAt nAmatA nirNayaH iti evaMrUpa pUrva aDikaraNa nyAya atyayena
   pūrvapakṣipratyavasthānātpratyudāharaṇarūpāmanantarasaṃgatiṃ	pUrva pakzi pratyavasTAnAt pratyudAharaNa rUpAm anantara saMgatim
   spaṣṭatvādanuktvā pūrvapakṣamāha     dadhyādivaditi //	spazwa tvAt anuktvA pUrva pakzam Aha    daDi Adi vat iti //
   (citrādipadārthanirṇayaḥ) citrāśabdo	(citra Adi padArTa nirNayaH) citrA SabdaH 
   rūpatvavyāpyāvāntarajātirūpacitratvaguṇatvāvacchinne guṇe rūḍhaḥ /	rUpa tva vyApya avAntara jAti rUpa citra tva guNa tva avacCinne guNe rUXaH /
   ājyaśabdo ghṛtajātau /	Ajya SabdaH GRta jAtO /
   pṛṣṭhaśabdaḥ śarīrāvayavajātau /	pRzWa SabdaH SarIra avayava jAtO /
   pavamānaśabdaḥ pūrvoktarītyā dravye rūḍha ityarthaḥ //	pavamAna SabdaH pUrva ukta rItyA dravye rUXaH iti arTaH //
   (citratvastrītvobhayavidhisāmarthyena prāṇidravyakayāgoddeśyatvāvagati	(citra tva strI tvA uBaya viDi sAmarTyena prANi dravya ka yAga uddeSya tva avagati
   nirūpaṇam) vidheyasāmarthyānurodheneti //	nirUpaNam) viDeya sAmarTya anuroDena iti //
   yathaiva "yasyobhāvagnī abhinimrocetāṃ punarādheyamasya prāyaścitti" riti	yaTA eva "yasya uBAvagnI aBinimrocetAm punar ADeyam asya prAyaScitti" riti
   vākye havirārtyadhikaraṇanyāyena	vAkye haviH Arti aDikaraNa nyAyena
   nimittaviśeṣaṇasyobhayatvasyāvivakṣayānyatarāgnyanugamane 'pi	nimitta viSezaNasya uBaya tvasya avivakzaya anyatara agni anugamane api
   prāyaścittaprāptāvapi	prAyaScitta prAptO= api
   vidhīyamānasyādhānāsyāgnidvayotpādakatvasāmarthyādevobhayāgnyanugamanasyaiva	viDIyamAnasya ADAna asya agni dvaya utpAdaka tva sAmarTyAdeva uBayA agni anugamanasya eva
   nimittatvānnānyatarāgnyanugamane tatprāptiriti ṣaṣṭhe siddhāntayiṣyate,	nimitta tvAt na anyatara agni anugamane tad prAptiH iti zazWe sidDAntayizyate,
   tena nyāyena vidheyayoḥ citratvastrītvayorāruṇyādivat	tena nyAyena viDeyayoH citra tva strI tvayoH AruNya Adi vat 
   dravyavṛttitvapratītyā vidheyasya	dravya vRtti tva pratItyAH viDeyasya
   citratvastrītvāvacchinnakaraṇatvasyāprāṇinimukhyatayā	citra tva strI tvA avacCinna karaNa tvasya aprANi ni muKya tayA
   niveśāyogādvidheyasāmarthyānurodhena prāṇidravyakasyaivehāpi	niveSa ayogAt viDeya sAmarTya anuroDena prANi dravyakasya eva iha api
   uddeśyatvāvagatestaduddeśenaiva citratvastrītvaviśiṣṭakaraṇatvavidhānam /	uddeSya tva avagateH tad uddeSena eva citra tva strI tva viSizwa karaNa tva viDAnam /
   ataeva     prakṛte dadhyādiyāge citratvavidhāne ānarthakyatadaṅganyāyena	ataeva    prakRte daDi Adi yAge citra tva viDAne AnarTakyatad aFga nyAyena
   dadhyādidravyeṣu avatārādvicitravarṇairdadhyādibhiryāga iti prakṛtayāge	daDi Adi dravyezu avatArAt vicitra varNEH daDi AdiBiH yAgaH iti prakRta yAge
   tadvidhānamityapi     nirastam; paśukāmapadānvayānupapatteśca //	tat viDAnam iti api    nirastam; paSu kAma pada anvaya anupapatteH ca //
   (dadhimadhvādivākye ekayāgatvapakṣanirāsaḥ) yāgānāmiti //	(daDi maDu Adi vAkye eka yAga tva pakza nirAsaH) yAgAnAm iti //
   bahuvacanenāṣṭamādyapādādhikaraṇavārtikasvārasyena saṅkhyādhikaraṇe yo	bahuvacanena azwama Adya pAda aDikaraNa vArtika svArasyena saFKyA aDikaraNe yaH 
   nyāyasudhākṛtaikayāgapakṣa uktaḥ, sa nirākṛtaḥ /	nyAya suDA kRta eka yAga pakzaH uktaH, sa nirAkRtaH /
   tasyopapādanapūrvakaṃ nirākaraṇaṃ ca kaustubhe draṣṭavyam /	tasya upapAdana pUrvakam nirAkaraNam ca kOstuBe drazwavyam /
   ato dvādaśādhikaraṇavārtikokto 'nekayogapakṣa eva śreyāniti sūcitam /	atas dvAdaSa aDikaraNa vArtikA uktaH aneka yoga pakzaH eva SreyAn iti sUcitam /
   evañca "prakaraṇaṃ ca bādhyeta prājāpatyayāgasye"	evaQca "prakaraNam ca bADyeta prAjApatya yAgasye"
   tyetatsiddhāntavārtikagataṃ "prakṛto yāgaḥ phalatayā vidhīyata" iti	ti etad sidDAnta vArtika gatam "prakRtaH yAgaH Pala tayA viDIyata" iti
   śāstradīpikāgataṃ caikavacanaṃ yāgatvasāmānyābhiprāyeṇa vyākhyeyamiti	SAstra dIpikA gatam ca eka vacanam yAga tva sAmAnya aBiprAyeNa vyAKyeyam iti
   bhāvaḥ //	BAvaH //
   (agnīṣomīyapaśau puṃstvakṛṣṇasāraṅgādyanavarodhanirūpaṇapūrvakaṃ tatra	(agnIzomIya paSO puMstva kRzNa sAraFga Adi anavaroDa nirUpaNa pUrvakam tatra
   citratvastrītvayorniveśopapādanaṃ prācāmanurodhena) yadyapi	citra tva strI tvayoH niveSa upapAdanam prAcAm anuroDena) yadi api
   prāṇidravyakayāgasyoddeśyatvam, tathāpi kathaṃ na	prANi dravya ka yAgasya uddeSya tvam, taTA api kaTam na
   prakṛtivikṛtisādhāraṇyena prāṇidravyakayāgamātre vidhānamityāśaṅkānirāsāya	prakRti vikRti sADa araNyena prANi dravya ka yAga mAtre viDAnam iti ASaFkA nirAsAya
   sarvaprakṛtibhūtetyuktam /	sarva prakRti BUtA iti uktam /
   sautyasyaikādaśinīprakṛtitve 'pi ekādaśinīnāṃ ca paśugaṇaprakṛtitve	sOtyasya ekAdaSinI prakRti tve api ekAdaSinInAm ca paSu gaNa prakRti tve
   'pyagnīṣomīyasya "daikṣasya cetareṣvi"tyāṣṭamikanyāyāt	api agnIzomIyasya "dEkzasya ca itarezu i"tyAzwamika nyAyAt
   sarvaprāṇiyāgaprakṛtitvāvagamena tatraiva "prakṛtau vādviruktatvā" diti	sarva prANi yAga prakRti tva avagamena tatra eva "prakRtO vAdvirukta tvA" diti
   tārtīyanyāyena niveśo na vikṛtyantareṣvityarthaḥ /	tArtIya nyAyena niveSaH na vikRti antarezu iti arTaH /
   naca    	na ca    
   prākaraṇikapuṃstvakṛṣṇasāraṅgatvādiguṇāntarāvarodhānnānārabhyādhītayościtratvastrītvayoragnīṣomīye	prAkaraNika puMstva kRzNa sAraFga tva Adi guNa antara avaroDAt na anA AraByADItayoH citra tva strI tvayoH agnIzomIye
   niveśasaṃbhava iti     vācyam; utpattivākyagatapaśupade striyāmapi	niveSa saMBavaH iti    vAcyam; utpatti vAkya gata paSupade striyAm api
   paśuśabdaprayogeṇa puṃstvasyāvivakṣitatvāt /	paSu Sabda prayogeNa puMstvasya avivakzita tvAt /
   "chāgasya vapāyā"miti mantre śrutasyāpi puṃstvasyānārabhyādhītenāpi	"CAgasya vapAyA"m iti mantre Srutasya api puMstvasya anAraBya aDItena api
   pratyakṣavidhivihitena strītvenāvarodhena vidhikalpanānupapatteḥ	pratyakza viDi vihitena strI tvena avaroDena viDi kalpanA anupapatteH
   chāndasatayā parihartuṃ śakyatvāt /	CAndasatayA parihartum Sakya tvAt /
   kṛṣṇasāraṅgādividherapi citratvāśrayatayā	kRzNa sAraFga Adi viDeH api citra tva ASraya tayA
   pakṣaprāptakṛṣṇasāraṅgādirūpaniyamārthatayāpyupapannatvenāvirodhepapatteśca	pakza prApta kRzNa sAraFga Adi rUpa niyama arTa tayA api upapanna tvena aviroDa IpapatteH ca
   ato yukta agnīṣomīye tayorniveśaḥ //	atas yuktaH agnIzomIye tayoH niveSaH //
   evaṃ tāvatprācāṃ rītyāgnīṣomīyapaśuyāgamātre niveśa iti	evam tAvat prAcAm rItyA agnIzomIya paSu yAga mAtre niveSaH iti
   pūrvapakṣamupapādyādhunā svātantryeṇa pakṣāntaramāha     sarvapaśuyāgeti	pUrva pakzam upapAdya aDunA svAtantryeNa pakza antaram Aha    sarva paSu yAga iti
   (dviruktatvādyabhāvanirūpaṇapūrvakaṃ citratvastrītvayoḥ	(dvirukta tva Adi aBAva nirUpaNa pUrvakam citra tva strI tvayoH
   sarvapaśusaṃbandhanirūpaṇam) ayaṃ bhāvāḥ     yathaivahi	sarva paSu saMbanDa nirUpaNam) ayam BAvAH    yaTA eva hi
   "āśrāvaye"tyādisaptadaśākṣarāṇāṃ prajāpatisaṃjñānā 'meṣa vai saptadaśaḥ	"a ASrAvaye"ti Adi saptadaSa akzarANAm prajApati saMjQAnAH am eza vE saptadaSaH
   prajāpatiryajñamanvāyatta' mitividhinā sākṣādyajñamātroddeśena vidhāne 'pi	prajApatiH yajQam anvAyatta a miti viDinA sAkzAt yajQa mAtra uddeSena viDAne api
   na prakṛtāveva niveśaḥ;atideśāt	na prakRtO= eva niveSaH ;atideSAt
   pūrvamupadeśapravṛttāvatideśakalpanasyaivābhāvena dviruktatvābhāvāt /	pUrvam upadeSa pravRttO= ati deSa kalpanasya eva aBAvena dvis ukta tva aBAvAt /
   ata eva parṇatādau juhūddeśena vidhāne sati	atas eva parNa tA AdO juhUddeSena viDAne sati
   tatprāptyarthamatideśāpekṣaṇāttataḥ pūrvaṃ pravṛttyabhāvena	tad prApti arTam atideSa apekzaNAt tatas pUrvam pravRtti aBAvena
   prāptikālavaiṣamyāt dviruktatvopapattiriti vaiṣamyam /	prApti kAla vEzamyAt dvis ukta tva upapattiH iti vEzamyam /
   tathaivehāpi sākṣādyāgamātroddeśena citratvastrītvayorvidhāne	taTA eva iha api sAkzAt yAga mAtra uddeSena citra tva strI tvayoH viDAne
   dviruktatvābhāvātprakṛtisādhāraṇyena prāṇidravyakayāgamātroddeśena	dvis ukta tva aBAvAt prakRti sADa araNyena prANi dravya ka yAga mAtra uddeSena
   nāyuktaṃ tadvidhānam /	na ayuktam tad viDAnam /
   ata eva sarvapaśuyāgeṣu paśorupadiṣṭatvānnātra	atas eva sarva paSu yAgezu paSoH upadizwa tvAt na atra
   paśurūpadvārasaṃbandhārthamapyatideśāpekṣā //	paSu rUpa dvAra saMbanDa arTam api atideSa apekzA //
   (citratvastrītvayorvāyavyapaśvatiriktaviṣayatvasya	(citra tva strI tvayoH vAyavya paSu ati rikta vizaya tvasya
   kaustubhoktarītikhaṇḍanapūrvakaṃ nirūpaṇam) evaṃ sthite yatra	kOstuBa uktarIti KaNxana pUrvakam nirUpaNam) evam sTite yatra
   "vāyavyaṃśveta" mityādau paśorapyatideśastatra	"vAyavI aMSveta" mityAdO paSoH api ati deSaH tatra
   dviruktatvaprasaṅgāttatsādhāraṇyenaitadvidhānāsaṃbhave 'pi yatrā "gneyaṃ	dvis ukta tva prasaFgAt tad sADAraNyena etat viDAna asaMBave api yatrA "gneyam
   savanīyaṃ paśumupākarotī"tyādau dravyadevatāsaṃbandhavyatirekeṇa	savanIyam paSum upAkarotI"tyAdO dravya devatA saMbanDa vyatirekeNa
