   Abkürzungsverzeichnis	AbkürzungsveH zeiCnis
   [39.1]     avaikhānasapūjāyāṃ tantrasaṅkara*{334}* eva ca // [Purātantra]	[39.1]     avEKAnasa pUjAyAm tantra saFkara *{334}* eva ca // [Pura atantra]
        [avaikhānasapūjane bhagavatsānnidhyavirahaḥ]	[a vEKAnasa pUjane Bagavat sAnniDyavirahaH]
   [39.2]     māsatrayaṃ ca ṣaṇmāsam anyaviprais tu pūjane /	[39.2]     mAsa trayam ca zaz mAsam anya viprEH tu pUjane /
   [39.3]     na tatra bimbe sānnidhyaṃ devadevasya śārṅgiṇaḥ // [Purātantra]	[39.3]     na tatra bimbe sAnniDyam devadevasya SArFgiNaH // [Pura atantra]
   [39.4]     tasmāt tad doṣaśāntyarthaṃ mahāśānter anantaram /	[39.4]     tasmAt tat doza SAnti arTam mahA SAnteH anantaram /
   [39.5]     adhivāsatrayaṃ kṛtvā*{335}* pratiṣṭhāṃ punar ācaret //	[39.5]     aDivAsa trayam kRtvA a*{335}* pratizWAm punar Acaret //
   [Purātantra]	[Pura atantra]
   [39.6]     saṃvatsare tu devasya viprair vaikhānasetaraiḥ /	[39.6]     saMvatsare tu devasya viprEH vEKAnasa itarEH /
   [39.7]     pūjābhicārikī proktā*{336}* tatra sarvaṃ vinaśyati //	[39.7]     pUjABicArikI proktA*{336}* tatra sarvam vinaSyati //
   [Purātantra]	[Pura atantra]
   [39.8]     tasmāt tatkarṣaṇādyañ ca niṣkṛtyantālayārcanam /	[39.8]     tasmAt tad karzaNAt yan ca nizkRti anta Alaya arcanam /
        [tāntrikārcāyām api tantradīkṣitānām evādhikāraḥ]	[tAntrikA arcAyAm api tantra dIkzitAnAm eva aDikAraH]
   [39.9]     kārayed vidhivadvidvān tadvaikhānasasūtribhiḥ /	[39.9]     kArayet viDivat vidvAn tad vEKAnasa sUtriBiH /
   [39.10]     tāntrikārcāvidhau cāpi tāntrikair eva dīkṣitaiḥ //	[39.10]     tAntrika arcA viDO ca api tAntrikEH eva dIkzitEH //
   [Purātantra.]	[Pura atantra.]
   [39.11]     pūjanīyo hariḥ samyak vipraiḥ nānyaiḥ kadācana /	[39.11]     pUjanIyaH hariH samyak viprEH na anyEH kadAcana /
   [39.12]     anyena vidhinā mantrair anyair anyārcakena vā // [Purātantra]	[39.12]     anyena viDinA mantrEH anyEH anya arcakena vA // [Pura atantra]
   [39.13]     ālaye tvarcanaṃ syāc cen mahādoṣo bhaved dhruvam*{337}* /	[39.13]     Alaye tu arcanam syAt ced mahA dozaH Bavet Druvam *{337}* /
   [39.14]     tasmāt tu vaidike tv asminn ālayārcāvidhau dvijāḥ //	[39.14]     tasmAt tu vEdike tu asmin AlayArcA viDO dvijAH //
   [Purātantra.]	[Pura atantra.]
   [39.15]     pratiṣṭhādiṣu saṅgrāhyāḥ proktā vaikhānasā dvijāḥ /*{338}*	[39.15]     pratizWA Adizu saFgrAhyAH proktAH vEKAnasAH dvijAH /*{338}*
   [39.16]     brahmāpi bhagavān devo harir nārāyaṇaḥ smṛtaḥ // [Purātantra]	[39.16]     brahmA api BagavAn devaH hariH nArAyaNaH smRtaH // [Pura atantra]
   [39.17]     nāviṣṇur jāyate viṣṇur nāviṣṇur viṣṇum arcayet*{339}* /	[39.17]     na avizNuH jAyate vizNuH na avizNuH vizNum arcayet*{339}* /
   [39.18]     suprītenārcakenaiva yad uktaṃ devasannidhau // [Purātantra.]	[39.18]     su prItena arcakena eva yat uktam deva sanniDO // [Pura atantra.]
   [39.19]     taddevenaiva samproktaṃ tathaiva ca bhaviṣyati /	[39.19]     tad devena eva samproktam taTA eva ca Bavizyati /
   [39.20]     arcakaṃ toṣayed viṣṇuṃ yas toṣayitum icchati // [Purātantra]	[39.20]     arcakam tozayet vizNum yaH tozayitum icCati // [Pura atantra]
   [39.21]     tuṣṭe 'rcake jagannāthas tuṣṭha eva na saṃśayaḥ //	[39.21]     tuzwe arcake jagannATaH tuzWaH eva na saMSayaH //
   [Purātantra]	[Pura atantra]
   [39.22]     svapne svarūpaṃ bhaktāya pratyakṣayati mādhavaḥ /*{340}*	[39.22]     svapne svarUpam BaktAya pratyakzayati mADavaH /*{340}*
   [39.23]     pravakti bhagavān viṣṇuḥ sukhaduḥkhadvayaṃ nṛṇām //" iti	[39.23]     pravakti BagavAn vizNuH suKa duHKa dvayam nRNAm //" iti
   [Purātantra]	[Pura atantra]
        [arcakamahimā]	[arcaka mahimA]
   [39.24]     skānde:	[39.24]     skAnde:
   [39.25]     "vaikhānasīṃ mahāśākhāṃ svasūtre viniyuktavān /	[39.25]     "vEKAnasIm mahA SAKAm sva sUtre viniyuktavAn /
   !{334}! DHN[T] 176: tantrasaṅkaraṃ.	!{334}! DHN[T] 176: tantra saFkaraM.
   !{335}! DHN[T] 176: adhivāsatrayāṃ te tu.	!{335}! DHN[T] 176: aDivAsa trayAm te tu.
   !{336}! DHN[T] 176: abhicārikam ity uktaṃ.	!{336}! DHN[T] 176: aBicArikam iti uktaM.
   !{337}! DHN[T] 177: mahādoṣo bhavet tataḥ.	!{337}! DHN[T] 177: mahA dozaH Bavet tatas .
   !{338}! DHN[T] 177: sapratiṣṭhādike grāhyāḥ proktā vaikhānasānvyāḥ und	!{338}! DHN[T] 177: sa pratizWA Adike grAhyAH proktAH vEKAnasa anvyAH und
   ins. (sa pratiṣṭhādike grāhyā ye 'py avaikhānasādvijāḥ?).	ins. (sa pratizWA Adike grAhyAH ye api avEKAnasa advijAH?).
   !{339}! Dieser Halbvers ist auch als "Bṛhannāradīya" zitiert in DHN[D]	!{339}! DieseH HalbverH ist OC alH "BRhat nAradIya" zitiert id DHN[D]
   119.9; vgl. KhA 22.162ab: nāviṣṇur arcayed viṣṇuṃ nāviṣṇuḥ dhyāyate harim.	119.9; vgl. KhA 22.162ab: na avizNuH arcayet vizNum na avizNuH DyAyate harim.
   !{340}! DHN[T] 177: svapne bhaktaṃ svarūpeṇa pratyakṣayati pūjanāt.	!{340}! DHN[T] 177: svapne Baktam sva rUpeNa pratyakzayati pUjanAt .
   [40.1]     padmabhūḥ paramo dhātā tasminn ārādhanatrayam //*{341}*	[40.1]     padmaBUH paramaH DAtA tasmin ArADana trayam //*{341}*
   [SkandaP ]	[SkandaP ]
   [40.2]     uktavān nigamārthānām ācāraṃ pravibhāgaśaḥ //"*{342}* iti	[40.2]     uktavAn nigama arTAnAm AcAram praviBAgaSaH //"*{342}* iti
   [SkandaP ]	[SkandaP ]
        [ekasya yajurvedasya vyāsakatṛkaṃ vibhajanam]	[ekasya yajurvedasya vyAsakatRkam viBajanam]
   [40.3]     brahmakaivartavacanāni pūrvam evoktāni.	[40.3]     brahma kEvarta vacanAni pUrvam eva uktAni.
   [40.4 5]     nanu ṛgyajussāmātharvāṇa iti vedānāṃ loke prasiddheḥ	[40.4 5]     nanu Rc yajussAma aTarvANaH iti vedAnAm loke prasidDeH
   sarvaśākhāmūlabhūto yajurveda iti pūrvoktaṃ katham upapadyate iti ced	sarva SAKA mUla BUtaH yajurvedaH iti pUrva uktam kaTam upapadyate iti ced 
   ucyate.	ucyate.
   [40.6]     śrīviṣṇupurāṇe	[40.6]     SrI vizNupurANe
   [40.7]     "vedadrumasya maitreya śākhābhedās sahasraśaḥ*{343}* /	[40.7]     "vedadrumasya mEtreya SAKA BedAH sahasraSas *{343}* /
   [40.8]     na śakyā vistarād vaktuṃ*{344}* saṅkṣepeṇa śṛṇuṣva tam //	[40.8]     na SakyAH vistarAt vaktuM*{344}* saFkzepeNa SRNuzva tam //
   [Viṣṇu.P 3.3.4]	[VizNu.P 3.3.4]
   [40.9]     dvāpare dvāpare viṣṇur vyāsarūpī mahāmune // [Viṣṇu.P ]	[40.9]     dvApare dvApare vizNuH vyAsa rUpI mahA mune // [VizNu.P ]
   [40.10]     vedam ekaṃ subahudhā karoti jagatāṃ hitaḥ*{345}* // [Viṣṇu.P	[40.10]     vedam ekam su bahuDA karoti jagatAm hitaH*{345}* // [VizNu.P
   [40.11]     vīryaṃ tejo balañ cālpaṃ manuṣyāṇām avekṣya ca /	[40.11]     vIryam tejaH balan ca alpam manuzyANAm avekzya ca /
   [40.12]     hitāya sarvabhūtānāṃ vedabhedaṃ karoti saḥ // [Viṣṇu.P 3.3.6]	[40.12]     hitAya sarva BUtAnAm veda Bedam karoti saH // [VizNu.P 3.3.6]
   [40.13]     ity ārabhya	[40.13]     iti AraBya
   [40.14]     "eka āsīd yajurvedas taṃ caturdhā hy akalpayat /	[40.14]     "ekaH AsIt yajurvedaH tam caturDA hi akalpayat /
   [40.15]     cāturhotram abhūd yasmiṃs*{346}* tena yajñam athākarot //	[40.15]     cAturhotram aBUt yasmins*{346}* tena yajQam aTa akarot //
   [Viṣṇu.P 3.4.11]	[VizNu.P 3.4.11]
   [40.16]     ārdhvaryavaṃ yajurbhis tu ṛgbhir hautraṃ tathā muniḥ*{347}* /	[40.16]     ArDvaryavam yajurBiH tu RgBiH hOtram taTA muniH*{347}* /
   [40.17]     audgātraṃ sāmabhiś cakre*{348}* brahmatvañ cāpy atharvabhiḥ //	[40.17]     OdgAtram sAmaBiH cakre*{348}* brahma tvan ca api aTarvaBiH //
   [Viṣṇu.P 3.4.12]	[VizNu.P 3.4.12]
   [40.18]     tatas sa ṛca uddhṛtya ṛgvedaṃ kṛtavān muniḥ /	[40.18]     tatas saH RcaH udDRtya Rgvedam kRtavAn muniH /
   [40.19]     yajurbhiś ca yajurvedaṃ*{349}* sāmavedañ ca sāmābhiḥ //	[40.19]     yajurBiH ca yajurvedaM*{349}* sAmavedan ca sAmABiH //
   [Viṣṇu.P 3.4.13]	[VizNu.P 3.4.13]
   [40.20]     rājñāntvatharvavedena*{350}* sarvakarmāṇi sa prabhuḥ /	[40.20]     rAjQA antu aTarvavedena*{350}* sarva karmANi sa praBuH /
   [40.21]     kārayāmāsa maitreya brahmatvañ ca yathāsthiti /// [ViṣṇuP	[40.21]     kArayAmAsa mEtreya brahma tvan ca yaTAsTiti /// [VizNuP
   [40.22]     so 'yam eko mahān vedatarus tena pṛthakkṛtaḥ*{351}* /	[40.22]     saH ayam ekaH mahAn vedataruH tena pRTakkRtaH*{351}* /
   [40.23]     caturdhā ca tato jātaṃ vedapādapakānanam //" [ViṣṇuP 3.4.15]	[40.23]     caturDA ca tatas jAtam veda pAdapa kAnanam //" [VizNuj 3.4.15]
   [40.24 25]     ity antena spaṣṭaṃ pratipāditatvāt yajurveda eka eva	[40.24 25]     iti antena spazwam pratipAdita tvAt yajurvedaH ekaH eva
   prathamāsītity avagamyate.	praTamA asIt iti avagamyate.
   !{341}! Dieser Vers ist ähnlich als "Skandapurāṇa" zitiert in DHN[D]	!{341}! DieseH VerH ist ähnliC alH "Skanda purANa" zitiert id DHN[D]
   71.10 11; als "Purātantra" in DHN[D] 34.9 10.	71.10 11; als "Pura atantra" id DHN[D] 34.9 10.
   !{342}! Dieser Halbvers ist auch als "Skandapurāṇa" zitiert in DHN[D]	!{342}! DieseH HalbveH H ist OC alH "Skanda purANa" zitiert id DHN[D]
   !{343}! ViṣṇuP: śākhābhedaiḥ sahasraśaḥ.	!{343}! VizNuP: SAKA BedEH sahasraSas .
   !{344}! ViṣṇuP: na śakyo vistaro (vistarād) vaktuṃ.	!{344}! VizNuP: na SakyaH vistaraH (vistarAd) vaktuM.
   !{345}! ViṣṇuP: vedam ekaṃ sa bahudhā karoti (subahudhā kurute) jagatī	!{345}! VizNuP: vedam ekam sa bahuDA karoti (su bahuDA kurute) jagatI
   (jagato) hitaḥ.	(jagato) hitaH.
   !{346}! ViṣṇuP: caturhotram abhūd yasmiṃs.	!{346}! VizNuP: caturhotram aBUt yasmin= .
   !{347}! ViṣṇuP: ādhvaryyavaṃ yajurbhis tu ṛgbhir hotraṃ tathā muniḥ.	!{347}! VizNuP: ADvaryyavam yajurBiH tu RgBiH hotram taTA muniH.
   !{348}! ViṣṇuP: audgotraṃ sāmabhiś cakre.	!{348}! VizNuP: Odgotram sAmaBiH cakre.
   !{349}! ViṣṇuP: yajūṃṣi ca yajurvedaṃ.	!{349}! VizNuP: yajUMzi ca yajurvedan.
   !{350}! ViṣṇuP: rājñastvatharvavedena.	!{350}! VizNuP: rAjQaH tu aTarvavedena.
   !{351}! ViṣṇuP: so 'yam eko mahāvedatarus tena pṛthakkṛtaḥ.	!{351}! VizNuP: saH ayam ekaH mahA veda taruH tena pRTakkRtaH.
        [yajurvedasya vaikhānasaśākhātvaprasiddhiḥ]	[yajurvedasya vEKAnasa SAKA tva prasidDiH]
   [41.1 3]     sa ca yajurvedaḥ: "bahuśṛṅgaś catus sānuḥ pṛthulo	[41.1 3]     sa ca yajurvedaH: "bahu SRFgaH catus sAnuH pRTulaH 
   vedaparvataḥ" ity ārabhyoktarītyā vedavyāsarupiṇā bhagavatā yadā vyastaḥ,	veda parvataH" iti AraBya ukta rItyA vedavyAsa rupiNA BagavatA yadA vyastaH,
   tataḥ pūrvam ekarūpeṇāvasthitasya tasya vedaparvatasya	tatas pUrvam eka rUpeNa avasTitasya tasya veda parvatasya
   vaikhānasaśākhātvaprasiddhir āsīd iti pūrvam eva pratipāditam.	vEKAnasa SAKA tva prasidDiH AsIt iti pUrvam eva pratipAditam.
   [41.4]     vaikhānasānāṃ śraiṣṭhyam	[41.4]     vEKAnasAnAm SrEzWyam
        [vaikhānasānāṃ śreṣṭhyaṃ pañcakālaparāyaṇatvañ ca]	[vEKAnasAnAm SrezWyam paQca kAla parAyaNa tvan ca]
   [41.5 6]     *{352}*prasaṅgāt vaikhānasaśākhāmūlakatvena*{353}*	[41.5 6]     *{352}*prasaFgAt vEKAnasa SAKAmUlaka tvena*{353}*
   praṇītasūtrānuṣṭhātṝṇāṃ śreṣṭhatvam acchidrapañcakālaparāyaṇatvādikañ ca	praNIta sUtra anuzWAtLNAm SrezWa tvam acCidra paQca kAla parAyaNa tva Adikan ca
   pratipādyate.	pratipAdyate.
   [41.7]     yathā sāmabrahmaṇe:	[41.7]     yaTA sAmabrahmaNe:
   [41.8]     "vaikhānasā vā ṛṣaya indrasya priyā āsan"*{354}* iti	[41.8]     "vEKAnasAH vE RzayaH indrasya priyAH Asan"*{354}* iti
   [ChāndogyaBr 2.23.1]	[ShAn dogyaBH 2.23.1]
        [vaikhānasānāṃ bhagavatpriyatamatvam]	[vEKAnasAnAm Bagavat priyatama tvam]
   [41.9]     vārāhe:	[41.9]     vArAhe:
   [41.10]     "aśvatthaḥ kapilā gāvas tulasī vikhanās tathā /*{355}*	[41.10]     "aSvatTaH kapilAH gAvaH tulasI viKanAH taTA /*{355}*
   [41.11]     catvāro matpriyā rājaṃs teṣāṃ vaikhānaso varaḥ //*{356}*" iti	[41.11]     catvAraH mad priyAH rAjan tezAm vEKAnasaH varaH //*{356}*" iti
   [VarāhaP]	[VarAha P]
        [vaikhānasadarśanaphalam]	[vEKAnasa darSana Palam]
   [41.12]     vṛddhayājñavalkye:	[41.12]     vRdDa yAjQavalkye:
   [41.13]     "vaikhānaso vaidikeṣu brahmanirdiṣṭam ācaret /	[41.13]     "vEKAnasaH vEdikezu brahma nirdizwam Acaret /
   [41.14]     taṃ brāhmaṇan tu dṛṣṭvaiva sarvaṃ pāpaṃ vyapohati //	[41.14]     tam brAhmaNan tu dRzwvA eva sarvam pApam vyapohati //
   [Vṛddhayājñavalkya.]	[VRdDa yAjQavalkya.]
   [41.15]     vaiṣṇavīṃ pratimāṃ loke vipraṃ vaikhānasaṃ tathā /	[41.15]     vEzNavIm pratimAm loke vipram vEKAnasam taTA /
   [41.16]     gaṅgāṃ viṣṇupadīṃ dṛṣṭvā sarvapāpaiḥ pramucyate //*{357}*" iti	[41.16]     gaFgAm vizNupadIm dRzwvA sarva pApEH pramucyate //*{357}*" iti
   [Vṛddhayājñavalkya]	[VRdDa yAjQavalkya]
        [viṣṇubhakteṣu vaikhānasasya śraiṣṭhyam]	[vizNu Baktezu vEKAnasasya SrEzWyam]
   [41.17]     śāntiparvaṇi:	[41.17]     SAntiparvaNi:
   [41.18]     *{358}*mantriṇāñ ca sahasrebhyo brahmacārī viśiṣyate /	[41.18]     *{358}*mantriNAn ca sahasreByaH brahmacArI viSizyate /
   [41.19]     brahmacārisahasrebhyo nityayājī viśiṣyate // [MBh ]	[41.19]     brahmacAri sahasreByaH nitya yAjI viSizyate // [MB ]
   [41.20]     nityayājisahasrebhyas somayājī viśiṣyate /	[41.20]     nitya yAji sahasreByaH soma yAjI viSizyate /
   [41.21]     somayājisahasrebhyo vedavedāntapāragaḥ // [MBh ]	[41.21]     soma yAji sahasreByaH veda vedAnta pAragaH // [MB ]
   [41.22]     vedāntagasahasrebhyo viṣṇubhakto viśiṣyate /	[41.22]     vedAnta ga sahasreByaH vizNu BaktaH viSizyate /
   [41.23]     viṣṇubhaktasahasrebhyo vipro vaikhānaso varaḥ //" iti [MBh ]	[41.23]     vizNu Bakta sahasreByaH vipraH vEKAnasaH varaH //" iti [MB ]
   !{352}! DHN[T] 180 ins. vaikhānasānāṃ śraiṣṭhyaṃ	!{352}! DHN[T] 180 ins. vEKAnasAnAm SrEzWyam
   acchidrapañcakālaparāyaṇatvañ ca.	acCidra paQca kAla parAyaNa tvan ca.
   !{353}! DHN[T] 180: vaikhānasaśākhāmūlatvena.	!{353}! DHN[T] 180: vEKAnasa SAKA mUla tvena.
   !{354}! Auch zitiert in DHN[D] 21.8, 61.13 15 und 118.4.	!{354}! AuC zitiert id DHN[D] 21.8, 61.13 15 und 118.4.
   !{355}! DHN[T] 180: vaikhānasas tathā; dieser Halbvers ist auch als	!{355}! DHN[T] 180: vEKAnasaH taTA; dieseH HalbverH ist OC als
   "Purātantra" in DHN[D] 37.3 zitiert.	"Pura atantra" id DHN[D] 37.3 zitiert.
   !{356}! ĀS 19.10; dieser Vers ist ohne Herkunftsangabe in DHN[D] 21.12 13	!{356}! ĀH 19.10; dieseH VerH ist ohne HeH kunft sangabe id DHN[D] 21.12 13
   zitiert, als "Varāhapurāṇa" in DHN[D] 118.6 7, vgl. KrA 36.37: aśvatthaḥ	zitiert, alH "VarAha purANa" id DHN[D] 118.6 7, vgl. KrAH 36.37: aSvatTaH
   kapilā gāvaḥ tulasī vikhano dvijaḥ / haripriyās tu catvāraḥ teṣu	kapilA gAvaH tulasI viKanaH dvijaH / hari priyAH tu catvAraH tezu
   vaikhānaso varaḥ.	vEKAnasaH varaH.
   !{357}! Dieser Vers ist auch als "Purātantra" in DHN[D] 37.6 7 zitiert.	!{357}! DieseH Vers ist OC alH "Pura atantra" id DHN[D] 37.6 7 zitiert.
   !{358}! Anm. des Herausgebers: mantriṇāṃ   adhītinām ity arthaḥ.	!{358}! Anm. deH HerOsgebeH s: mantriNAm  aDItinAm iti arTaH.
        [puṣkaratīrthamāhātmyam]	[puzkaratIrTamAhAtmyam]
        [vaikhānasānām ekāntitvam]	[vEKAnasAnAm ekAnti tvam]
   [42.1]     brahmakaivarte: "nimnagānāṃ yathā gaṅgā devānāṃ bhagavān hariḥ	[42.1]     brahma kEvarte: "nimnagAnAm yaTA gaFgA devAnAm BagavAn hariH
   [42.2]     varṇānāṃ brāhmaṇaṃ śreṣṭhaḥ āśramāṇāṃ yatir yathā //	[42.2]     varNAnAm brAhmaNam SrezWaH ASramANAm yatiH yaTA //
   [Brahmakaivarta.P ]	[Brahma kEva rta.P ]
   [42.3]     śrutīnām ādibhūtānāṃ śrutir ekāyanī yathā /	[42.3]     SrutInAm Adi BUtAnAm SrutiH ekAyanI yaTA /
   [42.4]     tasyāṃ niṣadyātha yasyāṃ niṣaṇṇo bhagavān hariḥ //	[42.4]     tasyAm nizadya aTa yasyAm nizaNNaH BagavAn hariH //
   [BrahmakaivartaP ]	[Brahma kEva rtaa a ]
   [42.5]     vyūhānām ādibhūtas tu vāsudevo yathā paraḥ /	[42.5]     vyUhAnAm Adi BUtaH tu vAsudevaH yaTA paraH /
   [42.6]     trimūrtīnāṃ yathā viṣṇuḥ śivānān tu sadāśivaḥ //	[42.6]     trimUrtInAm yaTA vizNuH SivAnAn tu sadASivaH //
   [Brahmakaivarta.P ]	[Brahma kEva rta.P ]
   [42.7]     dharmāṇāṃ vaiṣṇavo dharmaḥ smṛtīnāṃ mānavī smṛtiḥ /	[42.7]     DarmANAm vEzNavaH DarmaH smRtInAm mAnavI smRtiH /
   [42.8]     viprāṇāṃ vedaviduṣāṃ yathā vaikhānaso varaḥ //	[42.8]     viprANAm veda viduzAm yaTA vEKAnasaH varaH //
   [Brahmakaivarta.P ]	[Brahma kEva rta.P ]
   [42.9]     yathā munīnāṃ vikhanā ādibhūta udāhṛtaḥ /*{359}*	[42.9]     yaTA munInAm viKanAH Adi BUtaH udAhRtaH /*{359}*
   [42.10]     sūtrāṇāṃ tatpraṇītan tu yathā śreṣṭhatamaṃ smṛtam //	[42.10]     sUtrANAm tad praNItan tu yaTA SrezWatamam smRtam //
   [Brahmakaivarta.P ]	[Brahma kEva rta.P ]
   [42.11]     tathaiva puṣkaro rājaṃs tīrthānām uttamottamaḥ //"*{360}*	[42.11]     taTA eva puzkaraH rAjan tIrTAnAm uttama uttamaH //"*{360}*
   [BrahmakaivartaP ]	[Brahma kEva rtaa a ]
   [42.12] kaurme:	[42.12] kOrme:
   [42.13]     "maccittā madgataprāṇā mayi saṅgatamānasāḥ /	[42.13]     "mad cittAH mad gata prANAH mayi saFgata mAnasAH /
   [42.14]     ananyaśaraṇā rājaṃs tasmād vaikhānasā varāḥ //*{361}*" [KūrmaP	[42.14]     ananya SaraNAH rAjan tasmAt vEKAnasAH varAH //*{361}*" [KUrmaP
        [vaikhānasādhiṣṭhatadeśe viṣṇusānnidhyam]	[vEKAnasa aDizWata deSe vizNu sAnniDyam]
   [42.15]     purāṇāntare:	[42.15]     purANa antare:
   [42.16]     "yatra vaikhānasā viprā yatra santi gavāṃ gaṇāḥ /	[42.16]     "yatra vEKAnasAH viprAH yatra santi gavAm gaNAH /
   [42.17]     yatra bilvāḥ palāśāś ca tatra sannihito hariḥ //*{362}*"	[42.17]     yatra bilvAH palASAH ca tatra sannihitaH hariH //*{362}*"
   [42.18]     bṛhannāradīye:	[42.18]     bRhat nAradIye:
   [42.19]     "jagatpavitrās te nityaṃ viṣṇum abhyarcayanti ye /	[42.19]     "jagat pavitrAH te nityam vizNum aByarcayanti ye /
   [42.20]     durvṛttā vā suvṛttā vā pūjanīyā viśeṣataḥ //" [BṛhannāradaP]	[42.20]     durvRttA vA su vRttA vA pUjanIyAH viSezataH //" [BRhat nArada P]
   [42.21]     hārīte:	[42.21]     hArIte:
   [42.22]     tasmāt te śuddhasattvasthāś śuddhā vaikhānasāḥ smṛtāḥ /*{363}*	[42.22]     tasmAt te SudDa sattva sTAH SudDAH vEKAnasAH smRtAH /*{363}*
   [42.23]     yān lokān prāpnuvanty ete tān śṛṇuṣva samāhitaḥ //"	[42.23]     yAn lokAn prApnuvanti ete tAn SRNuzva samAhitaH //"
   [42.24]     pāñcarātre pauṣkare:	[42.24]     pAQcarAtre pOzkare:
   [42.25]     "viprā vaikhānasākhyā ye te bhaktās tattvam ucyate //*{364}*	[42.25]     "viprAH vEKAnasa AKyAH ye te BaktAH tattvam ucyate //*{364}*
   [PauṣkaraS 36.260cd]	[POzkaraH 36.260cd]
   [42.26]     ekāntinas susattvasthā dehāntaṃ nānyayājinaḥ /	[42.26]     ekAntinaH su sattva sTAH dehAntam na anya yAjinaH /
   !{359}! Diese Zeile fehlt im Zitat in DHN[D] 26.19 27.2.	!{359}! Diese Zeile fehlt im Zitat id DHN[D] 26.19 27.2.
   !{360}! Die Verse bis hier sind ähnlich auch als "Brahmakaivartapurāṇa" in	!{360}! Die Verse biH hieH sind ähnliC OC alH "Brahma kEvarta purANa" in
   DHN[D] 26.19 27.2 zitiert.	DHN[D] 26.19 27.2 zitiert.
   !{361}! Dieser Vers ist auch zitiert in DHN[D] 118.10 11.	!{361}! DieseH Vers ist OC zitiert id DHN[D] 118.10 11.
   !{362}! Dieser Vers ist auch zitiert in DHN[D] 48.23 24 und 118.8 9.	!{362}! DieseH Vers ist OC zitiert id DHN[D] 48.23 24 und 118.8 9.
   !{363}! DHN[T] 183: tasmāt te śuddhasatvasthāś śuddhā vaikhānasā smṛtāḥ /.	!{363}! DHN[T] 183: tasmAt te SudDa satva sTAH SudDAH vEKAnasAH smRtAH /.
   !{364}! PauṣkaraS: viprā ekāyanākhyā ye te bhaktās tattvato 'cyute; dieser	!{364}! POzkaraS: viprAH ekAyana AKyAH ye te BaktAH tattvataH acyute; dieseH 
   Halbvers ist als "Pauṣkarasaṃhitā" ähnlich zitiert in 24.6, 42.25, 48.18,	HalbveH H ist alH "POzkara saMhitA" ähnliC zitiert id 24.6, 42.25, 48.18,
   118.12, als "Purātantra" ähnlich in DHN[D] 36.24.	118.12, als "PurAtantra" ähnliC id DHN[D] 36.24.
   [43.1]     kartavyam iti deveśaṃ saṃyajante phalaṃ vinā //*{365}*	[43.1]     kartavyam iti deveSam saMyajante Palam vinA //*{365}*
   [PauṣkaraS 36.261]	[POzkaraH 36.261]
   [43.2]     prāpnuvanti ca dehānte vāsudevatvam abjaja //" iti*{366}*	[43.2]     prApnuvanti ca dehAnte vAsudeva tvam abjajaH //" iti*{366}*
   [PauṣkaraS 36.262ab]	[POzkaraH 36.262ab]
   [43.3]     gautamīye:	[43.3]     gOtamIye:
   [43.4]     "vaikhānasavidhānajñas tattvātmārthavyavasthitaḥ /	[43.4]     "vEKAnasa viDAna jQaH tattva AtmA arTa vyavasTitaH /
   [43.5]     sūkṣmāt sūkṣmam avāpnoti paraṃ brahmāṇam avyayam //" iti	[43.5]     sUkzmAt sUkzmam avApnoti param brahmANam avyayam //" iti
