   prathamo vilāsaḥ	praTamaH vilAsaH
   ete anumānavirodhāḥ /	ete anumAna-viroDAH /
   bandīkṛtaiḥ paraparigrahaiḥ krīḍantīti karmasaṃhitāvirodhaḥ /	bandIkRtEH para-parigrahEH krIxanti-iti karma-saMhita-aviroDaH /
   bandīṣvanyāsakteḥ vyasanamapakṛtastrīṣu viśvāsaścetyarthāgamavirodhaḥ /	bandIzu-anya-AsakteH vyasanam-apakRta-strIzu viSvAsaH-ca-iti-arTa-Agama-viroDaH /
   grīṣme divāniśaṃ krīḍanaṃ pakṣādvarṣanidāghayorityāyurvedavirodhaḥ /	grIzme divAniSam krIxanam pakzAt-varza-nidAGayoH-iti-Ayurveda-viroDaH /
   grīṣme kastūrikāvilepanaṃ bhogaśāstravirodhaḥ /	grIzme kastUrikA-vilepanam Boga-SAstra-viroDaH /
   atrāgamāntarbhūtānāmapi kalāśāstrāṇāṃ pṛthagabhidhānaṃ tadjñānasya sāhitye	atra-Agama-antarBUtAnAm-api kalA-SAstrANAm pRTak-aBiDAnam tat-jQAnasya sAhitye
   prādhānyajñāpanārtham /	prADAnya-jQApana-arTam /
   mahotpātānubhāvādi vivakṣāyāmidaṃ guṇaḥ // Ckc_3.35 //	mahA-utpAta-anuBAva-Adi vivakzAyAm-idam guNaH // Ckd-_3.35 //
   utpātavivakṣāyāṃ yathā	utpAta-vivakzAyAm yaTA
   uddaṇḍapratigaṇḍabheravavibho smere kaṭākṣe ruṣā jāte	uddaNxa-pratigaNxa-Berava-viBo smere kawAkze ruzA jAte
   kokanadacchavipratibhaṭe rāṣṭreṣu vidveṣiṇām /	kokanada=-Cavi-pratiBawe rAzwrezu vidveziNAm /
   mākandāśśarati prabhūtakalikāḥ padmaṃ kukūlodare pāṣāṇāḥ prahasanti hanta	mAkandAH-Sarati praBUta-kalikAH padmam kukUla-udare pAzANAH prahasanti hanta
   dadhate sandhyāsu nidrā dvijāḥ // Ckc_3.*47 //	daDate sanDyAsu nidrA dvijAH // Ckd-_3.*47 //
   atra śaradi mākandaprasūnānīti kālavirodhaḥ /	atra Saradi mAkanda-prasUnAni-iti kAla-viroDaH /
   kukūlodare padmamiti yuktivirodhaḥ pāṣāṇāḥ prahasantīti lokavirodhaḥ /	kukUla-udare padmam-iti yukti-viroDaH pAzANAH prahasanti-iti loka-viroDaH /
   tadeṣāṃ duṣṭatve 'pi	tat-ezAm duzwa-tve api
   nāyakakopajaniṣyamāṇaparāṣṭravipattisūcakaturnimittavivakṣayā guṇatvam /	nAyaka-kopa-janizyamANa-parAzwra-vipatti-sUcakatuH-nimitta-vivakzayA guNa-tvam /
   anubhāvavivabhāyāṃ yathā	anuBAva-vivaBAyAm yaTA
   kastūrīmṛgayūdhasevitatalaiḥ karpūrapālīdrumair	kastUrI-mRga-yUDa-sevita-talEH karpUrapAlI-drumEH-
   ārāmānabhirāmatāmupagatānālokya rājācale /	ArAmAn-aBirAmatAm-upagatAn-Alokya rAja-acale /
   vismerā hṛdi pañcavarṇakaśukādākarṇya karṇotsavaṃ	vismerAH hRdi paQca-varNaka-SukAt-AkarNya karNa-utsavam
   śrīsiṅgakṣitipālavikramakalāṃ nandantyapūrve janāḥ // Ckc_3.*48 //	SrI-siFga-kzitipAla-vikrama-kalAm nandanti-apUrve janAH // Ckd-_3.*48 //
   atrāndhradeśe kastūrīmṛgakarpūradrumādisaddhāva iti deśaviruddhatve 'pi	atra-anDra-deSe kastUrI-mRga-karpUra-druma-Adi-sat-DAvaH iti deSa-virudDa-tve api
   nānādvīpādhīśasakāśādupāyanagrahaṇasamarthanāyakaprabhāvavarṇanavivakṣayā	nAnA-dvIpa-aDISa-sakASAt-upAyana-grahaNa-samarTa-nAyaka-praBAva-varNana-vivakzayA
   guṇatvam /	guNa-tvam /
   śabdārtharūpaṃ taditaṃ kāvyaṃ śabdārthakovidaiḥ /	Sabda-arTa-rUpam tat-itam kAvyam Sabda-arTa-kovidEH /
   traividhyena camatkāri camatkāritaraṃ yathā // Ckc_3.36 //	trEviDyena camatkAri camatkAritaram yaTA // Ckd-_3.36 //
   camatkāritamaṃ ceti pravivicya nidarśitam /	camatka-aritamam ca-iti pravivicya nidarSitam /
   śabdacārutvatātparye camatkārīti kathyate // Ckc_3.37 //	Sabda-cAru-tvatAtparye camatkArI-iti kaTyate // Ckd-_3.37 //
   yathā	yaTA
   kamalamukulapālīkalpitāpānakotī kalamadhukaramālākākalīkalpanādeḥ /	kamala-mukula-pAlI-kalpita-apAna-kotI kala-maDukaramAlAkA-kalI-kalpana-AdeH /
   sarasi sarasatīre sārasārāpasāre viharati bharitaughe rājaśailādhirājaḥ //	sarasi sarasa-tIre sArasAra-apasAre viharati Barita-oGe rAja-SEla-aDirAjaH //
   Ckc_3.*49 //	Ckd-_3.*49 //
   atrānuprāsanirvahaṇamātre kaviprayatnasya viśrānteḥ śabdamātracārutvādidaṃ	atra-anuprAsa-nirvahaNa-mAtre kavi-prayatnasya viSrAnteH Sabda-mAtra-cAru-tvAt-idam
   kāvyaṃ camatkārītyucyate /	kAvyam camatkArI-iti-ucyate /
   vācyacārutvatātparye camatkāritaraṃ matam // Ckc_3.38 //	vAcya-cAru-tvatAtparye camatka-aritaram matam // Ckd-_3.38 //
   yathā	yaTA
   śrīsiṅgakṣitipāla tāvakacamūdhāṭībhayāṭīkitān ākārairapi śābarairapihitān	SrI-siFga-kzitipAla tA=-akacamU-DAwI-BayAwIkitAn AkArEH-api SAbarEH-apihitAn
   ghorāṅgaṇe phakkaṇe /	Gora-aFgaNe PakkaNe /
   ātmīyaiva hi paśyatāṃ piśunayatyābālagaupālakaṃ bhūpālātkuliśātapatra	AtmIya-eva hi paSyatAm piSuna-yati-AbAla-gOpAlakam BUpAlAt-kuliSa-Atapatra
   kalaśīcihnā padānāṃ tatiḥ // Ckc_3.*50 //	kalaSI-cihnA padAnAm tatiH // Ckd-_3.*50 //
   atra kaitavakirātānāṃ pratināyakānāṃ	atra kEtava-kirAtAnAm pratinAyakAnAm
   kulisādirājalakṣaṇalakṣitapadāvalīparijñānena yadime rājāna ityabhyūhanaṃ	kulisAdi-rAja-lakzaNa-lakzita-pada-AvalI-parijQAnena yat-ime rAjAnaH iti-aByUhanam
   so 'yamanumānāmaṅkāraḥ /	saH ayam-anumAnAm-aFkAraH /
   tatraiva kaviprayatnasya viśrāntiriti vācakākṣaramullaṅghya	tatra-eva kavi-prayatnasya viSrAntiH-iti vAcaka-akzaram-ullaFGya
   vācyacārutvatātparyāditaṃ camatkāritaramityucyate /	vAcya-cAru-tvatAt-paryAditam camatkAritaram-iti-ucyate /
   vyaṅgyarya caguṇībhāve tadevāhurmanīṣiṇaḥ /	vyaFgyarya caguNIBAve tat-eva-AhuH-manIziNaH /
   ihopasarjanībhūtamaṣṭadhā vyaṅgyamucyate // Ckc_3.39 //	iha-upasarjanIBUtam-azwaDA vyaFgyam-ucyate // Ckd-_3.39 //
   tathā cāhuḥ	taTA ca-AhuH
   agūḍhamaparasyāṅgaṃ vācyasiddhyaṅgamasphuṭam /	agUXam-aparasya-aFgam vAcya-sidDi-aFgama-sPuwam /
   sandigdhatulyaprādhānye kāvkākṣipta masundaram // Ckc_3.40 //	sandigDa-tulya-prADAnye kA-avka-Akzipta masundaram // Ckd-_3.40 //
   iti //	iti //
   agūḍhavyaṅgyaṃ yathā	agUXa-vyaFgyam yaTA
   kastūrīmṛgayūthasevitatalaiḥ karpūrapālīdrumair	kastUrI-mRga-yUTa-sevita-talEH karpUrapAlI-drumEH-
   ārāmānabhirāmatāmupagatānālokya rājācale /	ArAmAn-aBirAmatAm-upagatAn-Alokya rAja-acale /
   vismerā hṛdi pañcavarṇakaśukādākarṇya karṇotsavaṃ	vismerAH hRdi paQca-varNaka-SukAt-AkarNya karNa-utsavam
   śrīsiṅgakṣitipālavikramakalāṃ nandantyapūrve janāḥ // Ckc_3.*51 //	SrI-siFga-kzitipAla-vikrama-kalAm nandanti-apUrve janAH // Ckd-_3.*51 //
   atra vikramakalāmityarthaśaktimūlasya	atra vikrama-kalAm-iti-arTa-Sakti-mUlasya
   nānādvīpādhipaprahitasyopāyanaviśeṣarūpasya vyaṅgyasyoparyeva	nAnA-dvIpa-aDipa-prahitasya-upAyana-viSeza-rUpasya vyaFgyasya-upari-eva
   prabhāvādidamagūḍhaṃ vyaṅgyaṃ nāma camatkāritaraṃ kāvyam /	praBAva-Adi-dama-gUXam vyaFgyam nAma camatka-aritaram kAvyam /
   aparāṅgavyaṅgyaṃ yathā	aparAFga-vyaFgyam yaTA
   cūtālokabhiyā nimīlitadṛśo rañjanti bhāgāntaraṃ bandhūnāṃ ca kuhūbhiyā	cUta-Aloka-BiyA nimIlita-dRSaH raQjanti BAga-antaram banDUnAm ca kuhUBiyA
   śrutirudho nākarṇayantyo giraḥ /	Sruti-ruDaH na-AkarNayantyaH giraH /
   pāndhairbhūtabhiyā palāyanaparairnāveditādhvakramāḥ khidyanti	pAnDEH-BUta-BiyA palAyana-parEH-na-Avedita-aDva-kramAH Kidyanti
   tvadaristriyo vanabhuvi śrīsiṅgapṛthvīpate // Ckc_3.*52 //	tvad-ari-striyaH vana-Buvi SrI-siFga-pRTvIpate // Ckd-_3.*52 //
   atra śatrustrīvipralambhasya karuṇāṅgatvam /	atra Satru-strI-vipralamBasya karuNa-aFga-tvam /
   vācyasiddhyaṅgaṃ yathā	vAcya-sidDi-aFgam yaTA
   ṣaḍhbhiḥ ṣoḍhaśabhiḥ pūrvairgaurekā mahiṣī kṛtā /	zaXBiH zoXaSaBiH pUrvEH-gOH-ekA mahizI kRtA /
   saiva śrīsiṅgabhūpālakuñjareṇa viśīkṛtā // Ckc_3.*53 //	sA-eva SrI-siFga-BUpAla-kuQjareNa viSIkRtAH // Ckd-_3.*53 //
   atra vaśeti gajakāntālakṣaṇaṃ vyaṅgyaṃ	atra vaSa-iti gaja-kAntA-lakzaNam vyaFgyam
   bhūpālakuñjareṇetyatropamārūpakasandehe rūpakasiddhimupapādayatīti	BUpAla-kuQjareNa-iti-atra-upamA-rUpaka-sandehe rUpaka-sidDim-upapAdayati-iti
   vācyasiddhyaṅgamidam /	vAcya-sidDi-aFgam-idam /
   asphuṭaṃ yathā	asPuwam yaTA
   citraṃ śrīsiṅgabhūpālo vimathya ripuvāhinīm /	citram SrI-siFga-BUpAlaH vimaTya ripu-vAhinIm /
   vikiratyamṛtaṃ sarvaśravaṇānandakāraṇam // Ckc_3.*54 //	vikirati-amRtam sarva-SravaNa-Ananda-kAraNam // Ckd-_3.*54 //
   atra mandaraḥ samudraṃ vimathya keṣāṃcideva rasanānandakāraṇa	atra mandaraH samudram vimaTya kezAMcid-eva rasanA-nanda-kAraNa
   mamṛtamutpādayāmāsa /	mamRtam-utpAdayAmAsa /
   nāyakastu vāhinīṃ vimathya sarvalokaśravaṇānandakāraṇaṃ kīrtirūpamamṛtaṃ	nAyakaH-tu vAhinIm vimaTya sarva-loka-SravaNa-Ananda-kAraNam kIrti-rUpam-amRtam
   dikṣupūrayatīti mandarānnāyakasyādhikyapratipādanāt pratīyamānasya	dikzu-pUrayati-iti mandarAt-nAyakasya-ADikya-pratipAdanAt pratIyamAnasya
   vyatirekasya nātisphuṭatvam /	vyatirekasya na-ati-sPuwa-tvam /
   sandigdhavyaṅgyaṃ yathā	sandigDa-vyaFgyam yaTA
   śrīsiṅgabhūpapṛtanādhikṛtaiḥ niṣaṇṇair āsthānasaudhamaṇitoraṇavetikāsu /	SrI-siFga-BUpa-pRtana-aDikRtEH nizaNNEH AsTAna-sODa-maNi-toraNa-vetikAsu /
   ālokanena haridāgatarāja rājir- dṛṣṭā kapolatalakandalitasmitena //	Alokanena haridAgata-rAja rAjir dRzwA kapola-tala-kandalita-smitena //
   Ckc_3.*55 //	Ckd-_3.*55 //
   atra nānādigantāgatarājakagocaraṃ senāpatīnāṃ sasmitānalokanaṃ	atra nAnA-AdigantA-gata-rAjaka-gocaram senApatInAm sa-smitAn-alokanam
   saṃbhāvanābhiprāyeṇa vā raṇeṣu prabhūtatadīyakātaradaśāsmaraṇena veti	saMBAvanA-aBiprAyeNa vA raNezu praBUta-tadIyakAtara-daSA-smaraNena vA-iti
   sandehaḥ /	sandehaH /
   tulyaprādhānyavyaṅgyaṃ yathā	tulya-prADAni-a-vyaFgyam yaTA
   tava śrīsiṅgabhūpāla pratāpatapanodayaḥ /	tava SrI-siFga-BUpAla pratApa-tapana-udayaH /
   sātapatrān mahīpālān santāpayati santatam // Ckc_3.*56 //	sa-AtapatrAn mahIpAlAn santApayati santatam // Ckd-_3.*56 //
   atra sātapatrān śatrūn pratāpatapanaḥ santāpayatīti vācyasya nirātapatrān	atra sa-AtapatrAn SatrUn pratApa-tapanaH santApayati-iti vAcyasya nirAta-patrAn
   naḥ santāpayatīti vyaṅgyasya ca prādhānyaṃ samameva pratīyate /	naH santApayati-iti vyaFgyasya ca prADAnyam samam-eva pratIyate /
   kākvākṣiptaṃ yathā	kAkvAkziptam yaTA
   bhadrebhādaśanabhatakṣitidharagrāvaśriyo 'gre sthitāḥ rājirvā	BadreBA-t-aSana-Bata-kziti-Dara-grAva-SriyaH agre sTitAH rAjiH-vA
   javanirjitārkahayatā vibhrājināṃ vājinām /	java-nirjita-arka-hayatA viBrAjinAm vAjinAm /
   uddaṇḍapratigaṇḍabhairavavibhuṃ prāṇeśa śuddhāṅgaṇe hantādyāpi didṛkṣase	uddaNxa-pratigaNxa-BErava-viBum prANeSa SudDa-aFgaNe hantA-adya-api didRkzase
   na suhṛdaḥ prāṇā na cāhaṃ hitāḥ // Ckc_3.*57 //	na suhRdaH prANAH na ca-aham hitAH // Ckd-_3.*57 //
   atra pratināyakamuddiśya taddevīvākye gandhagajā vājino vā tavāgre na	atra pratinAyakam-uddiSya tad-devI-vAkye ganDa-gajAH vAjinaH vA tava-agre na
   sthitā prāṇāsva priyā evāhaṃ ca tava hitaiveti vyaṅgyaṃ pratīyamānamapi	sTitA prANAsva priyA eva-aham ca tava hitA-eva-iti vyaFgyam pratIyamAnam-api
   kuñjarādayo 'gre sthitā vā ityādi kākusahakāriṇā vācakaśabdenaivākṣipyata	kuQjara-AdayaH agre sTitAH vA ityAdi kAku-sahakAriNA vAcaka-Sabdena-eva-akzipyata
   ityupasarjanībhūtatvam /	iti-upasarjanIBUta-tvam /
   asundaraṃ yathā	asundaram yaTA
   dhātrīmatikramya parisphurantī bhujaṅgalokānabhitaśvarantī /	DAtrIm-atikramya parisPurantI BujaFga-lokAn-aBitaSvarantI /
   śrīsiṅgabhūpāla tava prabhāvāt ślāghyā hi kīrtiḥ sumanogṛheṣu // Ckc_3.*58	SrI-siFga-BUpAla tava praBAvAt SlAGyAH hi kIrtiH sumanaH-gRhezu // Ckd-_3.*58
   atra kīrteḥ dhūrtastriyā sāmyaṃ śabdaśaktipratītamapi vācyādanatiśāyīti na	atra kIrteH DUrta-striyA sAmyam Sabda-Sakti-pratItam-api vAcyAt-anatiSAyI-iti na
   sundaram /	sundaram /
   pratyeyārthasya cārutve camatkāritamaṃ matam // 40 //	pratyeya-arTasya cAru-tve camatka-aritamam matam // 40 //
   yathā	yaTA
   siṅgaprabhuralaṅkārī laṅkārī rāghavaḥ punaḥ /	siFga-praBuH-alaFkArI laFkArI rAGavaH punar /
   varṇāntaratvamubhayoḥ śrūyate sarvasammatam // Ckc_3.*59 //	varNa-antara-tvam-uBayoH SrUyate sarva-sammatam // Ckd-_3.*59 //
   atra varṇenākṣareṇāntaraṃ bhedo yayostacvamiti vācye pratiṣṭhite varṇo	atra varNena-akzareNa-antaram BedaH yayoH-tacvam-iti vAcye pratizWite varNaH-
   vaiśyajātirantaraṃ nāyakaraghunāyakayoriti parasparavyatirekālahkāro	vESya-jAtiH-antaram nAyaka-raGu-nAyakayoH-iti paraspara-vyatireka-AlahkAraH-
   vyaṅgyaḥ /	vyaFgyaH /
   tasyaiva kavitātparyaviśrāntidhāmatvāccārutvamiti camatkāritamatvam /	tasya-eva kavi-tAtparyaviSrAnti-DAma-tvAt-cArutvam-iti camatkAritamatvam /
   yathā vā	yaTA vA
   kṛtāyastambhanirbhedo bhaktaprahlādapoṣakaḥ /	kRta-aya-stamBa-nirBedaH Bakta-prahlAda-pozakaH /
   śrīpatinaṃrasiṃho 'yaṃ rājate rājaśekharaḥ // Ckc_3.*60 //	SrIpati-naMrasiMhaH ayam rAjate rAja-SeKaraH // Ckd-_3.*60 //
   atra śabdaśaktimūlo nāyakavaikuṇṭhakaṇṭhīravayorupamālaṅkāro vyajyate /	atra Sabda-Sakti-mUlaH nAyaka-vEkuNWa-kaNWIravayoH-upamA-alaFkAraH vyajyate /
   anena ca kṣaṇādiva nāyako nikhilavirodhividāraṇakriyāpariṇati	anena ca kzaNAt-iva nAyakaH niKila-viroDi-vidAraNa-kriyA-pariNati
   samarthanirvakraparākrama iti vidhirupaṃ vastu vyajyate /	samarTa-nirvakra-parAkramaH iti viDiH-upam vastu vyajyate /
   etena ca nāyakena saha virodho na karaṇīya iti niṣedharūpaṃ vastu, amunā	etena ca nAyakena saha viroDaH na karaNIyaH iti nizeDa-rUpam vastu, amunA
   ca nāyakapratibhaṭībhūtā mahīpālā nirbuddhaya ityutprekṣā vyajyate /	ca nAyaka-pratiBawIBUtAH mahIpAlAH nirbudDayaH iti-utprekzA vyajyate /
   anayā ca nāyakavirodhino naranāyakā daivaparāhatā ityutprekṣāparā vyajyate	anayA ca nAyaka-viroDinaH nara-nAyakAH dEva-parAhatA iti-utprekzA-parA vyajyate
   evaṃ pratiśatrupratibhāviśeṣapratyayārthaparaṃparāsamunmeṣasaṃpannatayā	evam pratiSatru-pratiBA-viSeza-pratyaya-arTa-paraMparAsamunmeza-saMpanna-tayA
   bāḍhamacintyamahimaviśrāntidhāmatāṃ nītaṃ tadidaṃ camatkāritamamityucyate	bAXam-acintya-mahima-viSrAnti-DAma-tAm nItam tat-idam camatkAritamam-iti-ucyate
   atra bhedaprapañco dhvanilocanādigrantheṣu draṣṭavyaḥ /	atra Beda-prapaQcaH Dvani-locana-Adi-granTezu drazwavyaH /
   gadyaṃ padyaṃ ca miśraṃ cetyetat sarvaṃ tridhā smṛtam /	gadyam padyam ca miSram ca-iti-etat sarvam triDA smRtam /
   apādaḥ padasandarbho gadyaṃ hṛdyaṃ manīṣiṇām // Ckc_3.41 //	apAdaH pada-sandarBaH gadyam hRdyam manIziNAm // Ckd-_3.41 //
   kīrtiratnaniṣadyāyāṃ gadye kasyāpi pāṭavam /	kIrti-ratna-nizadyAyAm gadye kasya-api pAwavam /
   gadyabandhamayaṃ kāvyaṃ śrīharṣacaritādikam // Ckc_3.42 //	gadya-banDa-mayam kAvyam SrI-harza-carita-Adikam // Ckd-_3.42 //
   catuṣpādānvitaṃ padyaṃ cādirmātreti tad dvidhā /	catuzpAda-anvitam padyam ca-AdiH-mAtra-iti tat dviDA /
   chandovicitikośeṣu tayorjñeyastu vistaraḥ // Ckc_3.43 //	CandaH-viciti-koSezu tayoH-jQeyaH-tu vistaraH // Ckd-_3.43 //
   padyabandhamayaṃ kāvyaṃ kṣudrākṣudratayā dvidhā // Ckc_3.44 //	padya-banDa-mayam kAvyam kzudrA-kzudra-tayA dviDA // Ckd-_3.44 //
   kṣudraṃ muktakakāvyaṃ tad bhāmahādyaiḥ prapañcitam /	kzudram muktaka-kAvyam tat BAmaha-AdyEH prapaQcitam /
   akṣudraṃ sargabandhādi praśastodāttavastukam // Ckc_3.45 //	akzudram sarga-banDa-Adi praSasta-udAtta-vastukam // Ckd-_3.45 //
   sadeśakālapātrādi varṇanāsampadujjvalam /	sa-deSa-kAla-pAtra-Adi varNanA-sampad-ujjvalam /
   trivargaphaladaṃ kāvyaṃ raghuvaṃśādikaṃ matam // Ckc_3.46 //	trivarga-Pala-dam kAvyam raGu-vaMSa-Adikam matam // Ckd-_3.46 //
   gadyapadyamayaṃ miśraṃ prekṣyaṃ śrāvyamiti ddidhā /	gadya-padya-mayam miSram prekzyam SrAvyam-iti ddiDA /
   prekṣyaṃ dvidhā rūpakākhyamuparūpakamityapi // Ckc_3.47 //	prekzyam dviDA rUpaka-AKyam-uparUpakam-iti-api // Ckd-_3.47 //
   rūpakaṃ daśadhā proktaṃ nāṭakādivibhedataḥ /	rUpakam daSaDA proktam nAwaka-Adi-viBedataH /
   mahāprabandhasāmrājyamādhikartumidaṃ kṣamam // Ckc_3.48 //	mahA-prabanDa-sAmrAjyam-ADika-rtum-idam kzamam // Ckd-_3.48 //
   siṅgabhūpālaracite rasārṇavasudhākare /	siFga-BUpAla-racite rasArNava-suDA-kare /
   asya prapañco vijñeyaḥ ke tathā vaktumīśate // Ckc_3.49 //	asya prapaQcaH vijQeyaH ke taTA vaktum-ISate // Ckd-_3.49 //
   uparupakamākhyātaṃ taddhi śrīgaditādikam /	uparupakam-AKyAtam tat-hi SrI-gadita-Adikam /
   bhāvaprakāśikādyeṣu tallakṣaṇamavekṣyate // Ckc_3.50 //	BAva-prakASika-Adyezu tad-lakzaNam-avekzyate // Ckd-_3.50 //
   śrāvyaṃ ca kathitaṃ campūrupacampūriti dvidhā /	SrAvyam ca kaTitam campUrupacampUH-iti dviDA /
   campūprabandhastatra syātkāntāṣṭādaśavarṇanaḥ // Ckc_3.51 //	campU-prabanDaH-tatra syAt-kAnta-azwAdaSa-varNanaH // Ckd-_3.51 //
   sa prabandha iti ślāghyo bhojarāmāyaṇādikaḥ /	sa prabanDaH iti SlAGyaH BojarAmAyaNa-AdikaH /
   upampūprabandhānāmiyattā kena gadyate // Ckc_3.52 //	upampU-prabanDAnAm-iyattA kena gadyate // Ckd-_3.52 //
   atrāpi kavisāmarthyādr bāṣātālādimiśraṇaiḥ /	atra-api kavi-sAmarTyAdr bAzA-tAla-Adi-miSraNEH /
   kalikotkalikādīnāṃ parināyāsavikalpanaiḥ // Ckc_3.53 //	kalikA-utkalikA-AdInAm parinAyAsa-vikalpanEH // Ckd-_3.53 //
   rasabhāvādibhedena saṃpadyante tathocitam /	rasa-BAva-Adi-Bedena saMpadyante taTA-ucitam /
   tathāpi prabhuvandyādiharṣaṇārabhaṭīspṛśām // Ckc_3.54 //	taTA-api praBu-vandi-Adi-harzaNa-AraBawI-spRSAm // Ckd-_3.54 //
   vakṣye ca caturbhadrādīnāṃ keṣāṃcidiha lakṣaṇam // Ckc_3.55 //	vakzye ca caturBadrA-AdInAm kezAMcid-iha lakzaNam // Ckd-_3.55 //
   padyānantarabaddhānāṃ gadyānāṃ hi yathāruci /	padyA-anantara-badDAnAm gadyAnAm hi yaTAruci /
   avaiṣamyādiyattāyā niyamo bhadramucyate // Ckc_3.56 //	avEzamyAdiyat-tAyAH niyamaH Badram-ucyate // Ckd-_3.56 //
   catvāri yatra tāni syustaccaturbhadramīritam // Ckc_3.57 //	catvAri yatra tAni syuH-tad-caturBadram-Iritam // Ckd-_3.57 //
   bhadraṃ ca satālamatālaṃ miśraṃ ceti trividham /	Badram ca sa-tAla-matAlam miSram ca-iti triviDam /
   yatra (padyānantaraṃ tricatura) padyāntatantrī caturamātrādi niyame	yatra (padyA-anantaram tricatura) padya-anta-tantrI catura-mAtra-Adi niyame
   kevalakalikotkalikānibandhaḥ tatsatālabhadram /	kevala-kalikA-utkalikA-nibanDaH tad-sa-tAlaBadram /
   tadidamudāharaṇādiṣu /	tat-idam-udAharaNa-Adizu /
   yatra padyānantaraṃ gadyāni kalikāśva tanmiśrabhadram /	yatra padyA-anantaram gadyAni kalikASva tat-miSraBadram /
   tadidaṃ caturbhadrādiviṣayam /	tat-idam caturBadrA-Adi-vizayam /
   caturbhadranibandhanāprakārastu	caturBadra-nibanDana-aprakAraH-tu
   yatkiñcidārabhaṭīvṛttiyogyamāśīrvādabhūṣitaṃ	yat-kiQci-dAra-BawI-vRtti-yogyam-ASIrvAda-BUzitam
   saṃbuddhivibhaktisaṃbhaktanāyakanāmāṅkitaṃ padyamādau nibadhnīyāt /	saMbudDi-viBakti-saMBakta-nAyaka-nAma-aFkitam padyam-AdO nibaDnIyAt /
   tato deva dhīra śūretyādi padopakramāṇi gadyānyantānuprāsavanti	tatas deva DIra SUra-ityAdi pada-upakramANi gadyAni-anta-anuprAsavanti
   samasaṃkhyayā vaktavyāni /	sama-saMKyayA vaktavyAni /
   paśvād gadyasaṃkhyātikrameṇa dvayordvayorādyantānuprāsasundaramākalanīyāḥ	paSvAt gadya-saMKyA-atikrameNa dvayoH-dvayoH-Adi-anta-anuprAsa-sundaram-AkalanIyAH
   kalikā itīdaṃ samuccitya bhadramityabhidhīyate /	kalikA iti-idam samuccitya Badram-iti-aBiDIyate /
   evaṃ caturṇāṃ bhadrāṇāṃ nibandhe caturbhadraḥ /	evam caturNAm BadrANAm nibanDe caturBadraH /
   evamaṣṭabhadrādayo 'pi tasyaivā vṛttito bhavantīti na pṛthagucyante /	evam-azwaBadra-AdayaH api tasya-evA vRttitaH Bavanti-iti na pRTak-ucyante /
   dvibhadramapi cecchanti bhāṣā naikavidhā yadi /	dvi-Badram-api ca-icCanti BAzA na-ekaviDAH yadi /
   khyātaṃ hi raktaṃ kalyāṇaṃ yogassaṃskṛtadeśyayoḥ // Ckc_3.58 //	KyAtam hi raktam kalyANam yoga-ssaMskRta-deSyayoH // Ckd-_3.58 //
   evaṃ bhāṣādvayīyoge yogyaṃ nāma prakalpayet // Ckc_3.59 //	evam BAzA-dvayI-yoge yogyam nAma prakalpayet // Ckd-_3.59 //
   tadeva nanābirudairaṅkitaṃ birudāvaliḥ /	tat-eva nanA-birudEH-aFkitam biH-uda-AvaliH /
   tattatsamayakrartavyasūcanādiphalā tu sā // Ckc_3.60 //	tad-tad-samaya-krartavya-sUcana-Adi-PalA tu sA // Ckd-_3.60 //
   varṇanīyaguṇotkarṣavatī bhogāvalī matā /	varNanIya-guNa-utkarzavatI Boga-AvalI matA /
   pratibhadraṃ samunnidradigantavijayaśramam // Ckc_3.61 //	pratiBadram samunnidra-diS-anta-vijaya-Sramam // Ckd-_3.61 //
   taccaturbhadramākhyātaṃ kovidairvijayāvalī /	tat-caturBadram-AKyAtam kovidEH-vijaya-AvalI /
   yatsatālabhadraṃ syāttadudāharaṇaṃ matam // Ckc_3.62 //	yat-sa-tAlaBadram syAt-tad-udAharaNam matam // Ckd-_3.62 //
   jayatyupakramodbhāsi mālinyākhyādipadyake /	jayati-upakrama-udBAsi mAlinya-AKya-Adi-padyake /
   vibhaktayaḥ kramādatra sapta saṃbuddhiraṣṭamī // Ckc_3.63 //	viBaktayaH kramAt-atra sapta saMbudDiH-azwamI // Ckd-_3.63 //
   pratibhadraṃ ca padyānte kalpayetkalikāṣṭakam /	pratiBadram ca padya-ante kalpayet-kalikA-azwakam /
   tataḥ saptadaśā vyastāḥ kalikārdhasamātṛkāḥ // Ckc_3.64 //	tatas saptadaSAH vyastAH kalikA-arDa-samAtRkAH // Ckd-_3.64 //
   tattadvibhaktyābhāsāntāḥ kuryādutkalikāstathā /	tad-tad-viBakti-ABAsa-antAH kuryAt-utkalikAH-taTA /
   ādyantānuprāsabhaktiḥ kalpanīyā dvayordvayoḥ // Ckc_3.65 //	Adi-anta-anuprAsa-BaktiH kalpanIyAH dvayoH-dvayoH // Ckd-_3.65 //
   vibhaktyābhāsaniyamā ladhvantāttālikena ca /	viBakti-ABAsa-niyamA laDvantAt-tAlikena ca /
   gadet sarvavibhaktyante padyaṃ sārthavibhaktikam // Ckc_3.66 //	gadet sarva-viBakti-ante padyam sArTa-viBaktikam // Ckd-_3.66 //
   āśīrvādasamāyuktamityudāharaṇakramaḥ /	ASIrvAda-samAyuktam-iti-udAharaNa-kramaH /
