   śrī-harināma-cintāmaṇi	SrI--hari-nAma-cintAmaNi
   vaiṣṇava uttama tini kṛṣṇa-nāma-sāra // HNC_4.84 //	vEzNavaH uttama tini kRzNa-nAma-sAraH // HNS_4.84 //
   madhyama vaiṣṇava-i sādhu sevā karena	maDyama vEzNava-i sADu sevA karena
   ataeva madhyama vaiṣṇava mahāśaya /	ataeva maDyama vEzNava mahA-ASayaH /
   sādhu sevā rata sadā thākena niścaya // HNC_4.85 //	sADu sevA rata sadA TAkena niScaya // HNS_4.85 //
   prākṛta vaiṣṇava nāmābhāsera adhikārī	prAkRta vEzNava nAma-ABAsera aDikArI
   prākṛta vaiṣṇava yei vaiṣṇavera prāya /	prAkRta vEzNava yei vEzNavera prAyas /
   nāmābhāse adhikārī sarva-śāstra pāya // HNC_4.86 //	nAma-ABAse aDikArI sarva-SAstra pAyo // HNS_4.86 //
   madhyama vaiṣṇava nāmādhikārī o nāmāparādha vicāra karibena	maDyama vEzNava nAma-aDikArI aH nAma-aparADa vicAra karibena
   madhyama vaiṣṇava mātra nāme adhikārī /	maDyama vEzNava mA-atra nAme aDikArI /
   śrī-nāma-bhajane aparādhera vicārī // HNC_4.87 //	SrI-nAma--Bajane aparADera vicArI // HNS_4.87 //
   uttama vaiṣṇave aparādha asambhava /	uttama vEzNave aparADa asamBavaH /
   sarvatra dekhena tini kṛṣṇera vaibhava // HNC_4.88 //	sarvatra deKena tini kRzNera vEBava // HNS_4.88 //
   nija nija adhikāra kariyā vicāra /	nija nija aDikAra kariyA vicAra /
   sādhu-nindā aparādha kari parihāra // HNC_4.89 //	sADu--nindA aparADa kari parihAraH // HNS_4.89 //
   sādhu saṅga sādhu sevā nāma saṅkīrtana /	sADu saFga sADu sevA nAma saFkIrtana /
   sarva jīve dayā ei bhakta ācaraṇa // HNC_4.90 //	sarva jIve dayA ei BaktaH AcaraNa // HNS_4.90 //
   sādhu nindā ghaṭile ki karā kartavya ?	sADu nindA Gawile ki karA kartavyaH ?
   pramāde yadyapi ghaṭe sādhu-vigarhaṇa /	pramAde yadi-api Gawe sADu--vigarhaNa /
   tabe anutāpe dhari se sādhu-caraṇa // HNC_4.91 //	tabe anutApe Dari se sADu--caraNa // HNS_4.91 //
   kāṅdiyā baliba prabho kṣami aparādha /	kAFdiyAH baliba praBo kzami aparADa /
   e duṣṭa-nindake kara vaiṣṇava-prasāda // HNC_4.92 //	e duzwa--nindake kara vEzNava--prasAda // HNS_4.92 //
   sādhu baḍa dayāmaya tabe ārdra-mane /	sADu baxa dayAmaya tabe Ardra-mane /
   kṣamibena aparādha kṛpā āliṅgane // HNC_4.93 //	kzamibena aparADa kRpAH AliFgane // HNS_4.93 //
   ei ta prathama aparādhera vicāra /	ei te praTamaH aparADera vicAra /
   śrī-caraṇe nivedinu ājñā anusāra // HNC_4.94 //	SrI--caraNe nivedinu AjQA anusAraH // HNS_4.94 //
   hari-dāsa pāda-padme bhrara ye jana /	hari-dAsa pAda--padme Brara ye janaH /
   hari-nāma-cintāmaṇi tāhāra jīvana // HNC_4.95 //	hari-nAma---cintAmaNi tAhAra jIvanaH // HNS_4.95 //
   iti śrī-hari-nāma-cintāmaṇau sādhu-nindāparādha-vicāro	iti SrI-hari-nAma---cintAmaNO sADu--nindA-parADa--vicAraH-
   nāma caturthaḥ paricchedaḥ /	nAma caturTaH paricCedaH /
   pañcama pariccheda	paQcama paricCeda
   devāntare svātantrya-jñānāparādha	deva-antare svAtantrya--jQAna-aparADa
   śivasya śrī-viṣṇor ya iha guṇa-nāmādi-sakalaṃ	Sivasya SrI-vizNoH yaH iha guNa-nAma-Adi-sakalam
   dhiyā bhinnaṃ paśyet sa khalu hari-nāmāhita-karaḥ	DiyA Binnam paSyet sa Kalu hari-nAma-ahita--karaH
   jaya gadādhara-prāṇa jāhnavā-jīvana /	jaya gadADara--prANa jAhnavA--jIvana /
   jaya sītānātha jaya gaura bhakta-jana // HNC_5.1 //	jaya sItAnATa jaya gOra Bakta--janaH // HNS_5.1 //
   haridāsa bale tabe kari yoḍa-hāta /	haridAsa bale tabe kari yoxa-hAtaH /
   dvitīyāparādha ebe śuna jagannātha // HNC_5.2 //	dvitIya-aparADaH ebe Suna jagannATa // HNS_5.2 //
   viṣṇu-tattva	vizNu--tattva-
   parama advaya jñāna viṣṇu para-tattva /	paramaH advaya jQAna vizNu para-tattva /
   cit-svarūpa jagadīśa sadā śuddha-sattva // HNC_5.3 //	cit--svarUpa jagadISa sadA SudDa--sattvaH // HNS_5.3 //
   goloka-vihārī kṛṣṇa se tattvera sāra /	goloka--vihArI kRzNa se tattvera sAraH /
   catuḥ-ṣaṣṭhi guṇe alaṅkṛta rasādhāra // HNC_5.4 //	catuH-zazWi guNe alaFkRta rasa-ADAra // HNS_5.4 //
   ṣaṣṭhi-guṇa nārāyaṇa svarūpe prakāśa /	zazWi-guNa nArAyaNa svarUpe prakASa /
   sei ṣaṣṭhi-guṇa viṣṇu-sāmānya-vilāsa // HNC_5.5 //	sei zazWi--guNa vizNu--sAmAnya-vilAsa // HNS_5.5 //
   puruṣāvatāre āra svāṃśa avatāre /	puruza-avatAre Ara sva-aMSa avatAre /
   sei ṣaṣṭhi-guṇa spaṣṭa kārya anusāre // HNC_5.6 //	sei zazWi--guNa spazwa kArya anusAre // HNS_5.6 //
   viṣṇura vibhinnāṃśera prakāra bheda jīvera pañcāśad-guṇa	vizNura viBinna-aMSera prakAra Beda jIvera paQcASat--guNa
   viṣṇura ye vibhinnāṃśa dui ta prakāra /	vizNuraH ye viBinna-aMSa dui te prakAra /
   pañcāśat guṇa jīve bindu bindu āra // HNC_5.7 //	paQcASat guNa jIve bindu bindu AraH // HNS_5.7 //
   giriśādi devatā vibhinnāṃśa haiyā-o sāmānya jīva nan tāṅhārā	giriSa-Adi devatA viBinna-aMSa hEyA-aH sAmAnya jIva nan tAFhArA
   pañcāśat-guṇa-viśiṣṭa	paQcASat--guNa--viSizwa
   giriśādi deve ei guṇa pañcāśat /	giriSa-Adi deve ei guNa paQcASat /
   tad-adhika parimāṇe sarvadā saṃyuta // HNC_5.8 //	tad--aDika parimANe sarvadA saMyuta // HNS_5.8 //
   tad-vyatīta āra pañca guṇa aṃśa māne /	tat--vyatIta Ara paQca guNa aMSa mAne /
   prakāśita āche tabe vicitra-vidhāne // HNC_5.9 //	prakASitaH ACe tabe vicitra--viDAne // HNS_5.9 //
   ṣaṣṭhi-guṇe viṣṇutva	zazWi-guNe vizNu-tva
   sei pañca pañcāśat guṇa-pūrṇa tāya /	sei paQca paQcASat guNa--pUrNa tAya /
   viṣṇute virājamāna sarva śāstre gāya // HNC_5.10 //	vizNute virAjamAna sarva SAstre gAya // HNS_5.10 //
   tad-vyatīta āra pañca-guṇa nārāyaṇe /	tat--vyatIta Ara paQca-guNa nArAyaNe /
   āche tāra sattā kabhu nāhi anya jane // HNC_5.11 //	ACe tAra sattA kaBu na-ahi anyaH jane // HNS_5.11 //
   ṣaṣṭhi-guṇe viṣṇu-tattva parama īśvara /	zazWi-guNe vizNu--tattva paramaH ISvara /
   giriśa ādi anya-deva tāṅhāra kiṅkara // HNC_5.12 //	giriSaH Adi anya-deva tAFhAra kiFkaraH // HNS_5.12 //
   vibhinnāṃśa giriśādi jīva śreṣṭhatara /	viBinna-aMSa giriSa-Adi jIva SrezWataraH /
   viṣṇu sarva-jīveśvara sarva-deveśvara // HNC_5.13 //	vizNu sarva-jIva-ISvara sarva-deva-ISvara // HNS_5.13 //
   ajñāna-vyakti anya devatāra sahita viṣṇuke samāna mane kare	ajQAna-vyakti anyaH devatAra sahita vizNuke samAna mane kare
   anya-deva saha sama viṣṇuke ye māne /	anya-deva saha sama vizNuke ye mAne /
   se baḍa ajñāna īśa-tattva nāhi jāne // HNC_5.14 //	se baxa ajQAnaH ISa--tattva nAhi jAne // HNS_5.14 //
   e jaḍa jagate viṣṇu parama īśvara /	e jaxa jagate vizNu paramaH ISvara /
   giriśādi yata deva tāṅra vidhikara // HNC_5.15 //	giriSa-Adi yata deva tAFra viDi-kara // HNS_5.15 //
   keha bale māyāra tri-guṇe tridiveśa /	kA-iha bale mAyAra tri-guNe tridiveSa /
   sarvadā samāna brahma tattva saviśeṣa // HNC_5.16 //	sarvadA samAna brahma tat-tva sa-viSeza // HNS_5.16 //
   nānāvidha vādānuvādera siddhānta	nAnAviDa vAda-anuvAdera sidDAnta
   śāstrera siddhānte tabu pūjya nārāyaṇa /	SAstrera sidDAnte tabu pUjya nArAyaNa /
   brahmā śiva sṛṣṭi-laya kāryera kāraṇa // HNC_5.17 //	brahmA Siva sRzwi-laya kAryera kAraNa // HNS_5.17 //
   vāsudeva chāḍi yei anya-deve bhaje /	vAsudeva CAxi yei anya-deve Baje /
   īśvara chāḍiyā sei saṃsārete maje // HNC_5.18 //	ISvara CAxiyA sei saMsArete maje // HNS_5.18 //
   keha bale, ṣ viṣṇu para-tattva baṭe jāni /	kA-iha bale, z vizNu para--tattva bawe jAni /
   sarva-viṣṇumaya viśva veda-vākya māni // HNC_5.19 //	sarva--vizNu-maya viSva veda-vAkya mAni // HNS_5.19 //
   ataeva sarva-deve viṣṇu adhiṣṭhāna /	ataeva sarva-deve vizNu aDizWAnaH /
   sarva devārcane haya viṣṇura samāna // HNC_5.20 //	sarva deva-arcane haya vizNuraH samAnaH // HNS_5.20 //
   ei ta niṣedha-para vākya vidhi naya /	ei te nizeDa--para vAkya viDi naya /
   anya deva pūjāra niṣedha ei haya // HNC_5.21 //	anyaH deva pUjAra nizeDaH ei haya // HNS_5.21 //
   sarva viṣṇu-maya viśva e kathā balile /	sarva vizNu-maya viSvaH e kaTA balile /
   viṣṇu-pūjā kaile saba deve pūjā mile // HNC_5.22 //	vizNu--pUjA kEle saba deve pUjA mile // HNS_5.22 //
   taru-mūle jala dile śākhāra ullāsa /	taru--mUle jala dile SAKAraH ullAsa /
   pallave ḍhālile jala vṛkṣera vināśa // HNC_5.23 //	pallave XAlile jala vRkzera vinASa // HNS_5.23 //
   ataeva pūji viṣṇu anya-deva tyaji /	ataeva pUji vizNu anya-deva tyaji /
   tāhātei anyadeva kāje kāje pūji // HNC_5.24 //	tAhAtei anyat-eva kAje kAje pUji // HNS_5.24 //
   ei vidhi - devera sammata cira-dina /	ei viDi  devera sammata cira-dinaH /
   durvipāke ei vidhi chāḍe arvācīna // HNC_5.25 //	durvipAke ei viDi CAxe arvAcInaH // HNS_5.25 //
   māyāvāda-doṣe jīva kali āgamane /	mAyA-vAda--doze jIva kali Agamane /
   bahu-deva pūje viṣṇu-sāmānya-darśane // HNC_5.26 //	bahu-deva pUje vizNu--sAmAnya--darSane // HNS_5.26 //
   eka eka deva eka eka phala dātā /	ekaH eka devaH ekaH eka Pala dAtA /
   sarva phala dātā viṣṇu sakalera pātā // HNC_5.27 //	sarva Pala dAtA vizNu sakalera pAtAH // HNS_5.27 //
   kāmi jana yadi tattva jānibāre pāre /	kAmi jana yadi tattva jAni-bAre pAre /
   viṣṇu pūji phala pāya chāḍe devāntare // HNC_5.28 //	vizNu pUji Pala pAya CAxe deva-antare // HNS_5.28 //
   gṛhastha vaiṣṇavera kartavya vidhāna	gRhasTa vEzNavera kartavya viDAna
   gṛhastha ha-iyā yei viṣṇu-bhakta haya /	gRhasTa ha-iyAH yei vizNu--Bakta haya /
   sarva-kārye kṛṣṇa pūje chāḍiyā saṃśaya // HNC_5.29 //	sarva-kArye kRzNa pUje CAxiyA saMSaya // HNS_5.29 //
   niṣekādi śmaśānānta saṃskāra yata /	nizeka-Adi SmaSAna-anta saMskAra yatas /
   tāhāte pūjaye kṛṣṇa veda mantra mata // HNC_5.30 //	tAhAte pUjaye kRzNa veda mantra mataH // HNS_5.30 //
   viṣṇu vaiṣṇavera pūjā vedete vidhāna /	vizNu vEzNavera pUjA vedete viDAna /
   deva-pitṛ-gaṇe kṛṣṇa nirmālya pradāna // HNC_5.31 //	deva--pitR--gaNe kRzNa nirmAlya pradAnaH // HNS_5.31 //
   māyāvādi-mate pitṛ-śrāddha yei kare /	mAyA-vAdi--mate pitR-SrAdDa yei kare /
   yevā anyadeva pūje aparādhe mare // HNC_5.32 //	yevA anyat-eva pUje aparADe mare // HNS_5.32 //
   viṣṇu-tattve dvaita-buddhi nāma aparādha /	vizNu--tattve dvEta-budDi nAma aparADa /
   sei aparādhe tāra haya bhakti bādha // HNC_5.33 //	sei aparADe tAra haya Bakti bADa // HNS_5.33 //
   śivādi devatā gaṇe pṛthak īśvara /	Siva-Adi devatAH gaNe pRTak ISvara /
   mānile nāmāparādha haya bhayaṅkara // HNC_5.34 //	mA-anile nAma-aparADa haya BayaFkara // HNS_5.34 //
   viṣṇu-śakti parā śakti haite deva yata /	vizNu--Sakti parA Sakti ha-ete deva yatas /
   bhinna śakti siddha naya vedera sammata // HNC_5.35 //	Binna Sakti sidDa naya vedera sammataH // HNS_5.35 //
   śiva-brahmā-gaṇapati-sūrya-dikpāla /	Siva-brahmA--gaNapati--sUrya-dikpAla /
   kṛṣṇa-śakti-balete īśvara cira-kāla // HNC_5.36 //	kRzNa--Sakti--balete ISvara cira-kAle // HNS_5.36 //
   ataeva pareśvara eka-mātra jāni /	ataeva para-ISvaraH eka-mA-atra jAni /
   āra saba deve tāṅra śakti-madhye gaṇi // HNC_5.37 //	Ara sa-ba deve tAFra Sakti-maDye gaNi // HNS_5.37 //
   ataeva sarva-kārye karma jaḍa bhāva /	ataeva sarva-kArye karma jaxa BAvaH /
   chāḍiyā gṛhastha pāya bhaktira sad-bhāva // HNC_5.38 //	CAxiyAH gRhasTa pAya Baktira sat--BAvaH // HNS_5.38 //
   ki rūpa vaiṣṇava gārhasthya dharma kariben	ki rUpa vEzNava gArhasTya Darma kariben
   bhaktira sad-bhāve thāki sat-kriyā karaṇe /	Baktira sat--BAve TAki sat--kriyA karaNe /
   deva-pitṛ-gaṇe tuṣe nirmālya arpaṇe // HNC_5.39 //	deva--pitR--gaNe tuze nirmAlya arpaNe // HNS_5.39 //
   bahu deva-devī pūjā karibe varjana /	bahu deva-devI pUjA karibe varjanaH /
   kṛṣṇa-bhakta bali sabe karibe tarpaṇa // HNC_5.40 //	kRzNa-Bakta bali sabe karibe tarpaNaH // HNS_5.40 //
   śrī-kṛṣṇa vaiṣṇavārcane sarva phala pāya /	SrI--kRzNa vEzNava-arcane sarva Pala pAyo /
   nāme aparādha nahe sadā nāma gāya // HNC_5.41 //	nAme aparADa na-he sadA nAma gAya // HNS_5.41 //
   varṇa-catuṣṭayera jīvana yātrā vidhi	varNa--catuzwayera jIvana yAtrA viDi
   jagate mānava-gaṇa varṇa-dharmācari /	jagate mAnava--gaNa varNa-Darma-Acari /
   karibeka jīvana-yātrā dharma patha dhari // HNC_5.42 //	kari-beka jIvana-yAtrA Darma paTa Dari // HNS_5.42 //
   antyajera vidhi	antyajera viDi
   saṅkara antyaja sabe tyaji nīca-dharma /	saFkara antyaja sabe tyaji nIca--DarmaH /
   śūdrācāra kare sadā saṃsārera karma // HNC_5.43 //	SUdra-AcAra kare sadA saMsArera karma // HNS_5.43 //
   saṅkara antyaja thākibeka śūdrācāre /	saFkara antyaja TAkibeka SUdra-AcAre /
   cāturvarṇa vinā dharma nāhika saṃsāre // HNC_5.44 //	cAturvarNa vinA Darma nAhika saMsAre // HNS_5.44 //
   varṇa-dharmera dvārā jīvana-yātrā kariyā saṃsāri vyakti bhakti-pathe	varNa-Darmera dvArA jIvana-yAtrA kariyA saMsAri vyakti Bakti-paTe
   bhāvārjana kariben	BAva-arjana karibet-
   cātur-varṇa varṇa-dharme karibe saṃsāra /	cAtur-varNa varNa-Darme karibe saMsAra /
   śuddha kṛṣṇa-bhakti bale habe sadācāra // HNC_5.45 //	SudDa kRzNa-Bakti bale habe sat-AcAra // HNS_5.45 //
   cātur-varṇa yadyapi śrī-kṛṣṇa nāhi bhaje /	cAtur-varNa yadi-api SrI--kRzNa nA-hi Baje /
   varṇa-dharmācāre thāki rauravete maje // HNC_5.46 //	varNa-Darma-AcAre TAki rOravete maje // HNS_5.46 //
   varṇa vinā gṛhasthera nāhi āra dharma /	varNa vinA gRhasTera na-ahi Ara DarmaH /
   varṇa dharmācāre gṛhasthera saba karma // HNC_5.47 //	varNa Darma-AcAre gRhasTera sa-ba karma // HNS_5.47 //
   varṇa-dharme e saṃsāra nirvāha karibe /	varNa-Darme e saMsAra nirvAha karibe /
   yāvad artha parigrahe śrī-kṛṣṇa bhajibe // HNC_5.48 //	yAvat arTa parigrahe SrI-kRzNa Bajibe // HNS_5.48 //
   nisargataḥ vidhi-vākya ye paryanta nara /	nisargataH viDi-vAkya ye paryanta nara /
   varṇa-dharma sva-nirvāhe karibe ādara // HNC_5.49 //	varNa-Darma sva--nirvAhe karibe Adara // HNS_5.49 //
   bhakti-yoga-nāme ei tattva-nirūpaṇa /	Bakti-yoga-nAme ei tattva--nirUpaNa /
   bhakti-yoge bhāvodaya siddhānta-vacana // HNC_5.50 //	Bakti-yoge BAva-udaya sidDAnta--vacanaH // HNS_5.50 //
   bhāvodaye vidhira pravṛtti nāhi raya /	BAva-udaye viDira pravRtti na-ahi rayaH /
   bhāvodita kārye deha-yātrā siddha haya // HNC_5.51 //	BAva-udita kArye deha-yAtrA sidDa haya // HNS_5.51 //
   gṛhi-vaiṣṇavera ei advaya-sādhana /	gRhi--vEzNaveraH ei advaya--sADana /
   śrī-viṣṇu advaya-tattve dvaita-nivartana // HNC_5.52 //	SrI--vizNu advaya--tattve dvEta--nivartana // HNS_5.52 //
   nāma-nāmī o guṇa-guṇīra abhede viṣṇu-jñāna śuddha haya	nAma-nAmI aH guNa-guNIra aBede vizNu--jQAna SudDa haya
   āra eka kathā āche dvaita-nivartane /	AraH eka kaTAH ACe dvEta--nivartane /
   viṣṇu-nāma viṣṇu-rūpa viṣṇu-guṇa-gaṇe // HNC_5.53 //	vizNu--nAma vizNu--rUpa vizNu--guNa--gaNe // HNS_5.53 //
   viṣṇu haite pṛthag rūpe nā mānibe kabhu /	vizNu ha-ete pRTak rUpe nA mAnibe kaBu /
   advaya akhaṇḍa viṣṇu cinmayatve vibhu // HNC_5.54 //	advaya aKaNxa vizNu cit-maya-tve viBu // HNS_5.54 //
   ajñānete yadi haya dvaita upadrava /	ajQAn-ete yadi haya dvEtaH upadrava /
   nāmābhāsa haya tāra prema asambhava // HNC_5.55 //	nAma-ABAsa haya tAra prema asamBavaH // HNS_5.55 //
   sad-guru-kṛpāya sei anartha vināśa /	sat--guru--kRpAya sei anarTa vinASa /
   bhajite bhajite śuddha-nāmera prakāśa // HNC_5.56 //	Bajite Bajite SudDa-nAmera prakASa // HNS_5.56 //
   māyāvādīra kutarka o aparādha	mAyA-vAdIra kutarkaH aH aparADa
   mata-vāda-jñāne dvaita haila pravartana /	mata-vAda--jQAne dvEta ha-ela pravartana /
   aparādha haya āra nahe nivartana // HNC_5.57 //	aparADa hayaH Ara na-he nivartana // HNS_5.57 //
   māyāvādī bale brahma haya para-tattva /	mAyA-vAdI bale brahma haya para-tattva /
   nirviśeṣa nirvikāra nirākāra sattva // HNC_5.58 //	nirviSeza nirvikAra nirAkAra sattvaH // HNS_5.58 //
   viṣṇu-rūpa viṣṇu-nāma māyāya kalpita /	vizNu--rUpa vizNu-nAma mAyAya kalpita /
   māyā antardhāne viṣṇu hana brahma-gata // HNC_5.59 //	mAyA antarDAne vizNu hana brahma-gataH // HNS_5.59 //
   e saba kutarka mātra satya śūnyavāda /	e saba kutarka mA-atra satya SUnya-vAdaH /
   para-tattve sarva-śakti abhāva-pramāda // HNC_5.60 //	para-tattve sarva-Sakti aBAva--pramAdaH // HNS_5.60 //
   śaktimān brahma yei sei viṣṇu haya /	SaktimAn brahma yei sei vizNu haya /
   nāmera vivāda-mātra vedera nirṇaya // HNC_5.61 //	nAmera vivAda-mA-atra vedera nirNaya // HNS_5.61 //
   viṣṇu o brahma-tattvera sambandha	vizNu aH brahma--tattvera sambanDa
   viṣṇu para-tattva tāṅra nirviśeṣa dharma /	vizNu para--tattva tAFra nirviSeza DarmaH /
   saviśeṣa dharma saha haya eka marma // HNC_5.62 //	sa-viSeza Darma saha hayaH eka marma // HNS_5.62 //
   viṣṇura acintya-śakti virodha-bhañjana /	vizNuraH acintya--Sakti viroDa--BaQjanaH /
   anāyāse kari kare saundarya sthāpana // HNC_5.63 //	anAyAse kari kare sOndarya sTApana // HNS_5.63 //
   jīva-buddhi sahajete ati alpatara /	jIva-budDi sahajete ati alpataraH /
   acintya-śaktira bhāva nā kare gocara // HNC_5.64 //	acintya--SaktiH-a BAva nA kare gocara // HNS_5.64 //
   nija-buddhye cāhe eka sthāpite īśvara /	nija--budDye ca-ahe eka sTApite ISvara /
   khaṇḍa-jñāne pāya brahma-tattvete avara // HNC_5.65 //	KaNxa--jQAne pAya brahma-tattvete avaraH // HNS_5.65 //
   viṣṇura parama pada chāḍi devārcita /	vizNuraH parama pada CAxi deva-arcitaH /
   brahme baddha haya nāhi bujhe hitāhita // HNC_5.66 //	brahme badDa haya na-ahi buJe hita-ahita // HNS_5.66 //
   cinmaya-svarūpa-jñāna ye bujhite jāne /	cit-maya--svarUpa-jQAna ye buJite jAne /
   viṣṇu viṣṇu-nāma-guṇa eka kari māne // HNC_5.67 //	vizNu vizNu--nAma-guNaH eka kari mAne // HNS_5.67 //
   ei ta viśuddha jñāna śrī-kṛṣṇa-svarūpa /	ei te viSudDa jQAna SrI--kRzNa--svarUpa /
   sambandha buddhite labhi bhaje nāma-rūpa // HNC_5.68 //	sambanDa budDite laBi Baje nAma--rUpaH // HNS_5.68 //
   śiva o viṣṇura ki rūpe abheda-buddhi karibe	SivaH aH vizNuraH ki rUpe aBeda-budDi karibe
   jaḍa-nāma jaḍa-rūpa-guṇe yei bheda /	jaxa--nAma jaxa--rUpa-guNe yei Beda /
   se bheda cit-tattve nāi ei ta prabheda // HNC_5.69 //	se Beda cit--tattve nAi ei te praBeda // HNS_5.69 //
   viṣṇu-tattve bheda-jñāna anartha vikāra /	vizNu--tattve Beda-jQAna anarTa vikAra /
   śivete viṣṇute bheda ati avicāra // HNC_5.70 //	Sivete vizNute BedaH ati avicAra // HNS_5.70 //
   bhakta o māyāvādīra ācāra o pravṛtti bheda	BaktaH aH mAyA-vAdIraH AcAraH aH pravRtti Beda
   nāmaika-śaraṇa yei bhakti mahājana /	nAma-eka-SaraNa yei Bakti mahAjana /
   ekeśvara kṛṣṇe bhaji chāḍe anya jana // HNC_5.71 //	ekeSvara kRzNe Baji CAxe anyaH janaH // HNS_5.71 //
   anya-deva anya-śāstra nindā nāhi kare /	anya-deva anya-SAstra nindA na-ahi kare /
   kṛṣṇa-dāsa bali anye pūje samādare // HNC_5.72 //	kRzNa-dAsa bali anye pUje samAdare // HNS_5.72 //
   pratidina gṛhi-bhakta nirmālya arpaṇe /	pratidina gRhi-Bakta nirmAlya arpaNe /
   deva pitṛ sarva jīve karena tarpaṇe // HNC_5.73 //	deva pitR sarva jIve karena tarpaNe // HNS_5.73 //
   yathā yathā anya deve karena darśana /	yaTA yaTA anyaH deve karena darSanaH /
   kṛṣṇa-dāsa bali tāṅre karena vandana // HNC_5.74 //	kRzNa-dAsa bali tAFre karena vandanaH // HNS_5.74 //
   māyāvādi-gaṇa yadi viṣṇu-pūjā kare /	mAyA-vAdi-gaNa yadi vizNu--pUjA kare /
   prasāda nirmālya bhakta nāhi laya ḍare // HNC_5.75 //	prasAda nirmAlya Bakta nAhi laya xare // HNS_5.75 //
   māyāvādī hari-nāme aparādhī haya /	mAyA-vAdI hari-nAme aparADI haya /
   tāhāra pradatta pūjā hari nāhi laya // HNC_5.76 //	tAhAra pradatta pUjA hari na-ahi layaH // HNS_5.76 //
   anya-deva-nirmālya grahaṇe aparādha /	anya-deva--nirmAlya grahaNe aparADa /
   śuddha bhakti sādhane sarvadā sādhe bādha // HNC_5.77 //	SudDa Bakti sADane sarvadA sADe bADa // HNS_5.77 //
   tabe yadi śuddha bhakta śrī-kṛṣṇa pūjiyā /	tabe yadi SudDa Bakta SrI--kRzNa pUjiyA /
   anya deve pūjā kare tat-prasāda diyā // HNC_5.78 //	anyaH deve pUjA kare tat-prasAda diyA // HNS_5.78 //
   se prasāda grahaṇete nāhi aparādha /	se prasAda grahaNete na-ahi aparADa /
   sei rūpa devārcane nāhi bhakti-bādha // HNC_5.79 //	sei rUpa deva-arcane nAhi Bakti-bADa // HNS_5.79 //
   śuddha-bhakta nāma aparādhī nāhi haya /	SudDa-Bakta nAma aparADI na-ahi haya /
   nāma kari' prema pāya nāme deya jaya // HNC_5.80 //	nAma kari-a prema pAya nAme deya jaya // HNS_5.80 //
   ei aparādhera pratikāra	ei aparADera pratikAra
   pramāde yadyapi haya anye viṣṇu-jñāna /	pramAde yadi-api haya anye vizNu--jQAnaH /
   tabe anutāpe kari viṣṇu-tattva-dhyāna // HNC_5.81 //	tabe anutApe kari vizNu--tattva--DyAnaH // HNS_5.81 //
   śrī-viṣṇu smariyā kari aparādha kṣaya /	SrI--vizNu smariyA kari aparADa kzayaH /
   yatne dekhi āra nā se aparādha haya // HNC_5.82 //	yatne deKi Ara nA se aparADa haya // HNS_5.82 //
   pūrva doṣa kṣamā śīla bhaktera bāndhava /	pUrva doza kzamA SIla Baktera bAnDava /
   dayāra sāgara kṛṣṇa kṣamāra arṇava // HNC_5.83 //	dayAra sAgara kRzNa kzamAra arNava // HNS_5.83 //
   bahu deva sevi saṅga kariba varjana /	bahu deva sevi saFga kariba varjanaH /
   ekeśvara vaiṣṇavera kariba pūjana // HNC_5.84 //	ekeSvara vEzNavera kariba pUjane // HNS_5.84 //
