   atha śrīvāmanapurāṇam	aTa SrIvAmanapurANam
   tataḥ krodhābhibhūtena bhānunā ripubhedibhiḥ /	tatas kroDa aBiBUtena BAnunA ripu BediBiH /
   bhānubhī rākṣasapuraṃ tad dṛṣṭaṃ ca yathaicchayā // VamP_16.38 //	BAnuBiH rAkzasa puram tat dRzwam ca yaTA EcCayA // VamP_16.38 //
   sa bhānunā tadā dṛṣṭaḥ krodhādhmātena catruṣā /	sa BAnunA tadA dRzwaH kroDa ADmAtena catruzA /
   nipapātāmbarād bhraṣṭaḥ kṣīṇapuṇya iva grahaḥ // VamP_16.39 //	nipapAta ambarAt BrazwaH kzINa puNyaH iva grahaH // VamP_16.39 //
   patamānaṃ samālokya puraṃ śālakaṭaṅkaṭaḥ /	patamAnam samAlokya puram SAla kawaFkawaH /
   namo bhavāya śarvāya idamuccairudīrayat // VamP_16.40 //	namaH BavAya SarvAya idam uccEs udIrayat // VamP_16.40 //
   tamākranditamākarṇya cāraṇā gaganecarāḥ /	tam Akranditam AkarNya cAraNAH gaganecarAH /
   hā deti cukruśuḥ sarve harabhaktaḥ patatyasau // VamP_16.41 //	hA deti cukruSuH sarve hara BaktaH patati asO // VamP_16.41 //
   taccāraṇavacaḥ śarvaḥ śrutavān sarvago 'vyayaḥ /	tad cAraNa vacaH SarvaH SrutavAn sarva gaH avyayaH /
   śrutvā saṃcintayāmāsa kenāsau pātyate bhuvi // VamP_16.42 //	SrutvA saMcintayAmAsa kena asO pAtyate Buvi // VamP_16.42 //
   jñātavān devapatinā sahasrakiraṇena tat /	jQAtavAn devapatinA sahasra kiraNena tat /
   pātitaṃ rākṣasapuraṃ tataḥ kruddhastrilocanaḥ // VamP_16.43 //	pAtitam rAkzasa puram tatas krudDaH trilocanaH // VamP_16.43 //
   kruddhastu bhagavantaṃ taṃ bhānumantamapaśyata /	krudDaH tu Bagavantam tam BAnumantam apaSyata /
   dṛṣṭamātrastriṇetreṇa nipapāta tato 'mabarāt // VamP_16.44 //	dRzwa mAtraH triNetreNa nipapAta tatas amabarAt // VamP_16.44 //
   gaganāt sa paribhraṣṭaḥ pathi vāyuniṣevite /	gaganAt sa pariBrazwaH paTi vAyu nizevite /
   yadṛcchayā nipatito yantramukto yathopalaḥ // VamP_16.45 //	yadRcCayA nipatitaH yantra muktaH yaTopalaH // VamP_16.45 //
   tato vāyupathānmuktaḥ kiṃśukojjvalavigrahaḥ /	tatas vAyu paTAt muktaH kiMSuka ujjvala vigrahaH /
   nipapātāntarikṣāt sa vṛtaḥ kinnaracāraṇaiḥ // VamP_16.46 //	nipapAta antarikzAt sa vRtaH kinnara cAraNEH // VamP_16.46 //
   cāraṇerveṣṭito bhānuḥ pravibhātyambarāt patan /	cAraNeH vezwitaH BAnuH praviBAti ambarAt patan /
   arddhapakvaṃ yathā tālāt phalaṃ kapibhirāvṛtam // VamP_16.47 //	ardDa pakvam yaTA tAlAt Palam kapiBiH AvRtam // VamP_16.47 //
   tatastu ṛṣayo 'bhyetya pratyūcurbhānumālinam /	tatas tu RzayaH aByetya pratyUcuH BAnumAlinam /
   nipatasva harikṣetre yadi śreyo 'bhivāñchasi // VamP_16.48 //	nipatasva hari kzetre yadi SreyaH aBivAQCasi // VamP_16.48 //
   tato 'vravīt patanneva vivasvāṃstāṃstapodhanān /	tatas avravIt patan= eva vivasvAn= tAn= tapoDanAn /
   kiṃ tat kṣetraṃ hareḥ puṇyaṃ vadadhvaṃ śīghrameva me // VamP_16.49 //	kim tat kzetram hareH puNyam vadaDvam SIGram eva me // VamP_16.49 //
   tamūcurmunayaḥ sūryaṃ śṛṇu kṣetraṃ mahāphalam /	tam UcuH munayaH sUryam SRNu kzetram mahA Palam /
   sāmprataṃ vāsudevasya bhāvi tacchaṅkarasya ca // VamP_16.50 //	sAmpratam vAsudevasya BAvi tad SaFkarasya ca // VamP_16.50 //
   yogaśāyinamārabhya yāvat keśavadarśanam /	yoga SAyinam AraBya yAvat keSava darSanam /
   etat kṣetraṃ hareḥ puṇyaṃ nāmnā vārāṇasī purī // VamP_16.51 //	etat kzetram hareH puNyam nAmnA vArANasI purI // VamP_16.51 //
   tacchrutvā bhagavān bhānurbhavanetrāgnitāpitaḥ /	tat SrutvA BagavAn BAnuH Bava netra agni tApitaH /
   varaṇāyāstathaivāsyāstvantare nipapāta ha // VamP_16.52 //	varaNAyAH taTA eva asyAH tu antare nipapAta ha // VamP_16.52 //
   tataḥ pradahyati tanau nimajyāsyāṃ lulad raviḥ /	tatas pradahyati tanO nimajya asyAm lulat raviH /
   varaṇāyāṃ samabhyetya nyamajjata yathecchayā // VamP_16.53 //	varaNAyAm samaByetya nyamajjata yaTA icCayA // VamP_16.53 //
   bhuyo 'siṃ varaṇāṃ bhūyo bhūyo 'pi varaṇāmasim /	BuyaH asim varaNAm BUyas BUyas api varaNAm asim /
   lulaṃstriṇetravahnyārtto bhramate 'lātacakravat // VamP_16.54 //	lulan= triNetra vahni ArttaH Bramate alAta cakra vat // VamP_16.54 //
   etasminnantare brahman ṛṣayo yakṣarākṣasāḥ /	etasmin= antare brahman RzayaH yakza rAkzasAH /
   nāgā vidyādharāścāpi pakṣiṇo 'psarasastathā // VamP_16.55 //	nAgAH vidyADarAH ca api pakziNaH apsarasaH taTA // VamP_16.55 //
   yāvanto bhāskararathe bhūtapretādayaḥ sthitāḥ /	yAvantaH BAskara raTe BUta preta AdayaH sTitAH /
   tāvanto brahmasadanaṃ gatā vedayituṃ mune // VamP_16.56 //	tAvantaH brahma sadanam gatAH vedayitum mune // VamP_16.56 //
   tato brahma surapatiḥ suraiḥ sārdha samabhyagātaṭ /	tatas brahma surapatiH surEH sa arDa samaByagA taw /
   ramyaṃ maheśvarāvāsaṃ mandaraṃ ravikāraṇāt // VamP_16.57 //	ramyam maheSvara AvAsam mandaram ravi kAraNAt // VamP_16.57 //
   gatvā dṛṣṭvā ca deveśaṃ śaṅkaraṃ śūlapāṇinam /	gatvA dRzwvA ca deveSam SaFkaram SUlapANinam /
   prasādya bhāskarārthāya vārāṇasyāmupānayat // VamP_16.58 //	prasAdya BAskara arTAya vArANasyAm upAnayat // VamP_16.58 //
   tato divākaraṃ bhūyaḥ pāṇinādāya śaṅkaraḥ /	tatas divAkaram BUyas pANinA AdAya SaFkaraH /
   kṛtvā nāmāsya loleti rathamāropayat punaḥ // VamP_16.59 //	kRtvA nAma asya lola iti raTam Aropayat punar // VamP_16.59 //
   āropite dinakare brahmābhyetya sukeśinam /	Aropite dinakare brahma aByetya su keSinam /
   sabāndhavaṃ sanagaraṃ punarāropayad divi // VamP_16.60 //	sa bAnDavam sa nagaram punar Aropayat divi // VamP_16.60 //
   samāropya sukeśiṃ ca pariṣvajya ca śaṅkaram /	samAropya sukeSim ca parizvajya ca SaFkaram /
   praṇamya keśavaṃ devaṃ vairājaṃ svagṛhaṃ gataḥ // VamP_16.61 //	praNamya keSavam devam vErAjam sva gRham gataH // VamP_16.61 //
   evaṃ purā nārada bhāskareṇa puraṃ sukeśerbhuvi sannipātitam /	evam purA nArada BAskareNa puram su keSeH Buvi sannipAtitam /
   divākaro bhūmitale bhavena kṣiptastu dṛṣṭyā na ca saṃpradagdhaḥ //	divAkaraH BUmi tale Bavena kziptaH tu dRzwyA na ca saMpradagDaH //
   VamP_16.62 //	VamP_16.62 //
   āropito bhṛmitalād bhavena bhūyo 'pi bhānuḥ pratibhāsanāya /	AropitaH BRmi talAt Bavena BUyas api BAnuH pratiBAsanAya /
   svayaṃbhuvā cāpi niśācarendras tvāropitaḥ khe sapuraḥ sabandhuḥ //	svayaMBuvA ca api niSAcara indraH tu AropitaH Ke sa puraH sa banDuH //
   VamP_16.63 //	VamP_16.63 //
   iti śrīvāmanapurāṇe ṣoḍaśo 'dhyāyaḥ	iti SrI vAmanapurANe zoxaSaH aDyAyaH
   nārada uvāca /	nAradaH uvAca /
   yānetān bhagavān prāha kāmibhiḥ śaśinaṃ prati /	yAn etAn BagavAn prAha kAmiBiH SaSinam prati /
   ārādhanāya devābhyāṃ harīśābhyāṃ vadasva tān // VamP_17.1 //	ArADanAya devAByAm hari ISAByAm vadasva tAn // VamP_17.1 //
   pulastya uvāca/ /	pulastyaH uvAca/ /
   śṛṇuṣva kāmibhiḥ proktān vratān puṇyān kalipriya /	SRNuzva kAmiBiH proktAn vratAn puNyAn kali priya /
   ārādhanāya śarvasya keśavasya ca dhīmataḥ // VamP_17.2 //	ArADanAya Sarvasya keSavasya ca DImataH // VamP_17.2 //
   yadā tvāṣāḍhī saṃyāti vrajate cottarāyaṇam /	yadA tu AzAXI saMyAti vrajate ca uttarAyaNam /
   tadā svapiti deveśo bhogibhoge śriyaḥ patiḥ // VamP_17.3 //	tadA svapiti deveSaH Bogi Boge SriyaH patiH // VamP_17.3 //
   pratisupte vibhau tasmin devagandharvaguhyakāḥ /	pratisupte viBO tasmin deva ganDarva guhyakAH /
   devānāṃ mātaraścāpi prasuptāścāpyanukramāt // VamP_17.4 //	devAnAm mAtaraH ca api prasuptAH ca api anukramAt // VamP_17.4 //
   nārada uvāca/ /	nAradaH uvAca/ /
   kathayasva kurādīnāṃ śayane vidhimuttamam /	kaTayasva kura AdInAm Sayane viDim uttamam /
   sarvamanukrameṇaiva puraskṛtya janārdanam // VamP_17.5 //	sarvam anukrameNa eva puraskRtya janArdanam // VamP_17.5 //
   pulastya uvāca /	pulastyaH uvAca /
   mithunābhigate sūrye śuklapakṣe tapodhana /	miTuna aBigate sUrye Sukla pakze tapoDana /
   ekādaśyāṃ jagatsvāmī śayanaṃ parikalpayet // VamP_17.6 //	ekAdaSyAm jagatsvAmI Sayanam parikalpayet // VamP_17.6 //
   śeṣāhibhogaparyaṅkaṃ kṛtvā saṃpūjya keśavam /	Seza ahi Boga paryaFkam kRtvA saMpUjya keSavam /
   kṛtvopavītakaṃ caiva samyaksaṃpūjya vai dvijān // VamP_17.7 //	kRtvA upavItakam ca eva samyak saMpUjya vE dvijAn // VamP_17.7 //
   anujñānaṃ brāhmaṇebhyaśca dvādaśyāṃ prayataḥ śuciḥ /	anujQAnam brAhmaNeByaH ca dvAdaSyAm prayataH SuciH /
   labdhvā pītāmbaradharaḥ svasti nidrāṃ samānayet // VamP_17.8 //	labDvA pIta ambara DaraH svasti nidrAm samAnayet // VamP_17.8 //
   trayodaśyāṃ tataḥ kāmaḥ svapate śayane śubhe /	trayodaSyAm tatas kAmaH svapate Sayane SuBe /
   kadambānāṃ sugandhānāṃ kusumaiḥ parikalpite // VamP_17.9 //	kadambAnAm suganDAnAm kusumEH parikalpite // VamP_17.9 //
   caturdaśyāṃ tato yakṣāḥ svapanti sukhaśītale /	caturdaSyAm tatas yakzAH svapanti suKa SItale /
   sauvarṇapaṅkajakṛte sukhāstīrṇopadhānake // VamP_17.10 //	sOvarNa paFkaja kRte suKa AstIrNa upaDAnake // VamP_17.10 //
   paurmamāsyāmumānāthaḥ svapate carmasaṃstare /	pOrmamAsyAm umA nATaH svapate carma saMstare /
   vaiyāghre ca jaṭābhāraṃ samudgranthyānyacarmaṇā // VamP_17.11 //	vEyAGre ca jawA BAram samudgranTya anya carmaNA // VamP_17.11 //
   tato divākaro rāśiṃ saṃprayāti ca karkaṭam /	tatas divAkaraH rASim saMprayAti ca karkawam /
   tato 'marāṇāṃ rajanī bhavate dakṣiṇāyanam // VamP_17.12 //	tatas amarANAm rajanI Bavate dakziNAyanam // VamP_17.12 //
   brahmā pratipadi tathā nīlotpalamaye 'nagha /	brahmA pratipadi taTA nIlotpala maye anaGa /
   talpe svapiti lokānāṃ darśayan mārgamuttamam // VamP_17.13 //	talpe svapiti lokAnAm darSayan mArgam uttamam // VamP_17.13 //
   viśvakarmā dvitīyāyāṃ tṛtīyāyāṃ gireḥ sutā /	viSvakarmA dvitIyAyAm tRtIyAyAm gireH sutA /
   vināyakaścurthyā tu pañcamyāmapi dharmarāṭ // VamP_17.14 //	vinAyakaH curTyA tu paQcamyAm api DarmarAj // VamP_17.14 //
   ṣaṣṭhyāṃ skandaḥ prasvapiti saptamyāṃbhagavān raviḥ /	zazWyAm skandaH prasvapiti saptamyAMBagavAn raviH /
   kātyāyanī tathāṣṭamyāṃ navamyāṃ kamalālayā // VamP_17.15 //	kAtyAyanI taTA azwamyAm navamyAm kamala AlayA // VamP_17.15 //
   daśamyāṃ bhujagendrāśca svapante vāyubhojanāḥ /	daSamyAm Bujaga indrAH ca svapante vAyu BojanAH /
   ekādaśyāṃ tu kṛṣṇāyāṃ sādhyā brahman svapanti ca // VamP_17.16 //	ekAdaSyAm tu kRzNAyAm sADyAH brahman svapanti ca // VamP_17.16 //
   eṣa kramaste gadito nabhādau svapane mune /	eza kramaH te gaditaH naBa AdO svapane mune /
   svapatsu tatra deveṣu prāvṛṭkālaḥ samāyayau // VamP_17.17 //	svapatsu tatra devezu prAvRz kAlaH samAyayO // VamP_17.17 //
   kaṅkāḥ samaṃ balākābhirārohanti nagottamān /	kaFkAH samam balAkABiH Arohanti naga uttamAn /
   vāyasāścāpi survanti nīḍāni ṛṣipuṅgava /	vAyasAH ca api survanti nIxAni Rzi puFgava /
   vāyasāśca svapantyete ṛtau garbhabharālasāḥ // VamP_17.18 //	vAyasAH ca svapanti ete RtO garBa Bara alasAH // VamP_17.18 //
   yasyāṃ tithyāṃ prasvapiti viśvakarmā prajāpatiḥ /	yasyAm tiTyAm prasvapiti viSvakarmA prajApatiH /
   dvitīyā sā śubhā puṇyā aśūnyaśayanoditā // VamP_17.19 //	dvitIyA sA SuBA puNyAH aSUnya Sayana uditAH // VamP_17.19 //
   tasyāṃ tithāvarcya hariṃ śrīvatsāṅkaṃ caturbhujam /	tasyAm tiTA Avarcya harim SrIvatsa aFkam catur Bujam /
   paryaṅkasthaṃ samaṃ lakṣmyā gandhapuṣpādibhirmune // VamP_17.20 //	paryaFka sTam samam lakzmyA ganDa puzpa AdiBiH mune // VamP_17.20 //
   tato devāya śayyāyāṃ phalāni prakṣipet kramāt /	tatas devAya SayyAyAm PalAni prakzipet kramAt /
   surabhīṇī nivedyetthaṃ vijñāpyo madhusūdanaḥ // VamP_17.21 //	suraBINI nivedya itTam vijQApyaH maDusUdanaH // VamP_17.21 //
   yathā hi lakṣmyā na viyujyase tvaṃ trivikramānanta jagannivāsa /	yaTA hi lakzmyAH na viyujyase tvam trivikrama ananta jagannivAsa /
   tathāstvaśūnyaṃ śayanaṃ sadaiva asmākameveha tava prasādāt // VamP_17.22	taTA astu aSUnyam Sayanam sadA eva asmAkam eva iha tava prasAdAt // VamP_17.22
   yathā tvaśūnyaṃ tava deva talpaṃ samaṃ hi lakṣmyā varadācyuteśa /	yaTA tu aSUnyam tava deva talpam samam hi lakzmyA varada acyuta ISa /
   satyena tenāmitavīrya viṣṇo gārhasthyanāśo mama nāstu deva // VamP_17.23	satyena tena amita vIrya vizNo gArhasTya nASaH mama na astu deva // VamP_17.23
   ityuccārya praṇamyeśaṃ prasādya ca punaḥ punaḥ /	iti uccArya praNamya ISam prasAdya ca punar punar /
   naktāṃ bhuñjīta devarṣe tailakṣāravivarjitamaṭ // VamP_17.24 //	naktAm BuQjIta deva Rze tEla kzAra vivarjitam at // VamP_17.24 //
   dvitīye 'hni dvijāgryāya phalān dadyād vicakṣaṇaḥ /	dvitIye ahni dvijAgryAya PalAn dadyAt vicakzaNaH /
   lakṣmīdharaḥ prīyatāṃ me ityuccārya nivedayet // VamP_17.25 //	lakzmIDaraH prIyatAm me iti uccArya nivedayet // VamP_17.25 //
   anena tu vidhānena cāturmāsyavrataṃ caret /	anena tu viDAnena cAturmAsya vratam caret /
   yāvad cavṛścikarāśisthaḥ pratibhāti divākaraḥ // VamP_17.26 //	yAvat ca vRScika rASi sTaH pratiBAti divAkaraH // VamP_17.26 //
   tato vibudhyanti surāḥ kramaśaḥ kramaśo mune /	tatas vibuDyanti surAH kramaSas kramaSas mune /
   tulāsther'ke hariḥ kāmaḥ śivaḥ paścādvibudhyate // VamP_17.27 //	tulA sTeH ake hariH kAmaH SivaH paScAt vibuDyate // VamP_17.27 //
   tatra dānaṃ dvitīyāyāṃ mūrttirlakṣmīdharasya tu /	tatra dAnam dvitIyAyAm mUrttiH lakzmIDarasya tu /
   saśayyāstaraṇopetā yathā vibhavamātmanaḥ // VamP_17.28 //	sa SayyA AstaraNa upetAH yaTA viBavam AtmanaH // VamP_17.28 //
   eṣa vratastu prathamaḥ proktastava mahāmune /	eza vrataH tu praTamaH proktaH tava mahA mune /
   yasmiṃś cīrṇe viyogastu na bhavediha kasyacit // VamP_17.29 //	yasmin cIrNe viyogaH tu na Bavet iha kasyacid // VamP_17.29 //
   nabhasye māsi ca tathā yā syātkṛṣṇāṣṭamī śubhā /	naBasye mAsi ca taTA yA syAt kRzNa azwamI SuBA /
   yuktā mṛgaśireṇaiva sā tu kālāṣṭamī smṛtā // VamP_17.30 //	yuktA mRgaSireNa eva sA tu kAla azwamI smRtAH // VamP_17.30 //
   tasyāṃ sarveṣu liṅgeṣu tithau svapiti śaṅkaraḥ /	tasyAm sarvezu liFgezu tiTO svapiti SaFkaraH /
   vasate saṃnidhāne tu tatra pūjākṣayā smṛtā // VamP_17.31 //	vasate saMniDAne tu tatra pUjA akzayA smRtAH // VamP_17.31 //
   tatra snāyīna vai vidvān gomūtreṇa jalena ca /	tatra snAyIna vE vidvAn go mUtreNa jalena ca /
   snātaḥ saṃpūjayet puṣpairdhattūrasya trilocanam // VamP_17.32 //	snAtaH saMpUjayet puzpEH DattUrasya trilocanam // VamP_17.32 //
   dhūpaṃ kesaraniryāsaṃ naivedyaṃ madhusarpiṣī /	DUpam kesara niryAsam nEvedyam maDu sarpizI /
   prīyatāṃ me virūpākṣastvityuccārya ca dakṣiṇām /	prIyatAm me virUpAkzaH tu iti uccArya ca dakziNAm /
   viprāya dadyānnaivedyaṃ sahiraṇyaṃ dvijottama // VamP_17.33 //	viprAya dadyAt nEvedyam sa hiraNyam dvijottamaH // VamP_17.33 //
   tadvadāśvayuje māsi upavāsī jitendriyaḥ /	tadvat ASvayuje mAsi upavAsI jita indriyaH /
   navamyāṃ gomayasnānaṃ kuryātpūjāṃ tu paṅkajaiḥ /	navamyAm gomaya snAnam kuryAt pUjAm tu paFkajEH /
   dhūpayet sarjaniryāsaṃ naivedyaṃ madhumodakaiḥ // VamP_17.34 //	DUpayet sarja niryAsam nEvedyam maDumodakEH // VamP_17.34 //
   kṛtopavāsastavaṣṭamyāṃ navamyāṃ snānamācaret /	kRta upavAsaH tavazwamyAm navamyAm snAnam Acaret /
   prīyatāṃ me hiraṇyākṣo dakṣiṇā satilā smṛtā // VamP_17.35 //	prIyatAm me hiraNyAkzaH dakziNA sa tilA smRtAH // VamP_17.35 //
   kārttike payasā snānaṃ karavīreṇa cārcanam /	kArttike payasA snAnam karavIreNa ca arcanam /
   dhupaṃ śrīvāsaniryāsaṃ naivedyaṃ madhupāyasam // VamP_17.36 //	Dupam SrIvAsa niryAsam nEvedyam maDu pAyasam // VamP_17.36 //
   sanaivedyaṃ ca rajataṃ dātavyaṃ dānamagraje /	sa nEvedyam ca rajatam dAtavyam dAnam agraje /
   prīyatāṃ gavān sthāsuriti vācyamaniṣṭhuram // VamP_17.37 //	prIyatAm gavAn sTAsuH iti vAcyam anizWuram // VamP_17.37 //
   kṛtvopavāsamaṣṭamyāṃ navamyāṃ snānamācaret /	kRtvA upavAsam azwamyAm navamyAm snAnam Acaret /
   māsi mārgaśire snānaṃ dadhnārcā bhadrayā smṛtā // VamP_17.38 //	mAsi mArgaSire snAnam daDnA arcA BadrayA smRtAH // VamP_17.38 //
   dhūpaṃ śrīvṛkṣaniryāsaṃ naivedyaṃ madhunodanam /	DUpam SrIvRkza niryAsam nEvedyam maDunodanam /
   saṃnivedyā raktaśālirdakṣiṇā parikīrttitā /	saMnivedyA rakta SAliH dakziNA parikIrttitA /
   namo 'stu prīyatāṃ śarvastviti vācyaṃ ca paṇḍitaiḥ // VamP_17.39 //	namaH astu prIyatAm SarvaH tu iti vAcyam ca paNxitEH // VamP_17.39 //
   pauṣe snānaṃ ca haviṣā pūjā syāttagaraiḥ subhaiḥ /	pOze snAnam ca havizA pUjA syAt tagarEH suBEH /
   dhūpo madhukaniryāso naivedyaṃ madhu śaṣkulī // VamP_17.40 //	DUpaH maDuka niryAsaH nEvedyam maDu SazkulI // VamP_17.40 //
   samudgā dakṣiṇā proktā prīmanāya jagadguroḥ /	samudgA dakziNA proktA prImanAya jagadguroH /
   vācyaṃ namaste deveśa tryambaketi prakīrtayet // VamP_17.41 //	vAcyam namaH te deveSa tryambaka iti prakIrtayet // VamP_17.41 //
   māghe kuśodakasnānaṃ mṛgamadena cārcyanam /	mAGe kuSa udaka snAnam mRga madena ca arcyanam /
   dhūpaḥ padambaniryāso naivedyaṃ satilodanam // VamP_17.42 //	DUpaH padamba niryAsaH nEvedyam sati lodanam // VamP_17.42 //
   payobhaktaṃ sanaivedyaṃ sarukmaṃ pratipādayet /	payaH Baktam sa nEvedyam sa rukmam pratipAdayet /
   prīyatāṃ me mahādeva umāpatiritīrayet // VamP_17.43 //	prIyatAm me mahAdevaH umApatiH iti Irayet // VamP_17.43 //
   evameva samuddiṣṭaṃ ṣaḍbhirmāsaistu pāraṇam /	evam eva samuddizwam zaxBiH mAsEH tu pAraNam /
   pāraṇānte trinetrasya snapanaṃ kārayetkramāt // VamP_17.44 //	pAraNa ante trinetrasya snapanam kArayet kramAt // VamP_17.44 //
   gorocanāyāḥ sahitā guḍena devaṃ samālabhya ca pūjayeta /	gorocanAyAH sahitAH guxena devam samAlaBya ca pUjayeta /
   prīyasva dīno 'smi bhavantamīśa macchokanāśaṃ prakuruṣva yogyam //	prIyasva dInaH asmi Bavantam ISa mad Soka nASam prakuruzva yogyam //
   VamP_17.45 //	VamP_17.45 //
   tatastu phālgune māsiṃ kṛṣṇāṣṭamyāṃ yatavrata /	tatas tu PAlgune mAsim kRzNa azwamyAm yata vrata /
   upavāsaṃ samudītaṃ kartavyaṃ dvijasattama // VamP_17.46 //	upavAsam samudItam kartavyam dvijasattamaH // VamP_17.46 //
   dvitīye 'hni tataḥ snānaṃ pañcagavyena kārayet /	dvitIye ahni tatas snAnam paQcagavyena kArayet /
   pūjayetkundakusumairdhūpayet candanaṃ tvapi // VamP_17.47 //	pUjayet kunda kusumEH DUpayet candanam tu api // VamP_17.47 //
   naivedyaṃ saghṛtaṃ dadyāt tāmrapātre guḍodanam /	nEvedyam sa GRtam dadyAt tAmra pAtre guxodanam /
   dakṣiṇāṃ ca dvijātibhyo naivedyasahitāṃ mune /	dakziNAm ca dvijAtiByaH nEvedya sahitAm mune /
   vāsoyugaṃ prīṇayecca rudramuccārya nāmataḥ // VamP_17.48 //	vAsaH yugam prINayet ca rudram uccArya nAmataH // VamP_17.48 //
   caitre codumbaraphalaiḥ snānaṃ mandārakārcanam /	cEtre ca udumbara PalEH snAnam mandAraka arcanam /
   gugguluṃ mahiṣākhyaṃ ca ghṛtāktaṃ dhūpayed budhaḥ // VamP_17.49 //	guggulum mahiza AKyam ca GRta aktam DUpayet buDaH // VamP_17.49 //
   samodakaṃ tathā sarpiḥ prīṇanaṃ vinivedayet /	samodakam taTA sarpiH prINanam vinivedayet /
   dakṣiṇā ca sanaivedyaṃ sṛgājinamudāhṛtam // VamP_17.50 //	dakziNA ca sa nEvedyam sRgAjinam udAhRtam // VamP_17.50 //
   nāṭyeśvara namaste 'stu idamuccārya nārada /	nAwyeSvara namaH te astu idam uccArya nArada /
   prīṇanaṃ devanāthāya kuryācchraddhāsamanvitaḥ // VamP_17.51 //	prINanam deva nATAya kuryAt SradDA samanvitaH // VamP_17.51 //
   vaiśākhe snānamuditaṃ sugandhakusumāmbhasā /	vESAKe snAnam uditam suganDa kusuma amBasA /
   pūjanaṃ śaṅkarasyoktaṃ cūtamañjaribhirvibho // VamP_17.52 //	pUjanam SaFkarasya uktam cUta maQjariBiH viBo // VamP_17.52 //
   dhūpaṃ sarjājyayuktaṃ ca naivedyaṃ saphalaṃ ghṛtam /	DUpam sarja Ajya yuktam ca nEvedyam saPalam GRtam /
   nāmajapyamapīśasya kālaghneti vipaścitā // VamP_17.53 //	nAma japyam api ISasya kAla Gna iti vipaScitAH // VamP_17.53 //
   jalakumbhān sanaivedyān brāhmaṇāya nivedayet /	jala kumBAn sa nEvedyAn brAhmaNAya nivedayet /
   sopavītān sahānnādyāṃstaccittaistatparāyaṇaiḥ // VamP_17.54 //	sa upavItAn sahAnnAdyAn= tad cittEH tad parAyaNEH // VamP_17.54 //
   jyeṣṭhe snānaṃ cāmalakaiḥ pūjār'kakusumaistathā /	jyezWe snAnam ca AmalakEH pUjA Ar aka kusumEH taTA /
   dhūpayettattrinetraṃ ca āyatyāṃ puṣṭikārakam // VamP_17.55 //	DUpayet tat tri netram ca AyatyAm puzwi kArakam // VamP_17.55 //
   saktūṃśca saghṛtān deve dadhnāktān vinivedayet /	saktUn= ca sa GRtAn deve daDnA aktAn vinivedayet /
   upānadyagalaṃ chatraṃ dānaṃ dadyācca bhaktimān // VamP_17.56 //	upAnat yagalam Catram dAnam dadyAt ca BaktimAn // VamP_17.56 //
   namaste bhaganetraghna pūṣṇo daśananāśana /	namaH te Baga netra Gna pUzNaH daSana nASana /
   idamuccārayedbhaktyā prīṇanāya jagatpateḥ // VamP_17.57 //	idam uccArayet BaktyA prINanAya jagatpateH // VamP_17.57 //
