   Nāṭakacandrikā	NAwaka-candrikA
   vyavasāyas tu sāmarthyasyākhyāpanam udīryate // RNc_100 //	vyavasAyaH tu sAmarTyasya-AKyApanam udIryate // RNt-_100 //
   yathā saptame -	yaTA saptame -
   rādhikā (sannivṛtya salajjaṃ saṃskṛtena) -	rADikAH (sannivRtya sa-lajjam saMskRtena) -
   kaṃsārer avaloka-maṅgala-vinābhāvād adhanyedhunā	kaMsAreH avaloka--maFgala-vinABAvAt aDanyeDunA
   bibhrāṇā hata-jīvite praṇayitāṃ nāhaṃ sakhi prāṇimi |	biBrANAH hata--jIvite praNayitAm na-aham saKi prANimi |
   krūreyaṃ na virodhinī yadi bhaved āśāmayī śṛṅkhalā	krUra-iyam na viroDinI yadi Bavet ASAmayI SRFKalA
   prāṇānāṃ dhruvam arbudāny api tasya tyaktuṃ sukhenotsahe || 7.13 ||	prANAnAm Druvam arbudAni api tasya tyaktum suKena-utsahe || 7.13 ||
   atra prāṇārbuda-tyāgārtha-sāmānya-kathanād vyavasāyaḥ |	atra prANa-arbuda--tyAga-arTa--sAmAnya--kaTanAt vyavasAyaH |
   kaścit tu, vyavasāyas tu vijñeyaḥ pratijñā-hetu-sambhavaḥ || ity āha (SāhD	kaScid tu, vyavasAyaH tu vijQeyaH pratijQA--hetu--samBavaH || iti Aha (SAhD
   yathā tatraiva saptame -	yaTA tatra-eva saptame -
   yasyottaṃsaḥ sphurati cikure keki-patra-praṇīto	yasya-uttaMsaH sPurati cikure keki--patra--praNItaH-
   hāraḥ kaṇṭhe viluṭhati kṛtaḥ sthūla-guñjāvalībhiḥ |	hAraH kaNWe viluWati kRtaH sTUla-guQjA-AvalIBiH |
   veṇur vaktre racayati ruciṃ hanta cetas tato me	veNuH vaktre racayati rucim hanta cetaH tatas me
   rūpaṃ viśvottaram api harer nānyad aṅgīkaroti || (7.6)	rUpam viSva-uttaram api hareH na-anyat aFgIkaroti || (7.6)
   atha virodhanam -	aTa viroDanam -
   virodhanaṃ virodhoktiḥ saṃrabdhānāṃ parasparam // RNc_101 //	viroDanam viroDa-uktiH saMrabDAnAm parasparam // RNt-_101 //
   yathāṣṭame -	yaTA-azwame -
   candrāvalī (solluṇṭha-smitam) ai loluhe āli, kīsa maṃ anāpekkhia taṃ	candrAvalI (sA-ulluNWa--smitam) E loluhe Ali, kIsa mam anApekKia tam
   ṇiamahābbadaṃ tue suṭṭhu paḍiṭṭhidam | [ayi lolupe āli, kasmān mām	Nia-mahA-abbadam tue suwWu paxiwWi-dam | [ayi lolupe Ali, kasmAt mAm
   anāpṛcchya	anApRcCya
   tan nija-mahā-vrataṃ tvayā suṣṭhu pratiṣṭhitam |]	tat nija--mahA-vratam tvayA suzWu pratizWitam |]
   rādhikā - dei, saraṇṇassa jaṇassa saṃrakkhaṇe akkhamāsi tahabi parihasesi	rADikA  dei, saraNNaH-sa jaNassa saMrakKaNe akKa-mAsi tahabi parihasesi
   | ṇūṇaṃ	| NUNam
   īsarīṇāṃ kkhu juttaṃ edaṃ | [devi, śaraṇyasya janasya saṃrakṣaṇe akṣamāsi	IsarINAm kKu juttam edam | [devi, SaraNyasya janasya saMrakzaNe akzamAsi
   tathāpi	taTA-api
   parihasasi | nūnaṃ īśvarīṇāṃ khalu yuktam etat |]	parihasasi | nUnam ISvarINAm Kalu yuktam etat |]
   atra nigūḍha-saṃrambhayoś candrāvalīrādhayoḥ virodhoktyā virodhanam |	atra nigUXa--saMramBayoH candrAvalI-rADayoH viroDa-uktyA viroDanam |
   atha prarocanā -	aTa prarocanA -
   siddhavad bhāvino'rthasya sūcanāt syāt prarocanā // RNc_102 //	sidDa-vat BAvinaH-arTasya sUcanAt syAt prarocanAH // RNt-_102 //
   yathā tatraiva saptame -	yaTA tatra-eva saptame -
   nava-vṛndā -	nava--vRndA -
   alaṃ vilāpaiḥ samaya-kramasya	alam vilApEH samaya--kramasya
   durūha-rūpā gatayo bhavanit |	durUha--rUpAH gatayaH Bavanit |
   śaran-mukhe paśya saras-taṭīṣu	Saran--muKe paSya saras--tawIzu
   khelanty akasmāt khalu khañjarīṭāḥ || 7.5 ||	Kelanti akasmAt Kalu KaQjarIwAH || 7.5 ||
   ity atra kañjarīṭa-dṛṣṭāntena bhāvi-kṛṣṇa-saṅgamasya sūcanāt prarocanā |	iti atra kaQjarIwa-dRzwAntena BAvi--kRzNa--saFgamasya sUcanAt prarocanA |
   yad vā tatraiva -	yat vA tatra-eva -
   rādhā (saṃskṛtena) -	rADA (saMskRtena) -
   ajani saphalaḥ saukhyaṃ bhūyān kalevara-dhāraṇe	ajani saPalaH sOKyam BUyAn kalevara--DAraNe
   sahacari parikleśo yo'bhūn mayā kila sevitaḥ |	sahacari parikleSaH yaH-aBUt mayA kila sevitaH |
   ahaha yad imāḥ śyāma-śyāmā puro mama vallavī-	ahaha yat imAH SyAma-SyAmA puras mama vallavI-
   kula-kumudinī-bandhos tās tāḥ sphuranti marīcayaḥ || 7.27 ||	kula--kumudinI--banDoH tAH tAH sPuranti marIcayaH || 7.27 ||
   atra pratimā-sandarśanānandena bhāvi-kṛṣṇa-saṅgamanasya siddhavat sūcanāt	atra pratimA-a--sandarSana-Anandena BAvi--kRzNa--saFgamanasya sidDa-vat sUcanAt-
   prarocanā |	prarocanA |
   atha vivalanam -	aTa vivalanam -
   ātma-ślāghā vivalanam |	Atma--SlAGA vivalanam |
   yathā tatraivāṣṭame -	yaTA tatra-eva-azwame -
   kṛṣṇaḥ (savismayam) ko'yaṃ mādhuryeṇa mamāpi mano haran maṇi-kuḍyam	kRzNaH (sa-vismayam) kaH-ayam mADuryeNa mama-api manaH haran maNi--kuxyam
   avaṣṭambya puro virājate | (punar nibhālya) hanta katham atrāham eva	avazwambya puras virAjate | (punar niBAlya) hanta kaTam atra-aham eva
   pratibimbito'smi | (iti sautsukyam)	pratibimbitaH-asmi | (iti sOtsukyam)
   aparikalita-pūrvaḥ kaś camatkāra-kārī	aparikalita--pUrvaH kaH camatkAra--kArI
   sphurati mama garīyān eṣa mādhurya-pūraḥ |	sPurati mama garIyAn eza mADurya--pUraH |
   ayam aham api hanta prekṣya yaṃ lubdha-cetāḥ	ayam aham api hanta prekzya yam lubDa--cetAH
   sarabhasam upabhoktuṃ kāmaye rādhikeva ||8.34|	sa-raBasam upaBoktum kAmaye rADikA-iva ||8.34|
   atra vismayena nija-rūpa-ślāghanaṃ vivalanam |	atra vismayena nija--rUpa--SlAGanam vivalanam |
   athādānaṃ -	aTa-AdAnam -
   ādānaṃ kārya-saṅgrahaḥ // RNc_103 //	AdAnam kArya--saFgrahaH // RNt-_103 //
   yathā tatraivāṣṭame -	yaTA tatra-eva-azwame -
   navavṛndā (rādhām avekṣya) hanta hanta!	nava-vRndAH (rADAm avekzya) hanta hanta!
   āloke kamaleṣaṇasya sajalāsāre dṛśau na kṣame	Aloke kamala-IzaNasya sa-jala-AsAre dRSO na kzame
   nāśleṣe kila śaktibhāg atipṛthu-stambhā bhujā-vallarī |	na-ASleze kila Sakti-BAj ati-pRTu--stamBA BujA-vallarI |
   vāṇī gadgada-kuṇṭhitottara-vidhau nālaṃ ciropasthite	vANI gadgada-kuNWita-uttara--viDO nAlam cira-upasTite
   vṛttiḥ kāpi babhūva saṅgamanaye vighnaḥ kuraṅgī-dṛśaḥ || 8.11 ||	vRttiH kA-api baBUva saFgam-anaye viGnaH kuraFgI--dRSaH || 8.11 ||
   atra kṛṣṇa-darśanādi-rūpa-kārya-saṅgrahād ādānam |	atra kRzNa--darSana-Adi--rUpa-kArya--saFgrahAt AdAnam |
   kaścit tu vidrava-vivalana-chalanādy atra na paṭhitvā	kaScid tu vidrava--vivalana--Calana-Adi atra na paWitvA
   kheda-pratiṣedha-chādanāni	Keda--pratizeDa--CAdanAni
   paṭhanti lakṣayanti ca |	paWanti lakzayanti ca |
   tatra khedaḥ -	tatra KedaH -
   manaś-ceṣṭā-samutpannaḥ śramaḥ kheda itīryate // RNc_104 //	manaS--cezwA--samutpannaH SramaH KedaH iti-Iryate // RNt-_104 //
   yathā tatraiva saptame -	yaTA tatra-eva saptame -
   rādhikā (saṃskṛtena) -	rADikA (saMskRtena) -
   mamāyāsīd dūre dig api hari-saṅga-praṇayinī	mama-AyAsIt dUre diS api hari-saFga--praNayinI
   prapede khedena truṭir api mahā-kalpa-padavīm |	prapede Kedena truwiH api mahA--kalpa--padavIm |
   dahaty āśā-sarpir viracita-pada-prāṇa-dahano	dahati ASA--sarpiH viracita-pada--prANa--dahanaH-
   balān māṃ durlīlaḥ kam iva karavai hanta śaraṇam || 7.1 ||	balAt mAm durlIlaH kam iva karavE hanta SaraNam || 7.1 ||
   atha pratiṣedhaḥ -	aTa pratizeDaH -
   īpsitārtha-pratīghātaḥ pratiṣedha itīryate // RNc_105 //	Ipsita-arTa--pratIGAtaH pratizeDaH iti-Iryate // RNt-_105 //
   yathā tatraiva -	yaTA tatra-eva -
   rādhā (samīkṣya sakhedam ātmagatam) - kahaṃ iṃdīareṇa rahaṃgīe	rADA (samIkzya saKA-idam Atma-gatam)  kaham iMdIareNa rahaMgIe
   saṃgamiṭṭhaṃ ahiṇaṃdide maccharā kalahaṃsī milidā | [kathaṃ indīvareṇa	saMgamiwWam ahiNaMdide mad-SarA kalahaMsI milidAH | [kaTam indIvareNa
   rahaṅgyā saṅgamituṃ abhinandite matsarā kalahaṃsī militā |	rahaFgyA saFgamitum aBinandite matsarA kalahaMsI militAH |
   atra devyāgamanāt kṛṣṇa-saṅga-pratīghātaḥ |	atra devI-AgamanAt kRzNa-saFga--pratIGAtaH |
   atha chādanam -	aTa CAdanam -
   kāryārtham apamānādeḥ sahanaṃ chādanaṃ matam |	kArya-arTam apamAna-AdeH sahanam CAdanam matam |
   yathā saptame nava-vṛndā (praviśya) sakhi, mā viṣādaṃ kṛthāḥ paśya -	yaTA saptame nava--vRndAH (praviSya) saKi, mA vizAdam kRTAH paSya -
   pāde nipatya badarīm avalambamānā	pAde nipatya badarIm avalambamAnA
   kāntaṃ rasālam anuvindati mādhavīyam |	kAntam rasAlam anuvindati mADavIyam |
   prāṇeśa-saṅgama-vidhau viniviṣṭa-cittā	prANeSa--saFgama-viDO vinivizwa--cittA
   no pāravaśyakadanaṃ manute hi sādhvī || (7.3)	no pAra-vaSya-kadanam manute hi sADvI || (7.3)
   spaṣṭam eva chādanam |	spazwam eva CAdanam |
   atha nirvahaṇa-sandhiḥ -	aTa nirvahaNa--sanDiH -
   mukha-sandhyādayo yatra vikīrṇā bīja-saṃyutāḥ |	muKa--sanDi-AdayaH yatra vikIrNAH bIja--saMyutAH |
   mahat-prayojanaṃ yānti tan-nirvahaṇam ucyate // RNc_107 //	mahat--prayojanam yAnti tan--nirvahaNam ucyate // RNt-_107 //
   atrāṅga-kalpanākārya-phalāgama-samāgamāt |	atra-aFga-kalpanA-kArya--Pala-Agama--samAgamAt |
   rādhādīnāṃ tu sarvāsāṃ kumārīṇām avāptitaḥ // RNc_108 //	rADa-AdInAm tu sarvAsAm kumArINAm avAptitaH // RNt-_108 //
   udvāhādy-utsavaḥ prokto yathā lalita-mādhave |	udvAha-Adi--utsavaH proktaH yaTA lalita--mADave |
   sandhir virodho grahtanaṃ nirṇayaḥ paribhāṣaṇam // RNc_109 //	sanDiH viroDaH grahtanam nirNayaH pariBAzaNam // RNt-_109 //
   prasādānanda-samayāḥ kṛtir bhāṣopagūhane |	prasAda-Ananda--samayAH kRtiH BAzA-upagUhane |
   pūrva-bhāvopasaṃhārau praśastiś ca manīṣibhiḥ // RNc_110 //	pUrva-BAva-upasaMhArO praSastiH ca manIziBiH // RNt-_110 //
   iti nirvahaṇasyāṅgāny uktāny asya caturdaśa |	iti nirvahaNasya-aFgAni uktAni asya caturdaSa |
   tatra sandhiḥ -	tatra sanDiH -
   bījopagamanaṃ sandhiḥ...	bIja-upagamanam sanDiH...
   yathā tatraiva navame'ṅke -	yaTA tatra-eva navame-aFke -
   nihnūtāmṛta-mādhurī-parimalaḥ kalyāṇi bimbādharau	nihnUta-amRta-mADurI--parimalaH kalyANi bimba-aDarO
   vaktraṃ paṅkaja-saurabhaṃ kuharita-ślāghābhidas te giraḥ |	vaktram paFkaja--sOraBam kuharita--SlAGA-aBidaH te giraH |
   aṅkaś candana-śītalas tanur iyaṃ saundarya-sarvasva-bhāk	aFkaH candana-SItalaH tanuH iyam sOndarya--sarva-sva-BAj-
   tvām āsādya mamedam indriya-kulaṃ rādhe muhur modate || (9.9)	tvAm AsAdya mama-idam indriya-kulam rADe muhur modate || (9.9)
   atrānurāga-bījopagamanāt sandhiḥ |	atra-anurAga--bIja-upagamanAt sanDiH |
   atha virodhaḥ -	aTa viroDaH -
   ... virodhaḥ kārya-mārgaṇam // RNc_111 //	... viroDaH kArya--mArgaNam // RNt-_111 //
   yathā tatraiva navamāṅke nava-vṛndā --	yaTA tatra-eva navama-aFke nava--vRndA --
   mādhavī-virahitāṃ madhuvīraḥ	mADavI--virahitAm maDu-vIraH
   kuṇḍineśvara-sutāṃ niśamayya |	kuNxina-ISvara--sutAm niSamayya |
   nandayan sphurad-amanda-vilāsair	nandayan sPurad-a-manda--vilAsEH-
   hāsakandala-lasan-mukham āha || (9.7)	hAsa-kandala-lasan-muKam Aha || (9.7)
   satyākhyasya vilokāya lokasyātma-bhuvārthitaḥ |	satya-AKyasya vilokAya lokasya-Atma--BuvA-arTitaH |
   pratiṣṭhāsurahaṃ devi tatrānujñā vidhīyatām || (9.8)	pratizWA-asuH-aham devi tatra-anujQAH viDIyatAm || (9.8)
   atra rādhā-saṅgama-kāryasya māraṇād virodhaḥ |	atra rADA--saFgama--kAryasya mAraNAt viroDaH |
   atha grathanam -	aTa graTanam -
   grathanaṃ sad-upekṣepaḥ...	graTanam sat--upekzepaH...
   yathā tatraiva rādhikā (kṛṣṇaṃ paśyantī)	yaTA tatra-eva rADikA (kRzNam paSyantI)
   aṃjalim ettaṃ salilaṃ sabharīe ahilasaṃtīe |	aMjalim ettam salilam sa-BarIe ahila-saMtIe |
   obari saaṃ ṇaajaladā dhārāvarisī samullasaī || 9.19	obari saam Naa-jaladA DArA-varisI samullasaI || 9.19
   [añjali-mātraṃ salilaṃ śapharyā ahilaṣantyā |	[aQjali--mAtram salilam SaParyAH ahilazantyAH |
   upari svayaṃ navajalado dhārāvarṣī samullasati ||]	upari svayam nava-jaladaH DArA-varzI samullasati ||]
   atra punaḥ sahasā kṛṣṇa-darśana-rūpasya sad-arthasyopakṣepād grathanam |	atra punar sahasA kRzNa--darSana--rUpasya sat--arTasya-upakzepAt graTanam |
   atha nirṇayaḥ -	aTa nirNayaH -
   nirṇayas tv anubhūtoktiḥ // RNc_112 //	nirNayaH tu anuBUta-uktiH // RNt-_112 //
   yathā tatraiva kṛṣṇaḥ -	yaTA tatra-eva kRzNaH -
   nava-madana-vinodaiḥ keli-kuñjeṣu rādhe	nava--madana--vinodEH keli--kuQjezu rADe
   nimiṣavad uparāmaṃ kāma āseduṣīṇām |	nimiza-vat uparAmam kAmaH AseduzINAm |
   upacita-paritoṣa-proṣitāpatrapāṇāṃ	upacita--paritoza--prozita-apatrapANAm
   smarasi kim iva tāsāṃ śāradīnāṃ kṣapāṇām || (9.47)	smarasi kim iva tAsAm SAradInAm kzapANAm || (9.47)
   atra spaṣṭa eva nirṇayaḥ |	atra spazwaH eva nirNayaH |
   atha paribhāṣaṇam -	aTa pariBAzaNam -
   paribhāṣā mitho jalpaḥ parivādo'thavā bhavet // RNc_113 //	pariBAzA miTas jalpaH parivAdaH-aTavA Bavet // RNt-_113 //
   tatrādyaṃ yathā tatraiva -	tatra-Adyam yaTA tatra-eva -
   madhumaṅgalaḥ -bhodi kiṃ ti āadāsi? [bhavati kim ity āgatāsi?]	maDumaFgalaH -Bodi kim ti AadAsi? [Bavati kim iti Agata-asi?]
   sukaṇṭhī - imassa paṇhottarassa sadikkhaṃ aṇṇaṃ bi mahuraṃ suṇidum | [asya	sukaNWI  imassa paNha-uttarassa sa-dikKam aNNam bi mahuram suNidum | [asya
   praśnottarasya sadṛkṣam anyad api madhuraṃ śrotum |]	praSna-uttarasya sadRkzam anyat api maDuram Srotum |]
   madhumaṅgalaḥ -bhodi paṇṇottaraṃ bi tue suṇidam? [bhavati praśnottaram api	maDumaFgalaH -Bodi paNNa-uttaram bi tue suNidam? [Bavati praSna-uttaram api
   tvayā śrutam]	tvayA Srutam]
   sukaṇṭhī - ṇa keaṇaṃ idaṃ jjeba | [na kevalam idam eva |]	sukaNWI  Na keaNam idam jjebaH | [na kevalam idam eva |]
   madhumaṅgalaḥ -abaraṃ kiṃ? [aparaṃ kim ?]	maDumaFgalaH -abaram kiM? [a-param kim ?]
   sukaṇṭhī - jā kiṃ pi diṭhṭhaṃ taṃ gadua deie ṇivedissaṃ | [yat kim api	sukaNWI  jA kim pi diWWam tam gadua deie Ni-vedissam | [yat kim api
   dṛṣṭaṃ tad	dRzwam tat-
   gatvā devyai nivedayiṣyāmi |]	gatvA devyE nivedayizyAmi |]
   atra vidūṣaka-sukaṇṭhyor mitho jalpaḥ | dvitīyo yathā tatraiva -	atra vidUza-ka-su-kaNWyoH miTas jalpaH | dvitIyaH yaTA tatra-eva -
   madhumaṅgalaḥ -(saṃskṛtena)	maDu-maFgalaH -(saMskRtena)
   asi viṣakaṇṭhī-kaṭhine kim iti sukaṇṭhīti bhaṇyate ceṭi |	asi viza-kaNWI--kaWine kim iti sukaNWI-iti BaNyate cewi |
   athavā kā mama śastā bhadrety abhidhīyate viṣṭiḥ || 9.21	aTavA kA mama SastA Badra-iti aBiDIyate vizwiH || 9.21
   atra sukaṇṭhyāḥ doṣa-darśanāt parīvādaḥ |	atra sukaNWyAH doza--darSanAt parIvAdaH |
   atha prasādaḥ -	aTa prasAdaH -
   śuśrūṣādy-upasampannā yat prasādaḥ prasannatā // RNc_114 //	SuSrUzA-Adi--upasampannA yat prasAdaH prasanna-tA // RNt-_114 //
   yathā navame -	yaTA navame -
   kṛṣṇaḥ (saharṣam) sukaṇṭhike! bāḍham asminn arthe duṣkaras te mayā	kRzNaH (sa-harzam) su-kaNWike! bAXam asmin arTe duzkaraH te mayA
   niṣkrayaḥ |	nizkrayaH |
   atra śrī-kṛṣṇasya prasādaḥ spaṣṭa eva |	atra SrI--kRzNasya prasAdaH spazwaH eva |
   athānandaḥ -	aTa-AnandaH -
   ānando'bhīṣṭa-samprāptiḥ...	AnandaH-aBIzwa--samprAptiH...
   yathā tatraiva daśame -	yaTA tatra-eva daSame -
   nayanayoḥ stanayor api yugmataḥ	nayanayoH stanayoH api yugmataH
   paripatadbhir asau payasāñjhiraiḥ |	paripatadBiH asO payasA-aQJirEH |
   ahaha vallava-rāja-gṛheśvarī	ahaha vallava-rAja--gRha-ISvarI
   svatanayaṃ praṇayād abhiṣiñcati ||(10.14)||	sva-tanayam praNayAt aBiziQcati ||(10.14)||
   atra yaśodāyā ānandaḥ |	atra yaSodAyAH AnandaH |
   yathā vā tatraiva -	yaTA vA tatra-eva -
   kṛṣṇaḥ (sānandam) cireṇādya gokula-vāsinām ivātmānam abhimanyamānaḥ	kRzNaH (sA-Anandam) cireNa-adya go-kula-vAsinAm iva-AtmAnam aBimanyamAnaH
   pramoda-mugdho'smi |	pramoda--mugDaH-asmi |
   atra kṛṣṇasyānandaḥ |	atra kRzNasya-AnandaH |
   atha samayaḥ -	aTa samayaH -
   samayo duḥkha-saṅkṣayaḥ // RNc_115 //	samayaH duHKa--saFkzayaH // RNt-_115 //
   yathā tatraiva daśame -	yaTA tatra-eva daSame -
   rādhikā (mukhād añcalam apāsya, savikrośam) hā hā kadhaṃ piasahī me lalidā	rADikA (muKAt aQcalam apAsya, sa-vikroSam) hA hA kaDam piasahI me lalidA
   hā kadhaṃ baccalā bhaavadī | hā kadhaṃ ajjiā muharā | [hā hā kathaṃ	hA kaDam baccalA BaavadI | hA kaDam ajjiAH muharA | [hA hA kaTam
   priyasakhī	priya-saKI
   me lalitā | hā kathaṃ vatsahā bhagavatī | hā kathaṃ āryā mukharā |] (ity	me lalitA | hA kaTam vatsa-hA BagavatI | hA kaTam AryA muKarAH |] (ity
   ānandena	Anandena
   ghūrṇantī bhūmau skhalati |)	GUrNantI BUmO sKalati |)
   atra suhṛd-darśanād rādhāyā duḥkha-saṅkṣayaḥ |	atra suhRd-darSanAt rADAyAH duHKa--saFkzayaH |
   atha kṛtiḥ	aTa kRtiH
   labdhārthasya kṛtiḥ sthairyam ...	labDa-arTasya kRtiH sTEryam ...
   yathā tatraiva candrāvalī (janāntikam) -	yaTA tatra-eva candrAvalI (jana-antikam) -
   bhaavadi bahiṇīe karaṃ geṇhiduṃ maha baaṇeṇa abbhatthīadu... ajja-utto |	Baavadi bahiNIe karam geNhi-dum maha baaNeNa abBatTIa-du... ajja--uttaH |
   [bhagavati bhaginyāḥ karaṃ grahītuṃ mama vacanena abhyarthyatām āryaputraḥ	[Bagavati BaginyAH karam grahItum mama vacanena aByarTyatAm Arya-putraH
   atra yaśodādi-samāgamāl labdhyasya rādhikā-rūpārthasya	atra yaSoda-Adi-samAgamAt labDi-asya rADikA--rUpa-arTasya
   candrāvalī-prārthanena	candra-AvalI--prArTanena
   sthairya-kṛtiḥ |	sTErya--kRtiH |
   atha bhāṣaṇam -	aTa BAzaNam -
   mānādyāptiś ca bhāṣaṇam // RNc_116 //	mAna-Adi-a-AptiH ca BAzaNam // RNt-_116 //
   yathā tatraiva -	yaTA tatra-eva -
   (bhaginyau paurṇamāsīm antarākṛtya gopendraṃ praṇamataḥ)	(BaginyO pOrNamAsIm antarAkRtya gopendram praNamataH)
   nandaḥ - vatse, parasparasya prāṇādhikyaṃ bhajantyau saubhāgyavatyau	nandaH  vatse, parasparasya prANa-ADikyam BajantyO sOBAgyavatyO
   bhūyāsam |	BUyAsam |
   atra nanda-kṛtāśīrvādādimāna-prāptyā bhāṣaṇam |	atra nanda-kRta-ASIrvAda-Adi-mAna--prAptyA BAzaNam |
   athopagūhanam -	aTa-upagUhanam -
   adbhutārtha-pariprāptir upagūhanam ucyate // RNc_117 //	adButa-arTa--pariprAptiH upagUhanam ucyate // RNt-_117 //
   yatha tatraiva -	yaTa tatra-eva -
   rādhā (sarvāsāṃ pādān abhivādya sotkaṇṭham) -- kusaliṇī kiṃ me bahiṇī	rADA (sarvAsAm pAdAn aBivAdya sa-utkaNWam) - kusaliNI kim me bahiNI
   candāalī | [kuśalinī kiṃ me bhaginī candrāvalī |]	candAalI | [kuSalinI kim me BaginI candrAvalI |]
   candrāvalī (gāḍhaṃ pariṣvajya) - bahiṇī esāmhi dujjaṇī-hata-candāaliā |	candrAvalI (gAXam parizvajya)  bahiNI esAmhi dujjaNI--hata--candAaliA |
   [bhaginī,	[BaginI,
   eṣāsmi durjanī hata-candrāvalikā |] (iti roditi)	ezA-asmi durjanI hata-candra-AvalikA |] (iti roditi)
   rādhikā (sānandaṃ sasambhramaṃ pādayoḥ patantī) haddhi haddhi,	rADikA (sa-Anandam sa-samBramam pAdayoH patantI) hadDi hadDi,
   biḍambidahmi	bixambidahmi
   hada-debbeṇa | [hā dhik! hā dhik!, viḍambitāsmi hata-daivena |]	hada--debbeNa | [hA Dik! hA Dik!, vixambitA-asmi hata-dEvena |]
   atrādṛṣṭa-pūrva-bhaginyoḥ parasparāliṅganādy-adbhutārtha-pariprāptir	atra-adRzwa--pUrva--BaginyoH paraspara-AliFgana-Adi--adButa-arTa--pariprAptiH-
   upagūhanam |	upagUhanam |
   atha pūrva-bhāvaḥ -	aTa pUrva-BAvaH -
   mukhya-kāryasya saṃsargaḥ pūrva-bhāvaḥ prakīrtitaḥ // RNc_118 //	muKya--kAryasya saMsargaH pUrva-BAvaH prakIrtitaH // RNt-_118 //
   yathā tatraiva -	yaTA tatra-eva -
   paurṇamāsī - yaśodā-mātaḥ, upasthito'yaṃ sarvo'bhiṣeka-sambhāraḥ | tad	pOrNamAsI  yaSodA-mAtaH, upasTitaH-ayam sarvaH-aBizeka--samBAraH | tat-
   alaṅkriyatāṃ prathamaṃ rādhayā saha parva-vedī tataḥ krameṇa kumārībhiś ca	alaFkriyatAm praTamam rADayA saha parva-vedI tatas krameNa kumArIBiH ca
   atra mukhya-kāryasya rādhā-mādhavayoḥ pariṇaya-mahotsavasya saṃsargāt	atra muKya--kAryasya rADA--mADavayoH pariNaya--mahA-utsavasya saMsargAt-
   pūrva-bhāvaḥ | kecit pūrva-vākyaṃ kecit pūrva-bhāṣām iti paṭhanto	pUrva-BAvaH | kecid pUrva-vAkyam kecid pUrva--BAzAm iti paWantaH-
   lakṣayanti	lakzayanti
   (SāhD 6.113) - pūrva-vākyaṃ tu vijñeyaṃ yathoktārthopadarśanam | yathā	(SA-hD 6.113)  pUrva-vAkyam tu vijQeyam yaTA-ukta-arTa-upadarSanam | yaTA
   tatraiva	tatra-eva
   (nepathye) -	(nepaTye) -
   vinīte rādhāyāḥ pariṇaya-vidhānānumatibhiḥ	vinIte rADAyAH pariNaya--viDAna-anumatiBiH
   svayaṃ devyā tasmin pitur iha nibandhe muditayā |	svayam devyA tasmin pituH iha nibanDe muditayA |
   kumārīṇāṃ tāsām ayam upanayan ṣoḍaśa kṛtī	kumArINAm tAsAm ayam upanayan zoxaSa kRtI
   sahasrāṇi smeraḥ praviśati śatāḍhyāni garuḍaḥ || (10.31)	sahasrANi smeraH praviSati Sata-AXyAni garuxaH || (10.31)
   atra pūrvaṃ kṛṣṇena tṛtīyāṅke yad uktaṃ etās tūrṇaṃ nayata kiyatīr ity	atra pUrvam kRzNena tRtIya-aFke yat uktam etAH tUrNam nayata kiyatIH iti-
   ādinā	AdinA
   punaḥ svayaṃ gamanaṃ tasyaivopadarśanam |	punar svayam gamanam tasya-eva-upadarSanam |
   athopasaṃhāraḥ -	aTa-upasaMhAraH -
   kṛtārthatopasaṃhāraḥ sarvābhīṣṭopalaksitaḥ // RNc_119 //	kRtArTa-topa-saMhAraH sarva-aBIzwa-upalaksitaH // RNt-_119 //
   yathā tatraiva daśame -	yaTA tatra-eva daSame -
   kṛṣṇaḥ (sarvam abhinandya janāntikam) prāṇeśvari rādhe prārthayasva kim	kRzNaH (sarvam aBinandya jana-antikam) prANeSvari rADe prArTayasva kim
   ataḥ	atas-
   paraṃ te priyaṃ karavāṇi | (ity ārabhya)	param te priyam karavANi | (iti AraBya)
   rādhikā (sānandam saṃskṛtena) -	rADikAH (sa-Anandam saMskRtena) -
