   keśavakṛtā kauśikapaddhatiḥ	keSava kRtA kOSika padDatiH
             [abhīvartena (1.29) iti	[aBIvartena (1.29) iti
   rathanemimaṇimayaḥsīsaloharajatatāmraveṣṭitaṃ hemanābhiṃ vāsitaṃ baddhvā	raTa nemi maNi mayaH sIsa loha rajata tAmra vezwitam hema nABim vAsitam badDvA
   sūtrotaṃ barhiṣi kṛtvā sampātavantaṃ pratyṛcaṃ	sUtra Utam barhizi kRtvA sampAtavantam pratyRcam
   bhṛṣṭīrabhīvartottamābhyāmācṛtati || KauśS_2,6{16}.29 ||]	BRzwIH aBIvarta uttamAByAm AcRtati || KOSH _2,6{16}.29 ||]
   abhyātānāntaṃ kṛtvā 'abhīvartena' iti caturbhirṛgbhī	aByAtAna antam kRtvA aaBIva rtena a iti caturBiH RgBI
   rathacakranemimaṇimayaḥsīsaloharajatatāmraveṣṭitaṃ hemanābhiṃ trirvāsitaṃ	raTa cakra nemi maNi mayaH sIsa loha rajata tAmra vezwitam hema nABim tris vAsitam
   kṛtvā sūtrotaṃ barhiṣi kṛtvā pratyṛcaṃ sampātyābhimantrya 'udasau sūryaḥ'	kRtvA sUtra Utam barhizi kRtvA pratyRcam sampAtya aBimantrya audasO sUryaH a
   (1.29.5 6) iti dvābhyāmṛgbhyāṃ badhnāti | tata uttaratantram | atikrānta	(1.29.5 6) iti dvAByAmRgByAm baDnAti | tatas uttaratantram | atikrAnta
   ardhamardite rāṣṭra idaṃ karma | anena karmaṇā rāṣṭravṛddhiśca bhavati ||	arDa mardite rAzwraH idam karma | anena karmaNA rAzwra vRdDiH ca Bavati ||
             [acikradad (3.3) ā tvā gan (3.4) iti	[acikradat (3.3) A tvA gan (3.4) iti
   yasmādrāṣṭrādavaruddhastasyāśāyāṃ śayanavidhaṃ puroḍāśaṃ darbheṣūdake	yasmAt rAzwrAt avarudDaH tasya ASAyAm SayanaviDam puroxASam darBezu udake
   ninayati || KauśS_2,6{16}.30 ||	ninayati || KOSH _2,6{16}.30 ||
             tato loṣṭena jyotirāyatanaṃ saṃstīrya kṣīraudanamaśnāti ||	tatas lozwena jyotiH Ayatanam saMstIrya kzIra odanam aSnAti ||
   KauśS_2,6{16}.31 ||]	KOSH _2,6{16}.31 ||]
   'acikradad', 'ā tvā gan' iti sūktābhyāṃ śayanākāraṃ puroḍāśamabhimantrya	aacikradat a, aA tvA gana iti sUktAByAm Sayana AkAram puroxASam aBimantrya
   darbheṣūdake ninayati | tato loṣṭena pūrayet | darbhasthāne	darBezu udake ninayati | tatas lozwena pUrayet | darBa sTAne
   mṛttikābhistaraṇam | abhyātānāntaṃ tantraṃ kṛtvā 'acikradad', 'ā tvā gan'	mRttikA aBiH taraNam | aByAtAna antam tantram kRtvA aacikradat a, aA tvA gan a
   iti sūktābhyāṃ kṣīraudanaṃ sthālīpākaṃ sampātyābhimantrya rājānamāśayati |	iti sUktAByAm kzIra odanam sTAlIpAkam sampAtya aBimantrya rAjAnam ASayati |
   tata uttaratantram ||	tatas uttaratantram ||
             [yato loṣṭastataḥ sambhārāḥ || KauśS_2,6{16}.32 ||]	[yataH lozwaH tatas samBArAH || KOSH _2,6{16}.32 ||]
   tasmāt sthānāt sambhārāharaṇaṃ yasmānniṣkrānto rājā ||	tasmAt sTAnAt samBAra AharaNam yasmAt nizkrAntaH rAjA ||
             [tisṛṇāṃ prātaraśite puroḍāśe hvayante || KauśS_2,6{16}.33 ||]	[tisRNAm prAtar aSite puroxASe hvayante || KOSH _2,6{16}.33 ||]
   tisṛṇāṃ prātaraśite puroḍāśe bhakṣite punaratra rāṣṭre rājā praveśaṃ	tisRNAm prAtar aSite puroxASe Bakzite punar atra rAzwre rAjA praveSam
   labhate | etasya puroḍāśakarma vijñānārtham | samāptāni rāṣṭrapraveśakāni	laBate | etasya puroxASa karma vijQAna arTam | samAptAni rAzwra praveSakAni
   karmāṇi | avaśyaṃ praveśo bhavati | bhayaṃ vā mṛtyurvā vighnaṃ	karmANi | avaSyam praveSaH Bavati | Bayam vA mRtyuH vA viGnam
   daivopaghāto vā śatrorbhavati | avaśyaṃ praveśo bhavatītyarthaḥ |	dEva upaGAtaH vA SatroH Bavati | avaSyam praveSaH Bavati iti arTaH |
   rājakarmāṇyeva vartante | samāptaṃ svarāṣṭrapraveśanakarma || saptamī	rAja karmANi eva vartante | samAptam sva rAzwra praveSana karma || saptamI
   kaṇḍikā || KKp_16 ||	kaNxikA || KKB _16 ||
        atha laghvabhiṣekakarmocyate  	aTa laGu aBizeka karma ucyate  
             [bhūto bhūteṣu (4.8) iti rājānamabhiṣekṣyan mahānade śāntyudakaṃ	[BUtaH BUtezu (4.8) iti rAjAnam aBizekzyan mahAnade SAntyudakam
   karotyādiṣṭānām || KauśS_2,7{17}.1 ||]	karoti AdizwAnAm || KOSH _2,7{17}.1 ||]
   abhyātānāntaṃ kṛtvā śāntyudakavidhānena śāntyudakaṃ karoti | mahānadyā	aByAtAna antam kRtvA SAntyudaka viDAnena SAntyudakam karoti | mahAnadyA
   udakaṃ vanapuṣkariṇīnāmudakaṃ devavṛṣṭyudakaṃ divyamudakaṃ ca | udakānāṃ	udakam vana puzkariNInAm udakam deva vRzwi udakam divyam udakam ca | udakAnAm
   vikalpaḥ samuccayo vā śāntyudakamādiṣṭānām ||	vikalpaH samuccayaH vA SAntyudakam AdizwAnAm ||
             [sthālīpākaṃ śrapayitvā dakṣiṇataḥ parigṛhyāyā darbheṣu	[sTAlI pAkam SrapayitvA dakziNatas parigRhyAyAH darBezu
   tiṣṭhantamabhiṣiñcati || KauśS_2,7{17}.2 ||]	tizWantam aBiziQcati || KOSH _2,7{17}.2 ||]
   tataścaruṃ śrapayati nadyodakena samudrodakena vā | vedyā dakṣiṇataḥ	tatas carum Srapayati nadya udakena samudra udakena vA | vedyAH dakziNatas 
   darbhānāstīrya tatroparyūrdhvaṃ sthitaṃ rājānaṃ 'bhūto bhūteṣu' iti	darBAn AstIrya tatra upari UrDvam sTitam rAjAnam aBUtaH BUta izu a iti
   sūktena śāntyudakakalaśamabhimantrya purodhā rājānamabhiṣiñcati ||	sUktena SAntyudaka kalaSam aBimantrya puroDAH rAjAnam aBiziQcati ||
             [talpārṣabhaṃ carmārohayati || KauśS_2,7{17}.3 ||]	[talpa ArzaBam carma Arohayati || KOSH _2,7{17}.3 ||]
   abhiṣiktaḥ snātaḥ | khaṭvāyāmārṣabhaṃ carmāstīrya tatra rājānamārohayati	aBiziktaH snAtaH | KawvAyAm ArzaBam carma AstIrya tatra rAjAnam Arohayati
   'bhūto bhūteṣu' iti sūktena ||	aBUtaH BUta izu a iti sUktena ||
             [udapātraṃ samāsiñcete || KauśS_2,7{17}.4 ||	[uda pAtram samAsiQcete || KOSH _2,7{17}.4 ||
             viparidadhāne || KauśS_2,7{17}.5 ||]	viparidaDAne || KOSH _2,7{17}.5 ||]
   udapātramubhāvapyāsiñcato dhārāyā udakena ||	uda pAtram uBO= api AsiQcataH DArAyAH udakena ||
             [sahaiva nau sukṛtaṃ saha duṣkṛtam iti brahmā brūyāt ||	[saha eva nO sukRtam saha duzkRtam iti brahmA brUyAt ||
   KauśS_2,7{17}.6 ||	KOSH _2,7{17}.6 ||
             yo duṣkṛtaṃ karavattasya duṣkṛtaṃ sukṛtaṃ nau saha iti ||	yaH duzkRtam karavat tasya duzkRtam sukRtam nO saha iti ||
   KauśS_2,7{17}.7 ||]	KOSH _2,7{17}.7 ||]
   'sahaiva no' iti rājā brūte | brahmā brūyāt 'yo duṣkṛtam' iti ||	asaha eva naH a iti rAjA brUte | brahmA brUyAt ayaH duzkRtam a iti ||
             [āśayati || KauśS_2,7{17}.8 ||]	[ASayati || KOSH _2,7{17}.8 ||]
   tataḥ sthālīpākaṃ 'bhūto bhūteṣu' iti sūktena sampātyābhimantryāśayati ||	tatas sTAlIpAkam aBUtaH BUta izu a iti sUktena sampAtyA aBimantrya ASayati ||
             [aśvamārohyāparājitāṃ pratipādayati || KauśS_2,7{17}.9 ||]	[aSvam Arohya aparAjitAm pratipAdayati || KOSH _2,7{17}.9 ||]
   tato'śvamārohayati 'bhūto bhūteṣu' iti sūktena | aparājitāṃ pratipādayati	tatas aSvam Arohayati aBUtaH BUta izu a iti sUktena | aparAjitAm pratipAdayati
   | vāhenopaniṣkramya punargṛha āgatyābhyātānādyuttaratantram.	| vAhena upanizkramya punar gRhaH Agatya aByAtAna Adi uttara tantram.
             [sahasraṃ grāmavaro dakṣiṇā || KauśS_2,7{17}.10 ||]	[sahasram grAma varaH dakziNAH || KOSH _2,7{17}.10 ||]
   sahasraṃ gavāṃ dakṣiṇā grāmavaraśca | abhiṣekaḥ samāptaḥ ||	sahasram gavAm dakziNA grAma varaH ca | aBizekaH samAptaH ||
             [viparidhānāntamekarājena vyākhyātam || KauśS_2,7{17}.11 ||]	[vipariDAna antam eka rAjena vyAKyAtam || KOSH _2,7{17}.11 ||]
   māṇḍalikasya sāmantasya yuvarājasya senāpateranyasya kasyacidabhiṣekaḥ	mANxalikasya sAmantasya yuvarAjasya senApateH anyasya kasyacid aBizekaH
   anena vidhānena kāryaḥ | tasyāpi purohitavaraṇe kṛte satyabhiṣekaḥ kāryaḥ	anena viDAnena kAryaH | tasya api purohita varaNe kRte sati aBizekaH kAryaH
   | abhiṣekādanantaraṃ ghṛtāvekṣaṇamārātrikaṃ rājakarmāṇi piṣṭarātryādīni	| aBizekAt anantaram GRta avekzaNam ArAtrikam rAja karmANi pizwa rAtri AdIni
   pratyahaṃ kartavyāni | vidhānena sarvāṇi dānāni dadāti |	pratyaham kartavyAni | viDAnena sarvANi dAnAni dadAti |
   puṣpābhiṣeka mahānavamī indrotsava vṛṣotsarga janmadinādi prativarṣaṃ	puzpa aBizeka  mahA navamI indra utsava  vRzotsarga  janma dina Adi prativarzam
   kāryāṇi ||	kAryANi ||
        sārvabhaumābhiṣeka ucyate | mahābhiṣekavidhiṃ vakṣyāmaḥ  	sArvaBOma aBizekaH ucyate | mahA aBizeka viDim vakzyAmaH  
             [talpe darbheṣvabhiṣiñcati || KauśS_2,7{17}.12 ||]	[talpe darBezu aBiziQcati || KOSH _2,7{17}.12 ||]
   sārvabhaumasya bhavati | abhyātānāntaṃ kṛtvā tataḥ śāntyudakaṃ karoti |	sArvaBOmasya Bavati | aByAtAna antam kRtvA tatas SAntyudakam karoti |
   caturṇāṃ sāgarāṇāṃ tu mahānadīnāṃ śatasya ca | tenodakena śāntyudakaṃ	caturNAm sAgarANAm tu mahAnadInAm Satasya ca | tena udakena SAntyudakam
   karoti vadhānena | mantroktena udakena caruṃ śrapayati | tato dakṣiṇato	karoti vaDAnena | mantra uktena udakena carum Srapayati | tatas dakziNatas 
   vedeḥ khaṭvāṃ stṛṇāti | mañcikā | yathā loke abhiṣekaḥ | tasyā upari	vedeH KawvAm stRNAti | maQcikA | yaTA loke aBizekaH | tasyAH upari
   darbhān stṛṇāti | tatra rājani upaviṣṭe 'bhūto bhūteṣu' iti sūktena tena	darBAn stRNAti | tatra rAjani upavizwe aBUtaH BUta izu a iti sUktena tena
   śāntyudakena rājānamabhiṣiñcati ||	SAntyudakena rAjAnam aBiziQcati ||
             [varṣīyasi vaiyāghraṃ carmārohayati || KauśS_2,7{17}.13 ||]	[varzIyasi vEyAGram carma Arohayati || KOSH _2,7{17}.13 ||]
   tataḥ khaṭvāyāṃ varṣīyasyāṃ vaiyāghraṃ carma stṛṇāti mañcake | tatra	tatas KawvAyAm varzIyasyAm vEyAGram carma stRNAti maQcake | tatra
   rājānamārohayati 'bhūto bhūteṣu' iti sūktena | udapātraṃ samāsiñcete |	rAjAnam Arohayati aBUtaH BUta izu a iti sUktena | uda pAtram samAsiQcete |
   rājā brūte 'sahaiva no' iti | purohito brūyāt 'yo duṣkṛtam' iti | tataḥ	rAjA brUte asaha eva naH a iti | purohitaH brUyAt ayaH duzkRtam a iti | tatas 
   purohitaḥ sūktaṃ japati ||	purohitaH sUktam japati ||
             [catvāro rājaputrāstālpāḥ pṛthakpādeṣu śayanaṃ parāmṛśya sabhāṃ	[catvAraH rAja putrAH ta alpAH pRTak pAdezu Sayanam parAmRSya saBAm
   prāpayanti || KauśS_2,7{17}.14 ||]	prApayanti || KOSH _2,7{17}.14 ||]
   catvāro rājaputrāstālpāḥ pṛthakpādeṣu gṛhītvā sabhāmadhye nidadhati ||	catvAraH rAja putrAH ta alpAH pRTak pAdezu gRhItvA saBA maDye nidaDati ||
             [dāsaḥ pādau prakṣālayati || KauśS_2,7{17}.15 ||	[dAsaH pAdO prakzAlayati || KOSH _2,7{17}.15 ||
             mahāśūdra upasiñcati || KauśS_2,7{17}.16 ||]	mahA SUdraH upasiQcati || KOSH _2,7{17}.16 ||]
   dāsaḥ pādau prakṣālayati rājakīyo mahāśūdraḥ prakṣālanaṃ dadāti | purohito	dAsaH pAdO prakzAlayati rAjakIyaH mahA SUdraH prakzAlanam dadAti | purohitaH 
   'bhūto bhūteṣu' iti sūktaṃ japati ||	aBUtaH BUta izu a iti sUktam japati ||
             [kṛtasampannānakṣānātṛtīyaṃ vicinoti || KauśS_2,7{17}.17 ||]	[kRta sampanna anakzAnAtRtIyam vicinoti || KOSH _2,7{17}.17 ||]
   rājā dyūtakrīḍāṃ karoti | punaḥ purohitaḥ 'bhūto bhūteṣu' iti sūktaṃ	rAjA dyUta krIxAm karoti | punar purohitaH aBUtaH BUta izu a iti sUktam
   japati | eko dāyaścaturṇāṃ varṇānām | trayaḥ dāyāḥ rājñaḥ | sarvavarṇān	japati | ekaH dAyaH caturNAm varNAnAm | trayaH dAyAH rAjQaH | sarva varNAn
   sarvatra pālayate rājā ||	sarvatra pAlayate rAjA ||
             [vaiśyaḥ sarvasvajainamupatiṣṭhate utsṛjāyuṣman iti ||	[vESyaH sarva sva ja enam upatizWate utsRja Ayuzman iti ||
   KauśS_2,7{17}.18 ||]	KOSH _2,7{17}.18 ||]
   vaiśyaḥ rājānamupatiṣṭhate 'utsṛjāyuṣman' iti mantreṇa ||	vESyaH rAjAnam upatizWate autsRja Ayuzmana iti mantreNa ||
             [utsṛjāmi brāhmaṇāyotsṛjāmi kṣatriyāyotsṛjāmi vaiśyāya dharmo me	[utsRjAmi brAhmaNAya utsRjAmi kzatriyAya utsRjAmi vESyAya DarmaH me
   janapade caryatām iti || KauśS_2,7{17}.19 ||]	janapade caryatAm iti || KOSH _2,7{17}.19 ||]
   tato rājā brūte 'brāhmaṇāya' | anujñāmāhaitairmantraiḥ ||	tatas rAjA brUte abrAhmaNAya a | anujQAm Aha etEH mantrEH ||
             pratipadyate || KauśS_2,7{17}.20 ||	pratipadyate || KOSH _2,7{17}.20 ||
             [āśayati || KauśS_2,7{17}.21 ||]	[ASayati || KOSH _2,7{17}.21 ||]
   tataḥ sthālīpākaṃ 'bhūto bhūteṣu' iti sūktena sampātyābhimantrya	tatas sTAlIpAkam aBUtaH BUta izu a iti sUktena sampAtyA aBimantrya
   rājānamāśayati ||	rAjAnam ASayati ||
             [aśvamārohyāparājitāṃ pratipādayati || KauśS_2,7{17}.22 ||]	[aSvam Arohya aparAjitAm pratipAdayati || KOSH _2,7{17}.22 ||]
   'bhūto bhūteṣu' ityanenāśvamabhimantryārohyāparājitāṃ pādayati ||	aBUtaH BUta izu a iti anena aSvam aBimantrI a Arohya aparAjitAm pAdayati ||
             [sabhāmudāyati || KauśS_2,7{17}.23 ||]	[saBAm udAyati || KOSH _2,7{17}.23 ||]
   punaḥ sabhāṃ pragacchati ||	punar saBAm pragacCati ||
             [madhumiśraṃ brāhmaṇān bhojayati || KauśS_2,7{17}.24 ||]	[maDu miSram brAhmaNAn Bojayati || KOSH _2,7{17}.24 ||]
   tato madhumiśraṃ miṣṭamannaṃ brāhmaṇān bhojayati ||	tatas maDu miSram mizwam annam brAhmaNAn Bojayati ||
             [rasānāśayati || KauśS_2,7{17}.25 ||]	[rasA AnASayati || KOSH _2,7{17}.25 ||]
   tantraṃ kṛtvā tato 'bhūto bhūteṣu' iti sūktena rasān sampātyābhimantrya	tantram kRtvA tatas aBUtaH BUta izu a iti sUktena rasAn sampAtyA aBimantrya
   rājānamāśayati | abhyātānādyuttaratantram | sahasraṃ gavāṃ grāmavaraśca	rAjAnam ASayati | aByAtAnAdi uttaratantram | sahasram gavAm grAma varaH ca
   dakṣiṇā ||	dakziNA ||
             [māhiṣāṇyupayāti || KauśS_2,7{17}.26 ||]	[mAhizANi upayAti || KOSH _2,7{17}.26 ||]
   tataḥ strīṇāṃ gṛhe yāti ||	tatas strINAm gRhe yAti ||
             [kuryurgāmiti gārgyapārthaśravasau neti bhāgaliḥ ||	[kuryuH gAm iti gArgya pArTa SravasO na iti BAgaliH ||
   KauśS_2,7{17}.27 ||]	KOSH _2,7{17}.27 ||]
   tatra madhuparko deyaḥ | mahābhiṣekaḥ samāptaḥ | ataḥprabhṛti	tatra maDuparkaH deyaH | mahA aBizekaH samAptaH | atas praBRti
   rājakarmādhikāraḥ | ghṛtāvekṣaṇaṃ purohitakarmārātrikaṃ	rAja karma aDikAraH | GRta avekzaNam purohita karma arAtrikam
   nakṣatrapūjāgrahapūjādikaṃ kartavyam ||	nakzatra pUjA graha pUjA Adikam kartavyam ||
             imamindra vardhaya kṣatriyaṃ me (4.22) iti kṣatriyaṃ	imam indra varDaya kzatriyam me (4.22) iti kzatriyam
   prātaḥprātarabhimantrayate || KauśS_2,7{17}.28 ||	prAtar prAtar aBimantrayate || KOSH _2,7{17}.28 ||
             [uktaṃ samāsecanaṃ viparidhānam || KauśS_2,7{17}.29 ||]	[uktam samAsecanam vipariDAnam || KOSH _2,7{17}.29 ||]
   'imamindra' ityudapātraṃ samāsiñcete udakadhārayā | tato rājā brūyāt	aimam indra a iti udapAtram samAsiQcete udaka DArayA | tatas rAjA brUyAt 
   'sahaiva nau' iti | tataḥ purohito brūyāt 'yo duṣkṛtam' iti | tataḥ	asaha eva nO a iti | tatas purohitaH brUyAt ayaH duzkRtam a iti | tatas 
   purohitaḥ sūktaṃ japati ||	purohitaH sUktam japati ||
             [savitā prasavānām (5.24) iti paurohitye vatsyan vaiśvalopīḥ	[savitA prasavAnAm (5.24) iti pOrohitye vatsyan vESvalopIH
   samidha ādhāya || KauśS_2,7{17}.30 ||]	samiDaH ADAya || KOSH _2,7{17}.30 ||]
   tataḥ 'savitā prasavānām' iti sūktena paurohitye vatsyan śūdreṇa āhṛtāḥ	tatas asavitA prasavAnAm a iti sUktena pOrohitye vatsyan SUdreNa AhRtAH
   samidha ādadhāti | 'atharvāṅgirasaḥ purohito bhavati' iti gopathabrāhmaṇe	samiDaH AdaDAti | aaTarvA aFgirasaH purohitaH Bavati a iti gopaTa brAhmaNe
   uktam | rājakarmasu pañcagṛhītamājyaṃ sarvatra | hastitrasanādīni	uktam | rAja karmasu paQcagRhItam Ajyam sarvatra | hastitrasana AdIni
   abhiṣekāntāni rājakarmāṇi ||	aBizeka antAni rAja karmANi ||
             [indra kṣatram (7.84.2 3) iti kṣatriyamupanayīta ||	[indra kzatram (7.84.2 3) iti kzatriyam upanayIta ||
   KauśS_2,7{17}.31 ||]	KOSH _2,7{17}.31 ||]
   'indra kṣatram' iti dvābhyāmṛgbhyāmupanayanam | tantra 'asmin vasu' (1.9)	aindra kzatram a iti dvAByAmRgByAm upanayanam | tantra aasmin vasu a (1.9)
   iti gaṇasthāne kṣatriyamabhimantrayate | kṣatriyarayopanayanaṃ kuryāt |	iti gaNa sTAne kzatriyam aBimantrayate | kzatriya raya upanayanam kuryAt |
   kṣatriyasyopanayane viśeṣaḥ | samānamanyat ||	kzatriyasya upanayane viSezaH | samAnam anyat ||
             tadāhurna kṣatriyaṃ sāvitrīṃ vācayediti || KauśS_2,7{17}.32 ||	tat AhuH na kzatriyam sAvitrIm vAcayet iti || KOSH _2,7{17}.32 ||
             [kathaṃ nu tamupanayīta yanna vācayet || KauśS_2,7{17}.33 ||	[kaTam nu tam upanayIta yat na vAcayet || KOSH _2,7{17}.33 ||
             vācayedeva vācayedeva || KauśS_2,7{17}.34 ||]	vAcayet eva vAcayet eva || KOSH _2,7{17}.34 ||]
   atha vācayediti vikalpaṃ manyante ācāryāḥ | samāptaṃ	aTa vAcayet iti vikalpam manyante AcAryAH | samAptam
   kṣatriyasyopanayanakarma | tatra ślokaḥ  	kzatriyasya upanayana karma | tatra SlokaH  
             medhāsāmpadakarmāṇi sāmmanasyaṃ ca varcasam.	meDA sAmpada karmANi sAmmanasyam ca varcasam.
             kramācca rājakarmāṇi dvitīye'smin maharṣiṇā ||	kramAt ca rAja karmANi dvitIye asmin mahA RziNA ||
   aṣṭamī kaṇḍikā || KKp_17 ||	azwamI kaNxikA || KKB _17 ||
   || dvitīyo'dhyāyaḥ samāptaḥ ||	|| dvitIyaH aDyAyaH samAptaH ||
   atha tṛtīyo'dhyāyaḥ	aTa tRtIyaH aDyAyaH
   [nirṛtikarmāṇi]	[nirRti karmANi]
   nirṛtikarmaṇāṃ vidhiṃ vakṣyāmaḥ | ā puṣṭikarmabhyo yāvat.	nirRti karmaNAm viDim vakzyAmaH | A puzwi karmaByaH yAvat .
             [pūrvasya pūrvasyāṃ paurṇamāsyāmastamita udakānte	[pUrvasya pUrvasyAm pOrNamAsyAm astamite udaka ante
   kṛṣṇacailaparihito nirṛtikarmāṇi prayuṅkte || KauśS_3,1{18}.1 ||]	kRzNa cEla parihitaH nirRti karmANi prayuFkte || KOSH _3,1{18}.1 ||]
   paurṇamāsyāṃ rātrau nirṛtikarma kuryāt | kṛṣṇavasanaparihito'gniṃ	pOrNamAsyAm rAtrO nirRti karma kuryAt | kRzNa vasana parihitaH agnim
   gṛhītvodakānte gatvā nāvyopari caṭitvāgniṃ prajvālya 'ye triṣaptāḥ' (1.1)	gRhItvA udaka ante gatvA nAvya upari cawitvA agnim prajvAlya aye trizaptAH a (1.1)
   iti sūktena bhaktaṃ sampātyābhimantryāśnāti | na tantram ||	iti sUktena Baktam sampAtyA aBimantrya aSnAti | na tantram ||
             [nāvyāyā dakṣiṇāvarte śāpeṭaṃ nikhanet || KauśS_3,1{18}.2 ||]	[nAvyAyAH dakziNa Avarte SApewam niKanet || KOSH _3,1{18}.2 ||]
   śāpeṭaṃ gartaṃ nikhanet ||	SApewam gartam niKanet ||
             [apāṃ sūktairavasiñcati || KauśS_3,1{18}.3 ||]	[apAm sUktEH avasiQcati || KOSH _3,1{18}.3 ||]
   tatroparyapāṃ sūktaiḥ snātvā ||	tatra upari apAm sUktEH snAtvA ||
             apsu kṛṣṇaṃ jahāti || KauśS_3,1{18}.4 ||	apsu kRzNam jahAti || KOSH _3,1{18}.4 ||
             [ahatavasana upamucyopānahau jīvaghātyāyā udāvrajati ||	[ahata vasanaH upamucya upAnahO jIva GAtyAyAH udAvrajati ||
   KauśS_3,1{18}.5 ||]	KOSH _3,1{18}.5 ||]
   ahatavasano bhūtvopamucyopānahau tato gṛha āgacchati ||	ahata vasanaH BUtvA upamucya upAnahO tatas gRhaH AgacCati ||
             [proṣya tāmuttarasyāṃ sāmpadaṃ kurute || KauśS_3,1{18}.6 ||]	[prozya tAm uttarasyAm sAmpadam kurute || KOSH _3,1{18}.6 ||]
   tataḥ sāmpadaṃ vā pauṣṭikaṃ vā kurute | kevalaṃ vā kurute ||	tatas sAmpadam vA pOzwikam vA kurute | kevalam vA kurute ||
             [śāpeṭamālipyāpsu nibadhya tasminnupasamādhāya sampātavantaṃ	[SA pewam Alipya apsu nibaDya tasmin= upasamADAya sampAtavantam
   karoti || KauśS_3,1{18}.7 ||	karoti || KOSH _3,1{18}.7 ||
             aśnāti || KauśS_3,1{18}.8 ||	aSnAti || KOSH _3,1{18}.8 ||
             ādhāya kṛṣṇaṃ pravāhayati || KauśS_3,1{18}.9 ||	ADAya kRzNam pravAhayati || KOSH _3,1{18}.9 ||
             upamucya jaradupānahau savyena jaracchattraṃ dakṣiṇena	upamucya jarat upAnahO savyena jarat Cattram dakziNena
   śālātṛṇānyādīpya jīrṇaṃ vīriṇamabhinyasyati || KauśS_3,1{18}.10 ||	SAlAtRNAni AdIpya jIrNam vIriNam aBinyasyati || KOSH _3,1{18}.10 ||
             anāvṛtamāvṛtya sakṛjjuhoti || KauśS_3,1{18}.11 ||]	anAvRtam AvRtya sakRt juhoti || KOSH _3,1{18}.11 ||]
   kṛṣṇavastraparihito vimucya jaradupānahau vāmena hastena jaracchatraṃ	kRzNa vastra parihitaH vimucya jarat upAnahO vAmena hastena jarat Catram
   gṛhītvā dakṣiṇena hastena śālātṛṇapūlake'gniṃ kṛtvā jīrṇe vīriṇe'gniṃ	gRhItvA dakziNena hastena SAlA tRNa pUlake agnim kRtvA jIrNe vIriNe agnim
   prajvālyāpradakṣiṇaṃ bhūtvā nirṛtidiśamabhimukho bhūtvā 'ye triṣaptāḥ' iti	prajvAlya apradakziNam BUtvA nirRti diSam aBimuKaH BUtvA aye trizaptAH a iti
   sūktenājyaṃ sakṛjjuhoti ||	sUktena Ajyam sakRt juhoti ||
             [savyaṃ praharatyupānahau ca || KauśS_3,1{18}.12 ||]	[savyam praharati upAnahO ca || KOSH _3,1{18}.12 ||]
