   akāmataḥ kāmacāre Yj_2.162c	akAmatas kAmacAre Yt-_2.162c
   gṛhītavetanaḥ karma Yj_2.193a	gRhIta-vetanaH karma Yd-_2.193a
   gṛhītavetanā veśyā Yj_2.292a	gRhIta-vetanA veSyA Yt-_2.292a
   gṛhītaśiśnaś cotthāya Yj_1.17a	gRhIta-SiSnaH ca-utTAya Yt-_1.17a
   gṛhītaṃ strīdhanaṃ bhartā Yj_2.147c	gRhItam strIDanam BartA Yt-_2.147c
   gṛhītaḥ śaṅkayā caurye Yj_2.269a	gRhItaH SaFkayA cOrye Yj_2.269a
   gṛhītānukramād dāpyo Yj_2.41a	gRhIta-anukramAt dApyaH Yt-_2.41a
   gṛhīto varuṇāya tam Yj_2.307b	gRhItaH varuNAya tam Yt-_2.307b
   gṛhītvā svayam arpayet Yj_2.169d	gRhItvA svayam arpayet Yt-_2.169d
   gṛhītvotkṛtya vṛṣaṇau Yj_3.259c	gRhItvA-utkRtya vRzaNO Yt-_3.259c
   gṛhītvorū jalaṃ vaśet Yj_2.108d	gRhItvA-UrU jalam vaSet Yt-_2.108d
   gṛhe 'pi nivasan vipro Yj_1.181c	gRhe api nivasan vipraH Yt-_1.181c
   gṛhe pracchanna utpanno Yj_2.129a	gRhe pracCannaH utpannaH Yt-_2.129a
   gṛhṇan dāpyaḥ paṇān daśa Yj_2.263b	gRhNan dApyaH paNAn daSa Yt-_2.263b
   gṛhṇan pradātāram adho Yj_1.202c	gRhNan pradAtAram aDas Yj_1.202c
   gṛhṇīyāt kṣatriyā śaram Yj_1.62b	gRhNIyAt kzatriyA Saram Yt-_1.62b
   gṛhṇīyād dhūrtakitavād Yj_2.199c	gRhNIyAt DUrta-kitavAt Yt-_2.199c
   geyam etat tadabhyāsa- Yj_3.114c	geyam etat tad-aByAsa Yt-_3.114c
   goghrātaṃ śakunocchiṣṭaṃ Yj_1.168c	go-GrAtam Sakuna-ucCizwam Yt-_1.168c
   goghrāte 'nne tathā keśa- Yj_1.189a	go-GrAte anne taTA keSa Yt-_1.189a
   gopayaḥ parivarjayet Yj_1.170b	go-payaH parivarjayet Yt-_1.170b
   gopaśauṇḍikaśailūṣa- Yj_2.48a	gopa-SONxika-SElUza Yt-_2.48a
   gopas tāḍyaś ca gomī tu Yj_2.161c	gopaH tAxyaH ca gomI tu Yt-_2.161c
   gopāḥ sīmākṛṣāṇā ye Yj_2.150c	gopAH sImA-kRzANAH ye Yd-_2.150c
   gopyādhibhoge no vṛddhiḥ Yj_2.59a	gopya-aDi-Boge naH vRdDiH Yt-_2.59a
   gopradānena śudhyati Yj_3.263d	go-pradAnena SuDyati Yt-_3.263d
   gobrāhmaṇānalānnāni Yj_1.155a	go-brAhmaNa-anala-annAni Yt-_1.155a
   gobrāhmaṇārthaṃ saṃgrāme Yj_3.27c	go-brAhmaNa-arTam saMgrAme Yt-_3.27c
   go'bhiśāpātyaye striyām Yj_2.12b	go-aBiSApa-atyaye striyAm Yd-_2.12b
   gobhūtilahiraṇyādi Yj_1.201a	go-BU-tila-hiraNya-Adi Yt-_1.201a
   gomayaṃ gaurasarṣapān Yj_3.13b	gomayam gOrasarzapAn Yt-_3.13b
   gomūtraṃ gomayaṃ kṣīraṃ Yj_3.314a	go-mUtram gomayam kzIram Yt-_3.314a
   govadho vrātyatā steyam Yj_3.234a	go-vaDaH vrAtya-tA steyam Yt-_3.234a
   govālaiś cāvagharṣaṇam Yj_3.60d	go-vAlEH ca-avaGarzaNam Yt-_3.60d
   govālaiḥ phalasaṃbhuvām Yj_1.185b	go-vAlEH Pala-saMBuvAm Yt-_1.185b
   goṣṭhe vasan brahmacārī Yj_3.289a	gozWe vasan brahmacArI Yt-_3.289a
   goṣṭheśayo go'nugāmī Yj_3.263c	gozWeSayaH go-anugAmI Yt-_3.263c
   gauravaṃ mūrtim eva ca Yj_3.78b	gOravam mUrtim eva ca Yt-_3.78b
   gaur aśvo vasudhānilaḥ Yj_1.193b	gOH aSvaH vasuDA-anilaH Yt-_1.193b
   gaurasarṣapakalkena Yj_1.277c	gOrasarzapa-kalkena Yt-_1.277c
   gauras tu te trayaḥ ṣaṭ te Yj_1.363a	gOraH tu te trayaH zaw te Yd-_1.363a
   gaur deyā karmaṇo 'syānte Yj_3.304c	gOH deyA karmaNaH asya-ante Yt-_3.304c
   gaus tadardham ajāvikam Yj_2.159d	gOH tad-arDam ajAvikam Yt-_2.159d
   grahaṇaṃ candrasūryayoḥ Yj_1.218b	grahaNam candra-sUryayoH Yt-_1.218b
   grahaṇāntikam ity eke Yj_1.36c	grahaNa-antikam iti eke Yt-_1.36c
   grahayajñaṃ samācaret Yj_1.295b	graha-yajQam samAcaret Yt-_1.295b
   grahasaṃyogajaiḥ phalaiḥ Yj_3.171d	graha-saMyoga-jEH PalEH Yt-_3.171d
   grahāṇām idam ātithyaṃ Yj_1.308Aa	grahANAm idam AtiTyam Yt-_1.308Aa
   grahādhīnā narendrāṇām Yj_1.308a	graha-aDInAH narendrANAm Yt-_1.308a
   grahāṃś caiva vidhānataḥ Yj_1.293b	grahAn ca-eva viDAnataH Yt-_1.293b
   grāmabhartur anirgate Yj_2.271b	grAma-BartuH anirgate Yt-_2.271b
   grāmād āhṛtya vā grāsān Yj_3.55a	grAmAt AhRtya vA grAsAn Yt-_3.55a
   grāme kṣetrāntaraṃ bhavet Yj_2.167b	grAme kzetra-antaram Bavet Yt-_2.167b
   grāmyecchayā gopracāro Yj_2.166a	grAmya-icCayA go-pracAraH Yt-_2.166a
   grāhakair gṛhyate cauro Yj_2.266a	grAhakEH gRhyate cOraH Yt-_2.266a
   grāhyaṃ ye guṇavattamāḥ Yj_2.78d	grAhyam ye guNavattamAH Yt-_2.78d
   grīvā pañcadaśāsthiḥ syāj Yj_3.88c	grIvA paQcadaSa-asTiH syAt Yt-_3.88c
   grīṣme pañcāgnimadhyastho Yj_3.52a	grIzme paQcAgni-maDya-sTaH Yt-_3.52a
   glahe śatikavṛddhes tu Yj_2.199a	glahe Satika-vRdDeH tu Yt-_2.199a
   ghaṭādiṣu pṛthag bhavet Yj_3.144b	Gawa-Adizu pRTak Bavet Yt-_3.144b
   ghaṭe 'pavarjite jñāti- Yj_3.299a	Gawe apavarjite jQAti Yt-_3.299a
   ghātayed vividhair vadhaiḥ Yj_2.270b	GAtayet viviDEH vaDEH Yt-_2.270b
   ghātārthaṃ cet samāgataḥ Yj_3.252b	GAta-arTam ced samAgataH Yt-_3.252b
   ghātite 'pahṛte doṣo Yj_2.271a	GAtite apahRte dozaH Yt-_2.271a
   ghṛtaṃ prāśya viśudhyati Yj_3.277d	GRtam prASya viSuDyati Yt-_3.277d
   ghṛtābhyakta ṛtāv iyāt Yj_1.68d	GRta-aByaktaH RtO iyAt Yt-_1.68d
   cakravad bhrāmyate hy asau Yj_3.182d	cakra-vat BrAmyate hi asO Yd-_3.182d
   cakraṃ saṃparivartate Yj_3.124d	cakram saMparivartate Yt-_3.124d
   cakṣuṣaś ca divākaraḥ Yj_3.128b	cakzuzaH ca divAkaraH Yt-_3.128b
   caṇḍālaś cottamān spṛśet Yj_2.234d	caNxAlaH ca-uttamAn spRSet Yt-_2.234d
   catasraḥ koṭya eva ca Yj_3.103b	catasraH kowyaH eva ca Yt-_3.103b
   caturaḥ pañca mānuṣe Yj_2.174b	caturaH paQca mAnuze Yt-_2.174b
   caturthaṃ pathi saṃtyajan Yj_2.198b	caturTam paTi saMtyajan Yt-_2.198b
   caturthe māsi niṣkramaḥ Yj_1.12b	caturTe mAsi nizkramaH Yt-_1.12b
   caturdaśa prathamajaḥ Yj_1.59c	caturdaSa praTama-jaH Yt-_1.59c
   caturbhiḥ kalaśair hradāt Yj_1.280b	caturBiH kalaSEH hradAt Yt-_1.280b
   caturviṃśatikaḥ pṛthak Yj_2.291d	caturviMSatikaH pRTak Yt-_2.291d
   caturviṃśatiko daṇḍas Yj_2.293c	caturviMSatikaH daNxaH Yt-_2.293c
   caturviṃśāc ca vatsarāt Yj_1.37b	caturviMSAt ca vatsarAt Yt-_1.37b
   catuṣpañcakam anyathā Yj_2.37d	catuzpaQcakam anyaTA Yt-_2.37d
   catuṣpādakṛto doṣo Yj_2.298a	catuzpAda-kRtaH dozaH Yt-_2.298a
   catuṣpād vyavahāro 'yaṃ Yj_2.8c	catuzpAd vyavahAraH ayam Yt-_2.8c
   catustridviguṇā parā Yj_2.39d	catur-tri-dviguNA parA Yt-_2.39d
   catustridvyekabhāgāḥ syur Yj_2.125a	catur-tri-dvi-eka-BAgAH syuH Yt-_2.125a
   catvāri śirasas tathā Yj_3.90b	catvAri SirasaH taTA Yt-_3.90b
   catvāriṃśac ca pañca ca Yj_3.88b	catvAriMSat ca paQca ca Yt-_3.88b
   catvāriṃśac chatadvayam Yj_3.324b	catvAriMSat Sata-dvayam Yt-_3.324b
   catvāriṃśadghṛtāhutīḥ Yj_3.302d	catvAriMSat-GRta-AhutIH Yt-_3.302d
   catvāro mūtram eva ca Yj_3.106b	catvAraH mUtram eva ca Yt-_3.106b
   catvāro vedadharmajñāḥ Yj_1.9a	catvAraH veda-Darma-jQAH Yt-_1.9a
   catvāro 'ṣṭau daśāpi vā Yj_2.152b	catvAraH azwO daSA-api vA Yt-_2.152b
   catvāryaratnikāsthīni Yj_3.86c	catvAri-aratnikA-asTIni Yt-_3.86c
   candanāt svarṇakād ubhau Yj_1.297b	candanAt svarNakAt uBO Yt-_1.297b
   candanair yaś ca liṃpati Yj_3.53b	candanEH yaH ca liMpati Yt-_3.53b
   candrasyaiti salokatām Yj_3.326d	candrasya-eti salokatAm Yt-_3.326d
   caravaḥ pratidaivatam Yj_1.299d	caravaH pratidEvatam Yt-_1.299d
   caritavrata āyāte Yj_3.295a	carita-vrataH AyAte Yt-_3.295a
   caritrabandhakakṛtaṃ Yj_2.61a	caritra-banDaka-kRtam Yt-_2.61a
   carusruksruvasasneha- Yj_1.183c	caru-sruc-sruva-sa-sneha Yt-_1.183c
   caruḥ sārasvato dvijaiḥ Yj_2.83d	caruH sArasvataH dvijEH Yt-_2.83d
   cared āgneyam eva vā Yj_3.286b	caret Agneyam eva vA Yt-_3.286b
   cared brahmahaṇi vratam Yj_3.251b	caret brahma-haNi vratam Yt-_3.251b
   cared vāpi samāhitaḥ Yj_3.264b	caret vA-api samAhitaH Yt-_3.264b
   cared vratam ahatvāpi Yj_3.252a	caret vratam ahatvA-api Yt-_3.252a
   carmaṇy ānaḍuhe rakte Yj_1.280c	carmaNi Anaxuhe rakte Yt-_1.280c
   cāṭataskaradurvṛtta- Yj_1.336a	cAwa-taskara-durvRtta Yt-_1.336a
   cāṇḍālo jāyate yajña- Yj_1.127a	cANxAlaH jAyate yajQa Yt-_1.127a
   cāturmāsyāni caiva hi Yj_1.125d	cAturmAsyAni ca-eva hi Yt-_1.125d
   cādagdhvā na nivartate Yj_1.341d	ca-adagDvA na nivartate Yt-_1.341d
   cāndrāyaṇam athāparam Yj_3.324d	cAndrAyaNam aTa-aparam Yt-_3.324d
   cāndrāyaṇaṃ caret sarvān Yj_3.262a	cAndrAyaNam caret sarvAn Yd-_3.262a
   cāndrāyaṇaṃ vā trīn māsān Yj_3.260c	cAndrAyaNam vA trIn mAsAn Yt-_3.260c
   cāndrāyaṇair nayet kālaṃ Yj_3.50a	cAndrAyaNEH nayet kAlam Yt-_3.50a
   cāpalye cānṛte 'pi ca Yj_3.279d	cApalye ca-anRte api ca Yt-_3.279d
   cārāṇāṃ gūḍhabhāṣitam Yj_1.330b	cArANAm gUXa-BAzitam Yt-_1.330b
   cāriṇāṃ rikthabhāginaḥ Yj_2.137b	cAriNAm rikTa-BAginaH Yt-_2.137b
   cārair jñātvā viceṣṭitam Yj_1.338b	cArEH jQAtvA vicezwitam Yt-_1.338b
   cāṣāṃś ca raktapādāṃś ca Yj_1.175a	cAzAn ca rakta-pAdAn ca Yt-_1.175a
   cikitsakāturakruddha- Yj_1.162a	cikitsaka-Atura-krudDa Yt-_1.162a
   cintayed ātmano hitam Yj_1.115b	cintayet AtmanaH hitam Yt-_1.115b
   cibuke galaśuṇḍike Yj_3.98b	cibuke galaSuNxike Yt-_3.98b
   cīrī lavaṇahārakaḥ Yj_3.215d	cIrI lavaNahArakaH Yt-_3.215d
   cīrṇavratān api sataḥ Yj_3.298c	cIrNa-vratAn api sataH Yt-_3.298c
   cūḍā kāryā yathākulam Yj_1.12d	cUxA kAryA yaTAkulam Yt-_1.12d
   ceṣṭābhojanavāgrodhe Yj_2.220a	cezwA-Bojana-vAc-roDe Yt-_2.220a
   caityaśmaśānasīmāsu Yj_2.228a	cEtya-SmaSAna-sImAsu Yd-_2.228a
   caityādyair upalakṣitām Yj_2.151d	cEtya-AdyEH upalakzitAm Yt-_2.151d
   cailadhāvasurājīva- Yj_1.164c	cElaDAvasu-rAjIva Yt-_1.164c
   cauradaṇḍena daṇḍayet Yj_2.269d	cOra-daNxena daNxayet Yt-_2.269d
   cauravad daṇḍam arhati Yj_2.162d	cOra-vat daNxam arhati Yt-_2.162d
   cauraṃ pradāpyāpahṛtaṃ Yj_2.270a	cOram pradApya-apahRtam Yt-_2.270a
   cauroddhartur avītake Yj_2.271d	cOra-udDartuH avItake Yt-_2.271d
   cauryapāruṣyasāhase Yj_2.72d	cOrya-pAruzya-sAhase Yt-_2.72d
   cchedane japyam ṛkśatam Yj_3.276b	cCedane japyam Rc-Satam Yt-_3.276b
   chatramālyānulepanam Yj_1.211b	Catra-mAlya-anulepanam Yt-_1.211b
   chatrākaṃ grāmakukkuṭam Yj_1.176b	CatrAkam grAma-kukkuwam Yt-_1.176b
   chalaṃ nirasya bhūtena Yj_2.19a	Calam nirasya BUtena Yt-_2.19a
   chittvā jihvāṃ pravāsayet Yj_2.302d	CittvA jihvAm pravAsayet Yt-_2.302d
   chinnanasyena yānena Yj_2.299a	Cinna-nasyena yAnena Yt-_2.299a
   chuddhiṃ tasya vinirdiśet Yj_2.111d	CudDim tasya vinirdiSet Yt-_2.111d
   chūdrāt kṣattāram eva ca Yj_1.94b	CUdrAt kzattAram eva ca Yt-_1.94b
   chedane karṇanāsayoḥ Yj_2.219b	Cedane karNa-nAsayoH Yt-_2.219b
   cheṣād bhūtabaliṃ haret Yj_1.103b	CezAt BUta-balim haret Yt-_1.103b
   cheṣeṣu pitṛgāmi tat Yj_2.145d	Cezezu pitR-gAmi tat Yt-_2.145d
   chrāddhe vratam apīḍayan Yj_1.32d	CrAdDe vratam apIxayan Yt-_1.32d
   chreyāṃś ced vara āvrajet Yj_1.65d	CreyAn ced varaH Avrajet Yt-_1.65d
   chrotriyāṇāṃ mahākulāt Yj_1.54b	SrotriyANAm mahA-kulAt Yt-_1.54b
   jagac ca sacarācaram Yj_3.128d	jagat ca sacarAcaram Yt-_3.128d
   jagataś cātmasaṃbhavaḥ Yj_3.117d	jagataH ca-Atma-saMBavaH Yt-_3.117d
   jagad ānandayet sarvam Yj_1.356c	jagat Anandayet sarvam Yt-_1.356c
   jagadudbhūtam ātmā ca Yj_3.118c	jagat-udBUtam AtmA ca Yt-_3.118c
   jagdhvā cāndrāyaṇaṃ caret Yj_1.176d	jagDvA cAndrAyaNam caret Yt-_1.176d
   jagdhvā pare 'hny upavaset Yj_3.314c	jagDvA pare ahni upavaset Yt-_3.314c
   jaghanād antarikṣaṃ ca Yj_3.128c	jaGanAt antarikzam ca Yt-_3.128c
   jaṅghayos tāvad eva tu Yj_3.86d	jaFGayoH tAvat eva tu Yt-_3.86d
   jaṅghoruṣu ca piṇḍikā Yj_3.97d	jaFGA-Uruzu ca piNxikA Yt-_3.97d
   jaṭālomabhṛd ātmavān Yj_3.46d	jawA-loma-BRt AtmavAn Yt-_3.46d
   jaḍabāladhanair vinā Yj_2.25b	jaxa-bAla-DanEH vinA Yt-_2.25b
   jatrv ekaikaṃ tathā hanuḥ Yj_3.88d	jatru ekEkam taTA hanuH Yt-_3.88d
   janakośātmaguptaye Yj_1.321d	jana-koSa-Atma-guptaye Yt-_1.321d
   janayāmāsa vai sutam Yj_1.94d	janayAmAsa vE sutam Yt-_1.94d
   janmanā maraṇena ca Yj_3.170b	janmanA maraNena ca Yt-_3.170b
   janmāntaraśataiḥ kṛtam Yj_2.75b	janma-antara-SatEH kRtam Yt-_2.75b
   japadbhir laukikāgninā Yj_3.2b	japadBiH lOkika-agninA Yt-_3.2b
   japann āsīta sāvitrīṃ Yj_1.24c	japan AsIta sAvitrIm Yt-_1.24c
   japayajñaprasiddhyarthaṃ Yj_1.101c	japa-yajQa-prasidDi-arTam Yt-_1.101c
   japaḥ pracchannapānānāṃ Yj_3.33c	japaH pracCanna-pAnAnAm Yt-_3.33c
   japed āyantu nas tataḥ Yj_1.233d	japet Ayantu naH tatas Yj_1.233d
   japed vyāhṛtipūrvikām Yj_1.23b	japet vyAhRti-pUrvikAm Yt-_1.23b
   japen mantrān samāhitaḥ Yj_1.99b	japet mantrAn samAhitaH Yt-_1.99b
   japtvā pūrvajapaṃ tathā Yj_1.240d	japtvA pUrva-japam taTA Yt-_1.240d
   japtvā yathāsukhaṃ vācyaṃ Yj_1.239c	japtvA yaTAsuKam vAcyam Yt-_1.239c
   japtvā sahasraṃ gāyatryāḥ Yj_3.311c	japtvA sahasram gAyatryAH Yt-_3.311c
   jarā rūpaviparyayaḥ Yj_3.63d	jarA rUpa-viparyayaH Yt-_3.63d
   jalaprapatanodyamī Yj_3.154d	jala-prapatana-udyamI Yt-_3.154d
   jalabudbudasaṃnibhe Yj_3.8d	jala-budbuda-saMniBe Yt-_3.8d
   jalabhūtimirais tathā Yj_3.172d	jala-BU-timirEH taTA Yt-_3.172d
   jalam ekāham ākāśe Yj_3.17a	jalam eka-aham AkASe Yt-_3.17a
   jalasthalaśikhaṇḍinaḥ Yj_3.272b	jala-sTala-SiKaNxinaH Yt-_3.272b
   jalasyāñjalayo daśa Yj_3.105b	jalasya-aQjalayaH daSa Yt-_3.105b
   jalaṃ tu prasṛtitrayam Yj_2.112d	jalam tu prasRti-trayam Yt-_2.112d
   jalaṃ piben nāñjalinā Yj_1.138a	jalam pibet na-aQjalinA Yt-_1.138a
   jalaṃ plavaḥ payaḥ kāko Yj_3.214c	jalam plavaH payaH kAkaH Yt-_3.214c
   jalaṃ bhūś ceti dhātavaḥ Yj_3.145b	jalam BUH ca-iti DAtavaH Yt-_3.145b
   jalaṃ muṇḍāṃś ca paśyati Yj_1.272d	jalam muNxAn ca paSyati Yt-_1.272d
   jalādhāreṣv ivāṃśumān Yj_3.144d	jala-ADArezu iva-aMSumAn Yj_3.144d
   jalānte chandasāṃ kuryād Yj_1.143c	jala-ante CandasAm kuryAt Yj_1.143c
   jale sthitvābhijuhuyāc Yj_3.302c	jale sTitvA-aBijuhuyAt Yt-_3.302c
   jāgaraiḥ svapnajair api Yj_3.172b	jAgarEH svapna-jEH api Yt-_3.172b
   jāṅgalaṃ deśam āvaset Yj_1.321b	jAFgalam deSam Avaset Yt-_1.321b
   jātadrumāṇāṃ dviguṇo Yj_2.228c	jAta-drumANAm dviguNaH Yt-_2.228c
   jātasya ca mṛtasya ca Yj_2.138d	jAtasya ca mRtasya ca Yt-_2.138d
   jātaḥ pāraśavo 'pi vā Yj_1.91d	jAtaH pAraSavaH api vE Yt-_1.91d
   jātaḥ paunarbhavaḥ sutaḥ Yj_2.130b	jAtaH pOnarBavaH sutaH Yt-_2.130b
   jātaḥ prāṇair viyujyate Yj_3.82d	jAtaH prANEH viyujyate Yt-_3.82d
   jātināmādinihnavaiḥ Yj_2.267b	jAti-nAma-Adi-nihnavEH Yt-_2.267b
   jātirūpavayovṛtta- Yj_3.151a	jAti-rUpa-vayaH-vRtta Yt-_3.151a
   jāto 'pi dāsyāṃ śūdreṇa Yj_2.133c	jAtaH api dAsyAm SUdreNa Yt-_2.133c
   jātyutkarṣo yuge jñeyaḥ Yj_1.96a	jAti-utkarzaH yuge jQeyaH Yt-_1.96a
   jānato dama uttamaḥ Yj_2.249d	jAnataH damaH uttamaH Yt-_2.249d
   jānato dama uttamaḥ Yj_2.276d	jAnataH damaH uttamaH Yt-_2.276d
   jānann api narādhamaḥ Yj_2.77b	jAnan api nara-aDamaH Yt-_2.77b
   jāmisaṃbandhimātulaiḥ Yj_1.157b	jAmi-saMbanDi-mAtulEH Yt-_1.157b
   jāyate 'nyāsu yoniṣu Yj_3.134d	jAyate anyAsu yonizu Yt-_3.134d
   jāyante lakṣaṇabhraṣṭā Yj_3.217c	jAyante lakzaNa-BrazwA Yt-_3.217c
   jāyante vidyayopetā Yj_3.218c	jAyante vidyayA-upetAH Yt-_3.218c
   jāyante hi sajātayaḥ Yj_1.90b	jAyante hi sajAtayaH Yt-_1.90b
   jāraṃ caurety abhivadan Yj_2.301a	jAram cOra-iti aBivadan Yt-_2.301a
   jālapādān khañjarīṭān Yj_1.174c	jAlapAdAn KaQjarIwAn Yt-_1.174c
   jālasūryamarīcisthaṃ Yj_1.362a	jAla-sUrya-marIci-sTam Yt-_1.362a
   jitam udgrāhayej jetre Yj_2.200c	jitam udgrAhayet jetre Yt-_2.200c
   jitaṃ sasabhike sthāne Yj_2.201c	jitam sa-saBike sTAne Yt-_2.201c
   jihmaṃ tyajeyur nirlābham Yj_2.265a	jihmam tyajeyuH nirlABam Yt-_2.265a
   jihvā pādau ca pañca vai Yj_3.92b	jihvA pAdO ca paQca vE Yt-_3.92b
   jīrṇakāṣāyadhāraṇam Yj_3.157d	jIrNa-kAzAya-DAraNam Yt-_3.157d
   jīvato 'ṣṭaśato damaḥ Yj_2.304d	jIvataH azwaSataH damaH Yt-_2.304d
   jīvann api viśudhyati Yj_3.246d	jIvan api viSuDyati Yt-_3.246d
   jīvann api viśudhyati Yj_3.248d	jIvan api viSuDyati Yt-_3.248d
   jīvet sa śaradaḥ śatam Yj_1.308Ad	jIvet sa SaradaH Satam Yt-_1.308Ad
   jīved vāpi śiloñchena Yj_1.128c	jIvet vA-api Sila-uQCena Yt-_1.128c
   jugupseran na cāpy enaṃ Yj_3.295c	jugupseran na ca-api enam Yt-_3.295c
   juhuyād āhutidvayam Yj_3.281d	juhuyAt Ahuti-dvayam Yt-_3.281d
   juhuyān mūrdhani kuśān Yj_1.284c	juhuyAt mUrDani kuSAn Yd-_1.284c
   jñātayo 'bhyupayanty apaḥ Yj_3.3b	jQAtayaH aByupayanti apaH Yt-_3.3b
   jñātayo vā hareyus tad- Yj_2.264c	jQAtayaH vA hareyuH tad Yt-_2.264c
   jñātiśraiṣṭhyaṃ sarvakāmān Yj_1.263c	jQAti-SrEzWyam sarva-kAmAn Yj_1.263c
   jñātvā naṣṭe balābalam Yj_2.181b	jQAtvA nazwe balAbalam Yt-_2.181b
   jñātvāparādhaṃ deśaṃ ca Yj_1.368a	jQAtvA-aparADam deSam ca Yt-_1.368a
   jñātvā rājā kuṭumbaṃ ca Yj_3.44c	jQAtvA rAjA kuwumbam ca Yt-_3.44c
   jñānaniṣṭho 'tithipriyaḥ Yj_3.205b	jQAna-nizWaH atiTi-priyaH Yt-_3.205b
   jñānam āyuḥ sukhaṃ dhṛtiḥ Yj_3.73b	jQAnam AyuH suKam DRtiH Yt-_3.73b
   jñānotpattinimittatvāt Yj_3.62c	jQAna-utpatti-nimitta-tvAt Yt-_3.62c
   jñeyajñe prakṛtau caiva Yj_3.154a	jQeya-jQe prakRtO ca-eva Yt-_3.154a
   jñeyaṃ cāraṇyakam ahaṃ Yj_3.110a	jQeyam ca-AraNyakam aham Yt-_3.110a
   jñeyaṃ yogam abhīpsatā Yj_3.110d	jQeyam yogam aBIpsatA Yt-_3.110d
   jñeyaḥ pañcadaśāhikaḥ Yj_3.322d	jQeyaH paQcadaSa-AhikaH Yt-_3.322d
   jyeṣṭhayā na vinetarā Yj_1.88d	jyezWayA na vinA-itarA Yt-_1.88d
   jyeṣṭhaṃ vā śreṣṭhabhāgena Yj_2.114c	jyezWam vA SrezWa-BAgena Yt-_2.114c
   jvalanārkasamo hi saḥ Yj_3.41d	jvalana-arka-samaH hi saH Yt-_3.41d
   takṣaṇaṃ dāruśṛṅgāsthnāṃ Yj_1.185a	takzaNam dAru-SRFga-asTnAm Yt-_1.185a
   tajjaḥ punāty ubhayataḥ Yj_1.58c	tad-jaH punAti uBayatas Yt-_1.58c
   taḍāgārāmavikrayaḥ Yj_3.237d	taxAga-ArAma-vikrayaH Yt-_3.237d
   tatas tān puruṣo 'bhyetya Yj_3.194a	tatas tAn puruzaH aByetya Yt-_3.194a
   tataḥ śuklāmbaradharaḥ Yj_1.292a	tatas Sukla-ambara-DaraH Yt-_1.292a
   tataḥ svairavihārī syān Yj_1.329a	tatas svEra-vihArI syAn Yt-_1.329a
   tato dhyeyaḥ sthito yo 'sau Yj_3.201a	tatas DyeyaH sTitaH yaH asO Yd-_3.201a
   tato niṣkalmaṣībhūtāḥ Yj_3.218a	tatas nizkalmazIBUtAH Yd-_3.218a
   tato 'bhivādayed vṛddhān Yj_1.26a	tatas aBivAdayet vRdDAn Yd-_1.26a
   tato māṃ tvam adho naya Yj_2.102b	tatas mAm tvam aDas naya Yt-_2.102b
   tato 'rthī lekhayet sadyaḥ Yj_2.7c	tatas arTI leKayet sadyas Yt-_2.7c
   tato 'haṃkārasaṃbhavaḥ Yj_3.179b	tatas ahaMkAra-saMBavaH Yt-_3.179b
   tatkarmaṇām anuṣṭhānaṃ Yj_3.156c	tad-karmaNAm anuzWAnam Yt-_3.156c
   tatkālakṛtamūlyo vā Yj_2.63a	tad-kAla-kRta-mUlyaH vE Yt-_2.63a
   tat tasyaiva dhanaṃ bhavet Yj_2.123b	tat tasya-eva Danam Bavet Yt-_2.123b
   tattvasmṛter upasthānāt Yj_3.160a	tattva-smRteH upasTAnAt Yt-_3.160a
   tatpāvanāya nirvāpyaś Yj_2.83c	tad-pAvanAya nirvApyaH Yt-_2.83c
   tat punas te samair aṃśair Yj_2.126c	tat punar te samEH aMSEH Yj_2.126c
   tat pramāṇaṃ smṛtaṃ lekhyaṃ Yj_2.89c	tat pramANam smRtam leKyam Yt-_2.89c
   tatra kā paridevanā Yj_3.9d	tatra kA paridevanA Yt-_3.9d
   tatra gatvāvatiṣṭhante Yj_3.188c	tatra gatvA-avatizWante Yd-_3.188c
   tatra tatra ca niṣṇātān Yj_1.322a	tatra tatra ca nizNAtAn Yd-_1.322a
   tatra tatra tilair homo Yj_3.309c	tatra tatra tilEH homaH Yt-_3.309c
   tatra tiṣṭhed avṛddhikaḥ Yj_2.63b	tatra tizWet avRdDikaH Yt-_2.63b
   tatra durgāṇi kurvīta Yj_1.321c	tatra durgANi kurvIta Yt-_1.321c
   tatra daivam abhivyaktaṃ Yj_1.349c	tatra dEvam aBivyaktam Yt-_1.349c
   tatra sākṣy anṛtaṃ vadet Yj_2.83b	tatra sAkzI anRtam vadet Yt-_2.83b
   tatra syāt sadṛśaṃ svāmyaṃ Yj_2.121c	tatra syAt sadRSam svAmyam Yt-_2.121c
   tatra syāt svāminaś chando Yj_2.195c	tatra syAt svAminaH CandaH Yt-_2.195c
   tatra hīnaṃ tu dāpayet Yj_2.18b	tatra hInam tu dApayet Yt-_2.18b
   tatrātmā hi svayaṃ kiṃcit Yj_3.68a	tatra-AtmA hi svayam kiMcid Yt-_3.68a
   tatrāyaṃ jāyate svayam Yj_1.56d	tatra-ayam jAyate svayam Yt-_1.56d
   tatrāṣṭāśītisāhasra- Yj_3.186a	tatra-azwASIti-sAhasra Yt-_3.186a
   tat satyaṃ vada kalyāṇi Yj_2.101c	tat satyam vada kalyANi Yt-_2.101c
   tatsamaṃ daṇḍam arhati Yj_2.33d	tad-samam daNxam arhati Yt-_2.33d
   tatsamaḥ putrikāsutaḥ Yj_2.128b	tad-samaH putrikA-sutaH Yt-_2.128b
