   Bhss_1.1:	BhsH-_1.1:
   yāntīṃ kāntāṃ sabhaya-caṭulāṃ dakṣiṇe draṣṭum utkaś	yAntIm kAntAm sa-Baya--cawulAm dakziNe drazwum utkaS
   cañcad-grīvaṃ diśi diśi dṛśau prerayan goṣṭham āyāt	caQcat--grIvam diSi diSi dRSO prerayan gozWam AyAt-
   (Govinda-līlāmṛtam 1.111)	(Govinda--lIlA-amRtam 1.111)
   Bhss_1.173:	BhsH-_1.173:
   mlānām utkṣipya mālāṃ tru ita-maṇisaraḥ kajjalaṃ vibhrad oṣṭhe	mlAnAm utkzipya mAlAm tru ita--maNi-saraH kajjalam viBrad ozWe
   saṃkīrṇāṅgo nakhāṅkair diśi diśi vikiran ghūrṇite netra-padme	saMkIrNa-aFgaH naKa-aFkEH diSi diSi vikiran GUrNite netra--padme
   paśya mlānāṅga-yaṣṭiḥ sphuṭam aparicito gopa-goṣṭhībhir agre	paSya mlAna-aFga-yazwiH sPuwam aparicitaH gopa-gozWIBiH agre
   goṣṭhe goṣṭhendra-sūnuḥ praviśati rajanau dhvaṃsam āsādayantyām	gozWe gozWa-indra-sUnuH praviSati rajanO DvaMsam AsAdayantyAm
   (Stava-mālā, Kuñja-bhaṅga 2)	(Stava--mAlA, KuQja-BaFgaH 2)
   Bhss_1.174:	BhsH-_1.174:
   anugatā jaṭilety abhiśaṅkinī	anugatA jawilA-iti aBiSaFkinI
   guru-nitamba-kucodvahanākulā	guru-nitamba-kuca-udvahana-AkulA
   druta-vilambita-valgu yayau vrajaṃ	druta--vilambita-valgu yayO vrajam
   kara-dhṛtāmbara-keśacayeśvarī	kara--DRta-ambara-keSa-cayeSvarI
   (Govinda-līlāmṛtam 1.112)	(Govinda--lIlA-amRtam 1.112)
   Bhss_1.175:	BhsH-_1.175:
   na vyālād api sambibheti purataḥ sthāṇor yathā dūrato	na vyAlAt api sambiBeti puratas sTANoH yaTA dUratas-
   nodvignā kari-garjitād api yathā kākāvalī-nisvanāt	na-udvignA kari-garjitAt api yaTA kAka-AvalI--nisvanAt
   naiveyaṃ timire'pi muhyati-tarāṃ kāmaṃ prakāśe yathā	na-eva-iyam timire-api muhyati-tarAm kAmam prakASe yaTA
   tan manye virahe'pi naiva vidhurā kāntasya yoge yathā	tat manye virahe-api na-eva viDurA kAntasya yoge yaTA
   (Jagannātha-vallabha-nāṭakam 5.34)	(JagannATa--vallaBa-nAwakam 5.34)
   Bhss_1.176:	BhsH-_1.176:
   bhayānurāgoccaya-dhūmra-lola-dṛk-	Baya-anurAga-uccaya--DUmra--lola-dRS--
   tiras-kariṇyā pihite manorathe	tiras-kariNyA pihite manoraTe
   nije niveśyaiva hi rūpa-mañjarī	nije niveSya-eva hi rUpa-maQjarI
   gṛhaṃ ninīṣuḥ pathi tāṃ tad anvayāt	gRham ninIzuH paTi tAm tat anvayAt-
   (Govinda-līlāmṛtam 1.113)	(Govinda--lIlA-amRtam 1.113)
   Bhss_1.177:	BhsH-_1.177:
   itas-tataḥ kṣipta-calekṣaṇāśugair	itas-tataH kzipta--cala-IkzaNa-ASugEH-
   bhī-dustha-hṛd-vṛtti-cayair bha air iva	BI-dusTa--hRd-vRtti-cayEH Ba EH iva
   agresarais tāṃ rati-mañjarī ca sā	agresarEH tAm rati-maQjarI ca sA
   nivārayanty anya-janāṃs tadānvayāt	nivArayanti anya--janAn tadA-anvayAt
   (Govinda-līlāmṛtam 1.114)	(Govinda--lIlA-amRtam 1.114)
   Bhss_1.178:	BhsH-_1.178:
   tābhir vṛtā vraja-janair avilokitaiva	tABiH vRtA vraja--janEH avilokitA-eva
   veśma praviśya nija-talpam athādhyatiṣṭhat	veSma praviSya nija--talpam aTa-aDyatizWat-
   preyo-viyoga-vidhurā hi sakhīm athāsau	preyo--viyoga--viDurA hi saKIm aTa-asO
   hṛd-vedanāṃ prakaṭam āha sagadgadāśru	hRd--vedanAm prakawam Aha sa-gadgada-aSru
   (Kṛṣṇa-bhāvanāmṛtam 2.80)	(KRzNa--BAvanA-amRtam 2.80)
   Bhss_1.179:	BhsH-_1.179:
   niḥsārya gehāl lalite'dhunaiva māṃ	niHsArya gehAn lalite-aDunA-eva mAm
   praveśayasy apy adhunaiva tat punaḥ	praveSayasi api aDunA-eva tat punar-
   kṛṣṇāṅga-saṅgāmṛta-sindhu-majjana-	kRzNa-aFga--saFga-amRta--sinDu--majjana-
   pralobhanaivādya vṛthā kṛtā tvayā	praloBanA-eva-adya vRTA kRtA tvayA
   (Kṛṣṇa-bhāvanāmṛtam 2.76)	(KRzNa--BAvanA-amRtam 2.76)
   Bhss_1.180:	BhsH-_1.180:
   astācalaṃ yann adhunā vyaloki yaḥ	astAcalam yan aDunA vyaloki yaH
   sa tigma-raśmiḥ sakhi! pūrva-parvatam	sa tigma-raSmiH saKi! pUrva-parvatam
   āroḍhum ākāṅkṣati kiṃ vibhāvarī	AroXum AkAFkzati kim viBAvarI
   kha-puṣpatām adyatanī jagāma kim?	Ka-puzpa-tAm adyatanI jagAma kim?
   (Kṛṣṇa-bhāvanāmṛtam 2.77)	(KRzNa--BAvanA-amRtam 2.77)
   Bhss_1.181:	BhsH-_1.181:
   dhiṅ me śrutiṃ dhig rasanāṃ dṛśaṃ ca dhik	Dik me Srutim Dik rasanAm dRSam ca Dik-
   sadātanautkaṇṭhya-bhara-jvarāturam	sadAtana-OtkaNWya--Bara--jvara-Aturam
   prāpur na pātuṃ lavam apy amuṣya yāḥ	prApuH na pAtum lavam api amuzya yAH
   sausvarya-saurasya-surūpatāmṛtam	sOsvarya--sOrasya--surUpatA-amRtam
   (Kṛṣṇa-bhāvanāmṛtam 2.78)	(KRzNa--BAvanA-amRtam 2.78)
   Bhss_1.182:	BhsH-_1.182:
   nirveda-paddhatim apīpa had eva pūrvaṃ	nirveda--padDatim api-Ipa hat eva pUrvam
   yogo 'dhunā tu sarale bhavatīṃ viyogaḥ	yogaH aDunA tu sarale BavatIm viyogaH
   ādyo 'cyutāmṛtam adarśayad artham asyā	AdyaH acyuta-amRtam adarSayat arTam asya-a
   anyo 'nubhāvayati hā ka u-kālakū am	anyaH anuBAvayati hA kaH u-kAlakU am
   (Kṛṣṇa-bhāvanāmṛtam 2.79)	(KRzNa--BAvanA-amRtam 2.79)
   Bhss_1.183:	BhsH-_1.183:
   itthaṃ sakhī-giram api pratiboddhum eṣā	itTam saKI--giram api pratibodDum ezA
   naivānurāga-para-bhāgavatī śaśāka	na-eva-anurAga--para-BAgavatI SaSAka
   svapne punaḥ kalayituṃ hṛdayādhināthaṃ	svapne punar kalayitum hRdaya-aDinATam
   suṣvāpa sā'tha śayane vṛṣabhānu-putrī	suzvApa sA-aTa Sayane vRzaBa-anu-putrI
   (Kṛṣṇa-bhāvanāmṛtam 2.80 ślokārdhaḥ)	(KRzNa--BAvanA-amRtam 2.80 Sloka-arDaH)
   Bhss_1.184:	BhsH-_1.184:
   anabhisārikāṃ kāñcit pṛcchantīṃ prati kācid āha-	anaBisArikAm kAQcid pRcCantIm prati kAcid Aha-
   srastaṃ srastam udañcayaty adhiśiraḥ śyāmaṃ nicolāñcalaṃ	srastam srastam udaQcayati aDiSiraH SyAmam nicolAn-calam
   hastena ślatha-durbalena lulitākalpāṃ vahantī tanum	hastena SlaTa--durbalena lulitA-kalpAm vahantI tanum
   muktārdhām avarudhya veṇim alasa-syande kṣipantī dṛśau	mukta-arDAm avaruDya veNim alasa-syande kzipantI dRSO
   kuñjāt paśya gṛhaṃ praviśya nibhṛtaṃ śete sakhī rādhikā	kuQjAt paSya gRham praviSya niBRtam Sete saKI rADikA
   (Stava-mālā, Kuñja-bhaṅga 1)	(Stava--mAlA, KuQja-BaFgaH 1)
   Bhss_1.185:	BhsH-_1.185:
   nirvartya vibhrama-bharaṃ samaye svadhāmni	nirvartya viBrama--Baram samaye sva-DAmni
   supte'cyute pratilayaṃ śrutayo yatheśam	supte-acyute pratilayam SrutayaH yaTA-ISam
   līlā-vitāna-nipuṇāḥ saguṇāḥ samīyuḥ	lIlA-vitAna--nipuNAH sa-guNAH samIyuH
   sakhyo 'palakṣya-gatayaḥ sadanaṃ yathā-svam	saKyaH apalakzya--gatayaH sadanam yaTA--svam
   (Govinda-līlāmṛtam 1.116)	(Govinda--lIlA-amRtam 1.116)
   iti śrī-bhāvanā-sāra-saṅgrahe niśānta-līlā-saṅgraho nāma	iti SrI--BAvanA--sAra--saFgrahe niSA-anta--lIlA-saFgrahaH nAma
   prathama-saṅgrahaḥ	praTama-saFgrahaH
   śrī śrī Bhāvanā-sāra-saṅgrahaḥ	SrI SrI BhAvanA--sAra--saFgrahaH
   Prātar-līlā	PrAtar--lIlA
   paśyantīṃ svasutaṃ śaci bhagavatī saṅkīrtane vikṣataṃ	paSyantIm sva-sutam Saci BagavatI saFkIrtane vikzatam
   prātar hā katham eva te vapur idaṃ sūno babhūva kṣatam	prAtar hA kaTam eva te vapuH idam sUnaH baBUva kzatam
   itthaṃ lālanataḥ svaputra-vanuṣi vyagrā spṛśantī muhus	itTam lAlanataH sva-putra--vanuzi vyagrA spRSantI muhur-
   talpāj jāgarayāñ cakāra yam ahaṃ taṃ gauracandraṃ bhaje	talpAt jAgarayAn cakAra yam aham tam gOra-candram Baje
   Bhss_2.2:	BhsH-_2.2:
   bhaktaiḥ sārddham upāgatair bhuvi nataiḥ śrīvāsa-guptādibhiḥ	BaktEH sArdDam upAgatEH Buvi natEH SrI-vAsa-gupta-AdiBiH
   pṛcchadbhiḥ kuśalaṃ prage parimilan prakṣālya vaktraṃ jalaiḥ	pRcCadBiH kuSalam prage parimilan prakzAlya vaktram jalEH
   puṣpādi-prativāsitaiḥ sukathayan svapnānubhūtaṃ kathāṃ	puzpa-Adi--prativAsitEH sukaTayan svapna-anuBUtam kaTAm
   snātvādyād dhari-śeṣam odana-varaṃ yas taṃ ḥhi gauraṃ bhaje	snAtvA-adyAt Dari--Sezam odana--varam yaH tam Hhi gOram Baje
   Bhss_2.3:	BhsH-_2.3:
   mūla-sūtra	mUla-sUtra
   rādhāṃ snāta-vibhūṣitāṃ vraja-payāhūtāṃ sakhībhiḥ prage	rADAm snAta--viBUzitAm vraja--paya-AhUtAm saKIBiH prage
   tad-gehe vihitānnapāka-racanāṃ kṛṣṇāvaśeṣāśanām	tad--gehe vihita-anna-pAka--racanAm kRzNO=-aSeza-aSanAm
   kṛṣṇaṃ buddham avāpta-dhenu-sadanaṃ nirvyūḍha-godohanaṃ	kRzNam budDam avApta--Denu--sadanam nirvyUXa--go-dohanam
   susnātaṃ kṛta-bhojanaṃ sahacarais tāṃ cātha taṃ cāśraye	su-snAtam kRta-Bojanam sahacarEH tAm ca-aTa tam ca-ASraye
   (Govinda-līlāmṛta 2.1)	(GA-Uvinda--lIlA-amRtaH 2.1)
   Bhss_2.4:	BhsH-_2.4:
   snātānulipta-vapuṣaḥ pupuṣuḥ svabhās tan	snAta-anulipta-vapuzaH pupuzuH sva-BAH tan
   nirmālya-mālya-vasanābharaṇena dāsyaḥ	nirmAlya--mAlya--vasana-ABaraNena dAsyaH
   prāsya svakāmam anuvṛtti-ratās tayor yāḥ	prAsya sva-kAmam anuvRtti--ratAH tayoH yAH
   śrī-rūpa-mañjari-samāna-guṇābhidhānāḥ	SrI--rUpa--maQjari--samAna--guNa-aBiDAnAH
   (Kṛṣṇa-bhāvanāmṛtam 3.1)	(KRzNa--BAvanA-amRtam 3.1)
   Bhss_2.5:	BhsH-_2.5:
   tā vidyud-uddyuti--jayi-prapadaika-rekhā	tAH vidyut--uddyuti---jayi--prapada-eka--reKA
   vaidagdhya eva kila mūrti-bhṛtas tathāpi	vEdagDyaH eva kila mUrti-BRtaH taTA-api
   yūtheśvarītvam api samyag arocayitvā	yUTeSvarI-tvam api samyak arocayitvA
   dāsyāmṛtābdhim anu sasnur ajasram asyāḥ	dAsya-amRta-abDim anu sasnuH ajasram asyAH
   (Kṛṣṇa-bhāvanāmṛtam 3.2)	(KRzNa--BAvanA-amRtam 3.2)
   Bhss_2.6:	BhsH-_2.6:
   śvaśrū-purāntara-gatottara pārśva-varti	SvaSrU--pura-antara--gata-uttara pArSva-varti
   bhrājiṣṇu dhāma vara-śilpa-kalaika-dhāma	BrAjizNu DAma vara--Silpa-kalA-eka--DAma
   tātena vatsalatayā vṛṣabhānunaiva	tAtena vatsala-tayA vRzaBa-anunA-eva
   nirmāpitaṃ tad upamāpi tad eva nānyat	nirmApitam tat upamA-api tat eva na-anyat-
   (Kṛṣṇa-bhāvanāmṛtam 3.3)	(KRzNa--BAvanA-amRtam 3.3)
   Bhss_2.7:	BhsH-_2.7:
   sthūṇā-praghāṇa pa alāṅgaṇa-toraṇālī-	sTUNA--praGANa paH alAFgaNa--toraNa-AlI-
   gopānasī-vividha-koṣṭha-kapā a-vedyaḥ	gopAnasI--viviDa--kozWa--kapAH a-vedyaH
   rājanti yatra maṇi-dīpa-tati-pradīpta-	rAjanti yatra maNi-dIpa--tati--pradIpta-
   vaicitrya-nirmita-janekṣaṇa-citra-bhāvāḥ	vEcitrya--nirmita--jana-IkzaNa--citra-BAvAH
   (Kṛṣṇa-bhāvanāmṛtam 3.4)	(KRzNa--BAvanA-amRtam 3.4)
   Bhss_2.8:	BhsH-_2.8:
   yatrendranīla-maṇi-bhūr-valabhī ghanābhā	yatra-indranIla-maNi-BUH--valaBI Gana-ABA
   haṃsālir apy upari rājati rājatī sā	haMsAliH api upari rAjati rAjatI sA
   ye vīkṣya bandhu-ripu-bhāna-bhṛto vitatya	ye vIkzya banDu-ripu-BAna--BRtaH vitatya
   saṅkocayanti śikhinaḥ svaśikhaṇḍa-paṅktīḥ	saFkocayanti SiKinaH sva-SiKaNxa--paFktIH
   (Kṛṣṇa-bhāvanāmṛtam 3.5)	(KRzNa--BAvanA-amRtam 3.5)
   Bhss_2.9:	BhsH-_2.9:
   tatropaveśa-śayanāśana-bhūṣaṇādi-	tatra-upaveSa--Saya-nASana--BUzaNa-Adi-
   vedīr vimṛjya parilipya viśodhya tās tāḥ	vedIH vimRjya parilipya viSoDya tAH tAH
   āstīrya rāṅkavam upary upayukta-muktam	AstIrya rAFkavam upari upayukta-muktam
   ullocam unnata-mudo militā babandhuḥ	ullocam unnata-mudaH militAH babanDuH
   (Kṛṣṇa-bhāvanāmṛtam 3.6)	(KRzNa--BAvanA-amRtam 3.6)
   Bhss_2.10:	BhsH-_2.10:
   ekā mamārja maṇi-kāñcana-bhājanāni	ekA mama-Arja maNi--kAQcana--BAjanAni
   kācit payaḥ samaya-yogyam upānināya	kAcid payaH samaya-yogyam upAninAya
   citrāṃśukāpihita-ratna-catuṣkikāyām	citra-aMSukA-pihita-ratna--catuzkikAyAm
   ālambanīyam adadhād aparopabarham	AlambanIyam adaDAt apara-upabarham
   (Kṛṣṇa-bhāvanāmṛtam 3.7)	(KRzNa--BAvanA-amRtam 3.7)
   Bhss_2.11:	BhsH-_2.11:
   pūrvedyur aṃśuka-maṇimaya-bhūṣaṇāni	pUrvedyus aMSuka-maNi-maya--BUzaNAni
   mṛṣṭāni yatra nihitāny atha sampu aṃ tat	mRzwAni yatra nihitAni aTa sampu am tat-
   uccair jhanad-valaya-rāji samudghaṭayya	uccEs Janad-valaya--rAji samudGawayya
   kācij jagharṣa vidhu-kuṅkuma-candanāni	kAcid jaGarza viDu--kuFkuma--candanAni
   (Kṛṣṇa-bhāvanāmṛtam 3.8)	(KRzNa--BAvanA-amRtam 3.8)
   Bhss_2.12:	BhsH-_2.12:
   anyā vyadhatta sumanāḥ sumanobhir eva	anyAH vyaDatta sumanAH sumanoBiH eva
   citraiḥ kirī a-ka akāṅgada-hāra-kāñcīḥ	citrEH kirI a-ka aka-aFgada-hAra--kAQcIH
   jātī-lavaṅga-khadirādibhi rajyamānāḥ	jAtI-lavaFga--Kadira-AdiBi rajyamAnAH
   kācid babandha surasāḥ phaṇivallī-vī īḥ	kAcid babanDa surasAH PaNivallI--vI IH
   Bhss_2.Kṛṣṇa-bhāvanāmṛtam 3.9:	BhsH-_2.KRzNa--BAvanA-amRtam 3.9:
   Bhss_2.13:	BhsH-_2.13:
   atrāntare pratidiśaṃ dadhi-manthanottha-	atra-antare pratidiSam daDi-manTana-utTa-
   rāvair avārita-mahīsura-veda-ghoṣaiḥ	rAvEH avArita--mahI-sura--veda--GozEH
   hambā-dhvani-vyatividhāna-mitho 'vadhāyi-	hambA--Dva-ni-vyati-viDAn-a-miTaH avaDAyi-
   dhenvāli-tarṇaka-ghaṭā valad antarāyaiḥ	Denu-Ali-tarNaka-GawAH valat antarAyEH
   (Kṛṣṇa-bhāvanāmṛtam 3.10)	(KRzNa--BAvanA-amRtam 3.10)
   Bhss_2.14:	BhsH-_2.14:
   vṛndiṣṭha-vandi-jana-vṛnda-vitāyamāna-	vRndizWa-vandi--jana--vRnda--vitAyamAna-
   śrī-kṛṣṇa-kīrti-virudāli-sudhā-taraṅgaiḥ	SrI-kRzNa--kIrti-virudAli--suDA--taraFgEH
   śārī-śuka-vraja-kalaiḥ kalaviṅka-keki-	SArI--Suka-vraja--kalEH kalaviFka-keki-
   kolāhalaiḥ kramata eva samedhamānaiḥ	kolAhalEH kramatas eva sameDamAnEH
   (Kṛṣṇa-bhāvanāmṛtam 3.11)	(KRzNa--BAvanA-amRtam 3.11)
   Bhss_2.15:	BhsH-_2.15:
   jāgratsu loka-nicayeṣv atha vāsareti	jAgratsu loka--nicayezu aTa vAsara-iti
   kartavya-bhāvana-pareṣv adhiśayam eva	kartavya--BAvana--parezu aDiSayam eva
   kṛṣṇekṣaṇa-kṣaṇa satṛṣṇatayā purandhrī-	kRzNa-IkzaNa--kzaNa sa-tRzNa-tayA puranDrI-
   vṛndeṣu nanda-gṛha-sandita-mānaseṣu	vRndezu nanda-gRha--sandita--mAnasezu
   (Kṛṣṇa-bhāvanāmṛtam 3.12)	(KRzNa--BAvanA-amRtam 3.12)
   Bhss_2.16:	BhsH-_2.16:
   naptrī-mukhāmbuja-vilokana-jīvitāyāṃ	naptrI--muKa-ambuja--vilokana--jIvitAyAm
   tatropasṛtya sahasā mukharābhidhāyām	tatra-upasRtya sahasA muKara-aBiDAyAm
   vātsalya-ratna-paṭalī-bhṛta-peṭikāyāṃ	vAtsalya--ratna--pawalI-BRta--pewikAyAm
   rādhe! kva putri! bhavasīti samāhvayantyām	rADe! kva putri! Bavasi-iti samAhvayantyAm
   (Kṛṣṇa-bhāvanāmṛtam 3.13)	(KRzNa--BAvanA-amRtam 3.13)
   Bhss_2.17-20:	BhsH-_2.17-20:
   svabhāva-ku ilāpy ātma-	svaBAva-ku ilA-api Atma-
   suta-sampatti-kāṅkṣayā	suta--sampatti-kAFkzayA
   vyākulā jaṭilā gatvā	vyAkulA jawilA gatvA
   nikaṭaṃ tām athābravīt	nikawam tAm aTa-abravIt-
   sūnoḥ prajāyur dhana-vṛddhaye'sau	sUnoH prajAyuH Dana--vRdDaye-asO
   tvayā snuṣā jñe! niyataṃ niyojyā	tvayA snuzA jQe! niyatam niyojyA
   sumaṅgala-snāna-vibhūṣaṇādau	su-maFgala--snAna--viBUzaNa-AdO
   go-koṭi-hetos tapanārcanāya	go-kowi-hetoH tapana-arcanAya
   ājñānavajñā nija-goṣṭha-rājñyāḥ	AjQAnavajQAH nija--gozWa--rAjQyAH
   kāryānabhijñoktiṣu te'py avajñā	kArya-anaBijQa-uktizu te-api avajQA
   ity ādiśaty anvaham artha-vijñā	iti AdiSati anvaham arTa-vijQA
   vijñāpitā me kila paurṇamāsī	vijQApitA me kila pOrNamAsI
   asmāt tvam ārye svāṃ naptrīṃ	asmAt tvam Arye svAm naptrIm
   sarva-maṅgala-maṇḍitām	sarva--maFgala--maNxitAm
   vidhehi sarva-sampattir	viDehi sarva-sampattiH-
   yathā sūnor bhaven mama	yaTA sUnoH Bavet mama
   (Govinda-līlāmṛtam 2.43-46)	(Govinda--lIlA-amRtam 2.43-46)
   Bhss_2.21:	BhsH-_2.21:
   vadhūm athābhāṣasata putri! talpād	vaDUm aTa-ABAzasata putri! talpAd
   uttiṣṭha tūrṇaṃ kuru vāstu-pūjām	uttizWa tUrNam kuru vAstu--pUjAm
   tvaṃ maṅgala-snāna-vidhiṃ vidhāya	tvam maFgala--snAna--viDim viDAya
   pūjopahāraṃ savitur vidhehi	pUjA-upahAram savituH viDehi
   (Govinda-līlāmṛtam 2.47)	(Govinda--lIlA-amRtam 2.47)
   Bhss_2.22-23:	BhsH-_2.22-23:
   prabhātam āyātam aho tathāpi	praBAtam AyAtam aho taTA-api
   nidrāti naptrīti muhur vadantī	nidrA-ati naptrI-iti muhur vadantI
   sneha-drutāṅgī mukharā praviśya	sneha-druta-aFgI muKarA praviSya
   śayyālayaṃ tām avadat tadedam	SayyA-Alayam tAm avadat tadA-idam
   uttiṣṭha vatse śayanāt pramugdhe	uttizWa vatse SayanAt pramugDe
   vyasmāri vāro 'dya raves tvayā kim?	vyasmAri vAraH adya raveH tvayA kim?
   snātvā prabhātārghya-vidhānam asmai	snAtvA praBAta-arGya--viDAnam asmE
   pūjopahāraṃ racayāsya cāśu	pUjA-upahAram racayA-asya ca-ASu
   (Govinda-līlāmṛtam 2.48-49)	(Govinda--lIlA-amRtam 2.48-49)
   Bhss_2.24:	BhsH-_2.24:
   tad-vacaḥ pratibuddhātha	tat--vacaH pratibudDA-aTa
   viśākhotthāya sālasā	viSAKA-utTAya sAlasA
   sakhi! tūrṇaṃ samuttiṣṭhot-	saKi! tUrNam samuttizWot-
   tiṣṭheti prāha satvarā	tizWA-iti prAha sa-tvarA
   (Govinda-līlāmṛtam 2.50)	(Govinda--lIlA-amRtam 2.50)
   Bhss_2.25:	BhsH-_2.25:
   tāsāṃ vacobhiḥ śayane'tha mugdhā	tAsAm vacoBiH Sayane-aTa mugDA
   muhuḥ prajāgaryya punar nidadrau	muhur prajAgaryya punar nidadrO
   vicālitā vīcicayais taḍāge	vicAlitA vIci-cayEH taxAge
   sā rājahaṃsīva ratālasāṅgī	sA rAjahaMsI-iva rata-alasAFgI
   (Govinda-līlāmṛtam 2.51)	(Govinda--lIlA-amRtam 2.51)
   Bhss_2.26:	BhsH-_2.26:
   tadaivāvasarābhijñā	tadA-eva-avasara-aBijQA
   jagrāha rati-mañjarī	jagrAha rati-maQjarI
   sakhī vṛndāvaneśvaryāḥ	saKI vRndAvaneSvaryAH
   śrīmac-caraṇa-paṅkajam	SrImac-caraNa--paFkajam
   (Govinda-līlāmṛtam 2.52)	(Govinda--lIlA-amRtam 2.52)
   Bhss_2.27-28:	BhsH-_2.27-28:
   ittham iyaṃ bahubhiḥ kṛta-bodhā	itTam iyam bahuBiH kRta-boDA
   svāc-chayanād udatiṣṭhad analpāt	svAc--SayanAt udatizWat analpAt-
   tām atha vīkṣya supīta-paṭāṅgīṃ	tAm aTa vIkzya su-pIta--pawa-aFgIm
   śaṅkita-hṛn-mukharedam uvāca	SaFkita--hRn--muKara-idam uvAca
   druta-kanaka-savarṇaṃ sāyam etan murārer	druta-kanaka--savarNam sAyam etat murAreH-
   vasanam urasi dṛṣṭaṃ yat sakhī te bibharti	vasanam urasi dRzwam yat saKI te biBarti
   kim idam ayi viśākhe! hā pramādaḥ pramādo	kim idam ayi viSAKe! hA pramAdaH pramAdaH-
   vyavasitam idam asyāḥ paśya śuddhānvayāyāḥ	vyavasitam idam asyAH paSya SudDa-anvayAyAH
   (Govinda-līlāmṛtam 2.53-54)	(Govinda--lIlA-amRtam 2.53-54)
   Bhss_2.29-30:	BhsH-_2.29-30:
   tad-vacaś cakita-dhīr hṛdi sakhyā	tat--vacaH cakita-DIH hRdi saKyA
   vīkṣya pīta-vasanaṃ cala-dṛṣṭyā	vIkzya pIta-vasanam cala--dRzwyA
   hā kim etad iti tāṃ ca diśantī	hA kim etat iti tAm ca diSantI
   drāg uvāca jaratīṃ ca viśākhā	drAk uvAca jaratIm ca viSAKA
   svabhāvāndhe! jālāntara-gata-vibhātodita-ravi-	svaBAva-anDe! jAla-antara--gata-viBAta-udita--ravi-
   cchaṭā-jāla-sparśocchalita-kanakāṅga-dyuti-bharaiḥ	cCawA--jAla--sparSa-ucCalita--kanaka-aFga-dyuti--BarEH
   vayasyāyāḥ śyāmaṃ vasanam api pīti-kṛtam idaṃ	vayasyAyAH SyAmam vasanam api pIti-kRtam idam
   kuto mugdhe śaṅkāṃ jarati kuruṣe śuddha-matiṣu	kutas mugDe SaFkAm jarati kuruze SudDa--matizu
   (Govinda-līlāmṛtam 2.55-56)	(Govinda--lIlA-amRtam 2.55-56)
   Bhss_2.31:	BhsH-_2.31:
   lalitā-pramukhās tāvat	lalitA--pramuKAH tAvat-
   sakhyas tāḥ sva-sva-gehataḥ	saKyaH tAH sva--sva-gehataH
   ājagmus tvaritāḥ sakhyāḥ	AjagmuH tvaritAH saKyAH
   praskhalad gatayo 'ntikam	prasKalat gatayaH antikam
   (Govinda-līlāmṛtam 2.57)	(Govinda--lIlA-amRtam 2.57)
   Bhss_2.32-33:	BhsH-_2.32-33:
   tāsāṃ vākyair gatāyāntu	tAsAm vAkyEH gata-AyAntu
   kṛta-vañcana-sañcayaiḥ	kRta--vaQcana--saQcayEH
   mukharāyāṃ tato 'nyāsu	muKarAyAm tatas anyAsu
   draṣṭu-kāmāsu tatra tām	drazwu--kAmAsu tatra tAm
   ekaikaśo 'tha militāsu sakhīṣu sarvā-	ekEkaSas aTa militAsu saKIzu sarvA-
   sv anyonya-hāsa-parihāsa-parāsu tāsu	su anyonya-hAsa--parihAsa--parAsu tAsu
   suśliṣṭa-maṇḍalatayaiva kṛtopaveśā-	su-Slizwa--maNxala-tayA-eva kRta-upaveSA-
   sv ārūḍha-ratna-maṇi-hema-catuṣkikāsu	su ArUXa--ratna-maNi--hema--catuzkikAsu
   (Kṛṣṇa-bhāvanāmṛtam 3.17 yugmakam)	(KRzNa--BAvanA-amRtam 3.17 yugmakam)
   Bhss_2.34:	BhsH-_2.34:
   śrī-rādhikā-milanam eva samasta-harṣa-	SrI-rADikA-milanam eva samasta-harza-
   śasyaika-varṣam iti yad-dhṛdi niścikāya	Sasya-eka-varzam iti yat--DRdi niScikAya
   śyāmalaitya samayā samayābhivijñā	SyAmalA-etya samayA samayA-aBivijQA
   śliṣṭā tayā suṣamayeva tadāsa tatra	SlizwA tayA suzamayA-iva tadAsa tatra
   (Kṛṣṇa-bhāvanāmṛtam 3.18)	(KRzNa--BAvanA-amRtam 3.18)
   Bhss_2.35:	BhsH-_2.35:
   śyāme! tvam evam adhunaiva vicintyamānā	SyAme! tvam evam aDunA-eva vicintyamAnA
   man-netra-vartma-gamitā vidhinā yathaiva	man-netra--vartma--gamitAH viDinA yaTA-eva
   tadvat sa tarṣa-vi apī phalayiṣyate ced	tadvat sa tarza-vi apI Palayizyate ced-
   adyaiva tarhi gaṇayāny api suprabhātam	adya-eva tarhi gaNayAni api su-praBAtam
   (Kṛṣṇa-bhāvanāmṛtam 3.19)	(KRzNa--BAvanA-amRtam 3.19)
   Bhss_2.36:	BhsH-_2.36:
   hantaiṣa santatam atīva samedhamānaḥ	hanta-eza santatam atIva sameDamAnaH
   śaśvat sakhībhir api sundari! sicyamānaḥ	SaSvat saKIBiH api sundari! sicyamAnaH
   nādyāpi yat phalam adhād ayi! ko 'tra hetur	na-adya-api yat Palam aDAt ayi! kaH atra hetuH-
   hā tat kadātirabhasād avalokayiṣye	hA tat kadAtiH-aBasAt avalokayizye
   (Kṛṣṇa-bhāvanāmṛtam 3.20)	(KRzNa--BAvanA-amRtam 3.20)
   Bhss_2.37:	BhsH-_2.37:
   rādhe! sa te na phalito yadi tat phaliṣyaty	rADe! sa te na PalitaH yadi tat Palizyati-
   āścaryam asya phalam apy alasāṅgi! buddhye	AScaryam asya Palam api alasa-aFgi! budDye
