   Tarkabhāṣā	Tarka BAzA
   punarvacanaṃ nigamanaṃ kuto bhaviṣyatīti sarvamāmūlaṃ viśīrṇam /	punarvacanam nigamanam kutas Bavizyati iti sarvam AmUlam viSIrNam /
   kāryasambandhanirapaṇam	kArya sambanDa nirapaNam
   ayaṃ ca kāryaheturviṣayabhedena trividhaḥ / agnyādau sādhye dhūmādiḥ	ayam ca kArya hetuH vizaya Bedena triviDaH / agni AdO sADye DUma AdiH
   trividhapratyakṣānupalambhena niścetavyaḥ / cakṣurādau sādhye jñānaṃ	triviDa pratyakza anupalamBena niScetavyaH / cakzuH AdO sADye jQAnam
   kādācitkāryotpādānniścīyate / rūpādau sādhye rasādirekasāmagryadhīnatayā	kAdAcid kArya utpAdAt niScIyate / rUpa AdO sADye rasa AdiH eka sAmagrI aDIna tayA
   niścīyate, yathā mātuluṅgaphale rasādrūpānumānam / na rūpādrasānumānam /	niScIyate, yaTA mAtuluFga Pale rasAt rUpa anumAnam / na rUpAt rasa anumAnam /
   atra rūpe janayitavye pūrvakaṃ rūpamupādānam / rasastu sahakārikāraṇam /	atra rUpe janayitavye pUrvakam rUpam upAdAnam / rasaH tu sahakAri kAraNam /
   pūrvapuñjāduttarapuñjasyotpattau nyāya eṣaḥ /	pUrva puQjAt uttara puQjasya utpattO nyAyaH ezaH /
   nanūpādānasahakārikāraṇayoranvayavyatirekānuvidhānasya kāryaṃ prati	nanu upAdAna sahakAri kAraNayoH anvaya vyatireka anuviDAnasya kAryam prati
   tulyatvātko bhedaḥ? ucyate, yadvikriyayā yanniṣpattirekasantāne tatkāryaṃ	tulya tvAt kaH BedaH? ucyate, yat vikriyayA yat nizpattiH eka santAne tad kAryam
   pratipūrvakamupādānam / yatsantānāntare viśeṣodayanimittaṃ	pratipUrvakam upAdAnam / yat santAna antare viSeza udaya nimittam
   tatsahakārikāraṇam / yathā śālyaṅkure janayitavye śālibījamupādānam,	tad sahakAri kAraNam / yaTA SAli aFkure janayitavye SAli bIjam upAdAnam,
   kṣitisalilādi tatra sahakāri / tadevaṃ kāryahetustadutpattisambandhād	kziti salila Adi tatra sahakAri / tat evam kArya hetuH tad utpatti sambanDAt 
   gamaka iti sthitam //	gamakaH iti sTitam //
   svabhāvahetunirūpaṇam	svaBAva hetu nirUpaNam
   svabhāvo yathā   svabhāvaḥ svasattāmātrabhāvini sādhyadharme yo	svaBAvaH yaTA  svaBAvaH sva sattA mAtra BAvini sADya Darme yaH 
   heturucyate sa tasya sādhyasya dharmasya svabhāvo boddhavyaḥ /	hetuH ucyate sa tasya sADyasya Darmasya svaBAvaH bodDavyaH /
   yathā  vṛkṣavyavahārayogyo 'yaṃ śiṃśapāvyavahārayogyatvāt / ayamiti puraḥ	yaTA vRkza vyavahAra yogyaH ayam SiMSapA vyavahAra yogya tvAt / ayam iti puras 
   paridṛśyamānaḥ padārtho dharmī / śiṃśapāvyavahārayogyatvāditi hetuḥ /	paridRSyamAnaH padArTaH DarmI / SiMSapA vyavahAra yogya tvAt iti hetuH /
   śiṃśapāvyavahārayogyatvāditi ko 'rthaḥ?	SiMSapA vyavahAra yogya tvAt iti kaH arTaH?
   śākhāpatravarṇasaṃsthānaviśeṣavyavahārayogyatvādityarthaḥ /	SAKA patra varNa saMsTAna viSeza vyavahAra yogya tvAt iti arTaH /
   vṛkṣavyavahārayogyatvaṃ sādhyam / nanvekatve sādhyasādhanabhāvo na yuktaḥ,	vRkza vyavahAra yogya tvam sADyam / nanu eka tve sADya sADana BAvaH na yuktaH,
   pratijñārthaikadeśatvāt? na / abhede 'pi kaścitpratipattā	pratijQA arTa eka deSa tva at? na / aBede api kaScid pratipattA
   śiṃśapāvyavahāraṃ kṛtvā tatra vṛkṣavyavahāraṃ prāk kṛtamapi vyāmohāt	SiMSapA vyavahAram kRtvA tatra vRkza vyavahAram prAk kRtam api vyAmohAt 
   kiñcidāropya punarna karoti / sa idāniṃ svabhāvahetunā vyavahāryate /	kiQcid Aropya punar na karoti / saH idAnim svaBAva hetunA vyavahAryate /
   tasmādetayoḥ paramārthata ekatve 'pi vikalpabuddhau vyāvṛttisamāśrayeṇa	tasmAt etayoH paramArTataH eka tve api vikalpa budDO vyAvRtti samASrayeNa
   samutpannāyāṃ bhedena pratibhāsanāt sādhyasādhanatvaṃ na virudhyata iti //	samutpannAyAm Bedena pratiBAsanAt sADya sADana tvam na viruDyate iti //
   anupalabdhihetunirūpaṇam	anupalabDi hetu nirUpaNam
   anupalabdhiryathā   nāstīha pradeśe ghaṭaḥ,	anupalabDiH yaTA  na asti iha pradeSe GawaH,
   upalabdhilakṣaṇaprāptasyānupalabdheḥ / upalabdhilakṣaṇaprāptasyeti	upalabDi lakzaNa prAptasya anupalabDeH / upalabDi lakzaNa prAptasya iti
   dṛśyasyetyarthaḥ /	dRSyasya iti arTaH /
   nanvasataḥ kathaṃ dṛśyatā? ekendriyajñānagrāhyo pradeśādāvupalabhyamāne	nanu asataH kaTam dRSyatA? eka indriya jQAna grAhyaH pradeSa AdO= upalaByamAne
   yadi ghaṭaḥ syāt dṛśya eva bhavediti / upalambhapratyayāntarasākalyāt	yadi GawaH syAt dRSyaH eva Bavet iti / upalamBa pratyaya antarasAkalyAt
   dṛśtayā sambhāvitaḥ, na tu dṛśya eva / tasyānupalabdheriti hetuḥ / sa	dRStayA samBAvitaH, na tu dRSyaH eva / tasya anupalabDeH iti hetuH / sa
   caikajñānasaṃsargipadārthādekajñānasaṃsargipadārthopalambhādvā niścīyata	ca eka jQAna saMsargi padArTAt eka jQAna saMsargi padArTa upalamBAt vA niScIyata
   iti tadubhayaṃ karmakartṛbhāvena paryudāsavṛttyā anupalabdhirucyate, na tu	iti tat uBayam karma kartR BAvena paryudAsa vRttyA anupalabDiH ucyate, na tu
   prasajyavṛttyā upalabdhinivṛttimātram / taddhi svayameva na kiñciditi	prasajya vRttyA upalabDi nivRtti mAtram / tat hi svayam eva na kiQcid iti
   kathaṃ sādhanaṃ syāt / nāpi pratiṣedhyādanyasya jñānamātram,	kaTam sADanam syAt / na api pratizeDyAt anyasya jQAna mAtram,
   rūpopalambhādapi nāraṅgarasaniṣedhaprasaṅgāt /	rUpa upalamBAt api nAraFga rasa nizeDa prasaFgAt /
   tasmānniṣedhyādanyadviśiṣṭameva vastudvayaṃ pradeśaḥ pradeśajñānaṃ	tasmAt nizeDyAt anyat viSizwam eva vastu dvayam pradeSaH pradeSa jQAnam
   vānupalabdhiriti sthitam /	vA anupalabDiH iti sTitam /
   abhāvo 'sādhyaḥ	aBAvaH asADyaH
   ata evābhāvo na sādhyate / tasya ghaṭaviviktapradeśagrāhiṇā pratyakṣeṇaiva	atas eva aBAvaH na sADyate / tasya Gawa vivikta pradeSa grAhiNA pratyakzeNa eva
   siddhatvāt / abhāvavyavahārastu mṛḍhaṃ prati anulambhena sādhyate /	sidDa tvAt / aBAva vyavahAraH tu mRXam prati anulamBena sADyate /
   tathā hi   kaścinmūḍho rajaḥprabhṛtiṣu sāṃkhyaprasiddheṣu	taTA hi  kaScid mUXaH rajaH praBRtizu sAMKya prasidDezu
   guṇeṣvanupalambhena pravarttitābhāvabyavahāro 'pi punaḥ sarvaṃ	guNezu anupalamBena pravarttita aBAva byavahAraH api punar sarvam
   sarvatrāstīti svasiddhāntābhyāsāt kvāpi pradeśādau ghaṭānupalambhe satyapi	sarvatra asti iti sva sidDAnta aByAsAt kvApi pradeSa AdO Gawa anupalamBe sati api
   nābhāvavyavahāraṃ karotītyanupalambhena trividho vyavahāraḥ kāryate /	na aBAva vyavahAram karoti iti anupalamBena triviDaH vyavahAraH kAryate /
   tatra niḥ śaṅkagamanāgamanalakṣaṇaḥ kāyiko vyavahāraḥ / ghaṭo nāstīti	tatra niH SaFka gamana Agamana lakzaNaH kAyikaH vyavahAraH / GawaH na asti iti
   vācikaḥ / īdṛśa eva antarjalpākāro mānasikaśceti /	vAcikaH / IdRSaH eva antar jalpa AkAraH mAnasikaH ca iti /
   anupalabdhertādātmyatadutpattisambandhanirūpaṇam anupalambhasya	anupalabDeH tAdAtmya tad utpatti sambanDa nirUpaNam anupalamBasya
   karmadharmapakṣe sādhyena saha [sādṛśye] tādātmyalakṣaṇa eva sambandho	karma Darma pakze sADyena saha [sAdRSye] tAdAtmya lakzaNaH eva sambanDaH 
   boddhavyaḥ / kartṛdharmapakṣe tu tadutpattiḥ /	bodDavyaH / kartR Darma pakze tu tad utpattiH /
   tathā hi   ghaṭaviviktapradeśaḥ pradeśajñānaṃ vānupalabdhirityuktam /	taTA hi  Gawa vivikta pradeSaH pradeSa jQAnam vA anupalabDiH iti uktam /
   asadvyavahārayogyatvaṃ ca tasya svabhāvaḥ [na kārya] jñānaṃ tu pradeśasya	asat vyavahAra yogya tvam ca tasya svaBAvaH [na kArya] jQAnam tu pradeSasya
   kāryamiti //	kAryam iti //
   anupalabdhervyapadeśaḥ	anupalabDeH vyapadeSaH
   nanu yadyanupalabdherapi tādātmyatadutpattī eva sambandhau, kathaṃ tarhi	nanu yadi anupalabDeH api tAdAtmya tad utpattI eva sambanDO, kaTam tarhi
   kāryasvabhāvābhyāmanupalabdherbhedaḥ? pratiṣedhasādhanāt bhedau na	kArya svaBAvAByAm anupalabDeH BedaH? pratizeDa sADanAt BedO na
   vastutaḥ /	vastutas /
   yathoktamācāryeṇa   atra dvau vastusādhanau, ekaḥ pratiṣedhahetuḥ iti /	yaTA uktam AcAryeNa  atra dvO vastu sADanO, ekaH pratizeDa hetuH iti /
   upalabdhilakṣaṇaprāptatvaviśiṣṭena deśavipakṛṣṭe sumervādau kālaviprakṛṣṭe	upalabDi lakzaNa prApta tva viSizwena deSa vipakRzwe sumeru AdO kAla viprakRzwe
   bhaviṣyacchaṅkhacakravartyādau svabhāvaviprakṛṣṭe	Bavizyat SaFKa cakravarti AdO svaBAva viprakRzwe
   piśācādāvanupalambhamātrasambhave 'pi nābhāvavyavahāra ityuktaṃ bhavati /	piSAca AdO= anupalamBa mAtra samBave api na aBAva vyavahAraH iti uktam Bavati /
   anupalabdhervartamānakāle anāgatakāle ca pramāṇam	anupalabDeH vartamAna kAle anAgata kAle ca pramANam
   iyaṃ cānupalabdhirvartamānakāle pramāṇaṃ viśiṣṭasmaraṇasadbhāve 'tītakāle	iyam ca anupalabDiH vartamAna kAle pramANam viSizwa smaraNa sadBAve atIta kAle
   ca, anāgatakāletvanupalabdhiḥ svayameva sandigdharūpā / tato na pramāṇam /	ca, anAgata kAletu anupalabDiH svayam eva sandigDa rUpAH / tatas na pramANam /
   [anayānulabdhyābhāvavyahāraḥ sādhyate, na tvabhāvaḥ / tasya pratyakṣeṇaiva	[anaya anulabDyA aBAva vyahAraH sADyate, na tu aBAvaH / tasya pratyakzeNa eva
   siddhatvādityuktaṃ prāk] yathāhanyāyavādī  	sidDa tvAt iti uktam prAk] yaTA aha nyAya vAdI  
   amūḍhasmṛtisaṃskārasyātītasya vartamānasya ca pratipattṛpratyakṣasya	amUXa smRti saMskArasya atItasya vartamAnasya ca pratipattR pratyakzasya
   nivṛttiranupalabdhi rabhāvavyavahārasādhanī iti /	nivRttiH anupalabDi raBAva vyavahAra sADanI iti /
   anupalabdhibhedāḥ	anupalabDi BedAH
   tatra yadā dūratvānniṣedhyasyāyogyadeśatvaṃ syāt, tadā dṛśyānupalabdhiḥ	tatra yadA dUra tvAt nizeDyasya ayogya deSa tvam syAt, tadA dRSya anupalabDiH
   sākṣātprayoktuṃ na śakyata iti kāryānupalabdhyādayaḥ prayujyante / ata	sAkzAt prayoktum na Sakyate iti kArya anupalabDi AdayaH prayujyante / ata
   eveyaṃ prayogabhedena ṣoḍaśadhā bhavati /	eva iyam prayoga Bedena zoxaSaDA Bavati /
   (1) tatra svabhāvānupalabdhiryathā   nāstyatra dhūmaḥ,	(1) tatra svaBAva anupalabDiH yaTA  na asti atra DUmaH,
   upalabdhilakṣaṇaprāptasyānupalabdheḥ / pratiṣedhyasya dhūmasya yaḥ	upalabDi lakzaNa prAptasya anupalabDeH / pratizeDyasya DUmasya yaH
   svabhāvaḥ tasyehānupalabdhiḥ / (2) kāryānupalabdhiryathā  	svaBAvaH tasya iha anupalabDiH / (2) kArya anupalabDiH yaTA  
   nehāpratibaddhasāmarthyāni dhūmakāraṇāni santi, dhūmābhāvāt /	na iha apratibadDa sAmarTyAni DUma kAraNAni santi, DUma aBAvAt /
   pratiṣedhyānāṃ hi dhūmakāraṇānāṃ kārya dhūmaḥ, tasyehānupalabdhiḥ / (3)	pratizeDyAnAm hi DUma kAraNAnAm kArya DUmaH, tasya iha anupalabDiH / (3)
   kāraṇānupalabdhiryathā   nāstyatra dhūmaḥ dahanābhāvāt / pratiṣedhyasya	kAraNa anupalabDiH yaTA  na asti atra DUmaH dahana aBAvAt / pratizeDyasya
   dhūmasya kāraṇaṃ dahanaḥ, tasyehānupalabdhiḥ / (4) vyāpakānupalabdhiryathā	DUmasya kAraNam dahanaH, tasya iha anupalabDiH / (4) vyApaka an upalabDiH yaTA
     nātra śiṃśapā, vṛkṣābhāvāt / pratiṣedhyāyāḥ śiṃpāyāḥ vyāpako vṛkṣaḥ,	 na atra SiMSapA, vRkza aBAvAt / pratizeDyAyAH SiMpAyAH vyApakaH vRkzaH,
   tāsyehānupalabdhiḥ / (5) svabhāvaviruddhopalabdhiryathā   nātra	tAsya iha anupalabDiH / (5) svaBAva virudDa upalabDiH yaTA  na atra
   śītasparśaḥ, vahneriti / pratiṣedhyasy śītasparśasya yaḥ svabhāvaḥ tasya	SIta sparSaH, vahneH iti / pratizeDyasi SIta sparSasya yaH svaBAvaH tasya
   viruddho vahniḥ tasya cehopalabdhiḥ / (6) kāryaviruddhopalabdhiryathā  	virudDaH vahniH tasya ca iha upalabDiH / (6) kArya virudDa upalabDiH yaTA  
   nehāpratibaddhasāmarthyāni śītakāraṇāni santi, vahneriti /	na iha apratibadDa sAmarTyAni SIta kAraNAni santi, vahneH iti /
   antyadaśāprāptameva kāraṇaṃ kāryaṃ janayati, na sarvaṃ kāraṇām, tato	antyadaSa aprAptam eva kAraNam kAryam janayati, na sarvam kAraNAm, tatas 
   viśeṣaṇopādānam / pratiṣedhyānāṃ śītakāraṇānāṃ kāryaṃ śītaṃ, tasya	viSezaNa upAdAnam / pratizeDyAnAm SIta kAraNAnAm kAryam SItan, tasya
   viruddho vahniḥ, tasyehopalabdhiḥ / (7) kāraṇaviruddhopalabdhiryathā  	virudDaH vahniH, tasya iha upalabDiH / (7) kAraNa virudDa upalabDiH yaTA  
   nāsya romaharṣādiviśeṣāḥ santi, sannihitadahanaviśeṣatvāt / pratiṣedhyānāṃ	na asya roma harza Adi viSezAH santi, sannihita dahana viSeza tvAt / pratizeDyAnAm
   romaharṣādiviśeṣāṇāṃ kāraṇaṃ śīta, tasya viruddho dahanaviśeṣaḥ, tasya	roma harza Adi viSezANAm kAraNam SIta, tasya virudDaH dahana viSezaH, tasya
   cehopalabdhiḥ / (8) vyāpakaviruddhopalabdhiryathā   nātra tuṣārasparśaḥ,	ca iha upalabDiH / (8) vyApaka virudDa upalabDiH yaTA  na atra tuzAra sparSaH,
   dahanāt / pratiṣedhyasya tuṣārasparśasya vyāpakaṃ śītaṃ, tasya viruddho	dahanAt / pratizeDyasya tuzAra sparSasya vyApakam SItaM, tasya virudDaH 
   dahanaviśeṣaḥ tasyehopalabdhiḥ / (9) svabhāvaviruddhakāryopalabdhiryathā,	dahana viSezaH tasya iha upalabDiH / (9) svaBAva virudDa kArya upalabDiH yaTA,
   nātra śītasparśaḥ, dhūmāt / pratiṣedhyasya śītasparśasya yaḥ	na atra SIta sparSaH, DUmAt / pratizeDyasya SIta sparSasya yaH
   svabhāvastasya viruddho 'gniḥ, tasya kārya dhūmaḥ, tasya cehopalabdhiḥ /	svaBAvaH tasya virudDaH agniH, tasya kArya DUmaH, tasya ca iha upalabDiH /
   (10) kāryaviruddhakāryopalabdhiryathā   nehāpratibaddhasāmarthyāni	(10) kArya virudDa kArya upalabDiH yaTA  na iha apratibadDa sAmarTyAni
   śītakāraṃṇāni santi dhūmāditi / pratiṣedhyānāṃ śītakāraṇānāṃ kāryaṃ śītaṃ,	SItakAraMNAni santi DUmAt iti / pratizeDyAnAm SIta kAraNAnAm kAryam SItaM,
   tasya viruddho vahniḥ, tasya kāryaṃ dhūmaḥ, tasya cehopalabdhiḥ / (11)	tasya virudDaH vahniH, tasya kAryam DUmaH, tasya ca iha upalabDiH / (11)
   kāraṇaviruddhakāryopalabdhiryathā   na romaharṣādiviśeṣayukta	kAraNa virudDa kArya upalabDiH yaTA  na roma harza Adi viSeza yukta
   sparśavānayaṃ pradeśo dhūmāditi / pratiṣedhyānāṃ hi	sparSavAn ayam pradeSaH DUmAt iti / pratizeDyAnAm hi
   romaharṣādisparśaviśeṣāṇāṃ kāraṇaṃ śītam, tasya viruddho 'gniḥ, tasya	romaharza Adi sparSa viSezANAm kAraNam SItam, tasya virudDaH agniH, tasya
   kāryaṃ dhūmaḥ, tasya cehopalabdhiḥ / (12)	kAryam DUmaH, tasya ca iha upalabDiH / (12)
   vyāpakaviruddhakāryopalabdhiryathā   nātra tuṣārasparśaḥ, dhūmāditi /	vyApaka virudDa kArya upalabDiH yaTA  na atra tuzAra sparSaH, DUmAt iti /
   niṣedhyasya tuṣārasparśasya vyāpakaṃ śītam, tasya viruddho 'gniḥ, tasya	nizeDyasya tuzAra sparSasya vyApakam SItam, tasya virudDaH agniH, tasya
   kāryaṃ dhūmaḥ, tasya cehopalabdhiḥ / (13)	kAryam DUmaH, tasya ca iha upalabDiH / (13)
   svabhāvaviruddhavyāptopalabdhiryathā   nātra vahniḥ, tuṣārasparśāt /	svaBAva virudDa vyApta upalabDiH yaTA  na atra vahniH, tuzAra sparSAt /
   pratiṣedhyasya hi vahneryaḥ svabhāvastasya viruddhaṃ śītam, tena	pratizeDyasya hi vahneH yaH svaBAvaH tasya virudDam SItam, tena
   vyāptastuṣārasparśaḥ, tasya cehopalabdhiḥ / (14)	vyAptaH tuzAra sparSaH, tasya ca iha upalabDiH / (14)
   kāryaviruddhavyāptopalabdhiryathā   nehāpratibaddhasāmarthyāni	kArya virudDa vyApta upalabDiH yaTA  na iha apratibadDa sAmarTyAni
   vahnikāraṇāni santi, tuṣārasparśāditi / pratiṣedhyānāṃ vahnikāraṇānāṃ	vahni kAraNAni santi, tuzAra sparSAt iti / pratizeDyAnAm vahni kAraNAnAm
   kāryaṃ vahniḥ, tasya viruddhaṃ śītam, tena vyāptastuṣārasparśaḥ, tasya	kAryam vahniH, tasya virudDam SItam, tena vyAptaH tuzAra sparSaH, tasya
   cehopalabdhiḥ / (15) kāraṇaviruddhavyāptopalabdhiryathā   nātra	ca iha upalabDiH / (15) kAraNa virudDa vyApta upalabDiH yaTA  na atra
   dhūmastuṣārasparśāditi / pratiṣedhyasya dhūmasya yatkāraṇamagniḥ, tasya	DUmaH tuzAra sparSAt iti / pratizeDyasya DUmasya yat kAraNam agniH, tasya
   viruddhaṃ śītam, tena vyāptastuṣārasparśaḥ, tasya cehopalabdhiḥ / (16)	virudDam SItam, tena vyAptaH tuzAra sparSaH, tasya ca iha upalabDiH / (16)
   vyāpakaviruddhavyāptopalabdhiryathā   nāyaṃ nityaḥ, kadācitkāryakāritvāt /	vyApaka virudDa vyApta upalabDiH yaTA  na ayam nityaH, kadAcid kArya kAri tvAt /
   pratiṣedhyasya nityatvasya niratiśayatvaṃ vyāpakaṃ, tasya viruddhaṃ	pratizeDyasya nitya tvasya niratiSaya tvam vyApakaM, tasya virudDam
   sātiśayatvaṃ, tena vyāptaṃ kadācitkāryakāritvaṃ, tasya cehopalabdhiḥ / ete	sa atiSaya tvan, tena vyAptam kadAcid kArya kAri tvan, tasya ca iha upalabDiH / ete
   ca kāryānupalabdhyādayaḥ pañcadaśa prayogāḥ svabhāvānupalabdhisvabhāvā eva	ca kArya anupalabDi AdayaH paQcadaSa prayogAH svaBAva anupalabDi svaBAvAH eva
   pratipattavyāḥ / prayuktibhedena paraṃ bhedaḥ / tatra	pratipattavyAH / prayukti Bedena param BedaH / tatra
   svabhāvānupalambhenāsad vyavahārayogyatvaṃ sādhyate, na tvābhāvaḥ / tasya	svaBAva anupalamBena asat vyavahAra yogya tvam sADyate, na tvA aBAvaH / tasya
   ca pratyakṣeṇaiva siddhatvāt / aparaiśca sarvairabhāvo 'bhāvabyavahāraśca	ca pratyakzeNa eva sidDa tvAt / aparEH ca sarvEH aBAvaH aBAva byavahAraH ca
   sādhyate, teṣāṃ parokṣaviṣayatvāt //	sADyate, tezAm parokza vizaya tvAt //
   iti tarkabhāṣāyāṃ svārthānumānaparicchedo dvitīyaḥ samāptaḥ //	iti tarka BAzAyAm sva arTa anumAna paricCedaH dvitIyaH samAptaH //
   parārthānumānam	para arTa anumAnam
   parārthānumānalakṣaṇam	para arTa anumAna lakzaNam
   trirūpaliṅgākhyānaṃ parārthānumānam /	trirUpa liFga AKyAnam para arTa anumAnam /
   anvayavyatirekapakṣadharmatāsaṃjñakāni trīṇi rūpāṇi, yena vacanena	anvaya vyatireka pakza DarmatA saMjQakAni trINi rUpANi, yena vacanena
   prakhyāpyante tadvacanamupacārādanumānaśabdenocyate //	praKyApyante tad vacanam upacArAt anumAna Sabdena ucyate //
   tasya dvaividhyam	tasya dvEviDyam
   tad dvividham sādharmyavadvaidharmyavacca /	tat dviviDam sADarmya vat vEDarmya vat ca /
   sādhyadharmidṛṣṭāntadhamiṇorhetu sattākṛtaṃ sādṛśyaṃ sādharmyam /	sADya Darmi dRzwa anta DamiNoH hetu sattA kRtam sAdRSyam sADarmyam /
   tadyasyāsti tat sādharmyavat sādhanavākyam /	tat yasya asti tat sADarmya vat sADana vAkyam /
   sādhyadharmidṛṣṭāntadharmiṇorhetusattākṛtaṃ vaisādṛśyaṃ vaidharmyam /	sADya Darmi dRzwAnta DarmiNoH hetu sattA kRtam vEsAdRSyam vEDarmyam /
   tadyasyāsti tadvaidharmyavata sādhanavākyam /	tat yasya asti tad vEDarmyavata sADana vAkyam /
   svabhāvahetossādharmyavatprayoganirūpaṇam, saṃskṛtasya sarvasya kṣaṇika	svaBAva hetossADarmyavat prayoga nirUpaNam, saMskRtasya sarvasya kzaNika
   tvasamarthanaṃ ca tatra svabhāvahetoḥ sādharmyavantaṃ prayogaṃ darśayituṃ	tu asamarTanam ca tatra svaBAva hetoH sADarmyavantam prayogam darSayitum
   sautrāntikamatamāśritya bhagavatā yaduktaṃ  	sOtra antika matamASritya BagavatA yat uktam  
   `saṃskṛtaṃ kṣaṇikaṃ sarvaṃ' iti /	`saMskRtam kzaNikam sarvama iti /
   tad vyutpādyate / sametya sambhūya hetupratyayaiḥ kṛtaṃ vastujātaṃ	tat vyutpAdyate / sametya samBUya hetu pratyayEH kRtam vastu jAtam
   saṃskṛtam / kṣaṇikamiti utpattikṣaṇa eva sattvāt /	saMskRtam / kzaNikam iti utpatti kzaNaH eva sattvAt /
   sarvasaṃkṛtavināśanirūpaṇam	sarva saMkRta vinASa nirUpaNam
   `sarvaṃ tāvat ghaṭādikaṃ vastu mudgarādisannidhau nāśaṃ gacchat dṛśyate /	`sarvam tAvat Gawa Adikam vastu mudgara Adi sanniDO nASam gacCat dRSyate /
   tatra yena svarūpeṇa antyāvasthāyāṃ ghaṭādikaṃ vinaśyati taccet	tatra yena sva rUpeNa antya avasTAyAm Gawa Adikam vinaSyati tat ced 
   svarūpamutpannamātrasya vidyate tadānīmutpādānantarameva tena	sva rUpam utpanna mAtrasya vidyate tadAnIm utpAda anantaram eva tena
   vinaṣṭavyamiti vyaktamasya kṣaṇikatvam /'	vinazwavyam iti vyaktam asya kzaNika tvam / a
   athedṛśa eva svabhāvastasya svahetorjātaḥ, yat kiyantaṃ kālaṃ sthitvā	aTa IdRSaH eva svaBAvaH tasya sva hetoH jAtaH, yat kiyantam kAlam sTitvA
   vinaśyatīti /	vinaSyati iti /
   `evaṃ tarhi mudgarādisannidhāne ca eṣa eva asya svabhava iti punarapyanena	`evam tarhi mudgara Adi sanniDAne ca ezaH eva asya svaBavaH iti punar api anena
   tāvantameva kālaṃ sthātavyam, punarapyevamiti naiva vinaśyediti / tasmāt	tAvantam eva kAlam sTAtavyam, punar api evam iti na eva vinaSyet iti / tasmAt 
   kṣaṇadvayasthāyitvenāpyutpattau prathamakṣaṇavad dvitīyakṣaṇe 'pi	kzaNa dvaya sTAyi tvena api utpattO praTama kzaNa vat dvitIya kzaNe api
   kṣaṇadvayasthāyitvāt punaraparaṃ kṣaṇadvayamavatiṣṭheta / evaṃ tṛtīye 'pi	kzaNa dvaya sTAyi tvAt punar aparam kzaNa dvayam avatizWeta / evam tRtIye api
   kṣaṇe tatsvabhāvatvānnaiva vinaśyatīti /'	kzaNe tad svaBAva tvAt na eva vinaSyati iti /a
   syādetat, sthāvarameva tadvastu svahetorjātam, balena virodhakena	syAt etat, sTAvaram eva tat vastu sva hetoH jAtam, balena viroDakena
   mudgarādinā vināśyata iti? tadasat, kathaṃ punaretadyujyate, na ca	mudgara AdinA vinASyate iti? tat asat, kaTam punar etat yujyate, na ca
