   tṛtīyaḥ paricchedaḥ	tRtIyaH paricCedaH
   carvaṇe kādācitkatvād vastuni vyabhicāreṇa tasya kāryatvaṃ	carvaNe kAdAcid ka tvAt vastuni vyaBicAreNa tasya kArya tvam
   kādācitkatvādevopacaryate /	kAdAcid ka tvAt eva upacaryate /
        tena carvaṇasyāparicitena kāryatvena tadabhinne rasepi	tena carvaNasya aparicitena kAryatvena tad aBinne rasepi
   kāryatvamupacārāditi bhāvaḥ /	kAryatvam upacArAt iti BAvaH /
        asya kādācitkatvepi na kāryatvamiti samanantaramevoktam /	asya kAdAcid ka tvepi na kAryatvam iti samanantaram eva uktam /
        vyañjananirūpaṇe pañcamaparicchede /	vyaQjana nirUpaNe paQcama paricCede /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   avācyatvādikaṃ tasya vakṣye vyañjanarūpaṇe // VisSd_3.27 //	avAcya tva Adikam tasya vakzye vyaQjana rUpaNe // VisSd _3.27 //
   tasya rasasya /	tasya rasasya /
   ādiśabdādalakṣyatvādi /	Adi SabdAt alakzya tva Adi /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṣa)"tathābhilāpasaṃsargayogyatvavirahānnace"tyādinā yattat	(vi, za)" taTA aBilApa saMsarga yogya tva viraha anna ce"tyAdinA yat tat
   kāvyasthaśabdāvācyatvamuktaṃ tadupāttamagre kariṣyata	kAvya sTa Sabda avAcya tvam uktam tad upAttam agre karizyata
   ityāha   avācyatvādikamiti /	iti Aha   avAcya tva Adikam iti /
        ādiśabdā dalakṣyatvādi ityatra ādipadādananumeyatvaparigrahaḥ /	Adi SabdA dalakzya tva Adi iti atra AdipadAt ananumeya tva parigrahaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nanu yadi militā ratyādayo rasāstatkathamasya svaprakāśatvaṃ kathaṃ	nanu yadi militAH rati AdayaH rasAH tat kaTam asya sva prakASa tvam kaTam
   vākhaṇḍatvamityāha  	vAKaNxa tvam iti Aha  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (sa) militā iti /	(sa) militAH iti /
        vibhāvādisāhityena samūhālambanaviṣayā ityarthaḥ /	viBAva Adi sAhityena samUha Alambana vizayAH iti arTaH /
        tat kathamasya svaprakāśatvamiti   ratyāderjñānarūpatvābhāvāt	tat kaTam asya sva prakASa tvam iti   rati AdeH jQAna rUpa tva aBAvAt
   jñānasyaiva svaprakāśatvāt /	jQAnasya eva sva prakASa tvAt /
        milanakathaṃna ca svarūpākhyānamātram ekaikatrāpyevamāśaṅkāsambhavāt	milana kaTaM na ca svarUpa AKyAna mAtram ekEkatra api evam ASaFkA samBavAt 
        Locanā:	LocanA:
        (lo, ai) nanu yadīti /	(lo, E) nanu yadi iti /
        kathaṃ svaprakāśatvaṃ ratyādīnāṃ jaḍatvādityarthaḥ /	kaTam sva prakASa tvam rati AdInAm jaxa tvAt iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ratyādijñānatādātmyādeva yasmādraso bhavet /	rati Adi jQAna tAdAtmyAt eva yasmAt rasaH Bavet /
   ato 'sya svaprakāśatvamakhaṇḍatvaṃ ca sidhyati // VisSd_3.28 //	atas asya sva prakASa tvam aKaNxa tvam ca siDyati // VisSd _3.28 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ha) jñānatādātmyāditi /	(vi, ha) jQAna tAdAtmyAt iti /
        jñānarūpatayā pariṇāmādityarthaḥ /	jQAna rUpa tayA pariNAmAt iti arTaH /
        Locanā:	LocanA:
        (lo, o) ratyādiriti  asya ratyādyaṃśasya	(lo, o) rati AdiH iti  asya rati Adi aMSasya
   yasyāhuḥ"ātmabhūtasukhākāraprakāśapratimānataḥ /	yasya AhuH"Atma BUta suKa AkAra prakASa pratimAnataH /
        jñānākārāvalambitve siddhā syāt svaprakāśatā'; iti /	jQAna AkAra avalambi tve sidDA syAt sva prakASa tA a; iti /
        asyārthaḥ  jñānakārāvalambitve nātmabhūtaḥ sukhākāro 'pi prakāśate /	asya arTaH   jQAna kAra avalambi tve na Atma BUtaH suKa AkAraH api prakASate /
        tasya pratimānataḥ satsādṛśyāt ityādyaṃśopi svaprakāśa iti /	tasya pratimAnataH sat sAdRSyAt iti Adi aMSa upi sva prakASaH iti /
        nanu yadi caitanyasya sajñānatvena jaḍasya svaprakāśatā tadā	nanu yadi cEtanyasya sa jQAna tvena jaxasya sva prakASa tA tadA
   pramātṛbhāvamāpannasyāntaḥ karaṇasyāpi svaprakāśatvaṃ syāditi cenmaivam /	pramAtR BAvam Apannasya antar karaNasya api sva prakASa tvam syAt iti ced mA evam /
        tatra hi triguṇātmake manasi sattvāṃśasya rajastamobhyāmaspṛṣṭatvam /	tatra hi triguNa Atmake manasi sattva aMSasya rajaH tamoByAm aspRzwa tvam /
        yenātmānandasvaprakāśakārā vṛttirutpadyate /	yena Atma Ananda sva prakASa kArA vRttiH utpadyate /
        naca tayoḥ śavalatvamapi tāttvikaṃ, kuto tādātmyamiti,	na ca tayoH Savala tvam api tAttvikan, kutas tAdAtmyam iti,
   kimārdrakavaṇijāṃ no vahitracintayā'; /	kim Ardraka vaNijAm naH vahitra cintayA a; /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yadi ratyādikaṃ prakāśaśarīrādatiriktaṃ syāttadaivāsya svaprakāśatvaṃ na	yadi rati Adikam prakASa SarIrAt atiriktam syAt tadA eva asya sva prakASa tvam na
   sidhyate, na ca tathā, tādātmyāṅgīkārāt /	siDyate, na ca taTA, tAdAtmya aFgIkArAt /
   yaduktam  	yat uktam  
   "yadyapi rasānanyatayā carvaṇāpi na kāryā tathāpi kādācitkatayā	"yadi api rasa ananyatayA carvaNA api na kAryA taTA api kAdAcid ka tayA
   kāryatvamupakalpya tadekātmanyanādivāsanāpariṇatirūpe ratyādibhāve 'pi	kAryatvam upakalpya tad eka Atmani anAdi vAsanA pariNati rUpe rati Adi BAve api
   vyavahāra iti bhāvaḥ" iti /	vyavahAraH iti BAvaH" iti /
   "sukhāditādātmyāḍgīkāre cāsmākī siddhāntaśayyāmadhiśayya divyaṃ	"suKa Adi tAt AtmyAxgIkAre ca asmAkI sidDAnta SayyAm aDiSayya divyam
   varṣasahastraṃ pramodanidrāmupeyāḥ" iti ca /	varza sahastram pramoda nidrAm upeyAH" iti ca /
   "abhinno 'pi sa pramātrā vāsanopanītaratyāditādātmyena gocarīkṛtaḥ" iti ca	"a BinnaH api sa pramAtrA vAsanA upanIta rati Adi tAdAtmyena gocarIkRtaH" iti ca
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ka) yadyapīti uktāśaṅkāsamādhānayoḥ prāk kṛtayoḥ	(vi, ka) yadi api iti uktA SaFkA samADAnayoH prAk kRtayoH
   samvādamāha   yaduktamiti /	samvAdam Aha   yat uktam iti /
        prāgeva kṛtavyākhyānamidam /	prAk eva kRta vyAKyAnam idam /
        anādivāsaneti   anādivāsanā prāktanī tattvādiśūnyā /	anAdi vAsanA iti   anAdi vAsanA prAktanI tattva Adi SUnyAH /
        tayā rasādirūpā pariṇatiryasya tādṛśarūpe ratyādibhāge	tayA rasa Adi rUpA pariNatiH yasya tAdRSa rUpe rati Adi BAge
   vibhāvādikāryatvavyavahāraḥ ityarthaḥ /	viBAva Adi kAryatva vyavahAraH iti arTaH /
        dvitīya iti ceti paryantaṃ samvādavākyatvaṃ bodhyam /	dvitIyaH iti ca iti paryantam samvAda vAkya tvam boDyam /
        tatrābhinnopītyādikaṃ svaprakāśanapradarśanam /	tatra aBinna upIti Adikam sva prakASana pradarSanam /
        ratyādaya ityādipadāt vibhāvādiparigrahaḥ /	rati AdayaH ityAdi padAt viBAva Adi parigrahaH /
        tatra vibhāvādeḥ śabdaśaktyaiva pratītiḥ /	tatra viBAva AdeH Sabda SaktyA eva pratItiH /
        Locanā:	LocanA:
        (lo, au) tādātmyānaṅgīkāre prācīnācāryāṇāmati śeṣaḥ /	(lo, O) tAdAtmya anaFgIkAre prAcInAcAryANAm ati SezaH /
        yadyapītyādau tadekātmanīti padaṃ tādātmyasūcakam /	yadi api ityAdO tat eka Atmani iti padam tAdAtmya sUcakam /
        gecarīkṛta iti cidānandamayoyaṃ puruṣa iti vadupacāraḥ /	gecarIkRtaH iti cit Anandam ayoyam puruzaH iti vat upacAraH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   jñānasya svaprakāśatvamanaṅgīkurvatāmupari vedāntibhireva pātanīyo daṇḍaḥ	jQAnasya sva prakASa tvam anaFgIkurvatAm upari veda antiBiH eva pAtanIyaH daNxaH
   tādātmyādevāsyākhaṇḍatvam /	tAdAtmyAt eva asya AKaNxa tvam /
   ratyādayo hi prathamamekaikaśaḥ pratīyamānāḥ sarve 'pyekībhūtāḥ sphuranta	rati AdayaH hi praTamam ekEkaSas pratIyamAnAH sarve api ekIBUtAH sPuranta
   eva rasatāmāpadyante /	eva rasa tAm Apadyante /
   taduktam   	tat uktam   
   "vibhāvā anubhāvāśca sāttvikā vyabhicāriṇaḥ /	"viBAvAH anuBAvAH ca sAttvikAH vyaBicAriNaH /
   pratīyamānāḥ prathamaṃ khaṇḍaśo yāntyakhaṇḍatām" //	pratIyamAnAH praTamam KaNxaSas yAnti aKaNxa tAm" //
   iti /	iti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, kha) sāttvikā vyabhicāriṇa iti /	(vi, Ka) sAttvikAH vyaBicAriNaH iti /
        vyabhicāriṇa eva sāttvikā ityabhedenānvayaḥ /	vyaBicAriNaH eva sAttvikAH iti aBedena anvayaH /
        Locanā:	LocanA:
        (lo, a) akhaṃṇḍatve sammatiṃ darśayati  taduktamityādi /	(lo, a) aKaMNxa tve sammatim darSa yati  tat uktam ityAdi /
        vibhāvā ityādi kārikāyāṃ ratyādiprakāśasukhacamatkārā akaṇṭhoktā api	viBAvAH ityAdi kArikAyAm rati Adi prakASa suKa camatkArAH akaNWa uktAH api
   prakaraṇadavaseyāḥ /	prakaraNa davaseyAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "paramārthatastvakhaṇḍa evāyaṃ vedāntaprasiddhabrahmatattvavadveditavyaḥ"	"paramArTataH tu aKaNxaH eva ayam vedAnta prasidDa brahma tattva vat veditavyaH"
   iti ca /	iti ca /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ga) akhaṇḍatāprāptau vimatiṃ nirasyati   paramārthatastviti /	(vi, ga) aKaNxa tA prAptO vimatim nirasyati    paramArTataH tu iti /
        natu pūrvoktaparicchedena paramārthatāpradarśanam /	na tu pUrva ukta paricCedena paramArTa tA pradarSanam /
        brahmatattvavaditi   khaṇḍākhaṇaaḍanānāpadārthānām advaitabhāvānayā	brahma tattva vat iti   KaNxa AKaNa axa nAnA padArTAnAm advEta BAva anayA
   akhaṇḍasvarūpatvāt brahmatattvasya itica ityantaṃ samvādavākyam /	aKaNxa svarUpa tvAt brahma tattvasya iti caH iti antam samvAda vAkyam /
        Locanā:	LocanA:
        (lo, ā)	(lo, A)
        [text of comm. wanting in both printed ed. and Sansknet e text!]	[text of comm. wanting id boT printet ed. and Sansknet e text!]
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   athaṃ ke te vibhāvānubhāvavyabhicāriṇa ityapekṣāyāṃ vibhāvamāha  	aTam ke te viBAva anuBAva vyaBicAriNaH iti apekzAyAm viBAvam Aha  
   ratyādyudvodhakā loke vibhāvāḥ kāvyanāṭyayoḥ /	rati Adi udvoDakAH loke viBAvAH kAvya nAwyayoH /
   Locanā:	LocanA:
   (lo, i) ratyādīti   anādivāsanāntarlonasya ratyādeḥ prakāśakāḥ /	(lo, i) rati AdIti   anAdi va AsanA antar lonasya rati AdeH prakASakAH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   ye hi loke rāmādigataratihāsādīnāmudvodhakāraṇāni sītādayasta eva kāvye	ye hi loke rAma Adi gata rati hAsa AdInAm udvoDa kAraNAni sItA dayaH te eva kAvye
   nāṭye ca niveśitāḥ santaḥ "vibhāvyante āsvādāṅkuraprādurbhāvayogyāḥ	nAwye ca niveSitAH santaH "viBAvyante AsvAda aFkura prAdurBAva yogyAH
   kriyante sāmājikaratyādibhāvā ebhiḥ" iti vibhāvā ucyante /	kriyante sAmAji karati Adi BAvAH eBiH" iti viBAvAH ucyante /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, gha) vibhāvyante iti /	(vi, Ga) viBAvyante iti /
        rasapratītyarthaṃ viśeṣeṇa bhāvyanta ityarthaḥ /	rasa prati iti arTam viSezeNa BAvyante iti arTaH /
        natu pratītyarthaṃ kathaṃ viśeṣeṇa bhāvyantetatpratipādanasāmarthya	na tu prati iti arTam kaTam viSezeNa BAvi ante tad pratipAdana sAmarTya
   eva tathātvaucityādityata āhaāsvādāṅkureti /	eva taTA tu OcityAt iti atas AhaA AsvAda aFkura iti /
        yata ebhirvibhāvādibhiḥ sāmājikaratyādibhāvā	yatas eBiH viBAva AdiBiH sAmAji karati Adi BAvA
   āsvādāṅkuraprādurbhāvayogyāḥ kriyante, ato viśeṣeṇa bhāvyanta ityarthaḥ /	AsvAda aFkura prAdurBAva yogyAH kriyante, atas viSezeNa BAvyante iti arTaH /
        ato vibhāvā ucyante ityarthaḥ sāmājikaratyādibhāvānāṃ tathātvakaraṇaṃ	atas viBAvAH ucyante iti arTaH sAmAji karati Adi BAvAnAm taTA tva karaNam
   rāmādiratyādīnāṃ ca tatrāropāt bodhyam /	rAma AdiH ati AdInAm ca tatra AropAt boDyam /
        sa cāropo vāsanāsahakṛtairvibhāvādibhirvyañjanayeti bodhyam /	sa ca AropaH vAsanA saha kRtEH viBAva AdiBiH vyaQjanayA iti boDyam /
        ata evoktaṃ   vāsanopanītaratyāditādātmyeneti /	atas eva uktaM   vAsanA upanIta rati Adi tAdAtmyena iti /
        asyā paribhāṣāyāyogārūḍhatvādetadyogārthasyānubhāvādau sattvepi na	asyA pariBAzAya ayoga ArUXa tvAt etad yoga arTasya anuBAva AdO sattva ipi na
   tatra prayoga iti prāgapyuktam /	tatra prayogaH iti prAk api uktam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   taduktaṃ bharttṛhariṇā  	tat uktam BarttR hariNA  
   "śabdopahitarūpāṃstān buddherviṣayatāṃ gatān /	"Sabda upahita rUpAn= tAn budDeH vizaya tAm gatAn /
   pratyakṣāniva kaṃsādīn sādhanatvena manyate" //	pratyakzAn iva kaMsa AdIn sADana tvena manyate" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṅa) śabdopahiteti  tān prasiddhān kaṃsādīn śrīkṛṣṇādikrodhasya	(vi, Fa) Sabda upahita iti  tAn prasidDAn kaMsa AdIn SrI kRzNa Adi kroDasya
   raudrarasasthāyibhāvasthālambanavibhāvān śabdopahitarūpān śabdopasthāpyāt	rOdra rasa sTAyi BAva sTa Alambana viBAvAn Sabda upahita rUpAn Sabda upasTApyAt 
   pratyakṣāniva sāmājikā manyante /	pratyakzAn iva sAmAjikAH manyante /
        manyata iti pāṭhe tu sāmājikaḥ /	manyate iti pAWe tu sAmAjikaH /
        kena hetunetyatrāha   sādhanatveneti /	kena hetunA iti atra aha   sADana tvena iti /
        śabdopahitatvarūpeṇa pratyakṣasādhanatvenetyarthaḥ /	Sabda upahita tva rUpeNa pratyakza sADana tvena iti arTaH /
        idameva viśeṣaṇabhāvanaṃ samvādena pradarśitam /	idam eva viSezaNa BAvanam samvAdena pradarSitam /
        Locanā:	LocanA:
        (lo, ī) śabdeti   śabdopahitarūpān kāvyarūpaśabdopādhinā śravaṇāt	(lo, I) Sabda iti     Sabda upahita rUpAn kAvya rUpa Sabda upADinA SravaNAt 
   tadvuddhiviṣayatāmāpannānāṃ sādhanatvena sotsāhādyudabodhe manyante sabhyā	tad vudDi vizaya tAm ApannAnAm sADana tvena sa utsAha Adi udaboDe manyante saByA
   iti śeṣaḥ /	iti SezaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   iti /	iti /
   tadbhedāvāha  	tat BedO= Aha  
   ālambanoddīpanākhyau tasya bhedāvubhau smṛtau /	Alambana uddIpana AKyO tasya BedO= uBO smRtO /
   spaṣṭam /	spazwam /
   tatra  	tatra  
   ālambanaṃ nāyakādistamālambya rasodramāt // VisSd_3.29 //	Alambanam nAyaka AdiH tam Alambya rasa udramAt // VisSd _3.29 //
   ādiśabdānnāyikāpratināyikādayaḥ /	Adi SabdAt nAyika apratinAyikA AdayaH /
   atha yasya rasasya yo vibhāvaḥ sa tatsvarūpavarṇane vakṣyate /	aTa yasya rasasya yaH viBAvaH sa tad svarUpa varNane vakzyate /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ca) ālambanaṃ nāyakādiriti nāyikāśṛṅgāre bodhyam /	(vi, ca) Alambanam nAyakAdiH iti nAyikA SRFgAre boDyam /
        nāyikā pratināyakādaya iti nāyakaśṛṅgāre bodhyam /	nAyikA pratinAyaka AdayaH iti nAyaka SRFgAre boDyam /
        pratināyikā copanāyikā, sā ca śṛṅgārābhāse /	pratinAyikA ca upanAyikA, sA ca SRFgAra ABAse /
        evaṃ nāyikāśṛṅgārābhāse upanāyakopi bodhyaḥ /	evam nAyikA SRFgAra ABAse upanAya kopi boDyaH /
        Locanā:	LocanA:
        (lo, u) pratināyakādītyādiśabdena vikṛtaveśā vyāghrādayaḥ /	(lo, u) pratinAyaka Adi ityAdi Sabdena vikRta veSAH vyAGra AdayaH /
        vakṣyata iti /	vakzyate iti /
        ihaiva paricchede /	iha eva paricCede /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra nāyakaḥ  	tatra nAyakaH  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, cha) tatra nāyako   nāyakalakṣaṇamāheti śeṣaḥ /	(vi, Ca) tatra nAyakaH    nAyaka lakzaNam Aha iti SezaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tyāgī kṛtī kulīnaḥ suśrīko rūpayovanotsāhī /	tyAgI kRtI kulInaH suSrIkaH rUpa yovana utsAhI /
   dakṣo 'nuraktalokastejovaidagdhyaśīlavānnetā // VisSd_3.30 //	dakzaH anurakta lokaH tejaH vEdagDya SIlavAn netAH // VisSd _3.30 //
   dakṣaḥ kṣiprakārī /	dakzaH kziprakArI /
   śīlaṃ sadvṛtam /	SIlam sat vRtam /
   evamādiguṇasampanno netā nāyako bhavati /	evamAdi guNa sampannaH netA nAyakaH Bavati /
   tadbhedānāha  	tad BedAn Aha  
   dhīrodātto dhīroddhatastathā dhīralalitaśca /	DIra udAttaH DIra udDataH taTA DIra lalitaH ca /
   dhīrapraśānta ityayamuktaḥ prathamaścaturbhedaḥ // VisSd_3.31 //	DIra praSAntaH iti aya m uktaH praTamaH catur BedaH // VisSd _3.31 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ja) prathamaṃ caturbheda iti   paścāttu dhīrodāttādīnām api	(vi, ja) praTamam catur BedaH iti   paScAt tu DIra udAtta AdInAm api
   dakṣiṇadhṛṣṭatvādibhedasya vakṣyamāṇatvāt /	dakziNa DRzwa tva Adi Bedasya vakzyamANa tvAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   spaṣṭam /	spazwam /
   tatra dhīrodāttaḥ  	tatra DIra udAttaH  
   avikatthanaḥ kṣamāvānatigambhīro māhasattvaḥ /	avikatTanaH kzamAvAn atigamBIraH mAhasattvaH /
   stheyānnagūḍhamāno dhīrodātto dṛḍhavrataḥ kathitaḥ // VisSd_3.32 //	sTeya anna gUXa mAnaH DIra udAttaH dRXa vrataH kaTitaH // VisSd _3.32 //
   Locanā:	LocanA:
   (lo, ū) stheyān sthirataraḥ /	(lo, U) sTeyAn sTirataraH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   avikatthano 'nātmaślāghākaraḥ /	avikatTanaH anAtma SlAGA karaH /
   mahāsattvo harṣaśokādyanabhibhūtasvabhāvaḥ /	mahAsattvaH harza Soka Adi anaBiBUta svaBAvaH /
   nigūḍhamāno vinayacchannagarvaḥ /	nigUXamAnaH vinaya= Canna garvaH /
   dṛḍhavrato 'ṅgīkṛtanirvāhakaḥ /	dRXa vrataH aFgIkRta nirvAhakaH /
   yathā  rāmayudhiṣṭirādiḥ /	yaTA  rAma yuDizwiH AdiH /
   atha dhīroddhataḥ  	aTa DIra udDataH  
   māyāparaḥ pracaṇḍaścapalo 'haṅkāradarpabhūyiṣṭhaḥ /	mAyA paraH pracaNxaH capalaH ahaFkAra darpa BUyizWaH /
   ātmaślāghānirato dhīrairdhoroddhataḥ kathitaḥ // VisSd_3.33 //	Atma SlAGAniratas DIrEH DorodDataH kaTitaH // VisSd _3.33 //
   yathā  bhīmasenādiḥ. atha dhīralalitaḥ  	yaTA  BImasena AdiH. aTa DIra lalitaH  
   niścinto mṛduraniśaṃ kalāparo dhīralalitaḥ syāt /	niScintaH mRduH aniSam kalA paraH DIra lalitaH syAt /
   kalā nṛtyādikā /	kalA nRtya AdikAH /
   yathā  satnavālyādau vatsarājādiḥ /	yaTA a  satna vAlya AdO vatsa rAja AdiH /
