   Bhaiṣajyavastu	BhEzajya vastu
   gandhābhiṣekasya ceyat puṇyam uktaṃ bhagavatā / asmākaṃ	ganDa aBizekasya ca iyat puNyam uktam BagavatA / asmAkam
   chatradhvajapatākāropaṇe kiyat puṇyaṃ bhaviṣyatīti / atha bhagavāṃs teṣām	Catra Dvaja patAkA AropaNe kiyat puNyam Bavizyati iti / aTa BagavAn tezAm
   api cetasā cittam ājñāya gāthāṃ bhāṣate /	api cetasA cittam AjQAya gATAm BAzate /
   (MSV I 78)	(MSV I 78)
   śataṃ sahasrāṇi suvarṇaparvatā meroḥ samā nāsya samā bhavanti /	Satam sahasrANi suvarNa parvatAH meroH samAH na asya samAH Bavanti /
   yo buddhacaityeṣu prasannacitta āropayec chatradhvajāpatākāḥ //	yaH budDa cEtyezu prasanna cittaH Aropayet Satra Dvaja apatAkAH //
   eṣā hi dakṣiṇā proktā aprameye tathāgate /	ezA hi dakziNA proktAH aprameye taTAgate /
   samudrakalpe saṃbodhau sārthavāhe anuttare // iti /	samudra kalpe saMboDO sArTavAhe anuttare // iti /
   teṣām etad abhavat* parinirvṛtasya tāvad bhagavataḥ kāraṇam iyat puṇyam	tezAm etat aBavat* parinirvRtasya tAvat BagavataH kAraNam iyat puNyam
   uktaṃ bhagavatā / tiṣṭhataḥ kiyat puṇyaṃ bhaviṣyatīti / atha bhagavāṃs	uktam BagavatA / tizWataH kiyat puNyam Bavizyati iti / aTa BagavAn= 
   teṣām api cetasā cittam ājñāya gāthāṃ bhāṣate /	tezAm api cetasA cittam AjQAya gATAm BAzate /
   tiṣṭhantaṃ pūjayed yaś ca yaś cāpi parinirvṛtam* /	tizWantam pUjayet yaH ca yaH ca api parinirvRtam* /
   samaṃ cittaṃ prasādyeha nāsti puṇyaviśeṣatā //	samam cittam prasAdya iha na asti puNya viSeza tA //
   evaṃ hy acintiyā buddhā buddhadharmo 'py acintiyaḥ /	evam hi acintiyA budDAH budDa DarmaH api acintiyaH /
   acintiye prasannānāṃ vipāko 'pi acintiyaḥ //	acintiye prasannAnAm vipAkaH api acintiyaH //
   teṣām acintiyānām apratihatadharmacakravartinām* /	tezAm acintiyAnAm apratihata Darma cakravarti nAm* /
   samyaksaṃbuddhānāṃ nālaṃ guṇapāram adhigantum* // iti /	samyaksaMbudDAnAm nAlam guNa pAram aDigantum* // iti /
   tato bhagavatā tasya mahājanakāyasya tathāvidhā dharmadeśanā kṛtā yāṃ	tatas BagavatA tasya mahA jana kAyasya taTAviDA Darma deSanA kRtA yAm
   śrutvā anekaiḥ prāṇiśatasahasrair mahān viśeṣo 'dhigataḥ / kaiścic	SrutvA anekEH prANi Sata sahasrEH mahAn viSezaH aDigataH / kEScid 
   chrāvakabodhau cittāny utpāditāni kaiścit pratyekāyāṃ bodhau kaiścid	CrAvaka boDO cittAni utpAditAni kEScid pratyekAyAm boDO kEScid 
   anuttarāyāṃ samyaksaṃbodhau / kaiścid uṣmagatāni pratilabdhāni kaiścin	anuttarAyAm samyaksaMboDO / kEScid uzma gatAni pratilabDAni kEScid 
   mūrdhānaḥ kaiścit satyānuloma kaiścit kṣāntayaḥ / kaiścit srotāpattiphalaṃ	mUrDAnaH kEScid satya anuloma kEScid kzAntayaH / kEScid srotApatti Palam
   sākṣātkṛtaṃ kaiścit sakṛdāgāmiphalaṃ kaiścid anāgāmiphalam* / kaiścit	sAkzAtkRtam kEScid sakRdAgAmi Palam kEScid anAgAmi Palam* / kEScid 
   pravrajya sarvakleśaprahāṇād arhatvaṃ sākṣātkṛtam* / yadbhūyasā sā parṣad	pravrajya sarva kleSa prahANAt arhatvam sAkzAtkRtam* / yat BUyasA sA parzad
   buddhanimnā dharmapravaṇā saṃghaprāgbhārā vyavasthāpitā (MSV I 79) / tatra	budDa nimnA Darma pravaNA saMGa prAgBArAH vyavasTApitAH (MSV I 79) / tatra
   śrāddhair brāhmaṇagṛhapatibhis tasmin pradeśe mahaḥ sthāpitaḥ /	SrAdDEH brAhmaNa gRhapatiBiH tasmin pradeSe mahaH sTApitaH /
   toyikāmahas toyikāmaha iti saṃjñā saṃvṛttā /	toyikAmahaH toyikAmahe iti saMjQA saMvRttAH /
   atha bhagavān kosaleṣu janapadeṣu cārikāṃ caran śrāvastīm anuprāptaḥ /	aTa BagavAn kosalezu janapadezu cArikAm caran SrAvastIm anuprAptaH /
   śrāvastyāṃ viharati jetavane anāthapiṇḍadasyārāme / aśrauṣīd anāthapiṇḍado	SrAvastyAm viharati jetavane anATapiNxadasya ArAme / aSrOzIt anATapiNxadaH 
   gṛhapatiḥ bhagavān kosaleṣu janapadeṣu cārikāṃ caran śrāvastīm anuprāptaḥ	gRhapatiH BagavAn kosalezu janapadezu cArikAm caran SrAvastIm anuprAptaH
   śrāvastyāṃ viharati jetavane asmākam evārāme iti / śrutvā ca punar yena	SrAvastyAm viharati jetavane asmAkam eva ArAme iti / SrutvA ca punar yena
   bhagavāṃs tenopasaṃkrāntaḥ / upasaṃkramya bhagavataḥ pādau śirasā	BagavAn tena upasaMkrAntaH / upasaMkramya BagavataH pAdO SirasA
   vanditvaikānte niṣaṇṇaḥ / ekāntaniṣaṇṇam anāthapiṇḍadaṃ gṛhapatiṃ bhagavān	vanditvA ekAnte nizaNNaH / ekAnta nizaNNam anATapiNxadam gRhapatim BagavAn
   dharmyayā kathayā saṃdarśayati samādāpayati samuttejayati (fol. 162v1 =	DarmyayA kaTayA saMdarSayati samAdApayati samuttejayati (fol. 162v1 =
   GBM 6.993) pūrvavad yāvat saṃpraharṣya tūṣṇīm* / athānāthapiṇḍado	GBm 6.993) pUrvavat yAvat saMpraharzya tUzNIm* / aTa anATapiNxadaH 
   gṛhapatir utthāyāsanāt pūrvavad yena bhagavāṃs tenāṃjaliṃ praṇamya	gRhapatiH utTAya AsanAt pUrvavat yena BagavAn tena aMjalim praNamya
   bhagavantam idam avocat* / adhivāsayatu me bhagavān śvo 'ntargṛhe bhaktena	Bagavantam idam avocat* / aDivAsayatu me BagavAn Svas antargRhe Baktena
   sārdhaṃ bhikṣusaṃghena iti / pūrvavat śuci praṇītaṃ khādanīyabhojanīyaṃ	sArDam Bikzu saMGena iti / pUrvavat Suci praNItam KAdanIya BojanIyam
   samudānīya kālyam evotthāyāsanakāni prajñapyodakamaṇīn pratiṣṭhāpya	samudAnIya kAlyam eva utTAya AsanakAni prajQapya udaka maNIn pratizWApya
   bhagavato dūtena kālam ārocayati / samayo bhadanta sajjaṃ bhaktaṃ	BagavataH dUtena kAlam Arocayati / samayaH Badanta sajjam Baktam
   yasyedānīṃ bhagavān kālaṃ manyate iti / dauvārikapuruṣam āmaṃtrayate / na	yasya idAnIm BagavAn kAlam manyate iti / dOvArika puruzam AmaMtrayate / na
   tāvad bhoḥ puruṣānyatīrthyakānāṃ praveśo deyo yāvad buddhapramukhena	tAvat BoH puruzAni atIrTyakAnAm praveSaH deyaH yAvat budDa pramuKena
   bhikṣusaṃghena na bhuktam* / tataḥ paścāt tīrthyakebhyo dāsyāmīti / evam	Bikzu saMGena na Buktam* / tatas paScAt tIrTyakeByaH dAsyAmi iti / evam
   ārya iti dauvārikaḥ puruṣa anāthapiṇḍadasya gṛhapateḥ pratyaśrauṣīt* /	AryaH iti dOvArikaH puruza anATapiNxadasya gRhapateH pratyaSrOzIt* /
   atha bhagavān pūrvāhṇe nivāsya pātracīvaram ādāya bhikṣugaṇaparivṛto (MSV	aTa BagavAn pUrvAhNe nivAsya pAtra cIvaram AdAya Bikzu gaNa parivRtaH (MSV
   I 80) bhikṣusaṃghapuraskṛtaḥ pūrvavad yāvad dhautahastam apanītapātraṃ	I 80) Bikzu saMGa puraskRtaH pUrvavat yAvat DOta hastam apanIta pAtram
   nīcataram āsanaṃ gṛhītvā bhagavataḥ purastān niṣaṇṇo dharmaśravaṇāya /	nIcataram Asanam gRhItvA BagavataH purastAt nizaNNaH Darma SravaNAya /
   athāyuṣmān mahākāśyapo 'nyatamasmād āraṇyakāc chayanāsanād	aTa AyuzmAn mahAkASyapaH anyatamasmAt AraNyakAt Sayana AsanAt 
   dīrghakeśaśmaśrulūhacīvaro jetavanaṃ gataḥ / sa paśyati jetavanaṃ śūnyam*	dIrGa keSa SmaSru lUha cIvaraH jetavanam gataH / sa paSyati jetavanam SUnyam*
   / tenopadhivārikaḥ pṛṣṭaḥ / kutra buddhapramukho bhikṣusaṃgha iti / tena	/ tena upaDivArikaH pRzwaH / kutra budDa pramuKaH Bikzu saMGaH iti / tena
   samākhyātam* / anāthapiṇḍadena gṛhapatinopanimaṃtrita iti / sa	samAKyAtam* / anATapiNxadena gRhapatinA upanimaMtritaH iti / sa
   saṃlakṣayati / tatraiva piṇḍapātaṃ paribhokṣyāmi buddhapramukhaṃ	saMlakzayati / tatra eva piNxa pAtam pariBokzyAmi budDa pramuKam
   bhikṣusaṃghaṃ ca paryupāsiṣye iti / saḥ anāthapiṇḍadasya gṛhapater	Bikzu saMGam ca paryupAsizye iti / saH anATapiNxadasya gRhapateH 
   niveśanaṃ gataḥ / dauvārikeṇoktaḥ / ārya mā pravekṣyasi / kasyārthāya /	niveSanam gataH / dOvArikeNa uktaH / Arya mA pravekzyasi / kasya arTAya /
   anāthapiṇḍadena gṛhapatinā ājñā dattā / mā tāvat tīrthyānāṃ praveśaṃ	anATapiNxadena gRhapatinA AjQA dattA / mA tAvat tIrTyAnAm praveSam
   dāsyasi yāvad buddhapramukhena bhikṣusaṃghena paribhuktam* / tataḥ paścāt	dAsyasi yAvat budDa pramuKena Bikzu saMGena pariBuktam* / tatas paScAt 
   tīrthyānāṃ dāsyāmīti / āyuṣmān mahākāśyapaḥ saṃlakṣayati tasya me lābhāḥ	tIrTyAnAm dAsyAmi iti / AyuzmAn mahAkASyapaH saMlakzayati tasya me lABAH
   sulabdhā ye māṃ brāhmaṇagṛhapatayaḥ śramaṇaśākyaputrīya iti na jānate /	su labDAH ye mAm brAhmaNa gRhapatayaH SramaNa SAkya putrIyaH iti na jAnate /
   gacchāmi kṛpaṇajanasyānukampāṃ karomīti viditvā udyānaṃ gataḥ / sa	gacCAmi kRpaNa janasya anukampAm karomi iti viditvA udyAnam gataH / sa
   saṃlakṣayati / adya mayā kasyānugrahaḥ kartavyaḥ / yāvad anyatarā	saMlakzayati / adya mayA kasya anugrahaH kartavyaH / yAvat anyatarA
   nagarāvalambikā kuṣṭhābhibhūtā sarujārtā pakvagātrā bhikṣām aṭati / sa	nagara avalambikA kuzWa aBiBUtA sa rujA ArtA pakva gAtrA BikzAm awati / sa
   tasyāḥ sakāśam upasaṃkrāntaḥ / tasyāś ca bhikṣāyām ācāmaḥ saṃpannaḥ / tayā	tasyAH sakASam upasaMkrAntaH / tasyAH ca BikzAyAm AcAmaH saMpannaH / tayA
   āyuṣmān mahākāśyapo dṛṣṭaḥ kāyaprāsādikaś cittaprāsādikaś ca	AyuzmAn mahAkASyapaH dRzwaH kAya prAsAdikaH citta prAsAdikaH ca
   śānteneryāpathena / sā saṃlakṣayati / nūnaṃ mayaivaṃvidhe dakṣiṇīye kārā	SAntena IH yApaTena / sA saMlakzayati / nUnam mayA evaMviDe dakziNIye kArA
   na kṛtā yena me iyaṃ samavasthā / yady āryo mahākāśyapo mamāntikād	na kRtA yena me iyam samavasTA / yadi AryaH mahAkASyapaH mama antikAt 
   anukampām (MSV I 81) upādāyācāmaṃ pratigṛhṇīyād aham asmai dadyām iti /	anukampAm (MSV I 81) upAdAya AcAmam pratigRhNIyAt aham asmE dadyAm iti /
   tata āyuṣmatā mahākāśyapena tasyāś cetasā cittam ājñāya pātram upanāmitam*	tatas AyuzmatA mahAkASyapena tasyAH cetasA cittam AjQAya pAtram upanAmitam*
   / yadi te bhagini parityaktaṃ tad dīyatām asmin pātre iti / tatas tayā	/ yadi te Bagini parityaktam tat dIyatAm asmin pAtre iti / tatas tayA
   cittam abhiprasādya tasmin pātre dattaṃ makṣikā ca patitā / sā tām	cittam aBiprasAdya tasmin pAtre dattam makzikA ca patitA / sA tAm
   apanetum ārabdhā / tasyās tasminn ācāme aṃguliḥ patitā / sā saṃlakṣayati /	apanetum ArabDAH / tasyAH tasmin AcAme aMguliH patitA / sA saMlakzayati /
   kiṃ cāpy āryeṇa mama cittānurakṣaṇayā (fol. 163r1 = GBM 6.994) na	kim ca api AryeNa mama citta anurakzaNayA (fol. 163r1  GBm 6.994) na
   cchoritam* / api tu na paribhokṣyatīti / āyuṣmatā mahākāśyapena tasyāś	cCoritam* / api tu na pariBokzyati iti / AyuzmatA mahAkASyapena tasya AS
   cetasā cittam ājñāya tasyā eva samakṣam anyatamaṃ kuḍyamūlaṃ niśritya	cetasA cittam AjQAya tasyAH eva samakzam anyatamam kuxya mUlam niSritya
   paribhuktam* / sā saṃlakṣayati / kiṃ cāpy āryeṇa mama cittānurakṣaṇayā	pariBuktam* / sA saMlakzayati / kim ca api AryeNa mama citta anurakzaNayA
   paribhuktaṃ nānenāhāreṇāhārakṛtyaṃ kariṣyatīti / athāyuṣmān mahākāśyapas	pariBuktam nAnena AhAreNa AhAra kRtyam karizyati iti / aTa AyuzmAn mahAkASyapaH 
   tasyāś cetasā cittam ājñāya tāṃ nagarāvalambikām idam avocat* / bhagini	tasyAH cetasA cittam AjQAya tAm nagara avalambikAm idam avocat* / Bagini
   prāmodyam utpādayāmy ahaṃ tvadīyenāhāreṇa rātriṃdivasam atināmayiṣyāmīti /	prAmodyam utpAdayAmi aham tvadIyena AhAreNa rAtriMdivasam atinAmayizyAmi iti /
   tasyā atīvaudvilyam utpannam* / mamāryeṇa mahākāśyapena piṇḍapātaḥ	tasyAH atIva Odvilyam utpannam* / mama AryeNa mahAkASyapena piNxapAtaH
   pratipāditaḥ pragṛhīta iti āyuṣmati mahākāśyape cittam abhiprasādya	pratipAditaH pragRhItaH iti Ayuzmati mahAkASyape cittam aBiprasAdya
   kālagatā / tuṣite devanikāye upapannā / sā śakreṇa devendreṇa dṛṣṭā ācāmaṃ	kAlagatA / tuzite deva nikAye upapannA / sA SakreNa deva indreNa dRzwA AcAmam
   pratipādayantī kālaṃ ca kurvāṇā no tu dṛṣṭā kutropapannā iti / sa nagarān	pratipAdayantI kAlam ca kurvANAH no tu dRzwA kutra upapannAH iti / sa nagarAn
   vyavalokayitum ārabdho na paśyati tiraścaḥ pretān manuṣyāṃś ca	vyavalokayitum ArabDaH na paSyati tiraScaH pretAn manuzyAn ca
   cāturmahārājikān devān trayastriṃśān na paśyati / tathā hy adhastād	cAturmahArAjikAn devAn trayastriMSAt na paSyati / taTA hi aDastAt 
   devānāṃ jñānadarśanaṃ pravartate nopariṣṭāt* / atha śakro devānām indro	devAnAm jQAna darSanam pravartate na uparizwAt* / aTa SakraH devAnAm indraH 
   yena bhagavāṃs tenopasaṃkrāntaḥ / upasaṃkramya bhagavantaṃ gāthābhigītena	yena BagavAn tena upasaMkrAntaH / upasaMkramya Bagavantam gATA aBigItena
   praśnaṃ papraccha /	praSnam papracCa /
   (MSV I 82)	(MSV I 82)
   carataḥ piṇḍapātaṃ hi kāśyapasya mahātmanaḥ /	carataH piNxa pAtam hi kASyapasya mahAtmanaH /
   kutrāsau modate nārī kāśyapasyācāmadāyikā //	kutra asO modate nArI kASyapasya AcAma dAyikAH //
   bhagavān āha /	BagavAn Aha /
   tuṣitā nāma te devāḥ sarvakāmasamṛddhayaḥ /	tuzitAH nAma te devAH sarva kAma samRdDayaH /
   tatrāsau modate nārī kāśyapasyācāmadāyikā // iti /	tatra asO modate nArI kASyapasya AcAma dAyikAH // iti /
   atha śakrasya devendrasyaitad abhavat* / ime tāvan manuṣyāḥ puṇyānām	aTa Sakrasya deva indrasya etat aBavat* / ime tAvat manuzyAH puNyAnAm
   apratyakṣadarśino dānāni dadati puṇyāni kurvanti ahaṃ pratyakṣadarśyeva	apratyakza darSinaH dAnAni dadati puNyAni kurvanti aham pratyakza darSI eva
   puṇyānāṃ sve puṇyaphale vyavasthitaḥ / tasmād dānāni vā dadāmi puṇyāni vā	puNyAnAm sve puNya Pale vyavasTitaH / tasmAt dAnAni vA dadAmi puNyAni vA
   karomi / ayam āryo mahākāśyapo dīnānāthakṛpaṇavanīpakānukampī / yanv aham	karomi / ayam AryaH mahAkASyapaH dIna anATa kRpaNavanIpaka anukampI / yanu aham
   enaṃ piṇḍakena pratipādayeyam iti viditvā kṛpaṇavīthyāṃ gṛhaṃ nirmitavān*	enam piNxakena pratipAdayeyam iti viditvA kRpaNa vITyAm gRham nirmitavAn *
   / cīracīracīvarakaṃ kākābhinilīnakaṃ nātiparamarūpaṃ kuvindaṃ cātmānam	/ cIra cIra cIvarakam kAka aBinilInakam na ati parama rUpam kuvindam ca AtmAnam
   abhinirmāya uddhūtaśiraskaḥ śaṇaśāṭīnivāsitaḥ sphuṭitapāṇipādo vastraṃ	aBinirmAya udDUta SiraskaH SaNa SAwI nivAsitaH sPuwita pANi pAdaH vastram
   vayitum ārabdhaḥ / śacy api devakanyā kuvindabhāvaveṣadhāriṇī tasarikāṃ	vayitum ArabDaH / SacI api deva kanyA kuvinda BAva veza DAriNI tasarikAm
   kartum ārabdhā / pārśve cāsya divyā sudhā sajjīkṛtā tiṣṭhati / athāyuṣmān	kartum ArabDA / pArSve ca asya divyA suDA sajjIkRtA tizWati / aTa AyuzmAn
   mahākāśyapaḥ kṛpaṇānāthavanīpakajanānukaṃpako 'nupūrveṇa tad gṛham	mahAkASyapaH kRpaNa anATa vanIpaka jana anukaMpakaH anupUrveNa tat gRham
   anuprāptaḥ / duḥkhitako 'yam iti kṛtvā dvāre sthitena pātraṃ prasāritam* /	anuprAptaH / duHKitakaH ayam iti kRtvA dvAre sTitena pAtram prasAritam* /
   śakreṇa devendreṇa (MSV I 83) divyāyāḥ sudhāyāḥ pātraṃ pūritam* /	SakreNa deva indreNa (MSV I 83) divyAyAH suDAyAH pAtram pUritam* /
   athāyuṣmato mahākāśyapasyaitad abhavat* /	aTa AyuzmataH mahAkASyapasya etat aBavat* /
   divyaṃ cāsya sudhābhaktam ayaṃ ca gṛhavistaraḥ /	divyam ca asya suDA Baktam ayam ca gRha vistaraH /
   suviruddham iti jñātvā jāto me hradi saṃśayaḥ // iti /	su virudDam iti jQAtvA jAtaH me hradi saMSayaH // iti /
   dharmatā hy eṣā / asamanvāhṛtyārhatāṃ jñānadarśanaṃ na pravartate / sa	DarmatA hi ezA / asamanvAhRtya arhatAm jQAna darSanam na pravartate / sa
   samanvāhartuṃ pravṛtto yāvat paśyati śakraṃ devendram* / sa kathayati /	samanvAhartum pravRttaH yAvat paSyati Sakram deva indram* / sa kaTayati /
   kauśika kiṃ duḥkhitajanasyāntarāyaṃ (fol. 163v1 = GBM 6.995) karoṣi /	kOSika kim duHKita janasya antarAyam (fol. 163v1  GBm 6.995) karozi /
   yasya bhagavatā dīrgharātrānugato vicikitsākathaṃkathāśalyaḥ samūla āvṛḍho	yasya BagavatA dIrGarAtra anugataH vicikitsA kaTaMkaTA SalyaH sa mUlaH AvRXaH 
   yathāpi tat tathāgatenārhatā samyaksaṃbuddhena / ārya mahākāśyapa kiṃ	yaTA api tat taTAgatena arhatA samyaksaMbudDena / Arya mahAkASyapa kim
   duḥkhitajanasyāntarāyaṃ karomi / ime tāvan manuṣyā apratyakṣadarśinaḥ	duHKita janasya antarAyam karomi / ime tAvat manuzyAH apratyakza darSinaH
   puṇyānāṃ dānāni dadati puṇyāni kurvanti / ahaṃ pratyakṣadarśyeva puṇyāni	puNyAnAm dAnAni dadati puNyAni kurvanti / aham pratyakza darSI A iva puNyAni
   kathaṃ dānāni na dadāmi puṇyāni vā na karomi / nanu coktaṃ bhagavatā /	kaTam dAnAni na dadAmi puNyAni vA na karomi / nanu ca uktam BagavatA /
   karaṇīyāni puṇyāni duḥkhaṃ hy akṛtapuṇyataḥ /	karaNIyAni puNyAni duHKam hi akRta puNyataH /
   kṛtapuṇyā hi modante asmiṃl loke paratra ca // iti /	kRta puNyAH hi modante asmin loke paratra ca // iti /
   tataḥ prabhṛti āyuṣmān mahākāśyapaḥ samanvāhṛtya kulāni piṇḍapātaṃ	tatas praBRti AyuzmAn mahAkASyapaH samanvAhRtya kulAni piNxa pAtam
   praveṣṭum ārabdhaḥ / atha śakro devendro ākāśastha evāyuṣmato	pravezwum ArabDaH / aTa SakraH deva indraH AkASa sTaH eva AyuzmataH 
   mahākāśyapasya divyāyāḥ sudhāyāḥ pātraṃ pūrayati / āyuṣmān api	mahAkASyapasya divyAyAH suDAyAH pAtram pUrayati / AyuzmAn api
   mahākāśyapaḥ pātram avāṅmukhaṃ karoty annaṃ pānaṃ (MSV I 84) choryate /	mahAkASyapaH pAtram avAFmuKam karoti annam pAnam (MSV I 84) Coryate /
   etat prakaraṇaṃ bhikṣavo bhagavata ārocayanti / bhagavān āha / tasmād	etat prakaraNam BikzavaH BagavataH Arocayanti / BagavAn Aha / tasmAt 
   anujānāmi piṇḍopadhānaṃ dhārayitavyam iti /	anujAnAmi piNxa upaDAnam DArayitavyam iti /
   sāmantakena śabdo visṛtaḥ / amukayā nagarāvalambikayā āryo mahākāśyapaḥ	sAmantakena SabdaH visRtaH / amukayA nagara avalambikayA AryaH mahAkASyapaH
   ācāmena pratipāditaḥ / sā ca tuṣite devanikāye upapannā / iti rājñā	AcAmena pratipAditaH / sA ca tuzite deva nikAye upapannA / iti rAjQA
   prasenajitā kosalena śrutam* / śrutvā ca punar yena bhagavāṃs	prasenajitA kosalena Srutam* / SrutvA ca punar yena BagavAn= 
   tenopasaṃkrāntaḥ / upasaṃkramya bhagavataḥ pādau śirasā vanditvaikānte	tena upasaMkrAntaH / upasaMkramya BagavataH pAdO SirasA vanditvA ekAnte
   niṣaṇṇaḥ / sa ekāntaniṣaṇṇaṃ rājānaṃ prasenajitaṃ kosalaṃ bhagavān	nizaNNaH / saH ekAnta nizaNNam rAjAnam prasenajitam kosalam BagavAn
   dharmyayā kathayā saṃdarśayati / pūrvavad yāvat saṃpraharṣya tūṣṇīm* /	DarmyayA kaTayA saMdarSayati / pUrvavat yAvat saMpraharzya tUzNIm* /
   atha rājā prasenajit kosalaḥ utthāyāsanād ekāṃsam uttarāsaṃgaṃ kṛtvā yena	aTa rAjA prasenajit kosalaH utTAya AsanAt eka aMsam uttarAsaMgam kRtvA yena
   bhagavāṃs tenāñjaliṃ praṇamya bhagavantam idam avocat* / adhivāsayatu me	BagavAn tena aQjalim praNamya Bagavantam idam avocat* / aDivAsayatu me
   bhagavān āryamahākāśyapam uddiśya bhaktaṃ saptāheneti / adhivāsayati	BagavAn Arya mahAkASyapam uddiSya Baktam sapta ahena iti / aDivAsayati
   bhagavān rājñaḥ prasenajitaḥ kosalasya tūṣṇīṃbhāvena / atha rājā	BagavAn rAjQaH prasenajitaH kosalasya tUzNIMBAvena / aTa rAjA
   prasenajit kosalo bhagavatas tūṣṇīṃbhāvenādhivāsanāṃ viditvā bhagavataḥ	prasenajit kosalaH BagavataH tUzNIMBAvena aDivAsanAm viditvA BagavataH
   pādau śirasā vanditvā bhagavato 'ntikāt prakrāntaḥ / atha rājā prasenajit	pAdO SirasA vanditvA BagavataH antikAt prakrAntaH / aTa rAjA prasenajit 
   kosalas tām eva rātriṃ śuci praṇītaṃ khādanīyabhojanīyaṃ samudānīya kālyam	kosalaH tAm eva rAtrim Suci praNItam KAdanIya BojanIyam samudAnIya kAlyam
   evotthāyāsanakāni prajñapyodakamaṇīn pratiṣṭhāpya bhagavato dūtena kālam	eva utTAya AsanakAni prajQapya udaka maNIn pratizWApya BagavataH dUtena kAlam
   ārocayati / pūrvavad yāvat svahastaṃ santarpayati saṃpravārayati /	Arocayati / pUrvavat yAvat sva hastam santarpayati saMpravArayati /
   anyatamaś ca koṭṭamallako vṛddhānte cittam abhiprasādayaṃs tiṣṭhati / ayaṃ	anyatamaH ca kowwamallakaH vRdDAnte cittam aBiprasAdayan tizWati / ayam
   rājā pratyakṣadarśyeva puṇyānāṃ sve puṇyaphale pratitiṣṭho 'tṛpta eva	rAjA pratyakza darSI A iva puNyAnAm sve puNya Pale pratitizWaH atRptaH eva
   puṇyair dānāni dadānti puṇyāni karoti /	puNyEH dAnAni dadAnti puNyAni karoti /
   (MSV I 85)	(MSV I 85)
   atha rājā prasenajit kosalo 'nekaparyāyeṇa buddhapramukhaṃ bhikṣusaṃghaṃ	aTa rAjA prasenajit kosalaH aneka paryAyeNa budDa pramuKam Bikzu saMGam
   śucinā praṇītena khādanīyabhojanīyena svahastaṃ santarpya saṃpravārya	SucinA praNItena KAdanIya BojanIyena sva hastam santarpya saMpravArya
   bhagavantaṃ bhuktavantaṃ viditvā dhautahastam apanītapātraṃ nīcataram	Bagavantam Buktavantam viditvA DOta hastam apanIta pAtram nIcataram
