   BhP_02.01.001/0 śrīśuka uvāca	BhP_02.01.001/0 SrI-SukaH uvAca
   BhP_02.09.017/1 taddarśanāhlādapariplutāntaro hṛṣyattanuḥ	Bhu-_02.09.017/1 tad-darSana-AhlAda-paripluta-antaraH hRzyat-tanuH
   premabharāśrulocanaḥ	prema-Bara-aSru-locanaH
   BhP_02.09.017/3 nanāma pādāmbujam asya viśvasṛg yat pāramahaṃsyena	Bhu-_02.09.017/3 nanAma pAda-ambujam asya viSvasRj yat pAramahaMsyena
   pathādhigamyate	paTA-aDigamyate
   BhP_02.09.018/1 taṃ prīyamāṇaṃ samupasthitaṃ kaviṃ prajāvisarge	Bhu-_02.09.018/1 tam prIyamANam samupasTitam kavim prajA-visarge
   nijaśāsanārhaṇam	nija-SAsana-arhaNam
   BhP_02.09.018/3 babhāṣa īṣatsmitaśociṣā girā priyaḥ priyaṃ prītamanāḥ kare	Bhu-_02.09.018/3 baBAza Izat-smita-SocizA girA priyaH priyam prIta-manAH kare
   spṛśan	spRSan
   BhP_02.09.019/0 śrībhagavān uvāca	Bhu-_02.09.019/0 SrI-BagavAn uvAca
   BhP_02.09.019/1 tvayāhaṃ toṣitaḥ samyag vedagarbha sisṛkṣayā	Bhu-_02.09.019/1 tvayA-aham tozitaH samyak vedagarBa sisRkzayA
   BhP_02.09.019/3 ciraṃ bhṛtena tapasā dustoṣaḥ kūṭayoginām	Bhu-_02.09.019/3 ciram BRtena tapasA dustozaH kUwa-yoginAm
   BhP_02.09.020/1 varaṃ varaya bhadraṃ te vareśaṃ mābhivāñchitam	Bhu-_02.09.020/1 varam varaya Badram te vara-ISam mA-aBivAQCitam
   BhP_02.09.020/3 brahmañ chreyaḥpariśrāmaḥ puṃsāṃ maddarśanāvadhiḥ	Bhu-_02.09.020/3 brahman CreyaH-pariSrAmaH puMsAm mad-darSana-avaDiH
   BhP_02.09.021/1 manīṣitānubhāvo 'yaṃ mama lokāvalokanam	Bhu-_02.09.021/1 manIzita-anuBAvaH ayam mama loka-avalokanam
   BhP_02.09.021/3 yadupaśrutya rahasi cakartha paramaṃ tapaḥ	Bhu-_02.09.021/3 yat-upaSrutya rahasi cakarTa paramam tapaH
   BhP_02.09.022/1 pratyādiṣṭaṃ mayā tatra tvayi karmavimohite	Bhu-_02.09.022/1 pratyAdizwam mayA tatra tvayi karma-vimohite
   BhP_02.09.022/3 tapo me hṛdayaṃ sākṣādātmāhaṃ tapaso 'nagha	Bhu-_02.09.022/3 tapaH me hRdayam sAkzAt-AtmA-aham tapasaH anaGa
   BhP_02.09.023/1 sṛjāmi tapasaivedaṃ grasāmi tapasā punaḥ	BhP-_02.09.023/1 sRjAmi tapasA-eva-idam grasAmi tapasA punar-
   BhP_02.09.023/3 bibharmi tapasā viśvaṃ vīryaṃ me duścaraṃ tapaḥ	Bhu-_02.09.023/3 biBarmi tapasA viSvam vIryam me duScaram tapaH
   BhP_02.09.024/0 brahmovāca	Bhu-_02.09.024/0 brahmA-uvAca
   BhP_02.09.024/1 bhagavan sarvabhūtānām adhyakṣo 'vasthito guhām	Bhu-_02.09.024/1 Bagavan sarva-BUtAnAm aDyakzaH avasTitaH guhAm
   BhP_02.09.024/3 veda hyapratiruddhena prajñānena cikīrṣitam	Bhu-_02.09.024/3 veda hi-apratirudDena prajQAnena cikIrzitam
   BhP_02.09.025/1 tathāpi nāthamānasya nātha nāthaya nāthitam	Bhu-_02.09.025/1 taTA-api nATamAnasya nATa nATaya nATitam
   BhP_02.09.025/3 parāvare yathā rūpejānīyāṃ te tvarūpiṇaḥ	Bhu-_02.09.025/3 parAvare yaTA rUpejAnIyAm te tu-arUpiNaH
   BhP_02.09.026/1 yathātmamāyāyogena nānāśaktyupabṛṃhitam	Bhu-_02.09.026/1 yaTA-Atma-mAyA-yogena nAnA-Sakti-upabRMhitam
   BhP_02.09.026/3 vilumpan visṛjan gṛhṇan bibhradātmānam ātmanā	Bhu-_02.09.026/3 vilumpan visRjan gRhNan biBrat-AtmAnam AtmanA
   BhP_02.09.027/1 krīḍasyamoghasaṅkalpa ūrṇanābhiryathorṇute	Bhu-_02.09.027/1 krIxasi-amoGa-saFkalpaH UrNanABiH-yaTA-UrNute
   BhP_02.09.027/3 tathā tadviṣayāṃ dhehi manīṣāṃ mayi mādhava	Bhu-_02.09.027/3 taTA tad-vizayAm Dehi manIzAm mayi mADava
   BhP_02.09.028/1 bhagavacchikṣitam ahaṃ karavāṇi hyatandritaḥ	BhP_02.09.028/1 Bagavat-Sikzitam aham karavANi hi-atandritaH
   BhP_02.09.028/3 nehamānaḥ prajāsargaṃ badhyeyaṃ yadanugrahāt	Bhu-_02.09.028/3 na-IhamAnaH prajA-sargam baDyeyam yat-anugrahAt
   BhP_02.09.029/1 yāvat sakhā sakhyuriveśa te kṛtaḥ prajāvisarge vibhajāmi	Bhu-_02.09.029/1 yAvat saKA saKyuH-iva-ISa te kRtaH prajA-visarge viBajAmi
   bho janam	Bo janam
   BhP_02.09.029/3 aviklavaste parikarmaṇi sthito mā me samunnaddhamado ñja	Bhu-_02.09.029/3 aviklavaH-te parikarmaNi sTitaH mA me samunnadDa-madaH Qja
   māninaḥ	mAninaH
   BhP_02.09.030/0 śrībhagavān uvāca	Bhu-_02.09.030/0 SrI-BagavAn uvAca
   BhP_02.09.030/1 jñānaṃ paramaguhyaṃ me yadvijñānasamanvitam	Bhu-_02.09.030/1 jQAnam parama-guhyam me yat-vijQAna-samanvitam
   BhP_02.09.030/3 sarahasyaṃ tadaṅgaṃ ca gṛhāṇa gaditaṃ mayā	Bhu-_02.09.030/3 sa-rahasyam tad-aFgam ca gRhANa gaditam mayA
   BhP_02.09.031/1 yāvān ahaṃ yathābhāvo yadrūpaguṇakarmakaḥ	Bhu-_02.09.031/1 yAvAn aham yaTABAvaH yad-rUpa-guNa-karmakaH
   BhP_02.09.031/3 tathaiva tattvavijñānam astu te madanugrahāt	Bhu-_02.09.031/3 taTA-eva tattva-vijQAnam astu te mad-anugrahAt-
   BhP_02.09.032/1 aham evāsam evāgre nānyadyat sadasat param	Bhu-_02.09.032/1 aham eva-Asam eva-agre na-anyat-yat sat-asat param
   BhP_02.09.032/3 paścādahaṃ yadetac ca yo 'vaśiṣyeta so 'smyaham	Bhu-_02.09.032/3 paScAt-aham yat-etat ca yaH avaSizyeta saH asmi-aham
   BhP_02.09.033/1 ṛte 'rthaṃ yat pratīyeta na pratīyeta cātmani	Bhu-_02.09.033/1 Rte arTam yat pratIyeta na pratIyeta ca-Atmani
   BhP_02.09.033/3 tadvidyādātmano māyāṃ yathābhāso yathā tamaḥ	Bhu-_02.09.033/3 tat-vidyAt-AtmanaH mAyAm yaTA-ABAsaH yaTA tamaH
   BhP_02.09.034/1 yathā mahānti bhūtāni bhūteṣūccāvaceṣvanu	Bhu-_02.09.034/1 yaTA mahAnti BUtAni BUtezu-uccAvacezu-anu
   BhP_02.09.034/3 praviṣṭānyapraviṣṭāni tathā teṣu na teṣvaham	Bhu-_02.09.034/3 pravizwAni-apravizwAni taTA tezu na tezu-aham
   BhP_02.09.035/1 etāvadeva jijñāsyaṃ tattvajijñāsunātmanaḥ	Bhu-_02.09.035/1 etAvat-eva jijQAsyam tattva-jijQAsunA-AtmanaH
   BhP_02.09.035/3 anvayavyatirekābhyāṃ yat syāt sarvatra sarvadā	Bhu-_02.09.035/3 anvaya-vyatirekAByAm yat syAt sarvatra sarvadA
   BhP_02.09.036/1 etan mataṃ samātiṣṭha parameṇa samādhinā	Bhu-_02.09.036/1 etat matam samAtizWa parameNa samADinA
   BhP_02.09.036/3 bhavān kalpavikalpeṣu na vimuhyati karhicit	Bhu-_02.09.036/3 BavAn kalpa-vikalpezu na vimuhyati karhicit-
   BhP_02.09.037/0 śrīśuka uvāca	BhP_02.09.037/0 SrI-SukaH uvAca
   BhP_02.09.037/1 sampradiśyaivam ajano janānāṃ parameṣṭhinam	Bhu-_02.09.037/1 sampradiSya-evam ajanaH janAnAm paramezWinam
   BhP_02.09.037/3 paśyatastasya tadrūpam ātmano nyaruṇaddhariḥ	Bhu-_02.09.037/3 paSyataH-tasya tad-rUpam AtmanaH nyaruNat-hariH
   BhP_02.09.038/1 antarhitendriyārthāya haraye vihitāñjaliḥ	Bhu-_02.09.038/1 antarhita-indriya-arTAya haraye vihita-aQjaliH
   BhP_02.09.038/3 sarvabhūtamayo viśvaṃ sasarjedaṃ sa pūrvavat	Bhu-_02.09.038/3 sarva-BUta-mayaH viSvam sasarja-idam sa pUrvavat-
   BhP_02.09.039/1 prajāpatirdharmapatirekadā niyamān yamān	Bhu-_02.09.039/1 prajApatiH-Darma-patiH-ekadA niyamAn yamAn
   BhP_02.09.039/3 bhadraṃ prajānām anvicchann ātiṣṭhat svārthakāmyayā	Bhu-_02.09.039/3 Badram prajAnAm anvicCan AtizWat sva-arTa-kAmyayA
   BhP_02.09.040/1 taṃ nāradaḥ priyatamo rikthādānām anuvrataḥ	Bhu-_02.09.040/1 tam nAradaH priyatamaH rikTAdAnAm anuvrataH
   BhP_02.09.040/3 śuśrūṣamāṇaḥ śīlena praśrayeṇa damena ca	BhP_02.09.040/3 SuSrUzamANaH SIlena praSrayeNa damena ca
   BhP_02.09.041/1 māyāṃ vividiṣan viṣṇormāyeśasya mahāmuniḥ	Bhu-_02.09.041/1 mAyAm vividizan vizNoH-mAyA-ISasya mahA-muniH
   BhP_02.09.041/3 mahābhāgavato rājan pitaraṃ paryatoṣayat	Bhu-_02.09.041/3 mahA-BAgavataH rAjan pitaram paryatozayat-
   BhP_02.09.042/1 tuṣṭaṃ niśāmya pitaraṃ lokānāṃ prapitāmaham	Bhu-_02.09.042/1 tuzwam niSAmya pitaram lokAnAm prapitAmaham
   BhP_02.09.042/3 devarṣiḥ paripapraccha bhavān yan mānupṛcchati	Bhu-_02.09.042/3 devarziH paripapracCa BavAn yat mA-anupRcCati
   BhP_02.09.043/1 tasmā idaṃ bhāgavataṃ purāṇaṃ daśalakṣaṇam	Bhu-_02.09.043/1 tasmE idam BAgavatam purANam daSa-lakzaNam
   BhP_02.09.043/3 proktaṃ bhagavatā prāha prītaḥ putrāya bhūtakṛt	Bhu-_02.09.043/3 proktam BagavatA prAha prItaH putrAya BUta-kRt-
   BhP_02.09.044/1 nāradaḥ prāha munaye sarasvatyāstaṭe nṛpa	Bhu-_02.09.044/1 nAradaH prAha munaye sarasvatyAH-tawe nRpa
   BhP_02.09.044/3 dhyāyate brahma paramaṃ vyāsāyāmitatejase	Bhu-_02.09.044/3 DyAyate brahma paramam vyAsAya-amita-tejase
   BhP_02.09.045/1 yadutāhaṃ tvayā pṛṣṭo vairājāt puruṣādidam	Bhu-_02.09.045/1 yat-uta-aham tvayA pRzwaH vErAjAt puruzAt-idam
   BhP_02.09.045/3 yathāsīt tadupākhyāste praśnān anyāṃśca kṛtsnaśaḥ	Bhu-_02.09.045/3 yaTA-AsIt tad-upAKyAH-te praSnAn anyAn=-ca kRtsnaSas-
   BhP_02.10.001/0 śrīśuka uvāca	BhP_02.10.001/0 SrI-SukaH uvAca
   BhP_02.10.001/1 atra sargo visargaśca sthānaṃ poṣaṇam ūtayaḥ	Bhu-_02.10.001/1 atra sargaH visargaH-ca sTAnam pozaNam UtayaH
   BhP_02.10.001/3 manvantareśānukathā nirodho muktirāśrayaḥ	Bhu-_02.10.001/3 manvantara-ISa-anukaTA niroDaH muktiH-ASrayaH
   BhP_02.10.002/1 daśamasya viśuddhyarthaṃ navānām iha lakṣaṇam	Bhu-_02.10.002/1 daSamasya viSudDi-arTam navAnAm iha lakzaNam
   BhP_02.10.002/3 varṇayanti mahātmānaḥ śrutenārthena cāñjasā	Bhu-_02.10.002/3 varNayanti mahAtmAnaH Srutena-arTena ca-aQjasA
   BhP_02.10.003/1 bhūtamātrendriyadhiyāṃ janma sarga udāhṛtaḥ	BhP_02.10.003/1 BUtamAtra-indriya-DiyAm janma sargaH udAhRtaH
   BhP_02.10.003/3 brahmaṇo guṇavaiṣamyādvisargaḥ pauruṣaḥ smṛtaḥ	Bhu-_02.10.003/3 brahmaNaH guNa-vEzamyAt-visargaH pOruzaH smRtaH
   BhP_02.10.004/1 sthitirvaikuṇṭhavijayaḥ poṣaṇaṃ tadanugrahaḥ	Bhu-_02.10.004/1 sTitiH-vEkuNWa-vijayaH pozaNam tad-anugrahaH
   BhP_02.10.004/3 manvantarāṇi saddharma ūtayaḥ karmavāsanāḥ	Bhu-_02.10.004/3 manvantarANi sat-DarmaH UtayaH karma-vAsanAH
   BhP_02.10.005/1 avatārānucaritaṃ hareścāsyānuvartinām	Bhu-_02.10.005/1 avatAra-anucaritam hareH-ca-asya-anuvartinAm
   BhP_02.10.005/3 puṃsām īśakathāḥ proktā nānākhyānopabṛṃhitāḥ	Bhu-_02.10.005/3 puMsAm ISa-kaTAH proktAH nAnA-AKyAna-upabRMhitAH
   BhP_02.10.006/1 nirodho 'syānuśayanam ātmanaḥ saha śaktibhiḥ	BhP_02.10.006/1 niroDaH asya-anuSayanam AtmanaH saha SaktiBiH
   BhP_02.10.006/3 muktirhitvānyathā rūpaṃ svarūpeṇa vyavasthitiḥ	Bhu-_02.10.006/3 muktiH-hitvA-anyaTA rUpam sva-rUpeNa vyavasTitiH
   BhP_02.10.007/1 ābhāsaśca nirodhaśca yato 'styadhyavasīyate	Bhu-_02.10.007/1 ABAsaH-ca niroDaH-ca yatas asti-aDyavasIyate
   BhP_02.10.007/3 sa āśrayaḥ paraṃ brahma paramātmeti śabdyate	Bhu-_02.10.007/3 saH ASrayaH param brahma paramAtmA-iti Sabdyate
   BhP_02.10.008/1 yo 'dhyātmiko 'yaṃ puruṣaḥ so 'sāvevādhidaivikaḥ	Bhu-_02.10.008/1 yaH aDyAtmikaH ayam puruzaH saH asO=-eva-ADidEvikaH
   BhP_02.10.008/3 yastatrobhayavicchedaḥ puruṣo hyādhibhautikaḥ	Bhu-_02.10.008/3 yaH-tatra-uBaya-vicCedaH puruzaH hi-ADiBOtikaH
   BhP_02.10.009/1 ekam ekatarābhāve yadā nopalabhāmahe	Bhu-_02.10.009/1 ekam ekatara-aBAve yadA na-upalaBAmahe
   BhP_02.10.009/3 tritayaṃ tatra yo veda sa ātmā svāśrayāśrayaḥ	Bhu-_02.10.009/3 tritayam tatra yaH veda saH AtmA sva-ASraya-ASrayaH
   BhP_02.10.010/1 puruṣo 'ṇḍaṃ vinirbhidya yadāsau sa vinirgataḥ	Bhu-_02.10.010/1 puruzaH aNxam vinirBidya yadA-asO sa vinirgataH
   BhP_02.10.010/3 ātmano 'yanam anvicchann apo 'srākṣīc chuciḥ śucīḥ	Bhu-_02.10.010/3 AtmanaH ayanam anvicCan apaH asrAkzIt SuciH SucIH
   BhP_02.10.011/1 tāsvavātsīt svasṛṣṭāsu sahasraṃ parivatsarān	Bhu-_02.10.011/1 tAsu-avAtsIt sva-sRzwAsu sahasram parivatsarAn
   BhP_02.10.011/3 tena nārāyaṇo nāma yadāpaḥ puruṣodbhavāḥ	Bhu-_02.10.011/3 tena nArAyaNaH nAma yadA-apaH puruza-udBavAH
   BhP_02.10.012/1 dravyaṃ karma ca kālaśca svabhāvo jīva eva ca	Bhu-_02.10.012/1 dravyam karma ca kAlaH-ca svaBAvaH jIvaH eva ca
   BhP_02.10.012/3 yadanugrahataḥ santi na santi yadupekṣayā	Bhu-_02.10.012/3 yat-anugrahataH santi na santi yat-upekzayA
   BhP_02.10.013/1 eko nānātvam anvicchan yogatalpāt samutthitaḥ	Bhu-_02.10.013/1 ekaH nAnAtvam anvicCan yoga-talpAt samutTitaH
   BhP_02.10.013/3 vīryaṃ hiraṇmayaṃ devo māyayā vyasṛjat tridhā	Bhu-_02.10.013/3 vIryam hiraNmayam devaH mAyayA vyasRjat triDA
   BhP_02.10.014/1 adhidaivam athādhyātmam adhibhūtam iti prabhuḥ	Bhu-_02.10.014/1 aDidEvam aTa-aDyAtmam aDiBUtam iti praBuH
   BhP_02.10.014/3 athaikaṃ pauruṣaṃ vīryaṃ tridhābhidyata tac chṛṇu	Bhu-_02.10.014/3 aTa-ekam pOruzam vIryam triDA-aBidyata tat SRNu
   BhP_02.10.015/1 antaḥ śarīra ākāśāt puruṣasya viceṣṭataḥ	Bhu-_02.10.015/1 antar SarIraH AkASAt puruzasya vicezwataH
   BhP_02.10.015/3 ojaḥ saho balaṃ jajñe tataḥ prāṇo mahān asuḥ	BhP_02.10.015/3 ojaH sahaH balam jajQe tatas prANaH mahAn asuH
   BhP_02.10.016/1 anuprāṇanti yaṃ prāṇāḥ prāṇantaṃ sarvajantuṣu	Bhu-_02.10.016/1 anuprANanti yam prANAH prANantam sarva-jantuzu
   BhP_02.10.016/3 apānantam apānanti naradevam ivānugāḥ	Bhu-_02.10.016/3 apAnantam apAnanti naradevam iva-anugAH
   BhP_02.10.017/1 prāṇenākṣipatā kṣut tṛḍantarā jāyate vibhoḥ	BhP_02.10.017/1 prANena-AkzipatA kzuD tRz-antarA jAyate viBoH
   BhP_02.10.017/3 pipāsato jakṣataśca prāṅ mukhaṃ nirabhidyata	Bhu-_02.10.017/3 pipAsataH jakzataH-ca prAk muKam niraBidyata
   BhP_02.10.018/1 mukhatastālu nirbhinnaṃjihvā tatropajāyate	BhP_02.10.018/1 muKataH-tAlu nirBinnaMjihvA tatra-upajAyate
   BhP_02.10.018/3 tato nānāraso jajñe jihvayā yo 'dhigamyate	Bhu-_02.10.018/3 tatas nAnA-rasaH jajQe jihvayA yaH aDigamyate
   BhP_02.10.019/1 vivakṣormukhato bhūmno vahnirvāg vyāhṛtaṃ tayoḥ	Bhu-_02.10.019/1 vivakzoH-muKatas BUmnaH vahniH-vAc vyAhRtam tayoH
   BhP_02.10.019/3 jale caitasya suciraṃ nirodhaḥ samajāyata	Bhu-_02.10.019/3 jale ca-etasya su-ciram niroDaH samajAyata
   BhP_02.10.020/1 nāsike nirabhidyetāṃ dodhūyati nabhasvati	Bhu-_02.10.020/1 nAsike niraBidyetAm doDUyati naBasvati
   BhP_02.10.020/3 tatra vāyurgandhavaho ghrāṇo nasi jighṛkṣataḥ	Bhu-_02.10.020/3 tatra vAyuH-ganDa-vahaH GrANaH nasi jiGRkzataH
   BhP_02.10.021/1 yadātmani nirālokam ātmānaṃ ca didṛkṣataḥ	Bhu-_02.10.021/1 yat-Atmani nirAlokam AtmAnam ca didRkzataH
   BhP_02.10.021/3 nirbhinne hyakṣiṇī tasya jyotiścakṣurguṇagrahaḥ	Bha-a_02.10.021/3 nirBinne hi-akziNI tasya jyotiScakzuH-guNa-grahaH
   BhP_02.10.022/1 bodhyamānasya ṛṣibhirātmanastaj jighṛkṣataḥ	Bhu-_02.10.022/1 boDyamAnasya RziBiH-AtmanaH-tat jiGRkzataH
   BhP_02.10.022/3 karṇau ca nirabhidyetāṃ diśaḥ śrotraṃ guṇagrahaḥ	Bhu-_02.10.022/3 karNO ca niraBidyetAm diSaH Srotram guNa-grahaH
   BhP_02.10.023/1 vastuno mṛdukāṭhinya laghugurvoṣṇaśītatām	BhP_02.10.023/1 vastunaH mRdukAWinya laGu-guru-a-uzNa-SIta-tAm
   BhP_02.10.023/3 jighṛkṣatastvaṅ nirbhinnā tasyāṃ romamahīruhāḥ	Bhu-_02.10.023/3 jiGRkzataH-tvac nirBinnA tasyAm roma-mahIruhAH
   BhP_02.10.023/5 tatra cāntarbahirvātastvacā labdhaguṇo vṛtaḥ	Bhu-_02.10.023/5 tatra ca-antar-bahis-vAtaH-tvacA labDa-guNaH vRtaH
   BhP_02.10.024/1 hastau ruruhatustasya nānākarmacikīrṣayā	Bhu-_02.10.024/1 hastO ruruhatuH-tasya nAnA-karma-cikIrzayA
   BhP_02.10.024/3 tayostu balavān indra ādānam ubhayāśrayam	Bhu-_02.10.024/3 tayoH-tu balavAn indraH AdAnam uBaya-ASrayam
   BhP_02.10.025/1 gatiṃ jigīṣataḥ pādau ruruhāte 'bhikāmikām	Bhu-_02.10.025/1 gatim jigIzataH pAdO ruruhAte aBikAmikAm
   BhP_02.10.025/3 padbhyāṃ yajñaḥ svayaṃ havyaṃ karmabhiḥ kriyate nṛbhiḥ	Bhu-_02.10.025/3 padByAm yajQaH svayam havyam karmaBiH kriyate nRBiH
   BhP_02.10.026/1 nirabhidyata śiśno vai prajānandāmṛtārthinaḥ	BhP_02.10.026/1 niraBidyata SiSnaH vE prajA-Ananda-amRta-arTinaH
   BhP_02.10.026/3 upastha āsīt kāmānāṃ priyaṃ tadubhayāśrayam	Bhu-_02.10.026/3 upasTaH AsIt kAmAnAm priyam tad-uBaya-ASrayam
   BhP_02.10.027/1 utsisṛkṣordhātumalaṃ nirabhidyata vai gudam	Bhu-_02.10.027/1 utsisRkzoH-DAtumalam niraBidyata vE gudam
   BhP_02.10.027/3 tataḥ pāyustato mitra utsarga ubhayāśrayaḥ	Bhu-_02.10.027/3 tatas pAyuH-tatas mitraH utsargaH uBaya-ASrayaH
   BhP_02.10.028/1 āsisṛpsoḥ puraḥ puryā nābhidvāram apānataḥ	Bhu-_02.10.028/1 AsisRpsoH puras puryA nABi-dvAram apAnataH
   BhP_02.10.028/3 tatrāpānastato mṛtyuḥ pṛthaktvam ubhayāśrayam	Bhu-_02.10.028/3 tatra-apAnaH-tatas mRtyuH pRTaktvam uBaya-ASrayam
   BhP_02.10.029/1 āditsorannapānānām āsan kukṣyantranāḍayaḥ	Bhu-_02.10.029/1 AditsoH-anna-pAnAnAm Asan kukzi-antra-nAxayaH
   BhP_02.10.029/3 nadyaḥ samudrāśca tayostuṣṭiḥ puṣṭistadāśraye	Bhu-_02.10.029/3 nadyaH samudrAH-ca tayoH-tuzwiH puzwiH-tad-ASraye
   BhP_02.10.030/1 nididhyāsorātmamāyāṃ hṛdayaṃ nirabhidyata	Bhu-_02.10.030/1 nidiDyAsoH-Atma-mAyAm hRdayam niraBidyata
   BhP_02.10.030/3 tato manaścandra iti saṅkalpaḥ kāma eva ca	Bhu-_02.10.030/3 tatas manaH-candraH iti saFkalpaH kAmaH eva ca
   BhP_02.10.031/1 tvakcarmamāṃsarudhira medomajjāsthidhātavaḥ	Bhu-_02.10.031/1 tvac-carma-mAMsa-ruDira medaH-majja-asTi-DAtavaH
   BhP_02.10.031/3 bhūmyaptejomayāḥ sapta prāṇo vyomāmbuvāyubhiḥ	Bhu-_02.10.031/3 BUmi-ap-tejaH-mayAH sapta prANaH vyoma-ambu-vAyuBiH
   BhP_02.10.032/1 guṇātmakānīndriyāṇi bhūtādiprabhavā guṇāḥ	Bhu-_02.10.032/1 guNa-AtmakAni-indriyANi BUta-Adi-praBavAH guNAH
   BhP_02.10.032/3 manaḥ sarvavikārātmā buddhirvijñānarūpiṇī	Bhu-_02.10.032/3 manaH sarva-vikAra-AtmA budDiH-vijQAna-rUpiNI
   BhP_02.10.033/1 etadbhagavato rūpaṃ sthūlaṃ te vyāhṛtaṃ mayā	Bhu-_02.10.033/1 etat-BagavataH rUpam sTUlam te vyAhRtam mayA
   BhP_02.10.033/3 mahyādibhiścāvaraṇairaṣṭabhirbahirāvṛtam	BhP_02.10.033/3 mahyAdiBiH-ca-AvaraNEH-azwaBiH-bahis-AvRtam
   BhP_02.10.034/1 ataḥ paraṃ sūkṣmatamam avyaktaṃ nirviśeṣaṇam	Bhu-_02.10.034/1 atas param sUkzmatamam avyaktam nirviSezaNam
   BhP_02.10.034/3 anādimadhyanidhanaṃ nityaṃ vāṅmanasaḥ param	Bhu-_02.10.034/3 anAdi-maDya-niDanam nityam vAc-manasaH param
   BhP_02.10.035/1 amunī bhagavadrūpe mayā te hyanuvarṇite	Bha-a_02.10.035/1 amunI Bagavat-rUpe mayA te hi-anuvarNite
   BhP_02.10.035/3 ubhe api na gṛhṇanti māyāsṛṣṭe vipaścitaḥ	Bhu-_02.10.035/3 uBe api na gRhNanti mAyA-sRzwe vipaScitaH
   BhP_02.10.036/1 sa vācyavācakatayā bhagavān brahmarūpadhṛk	Bhu-_02.10.036/1 sa vAcya-vAcaka-tayA BagavAn brahma-rUpaDRk-
   BhP_02.10.036/3 nāmarūpakriyā dhatte sakarmākarmakaḥ paraḥ	Bhu-_02.10.036/3 nAma-rUpa-kriyA Datte sa-karmA-karmakaH paraH
   BhP_02.10.037/1 prajāpatīn manūn devān ṛṣīn pitṛgaṇān pṛthak	Bhu-_02.10.037/1 prajApatIn manUn devAn RzIn pitR-gaNAn pRTak-
   BhP_02.10.037/3 siddhacāraṇagandharvān vidyādhrāsuraguhyakān	Bhu-_02.10.037/3 sidDa-cAraNa-ganDarvAn vidyADra-asura-guhyakAn
   BhP_02.10.038/1 kinnarāpsaraso nāgān sarpān kimpuruṣān narān	Bhu-_02.10.038/1 kinnara-apsarasaH nAgAn sarpAn kimpuruzAn narAn
   BhP_02.10.038/3 māt rakṣaḥpiśācāṃśca pretabhūtavināyakān	Bhu-_02.10.038/3 mAt rakzaH-piSAcAn=-ca preta-BUta-vinAyakAn
   BhP_02.10.039/1 kūṣmāṇḍonmādavetālān yātudhānān grahān api	Bhu-_02.10.039/1 kUzmANxa-unmAda-vetAlAn yAtuDAnAn grahAn api
   BhP_02.10.039/3 khagān mṛgān paśūn vṛkṣān girīn nṛpa sarīsṛpān	Bhu-_02.10.039/3 KagAn mRgAn paSUn vRkzAn girIn nRpa sarIsRpAn
   BhP_02.10.040/1 dvividhāścaturvidhā ye 'nye jalasthalanabhaukasaḥ	Bhu-_02.10.040/1 dviviDAH-caturviDAH ye anye jala-sTala-naBa-okasaH
   BhP_02.10.040/3 kuśalākuśalā miśrāḥ karmaṇāṃ gatayastvimāḥ	Bhu-_02.10.040/3 kuSala-akuSalAH miSrAH karmaNAm gatayaH-tu-imAH
   BhP_02.10.041/1 sattvaṃ rajastama iti tisraḥ suranṛnārakāḥ	Bhu-_02.10.041/1 sattvam rajaH-tamaH iti tisraH sura-nR-nArakAH
   BhP_02.10.041/3 tatrāpyekaikaśo rājan bhidyante gatayastridhā	Bhu-_02.10.041/3 tatra-api-ekEkaSas rAjan Bidyante gatayaH-triDA
   BhP_02.10.041/5 yadaikaikataro 'nyābhyāṃ svabhāva upahanyate	Bhu-_02.10.041/5 yadA-eka-ekataraH anyAByAm svaBAvaH upahanyate
   BhP_02.10.042/1 sa evedaṃ jagaddhātā bhagavān dharmarūpadhṛk	Bhu-_02.10.042/1 saH eva-idam jagadDAtA BagavAn Darma-rUpaDRk-
   BhP_02.10.042/3 puṣṇāti sthāpayan viśvaṃ tiryaṅnarasurādibhiḥ	BhP_02.10.042/3 puzNAti sTApayan viSvam tiryak-nara-sura-AdiBiH
   BhP_02.10.043/1 tataḥ kālāgnirudrātmā yat sṛṣṭam idam ātmanaḥ	Bhu-_02.10.043/1 tatas kAlAgni-rudra-AtmA yat sRzwam idam AtmanaH
   BhP_02.10.043/3 sanniyacchati tat kāle ghanānīkam ivānilaḥ	Bhu-_02.10.043/3 san=-iyacCati tat kAle Gana-anIkam iva-anilaH
   BhP_02.10.044/1 itthambhāvena kathito bhagavān bhagavattamaḥ	Bhu-_02.10.044/1 itTam-BAvena kaTitaH BagavAn BagavattamaH
   BhP_02.10.044/3 netthambhāvena hi paraṃ draṣṭum arhanti sūrayaḥ	Bhu-_02.10.044/3 na-itTam-BAvena hi param drazwum arhanti sUrayaH
   BhP_02.10.045/1 nāsya karmaṇi janmādau parasyānuvidhīyate	Bhu-_02.10.045/1 na-asya karmaNi janma-AdO parasya-anuviDIyate
   BhP_02.10.045/3 kartṛtvapratiṣedhārthaṃ māyayāropitaṃ hi tat	Bhu-_02.10.045/3 kartR-tva-pratizeDa-arTam mAyayA-Aropitam hi tat-
