   akathyamapi deveśi Ras_1.13c	akaTyam-api deveSi RaH-_1.13c
   gaṇaiḥ snehairmṛtaṃ tataḥ Ras_8.44b	gaNEH snehEH-mRtam tatas RaH-_8.44b
   gatadehaṃ tu kārayet Ras_12.12b	gata-deham tu kArayet RaH-_12.12b
   gatadoṣaṃ vimardayet Ras_10.50b	gata-dozam vimardayet RaH-_10.50b
   gataṃ garbhadrutiṃ priye Ras_8.86b	gatam garBadrutim priye RaH-_8.86b
   gatinaṣṭe kuto mokṣo Ras_1.16c	gati-nazwe kutas mokzaH RaH-_1.16c
   gatvā tasya samīpataḥ Ras_12.194b	gatvA tasya samIpatas RaH-_12.194b
   gandhakatrayamākṣikaiḥ Ras_6.101b	ganDakatraya-mAkzikEH RaH-_6.101b
   gandhakastālakaḥ śilā Ras_7.56a	ganDakaH-tAlakaH SilA RaH-_7.56a
   gandhakasya kṣayo nāsti Ras_4.25a	ganDakasya kzayaH na-asti RaH-_4.25a
   gandhakasya gavāṃ jalaiḥ Ras_9.4b	ganDakasya gavAm jalEH RaH-_9.4b
   gandhakasya tu yojayet Ras_11.167d	ganDakasya tu yojayet RaH-_11.167d
   gandhakasya haredgandhaṃ Ras_12.215c	ganDakasya haret-ganDam RaH-_12.215c
   gandhakaṃ karkaṭāsthi ca Ras_6.104b	ganDakam karkawa-asTi ca RaH-_6.104b
   gandhakaṃ ca manaḥśilā Ras_12.280b	ganDakam ca manaHSilA RaH-_12.280b
   gandhakaṃ ca śilādhātuṃ Ras_6.87a	ganDakam ca SilADAtum RaH-_6.87a
   gandhakaṃ ca sitaṃ hiṅgu- Ras_9.14a	ganDakam ca sitam hiFgu RaH-_9.14a
   gandhakaṃ tatra jārayet Ras_12.339b	ganDakam tatra jArayet RaH-_12.339b
   gandhakaṃ tālakaṃ caiva Ras_12.281a	ganDakam tAlakam ca-eva RaH-_12.281a
   gandhakaṃ naralomāni Ras_11.169a	ganDakam nara-lomAni RaH-_11.169a
   gandhakaṃ bhāvayettataḥ Ras_12.8b	ganDakam BAvayet-tatas RaH-_12.8b
   gandhakaṃ rasakaṃ tāpyaṃ Ras_12.174a	ganDakam rasakam tApyam RaH-_12.174a
   gandhakaṃ lohadaṇḍena Ras_12.162:1a	ganDakam loha-daNxena RaH-_12.162:1a
   gandhakaṃ śodhayet kṣīre Ras_7.72c	ganDakam SoDayet kzIre RaH-_7.72c
   gandhakaḥ śataśo bhāvyo Ras_9.17c	ganDakaH SataSas BAvyaH RaH-_9.17c
   gandhakākhyo bhavatvayam Ras_7.64b	ganDaka-AKyaH Bavatu-ayam RaH-_7.64b
   gandhakāt parato nāsti Ras_11.82c	ganDakAt paratas na-asti RaH-_11.82c
   gandhakābhrakacūrṇakam Ras_11.43d	ganDaka-aBraka-cUrNakam RaH-_11.43d
   gandhakāvāpayogataḥ Ras_8.51d	ganDaka-AvApa-yogataH RaH-_8.51d
   gandhakāsīsaṭaṅkaṇaiḥ Ras_11.194b	ganDa-kAsIsa-waFkaNEH RaH-_11.194b
   gandhakena tu mūrchitaḥ Ras_11.220b	ganDakena tu mUrCitaH RaH-_11.220b
   gandhakena tu śulvābhraṃ Ras_8.31c	ganDakena tu SulvABram RaH-_8.31c
   gandhakena hataṃ śulvaṃ Ras_11.94a	ganDakena hatam Sulvam RaH-_11.94a
   gandhake samajīrṇe 'smin Ras_12.9c	ganDake sama-jIrNe asmin RaH-_12.9c
   gandhako jāyate 'malaḥ Ras_7.73d	ganDakaH jAyate amalaH RaH-_7.73d
   gandhako hi svabhāvena Ras_7.72a	ganDakaH hi svaBAvena RaH-_7.72a
   gandhatālakasindhūtthaṃ Ras_9.8a	ganDa-tAlaka-sinDUtTam RaH-_9.8a
   gandhanāgadrutiṃ dattvā Ras_11.173a	ganDa-nAga-drutim dattvA RaH-_11.173a
   gandhanāgaṃ tato 'rdhaṃ tu Ras_11.92c	ganDa-nAgam tatas arDam tu RaH-_11.92c
   gandhanāgaṃ yadā jīrṇaṃ Ras_11.93c	ganDa-nAgam yadA jIrNam RaH-_11.93c
   gandhanāge drute devi Ras_11.163c	ganDa-nAge drute devi RaH-_11.163c
   gandhanāgo drutiṃ caret Ras_11.165b	ganDa-nAgaH drutim caret RaH-_11.165b
   gandhapāṣāṇagandhena Ras_12.173a	ganDapAzANa-ganDena RaH-_12.173a
   gandhapāṣāṇasaṃyutam Ras_12.266b	ganDapAzANa-saMyutam RaH-_12.266b
   gandhapuṣpādibhiḥ pūrṇaṃ Ras_2.80a	ganDa-puzpa-AdiBiH pUrNam RaH-_2.80a
   gandhapuṣpairdhūpadīpaiḥ Ras_2.100e	ganDa-puzpEH-DUpa-dIpEH RaH-_2.100e
   gandhapuṣpaiḥ samarcayet Ras_2.98b	ganDa-puzpEH samarcayet RaH-_2.98b
   gandhamākṣīkadaradaṃ Ras_12.230a	ganDa-mAkzIka-daradam RaH-_12.230a
   gandhamālyopaśobhite Ras_2.50b	ganDa-mAlya-upaSoBite RaH-_2.50b
   gamanaṃ dravati sphuṭam Ras_6.18f	gamanam dravati sPuwam RaH-_6.18f
   gambhīrā sāraṇocitā Ras_4.41d	gamBIrA sAraNa-ucitAH RaH-_4.41d
   gambhīro guruvatsalaḥ Ras_2.8b	gamBIraH guru-vatsalaH RaH-_2.8b
   garuḍaḥ soḍhumakṣamaḥ Ras_7.39b	garuxaH soXum-akzamaH RaH-_7.39b
   garte gomayasampūrṇe Ras_11.173c	garte gomaya-sampUrNe RaH-_11.173c
   gardabho 'pi vimucyate Ras_1.9d	gardaBaH api vimucyate RaH-_1.9d
   garbhadrāvaṇameva ca Ras_11.121b	garBadrAvaNam-eva ca RaH-_11.121b
   garbhadrāvaṇameva ca Ras_11.123d	garBadrAvaNam-eva ca RaH-_11.123d
   garbhadrāvaṃ ca pūrvavat Ras_11.122b	garBadrAvam ca pUrvavat RaH-_11.122b
   garbhadrāvī bhavedrasaḥ Ras_11.47d	garBadrAvI Bavet-rasaH RaH-_11.47d
   garbhadrutirna ceddevi Ras_11.178a	garBadrutiH-na ced-devi RaH-_11.178a
   garbhabāhyadrutiḥ paścāt Ras_11.211a	garBa-bAhyadrutiH paScAt RaH-_11.211a
   garbhayantraṃ pravakṣyāmi Ras_4.16a	garBayantram pravakzyAmi RaH-_4.16a
   garbhasthaṃ drāvayitvā tu Ras_11.9a	garBa-sTam drAvayitvA tu RaH-_11.9a
   garbhe dravati niścitam Ras_8.52d	garBe dravati niScitam RaH-_8.52d
   garbhe dravati mardanāt Ras_11.49b	garBe dravati mardanAt RaH-_11.49b
   gavāśvanarabarhijam Ras_5.36b	gavA-aSvanara-barhi-jam RaH-_5.36b
   gavyakṣīreṇa gharṣayet Ras_11.39b	gavya-kzIreNa Garzayet RaH-_11.39b
   gāṅgerī raktacitrakaḥ Ras_10.53b	gAFgerI raktacitrakaH RaH-_10.53b
   gārā dagdhā tuṣā dagdhā Ras_4.32a	gArA dagDA tuzAH dagDAH RaH-_4.32a
   gārā dagdhā tuṣā dagdhā Ras_4.35a	gArA dagDA tuzAH dagDAH RaH-_4.35a
   gālanakriyayā grāse Ras_11.65a	gAlana-kriyayA grAse RaH-_11.65a
   gālayenmāhiṣe mūtre Ras_7.134a	gAlayet-mAhize mUtre RaH-_7.134a
   girikarṇī ca mīnākṣī Ras_10.40a	girikarNI ca mInAkzI RaH-_10.40a
   girijatusamamabhraṃ kāntabhṛṅgaṃ viḍaṅgaṃ Ras_12.365a	girijatu-samam-aBram kAnta-BRFgam vixaFgam RaH-_12.365a
   giridoṣanivṛttaye Ras_7.109d	giri-doza-nivRttaye RaH-_7.109d
   giridoṣaṃ tyajedrasaḥ Ras_10.50d	giri-dozam tyajet-rasaH RaH-_10.50d
   giridoṣe kṣayaṃ nīte Ras_8.2c	giri-doze kzayam nIte RaH-_8.2c
   giripātālabhūtalam Ras_11.141d	giri-pAtAla-BU-talam RaH-_11.141d
   gītanṛtyairvicitraiśca Ras_7.59c	gIta-nRtyEH-vicitrEH-ca RaH-_7.59c
   guñjākarañjadhuttūra- Ras_7.116c	guQjA-karaQja-DuttUra RaH-_7.116c
   guñjācūrṇaṃ sahaikataḥ Ras_12.188d	guQjA-cUrNam saha-ekatas RaH-_12.188d
   guñjāṭaṅkaṇamadhvājya- Ras_5.41a	guQjA-waFkaNa-maDu-Ajya RaH-_5.41a
   guñjāṭaṅkaṇayogena Ras_8.35c	guQjA-waFkaNa-yogena RaH-_8.35c
   guñjāṭaṅkaṇasaṃyuktaṃ Ras_8.28c	guQjA-waFkaNa-saMyuktam RaH-_8.28c
   guñjāṭaṅkaṇasaṃyutam Ras_8.25d	guQjA-waFkaNa-saMyutam RaH-_8.25d
   guñjāmātraṃ rasaṃ naraḥ Ras_12.200b	guQjA-mAtram rasam naraH RaH-_12.200b
   guñjāyaskāntaṭaṅkaṇaiḥ Ras_11.187d	guQjA-ayaskAnta-waFkaNEH RaH-_11.187d
   guñjāsaindhavaṭaṅkaṇam Ras_9.16d	guQjA-sEnDava-waFkaNam RaH-_9.16d
   guṭikākṛtya tenaiva Ras_12.121c	guwikA-AkRtya tena-eva RaH-_12.121c
   guṭikā khecarī bhavet Ras_12.373d	guwikA KecarI Bavet RaH-_12.373d
   guṭikāmarasundari Ras_12.353b	guwikA-amarasundari RaH-_12.353b
   guṭikā vajravad bhavet Ras_12.171b	guwikA vajra-vat Bavet RaH-_12.171b
   guṭikā sā varārohe Ras_12.347a	guwikA sA varArohe RaH-_12.347a
   guṭikā sundarī nāma Ras_12.305a	guwikA sundarI nAma RaH-_12.305a
   guṭikāṃ kārayedbudhaḥ Ras_12.153d	guwikAm kArayet-buDaH RaH-_12.153d
   guṭikāṃ tena kārayet Ras_12.342d	guwikAm tena kArayet RaH-_12.342d
   guṭikāṃ śṛṇu sundari Ras_12.338d	guwikAm SRNu sundari RaH-_12.338d
   guṭikāḥ kārayeddevi Ras_12.356a	guwikAH kArayet-devi RaH-_12.356a
   guḍasya kālarātris tu Ras_3.25c	guxasya kAlarAtriH tu RaH-_3.25c
   guḍā drāvaṇapañcakam Ras_5.41b	guxAH drAvaNa-paQcakam RaH-_5.41b
   guḍābho madhyamo jñeyaḥ Ras_7.29c	guxa-ABaH maDyamaH jQeyaH RaH-_7.29c
   guḍūcī haṃsapādī ca Ras_7.108c	guxUcI haMsapAdI ca RaH-_7.108c
   guḍeṣṭakāṃ tu saṃmardya Ras_3.21c	guxa-izwakAm tu saMmardya RaH-_3.21c
   guṇapattrasamaṃ bhavet Ras_6.108d	guNa-pattra-samam Bavet RaH-_6.108d
   guṇapattrasamaṃ bhavet Ras_6.109d	guNa-pattra-samam Bavet RaH-_6.109d
   guṇavānuttarottaraḥ Ras_7.46d	guNavAn-uttarottaraH RaH-_7.46d
   guptasambandhavarjite Ras_1.2d	gupta-sambanDa-varjite RaH-_1.2d
   gurutvamaruṇatvaṃ ca Ras_11.202a	guru-tvam-aruNa-tvam ca RaH-_11.202a
   gurupūjārataśca yaḥ Ras_2.2d	guru-pUjA-rataH-ca yaH RaH-_2.2d
   gurumārādhayet pūrvaṃ Ras_1.54a	gurum-ArADayet pUrvam RaH-_1.54a
   gurusevāṃ vinā karma Ras_1.55a	guru-sevAm vinA karma RaH-_1.55a
   guru snigdhaṃ mṛdu śvetaṃ Ras_7.103c	guru snigDam mRdu Svetam RaH-_7.103c
   guroḥ satsampradāyinaḥ Ras_2.91b	guroH sat-sampradAyinaH RaH-_2.91b
   gurau tuṣṭe marīcayaḥ Ras_1.54d	gurO tuzwe marIcayaH RaH-_1.54d
   gulikācūrṇabhedataḥ Ras_7.85b	gulikA-cUrNa-BedataH RaH-_7.85b
   gulikā vajravadbhavet Ras_12.330f	gulikAH vajra-vat-Bavet RaH-_12.330f
   guhyasthāne nidhāpayet Ras_12.349b	guhya-sTAne niDApayet RaH-_12.349b
   guhyādguhyataraṃ tvayā Ras_1.33b	guhyAt-guhyataram tvayA RaH-_1.33b
   gṛdhrako lakṣajanmāni Ras_1.51c	gRDrakaH lakza-janmAni RaH-_1.51c
   gṛhakanyārasānvitam Ras_10.46b	gRha-kanyA-rasa-anvitam RaH-_10.46b
   gṛhītvā cūrṇayet tataḥ Ras_12.315d	gRhItvA cUrNayet tatas RaH-_12.315d
   gṛhītvā codakaṃ tena Ras_3.15c	gRhItvA ca-udakam tena RaH-_3.15c
   gṛhītvā tatprayatnena Ras_12.244c	gRhItvA tat-prayatnena RaH-_12.244c
   gṛhītvā triphalāṃ tatra Ras_12.315a	gRhItvA triPalAm tatra RaH-_12.315a
   gṛhītvā devi dhānyāmlam Ras_11.29a	gRhItvA devi DAnyAmlam RaH-_11.29a
   gṛhītvā pūrvavat pattraiḥ Ras_12.220c	gRhItvA pUrvavat pattrEH RaH-_12.220c
   gṛhītvā bījamuttamam Ras_12.145b	gRhItvA bIjam-uttamam RaH-_12.145b
   gṛhītvā mardayed rasam Ras_12.107b	gRhItvA mardayet rasam RaH-_12.107b
   gṛhītvā śuṣkavaṃśaṃ tu Ras_12.240a	gRhItvA Suzka-vaMSam tu RaH-_12.240a
   gṛhṇīyāt kāñjikāṃ devi Ras_3.17a	gRhNIyAt kAQjikAm devi RaH-_3.17a
   gṛhṇīyāttāmrabhājane Ras_12.59f	gRhNIyAt-tAmra-BAjane RaH-_12.59f
   gṛhṇīyāt sādhakeśvaraḥ Ras_3.6b	gRhNIyAt sADaka-ISvaraH RaH-_3.6b
   gṛhṇīyāt sādhakottamaḥ Ras_6.129d	gRhNIyAt sADaka-uttamaH RaH-_6.129d
   gṛhṇīyāt sādhakottamaḥ Ras_12.4b	gRhNIyAt sADaka-uttamaH RaH-_12.4b
   gṛhṇīyādamṛtaṃ param Ras_12.292d	gRhNIyAt-amRtam param RaH-_12.292d
   gṛhyate ko 'tra saṃdeho Ras_11.130c	gRhyate kaH atra saMdehaH RaH-_11.130c
   gairikaṃ trividhaṃ rakta- Ras_7.83a	gErikam triviDam rakta RaH-_7.83a
   gairikaṃ vimalaṃ dhamet Ras_7.84b	gErikam vimalam Damet RaH-_7.84b
   gairikeṇa ca mukhyena Ras_8.49c	gErikeNa ca muKyena RaH-_8.49c
   gokarṇarasamūrchitaḥ Ras_10.51b	gokarNa-rasa-mUrCitaH RaH-_10.51b
   gokarṇe tu dinatrayam Ras_12.282f	gokarNe tu dina-trayam RaH-_12.282f
   goghṛtena vimiśritam Ras_7.86d	go-GRtena vimiSritam RaH-_7.86d
   gojihvā kākajaṅghā ca Ras_5.16a	gojihvA kAkajaFGA ca RaH-_5.16a
   gojihvā kṣīrakañcukaḥ Ras_10.55b	gojihvA kzIrakaQcukaH RaH-_10.55b
   godhūmabaddhā tatpiṇḍī Ras_6.15c	goDUma-badDA tad-piNxI RaH-_6.15c
   gopālakī gorasānāṃ Ras_7.109a	gopAlakI gorasAnAm RaH-_7.109a
   gopittaṃ śikhipittaṃ ca Ras_12.160a	go-pittam SiKi-pittam ca RaH-_12.160a
   gopittena śataṃ vārān Ras_7.80a	go-pittena Satam vArAn RaH-_7.80a
   gopendramaṇḍalī caiva Ras_7.139c	gopendra-maNxalI ca-eva RaH-_7.139c
   gopyaṃ guruprasādena Ras_1.58a	gopyam guru-prasAdena RaH-_1.58a
   gobhaddo rasakastutthaṃ Ras_7.37a	goBaddaH rasakaH-tutTam RaH-_7.37a
   gobhir nāghrātamīśvari Ras_12.135b	goBiH na-AGrAtam-ISvari RaH-_12.135b
   gomayaṃ tena gṛhṇīyāl Ras_3.14c	gomayam tena gRhNIyAt RaH-_3.14c
   gomayaṃ sāramindhanam Ras_4.3b	gomayam sAram-inDanam RaH-_4.3b
   gomayāgnau tryahaṃ dravet Ras_6.32d	gomaya-agnO tri-aham dravet RaH-_6.32d
   gomāṃsasaindhavārkaistu Ras_6.32a	go-mAMsa-sEnDava-arkEH-tu RaH-_6.32a
   gomāṃsaṃ bhakṣayedyastu Ras_1.26a	go-mAMsam Bakzayet-yaH-tu RaH-_1.26a
   gomāṃse māhiṣe mūtre Ras_7.48a	go-mAMse mAhize mUtre RaH-_7.48a
   gomūtre kadalīrase Ras_7.6b	go-mUtre kadalI-rase RaH-_7.6b
   gomūtreṇa ghṛtena ca Ras_7.10b	go-mUtreNa GRtena ca RaH-_7.10b
   gomūtraiśca snuhikṣīraiḥ Ras_7.13a	go-mUtrEH-ca snuhi-kzIrEH RaH-_7.13a
   gorocanānibhaṃ dhāma Ras_8.61c	gorocanA-niBam DAma RaH-_8.61c
   golakaṃ kārayitvā tu Ras_12.319c	golakam kArayitvA tu RaH-_12.319c
   golakaṃ nihitamiṅgudīphale Ras_12.369b	golakam nihitam-iFgudI-Pale RaH-_12.369b
   golakaṃ varaṇakāṣṭhayantritam Ras_12.371b	golakam varaNa-kAzWa-yantritam RaH-_12.371b
   golako bhavati kṣipraṃ Ras_11.28a	golakaH Bavati kzipram RaH-_11.28a
   gośakṛdrasamūtreṣu Ras_7.54a	go-SakRt-rasa-mUtrezu RaH-_7.54a
   gośṛṅge tu varānane Ras_12.68d	go-SRFge tu varAnane RaH-_12.68d
   goṣṭhīrūpeṇa yācake Ras_2.126b	gozWI-rUpeNa yAcake RaH-_2.126b
   gostanākārasaṃnibhā Ras_4.40b	gostana-AkAra-saMniBA RaH-_4.40b
   gauraḥ śveto 'ruṇaḥ kṛṣṇaś Ras_7.23a	gOraH SvetaH aruNaH kRzNaH RaH-_7.23a
   gaurābhām indravāruṇīm Ras_6.107b	gOra-ABAm indravAruNIm RaH-_6.107b
   gaurīphalāni kṣurako Ras_7.113a	gOrI-PalAni kzurakaH RaH-_7.113a
   granthāntare 'pi kīrtyo 'sau Ras_7.18c	granTa-antare api kIrtyaH asO RaH-_7.18c
   granthiyuktā ca pārvati Ras_12.97b	granTi-yuktA ca pArvati RaH-_12.97b
   grasate duṣṭamāmayam Ras_11.216d	grasate duzwam-Amayam RaH-_11.216d
   grasate sarvamādarāt Ras_11.149d	grasate sarvam-AdarAt RaH-_11.149d
   grahanakṣatramaṇḍalam Ras_12.124d	graha-nakzatra-maNxalam RaH-_12.124d
   grāmastasyāsti saṃnidhau Ras_12.238d	grAmaH-tasya-asti saMniDO RaH-_12.238d
   grāsamānamataḥ param Ras_11.210b	grAsamAnam-atas param RaH-_11.210b
   grāsayoge sureśvari Ras_11.52d	grAsa-yoge sureSvari RaH-_11.52d
   grāsaṃ gṛhṇa mama prabho Ras_11.12d	grAsam gRhNa mama praBo RaH-_11.12d
   grāsaḥ pūjā vidhīyate Ras_11.4d	grAsaH pUjA viDIyate RaH-_11.4d
   grāsaḥ sūte vidhīyate Ras_11.123b	grAsaH sUte viDIyate RaH-_11.123b
   grāsārthī jāyate rasaḥ Ras_10.60f	grAsa-arTI jAyate rasaH RaH-_10.60f
   grāse grāse punaḥ punaḥ Ras_11.68b	grAse grAse punar punar RaH-_11.68b
   grāsena tu caturthena Ras_11.53c	grAsena tu caturTena RaH-_11.53c
   grāsena tu tṛtīyena Ras_11.53a	grAsena tu tRtIyena RaH-_11.53a
   grāso rasasya dātavyaḥ Ras_11.51c	grAsaH rasasya dAtavyaH RaH-_11.51c
   grāhayet parameśvari Ras_3.8b	grAhayet parameSvari RaH-_3.8b
   grāhayedabhrapatrāṇi Ras_6.38a	grAhayet-aBra-patrANi RaH-_6.38a
   grāhyameva subuddhinā Ras_11.13b	grAhyam-eva su-budDinA RaH-_11.13b
   grāhyaṃ tatphalatailaṃ vā Ras_12.21a	grAhyam tad-Pala-tElam vA RaH-_12.21a
   ghaṇṭāṭaṅkārasaṃyuktaiḥ Ras_2.74c	GaNwA-waFkAra-saMyuktEH RaH-_2.74c
   ghanaghātasahaṃ snigdhaṃ Ras_7.105c	Gana-GAta-saham snigDam RaH-_7.105c
   ghananibiḍasumadhyo mattamātaṃgadarpaḥ Ras_12.366b	Gana-nibixa-su-maDyaH matta-mAtaMga-darpaH RaH-_12.366b
   ghanaṃ mākṣikacūrṇena Ras_8.42a	Ganam mAkzika-cUrNena RaH-_8.42a
   gharṣayettacca suvrate Ras_11.35b	Garzayet-tat-ca suvrate RaH-_11.35b
   ghātayettadrasāyanam Ras_12.39b	GAtayet-tat-rasAyanam RaH-_12.39b
   ghṛtakṣaudravasāsu ca Ras_7.54b	GRta-kzOdra-vasAsu ca RaH-_7.54b
   ghṛtamadhusitayāḍhyaṃ vyoṣacitraṃ daśāṃśaṃ Ras_12.364c	GRta-maDu-sitayA-AXyam vyoza-citram daSa-aMSam RaH-_12.364c
   ghṛtavacca ghṛtodakam Ras_12.213b	GRta-vat-ca GRta-udakam RaH-_12.213b
   ghṛtaśailāmbumadhyasthaṃ Ras_12.374c	GRta-SElAmbu-maDya-sTam RaH-_12.374c
   ghṛtaṃ caiva visarpati Ras_12.215b	GRtam ca-eva visarpati RaH-_12.215b
   ghṛtāktakarpaṭopari Ras_7.70d	GRta-akta-karpawa-upari RaH-_7.70d
   ghṛtākte lohabhājane Ras_7.70b	GRta-akte loha-BAjane RaH-_7.70b
   ghṛtena madhunāloḍya Ras_12.17a	GRtena maDunA-Aloxya RaH-_12.17a
   ghṛṣṭamabhrakacūrṇaṃ tu Ras_6.26a	GRzwam-aBraka-cUrNam tu RaH-_6.26a
   ghṛṣṭamabhrakajaṃ rajaḥ Ras_6.24b	GRzwam-aBraka-jam rajaH RaH-_6.24b
   ghṛṣṭaṃ tu gairikacchāyaṃ Ras_7.53c	GRzwam tu gErika=-CAyam RaH-_7.53c
   ghoraśaktir vyavasthitā Ras_12.207b	Gora-SaktiH vyavasTitAH RaH-_12.207b
   cakratulyaṃ bhramatyetad Ras_12.204c	cakra-tulyam Bramati-etat RaH-_12.204c
   cakramardaḥ kuruṅgiṇī Ras_5.4d	cakramardaH kuruFgiNI RaH-_5.4d
   cakramardena mardayet Ras_12.159d	cakramardena mardayet RaH-_12.159d
   cakravākopaśobhite Ras_2.42b	cakravAka-upaSoBite RaH-_2.42b
   cakrāṅkī sthalapadminī Ras_5.19d	cakrAFkI sTalapadminI RaH-_5.19d
   cakrikā kṣīrakukkuṭī Ras_5.18b	cakrikA kzIrakukkuwI RaH-_5.18b
   caṇakasyeva pattrāṇi Ras_12.151c	caNakasya-iva pattrANi RaH-_12.151c
   caṇakāmlāmlavetasam Ras_6.118b	caNaka-amla-amlavetasam RaH-_6.118b
   caṇakāmlena kāñjikam Ras_11.36b	caNaka-amlena kAQjikam RaH-_11.36b
   caṇakāmlena saṃyutam Ras_11.33d	caNaka-amlena saMyutam RaH-_11.33d
   caṇḍakāpālinī devī Ras_3.15a	caNxakApAlinI devI RaH-_3.15a
   caṇḍaghaṇṭā vyavasthitā Ras_3.13d	caNxaGaNwA vyavasTitAH RaH-_3.13d
   caṇḍaghaṇṭāṃ tu kārayet Ras_3.13b	caNxa-GaNwAm tu kArayet RaH-_3.13b
   caṇḍabhairavikā devī Ras_3.14a	caNxaBEravikA devI RaH-_3.14a
   caṇḍayonīśvaraṃ tathā Ras_12.241d	caNxayoni-ISvaram taTA RaH-_12.241d
   caṇḍālī rākṣasī vyāghrī Ras_5.8a	caNxAlI rAkzasI vyAGrI RaH-_5.8a
   caṇḍikāyā mahāmantraṃ Ras_3.24a	caNxikAyAH mahA-mantram RaH-_3.24a
   catasro gatayo dṛśyā Ras_10.16c	catasraH gatayaH dRSyAH RaH-_10.16c
   caturakṣarasaṃyutam Ras_3.19b	catur-akzara-saMyutam RaH-_3.19b
   caturaṅgulakocchrayaḥ Ras_4.60b	catur-aFgulaka-ucCrayaH RaH-_4.60b
   caturaṅguladīrghāṃ tu Ras_4.16c	catur-aFgula-dIrGAm tu RaH-_4.16c
   caturaśīticaṇḍikāḥ Ras_3.26d	caturaSIti-caNxikAH RaH-_3.26d
   caturasre tu dikpālān Ras_2.53c	catur-asre tu dikpAlAn RaH-_2.53c
   caturguṇaṃ vā dviguṇaṃ Ras_11.45e	caturguNam vA dviguNam RaH-_11.45e
   caturguṇena tenājyaṃ Ras_12.296c	caturguNena tena-Ajyam RaH-_12.296c
   caturguṇena vastreṇa Ras_11.64a	caturguNena vastreNa RaH-_11.64a
   caturguṇe 'yutaṃ devi Ras_11.156a	caturguNe ayutam devi RaH-_11.156a
   caturguṇe lakṣavedhī Ras_11.71c	caturguNe lakza-veDI RaH-_11.71c
   caturṇāṃ lakṣaṇādikam Ras_6.139b	caturNAm lakzaNa-Adikam RaH-_6.139b
   caturthaṃ nopalabhyate Ras_7.99d	caturTam na-upalaByate RaH-_7.99d
   caturthāṃśakṣayo bhavet Ras_4.26d	caturTa-aMSa-kzayaH Bavet RaH-_4.26d
   caturthāṃśapramāṇena Ras_11.167c	caturTa-aMSa-pramANena RaH-_11.167c
   caturthāṃśena rasakaṃ Ras_12.266c	caturTa-aMSena rasakam RaH-_12.266c
   caturthīṃ sāraṇāṃ prāpya Ras_12.334a	caturTIm sAraNAm prApya RaH-_12.334a
   caturthe caiva saptāhe Ras_12.31c	caturTe ca-eva sapta-ahe RaH-_12.31c
   caturtho mūrtibandhas tu Ras_11.198c	caturTaH mUrtibanDaH tu RaH-_11.198c
   caturtho 'ṣṭāṃśa eva ca Ras_11.50d	caturTaH azwa-aMSaH eva ca RaH-_11.50d
   caturdaśyāṃ ca tatkṣetraṃ Ras_12.193c	caturdaSyAm ca tat-kzetram RaH-_12.193c
   caturdaśyāṃ viśeṣataḥ Ras_2.127d	caturdaSyAm viSezataH RaH-_2.127d
   caturbindūn puṭe prāgvad Ras_11.174c	catur-bindUn puwe prAgvat RaH-_11.174c
   caturvarṇavidhaṃ tatra Ras_12.166c	catur-varNa-viDam tatra RaH-_12.166c
   catuṣkoṇaṃ punaḥ kṛtvā Ras_2.94a	catuzkoNam punar kRtvA RaH-_2.94a
   catuṣṭayī gatistasya Ras_10.16a	catuzwayI gatiH-tasya RaH-_10.16a
   catuḥpañcamukhaṃ śreṣṭham Ras_6.47c	catur-paQcamuKam SrezWam RaH-_6.47c
   catuḥpañcasahasrakam Ras_12.375d	catur-paQca-sahasrakam RaH-_12.375d
   catuḥṣaṣṭiguṇaṃ devi Ras_11.45a	catuHzazwi-guNam devi RaH-_11.45a
   catuḥṣaṣṭitame bhāge Ras_12.15a	catuHzazwitame BAge RaH-_12.15a
   catuḥṣaṣṭitamo bhavet Ras_12.14d	catuHzazwitamaH Bavet RaH-_12.14d
   catuḥṣaṣṭyaṃśakaḥ pūrvaḥ Ras_11.50a	catuHzazwi-aMSakaH pUrvaH RaH-_11.50a
   catuḥṣaṣṭyaṃśake grāse Ras_11.52a	catuHzazwi-aMSake grAse RaH-_11.52a
   catuḥṣaṣṭyaṃśataḥ piṇḍe Ras_12.199c	catuHzazwi-aMSataH piNxe RaH-_12.199c
   catuḥṣaṣṭyādibhāgena Ras_11.172c	catuHzazwi-Adi-BAgena RaH-_11.172c
   catvāraḥ pradhānagṛhāḥ Ras_3.3a	catvAraH praDAna-gRhAH RaH-_3.3a
   candanāgurukarpūra- Ras_1.39a	candana-aguru-karpUra RaH-_1.39a
   candratārābalānvite Ras_2.47d	candra-tArA-bala-anvite RaH-_2.47d
   candratoyānyanekadhā Ras_12.190d	candra-toyAni-anekaDA RaH-_12.190d
   candravannirmalo bhavet Ras_12.195f	candra-vat-nirmalaH Bavet RaH-_12.195f
   candravṛddhyābhivardheran Ras_12.191e	candra-vRdDyA-aBivarDeran RaH-_12.191e
   candravṛddhyā vivardhate Ras_12.192d	candra-vRdDyA vivarDate RaH-_12.192d
   candrahema varārohe Ras_12.57a	candra-hema varArohe RaH-_12.57a
   candrārkapattralepena Ras_8.63c	candra-arka-pattra-lepena RaH-_8.63c
   candrārkapattraṃ deveśi Ras_12.140c	candrArka-pattram deveSi RaH-_12.140c
   candrārkaṃ kāñcanaṃ bhavet Ras_12.141d	candrArkam kAQcanam Bavet RaH-_12.141d
