   aitareyopaniṣad	Etareya-upanizad-
   śuklakṛṣṇādibhāvena saṃkalpanaṃ rūpādīnām, kraturadhyavasāyaḥ asuḥ	Sukla-kRzNa-Adi-BAvena saMkalpanam rUpa-AdInAm, kratuH-aDyavasAyaH asuH
   prāṇanādijīvanakriyānimittā vṛttiḥ, kāmo 'saṃnihitaviṣayākāṅkṣā tṛṣṇā,	prANana-Adi-jIvana-kriyA-nimittA vRttiH, kAmaH asaMnihita-vizaya-AkAFkzA tRzNA,
   vaśaḥ strīvyatikarādyabhilāṣaḥ, ityevamādyā antaḥkaraṇavṛttayaḥ	vaSaH strI-vyatikara-Adi-aBilAzaH, iti-evamAdyAH antaHkaraNa-vRttayaH
   prajñaptimātrasyopalabdhurupalabdhyarthatvācchuddhaprajñānarūpasya	prajQapti-mAtrasya-upalabDuH-upalabDi-arTa-tvAt-SudDa-prajQAna-rUpasya
   brahmaṇa upādhibhūtāstadupādhijanitaguṇanāmadheyāni bhavanti saṃjñānādīni	brahmaNaH upADi-BUtAH-tad-upADi-janita-guNa-nAmaDeyAni Bavanti saMjQAna-AdIni
   sarvāṇyeva etāni prajñānasya nāmadheyāni bhavanti na svataḥ sākṣāt /	sarvANi-eva etAni prajQAnasya nAmaDeyAni Bavanti na svatas sAkzAt /
   tathā coktaṃ"prāṇanneva prāṇo nāma bhavati"(bṛ.u.1 / 4 / 7) ityādi //2//	taTA ca-uktaM"-prANan=-eva prANaH nAma Bavati-"(bR.u.1 / 4 / 7) ityAdi //2//
   START 3.3	START 3.3
   eṣa brahmā |	eza brahmA |
   eṣa indraḥ |	ezaH indraH |
   eṣa prajāpatiḥ |	eza prajApatiH |
   ete sarve devāḥ |	ete sarve devAH |
   imāni ca pañca mahābhūtāni pṛthivī vāyur ākāśa āpo jyotīṃṣīty etānīmāni	imAni ca paQca mahABUtAni pRTivI vAyuH AkASaH ApaH jyotIMzi-iti etAni-imAni
   kṣudramiśrāṇīva bījānītarāṇi cetarāṇi cāṇḍajāni ca jārujāni ca svedajāni	kzudra-miSrANi-iva bIjAni-itarANi ca-itarANi ca-aNxa-jAni ca jAru-jAni ca sveda-jAni
   codbhijjāni cāśvā gāvaḥ puruṣā hastino yat kiñcedam prāṇi jaṅgamaṃ ca	ca-udBijjAni ca-aSvAH gAvaH puruzAH hastinaH yat kiQca-idam prANi jaFgamam ca
   patatri ca yac ca sthāvaram |	patatri ca yat ca sTAvaram |
   sarvaṃ tat prajñānetram |	sarvam tat prajQA-netram |
   prajñāne pratiṣṭhitam |	prajQAne pratizWitam |
   prajñānetro lokaḥ |	prajQA-netraH lokaH |
   prajñā pratiṣṭhā |	prajQA pratizWA |
   prajñānaṃ brahma || AitUp_3.3 ||	prajQAnam brahma || AitUB-_3.3 ||
   AitUpBh_3.3	Aitu-upBh_3.3
   sa eṣa prajñānarūpa ātmā brahmāparaṃ sarvaśarīrasthaḥ prāṇaḥ prajñātmā /	saH eza prajQAna-rUpaH AtmA brahmAparam sarva-SarIra-sTaH prANaH prajQA-AtmA /
   antaḥkaraṇopādhiṣvanupraviṣṭo	antaHkaraNa-upADizu-anupravizwaH-
   jalabhedagatasūryapratibimbavaddhiraṇyagarbhaḥ prāṇaḥ prajñātmā eṣa eva	jala-Beda-gata-sUrya-pratibimba-vat-hiraNyagarBaH prANaH prajQA-AtmA ezaH eva
   indro guṇāddevarājo vā eṣa prajāpatiryaḥ prathamajaḥ śarīrī /	indraH guNAt-devarAjaH vE eza prajApatiH-yaH praTama-jaH SarIrI /
   yato mukhādinirbhedadvāreṇāgnyādayo lokapālā jātāḥ sa prajāpatireṣa eva /	yatas muKa-Adi-nirBeda-dvAreNa-agni-AdayaH lokapAlAH jAtAH sa prajApatiH-ezaH eva /
   ye 'pyete 'gnyādayaḥ sarve devā eṣa eva /	ye api-ete agni-AdayaH sarve devAH ezaH eva /
   imāni ca sarvaśarīropādānabhūtāni pañca pṛthivyādīni	imAni ca sarva-SarIra-upAdAna-BUtAni paQca pRTivI-AdIni
   mahābhūtānyannānnādatvalakṣaṇānyetāni kiñcemāni ca kṣudramiśrāṇi	mahABUtAni-anna-anna-Ada-tva-lakzaNAni-etAni kiQca-imAni ca kzudra-miSrANi
   kṣudrairalpakairmiśrāṇi iva śabdo 'narthakaḥ sarpādīni bījāni	kzudrEH-alpakEH-miSrANi iva SabdaH anarTakaH sarpa-AdIni bIjAni
   kāraṇānītarāṇi cetarāṇi ca dvairāśyena nirdiśyamānāni /	kAraNAni-itarANi ca-itarANi ca dvErASyena nirdiSyamAnAni /
   kāni tāni! ucyante - aṇḍajāni pakṣyādīni, jārujāni jarāyujāni manuṣyādīni,	kAni tAni! ucyante  aNxa-jAni pakzyAdIni, jAru-jAni jarAyu-jAni manuzya-AdIni,
   svedajādīni yūkādīni, udbhijāni ca vṛkṣādīni, aśvā gāvaḥ puruṣā hastino	sveda-ja-AdIni yUka-AdIni, udBijAni ca vRkza-AdIni, aSvAH gAvaH puruzAH hastinaH-
   'nyacca yatkiñcedaṃ prāṇijātam, kiṃ tat? jaṅgamaṃ yaccalati padbhyāṃ	anyat-ca yat-kiQca-idam prANi-jAtam, kim tat? jaFgamam yat-calati padByAm
   gacchati /	gacCati /
   yacca patatri ākāśena patanaśīlam /	yat-ca patatri AkASena patana-SIlam /
   yacca sthāvaramacalam /	yat-ca sTAvaram-acalam /
   sarvaṃ tadeṣa eva /	sarvam tat-ezaH eva /
   sarvaṃ tadaśeṣataḥ prajñānetram /	sarvam tat-aSezatas prajQA-netram /
   prajñaptiḥ prajñā tacca brahmaiva /	prajQaptiH prajQA tat-ca brahma-eva /
   nīyate 'neneti netram prajñā netraṃ yasya tadidaṃ prajñānetram /	nIyate anena-iti netram prajQA netram yasya tat-idam prajQA-netram /
   prajñāne brahmaṇyutpattisthitilayakāleṣu pratiṣṭhitaṃ	prajQAne brahmaNi-utpatti-sTiti-laya-kAlezu pratizWitam
   prajñāśrayamityarthaḥ /	prajQA-ASrayam-iti-arTaH /
   prajñānetro lokaḥ pūrvavat /	prajQA-netraH lokaH pUrvavat /
   prajñācakṣurvā sarva eva lokaḥ prajñā pratiṣṭhā sarvasya jagataḥ /	prajQAcakzuH-vA sarve eva lokaH prajQA pratizWA sarvasya jagataH /
   tasmātprajñānaṃ brahma /	tasmAt-prajQAnam brahma /
   tadetatpratyastamitasarvopādhiviśeṣaṃ sannirañjanaṃ nirmalaṃ niṣkriyaṃ	tat-etad-pratyasta-mita-sarva-upADi-viSezam sanniraQjanam nirmalam nizkriyam
   śāntamekamadvayaṃ"neti neti"iti (bṛ.u.3 / 9 / 26) sarvaviśeṣāpohasaṃvedyaṃ	SAntam-ekam-advayaM"nA-iti na-iti"iti (bR.u.3 / 9 / 26) sarva-viSeza-apoha-saMvedyam
   sarvaśabdapratyayāgocaram /	sarva-Sabda-pratyaya-agocaram /
   tadapyantaviśuddhaprajñopādhisaṃbandhena sarvajñamīśvaraṃ	tat-api-anta-viSudDa-prajQA-upADi-saMbanDena sarvajQam-ISvaram
   sarvasādhāraṇāvyākṛtajagadbījapravartakaṃ niyantṛtvādantaryāmisaṃjñaṃ	sarva-sADAraNa-avyAkRta-jagat-bIja-pravartakam niyantR-tvAt-antaryAmi-saMjQam
   bhavati /	Bavati /
   tadeva vyākṛtajagatbījabhūtabuddhyātmābhimānalakṣaṇahiraṇyagarbhasaṃjñaṃ	tat-eva vyAkRta-jagat-bIja-BUta-budDi-Atma-aBimAna-lakzaNa-hiraNyagarBa-saMjQam
   bhavati /	Bavati /
   tadevāntaraṇḍodbhūtaprathamaśarīropādhimadvirāṭprajāpatisaṃjñaṃ bhavati /	tat-eva-antaraNxa-udBUta-praTama-SarIra-upADimadvirAj-prajA-pati-saMjQam Bavati /
   tadbhūtāgnyādyupādhimaddevatāsaṃjñaṃ bhavati /	tad-BUta-agni-Adi-upADimat-devatA-saMjQam Bavati /
   tathā viśeṣaśarīropādhiṣvapi brahmādistambaparyanteṣu tattannāmarūpalābho	taTA viSeza-SarIra-upADizu-api brahma-Adi-stamba-paryantezu tad-tad-nAma-rUpa-lABaH-
   brahmaṇaḥ /	brahmaNaH /
   tadevaikaṃ sarvopādhibhedabhinnaṃ sarvaiḥ prāṇibhistārkikaiśca	tat-eva-ekam sarva-upADi-Beda-Binnam sarvEH prANiBiH-tArkikEH-ca
   sarvaprakāreṇa jñāyate vikalpyate cānekadhā /	sarva-prakAreNa jQAyate vikalpyate ca-anekaDA /
   "etameke vadantyagniṃ manumanye prajāpatim /	"etam-eke vadanti-agnim manum-anye prajApatim /
   indrameke 'pare prāṇamapare brahma śāśvatam"(manu.12 / 123) ityādyā smṛtiḥ	indram-eke apare prANam-apare brahma SASvatam"(m-anu.12 / 123) ityAdyA smRtiH
   START 3.4	START 3.4
   sa etena prajñenātmanāsmāl lokād utkramyāmuṣmin svarge loke sarvān kāmān	saH etena prajQena-AtmanA-asmAt lokAt utkramya-amuzmin svarge loke sarvAn kAmAn
   āptvāmṛtaḥ samabhavat samabhavat || AitUp_3.4 ||	AptvA-amRtaH samaBavat samaBavat || AitUB-_3.4 ||
   AitUpBh_3.4	Aitu-upBh_3.4
   sa vāmadevo 'nyo vaivaṃ yathoktaṃ brahma veda prajñenātmanā yenaiva	sa vAmadevaH anyaH vA-evam yaToktam brahma veda prajQena-AtmanA yena-eva
   prajñenātmanā pūrve vidvāṃso 'mṛtā abhūvaṃstathāyamapi vidvānetenaiva	prajQena-AtmanA pUrve vidvAMsaH amRtAH aBUvan=-taTA-ayam-api vidvAn-etena-eva
   prajñenātmanāsmāllokādutkramya ityādi vyākhyātam /	prajQena-AtmanA-asmAt-lokAt-utkramyaH ityAdi vyAKyAtam /
   asmāllokādutkramyāmuṣminsvarge loke sarvānkāmānāptvā amṛtaḥ	asmAt-lokAt-utkramya-amuzmin-svarge loke sarvAn-kAmAn-AptvA amRtaH
   samabhavatsamabhavadityomiti //4//	samaBavat-samaBavat-iti-om-iti //4//
   iti tṛtīye 'dhyāye prathamaḥ khaṇḍaḥ samāptaḥ /	iti tRtIye aDyAye praTamaH KaNxaH samAptaH /
   upaniṣad samāptaḥ /	upanizad samAptaH /
   oṃ tatsat	om tat-sat
