   akārādilakārāntā ToT_9.17a	akAra-Adi-lakAra-antAH ToT_9.17a
   sadā kuṇḍalinī devī ToT_9.14a	sadA kuNxalinI devI ToT_9.14a
   sadā ghūrṇitalocanām ToT_9.40b	sadA GUrNita-locanAm ToT_9.40b
   sadā jāgratsvarūpiṇī ToT_8.16d	sadA jAgrat-svarUpiNI ToT_8.16d
   sadā lakṣmīpradāyinī ToT_3.29b	sadA lakzmI-pradAyinI ToT_3.29b
   sadā saṃnidhikāriṇī ToT_6.20d	sadA saMniDi-kAriNI ToT_6.20d
   sadā saṃnidhikāriṇī ToT_6.53b	sadA saMniDi-kAriNI ToT_6.53b
   sadā siddhipradāyinī ToT_3.29d	sadA sidDi-pradAyinI ToT_3.29d
   sadguror upadeśena ToT_7.18c	sat-guroH upadeSena ToT_7.18c
   sa pāpiṣṭho na cānyathā ToT_5.10b	sa pApizWaH na ca-anyaTA ToT_5.10b
   saptadvīpā vasuṃdharā ToT_7.2d	sapta-dvIpA vasuMDarA ToT_7.2d
   saptadvīpā vasuṃdharā ToT_7.5b	sapta-dvIpA vasuMDarA ToT_7.5b
   saptadvīpā vasuṃdharā ToT_8.11d	sapta-dvIpA vasuMDarA ToT_8.11d
   saptadvīpāṃ vasuṃdharām ToT_6.36d	sapta-dvIpAm vasuMDarAm ToT_6.36d
   saptadhā tattvamudrayā ToT_3.46b	saptaDA tattva-mudrayA ToT_3.46b
   saptasvargamidaṃ bhadre ToT_2.7c	sapta-svargam-idam Badre ToT_2.7c
   saptasvargasthito yo yo ToT_7.24a	sapta-svarga-sTitaH yaH yaH ToT_7.24a
   saptasvargaṃ pareśāni ToT_2.6a	sapta-svargam pareSAni ToT_2.6a
   sa bhavet kāmarūpakaḥ ToT_2.25d	sa Bavet kAmarUpakaH ToT_2.25d
   samatā yadi vā bhavet ToT_7.19d	sama-tA yadi vA Bavet ToT_7.19d
   samarpaṇamathācaret ToT_3.77d	samarpaNam-aTa-Acaret ToT_3.77d
   samānaṃ vīravandite ToT_6.24d	samAnam vIra-vandite ToT_6.24d
   samāno madhyadeśataḥ ToT_6.3d	samAnaH maDyadeSataH ToT_6.3d
   samīraścādhikaḥ smṛtaḥ ToT_7.16d	samIraH-ca-aDikaH smRtaH ToT_7.16d
   samīraṃ pūrayed yadi ToT_2.13b	samIram pUrayet yadi ToT_2.13b
   samīraṃ bahuyatnataḥ ToT_2.19d	samIram bahu-yatnataH ToT_2.19d
   samīraṃ bahuyatnataḥ ToT_3.4d	samIram bahu-yatnataH ToT_3.4d
   samīro vṛddhitāṃ gataḥ ToT_7.18b	samIraH vRdDi-tAm gataH ToT_7.18b
   samudramathane devi ToT_1.5a	samudra-maTane devi ToT_1.5a
   samudrasaptakaṃ nātha ToT_7.3a	samudra-saptakam nATa ToT_7.3a
   samudrāḥ saptakāḥ sthitāḥ ToT_8.9d	samudrAH saptakAH sTitAH ToT_8.9d
   samudrāḥ sapta saṃsthitāḥ ToT_7.5d	samudrAH sapta saMsTitAH ToT_7.5d
   sambodhanapadaṃ tataḥ ToT_3.12d	samboDana-padam tatas ToT_3.12d
   sambodhanapadaṃ tataḥ ToT_3.20b	samboDana-padam tatas ToT_3.20b
   sambodhanapadenaiva ToT_6.20c	samboDana-padena-eva ToT_6.20c
   sambodhanapadenaiva ToT_6.53a	samboDana-padena-eva ToT_6.53a
   sarvakarmāṇi sādhayet ToT_10.3d	sarva-karmANi sADayet ToT_10.3d
   sarvajñastvaṃ sureśvara ToT_8.20b	sarvajQaH-tvam sureSvara ToT_8.20b
   sarvatattvavidāṃ vara ToT_3.8b	sarva-tattva-vidAm vara ToT_3.8b
   sarvatantraprapūjitaḥ ToT_1.11b	sarva-tantra-prapUjitaH ToT_1.11b
   sarvatantreśvaro bhavet ToT_5.32b	sarva-tantreSvaraH Bavet ToT_5.32b
   sarvatantreṣu gopitam ToT_3.21b	sarva-tantrezu gopitam ToT_3.21b
   sarvatra ṅeyutaṃ kṛtvā ToT_5.25c	sarvatra Feyutam kRtvA ToT_5.25c
   sarvapāpaharaṃ rephaṃ ToT_6.10c	sarva-pApa-haram rePam ToT_6.10c
   sarvamantrasya caitanyaṃ ToT_6.25c	sarva-mantrasya cEtanyam ToT_6.25c
   sarvavighnaharaṃ devi ToT_6.10a	sarva-viGna-haram devi ToT_6.10a
   sarvavidyāmaya prabho ToT_1.1b	sarva-vidyA-maya praBo ToT_1.1b
   sarvasiddhīśvaro bhavet ToT_1.13b	sarva-sidDi-ISvaraH Bavet ToT_1.13b
   sarvaṃ dadyād vicakṣaṇaḥ ToT_5.22d	sarvam dadyAt vicakzaNaH ToT_5.22d
   sarvāṅgadyotanaṃ tejo ToT_6.9a	sarva-aFga-dyotanam tejaH ToT_6.9a
   sarvāṅgaṃ tanusaṃśayaḥ ToT_6.7d	sarva-aFgam tanu-saMSayaH ToT_6.7d
   sarvāṅgulīr nakhaṃ caiva ToT_6.32c	sarva-aFgulIH naKam ca-eva ToT_6.32c
   sarvā nāḍyastathā jyotī ToT_6.33c	sarvAH nAxyaH-taTA jyotI ToT_6.33c
   sarvābharaṇabhūṣitām ToT_9.39d	sarva-ABaraNa-BUzitAm ToT_9.39d
   sarvāḥ pātālagāminya ToT_2.15a	sarvAH pAtAla-gAminyaH ToT_2.15a
   sarvāḥ samudragāminya ToT_2.11c	sarvAH samudra-gAminyaH ToT_2.11c
   sarve devāḥ sadārāśca ToT_1.5c	sarve devAH sa-dArAH-ca ToT_1.5c
   salilaṃ vā kathaṃ nahi ToT_1.24d	salilam vA kaTam na-hi ToT_1.24d
   saśaktiśca samākhyātaḥ ToT_1.11a	sa-SaktiH-ca samAKyAtaH ToT_1.11a
   sa śaiva iti vikhyātaḥ ToT_5.32a	sa SEvaH iti viKyAtaH ToT_5.32a
   sa siddho nātra saṃśayaḥ ToT_1.16d	sa sidDaH na-atra saMSayaH ToT_1.16d
   sahasraṃ prajapenmantraṃ ToT_9.23c	sahasram prajapet-mantram ToT_9.23c
   sahasrābdaṃ prajāyate ToT_7.11b	sahasra-abdam prajAyate ToT_7.11b
   sahasrābdaṃ sa jīvati ToT_7.19b	sahasra-abdam sa jIvati ToT_7.19b
   sahasrāradarśanāya ToT_8.16c	sahasrAra-darSanAya ToT_8.16c
   sahasrāraṃ tu samprāpya ToT_9.16a	sahasrAram tu samprApya ToT_9.16a
   sahasrāre guruṃ yajet ToT_3.33b	sahasrAre gurum yajet ToT_3.33b
   sahasrāre mahāpadme ToT_2.14a	sahasrAre mahApadme ToT_2.14a
   sahasrāre mahāpadme ToT_6.26a	sahasrAre mahApadme ToT_6.26a
   sahasrāre mahāpadme ToT_6.28a	sahasrAre mahApadme ToT_6.28a
   sahasrāre mahāpadme ToT_7.30a	sahasrAre mahApadme ToT_7.30a
   sahasrāre mahāpadme ToT_9.15a	sahasrAre mahApadme ToT_9.15a
   sahasrāre samutthitā ToT_8.17b	sahasrAre samutTitA ToT_8.17b
   sahasrāre sthirībhūya ToT_9.33c	sahasrAre sTirIBUya ToT_9.33c
   saṃkṣepapūjanaṃ devi ToT_4.44c	saMkzepa-pUjanam devi ToT_4.44c
   saṃkṣepapūjāmathavā ToT_3.72a	saMkzepa-pUjAm-aTavA ToT_3.72a
   saṃkṣepaṃ kathitaṃ nātha ToT_6.1c	saMkzepam kaTitam nATa ToT_6.1c
   saṃtarpyāmṛtadhārayā ToT_2.17b	saMtarpya-amRta-DArayA ToT_2.17b
   saṃtarpyāmṛtadhārayā ToT_2.21d	saMtarpya-amRta-DArayA ToT_2.21d
   saṃtarpyāmṛtadhārayā ToT_3.7b	saMtarpya-amRta-DArayA ToT_3.7b
   saṃdhau liṅgaṃ vinikṣipet ToT_10.4d	saMDO liFgam vinikzipet ToT_10.4d
   saṃnidhehi dvayam iha ToT_5.19d	saMniDehi dvayam iha ToT_5.19d
   saṃveṣṭya kuṇḍalī sadā ToT_9.16d	saMvezwya kuNxalI sadA ToT_9.16d
   saṃsārārṇavatāraka ToT_3.1b	saMsAra-arNava-tAraka ToT_3.1b
   saṃsthitaṃ ca mahātalam ToT_7.36b	saMsTitam ca mahAtalam ToT_7.36b
   saṃsthitā kuṇḍalī katham ToT_8.19d	saMsTitA kuNxalI kaTam ToT_8.19d
   saṃsthitā kuṇḍalī yadā ToT_9.18d	saMsTitA kuNxalI yadA ToT_9.18d
   saṃsthitā mānavādayaḥ ToT_7.3d	saMsTitAH mAnava-AdayaH ToT_7.3d
   saṃsthitā mānavādayaḥ ToT_7.25b	saMsTitAH mAnava-AdayaH ToT_7.25b
   saṃsthitāḥ parameśvara ToT_8.7f	saMsTitAH parameSvara ToT_8.7f
   saṃhārarūpiṇī kālī ToT_1.22c	saMhAra-rUpiNI kAlI ToT_1.22c
   saṃhāreṇa mahādeva ToT_5.30a	saMhAreNa mahAdeva ToT_5.30a
   saṃhāreṇa visarjayet ToT_3.70b	saMhAreNa visarjayet ToT_3.70b
   saṃhāreṇa visarjayet ToT_3.79b	saMhAreNa visarjayet ToT_3.79b
   saṃhāreṇa visarjayet ToT_4.41b	saMhAreNa visarjayet ToT_4.41b
   sā kathaṃ śavavāhanā ToT_1.20f	sA kaTam Sava-vAhanAH ToT_1.20f
   sākinī ca sadāśivaḥ ToT_7.29b	sAkinI ca sadASivaH ToT_7.29b
   sāgaro dugdhatadbahiḥ ToT_7.7b	sAgaraH dugDa-tad-bahis ToT_7.7b
   sā devī kuṇḍarūpikā ToT_9.13f	sA devI kuNxa-rUpikA ToT_9.13f
   sā devī śavavāhanā ToT_1.23d	sA devI Sava-vAhanAH ToT_1.23d
   sāmānyārghyaṃ ca vinyaset ToT_4.5d	sAmAnya-arGyam ca vinyaset ToT_4.5d
   sāmānyārghyaṃ tato devi ToT_9.42c	sAmAnya-arGyam tatas devi ToT_9.42c
   sāmānyārghyaṃ tato nyaset ToT_3.57d	sAmAnya-arGyam tatas nyaset ToT_3.57d
   sā māyā paramā kalā ToT_6.46d	sA mAyA paramA kalA ToT_6.46d
   sārdhakoṭitrayātmakam ToT_2.3b	sArDa-kowi-traya-Atmakam ToT_2.3b
   sārdhakoṭibhuvātmakam ToT_6.36b	sArDa-kowi-Buva-Atmakam ToT_6.36b
   sārdhatrikoṭināḍīnām ToT_8.1a	sArDa-tri-kowi-nAxInAm ToT_8.1a
   sārdhatrivalayākāra- ToT_8.15a	sArDa-tri-valaya-AkAra ToT_8.15a
   sārdhatrivalayākārā ToT_2.5c	sArDa-tri-valaya-AkArAH ToT_2.5c
   sārdhapañcākṣarī vidyā ToT_6.51a	sArDa-paQcAkzarI vidyA ToT_6.51a
   siddhavidyā tv iyaṃ bhadre ToT_3.10c	sidDa-vidyA tu iyam Badre ToT_3.10c
   siddhidaṃ nātra saṃśayaḥ ToT_6.29b	sidDi-dam na-atra saMSayaH ToT_6.29b
   siddhidā nāsti sundari ToT_3.16b	sidDi-dA na-asti sundari ToT_3.16b
   siddhirbhavatu me deva ToT_5.28c	sidDiH-Bavatu me deva ToT_5.28c
   sindhukāverisaṃyutam ToT_3.36d	sinDukAveri-saMyutam ToT_3.36d
   sutalaṃ ca talātalam ToT_2.8b	sutalam ca talAtalam ToT_2.8b
   sutalaṃ ca varṣaśataṃ ToT_7.35c	sutalam ca varza-Satam ToT_7.35c
   sudhādevīṃ samānīya ToT_4.25a	suDA-devIm samAnIya ToT_4.25a
   suvarṇavālukāmayam ToT_4.16d	suvarNa-vAlukA-mayam ToT_4.16d
   suvarṇasūtraracitaṃ ToT_4.20c	suvarNa-sUtra-racitam ToT_4.20c
   suṣumṇā madhyavartinī ToT_2.12d	suzumNA maDya-vartinI ToT_2.12d
   suṣumnā citriṇī tathā ToT_8.5b	suzumnA citriNI taTA ToT_8.5b
   suṣumnā parikīrtitā ToT_9.13d	suzumnA parikIrtitAH ToT_9.13d
   suṣumnāyāḥ prajāyate ToT_8.7b	suzumnAyAH prajAyate ToT_8.7b
   susaṃpratiṣṭhito bhava ToT_5.15d	su-saMpratizWitaH Bava ToT_5.15d
   sūtraṃ paramagopanam ToT_5.32d	sUtram parama-gopanam ToT_5.32d
   sūtrākāreṇa deveśi ToT_3.56c	sUtra-AkAreNa deveSi ToT_3.56c
   sūryasaṃkhyāsahasraṃ tu ToT_7.16c	sUrya-saMKyA-sahasram tu ToT_7.16c
   sūryaṃ ca mūrtinā saha ToT_5.25b	sUryam ca mUrtinA saha ToT_5.25b
   sūryāyābhimukhaṃ toyaṃ ToT_3.39a	sUryAya-aBimuKam toyam ToT_3.39a
   sūryāyārghyaṃ nivedayet ToT_3.50b	sUryAya-arGyam nivedayet ToT_3.50b
   sṛṣṭisthitilayādīnāṃ ToT_6.40c	sRzwi-sTiti-laya-AdInAm ToT_6.40c
   sogratārā prakīrtitā ToT_3.27b	sa-ugra-tArA prakIrtitAH ToT_3.27b
   so 'haṃmantreṇa deveśi ToT_3.6c	saH ahaMmantreNa deveSi ToT_3.6c
   sauramāsaṃ samuccaret ToT_3.34d	sOra-mAsam samuccaret ToT_3.34d
   skandanād avyavasthitam ToT_6.6b	skandanAt avyavasTitam ToT_6.6b
   stanadvaṃdvaṃ kaṭidvayam ToT_6.6d	stana-dvaMdvam kawi-dvayam ToT_6.6d
   stanadvaṃdvaṃ ca vakṣasam ToT_6.31b	stana-dvaMdvam ca vakzasam ToT_6.31b
   stutiṃ ca kavacaṃ smṛtvā ToT_3.69c	stutim ca kavacam smRtvA ToT_3.69c
   stutiṃ ca kavacaṃ smṛtvā ToT_3.78c	stutim ca kavacam smRtvA ToT_3.78c
   stutiṃ ca kavacaṃ smṛtvā ToT_4.40a	stutim ca kavacam smRtvA ToT_4.40a
   sthitā nityā sureśvari ToT_7.30d	sTitA nityA sureSvari ToT_7.30d
   sthitā saṃhārarūpiṇī ToT_1.21d	sTitA saMhAra-rUpiNI ToT_1.21d
   sthiramāyuryadā bhavet ToT_9.12d	sTiram-AyuH-yadA Bavet ToT_9.12d
   snānakarma samārabhet ToT_3.34b	snAna-karma samAraBet ToT_3.34b
   snānīyaṃ ca paśupatiṃ ToT_5.21a	snAnIyam ca paSupatim ToT_5.21a
   snāpayecchuddhavāriṇā ToT_3.35b	snApayet-SudDa-vAriNA ToT_3.35b
   syānmātaṃgī rāmamūrtikā ToT_10.10b	syAt-mAtaMgI rAma-mUrtikA ToT_10.10b
   svakīyāṅgulimānena ToT_7.4c	svakIya-aFguli-mAnena ToT_7.4c
   svayambhūliṅgam adbhutam ToT_8.14d	svayamBU-liFgam adButam ToT_8.14d
   svayaṃ kālasvarūpiṇī ToT_1.21b	svayam kAla-svarUpiNI ToT_1.21b
   svayaṃ bhagavatī kālī ToT_10.11c	svayam BagavatI kAlI ToT_10.11c
   svargaṣaṭkaṃ bhedayitvā ToT_2.11a	svarga-zawkam BedayitvA ToT_2.11a
   svarge martye ca pātāle ToT_1.10a	svarge martye ca pAtAle ToT_1.10a
   svarlokaṃ mahasaṃ tathā ToT_2.6d	svar-lokam mahasam taTA ToT_2.6d
   svaliṅgāgraṃ niveśayet ToT_3.3b	sva-liFga-agram niveSayet ToT_3.3b
   svalpayoniṃ śṛṇu priye ToT_10.4b	su-alpa-yonim SRNu priye ToT_10.4b
   svavāme vinyasettataḥ ToT_9.42d	sva-vAme vinyaset-tatas ToT_9.42d
   svaśabdaṃ ca tato vadet ToT_5.20b	sva-Sabdam ca tatas vadet ToT_5.20b
   svastivācanasaṃkalpaṃ ToT_3.57a	svastivAcana-saMkalpam ToT_3.57a
   svādhiṣṭhāne japādeva ToT_9.29c	svADizWAne japAt-eva ToT_9.29c
   svādhiṣṭhāne vyavasthitaḥ ToT_7.27d	svADizWAne vyavasTitaH ToT_7.27d
   haro maheśvaraścaiva ToT_5.33a	haraH maheSvaraH-ca-eva ToT_5.33a
   haviṣyāśī jitendriyaḥ ToT_6.22b	havizya-ASI jita-indriyaH ToT_6.22b
   hastaṃ prakṣālya cācamya ToT_3.49c	hastam prakzAlya ca-Acamya ToT_3.49c
   hastāsye ca tadā pāde ToT_8.2c	hasta-Asye ca tadA pAde ToT_8.2c
   hastyaśvaṃ ca tathaiva ca ToT_6.38b	hasti-aSvam ca taTA-eva ca ToT_6.38b
   haṃsena manunā sudhīḥ ToT_6.26d	haMsena manunA suDIH ToT_6.26d
   haṃsena vāyuyogena ToT_9.15c	haMsena vAyu-yogena ToT_9.15c
   hākinī paraśivo devaś ToT_7.29c	hAkinI paraSivaH devaH ToT_7.29c
   hāso vṛddhiśca jāyate ToT_7.17b	hAsaH vRdDiH-ca jAyate ToT_7.17b
   huṃkāraṃ nīlasaṃnibham ToT_4.12d	huMkAram nIla-saMniBam ToT_4.12d
   hṛdayaṃ jaṭharaṃ pādaṃ ToT_6.7a	hRdayam jaWaram pAdam ToT_6.7a
   hṛdādikaṇṭhaparyantam ToT_7.15a	hRd-Adi-kaNWa-paryantam ToT_7.15a
   hṛdādinyāsa eva ca ToT_3.73b	hRd-Adi-nyAsaH eva ca ToT_3.73b
   hṛdādisarvagātreṣu ToT_8.3c	hRd-Adi-sarva-gAtrezu ToT_8.3c
   hṛdi caikādaśaṃ japet ToT_4.11d	hRdi ca-ekAdaSam japet ToT_4.11d
   hṛdi jālaṃdharaṃ priye ToT_7.32b	hRdi jAlaMDaram priye ToT_7.32b
   hemaprākārabhūṣitam ToT_4.18d	hema-prAkAra-BUzitam ToT_4.18d
