   ṣaṭ sandarbha nāmaka 	zaw sandarBa nAmaka 
   mahasi mahīyase'ṣṭa guṇite'parimeya bhagaḥ ||[BhP 10.87.38]	mahasi mahIyase azwa  guNite aparimeya  BagaH ||[Bhj 10.87.38]
   ṭīkā ca   sa tu jīvo yad yasmāt ajayā māyayā ajām avidyām anuśayīta	wIkA ca  sa tu jIvaH yat yasmAt ajayA mAyayA ajAm avidyAm anuSayIta
   āliṅget | tataś ca guṇāṃś ca dehendriyādīn juṣan sevamānaḥ ātmatayā	AliFget | tatas ca guNAn ca deha indriya AdIn juzan sevamAnaH Atma tayA
   adhyasyan | tad anu tad anantaraṃ sarūpatāṃ tad dharma yogaṃ ca juṣan	aDyasyan | tat anu tad  anantaram sarUpa tAm tad  Darma  yogam ca juzan
   apeta 	apeta 
   bhagaḥ pihitānandādi guṇaḥ san mṛtyuṃ saṃsāraṃ bhajati prāpnoti | tvam uta	BagaH pihita Ananda Adi guNaH san mRtyum saMsAram Bajati prApnoti | tvam uta
   tvaṃ tu jahāsi tāṃ māyām |	tvam tu jahAsi tAm mAyAm |
   nanu sā mayy evāsti kathaṃ tyāgas tatrāha ahir iva tvacam iti | ayaṃ	nanu sA mayi eva asti kaTam tyAgaH tatra Aha ahiH iva tvacam iti | ayam
   bhāvaḥ  	BAvaH  
    yathā bhujaṅgaḥ svagatam api kañcukaṃ guṇa buddhyā nābhimanyate tathā	 yaTA BujaFgaH sva gatam api kaQcukam guNa budDyA na aBimanyate taTA
   tvam ajāṃ māyāṃ | na hi nirantarāhlāda saṃvit kāmadhenu vṛnda pater ajayā	tvam ajAm mAyAm | na hi nirantara AhlAda  saMvit kAm aDenu  vRnda  pateH ajayA
   kṛtyam iti tām upekṣase |	kRtyam iti tAm upekzase |
   kuta etat tad āha | ātma bhaga nitya prāptaiśvaryaḥ | mahasi paramaiśvarye	kutas etat tat Aha | Atma  Baga  nitya  prApta ESvaryaH | mahasi parama ESvarye
   aṣṭa guṇite aṇimādy aṣṭa vibhūtimati | mahīyase pūjyase virājase |	azwa  guNite aNima Adi  azwa  viBUtimati | mahIyase pUjyase virAjase |
   kathambhūtaḥ ? aparimeya bhagaḥ aparimeyaiśvaryaḥ | na tv anyeṣām iva	kaTamBUtaH ? aparimeya  BagaH aparimeya ESvaryaH | na tu anyezAm iva
   deśa kāla paricchinnaṃ tavāṣṭa guṇitam aiśvaryam | api tu paripūrṇa 	deSa  kAla  paricCinnam tava azwa  guNitam ESvaryam | api tu paripUrNa 
   svarūpānubandhitvād aparimitam ity arthaḥ | ity eṣā |	svarUpa anubanDi tvAt aparimitam iti arTaH | iti ezA |
   tathā ca tatraiva pūrvam uktaṃ   tvam asi yad ātmanā samavaruddha samasta 	taTA ca tatra eva pUrvam uktam  tvam asi yat AtmanA samavarudDa  samasta  
   bhaga iti [BhP 10.87.14] | yad vā ahir iva tvacam ity atra tvak śabdena	BagaH iti [Bhj 10.87.14] | yat vE ahiH iva tvacam iti atra tvak  Sabdena
   parityaktā jīrṇa tvag evocyate | sa yathā tāṃ jahātīti tat samīpam api na	parityaktA jIrNa  tvac eva ucyate | sa yaTA tAm jahAti iti tat samIpam api na
   vrajati, tathā tvam api māyā samīpaṃ na yāsīty arthaḥ |	vrajati, taTA tvam api mAyA  samIpam na yAsi iti arTaH |
   anyatra ca  	anyatra ca  
   viśuddha vijñāna ghanaṃ sva saṃsthayā	viSudDa vijQAna  Ganam sva  saMsTayA
   samāpta sarvārtham amogha vāñchitam || iti [BhP 10.37.22] |	samApta  sarva arTam amoGa  vAQCitam || iti [Bhj 10.37.22] |
   tathoddhavaṃ prati śrī bhagavad vākyaṃ  	taTA udDavam prati SrI  Bagavat  vAkyam  
   siddhayo'ṣṭādaśa proktā dhāraṇā yoga pāragaiḥ |	sidDayaH azwAdaSa proktA DAraNA yoga  pAragEH |
   tāsām aṣṭau mat pradhānā daśaiva guṇa hetavaḥ || [BhP 11.15.3] iti |	tAsAm azwO mat  praDAnAH daSa eva guNa  hetavaH || [Bhj 11.15.3] iti |
   agre ca   etā me siddhayaḥ saumya aṣṭāv autpattikā matāḥ | iti [BhP	agre ca  etAH me sidDayaH sOmya azwO OtpattikAH matAH | iti [BhP
   ataeva daitya bālakān prati śrī prahlāda vākyam   	ataeva dEtya bAlakAn prati SrI  prahlAda  vAkyam   
   kevalānubhavānanda svarūpaḥ parameśvaraḥ |	kevala anuBava Ananda  svarUpaH parameSvaraH |
   māyayāntarhitaiśvarya īyate guṇa sargayā ||[BhP 7.6.20]	mAyayA antarhita ESvaryaH Iyate guNa  sargayA ||[Bhj 7.6.20]
   ṭīkā ca   nanu sa eva cet sarvatra tarhi sarvatra sarvajñatādy upalabhyate	wIkA ca  nanu saH eva ced sarvatra tarhi sarvatra sarvajQa tA Adi upalaByate
   tatrāha   guṇātmakaḥ sargo yasyās tayā māyayā antarhitam aiśvaryaṃ yena	tatra Aha  guNa AtmakaH sargaH yasyAH tayA mAyayA antarhitam ESvaryam yena
   ity eṣā |	iti ezA |
   atra bhagavad aiśvaryasya māyayāntarhitatvena guṇa sargayeti māyāyā	atra Bagavat ESvaryasya mAyayA antarhita tvena guNa sargayA iti mAyAyAH 
   viśeṣaṇa vinyāsena ca tad atītatvaṃ bodhayati svarūpavat | ataḥ	viSezaNa  vinyAsena ca tat  atIta tvam boDayati svarUpa vat | atas 
   parameśvara	parameSvara
   iti viśeṣaṇam api tat sahayogena pūrvam eva dattam iti jñeyam | śrutayaś  	iti viSezaNam api tat saha yogena pUrvam eva dattam iti jQeyam | SrutayaH  
   ajām ekāṃ lohita śukla kṛṣṇāṃ	ajAm ekAm lohita  Sukla kRzNAm
   vahvīḥ prajāḥ sṛjamānāṃ sarūpāḥ |	vahvIH prajAH sRjamAnAm sarUpAH |
   ajo hy eko juṣamāṇo'nuśete	ajaH hi ekaH juzamANaH anuSete
   jahāty enāṃ bhukta bhogām ajo'nyaḥ || [ŚvetU 4.5]	jahAti enAm Bukta  BogAm ajaH anyaH || [ŚvetU 4.5]
   yad ātmako bhagavāṃs tad ātmikā vyaktiḥ | kim ātmako bhagavān ?	yat  AtmakaH BagavAn tad  AtmikA vyaktiH | kim AtmakaH BagavAn ?
   jñānātmaka aiśvaryātmakaḥ śakty ātmakaś ca | daivātma śaktiṃ sva guṇair	jQAna AtmakaH ESvarya AtmakaH Sakti  AtmakaH ca | dEva Atma  Saktim sva  guNEH 
   nigūḍhām ity ādyāḥ [ŚvetU 1.3] | atra sva guṇair iti yātītagocarā vācām	nigUXAm iti AdyAH [ŚvetU 1.3] | atra sva  guNEH iti yA atIta gocarAH vAcAm
   ity	iti 
   uktaiḥ svīya svabhāvair ity arthaḥ || śrutayaḥ śrī bhagavantam ||22||	uktEH svIya  svaBAvEH iti arTaH || SrutayaH SrI  Bagavantam ||22||
   māṃ bhajanti guṇāḥ sarve	mAm Bajanti guNAH sarve
   nirguṇaṃ nirapekṣakam |	nirguNam nirapekzakam |
   suhṛdaṃ priyam ātmānaṃ	suhRdam priyam AtmAnam
   sāmyāsaṅgādayo'guṇāḥ || [BhP 11.13.40]	sAmya asaFga AdayaH aguNAH || [Bhj 11.13.40]
   ṭīkā ca   kathambhūtāḥ ? aguṇāḥ, guṇa pariṇāma rūpā na bhavanti kintu	wIkA ca  kaTamBUtAH ? aguNAH, guNa  pariNAma  rUpAH na Bavanti kintu
   nityā ity arthaḥ | ity eṣā |	nityAH iti arTaH | iti ezA |
   tathā ca nārada pañcarātre jitaṃ te stotre  	taTA ca nArada  paQcarAtre jitam te stotre  
   namaḥ sarva guṇātīta ṣaḍ guṇāyādi vedhase | iti |	namaH sarva  guNa atIta  zaz  guNAya Adi veDase | iti |
   yad uktaṃ brahma tarke  	yat uktam brahma tarke  
   guṇaiḥ sva rūpa bhūtais tu guṇy asau harir īśvaraḥ |	guNEH sva  rUpa BUtEH tu guNI asO hariH ISvaraH |
   na viṣṇor na ca muktānāṃ kvāpi bhinno guṇo mataḥ ||	na vizNoH na ca muktAnAm kvApi BinnaH guNaH mataH ||
   kālikā purāṇe devī kṛta viṣṇu stave  	kAlikA purANe devI kRta  vizNu  stave  
   yasya brahmādayo devā munayaś ca tapa dhanāḥ |	yasya brahma AdayaH devAH munayaH ca tapa DanAH |
   na vivṛṇvanti rūpāṇi varṇanīyaḥ kathaṃ sa me ||	na vivRNvanti rUpANi varNanIyaH kaTam sa me ||
   striyā mayā te kiṃ jñeyā nirguṇasya guṇāḥ prabho |	striyAH mayA te kim jQeyAH nirguNasya guNAH praBo |
   naiva jānanti yad rūpaṃ sendrā api surāsurāḥ || iti ||	na eva jAnanti yat rUpam sa indrAH api sura asurAH || iti ||
   śrī haṃsa devaḥ sanakādīn ||23||	SrI  haMsa devaH sanaka AdIn ||23||
   anyatra śrī haṃsa vākya sthitādi grahaṇa kroḍī kṛtān tān bahūn eva satyaṃ	anyatra SrI  haMsa  vAkya  sTita Adi  grahaNa kroxI  kRtAn tAn bahUn eva satyam
   śaucam ity ādibhir gaṇayitvāha  	SOcam iti AdiBiH gaNayitvA Aha  
   ete cānye ca bhagavan	ete ca anye ca Bagavan
   nityā yatra mahā guṇāḥ |	nityAH yatra mahA  guNAH |
   prārthyā mahattvam icchadbhir	prArTyAH mahat tvam icCadBiH 
   na viyanti sma karhicit || [BhP 1.16.26]	na viyanti sma karhicit || [Bhj 1.16.26]
   ṭīkā ca   ete ekonacatvāriṃśat | anye ca brahmaṇyatva śaraṇyatvādayo	wIkA ca  ete ekonacatvAriMSat | anye ca brahmaNya tva  SaraNya tvAt ayaH 
   mahānto guṇā yasmin nityāḥ sahajā na viyanti na kṣīyante sma | ity eṣā |	mahAntaH guNAH yasmin nityAH sahajAH na viyanti na kzIyante sma | iti ezA |
   atra śrī viṣṇu purāṇam  	atra SrI  vizNu  purANam  
   kalā muhūrtādi mayaś ca kālo	kalA  muhUrta Adi mayaH ca kAlaH 
   na yad vibhūteḥ pariṇāma hetuḥ || iti [ViP 4.1.84] |	na yat  viBUteH pariNAma  hetuH || iti [ViS 4.1.84] |
   śrī pṛthivī śrī dharmam ||24|	SrI  pRTivI SrI Darmam ||24|
   ata eva āha  	atas eva Aha  
   namas tubhyaṃ bhagavate	namaH tuByam Bagavate
   brahmaṇe paramātmane |	brahmaNe paramAtmane |
   na yatra śrūyate māyā	na yatra SrUyate mAyA
   loka sṛṣṭi vikalpanā || [BhP 10.28.6]	loka sRzwi vikalpanA || [Bhj 10.28.6]
   yatra bhagavad āditvena tridhaiva sphurati svarūpe māyā na śrūyate | tasya	yatra Bagavat  Adi tvena triDA eva sPurati svarUpe mAyA na SrUyate | tasya
   tathā tathā sphūrtir māyayā na bhavatīty arthaḥ | tatra hetuḥ  	taTA taTA sPUrtiH mAyayA na Bavati iti arTaH | tatra hetuH  
   loka sṛṣṭāv	loka  sRzwA a= 
   eva vikalpituṃ sṛṣṭi sthiti saṃhārair vividham īśituṃ śīlaṃ yasyāḥ sā |	eva vikalpitum sRzwi  sTiti  saMhArEH viviDam ISitum SIlam yasyAH sA |
   ataeva	ataeva
   bhūgola praśne hetutvena rājñāpy uktam   	BU gola  praSne hetu tvena rAjQA api uktam   
   bhagavato guṇamaye sthūla rūpa āveśitaṃ mano hy aguṇe'pi sūkṣmatama	BagavataH guNa maye sTUla rUpaH AveSitam manaH hi aguNe api sUkzmatama
   ātma jyotiṣi pare brahmaṇi bhagavati vāsudevākhye kṣamam āveśitum iti	Atma jyotizi pare brahmaNi Bagavati vAsudeva AKye kzamam AveSitum iti
   [BhP 5.16.3] |	[Bhj 5.16.3] |
   varuṇaḥ śrī bhagavantam ||25||	varuNaH SrI  Bagavantam ||25||
   tathā  	taTA  
   tasmai namo bhagavate vāsudevāya dhīmahi |	tasmE namaH Bagavate vAsudevAya DImahi |
   yan māyayā durjayayā māṃ vadanti jagad gurum ||	yan mAyayA durjayayA mAm vadanti jagat  gurum ||
   vilajjamānayā yasya sthātum īkṣā pathe'muyā |	vilajjamAnayA yasya sTAtum IkzA  paTe amuyA |
   vimohitā vikatthante mamāham iti durdhiyaḥ || [BhP 2.5.12 13]	vimohitAH vikatTante mama aham iti durDiyaH || [Bhj 2.5.12 13]
   tama ādimayatvena svasya sadoṣatvāt, saccidānanda ghanatvena yasya	tam a Adi maya tvena svasya sa doza tvAt, saccidAnanda Gana tvena yasya
   nirdoṣasya netra gocare vilajjamānayā amuṣā māyayā vimohitā asmad ādayo	nirdozasya netra gocare vilajjamAnayA amuzA mAyayA vimohitAH asmad  AdayaH 
   durdhiyaḥ || śrī brahmā śrī nāradam ||26||	durDiyaH || SrI  brahmA SrI nAradam ||26||
   tad evam aiśvaryādi ṣaṭkasya svarūpa bhūtatvam uktvā, śrī vigrahasya	tat evam ESvarya Adi  zawkasya svarUpa BUta tvam uktvA, SrI  vigrahasya
   pūrṇa svarūpa bhūtatvaṃ vaktuṃ prakaraṇam ārabhyate | tatra tasya	pUrNa  svarUpa BUta tvam vaktum prakaraNam AraByate | tatra tasya
   tādṛśatva 	tAdRSa tva 
   sacivaṃ nityatvaṃ tāvat pūrva darśita tādṛśa vaikuṇṭhādhiṣṭhātṛtvena	sacivam nitya tvam tAvat pUrva darSi ta tA dRSa  vEkuNWa aDizWAtR tvena
   siddham eva | prapañcāvatīrṇatve'py āha tribhiḥ  	sidDam eva | prapaQca avatIrNa tve api Aha triBiH  
   naṣṭe loke dvi parārdhāvasāne	nazwe loke dvi  parArDa avasAne
   mahā bhūteṣv ādi bhūtaṃ gateṣu |	mahA BUtezu Adi BUtam gatezu |
   vyakte'vyaktaṃ kāla vegena yāte	vyakte avyaktam kAla vegena yAte
   bhavān ekaḥ śiṣyate'śeṣa saṃjñaḥ || [BhP 10.3.25]	BavAn ekaH Sizyate aSeza  saMjQaH || [Bhj 10.3.25]
   ataḥ śeṣa saṃjñaḥ | tatra yuktiḥ  	atas Seza  saMjQaH | tatra yuktiH  
   yo'yaṃ kālas tasya te'vyakta bandho	yaH ayam kAlaH tasya te avyakta  banDo
   ceṣṭām āhuś ceṣṭate yena viśvam |	cezwAm AhuH cezwate yena viSvam |
   nimeṣādir vatsarānto mahīyāṃs	nimeza AdiH vatsara antaH mahIyAM= 
   taṃ tveśānaṃ kṣema dhāma prapadye || [BhP 10.3.26]	tam tvA ISAnam kzema  DAma prapadye || [Bhj 10.3.26]
   he avyakta bandho sānnidhya mātreṇa prakṛti pravartaka ceṣṭā	he avyakta  banDo sAnniDya  mAtreNa prakRti pravartaka cezwA
   nimeṣonmeṣa rūpām | śrutiś ca   sarve nimeṣā jajñire vidyutaḥ	nimeza unmeza  rUpAm | SrutiH ca  sarve nimezAH jajQire vidyutaH
   puruṣādadhīti [Mahā nārāyaṇaU 1.8] | sarve nimeṣādayaḥ kālāvayavāḥ	puruzAdaDi iti [MahA  nArAyaNaU 1.8] | sarve nimeza AdayaH kAla avayavAH
   viśeṣeṇa dyotate vidyut | puruṣaḥ paramātmeti śruti padārthaḥ | sarvatra	viSezeNa dyotate vidyut | puruzaH paramAtmA iti Sruti padArTaH | sarvatra
   sṛṣṭi saṃhārayor nimittaṃ kāla eva, tasya tu tad aṅga ceṣṭā rūpatvāt tau	sRzwi  saMhArayoH nimittam kAlaH eva, tasya tu tad  aFga  cezwA  rUpa tvAt tO
   tatra na sambhavata eveti bhāvaḥ | tatra hetv antaraṃ kṣema dhāmeti | tvā	tatra na samBavataH eva iti BAvaH | tatra hetv antaram kzema DAma iti | tvA
   tvām |	tvAm |
   atra svābhīṣṭāt tasmād āvirbhāvād eva kaṃsa bhayaṃ kaimutyena vāritavatī	atra sva aBIzwAt tasmAt AvirBAvAt eva kaMsa Bayam kEm utyena vAritavatI
   | tathaiva spaṣṭaṃ punar āha   	| taTA eva spazwam punar Aha   
   martyo mṛtyu vyāla bhītaḥ palāyan	martyaH mRtyu  vyAla BItaH palAyan
   lokān sarvān nirbhayaṃ nādhyagacchat |	lokAn sarvAn nirBayam na aDyagacCat |
   tvat padābjaṃ prāpya yadṛcchayādya	tu at pada abjam prApya yadRcCayA adya
   svasthaḥ śete mṛtyur asmād apaiti || [BhP 10.3.27]	svasTaH Sete mRtyuH asmAt apEti || [Bhj 10.3.27]
   lokān prāpya nirbhayaṃ bhayābhāvam | tvat pādābjaṃ tu prāpyety	lokAn prApya nirBayam Baya aBAvam | tu at pAda abjam tu prApya iti 
   ubhayatrāpy anvayaḥ | atra tvat pādābjam iti śrī vigraham eva tathāpi	uBayatra api anvayaH | atra tu at pAda abjam iti SrI vigraham eva taTA api
   vispaṣṭaṃ sādhitavatī | ataevāmṛta vapur iti sahasra nāma stotre | mṛtaṃ	vispazwam sADitavatI | ataeva amRta  vapuH iti sahasra nAma  stotre | mRtam
   maraṇaṃ tad rahitaṃ vapur asyety amṛta vapur iti śaṅkara bhāṣye'pi |	maraNam tat  rahitam vapuH asya iti amRta  vapuH iti SaFkara  BAzye api |
   ādyeti	Adya iti
   janmābhāvo'pi darśitaḥ, sajanmani sarvatra sāditvaasyaiva siddheḥ | tad	janmABAvaH api darSitaH, sa janmani sarvatra sAdi tvaasya eva sidDeH | tat 
   uktam	uktam
     prādurāsīd yathā prācyāṃ diśīndur iva puṣkalaḥ | iti | [BhP 10.3.8]	 prAdurAsIt yaTA prAcyAm diSi induH iva puzkalaH | iti | [Bhj 10.3.8]
   śrutiś cātra   sa brahmaṇā sṛjati sa rudreṇa vilāpayati so'nutpattir alaya	SrutiH ca atra  sa brahmaNA sRjati sa rudreNa vilApayati saH anutpattiH alaya
   eva	eva
   hariḥ paraḥ paramānanda iti mahopaniṣadi[*ENDNOTE #4] ||	hariH paraH parama AnandaH iti mahA upanizadi[*ENDNa oTEH #4] ||
   śrīdevakī devī śrī bhagavantam ||27||	SrI devakI  devI SrI  Bagavantam ||27||
   tathā utpatti sthiti layety ādi padye   yad rūpaṃ dhruvam akṛtam iti |	taTA utpatti sTiti layA iti  Adi padye  yat rUpam Druvam akRtam iti |
   [BhP	[BhP
   yasya śrī saṅkarṣaṇasya rūpaṃ dhruvam anantaṃ akṛtaṃ cānādi | ataeva	yasya SrI  saFkarzaNasya rUpam Druvam anantam akRtam ca anAdi | ataeva
   varṣādhipopāsanā varṇane bhavenāpi tad rūpam adhikṛtyoktam   	varza aDipa upAsanA varNane Bavena api tad  rUpam aDikRtya uktam   
   na yasya māyā guṇa citta vṛttibhir	na yasya mAyA guNa  citta vRttiBiH 
   nirīkṣato hy aṇv api dṛṣṭir ajyate | iti [BhP 5.17.19]	nirIkzataH hi aNu api dRzwiH ajyate | iti [Bhj 5.17.19]
   yat tu tatra tad eva rūpam adhikṛtya śrī śukena   yā vai kalā bhagavatas	yat tu tatra tat eva rUpam aDikRtya SrI Sukena  yA vE kalA Bagavatas
   tāmasīti [BhP 5.25.1] | tathā bhavānīnāthair iti gadye [BhP 5.17.16]	tAmasi iti [Bhj 5.25.1] | taTA BavAnI nATEH iti gadye [Bhu 5.17.16]
   tāmasīṃ	tAmasIm
   mūrtim ity uktam, tan nijāṃśa śiva dvārā tamo guṇopakārakatvena jñeyam	mUrtim iti uktam, tat nija aMSa Siva  dvArA tamaH  guNa upakAraka tvena jQeyam
   | utpatti sthiti layety ādi padyānantaraṃ śrī śukenaiva śrī nārada vākyam	| utpatti sTiti layA iti  Adi padyA anantaram SrI Sukena eva SrI nArada  vAkyam
   anuktam    mūrtiṃ na puru kṛpayā babhāra sattvaṃ saṃśuddhaṃ sadasad idaṃ	anuktam   mUrtim na puru kRpayA baBAra sattvam saMSudDam sat asat idam
   vibhāti yatra | [BhP 5.25.10] | tasmān nityam eva sarvaṃ bhagavad rūpam |	viBAti yatra | [Bhj 5.25.10] | tasmAt nityam eva sarvam Bagavat  rUpam |
   tathā ca pādmottara khaṇḍe tat stutiḥ   anādi nidhanānanta vapuṣe viśva 	taTA ca pAdma uttara   KaNxe tat stutiH  anAdi niDana ananta  vapuze viSva 
   rūpiṇe | iti |	rUpiNe | iti |
   yad atra skāndādau kvacid bhrāmakam asti tat tu tat tat purāṇānāṃ tāmasa 	yat atra skAnda AdO kvacid BrAmakam asti tat tu tat tat purANAnAm tAmasa 
   kalpa kathāmayatvāt tat tat kalpeṣu ca bhagavatā sva mahimāvaraṇād	kalpa  kaTA Amaya tvAt tat tat kalpezu ca BagavatA sva  mahima AvaraNAt 
   yuktam eva tad iti | śrī bhāgavatenāpi   evaṃ vadanti rājarṣe [BhP	yuktam eva tat iti | SrI  BAgavatena api  evam vadanti rAjarze [BhP
   ity ādinā tādṛśaṃ mataṃ na matam | tad idaṃ tu śrī kṛṣṇa sandarbhe viśiṣya	iti AdinA tAdRSam matam na matam | tat idam tu SrI  kRzNa sandarBe viSizya
   sthāpayiṣyāmaḥ | sva mataṃ tu   satyaṃ śaucaṃ dayā kṣāntir ity ādinā [BhP	sTApayizyAmaH | sva matam tu  satyam SOcam dayA kzAntiH iti AdinA [BhP
   1.16.27] śrī pṛthivī vākyena kānti maha ojo balānām api svābhāvikatvam	1.16.27] SrI  pRTivI  vAkyena kAnti  maha ojaH  balAnAm api svABAvika tvam
   avyabhicāritvaṃ darśayatā darśitam | naṣṭe loka[*ENDNOTE #5] ity ādinā	avyaBicAri tvam darSayatA darSitam | nazwe loka[*ENDNOTEH #5] iti AdinA
   [BhP 10.3.25] śrī devakī vākyena ca | tasmāt sādhūktaṃ yad rūpaṃ dhruvam	[Bhj 10.3.25] SrI  devakI  vAkyena ca | tasmAt sADu uktam yat rUpam Druvam
   akṛtam iti || śrī śukaḥ ||28||	akRtam iti || SrI SukaH ||28||
   vibhutvam āha  	viBu tvam Aha  
   na cāntar na bahir yasya na pūrvaṃ nāpi cāparam |	na ca antar na bahis yasya na pUrvam na api ca aparam |
   pūrvāparaṃ bahiś cāntar jagato yo jagac ca yaḥ ||	pUrva aparam bahis ca antar jagataH yaH jagat ca yaH ||
   taṃ matvātmajam avyaktaṃ martya liṅgam adhokṣajam |	tam matvA Atmajam avyaktam martya  liFgam aDokzajam |
   gopikolūkhale dāmnā babandha prākṛtaṃ yathā || [BhP 10.9.13 14]	gopikA ulUKale dAmnA babanDa prAkRtam yaTA || [Bhj 10.9.13 14]
   ṭīkā ca   bandhanaṃ hi bahiḥ parītena dāmnā antarāvṛtasya bhavati | tathā	wIkA ca  banDanam hi bahis  parItena dAmnA antarAvRtasya Bavati | taTA
   pūrvāpara vibhāgavato vastunaḥ pūrvato dāma dhṛtvā parataḥ pariveṣṭanena	pUrva apara  viBAgavataH vastunaH pUrvatas dAma DRtvA paratas parivezwanena
   bhavati | na tv etad astīty āha na cāntar iti | kiṃ ca vyāpakena vyāpyasya	Bavati | na tu etat asti iti Aha na ca antar iti | kim ca vyApakena vyApyasya
   bandho bhavati | tac cātra viparītam ity āha pūrvāparam iti | kiṃ ca tad 	banDaH Bavati | tat ca atra viparItam iti Aha pUrva aparam iti | kim ca tat  
   vyatiriktasya cābhāvān na bandha ity āha   jagac ca yaḥ iti | taṃ martya 	vyatiriktasya ca aBAvAt na banDaH iti Aha  jagat ca yaH iti | tam martya 
   liṅgam adhokṣajam ātmajaṃ matvā babandheti | ity eṣā ||	liFgam aDokzajam Atmajam matvA babanDa iti | iti ezA ||
   jagac ca ya ity atra yasya kāraṇasya vyatirekeṇa kāryasya jagato	jagat ca yaH iti atra yasya kAraNasya vyatirekeNa kAryasya jagataH 
   vyatirekaḥ	vyatirekaH
   syād iti | tad ananyasya jagatas tac chaktyeva śaktes tad aṃśāṃśa rūpayā	syAt iti | tat ananyasya jagataH tac SaktyA iva SakteH tad  aMSa aMSa  rUpayA
   rajjvā	rajjvA
   kathaṃ bandhaḥ syāt | na hi vahnim arciṣo daheyur iti bhāvaḥ |	kaTam banDaH syAt | na hi vahnim arcizaH daheyuH iti BAvaH |
   taṃ martya liṅgam ity ādau | ṭīkā kṛtām ayam abhiprāyaḥ | nanu sarva 	tam martya  liFgam iti AdO | wIkA kRtAm ayam aBiprAyaH | nanu sarva 
   vyāpakaṃ kathaṃ babandha, na hi brahmāṇḍa golakādikam api kaścid	vyApakam kaTam babanDa, na hi brahmANxa  golaka Adikam api kaScid 
   badhnāti | tatrāha martya liṅgaṃ manuṣya vigraham | tarhi kathaṃ	baDnAti | tatra Aha martya  liFgam manuzya vigraham | tarhi kaTam
   vyāpakatvam ? tatrāha, adhokṣajam adhaḥ kṛtam indriyajaṃ jñānaṃ yena taṃ	vyApaka tvam ? tatra aha, aDokzajam aDas kRtam indriya jam jQAnam yena tam
   sarvendriya jñānāgocaraṃ pratyakṣādi pramāṇair acintya svarūpam ity arthaḥ	sarva indriya  jQAna agocaram pratyakza Adi pramANEH acintya  svarUpam iti arTaH
   | tasmāt tad ākāratve'pi tasmin vibhutvam asty eveti bhāvaḥ |	| tasmAt tad  AkAra tve api tasmin viBu tvam asti eva iti BAvaH |
   adhokṣajatvād	aDokzaja tvAt 
   evāvyaktatvam api vyākhyātam iti tan noddhṛtam |	eva avyakta tvam api vyAKyAtam iti tat na udDRtam |
   nanu manuṣya vigrahatve'py aparityakta vibhutvaṃ kathaṃ mātur nāsphurat	nanu manuzya vigraha tve api aparityakta  viBu tvam kaTam mAtuH na asPurat 
   ? tatrāha   ātmajaṃ matveti | vatsalādy abhidha prema rasa viśeṣasya	? tatra Aha  Atmajam matvA iti | vatsala Adi  aBiDa  prema  rasa  viSezasya
