   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   andhatāmiśrasaṃjñākhyam anādyajñānamīritam // PS_1,5.65 //	anDatA-miSra-saMjQA-AKyam anAdya-jQAnam-Iritam // PS_1,5.65 //
   anādikālamārabhyānantānantāṇumātrakāḥ /	anAdi-kAlam-AraBya-ananta-anantANu-mAtrakAH /
   keśādyāyutatulyālpasvarūpāhyātmagocarāḥ // PS_1,5.66 //	keSa-Adya-ayuta-tulya-alpa-svarUpa-ahi-a-Atma-gocarAH // PS_1,5.66 //
   tattatsvarūpakākāra hariṇābimbarūpiṇā /	tad-tad-svarUpaka-AkAra hariNA-bimba-rUpiNA /
   rakṣitāḥ pralaye sṛṣṭā nityaṃ tadanapāyinā // PS_1,5.67 //	rakzitAH pralaye sRzwAH nityam tad-anapAyinA // PS_1,5.67 //
   etatkalpādibhāvīnāṃ tattakalpeṣu vai kramāt /	etad-kalpa-Adi-BAvInAm tad-takalpezu vE kramAt /
   sṛjyāḥ vilakṣaṇāstulyāḥ atulyāstrividhātmakāḥ // PS_1,5.68 //	sRjyAH vilakzaNAH-tulyAH atulyAH-triviDa-AtmakAH // PS_1,5.68 //
   jīvāḥ anāditaḥ sarvepyasvatantrā ramāvaśāḥ /	jIvAH anAditaH sarva-ipi-asvatantrAH rama-avaSAH /
   prakṛtyātmakaliṅgena baddhāḥ śrīharikukṣigāḥ // PS_1,5.69 //	prakRti-Atmaka-liFgena badDAH SrI-hari-kukzi-gAH // PS_1,5.69 //
   laye sṛṣṭau hariḥsṛṣṭāḥ aṇḍādbahirathāntare /	laye sRzwO hariH-sRzwAH aNxAt-bahis-aTa-antare /
   sātvikānīcamadhyāśca antaḥ sṛjyā atātvikāḥ // PS_1,5.70 //	sAtvikA-nIca-maDyAH-ca antar sRjyAH atAtvikAH // PS_1,5.70 //
   niraṃśāmartyagandharvapūrvāḥ sarve tṛṇāntikāḥ /	niraMSa-amartya-ganDarva-pUrvAH sarve tRNa-antikAH /
   yogyā nityasṛtisthāśca tamo yogyāśca kṛtsnaśaḥ // PS_1,5.71 //	yogyAH nitya-sRti-sTAH-ca tamaH yogyAH-ca kRtsnaSas // PS_1,5.71 //
   sarvepi liṅgasambaddhā ye te jīvā na cānyathā /	sarva-ipi liFga-sambadDAH ye te jIvAH na ca-anyaTA /
   tepi pūrvānantakālpeṣvevaṃ svocita sādhanaiḥ // PS_1,5.72 //	tepi pUrva-anantaka-alpezu-evam sva-ucita sADanEH // PS_1,5.72 //
   muktāḥ madhyāstamaḥ prāptāḥ santi śrīharigarbhagāḥ /	muktAH maDyAH-tamaH prAptAH santi SrI-hari-garBa-gAH /
   naiṣāṃ kvāpi kvacitpūrtirbhavitā niyamāddhareḥ // PS_1,5.73 //	na-ezAm kvApi kvacid-pUrtiH-BavitA niyamAt-hareH // PS_1,5.73 //
   iti śrī prakāśasaṃhitāyāṃ prathamaparicchede pañcamo 'dhyāyaḥ	iti SrI prakASa-saMhitAyAm praTama-paricCede paQcamaH aDyAyaH
   śrīhaṃsa uvāca	SrI-haMsaH uvAca
   niḥśeṣato rātrimāne vyatītetvaharāga(di)me /	niHSezataH rAtri-mAne vyatItetu-aha-rAga(di)me /
   kṣaṇe taṃ viśvasṛksraṣṭumicchāṃ cakre 'khila(svayaṃ)prabhuḥ // PS_1,6.1 //	kzaNe tam viSvasRj-srazwum-icCAm cakre aKila(-svayaM)praBuH // PS_1,6.1 //
   tataḥ svagarbhagān jīvān liṅgamuktān vineśvaraḥ /	tatas sva-garBa-gAn jIvAn liFga-muktAn vineSvaraH /
   prakṛtyātmakaliṅgena śarīreṇāvṛtāstridhā // PS_1,6.2 //	prakRti-Atma-ka-liFgena SarIreNa-AvRtAH-triDA // PS_1,6.2 //
   vibhinnānāṃ stamasān śuddharājasān sātvikān prabhuḥ /	viBinnAnAm stamasAn SudDa-rAjasAn sAtvikAn praBuH /
   svodarasthān samudhṛtyasṛjyān puruṣanāmakaḥ // PS_1,6.3 //	sva-udara-sTAn samuDRti-a-sRjyAn puruza-nAmakaH // PS_1,6.3 //
   prādāt savāsudevākhyo sarvān jīvān jagatprabhuḥ /	prAdAt sa-vAsudeva-AKyaH sarvAn jIvAn jagatpraBuH /
   naiva sṛṣṭistu muktānāṃ baddhānāṃ na hi sarvaśaḥ // PS_1,6.4 //	na-eva sRzwiH-tu muktAnAm badDAnAm na hi sarvaSas // PS_1,6.4 //
   sṛṣṭiruktāyuktaḥ saṃkhyā niyamāt sṛṣṭirucyate /	sRzwiH-uktA-yuktaH saMKyA niyamAt sRzwiH-ucyate /
   sṛṣṭiḥ saṃkhyā niyamataḥ tātvikātātvikeṣu ca // PS_1,6.5 //	sRzwiH saMKyA niyamataH tAtvikAtAtvikezu ca // PS_1,6.5 //
   niraṃśeṣu na saṃkhyāsti bahutvātvādbahudhaiva sā /	niraMSezu na saMKyA-asti bahutvAtvAt-bahuDA-eva sA /
   brahmatvayogyā ṛjavo nāmato 'nantaśo gaṇāḥ // PS_1,6.6 //	brahma-tva-yogyAH RjavaH nAmataH anantaSas gaNAH // PS_1,6.6 //
   teṣu pūrvānantakalpaiḥ muktāḥ santi hyanantaśaḥ /	tezu pUrva-ananta-kalpEH muktAH santi hi-anantaSas /
   liṅgabaddhā apyanantānantaśaḥ santi garbhagāḥ // PS_1,6.7 //	liFga-badDAH api-ananta-anantaSas santi garBa-gAH // PS_1,6.7 //
   haresteṣāṃ sarvaśopi teṣu sṛjyāstu kecana /	hareH-tezAm sarva-Sopi tezu sRjyAH-tu kecana /
   ṛjvādi tātvikāḥsarve anādito hyaparokṣiṇaḥ // PS_1,6.8 //	Rju-Adi tAtvikAH-sarve anAditaH hi-aparokziNaH // PS_1,6.8 //
   sāmānyato viśeṣeṇa svasvayogyāparokṣiṇaḥ /	sAmAnyatas viSezeNa sva-sva-yogya-aparokziNaH /
   kḷptakālocitamahāsādhanena bhavanti hi // PS_1,6.9 //	k?pta-kAla-ucita-mahA-sADanena Bavanti hi // PS_1,6.9 //
   yatanti hyaparokṣārtham ṛjavo śatasaṃmitāḥ /	yatanti hi-aparokza-arTam RjavaH Sata-saMmitAH /
   pūrvāparokṣiṇaste ca śatasaṃkhyāmitāḥ sadā // PS_1,6.10 //	pUrva-aparokziNaH-te ca Sata-saMKyAmitAH sadA // PS_1,6.10 //
   anantavedoktaguṇopāsanāyāṃ hareḥ sadā /	ananta-veda-ukta-guNa-upAsanAyAm hareH sadA /
   yatanti tepi kramaśo hyupāsītaguṇoccayāḥ // PS_1,6.11 //	yatanti tepi kramaSas hi-upAsIta-guNa-uccayAH // PS_1,6.11 //
   bhavanti vedhāḥ sampūrṇasadguṇopāstimāniha /	Bavanti veDAH sampUrNa-sat-guNa-upAstimAn-iha /
   kāle mukto bhavatyeva mucyate naikadaiva hi // PS_1,6.12 //	kAle muktaH Bavati-eva mucyate na-ekadA-eva hi // PS_1,6.12 //
   evañca brahmamānena kalpadviśatakena ca /	evaQca brahma-mAnena kalpa-dviSatakena ca /
   pūrṇaśaktiḥ pūrṇaguṇopāstiḥ muktā bhavatyalam // PS_1,6.13 //	pUrNa-SaktiH pUrNa-guNa-upAstiH muktAH Bavati-alam // PS_1,6.13 //
   mukteḥ pūrvakṣaṇe bhogyasuprārabdhakṣayepi ca /	mukteH pUrvakzaNe Bogya-su-prArabDa-kzayepi ca /
   evamevottaratrāpi saṃkhyā niyamataḥ surāḥ // PS_1,6.14 //	evam-eva-uttaratra-api saMKyAH niyamataH surAH // PS_1,6.14 //
   mucyante tātvikā vakṣyamāṇaiḥ kalpairajasya tu /	mucyante tAtvikA vakzyamANEH kalpEH-ajasya tu /
   dvipañcāśatkalpamitāḥ śeṣādyāstu sabhāryakāḥ // PS_1,6.15 //	dvipaQcASat-kalpa-mitAH Seza-AdyAH-tu sa-BAryakAH // PS_1,6.15 //
   viṃśatkalpamitāstvindrajīvāḥ dvinavakalpakāḥ /	viMSat-kalpa-mitAH-tu-indrajIvAH dvi-nava-kalpakAH /
   ahaṃprāṇapadārhaśca gurvādyādvyaṣṭakalpakāḥ // PS_1,6.16 //	ahaMprANa-padArhaH-ca guru-AdyAt-vyazwa-kalpakAH // PS_1,6.16 //
   pravāhastu dviṣaṭkalpaiḥ sūryādyāḥ daśakalpakāḥ /	pravAhaH-tu dvizaz-kalpEH sUrya-AdyAH daSa-kalpakAH /
   mitrādīnāṃ ca navabhistūkta śeṣagaṇasya tu // PS_1,6.17 //	mitra-AdInAm ca navaBiH-tu-ukta Seza-gaNasya tu // PS_1,6.17 //
   aṣṭabhiḥ saptabhiḥ kalpaiḥ sanakādi gaṇasya tu /	azwaBiH saptaBiH kalpEH sanaka-Adi gaNasya tu /
   ṣaḍbhiḥ parjanyamārabhya puṣkarāntagaṇasya vai // PS_1,6.18 //	zaxBiH parjanyam-AraBya puzkara-anta-gaNasya vE // PS_1,6.18 //
   aparokṣataḥ karmadevāḥ pañcakalpāparokṣiṇaḥ /	aparokzataH karma-devAH paQca-kalpa-aparokziNaH /
   caturbhirājānajānāntu sārdhakalpatrayeṇa tu // PS_1,6.19 //	caturBiH-AjAna-jAnAntu sArDa-kalpa-trayeNa tu // PS_1,6.19 //
   kṛṣṇāṅgasaṅgagopīnāṃ tribhiḥ pitṛgaṇasya tu /	kRzNa-aFga-saFga-gopInAm triBiH pitR-gaNasya tu /
   gandharvāṇāntu kalpābhyāṃ martyānāṃ tu tathaikataḥ // PS_1,6.20 //	ganDarvANAntu kalpAByAm martyAnAm tu taTA-ekatas // PS_1,6.20 //
   ardhakalpaṃ tṛṇāntānāṃ yogyānāṃ haridarśane /	arDa-kalpam tRNa-antAnAm yogyAnAm hari-darSane /
   niyamo 'yaṃsarvakalpeṣvevameva na cānyathā // PS_1,6.21 //	niyamaH ayaMsarva-kalpezu-evam-eva na ca-anyaTA // PS_1,6.21 //
   klpasaṃkhyā brahmamānādvijñeyā yogyacetanaiḥ /	klpa-saMKyA brahma-mAnAt-vijQeyAH yogya-cetanEH /
   asurāṇāṃ tamaḥprāptiḥ brahmaṇo dinakalpataḥ // PS_1,6.22 //	asurANAm tamaH-prAptiH brahmaNaH dina-kalpataH // PS_1,6.22 //
   bhavatyeva jagaddhāturājñayetthaṃ sadaiva tu /	Bavati-eva jagadDAtuH-AjQayA-itTam sadA-eva tu /
   indrādipuṣkarāntānāṃ guṇopāsanayocitaiḥ // PS_1,6.23 //	indra-Adi-puzkara-antAnAm guNa-upAsanayA-ucitEH // PS_1,6.23 //
   proktaiḥ kalpairvimucyante tāvatkalpaistu sādhanam /	proktEH kalpEH-vimucyante tAvat-kalpEH-tu sADanam /
   tatpūrvamaparokṣasya kartavyamiti niścayaḥ // PS_1,6.24 //	tat-pUrvam-aparokzasya kartavyam-iti niScayaH // PS_1,6.24 //
   aṇḍāntarāle padmotthabrahmā yāvaddhi tiṣṭhati /	aNxa-antarAle padma-utTa-brahmA yAvat-hi tizWati /
   tāvatsaṃvatsaragatapratipratidineṣvapi // PS_1,6.25 //	tAvat-saMvatsara-gata-pratipratidinezu-api // PS_1,6.25 //
   sāṃśā atātvikāḥ sarve saṃkhyayā vakṣyamāṇayā /	sa-aMSAH atAtvikAH sarve saMKyayA vakzyamANayA /
   mitāstu pratikalpe 'pi padasthā hyaparokṣiṇaḥ // PS_1,6.26 //	mitAH-tu pratikalpe api pada-sTAH hi-aparokziNaH // PS_1,6.26 //
   urvaśyādyāpsarasaḥ śatāntāṃś cāṣṭasaṃkhyayā /	urvaSI-Adya-apsarasaH Sata-antAn ca-azwa-saMKyayA /
   mitā ājānajaistulyāḥ karmadevaiḥ samāḥ parāḥ // PS_1,6.27 //	mitAH AjAna-jEH-tulyAH karma-devEH samAH parAH // PS_1,6.27 //
   śataṃ pitṝṇāṃ saptaiva teṣūrvaśyādibhiḥ samāḥ /	Satam pitLNAm sapta-eva tezu-urvaSya-AdiBiH samAH /
   anye ājānajebhyastu nyūnāstebhyo 'varāḥ kramāt // PS_1,6.28 //	anye AjAna-jeByaH-tu nyUnAH-teByaH avarAH kramAt // PS_1,6.28 //
   gandharvāstu śataṃ teṣu aṣṭau tulyāstu karmajaiḥ /	ganDarvAH-tu Satam tezu azwO tulyAH-tu karma-jEH /
   śatakoṭimitāḥ sarve ṛṣayo viṃśaduttamāḥ // PS_1,6.29 //	Sata-kowi-mitAH sarve RzayaH viMSat-uttamAH // PS_1,6.29 //
   ṛṣīṇāṃ ca śataṃ karmadevaistalyamudīritam /	RzINAm ca Satam karma-devEH-talyam-udIritam /
   haryāveśāśca tanmadhye viṃśadīṣadguṇottamāḥ // PS_1,6.30 //	haryAveSAH-ca tad-maDye viMSat-Izat-guNa-uttamAH // PS_1,6.30 //
   teṣveva tātvikāścāṣṭau śatakaṃ karmajaiḥ samam /	tezu-eva tAtvikAH-ca-azwO Satakam karma-jEH samam /
   tadanye 'jānajebhyastu tulyā agnisutā api // PS_1,6.31 //	tad-anye ajAnajeByaH-tu tulyAH agni-sutAH api // PS_1,6.31 //
   dvyaṣṭausahasrāṇiśatantriṃśaccāraṇarakṣasām /	dvi-azwOsahasra-aNi-Sa-tantriMSat-cAraNa-rakzasAm /
   sādhyasiddhāstathānyāstu saptatiḥ sarvajātiṣu // PS_1,6.32 //	sADya-sidDAH-taTA-anyAH-tu saptatiH sarva-jAtizu // PS_1,6.32 //
   ājānajāstesvanyūnaṃ pitṛgandharvasaṃyutāḥ /	AjAna-jAH-tesu-anyUnam pitR-ganDarva-saMyutAH /
   pratīkālambanāḥ sāṃśāḥ niraṃśāstu tato 'varāḥ // PS_1,6.33 //	pratIka-AlambanAH sa-aMSAH niraMSAH-tu tatas avarAH // PS_1,6.33 //
   pratīkālambanasteṣu śreṣṭhāḥ mānuṣagāyakāḥ /	pratIka-AlambanaH-tezu SrezWAH mAnuza-gAyakAH /
   tato nyūnāstu rājāno martyoccāstu tato 'dhamāḥ // PS_1,6.34 //	tatas nyUnAH-tu rAjAnaH martya-uccAH-tu tatas aDamAH // PS_1,6.34 //
   martyagandharvarāśyādi sarvajīvagaṇeṣvapi /	martya-ganDarva-rASi-a-Adi sarva-jIva-gaNezu-api /
   ye muktiyogyāste sarve pratīkasthāvalambinaḥ // PS_1,6.35 //	ye mukti-yogyAH-te sarve pratIka-sTa-avalambinaH // PS_1,6.35 //
   niraṃśā aparokṣātprāk ūrdhvamapyaṇḍa eva hi /	niraMSAH aparokzAt-prAk UrDvam-api-aNxaH eva hi /
   sṛjyānūrdhvaṃ yathā sāṃśāḥ aparokṣavivarjitāḥ // PS_1,6.36 //	sRjyAn-UrDvam yaTA sa-aMSAH aparokza-vivarjitAH // PS_1,6.36 //
   aparokṣiṇāntu sāṃśānāṃ tātvikairbhinnacetasām/	aparokziNa-antu sa-aMSAnAm tAtvikEH-Binna-cetasAm/
   atātvikānāṃ karmādi suragandharvamānuṣām // PS_1,6.37 //	atAtvikAnAm karma-Adi sura-ganDarva-mAnuzAm // PS_1,6.37 //
   etāvadantajīvānāṃ sūkṣmāptiraniruddhataḥ /	etAvat-anta-jIvAnAm sUkzma-AptiH-anirudDataH /
   ajotpatteḥ purājāṇḍe sthūlāptiriti niścayaḥ // PS_1,6.38 //	aja-utpatteH purA-jANxe sTUla-AptiH-iti niScayaH // PS_1,6.38 //
   tātvikānāṃ bahiścāṇḍāt sūkṣmasthūlāptiriṣyate /	tAtvikAnAm bahis-ca-aNxAt sUkzma-sTUlAptiH-izyate /
   asaṃsṛṣṭaśarīrāste 'ṇḍotpatteḥ purāḥsurāḥ // PS_1,6.39 //	asaMsRzwa-SarIrAH-te aNxa-utpatteH purAHsurAH // PS_1,6.39 //
   aṇḍāntarāle sarve 'pi saṃsṛṣṭāḥ sthūladehakāḥ /	aNxa-antarAle sarve api saMsRzwAH sTUla-dehakAH /
   laye sarve liṅgabaddhāḥ śūnyakukṣā vasanti hi // PS_1,6.40 //	laye sarve liFga-badDAH SUnya-kukzAH vasanti hi // PS_1,6.40 //
   teṣu muktetare saṃkhyā niyamātsṛṣṭisaṃmatāḥ /	tezu mukta-itare saMKyAH niyamAt-sRzwi-saMmatAH /
   ye ca tānnikhilānvāsudevaḥ sraṣṭumupākramat // PS_1,6.41 //	ye ca tAn-niKilAn-vAsudevaH srazwum-upAkramat // PS_1,6.41 //
   jaḍākhyā prakṛtiḥ sarvajīvānāṃ liṅgarūpiṇī /	jaxa-AKyA prakRtiH sarva-jIvAnAm liFga-rUpiNI /
   prakṛtergarbhagā jīvāḥ liṅgadehayutā matāḥ // PS_1,6.42 //	prakRteH-garBa-gAH jIvAH liFga-deha-yutAH matAH // PS_1,6.42 //
   anādikālamārabhya jīvāḥ saṃsṛtibandhagāḥ /	anAdi-kAlam-AraBya jIvAH saMsRti-banDa-gAH /
   tatra pūrvānantakalpe jīvāḥ satsādhanena ca // PS_1,6.43 //	tatra pUrva-ananta-kalpe jIvAH sat-sADanena ca // PS_1,6.43 //
   miśreṇa viparītena jñānenātyaktabandhanāḥ /	miSreNa viparItena jQAnena-atyakta-banDanAH /
   jīvāśca trividhā āsan śatakoṭisahasraśaḥ // PS_1,6.44 //	jIvAH-ca triviDAH Asan Sata-kowi-sahasraSas // PS_1,6.44 //
   sṛjyeṣu liṅgabaddheṣu pūrvasṛjyaścaturmukhaḥ /	sRjyezu liFga-badDezu pUrva-sRjyaH-caturmuKaH /
   na caikakāle sarveṣāṃ sṛṣṭiḥ sā kālabhedataḥ // PS_1,6.45 //	na ca-eka-kAle sarvezAm sRzwiH sA kAla-BedataH // PS_1,6.45 //
   bhavatyataḥ pūrvajātāḥ uttamānye tato 'varāḥ /	Bavati-atas pUrva-jAtAH uttamAnye tatas avarAH /
   layākhya parakālānte vyatīte sṛṣṭisaṃmate // PS_1,6.46 //	laya-AKya para-kAla-ante vyatIte sRzwi-saMmate // PS_1,6.46 //
   parakālādime 'jasya sṛṣṭiranyasya kālataḥ /	para-kAla-Adime ajasya sRzwiH-anyasya kAlataH /
   brahmaṇaḥ sṛṣṭitaḥ paścādvāyoḥ sṛṣṭiḥ śatābdataḥ // PS_1,6.47 //	brahmaNaH sRzwitaH paScAt-vAyoH sRzwiH Sata-abdataH // PS_1,6.47 //
   tataḥ śatābdato vāṇyāḥ bhāratyāstacchatābdataḥ /	tatas Sata-abdataH vANyAH BAratyAH-tat-Sata-abdataH /
   tataḥ sahasrābdataśca sṛṣṭistu vipaśeṣayoḥ // PS_1,6.48 //	tatas sahasrAbdataH-ca sRzwiH-tu vipaSezayoH // PS_1,6.48 //
   nīlādīnāṃ sahasraśca vatsaraistāvatā punaḥ /	nIla-AdInAm sahasraH-ca vatsarEH-tAvatA punar /
   vāruṇyāderdaśasāhasrābdatastu tataḥ param // PS_1,6.49 //	vAruNyAdeH-daSa-sAhasra-abdataH-tu tatas param // PS_1,6.49 //
   sṛṣṭirindrasya kāmasyāpyayutābdāstathāpare /	sRzwiH-indrasya kAmasya-api-ayuta-abdAH-taTA-apare /
   sṛṣṭāsyurhariṇā ye ca nīcāste 'nuttamottamaiḥ // PS_1,6.50 //	sRzwA-asyuH-hariNAH ye ca nIcAH-te anuttama-uttamEH // PS_1,6.50 //
   puṣkarāntāstātvikāśca tathaivātātvikāḥ pare /	puzkara-antAH-tAtvikAH-ca taTA-eva-atAtvikAH pare /
   niraṃśā nityabaddhāśca tamoyogyāśca rākṣasāḥ // PS_1,6.51 //	niraMSAH nitya-badDAH-ca tamaH-yogyAH-ca rAkzasAH // PS_1,6.51 //
   ayutābdāddhevamānāt pūrvapūrvavyavasthayā /	ayutA-abdAt-hevamAnAt pUrva-pUrva-vyavasTayA /
   sṛṣṭirbhavati sā sūkṣmasthūlabhedādvidhā matā // PS_1,6.52 //	sRzwiH-Bavati sA sUkzma-sTUla-BedAdviDA matA // PS_1,6.52 //
   tātvikānāṃ padasthānāṃ sarveṣāmaparokṣiṇām /	tAtvikAnAm pada-sTAnAm sarvezAm-aparokziNAm /
   aṇḍātpūrvaiva bhavati tadanyeṣāṃ tadantare // PS_1,6.53 //	aNxAt-pUrvA-eva Bavati tad-anyezAm tad-antare // PS_1,6.53 //
   aṇḍādbahirathāṇḍāntarjāyamānajanasya tu /	aNxAt-bahis-aTa-aNxa-antar-jAyamAna-janasya tu /
   pūrvoktakālaniyamātsṛṣṭiḥ jñeyā yathākramam // PS_1,6.54 //	pUrva-ukta-kAla-niyamAt-sRzwiH jQeyAH yaTAkramam // PS_1,6.54 //
   liṅgabaddhasya tu yadā sūkṣmadehāptiriṣyate /	liFga-badDasya tu yadA sUkzma-deha-AptiH-izyate /
   tataḥ pūrvakṣaṇe liṅge guṇavaiṣamyamiṣyate // PS_1,6.55 //	tatas pUrvakzaNe liFge guNa-vEzamyam-izyate // PS_1,6.55 //
   liṅgadehasya madhyastho rajobhāgaḥ prakīrtitaḥ /	liFga-dehasya maDya-sTaH rajaH-BAgaH prakIrtitaH /
   bhūrnāmakendirā tatra ceṣṭakā tasya māninī // PS_1,6.56 //	BUH-nAmaka-indirA tatra ca-izwakA tasya mAninI // PS_1,6.56 //
   satvabhāgaspṛṣṭarajaḥ pārśvagā rājasāṇavaḥ /	satva-BAga-spRzwa-rajaH pArSva-gAH rAjasANavaH /
   daśapralayakāle tu bhūmyā satvasya pārśvagāḥ // PS_1,6.57 //	daSa-pralaya-kAle tu BUmyA satvasya pArSva-gAH // PS_1,6.57 //
   bhavanti layakālānte tatra tiṣṭhanti sarvaśaḥ /	Bavanti laya-kAla-ante tatra tizWanti sarvaSas /
   rājasāṇuḥ sātvikāṃśagatastvekaikaśaḥ pṛthak // PS_1,6.58 //	rAjasANuH sAtvika-aMSa-gataH-tu-ekEkaSas pRTak // PS_1,6.58 //
   daśaiva tādṛśā ete militā dvādaśāṇavaḥ /	daSa-eva tAdRSAH ete militAH dvAdaSANavaH /
   sātvikeṣu śatamitān raktavarṇān karotyalam // PS_1,6.59 //	sAtvikezu Sata-mitAn rakta-varNAn karoti-alam // PS_1,6.59 //
   svabhāvataḥsatvabhāgāḥ śuklāste satvasaṃsthitāḥ /	svaBAvatas-satva-BAgAH SuklAH-te satva-saMsTitAH /
   raktāsahasrasaṃkhyākāḥ daśabhīrājasāṇubhiḥ // PS_1,6.60 //	rakta-asahasra-saMKyAkAH daSa-BIrAja-sANuBiH // PS_1,6.60 //
   bhavanti ca rajaḥ spṛṣṭāḥ satvapārśvagatā laye /	Bavanti ca rajaH spRzwAH satva-pArSva-gatAH laye /
   evameko rājasāṇuḥ rājasāṃśāpasavyagam // PS_1,6.61 //	evam-ekaH rAjasANuH rAjasa-aMSa-apasavya-gam // PS_1,6.61 //
   tāmasāṃśa bhuvānītaḥ svaśatāṃśantu tāmasam /	tAmasa-aMSa BuvA-Ani-itaH sva-Sata-aMSantu tAmasam /
   atyalpaṃ nīlavarṇaṃ te raktoraktī karotyalam // PS_1,6.62 //	ati-alpam nIla-varNam te raktaH-raktI karoti-alam // PS_1,6.62 //
   ekaḥ śuddho rājasāṃśaḥ paricchede tu rājase /	ekaH SudDaH rAjasa-aMSaH paricCede tu rAjase /
   madhye tiṣṭhantyapi laye rājasāṇu samā ime // PS_1,6.63 //	maDye tizWanti-api laye rAjasANu samAH ime // PS_1,6.63 //
   tamaḥ paricchedagatāḥ tāmasāṇustu yādṛśāḥ /	tamaH paricCeda-gatAH tAmasANuH-tu yAdRSAH /
   laye satvaparicchedapārśvagā rājasāṇavaḥ // PS_1,6.64 //	laye satva-paricCeda-pArSva-gAH rAjasANavaH // PS_1,6.64 //
   tāmasāstādṛśā ete militā dvādaśāṇavaḥ /	tAmasAH-tAdRSAH ete militAH dvAdaSANavaH /
   rājasā tāmasātyalpa paramāṇu pramāṇataḥ // PS_1,6.65 //	rAjasA tAmasa-ati-alpa paramANu pramANataH // PS_1,6.65 //
   adhikaṃ guṇitāstatra śatadvādaśasaṃmitāḥ /	aDikam guNitAH-tatra Sata-dvAdaSa-saMmitAH /
   daśarājasasaṃyukta sahasrasātvikāṇavaḥ // PS_1,6.66 //	daSa-rAjasa-saMyukta sahasra-sAtvikANavaH // PS_1,6.66 //
   lakṣābhavanti kāryopayuktā ete bhavanti hi /	lakzA-aBavanti kArya-upayuktAH ete Bavanti hi /
   tāmasāttu paricchedādviguṇo rājasasmṛtaḥ // PS_1,6.67 //	tAmasAt-tu paricCedAdviguNaH rAjasa-smRtaH // PS_1,6.67 //
   rājasāttu paricchedā dviguṇaḥsātvikaḥ smṛtaḥ /	rAjasAt-tu paricCedA dviguNaH-sAtvikaH smRtaH /
   ekaikasmanparicchedepyanantāḥ paramāṇavaḥ // PS_1,6.68 //	ekEkasman-paricCeda-Ipi-anantAH paramANavaH // PS_1,6.68 //
   santi tatra niyantājo viṣṇubrahmaśivātmakaḥ /	santi tatra niyantA-jaH vizNu-brahma-Siva-AtmakaH /
   nārāyaṇonantaguṇaḥ śrī strīrūpābhimāninī // PS_1,6.69 //	nArAyaNaH-nanta-guNaH SrI strI-rUpa-aBimAninI // PS_1,6.69 //
   jaḍāyāṃ prakṛtau cāpi liṅgadehe tathaiva ca /	jaxAyAm prakRtO ca-api liFga-dehe taTA-eva ca /
   santyānantāṇavasteṣu pūrvoktāḥ kāryasādhakāḥ // PS_1,6.70 //	santyA-anantANavaH-tezu pUrva-uktAH kArya-sADakAH // PS_1,6.70 //
   satvaṅgatā rājasāṃśāḥ laye rājasasātvikān /	satvaFga-tAH rAjasa-aMSAH laye rAjasa-sAtvikAn /
   vadanti tāmasagataṃ rajorājasatāmasam // PS_1,6.71 //	vadanti tAmasa-gatam rajaH-rAjasa-tAmasam // PS_1,6.71 //
   rajaḥ paricchedagataṃ santo rājasatāmasam /	rajaH paricCeda-gatam santaH rAjasa-tAmasam /
   vadantyeva laye yogo bhavati śrīharīcchayā // PS_1,6.72 //	vadanti-eva laye yogaH Bavati SrI-hari-icCayA // PS_1,6.72 //
   sāmyāvasthāṃ budhāḥ prāhuḥ etāṃ prakṛtiliṅgayoḥ // PS_1,6.73 //	sAmya-avasTAm buDAH prAhuH etAm prakRti-liFgayoH // PS_1,6.73 //
   iti śrī prakāśasaṃhitāyāṃ prathamaparicchede ṣaṣṭho 'dhyāyaḥ	iti SrI prakASa-saMhitAyAm praTama-paricCede zazWaH aDyAyaH
   śrīhaṃsa uvāca	SrI-haMsaH uvAca
   nārīkelaphalākāro liṅgadehastrivṛnmataḥ /	nArI-kela-Pala-AkAraH liFga-dehaH-trivRt-mataH /
   mūrdhnicchidrayuto garbhāvakāśakalitaḥ sadā // PS_1,7.1 //	mUrDni=-Cidra-yutaH garBa-avakASa-kalitaH sadA // PS_1,7.1 //
   antarnibaddhā jīvāste trividhā api mocane /	antar-nibadDAH jIvAH-te triviDAH api mocane /
   na śaktaḥ ramayāścanna mūrdhnicchidrāvasantyalam // PS_1,7.2 //	na SaktaH ramayAH-cat-na mUrDni=-CidrAvasanti-alam // PS_1,7.2 //
   duḥkhaspṛṣṭā liṅgabaddhāḥ duḥkhāspṛṣṭā ramaiva hi /	duHKa-spRzwAH liFga-badDAH duHKa-aspRzwAH rama-eva hi /
   yasmannakāle yasya sūkṣmaḥ nāśo bhavati viṣṇunā // PS_1,7.3 //	yasman=-akAle yasya sUkzmaH nASaH Bavati vizNunA // PS_1,7.3 //
   aniruddhena tannīca kramatonḍāntare bahiḥ /	anirudDena tat-nIca krama-tonxa-antare bahis /
   taduttarakṣaṇe liṅgadehe ca guṇasāmyatā // PS_1,7.4 //	tad-utta-rakzaNe liFga-dehe ca guNa-sAmya-tA // PS_1,7.4 //
   bhūmyākṛtā bhavati sā (svarūpajñānarūpiṇī)jīvānāṃ jñānarodhinī /	BUmyAkRtA Bavati sA (svarUpa-jQAna-rUpiNI)-jIvAnAm jQAna-roDinI /
