   <B1> dvitīyaḥ pādaḥ /	<B1> dvitIyaH pAdaH /
   prāptakālatārthatāṅgīkārāt he vāk vrataṃ bhakṣayituṃ tava prāptaḥ kāla	prApta-kAlatA-arTa-tA-aFgIkArAt he vAc vratam Bakzayitum tava prAptaH kAla
   ityarthena saṃbhavatyeva gauṇārthe vāgvisarge viniyoga iti viśeṣāśaṅkayā	iti-arTena saMBavati-eva gONa-arTe vAc-visarge viniyogaH iti viSeza-ASaFkayA
   saṃbhāvyamānaṃ pūrvapakṣaṃ nirākartumāha -------- natu gauṇayoriti //	saMBAvyamAnam pUrva-pakzam nirAkartum-Aha ------- na-tu gONayoH-iti //
   itikaraṇasyeti //	itikaraNasya-iti //
   tasyāvyayatvena luptavibhaktikatvācchaktyā karaṇatvānukteḥ lakṣaṇāyāñca	tasya-avyaya-tvena lupta-viBaktika-tvAt-SaktyA karaNa-tva-anukteH lakzaNa-Aya-aQca
   kālikasaṃbandhāvacchinnasaptamyarthalakṣaṇāyā eva	kAlika-saMbanDa-avacCinna-saptamI-arTa-lakzaNAyAH eva
   yuktatvānnānapekṣitāṅgāṅgibhāvaparatvāśrayaṇaṃ	yukta-tvAt-na-anapekzita-aFga-aFgi-BAva-paratva-ASrayaNam
   yuktamityetanmantrapāṭhakāle vācaṃ visṛjatītyartha evetyarthaḥ /	yuktam-iti-etat-mantra-pAWa-kAle vAcam visRjati-iti-arTaH eva-iti-arTaH /
   etena -------- itikaraṇasya śrutitvamaṅgīkṛtya pūrvapakṣe śrutyā gauṇe	etena ------- itikaraNasya Sruti-tvam-aFgIkRtya pUrva-pakze SrutyAH gONe
   mantraviniyoga iti nyāyasudhoktaṃ --------- apāstam /	mantra-viniyogaH iti nyAya-suDA-uktam -------- apAstam /
   itthaṃbhūtalakṣaṇeti //	itTaMBUta-lakzaNa-iti //
   haviṣkṛnmantrapāṭhajñāpyatvasyaiva visarge upapatterna svātantryeṇa tatra	havizkRt-mantra-pAWa-jQApya-tvasya-eva visarge upapatteH-na svAtantryeNa tatra
   karaṇatayā mantravidhānaṃ yuktamityarthaḥ /	karaNa-tayA mantra-viDAnam yuktam-iti-arTaH /
   etacca itthaṃbhūtalakṣaṇārthatvāṅgīkaraṇaṃ sahaśabdābhāve 'pi	etat-ca itTaMBUta-lakzaNa-arTa-tva-aFgIkaraNam saha-Sabda-aBAve api
   siddhāntopapattipradarśanamātrārtham, vastutastu ---------	sidDAnta-upapatti-pradarSana-mAtra-arTam, vastutas-tu ---------
   sahaśabdaśravaṇena tadyoga eva	saha-Sabda-SravaNena tad-yogaH eva
   tṛtīyopapattermantrapāṭhasamakālīnatvarūpasāhityasyaiva pratīteḥ na	tRtIya-upapatteH-mantra-pAWa-sama-kAlIna-tva-rUpa-sAhityasya-eva pratIteH na
   mantrakaraṇatvāśaṅkāpīti dhyeyam /	mantra-karaNa-tva-ASaFkA-api-iti Dyeyam /
   ataścottarapadārthavidhipāṭhakrameṇa yathotthānasya kālo nirjñātastathaiva	atas-ca-uttara-padArTa-viDi-pAWa-krameNa yaTA-utTAnasya kAlaH nirjQAtaH-taTA-eva
   mantrapāṭhakrameṇa vratahaviṣkṛnmantrayorapi nirjñāta iti tatra	mantra-pAWa-krameNa vrata-havizkRt-mantrayoH-api nirjQAtaH iti tatra
   tatrāprāptakālavidhānamevetyupasaṃharati ------ ataśceti //	tatra-aprApta-kAla-viDAnam-eva-iti-upasaMharati ----- atas-ca-iti //
   yadyapi cāhvānasya	yadi-api ca-AhvAnasya
   mantrapāṭhātiriktapṛthakprayatnānāpādyatvenānyathānupapattyā tattyāgārthaṃ	mantra-pAWA-atirikta-pRTak-prayatna-an-ApAdya-tvena-anyaTA-anupapattyA tad-tyAga-arTam
   vāgvisargaḥ prāpnotyevetyanuvādatvameva yuktam, natu kālavidhitvam;	vAc-visargaH prApnoti-eva-iti-anuvAda-tvam-eva yuktam, na-tu kAla-viDi-tvam;
   tathāpi tanmātrāṃśe vāgyamabādhe 'pi taduttaramapi prasaktasya	taTA-api tanmAtra-aMSe vAgyam-abADe api tad-uttaram-api prasaktasya
   nivṛttyarthamavadhirūpakālavidhitvamāvaśyakam /	nivRtti-arTam-avaDi-rUpa-kAla-viDi-tvam-AvaSyakam /
   yadyapica pūrvatra kālānuvādādihaca vidheyatvāttatra	yadi-apica pUrvatra kAlAnuvAdAt-i-haca viDeya-tvAt-tatra
   pūrvādhikaraṇatātideśārthatā tathāśabdoktā yujyate; tathāpi gauṇe na	pUrva-aDikaraNa-tA-atideSa-arTa-tA taTASabda-uktA yujyate; taTA-api gONe na
   viniyogaḥ kintu mukhye ityetāvatā sāmyena tadupapattiriti jñeyam //	viniyogaH kintu muKye iti-etAvatA sAmyena tat-upapattiH-iti jQeyam //
   prayojanaṃ pūrvapakṣe agnīnmantra utthānātpūrvaṃ prayojyaḥ /	prayojanam pUrva-pakze agnIn-mantraH utTAnAt-pUrvam prayojyaH /
   evaṃ vratahaviṣkṛnmantrāvapi vāgvisargātpūrvaṃ prayojyau; karaṇatvāt,	evam vrata-havizkRt-mantrO=-api vAc-visargAt-pUrvam prayojyO; karaNa-tva-at,
   siddhānte tu utthānakāle agnīnmantraḥ, vratahaviṣkṛnmantrapāṭhasamakālaṃ	sidDAnte tu utTAna-kAle agnIn-mantraH, vrata-havizkRt-mantra-pAWa-sama-kAlam
   vāgvisarga ityādi spaṣṭatvānnoktam //.// / iti caturthamutthānādhikaraṇam	vAc-visargaH ityAdi spazwa-tvAt-na-uktam //.// / iti caturTam-utTAna-aDikaraNam
   - - - - - - <B1> (5 adhikaraṇam / ) (a.3 pā.2 adhi.5) sūktavāke //	      <B1> (5 aDikaraNam / ) (a.3 pA.2 aDi.5) sUktavAke //
   darśapūrṇamāsayoḥ "sūktavākena prastaraṃ praharatī"ti śrutam /	darSa-pUrNamAsayoH "su-ukta-vAkena prastaram praharati-i"ti Srutam /
   tatra sūktavākapadavācyasya mantrasya iṣṭadevatāprakāśanena kṛtārthatvāt	tatra sUktavAka-pada-vAcyasya mantrasya izwadevatA-prakASanena kRtArTa-tvAt
   prastarapraharaṇasya copayuktaprastarapratipattitvena kṛtārthatvāt	prastara-praharaNasya ca-upayukta-prastara-pratipatti-tvena kRtArTa-tvAt
   "darśapūrṇamāsābhyāmiṣṭvā somena yajete"tivatkālārthaḥ saṃbandhaḥ /	"darSa-pUrNamAsAByAm-izwvA somena yajeta-i"ti-vat-kAla-arTaH saMbanDaH /
   tṛtīyā cetthaṃbhūtalakṣaṇaparā satī sūktavākasya kālikasaṃbandhena	tRtIyA cetTaMBUta-lakzaNa-parA satI sUktavAkasya kAlika-saMbanDena
   praharaṇopalakṣaṇatvenānvayaṃ bodhayantī nānupapannā /	praharaNa-upalakzaNa-tvena-anvayam boDayantI na-anupapannAH /
   na caivaṃ lakṣaṇā; tasyā api ānuśāsanikatvena śakyatvāt /	na ca-evam lakzaNA; tasyAH api AnuSAsanika-tvena Sakya-tvAt /
   ataścānuyājottaraṃ sūktavākapāṭhāttatkālaviśiṣṭaṃ prastaroddeśena	atas-ca-anuyAja-uttaram sUkta-vAka-pAWAt-tad-kAla-viSizwam prastara-uddeSena
   praharaṇameva vidhīyate, na tu sūktavākasya praharaṇāṅgatvamiti prāpte	praharaNam-eva viDIyate, na tu sUktavAkasya praharaNa-aFga-tvam-iti prApte
   -------- pracuraprayogāllāghavācca karaṇatva eva tṛtīyāyāḥ śaktirnatu	------- pracura-prayogAt-lAGavAt-ca karaNa-tvaH eva tRtIyAyAH SaktiH-natu
   itthaṃbhūtalakṣaṇe; tasyānuśāsanikatve 'pi lākṣaṇikatvenāpyupapatteḥ /	itTaMBUta-lakzaNe; tasya-anuSAsanika-tve api lAkzaNika-tvena-api-upapatteH /
   ataśca śrutyā praharaṇāṅgatvasyāpyavagateḥ	atas-ca SrutyA praharaNa-aFga-tvasya-api-avagateH
   praharatirmāntravarṇikadevatākalpanayā āśrayikarmarūpahomalakṣako na	praharatiH-mAntra-varNika-devatA-kalpanayA ASrayi-karma-rUpa-homa-lakzakaH na
   virudhyate /	viruDyate /
   ata eva sūktavākaeva yājyeti yāgaliṅgamapi saṅgacchate /	atas eva sUktavAka-A-iva yAjyA-iti yAga-liFgam-api saFgacCate /
   yadyapi ca nāsya mantratvādivadabhiyuktaprasiddhiviṣayatvākhyaṃ mukhyaṃ	yadi-api ca na-asya mantra-tva-Adi-vat-aBiyukta-prasidDi-vizaya-tva-AKyam muKyam
   yājyātvaṃ saṃbhavati, evakāropabaddhatvenaiva liṅgasya	yAjyA-tvam saMBavati, eva-kAra-upabadDa-tvena-eva liFgasya
   yājyātvāsādhakatvāt; tathāpi yāgasādhanatvamātreṇa	yAjyA-tvA-asADaka-tvAt; taTA-api yAga-sADana-tva-mAtreNa
   yājyātvavyapadeśādyāgaliṅgatvam /	yAjyA-tu-avyapadeSAt-yAga-liFga-tvam /
   ataśca śrutyā mantrasya praharaṇāṅgatve 'pi mukhyasāmarthyasya nātra	atas-ca SrutyA mantrasya praharaNa-aFga-tve api muKya-sAmarTyasya na-atra
   bādhaḥ; praharaṇe 'pi tadupapatteḥ // 5 // 20 //.// / iti pañcamaṃ	bADaH; praharaNe api tad-upapatteH // 5 // 20 //.// / iti paQcamam
   sūktavākāṅgatādhikaraṇam //	sUkta-vAka-aFgatA-aDikaraNam //
   <B2> darśapūrṇamāsayoriti //	<B2> darSa-pUrNamAsayoH-iti //
   mantrasya sāmānyasaṃbandhabodhakapramāṇapradarśanārthametaduktam /	mantrasya sAmAnya-saMbanDa-boDaka-pramANa-pradarSana-arTam-etat-uktam /
   "idaṃ dyāvāpṛthivī madramabhū"dityādi "namo devebhya" ityanto nigadarūpo	"idam dyAvApRTivI madram-aBU"t-ityAdi "namaH deveBya" iti-antaH nigada-rUpaH-
   mantraḥ sūktavākastasyaca sūktavākatvamagre vyaktīkariṣyate /	mantraH sUktavAkaH-tasya-ca sUktavAka-tvam-agre vyaktIkarizyate /
   tena mantreṇa prastaraṃ darbhamuṣṭimagnau prakṣipatīti vākyasyārthaḥ //	tena mantreNa prastaram darBa-muzwim-agnO prakzipati-iti vAkyasya-arTaH //
   tatra gauṇasāmarthyasya śrutisahāyatayā viniyojakatve 'bhihite	tatra gONa-sAmarTyasya Sruti-sahAya-tayA viniyojaka-tve aBihite
   mukhyasāmarthyasyāpi tatsahāyatānirūpaṇena pūrvoktasya	muKya-sAmarTyasya-api tad-sahAya-tA-nirUpaNena pUrva-uktasya
   kālārthasaṃyogasyehāpavādakaraṇenaca pādādhyāyāsaṅgatī tathā sūktavākasya	kAla-arTa-saMyogasya-iha-apavAda-karaNena-ca pAda-aDyAya-asaFgatI taTA sUktavAkasya
   kālopalakṣaṇatayānvayena kālārthaḥ saṃbandhaḥ hotrāsminmantre paṭhyamāne	kAla-upalakzaNa-tayA-anvayena kAla-arTaH saMbanDaH hotrA-asmin-mantre paWyamAne
   tatpāṭhakāle prastaraṃ praharediti, athavā sūktavākasya karaṇatayānvayena	tad-pAWa-kAle prastaram praharet-iti, aTavA sUktavAkasya karaNa-tayA-anvayena
   praharaṇāṅgamiti saṃśayaṃ ca spaṣṭatvādanuktvā pūrvapakṣamevāha --------	praharaNa-aFgam-iti saMSayam ca spazwa-tvAt-anuktvA pUrva-pakzam-eva-Aha --------
   tatreti //	tatra-iti //
   iṣṭadevateti //	izwadevatA-iti //
   ājyabhāgānūyājānteṣu karmasūddiṣṭā agnyādayo devatā ityarthaḥ /	Ajya-BAga-anUyA-jAntezu karmasu-uddizwAH agni-AdayaH devatAH iti-arTaH /
   upayukteti //	upayuktA-iti //
   "prastarejuhūmāsādayati sarvā vā struca" iti vākyena strugdhāraṇe	"prastarejuhUma-AsAdayati sarvAH vA struca" iti vAkyena stru-c-DAraNe
   upayuktaprastarapratipattitvenetyarthaḥ /	upayukta-prastara-pratipatti-tvena-iti-arTaH /
   kṛtārthatvameva hyākāṅkṣāvirahasaṃpādanenāṅgāṅgisaṃbandhavighaṭaka-	kRtArTa-tvam-eva hi-AkAFkzA-viraha-saMpAdanena-aFga-aFgi-saMbanDa-viGawaka-
   mityatastameva sūtropāttatayā hetumāha ------- kṛtārthatvāditi //	miti-atas-tam-eva sUtra-upAttatayA hetum-Aha ------ kRtArTa-tvAt-iti //
   evañca cāturthikanyāyena kālārthasaṃbandhaṃ dṛṣṭāntavyājena sādhayati	evaQca cAturTika-nyAyena kAla-arTa-saMbanDam dRzwAnta-vyAjena sADayati
   -------- darśapūrṇamāsābhyāmiti //	------- darSa-pUrNamAsAByAm-iti //
   yadyapyatra dṛṣṭānta iva kālārthasaṃbandhabodhakaḥ ktvāpratyayo nāsti;	yadi-api-atra dRzwAntaH iva kAla-arTa-saMbanDa-boDakaH ktvA-apratyayaH nAsti;
   tathāpi kṛtārthataiva pūrvoktarītyā kālārthatāpādane hetuḥ,	taTA-api kRtArTa-tA-eva pUrva-ukta-rItyA kAla-arTa-tA-ApAdane hetuH,
   ktvāpratyayastu kālaviśeṣe paurvāparyarūpe niyāmakamātramiti na doṣaḥ /	ktvA-apratyayaH-tu kAla-viSeze pOrvAparya-rUpe niyAmaka-mAtram-iti na dozaH /
   kathaṃ tarhi karaṇatvaparatṛtīyopapattirityata āha -------- tṛtīyā ceti /	kaTam tarhi karaNa-tva-paratRtIyA-upapattiH-iti-atas Aha ------- tRtIyA ca-iti /
   "itthaṃbhūtalakṣaṇe tṛtīye" tyanuśāsanena gamakatvarūpalakṣaṇārthatvena	"itTaMBUta-lakzaNe tRtIye" tyanuSAsanena gamaka-tva-rUpa-lakzaNa-arTa-tvena
   sūktavākavṛttigamakatvābhidhānāttasyaca tatkālīnatvasaṃpādanena	sUktavAka-vRtti-gamaka-tva-aBiDAnAt-tasya-ca tad-kAlIna-tva-saMpAdanena
   saṃbhavāttṛtīyopapattirityarthaḥ //	saMBavAt-tRtIya-upapattiH-iti-arTaH //
   lakṣaṇatvārthatve lakṣaṇāpattiṃ nirasyati ---------- nacaivamiti //	lakzaNatva-arTa-tve lakzaNa-Apattim nirasyati --------- na-ca-evam-iti //
   etena ------- yat jñānajanakatvarūpalakṣaṇatvābhidhānenaiva jñānakriyāyā	etena ------ yat jQAna-janaka-tva-rUpa-lakzaNa-tva-aBiDAnena-eva jQAna-kriyAyAH-
   upāttatvādanupāttajñānarūpakriyādvārā	upAtta-tvAt-anupAtta-jQAna-rUpa-kriyA-dvArA
   kriyāsaṃbandhasyopāttabhāvanānirūpitakaraṇatvāpekṣayā vilambitatvena	kriyA-saMbanDasya-upAtta-BAvanA-nirUpita-karaNa-tva-apekzayA vilambita-tvena
   kārakavibhaktyapekṣayā itthaṃbhūtatṛtīyāyā daurbalyaṃ	kAraka-viBakti-apekzayA itTaMBUta-tRtIyAyAH dOrbalyam
   pārthasārathyādibhiruktaṃ tat -------- apāstam; nāpi	pArTa-sAraTya-AdiBiH-uktam tat ------- apAstam; na-api
   gamakatvasyākārakatvāt dhātvarthānvayapratīteḥ	gamaka-tvasya-akAraka-tvAt DAtu-arTa-anvaya-pratIteH
   pradhānabhūtabhāvanānirūpitakārakatvāpekṣayā daurbalyam; akārakasyāpi	praDAna-BUta-BAvanA-nirUpita-kAraka-tva-apekzayA dOrbalyam; akArakasya-api
   nimittāderanuṣṭhāpyatvasaṃbandhena	nimitta-AdeH-anuzWApya-tva-saMbanDena
   bhāvanānvayavadgamakatvasyāpyekakāryakāraṇabhāvakalpanālāghavānurodhena	BAvanA-anvayavat-gamaka-tvasya-api-eka-kArya-kAraNa-BAva-kalpanA-lAGava-anuroDena
   svajanyabhāvanājñānaviṣayatāsaṃbandhena	sva-janya-BAvanA-jQAna-vizaya-tA-saMbanDena
   bhāvanānvayopapattestatkalpyatvāditi bhāvaḥ //	BAvanA-anvaya-upapatteH-tad-kalpya-tvAt-iti BAvaH //
   evañca pūrvoktapraiṣamantravadiha prakaraṇe mantrasyānvayānupapatterna	evaQca pUrva-ukta-prEza-mantra-vat-iha prakaraNe mantrasya-anvaya-anupapatteH-na
   tadaṅgatvaṃ mantrasya, nahi "idaṃ havirajuṣatāvīvṛdhata maho jyāyo	tad-aFga-tvam mantrasya, na-hi "idam haviH-ajuzatA-avIvRData mahaH jyAyo
   'kṛte"ti mantrabhāgasya puroḍāśasevayā vṛddho 'gniḥ svasminyajamāne	akRte"ti mantra-BAgasya puroxASa-sevayA vRdDaH agniH svasmin-yajamAne
   tejobāhulyaṃ kṛtavānityarthaḥ praharaṇe saṃbhavati;	tejaH-bAhulyam kRtavAn-iti-arTaH praharaNe saMBavati;
   bhūtanirdeśānupapatteḥ, pratipatteḥ devatānapekṣaṇācca, ataḥ kālārthaḥ	BUta-nirdeSa-anupapatteH, pratipatteH devatA-anapekzaNAt-ca, atas kAla-arTaH
   saṃbandha ityabhipretya pūrvapakṣamupasaṃharati --------- ataśceti //	saMbanDaH iti-aBipretya pUrva-pakzam-upasaMharati -------- atas-ca-iti //
   prastarapraharaṇasya barhiṣi prastarasādanānantaraṃ	prastara-praharaNasya barhizi prastara-sAdana-anantaram
   snugdhāraṇakāryārthatayā viniyuktaprastarapratipattirūpatayā vihitasya	snuh-DAraNa-kArya-arTa-tayA viniyukta-prastara-pratipatti-rUpa-tayA vihitasya
   strugdhāraṇakāryāniṣpatteranirjñātakālatvaṃ vyatirekeṇa sūcayitumasya	struc-DAraNa-kArya-anizpatteH-anirjQAta-kAla-tvam vyatirekeNa sUcayitum-asya
   nirjñātakālatvopapattyarthamanūyājottaramityuktam /	nirjQAta-kAla-tva-upapatti-arTam-anUyAja-uttaram-iti-uktam /
   ata evāha ---------- tatkālaviśiṣṭamiti //	atas eva-Aha --------- tad-kAla-viSizwam-iti //
   yadyapi gamakatve 'pi tṛtīyāyāḥ śaktiḥ, tathāpi praharati bhāvanāyā yathā	yadi-api gamaka-tve api tRtIyAyAH SaktiH, taTA-api praharati BAvanAyAH yaTA
   kārakākāṅkṣā na tathā gamakāpekṣayā, ata ākāṅkṣitānvayasiddhyarthaṃ	kAraka-AkAFkzA na taTA gamaka-apekzayA, atas AkAFkzita-anvaya-sidDi-arTam
   karaṇatvenaiva kṛtārthasyāpi nāsti vacanasyātibhāra iti	karaNa-tvena-eva kRtArTasya-api na-asti vacanasya-ati-BAraH iti
   nyāyenānvayāśravaṇaṃ yuktam /	nyAyena-anvaya-aSravaNam yuktam /
   kimuta tatrāpi śaktikalpane pramāṇābhāvāllakṣaṇaiveti vinā karaṇaṃ	kim-uta tatra-api Sakti-kalpane pramANa-aBAvAt-lakzaNA-eva-iti vinA karaNam
   tadāśrayaṇaṃ na yuktamiti cābhipretya siddhāntamāha -------- pracureti //	tad-ASrayaNam na yuktam-iti ca-aBipretya sidDAntam-Aha ------- pracura-iti //
   yattu -------- praharaṇabhāvanāyāmanvayāyogyatvamuktam, tat ajuṣatetyasya	yat-tu ------- praharaNa-BAvanAyAm-anvayA-yogya-tvam-uktam, tat ajuzata-iti-asya
   puroḍāśādiviṣayatve 'pyagnyādiḥ puroḍāśādi sevitavān tena vṛddho	puroxASa-Adi-vizaya-tve api-agni-AdiH puroxASa-Adi sevitavAn tena vRdDaH-
   'gnistejobāhulyaṃ na kṛtavān //	agniH-tejaH-bAhulyam na kRtavAn //
   yattu yajamāna āyurādyāśāste tadanena pratyakṣanirdiṣṭena prastarākhyena	yat-tu yajamAnaH AyuH-Adi-ASAH-te tat-anena pratyakza-nirdizwena prastara-AKyena
   haviṣetyevamagrimeṇaikavākyatayā, athavā idaṃśabdena puroḍāśāderhutasya	havizA-iti-evam-agrimeNa-eka-vAkya-tayA, aTavA idaMSabdena puroxASa-AdeH-hutasya
   vyapadeśānupapattyā pratyakṣanirdiṣṭaprastarasyaiva	vyapadeSa-anupapattyA pratyakza-nirdizwa-prastarasya-eva
   parāmarśopapatterajuṣateti bhūtanirdeśasya "āśaṃsāyāṃ bhūtavacce"	parAmarSa-upapatteH-ajuzatA-iti BUta-nirdeSasya "a-ASaMsAyAm BUta-vat-ce"
   tyanuśāsanātsevanaṃ	tyanuSAsanAt-sevanam
   kurvityarthatayopapādanasaṃbhavādakiñcitkaramityabhipretyāha --------	kuru-iti-arTa-tayA-upapAdana-saMBavAt-akiQcitkaram-iti-aBipretya-Aha --------
   ataśceti //	atas-ca-iti //
   evamubhayavidhaliṅgasaṃbhave śrutisahāyasya prābalyaṃ sūcayituṃ	evam-uBayaviDa-liFga-saMBave Sruti-sahAyasya prAbalyam sUcayitum
   śrutyetyuktam /	SrutyA-iti-uktam /
   nanu praharaṇasya pratipattirūpatayā	nanu praharaNasya pratipatti-rUpa-tayA
   devatānapekṣaṇānmāntravarṇikadevatākalpanayāpi tatprakāśanāsaṃbhavātkathaṃ	devatA-anapekzaNAt-mAntra-varNika-devatA-kalpanayA-api tad-prakASana-asaMBavAt-kaTam
   mantrasyāṅgatvasaṃbhava ityata āha ------- praharatiriti //	mantrasya-aFga-tva-saMBavaH iti-atas Aha ------ praharatiH-iti //
   mantrasya kriyāprakāśanena tatsaṃbandhiprakāśanena vā karaṇatvāttadabhāve	mantrasya kriyA-prakASanena tad-saMbanDi-prakASanena vA karaNa-tvAt-tad-aBAve
   mantragatakaraṇatvānyathānupapattyā	mantra-gata-karaNa-tvAni-aTA-anupapattyA
   tadarthasyāṅgatvakalpanasyāvaśyakatvena prakṛte 'pi	tad-arTasya-aFga-tva-kalpanasya-AvaSyaka-tvena prakRte api
   śrutyavagatāṅgatānirvāhāya māntravarṇikadevatākalpanayā	Sruti-avagata-aFgatA-nirvAhAya mAntra-varNika-devatA-kalpanayA
   dravyadevatāsabandhātpraharatau	dravya-devatA-sa-banDAt-praharatO
   devatoddeśapūrvakadravyatyāgāṃśasyāpyajahatsvārthalakṣaṇā phalamukhatvānna	devatA-uddeSa-pUrvaka-dravya-tyAga-aMSasya-api-ajahatsva-arTa-lakzaNA Pala-muKa-tvAt-na
   virudhyata ityarthaḥ /	viruDyate iti-arTaH /
   tyāgāṃśaṃ prati dravyasya karaṇatvāt prastaramiti dvitīyānupapattiṃ	tyAga-aMSam prati dravyasya karaNa-tvAt prastaram-iti dvitIya-anupapattim
   parihartuṃ āśrayikarmarūpetyuktam /	parihartum ASrayi-karma-rUpA-iti-uktam /
   yathaiva sviṣṭakṛdyāgasya prakṣepāṃśenopayuktadravyasaṃskārakatvaṃ	yaTA-eva svizwakRt-yAgasya prakzepa-aMSena-upayukta-dravya-saMskAraka-tvam
   tyāgāṃśenādṛṣṭārthatvamevamihāpi tyāgāṃśenādṛṣṭārthatve 'pi prakṣepāṃśena	tyAga-aMSena-adRzwa-arTa-tvam-evam-iha-api tyAga-aMSena-adRzwa-arTa-tve api prakzepa-aMSena
   tatpratipattitvāttadupapattirityarthaḥ //	tad-pratipatti-tvAt-tat-upapattiH-iti-arTaH //
   ayañcātra viśeṣaḥ ------- sviṣṭakṛti	ayaQca-atra viSezaH ------ su-izwakRti
   yajipadārthāntargatoddeśāṃśasyānupayuktāgnisviṣṭakṛddevatāviṣayatvāt	yaji-padArTa-antargata-uddeSa-aMSasya-anupayukta-agni-svizwakRt-devatA-vizaya-tvAt
   tadaṃśepyārādupakārakatvameva, tadīyamantrāntargatoddeśāṃśena	tad-aMSa-Ipya-ArAt-upakAraka-tvam-eva, tadIya-mantra-antargata-uddeSa-aMSena
   tviṣṭadevatāsmārakatvena saṃskārakatvam, prakṛtetu mantrāṃśeneva	tu-izwadevatA-smAraka-tvena saMskAraka-tvam, prakRtetu mantra-aMSena-iva
   tyāgāṃśāntargatoddeśenāpīṣṭānāmeva devatātvātsaṃskārakatvameveti //	tyAga-aMSa-antargata-uddeSena-api-izwAnAm-eva devatA-tvAt-saMskAraka-tvam-eva-iti //
   yathāca yajamānakartṛkatyāgaviśiṣṭoddeśasya na yajivācyatvam, apitu	yaTA-ca yajamAna-kartRka-tyAga-viSizwa-uddeSasya na yaji-vAcya-tvam, apitu
   mantreṇa kriyamāṇasyaiveti nyāyasudhākārādīnāṃ lekhanam; tathā	mantreNa kriyamANasya-eva-iti nyAya-suDA-AkAra-AdInAm leKanam; taTA
   taddūṣaṇapuraḥ saraṃ yajamānakartṛkasyaiva tasya tadvācyatvaṃ caturthe	tad-dUzaNa-puras saram yajamAna-kartRkasya-eva tasya tat-vAcya-tvam caturTe
   vyaktīkariṣyate //	vyaktIkarizyate //
   atraca sūktavākasya karaṇamantratvānmantrāntena karmādiḥ sannipātya iti	atra-ca sUktavAkasya karaNa-mantra-tvAt-mantra-antena karma-AdiH sannipAtyaH iti
   vacanāt sūktavākapāṭhānantaramekaprastaradravyakahomānuṣṭhāne	vacanAt sUktavAka-pAWA-anantaram-eka-prastara-dravya-kahoma-anuzWAne
   arthāttadānantaryarūpakālalābhātkālārthatāpica prasaṅgādbhaviṣyatītyatra	arTAt-tad-Anantarya-rUpa-kAla-lABAt-kAla-arTa-tApi-ca prasaFgAt-Bavizyati-iti-atra
   bhaṭṭapādānāṃ siddhānte uktiriti sthite yannyāyasudhākṛto	Bawwa-pAdAnAm sidDAnte uktiH-iti sTite yat-nyAya-suDA-kRtaH-
   yājyāvatsūktavākasyāpi homakālaprayojyatvena	yAjyA-vat-sUktavAkasya-api homa-kAla-prayojya-tvena
   āhutyākhyahūyamānāvasthadravyasaṃbandhalakṣaṇaguṇayogādyājyātvena	Ahuti-AKya-hUyamAna-avasTa-dravya-saMbanDa-lakzaNa-guNa-yoga-Adi-AjyA-tvena
   stutiryukteti granthena prastarapraharaṇasya	stutiH-yuktA-iti granTena prastara-praharaNasya
   sūktavākapāṭhayaugapadyābhidhānaṃ, tadayuktameva; āgneyādiyāgeṣu pratyekaṃ	sUkta-vAka-pAWa-yOgapadya-aBiDAnaM, tat-ayuktam-eva; Agneya-Adi-yAgezu pratyekam
   devatātvenānvitānāmihāpi tathaiva devatātvāṅgīkāreṇa samuccayena	devatA-tvena-anvitAnAm-iha-api taTA-eva devatA-tva-aFgIkAreNa samuccayena
   jyotiṣṭomavadāvṛttyāpattāvapi "agniridaṃhavirajuṣate" tyādi	jyotizwoma-vat-AvRtti-ApattO=-api "agniH-idaMhavirajuzate" tyAdi
   tattaddevatāvācipadoccāraṇe satyeva tattaddevatoddeśena	tad-tad-devatA-vAci-pada-uccAraNe sati-eva tat-tad-devatA-uddeSena
   dravyatyāgānuṣṭhānāsaṃbhavena yaugapadyāsaṃbhavāt /	dravya-tyAga-anuzWAna-asaMBavena yOgapadya-asaMBavAt /
   nahi tadāvayavamātrapāṭhenāntyāvayavapadapāṭhābhāve	na-hi tadA-avayava-mAtra-pAWena-antya-avayava-pada-pAWA-BAve
   samastasūktavākajanyaprakāśanaṃ sidhdyati //	samasta-sUktavAka-janya-prakASanam siDdyati //
   vastutastu ---------- agnyādidevatāvidhikalpanāyāṃ pratyekamāgneyādiṣu	vastutas-tu --------- agni-Adi-devatA-viDi-kalpanAyAm pratyekam-Agneya-Adizu
   devatātvenānvitānāmapyagnyādīnāṃ samuccitānāmeva	devatA-tvena-anvitAnAm-api-agni-AdInAm samuccitAnAm-eva
   lāghavāddevatātvakalpanasya yuktatvāt	lAGavAt-devatA-tva-kalpanasya yukta-tvAt-
   tāvatāpyanantaritatattaddevatāprakāśanarūpaprayojanasiddherna yuktaṃ	tAvatA-api-anantarita-tad-tad-devatA-prakASana-rUpa-prayojana-sidDeH-na yuktam
   pratyekaṃ tatkalpanamiti	pratyekam tat-kalpanam-iti
   paraprayuktaprastarākhyadravyāntarānākṣepeṇaikasyaiva prastarasya	para-prayukta-prastara-AKya-dravya-antarAnAkzepeNa-ekasya-eva prastarasya
   tāvaduddeśena mantrapāṭhānantaraṃ sakṛttyāgānuṣṭhānapūrvakaṃ	tAvat-uddeSena mantra-pAWA-anantaram sakRt-tyAga-anuzWAna-pUrvakam
