   akāmakṛtapāpasya Par_8.1c	akAma-kRta-pApasya Par_8.1c
   pretībhūtaṃ dvijottamam Par_3.41b	pretIBUtam dvijottamam Par_3.41b
   prerayan kūpavāpīṣu Par_9.36a	prerayan kUpa-vApIzu Par_9.36a
   prokṣaṇāc chuddhitām iyuḥ Par_7.30d	prokzaNAt SudDitAm iyuH Par_7.30d
   prokṣaṇāc chuddhir iṣyate Par_7.28d	prokzaNAt SudDiH izyate Par_7.28d
   phalavṛṣkair alaṃkṛtam Par_1.6b	Pala-vRzkEH alaMkRtam Par_1.6b
   baddhā syād gaur mṛtā yadi Par_9.6d	badDA syAt gOH mRtA yadi Par_9.6d
   baddhvāpi tiṣṭhet paraśuṃ gṛhītvā Par_9.33d	badDvA-api tizWet paraSum gRhItvA Par_9.33d
   bandigograhaṇe tathā Par_3.29b	bandi-go-grahaNe taTA Par_3.29b
   bandigrāheṇa yā bhuktā Par_10.24a	bandi-grAheNa yA BuktA Par_10.24a
   bandigrāhe bhayārtā vā Par_10.16c	bandi-grAhe Baya-ArtA vA Par_10.16c
   bandhane rodhane 'pi vā Par_9.46b	banDane roDane api vA Par_9.46b
   bandhapāśasuguptāṅgo Par_9.32a	banDa-pASa-su-gupta-aFgaH Par_9.32a
   bandhumadhye vrataṃ tāsāṃ Par_9.58a	banDu-maDye vratam tAsAm Par_9.58a
   balākāṭiṭṭibhau vāpi Par_6.3a	balAkA-wiwwiBO vA-api Par_6.3a
   balād uddharate bilāt Par_4.33b	balAt udDarate bilAt Par_4.33b
   balīvardaṃ na yojayet Par_2.3b	balIvardam na yojayet Par_2.3b
   bāndhavānāṃ sajātīnāṃ Par_4.19a	bAnDavAnAm sa-jAtInAm Par_4.19a
   bāle prete ca saṃnyaste Par_3.10c	bAle prete ca saMnyaste Par_3.10c
   bālair nakulamārjārair Par_11.6a	bAlEH nakula-mArjArEH Par_11.6a
   bāhubhyāṃ śatakaṃ dadyād Par_5.16c	bAhuByAm Satakam dadyAt Par_5.16c
   bāhumātraḥ pramāṇataḥ Par_9.10b	bAhu-mAtraH pramANataH Par_9.10b
   brahmakūrcam ahorātraṃ Par_11.27c	brahmakUrcam ahorAtram Par_11.27c
   brahmakūrcaṃ tu pāvanam Par_11.5d	brahmakUrcam tu pAvanam Par_11.5d
   brahmakūrcaṃ pibed dvijaḥ Par_11.3b	brahmakUrcam pibet dvijaH Par_11.3b
   brahmakūrco dahet sarvaṃ Par_11.38a	brahmakUrcaH dahet sarvam Par_11.38a
   brahmakūrcopavāsena Par_6.31a	brahmakUrca-upavAsena Par_6.31a
   brahmakūrcopavāsena Par_11.26c	brahmakUrca-upavAsena Par_11.26c
   brahmaghnaṃ taṃ vinirdiśet Par_2.12b	brahma-Gnam tam vinirdiSet Par_2.12b
   brahmaghnaḥ sa khalūcyate Par_12.42(41)d	brahma-GnaH sa Kalu-ucyate Par_12.42(41)d
   brahmacaryavrate sthitā Par_4.31b	brahmacarya-vrate sTitA Par_4.31b
   brahmacārī gṛhe yeṣāṃ Par_3.18a	brahmacArI gRhe yezAm Par_3.18a
   brahmalokagatiḥ smṛtā Par_5.24b	brahma-loka-gatiH smRtA Par_5.24b
   brahmaviṣṇumaheśvarāḥ Par_1.20b	brahma-vizNu-maheSvarAH Par_1.20b
   brahmahatyādibhir martyo Par_12.50(49)a	brahmahatyA-AdiBiH martyaH Par_12.50(49)a
   brahmahatyāvrataṃ caret Par_12.74(73)d	brahmahatyA-vratam caret Par_12.74(73)d
   brahmahatyāṃ vyapohati Par_12.71(70)b	brahma-hatyAm vyapohati Par_12.71(70)b
   brahmahā tu vimucyate Par_12.74(73)b	brahma-hA tu vimucyate Par_12.74(73)b
   brāhmaṇatvaṃ ca gacchati Par_12.8d	brAhmaNa-tvam ca gacCati Par_12.8d
   brāhmaṇaś cet kṛṣiṃ kuryāt Par_2.8a	brAhmaNaH ced kRzim kuryAt Par_2.8a
   brāhmaṇas tu bhavec chūdraḥ Par_12.39(38)c	brAhmaNaH tu Bavet SUdraH Par_12.39(38)c
   brāhmaṇas tv anadhīyānas Par_8.16c	brAhmaNaH tu anaDIyAnaH Par_8.16c
   brāhmaṇasya tataḥ svayam Par_12.77(76)d	brAhmaNasya tatas svayam Par_12.77(76)d
   brāhmaṇasya pravakṣyāmi Par_12.7a	brAhmaNasya pravakzyAmi Par_12.7a
   brāhmaṇasya yadā bhuṅkte Par_11.18a	brAhmaNasya yadA BuFkte Par_11.18a
   brāhmaṇasya vraṇadvāre Par_6.48a	brAhmaNasya vraNa-dvAre Par_6.48a
   brāhmaṇaṃ yo 'vamanyate Par_6.59d	brAhmaNam yaH avamanyate Par_6.59d
   brāhmaṇaḥ kṣatriyo vaiśyaḥ Par_6.30c	brAhmaNaH kzatriyaH vESyaH Par_6.30c
   brāhmaṇaḥ kṣatriyo vaiśyaḥ Par_11.26a	brAhmaNaH kzatriyaH vESyaH Par_11.26a
   brāhmaṇā jaṅgamaṃ tīrthaṃ Par_6.61c	brAhmaNAH jaFgamam tIrTam Par_6.61c
   brāhmaṇā nāmadhārakāḥ Par_8.3d	brAhmaNAH nAmaDArakAH Par_8.3d
   brāhmaṇānāṃ prasādena Par_12.74(73)a	brAhmaNAnAm prasAdena Par_12.74(73)a
   brāhmaṇānāṃ prasūtau tu Par_3.3c	brAhmaNAnAm prasUtO tu Par_3.3c
   brāhmaṇānāṃ samarthā ye Par_8.11c	brAhmaNAnAm samarTAH ye Par_8.11c
   brāhmaṇānumataś caiva Par_7.11a	brAhmaNa-anumataH ca-eva Par_7.11a
   brāhmaṇān bhojayitvā tu Par_8.41/1a	brAhmaNAn BojayitvA tu Par_8.41/1a
   brāhmaṇān bhojayed daśa Par_12.59(58)d	brAhmaNAn Bojayet daSa Par_12.59(58)d
   brāhmaṇā yāni bhāṣante Par_6.62c	brAhmaNAH yAni BAzante Par_6.62c
   brāhmaṇārthe gavārthe vā Par_8.35a	brAhmaNa-arTe gavArTe vA Par_8.35a
   brāhmaṇārthe vipannānāṃ Par_3.29a	brAhmaNa-arTe vipannAnAm Par_3.29a
   brāhmaṇāṃs tān atikramya Par_8.29a	brAhmaNAn tAn atikramya Par_8.29a
   brāhmaṇāḥ pretasūtake Par_3.1d	brAhmaNAH preta-sUtake Par_3.1d
   brāhmaṇī kṣatriyā tathā Par_7.12d	brAhmaNI kzatriyA taTA Par_7.12d
   brāhmaṇīgamanena ca Par_1.67b	brAhmaNI-gamanena ca Par_1.67b
   brāhmaṇī tu yadā gacchet Par_10.29c	brAhmaNI tu yadA gacCet Par_10.29c
   brāhmaṇī tu yadā gacchet Par_10.34c	brAhmaNI tu yadA gacCet Par_10.34c
   brāhmaṇī brāhmaṇī tathā Par_7.11d	brAhmaNI brAhmaNI taTA Par_7.11d
   brāhmaṇī vaiśyajā tathā Par_7.13d	brAhmaNI vESya-jA taTA Par_7.13d
   brāhmaṇī śūdrajā tathā Par_7.14d	brAhmaNI SUdra-jA taTA Par_7.14d
   brāhmaṇena tu ghātitam Par_4.4d	brAhmaNena tu GAtitam Par_4.4d
   brāhmaṇena tu saṃskṛtaḥ Par_11.22b	brAhmaNena tu saMskRtaH Par_11.22b
   brāhmaṇena tu saṃskṛtaḥ Par_11.24b	brAhmaNena tu saMskRtaH Par_11.24b
   brāhmaṇena viśeṣataḥ Par_12.33(32)b	brAhmaNena viSezataH Par_12.33(32)b
   brāhmaṇebhyo nivedayet Par_6.69b	brAhmaNeByaH nivedayet Par_6.69b
   brāhmaṇe yadi kaṃcana Par_6.19b	brAhmaNe yadi kaMcana Par_6.19b
   brāhmaṇair upapāditam Par_6.53b	brAhmaNEH upapAditam Par_6.53b
   brāhmaṇair upapāditam Par_10.38d	brAhmaNEH upapAditam Par_10.38d
   brāhmaṇo jñānadurbalaḥ Par_3.45b	brAhmaNaH jQAna-durbalaH Par_3.45b
   brāhmaṇo jñānadurbalaḥ Par_12.56(55)b	brAhmaNaH jQAna-durbalaH Par_12.56(55)b
   brāhmaṇo nāvasīdati Par_1.38d	brAhmaNaH na-avasIdati Par_1.38d
   brāhmaṇo madamohitaḥ Par_7.7d	brAhmaNaH mada-mohitaH Par_7.7d
   brāhmaṇo yo 'nugacchati Par_3.43b	brAhmaNaH yaH anugacCati Par_3.43b
   brāhmaṇo yo 'nugacchati Par_3.44b	brAhmaNaH yaH anugacCati Par_3.44b
   brāhmaṇo vā bahuśrutaḥ Par_9.53d	brAhmaNaH vA bahu-SrutaH Par_9.53d
   brāhmaṇyam api tadvad dhi Par_8.19c	brAhmaNyam api tadvat Di Par_8.19c
   brūhi dharmasvarūpajña Par_1.18a	brUhi Darma-svarUpa-jQa Par_1.18a
   bhakṣayantīṃ na kathayet Par_8.33c	BakzayantIm na kaTayet Par_8.33c
   bhakṣyaṃ snehena pācitam Par_11.13b	Bakzyam snehena pAcitam Par_11.13b
   bhaginīṃ svasutāṃ tathā Par_10.9b	BaginIm sva-sutAm taTA Par_10.9b
   bhagno vā grīvapādayoḥ Par_9.38b	BagnaH vA grIva-pAdayoH Par_9.38b
   bhayād ajñānato 'pi vā Par_6.56d	BayAt ajQAnataH api vA Par_6.56d
   bhartā caiva caret kṛcchraṃ Par_10.33c	BartA ca-eva caret kRcCram Par_10.33c
   bhartāraṃ nopasarpati Par_4.14b	BartAram na-upasarpati Par_4.14b
   bhartāraṃ yānugacchati Par_4.32d	BartAram yA-anugacCati Par_4.32d
   bhartāraṃ yāvamanyate Par_4.16b	BartAram yA-avamanyate Par_4.16b
   bhavane tasya pāpī syāt Par_9.32c	Bavane tasya pApI syAt Par_9.32c
   bhavanty alpāyuṣas te vai Par_2.15a	Bavanti alpa-AyuzaH te vE Par_2.15a
   bhavanty alpāyuṣas te vai Par_5.25c	Bavanti alpa-AyuzaH te vE Par_5.25c
   bhaved dharmaḥ parāṅmukhaḥ Par_1.37d	Bavet DarmaH parAFmuKaH Par_1.37d
   bhaven mṛtyur akāmataḥ Par_8.1b	Bavet mRtyuH akAmatas Par_8.1b
   bhasmanā tu bhavec chuddhir Par_6.39a	BasmanA tu Bavet SudDiH Par_6.39a
   bhasmanā śudhyate kāṃsyaṃ Par_7.2a	BasmanA SuDyate kAMsyam Par_7.2a
   bhasmanā śudhyate kāṃsyaṃ Par_7.22c	BasmanA SuDyate kAMsyam Par_7.22c
   bhājane mukhaniḥsṛtam Par_11.40b	BAjane muKa-niHsRtam Par_11.40b
   bhājaneṣu ca tiṣṭhatsu Par_12.43(42)a	BAjanezu ca tizWatsu Par_12.43(42)a
   bhāṇḍastham antyajānāṃ tu Par_6.30a	BANxa-sTam antyajAnAm tu Par_6.30a
   bhāṇḍasthitam abhojyeṣu Par_11.25a	BANxa-sTitam aBojyezu Par_11.25a
   bhāradvājādikaṃ hatvā Par_6.7c	BAradvAja-Adikam hatvA Par_6.7c
   bhāraḥ praharaṇaṃ tathā Par_9.31b	BAraH praharaNam taTA Par_9.31b
   bhāvaduṣṭaṃ na bhuñjīta Par_6.38a	BAva-duzwam na BuQjIta Par_6.38a
   bhāskarasya karaiḥ pūtaṃ Par_12.22(21)a	BAskarasya karEH pUtam Par_12.22(21)a
   bhikṣārthī brahmaghātakaḥ Par_12.68(67)b	BikzA-arTI brahma-GAtakaH Par_12.68(67)b
   bhikṣukaṃ tu visarjayet Par_1.50d	Bikzukam tu visarjayet Par_1.50d
   bhikṣuke gṛham āgate Par_1.50b	Bikzuke gRham Agate Par_1.50b
   bhinnakakṣo yadā bhavet Par_9.37b	Binna-kakzaH yadA Bavet Par_9.37b
   bhiṣaṅmithyopacāre ca Par_9.46c	Bizaj-miTyA-upacAre ca Par_9.46c
   bhuktasnehānulepane Par_7.33b	Bukta-sneha-anulepane Par_7.33b
   bhuktaṃ śūdragṛhe yadi Par_11.20b	Buktam SUdra-gRhe yadi Par_11.20b
   bhuktocchiṣṭaṃ tathā snehaṃ Par_7.32c	Bukta-ucCizwam taTA sneham Par_7.32c
   bhuktvā cāndrāyaṇaṃ caret Par_1.51d	BuktvA cAndrAyaNam caret Par_1.51d
   bhuktvānnaṃ mucyate pāpād Par_12.61(60)c	BuktvA-annam mucyate pApAt Par_12.61(60)c
   bhuktvā rathyopasarpaṇe Par_12.18b	BuktvA raTyA-upasarpaNe Par_12.18b
   bhuṅkte 'jñānād dvijaśreṣṭhaś Par_6.32a	BuFkte ajQAnAt dvijaSrezWaH Par_6.32a
   bhuñjate ye dvijādhamāḥ Par_1.56b	BuQjate ye dvija-aDamAH Par_1.56b
   bhuñjānaś caiva yo vipraḥ Par_6.65c	BuQjAnaH ca-eva yaH vipraH Par_6.65c
   bhuñjāneṣu tu vipreṣu Par_12.42(41)a	BuQjAnezu tu viprezu Par_12.42(41)a
   bhuñjāno hi vaded yas tu Par_12.40(39)c	BuQjAnaH hi vadet yaH tu Par_12.40(39)c
   bhuñjīta saha sarvaiś ca Par_6.36c	BuQjIta saha sarvEH ca Par_6.36c
   bhuñjīyāc chūdrabhojanam Par_11.13d	BuQjIyAt SUdra-Bojanam Par_11.13d
   bhuñjīyād yāvakaudanam Par_10.19b	BuQjIyAt yAvaka-odanam Par_10.19b
   bhūmidoṣo na vidyate Par_6.42d	BUmi-dozaH na vidyate Par_6.42d
   bhūmihartā na śudhyati Par_12.52(51)d	BUmi-hartA na SuDyati Par_12.52(51)d
   bhṛgvagnimaraṇe caiva Par_3.10a	BRgu-agni-maraNe ca-eva Par_3.10a
   bheruṇḍacāṣabhāsāṃś ca Par_6.8a	BeruNxa-cAza-BAsAn ca Par_6.8a
   bhaikṣaṃ dadyāt punar jalam Par_1.53b	BEkzam dadyAt punar jalam Par_1.53b
   bhaikṣyacaryā vratāni ca Par_12.3b	BEkzya-caryA vratAni ca Par_12.3b
   bhojanaṃ parivarjayet Par_6.67b	Bojanam parivarjayet Par_6.67b
   bhojayet snātakān dvijaḥ Par_2.5d	Bojayet snAtakAn dvijaH Par_2.5d
   bhojyaṃ tan manur abravīt Par_11.19d	Bojyam tat manuH abravIt Par_11.19d
   bhojyaṃ bhavati tatkṣaṇāt Par_6.74b	Bojyam Bavati tad-kzaNAt Par_6.74b
   bhojyo viprair na saṃśayaḥ Par_11.23d	BojyaH viprEH na saMSayaH Par_11.23d
   bhojyo viprair na saṃśayaḥ Par_11.24d	BojyaH viprEH na saMSayaH Par_11.24d
   bhrātṛbhāryāṃ tathaiva ca Par_10.12d	BrAtR-BAryAm taTA-eva ca Par_10.12d
   makṣikākeśadūṣite Par_6.64d	makzikA-keSa-dUzite Par_6.64d
   magno vā kūpasaṃkaṭe Par_9.37d	magnaH vA kUpa-saMkawe Par_9.37d
   maṇipāṣāṇapātrāṇīty Par_7.26c	maNi-pAzANa-pAtrANi-iti Par_7.26c
   maṇḍūkaṃ bhakṣayitvā tu Par_11.11a	maNxUkam BakzayitvA tu Par_11.11a
   mattaḥ pramatta unmattaś Par_9.8c	mattaH pramattaH unmattaH Par_9.8c
   matsyaghātī samāpnuyāt Par_2.8d	matsya-GAtI samApnuyAt Par_2.8d
   madamohagatā nārī Par_10.31c	mada-moha-gatA nArI Par_10.31c
   madyapaś ca dvijaḥ kuryān Par_12.75(74)a	madyapaH ca dvijaH kuryAt Par_12.75(74)a
   madyamāṃsarataṃ nityaṃ Par_11.14a	madya-mAMsa-ratam nityam Par_11.14a
   madyamāṃsavivarjitān Par_11.15b	madya-mAMsa-vivarjitAn Par_11.15b
   madhuparke ca some ca Par_7.33c	maDuparke ca some ca Par_7.33c
   madhyasthaṃ praharadvayam Par_12.27(26)b	maDyasTam prahara-dvayam Par_12.27(26)b
   manastāpena śudhyeta Par_11.20c	manaH-tApena SuDyeta Par_11.20c
   manunā caivam ekena Par_9.51c	manunA ca-evam ekena Par_9.51c
   manuḥ kalpāntare 'ntare Par_1.21d	manuH kalpa-antare antare Par_1.21d
   manovākkāyakarmajaiḥ Par_12.50(49)b	manaH-vAk-kAya-karma-jEH Par_12.50(49)b
   manyante tāni devatāḥ Par_6.62d	manyante tAni devatAH Par_6.62d
   manvarthe 'pi ca vistṛtām Par_6.1d	manu-arTe api ca vistRtAm Par_6.1d
   mama bhartā mameti ca Par_3.35d	mama BartA mama-iti ca Par_3.35d
   maruto vasavo rudrā Par_12.24(23)a	marutaH vasavaH rudrA Par_12.24(23)a
   martyaloke prajāyate Par_9.60b	martya-loke prajAyate Par_9.60b
   mahat kāryoparodhena Par_6.58a	mahat kArya-uparoDena Par_6.58a
   mahānadyupasaṃgame Par_12.59(58)b	mahAnadI-upasaMgame Par_12.59(58)b
   mahānadyos tu saṃgame Par_5.2b	mahAnadyoH tu saMgame Par_5.2b
   mahāniśā tu vijñeyā Par_12.27(26)a	mahAniSA tu vijQeyA Par_12.27(26)a
   mahāpātakakārakaḥ Par_12.67(66)d	mahApAtaka-kArakaH Par_12.67(66)d
   mahiṣoṣṭranipātane Par_6.12b	mahiza-uzwra-nipAtane Par_6.12b
   mahiṣyuṣṭrīkapīs tathā Par_10.14b	mahizI-uzwrI-kapIH taTA Par_10.14b
   mahiṣyuṣṭrīkharīgāmī tv Par_10.15c	mahizI-uzwrI-KarI-gAmI tu Par_10.15c
   mahīṃ spṛṣṭvāgataṃ toyaṃ Par_7.32a	mahIm spRzwvA-Agatam toyam Par_7.32a
   mātaraṃ yadi gacchet tu Par_10.9a	mAtaram yadi gacCet tu Par_10.9a
   mātā caiva pitā caiva Par_7.6c	mAtA ca-eva pitA ca-eva Par_7.6c
   mātā pitros tu sūtakam Par_3.24b	mAtA pitroH tu sUtakam Par_3.24b
   mātur āptāṃ tu bhrātṛjām Par_10.12b	mAtuH AptAm tu BrAtR-jAm Par_10.12b
   mātulānīṃ sagotrāṃ ca Par_10.13a	mAtulAnIm sagotrAm ca Par_10.13a
   mātṛṣvasṛgame caivam Par_10.10c	mAtRzvasR-game ca-evam Par_10.10c
   mānastoketi mantrayet Par_11.34b	mAna-stokA-iti mantrayet Par_11.34b
   mānastoketi śaṃvatī Par_11.35d	mAna-stokA-iti SaMvatI Par_11.35d
   mānuṣāṇāṃ hitaṃ dharmaṃ Par_1.2a	mAnuzANAm hitam Darmam Par_1.2a
   mānuṣeṣu viśeṣataḥ Par_10.31b	mAnuzezu viSezataH Par_10.31b
   māyūraṃ khāḍgakaṃ tathā Par_11.42d	mAyUram KAxgakam taTA Par_11.42d
   mārutārkādisamyogāt Par_8.10c	mAruta-arka-Adi-samyogAt Par_8.10c
   mārutārkeṇa śudhyati Par_8.9b	mAruta-arkeNa SuDyati Par_8.9b
   mārutārkeṇa śudhyanti Par_7.34c	mAruta-arkeNa SuDyanti Par_7.34c
   mārute vāti vā bhṛśam Par_8.32b	mArute vAti vA BRSam Par_8.32b
   mārjāramakṣikākīṭa- Par_7.31a	mArjAra-makzikA-kIwa Par_7.31a
   mālākāra ivārāme Par_1.62c	mAlAkAraH iva-ArAme Par_1.62c
   māsadvayam athāpi vā Par_4.10b	mAsa-dvayam aTa-api vA Par_4.10b
   māsaṃ māsārdham eva vā Par_6.43b	mAsam mAsa-arDam eva vA Par_6.43b
   māsārdhaṃ māsam ekaṃ vā Par_4.10a	mAsa-arDam mAsam ekam vA Par_4.10a
   māsārdhena viśudhyati Par_6.43d	mAsa-arDena viSuDyati Par_6.43d
   māsi māsi rajas tasyāḥ Par_7.6a	mAsi mAsi rajaH tasyAH Par_7.6a
   muktakacchaśikho 'pi vā Par_12.16b	mukta-kacCa-SiKaH api vA Par_12.16b
   mucyate tatra kilbiṣāt Par_9.35d	mucyate tatra kilbizAt Par_9.35d
   mucyate tena pāpena Par_12.8c	mucyate tena pApena Par_12.8c
   mucyate brahmahatyāyā Par_8.35c	mucyate brahmahatyAyAH Par_8.35c
   mucyate sarvakilbiṣaiḥ Par_12.50(49)d	mucyate sarva-kilbizEH Par_12.50(49)d
   muñjopaskaraśūrpāṇāṃ Par_7.29a	muQja-upaskara-SUrpANAm Par_7.29a
   munibhiḥ parikīrtitaḥ Par_11.48b	muniBiH parikIrtitaH Par_11.48b
   munimukhyagaṇāvṛtam Par_1.8d	muni-muKya-gaNa-AvRtam Par_1.8d
   munimukhyaḥ parāśaraḥ Par_1.18d	muni-muKyaH parASaraH Par_1.18d
   munivaktrodgatān dharmān Par_6.35a	muni-vaktra-udgatAn DarmAn Par_6.35a
   munīnām ātmavidyānāṃ Par_8.13a	munInAm Atma-vidyAnAm Par_8.13a
   mūḍhagarbhavimocane Par_9.45b	mUXa-garBa-vimocane Par_9.45b
   mūtram ekapalaṃ dadyād Par_11.30c	mUtram eka-palam dadyAt Par_11.30c
   mūrkhaḥ paṇḍita eva vā Par_1.40b	mUrKaH paNxitaH eva vA Par_1.40b
   mūrkhā dharmam atadvidaḥ Par_8.5b	mUrKAH Darmam atadvidaH Par_8.5b
   mūrchitaḥ patito vāpi Par_9.11a	mUrCitaH patitaH vA-api Par_9.11a
   mūlacchedaṃ na kārayet Par_1.62b	mUla=-Cedam na kArayet Par_1.62b
   mūṣikāmāṃsam eva ca Par_11.11b	mUzikA-mAMsam eva ca Par_11.11b
   mṛgapakṣininādāḍhyaṃ Par_1.7a	mRga-pakzi-ninAda-AXyam Par_1.7a
   mṛgarohidvarāhāṇām Par_6.14a	mRga-rohit-varAhANAm Par_6.14a
   mṛṇmaye dahanāc chuddhir Par_7.27c	mRNmaye dahanAt SudDiH Par_7.27c
   mṛtasūtakapuṣṭāṅgo Par_12.37(36)a	mRta-sUtaka-puzwa-aFgaH Par_12.37(36)a
   mṛtenāpi surāṅganāḥ Par_3.37b	mRtena-api sura-aFganAH Par_3.37b
   mṛte bhartari golakaḥ Par_4.23d	mRte Bartari golakaH Par_4.23d
   mṛte bhartari yā nārī Par_4.31a	mRte Bartari yA nArI Par_4.31a
   mṛte 'vyakte gate patau Par_10.28d	mRte avyakte gate patO Par_10.28d
   mṛdunā dāruṇena vā Par_7.37b	mRdunA dAruNena vA Par_7.37b
   mṛdbhāṇḍaṃ tu visarjayet Par_6.46d	mRd-BANxam tu visarjayet Par_6.46d
   medhyaṃ bhūmigataṃ jalam Par_10.41b	meDyam BUmi-gatam jalam Par_10.41b
   medhyāmedhyaṃ spṛśanto 'pi Par_7.31c	meDya-ameDyam spRSantaH api Par_7.31c
   maithune pretadhūme ca Par_12.1c	mETune preta-DUme ca Par_12.1c
   mohād bhuñjīta yas tatra Par_11.8a	mohAt BuQjIta yaH tatra Par_11.8a
   maunavrataṃ samāśritya Par_12.40(39)a	mOna-vratam samASritya Par_12.40(39)a
   mriyate yadi gopaśuḥ Par_9.32b	mriyate yadi gopaSuH Par_9.32b
   yakṣagandharvasiddhaiś ca Par_1.7c	yakza-ganDarva-sidDEH ca Par_1.7c
   yac ca lālāhataṃ bhavet Par_6.72d	yat ca lAlA-hatam Bavet Par_6.72d
   yac chidraṃ yajñakarmaṇi Par_6.52d	yat Cidram yajQa-karmaNi Par_6.52d
   yajeta vāśvamedhena Par_12.72(71)a	yajeta vA-aSvameDena Par_12.72(71)a
   yajñapātraṃ tato nyaset Par_5.18d	yajQa-pAtram tatas nyaset Par_5.18d
   yajñeṣu camasā yathā Par_10.41d	yajQezu camasAH yaTA Par_10.41d
   yatiś ca brahmacārī ca Par_1.51a	yatiH ca brahmacArI ca Par_1.51a
   yatihaste jalaṃ dadyād Par_1.53a	yati-haste jalam dadyAt Par_1.53a
   yat tu sātapavarṣeṇa Par_12.11a	yat tu sa-Atapa-varzeNa Par_12.11a
   yat toyaṃ pibati dvijaḥ Par_6.27b	yat toyam pibati dvijaH Par_6.27b
   yat tv asthigataṃ pāpaṃ Par_11.37c	yat tu asTi-gatam pApam Par_11.37c
   yatne kṛte vipadyeta Par_9.45c	yatne kRte vipadyeta Par_9.45c
   yat pāpaṃ brahmahatyāyāṃ Par_4.20a	yat pApam brahmahatyAyAm Par_4.20a
   yatra tiṣṭhaty ayantritam Par_12.49(48)b	yatra tizWati ayantritam Par_12.49(48)b
   yatra bhaikṣacarā dvijāḥ Par_1.60b	yatra BEkza-carAH dvijAH Par_1.60b
   yatra yatra hataḥ śūraḥ Par_3.31a	yatra yatra hataH SUraH Par_3.31a
   yatra veśmani tiṣṭhati Par_6.34b	yatra veSmani tizWati Par_6.34b
   yathā kālena śudhyati Par_3.22d	yaTA kAlena SuDyati Par_3.22d
   yathā kāṣṭhamayo hastī Par_8.16a	yaTA kAzWa-mayaH hastI Par_8.16a
   yathā kūpas tu nirjalaḥ Par_8.17b	yaTA kUpaH tu nirjalaH Par_8.17b
   yathā gaur ūṣarāphalā Par_8.18b	yaTA gOH UzarAPalA Par_8.18b
   yathā carmamayo mṛgaḥ Par_8.16b	yaTA carma-mayaH mRgaH Par_8.16b
   yathā cājñe 'phalaṃ dānaṃ Par_8.18c	yaTA ca-ajQe aPalam dAnam Par_8.18c
   yathā te brahmacāriṇaḥ Par_4.31d	yaTA te brahmacAriNaH Par_4.31d
   yathā dahanasaṃskāras Par_5.23c	yaTA dahana-saMskAraH Par_5.23c
   yathādhyayanakarmāṇi Par_12.[82](81)a	yaTA-aDyayana-karmANi Par_12.[82](81)a
   yathā parāśareṇoktaṃ Par_6.68a	yaTA parASareNa-uktam Par_6.68a
   yathā bhūmis tathā nārī Par_10.23c	yaTA BUmiH taTA nArI Par_10.23c
   yathāśmani sthitaṃ toyaṃ Par_8.9a	yaTA-aSmani sTitam toyam Par_8.9a
   yathā ṣaṇḍho 'phalaḥ strīṣu Par_8.18a	yaTA zaNXaH aPalaH strIzu Par_8.18a
   yathā hutam anagnau ca Par_8.17c	yaTA hutam anagnO ca Par_8.17c
   yad annaṃ pratiṣiddhaṃ syād Par_6.67c	yat annam pratizidDam syAt Par_6.67c
   yadi klībaṃ na bhāṣate Par_3.31d	yadi klIbam na BAzate Par_3.31d
   yadi garbho vipadyeta Par_3.15a	yadi garBaH vipadyeta Par_3.15a
   yadi jānāsi bhaktiṃ me Par_1.11c	yadi jAnAsi Baktim me Par_1.11c
   yadi jīvati ṣaṇmāsān Par_9.19c	yadi jIvati zaz-mAsAn Par_9.19c
   yadi tatra bhavet kāṣṭhaṃ Par_9.35a	yadi tatra Bavet kAzWam Par_9.35a
   yadi na kṣipate toyaṃ Par_6.28a	yadi na kzipate toyam Par_6.28a
   yadi patnyāṃ prasūtāyāṃ Par_3.25a	yadi patnyAm prasUtAyAm Par_3.25a
   yadi bhuktaṃ tu vipreṇa Par_11.1c	yadi Buktam tu vipreNa Par_11.1c
   yadi bhuktaṃ tu vipreṇa Par_11.5a	yadi Buktam tu vipreNa Par_11.5a
   yadi vipraḥ ṣaḍaṅgavit Par_3.25d	yadi vipraH zaxaFga-vid Par_3.25d
   yadi sarvaṃ na śakyate Par_12.33(32)d	yadi sarvam na Sakyate Par_12.33(32)d
   yad dānaṃ dīyate tasmai Par_12.51(50)c	yat dAnam dIyate tasmE Par_12.51(50)c
   yady asaṃpūrṇasargāṅgo Par_9.22a	yadi asaMpUrNa-sarga-aFgaH Par_9.22a
   yady eko 'pi tyajet pātraṃ Par_11.7c	yadi ekaH api tyajet pAtram Par_11.7c
   yady eko 'pi vaded dvijaḥ Par_6.60d	yadi ekaH api vadet dvijaH Par_6.60d
   yad vadanti tamomūḍhā Par_8.5a	yat vadanti tamaH-mUXA Par_8.5a
   yantritā gauś cikitsārthaṃ Par_9.45a	yantritAH gOH cikitsA-arTam Par_9.45a
   yayā ca parividyate Par_4.25b	yayA ca parividyate Par_4.25b
   yavasaś copahartavyo Par_9.20c	yavasaH ca-upahartavyaH Par_9.20c
   yaś cātmānaṃ nivedayet Par_11.21d	yaH ca-AtmAnam nivedayet Par_11.21d
   yas tāṃ samudvahet kanyāṃ Par_7.7c	yaH tAm samudvahet kanyAm Par_7.7c
   yas tilair tarpayet pitṝn Par_12.14b	yaH tilEH tarpayet pitLn Par_12.14b
