   [I. dānapāramitā]	[I. dAna pAramitA]
   bālakeṣu tīvrasnehapratibandhaśokaduṣkhavegāt | evaṃ govaḍavājaiḍakādiṣu	bAlakezu tIvra sneha pratibanDa Soka duzKa vegAt | evam go vaxa vAja exaka Adizu
   prakṛtisāvadyaḥ kāmamithyācāraḥ kharataravipākaḥ paṭhyate | tāsām eva	prakRti sAvadyaH kAma miTyA AcAraH Karatara vipAkaH paWyate | tAsAm eva
   govaḍavādīnāṃ taptāyomayīnāṃ akuśalanirmitānāṃ yonimārgeṇa sa	go vaxavAdInAm tapta ayaH mayInAm akuSala nirmitAnAm yoni mArgeNa sa
   tiryakkāmasevī praviśati | sa tāsām udare pradīptāṅgāranikaraparipūrṇe	tiryakkAma sevI praviSati | sa tAsAm udare pradIpta aFgAra nikara paripUrNe
   svidyate pacyate bahūni varṣaśatasahasrāṇīti vistareṇa draṣṭavyaṃ ||	svidyate pacyate bahUni varza Sata sahasrANi iti vistareNa drazwavyam ||
   evam anyanāśitāsv api bhikṣuṇīṣu vipratipannānāṃ mahānarakapātanāḥ	evam anya nASitAsu api BikzuNIzu vipratipannAnAm mahA naraka pAtanAH
   paṭhyante | evaṃ svastrīṣv apy ayonimārgeṇa gacchataḥ | evaṃ	paWyante | evam svastrIzu api ayoni mArgeNa gacCataH | evam
   prasahyānītāsv api parastrīṣu labdhāsu ca kanyāsu | evam upavāsasthāsu	prasahya AnItAsu api para strIzu labDAsu ca kanyAsu | evam upavAsa sTAsu
   evaṃ gurūṇāṃ patnīṣu jñātiśabdamānitāsu ca vipratipatteḥ tīvrāś	evam gurUNAm patnIzu jQAti Sabda mAnitAsu ca vipratipatteH tIvra AS
   cāparimāṇāś ca mahānarakapātanāḥ paṭhyante ||	ca aparimANAH ca mahAnaraka pAtanAH paWyante ||
   saptamaithunasaṃyuktasūtre 'py āha | iha brāhmaṇa ekatyo brahmacāriṇam	sapta mETuna saMyukta sUtre api Aha | iha brAhmaNaH ekatyaH brahmacAriNam
   ātmānaṃ pratijāṇīte | sa nehaiva mātṛgrāmeṇa sārddhaṃ dvayaṃ samāpadyate	AtmAnam pratijANIte | sa na iha eva mAtR grAmeNa sArdDam dvayam samApadyate
   'pi tu mātṛgrāmaṃ cakṣuṣā rūpaṃ nidhyāyan paśyati | sa tadā svādayati	api tu mAtR grAmam cakzuzA rUpam niDyAyan paSyati | sa tadA svAdayati
   adhyavasyati adhyavasāya tiṣṭhati | ayam ucyate brāhmaṇa brahmacārī	aDyavasyati aDyavasAya tizWati | ayam ucyate brAhmaNa brahmacArI
   saṃyukto maithunena dharmeṇa na visaṃyuktaḥ | apariśuddhaṃ brahmacaryaṃ	saMyuktaH mETunena DarmeNa na visaMyuktaH | apariSudDam brahmacaryam
   carati ||	carati ||
   evaṃ mātṛgrāmeṇa sārddhaṃ saṃkrīḍataḥ saṃkilikilāyamānasya āsvādayataḥ	evam mAtR grAmeNa sArdDam saMkrIxataH saMkili kilAyamAnasya AsvAdayataH
   apariśuddhaṃ brahmacaryam uktaṃ | evaṃ mātṛgrāmāpasthānam āsvādayataḥ |	apariSudDam brahmacaryam uktam | evam mAtR grAma apasTAnam AsvAdayataH |
   evaṃ tiraḥkuḍyagatasya tiroduṣyagatasya vā mātṛgrāmasya nṛttagītādiśabdam	evam tiras kuxya gatasya tiras duzya gatasya vA mAtR grAmasya nRtta gIta Adi Sabdam
   āsvādayato maithunasaṃyogam ity uktam | evaṃ pañcakāmaguṇasamarpitaṃ param	AsvAdayataH mETuna saMyogam iti uktam | evam paQca kAma guNa samarpitam param
   avalokyāsvādayataḥ ||	avalokya AsvAdayataH ||
   evaṃ devādisthāneṣu brahmacaryapariṇāmanāt saṃyukto maithunena dharmeṇa na	evam deva Adi sTAnezu brahmacarya pariNAmanAt saMyuktaH mETunena DarmeNa na
   visaṃyukta iti ||	visaMyuktaH iti ||
   yataś caite kāmā evaṃ smaraṇaprārthanāviṣayam api gatā evam annarthakarās	yatas ca ete kAmAH evam smaraNa prArTanA vizayam api gatA evam annarTa karAH 
   tenaiva kāmāpavādakasūtre 'bhihitam | nivāraya bhikṣo cittaṃ kāmebhyaḥ |	tena eva kAma apavAdaka sUtre aBihitam | nivAraya Bikzo cittam kAmeByaH |
   sabhayaś caiṣa mārgaḥ sapratibhayaḥ sakaṇṭakaḥ sagahanaḥ unmārgaḥ kumārgo	sa BayaH ca eza mArgaH sa pratiBayaH sa kaNwakaH sa gahanaH unmArgaH ku mArgaH 
   vedanāpathaḥ | asatpuruṣasaṃsevitaḥ | naiṣa mārgaḥ satpuruṣasaṃsevitaḥ |	vedanA paTaH | asat puruza saMsevitaH | na eza mArgaH sat puruza saMsevitaH |
   na tvam evaṃ cintayasi | kasmāt alpāsvādāḥ kāmā uktā bhagavatā |	na tvam evam cintayasi | kasmAt alpa AsvAdAH kAmAH uktA BagavatA |
   bahuduṣkhabahūpadravā bahūpāyāsā | ādīnavo 'tra bhūyān | rogo bhikṣavaḥ	bahu duzKa bahu upadravAH bahu upAyAsA | AdInavaH atra BUyAn | rogaH BikzavaH
   kāmā gaṇḍaḥ śalyamadyamadyamūlam āmiṣavaḍisaṃ mṛtyur anityāḥ kāmās tucchāḥ	kAmAH gaNxaH Salya madya madya mUlam Amiza vaxisam mRtyuH anityAH kAmAH tucCAH
   mṛṣāmoṣadharmiṇaḥ svapnopamāḥ kāmāḥ | kim apy ete bālollāpanāḥ || pe ||	mRzAm oza DarmiNaH svapna upamAH kAmAH | kim api ete bAla ullApanAH || pe ||
   yathā mṛgāṇāṃ bandhanāya kūṭaṃ dvijānāṃ bandhanāya jālaṃ | matsyānāṃ	yaTA mRgANAm banDanAya kUwam dvijAnAm banDanAya jAlam | matsyAnAm
   bandhanāya kupinaṃ | markaṭānāṃ bandhanāya lepaḥ pataṅgānāṃ	banDanAya kupinam | markawAnAm banDanAya lepaH pataFgAnAm
   bandhanāyāgniskandhaḥ | evaṃ kāmāḥ || pe ||	banDanAya agni skanDaH | evam kAmAH || pe ||
   kāmaparyeṣaṇāṃ carato dīrgharātraṃ siṃhānāṃ mukhe parivartitasyānto na	kAma paryezaNAm carataH dIrGarAtram siMhAnAm muKe parivartitasya antaH na
   prajñāyate | yāvad goghātakānāṃ gavāsanānāṃ mukhe parivartitasyānto na	prajQAyate | yAvat go GAtakAnAm gavAsanAnAm muKe parivartitasya antaH na
   prajñāyate | yāvan maṇḍūkānāṃ satāṃ sarpāṇāṃ mukhe parivartitasyānto na	prajQAyate | yAvat maNxUkAnAm satAm sarpANAm muKe parivartitasya antaH na
   prajñāyate | dīrgharātraṃ kāmān pratisevamānānāṃ corā iti kṛtvā gṛhītānāṃ	prajQAyate | dIrGarAtram kAmAn pratisevamAnAnAm corAH iti kRtvA gRhItAnAm
   śiraśchinnānām anto na prajñāyate | pāradārikāḥ pāripanthikā grāmaghātakā	SiraH CinnAnAm antaH na prajQAyate | pAradArikAH pAripanTikA grAma GAtakA
   janapadaghātakā yāvad granthimocakā iti kṛtvā gṛhītānāṃ śiraśchinnānām	janapada GAtakAH yAvat granTimocakAH iti kRtvA gRhItAnAm SiraH CinnAnAm
   anto na prajñāyate | duṣkhaṃ tīvraṃ kharaṃ kaṭukam anubhūtaṃ rudhiraṃ	antaH na prajQAyate | duzKam tIvram Karam kawukam anuBUtam ruDiram
   prasyanditaṃ pragharitaṃ yac caturṣu mahāsamudreṣūdakāt prabhūtataraṃ ||	prasyanditam praGaritam yat caturzu mahA samudrezu udakAt praBUtataram ||
   pe ||	pe ||
   kāyo hy ayaṃ bahvādīnavaḥ | asthisaṃghātaḥ snāyusaṃbaddho māṃsenānuliptaḥ	kAyaH hi ayam bahu AdInavaH | asTi saMGAtaH snAyu saMbadDaH mAMsena anuliptaH
   carmaṇā paryavanaddhaḥ chavyā praticchannaḥ chidravicchidraḥ	carmaNA paryavanadDaH CavyA praticCannaH Cidra vicCidraH
   kṛmisaṃghaniṣevitaḥ satvānām annarthakaḥ kleśakarmaṇāṃ vastu ||	kRmi saMGa nizevitaH satvAnAm annarTakaH kleSa karmaNAm vastu ||
   asmin kāye vividhā ābādhā utpadyante | tad yathā cakṣūrogaḥ śrotrarogo	asmin kAye viviDAH AbADAH utpadyante | tat yaTA cakzUrogaH Srotra rogaH 
   yāvad arśāṃsi piṭako bhagandaraḥ || pe ||	yAvat arSAMsi piwakaH BagandaraH || pe ||
   kāyikāḥ santāpāḥ kāyikaṃ duṣkhaṃ | kāyasya jīrṇatā bhagnatā kubjatā |	kAyikAH santApAH kAyikam duzKam | kAyasya jIrNa tA Bagna tA kubjatA |
   khālityaṃ pālityaṃ valipracuratā | indriyāṇāṃ pāripākaḥ paribhedaḥ	KAlityam pAlityam vali pracura tA | indriyANAm pAripAkaH pariBedaH
   saṃskārāṇāṃ purāṇībhāvo jarjarībhāvaḥ | yāvan nārhasy evam udgharantaṃ	saMskArANAm purANIBAvaH jarjarIBAvaH | yAvat na arhasi evam udGarantam
   pragharantaṃ jugupsanīyaṃ kāyaṃ pratiṣevituṃ || pe ||	praGarantam jugupsanIyam kAyam pratizevitum || pe ||
   kā tava bhikṣo kāmāśāntiḥ | kaś ca tvāṃ pralobhayati | kathaṃ ca tvaṃ	kA tava Bikzo kAma aSAntiH | kaH ca tvAm praloBayati | kaTam ca tvam
   prāhito mūrchito 'dhyavasito 'dhyavasānam āpannaḥ | yadāhaṃ parinirvṛto	prAhitaH mUrCitaH aDyavasitaH aDyavasAnam ApannaH | yadA aham parinirvRtaH 
   bhavāmi | saddharmaś cāntarhito bhavati | tvaṃ ca kāmān pratisevya	BavAmi | sadDarmaH ca antarhitaH Bavati | tvam ca kAmAn pratisevya
   vinipātagato bhaviṣyasi | kadā jarāmaraṇād ātmānaṃ parimocayiṣyasi ||	vinipAta gataH Bavizyasi | kadA jarA maraNAt AtmAnam parimocayizyasi ||
   alaṃ bhikṣo nivāraya cittaṃ kāmebhyaḥ | akālaḥ kāmaparyeṣaṇāyāḥ | kālo	alam BikzaH nivAraya cittam kAmeByaH | akAlaH kAma paryezaNAyAH | kAlaH 
   'yaṃ dharmaparyeṣaṇāyā iti ||	ayam Darma paryezaNAyAH iti ||
   ugradattaparipṛcchāyām apy āha | tena kāmamithyācārāt prativiratena	ugra datta paripRcCAyAm api Aha | tena kAma miTyA AcArAt prativiratena
   bhavitavyaṃ svadārasaṃtuṣṭena paradārānabhilāṣiṇāraktanetraprekṣiṇā	Bavitavyam sva dAra saMtuzwena para dAra anaBilAziNA rakta netra prekziNA
   nirviṇṇamanasā | ekāntaduṣkhāḥ kāmā | ity abhīkṣṇaṃ manasikāraprayuktena |	nirviNNa manasA | ekAnta duzKAH kAmAH | iti aBIkzNam manasikAra prayuktena |
   yadāpy asya svadāreṣu kāmavitarka utpadyeta | tadāpi tena svadāreṣv	yadA api asya sva dArezu kAma vitarkaH utpadyeta | tadA api tena sva dArezu 
   aśubhānudarśinā uttrastamanasā | kleśavaśatayā kāmāḥ pratisevitavyāḥ | na	aSuBa anudarSinA uttrasta manasA | kleSa vaSa tayA kAmAH pratisevitavyAH | na
   tv adhyavasānavinibaddhena nityam anityānātmāśucisaṃjñinā | evaṃ cānena	tu aDyavasAna vinibadDena nityam anityAn Atma aSuci saMjQinA | evam ca anena
   smṛtir upasthāpyā | tathāhaṃ kariṣyāmi yathā saṃkalpair api kāmān na	smRtiH upasTApyAH | taTA aham karizyAmi yaTA saMkalpEH api kAmAn na
   paribhokṣye | kaḥ punar vādo dvīndriyasamāpattyā vānaṅgavijñaptyā veti ||	pariBokzye | kaH punar vAdaH dvi indriya samApattyA vA anaFga vijQaptyA vA iti ||
   punar atraivāha | bodhisatvena svabhāryāyā antike tisraḥ saṃjñā	punar atra eva Aha | boDisatvena sva BAryAyAH antike tisraH saMjQA
   utpādayitavyāḥ | katamās tisraḥ | ratikrīḍāsahāyikaiṣā naiṣā	utpAdayitavyAH | katamAH tisraH | rati krIxA sahAyikA ezA na ezA
   paralokasahāyikā | annapānasahāyikaiṣā naiṣā karmavipākānubhavanasahāyikā	para loka sahAyikA | anna pAna sahAyikA ezA na ezA karma vipAka anuBavana sahAyikA
   | sukhasahāyikaiṣā naiṣā duṣkhasahāyikā ||	| suKa sahAyikA ezA na ezA duzKa sahAyikAH ||
   yāvad aparās tisraḥ | śīlāntarāyasaṃjñā dhyānāntarāyasaṃjñā	yAvat aparAH tisraH | SIla antarAya saMjQA DyAna antarAya saMjQA
   prajñāntarāyasaṃjñā ||	prajQA antarAya saMjQA ||
   aparās tisraḥ | corasaṃjñā badhakasaṃjñā narakapālasaṃjñā iti ||	aparAH tisraH | cora saMjQAH baDaka saMjQAH nara kapAla saMjQAH iti ||
   candrottarādārikāparipṛcchāyām apy uktaṃ | atha candrottarādārikā	candra uttarAdArikA paripRcCAyAm api uktam | aTa candrottarAdArikA
   samanantaraṃ pradhāvantaṃ taṃ mahāntaṃ janakāyaṃ dṛṣṭvā tasyāṃ velāyāṃ	samanantaram praDAvantam tam mahAntam jana kAyam dRzwvA tasyAm velAyAm
   vihāyasāntarīkṣe tālamātram abhyudgamya sthitvā ca taṃ mahāntaṃ janakāyaṃ	vihAyasa antarIkze tAla mAtram aByudgamya sTitvA ca tam mahAntam jana kAyam
   gāthābhir adhyabhāṣata ||	gATABiH aDyaBAzata ||
   kāyaṃ mamekṣadhvam imaṃ manojñaṃ suvarṇavarṇaṃ jvalanaprakāśam | na	kAyam mama IkzaDvam imam manojQam suvarNa varNam jvalana prakASam | na
   raktacittasya hi mānuṣasya prajñāyate śobhanakaṃ śarīram ||	rakta cittasya hi mAnuzasya prajQAyate SoBanakam SarIram ||
   ye etv agnikarṣūpamasaṃpradīptān tyajanti kāmān viṣayeṣv agṛddhāḥ |	ye etu agni karzu upama saMpradIptAn tyajanti kAmAn vizayezu agRdDAH |
   ṣaḍindriyaiḥ saṃvarasaṃvṛtāś ca ye brahmacaryaṃ ca caranti śubham ||	zaz indriyEH saMvara saMvRtAH ca ye brahmacaryam ca caranti SuBam ||
   dṛṣṭvā ca dārān hi parasya ye vai kurvanti mātābhaginīti saṃjñāṃ |	dRzwvA ca dArAn hi parasya ye vE kurvanti mAtA aBaginI iti saMjQAm |
   prāsādikās te hi sudarśanīyā bhavanti nityaṃ paramaṃ manojñāḥ ||	prAsAdikAH te hi sudarSanIyAH Bavanti nityam paramam manojQAH ||
   sphuṭām imāṃ vettha purīṃ samantād yo romakūpān mama cātigandhaḥ | na	sPuwAm imAm vetTa purIm samantAt yaH romakUpAt mama ca atiganDaH | na
   rāgacittena mayārjito 'yam phalaṃ tu dānasya damasya cedam ||	rAga cittena mayA arjitaH ayam Palam tu dAnasya damasya ca idam ||
   na me samutpadyati rāgacittaṃ mā vītarāgāsu janīṣva rāgaṃ | sākṣī mamāyaṃ	na me samutpadyati rAga cittam mA vIta rAgAsu janIzva rAgam | sAkzI mama ayam
   purato munīndraḥ satyaṃ yathā vedmi na jātu mithyā ||	puratas muni indraH satyam yaTA vedmi na jAtu miTyA ||
   yūyaṃ ca pūrvaṃ pitaro mamāsa | ahaṃ ca yuṣmākam abhūj janitrī | bhrātā	yUyam ca pUrvam pitaraH mama Asa | aham ca yuzmAkam aBUt janitrI | BrAtA
   svasā cāpi pitā babhūva ko rāgacittaṃ janayej jananyāṃ ||	svasA ca api pitA baBUva kaH rAga cittam janayet jananyAm ||
   praghātitāḥ prāk ca mamātha sarve | ahaṃ viśastā ca purā bhavadbhiḥ |	praGAtitAH prAk ca mama aTa sarve | aham viSastA ca purA BavadBiH |
   sarve amitrā vadhakāḥ parasya | kathaṃ tu vā jāyati rāgacittam ||	sarve amitrAH vaDakAH parasya | kaTam tu vA jAyati rAga cittam ||
   na rūpavanto hi bhavanti rāgāt | na raktacittāḥ sugatiṃ vrajanti | na	na rUpavantaH hi Bavanti rAgAt | na rakta cittAH su gatim vrajanti | na
   nirvṛtiṃ yānti ca raktacittā rāgo hi tasmāt parivarjanīyaḥ ||	nirvRtim yAnti ca rakta cittAH rAgaH hi tasmAt parivarjanIyaH ||
   kāmasya hetor nirayaṃ patanti | pretās tiraśco 'tha bhavanti rāgāt |	kAmasya hetoH nirayam patanti | pretAH tiraScaH aTa Bavanti rAgAt |
   kumbhāṇḍayakṣā asurāḥ piśācā bhavanti ye rāgaparīttacittāḥ ||	kumBANxa yakzAH asurAH piSAcAH Bavanti ye rAga parItta cittAH ||
   kāṇāś ca khañjāś ca vijihvakāś ca | virūpakāś caiva bhavanti rāgāt |	kANAH ca KaQjAH ca vijihvakAH ca | virUpakAH ca eva Bavanti rAgAt |
   bhavanti nānāvidhadoṣabhājāś caranti ye kāmacarīṃ jaghanyām ||	Bavanti nAnAviDa doza BAjAH caranti ye kAma carIm jaGanyAm ||
   yac cakravartitvam avāpnuvanti | bhavanti śakrās tridaśeśvarāś ca |	yat cakravarti tvam avApnuvanti | Bavanti SakrAH tridaSa ISvarAH ca |
   brahmāṇa īśā [doubtful] vaśavarttinaś ca tad brahmacaryaṃ vipulaṃ caritvā	brahmANaH ISA [doubtful] vaSavarttinaH ca tat brahmacaryam vipulam caritvA
   jātyandhabhāvā vadhirā visaṃjñā | śvaśūkaroṣṭrāḥ kharavānarāś ca |	jAti anDa BAvAH vaDirAH visaMjQAH | Sva SUkara uzwrAH Kara vAnarAH ca |
   hastyaśvagovyāghrapataṅgamakṣāḥ bhavanti nityaṃ khalu kāmalolāḥ ||	hasti aSva go vyAGra pataFgam akzAH Bavanti nityam Kalu kAma lolAH ||
   kṣitīśvarāś caiva bhavanty udagrāḥ suśreṣṭhino vai gṛhapatyamātyāḥ |	kzitISvarAH ca eva Bavanti udagrAH suSrezWinaH vE gRhapatyamAtyAH |
   sukhasaumanasyena ca yānti vṛddhiṃ ye brahmacaryaṃ vipulaṃ caranti ||	suKa sOmanasyena ca yAnti vRdDim ye brahmacaryam vipulam caranti ||
   kabhallitāpān atha dhūmagārān bandhāṃs tathā tāḍanatarjjanāṃś ca | chedaṃ	kaBallita apAn aTa DUmagArAn banDAn taTA tAxana tart janAn ca | Cedam
   śiraḥ karṇakarākṣināsāḥ | pādasya cārcchanti hi kāmadāsā | iti ||	SiraH karNa kara akzi nAsAH | pAdasya ca arcCanti hi kAma dAsAH | iti ||
   udayanavatsarājaparipṛcchāyāṃ ca vivarṇitāḥ kāmāḥ ||	udayana vat sa rAja paripRcCAyAm ca vivarNitAH kAmAH ||
   dṛṣṭvā vraṇaṃ dhāvati makṣikā yathā | dṛṣṭvāśuciṃ dhāvati gardabho yathā |	dRzwvA vraNam DAvati makzikA yaTA | dRzwvA aSucim DAvati gardaBaH yaTA |
   śvānaś ca śūnā iva māṃsakāraṇāt | tathaiva dhāvanty abudhāḥ striye ratāḥ	SvAnaH ca SUnAH iva mAMsa kAraNAt | taTA eva DAvanti abuDAH striye ratAH
   avidyāpidhitā bālās tamaḥskandhane āvṛtāḥ | strīṣu saktās tathā mūḍhā	avidyA piDitAH bAlAH tamaH skanDane AvRtAH | strIzu saktAH taTA mUXA
   amedhya iva vāyasāḥ ||	ameDyaH iva vAyasAH ||
   mārasya gocaro hy eṣa prasthitā yena durgatiḥ | āsvādasaṃjñino gṛddhā	mArasya gocaraH hi eza prasTitA yena durgatiH | AsvAda saMjQinaH gRdDA
   mīṭasthāne yathā krimiḥ ||	mIwa sTAne yaTA krimiH ||
   kīṭakumbho yathā citro yatra yatraiva dṛśyate | pūrṇo mūtrapurīṣeṇa dṛtir	kIwa kumBaH yaTA citraH yatra yatra eva dRSyate | pUrNaH mUtra purIzeNa dRtiH 
   vā vātapūritā ||	vA vAta pUritAH ||
   siṅghāṇakakaphālālāḥ [doubtful] śleṣmaṇi klinnamastakāḥ | daurgandhyaṃ	siFGANaka kaPa AlAlAH [doubtful] SlezmaNi klinna mastakAH | dOrganDyam
   sravate kāyād bālānāṃ tad yathā madhu ||	sravate kAyAt bAlAnAm tat yaTA maDu ||
   asthipūrṇaṃ mukhadvāraṃ māṃsacarmādibhiś citaṃ | gaṇḍabhūto hy ayaṃ kāyaḥ	asTi pUrNam muKa dvAram mAMsa carma AdiBiH citam | gaNxa BUtaH hi ayam kAyaH
   kutsito hy āmagandhikaḥ ||	kutsitaH hi AmaganDikaH ||
   nānāprāṇibhiḥ saṃpūrṇo mukhagaṇḍo yathā bhavet | evam eva hy ayaṃ kāyo	nAnA prANiBiH saMpUrNaH muKa gaNxaH yaTA Bavet | evam eva hi ayam kAyaH 
   viṣṭhādyaśucibhājanam ||	vizWA Adi aSuci BAjanam ||
   antyāntrākulaṃ hy udaraṃ sayakṛtphupphuṣākulam | vṛkkau vilohitaṃ pittaṃ	antya antra Akulam hi udaram sa yakRt Pu pPuzA kulam | vRkkO vilohitam pittam
   mastaluṅgāsthimajjakam ||	masta luFga asTi majjakam ||
   aśītiṃ krimikulasahasrāṇi yāni tiṣṭhanti antare | aha bālā na paśyanti	aSItim krimi kula sahasrANi yAni tizWanti antare | aha bAlAH na paSyanti
   mohajālena āvṛtāḥ ||	moha jAlena AvRtAH ||
   navavraṇamukhaiḥ prasravanty aśuciṃ pūtigandhikam | bālā nimittaṃ gṛhṇanti	nava vraNa muKEH prasravanti aSucim pUtiganDikam | bAlAH nimittam gRhNanti
   vacane darśane 'pi ca ||	vacane darSane api ca ||
   uktāḥ paścān na jānanti yo deśaḥ sarvakutsitaḥ | uccāragocarā bālāḥ	uktAH paScAt na jAnanti yaH deSaH sarva kutsitaH | uccAra gocarAH bAlAH
   kheṭasiṅghāṇabhojinaḥ ||	Kewa siFGANa BojinaH ||
   jugupsanīye rajyante vraṇaṃ dṛṣṭveva makṣikāḥ | kakṣāsv āgharate svedo	jugupsanIye rajyante vraNam dRzwvA iva makzikAH | kakzAsu AGarate svedaH 
   gandho vāyati kutsitaḥ ||	ganDaH vAyati kutsitaH ||
   kurvanti duṣkṛtaṃ karma yena gacchanti durgatim | hīnān kāmān niṣevanto	kurvanti duzkRtam karma yena gacCanti durgatim | hInAn kAmAt nizevantaH 
   hīnān dharmān niṣevya ca ||	hInAn DarmAn nizevya ca ||
   gatvā avīciṃ duṣprajñāḥ duṣkhāṃ vindanti vedanāṃ | uccāra iva durgandhāḥ	gatvA avIcim duzprajQAH duzKAm vindanti vedanAm | uccAraH iva durganDAH
   striyo buddhaiḥ prakīrtitāḥ ||	striyaH budDEH prakIrtitAH ||
   tasmād dhīnasya hīnābhiḥ strībhir bhavati saṅgatiḥ | uccārabhastrāṃ yo	tasmAt DInasya hInABiH strIBiH Bavati saFgatiH | uccAra BastrAm yaH 
   gṛhyabālāvāsaṃ nigacchati ||	gRhya bAla AvAsam nigacCati ||
   yādṛśaṃ kurute karma tādṛśaṃ labhate phalam ||	yAdRSam kurute karma tAdRSam laBate Palam ||
   tathātraivāha | tad evaṃrūpair duṣkhaparyeṣitair bhogaiḥ svajīvikārtham	taTA atra eva Aha | tat evaMrUpEH duzKa paryezitEH BogEH sva jIvika arTam
   upasaṃhṛtair na prabhavanti śramaṇabrāhmaṇebhyo dānaṃ dātuṃ	upasaMhRtEH na praBavanti SramaNa brAhmaNeByaH dAnam dAtum
   kṛpaṇavanīpakayācakebhyo 'vaśīkṛtāḥ strībhiḥ strīnirjitāḥ strīnigṛhītāḥ	kRpaNa vanIpaka yAcakeByaH avaSIkRtAH strIBiH strI nirjitAH strI nigRhItAH
   strīdāsāḥ | tenaiva strīpremṇā tasyā eva poṣaṇāya na śaknuvanti dānaṃ	strI dAsAH | tena eva strI premNA tasyAH eva pozaNAya na Saknuvanti dAnam
   dātuṃ śīlaṃ ca samādātuṃ | sa tatra raktaḥ samānaḥ strīparibhāṣitāni	dAtum SIlam ca samAdAtum | sa tatra raktaH samAnaH strI pariBAzitAni
   sahate tarjanāvalokananirbhartsanām api sahate | sa mātṛgrāmeṇa tarjitaḥ	sahate tarjana avalokana nirBartsanAm api sahate | sa mAtR grAmeNa tarjitaH
   puruṣaḥ saṃsīdati viṣīdati sukhaṃ cāsyā avalokayati | kāmahetoḥ	puruzaH saMsIdati vizIdati suKam ca asyAH avalokayati | kAma hetoH
   kāmanidānaṃ ca vaśagatā bhavati | ayaṃ mahārāja kāmalolupasya	kAmanidAnam ca vaSa gatA Bavati | ayam mahA rAja kAma lolupasya
   puruṣasyoccārasukhaparamasyāśucau ratasyāsaṃprajanyācāriṇo doṣaḥ || pe ||	puruzasya uccAra suKa paramasya aSucO ratasya asaMprajanyA cAriNaH dozaH || pe ||
