   akalādhipabhṛtyadarśitaṃ BhKir_3.59a	akala-aDipa-BRtya-darSitam BhKiH-_3.59a
   jayena kaccid viramed ayaṃ raṇād BhKir_14.62a	jayena kaccit viramet ayam raNAt BhKiH-_14.62a
   jaye 'nukūle suhṛdīva saspṛham BhKir_14.36b	jaye anukUle suhRdi-iva sa-spRham BhKiH-_14.36b
   jaratīm api bibhrāṇas BhKir_11.7a	jaratIm api biBrANaH BhKiH-_11.7a
   jarattṛṇānīva viyan nināya BhKir_16.44c	jarat-tRNAni-iva viyat ninAya BhKiH-_16.44c
   jalagurubhiḥ stanitair digantareṣu BhKir_10.19d	jala-guruBiH stanitEH diS-antarezu BhKiH-_10.19d
   jalada iva niṣedivāṃsaṃ vṛṣe BhKir_18.20c	jaladaH iva nizedivAMsam vRze BhKiH-_18.20c
   jaladajālaghanair asitāśmanām BhKir_5.48a	jalada-jAla-GanEH asita-aSmanAm BhKiH-_5.48a
   jaladhareṇa samānam umāpatiḥ BhKir_18.4d	jalaDareNa samAnam umApatiH BhKiH-_18.4d
   jalair vitene divi dhūmasaṃtatiḥ BhKir_16.57d	jalEH vitene divi DUma-saMtatiH BhKiH-_16.57d
   jalaughasaṃmūrchanamūrchitasvanaḥ BhKir_16.59a	jala-oGa-saMmUrCana-mUrCita-svanaH BhKiH-_16.59a
   javād atīye himavān adhomukhaiḥ BhKir_14.54c	javAt atIye himavAn aDomuKEH BhKiH-_14.54c
   javād ahaṃpūrvikayā yiyāsubhiḥ BhKir_14.32b	javAt ahaMpUrvikayA yiyAsuBiH BhKiH-_14.32b
   javānilāghūrṇitaśālacandanā BhKir_14.34b	java-anila-AGUrNita-SAla-candanA BhKiH-_14.34b
   javānilāghūrṇitasānujālo BhKir_16.46c	java-anilA-GUrNita-sAnu-jAlaH BhKiH-_16.46c
   javinā vidhūtavitataṃ marutā BhKir_6.10b	javinA viDUta-vitatam marutA BhKiH-_6.10b
   jahati vyālamṛgāḥ pareṣu vṛttim BhKir_13.4b	jahati vyAla-mRgAH parezu vRttim BhKiH-_13.4b
   jahātu nainaṃ katham arthasiddhiḥ BhKir_3.14a	jahAtu na-enam kaTam arTa-sidDiH BhKiH-_3.14a
   jahāra cāsmād acireṇa varma BhKir_17.44a	jahAra ca-asmAt acireNa varma BhKiH-_17.44a
   jahāsi nidrām aśivaiḥ śivārutaiḥ BhKir_1.38d	jahAsi nidrAm aSivEH SivA-rutEH BhKiH-_1.38d
   jahihi kaṭhinatāṃ prayaccha vācaṃ BhKir_10.51a	jahihi kaWina-tAm prayacCa vAcam BhKiH-_10.51a
   jahīhi kopaṃ dayito 'nugamyatāṃ BhKir_8.8a	jahIhi kopam dayitaH anugamyatAm BhKiH-_8.8a
   jahau na dhairyaṃ kupito 'pi pāṇḍavaḥ BhKir_14.1c	jahO na DEryam kupitaH api pANxavaH BhKiH-_14.1c
   jātaspṛhaḥ puṇyajanaḥ sa jiṣṇau BhKir_3.31b	jAta-spRhaH puNya-janaH sa jizNO BhKiH-_3.31b
   jātimātrāvalambinā BhKir_11.72b	jAti-mAtra-avalambinA BhKiH-_11.72b
   jātisvabhāvair iva jīvalokaḥ BhKir_17.19d	jAti-svaBAvEH iva jIva-lokaH BhKiH-_17.19d
   jāmadagnyam apahāya gīyate BhKir_13.62c	jAmadagnyam apahAya gIyate BhKiH-_13.62c
   jāyeta mṛtyor api pakṣapātaḥ BhKir_3.21d	jAyeta mRtyoH api pakzapAtaH BhKiH-_3.21d
   jighāṃsur asmān nihato mayā mṛgo BhKir_14.14c	jiGAMsuH asmAn nihataH mayA mRgaH BhKiH-_14.14c
   jitakalahaṃsavadhūgati prayātam BhKir_10.60b	jita-kalahaMsa-vaDU-gati prayAtam BhKiH-_10.60b
   jitamṛtyavo 'jita bhavanti bhaye BhKir_18.22c	jita-mRtyavaH ajita Bavanti Baye BhKiH-_18.22c
   jitāṃ sapatnena nivedayiṣyataḥ BhKir_1.2b	jitAm sapatnena nivedayizyataH BhKiH-_1.2b
   jitendriyatayā tayā BhKir_11.1b	jita-indriya-tayA tayA BhKiH-_11.1b
   jiteṣu nanu loko 'yaṃ BhKir_11.32c	jitezu nanu lokaH ayam BhKiH-_11.32c
   jihmatāṃ jahati dīdhitijāle BhKir_9.21b	jihmatAm jahati dIDiti-jAle BhKiH-_9.21b
   jihvāśatāny ullasayanty ajasraṃ BhKir_16.37a	jihvA-SatAni ullasayanti ajasram BhKiH-_16.37a
   jīmūtair apihitasānur indrakīlaḥ BhKir_7.17d	jImUtEH apihita-sAnuH indrakIlaH BhKiH-_7.17d
   jīyantāṃ durjayā dehe BhKir_11.32a	jIyantAm durjayAH dehe BhKiH-_11.32a
   jīvitaṃ kimu dhanaṃ dhanāyitum BhKir_13.56d	jIvitam kimu Danam DanAyitum BhKiH-_13.56d
   jetum eva bhavatā tapasyate BhKir_13.54a	jetum eva BavatA tapasyate BhKiH-_13.54a
   jaiṣṇavī viśikhaśreṇī BhKir_15.36c	jEzNavI viSiKa-SreNI BhKiH-_15.36c
   jyāyān eva guṇapriyaḥ BhKir_11.53b	jyAyAn eva guNa-priyaH BhKiH-_11.53b
   jyāyāṃś ca vīryāstrabalair vipakṣaḥ BhKir_3.17b	jyAyAn ca vIrya-astra-balEH vipakzaH BhKiH-_3.17b
   jyāyāṃś cācāravān nṛpaḥ BhKir_11.77d	jyAyAn ca-AcAravAn nRpaH BhKiH-_11.77d
   jyāyo vīryaṃ samāśritya BhKir_15.44c	jyAyaH vIryam samASritya BhKiH-_15.44c
   jyotiramalavapuṣo 'pi raver BhKir_12.26c	jyotiH-amala-vapuzaH api raveH BhKiH-_12.26c
   jyotir upari śiraso vitataṃ BhKir_12.11c	jyotiH upari SirasaH vitatam BhKiH-_12.11c
   jyotīṃṣi ramyā iva digvibhāgāḥ BhKir_16.34d	jyotIMzi ramyAH iva diS-viBAgAH BhKiH-_16.34d
   jyotsnāśaṅkām iva vitarati haṃsaśyenī BhKir_5.31c	jyotsnA-ASaFkAm iva vitarati haMsa-SyenI BhKiH-_5.31c
   jvalatas tava jātavedasaḥ BhKir_2.24a	jvalataH tava jAtavedasaH BhKiH-_2.24a
   jvalato 'nalād anuniśītham BhKir_12.7a	jvalataH analAt anuniSITam BhKiH-_12.7a
   jvaladanalaparītaṃ raudram astraṃ dadhānaṃ BhKir_18.44c	jvalat-anala-parItam rOdram astram daDAnam BhKiH-_18.44c
   jvalann asis tasya papāta pāṇer BhKir_17.58c	jvalan asiH tasya papAta pANeH BhKiH-_17.58c
   jvalanmaṇidyotitahaimalekham BhKir_17.44b	jvalat-maNi-dyotita-hEma-leKam BhKiH-_17.44b
   jvalanmaṇi vyomasadāṃ sanātanam BhKir_8.1b	jvalat-maNi vyoma-sadAm sanAtanam BhKiH-_8.1b
   jvalanmaṇiḥ sāraśanaṃ mahānahiḥ BhKir_18.32b	jvalat-maNiH sAraSanam mahAn-ahiH BhKiH-_18.32b
   jvalayati mahatāṃ manāṃsy amarṣe BhKir_10.62c	jvalayati mahatAm manAMsi amarze BhKiH-_10.62c
   jvalayatauṣadhijena kṛśānunā BhKir_5.14b	jvalayatA-ozaDi-jena kRSAnunA BhKiH-_5.14b
   jvalitajyotir ivāntaraṃ divaḥ BhKir_3.58d	jvalita-jyotiH iva-antaram divaH BhKiH-_3.58d
   jvalitaṃ na hiraṇyaretasaṃ BhKir_2.20a	jvalitam na hiraNyaretasam BhKiH-_2.20a
   jvalitānyaguṇair gurvī BhKir_15.21c	jvalitAni-aguNEH gurvI BhKiH-_15.21c
   jvalitauṣadhijātavedasā BhKir_15.47c	jvalita-ozaDi-jAtavedasA BhKiH-_15.47c
   jvālā maholkā iva locanebhyaḥ BhKir_16.40d	jvAlA mahA-ulkAH iva locaneByaH BhKiH-_16.40d
   jvālāsaṭair laṅghitameghapaṅktiḥ BhKir_16.50b	jvAlA-sawEH laFGita-meGa-paFktiH BhKiH-_16.50b
   taṭābhinītena vibhinnavīcinā BhKir_8.32c	tawa-aBinItena viBinna-vIcinA BhKiH-_8.32c
   taḍitvataḥ khaṇḍam ivāmbudasya BhKir_17.44d	taxitvataH KaNxam iva-ambudasya BhKiH-_17.44d
   taḍillatāliṅgitanīlamūrtayaḥ BhKir_16.55b	taxit-latA-AliFgita-nIla-mUrtayaH BhKiH-_16.55b
   tata udagra iva dvirade munau BhKir_18.1a	tatas udagre iva dvirade munO BhKiH-_18.1a
   tatas tatastyā viniyantum akṣamā BhKir_1.27b	tatas tatastyA viniyantum akzamA BhKiH-_1.27b
   tataḥ kirātasya vacobhir uddhataiḥ BhKir_14.1a	tatas kirAtasya vacoBiH udDatEH BhKiH-_14.1a
   tataḥ kirātādhipater alaghvīm BhKir_16.1a	tatas kirAta-aDipateH alaGvIm BhKiH-_16.1a
   tataḥ prajahre samam eva tatra tair BhKir_14.44a	tatas prajahre samam eva tatra tEH BhKiH-_14.44a
   tataḥ prayātyastamadāvalepaḥ BhKir_17.17a	tatas prayAti-asta-mada-avalepaH BhKiH-_17.17a
   tataḥ śaraccandrakarābhirāmair BhKir_3.1a	tatas Sarad-candra-kara-aBirAmEH BhKiH-_3.1a
   tataḥ sa kūjatkalahaṃsamekhalāṃ BhKir_4.1a	tatas sa kUjat-kalahaMsa-meKalAm BhKiH-_4.1a
   tataḥ sadarpaṃ pratanuṃ tapasyayā BhKir_14.35a	tatas sa-darpam pratanum tapasyayA BhKiH-_14.35a
   tataḥ sa samprekṣya śaradguṇaśriyaṃ BhKir_4.20a	tatas sa samprekzya Sarad-guNa-Sriyam BhKiH-_4.20a
   tataḥ suparṇavrajapakṣajanmā BhKir_16.44a	tatas suparNa-vraja-pakza-janmA BhKiH-_16.44a
   tatāntaraṃ sāntaravāriśīkaraiḥ BhKir_4.29c	tata-antaram sa-antara-vAri-SIkarEH BhKiH-_4.29c
   tatāpa kīrṇā nṛpasūnumārgaṇair BhKir_14.62c	tatApa kIrNA nRpa-sUnu-mArgaNEH BhKiH-_14.62c
   tato 'grabhūmiṃ vyavasāyasiddheḥ BhKir_17.55a	tatas agra-BUmim vyavasAya-sidDeH BhKiH-_17.55a
   tato dharitrīdharatulyarodhasas BhKir_16.55a	tatas DaritrIDara-tulya-roDa-saH BhKiH-_16.55a
   tato 'nupūrvāyatavṛttabāhuḥ BhKir_17.50a	tatas anupUrva-Ayata-vRtta-bAhuH BhKiH-_17.50a
   tato 'pavādena patākinīpateś BhKir_14.27a	tatas apavAdena patAkinI-pateH BhKiH-_14.27a
   tat kāruṇyaṃ kevalaṃ na svakāryam BhKir_18.24d	tat kAruNyam kevalam na sva-kAryam BhKiH-_18.24d
   tat kārmukaṃ karmasu yasya śaktiḥ BhKir_3.48b	tat kArmukam karmasu yasya SaktiH BhKiH-_3.48b
   tatkālamoghapraṇayaḥ prapede BhKir_17.37c	tad-kAla-moGa-praNayaH prapede BhKiH-_17.37c
   tat tac cakārāsya śareṣu śambhuḥ BhKir_17.27d	tat tat cakAra-asya Sarezu SamBuH BhKiH-_17.27d
   tat tathā hi dayitānanadattaṃ BhKir_9.58c	tat taTA hi dayitA-Ananadattam BhKiH-_9.58c
   tat tadīyaviśikhātisarjanād BhKir_13.57a	tat tadIya-viSiKa-atisarjanAt BhKiH-_13.57a
   tat titikṣitam idaṃ mayā muner BhKir_13.68a	tat titikzitam idam mayA muneH BhKiH-_13.68a
   tattvataḥ śivakarīm aviditvā BhKir_18.27b	tattvataH Siva-karIm aviditvA BhKiH-_18.27b
   tattvasya saṃvittir ivāpavidyām BhKir_16.32b	tattvasya saMvittiH iva-apavidyAm BhKiH-_16.32b
   tatpūrvatām iva samādadhire ratāni BhKir_9.75d	tat-pUrva-tAm iva samAdaDire ratAni BhKiH-_9.75d
   tatpūrvaṃ pratividadhe surāpagāyā BhKir_7.11c	tad-pUrvam pratividaDe surApagAyAH BhKiH-_7.11c
   tatpriyārtham iva yātum athāstaṃ BhKir_9.1c	tad-priya-arTam iva yAtum aTa-astam BhKiH-_9.1c
   tatra kārmukabhṛtaṃ mahābhujaḥ BhKir_13.35a	tatra kArmuka-BRtam mahA-BujaH BhKiH-_13.35a
   tatra tasthe 'ndhakāriṇā BhKir_15.29d	tatra tasTe anDakAriNA BhKiH-_15.29d
   tatra mahasi dadṛśuḥ puruṣaṃ BhKir_12.19c	tatra mahasi dadRSuH puruzam BhKiH-_12.19c
   tathā na pūrvaṃ kṛtabhūṣaṇādaraḥ BhKir_8.41a	taTA na pUrvam kRta-BUzaNa-AdaraH BhKiH-_8.41a
   tathā nabhasy āśu raṇasthalīṣu BhKir_17.57c	taTA naBasi ASu raNa-sTalIzu BhKiH-_17.57c
   tathāpi kalyāṇakarīṃ giraṃ te BhKir_3.9c	taTA-api kalyANa-karIm giram te BhKiH-_3.9c
   tathāpi jihmaḥ sa bhavajjigīṣayā BhKir_1.8a	taTA-api jihmaH sa Bavat-jigIzayA BhKiH-_1.8a
   tathāpi nighnaṃ nṛpa tāvakīnaiḥ BhKir_3.12a	taTA-api niGnam nRpa tAvakInEH BhKiH-_3.12a
   tathāpi puṣṇāti nabhaḥ śriyaṃ parāṃ BhKir_4.23c	taTA-api puzNAti naBaH Sriyam parAm BhKiH-_4.23c
   tathāpi vaktuṃ vyavasāyayanti māṃ BhKir_1.28c	taTA-api vaktum vyavasAyayanti mAm BhKiH-_1.28c
   tathābhiyuktaṃ ca śilīmukhārthinā BhKir_14.7c	taTA-aBiyuktam ca SilImuKa-arTinA BhKiH-_14.7c
   tathā hi toyaughavibhinnasaṃhatiḥ BhKir_16.61c	taTA hi toya-oGa-viBinna-saMhatiH BhKiH-_16.61c
   tad adya te vanyaphalāśinaḥ paraṃ BhKir_1.39c	tat adya te vanya-Pala-ASinaH param BhKiH-_1.39c
   tad anagha tanur astu sā sakāmā BhKir_10.50a	tat anaGa tanuH astu sA sa-kAmA BhKiH-_10.50a
   tadanuguṇām aparaiḥ kriyām alaṅghyām BhKir_10.13b	tad-anuguNAm aparEH kriyAm alaFGyAm BhKiH-_10.13b
   tadanumatam alaṃcakāra paścāt BhKir_2.58c	tad-anumatam alaMcakAra paScAt BhKiH-_2.58c
   tadabhimukham anaṅgacāpayaṣṭir BhKir_10.53c	tad-aBimuKam anaFga-cApa-yazwiH BhKiH-_10.53c
   tadabhimukhaṃ ca vimuktam aśru tābhiḥ BhKir_10.58b	tad-aBimuKam ca vimuktam aSru tABiH BhKiH-_10.58b
   tad abhūrivāsarakṛtaṃ sukṛtair BhKir_6.29a	tat aBUri-vAsara-kRtam sukRtEH BhKiH-_6.29a
   tad alaṃ pratipakṣam unnater BhKir_2.15a	tat alam pratipakzam unnateH BhKiH-_2.15a
   tad ācacakṣe 'nujasannidhau vacaḥ BhKir_1.26d	tat Acacakze anuja-sanniDO vacaH BhKiH-_1.26d
   tadā ramyāṇy aramyāṇi BhKir_11.28a	tadA ramyANi aramyANi BhKiH-_11.28a
   tad āśu kartuṃ tvayi jihmam udyate BhKir_1.25a	tat ASu kartum tvayi jihmam udyate BhKiH-_1.25a
   tad āśu kurvan vacanaṃ maharṣer BhKir_3.54a	tat ASu kurvan vacanam mahA-RzeH BhKiH-_3.54a
   tadīyam āsthānaniketanājiram BhKir_1.16b	tadIyam AsTAna-niketana-ajiram BhKiH-_1.16b
   tad unnatānāṃ na vihanti dhīratām BhKir_14.23b	tat unnatAnAm na vihanti DIra-tAm BhKiH-_14.23b
   tad upetya vighnayata tasya tapaḥ BhKir_6.43a	tat upetya viGnayata tasya tapaH BhKiH-_6.43a
   tadupoḍhaiś ca nabhaścaraiḥ pṛṣatkaḥ BhKir_13.23d	tad-upoXEH ca naBaH-carEH pRzatkaH BhKiH-_13.23d
   tadaikākī sabandhuḥ sann BhKir_11.28c	tadA-ekAkI sa-banDuH san BhKiH-_11.28c
   tadgaṇā dadṛśur bhīmaṃ BhKir_15.35a	tad-gaNAH dadRSuH BImam BhKiH-_15.35a
   tanujāhnavīsalilavīcibhidaḥ BhKir_6.3b	tanu-jAhnavI-salila-vIci-BidaH BhKiH-_6.3b
   tanutuhino 'lpavinidrasinduvāraḥ BhKir_10.30b	tanu-tuhinaH alpa-vinidra-sinduvAraH BhKiH-_10.30b
   tanum aprākṛtākṛtiḥ BhKir_11.7b	tanum aprAkRta-AkRtiH BhKiH-_11.7b
   tanum avajitalokasāradhāmnīṃ BhKir_10.15a	tanum avajita-loka-sAra-DAmnIm BhKiH-_10.15a
   tanur ibhakumbhapṛthustanānatāṅgī BhKir_10.53b	tanuH iBa-kumBa-pRTu-stana-Anata-aFgI BhKiH-_10.53b
   tanuvārabhaso bhāsvān BhKir_15.23a	tanu-vAraBasaH BAsvAn BhKiH-_15.23a
   tanusāndraphenalavasaṃvalitaḥ BhKir_6.13b	tanu-sAndra-Pena-lava-saMvalitaH BhKiH-_6.13b
   tanuṃ bhīmāṃ bibhrat triguṇaparivārapraharaṇaḥ BhKir_18.45b	tanum BImAm biBrat triguNa-parivAra-praharaNaH BhKiH-_18.45b
   tanūjam āviṣkṛtadivyamūrtiḥ BhKir_11.80b	tanUjam AvizkRta-divya-mUrtiH BhKiH-_11.80b
   tanūr adṛśyāḥ svid iṣūn nirasyati BhKir_14.60b	tanUH adRSyAH svid izUn nirasyati BhKiH-_14.60b
   tanūr alaktāruṇapāṇipallavāḥ BhKir_8.5a	tanUH alakta-aruNa-pANi-pallavAH BhKiH-_8.5a
   tanoti na vyomani mātariśvā BhKir_16.6d	tanoti na vyomani mAtariSvA BhKiH-_16.6d
   tanoti śubhraṃ guṇasampadā yaśaḥ BhKir_1.8b	tanoti SuBram guNa-sampadA yaSaH BhKiH-_1.8b
   tanvantam antaḥkaraṇasya vṛttim BhKir_3.3b	tanvantam antaHkaraNasya vRttim BhKiH-_3.3b
   tanvantam iddham abhito gurum aṃśujālaṃ BhKir_2.59c	tanvantam idDam aBitas gurum aMSu-jAlam BhKiH-_2.59c
   tanvann abhūtām iva sampratītim BhKir_3.43b	tanvan aBUtAm iva sampratItim BhKiH-_3.43b
   tapanamaṇḍaladītitam ekataḥ BhKir_5.2a	tapana-maNxala-dItitam ekatas BhKiH-_5.2a
   tapanasya trilocanaḥ BhKir_15.41d	tapanasya trilocanaH BhKiH-_15.41d
   tapasā kṛśaṃ vapur uvāha BhKir_12.6a	tapasA kRSam vapuH uvAha BhKiH-_12.6a
   tapasā tathā na mudam asya yayau BhKir_18.14a	tapasA taTA na mudam asya yayO BhKiH-_18.14a
   tapasā nipīḍitakṛśasya BhKir_12.39a	tapasA nipIxita-kRSasya BhKiH-_12.39a
   tapasāṃ sūtir asūtir enasām BhKir_2.56b	tapasAm sUtiH asUtiH enasAm BhKiH-_2.56b
   tapasi kṛtaphale phalajyāyasī BhKir_18.21c	tapasi kRta-Pale Pala-jyAyasI BhKiH-_18.21c
   tapase 'dhivastum acalām acalaḥ BhKir_6.18d	tapase aDivastum acalAm acalaH BhKiH-_6.18d
   tapas tapovīryasamuddhatasya BhKir_17.35a	tapaH tapaH-vIrya-samudDatasya BhKiH-_17.35a
   tapasvino hi vasate BhKir_11.15c	tapasvinaH hi vasate BhKiH-_11.15c
   tapaḥprabhāvād vitatāra sadyaḥ BhKir_3.26b	tapaH-praBAvAt vitatAra sadyas BhKiH-_3.26b
   tapaḥsamādhau munir ity uvāca BhKir_3.27d	tapaH-samADO muniH iti uvAca BhKiH-_3.27d
   tapātyaye toyaghanā ghanā iva BhKir_14.42d	tapAtyaye toya-GanAH GanAH iva BhKiH-_14.42d
   tapobalenaiṣa vidhāya bhūyasīs BhKir_14.60a	tapaH-balena-eza viDAya BUyasIH BhKiH-_14.60a
   tapolakṣmyā dīptaṃ dinakṛtam ivoccair upajaguḥ BhKir_18.47d	tapaH-lakzmyA dIptam dinakRtam iva-uccEs upajaguH BhKiH-_18.47d
   taptānām upadadhire viṣāṇabhinnāḥ BhKir_7.13a	taptAnAm upadaDire vizANa-BinnAH BhKiH-_7.13a
   taptum asukaram upakramate BhKir_12.15c	taptum asukaram upakramate BhKiH-_12.15c
   tam atanuvanarājiśyāmitopatyakāntaṃ BhKir_4.38a	tam atanu-vana-rAji-SyAmita-upatyakAntam BhKiH-_4.38a
   tam atha prājyaśaraḥ śaraṃ jighṛkṣuḥ BhKir_13.32b	tam aTa prAjya-SaraH Saram jiGRkzuH BhKiH-_13.32b
   tam anatiśayanīyaṃ sarvataḥ sārayogād BhKir_5.52a	tam anatiSayanIyam sarvatas sAra-yogAt BhKiH-_5.52a
   tam anindyabandina ivendrasutaṃ BhKir_6.2a	tam anindya-bandinaH iva-indra-sutam BhKiH-_6.2a
   tam abhīyāya parāśarātmajaḥ BhKir_2.54d	tam aBIyAya parASara-AtmajaH BhKiH-_2.54d
   tamaso nābhibhavaṃ ruṇaddhi yaḥ BhKir_2.37b	tamasaH na-aBiBavam ruNadDi yaH BhKiH-_2.37b
   tamaḥ śanaiḥ pāṇḍusutān prapede BhKir_3.32d	tamaH SanEs pANxu-sutAn prapede BhKiH-_3.32d
   tam āśu cakṣuḥśravasāṃ samūhaṃ BhKir_16.42a	tam ASu cakzuHSravasAm samUham BhKiH-_16.42a
   tam utsukāś cakrur avekṣaṇotsukaṃ BhKir_4.10c	tam utsukAH cakruH avekzaNa-utsukam BhKiH-_4.10c
   tam udīritāruṇajaṭāṃśum BhKir_12.14a	tam udIrita-aruNa-jawA-aMSum BhKiH-_12.14a
   tam upāsate gurum ivāntasadaḥ BhKir_6.34b	tam upAsate gurum iva-antasadaH BhKiH-_6.34b
   tam ṛtugaṇaḥ kṣaṇam unmanīcakāra BhKir_10.37d	tam Rtu-gaNaH kzaNam unmanIcakAra BhKiH-_10.37d
   tam ekadeśastham anekadeśagā BhKir_14.58c	tam eka-deSa-sTam aneka-deSa-gA BhKiH-_14.58c
   tayadātavadā bhīmā BhKir_15.20c	taya-dAtava-dA BImA BhKiH-_15.20c
   tayor yathā riktatayānutepe BhKir_17.40b	tayoH yaTA rikta-tayA-anutepe BhKiH-_17.40b
   taraṅgakampena mahāhradānāṃ BhKir_17.22c	taraFga-kampena mahAhradAnAm BhKiH-_17.22c
   taraṅgamālāntaragocaro 'nilaḥ BhKir_8.28d	taraFga-mAlA-antara-gocaraH anilaH BhKiH-_8.28d
   taraṅgamāleva nabhorṇavasya BhKir_16.38d	taraFga-mAlA-iva naBa-UrNavasya BhKiH-_16.38d
   taraṅgitakṣaumavipāṇḍu saikatam BhKir_4.6d	taraFgita-kzOma-vipANxu sEkatam BhKiH-_4.6d
   taraṅgitālambitaketusaṃtatiḥ BhKir_14.28b	taraFgita-Alambita-ketu-saMtatiH BhKiH-_14.28b
   tarasā bhuvanāni yo bibharti BhKir_18.37a	tarasA BuvanAni yaH biBarti BhKiH-_18.37a
   tarasaiva ko 'pi bhuvanaika- BhKir_12.26a	tarasA-eva kaH api Buvana-eka BhKiH-_12.26a
   taruprasūnāny apadiśya sādaraṃ BhKir_8.18c	taru-prasUnAni apadiSya sa-Adaram BhKiH-_8.18c
   taruśākhāntanigharṣajo 'nalaḥ BhKir_2.51d	taru-SAKA-anta-niGarza-jaH analaH BhKiH-_2.51d
   tarṣayanty apunaruktarasāni BhKir_9.51b	tarzayanti apunarukta-rasAni BhKiH-_9.51b
   taleṣu muktāviśadā babhūvuḥ BhKir_16.53c	talezu muktA-viSadAH baBUvuH BhKiH-_16.53c
   tava pitur dayito jagatīdharaḥ BhKir_5.45d	tava pituH dayitaH jagatIDaraH BhKiH-_5.45d
   tava prayātasya jayāya teṣāṃ BhKir_3.52c	tava prayAtasya jayAya tezAm BhKiH-_3.52c
   tava yāvad īśa na natiḥ kriyate BhKir_18.23d	tava yAvat ISa na natiH kriyate BhKiH-_18.23d
   tava varada na cittabhedaḥ kvacit BhKir_18.26d	tava vara-da na citta-BedaH kvacid BhKiH-_18.26d
   tava sukhaśītam upaitum aṅkam icchā BhKir_10.49d	tava suKa-SItam upEtum aFkam icCA BhKiH-_10.49d
   tava hṛdaye hṛdayeśvarāvakāśam BhKir_10.55d	tava hRdaye hRdaya-ISvara-avakASam BhKiH-_10.55d
   tavānubhāvo 'yam abodhi yan mayā BhKir_1.6c	tava-anuBAvaH ayam aboDi yat mayA BhKiH-_1.6c
   tavābhidhānād vyathate natānanaḥ BhKir_1.24c	tava-aBiDAnAt vyaTate nata-AnanaH BhKiH-_1.24c
   tavaiva nānyasya jagatsu dṛśyate BhKir_18.33c	tava-eva na-anyasya jagatsu dRSyate BhKiH-_18.33c
   tavottarīyaṃ karicarma sāṅgajaṃ BhKir_18.32a	tava-uttarIyam kari-carma sa-aFgajam BhKiH-_18.32a
   tasmai hi bhāroddharaṇe samarthaṃ BhKir_17.14a	tasmE hi BAra-udDaraNe samarTam BhKiH-_17.14a
   tasya daśanakiraṇaiḥ śuśubhe BhKir_12.8c	tasya daSana-kiraNEH SuSuBe BhKiH-_12.8c
   tasya padavinamito himavān BhKir_12.10c	tasya pada-vinamitaH himavAn BhKiH-_12.10c
   tasya bhuvi bahutithās tithayaḥ BhKir_12.2c	tasya Buvi bahutiTAH tiTayaH BhKiH-_12.2c
   tasya śucini śiśire ca payasy BhKir_12.4c	tasya Sucini SiSire ca payasi BhKiH-_12.4c
   tasyātiyatnād atiricyamāne BhKir_17.32a	tasya-ati-yatnAt atiricyamAne BhKiH-_17.32a
   tasyāhavāyāsavilolamauleḥ BhKir_17.8a	tasya-Ahava-AyAsa-vilola-mOleH BhKiH-_17.8a
   taṃ maṇḍalād aṃśum ivāṃśubhartuḥ BhKir_15.49b	tam maNxalAt aMSum iva-aMSu-BartuH BhKiH-_15.49b
   taṃ rājarājānucaro 'sya sākṣāt BhKir_3.30c	tam rAja-rAja-anucaraH asya sAkzAt BhKiH-_3.30c
   taṃ virodhya bhavatā nirāsi mā BhKir_13.51c	tam viroDya BavatA nirAsi mA BhKiH-_13.51c
   taṃ śambhur ākṣiptamaheṣujālaṃ BhKir_17.43a	tam SamBuH Akzipta-mahA-izu-jAlam BhKiH-_17.43a
   tān niṣedhahimāmbunā BhKir_15.30d	tAn nizeDa-hima-ambunA BhKiH-_15.30d
   tān bhūridhāmnaś caturo 'pi dūraṃ BhKir_3.35a	tAn BUri-DAmnaH caturaH api dUram BhKiH-_3.35a
   tāpaseṣu caritārtham āyudham BhKir_13.62d	tApasezu caritArTam AyuDam BhKiH-_13.62d
   tāpaso 'pi vibhutām upeyivān BhKir_13.39a	tApasaH api viBu-tAm upeyivAn BhKiH-_13.39a
   tām aikṣanta kṣaṇaṃ sabhyā BhKir_11.51a	tAm Ekzanta kzaNam saByAH BhKiH-_11.51a
   tārakās tatakarasya himāṃśoḥ BhKir_9.27b	tArakAH tata-karasya himAMSoH BhKiH-_9.27b
   tārāvitānataralā iva yāmavatyaḥ BhKir_8.56d	tArA-vitAna-taralAH iva yAmavatyaH BhKiH-_8.56d
   tāvad asya sthiraṃ yaśaḥ BhKir_11.61b	tAvat asya sTiram yaSaH BhKiH-_11.61b
   tāvad āśrīyate lakṣmyā BhKir_11.61a	tAvat ASrIyate lakzmyA BhKiH-_11.61a
   tāsāṃ kiṃ yan na duḥkhāya BhKir_11.22c	tAsAm kim yat na duHKAya BhKiH-_11.22c
   tāṃ bhūtanātha vibhutāṃ vitarāhaveṣu BhKir_18.43d	tAm BUtanATa viBu-tAm vitara-Ahavezu BhKiH-_18.43d
   tigmahetipṛtanābhir anvitaḥ BhKir_13.70b	tigma-heti-pRtanABiH anvitaH BhKiH-_13.70b
   titikṣituṃ duścaritaṃ tvam arhasi BhKir_18.42b	titikzitum duScaritam tvam arhasi BhKiH-_18.42b
   timiracchidām iva girau bhavataḥ BhKir_6.31b	timira=-CidAm iva girO BavataH BhKiH-_6.31b
   timirasaṃvaliteva vivasvataḥ BhKir_5.48d	timira-saMvalitA-iva vivasvataH BhKiH-_5.48d
