   Spandakārikā, prathamo niḥṣyandaḥ	Spanda-kArikA, praTamaH niHzyandaH
   kartavyeṣu laukikaśāstrīyānuṣṭhāneṣv abhilāṣiṇo 'bhīṣṭānavāpter nityam	kartavyezu lOkika-SAstrIya-anuzWAnezu aBilAziNaH aBIzwa-anavApteH nityam
   abhilāṣavyākulasya tata eva kṣaṇam apy alabdhasvarūpaviśrānteḥ yadā	aBilAza-vyAkulasya tatas eva kzaNam api alabDa-svarUpa-viSrAnteH yadA
   uktavakṣyamāṇopapattyanubhavāvaṣṭambhato 'bhilāṣavivaśagrāhakābhimānātmā	ukta-vakzyamANa-upapatti-anuBava-avazwamBataH aBilAza-vivaSa-grAhaka-aBimAna-AtmA
   kṣobhaḥ pralīyeta anātmany ātmābhimānanivṛttipuraḥsaram ātmany	kzoBaH pralIyeta anAtmani Atma-aBimAna-nivRtti-puraHsaram Atmani-
   anātmābhimānopaśāntiparyantena prakarṣeṇa līyeta tadā paramaṃ	anAtma-aBimAna-upaSAnti-paryantena prakarzeNa lIyeta tadA paramam
   spandatattvātmakaṃ padaṃ syād asya pratyabhijñāviṣayatāṃ yāyād ityarthaḥ	spanda-tattva-Atmakam padam syAt asya pratyaBijQA-vizaya-tAm yAyAt iti-arTaH
   || VSpkC_1.9:1	|| VSpkC_1.9:1
   * na tu tadaiva bhavati tasya nityatvāt || VSpkC_1.9:2	* na tu tadA-eva Bavati tasya nitya-tvAt || VSpkC_1.9:2
   * uktaṃ ca vijñānabhairave |	* uktam ca vijQAnaBErave |
   * mānasaṃ cetanā śaktirātmā ceti catuṣṭayam /	* mAnasam cetanA SaktiH-AtmA ca-iti catuzwayam /
   * yadā priye parikṣīṇaṃ tadā tadbhairavaṃ vapuḥ // VSpkC_1.9:3 //	* yadA priye parikzINam tadA tad-BEravam vapuH // VSpkS_1.9:3 //
   * iti || VSpkC_1.9:4	* iti || VSpkC_1.9:4
   * nijāśuddhiśabdenamalaṃ nāma dravyaṃ pṛthagbhūtam astīti ye pratipannāste	* nija-aSudDi-Sabdenamalam nAma dravyam pRTak-BUtam asti-iti ye pratipannAH-te
   dūṣyatvena kaṭākṣitāḥ || VSpkC_1.9:5	dUzya-tvena kawAkzitAH || VSpkS_1.9:5
   * nanu ca grāhakāhambhāvātmani kṣobhe kṣīṇe nistaraṅgajaladhiprakhyam	* nanu ca grAhaka-ahamBAva-Atmani kzoBe kzINe nistaraFga-jalaDi-praKyam
   aspandameva tattvaṃ prasaktam ityāśaṅkāṃ śamayati || VSpkC_1.9:6]	aspandam-eva tattvam prasaktam iti-ASaFkAm Samayati || VSpkC_1.9:6]
   tadāsyākṛtrimo dharmo jñatvakartṛtvalakṣaṇaḥ /	tadA-asya-akRtrimaH DarmaH jQa-tva-kartR-tva-lakzaNaH /
   yatas tadepsitaṃ sarvaṃ jānāti ca karoti ca // VSpk_1.10 //	yatas tadA-Ipsitam sarvam jAnAti ca karoti ca // VSpc-_1.10 //
   * tadetyupadeśyāpekṣayā akṛtrimaḥ sahajo dharmaḥ prāṅ	* tadA-iti-upadeSya-apekzayA akRtrimaH sahajaH DarmaH prAF
   nirdiṣṭasvatantratārūpaḥ parameśvarasvabhāvo jñatvakartṛtve	nirdizwa-svatantra-tA-rUpaH parameSvara-svaBAvaH jQa-tva-kartR-tve
   sāmarasyāvasthitaprakāśānandātmanī jñānakriye lakṣaṇamavyabhicāri svarūpaṃ	sa-amarasya-avasTita-prakASa-Ananda-AtmanI jQAna-kriye lakzaNam-avyaBicAri svarUpam
   yasya tādṛk tadā kṣobhopaśame 'sya puruṣasya syād abhivyajyata ityarthaḥ	yasya tAdRS tadA kzoBa-upaSame asya puruzasya syAt aBivyajyate iti-arTaH
   || VSpkC_1.10:1	|| VSpkC_1.10:1
   * kuta etad abhivyajyata ityāha yatastadā paramapadapraveśasamaye sarvam	* kutas etat aBivyajyate iti-Aha yatas-tadA parama-pada-praveSa-samaye sarvam
   īpsitamiti yadyaj jijñāsitaṃ cikīrṣitaṃ vāsya tat pravivikṣāyām abhūt	Ipsitam-iti yat-yat jijQAsitam cikIrzitam vA-asya tat pravivikzAyAm aBUt-
   tattaj jānāti ca karoti ca || VSpkC_1.10:2	tat-tat jAnAti ca karoti ca || VSpkC_1.10:2
   * cakārāv atra yaugapadyam āhatuḥ na tu yathaike cakārābhyāṃ jñānakriyayor	* cakArO atra yOgapadyam AhatuH na tu yaTA-eke cakArAByAm jQAna-kriyayoH-
   aikātmyaṃ sūcayatīti taddhi jñatvakartṛtvalakṣaṇa ity	EkAtmyam sUcayati-iti tat-hi jQa-tva-kartR-tva-lakzaNaH iti-
   anenaivaikadharmaviśeṣaṇena sambandhinirdeśena	anena-eva-eka-Darma-viSezaNena sambanDi-nirdeSena
   vāstavasvarūpābhidhāyinoktam || VSpkC_1.10:3	vAstava-svarUpa-aBiDAyinA-uktam || VSpkC_1.10:3
   * atha yataḥ karaṇeti nijāśuddhīti	* aTa yatas karaNa-iti nija-aSudDi-iti
   sūtrapratipāditonmeṣakramasamādhānasākṣātkṛtasya spandatattvasya	sUtra-pratipAdita-unmeza-krama-samADAna-sAkzAtkRtasya spanda-tattvasya
   dṛḍhāvaṣṭambhād vyutthānamapi samādhyekarasaṃ kurvato bhavocchedo	dRXa-avazwamBAt vyutTAnam-api samADi-ekarasam kurvataH Bava-ucCedaH-
   bhavatītyāha || VSpkC_1.10:4]	Bavati-iti-Aha || VSpkC_1.10:4]
   tamadhiṣṭhātṛbhāvena svabhāvamavalokayan /	tam-aDizWAtR-BAvena svaBAvam-avalokayan /
   smayamāna ivāste yas tasyeyaṃ kusṛtiḥ kutaḥ // VSpk_1.11 //	smayamAnaH iva-Aste yaH tasya-iyam kusRtiH kutas // VSpc-_1.11 //
   * uktopapattyupalabdhyanuśīlanapratyabhijñātaṃ taṃ spandatattvātmakaṃ	* ukta-upapatti-upalabDi-anuSIlana-pratyaBijQAtam tam spanda-tattva-Atmakam
   svabhāvam ātmīyam adhiṣṭhātṛbhāvena vyutthānadaśāyām api vyāpnuvantam	svaBAvam AtmIyam aDizWAtR-BAvena vyutTAna-daSAyAm api vyApnuvantam
   avalokayaṃś cinvānaḥ /	avalokayan cinvAnaH /
   * na vrajen na viśecchaktir marudrūpā vikāsite /	* na vrajet na viSet-SaktiH marut-rUpAH vikAsite /
   * nirvikalpatayā madhye tayā bhairavarūpadhṛk || VSpkC_1.11:1	* nirvikalpa-tayA maDye tayA BErava-rUpa-DRk || VSpkC_1.11:1
   * iti tathā /	* iti taTA /
   * sarvāḥ śaktīś cetasā darśanādyāḥ sve sve vedye yaugapadyena viṣvak /	* sarvAH SaktIH cetasA darSana-AdyAH sve sve vedye yOgapadyena vizvak /
   * kṣiptvā madhye hāṭakastambhabhūtas tiṣṭhan viśvākāra eko 'vabhāsi ||	* kziptvA maDye hAwaka-stamBa-BUtaH tizWan viSva-AkAraH ekaH avaBAsi ||
   VSpkC_1.11:2	VSpkC_1.11:2
   * iti śrīvijñānabhairavakakṣyāstotranirdiṣṭasampradāyayuktyā	* iti SrI-vijQAna-BErava-kakzyA-stotra-nirdizwa-sampradAya-yuktyA
   nimīlanonmīlanasamādhinā yugapadvyāpakamadhyabhūmyavaṣṭambhād	nimIlana-unmIlana-samADinA yugapad-vyApaka-maDya-BUmi-avazwamBAt-
   adhyāsitaitadubhayavisargāraṇivigalitasakalavikalpo	aDyAsita-etad-uBaya-visarga-araNi-vigalita-sakala-vikalpaH-
   'kramasphāritakaraṇacakraḥ || VSpkC_1.11:3	akrama-sPArita-karaNa-cakraH || VSpkC_1.11:3
   * antarlakṣyo bahir dṛṣṭinimeṣonmeṣavarjitaḥ /	* antar-lakzyaH bahis dRzwi-nimeza-unmeza-varjitaH /
   * iyaṃ sā bhairavī mudrā sarvatantreṣu gopitā || VSpkC_1.11:4	* iyam sA BEravI mudrA sarva-tantrezu gopitA || VSpkC_1.11:4
   * ity āmnātabhagavadbhairavamudrānupraviṣṭo	* iti AmnAta-Bagavat-BErava-mudrA-anupravizwaH-
   mukurāntarnimajjadunmajjannānāpratibimbakadambakalpamanalpaṃ bhāvarāśiṃ	mukura-antar-nimajjat-unmajjan-nAnA-pratibimba-kadamba-kalpam-analpam BAva-rASim
   cidākāśa evoditam api tatraiva vilīyamānaṃ paśyan	cit-AkASaH eva-uditam api tatra-eva vilIyamAnam paSyan
   janmasahasrāpūrvaparamānandaghanalokottarasvasvarūpapratyabhijñānāt	janma-sahasra-apUrva-parama-Ananda-Gana-loka-uttara-sva-svarUpa-pratyaBijQAnAt
   jhaṭiti truṭitasakalavṛttiḥ smayamāno vismayamudrāpraviṣṭa iva	Jawiti truwita-sakala-vRttiH smayamAnaH vismaya-mudrA-pravizwaH iva
   mahāvikāsāsādanāc ca sahasaiva samuditasamucitatāttvikasvabhāvo yo	mahA-vikAsa-AsAdanAt ca sahasA-eva samudita-samucita-tAttvika-svaBAvaH yaH-
   yogīndra āste tiṣṭhati na tv avaṣṭambhāc chithilībhavati tasyeyamiti	yogi-indraH Aste tizWati na tu avazwamBAt SiTilIBavati tasya-iyam-iti
   sakalajagatkampakāriṇī kutsitā jananamaraṇādiprabandharūpā sṛtiḥ pravṛttiḥ	sakala-jagat-kampa-kAriNI kutsitA janana-maraNa-Adi-prabanDa-rUpA sRtiH pravRttiH
   kuto nijāśuddhilakṣaṇasya taddhetor abhāvān naiva bhavatītyarthaḥ ||	kutas nija-aSudDi-lakzaNasya tad-hetoH aBAvAt na-eva Bavati-iti-arTaH ||
   VSpkC_1.11:5	VSpkC_1.11:5
   * yathoktaṃ śrīpūrvaśāstre /	* yaToktam SrI-pUrvaSAstre /
   * tattve niścalacittas tu bhuñjāno viṣayān api /	* tattve niScala-cittaH tu BuQjAnaH vizayAn api /
   * naiva saṃspṛśyate doṣaiḥ padmapattram ivāmbhasā || VSpkC_1.11:6	* na-eva saMspRSyate dozEH padma-pattram iva-amBasA || VSpkC_1.11:6
   * viṣāpahārimantrādisaṃnaddho bhakṣayannapi /	* viza-apahAri-mantra-Adi-saMnadDaH Bakzayan=-api /
   * viṣaṃ na muhyate tena tadvadyogī mahāmatiḥ || VSpkC_1.11:7	* vizam na muhyate tena tadvat-yogI mahAmatiH || VSpkC_1.11:7
   * iti || VSpkC_1.11:8	* iti || VSpkC_1.11:8
   * atha ye śrutyantavidakṣapādamādhyamikādayaḥ kṣobhapralaye	* aTa ye Sruti-anta-vid-akza-pAdam-ADyamika-AdayaH kzoBa-pralaye
   viśvocchedarūpam abhāvātmakameva tattvam avaśiṣyata ity upādikṣan tān	viSva-ucCeda-rUpam aBAva-Atmakam-eva tattvam avaSizyate iti upAdikzan tAn
   pratibodhayituṃ tadupagatatattvaprātipakṣyeṇa lokottaratāṃ	pratiboDayitum tad-upagata-tattva-prAtipakzyeNa lokottaratAm
   prakaraṇaśarīrasya spandatattvasya nirūpayati || VSpkC_1.11:9]	prakaraNa-SarIrasya spanda-tattvasya nirUpayati || VSpkC_1.11:9]
   nābhāvo bhāvyatāmeti na ca tatrāsty amūḍhatā /	na-aBAvaH BAvya-tAm-eti na ca tatra-asti amUXa-tA /
   yato 'bhiyogasaṃsparśāt tadāsīd iti niścayaḥ // VSpk_1.12 //	yatas aBiyoga-saMsparSAt tadA-AsIt iti niScayaH // VSpc-_1.12 //
   atas tat kṛtrimaṃ jñeyaṃ sauṣuptapadavat sadā /	atas tat kRtrimam jQeyam sOzupta-pada-vat sadA /
   na tv evaṃ smaryamāṇatvaṃ tat tattvaṃ pratipadyate // VSpk_1.13 //	na tu evam smaryamANa-tvam tat tattvam pratipadyate // VSpc-_1.13 //
   * asad evedam agra āsīt || VSpkC_1.12-13:1	* asat eva-idam agre AsIt || VSpkC_1.12-13:1
   * ityādyuktyā śrutyantavidādyabhimato 'bhāvo bhāvyatāṃ naiti bhāvanāyā	* iti-Adi-uktyA Sruti-anta-vid-Adi-aBimataH aBAvaH BAvyatAm na-eti BAvanAyAH-
   bhāvyavastuviṣayatvād abhāvasya na kiṃcittvād bhāvyamānatāyāṃ vā kiṃcittve	BAvya-vastu-vizaya-tvAt aBAvasya na kiMcid-tvAt BAvyamAna-tAyAm vA kiMcittve
   satyabhāvatvābhāvāt kiṃca bhāvakasyāpi yatrābhāvaḥ sa viśvocchedaḥ kathaṃ	satyaBAva-tva-aBAvAt kiMca BAvakasya-api yatra-aBAvaH sa viSva-ucCedaH kaTam
   bhāvanīyaḥ bhāvakābhyupagame tu na viśvocchedo bhāvakasyāvaśiṣyamāṇatvād	BAvanIyaH BAvaka-aByupagame tu na viSva-ucCedaH BAvakasya-avaSizyamANa-tvAt-
   iti na viśvābhāva eva tattvam || VSpkC_1.12-13:2	iti na viSvABAvaH eva tattvam || VSpkC_1.12-13:2
   * atha kalpito 'yaṃ bhāvako viśvocchedaṃ vikalpakalpyamānaṃ bhāvayan	* aTa kalpitaH ayam BAvakaH viSva-ucCedam vikalpa-kalpyamAnam BAvayan
   bhāvanāpariniṣpattau bhāvyatādātmyād abhāvarūpaḥ sampadyata iti pakṣaḥ ||	BAvanA-parinizpattO BAvya-tAdAtmyAt aBAva-rUpaH sampadyate iti pakzaH ||
   VSpkC_1.12-13:3	VSpkC_1.12-13:3
   * tatrocyate tatrābhāvabhāvanāyāṃ nāmūḍhatā na ca tatrāsty amūḍhatā api tu	* tatra-ucyate tatra-aBAva-BAvanAyAm na-amUXa-tA na ca tatra-asti amUXa-tA api tu
   moha evāsti /	mohaH eva-asti /
   * yadyad evātibhāvyate /	* yat-yat eva-atiBAvyate /
   * bhāvanāpariniṣpattau tatsphuṭaṃ kalpadhīphalam || VSpkC_1.12-13:4	* BAvanA-parinizpattO tad-sPuwam kalpa-DI-Palam || VSpkC_1.12-13:4
   * iti nyāyād viśvocchedātmanyabhāve bhāvyamāne na kadācit paramārthāptir	* iti nyAyAt viSva-ucCeda-Atmani-aBAve BAvyamAne na kadAcid paramArTa-AptiH-
   bhavati || VSpkC_1.12-13:5	Bavati || VSpkC_1.12-13:5
   * athocyate /	* aTa-ucyate /
   * sarvālambanadharmaiś ca sarvatattvair aśeṣataḥ /	* sarva-Alambana-DarmEH ca sarva-tattvEH aSezatas /
   * sarvakleśāśayaiḥ śūnyaṃ na śūnyaṃ paramārthataḥ || VSpkC_1.12-13:6	* sarva-kleSa-ASayEH SUnyam na SUnyam paramArTataH || VSpkC_1.12-13:6
   * iti nāgārjunoktam īdṛśaṃ tac chūnyamiti || VSpkC_1.12-13:7	* iti nAgArjuna-uktam IdRSam tat SUnyam-iti || VSpkC_1.12-13:7
   * satyaṃ yadi cidānandaghanā svatantrā pāramārthikī bhittibhūtā bhūr	* satyam yadi cidAnanda-GanA svatantrA pAramArTikI Bitti-BUtA BUr
   abhyupeyate yathā vijñānabhairavādau pārameśvarīṃ dikkālakalanātītā ||	aByupeyate yaTA vijQAnaBErava-AdO pArameSvarIm dikkAla-kalana-atItAH ||
   VSpkC_1.12-13:8	VSpkC_1.12-13:8
   * ityādinā pāramārthikīṃ bhittibhūtāṃ cidbhūmim avasthāpya śūnyabhāvanoktā	* ityAdinA pAramArTikIm Bitti-BUtAm cit-BUmim avasTApya SUnya-BAvanA-uktA
   anyathā na śūnyam iti śūnyaiveyam uktiḥ yadyad evātibhāvyate iti	anyaTA na SUnyam iti SUnyA-eva-iyam uktiH yat-yat eva-atiBAvyate iti
   pratipāditatvāt || VSpkC_1.12-13:9	pratipAdita-tvAt || VSpkC_1.12-13:9
   * yattu || VSpkC_1.12-13:10	* yat-tu || VSpkC_1.12-13:10
   * sāvasthā kāpy avijñeyā mādṛśāṃ śūnyatocyate /	* sA-avasTA kA-api avijQeyA mAdRSAm SUnyatA-ucyate /
   * na punar lokarūḍhyeva nāstikyārthānupātinī || VSpkC_1.12-13:11	* na punar loka-rUXyA-iva nAstikya-arTa-anupAtinI || VSpkC_1.12-13:11
   * ityālokamālāyām uktaṃ tat tu satyaṃ tvādṛśām avijñeyā avijñeyatvād	* iti-Aloka-mAlAyAm uktam tat tu satyam tvAdRSAm avijQeyAH avijQeya-tvAt-
   vaktum aśakyety ucyatāṃ śūnyateti tu kutaḥ śūnyatāpi ca yāvad bhāvyate	vaktum aSakya-iti ucyatAm SUnyatA-iti tu kutas SUnyatA-api ca yAvat BAvyate
   tāvad vikalpollikhitatvād asau vivejñaiya || VSpkC_1.12-13:12	tAvat vikalpa-ulliKita-tvAt asO vivejQEya || VSpkC_1.12-13:12
   * yadi ca tvādṛśāṃ sā jñātumaśakyā tat	* yadi ca tvAdRSAm sA jQAtum-aSakyA tat-
   tatpadasākṣātkārābhijñasadgurusaparyā kāryā na tu śūnyateti	tad-pada-sAkzAtkAra-aBijQa-sat-guru-saparyA kAryA na tu SUnyatA-iti
   svamanīṣikayaiva vyavahṛtyātmā paraś cāgādhe mahāmohe nikṣeptavya ityalam	sva-manIzikayA-eva vyavahRtya-AtmA paraH ca-agADe mahA-mohe nikzeptavyaH iti-alam
   || VSpkC_1.12-13:13	|| VSpkC_1.12-13:13
   * atha kuto jñātaṃ tatra mūḍhatāstītyatrānenottaram āha yata iti ||	* aTa kutas jQAtam tatra mUXa-tA-asti-iti-atra-anena-uttaram Aha yatas iti ||
   VSpkC_1.12-13:14	VSpkC_1.12-13:14
   * abhiyogaḥ samādhānotthitasya kīdṛgaham āsamiti	* aBiyogaH samADAna-utTitasya kIdRS-aham Asam-iti
   tadavasthābhimukhavimarśātmābhilāpas tatsaṃsparśāt tadvaśāddhetos tad āsīd	tad-avasTA-aBimuKa-vimarSa-Atma-aBilApaH tad-saMsparSAt tad-vaSAt-hetoH tat AsIt-
   iti yato niścayaḥ gāḍhamūḍho 'ham āsam iti yato 'sti pratipattiḥ ato	iti yatas niScayaH gAXa-mUXaH aham Asam iti yatas asti pratipattiH atas-
   mohāvasthaiva sā kalpitā tathā smaryamāṇatvāt sā cānubhūyamānatvād	moha-avasTA-eva sA kalpitA taTA smaryamANa-tvAt sA ca-anuBUyamAna-tvAt-
   anubhavituḥ pramātur avasthātṛrūpasya pratyuta sattām āvedayate na tv	anuBavituH pramAtuH avasTAtR-rUpasya pratyuta sattAm Avedayate na tu-
   abhāvamiti viśvābhāvāvasthāyāṃ cidrūpasyākhaṇḍitameva rūpaṃ tiṣṭhatīti	aBAvam-iti viSvA-aBAva-avasTAyAm cit-rUpasya-aKaNxitam-eva rUpam tizWati-iti
   nāmuṣyābhāvo jātucid vaktuṃ śakyata ityuktaṃ bhavati || VSpkC_1.12-13:15	na-amuzya-aBAvaH jAtucit vaktum Sakyate iti-uktam Bavati || VSpkC_1.12-13:15
   * nanu dṛṣṭaṃ niścitaṃ nīlādi smaryate na ca śūnyabhūtasya	* nanu dRzwam niScitam nIla-Adi smaryate na ca SUnya-BUtasya
   nyagbhūtabuddhivṛtter niścayo 'sti tat kathamuktaṃ tad āsīd	nyagBUta-budDi-vRtteH niScayaH asti tat kaTam-uktam tat AsIt-
   ityauttarakālikān niścayān mūḍhatā seti || VSpkC_1.12-13:16	iti-Ottara-kAlikAt niScayAt mUXa-tA sA-iti || VSpkC_1.12-13:16
   * ucyate vedyasyaiṣā gatiḥ yasmāt tadidaṃtāsāramidaṃtayā yāvatpramātrā	* ucyate vedyasya-ezA gatiH yasmAt tad-idaMtA-sAram-idaMtayA yAvat-pramAtrA
   svātmopāroheṇa na niścitaṃ tāvan na smaryate vedakastu	sva-Atma-upAroheNa na niScitam tAvat na smaryate vedakaH-tu
   kalpitaśūnyādyavasthāsu saṃkucito 'py asāṃketikāhaṃtāparamārtha eveti na	kalpita-SUnya-Adi-avasTAsu saMkucitaH api asAMketika-ahaMtA-parama-arTaH eva-iti na
   tasya svātmani pṛthaktāstīti tanniścāyako vikalpaḥ ityahaṃvimṛśyameva tadā	tasya sva-Atmani pRTaktA-asti-iti tat-niScAyakaH vikalpaH iti-ahaMvimRSyam-eva tadA
   svasaṃvedane naiva siddhaṃ śūnyapramātṛrūpaṃ viśvapratiyogitvāc ca	sva-saMvedane na-eva sidDam SUnya-pramAtR-rUpam viSva-pratiyogi-tvAt ca
   saṃkocasāra || VSpkC_1.12-13:17	saMkocasAraH || VSpkC_1.12-13:17
   * saduttarakālaṃ smaryata iti na kācid anupapattir yasmād evamatas tac	* sat-uttara-kAlam smaryate iti na kAcid anupapattiH yasmAt evam-atas tat-
   chūnyātmakaṃ padaṃ kṛtrimam tasmād bhūtamabhūtaṃ vā yad yad evātibhāvyate	CUnya-Atmakam padam kRtrimam tasmAt BUtam-aBUtam vA yat yat eva-atiBAvyate
   * iti taduktayaiva nītyā abhūtabhāvanayaivotthāpitaṃ parameśvareṇaiva	* iti tad-uktayA-eva nItyA aBUta-BAvanayA-eva-utTApitam parameSvareNa-eva
   jñānagopanāyai mūḍhānām upeyatayā tathā bhāsitamityarthaḥ ||	jQAna-gopanAyE mUXAnAm upeya-tayA taTA BAsitam-iti-arTaH ||
   VSpkC_1.12-13:18	VSpkC_1.12-13:18
   * jñeyaṃ jñātavyaṃ jñeyarūpaṃ ca sadā suṣuptavaditi dṛṣṭāntaḥ ||	* jQeyam jQAtavyam jQeya-rUpam ca sadA suzupta-vat-iti dRzwAntaH ||
   VSpkC_1.12-13:19	VSpkC_1.12-13:19
   * ayaṃ bhāvaḥ sadā suṣuptaṃ moharūpamaprayāsasiddhaṃ sarvasyāstyeva tat	* ayam BAvaH sadA suzuptam moha-rUpam-aprayAsa-sidDam sarvasya-asti-eva tat-
   kim anena samādhiprayatnopārjitenānyena śūnyena kṛtyaṃ	kim anena samADi-prayatna-upArjitena-anyena SUnyena kRtyam
   dvayasyāpyavastutvāviśeṣād iti || VSpkC_1.12-13:20	dvayasya-api-avastu-tva-aviSezAt iti || VSpkC_1.12-13:20
   * prāyaścāsmin śūnye duruttare mahāmohārṇava eva	* prAyas-ca-asmin SUnye duruttare mahAmoha-arNavaH eva
   vedāntavidakṣapādasāṃkhyasaugatādiprāyā bahavo 'nupraviṣṭāḥ ||	vedAnta-vid-akza-pAda-sAMKya-sOgata-Adi-prAyAH bahavaH anupravizwAH ||
   VSpkC_1.12-13:21	VSpkC_1.12-13:21
   * spandatattvasamāvivikṣūṇām api ca śithilībhūtaprayatnānāṃ śūnyam etad	* spanda-tattva-samAvivikzUNAm api ca SiTilIBUta-prayatnAnAm SUnyam etat-
   vighnabhūtam || VSpkC_1.12-13:22	viGna-BUtam || VSpkC_1.12-13:22
   * yadvakṣyati /	* yat-vakzyati /
   * tadā tasminmahāvyomni || VSpkC_1.12-13:23	* tadA tasmin-mahA-vyomni || VSpkC_1.12-13:23
   * ityārabhya /	* iti-AraBya /
   * sauṣuptapadavanmūḍhaḥ || VSpkC_1.12-13:24	* sOzupta-pada-vat-mUXaH || VSpkC_1.12-13:24
   * iti || VSpkC_1.12-13:25	* iti || VSpkC_1.12-13:25
   * ata etaducchede granthakārasya mahān saṃrambho lakṣyate ||	* atas etat-ucCede granTakArasya mahAn saMramBaH lakzyate ||
   VSpkC_1.12-13:26	VSpkC_1.12-13:26
   * tathā ceha heyatayaiva tan nirṇīyāpi punarapi nirṇeṣyate /	* taTA ca-iha heya-tayA-eva tat nirNIya-api punar-api nirNezyate /
   * kāryonmukhaḥ prayatno yaḥ /	* kArya-unmuKaH prayatnaH yaH /
   * ityatra || VSpkC_1.12-13:27	* iti-atra || VSpkC_1.12-13:27
   * tato 'smābhir etaddūṣaṇārambhaḥ kṛta iti na naḥ kopaḥ kāryo	* tatas asmABiH etad-dUzaNa-AramBaH kRtaH iti na naH kopaH kAryaH-
   'trabhavadbhir upadeśanibhālanadattakarṇaiḥ || VSpkC_1.12-13:28	atraBavadBiH upadeSa-niBAlana-datta-karNEH || VSpkS_1.12-13:28
   * saugateṣu dūṣiteṣu śrutyantavādādayo dūṣitā eva tulyanyāyatvād iti	* sOgatezu dUzitezu Sruti-antavAda-AdayaH dUzitAH eva tulya-nyAya-tvAt iti
   nābhyadhikam uktam || VSpkC_1.12-13:29	na-aByaDikam uktam || VSpkC_1.12-13:29
   * tadidānīṃ prakṛtameva brūmahe tattu spandākhyaṃ tattvamevamiti śūnyavan	* tat-idAnIm prakRtam-eva brUmahe tat-tu spanda-AKyam tattvam-evam-iti SUnyavan
   na smaryamāṇatvaṃ pratipadyate tasya sarvadānusyūtopalabdhrekarūpasya	na smaryamANa-tvam pratipadyate tasya sarvadA-anusyUta-upalabDR-eka-rUpasya
   kadācid apy anupalabhyatvāyogāt || VSpkC_1.12-13:30	kadAcid api anupalaByatva-ayogAt || VSpkC_1.12-13:30
   * tathā cāhuḥ /	* taTA ca-AhuH /
   * vijñātāram ere kena vijānīyāt || VSpkC_1.12-13:31	* vijQAtAram ere kena vijAnIyAt || VSpkC_1.12-13:31
   * iti || VSpkC_1.12-13:32	* iti || VSpkC_1.12-13:32
   * yadyapi ca samāveśadaśā vyutthitena prāṇādisaṃskāravaśāt smaryate	* yadi-api ca samAveSa-daSA vyutTitena prANa-Adi-saMskAra-vaSAt smaryate
   tathāpi na tāvadeva spandatattvamapi tu	taTA-api na tAvat-eva spanda-tattvam-api tu
   sarvānusyūtānavacchinnaprakāśānandasāraparapramātṛrūpam eva tat ||	sarva-anusyUta-an-avacCinna-prakASa-Ananda-sAra-para-pramAtR-rUpam eva tat ||
   VSpkC_1.12-13:33	VSpkC_1.12-13:33
   * yadvakṣyati /	* yat-vakzyati /
   * tasmācchabdārthacintāsu na sāvasthā na yā śivaḥ || VSpkC_1.12-13:34	* tasmAt-Sabda-arTa-cintAsu na sA-avasTA na yA SivaH || VSpkC_1.12-13:34
   * iti || VSpkC_1.12-13:35	* iti || VSpkC_1.12-13:35
   * ato'syānavacchinnacamatkārarūpasya na jātucitsmaryamāṇatvaṃ mūḍhatvaṃ vā	* atas-asya-anavacCinna-camatkAra-rUpasya na jAtucit-smaryamANa-tvam mUXa-tvam vA
   || VSpkC_1.12-13:36	|| VSpkC_1.12-13:36
   * yastu tattattvamitīha tacchabdenāsya nirdeśaḥ kṛtaḥ sa ||	* yaH-tu tat-tattvam-iti-iha tad-Sabdena-asya nirdeSaH kRtaH saH ||
   VSpkC_1.12-13:37	VSpkC_1.12-13:37
   * svātantryāmuktam ātmānam || VSpkC_1.12-13:38	* svAtantrya-am-uktam AtmAnam || VSpkC_1.12-13:38
   * iti śrīpratyabhijñākārikoktanītyā kalpitasyaivāpāramārthikasvarūpasya na	* iti SrI-pratyaBijQA-kArikA-ukta-nItyA kalpitasya-eva-apAramArTika-svarUpasya na
   tu tattvataḥ pāramārthikasya || VSpkC_1.12-13:39	tu tattvataH pAramArTikasya || VSpkS_1.12-13:39
   * na pratipadyata ityanenedam āha asya tattvasya smaryamāṇatvena pratītir	* na pratipadyate iti-anena-idam Aha asya tattvasya smaryamANa-tvena pratItiH-
   eva nāstīti || VSpkC_1.12-13:40	eva na-asti-iti || VSpkC_1.12-13:40
   * nanu yatra sthitamityādau cidrūpasyaiva viśvakāryarūpatāgrāhitvamuktaṃ	* nanu yatra sTitam-ityAdO cit-rUpasya-eva viSva-kArya-rUpa-tA-grAhi-tvam-uktam
   taddhyānotthāpitaṃ kṛtrimamabhāvātmakaṃ rūpaṃ te naiva gṛhītamiti katham	tad-DyAna-utTApitam kRtrimam-aBAva-Atmakam rUpam te na-eva gRhItam-iti kaTam
   asyānavacchinnacamatkārarūpam amūḍhatvam ityāśaṅkāyām āha ||	asya-anavacCinna-camatkAra-rUpam amUXa-tvam iti-ASaFkAyAm Aha ||
   VSpkC_1.12-13:41]	VSpkC_1.12-13:41]
   avasthāyugalaṃ cātra kāryakartṛtvaśabditam /	avasTA-yugalam ca-atra kArya-kartR-tva-Sabditam /
