   Padmagupta (alias Parimala):	Padmagupta (aliaH Parimala):
   āstāṃ kim anyaiḥ phaṇibhiḥ saś cintyas Pnc_9.56a	AstAm kim anyEH PaNiBiH saH cintyaH Pnd _9.56a
   āste bhayād ālikhiteva tanvī Pnc_14.51d	Aste BayAt AliKitA iva tanvI Pn= _14.51d
   āsvāditalavāṅgailā  Pnc_11.10c	AsvAdita lava aFga elA Pn= _11.10c
   āhuta iva sāṭopaṃ Pnc_2.20a	AhutaH iva sa Awopam Pn= _2.20a
   āhur janā dīrghaguṇābhirāmaṃ Pnc_1.81c	AhuH janAH dIrGa guNa aBirAmam Pn= _1.81c
   āhṛtastanavilepane dṛśā Pnc_8.28c	AhRta stana vilepane dRSA Pn= _8.28c
   āhlādanaṃ nāma śaśiprabheti Pnc_9.40d	AhlAdanam nAma SaSipraBA iti Pn= _9.40d
   āhlādahetuḥ snigdheyam Pnc_2.62a	AhlAda hetuH snigDA iyam Pnd _2.62a
   iṅgitajño ramāṅgadaḥ Pnc_11.48d	iFgita jQaH ramAFgadaH Pn= _11.48d
   ita eva nivartadhvaṃ Pnc_16.99a	itas eva nivartaDvam Pnd _16.99a
   ita ehy ehi pāṭale Pnc_16.8b	itas ehi ehi pAwale Pnd _16.8b
   itarā padāṅkam iva matta  Pnc_15.42a	itarA pada aFkam iva matta Pn= _15.42a
   itaś cakorākṣi vicintya sūnṛtaṃ Pnc_7.55c	itas cakora akzi vicintya sUnRtam Pn= _7.55c
   itaś ca dṛṣṭeyam iti sprasūyate Pnc_4.25c	itas ca dRzwA iyam iti sprasUyate Pn= _4.25c
   itaś cetaś ca vepate Pnc_16.37d	itas ca itas ca vepate Pn= _16.37d
   itas tataḥ padmavane vimuñcati Pnc_4.15d	itas tatas padma vane vimuQcati Pn= _4.15d
   itas tataḥ śūnyatayā skhalantī Pnc_9.14c	itas tatas SUnyatayA sKalantI Pn= _9.14c
   itas tataḥ sampatati dvirephe Pnc_14.49b	itas tatas sampatati dvirePe Pnd _14.49b
   itas tale sañcaratām ahīnāṃ Pnc_14.22c	itas tale saQcaratAm ahInAm Pn= _14.22c
   itaḥ kadambād anivṛttahastam Pnc_14.51c	itas kadambAt anivRtta hastam Pn= _14.51c
   itaḥ karoti kalahaṃ Pnc_11.21c	itas karoti kalaham Pn= _11.21c
   itaḥ kāñcanapaṅkajam Pnc_16.102d	itas kAQcana paFkajam Pn= _16.102d
   itaḥ kim etasya na saikate saḥ kiṃ Pnc_4.35c	itas kim etasya na sEkate saH kim Pn= _4.35c
   itaḥ kriyante nayanotpalāni Pnc_14.25d	itas kriyante nayana utpalAni Pn= _14.25d
   itaḥ palvalapaṅkānto Pnc_2.64c	itas palvala paFkAntaH Pn= _2.64c
   itaḥ śilotsaṅgatale niṣeduṣā Pnc_4.33a	itas SilA utsaFga tale nizeduzA Pnc_4.33a
   itaḥ saś citrākṛtir īkṣato mṛgaḥ Pnc_4.25a	itas saH citra AkRtiH IkzataH mRgaH Pn= _4.25a
   iti kathayati cāpam arpayitvā Pnc_3.41a	iti kaTayati cApam arpayitvA Pnd _3.41a
   iti kiyad api yāvad eva cintā  Pnc_3.72a	iti kiyat api yAvat eva cintA Pn= _3.72a
   iti kiṃ cid eva na tava svamaṇḍale Pnc_10.24a	iti kim cit eva na tava sva maNxale Pn= _10.24a
   iti krudhaṃ tadvacasā sa ādade Pnc_13.53c	iti kruDam tad vacasA saH Adade Pn= _13.53c
   iti kṣitīśaśrutiśuktipeyām Pnc_9.25a	iti kzitISa Sruti Sukti peyAm Pnc_9.25a
   iti kṣitīśeṅgitavartmadīpikām Pnc_4.48c	iti kzitISa iFgita vartma dIpikAm Pn= _4.48c
   iti tadvacasaḥ sīmni Pnc_6.95a	iti tad vacasaH sImni Pnd _6.95a
   iti tadvacasā smaraikadūta  Pnc_5.58a	iti tad vacasA smara eka dUta Pn= _5.58a
   iti tam avekṣya sa cintayāṃ cakāra Pnc_3.64d	iti tam avekzya sa cintayAm cakAra Pn= _3.64d
   iti tasyās tathaivābhūd Pnc_6.44c	iti tasyAH taTA eva aBUt Pn= _6.44c
   iti tāṃ praṇayārdragirā Pnc_12.15c	iti tAm praNaya Ardra girA Pn= _12.15c
   iti tvayā svam evāśu Pnc_16.91c	iti tvayA svam eva ASu Pn= _16.91c
   iti nagam avagāhate sahāras Pnc_3.39c	iti nagam avagAhate sahAraH Pn= _3.39c
   iti nibiḍakutūhalākulas tāṃ Pnc_3.66c	iti nibixa kutUhala AkulaH tAm Pn= _3.66c
   iti nṛpateḥ svānte kṛtvā manomṛgavāgurāṃ Pnc_10.71a	iti nRpateH svAnte kRtvA manaH mRga vAgurAm Pn= _10.71a
   iti pārthivena kathite dadhan manāk Pnc_10.5a	iti pArTivena kaTite daDan manAk Pnc_10.5a
   iti pārśvagataṃ smitvā Pnc_2.45c	iti pArSva gatam smitvA Pn= _2.45c
   iti pārśvavartinam udīrya maunavān Pnc_10.45a	iti pArSva vartinam udIrya mOnavAn Pn= _10.45a
   iti pṛṣṭavate tasmai Pnc_16.19a	iti pRzwavate tasmE Pn= _16.19a
   iti prakṛtyā madhuroktir uktavān Pnc_4.26a	iti prakRtyA maDura uktiH uktavAn Pnd _4.26a
   iti prarohadbahumānamantharo Pnc_4.43c	iti prarohat bahu mAna manTaraH Pn= _4.43c
   iti pravādaḥ param īkṣituṃ ca tāṃ Pnc_13.33c	iti pravAdaH param Ikzitum ca tAm Pn= _13.33c
   iti prasarpatsmitacandrikaḥ śanair Pnc_7.76c	iti prasarpat smita candrikaH SanEs Pn= _7.76c
   iti priyasakhīsūkti  Pnc_6.103a	iti priya saKI sUkti Pn= _6.103a
   iti bhūtalavāsavaḥ sas tām Pnc_12.66a	iti BU tala vAsavaH saH tAm Pn= _12.66a
   iti me 'padiśya bhavatīṃ pravṛttayā Pnc_10.61c	iti me apadiSya BavatIm pravRttayA Pn= _10.61c
   iti me saḥ śāpatimirāvadhiṃ vyadhāt Pnc_10.47b	iti me saH SApa timira avaDim vyaDAt Pnc_10.47b
   iti valgu jalpati śuke 'tha vismayād Pnc_10.51a	iti valgu jalpati Suke aTa vismayAt Pn= _10.51a
   iti valgu vaco niśamya tasyāḥ Pnc_5.79a	iti valgu vacaH niSamya tasyAH Pnc_5.79a
   iti viratavacasy udīrya tasmin Pnc_3.26a	iti virata vacasi udIrya tasmin Pn= _3.26a
   iti śrute bhogabhṛtāṃ kulasya Pnc_9.39d	iti Srute BogaBRtAm kulasya Pn= _9.39d
   iti sābhihitā mṛgāyatākṣī Pnc_4.61a	iti sa aBihitA mRga Ayata akzI Pn= _4.61a
   iti sā vasudhāpater nideśād atha Pnc_5.6c	iti sA vasuDA pateH nideSAt aTa Pn= _5.6c
   iti sā samudīrya tatpṛṣatkān Pnc_5.45a	iti sA samudIrya tad pRzatkAn Pnd _5.45a
   iti sūnṛtayā vācā Pnc_11.39c	iti sUnRtayA vAcA Pn= _11.39c
   iti sphuranti sma tadaiva vācaḥ Pnc_9.36d	iti sPuranti sma tadA eva vAcaH Pn= _9.36d
   iti smitakṣālitadantavāsasā Pnc_7.44c	iti smita kzAlita danta vAsasA Pn= _7.44c
   iti smitasudhārdreṇa Pnc_6.20c	iti smita suDA ArdreNa Pn= _6.20c
   iti smitāpy āyitadantadīdhitir Pnc_7.59c	iti smitA api Ayita danta dIDitiH Pn= _7.59c
   itīṅgitajñe vadati priyaṃvade Pnc_7.23a	iti iFgita jQe vadati priyaMvade Pn= _7.23a
   itītivṛttaṃ tadupāśrayaṃ tathā Pnc_7.70a	iti iti vRttam tat upASrayam taTA Pn= _7.70a
   itīrayantyāḥ kuṭilaṃ vacaḥ karād Pnc_7.28c	iti IrayantyAH kuwilam vacaH karAt Pn= _7.28c
   itīva nirvyājam udīrya tatyaje Pnc_7.27c	iti iva nirvyAjam udIrya tatyaje Pn= _7.27c
   itīva mattālirutena yācyate Pnc_4.17d	iti iva matta ali rutena yAcyate Pn= _4.17d
   itīva mumuce tena Pnc_2.17c	iti iva mumuce tena Pn= _2.17c
   itīva saḥ khagārāvair Pnc_2.32c	iti iva saH Kaga ArAvEH Pn= _2.32c
   ito gātraparāvṛtti  Pnc_11.25a	itas gAtra parAvRtti Pnd _11.25a
   ito 'dya yāntī purato mayā sā Pnc_9.12a	itas adya yAntI puratas mayA sA Pnd _9.12a
   ito nitambair asitekṣaṇānāṃ Pnc_14.17c	itas nitambEH asita IkzaNAnAm Pn= _14.17c
   ito 'py ayam ṛṣiḥ Pnc_11.26a	itas api ayam RziH Pnc_11.26a
   ito mithaḥ pārśvavighaṭṭiteṣu Pnc_14.21a	itas miTas pArSva viGawwitezu Pnd _14.21a
   ito rasaṃ pallavayanti vīraṃ Pnc_14.24a	itas rasam pallavayanti vIram Pn= _14.24a
   ito latāḥ pārthiva saṃrabhante Pnc_14.34c	itas latAH pArTiva saMraBante Pn= _14.34c
   ito 'vataṃsotpalalāsyadeśike Pnc_4.51a	itas avataMsa utpala lAsya deSike Pn= _4.51a
   ito vanyena dantinā Pnc_2.62b	itas vanyena dantinA Pnc_2.62b
   ito vanyebhamuktābhir Pnc_2.70c	itas vanya iBa muktABiH Pn= _2.70c
   ito vānti havir dhūma  Pnc_11.18a	itas vAnti haviH DUma Pn= _11.18a
   ito vimānair maṇipañjaraśrīḥ Pnc_14.37d	itas vimAnEH maNi paQjara SrIH Pn= _14.37d
   ito 'sti gavyūtiśatārdhamātraṃ Pnc_9.51a	itas asti gavyUti Sata arDa mAtram Pn= _9.51a
   ito hiraṇmayī bhūmis Pnc_11.19a	itas hiraNmayI BUmiH Pnc_11.19a
   ity akālajaladādivaikṛte Pnc_8.16a	iti akAla jalada Adi vEkRte Pn= _8.16a
   ity añcalāsaktalato na yāñcām Pnc_14.60c	iti aQcala AsaktalataH na yAQcAm Pn= _14.60c
   ity abravīd uraganetraparamparābhir Pnc_18.42c	iti abravIt uraga netra paramparABiH Pn= _18.42c
   ity abhāṣyata bhūpālaḥ Pnc_6.107c	iti aBAzyata BUpAlaH Pn= _6.107c
   ity amandaḥ pravādo 'tra Pnc_16.12c	iti amandaH pravAdaH atra Pn= _16.12c
   ity avigrahavatī nabhastalāt Pnc_8.11c	iti avigrahavatI naBastalAt Pn= _8.11c
   ity avocata dantāṃśu  Pnc_16.9c	iti avocata danta aMSu Pn= _16.9c
   ityādi vyāharantī sā Pnc_6.86a	ityAdi vyAharantI sA Pnd _6.86a
   ity āpatan madanabāṇaparamparāṇām Pnc_18.9a	iti Apatat madana bANa paramparANAm Pn= _18.9a
   ity āśvāsayatīva tvām Pnc_6.70c	iti ASvAsayati iva tvAm Pn= _6.70c
   ity uktavati sāmarṣa  Pnc_16.92a	iti uktavati sa amarza Pn= _16.92a
   ity ukte masṛṇaṃ tena Pnc_2.71a	iti ukte masRNam tena Pn= _2.71a
   ity ukte muninā sa atha Pnc_11.119a	iti ukte muninA sa aTa Pnd _11.119a
   ity uktvā kopataralaṃ Pnc_16.103c	iti uktvA kopa taralam Pn= _16.103c
   ity uktvā virate tasmin Pnc_2.52a	iti uktvA virate tasmin Pn= _2.52a
   ity uktvā virate tasmin Pnc_11.48a	iti uktvA virate tasmin Pn= _11.48a
   ity uktvā sūkticaturo Pnc_11.113a	iti uktvA su ukti caturaH Pnc_11.113a
   ityujjvale tasya vacaḥprasūne Pnc_14.77a	iti ujjvale tasya vacaH prasUne Pn= _14.77a
   ity udīrya maṇikāntikandalīḥ Pnc_9.66a	iti udIrya maNi kAnti kandalIH Pn= _9.66a
   ity uvāca maṇipañjare sthito Pnc_8.73c	iti uvAca maNi paQjare sTitaH Pn= _8.73c
   ity ekadā saṃsadi pannagendraḥ Pnc_9.42d	iti ekadA saMsadi pannaga indraH Pn= _9.42d
   ity eṣa sīyakanarendranandanaḥ Pnc_8.77d	iti eza sIyaka narendra nandanaH Pn= _8.77d
   idam aṅgadavartinā karair Pnc_12.17a	idam aFgada vartinA karEH Pnc_12.17a
   idam añjananīlam āhataṃ Pnc_12.55a	idam aQjana nIlam Ahatam Pn= _12.55a
   idam atrādbhutaṃ paśya Pnc_11.22a	idam atra adButam paSya Pnd _11.22a
   idam ambarapalvalodarād Pnc_12.25a	idam ambara palvala udarAt Pnc_12.25a
   idam ardhavilokitādharaṃ Pnc_12.18a	idam arDa vilokita aDaram Pn= _12.18a
   idam ātāmrakapolam ānanam Pnc_12.38d	idam AtAmra kapolam Ananam Pn= _12.38d
   idam āttanītipatham ādade vacaḥ Pnc_10.5c	idam AttanItipaTam Adade vacaH Pn= _10.5c
   idam ābharaṇaṃ harasy araṇye Pnc_5.70c	idam ABaraNam harasi araNye Pn= _5.70c
   idam ārdrayatīva me mano Pnc_12.23c	idam Ardrayati iva me manaH Pn= _12.23c
   idam ārya tat tvayi vimuktayantraṇo Pnc_10.53c	idam Arya tat tvayi vimukta yantraNaH Pn= _10.53c
   idam indīvaradāmakāntibhiḥ Pnc_12.43b	idam indIvara dAma kAntiBiH Pnc_12.43b
   idam indrajālam iti me samutthitām Pnc_10.3a	idam indrajAlam iti me samutTitAm Pnd _10.3a
   idam udgatam indumaṇḍalaṃ Pnc_12.52a	idam udgatam indu maNxalam Pn= _12.52a
   idam uṣṇakareṇa kṛṣyate Pnc_12.22c	idam uzNa kareNa kRzyate Pn= _12.22c
   idam om iti gṛhyate vacas te Pnc_5.61a	idam om iti gRhyate vacaH te Pnd _5.61a
   idaṃ nirjitabālyasya Pnc_6.66c	idam nirjita bAlyasya Pn= _6.66c
   idaṃ nṛpa tvām avalokya jātaṃ Pnc_9.3a	idam nRpa tvAm avalokya jAtam Pn= _9.3a
   idaṃ madhyamalokendor Pnc_16.22c	idam maDyama loka indoH Pn= _16.22c
   idaṃ mahac citram amānuṣaṃ tvayā Pnc_4.54a	idam mahat citram amAnuzam tvayA Pn= _4.54a
   idaṃ mṛṇālad api komalaṃ vapus Pnc_7.50a	idam mRNAlat api komalam vapuH Pnc_7.50a
   idaṃ vadāśikṣata kaitavaṃ kutas Pnc_7.52a	idam vada aSikzata kEtavam kutas Pnd _7.52a
   idaṃ hi tātābharaṇaṃ hṛtaṃ mama Pnc_13.53b	idam hi tAta ABaraNam hRtam mama Pnd _13.53b
   indāv eva kumudvatī Pnc_6.90d	indO eva kumudvatI Pn= _6.90d
   indukāntaśileva tvam Pnc_6.64c	indu kAnta SilA iva tvam Pn= _6.64c
   indudyutiḥ kundasitān dadhānā Pnc_1.72a	indu dyutiH kunda sitAn daDAnA Pn= _1.72a
   Indumauligalakandalāsitaṃ Pnc_8.12c	Indu mOli gala kandalAsitam Pn= _8.12c
   indur bhāsām ivākaraḥ Pnc_16.85d	induH BAsAm iva AkaraH Pn= _16.85d
   indusūtim avanīndur ādṛtaḥ Pnc_8.78d	indu sUtim avani induH AdRtaH Pn= _8.78d
   indusūtir vilokitā Pnc_11.105d	indu sUtiH vilokitA Pn= _11.105d
   induḥ kaṭakamāṇikyaṃ Pnc_11.56a	induH kawaka mANikyam Pn= _11.56a
   indoḥ sudhānidhānatvaṃ Pnc_11.41c	indoH suDA niDAna tvam Pn= _11.41c
   indranīlakapiśīrṣakaṃ tataḥ Pnc_8.61a	indranIlaka piSIrzakam tatas Pn= _8.61a
   indranīlapratolītaḥ Pnc_11.2a	indranIla pratolItaH Pn= _11.2a
   indranīlamaṇikāntimecakaṃ Pnc_8.65c	indranIla maNi kAnti mecakam Pn= _8.65c
   ibhakumbhabhittidalanodyame harer Pnc_10.14c	iBa kumBa Bitti dalana udyame hareH Pn= _10.14c
   imā navanavāścarya  Pnc_2.54c	imAH nava nava AScarya Pn= _2.54c
   imā vimānāvalayaḥ kathaṃ cid Pnc_14.14c	imAH vimAna AvalayaH kaTam cit Pn= _14.14c
   imāṃ tvadākāranirūpiṇe sakhīm Pnc_7.65a	imAm tvad AkAra nirUpiNe saKIm Pnd _7.65a
   imāḥ kva vindhyasya bhuvo 'tidurgamāḥ Pnc_4.54c	imAH kva vinDyasya BuvaH ati durgamAH Pn= _4.54c
   imāḥ śarkarilā bhuvaḥ Pnc_2.70d	imAH SarkarilA BuvaH Pn= _2.70d
   imāḥ samaṃ prāṇasamair vane 'smin Pnc_14.38a	imAH samam prANa samEH vane asmin Pn= _14.38a
   ime pṛṣatkā api pārthivaśriyo Pnc_4.32c	ime pRzatkAH api pArTiva SriyaH Pn= _4.32c
   iyattayā muktam avaimi naipuṇaṃ Pnc_7.7a	iyat tayA muktam avEmi nEpuNam Pn= _7.7a
   iyam atyacchahṛdaye Pnc_16.36a	iyam atyacCa hRdaye Pn= _16.36a
   iyam aśrutaraṅgitāṃ dṛśaṃ Pnc_12.31a	iyam aSru taraFgi tAm dRSam Pn= _12.31a
   iyam ādhiṃ dhunoti te Pnc_6.71b	iyam ADim Dunoti te Pnc_6.71b
   iyam āpāṇḍugaṇḍena Pnc_16.27c	iyam ApANxu gaNxena Pn= _16.27c
   iyam indudyutiharaṃ Pnc_16.38a	iyam indu dyuti haram Pn= _16.38a
   iyam indusamudgakādito Pnc_12.56c	iyam indu samudga ka At itas Pn= _12.56c
   iyam indoḥ prathamodgatā kalā Pnc_12.49b	iyam indoH praTama udgatA kalA Pnd _12.49b
   iyam ucchvasitā kim cit Pnc_16.45c	iyam ucCvasitA kim cit Pn= _16.45c
   iyam utsannasaṅgītā Pnc_16.115c	iyam utsanna saFgItA Pn= _16.115c
   iyaṃ kim u syād vanadevatāgatā ? Pnc_4.24a	iyam kim u syAt vana devatA gatA ? Pn= _4.24a
   iyaṃ kṛśāṅgī kusumāstraśaṅkayā Pnc_7.13c	iyam kRSa aFgI kusuma astra SaFkayA Pn= _7.13c
   iyaṃ ca manmathasyāstraṃ Pnc_6.68c	iyam ca manmaTasya astram Pn= _6.68c
   iyaṃ jagannetracakoracandrikā Pnc_7.6c	iyam jagat netra cakora candrikA Pn= _7.6c
   iyaṃ tavānena virājatetarāṃ Pnc_7.8a	iyam tava anena virAjata itarAm Pn= _7.8a
   iyaṃ triyāmāpatikāntipeśalaṃ Pnc_7.18a	iyam triyAmA pati kAnti peSalam Pn= _7.18a
   iyaṃ natāṅgī jagadekasundare Pnc_7.11a	iyam nata aFgI jagat eka sundare Pn= _7.11a
   iyaṃ na yasyātithitāṃ gatā dṛśor Pnc_7.5c	iyam na yasya atiTi tAm gatAH dRSoH Pn= _7.5c
   iyaṃ pakṣmāgravartyaśru  Pnc_16.26c	iyam pakzma agra varti aSru Pn= _16.26c
   iyaṃ patākāsya rasātalasya Pnc_9.38b	iyam patAkA asya rasAtalasya Pnd _9.38b
   iyaṃ paribhrāntir agendrakandare Pnc_4.59a	iyam pariBrAntiH aga indra kandare Pnc_4.59a
   iyaṃ puro niryatidūram āyate Pnc_7.17a	iyam puras niryati dUram Ayate Pn= _7.17a
   iyaṃ puro mārutanartitālakā Pnc_4.18c	iyam puras mAruta narti tAlakA Pn= _4.18c
   iyaṃ pravālāsitaratnamauktikair Pnc_7.16c	iyam pravAla asita ratna mOktikEH Pn= _7.16c
   iyaṃ bhujaṅgālayaratnadīpikā Pnc_7.6b	iyam BujaFga Alaya ratna dIpikA Pnc_7.6b
   iyaṃ madīyā bhavitavyatedṛśī Pnc_13.58b	iyam madIyA BavitavyatA IdRSI Pnc_13.58b
   iyaṃ mahīpāla vilokitena te Pnc_7.21a	iyam mahIpAla vilokitena te Pnd _7.21a
   iyaṃ mūrtir mahārāja Pnc_16.10c	iyam mUrtiH mahA rAja Pn= _16.10c
   iyaṃ yadā pṛṣṭavatī sakhījanam Pnc_7.63b	iyam yadA pRzwavatI saKI janam Pnc_7.63b
   iyaṃ yugena stanayor virājate Pnc_7.19b	iyam yugena stanayoH virAjate Pnd _7.19b
   iyaṃ vilāsorminimagnaśaiśavaṃ Pnc_7.10a	iyam vilAsa Urmi nimagna SESavam Pnd _7.10a
   iyaṃ śanaiḥ śailanadīva ca kvacit Pnc_4.19c	iyam SanEs SEla nadI iva ca kvacid Pn= _4.19c
   iyaṃ śvasiti naḥ sakhī Pnc_16.46d	iyam Svasiti naH saKI Pn= _16.46d
   iyaṃ sudhā mugdhavilāsajanmabhūr Pnc_7.6a	iyam suDA mugDa vilAsa janma BUH Pnd _7.6a
   iyaṃ hi bālocchvasito manobhuvas Pnc_7.67c	iyam hi bAla ucCvasitaH manoBuvaH Pn= _7.67c
   iṣuṃ ruṣeva pratibhoktum udyatā Pnc_7.17c	izum ruzA iva pratiBoktum udyatA Pn= _7.17c
   iha kiṃ pratisphurati me tavāgrato Pnc_10.6a	iha kim pratisPurati me tava agratas Pnd _10.6a
   iha dolāyitam īkṣaṇadvaye Pnc_12.46b	iha dolAyitam IkzaNa dvaye Pnc_12.46b
   iha palvalasaikateṣu yāvat Pnc_5.62c	iha palvala sa ekatezu yAvat Pn= _5.62c
   iha paśya niśāvadhūmukhe Pnc_12.53c	iha paSya niSA vaDU muKe Pn= _12.53c
   iha bhānty atilohitātapa  Pnc_12.27a	iha BAnti ati lohita Atapa Pn= _12.27a
   iha viharanti nagendrakandareṣu Pnc_3.28d	iha viharanti naga indra kandarezu Pn= _3.28d
   iha saṃyogam āpsyasi Pnc_6.94b	iha saMyogam Apsyasi Pnc_6.94b
   iha sākṣitayālam āvayor Pnc_12.65c	iha sAkzi tayA alam AvayoH Pn= _12.65c
   iha hi vayaṃ vacasi sthitās taveti Pnc_9.67b	iha hi vayam vacasi sTitAH tava iti Pn= _9.67b
   ihāṅganābhiḥ svamukhachalena Pnc_14.23c	iha aFganABiH sva muKa Calena Pn= _14.23c
   ihānutāpo bhagavan vimucyatām Pnc_13.58a	iha anutApaH Bagavan vimucyatAm Pnd _13.58a
   ihaitad ālikhya śilātale śanair Pnc_7.52c	iha etat AliKya SilA tale SanEs Pn= _7.52c
   īśvareṇa ruruce na medinī Pnc_8.45b	ISvareNa ruruce na medinI Pnc_8.45b
   ukte tayety akṛta kāñcanapuṣkaraṃ tad Pnc_18.41a	ukte tayA iti akRta kAQcana puzkaram tat Pnc_18.41a
   uktveti tām ahisutām agaman gṛhāṇi Pnc_18.67c	uktvA iti tAm ahi sutAm agaman gRhANi Pn= _18.67c
   uktveti tūṣṇīm abhavan nṛsomaḥ Pnc_9.35a	uktvA iti tUzNIm aBavat nR somaH Pnd _9.35a
   uktveti divyakusumair avakīrya maulau Pnc_18.45c	uktvA iti divya kusumEH avakIrya mOlO Pn= _18.45c
   uktvety anargham atipāvanam arpitaṃ tad Pnc_18.53a	uktvA iti anarGam ati pAvanam arpitam tat Pnc_18.53a
   ucitaṃ gantum ataḥ kṛpāvati Pnc_12.65d	ucitam gantum atas kRpAvati Pn= _12.65d
   ucitaṃ na tan mayi rahasyagopanam Pnc_10.50d	ucitam na tat mayi rahasya gopanam Pn= _10.50d
   ucitaṃ nijasāyakānurodhād Pnc_5.77a	ucitam nija sAyaka anuroDAt Pn= _5.77a
   ucitā kva śaśiprabhā Pnc_16.94d	ucitA kva SaSipraBA Pn= _16.94d
   uccaiḥ sphaṭikaviṣṭare Pnc_16.72b	uccEs sPawika vizware Pn= _16.72b
   ucchindataḥ kṣmāsarasīṃ vigāhya Pnc_1.85a	ucCindataH kzmA sarasIm vigAhya Pn= _1.85a
   ujjagāmāgnitaḥ ko 'pi Pnc_11.68c	ujjagAma agnitaH kaH api Pn= _11.68c
   Ujjayinyāṃ puri sthitaḥ Pnc_11.99b	UjjayinyAm puri sTitaH Pnc_11.99b
   ujjhati sma saḥ śanaiḥ samucchvasan Pnc_8.33a	ujJati sma saH SanEs samucCvasan Pn= _8.33a
   ujjhitā jhaṭiti kāryagauravād Pnc_8.45a	ujJitA Jawiti kArya gOravAt Pn= _8.45a
   uṭajaprāṅgaṇaṃ gobhir Pnc_11.24c	uwaja prAFgaNam goBiH Pnc_11.24c
   uḍunikarakāntim ādade Pnc_15.20b	uxu nikara kAntim Adade Pnc_15.20b
   uḍubhiḥ kham itas tataḥ kṣaṇād Pnc_12.47a	uxuBiH Kam itas tatas kzaNAt Pnc_12.47a
   uta mukulitamanmathāvatāre Pnc_3.70c	uta mukulita manmaTa avatAre Pn= _3.70c
   utkṣipya vepathumatā karapallavena Pnc_18.4a	utkzipya vepaTumatA karapallavena Pn= _18.4a
   utkhaṇḍitānīva saroruhāṇi Pnc_17.22d	utKaNxitAni iva saroruhANi Pn= _17.22d
   utkhyāya cotkhāya ca kautukena Pnc_9.53b	utKyAya ca utKAya ca kOtukena Pnd _9.53b
   uttambhayantīva tale satarkam Pnc_14.82c	uttamBayantI iva tale sa tarkam Pn= _14.82c
   uttaṃsam asyāḥ sadṛśaḥ karoti Pnc_14.58d	uttaMsam asyAH sadRSaH karoti Pn= _14.58d
   uttaṃsitenduśakalāya kapālajūṭa  Pnc_18.22a	uttaMsita indu SakalAya kapAla jUwa Pn= _18.22a
   uttānitānīva vilocanāni Pnc_14.35d	uttAnitAni iva vilocanAni Pn= _14.35d
   uttāpitāṣṭāpadaratnaśobhi Pnc_14.47d	uttApita azwApada ratna SoBi Pn= _14.47d
   uttālavaivasvatatālavṛnta  Pnc_17.19c	uttAla vEvasvata tAlavRnta Pn= _17.19c
   uttiṣṭha purato bhava Pnc_16.117b	uttizWa puratas Bava Pn= _16.117b
   uttuṅgaratnaprāsādāṃ Pnc_16.66c	uttuFga ratna prAsAdAm Pn= _16.66c
   utpakṣmaṇā nirupamollasitapramoda  Pnc_18.38a	utpakzmaNA nirupama ullasita pramoda Pn= _18.38a
   utpatan nipatad agrato muhur Pnc_8.56a	utpatan nipatat agratas muhur Pnd _8.56a
   utpatann utpatann eva Pnc_2.42c	utpatan utpatan eva Pn= _2.42c
   utpatākamaṇitoraṇāṅkitaṃ Pnc_8.62a	utpatAka maNi toraNa aFkitam Pn= _8.62a
   utpalasya sarasaṃ lasatspṛhā Pnc_8.17c	utpalasya sarasam lasat spRhA Pn= _8.17c
   utpākam eṣa ca phalaṃ phaṇirājakanyā  Pnc_18.12c	utpAkam eza ca Palam PaNi rAja kanyA Pn= _18.12c
   utprekṣyase pannagarājaputri Pnc_10.68d	utprekzyase pannaga rAja putri Pn= _10.68d
   utplutya vegāt pavamānamārgaṃ Pnc_17.12a	utplutya vegAt pavamAna mArgam Pn= _17.12a
   utplutya helāhatasaṃmukhārir Pnc_17.62a	utplutya helA hata saMmuKAriH Pn= _17.62a
   utsannalīlāsmitacandrikāni Pnc_9.54d	utsanna lIlA smita candrikAni Pn= _9.54d
   utsārayantaḥ paritas tamāṃsi Pnc_14.11b	utsArayantaH paritas tamAMsi Pnd _14.11b
   utsṛjya gītam asamāpya vilāsalāsyam Pnc_18.3a	utsRjya gItam asamApya vilAsala Asyam Pnc_18.3a
   udagrakampasya kucadvayasya Pnc_9.18d	udagra kampasya kuca dvayasya Pn= _9.18d
   udagrakallolakadarthitagrahair Pnc_13.38a	udagra kallola kadarTita grahEH Pn= _13.38a
   udagraturagārūḍhaḥ Pnc_2.2a	udagra turaga ArUXaH Pnd _2.2a
   udagradigvāraṇahastahāriṇā Pnc_4.8a	udagra diS vAraNa hasta hAriNA Pn= _4.8a
   udagrapuṇḍarīkatvaṃ Pnc_2.23c	udagra puNxarIka tvam Pn= _2.23c
   udagrabhogair ahibhiḥ parītā Pnc_9.12c	udagra BogEH ahiBiH parItA Pn= _9.12c
   udagram asurendrasya Pnc_11.108c	udagram asura indrasya Pn= _11.108c
   udañcadindracāpāni Pnc_11.61a	udaQcat indracApAni Pn= _11.61a
   udañcitavyāyatapakṣmaṇā tataḥ Pnc_7.66a	udaQcita vyAyata pakzmaNA tatas Pn= _7.66a
   udañcitāḥ kāñcanakaṅkaṭebhyaḥ Pnc_17.2b	udaQcitAH kAQcana kaFkaweByaH Pnd _17.2b
   udaḍīyata khe mukhena bibhrad Pnc_5.35a	udaxIyata Ke muKena biBrat Pnc_5.35a
