   Rājanighaṇṭu, Maṅgalācaraṇa	RAjani GaNwu, MaFgala AcaraNa
   śaśāṇḍulī bahuphalā taṇḍulī kṣetrasambhavā /	SaSANxulI bahuPalA taNxulI kzetra samBavAH /
   kṣudrāmlā lomaśaphalā dhūmravṛttaphalā ca sā // Rajni_7.217	kzudrAmlA lomaSaPalA DUmra vRttaPalA ca sA // Rajni_7.217
   śaśāṇḍulī tiktakaṭuś ca komalā kaṭvamlayuktā jaraṭhā kaphāpahā /	SaSANxulI tikta kawuH ca komalA kawu amla yuktA jaraWA kaPa apahA /
   pāke tu sāmlā madhurā vidāhakṛt kaphaś ca śuṣkā rucikṛc ca dīpanī //	pAke tu sa amlA maDurA vidAha kRt kaPaH ca SuzkA ruci kRt ca dIpanI //
   Rajni_7.218	Rajni_7.218
   kuḍuhuñcī śrīphalikā pratipattraphalā ca sā /	kuxuhuQcI SrIPalikA pratipattraPalA ca sA /
   śubhravī kāravī caiva proktā bahuphalā tathā // Rajni_7.219	SuBravI kAravI ca eva proktA bahuPalA taTA // Rajni_7.219
   kṣudrakāralikā proktā jñeyā kandalatā tathā /	kzudrakAralikA proktA jQeyA kandala tA taTA /
   kṣudrādikāravallī ca proktā sā ca navāhvayā // Rajni_7.220	kzudra Adi kAravallI ca proktA sA ca nava AhvayA // Rajni_7.220
   kuḍuhuñcī kaṭur uṣṇā tiktā rucikāriṇī ca dīpanadā /	kuxuhuQcI kawuH uzNA tiktA ruci kAriNI ca dIpana dAH /
   raktāniladoṣakarī pathyāpi ca sā phale proktā // Rajni_7.221	rakta anila doza karI paTyA api ca sA Pale proktAH // Rajni_7.221
   kāralīkandam arśoghnaṃ malarodhaviśodhanam /	kAralI kandam arSaH Gnam mala roDa viSoDanam /
   yoninirgatadoṣaghnaṃ garbhasrāvaviṣāpaham // Rajni_7.222	yoni nirgata doza Gnam garBasrAva viza apaham // Rajni_7.222
   iti mūlakandaphalapattrasundarakramanāmatadguṇanirūpaṇolvaṇam /	iti mUla kanda Pala pattra sundara krama nAma tad guNa nirUpaNa ulvaNam /
   avalokya vargam imam āmayocitām agadaprayuktim avabudhyatāṃ budhaḥ //	avalokya vargam imam Amaya ucitAm agada prayuktim avabuDyatAm buDaH //
   Rajni_7.223	Rajni_7.223
   mandāgnim arocakinaṃ ye 'pi śilām āśayanti nijaśaktyā /	manda agnim arocakinam ye api SilAm ASayanti nija SaktyA /
   teṣāṃ śākānām ayam āśrayabhūḥ śākavarga iti kathitaḥ // Rajni_7.224	tezAm SAkAnAm ayam ASraya BUH SAka vargaH iti kaTitaH // Rajni_7.224
   labdhānyo 'nyasahāyavaidyakakulāc chaṅkākalaṅkāpanut dasraikyāvataro 'yam	labDAnyaH anya sahAya vEdyaka kulAt SaFkA kalaFka apanud dasra EkyAvataraH ayam
   ity avirataṃ santaḥ praśaṃsanti yam /	iti aviratam santaH praSaMsanti yam /
   tasya śrīnṛhareḥ kṛtāv avasito yo malakādir mahān vargo 'sāv	tasya SrI nRhareH kRtO avasitaH yaH malaka AdiH mahAn vargaH asO= 
   abhidhānakośapariṣaccūḍāmaṇau saptamaḥ // Rajni_7.225	aBiDAna koSa parizad cUxAmaNO saptamaH // Rajni_7.225
   Rājanighaṇṭu, Śālmalyādivarga	RAjani GaNwu, ŚAlmalyAdi varga
   śālmalī tasya niryāso rohitaś caikavīrakaḥ /	SAlmalI tasya niryAsaH rohitaH ca ekavIrakaH /
   pāribhadro 'tha khadiras tridhāriḥ khādiraḥ smṛtaḥ // Rajni_8.1	pAriBadraH aTa KadiraH triDA ariH KAdiraH smRtaH // Rajni_8.1
   śamīdvayaṃ ca barburadvitayaṃ cārimedakaḥ /	SamI dvayam ca barbura dvitayam ca arimedakaH /
   pakvāṇḍeṅgudikā proktā niṣpattrī ca snuhī dvidhā // Rajni_8.2	pakvANxa iFgudikA proktA nizpattrI ca snuhI dviDA // Rajni_8.2
   kanthārikā tridhairaṇḍo ghoṇṭā vallīkarañjakaḥ /	kanTArikA triDA eraNxaH GoNwA vallIkaraQjakaH /
   kārikā madanas tredhā bilvāntaras taraṭṭikā // Rajni_8.3	kArikA madanaH treDA bilva antaraH tarawwikA // Rajni_8.3
   śrīvallī kuñjikā caiva rāmakāṇḍas tathāparaḥ /	SrIvallI kuQjikA ca eva rAmakANxaH taTA aparaH /
   sayāvanālau dviśarau muñjakāśī dvidhā kuśaḥ // Rajni_8.4	sa yAvanAlO dvi SarO muQjakASI dviDA kuSaH // Rajni_8.4
   valvajā kutṛṇau cātha nalau dūrvā caturvidhā /	valvajA kutRNO ca aTa nalO dUrvA caturviDAH /
   kunduro bhūtṛṇo jñeya ukhala ikṣudarbhakaḥ // Rajni_8.5	kunduraH BUtRNaH jQeyaH uKalaH ikzu darBakaH // Rajni_8.5
   gomūtrī śilpī niśreṇī garmoṭī majjarās tathā /	gomUtrI SilpI niSreNI garmowI majjarAH taTA /
   giribhūr vaṃśapattrī ca manthānaḥ pallivāhakaḥ // Rajni_8.6	giriBUH vaMSapattrI ca manTAnaH pallivAhakaH // Rajni_8.6
   paṭutṛṇaśuko jñeyaḥ tripaṇyāndhaḥ triguṇḍakaḥ /	pawu tRNa SukaH jQeyaH tri paNya anDaH triguNxakaH /
   kaseruś caṇikā proktā guṇḍālā śūlikā tathā /	kaseruH caNikA proktA guNxAlA SUlikA taTA /
   paripellaṃ hijjulaṃ ca sevālaṃ ca śarāṅkadhā // Rajni_8.7	paripellam hijjulam ca sevAlam ca Sara aFkaDA // Rajni_8.7
   śālmaliś cirajīvī syāt picchilo raktapuṣpakaḥ /	SAlmaliH cirajIvI syAt picCilaH raktapuzpakaH /
   kukkuṭī tūlavṛkṣaś ca mocākhyaḥ kaṇṭakadrumaḥ // Rajni_8.8	kukkuwI tUlavRkzaH ca mocA AKyaH kaNwakadrumaH // Rajni_8.8
   raktaphalo ramyapuṣpo bahuvīryo yamadrumaḥ /	raktaPalaH ramyapuzpaH bahu vIryaH yamadrumaH /
   dīrghadrumaḥ sthūlaphalo dīrghāyus tithibhir mitaḥ // Rajni_8.9	dIrGadrumaH sTUlaPalaH dIrGa AyuH tiTiBiH mitaH // Rajni_8.9
   śālmalī picchilo vṛṣyo balyo madhuraśītalaḥ /	SAlmalI picCilaH vRzyaH balyaH maDura SItalaH /
   kaṣāyaś ca laghuḥ snigdhaḥ śukraśleṣmavivardhanaḥ // Rajni_8.10	kazAyaH ca laGuH snigDaH Sukra Slezma vivarDanaH // Rajni_8.10
   tadrasas tadguṇo grāhī kaṣāyaḥ kaphanāśanaḥ /	tad rasaH tad guNaH grAhI kazAyaH kaPa nASanaH /
   puṣpaṃ tadvac ca nirdiṣṭaṃ phalaṃ tasya tathāvidham // Rajni_8.11	puzpam tadvat ca nirdizwam Palam tasya taTAviDam // Rajni_8.11
   mocaraso mocas tu mocasrāvaś ca mocaniryāsaḥ /	mocarasaH mocaH tu mocasrAvaH ca mocaniryAsaH /
   picchilasāraḥ surasaḥ śālmaliveṣṭaś ca mocasāraś ca // Rajni_8.12	picCilasAraH surasaH SAlmalivezwaH ca mocasAraH ca // Rajni_8.12
   mocarasas tu kaṣāyaḥ kaphavātaharo rasāyano yogāt /	mocarasaH tu kazAyaH kaPa vAta haraH rasAyanaH yogAt /
   balapuṣṭivarṇavīryaprajñāyurdehasiddhido grāhī // Rajni_8.13	bala puzwi varNa vIrya prajQA AyuH deha sidDi daH grAhI // Rajni_8.13
   rohītako rohitakaś ca rohitaḥ kuśālmalir dāḍimapuṣpasaṃjñakaḥ /	rohItakaH rohitakaH ca rohitaH kuSAlmaliH dAxima puzpa saMjQakaH /
   sadāprasūnaḥ sa ca kūṭaśālmalir virocanaḥ śālmaliko navāhvayaḥ //	sadAprasUnaH sa ca kUwaSAlmaliH virocanaH SAlmalikaH nava AhvayaH //
   Rajni_8.14	Rajni_8.14
   saptāhvaḥ śvetarohitaḥ sitapuṣpaḥ sitāhvayaḥ /	saptAhvaH Sveta rohitaH sitapuzpaH sitAhvayaH /
   sitāṅgaḥ śuklarohito lakṣmīvān janavallabhaḥ // Rajni_8.15	sita aFgaH Sukla rohitaH lakzmIvAn jana vallaBaH // Rajni_8.15
   rohitakau kaṭusnigdhau kaṣāyau ca suśītalau /	rohitakO kawu snigDO kazAyO ca suSItalO /
   krimidoṣavraṇaplīharaktanetrāmayāpahau // Rajni_8.16	krimi doza vraNa plIha rakta netra Amaya apahO // Rajni_8.16
   ekavīro mahāvīraḥ sakṛdvīraḥ suvīrakaḥ /	ekavIraH mahAvIraH sakRt vIraH suvIrakaH /
   ekādivīraparyāyair vīraś ceti ṣaḍāhvayaḥ // Rajni_8.17	eka Adi vIra paryAyEH vIraH ca iti zaz AhvayaH // Rajni_8.17
   ekavīro bhavec coṣṇaḥ kaṭukas todavātanut /	eka vIraH Bavet ca uzNaH kawukaH toda vAta nud /
   gṛdhrasīkaṭipṛṣṭhādiśūlapakṣābhighātanut // Rajni_8.18	gRDrasI kawi pRzWa Adi SUla pakza aBiGAta nud // Rajni_8.18
   atha bhavati pāribhadro mandāraḥ pārijātako nimbataruḥ /	aTa Bavati pAriBadraH mandAraH pArijAtakaH nimba taruH /
   raktakusumaḥ krimighno bahupuṣpo raktakesaro vasavaḥ // Rajni_8.19	raktakusumaH krimiGnaH bahupuzpaH raktakesaraH vasavaH // Rajni_8.19
   pāribhadraḥ kaṭūṣṇaḥ syāt kaphavātanikṛntanaḥ /	pAriBadraH kawu uzNaH syAt kaPa vAta nikRntanaH /
   arocakaharaḥ pathyo dīpanaś cāpi kīrtitaḥ // Rajni_8.20	arocaka haraH paTyaH dIpanaH ca api kIrtitaH // Rajni_8.20
   khadiro bālapattraś ca khādyaḥ pattrī kṣitī kṣamā /	KadiraH bAlapattraH ca KAdyaH pattrI kzitI kzamA /
   suśalyo vakrakaṇṭaś ca yajñāṅgo dantadhāvanaḥ // Rajni_8.21	suSalyaH vakrakaNwaH ca yajQa aFgaH dantaDAvanaH // Rajni_8.21
   gāyatrī jihmaśalyaś ca kaṇṭī sāradrumas tathā /	gAyatrI jihmaSalyaH ca kaNwI sAradrumaH taTA /
   kuṣṭhārir bahusāraś ca medhyaḥ saptadaśāhvayaḥ // Rajni_8.22	kuzWAriH bahusAraH ca meDyaH saptadaSa AhvayaH // Rajni_8.22
   khadiras tu rase tiktaḥ śītaḥ pittakaphāpahaḥ /	KadiraH tu rase tiktaH SItaH pitta kaPa apahaH /
   pācanaḥ kuṣṭhakāsāsraśophakaṇḍūvraṇāpahaḥ // Rajni_8.23	pAcanaH kuzWa kAsa asra SoPa kaNxU vraNa apahaH // Rajni_8.23
   khadiraḥ śvetasāro 'nyaḥ kārmukaḥ kubjakaṇṭakaḥ /	KadiraH SvetasAraH anyaH kArmukaH kubjakaNwakaH /
   somasāro nemivṛkṣaḥ somavalkaḥ pathidrumaḥ // Rajni_8.24	somasAraH nemivRkzaH somavalkaH paTidrumaH // Rajni_8.24
   śvetas tu khadiras tiktaḥ kaṣāyaḥ kaṭur uṣṇakaḥ /	SvetaH tu KadiraH tiktaH kazAyaH kawuH uzNakaH /
   kaṇḍūtibhūtakuṣṭhaghnaḥ kaphavātavraṇāpahaḥ // Rajni_8.25	kaNxUti BUta kuzWa GnaH kaPa vAta vraNa apahaH // Rajni_8.25
   sa rakto raktasāraś ca susāras tāmrakaṇṭakaḥ /	sa raktaH raktasAraH ca susAraH tAmrakaNwakaH /
   sa prokto bahuśalyaś ca yājñikaḥ kuṣṭhatodanaḥ /	sa proktaH bahuSalyaH ca yAjQikaH kuzWa todanaH /
   yūpadrumo 'srakhadiro 'paruś ca daśadhā smṛtaḥ // Rajni_8.26	yUpadrumaH asra KadiraH aparuH ca daSaDA smRtaH // Rajni_8.26
   kaṭūṣṇo raktakhadiraḥ kaṣāyo gurutiktakaḥ /	kawu uzNaH rakta KadiraH kazAyaH guru tiktakaH /
   āmavātāsravātaghno vraṇabhūtajvarāpahaḥ // Rajni_8.27	AmavAta asra vAta GnaH vraNa BUta jvara apahaH // Rajni_8.27
   viṭkhadiraḥ kāmbhojī kālaskandhaś ca goraṭo marujaḥ /	viwKadiraH kAmBojI kAlaskanDaH ca gorawaH marujaH /
   pattratarur bahusāraḥ saṃsāraḥ khādiro grahair mahāsāraḥ // Rajni_8.28	pattrataruH bahusAraH saMsAraH KAdiraH grahEH mahAsAraH // Rajni_8.28
   viṭkhadiraḥ kaṭur uṣṇas tikto raktavraṇotthadoṣaharaḥ /	viwKadiraH kawuH uzNaH tiktaH rakta vraNa utTa doza haraH /
   kaṇḍūtiviṣavisarpajvarakuṣṭhonmādabhūtaghnaḥ // Rajni_8.29	kaNxUti viza visarpa jvara kuzWa unmAda BUta GnaH // Rajni_8.29
   ariḥ saṃdānikā dālā jñeyā khadirapattrikā /	ariH saMdAnikA dAlA jQeyA KadirapattrikA /
   ariḥ kaṣāyakaṭukā tiktā raktārtipittanut // Rajni_8.30	ariH kazAya kawukA tiktA rakta Arti pitta nud // Rajni_8.30
   khādiraḥ khadirodbhūtas tatsāro raṅgadaḥ smṛtaḥ /	KAdiraH Kadira udBUtaH tad sAraH raFgadaH smRtaH /
   jñeyaḥ khadirasāraś ca tathā raṅgaḥ ṣaḍāhvayaḥ // Rajni_8.31	jQeyaH KadirasAraH ca taTA raFgaH zaz AhvayaH // Rajni_8.31
   kaṭukaḥ khādiraḥ sāras tiktoṣṇaḥ kaphavātahṛt /	kawukaH KAdiraH sAraH tikta uzNaH kaPa vAta hRt /
   vraṇakaṇṭhāmayaghnaś ca rucikṛd dīpanaḥ paraḥ // Rajni_8.32	vraNa kaNWa Amaya GnaH ca ruci kRt dIpanaH paraH // Rajni_8.32
   śamī śāntā tuṅgā kacaripuphalā keśamathanī śiveśā naur lakṣmīs	SamI SAntA tuFgA kacaripuPalA keSamaTanI Siva ISA nOH lakzmIs
   tapanatanunaṣṭā śubhakarī /	tapana tanu nazwA SuBa karI /
   havirgandhā medhyā duritaśamanī śaṅkuphalikā subhadrā maṅgalyā surabhir	haviH ganDA meDyA durita SamanI SaFkuPalikA suBadrA maFgalyA suraBiH 
   atha pāpaśamanī // Rajni_8.33	aTa pApa SamanI // Rajni_8.33
   bhadrātha śaṃkarī jñeyā keśahantrī śivāphalā /	BadrA aTa SaMkarI jQeyA keSahantrI SivAPalA /
   supattrā sukhadā caiva pañcaviṃśābhidhā matā // Rajni_8.34	supattrA suKa dA ca eva paQcaviMSa aBiDA matA // Rajni_8.34
   śamī rūkṣā kaṣāyā ca raktapittātisārajit /	SamI rUkzA kazAyA ca rakta pitta atisAra jit /
   tatphalaṃ tu guru svādu tiktoṣṇaṃ keśanāśanam // Rajni_8.35	tad Palam tu guru svAdu tikta uzNam keSa nASanam // Rajni_8.35
   dvitīyā tu śamī śāntā śubhā bhadrāparājitā /	dvitIyA tu SamI SAntA SuBA Badra aparAjitA /
   jayā ca vijayā caiva pūrvoktaguṇasaṃyutā // Rajni_8.36	jayA ca vijayA ca eva pUrva ukta guNa saMyutAH // Rajni_8.36
   barburo yugalākṣaś ca kaṇṭālus tīkṣṇakaṇṭakaḥ /	barburaH yugalAkzaH ca kaNwAluH tIkzNakaNwakaH /
   gośṛṅgaḥ paṅktibījaś ca dīrghakaṇṭaḥ kaphāntakaḥ /	goSRFgaH paFktibIjaH ca dIrGakaNwaH kaPa antakaH /
   dṛḍhabījaḥ śvāsabhakṣyo jñeyaś ceti daśāhvayaḥ // Rajni_8.37	dRXabIjaH SvAsa BakzyaH jQeyaH ca iti daSa AhvayaH // Rajni_8.37
   barburas tu kaṣāyoṣṇaḥ kaphakāsāmayāpahaḥ /	barburaH tu kazAya uzNaH kaPa kAsa Amaya apahaH /
   āmaraktātisāraghnaḥ pittadāhārtināśanaḥ // Rajni_8.38	Ama rakta atisAra GnaH pitta dAha Arti nASanaH // Rajni_8.38
   jālabarburakas tv anyaś chattrākaḥ sthūlakaṇṭakaḥ /	jAlabarburakaH tu anyaH CattrAkaH sTUlakaNwakaH /
   sūkṣmaśākhas tanucchāyo randhrakaṇṭaḥ ṣaḍāhvayaḥ // Rajni_8.39	sUkzmaSAKaH tanucCAyaH ranDrakaNwaH zaz AhvayaH // Rajni_8.39
   jālabarburako rūkṣo vātāmayavināśakṛt /	jAlabarburakaH rUkzaH vAta Amaya vinASa kRt /
   pittakṛc ca kaṣāyoṣṇaḥ kaphahṛd dāhakārakaḥ // Rajni_8.40	pitta kRt ca kazAya uzNaH kaPa hRt dAha kArakaH // Rajni_8.40
   irimedo 'rimedaś ca godhāskandho 'rimedakaḥ /	irimedaH ari medaH ca goDA skanDaH arimedakaH /
   ahimedo 'himāraś ca śitamedo 'himedakaḥ // Rajni_8.41	ahi medaH ahimAraH ca Sita medaH ahimedakaH // Rajni_8.41
   arimedaḥ kaṣāyoṣṇas tikto bhūtavināśakaḥ /	ari medaH kazAya uzNaH tiktaH BUta vinASakaH /
   śophātisārakāsaghno viṣavīsarpanāśanaḥ // Rajni_8.42	SoPa atisAra kAsa GnaH viza vIsarpa nASanaH // Rajni_8.42
   pakvāṇḍaḥ pañcakṛt pañcavardhanaḥ pañcarakṣakaḥ /	pakva aNxaH paQca kRt paQca varDanaH paQcarakzakaH /
   dṛṣṭyañjanavidhau śastaḥ kaṭuḥ jīrṇajvarāpahaḥ // Rajni_8.43	dRzwi aQjana viDO SastaH kawuH jIrNajvara apahaH // Rajni_8.43
   iṅgudī hiṅgupattraś ca viṣakaṇṭo 'nilāntakaḥ /	iFgudI hiFgupattraH ca vizakaNwaH anila antakaH /
   gauras tūktaḥ supattraś ca śūlāris tāpasadrumaḥ // Rajni_8.44	gOraH tu uktaH supattraH ca SUlAriH tApasa drumaH // Rajni_8.44
   tīkṣṇakaṇṭas tailaphalaḥ pūtigandho vigandhakaḥ /	tIkzNakaNwaH tElaPalaH pUtiganDaH viganDakaH /
   jñeyaḥ kroṣṭuphalaś caiva vahnīndugaṇitāhvayaḥ // Rajni_8.45	jQeyaH krozwuPalaH ca eva vahni indu gaNita AhvayaH // Rajni_8.45
   iṅgudī madagandhiḥ syāt kaṭūṣṇā phenilā laghuḥ /	iFgudI mada ganDiH syAt kawu uzNA PenilA laGuH /
   rasāyanī hanti jantuvātāmayakaphavraṇān // Rajni_8.46	rasAyanI hanti jantu vAta Amaya kaPa vraNAn // Rajni_8.46
   niṣpattrakaḥ karīraś ca karīragranthilas tathā /	nizpattrakaH karIraH ca karIragranTilaH taTA /
   kṛkaro gūḍhapattraś ca karakas tīkṣṇakaṇṭakaḥ // Rajni_8.47	kRkaraH gUXapattraH ca karakaH tIkzNakaNwakaH // Rajni_8.47
   karīram ādhmānakaraṃ kaṣāyaṃ kaṭūṣṇam etat kaphakāri bhūri /	karIram ADmAna karam kazAyam kawu uzNam etat kaPa kAri BUri /
   śvāsānilārocakasarvaśūlavicchardikharjūvraṇadoṣahāri // Rajni_8.48	SvAsa anila arocaka sarva SUla vicCardi KarjU vraNa doza hAri // Rajni_8.48
   snuhī sudhā mahāvṛkṣaḥ kṣīrī nistriṃśapattrikā /	snuhI suDA mahAvRkzaH kzIrI nistriMSapattrikA /
   śākhākaṇṭaś ca guṇḍākhyaḥ sehuṇḍo vajrakaṇṭakaḥ // Rajni_8.49	SAKAkaNwaH ca guNxa AKyaH sehuNxaH vajrakaNwakaH // Rajni_8.49
   bahuśākho vajravṛkṣo vātāriḥ kṣīrakāṇḍakaḥ /	bahu SAKaH vajravRkzaH vAtAriH kzIrakANxakaH /
   bhadro vyāghranakhaś caiva netrārir daṇḍavṛkṣakaḥ /	BadraH vyAGranaKaH ca eva netrAriH daNxavRkzakaH /
   samantadugdho gaṇḍīro jñeyaḥ snuk ceti viṃśatiḥ // Rajni_8.50	samantadugDaH gaNxIraH jQeyaH snuh ca iti viMSatiH // Rajni_8.50
   snuhī coṣṇā pittadāhakuṣṭhavātapramehanut /	snuhI ca uzNA pitta dAha kuzWa vAta prameha nud /
   kṣīraṃ vātaviṣādhmānagulmodaraharaṃ param // Rajni_8.51	kzIram vAta viza ADmAna gulmodara haram param // Rajni_8.51
   snuhī cānyā tridhārā syāt tisro dhārās tu yatra sā /	snuhI ca anyA triDArA syAt tisraH DArAH tu yatra sA /
   pūrvoktaguṇavaty eṣā viśeṣād rasasiddhidā // Rajni_8.52	pUrva ukta guNavatI ezA viSezAt rasa sidDi dA // Rajni_8.52
   kanthārī katharī kanthā durdharṣā tīkṣṇakaṇṭakā /	kanTArI kaTarI kanTA durDarzA tIkzNa kaNwakAH /
   tīkṣṇagandhā krūragandhā duṣpraveśāṣṭakābhidhā // Rajni_8.53	tIkzNaganDA krUraganDA duzpraveSa azwaka aBiDA // Rajni_8.53
   kanthārī kaṭutiktoṣṇā kaphavātanikṛntanī /	kanTArI kawu tikta uzNA kaPa vAta nikRntanI /
   śophaghnī dīpanī rucyā raktagranthirujāpahā // Rajni_8.54	SoPa GnI dIpanI rucyA rakta granTi rujA apahA // Rajni_8.54
   śvetairaṇḍaḥ sitairaṇḍaś citro gandharvahastakaḥ /	SvetEraNxaH sitEraNxaH citraH ganDarvahastakaH /
   āmaṇḍas taruṇaḥ śuklo vātārir dīrghadaṇḍakaḥ /	AmaNxaH taruNaH SuklaH vAtAriH dIrGadaNxakaH /
   pañcāṅgulo vardhamāno ruvuko dvādaśāhvayaḥ // Rajni_8.55	paQcAFgulaH varDamAnaH ruvukaH dvAdaSa AhvayaH // Rajni_8.55
   raktairaṇḍo 'paro vyāghro hastikarṇo ruvus tathā /	raktEraNxaH aparaH vyAGraH hastikarNaH ruvuH taTA /
   uruvuko nāgakarṇaś cañcur uttānapattrakaḥ // Rajni_8.56	uruvukaH nAgakarNaH caQcuH uttAnapattrakaH // Rajni_8.56
   karaparṇo yācanakaḥ snigdho vyāghradalas tathā /	karaparNaH yAcanakaH snigDaH vyAGradalaH taTA /
   tatkaraś citrabījaś ca hrasvairaṇḍas tripañcadhā // Rajni_8.57	tad karaH citrabIjaH ca hrasvEraNxaH tri paQcaDA // Rajni_8.57
   śvetairaṇḍaḥ sakaṭukarasas tikta uṣṇaḥ kaphārtidhvaṃsaṃ dhatte	SvetEraNxaH sa kawuka rasaH tiktaH uzNaH kaPa Arti DvaMsam Datte
   jvaraharamarutkāsahārī rasārhaḥ /	jvara hara marut kAsa hArI rasa arhaH /
   raktairaṇḍaḥ śvayathupacanaḥ vāntiraktārtipāṇḍubhrāntiśvāsajvarakaphaharo	raktEraNxaH SvayaTu pacanaH vAnti raktArti pANxu BrAnti SvAsa jvara kaPa haraH 
   'rocakaghno laghuś ca // Rajni_8.58	arocaka GnaH laGuH ca // Rajni_8.58
   sthūlairaṇḍo mahairaṇḍo mahāpañcāṅgulādikaḥ /	sTUlEraNxaH mahEraNxaH mahA paQcAFgula AdikaH /
   sthūlairaṇḍo guṇāḍhyaḥ syād rasavīryavipaktiṣu // Rajni_8.59	sTUlEraNxaH guNa AXyaH syAt rasa vIrya vipaktizu // Rajni_8.59
   ghoṇṭā badarikā ghoṭī golikā śatrukaṇṭakaḥ /	GoNwA badarikA GowI golikA Satru kaNwakaH /
   karkaṭī ca turaṃgī ca turagāhvāṣṭadhā smṛtā // Rajni_8.60	karkawI ca turaMgI ca turagAhvA azwaDA smRtA // Rajni_8.60
   ghoṭikā kaṭukoṣṇā ca madhurā vātanāśanī /	GowikA kawukA uzNA ca maDurA vAta nASanI /
   vraṇakaṇḍūtikuṣṭhāsṛgdoṣaśvayathuhāriṇī // Rajni_8.61	vraNa kaNxUti kuzWa asRk doza SvayaTu hAriNI // Rajni_8.61
   latākarañjo duḥsparśo vīrāsyo vajravīrakaḥ /	latAkaraQjaH duHsparSaH vIra AsyaH vajravIrakaH /
   dhanadākṣaḥ kaṇṭaphalaḥ kuberākṣaś ca saptadhā // Rajni_8.62	DanadAkzaH kaNwaPalaH kuberAkzaH ca saptaDA // Rajni_8.62
   latākarañjapattraṃ tu kaṭūṣṇaṃ kaphavātanut /	latAkaraQja pattram tu kawu uzNam kaPa vAta nud /
   tadbījaṃ dīpanaṃ pathyaṃ śūlagulmavyathāpaham // Rajni_8.63	tad bIjam dIpanam paTyam SUla gulma vyaTA apaham // Rajni_8.63
   kārī tu kārikā kāryā girijā kaṭupattrikā /	kArI tu kArikA kAryA girijA kawupattrikA /
   tatraikā kaṇṭakārī syād anyā tv ākarṣakārikā // Rajni_8.64	tatra ekA kaNwakArI syAt anyA tu Akarza kArikAH // Rajni_8.64
   kārī kaṣāyamadhurā dvividhā pittanāśanī /	kArI kazAya maDurA dviviDA pitta nASanI /
   dīpanī grāhiṇī rucyā kaṇṭhaśodhakarī guruḥ // Rajni_8.65	dIpanI grAhiNI rucyA kaNWa SoDa karI guruH // Rajni_8.65
   madanaḥ śalyakaiḍaryaḥ piṇḍī dhārāphalas tathā /	madanaH SalyakExaryaH piNxI DArAPalaH taTA /
   taraṭaḥ karahāṭaś ca rāhuḥ piṇḍātakaḥ smṛtaḥ // Rajni_8.66	tarawaH karahAwaH ca rAhuH piNxAtakaH smRtaH // Rajni_8.66
   kaṇṭālo viṣamuṣṭiś ca chardano viṣapuṣpakaḥ /	kaNwAlaH vizamuzwiH ca CardanaH vizapuzpakaH /
   ghaṇṭālo mādano harṣo ghaṇṭākhyo vastirodhanaḥ /	GaNwAlaH mAdanaH harzaH GaNwA AKyaH vasti roDanaH /
   granthiphalo golaphalo madanāhvaś ca viṃśatiḥ // Rajni_8.67	granTiPalaH golaPalaH madanAhvaH ca viMSatiH // Rajni_8.67
   madanaḥ kaṭutiktoṣṇaḥ kaphavātavraṇāpahaḥ /	madanaH kawu tikta uzNaH kaPa vAta vraNa apahaH /
   śophadoṣāpahaś caiva vamane ca praśasyate // Rajni_8.68	SoPa doza apahaH ca eva vamane ca praSasyate // Rajni_8.68
   vārāho 'nyaḥ kṛṣṇavarṇo mahāpiṇḍītako mahān /	vArAhaH anyaH kRzNa varNaH mahApiNxItakaH mahAn /
   snigdhapiṇḍītakaś cānyaḥ sthūlavṛkṣaphalas tathā // Rajni_8.69	snigDa piNxItakaH ca anyaH sTUlavRkzaPalaH taTA // Rajni_8.69
   anyau ca madanau śreṣṭhau kaṭutiktarasānvitau /	anyO ca madanO SrezWO kawu tikta rasa anvitO /
   chardanau kaphahṛdrogapakvāmāśayaśodhanau // Rajni_8.70	CardanO kaPa hRd roga pakva Ama ASaya SoDanO // Rajni_8.70
   bilvāntaraś cīravṛkṣaḥ kṣudhākuśalasaṃjñakaḥ /	bilva antaraH cIravRkzaH kzuDA kuSala saMjQakaH /
   dīrghamūlo vīravṛkṣaḥ kṛcchrāriś ca ṣaḍāhvayaḥ // Rajni_8.71	dIrGamUlaH vIravRkzaH kRcCra ariH ca zaz AhvayaH // Rajni_8.71
   bilvāntaraḥ kaṭūṣṇaś ca kṛcchraghnaḥ saṃdhiśūlanut /	bilva antaraH kawu uzNaH ca kRcCra GnaH saMDi SUla nud /
