   mahāyānasūtrālaṃkāraḥ	mahAyAna sUtra alaMkAraH
   samādāpanāt |	samAdApanAt |
   yādṛśena vīryeṇa yathā sattvānparipācayati tadārabhya ślokaḥ |	yAdRSena vIryeNa yaTA sattvAn paripAcayati tadAraBya SlokaH |
   punaḥ sa yatnaṃ paramaṃ samāśrito na khidyate kalpasahasrakoṭibhiḥ |	punar sa yatnam paramam samASritaH na Kidyate kalpa sahasra kowiBiH |
   jinātmajaḥ sa[ttva]gaṇaṃ prapācayanparaikacittasya śubhasya kāraṇāt ||	jina AtmajaH sa[ttva] gaNam prapAcayan para eka cittasya SuBasya kAraNAt ||
   Msa_8.19 ||	Msa_8.19 ||
   adhimātradīrghakālākhede vīryeṇa	aDimAtra dIrGa kAla AKede vIryeNa
   dīrghakālākheditvamanantasattvaparipācanāt | paraikacittasya kuśalasyārthe	dIrGa kAla AKedi tvam ananta sattva paripAcanAt | para eka cittasya kuSalasya arTe
   kalpasahasrakoṭibhirakhedāt | ata evoktaṃ bhavati yathā paripācayati |	kalpa sahasra kowiBiH aKedAt | atas eva uktam Bavati yaTA paripAcayati |
   kuśalacittasaṃniyojanāt dṛṣṭadharmasaṃparāyānugraheṇeti |	kuSala citta saMniyojanAt dRzwa Darma saMparAya anugraheNa iti |
   yādṛśena dhyānena yathā sattvānparipācayati tadārabhya ślokaḥ |	yAdRSena DyAnena yaTA sattvAn paripAcayati tadAraBya SlokaH |
   vaśitvamāgamya manasyanuttaraṃ paraṃ samāvarjayate 'tra śāsane |	vaSi tvam Agamya manasi anuttaram param samAvarjayate atra SAsane |
   nihatya sarvāmavamānakāmatāṃ śubhena saṃvardhayate ca taṃ punaḥ ||	nihatya sarvAm avamAna kAma tAm SuBena saMvarDayate ca tam punar ||
   Msa_8.20 ||	Msa_8.20 ||
   prāptānuttaravaśitvena dhyānena nirāmiṣeṇa ca nihatasarvāvamānābhilāṣeṇa	prApta anuttara vaSi tvena DyAnena nirAmizeNa ca nihata sarva avamAna aBilAzeNa
   paripācayati | buddhaśāsane parasyāvarjanādāvarjitasya ca	paripAcayati | budDa SAsane parasya AvarjanAt Avarjitasya ca
   kuśaladharmasaṃvardhanāt paripācayati |	kuSala Darma saMvarDanAt paripAcayati |
   (MSA_Bagchi 36)	(MSA_BagCi 36)
   yādṛśyā prajñayā yathā sattvānparipācayati tadārabhya ślokaḥ |	yAdRSyA prajQayA yaTA sattvAn paripAcayati tadAraBya SlokaH |
   sa tattvabhāvārthanaye suniścitaḥ karoti sattvānsuvinīta saṃśayān |	sa tattva BAva arTa naye su niScitaH karoti sattvAn suvinIta saMSayAn |
   tataśca te tajjinaśāsanādarād vivardhayante svaparaṃ guṇaiḥ śubhaiḥ ||	tatas ca te tad jina SAsana AdarAt vivarDayante sva param guNEH SuBEH ||
   Msa_8.21 ||	Msa_8.21 ||
   sa bodhisattvastattvārthanaye cābhiprāyārthanaye ca suviniścitayā prajñayā	sa boDisattvaH tattva arTa naye ca aBiprAya arTa naye ca su viniScitayA prajQayA
   paripācayati | kathaṃ paripācayati sattvānāṃ saṃśayavinayanāt | tataśca	paripAcayati | kaTam paripAcayati sattvAnAm saMSaya vinayanAt | tatas ca
   śāsanabahumānātteṣāmātmaparaguṇasaṃvardhakatvena |	SAsana bahu mAnAt tezAm Atma para guNa saMvarDaka tvena |
   niya[ga]mena ślokaḥ |	niya[ ga]mena SlokaH |
   iti sugatigatau śubhatraye vā jagadakhilaṃ kṛpayā sa bodhisattvaḥ |	iti sugati gatO SuBa traye vA jagat aKilam kRpayA sa boDisattvaH |
   tanuparamavimadhyamaprakārairvinayati lokasamānabhāvagatyā || Msa_8.22 ||	tanu parama vimaDyam aprakArEH vinayati loka samAna BAva gatyA || Msa_8.22 ||
   anena yatra ca vinayati, sugatigamane yānatraye vā | yacca vinayati,	anena yatra ca vinayati, sugati gamane yAna traye vA | yat ca vinayati,
   jagadakhilam | yena ca vinayati, kṛpayā | yaśca vinayati bodhisattvaḥ |	jagat aKilam | yena ca vinayati, kRpayA | yaH ca vinayati boDisattvaH |
   yādṛśaiśca paripācanaprakārai tanuparamavimadhyamaprakāraiḥ | yāvantaṃ ca	yAdRSEH ca paripAcana prakArEH tanu parama vimaDyam aprakArEH | yAvantam ca
   kālaṃ, tatparidīpanāt samāsena paripākamāhātmyaṃ darśayati | tatra tanuḥ	kAlaM, tad paridIpanAt samAsena paripAka mAhAtmyam darSayati | tatra tanuH
   prakāro 'dhimukticaryābhūmau bodhisattvasya paramo 'ṣṭāmyādiṣu vimadhyamaḥ	prakAraH aDimukti caryA BUmO boDisattvasya paramaH azwAmi Adizu vimaDyamaH
   saptasu veditavyaḥ | yāvallokasya bhāvastatsamānayā gatyā	saptasu veditavyaH | yAvat lokasya BAvaH tad samAnayA gatyA
   atyantamityarthaḥ |	atyantam iti arTaH |
   || mahāyānasūtrālaṃkāre paripākādhikāro 'ṣṭamaḥ ||	|| mahAyAna sUtra alaMkAre paripAka aDikAraH azwamaH ||
   (MSA_Bagchi 37)	(MSA_BagCi 37)
   navamo 'dhikāraḥ	navamaH aDikAraH
   sarvākārajñatāyāṃ dvau ślokau | tṛtīyastayoreva nirdeśabhūtaḥ |	sarva AkAra jQa tAyAm dvO SlokO | tRtIyaH tayoH eva nirdeSa BUtaH |
   ameyairduṣkaraśatairameyaiḥ kuśalācayaiḥ |	ameyEH duzkara SatEH ameyEH kuSala AcayEH |
   aprameyeṇa kālena ameyāvaraṇakṣayāt || Msa_9.1 ||	aprameyeNa kAlena ameya AvaraNa kzayAt || Msa_9.1 ||
   sarvakārajñatāvāptiḥ sarvāvaraṇanirmalā |	sarva kAra jQa tA avAptiH sarva AvaraNa nirmalAH |
   vivṛtā ratnapeṭeva buddhatvaṃ samudāhṛtam || Msa_9.2 ||	vivRtA ratna pewA iva budDa tvam samudAhRtam || Msa_9.2 ||
   kṛtvā duṣkaramadbhutaṃ śramaśataiḥ saṃcityasarvaṃśubhaṃ	kRtvA duzkaram adButam Srama SatEH saMcitya sarvanSuBam
   kālenottamakalpayānamahatā sarvāvṛtīnāṃ kṣayāt |	kAlena uttama kalpa yAna mahatA sarva AvRtInAm kzayAt |
   sūkṣmasyāvaraṇasya bhūmiṣu gatasyotpāṭanād buddhatā	sUkzmasya AvaraNasya BUmizu gatasya utpAwanAt budDa tA
   ratnānāmiva sā prabhāvamahatāṃ peṭā samuddhāti[ṭi?]tā || Msa_9.3 ||	ratnAnAm iva sA praBAva mahatAm pewA samudDA ati [wi ?]tA || Msa_9.3 ||
   samudāgamataḥ svabhāvata aupamyataśca buddhatvamudbhāvitam |	samudAgamataH svaBAvataH OpamyataH ca budDa tvam udBAvitam |
   yāvadbhirduṣkaraśatairyāvadbhiḥ kuśalasaṃbhārairyāvatā kālena yāvataḥ	yAvadBiH duzkara SatEH yAvadBiH kuSala saMBArEH yAvatA kAlena yAvataH
   kleśajñeyāvaraṇasya prahāṇātsamudāgacchati, ayaṃ samudāgamaḥ |	kleSa jQeya AvaraNasya prahANAt samudAgacCati, ayam samudAgamaH |
   sarvākārajñatāvāptiḥ sarvāvaraṇanirmalā svabhāvaḥ | vivṛtāratnapeṭā	sarva AkAra jQa tA avAptiH sarva AvaraNa nirmalA svaBAvaH | vivRta aratna pewA
   tadaupamyam |	tad Opamyam |
   tasyaiva buddhatvasyādvayalakṣaṇe sānubhāve dvau lokau |	tasya eva budDatvasya advaya lakzaNe sa anuBAve dvO lokO |
   sarvadharmāśca buddhatvaṃ dharmo naiva ca kaścana |	sarva DarmAH ca budDa tvam DarmaH na eva ca kaScana |
   śukladharmamayaṃ tacca na ca taistannirūpyate || Msa_9.4 ||	Sukla Darma mayam tat ca na ca tEH tat nirUpyate || Msa_9.4 ||
   dharmaratnanimittatvāllabdharatnākaropamam |	Darma ratna nimitta tvAt labDa ratnAkara upamam |
   śubhasasyanimittatvāllabdhameghopamaṃ matam || Msa_9.5 ||	SuBa sasya nimitta tvAt labDa meGa upamam matam || Msa_9.5 ||
   sarvadharmāśca buddhatvaṃ, tathatāyā	sarva DarmAH ca budDa tvan, taTatAyA
   abhinnatvāttadviśuddhiprabhāvitatvācca | buddhatvasya na ca kaściddharmo	aBinna tvAt tad viSudDi praBAvita tvAt ca | budDa tvasya na ca kaScid DarmaH 
   'sti | parikalpitena dharmasvabhāvena śukladharmamayaṃ ca buddhatvaṃ,	asti | parikalpitena Darma svaBAvena Sukla Darma mayam ca budDa tvaM,
   pāramitādināṃ kuśalānāṃ tadbhāvena parivṛtteḥ | na ca taistannirdiśyate	pAramitA AdinAm kuSalAnAm tad BAvena parivRtteH | na ca tEH tat nirdiSyate
   pāramitādīnāṃ pāramitādibhāvenāpariniṣpatteridamadvayalakṣaṇam |	pAramitA AdInAm pAramitA Adi BAvena aparinizpatteH idam advaya lakzaNam |
   ratnākarameghopamatvamanubhāvaḥ, deśanādharmaratnānāṃ tatprabhavatvāt,	ratnAkara meGa upama tvam anuBAvaH, deSanA Darma ratnAnAm tad praBava tvAt,
   kuśalasasyānāṃ ca vineyasaṃtānakṣetreṣu |	kuSala sasyAnAm ca vineya saMtAna kzetrezu |
   buddhatvaṃ sarvadharmaḥ samuditamatha vā sarvadharmavyapetaṃ	budDa tvam sarva DarmaH samuditam aTa vA sarva Darma vyapetam
   prodbhūterdharmaratnapratatasumahato dharmatnākarābham |	prodBUteH Darma ratna pratata su mahataH DarmatnAkara ABam |
   bhūtānāṃ śuklasasyaprasavasumahato hetuto meghabhūtaṃ	BUtAnAm Sukla sasya prasava su mahataH hetutaH meGa BUtam
   dānāddharmāmbuvarṣapratatasuvihitasyākṣayasya prajāsu || Msa_9.6 ||	dAnAt Darma ambu varza pratata su vihitasya akzayasya prajAsu || Msa_9.6 ||
   (MSA_Bagchi 38)	(MSA_BagCi 38)
   anena tṛtīyena ślokena tamevārthaṃ nirdiśati | sumahataḥ pratatasya	anena tRtIyena Slokena tam eva arTam nirdiSati | su mahataH pratatasya
   dharmaratnasya prodbhūtenimittatvādratnākarābham, bhūtānāṃ mahataḥ	Darma ratnasya prodBUtenimitta tvAt ratna Akara ABam, BUtAnAm mahataH
   śuklasasyaprasavahetutvānmeghabhūtam | mahataḥ suvihitasyākṣayasya	Sukla sasya prasava hetu tvAt meGa BUtam | mahataH su vihitasya akzayasya
   dharmāmbuvarṣasya dānāt prajāsvityayamatra padavigraho veditavyaḥ |	Darma ambu varzasya dAnAt prajAsu iti ayam atra pada vigrahaH veditavyaH |
   tasyaiva buddhatvasya śaraṇatvānuttarye pañca ślokāḥ |	tasya eva budDatvasya SaraNa tva anuttarye paQca SlokAH |
   paritrāṇaṃ hi buddhatvaṃ sarvakleśagaṇātsadā |	paritrANam hi budDa tvam sarva kleSa gaNAt sadA |
   sarvaduścaritebhyaśca janmamaraṇato 'pi ca || Msa_9.7 ||	sarva duScariteByaH ca janma maraNataH api ca || Msa_9.7 ||
   anena saṃkṣepataḥ kleśakarmajanmasaṃkleśaparitrāṇārthena śaraṇatvaṃ	anena saMkzepataH kleSa karma janma saMkleSa paritrANa arTena SaraNa tvam
   darśayati |	darSayati |
   upadravebhyaḥ sarvebhyo apāyādanupāyataḥ |	upadraveByaH sarveByaH apAyAt anupAyataH |
   satkāyāddhīnayānācca tasmāccharaṇamuttamam || Msa_9.8 ||	satkAyAt hIna yAnAt ca tasmAt SaraNam uttamam || Msa_9.8 ||
   anena dvitiyenopadravādiparitrāṇādvistareṇa | tatra	anena dvi tiyena upadrava Adi paritrANAt vistareNa | tatra
   sarvopadravaparitrāṇatvaṃ yad buddhānubhāvena andhāścakṣūṃṣi	sarva upadrava paritrANa tvam yat budDa anuBAvena anDAH cakzUMzi
   pratilabhante, badhirāḥ śrotaṃ, vikṣiptacittāḥ svasthacittamītayaḥ	pratilaBante, baDirAH SrotaM, vikzipta cittAH svasTa cittamItayaH
   śāmyantītyevamādi | apāyaparitrāṇatvaṃ buddhaprabhayā tadgatānāṃ mokṣaṇāt,	SAmyanti iti evamAdi | apAya paritrANa tvam budDa praBayA tad gatAnAm mokzaNAt ,
   tadagamane ca pratiṣṭhāpanāt | anupāyaparitrāṇatvaṃ	tad agamane ca pratizWApanAt | anupAya paritrANa tvam
   tīrthikadṛṣṭivyutthāpanāt | satkāyaparitrāṇatvaṃ yānadvayena	tIrTika dRzwi vyutTApanAt | sat kAya paritrANa tvam yAna dvayena
   parinirvāpaṇāt |	parinirvApaNAt |
   hīnayānaparitrāṇatvamaniyatagotrāṇāṃ mahāyānaikāyanīkaraṇāt |	hIna yAna paritrANa tvam aniyata gotrANAm mahAyAna ekAyanIkaraNAt |
   śaraṇamanupamaṃ tacchreṣṭhabuddhatvamiṣṭaṃ	SaraNam anupamam tat SrezWa budDa tvam izwam
   jananamaraṇasarvakleśapāpeṣu rakṣā |	janana maraNa sarva kleSa pApezu rakzA |
   vividhabhayagatānāṃ sarvarakṣāpayānaṃ	viviDa Baya gatAnAm sarva rakzA apayAnam
   pratatavividhaduḥkhāpāyanopāyagānāṃ || Msa_9.9 ||	pratata viviDa duHKa apAyana upAya gAnAm || Msa_9.9 ||
   anena tṛtīyena tasyaiva śaraṇatvasyānupamaśreṣṭhasya cānuttaryaṃ	anena tRtIyena tasya eva SaraNa tvasya anupama SrezWasya ca anuttaryam
   tenaivārthena darśayati |	tena eva arTena darSayati |
   bauddhairdharmairyacca susaṃpūrṇaśarīraṃ yatsaddharme vetti ca	bOdDEH DarmEH yat ca su saMpUrNa SarIram yat sat Darme vetti ca
   sattvānpravinetum |	sattvAn pravinetum |
   yātaṃ pāraṃ yatkṛpayā sarvajagatsu tad buddhatvaṃ śreṣṭhamihatyaṃ[heṣṭaṃ]	yAtam pAram yat kRpayA sarva jagatsu tat budDa tvam SrezWam ihati aM[hezwaM]
   śaraṇānām || Msa_9.10 ||	SaraNAnAm || Msa_9.10 ||
   anena caturthena yaiḥ kāraṇaistattathānuttaraṃ śaraṇaṃ bhavati	anena caturTena yEH kAraNEH tat taTA anuttaram SaraNam Bavati
   tatsaṃdarśayati | bauddhairdharmairbalavaiśāradyādibhiḥ	tat saMdarSayati | bOdDEH DarmEH bala vESAradya AdiBiH
   susaṃpūrṇasvabhāvatvāt svārthaniṣṭhāmadhikṛtya	su saMpUrNa svaBAva tvAt sva arTa nizWAm aDikRtya
   saddharmasattvavinayopāyajñānāt karuṇāpāragamanācca	sadDarma sattva vinaya upAya jQAnAt karuNA pAraga manAt ca
   parārthaniṣṭhāmadhikṛtya |	para arTa nizWAm aDikRtya |
   ālokāt[kālāt]sarvasattvānāṃ buddhatvaṃ śaraṇaṃ mahat |	Aloka at[kAlAt] sarva sattvAnAm budDa tvam SaraNam mahat |
   sarvavyasanasaṃpattivyāvṛttyabhyudaye matam || Msa_9.11 ||	sarva vyasana saMpatti vyAvRtti aByudaye matam || Msa_9.11 ||
   (MSA_Bagchi 39)	(MSA_BagCi 39)
   anena pañcamena ślokena yāvantaṃ kālaṃ yāvatāṃ sattvānāṃ yatrārthe śaraṇaṃ	anena paQcamena Slokena yAvantam kAlam yAvatAm sattvAnAm yatra arTe SaraNam
   bhavati tatsamāsena darśayati | yatrārthe iti sarvavyasanavyāvṛttau	Bavati tad samAsena darSayati | yatra arTe iti sarva vyasana vyAvRttO
   saṃpattyabhyudaye ca |	saMpatti aByudaye ca |
   āśrayaparāvṛttau ṣaṭ ślokāḥ |	ASraya parAvRttO zaw SlokAH |
   kleśajñeyavṛttīnāṃ satatamanugataṃ bījamutkṛṣṭakālaṃ	kleSa jQeya vRttInAm satatam anugatam bIjam utkRzwa kAlam
   yasminnastaṃ prayātaṃ bhavati suvipulaiḥ sarvahāniprakāraiḥ |	yasmin= astam prayAtam Bavati su vipulEH sarva hAni prakArEH |
   buddhatvaṃ śukladharmapravaraguṇayutā ā[cā]śrayasyānyathāpti 	budDa tvam Sukla Darma pravara guNa yutA A[cA]Srayasya anyaTA Apti 
   statprāptirnirvikalpādviṣayasumahato jñānamārgātsuśuddhāt || Msa_9.12 ||	stad prAptiH nirvikalpAt vizaya su mahataH jQAna mArgAt su SudDAt || Msa_9.12 ||
   anena vipakṣabījaviyogataḥ pratipakṣasaṃpattiyogataścāśrayaparivṛttiḥ	anena vipakza bIja viyogataH pratipakza saMpatti yogataH ca ASraya parivRttiH
   paridīpitā | yathā ca tatprāptirdvividhamārgalābhāt |	paridIpitA | yaTA ca tad prAptiH dviviDa mArga lABAt |
   suviśuddhalokottarajñānamārgalābhāt |	su viSudDa loka uttara jQAna mArga lABAt |
   tatpṛṣṭhalabdhānantajñeyaviṣayajñānamārgalābhācca |	tad pRzWa labDa ananta jQeya vizaya jQAna mArga lABAt ca |
   utkṛṣṭakālamityanādikālaṃ |	utkRzwa kAlam iti anAdi kAlam |
   suvipulaiḥ sarvahāniprakārairiti bhūmiprakāraiḥ |	su vipulEH sarva hAni prakArEH iti BUmi prakArEH |
   sthitaśca tasminsa tathāgato jaganmahācalendrastha ivābhyudīkṣate |	sTitaH ca tasmin sa taTAgataH jagat mahA acala indra sTaH iva aByudIkzate |
   śamābhirāmaṃ karūṇāyate janamaghā[bhavā]bhirāme 'nyajane tu kā kathā ||	Sama aBirAmam karUNAyate janam aGA[ BavA]BiH Ame anya jane tu kA kaTA ||
   Msa_9.13 ||	Msa_9.13 ||
   anena dvitīyenānyāśrayaparāvṛttibhyastadviśeṣaṃ darśayati | tatstho hi	anena dvitIyena anya ASraya parAvRttiByaH tad viSezam darSayati | tad sTaH hi
   mahācalendrastha iva dūrāntaranikṛṣṭaṃ lokaṃ paśyati |	mahA acala indra sTaH iva dUra antara nikRzwam lokam paSyati |
   dṛṣṭvā ca karūṇāyate śrāvakapratyekabuddhānapi prāgeva tadanyān |	dRzwvA ca karUNAyate SrAvaka pratyekabudDAn api prAk eva tad anyAn |
   pravṛttirūdvittiravṛttirāśrayo nivṛttirāvṛttiratho dvayādvayā |	pravRttiH u udvittira vRttiH ASrayaH nivRttiH AvRttiH aTo dvaya advayA |
   samāviśiṣṭā api sarvagātmikā tathāgatānāṃ parivṛttiriṣyate || Msa_9.14 ||	samAviSizwAH api sarva gA AtmikA taTAgatAnAm parivRttiH izyate || Msa_9.14 ||
   anena tṛtīyena taddaśaprabhedaṃdarśayati | sā hi tathāgatānāṃ parivṛttiḥ	anena tRtIyena tad daSa praBedaMdarSayati | sA hi taTAgatAnAm parivRttiH
   parārthavṛttiriti pravṛttiḥ | sarvadharmaviśiṣṭatvāduṣkṛṣṭā	para arTa vRttiH iti pravRttiH | sarva Darma viSizwa tvAt uzkRzwA
   vṛttirityudvṛttiḥ | saṃkleśahetāvavṛttiḥ | āśraya iti yo 'sau	vRttiH iti udvRttiH | saMkleSa hetO= avRttiH | ASrayaH iti yaH asO
   parivṛttyāśrayastaṃ darśayati | saṃkleśānnivṛttito nivṛttiḥ |	parivRtti ASrayaH tam darSayati | saMkleSAt nivRttitaH nivRttiH |
   ātyantikatvādāyatā vṛttirityāvṛttiḥ | abhisaṃbodhiparinirvāṇadarśanavṛttyā	Atyantika tvAt AyatA vRttiH iti AvRttiH | aBisaMboDi parinirvANa darSana vRttyA
   dvayā vṛttiḥ | saṃsāranirvāṇāpratiṣṭhitatvātsaṃskṛtāsaṃskṛtatvenādvayā	dvayA vRttiH | saMsAra nirvANa apratizWita tvAt saMskRta asaMskRta tvena advayA
   vṛttiḥ | vimuktisāmānyena śrāvakapratyekabuddhasamā vṛttiḥ |	vRttiH | vimukti sAmAnyena SrAvaka pratyekabudDa samA vRttiH |
   balavaiśāradyādibhiḥ buddhadharmairasamatvādviśiṣṭā vṛttiḥ |	bala vESAradya AdiBiH budDa DarmEH asama tvAt viSizwA vRttiH |
   sarvayānopadeśagatatvātsarvagatāvṛttiḥ |	sarva yAna upadeSa gata tvAt sarva gata AvRttiH |
   yathāmbaraṃ sarvagataṃ sadāmataṃ tathaiva tatsarvagataṃ sadāmatam |	yaTA ambaram sarva gatam sadAmatam taTA eva tat sarva gatam sadAmatam |
   yathāmbaraṃ rūpagaṇeṣu sarvagaṃ tathaiva tatsattvagaṇeṣu sarvagam ||	yaTA ambaram rUpa gaNezu sarvagam taTA eva tad sattva gaNezu sarvagam ||
   Msa_9.15 ||	Msa_9.15 ||
   (MSA_Bagchi 40)	(MSA_BagCi 40)
   anena caturthena tatsvabhāvasya buddhatvasya sarvagatatvaṃ darśayati |	anena caturTena tad svaBAvasya budDa tvasya sarva gata tvam darSayati |
   ākāśasādharmyeṇauddeśanirdeśataḥ pūrvāparārdhābhyām | sattvagaṇeṣu	AkASa sADarmyeNa OddeSa nirdeSataH pUrva apara arDAByAm | sattva gaNezu
   sarvagatatvaṃ buddhatvasyātmatvena sarvasattvopagamane pariniṣpattito	sarva gata tvam budDa tvasya Atma tvena sarva sattva upagamane parinizpattitaH 
   veditavyam |	veditavyam |
   yathodabhājane bhinne candrabimbaṃ na dṛśyate |	yaTA uda BAjane Binne candra bimbam na dRSyate |
   tathā duṣṭeṣu sattveṣu buddhabimbaṃ na dṛśyate || Msa_9.16 ||	taTA duzwezu sattvezu budDa bimbam na dRSyate || Msa_9.16 ||
   anena pañcamena sarvagatatve 'pyabhājanabhūteṣu sattveṣu	anena paQcamena sarva gata tve api aBAjana BUtezu sattvezu
   abuddhabimbadarśanaṃ dṛṣṭāntena sādhayati |	abudDa bimba darSanam dRzwAntena sADayati |
   yathāgnirjvalate 'nyatra punaranyatraśāmyati |	yaTA agniH jvalate anyatra punar anyatra SAmyati |
   buddheṣvapi tathā jñeyaṃ saṃdarśanamadarśanam || Msa_9.17 ||	budDezu api taTA jQeyam saMdarSanam adarSanam || Msa_9.17 ||
   anena ṣaṣṭhena buddhavineyeṣu satsubuddhotpādāttaddarśanaṃ | vinīteṣu	anena zazWena budDa vineyezu sat subudDa utpAdAt tad darSanam | vinItezu
   parinirvāṇāttadadarśanaṃ agnijvalanaśamanasādharmyeṇa sādhayati |	parinirvANAt tat adarSanam agni jvalana Samana sADarmyeNa sADayati |
   anābhogāpratiprasrabdhabuddhakāryatve catvāraḥ ślokāḥ |	anABoga apratiprasrabDa budDa kArya tve catvAraH SlokAH |
   aghaṭitebhyastūryebhyo yathā syācchabdasaṃbhavaḥ |	aGawiteByaH tUryeByaH yaTA syAt Sabda saMBavaH |
   tathā jine vinābhogaṃ deśanāyāḥ samudbhavaḥ || Msa_9.18 ||	taTA jine vinA ABogam deSanAyAH samudBavaH || Msa_9.18 ||
   yathā maṇervinā yatnaṃ svaprabhāva[sa]nidarśanam |	yaTA maNeH vinA yatnam sva praBA va[ sa]nidarSanam |
   buddheṣvapi vinābhogaṃ tathā kṛtyanidarśanam || Msa_9.19 ||	budDezu api vinA ABogam taTA kRtya nidarSanam || Msa_9.19 ||
   ābhyāṃ ślokābhyāmanābhogena buddhakāryaṃ	AByAm SlokAByAm anABogena budDa kAryam
   sādhayatyaghaṭitatūryaśabdamaṇiprabhāva[sa]sādharmyeṇa |	sADayati aGawita tUrya Sabda maNi praBAva[ sa] sADarmyeNa |
   yathākāśe avicchinnā dṛśyante lokataḥ kriyāḥ |	yaTA AkASe avicCinnAH dRSyante lokataH kriyAH |
   tathaivānāsrave dhātau avicchinnā jinakriyāḥ || Msa_9.20 ||	taTA eva anAsrave DAtO avicCinnAH jinakriyAH || Msa_9.20 ||
   yathākāśe kriyāṇāṃ hi hānirabhyudayaḥ sadā |	yaTA AkASe kriyANAm hi hAniH aByudayaH sadA |
   tathaivānāsrave dhātau buddhakāryodayavyayaḥ || Msa_9.21 ||	taTA eva anAsrave DAtO budDa kArya udaya vyayaH || Msa_9.21 ||
   ābhyāmapyapratiprasrabdhabuddhakāryatvaṃ buddhakṛtyasyāvicchedāt | ākāśa	AByAm api apratiprasrabDa budDa kArya tvam budDa kRtyasya avicCedAt | AkASa
   iva lokakriyāṇāmavicchede 'pi cānyānyakriyodayavyayastathaiva |	iva loka kriyANAm avicCede api ca anyAni akriyA udaya vyayaH taTA eva |
   anāsravadhātugāmbhīrye ṣoḍaśa ślokāḥ |	anAsrava DAtu gAmBIrye zoxaSa SlokAH |
   paurvāparya[ā]viśiṣṭāpi sarvāvaraṇanirmalā |	pOrvAparya [A] viSizwA api sarva AvaraNa nirmalAH |
   naśuddhā nāpi cāśuddhā tathatā buddhatā matā || Msa_9.22 ||	naSudDA na api ca aSudDA taTatA budDa tA matA || Msa_9.22 ||
   (MSA_Bagchi 41)	(MSA_BagCi 41)
   paurvāparyeṇa[ā]viśiṣṭatvānna śuddhā |	pOrvAparyeNa [A] viSizwa tvAt na SudDA |
   paścātsarvāvaraṇanirmalatvānnāśuddhā malavigamāt |	paScAt sarva AvaraNa nirmala tvAt na aSudDAH mala vigamAt |
   śūnyatāyāṃ viśuddhāyāṃ nairātmyānmārgalābhataḥ |	SUnyatAyAm viSudDAyAm nErAtmyAt mArga lABataH |
