   Mahāsāhasrapramardanī	MahAsAhasra-pramardanI
   subhāṣitā iyaṃ vidyā mahāsāhasrapramardinī //	su-BAzitA iyam vidyA mahA-sAhasra-pramardinI //
   vidyām aham pravakṣāmi dārakānāṃ hitaṃkarī /	vidyAm aham pravakzAmi dArakAnAm hitaMkarI /
   buddhavīraṃ namasyāmi dharmarājaṃ śubhākaraṃ //	budDa-vIram namasyAmi DarmarAjam SuBa-akaram //
   yena prathamato vidyā jaṃbudvīpe prakāśitā /	yena praTamatas vidyA jaMbudvIpe prakASitA /
   dharmāya ca viśiṣṭhāya saṃghāya ca gaṇottame //	DarmAya ca viSizWAya saMGAya ca gaNa-uttame //
   buddhasya pādau vanditvā brahmā vacanam abravīt /	budDasya pAdO vanditvA brahmA vacanam abravIt /
   buddhāḥ pratyekabuddhāś ca buddhānāṃ śrāvakāś ca ye //	budDAH pratyekabudDAH ca budDAnAm SrAvakAH ca ye //
   ṛṣayo lokapālāś ca yāvanto devatāpi ca /	RzayaH lokapAlAH ca yAvantaH devatA-api ca /
   ito mānuṣyalokataḥ sarva ete samutthitāḥ //	itas mAnuzya-lokataH sarve ete samutTitAH //
   santīha rākṣasā ghorā garbharakṣā mahāmune /	santi-iha rAkzasAH GorAH garBa-rakzA mahA-mune /
   śakyo na te 'pi ca draṣṭuṃ nāpi śakyāś caturdiśam //	SakyaH na te api ca drazwum na-api SakyAH caturdiSam //
   yāsāṃ putro na jāyante yāsāṃ garbho na tiṣṭhati /	yAsAm putraH na jAyante yAsAm garBaH na tizWati /
   naranārīsaṃprayogena saṃpramuhyanti indriyā //	nara-nArI-saMprayogena saMpramuhyanti indriyAH //
   putrabījaṃ vināśyanti kalalaṃ vā sabudbudaṃ /	putra-bIjam vinASyanti kalalam vA sa-budbudam /
   niṣpannā garbhayā ca strī jāyate na viśalyate //	nizpannA garBayA ca strI jAyate na viSalyate //
   nāmāni teṣām ākhyāse lokanātha śṛṇohi me /	nAmAni tezAm AKyAse lokanATa SRNohi me /
   mañjuko mṛgarājaś ca skandāpasmāramuṣṭikā //	maQjukaH mRgarAjaH ca skandApasmAra-muzwikAH //
   mātṛkā jāmikaś caiva kāminī revatī tathā /	mAtRkA jAmikaH ca-eva kAminI revatI taTA /
   pūtanā mātṛnandā ca śakuniḥ kaṇṭhapāṇinī //	pUtanA mAtRnandA ca SakuniH kaNWa-pANinI //
   mukhamaṇḍitikālambā carante sarvamedinī /	muKa-maNxitika-AlambA carante sarva-medinI /
   ete grahāḥ pañcadaśā dārakānāṃ bhayaṃkarāḥ //	ete grahAH paQcadaSAH dArakAnAm BayaMkarAH //
   vakṣolakṣaṇarūpāṇi yathā gṛhṇanti dārakān /	vakzaH-lakzaNa-rUpANi yaTA gRhNanti dArakAn /
   mañjukena gṛhītasya cakṣusī parivartate //	maQjukena gRhItasya cakzusI parivartate //
   mṛgarājagṛhītasya chardir bhavati dāruṇā /	mRgarAja-gRhItasya CardiH Bavati dAruNAH /
   skandena pragṛhītasya skandau cāleti dārakaḥ //	skandena pragRhItasya skandO cAla-iti dArakaH //
   apasmāragṛhītas tu pheṇaṃ lālāṃ ca muñcati /	apasmAra-gRhItaH tu PeNam lAlAm ca muQcati /
   muṣṭikāpragṛhītasya muṣṭibaddhā na muñcati //	muzwikA-pragRhItasya muzwi-badDA na muQcati //
   mātṛkāsaṃgṛhītasya stanate hasate tathā /	mAtRkA-saMgRhItasya stanate hasate taTA /
   (Msp 36)	(Msp 36)
   jāmikāsaṃgṛhītas tu nābhinandati sa stanau //	jAmikA-saMgRhItaH tu na-aBinandati sa stanO //
   kāminīpragṛhītas tu prasuptaḥ saṃprarodati /	kAminI-pragRhItaH tu prasuptaH saMprarodati /
   revatīpragṛhītas tu jihvā dantaiḥ prakhādati //	revatI-pragRhItaH tu jihvA dantEH praKAdati //
   pūtanāpragṛhītas tu kāsate bhanate tathā /	pUtanA-pragRhItaH tu kAsate Banate taTA /
   mātṛnandāgṛhītas tu vicitrarūpam ādiśet //	mAtR-nandA-gRhItaH tu vicitra-rUpam AdiSet //
   śakunīpragṛhītasya gandhipūtiṃ pravāyate /	SakunI-pragRhItasya ganDi-pUtim pravAyate /
   kaṇṭhapāṇigṛhītasya kaṇṭhaḥ saṃparirudhyate //	kaNWa-pANigRhItasya kaNWaH saMpariruDyate //
   mukhamaṇḍīgṛhītas tu jvaryate ca viricyate /	muKamaNxI-gRhItaH tu jvaryate ca viricyate /
   ālambāpragṛhītasya hikkāśvāsaś ca jāyate //	Alamba-apragRhItasya hikkA-ASvAsaH ca jAyate //
   tatra rūpaṃ samākhyāsye yathā trāsyanti dārakān /	tatra rUpam samAKyAsye yaTA trAsyanti dArakAn /
   mañjuko gavarūpeṇa mṛgarājo mṛgo yathā //	maQjukaH gava-rUpeNa mRgarAjaH mRgaH yaTA //
   skandaḥ kumārarūpeṇa apasmāraḥ śṛgālavat /	skandaH kumAra-rUpeNa apasmAraH SRgAla-vat /
   muṣṭikā kākarūpeṇa chāgarūpeṇa mātṛkā //	muzwikA kAka-rUpeNa CAga-rUpeNa mAtRkAH //
   jāmikā aśvarūpeṇa ghoṣarūpeṇa kāminī /	jAmikA aSva-rUpeNa Goza-rUpeNa kAminI /
   revatī śvānarūpeṇa śukarūpeṇa pūtanā //	revatI SvAna-rUpeNa Suka-rUpeNa pUtanA //
   mātṛnandā viḍālena śakuni pakṣirūpiṇī /	mAtR-nandA vixAlena Sakuni pakzi-rUpiNI /
   kaṇṭhapāṇī kaukkuṭena aulūkena mukhamaṇḍikā //	kaNWa-pANI kOkkuwena OlUkena muKamaNxikA //
   ālambā jatrurūpeṇa etās trāsyanti dārakāḥ /	AlambAH jatru-rUpeNa etAH trAsyanti dArakAH /
   etāḥ śukraharā ghorā dārakānāṃ bhayaṃkarāḥ //	etAH Sukra-harAH GorAH dArakAnAm BayaMkarAH //
   etāḥ samānayiṣyāmi sūtrapāśena karṣitāḥ /	etAH samAnayizyAmi sUtra-pASena karzitAH /
   candano nāma gandharvo yakṣasenāpatir mahān //	candanaH nAma ganDarvaH yakza-senApatiH mahAn //
   tasya lekhaṃ ca mudrāṃ ca datvā dūtyena preṣayet /	tasya leKam ca mudrAm ca datvA dUtyena prezayet /
   ugrān grantha samānehi tvaṃ tān pañcadaśān grahān //	ugrAn granTa samAne-hi tvam tAn paQcadaSAn grahAn //
   tena tatkṣaṇam ānītāḥ pañcabandhanapīḍitāḥ /	tena tad-kzaNam AnItAH paQca-banDana-pIxitAH /
   tato 'bravīt mahābrahmā lokanāthaṃ kṛtāñjaliḥ //	tatas abravIt mahA-brahmA lokanATam kRtAQjaliH //
   etāni tāni bhūtāni bījaṃ nāśenti prāṇinām /	etAni tAni BUtAni bIjam nASenti prANinAm /
   teṣāṃ daṇḍaṃ praṇeṣyāmi lokanāthasya saṃmukhaṃ //	tezAm daNxam praNezyAmi lokanATasya saMmuKam //
   yasyā na jāyate putro jāto vā yasya gṛhyate /	yasyAH na jAyate putraH jAtaH vA yasya gRhyate /
   śiṣyā saddharmacaraṇa aṣṭamīṃ sa caturdaśim //	SizyA sadDarma-caraNa azwamIm sa caturdaSim //
   caityaṃ saṃpūjayitvā tu susnātāḥ suvibhūṣitāḥ /	cEtyam saMpUjayitvA tu su-snAtAH su-viBUzitAH /
   (Msp 37)	(Msp 37)
   sarṣapāliptadharaṇīṃ puṣpagandhasamākulāḥ //	sarzapa-Alipta-DaraNIm puzpa-ganDa-samAkulAH //
   pañcaraṅgena sūtreṇa granthīnāṃ kārayec chatam /	paQca-raFgena sUtreNa granTInAm kArayet Satam /
   ardharātre sthite kāle mūṣṭiṃ sthitvā tu sarṣapān //	arDarAtre sTite kAle mUzwim sTitvA tu sarzapAn //
   brahmanirmitam ity āhur brahmaṇā ca prakaṃpitāḥ /	brahma-nirmitam iti AhuH brahmaNA ca prakaMpitAH /
   yāvad dvādaśavarṣāṇāṃ kumārāṇāṃ hitaṃkarī //	yAvat dvAdaSa-varzANAm kumArANAm hitaMkarI //
   yo imām atikramed vidyāsūtraṃ brahmaṇā nirmitām /	yaH imAm atikramet vidyA-sUtram brahmaNA nirmitAm /
   saptadhāsya sphuṭen mūrdhā arjakasyeva mañjarī //	saptaDA-asya sPuwet mUrDA arjakasya-iva maQjarI //
   syād yathedam /	syAt yaTA-idam /
   aṅge vaṅge bhaṅge / bhavane / inandi vinandi / mulali / giri / garari /	aFge vaFge BaFge / Bavane / inandi vinandi / mulali / giri / garari /
   garuṇi / śaruṇi / girigavare / locane / roṣaṇe / lasane / rocane / alabhe	garuNi / SaruNi / giri-gavare / locane / rozaNe / lasane / rocane / alaBe
   / aṅgane / alaphe talaphe / prakarṣaṇi svāhā //	/ aFgane / alaPe talaPe / prakarzaNi svAhA //
   kṣipraṃ saṃtiṣṭhatāṃ garbhaḥ samyag vardhantu indriyā /	kzipram saMtizWatAm garBaH samyak varDantu indriyAH /
   garbhasthāḥ sukhino bhontu mā ca naśyantu jātakāḥ //	garBa-sTAH suKinaH Bontu mA ca naSyantu jAtakAH //
   svasthaḥ saṃtiṣṭhatāṃ garbhaḥ kālena parimucyate /	svasTaH saMtizWatAm garBaH kAlena parimucyate /
   nānāraṅgāṇi sūtrāṇi akṣatā gaurasarṣapāḥ //	nAnA-raFgANi sUtrANi akzatAH gOrasarzapAH //
   eṣā rakṣā samākhyātā ciraṃ jīvantu dārakāḥ /	ezA rakzA samAKyAtA ciram jIvantu dArakAH /
   tato 'tha śāstā sarvajña imāṃ gāthām udāharet //	tatas aTa SAstA sarvajQaH imAm gATAm udAharet //
   rakṣito bhavantu garbhaḥ sukhaṃ modantu dārakāḥ /	rakzitaH Bavantu garBaH suKam modantu dArakAH /
   syād yathedaṃ /	syAt yaTA-idam /
   bodhi bodhi / mahābodhi / bodhānumate / phalini / bahuphale / śikṣe /	boDi boDi / mahA-boDi / boDa-anumate / Palini / bahu-Pale / Sikze /
   śikṣāsāravate / sāgale / durāsade / dūrāgame / śūraprāpte / śūravate /	SikzA-sAravate / sAgale / durAsade / dUra-Agame / SUra-prApte / SUravate /
   bhage / bhagābhage / bhagini / nivāriṇi svāhā //	Bage / Baga-ABage / Bagini / nivAriNi svAhA //
   tato grahāḥ pañcadaśāḥ sarvadā rudhirāśinaḥ /	tatas grahAH paQcadaSAH sarvadA ruDira-ASinaH /
   namaskṛtvāñjalikarā lokanāthaṃ samabruvan //	namaskRtvA-aQjali-karAH lokanATam samabruvan //
   yatredaṃ nagare sūtraṃ grāme vā yadi vā gṛhe /	yatra-idam nagare sUtram grAme vA yadi vA gRhe /
   nātra bālā mariṣyanti yatra tiṣṭhet subhāṣitaṃ //	na-atra bAlAH marizyanti yatra tizWet su-BAzitam //
   anuvṛṣṭyā bhajiṣyāmo yathā tava mahāmuni /	anuvRzwyA BajizyAmaH yaTA tava mahA-muni /
   namo bhagavate buddhāya namo brahmaṇe sidhyantu //	namaH Bagavate budDAya namaH brahmaNe siDyantu //
   mantrapadās tārayantu imāṃ vidyāṃ brahmā manyatu svāhā //	mantra-padAH tArayantu imAm vidyAm brahmA manyatu svAhA //
   atha vaiśramaṇo mahārāja ekāṃsam uttarāsaṃgaṃ kṛtvā kṛtāñjalir (Msp 38)	aTa vESramaNaH mahA-rAja eka-aMsam uttarAsaMgam kRtvA kRtAQjaliH (Msp 38)
   bhagavantaṃ namasyamāno 'vocat /	Bagavantam namasyamAnaH avocat /
   yaḥ kaścid bhadanta bhagavan śrāvaka idaṃ mahāsāhasrapramardanīsūtram	yaH kaScid Badanta Bagavan SrAvakaH idam mahA-sAhasra-pramardanI-sUtram
   udgṛhṇayād vārayed vācayed deśayet paryavāpnuyāt tena vā bahuśrutena yogaḥ	udgRhNayAt vArayet vAcayet deSayet paryavApnuyAt tena vA bahu-Srutena yogaH
   karaṇīyaḥ / caityapūjā pareṇa bhavitavyam / aṣṭamyāṃ caturdaśyāṃ	karaNIyaH / cEtya-pUjA pareNa Bavitavyam / azwamyAm caturdaSyAm
   pañcadaśyāṃ ca tv ete yakṣasyodāracaityapūjāṃ kṛtvā vidyā āvartayitavyā /	paQcadaSyAm ca tu ete yakzasya-udAra-cEtya-pUjAm kRtvA vidyA AvartayitavyA /
   tasyāṣṭamyāṃ catvāro rājapuruṣā mahārājānāṃ purataḥ samanvāharanti nāma	tasya-azwamyAm catvAraH rAja-puruzAH mahA-rAjAnAm puratas samanvAharanti nAma
   codghoṣayanti / caturdaśyāṃ caturṇāṃ mahārājānāṃ purataḥ samanvāharanti	ca-udGozayanti / caturdaSyAm caturNAm mahA-rAjAnAm puratas samanvAharanti
   nāma codghoṣayanti / pañcadaśyāṃ svayam eva catvāro mahārājānaḥ	nAma ca-udGozayanti / paQcadaSyAm svayam eva catvAraH mahA-rAjAnaH
   samanvāharanti nāma codghoṣayanti //	samanvAharanti nAma ca-udGozayanti //
   sarvasatvahitānukaṃpīvatāyaṃ bhagavataḥ śrāvako ya idaṃ	sarva-satva-hita-anukaMpIvata-ayam BagavataH SrAvakaH yaH idam
   mahāsāhasrapramardanīsūtram udgṛhṇati dhārayati vācayati paryavāpnoti /	mahA-sAhasra-pramardanI-sUtram udgRhNati DArayati vAcayati paryavApnoti /
   tasya ca bhadanta bhagavan vayaṃ catvāro mahārājānaś	tasya ca Badanta Bagavan vayam catvAraH mahA-rAjAnaS
   cīvarapiṇḍapātaśayanaglānapratyayabhaiṣajyapariṣkārair autsukyaṃ	cIvara-piNxapAta-Sayana-glAna-pratyaya-BEzajya-parizkArEH Otsukyam
   kariṣyāmaḥ / satkṛtaś ca bhaviṣyati / sarvasatvair gurukṛtaś ca mānitaś ca	karizyAmaH / satkRtaH ca Bavizyati / sarva-satvEH gurukRtaH ca mAnitaH ca
   pūjitaś ca rājñāṃ rājamahāmātrāṇāṃ ca bhaviṣyati /	pUjitaH ca rAjQAm rAja-mahAmAtrANAm ca Bavizyati /
   anyatīrthakaśravaṇabrāhmaṇaparivrājakānāṃ pūjyo bhaviṣyati	anya-tIrTaka-SravaNa-brAhmaNa-parivrAjakAnAm pUjyaH Bavizyati
   mitrāmitramadhyagato 'pi satkṛto bhaviṣyati / te ca śrāddhena kulaputreṇa	mitra-amitra-maDya-gataH api satkRtaH Bavizyati / te ca SrAdDena kula-putreNa
   vā kuladuhitrā vā śucinā bhavitavyam / śucikāyena	vA kula-duhitrA vA SucinA Bavitavyam / Suci-kAyena
   śucivastrābharaṇaśayanopakaraṇaviśeṣeṇa / na kudeśalābhena na	Suci-vastra-ABaraNa-Sayana-upakaraNa-viSezeNa / na ku-deSa-lABena na
   kumitrasaṃsargeṇa na kudeśavāsasaṃprayuktena bhavitavyam / yasya ca	kumitra-saMsargeNa na ku-deSa-vAsa-saMprayuktena Bavitavyam / yasya ca
   bhūtagrahagṛhītasya purata idaṃ mahāsāhasrapramardanī nāma sūtraṃ	BUta-graha-gRhItasya puratas idam mahAsAhasrapramardanI nAma sUtram
   śrāvayiṣyati / tasya catvāro mahārājānaḥ svayam eva rakṣāvaraṇaguptiṃ	SrAvayizyati / tasya catvAraH mahA-rAjAnaH svayam eva rakzA-AvaraNa-guptim
   saṃvidhāsyanti / evaṃ maharddhikaṃ bhadanta bhagavan	saMviDAsyanti / evam mahardDikam Badanta Bagavan
   mahāsāhasrapramardanīsūtraṃ yasyāpi gṛhe ekam api rātriṃ divaṃ vāsaṃ	mahA-sAhasra-pramardanI-sUtram yasya-api gRhe ekam api rAtrim divam vAsam
   kalpayiṣyati / tasya saṃvatsaraṃ yāvad amanuṣyā avatāraṃ na lapsyanti /	kalpayizyati / tasya saMvatsaram yAvat amanuzyAH avatAram na lapsyanti /
   namasyanīyaś ca bhaviṣyati sarvabhūtagaṇasya yaḥ idaṃ	namasyanIyaH ca Bavizyati sarva-BUta-gaNasya yaH idam
   mahāsāhasrapramardanīsūtraṃ dhārayiṣyati / tasya kāṅkṣataś catvāro	mahA-sAhasra-pramardanI-sUtram DArayizyati / tasya kAFkzataH catvAraH-
   mahārājāno sukham upadarśayanti / kimaṅga punar itare yakṣarākṣasāḥ / tat	mahA-rAjAnaH suKam upadarSayanti / kim-aFga punar itare yakza-rAkzasAH / tat-
   kasya hetor ye kecil loke vidyā (Msp 39) saṃvidhāsyanti / satvānāṃ hitāya	kasya hetoH ye kecid loke vidyAH (MsB 39) saMviDAsyanti / satvAnAm hitAya
   / imāni mantrapadāni tebhyo varapravaraśreṣṭhaviśiṣṭottamāni /	/ imAni mantra-padAni teByaH vara-pravara-SrezWa-viSizwa-uttamAni /
   gaṃbhīravipulo pramāṇāni dūrāvataraṇā asādhāraṇā iyaṃ dharmamudrā //	gaMBIra-vipulaH pramANAni dUra-avataraNAH asADAraNAH iyam DarmamudrA //
   athendraś ca sahasrākṣo devarāja śacīpatiḥ /	aTa-indraH ca sahasrAkzaH devarAja SacIpatiH /
   prāñjalistho namaskṛtvā lokanāthaṃ samabravīt //	prAQjali-sTaH namaskRtvA lokanATam samabravIt //
   subhāṣitā iyaṃ vidyā sarvalokahitaṃkarī /	su-BAzitA iyam vidyA sarva-loka-hitaMkarI /
   vidyām aham pravakṣāmi mantrauṣadhisamāyutam //	vidyAm aham pravakzAmi mantra-ozaDi-samAyutam //
   śirīṣapuṣpam apāmārgam agaruḥ kaṭakāphalaṃ /	SirIza-puzpam apAmArgam agaruH kawakA-Palam /
   śaileyam eḍamañjiṣṭhā sūkarī markaṭī jayā //	SEleyam examaQjizWA sUkarI markawI jayA //
   paripelavaṃ rasaṃ vīrā sāmakaṃ tagaraṃ busā /	paripelavam rasam vIrA sAmakam tagaram busA /
   candanāvartanaṃ kuṣṭhaṃ nakhaṃ patrakataṃ varā //	candana-Avartanam kuzWam naKam patrakatam varAH //
   priyaṃgu rocanā spṛkkā sarṣapāś ca manaḥśilāḥ /	priyaMgu rocanA spRkkA sarzapAH ca manaHSilAH /
   tvacaṃ ca kuṅkumaṃ hiṅgupatrasaṃyuktavarṇakam //	tvacam ca kuFkumam hiFgu-patra-saMyukta-varNakam //
   eṣāṃ ca saṃyutāvartiḥ sarvagrahapramocanī /	ezAm ca saMyutAvartiH sarva-graha-pramocanI /
   sarvabhūtavikāreṣu eṣā netrāñjanī smṛtāḥ //	sarva-BUta-vikArezu ezA netrAQjanI smRtAH //
   gṛhītā yena mucyanti bhūtavajraśanīśaraiḥ /	gRhItAH yena mucyanti BUta-vajra-SanI-SarEH /
   mahāvṛkṣeṣu leptavyaṃ mahācaitye tathaiva ca //	mahA-vRkzezu leptavyam mahA-cEtye taTA-eva ca //
   yo hi paśyati tat sthānaṃ bhūtebhyo na bhayaṃ tataḥ /	yaH hi paSyati tat sTAnam BUteByaH na Bayam tatas /
   sthānaṃ na tatra bhūtānāṃ nānyeṣām ahitaiṣiṇām //	sTAnam na tatra BUtAnAm na-anyezAm ahita-eziNAm //
   bherīśaṅkhamṛdaṅgāni paṇavāṃś cāpi lepayet /	BerI-SaFKa-mRdaFgAni paNavAn ca-api lepayet /
   yāvac chrūyati śabdo 'dya trasante bhūtamaṇḍalāḥ //	yAvat SrUyati SabdaH adya trasante BUta-maNxalAH //
   yakṣāṇi lepayed vāpi pakṣiṇāṃ grāmacāriṇām /	yakzANi lepayet vA-api pakziNAm grAma-cAriNAm /
   yatrāsau vrajate pakṣī diśaṃ cāpi digantaram //	yatra-asO vrajate pakzI diSam ca-api digantaram //
   sthānaṃ na tatra bhūtānāṃ nānyeṣām ahitaiṣiṇām /	sTAnam na tatra BUtAnAm na-anyezAm ahita-eziNAm /
   saritsrotastaḍāgeṣu prakṣiped yatra tatra vā //	sarit-srotaH-taxAgezu prakzipet yatra tatra vA //
   samantād yojanaṃ tatra svasti śāntir bhaviṣyati /	samantAt yojanam tatra svasti SAntiH Bavizyati /
   api śastranipāteṣu paracakrasamāgame //	api Sastra-nipAtezu para-cakra-samAgame //
   sarvamarmeṣu leptavyaṃ svastinā uttariṣyati /	sarva-marmezu leptavyam svastinA uttarizyati /
   galagaṇḍeṣu cārśeṣu vaisarpapiṭakeṣu ca //	gala-gaNxezu ca-arSezu vEsarpa-piwakezu ca //
   viṣadaṣṭe viṣapīte pītvā kṣipraṃ pramucyate /	viza-dazwe viza-pIte pItvA kzipram pramucyate /
   (Msp 40)	(Msp 40)
   etena lepayed gātraṃ sarvakākhordacchedanam //	etena lepayet gAtram sarva-kAKoH-da=-Cedanam //
   vivādottāraṇaṃ siddhaṃ rājadvāraparimocanam /	vivAda-uttAraNam sidDam rAja-dvAra-parimocanam /
   asiddhaḥ siddham āpnoti īśvaratvam anīśvaram //	asidDaH sidDam Apnoti ISvara-tvam anISvaram //
   aputro labhate putram adhano labhate dhanam /	aputraH laBate putram aDanaH laBate Danam /
   yāvad vidyādharasthānāṃ mantrāṇi tāni sādhayet //	yAvat vidyADara-sTAnAm mantrANi tAni sADayet //
   tiryagyonigate caiva tat syād vṛkṣaphaleṣu ca /	tiryagyoni-gate ca-eva tat syAt vRkza-Palezu ca /
   vidyādharasya prajño 'sya śantikaraṃ śubhaṃkaram //	vidyADarasya prajQaH asya Santi-karam SuBaMkaram //
   tatra mantrapadāny asti indrasya vacanaṃ yathā /	tatra mantra-padAni asti indrasya vacanam yaTA /
   syād yathedam /	syAt yaTA-idam /
   akrame / vikrame / bhūtaghoṣe / bhūtaṃgame / dahani / dhadhare /	akrame / vikrame / BUtaGoze / BUtaMgame / dahani / DaDare /
   dharadhare / dadhini / nikhume / khukhume / khakha khakha / sāraṃgame /	DaraDare / daDini / niKume / KuKume / KaKa KaKe / sAraMgame /
   candre / capale / halime / hale hariṇi svāhā //	candre / capale / halime / hale hariNi svAhA //
   svasty astu mama sarvasatvānāṃ ca sarvadigvidigbhyaḥ svāhā //	svasti astu mama sarva-satvAnAm ca sarva-diS-vidigByaH svAhA //
   nihatāḥ sarvapāpāni svāhā //	nihatAH sarva-pApAni svAhA //
   tato brahmā ca śakraś ca lokapālā maheśvaraḥ /	tatas brahmA ca SakraH ca lokapAlAH maheSvaraH /
   yakṣasenāpatayaḥ sarve hārītī ca saputrikā //	yakza-senApatayaH sarve hArItI ca sa-putrikA //
   ekavāgekasvarā avocat prāñjalīkṛtāḥ /	eka-vAc-eka-svarAH avocat prAQjalIkRtAH /
   sahasrasūryapradyotaḥ pūrṇacandraprabhāsvaraḥ //	sahasra-sUrya-pradyotaH pUrNa-candra-praBAsvaraH //
   sadevamānuṣe loke sadṛśas te na vidyate /	sa-deva-mAnuze loke sadRSaH te na vidyate /
   acintyā suprayuktā ca yakṣarākṣasamardanī //	acintyA suprayuktA ca yakza-rAkzasa-mardanI //
   rājapramocanī nāma vidyā vairāgyapālanī /	rAjapramocanI nAma vidyA vErAgya-pAlanI /
   sāhasrapramardanī nāma mahārājā śubhodayā //	sAhasrapramardanI nAma mahA-rAjA SuBa-udayA //
   yuddhasaṃgrāmavijayā sarvaśatrupramardanī /	yudDa-saMgrAma-vijayA sarva-Satru-pramardanI /
   mahāsāhasrake loke rakṣārthaṃ sūtram uttamam //	mahA-sAhasrake loke rakzA-arTam sUtram uttamam //
   namas te puruṣavīra namas te puruṣottama /	namaH te puruza-vIra namaH te puruzottamaH /
   añjalisthā namaskṛtvā tatraivāntaradhāyiṣu //	aQjali-sTA namaskRtvA tatra-eva-antara-DAyizu //
   atha bhagavān sāyāhnakālasamaye pratisaṃlayanād utthāya bhikṣūn	aTa BagavAn sAyAhna-kAla-samaye pratisaMlayanAt utTAya BikzUn
   āmantrayāmāsa /	AmantrayAmAsa /
   udgṛhṇadhvaṃ bhikṣavo mahāsāhasrapramardanīśūtraṃ dhārayata vācayata	udgRhNaDvam BikzavaH mahA-sAhasra-pramardanI-SUtram DArayataH vAcayata
   paryavāpnuyāt / tad bhaviṣyati / sadevakasya lokasya (Msp 41) dīrgharātram	paryavApnuyAt / tat Bavizyati / sa-devakasya lokasya (MsB 41) dIrGarAtram
   arthāya hitāya sukhāya sparśavihāratāyai / yaḥ kaścid bhikṣavo mama	arTAya hitAya suKAya sparSa-vihAra-tAyE / yaH kaScid BikzavaH mama
   śravaka etena mahāsāhasrapramardanīsūtreṇa śuṣkavṛkṣasyāpi paritrāṇaṃ	SravakaH etena mahA-sAhasra-pramardanI-sUtreNa Suzka-vRkzasya-api paritrANam
   badhnīyāt parigrahaṃ tasya patrapuṣpaphalāni jayeran / kimaṅga punaḥ	baDnIyAt parigraham tasya patra-puzpa-PalAni jayeran / kim-aFga punar-
   savijñānasya kāyasyānyatra pūrvakarmavipākena //	sa-vijQAnasya kAyasya-anyatra pUrva-karma-vipAkena //
   evam uktās te bhikṣavo bhagavantam etad avocat /	evam uktAH te BikzavaH Bagavantam etat avocat /
   yānīmāni bhadanta bhagavan pañcamahārakṣāsūtrāṇi bhāṣitāni / syād yathedam	yAni-imAni Badanta Bagavan paQca-mahArakzA-sUtrANi BAzitAni / syAt yaTA-idam
   / mahāsāhasrapramardanī / mahāmāyūrī mahāśītavatī mahāpratisarā	/ mahA-sAhasra-pramardanI / mahAmAyUrI mahA-SItavatI mahA-pratisarA
   mahāmantrānusāraṇī ceti / tāni ca bhagavatā	mahA-mantra-anusAraNI ca-iti / tAni ca BagavatA
   pañcāmiṣaparivarjinenānujñatāni vācayitavyāni / piṇḍapātraṃ ca bhojanaṃ	paQca-Amiza-parivarjinena-anujQatAni vAcayitavyAni / piNxa-pAtram ca Bojanam
   niśrāya pravrajyā vyākṛtā / alpaṃ ca bhagavan piṇḍapātraṃ	niSrAya pravrajyA vyAkRtAH / alpam ca Bagavan piNxa-pAtram
   pañcāmiṣaparivarjitam / idam eva bahutaraṃ yad idaṃ pañcāmiṣasaṃsṛṣṭaṃ	paQca-Amiza-parivarjitam / idam eva bahutaram yat idam paQca-Amiza-saMsRzwam
   tatra vayaṃ bhagavan kathaṃ pratipadyāmaḥ //	tatra vayam Bagavan kaTam pratipadyAmaH //
   evam ukte bhagavān tān bhikṣūn etad avocat /	evam ukte BagavAn tAn BikzUn etat avocat /
   tena hi bhikṣavo yo hy etat mahāsāhasrapramardanīsūtraṃ dhārayitavyam /	tena hi BikzavaH yaH hi etat mahA-sAhasra-pramardanI-sUtram DArayitavyam /
   tenākṣateyaṃ dhāraṇī ātmarakṣāyai dhārayitavyā / tena hi piṇḍapātraṃ	tena-akzateyam DAraNI Atma-rakzAyE DArayitavyA / tena hi piNxa-pAtram
   parigṛhītā āhāre pratikūlasaṃjñotpādayitavyā / pañcāmiṣasaṃsṛṣṭapiṇḍapātre	parigRhItAH AhAre pratikUla-saMjQA-utpAdayitavyA / paQca-Amiza-saMsRzwa-piNxa-pAtre
   pañcāmiṣaparivarjitasaṃjñotpādayitavyā / sarvasaṃskṛte anityasaṃjñā /	paQca-Amiza-parivarjita-saMjQA-utpAdayitavyA / sarva-saMskRte anitya-saMjQA /
   anitye duḥkhasaṃjñā / duḥkhe anātmasaṃjñā / anātmany	anitye duHKa-saMjQA / duHKe anAtma-saMjQA / anAtmani-
   aśubhasaṃjñotpādayitavyā / kutaḥ pañcāmiṣāṇi kasya vā pañcāmiṣāṇi / ko vā	aSuBa-saMjQA-utpAdayitavyA / kutas paQca-AmizANi kasya vA paQca-AmizANi / kaH vA
   pañcāmiṣāṇi paribhojyante / nāsti satvaḥ kutaḥ satvaḥ / sa satvo	paQca-AmizANi pariBojyante / na-asti satvaH kutas satvaH / sa satvaH-
   nopalabhyate / tatra cāhāra pañcāmiṣāsaṃsṛṣṭasaṃjñakaraṇīyā / ātmarakṣā	na-upalaByate / tatra ca-AhAra paQca-AmizA-saMsRzwa-saMjQa-karaNIyA / Atma-rakzA
   aṣṭamyāṃ caturdaśyāṃ pañcadaśyāṃ ca rājagotrāya kanyāya susnātāya	azwamyAm caturdaSyAm paQcadaSyAm ca rAja-gotrAya kanyAya su-snAtAya
