   oṃ namo bhāratyai ||	om namaH BAratyE ||
   Vāsavadattāyāḥ prāṇebhyo 'pi garīyasī sarvavisrambhapātraṃ Kalāvatī nāma	VAsavadattAyAH prANeByaH api garIyasI sarva-visramBa-pAtram KalAvatI nAma
   Kandarpaketum uvāca | "āryaputra nāyaṃ visrambhakathānām avasaraḥ | ato	Kandarpa-ketum uvAca | "Arya-putra na-ayam visramBa-kaTAnAm avasaraH | atas-
   laghutaram evābhidhīyate | tvatkṛte yānayā vedanānubhūtā sā yadi nabhaḥ	laGutaram eva-aBiDIyate | tvad-kRte yAnayA vedanA-anuBUtA sA yadi naBaH
   patrāyate sāgaro lolāyate brahmā lipikarāyate bhujagapatir vākkathakaḥ	patrAyate sAgaraH lolAyate brahmA lipikarAyate Bujaga-patiH vAc-kaTakaH
   tadā kim api katham apy ekaikair yugasahasrair abhilikhyate kathyate vā |	tadA kim api kaTam api ekEkEH yuga-sahasrEH aBiliKyate kaTyate vA |
   tvayā ca rājyam ujjhitam | kiṃ bahunātmā saṅkaṭe samāropitaḥ |	tvayA ca rAjyam ujJitam | kim bahunA-AtmA saFkawe samAropitaH |
   eṣāsmatsvāmiduhitā prabhātāyāṃ rajanyāṃ pitrā yauvanātikramadoṣaśaṅkinā	ezA-asmad-svAmi-duhitA praBAtAyAm rajanyAm pitrA yOvana-atikrama-doza-SaFkinA
   bhayena vidyādharacakravartino Vijayaketoḥ putrāya Puṣpaketave	Bayena vidyADara-cakravartinaH Vijaya-ketoH putrAya Puzpa-ketave
   pāṇigrahaṇāya dātavyā | anayāpy ālocitam adya yadi taṃ janam ādāya	pANigrahaNAya dAtavyA | anayA-api Alocitam adya yadi tam janam AdAya
   nāgacchati Tamālikā, tadāvaśyam eva mayā hutavahe śayitavyam" iti | tad	na-AgacCati Ta-mAlikA, tadA-avaSyam eva mayA hutavahe Sayitavyam" iti | tat-
   asyāḥ sukṛtavaśena mahābhāgaḥ imāṃ bhūmim anuprāptaḥ | atha Kandarpaketur	asyAH su-kRta-vaSena mahABAgaH imAm BUmim anuprAptaH | aTa KandarpaketuH-
   bhītabhītaḥ sapraṇayam ānandāmṛtasāgaroddāmataraṅgalaharībhir āpluta iva	BIta-BItaH sa-praNayam Ananda-amRta-sAgara-uddAma-taraFgala-harIBiH AplutaH iva
   Vāsavadattāyā sahāmantrya Makarandaṃ vārtānveṣaṇāya tatraiva nagare	Va-AsavadattAyA saha-Amantrya Makarandam vArtA-anvezaNAya tatra-eva nagare
   niyujya, bhujageneva sadāgatyabhimukhena Manojavanāmnā turagena tayā saha	niyujya, Bujagena-iva sadAgati-aBimuKena Manojava-nAmnA turagena tayA saha
   nagarān niragāt |	nagarAt niragAt |
   43.1) krameṇa ca jāṅgalakavalābhilāṣamilitaniḥśaṅkaśakunikulasaṅkulena	43.1) krameNa ca jAFgala-kavala-aBilAza-milita-niHSaFka-Sakuni-kula-saFkulena
   ardhadagdhacitācakrasimisimāyamānavikaṭakaṭatṛṣṇācaṭulakaṭapūtanottālavetālaravabhīṣaṇena,	arDa-dagDa-citA-cakra-simi-si-mAyamAna-vikawa-kawa-tRzNA-cawula-kawa-pUtanA-uttAla-vetAla-rava-BIzaNena,
   śūlaśikharāropitaśaṅkitavarṇakarṇanāsikācchedarudhirapaṭalapatitabhāṅkāribhambharālīsambhārabharitabhūmibhāgabībhatsena,	SUla-SiKara-Aropita-SaFkita-varNa-karNa-nAsikA-AcCeda-ruDira-pawala-patita-BAFkAri-BamBarA-AlI-samBAra-Barita-BUmi-BAga-bIBatsena,
   kaṭāgnidahyamānapaṭucaṭannṛkaroṭiṭaṅkārabhairavaraveṇa, śūlapāṇineva	kawAgni-dahyamAna-pawu-cawat-nRka-rowi-waFkAraBErava-raveNa, SUlapANinA-iva
   kapālabalibhasmaśivāvahnibhūtibhujagāvaruddhadehena,	kapAla-bali-Basma-SivA-vahni-BUti-Bujaga-avarudDa-dehena,
   puruṣātiśayenevānekamaṇḍalakṛtasevena śmaśānavāṭena gatvā, nimeṣamātrād	puruza-atiSayena-iva-aneka-maNxala-kRta-sevena SmaSAna-vAwena gatvA, nimeza-mAtrAd
   ivānekaśatayojanaṃ, pralayakālavelām iva samuditārkasamūhāṃ,	iva-aneka-Sata-yojanan, pralaya-kAla-velAm iva samudita-arka-samUha-aM,
   nāgarājyasthitim ivānantamūlāṃ, sudharmām iva svacchandasthitakauśikāṃ,	nAga-rAjya-sTitim iva-ananta-mUlAM, suDarmAm iva svacCanda-sTita-kOSikAM,
   satpuruṣasevām iva śrīphalāḍhyāṃ, bhāratasamarabhūmim iva	sat-puruza-sevAm iva SrIPala-AXyAn, BArata-samara-BUmim iva
   dūraprarūḍhārjunāṃ, pulomakulasthitim iva sahasranetrocitendrāṇikāṃ,	dUra-prarUXa-arjunAn, puloma-kula-sTitim iva sahasra-netra-ucita-indrANikAM,
   śūrapālacittavṛttim iva kalitagaṇikārikāṃ, sajjanasampadam iva	SUrapAla-citta-vRttim iva kalita-gaNi-kArikAM, sat-jana-sampadam iva
   vikasitāśokasaralapunnāgāṃ, śiśujanalīlām iva kṛtadhātrīdhṛtiṃ, kvacid	vikasita-aSoka-sarala-punnAgAn, SiSu-jana-lIlAm iva kRta-DAtrI-DRtiM, kvacid-
   rāghavacittavṛttim iva vaidehīmayīṃ, kvacit kṣīrasamudramathanavelām	rAGava-citta-vRttim iva vEdehI-mayIM, kvacid kzIra-samudra-maTana-velAm
   ivojjṛmbhamānāmṛtāṃ, kvacin nārāyaṇaśaktim iva svacchandāparājitāṃ, kvacid	iva-ujjRmBamAna-amRtAM, kvacid nArAyaNa-Saktim iva svacCanda-aparAjitAM, kvacid-
   vālmīkisarasvatīm iva darśitekṣvākuvaṃśāṃ, laṅkām iva bahupalāśaśobhitāṃ,	vAlmIki-sarasvatIm iva darSita-ikzvAku-vaMSAM, laFkAm iva bahu-palASa-SoBitAM,
   dhārtarāṣṭrasenām ivārjunaśaranikaraparivāritāṃ, nārāyaṇamūrtim iva	DArtarAzwra-senAm iva-arjuna-Sara-nikara-parivAritAn, nArAyaNa-mUrtim iva
   bahurūpāṃ, sugrīvasenām iva panasacandananalakumudasevitāṃ, kvacid	bahu-rUpAn, sugrIva-senAm iva panasa-candana-nala-kumuda-sevitAM, kvacid-
   vidhavām iva sindūratilakabhūṣitāṃ pravālābharaṇāṃ ca, kvacit kurusenām	viDavAm iva sindUra-tilaka-BUzitAm pravAla-ABaraNAm ca, kvacid kuru-senAm
   ivolūkadroṇaśakunisanāthāṃ dhārtarāṣṭrānvitāṃ ca, amlānajātivibhūṣitām api	iva-ulUka-droNa-Sakuni-sanATAm DArtarAzwra-anvitAm ca, amlAna-jAti-viBUzitAm api
   viruddhavaṃśāṃ, darśitābhayām api bhīṣaṇāṃ, satatahitapathyām api	virudDa-vaMSAn, darSita-aBayAm api BIzaNAM, satata-hita-paTyAm api
   pravṛddhagulmāṃ, ṣaṭpadavyāptām api dvipadānākulāṃ, dvijakulabhūṣitām apy	pravRdDa-gulmAn, zawpada-vyAptAm api dvipada-anAkulAM, dvija-kula-BUzitAm api-
   akulīnavaṃśāṃ vindhyāṭavīṃ viveśa | atrāntare bhagavaty api niśā tayor	akulIna-vaMSAm vinDya-awavIm viveSa | atra-antare Bagavati api niSA tayoH-
   nidrām ādāya jagāma |	nidrAm AdAya jagAma |
   43.2) krameṇa kālakaivartakena tamisrānāyaṃ prakṣipya gaganamahāsarasi	43.2) krameNa kAlakEvartakena tamisrAn-Ayam prakzipya gagana-mahA-sarasi
   sajīvaśapharanikara ivāpahriyamāṇe tārāgaṇe, raktāṃśuke	sa-jIva-SaPara-nikaraH iva-apahriyamANe tArA-gaNe, rakta-aMSuke
   viṣamaprarūḍhabisalatāśarayantrānugataśatapatrapustakasanāthe	vizama-prarUXa-bisa-latA-Sara-yantra-anugata-Satapatra-pustaka-sanATe
   makarandabindusandohanirbharapānamattamadhukaramandramuktasvanaiḥ	makaranda-bindu-sandoha-nirBara-pAna-matta-maDukara-mandra-mukta-svanEH
   sadvarṇam iva paṭhati vikace kamalākare, bhikṣukṛṣīvaleneva kālena	sat-varNam iva paWati vikace kamalAkare, Bikzu-kRzIvalena-iva kAlena
   timirabījeṣv iva madhukareṣu madhurasakardamitakesarapaṅkeṣu	timira-bIjezu iva maDukarezu maDura-sakarda-mita-kesara-paFkezu
   ghanaghaṭamānadalapuṭeṣu,	Gana-GawamAna-dala-puwa-izu,
   rajomurmurasanāthamadhukarapaṭalānugatoddaṇḍapuṇḍarīkavyājād dhūpam iva	rajaH-m-urmu-rasa-nATa-maDukara-pawala-anugata-uddaNxa-puNxarIka-vyAjAt DUpam iva
   bhagavate kiraṇamāline prayacchantyāṃ kamalinyāṃ,	Bagavate kiraNa-mAline prayacCantyAm kamalinyAM,
   rajanīvadhūkaradvayocchalitapatanmusalāhatikṣatāntara ulūkhala iva candre,	rajanI-vaDU-kara-dvaya-ucCalita-patat-musala-Ahati-kzata-antaraH ulUKalaH iva candre,
   kaṇḍanavikīrṇeṣu taṇḍuleṣv iva tārāgaṇeṣūnmīlatsu, sandhyātāmramukhena	kaNxana-vikIrNezu taNxulezu iva tArA-gaNezu-unmIlatsu, sanDyA-tAmra-muKena
   vāsaravānareṇa nabhastarum ārohatā, śākhābhya iva kampitābhyo digbhyo	vAsara-vAnareNa naBaH-tarum ArohatA, SAKAByaH iva kampitAByaH digByaH-
   vikacaprasūna iva tārāgaṇe indumaṇḍalaphale ca patati, tārātaṇḍulaśabalaṃ	vikaca-prasUnaH iva tArA-gaNe indu-maNxala-Pale ca patati, tArA-taNxula-Sabalam
   nabho 'ṅgaṇaṃ sphuradaruṇataruṇacūḍācāruvadane vāsarakṛkavākau caritum	naBaH aFgaNam sPurat-aruNa-taruNa-cUxA-cAru-vadane vAsarakRka-vAkO caritum
   avatarati, "matsaṅgatiprasiddho vāruṇīsamāgamād dvijapatir eṣa	avatarati, "mad-saFgati-prasidDaH vAruNI-samAgamAt dvija-patiH eza
   patiṣyatīti" hasantyām ivākhaṇḍalakakubhi,	patizyati-iti" hasantyAm iva-AKaNxala-kakuBi,
   karāghātanihatāndhakārakarīndrarudhiradhārābhir	kara-AGAta-nihata-anDakAra-karIndra-ruDira-DArABiH-
   ivodayagiriśikharanirjharadhautadhāturāgair iva,	iva-udaya-giri-SiKara-nirJara-DOta-DAtu-rAgEH iva,
   tvaṅgatturaṅgakharakhurapuṭapāṭitapadmarāgacchāyābhir iva,	tvaFgatturaFga-Kara-Kura-puwa-pAwita-padmarAga=-CAyABiH iva,
   kesarikaratalāhatamattamātaṅgottamāṅgasaṅgaladasrasāraṇībhir iva,	kesari-kara-talAhata-matta-mAtaFga-uttamAFga-saFgala-dasra-sAraNIBiH iva,
   tribhuvanakāryasampādanaprabhāvānurāgarasair iva raktamaṇḍale,	triBuvana-kArya-sampAdana-praBAva-anurAga-rasEH iva rakta-maNxale,
   tārākumudavanagrahaṇāya prasāritahasta iva kuṅkumarāgāruṇe,	tArA-kumuda-vana-grahaNAya prasArita-hastaH iva kuFkuma-rAga-aruNe,
   prācīvilāsinyāḥ pūrvācalabhogīndraphaṇārpaṇe,	prAcIvilAsinyAH pUrva-acala-Bogi-indra-PaNa-arpaNe,
   gaganendranīlakanakakisalaye, nabhonagaraprācīkāñcanadīnāracakrakumbhe,	gagana-indranIla-kanaka-kisalaye, naBaH-nagara-prAcI-kAQca-nadInAra-cakra-kumBe,
   prācīlalāṭataṭakuṅkumārdrabindau, sandhyābālalataikakusume,	prAcI-lalAwa-tawa-kuFkuma-Ardra-bindO, sanDyA-bAla-latA-eka-kusume,
   mañjiṣṭhāruṇapaṭṭasūtrasadṛśe, sandhyāruṇagumphite,	maQjizWA-aruNa-pawwasUtra-sadRSe, sanDyA-aruNa-gumPite,
   pracīkāñcanadīnāracakra iva vāsaravidyādharasiddhagulike,	pracIkAQcana-dInAra-cakraH iva vAsara-vidyADara-sidDa-gulike,
   dhāturāgāruṇadiggajapādatalānukāriṇi vibhāvarītimirataskare bhagavati	DAtu-rAga-aruNa-diggaja-pAda-tala-anukAriNi viBAvarI-timira-taskare Bagavati
   bhāskare samudayam ārohati, mañjiṣṭhācāmara iva diggajeṣu,	BAskare samudayam Arohati, maQjizWA-cAmaraH iva diggajezu,
   mahābhāratasamararudhirodgāra iva kurukṣetreṣu, śakradhanuḥkāntilepa iva	mahABArata-samara-ruDira-udgAraH iva kurukzetra-izu, SakraDanuH-kAnti-lepaH iva
   jaladacchedeṣu, kāṣāyapaṭa iva śākyāśramamaṭhikāsu, kausumbharāga iva	jalada=-Cedezu, kAzAya-pawaH iva SAkya-ASrama-maWikA-asu, kOsumBa-rAgaH iva
   dhvajapaṭapallaveṣu, phalapāka iva karkandhuṣu, kuṅkumacchaṭārasa iva	Dvaja-pawa-pallava-izu, Pala-pAkaH iva karkanDuzu, kuFkuma=-CawA-rasaH iva
   vyomasaudhāṅgaṇasya, sañcaradaruṇayavanikāpaṭa iva kālasya,	vyoma-sODAFgaNasya, saQcarat-aruNa-yava-nikApawaH iva kAlasya,
   bālapravālabhaṅgāruṇe prasaraty ātape, kṣaṇena ca	bAla-pravAla-BaFga-aruNe prasarati Atape, kzaNena ca
   cakravākacakravālahṛdayaśokasantāpaharaṇād iva, dahanasamanupraveśād iva,	cakravAka-cakravAla-hRdaya-Soka-santApa-haraNAt iva, dahana-samanupraveSAt iva,
   dinanāthakāntopalasaṅgamād iva, uttiṣṭhamānam uṣnam uṣṇaraśmer āśrayati	dina-nATa-kAnta-upala-saFgamAt iva, uttizWamAnam uznam uzNa-raSmeH ASrayati
   raśmisañcaye Kandarpaketuḥ sarvarātrajāgaraparavaśa āhāraśūnyaśarīratayā	raSmi-saQcaye KandarpaketuH sarva-rAtra-jAgara-para-vaSaH AhAra-SUnya-SarIra-tayA
   niścetanaḥ, anekayojanaśatabhramaṇakhinnaḥ, Vāsavadattayāpy evaṃvidhayā	niScetanaH, aneka-yojana-Sata-BramaNa-KinnaH, VAsavadattayA-api evaMviDayA
   saha latāgṛhe	saha latA-gRhe
   mandamārutāndolitakusumaparimalalubdhamukharaparibhramadbhramarajhaṅkāramanohare	manda-mAruta-andolita-kusuma-parimala-lubDa-muKara-pariBramat-Bramara-JaFkAra-manohare
   tatkālasulabhayā nidrayā gṛhīto niṣpandakaraṇagrāmaḥ suṣvāpa |	tad-kAla-sulaBayA nidrayA gRhItaH nizpanda-karaNa-grAmaH suzvApa |
   44) tato vaṇijīva prasāritāmbare mahādāvānala iva sakalakāṣṭhādīpini	44) tatas vaNijI-iva prasArita-ambare mahA-dAva-analaH iva sakala-kAzWa-AdIpini
   pataṅgamaṇḍale madhyaṃdinam āruḍhe Kandarpaketuḥ priyayā vinā latāgṛham	pataFga-maNxale maDyaMdinam AruXe Kandarpa-ketuH priyayA vinA latA-gRham
   avalokyotthāya tata ito dattadṛṣṭiḥ kṣaṇaṃ viṭapeṣu, kṣaṇaṃ taruśikhareṣu,	avalokya-utTAya tatas itas datta-dRzwiH kzaNam viwapezu, kzaNam taru-SiKarezu,
   kṣaṇam andhakūpeṣu, kṣaṇaṃ śuṣkapatrarāśiṣu, kṣaṇam ākāśe, kṣaṇaṃ dikṣu,	kzaNam anDakUpezu, kzaNam Suzka-patra-rASizu, kzaNam AkASe, kzaNam dikzu,
   kṣaṇaṃ vidikṣu bhramann anavaratadahyamānahṛdayo vilalāpa |	kzaNam vidikzu Braman anavarata-dahyamAna-hRdayaH vilalApa |
   45) "hā priye Vāsavadatte dehi me darśanam | kiṃ parihāsenāntarhitāsi |	45) "hA priye VAsavadatte dehi me darSanam | kim parihAsena-antarhitA-asi |
   tvatkṛte mayā yāni duḥkhāny anubhūtāni, teṣāṃ tvam eva pramāṇam |	tvad-kRte mayA yAni duHKAni anuBUta-ani, tezAm tvam eva pramANam |
   priyasakhe Makaranda paśya me daivadurvilasitam | kiṃ mayā na kṛtam	priya-saKe Makaranda paSya me dEva-durvilasitam | kim mayA na kRtam
   avadātaṃ karma | durvipākā niyatiḥ | duratikramā duḥkālagatiḥ | aho	avadAtam karma | durvipAkA niyatiH | duratikramA duHkAla-gatiH | aho
   grahāṇām atikaṭu kaṭākṣapātanam | aho visadṛśaphalatā gurujanāśiṣām | aho	grahANAm ati-kawu kawAkza-pAtanam | aho visadRSa-Pala-tA guru-jana-ASizAm | aho
   duḥsvapnānāṃ durnimittānāṃ ca phalitam | sarvathā na kaścid agocaro	duHsvapnAnAm durnimittAnAm ca Palitam | sarvaTA na kaScid agocaraH-
   bhavitavyatānām | kiṃ na samyagāgamitā vidyāḥ | kiṃ yathāvan nārādhitā	BavitavyatAnAm | kim na samyak-Aga-mitAH vidyAH | kim yaTAvat na-ArADitA
   guravaḥ | kiṃ nopāsitā vahnayaḥ | kiṃ nābhyarcitā devatāḥ | kim	guravaH | kim na-upAsitAH vahnayaH | kim na-aByarcitAH devatAH | kim
   adhikṣiptāḥ bhūmidevatāḥ | kim apradakṣiṇīkṛtāḥ surabhayaḥ | kiṃ na kṛtaḥ	aDikziptAH BUmi-devatAH | kim apradakziNIkRtAH sura-BayaH | kim na kRtaH
   śaraṇecchurabhaya" iti bahuvidhaṃ vilapan dakṣiṇena kānanaṃ nirgatya	SaraNet-Sura-Baya" iti bahuviDam vilapan dakziNena kAnanam nirgatya
   navyanalanaladanalinīniculapiculaviḍudabahulena,	navya-nala-nalada-nalinI-nicula-picula-vixuda-bahulena,
   pracuraciribilvabilvoṭajakuṭajaruddhopakaṇṭhena,	pracura-ciri-bilva-bilva-uwaja-kuwaja-rudDa-upakaNWena,
   sotkaṇṭhabhṛṅgarājarasitasundarasundarīvanena,	sa-utkaNWa-BRFgarAja-rasita-sundara-sundarI-vanena,
   vitatavetravratativrātāvaraṇataruṇavaruṇataruskandhasamunnaddhabhṛṅgagolakena,	vitata-vetra-vrata-tivrAta-AvaraNa-taruNa-varuNa-taru-skanDa-samunnadDa-BRFga-golakena,
   golāṅgūlabhagnagalanmadhupaṭalarasāsārasiktatarutalena,	golAFgUla-Bagna-galat-maDu-pawala-rasa-AsAra-sikta-taru-talena,
   tālahintālapūgapunnāganāgakesaraghanena,	tAla-hintAla-pUga-punnAga-nAga-kesara-Ganena,
   ghanasāramallikāketakakovidāramandārabījapūrakajambīrajambūgulmagahanena,	GanasAra-mallikA-ketaka-kovidAra-mandAra-bIjapUraka-jambIra-jambU-gulma-gahanena,
   pratyūhadātyūhavyūhakuharitabharitanandīnalanikuñjena,	pratyUha-dAtyUha-vyUha-kuharita-Barita-nandI-nala-nikuQjena,
   puñjitākuṇṭhakaṇṭhakalakaṇṭhādhyāsitoddāmasahakārapallavena,	puQjitA-kuNWa-kaNWa-kala-kaNWa-aDyAsita-uddAma-sahakAra-pallavena,
   capalakulāyakukkuṭakuṭumbasaṃvāhitotkaṭavikaṭena,	capala-kulAya-kukkuwa-kuwumba-saMvAhita-utkawa-vikawena,
   korakanikurumbaromāñcitakurabakarājinā,	koraka-nikurumba-romAQcita-kurabaka-rAjinA,
   raktāśokapallavalāvaṇyavilipyamānadaśadiśā,	rakta-aSoka-pallava-lAvaNya-vilipyamAna-daSa-diSA,
   pravikasitakesararajovisaravardhamānavāsaradhūsarimabhāreṇa,	pravikasita-kesara-rajaH-visara-varDamAna-vAsara-DU-sarima-BAreNa,
   parāgapiñjaramañjarīyujyamānamadhupamañjuśiñjitajanitajanamudā,	parAga-piQjara-maQjarIyujyamAna-maDupa-maQju-SiQjita-janita-jana-mudA,
   madajalamecakitamucukundaskandhakāṇḍamathyamānaniḥśaṅkakarikaraṭakaṇḍūtinā,	mada-jala-mecakita-mucukunda-skanDa-kANxa-maTyamAna-niHSaFka-kari-karawa-kaNxUtinA,
   katipayadivasaprasūtakukkuṭīkṛtakuṭajakoṭareṇa,	katipaya-divasa-prasUta-kukkuwI-kRta-kuwaja-kowareNa,
   caṭakasañcāryamāṇacaturavācāṭacāṭakair akriyamāṇacāṭunā,	cawaka-saQcAryamANa-caturavAcAwa-cAwakEH akriyamANa-cAwunA,
   sahacarīcāraṇacañcuracakoracuñcunā,	sahacarI-cAraNa-caQcuH-acakora-cuQcunA,
   śaileyasukumāraśilātalasukhaśayitaśaśaśiśunā,	SEleya-sukumAra-SilA-tala-suKa-Sayita-SaSa-SiSunA,
   śephālikāśiphāvivaravisrabdhavartamānagaudherarāśinā, nirātaṅkaraṅkuṇā,	SePAlika-aSiPA-vivara-visrabDa-vartamAna-gODera-rASinA, nirAtaFka-raFkuNA,
   nirākulanakulakelinā, kalakokilakulakavalitasahakārakalikodgamena,	nirAkula-nakula-kelinA, kala-kokila-kula-kavalita-sahakAra-kalikA-udgamena,
   sahakārārāmaromanthāyamānacamarayūthena,	sahakAra-ArAma-romanTAyamAna-camara-yUTena,
   śravaṇahārisanīḍagirinitambanirjharaninādanidrānandamandāyamānakarikulakarṇatāladundubhinā,	SravaNa-hAri-sa-nIxa-giri-nitamba-nirJara-ninAda-nidrA-Ananda-mandAya-mAna-karikula-karNa-tAla-dunduBinA,
   samāsannakinnarīgītaravaramamāṇaruruvisareṇa,	samAsanna-kinnarI-gItara-vara-mamANa-ruru-visareNa,
   kṣataharitaharidrādravarajyamānavarāhapotapotrapālinā,	kzata-harita-haridrA-drava-rajyamAna-varAha-potapotra-pAlinA,
   guñjāpuñjaguñjajjāhakajātena,	guQjA-puQja-guQjat-jAhaka-jAtena,
   daśanakupitakapipotapuṭakapāṭitapāṭalakīṭapuṭasaṅkaṭena,	daSana-kupitakapipota-puwaka-pAwita-pAwala-kIwa-puwa-saFkawena,
   kuliśaśikharakharanakharapracayapracaṇḍacapeṭapāṭitamattamātaṅgaraktacchaṭācchuritacārukesarabhāsurakesarikadambakena	kuliSa-SiKara-Kara-naKara-pracaya-pracaNxa-capewa-pAwita-matta-mAtaFga-rakta=-CawA-AcCurita-cAru-kesaraBAsura-kesari-ka-dambakena
   mahāsāgarakacchaprāntena katipayadūraṃ gatvā, aticapalavīcipracayatayā	mahA-sAgara-kacCa-prAntena katipaya-dUram gatvA, ati-capala-vIci-pracaya-tayA
   tāṇḍavoddaṇḍadoḥṣaṇḍakhaṇḍaparaśuviḍambanāpaṇḍitaṃ, vāruṇīvijayapatākābhir	tANxava-uddaNxa-dos-zaNxa-KaNxa-paraSu-vixambanA-paNxitaM, vAruNI-vijaya-patAkABiH-
   iva śeṣakulanirmokamañjarībhir iva śaśāṅkapariśeṣaparamāṇusantatibhir iva	iva Seza-kula-nirmoka-maQjarIBiH iva SaSAFka-pariSeza-paramANu-santatiBiH iva
   phenarājibhir upāntarāmaṇīyakaṃ, aparam iva gaganaṃ avanītalam avatīrṇam	Pena-rAjiBiH upAnta-rAmaNIyakaM, aparam iva gaganam avanI-talam avatIrNam
   acchārṇavacchalād ucchalacchīkarakaṇanikaranibhena nabhaścarān	acCa-arNavat-CalAt ucCalat-SIkara-kaNa-nikara-niBena naBaH-carAn
   muktāphalair iva vilobhayantam,	muktAPalEH iva viloBayantam,
   abhayābhyarthanāgatānekapakṣakṣitidharabharitakukṣibhāgaṃ,	aBayA-aByarTana-AgatAneka-pakza-kzitiDara-Barita-kukzi-BAgaM,
   sagarasutakhātakam, utkhātapārijātam, abhijātamaṇiratnākaraṃ,	sagara-suta-KAta-kam, utKAta-pArijAtam, aBijAta-maNi-ratna-AkaraM,
   karimakarakulasaṅkulaṃ, śakulakavalābhilāṣi, sañcarannakracakram,	kari-makara-kula-saFkulaM, Sakula-kavala-aBilAzi, saQcaran-nakra-cakram,
   astamitatimiṅgilakulakandalīvalayāvalīvilulitalavalīlavaṅgamātuluṅgagulmam,	astamita-timiFgila-kula-kanda-lI-valaya-AvalI-vilulita-lava-lIla-vaFga-mAtuluFga-gulmam,
   ūrmimārutamarmaritataralatarottālatālītaralataralitajalamānuṣamithunamṛditatalapulinabālaśaivālaṃ,	Urmi-mAruta-marmarita-taralatara-uttAla-tAlI-tarala-taralita-jala-mAnuza-miTuna-mRdita-tala-pulina-bAla-SEvAlaM,
   pravālāṅkurakoṭipāṭitamukhakhinnaśaṅkanakhakharanakharaśilālikhitataṭalekhaṃ,	pravAla-aFkura-kowi-pAwita-muKa-Kinna-SaFka-naKa-Kara-naKara-SilA-liKita-tawa-leKaM,
   khageśvaragotrapatrarathapaṭalakalilasalilam, adyāpy	KageSvara-gotra-patra-raTa-pawala-kalila-salilam, adya-api-
   anirmuktamandaramathanasaṃskāram ivāvartabhrāntibhiḥ, sāpasāram iva	anirmukta-mandara-maTana-saMskAram iva-Avarta-BrAntiBiH, sa-apasAram iva
   phenaiḥ, sasurāmodam iva velābakulagandhaiḥ, saroṣam iva garjitaiḥ,	PenEH, sa-sura-Amodam iva velA-bakula-ganDEH, sa-rozam iva garjitEH,
   sakhedam iva niḥśvasitaiḥ, sabhrūkuṭībandham iva taraṅgaiḥ, ālānastambham	saKA-idam iva niHSvasitEH, sa-BrU-kuwI-banDam iva taraFgEH, AlAna-stamBam
   iva rāmasetunā, kumbhīnasīkukṣim iva lavaṇotpattisthānaṃ, vyākaraṇam iva	iva rAma-setunA, kumBInasI-kukzim iva lavaNa-utpatti-sTAnaM, vyAkaraNam iva
   vitatastrīnadīkṛtyabahulaṃ, rājakulam iva dṛśyamānamahāpātraṃ,	vitata-strI-nadIkRtya-bahulaM, rAja-kulam iva dRSyamAna-mahApAtraM,
   hastibandham iva vārigatānekanāgamucyamānaśūtkāraṃ, viśvāmitraputravargam	hastibanDam iva vAri-gata-aneka-nAgam-ucyamAna-SUtkAraM, viSvAmitra-putra-vargam
   ivāmbhojacārumatsyopaśobhitaṃ, satpuruṣam iva gotrāśrayaṃ sādhum	iva-amBoja-cAru-matsya-upaSoBitaM, sat-puruzam iva gotra-ASrayam sADum
   ivācyutasthitiramaṇīyaṃ, sanṛpam iva sajjanakramakaraṃ, kṛtamanyum iva	iva-acyuta-sTiti-ramaNIyaM, sa-nRpam iva sat-jana-krama-karaM, kRta-manyum iva
   karatoyāplutamukhaṃ, virahiṇam iva candanodakasiktaṃ, vilāsinam iva	karatoya-Apluta-muKaM, virahiNam iva candana-udaka-siktaM, vilAsinam iva
   narmadāvagataṃ, uddhṛtakālakūṭam api prakaṭitaviśarāśiṃ, ativṛddham api	narmadA-avagataM, udDRta-kAlakUwam api prakawita-viSara-ASiM, ativRdDam api
   sundarīparigatakaṇṭhaṃ, surotpattisthānam apy asurādhiṣṭhānaṃ jalanidhim	sundarI-parigata-kaNWaM, sura-utpatti-sTAnam api asura-aDizWAnam jalaniDim
   apaśyat |	apaSyat |
   46) acintayac ca "aho me kṛtāpakāreṇāpi vidhinopakṛtir eva kṛtā yad ayaṃ	46) acintayat ca "ahaH me kRta-apakAreNa-api viDinA-upakRtiH eva kRtA yat ayam
   locanagocaratāṃ nītaḥ samudraḥ | tad atra deham utsṛjya priyāvirahāgniṃ	locana-gocara-tAm nItaH samudraH | tat atra deham utsRjya priyA-viraha-agnim
   nirvāpayāmi | yady apy anāturasyātmatyāgo na vihitas tathāpi kāryaḥ | na	nirvApayAmi | yadi api anAturasya-Atma-tyAgaH na vihitaH taTA-api kAryaH | na
   khalu sarvaḥ sarvaṃ kāryam akāryaṃ vā karoti | asāre saṃsāre kena kiṃ nāma	Kalu sarvaH sarvam kAryam akAryam vA karoti | asAre saMsAre kena kim nAma
   na kṛtam | tathā hi | gurudāraharaṇaṃ dvijarājo 'karot | purūravā	na kRtam | taTA hi | guru-dAra-haraNam dvija-rAjaH akarot | purUravA
   brāhmaṇadhanatṛṣṇayā vinanāśa | nahuṣaḥ parakalatradohadī mahābhujaga āsīt	brAhmaNa-Dana-tRzNayA vinanASaH | nahuzaH para-kalatra-dohadI mahA-BujagaH AsIt-
