   caturthaḥ paricchedaḥ	caturTaH paricCedaH
        ekaḥ prabheda ityarthaḥ /	ekaH praBedaH iti-arTaH /
        śabdaśaktyutthe vyañjane tatprapañcasya arthaśaktyutthe vyañjane	Sabda-Sakti-utTe vyaQjane tad-prapaQcasya arTa-Sakti-utTe vyaQjane
   tatprapañcasya darśitatvāt /	tad-prapaQcasya darSita-tvAt /
        ubhayaśaktyutthaprapañcasya tāvataiva gatārthatvāt eka ityuktam /	uBaya-Sakti-utTa-prapaQcasya tAvatA-eva gata-arTa-tvAt ekaH iti-uktam /
        na tu darśayiṣyamāṇodāharaṇe 'laṅkārasya vyaṅgyatvāt alaṅkārarūpatayā	na tu darSayizyamANa-udAharaNe alaFkArasya vyaFgya-tvAt alaFkAra-rUpa-tayA
   eka ityukta iti kenaciduktaṃ yuktam /	ekaH iti-uktaH iti kenacid-uktam yuktam /
        "kṣaṇadāsāvakṣaṇadāvanamavanaṃ vyasanamavyasanam /	"kzaNa-dAsA-vakzaNa-dAvanam-avanam vyasanam-avyasanam /
        bata vīra ! tava dviṣatāṃ parāṅmukhe tvayi parāṅmukhaṃ sarvam" //	bata vIra ! tava dvizatAm parAFmuKe tvayi parAFmuKam sarvam" //
        ityatrār'thāntaranyāsaghaṭakaśabdaśaktyār'thāntaranyāsarūpār'thaśaktyā	iti-atrAr-aTa-antara-nyAsa-Gawaka-Sabda-SaktyAr-aTa-antara-nyAsa-rUpAr-aTa-SaktyA
   ca vidhirapi tvāmanuvarttate iti vastuvyañjanāyā api sambhavāt svataḥ	ca viDiH-api tvAm-anuvarttate iti vastu-vyaQjanAyAH api samBavAt svatas-
   sambhavyādyarthavyaṅgyatvena bhedāntaraprasakterdurvāratvācca /	samBavya-Adi-arTa-vyaFgya-tvena Beda-antara-prasakteH-durvAra-tvAt-ca /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "himamuktacandraruciraḥ sapadmako madayan dvijāñjanitamīnaketanaḥ /	"hima-mukta-candra-ruciraH sa-padmakaH madayan dvijAn-janita-mInaketanaH /
   abhavatprasāditasuro mahotsavaḥ pramadājanasya sa cirāya mādhavaḥ" //	aBavat-prasAdita-suraH mahA-utsavaH pramadA-janasya sa cirAya mADavaH" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṅa) himamukteti---mādhavaḥ kṛṣṇaḥ pramadājanasya mahotsavo	(vi, Fa) hima-muktA-iti----mADavaH kRzNaH pramadA-janasya mahA-utsavaH-
   mahotsave hetuścirāya abhavat /	mahA-utsave hetuH-cirAya aBavat /
        atra suddhasāropā lakṣaṇā /	atra sudDasAra-upA lakzaNA /
        kīdṛśaḥ himamuktacandra iva ruciraḥ /	kIdRSaH hima-mukta-candraH iva ruciraH /
        sapadmakaḥ padmayā lakṣmyā hastapādastharekhārūpapadmena vā sāhitaḥ /	sa-padmakaH padmayA lakzmyA hasta-pAda-sTa-reKA-rUpa-padmena vA sAhitaH /
        dvijān brāhmaṇān madayan ānandayan /	dvijAn brAhmaNAn madayan Anandayan /
        janito mīnaketanaḥ pradyunmaḥ yena tādṛśaḥ /	janitaH mInaketanaH pradyunmaH yena tAdRSaH /
        prasāditāḥ prīṇitāḥ surā devā yena tādṛśaśca /	prasAditAH prINitAH surAH devAH yena tAdRSaH-ca /
        atra mādhavo vasanto 'pi śabdaśaktyā arthaśaktyā ca vyajyate /	atra mADavaH vasantaH api Sabda-SaktyA arTa-SaktyA ca vyajyate /
        tathā hi mādhavaśabdasya vasante 'pi śaktyā sapadmaka ityatra	taTA hi mADava-Sabdasya vasante api SaktyA sa-padmakaH iti-atra
   sapadmakaśabdarūpasya padmasahite 'pi śaktyā, dvijān ityatra dvijaśabdasya	sa-padmaka-Sabda-rUpasya padma-sahite api SaktyA, dvijAn iti-atra dvija-Sabdasya
   pakṣiṣvapi śaktyā janitamīnaketana ityatra surāprasādane 'pyasya śabdasya	pakzizu-api SaktyA janita-mInaketanaH iti-atra surA-prasAdane api-asya Sabdasya
   śaktyā ca vasantapratyāyane śabda śaktiḥ /	SaktyA ca vasanta-pratyAyane Sabda SaktiH /
        himamuktetyatra pramadājanasyetyatra śliṣṭaśabdābhāvāt arthaśāktaḥ /	hima-muktA-iti-atra pramadA-janasya-iti-atra Slizwa-Sabda-aBAvAt arTaSAktaH /
        tataśca vasantasyāprākaraṇikatvena tatpratyāyanasya prakṛte	tatas-ca vasantasya-aprAkaraNika-tvena tat-pratyAyanasya prakRte
   'nupayogād vasanta iva kṛṣṇa ityupamāpratītiḥ /	anupayogAt vasantaH iva kRzNaH iti-upamA-pratItiH /
        tadāha---upamālaṅkāra iti /	tad-Aha---upamA-alaFkAraH iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   atra mādhavaḥ kṛṣṇo mādhavo vasanta ivetyupamālaṅkāro vyaṅgyaḥ /	atra mADavaH kRzNaH mADavaH vasantaH iva-iti-upamA-alaFkAraH vyaFgyaH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Locanā:	LocanA:
        (lo, ṝ) himeti---himamuktacandra iva pakṣe himamuktacandreṇa ruciraḥ	(lo, L) hima-iti---hima-mukta-candraH iva pakze hima-mukta-candreNa ruciraH
        padmā lakṣmīḥ padmaṃ kamalaṃ ca /	padmA lakzmIH padmam kamalam ca /
        mīnaketanaḥ pradyumnāvatāraḥ, sāmānyamadanaśca, surāḥ tridaśāḥ, murā	mInaketanaH pradyumna-avatAraH, sAmAnya-madanaH-ca, surAH tridaSAH, murA
   madyam /	madyam /
        mādhavo harirvasantaśca /	mADavaH hariH-vasantaH-ca /
        atra mādhavaśabdapratipādyatayā harivasantayoḥ aupamyapratipādakasya	atra mADava-Sabda-pratipAdya-tayA hari-vasantayoH Opamya-pratipAdakasya
   himamukta ityādiśabdasya śabdaparivṛttisahatvādarthaśakterdārḍhyam /	hima-muktaH iti-Adi-Sabdasya Sabda-parivRtti-saha-tvAt-arTa-SakteH-dArXyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   evaṃ ca vyaṅgyabhedādeva vyañjakānāṃ kāvyānāṃ bhedaḥ /	evam ca vyaFgya-BedAt-eva vyaQjakAnAm kAvyAnAm BedaH /
   tadaṣṭādaśadhā dhvaniḥ // VisSd_4.9 //	tat-azwAdaSaDA DvaniH // VisSd-_4.9 //
   avivakṣitavācyor'thāntarasaṃkramitavācyo 'tyantatiraskṛtavācyaśceti	avivakzita-vAcyor-aTa-antara-saMkramita-vAcyaH atyanta-tiraskRta-vAcyaH-ca-iti
   dvividhaḥ /	dviviDaH /
   vivakṣitānyaparavācyastu asaṃlakṣyakramavyaṅgyatvenaikaḥ /	vivakzitAni-apara-vAcyaH-tu asaMlakzya-krama-vyaFgya-tvena-ekaH /
   saṃlakṣyakramavyaṅgyatvena ca śabdārthobhayaśaktimūlatayā	saMlakzya-krama-vyaFgya-tvena ca Sabda-arTa-uBaya-Sakti-mUla-tayA
   pañcadaśetyaṣṭādaśabhedo dhvaniḥ /	paQcadaSa-iti-azwAdaSa-BedaH DvaniH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ca) aṣṭādaśatvaṃ darśayati---avivakṣiteti /	(vi, ca) azwAdaSa-tvam darSayati---avivakzitA-iti /
        pañcadaśeti--śabdaśaktyutthau dvau, arthaśaktyutthaśca dvādaśa,	paQcadaSa-iti---Sabda-Sakti-utTO dvO, arTa-Sakti-utTaH-ca dvAdaSa,
   ubhayaśaktyutthe eva iti pañcadaśa /	uBaya-Sakti-utTe eva iti paQcadaSa /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   eṣu ca--	ezu ca--
   vākye śabdārthaśaktyutthastadanye padavākyayoḥ /	vAkye Sabda-arTa-Sakti-utTaH-tad-anye pada-vAkyayoH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Locanā:	LocanA:
        (lo, ḷ) śabdaparivṛttisahatvāsahatvābhyāmeva hi sarvatra	(lo, ?) Sabda-parivRtti-saha-tva-asaha-tvAByAm-eva hi sarvatra
   śabdārthaśaktimūlatvasya vyavasthāpanam /	Sabda-arTa-Sakti-mUla-tvasya vyavasTApanam /
        ata eva cāsya bhedasya bahupadaniṣṭatvenaiva sambhavābhiprāyeṇa	atas eva ca-asya Bedasya bahu-pad-anizwa-tvena-eva samBava-aBiprAyeNa
   granthakṛtpadaniṣṭatvaṃ nāstīti vakṣyati /	granTa-kRt-pad-anizwa-tvam na-asti-iti vakzyati /
        tathaiva ca prācīnairuktam /	taTA-eva ca prAcInEH-uktam /
        "pathia ṇa ettha"ityādau parivṛttyasaha eva	"paTia NaH etTa"-iti-AdO parivRtti-asahe eva
   strastarapayodharaśabdayoreva vyañjakatvamiti śabdaśaktimūlatvam /	strastara-payoDara-SabdayoH-eva vyaQjaka-tvam-iti Sabda-Sakti-mUla-tvam /
        vyañjakatvasya bahuniṣṭatve 'pi padasamudayaniṣṭatvābhiprayeṇa	vyaQjaka-tvasya bahu-nizwa-tve api pada-samudaya-nizwa-tva-aBiprayeNa
   vākyaniṣṭatvam /	vAki-anizwa-tvam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   tatrārthāntarasaṃkramitavācyo dhvaniḥ padagato yathā---	tatra-arTa-antara-saMkramita-vAcyaH DvaniH pada-gataH yaTA---
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, cha) vākya iti---ubhayaśaktyuttho vyaṅgyo vākyamātravyaṅgya	(vi, Ca) vAkyaH iti---u-Baya-Sakti-utTaH vyaFgyaH vAkya-mAtra-vyaFgya
   ityarthaḥ /	iti-arTaH /
        vyañjakārthavācakaśliṣṭaśabdānāṃ ca ekavyaṅgyavyañjane	vyaQjaka-arTa-vAcaka-Slizwa-SabdAnAm ca eka-vyaFgya-vyaQjane
   vākyatvaniyamāt /	vAkya-tva-niyamAt /
        tadanye iti---tadanye vyaṅgyāḥ padena vākyena ca vyaṅgyā ityarthaḥ /	tad-anye iti---tad-anye vyaFgyAH padena vAkyena ca vyaFgyAH iti-arTaH /
        tatreti---tatra dhvanipada vyaṅgyaparam /	tatra-iti---tatra Dvanipada vyaFgya-param /
        padagataḥ padamātravyaṅgyaḥ /	pada-gataH pada-mAtra-vyaFgyaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "dhanyaḥ sa eva taruṇo nayane tasyaiva nayane ca /	"DanyaH saH eva taruNaH nayane tasya-eva nayane ca /
   yuvajanamohanavidya bhaviteyaṃ yasya saṃmukhe sumukhaī" //	yuva-jana-mohana-vidya BavitA-iyam yasya saMmuKe su-muKaI" //
   atra dvitīyanayanaśabdo bhagyavattādiguṇaviśiṣṭanayanaparaḥ /	atra dvitIya-nayana-SabdaH Bagya-vattA-Adi-guNa-viSizwa-nayana-paraH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ja) dvijīyanayataśabda iti---atra lakṣyārthasya atiśayo vyaṅgya	(vi, ja) dvijIya-nayata-SabdaH iti---atra lakzya-arTasya atiSayaH vyaFgya
   iti vakṣyati /	iti vakzyati /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   vākyagato yathā---	vAkya-gataH yaTA---
   "tvāmasmi vacmi viduṣāṃ samavāyo 'tra tiṣṭhati /	"tvAm-asmi vacmi viduzAm samavAyaH atra tizWati /
   ātmīyāṃ matimāsthāya sthitimatra vidhehi tat" //	AtmIyAm matim-AsTAya sTitim-atra viDehi tat" //
   atra pratipādyasya saṃmukhīnatvādeva labdhe pratipādyatve tvāmiti	atra pratipAdyasya saMmuKIna-tvAt-eva labDe pratipAdya-tve tvAm-iti
   punarvacanamanyavyāvṛttiviśiṣṭaṃ tvadarthaṃ takṣayati /	punarvacanam-anya-vyAvRtti-viSizwam tvad-arTam takzayati /
   evaṃ vacmītyanenaiva kartari labdhe 'smīti punarvacanam /	evam vacmi-iti-anena-eva kartari labDe asmi-iti punarvacanam /
   tathā viduṣāṃ samavāya ityanenaiva vaktuḥ pratipādane siddhe punarvacmīti	taTA viduzAm samavAyaH iti-anena-eva vaktuH pratipAdane sidDe punarvacmi-iti
   vacanamupadiśāmīti vacanaviśeṣarūpamarthaṃ lakṣayati /	vacanam-upadiSAmi-iti vacana-viSeza-rUpam-arTam lakzayati /
   etāni ca svātiśayaṃ vyañjayanti /	etAni ca sva-atiSayam vyaQjayanti /
   etena mama vacanaṃ tavātyantaṃ hitaṃ tadavaśyameva kartavyamityabhiprāyaḥ	etena mama vacanam tava-atyantam hitam tat-avaSyam-eva kartavyam-iti-aBiprAyaH
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, jha)tvāmasmītyatra tvadādyanekalākṣaṇikapadānāṃ lākṣaṇikatvaṃ	(vi, Ja)tvAm-asmi-iti-atra tvad-Adi-aneka-lAkzaNika-padAnAm lAkzaNika-tvam
   darśayati---atreti /	darSayati----atra-iti /
        anyavyāvṛttiviśiṣṭamiti---tathā ca tvāmeva ahameva ityarthaḥ /	anya-vyAvRtti-viSizwam-iti----taTA ca tvAm-eva aham-eva iti-arTaH /
        etāni ceti---etāni lakṣyārthe rūpāṇi vastūnītyarthaḥ /	etAni ca-iti---etAni lakzya-arTe rUpANi vastUni-iti-arTaH /
        svātiśayamiti---svāpekṣayādhikārtha eva svātiśayaḥ /	sva-atiSayam-iti---svApa-IkzayA-aDika-arTaH eva sva-atiSayaH /
        tamadhikamarthamāha---eteneti /	tam-aDikam-arTam-Aha---etena-iti /
        abhiprāyo abhiprāyasthavyaṅgyārthaḥ /	aBiprAyaH aBiprAya-sTa-vyaFgya-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   tadevamayaṃ vākyagato 'parthāntarasaṃkramitavācyo dhvaniḥ /	tat-evam-ayam vAkya-gataH aparTa-antara-saMkramita-vAcyaH DvaniH /
   atyantatiraskṛtavācyaḥ padagato yathā---"niḥśvāsāndha-" ityādi /	atyanta-tiraskRta-vAcyaH pada-gataH yaTA---"-niHSvAsa-anDa-" ityAdi /
   vākyavato yathā-"upakṛtaṃ bahu tatra-" ityādi /	vAkyavataH yaTA-"upakRtam bahu tatra-" ityAdi /
   anyeṣāṃ vākyāgatatve udāhṛtam /	anyezAm vAkya-Agata-tve udAhRtam /
   padagatatvaṃ yathā--	pada-gata-tvam yaTA--
   "lāvaṇyaṃ tadasau kāntistadrūpaṃ sa vacaḥ kramaḥ /	"lAvaNyam tat-asO kAntiH-tad-rUpam sa vacaH kramaH /
   tadā sudhāspadamabhūdadhunā tu jvaro mahān" //	tadA suDA-Aspadam-aBUt-aDunA tu jvaraH mahAn" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Locanā:	LocanA:
        (lo, e) lāvaṇyamiti---sarvāvayavagataḥ ko 'pyātiśayaḥ lāvaṇyam /	(lo, e) lAvaNyam-iti----sarva-avayava-gataH kaH api-AtiSayaH lAvaNyam /
        kāntirujjvalatā ca pṛthak pṛthagavayavāśritā /	kAntiH-ujjvala-tA ca pRTak pRTak-avayava-ASritAH /
        jvaraḥ pīḍādāyakaḥ /	jvaraH pIxA-dAyakaH /
        lāvaṇyādīnām ityataḥ pūrvaṃ pratītervibhāvādisāmagrīsādhyatve 'pi	lAvaNya-AdInAm iti-atas pUrvam pratIteH-viBAva-Adi-sAmagrI-sADya-tve api
   pūraṇīyam /	pUraNIyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   atra lāvaṇyādīnāṃ tādṛganubhavaikagaucaratāvyañjakānāṃ tadādiśabdānāmeva	atra lAvaNya-AdInAm tAdRS-anuBava-eka-gOcarata-avyaQjakAnAm tad-Adi-SabdAnAm-eva
   prādhānyam, anyeṣāṃ tu tadupakāritvameveti tanmūlaka eva dhvanivyapadeśaḥ	prADAnyam, anyezAm tu tad-upakAri-tvam-eva-iti tad-mUlakaH eva Dvani-vyapadeSaH
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ña) asaṃlakṣyakramaṃ padagataṃ vyaṅgyamudāharati---lāvaṇyamiti /	(vi, Qa) asaMlakzya-kramam pada-gatam vyaFgyam-udAharati----lAvaNyam-iti /
        atreti---lāvaṇyādīnāṃ yadanubhavaikagocaratvaṃ tattad	atra-iti----lAvaNya-AdInAm yat-anuBava-eka-gocara-tvam tat-tat-
   vyañjakānāmityarthaḥ /	vyaQjakAnAm-iti-arTaH /
        vyañjakānāmityatra jñāpakānāmityarthaḥ /	vyaQjakAnAm-iti-atra jQApakAnAm-iti-arTaH /
        tena anubhavaikagocaratvaṃ tadādipadānāṃ vācyameva bodhyaṃ, na tu	tena anuBava-eka-gocara-tvam tad-Adi-padAnAm vAcyam-eva boDyan, na tu
   vyaṅgyam kintu vipralambha eva vyaṅgyaḥ /	vyaFgyam kintu vipralamBaH eva vyaFgyaH /
        tadādyanekapadānāṃ cātra na vākyatvaṃ vibhinnavākyasthatvena	tad-Adi-aneka-padAnAm ca-atra na vAkya-tvam viBinna-vAkya-sTa-tvena
   parasparānanvayāt /	parasparAn-anvayAt /
        na ca tadā sudhāspadamabhūdityatra sarveṣāṃ tadādipadārthānāmanvayāt	na ca tadA suDA-Aspadam-aBUt-iti-atra sarvezAm tad-Adi-padArTAnAm-anvayAt
   vākyatvameveti vācyam /	vAkya-tvam-eva-iti vAcyam /
        tallāvaṇyamityanenaiva vipralambhavyañjanena tadā	tat-lAvaNyam-iti-anena-eva vipralamBa-vyaQjanena tadA
   sudhāspadamityanvayāpekṣāṃ vinaiva vyañjaktvena padatvenaiva vyañjakatvāt	suDA-Aspadam-iti-anvaya-apekzAm vinA-eva vyaQjaktvena padatvena-eva vyaQjaka-tvAt-
        mahāvākyavyaṅgyatve 'pi padagatavyaṅgyamūlo vyavahāraḥ /	mahA-vAkya-vyaFgya-tve api pada-gata-vyaFgya-mUlaH vyavahAraH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   taduktaṃ dhvanikṛtā---	tat-uktam Dvani-kRtA---
   "ekāvayavasaṃsthena bhūṣaṇoneva kāminī /	"eka-avayava-saMsTena BUzaNonA-iva kAminI /
   padadyotyena sukaverdhvaninā bhāti bhāratī" //	pada-dyotyena sukaverDvaninA BAti BAratI" //
   evaṃ bhāvādiṣvapyūhyam /	evam BAva-Adizu-api-Uhyam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṭa) tanmukhenaiva kāvyaśobhāpratītirityatra saṃvādaṃ	(vi, wa) tad-muKena-eva kAvya-SoBA-pratItiH-iti-atra saMvAdam
   darśayati---taduktamiti /	darSayati---tat-uktam-iti /
        dhvaninā vyaṅgyena bhāratī vākyarūpā /	DvaninA vyaFgyena BAratI vAkya-rUpAH /
        padavyaṅgye rasādirūpe 'saṃlakṣyakrame udāhṛte	pad-a-vyaFgye rasa-Adi-rUpe asaMlakzya-krame udAhRte
   bhāvādirūpāsaṃlakṣyakramasyāpi padavyaṅgyatvamūhyamityāha /	BAva-Adi-rUpA-saMlakzya-kramasya-api pada-vyaFgya-tva-m-Uhyam-iti-Aha /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "bhuktimuktikṛdekāntasamādeśanatatparaḥ /	"Bukti-mukti-kRt-ekAnta-samAdeSana-tatparaH /
   kasya nānandanisyandaṃ vidadhāti sadāgamaḥ" //	kasya na-Ananda-nisyandam vidaDAti sat-AgamaH" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṭha) śabdaśaktyudbhavaṃ	(vi, Wa) Sabda-Sakti-udBavam
   vastupadavyaṅgyamāha---bhuktimuktikṛditi---upanāyakāgamanaṃ dṛṣṭvā	vastu-pada-vyaFgya-mAha----Bukti-mukti-kRt-iti----upanAyaka-Agamanam dRzwvA
   santoṣaṃ vyañjayantyā uktiriyam /	santozam vyaQjayantyAH uktiH-iyam /
        vācyārthe sadāgamaḥ sacchāstram /	vAcya-arTe sat-AgamaH sat-SAstram /
        bhuktimuktī svargabhogamokṣau /	Bukti-muktI svarga-Boga-mokzO /
        ekantaṃ samyagādeśanaṃ tattvajñānopadeśaḥ /	ekantam samyak-AdeSanam tattva-jQAna-upadeSaH /
        vyaṅgyārthe tu sadagamaḥ satpuruṣopanāyakāgamaḥ /	vyaFgya-arTe tu sat-agamaH sat-puruza-upanAyaka-AgamaH /
        bhuktimuktī suratopayogagṛhakarmatyāgau /	Bukti-muktI surata-upayoga-gRha-karma-tyAgO /
        ekantasya samādeśanaṃ rahasyopadeśaḥ /	ekantasya samAdeSanam rahasya-upadeSaH /
        Locanā:	LocanA:
        (lo, ai) bhuktīti /	(lo, E) Bukti-iti /
        bhuktirbhogaḥ, sambhogaśca /	BuktiH-BogaH, samBogaH-ca /
        muktiḥ niḥ śreyasam itaravyāpāravyāsaṅgaparityagasuśaṃ ca /	muktiH niH Sreyasam itaravyApAra-vyAsaFga-parityaga-suSam ca /
        ekāntaḥ paramārthasvarūpaṃ saṃketasthānaṃ ca /	ekAntaH parama-arTa-svarUpam saMketa-sTAnam ca /
        sadāgamaḥ sacchāstraṃ sataḥ puruṣasyāgamanaṃ ca /	sat-AgamaH sat-SAstram sataH puruzasya-Agamanam ca /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   atra sadāgamaśabdaḥ sannahitamupanāyakaṃ prati sacchāstrārthamabhidhāya	atra sat-Agama-SabdaH san=-ahitam-upanAyakam prati sat-SAstra-arTam-aBiDAya
   sataḥ puruṣasyāgama iti vastu vyanakti /	sataH puruzasya-AgamaH iti vastu vyanakti /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ḍa) atra śliṣṭasadāgamapadaśaktimūlakavyañjakatvameva	(vi, xa) atra Slizwa-sat-Agama-pada-Sakti-mUlaka-vyaQjaka-tvam-eva
   anyavyañjakapadānāmiti tatpadasyaiva vyañjakatvaṃ	anya-vyaQjaka-padAnAm-iti tad-padasya-eva vyaQjaka-tvam
   tadāha--atreti---sacchāstramāpātataḥ prakaraṇagamyaṃ gāmānyato 'bhidhāya	tat-Aha--atra-iti-----sat-SAstram-ApAtataH prakaraNa-gamyam gAmAnyatas aBiDAya
   upanāyakaṃ prati satpuruṣāgamaṃ vyanakti ityarthaḥ /	upanAyakam prati sat-puruza-Agamam vyanakti iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   nanu sadāgamaḥ sadāgama iveti na kathamupamādhvaniḥ ?	nanu sat-AgamaH sat-AgamaH iva-iti na kaTam-upamA-DvaniH ?
   sadāgamaśabdayorupamānopameyabhāvāvivakṣaṇāt /	sat-Agama-SabdayoH-upamAna-upameya-BAva-avivakzaNAt /
   rahasyasya saṅgopanārthameva hi dvyarthapadapratipādanam /	rahasyasya saFga-upana-arTam-eva hi dvi-arTa-pada-pratipAdanam /
   prakaraṇādiparyālocanena ca sacchāstrābhidhānasyāsambandhatvāt /	prakaraNa-Adi-paryAlocanena ca sat-SAstra-aBiDAnasya-asambanDa-tvAt /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ḍha) satpuruṣāgamasacchāstrayorupamādhvanitvamāśaṅkate--nanviti	(vi, Xa) sat-puruza-Agama-sat-CAstrayorupamA-aDvani-tvam-ASaFka-te--nanu-iti
        samādhatte--neti /	samADatte--nA-iti /
        upamāvivakṣāvījamāha--rahasyeti /	upamA-vivakzOvIjam-Aha--rahasya-iti /
        nanu ralasya saṃgopanamupamā cāstvityatra āha--prakaraṇadīti /	nanu ralasya saMgopanam-upamA ca-astu-iti-atra Aha---prakaraNa-dIti /
        ādipadāt tātparyyaparigrahaḥ /	AdipadAt tAtparyya-parigrahaH /
        pratisandhānena satpuruṣāgamasyaiva āsvādyatvena	pratisanDAnena sat-puruza-Agamasya-eva AsvAdya-tvena
   aprākaraṇikasacchāstrasya prakṛtāsambandhatvāt; tasyā āsvādyatvābhāvāt	aprAkaraNika-sat-SAstrasya prakRta-asambanDa-tvAt; tasyAH AsvAdya-tva-aBAvAt-
   tadupamāyā api anāsvādyatvena tāvatā sambandhīkaraṇasyāpi anupayogāt /	tad-upamAyAH api anAsvAdya-tvena tAvatA sambanDIkaraNasya-api anupayogAt /
