   sāṃkhyasaptatiṭīkā jayamaṅgalā //	sAMKya-saptatiwIkA jaya-maFgalAH //
   mahadādibhūtaparyantaṃ śarīramiha loke yadadhiṣṭhānaṃ tatparādhiṣṭhitaṃ	mahat-Adi-BUta-paryantam SarIram-iha loke yat-aDizWAnam tad-para-aDizWitam
   dṛṣṭam, yathā rathādi / dṛśyate cādhiṣṭhānaṃ śarīram /	dRzwam, yaTA raTa-Adi / dRSyate ca-aDizWAnam SarIram /
   tasmādasyādhiṣṭhātrā bhavitavyam / yo 'sāvadhiṣṭhātā sa puruṣaḥ,	tasmAt-asya-aDizWAtrA Bavitavyam / yaH asO=-aDizWAtA sa puruzaH,
   nāntaḥkaraṇamadhiṣṭhātṛ, tasyācetanatvāditi sāmānyatodṛṣṭam //	na-antaHkaraNam-aDizWAtR, tasya-acetana-tvAt-iti sAmAnyatodRzwam //
   'bhoktṛbhāvāt'; iti / bhoktṛtvādityarthaḥ / iha loke bhogyaṃ dṛṣṭvā	aBoktR-BAvAt-a; iti / BoktR-tvAditi-arTaH / iha loke Bogyam dRzwvA
   bhoktānumīyate / dṛśyate mahadādiparyantaṃ bhogyam, tasmādasyāpi bhoktrā	BoktA-anumIyate / dRSyate mahat-Adi-paryantam Bogyam, tasmAt-asya-api BoktrA
   bhavitavyamiti sāmānyatodṛṣṭam / na cāntaḥkaraṇaṃ bhoktṛ,	Bavitavyam-iti sAmAnyatodRzwam / na ca-antaHkaraNam BoktR,
   tasyācetanatvādbhogyatvācca / yaśca bhoktā sa eva puruṣaḥ sātmakaṃ	tasya-acetana-tvAt-Bogya-tvAt-ca / yaH-ca BoktA saH eva puruzaH sAtmakam
   jīvaccharīraṃ prāṇādimattvāt / asmin dedhe yo 'yamātmā	jIvat-SarIram prANa-AdimattvAt / asmin deDe yaH ayam-AtmA
   samānajātīyānekavastvantarasahāyaḥ, pratiniyatairjanmādibhiryujyamānatvāt	samAna-jAtIya-aneka-vastu-antara-sahAyaH, pratiniyatEH-janma-AdiBiH-yujyamAna-tvAt-
   manovat //	manaH-vat //
   'kaivalyārthaṃ pravṛtteśca'; iti / kaivalyaṃ mokṣaḥ /	akEvalya-arTam pravRtteH-ca-a; iti / kEvalyam mokzaH /
   tadanyārthapradhānasyaiṣā pravṛttiḥ / tathāhi- pradhānaṃ buddhyātmanā	tad-anya-arTa-praDAnasya-ezA pravRttiH / taTA-hi praDAnam budDi-AtmanA
   pariṇamati / buddheścāṣṭādaśāni / teṣu ca jñānaṃ kaivalyam / tatra yadi	pariNamati / budDeH-ca-azwAdaSAni / tezu ca jQAnam kEvalyam / tatra yadi
   puruṣo na syāttadā tadarthā pravṛttirna bhavet / tasmādanyathānupapattyā	puruzaH na syAt-tadA tad-arTA pravRttiH-na Bavet / tasmAt-anyaTA-anupapattyA
   puruṣo 'sti //	puruzaH asti //
   tatra siddhe puṃsi vivādāḥ / eka evāyaṃ puruṣaḥ sarvaśarīreṣu sthita	tatra sidDe puMsi vivAdAH / ekaH eva-ayam puruzaH sarva-SarIrezu sTita
   ityeke / sarve kāya upanatānekātmānassātmakatvāt, yogiśarīravṛṃda..	iti-eke / sarve kAyaH upanatA-an-eka-AtmAnaH-sAtmaka-tvAt, yogi-SarIra-vRMda..
   pratiśarīramanekaḥ puruṣa ityapare / eka eva purāṇaḥ puruṣaḥ,	pratiSarIram-anekaH puruzaH iti-apare / ekaH eva purANaH puruzaH,
   tasmādagnesa..viṣphuliṅgāḥ pratiśarīraṃ puruṣā ābirbhūtā iti	tasmAt-agnesa-..vizPuliFgAH pratiSarIram puruzAH AbirBUtAH iti
   vedāntavādinaḥ // 17 //	vedAnta-vAdinaH // 17 //
   kārikā 18	kArikA 18
   atrāha-	atra-Aha-
   jananamaraṇakaraṇānāṃ pratiniyamādayugapatpravṛtteśca /	janana-maraNa-karaNAnAm pratiniyamAt-ayugapad-pravRtteH-ca /
   puruṣabahutvaṃ siddhaṃ traiguṇyaviparyayāccaiva // ISk_18 //	puruza-bahu-tvam sidDam trEguNya-viparyayAt-ca-eva // ISc-_18 //
   'jananamaraṇakaraṇānām'; ityādi / karaṇaṃ cakṣurādīndriyam	ajanana-maraNa-karaNAnAm-a; ityAdi / karaNam cakzuH-Adi-indriyam
   dehendriyāderadhiṣṭhānasyotpattivināśau / tadyogātpuruṣaḥ jananamaraṇe 'pi	deha-indriya-AdeH-aDizWAnasya-utpatti-vinASO / tad-yogAt-puruzaH janana-maraNe api
   vyavasthāpyete / svataḥ puruṣasya te na sambhavataḥ / kutaḥ ? - nityatāt	vyavasTA-apyete / svatas puruzasya te na samBavataH / kutas ?  nityatAt-
   tatra yadyekaḥ puruṣaḥ syāttadaikasmin jāyamāne mriyamāṇe vā sarveṣāṃ	tatra yadi-ekaH puruzaH syAt-tadA-ekasmin jAyamAne mriyamANe vA sarvezAm
   jananamaraṇe syātām / tathaikasmiṃścakṣuṣmati śrotravati vā sarve 'ndhā	janana-maraNe syAtAm / taTA-ekasmin=-cakzuzmati Srotravati vA sarve anDA
   (badhirā vā, paśyeyuḥ śruṇuyurvā / ekasminnandhe) badhire vā tathā syuḥ /	(baDirAH vA, paSyeyuH SruNuyuH-vA / ekasmin=-anDe) baDire vA taTA syuH /
   na caivam, jananādīnāṃ pratiniyamāt / tasmādanyathānupapattyā	na ca-evam, janana-AdInAm pratiniyamAt / tasmAt-anyaTA-anupapattyA
   puruṣabahutvaṃ siddham //	puruza-bahu-tvam sidDam //
   'ayugapatpravṛtteśca'; iti / yadyekaḥ puruṣaḥ syāttadaikenādhiṣṭhātrā	aayugapad-pravRtteH-ca-a; iti / yadi-ekaH puruzaH syAt-tadA-ekena-aDizWAtrA
   tiṣṭhati dehe, dharmādharmayorarthānarthayoḥ sukhaduḥkhayorvā pravṛtte,	tizWati dehe, Darma-aDarmayoH-arTa-anarTayoH suKa-duHKayoH-vA pravRtte,
   sarva eva yugapatpravartteran / na caivamityanyathānupapattiḥ //	sarve eva yugapad-pravartteran / na ca-evam-iti-anyaTA-anupapattiH //
   'traiguṇyaviparyayācca'; iti / traya eva guṇāstraiguṇyam / tad viparyayo	atrEguNya-viparyayAt-ca-a; iti / trayaH eva guNAH-trEguNyam / tat viparyayaH-
   'nyathātvam / adhiṣṭhānasya triguṇātmakatvāttadyogātpuruṣo 'pi	anyaTAtvam / aDizWAnasya triguNa-Atmaka-tvAt-tad-yogAt-puruzaH api
   triguṇātmaka ityucyate / tatra yadyekaḥ puruṣaḥ syāttadaikasmin sāttvike	triguNa-AtmakaH iti-ucyate / tatra yadi-ekaH puruzaH syAt-tad-A-ekasmin sAttvike
   rājase tāmase vā, sarva eva tathāvidhāḥ syuḥ / na caivam, guṇānaṃ	rAjase tAmase vA, sarve eva taTAviDAH syuH / na ca-evam, guNAnam
   viparyayadarśanadityanyathānupapattiḥ //	viparyaya-darSanat-iti-anyaTA-anupapattiH //
   purāṇapuruṣādagneriva viṣphuliṅgāḥ pratiśarīraṃ puruṣā ityasminnapi	purANa-puruzAt-agneH-iva vizPuliFgAH pratiSarIram puruzAH iti-asmin=-api
   darśane puruṣabahutvamastyeva / teṣāṃ parasparavilakṣaṇatvāt te	darSane puruza-bahu-tvam-asti-eva / tezAm paraspara-vilakzaNa-tvAt te
   purāṇapuruṣādabhinnā bhinnā veti darśanadvayam / tadanyatra	purANa-puruzAdaBinnA BinnA vA-iti darSana-dvayam / tad-anyatra
   vivāritatvādiha granthagauravabhayānnopanyastamasmābhiriti // 18 //	vivArita-tvAt-iha granTa-gOrava-BayAt-na-upanyastam-asmABiH-iti // 18 //
   kārikā 19	kArikA 19
   evaṃ puruṣabahutvaṃ prasāddhya taddharmān kathayitumāha-	evam puruza-bahu-tvam prasAdDya tad-DarmAn kaTayitum-Aha-
   tasmācca viparyāsātsiddhaṃ sākṣitvamasya puruṣasya /	tasmAt-ca viparyAsAt-sidDam sAkzi-tvam-asya puruzasya /
   kaivalyammādhyasthaṃ draṣṭṛtvamakartṛbhāvaśca // ISk_19 //	kEvalyam-mADya-sTam drazwR-tvam-akartR-BAvaH-ca // ISc-_19 //
   'tasmācca viparyāsāt'; ityādi / yaḥ prāgukto viparyayaḥ- triguṇamaviveki	atasmAt-ca viparyAsAt-a; ityAdi / yaH prAk-uktaH viparyayaH triguNam-aviveki
   viṣayaḥ - ityādinā, tasmātsākṣitvādayo dharmāḥ puruṣasya siddhāḥ / tatra	vizayaH  ityAdinA, tasmAt-sAkzi-tva-AdayaH DarmAH puruzasya sidDAH / tatra
   nirguṇasya puruṣasyāprasavadharmitvādakartṛtvam / yaścākartā sa	nirguNasya puruzasya-aprasava-Darmi-tvAt-akartR-tvam / yaH-ca-akartA sa
   bhavatyudāsīnaḥ / saptavidhaṃ cāsyaudāsīnyam / tathā coktam -	Bavati-udAsInaH / saptaviDam ca-asya-OdAsInyam / taTA ca-uktam -
   paśyati śṛṇoti sarvama karoti sthitiṃ prasaṅgaṃ ca nāpi /	paSyati SRNoti sarvama karoti sTitim prasaFgam ca na-api /
   svato na parato...nobhayataścāpyudāsīnaḥ // iti //	svatas na parato...na-uBayataH-ca-api-udAsInaH // iti //
   yaścodāsīnaḥ sa sākṣyapi bhavati pradhānasambandhinaḥ kriyākalāpasya	yaH-ca-udAsInaH sa sAkzI-api Bavati praDAna-sambanDinaH kriyA-kalApasya
   nirguṇatvāt //	nirguNa-tvAt //
   kaivalyaṃ kevalabhāvāt cetanatvācca draṣṭṛtvamiti //	kEvalyam kevala-BAvAt cetana-tvAt-ca drazwR-tvam-iti //
   nanu ca yadyakartā tatkathaṃ- bhoktṛbhāvādasti puruṣaḥ- ? tathā cāhuḥ-	nanu ca yadi-akartA tat-kaTaM BoktR-BAvAt-asti puruzaH ? taTA ca-AhuH-
   bālahutāśanataravaḥ svayamakṛtānāṃ yathā hi bhoktāraḥ /	bAla-hutASana-taravaH svayam-akRtAnAm yaTA hi BoktAraH /
   puruṣo 'pi viṣayaphalānāṃ svayamakṛtānāṃ tathāpi bhoktā // iti //	puruzaH api vizaya-PalAnAm svayam-akRtAnAm taTA-api BoktA // iti //
   ityuktamakarturapi bhoktṛtvamasyeti // 19 //	iti-uktam-akartuH-api BoktR-tvam-asya-iti // 19 //
   kārikā 20	kArikA 20
   nanu ca yadyacetanamavyaktaṃ kathaṃ dehendriyasaṃjñamadhiṣṭhānaṃ	nanu ca yadi-acetanam-avyaktam kaTam deha-indriya-saMjQam-aDizWAnam
   dharmādharmādiṣu pravarttate, tasyācetanatvādityāha-	Darma-aDarma-Adizu pravarttate, tasya-acetana-tvAt-iti-Aha-
   tasmāttatsaṃyogādacetanaṃ cetanāvadiva liṅgam /	tasmAt-tad-saMyogAt-acetanam cetanAvat-iva liFgam /
   guṇakartṛtve 'pi tathā karteva bhavatyudāsīnaḥ // ISk_20 //	guNa-kartR-tve api taTA kartA-iva Bavati-udAsInaH // ISc-_20 //
   'tasmāttatsaṃyogāt'; ityādi / tena puruṣeṇa yaḥ saṃyogastasmādacetanaṃ	atasmAt-tad-saMyogAt-a; ityAdi / tena puruzeNa yaH saMyogaH-tasmAt-acetanam
   cetanāvadiva bhavati / yathāgnisaṃyogāllohamaṇirityucyate / liṅgaṃ	cetanAvat-iva Bavati / yaTA-agni-saMyogAt-lohamaNiH-iti-ucyate / liFgam
   mahadādisūkṣmaparyantaṃ vakṣyati //	mahat-Adi-sUkzma-paryantam vakzyati //
   yadi tadeva triguṇātmakaṃ kartṛ na pumān, kathaṃ puruṣo gacchatītyucyata	yadi tat-eva triguNa-Atmakam kartR na pumAn, kaTam puruzaH gacCati-iti-ucyata
   ityāha- 'guṇakartṛtve 'pi tathā karteva bhavatyudāsīnaḥ'; iti / guṇānāṃ	iti-Aha aguNa-kartR-tve api taTA kartA-iva Bavati-udAsInaH-a; iti / guNAnAm
   kartṛtvaṃ na puruṣasya / yathā puruṣasaṃyogādacetanaṃ liṅgaṃ cetanāvadiva	kartR-tvam na puruzasya / yaTA puruza-saMyogAt-acetanam liFgam cetanA-vat-iva
   bhavati, tathā guṇātmakaliṅgasaṃyogādakartāpi san karteva bhavati /	Bavati, taTA guNa-Atmaka-liFga-saMyogAt-akartA-api san kartA-iva Bavati /
   udāsīnaḥ / yathā svāmī svayamayoddhāpi yaudhabhṛtyasaṃyogād yoddheti	udAsInaH / yaTA svAmI svayam-ayodDA-api yODa-BRtya-saMyogAt yodDA-iti
   vyapadiśyate, tathā puruṣo 'pyupacāreṇa karteti /	vyapadiSyate, taTA puruzaH api-upacAreNa kartA-iti /
   tathā coktam -	taTA ca-uktam -
   pravarttamānān prakṛterimān guṇāṃstamo 'bhibhūto viparītadarśanaḥ /	pravarttamAnAn prakRteH-imAn guNAn=-tamaH aBiBUtaH viparIta-darSanaH /
   ahaṃ karomītyabudho 'bhimanyate tṛṇasya kubjīkaraṇe 'pyanīśvaraḥ // iti //	aham karomi-iti-abuDaH aBimanyate tRNasya kubjIkaraNe api-anISvaraH // iti //
   kārikā 21	kArikA 21
   nanu pradhānapuruṣayoḥ kiṃ (kartṛtvaṃ) caitanyārthameva saṃyogaḥ, kiṃ	nanu praDAna-puruzayoH kim (kartR-tvaM) cEtanya-arTam-eva saMyogaH, kim
   vānyārthamapītyāha-	vA-anya-arTam-api-iti-Aha-
   puruṣasya darśanārthaṃ kaivalyārthaṃ tathā pradhānasya /	puruzasya darSana-arTam kEvalya-arTam taTA praDAnasya /
   paṃgvandhavadubhayorapi saṃyogastatkṛtaḥ sargaḥ // ISk_21 //	paMgu-anDavat-uBayoH-api saMyogaH-tad-kRtaH sargaH // ISc-_21 //
   'puruṣasya'; ityādi / puruṣasyārtho dvividhaḥ, viṣayopabhogaḥ kaivalyaṃ ca	apuruzasya-a; ityAdi / puruzasya-arTaH dviviDaH, vizaya-upaBogaH kEvalyam ca
   / tadubhayaṃ pradhānena sampādyam / viṣayopabhogaśca	/ tat-uBayam praDAnena sampAdyam / vizaya-upaBogaH-ca
   pradhānavibhūtimantareṇa na sambhavati, iti darśanārthaṃ puruṣaḥ	praDAna-viBUtim-antareNa na samBavati, iti darSana-arTam puruzaH
   pradhānena saṃyujyate / mānaṃ svāṃ vibhūtiṃ darśayitumasamarthātpuruṣeṇa	praDAnena saMyujyate / mAnam svAm viBUtim darSayitum-asamarTAt-puruzeNa
   saṃyujyate (?) / dṛṣṭvā sa sarvāṃ vibhūtimanubhūya virasatvād viraktaḥ	saMyujyate (?) / dRzwvA sa sarvAm viBUtim-anuBUya virasa-tvAt viraktaH
   puruṣaḥ pradhānena tyajyate / tyaktasya kaivalyamityato darśanārthaṃ	puruzaH praDAnena tyajyate / tyaktasya kEvalyam-iti-atas darSana-arTam
   kaivalyārthaṃ ca dvayorapi saṃyogo matsyodakavadudumbaramaśakaśca //	kEvalya-arTam ca dvayoH-api saMyogaH matsya-udaka-vat-udumbara-maSakaH-ca //
   'paṃgvandhavat'; iti / dṛṣṭāntaḥ / paṅguḥ sacakṣuḥ paśyati panthānaṃ na	apaMgvanDavat-a; iti / dRzwAntaH / paFguH sa-cakzuH paSyati panTAnam na
   saṃcarati, andho 'pi saṃcarati na paśyati panthānam / tayoḥ	saMcarati, anDaH api saMcarati na paSyati panTAnam / tayoH
   svārthabhraṣṭayorgrāmaprāptyarthaḥ sambandho bhūtaḥ / tatra	sva-arTa-BrazwayoH-grAma-prApti-arTaH sambanDaH BUtaH / tatra
   paṅgurandhaskandhamāruhya gatimān, andho 'pi draṣṭradhiṣṭhānāddṛṣṭimān	paFguH-anDa-skanDam-Aruhya gatimAn, anDaH api drazwR-aDizWAnAt-dRzwimAn
   jātaḥ / grāmaprāptayośca tayorviyogaḥ / evaṃ puruṣo niṣkriyaḥ pradhānena	jAtaH / grAma-prAptayoH-ca tayoH-viyogaH / evam puruzaH nizkriyaH praDAnena
   saṃyujya tadvibhūtidarśanāya devādiṣu saṃcarati / pradhānaṃ niścetanamapi	saMyujya tad-viBUti-darSanAya deva-Adizu saMcarati / praDAnam niScetanam-api
   puruṣādhiṣṭhānāccetanāvadiva dvayamapi sampādayati /	puruza-aDizWAnAt-cetanAvat-iva dvayam-api sampAdayati /
   tasmātpaṃgvandhavadubhayorapi saṃyogaḥ //	tasmAt-paMgu-anDavat-uBayoH-api saMyogaH //
   nanu ca saṃyogamātreṇa kathaṃ darśanaṃ kaivalyaṃ cetyāha- 'tatkṛtaḥ	nanu ca saMyoga-mAtreNa kaTam darSanam kEvalyam ca-iti-Aha atatkRtaH
   sargaḥ'; iti / saṃyogakṛto mahadādigrāmotpāda ityarthaḥ // 21 //	sargaH-a; iti / saMyoga-kRtaH mahat-Adi-grAma-utpAdaH iti-arTaH // 21 //
   kārikā 22	kArikA 22
   tameva darśayannāha-	tam-eva darSayan=-Aha-
   prakṛtermahāṃstato 'haṅkārastasmādgaṇaśca ṣoḍaśakaḥ /	prakRteH-mahAn=-tatas ahaFkAraH-tasmAt-gaNaH-ca zoxaSakaH /
   tasmādapi ṣoḍaśakātpañcabhyaḥ pañca bhūtāni // ISk_22 //	tasmAt-api zoxaSakAt-paQcaByaH paQca BUtAni // ISc-_22 //
   'prakṛtermahān'; ityādi / prakṛtiḥ pradhānaṃ kāraṇamavyaktaṃ guṇasāmyaṃ	aprakRteH-mahAn-a; ityAdi / prakRtiH praDAnam kAraNam-avyaktam guNa-sAmyam
   tamobahulamavyākṛtamiti prakṛtiparyāyāḥ / tato mahānutpadyate sa tu	tamaH-bahulam-avyAkRtam-iti prakRti-paryAyAH / tatas mahAn-utpadyate sa tu
   tamobahulaḥ / mahān buddhirmatiḥ pratyaya upalabdhiriti buddhiparyāyāḥ /	tamaH-bahulaH / mahAn budDiH-matiH pratyayaH upalabDiH-iti budDi-paryAyAH /
   tato 'haṅkāra utpadyate / sa tu rajastamobahulaḥ / ahaṅkāraḥ	tatas ahaFkAraH utpadyate / sa tu rajaH-tamaH-bahulaH / ahaFkAraH
   suparṇapaṇi(!)statpuruṣa ityahaṅkāraparyāyāḥ //	suparNa-paNi(!)H-tatpuruzaH iti-ahaFkAra-paryAyAH //
   'tasmādgaṇaśca ṣoḍaśakaḥ'; iti / tasmādahaṅkārāt ṣoḍaśako gaṇa utpadyate /	atasmAt-gaNaH-ca zoxaSakaH-a; iti / tasmAt-ahaFkArAt zoxaSakaH gaNaH utpadyate /
   ekādaśendriyāṇi pañca tanmātrāṇītyarthaḥ / tāni hṛṣīkāṇīndriyāṇīti	ekAdaSa-indriyANi paQca tanmAtrANi-iti-arTaH / tAni hRzIkANi-indriyANi-iti
   paryāyāḥ / sūkṣmā atiśayā aṇavaḥ (viṣā) iti tanmātraparyāyāḥ //	paryAyAH / sUkzmAH atiSayAH aNavaH (vizA) iti tanmAtra-paryAyAH //
   'tasmādapi ṣoḍaśakāt pañcabhyaḥ pañca bhūtāni'; iti / ṣoḍaśād gaṇādyāni	atasmAt-api zoxaSakAt paQcaByaH paQca BUtAni-a; iti / zoxaSAt gaNa-AdyAni
   pañca tanmātrāṇi tebhya ekottaravṛddhyā pañca mahābhūtāni bhavanti / tatra	paQca tanmAtrANi teByaH eka-uttara-vRdDyA paQca mahABUtAni Bavanti / tatra
   śabdatanmātrādākāśamekaguṇam / śabdatanmātrapratisaṃhitāt	Sabda-tanmAtrAt-AkASam-eka-guNam / Sabda-tanmAtra-pratisaMhitAt
   sparśatanmātrāddviguṇo vāyuḥ / tābhyāṃ pratisaṃhitādrūpatanmātrāt triguṇaṃ	sparSa-tanmAtrAt-dviguNaH vAyuH / tAByAm pratisaMhitAt-rUpa-tanmAtrAt triguNam
   tejaḥ / taiḥ pratisaṃhitādrasatanmātrāt caturguṇā āpaḥ / caturbhiḥ	tejaH / tEH pratisaMhitAt-rasa-tanmAtrAt caturguNAH ApaH / caturBiH
   pratisaṃhitādgandhatanmātrāt pañcaguṇā pṛthivīti / etairekādaśādayaḥ	pratisaMhitAt-ganDa-tanmAtrAt paQcaguNA pRTivI-iti / etEH-ekAdaSa-AdayaH
   sthūlā viśeṣā ucyante, yeṣvavasitāni caturviṃśatitattvāni // 22 //	sTUlAH viSezAH ucyante, yezu-avasitAni caturviMSati-tattvAni // 22 //
   kārikā 23	kArikA 23
   buddherlakṣaṇamāha-	budDeH-lakzaNam-Aha-
   adhyavasāyo buddhirdharmo jñānaṃ virāga aiśvaryam /	aDyavasAyaH budDiH-DarmaH jQAnam virAga ESvaryam /
   sāttvikametadrūpaṃ tāmasamasmādviparyastam // ISk_23 //	sAttvikam-etat-rUpam tAmasam-asmAt-viparyastam // ISc-_23 //
   'adhyavasāyaḥ'; ityādi / śabdādiṣu viṣaye 'dhyavasāyaśabdo 'yaṃ yāvat	aaDyavasAyaH-a; ityAdi / Sabda-Adizu vizaye aDyavasAya-SabdaH ayam yAvat-
   gandho 'yamiti subuddherlakṣaṇam (?) / tasyāścāṣṭau rūpāṇi //	ganDaH ayam-iti su-budDeH-lakzaNam (?) / tasyAH-ca-azwO rUpANi //
   'dharmo jñānaṃ virāga aiśvaryam'; iti / tatra yo	aDarmaH jQAnam virAga ESvaryam-a; iti / tatra yaH-
   'yamaniviṣayamanuṣṭhānātmako 'dhavasāyassa dharmaḥ / yamāḥ pañca niyamāśca	ayam-anivizayam-anuzWAna-AtmakaH aDavasAyassa DarmaH / yamAH paQca niyamAH-ca
   / yathoktaṃ sāṃkhyapravacane 'ahiṃsāsatyāsteyabrahmacaryāparigrahā yamāḥ';	/ yaToktam sAMKya-pravacane aahiMsA-satya-asteya-brahmacarya-aparigrahAH yamAH-a;
   / 'śaucasantoṣatapassvādhyāyeśvarapraṇidhānāni niyamāḥ'; iti / tatra	/ aSOca-santoza-tapassvADyAya-ISvara-praNiDAnAni niyamAH-a; iti / tatra
   santoṣassanihitasādhanābhyāśādadhikasyānupāditsā / tapo	santoza-ssa-nihita-sADana-aByASAt-aDikasya-anupAditsA / tapaH-
   jighatsāpipāsāśītoṣṇasthānasādhanājayaḥ kāṣṭhamaunākāramaune, vratāni ca	jiGatsA-pipAsA-SIta-uzNa-sTAna-sADana-ajayaH kAzWa-mOna-AkAra-mOne, vratAni ca
   kṛcchracāndrāyaṇādīni / svādhyāyo mokṣaśāstrādhyayanaṃ praṇavajapo vā /	kRcCra-cAndrAyaNa-AdIni / svADyAyaH mokza-SAstra-aDyayanam praNava-japaH vA /
   īśvarapraṇidhānaṃ viśiṣṭadevatārādhanam / asaṃsāribhistulyavṛttitvāditi /	ISvara-praNiDAnam viSizwa-devatA-ArADanam / asaMsAriBiH-tulya-vRtti-tvAt-iti /
   tadviparītānuṣṭhānamadharmaḥ / pañcaviṃśatitattvānāṃ	tad-viparIta-anuzWAnam-aDarmaH / paQcaviMSati-tattvAnAm
   svasaṃjñālākṣaṇyakatvaprayojanāvadhāraṇaṃ jñānam, guṇapuruṣāntarajñānam /	sva-saMjQA-lAkzaNyaka-tva-prayojana-avaDAraNam jQAnam, guNa-puruza-antara-jQAnam /
   śeṣamajñānam / viṣayaśarīrendriyebhyo doṣadarśanādvaimukhyaṃ virāgaḥ /	Sezam-ajQAnam / vizaya-SarIra-indriyeByaH doza-darSanAt-vEmuKyam virAgaH /
   teṣvabhilāṣo rāgaḥ / aiśvaryamaṣṭaguṇam- aṇimā, mahimā, laghimā, prāptiḥ,	tezu-aBilAzaH rAgaH / ESvaryam-azwaguNam aNimA, mahimA, laGimA, prAptiH,
   prākāmyam, īśitvaṃ, vaśitvam, yatrakāmāvasāyitvaṃ ceti / tatrāṇimāṇutvam,	prAkAmyam, ISitvaM, vaSi-tvam, yatra-kAma-avasAyi-tvam ca-iti / tatra-aNimANu-tvam,
   yena guṇena sūkṣmo bhūtvā vicarati / kārye kāraṇopacārādaṇimetyucyate /	yena guNena sUkzmaH BUtvA vicarati / kArye kAraNa-upacArAt-aNim-A-iti-ucyate /
   uttaratrāpyevaṃ yojyam / laghimā laghutvam, yena vāyuvallaghutaro bhavati	uttaratra-api-evam yojyam / laGimA laGu-tvam, yena vAyu-vat-laGutaraH Bavati
   / mahimā mahattvam, yena bhuvaneṣu dharmādiprāptiḥ, yena guṇeneṣitasya	/ mahimA mahat-tvam, yena Buvanezu Darma-Adi-prAptiH, yena guNena-Izitasya
   prāpaṇam / prākāmyaṃ pracurakāmitā yenaikamanekaṃ prākāmyate 'nekaṃ caikam	prApaNam / prAkAmyam pracura-kAmi-tAH yena-ekam-anekam prAkAmyate anekam ca-ekam
   / īśitvaṃ prabhutā (yena sthāvarādīni bhūtāni sandeśakārīṇi bhavanti /	/ ISitvam praBu-tA (yena sTAvara-AdIni BUtAni sandeSa-kArINi Bavanti /
   vaśitvaṃ vaśitā) yena svatantraścarati / yatrakāmāvaśāyitvaṃ	vaSitvam vaSitA) yena svatantraH-carati / yatra-kAmOvaSAyi-tvam
   (kāmenecchayāvaśetuṃ śīlaṃ yasya sa yatrakāmāvaśāyī / tasya bhāvaḥ	(kAmena-icCayO=-aSetum SIlam yasya sa yatra-kAmOvaSAyI / tasya BAvaH
   yatrakāmāvaśāyitvam) / anekārthatvāddhātūnāṃ 'śī'; tiṣṭhatau varttate /	yatra-kAmOvaSAyi-tvam) / aneka-arTa-tvAt-DAtUnAm aSI-a; tizWatO varttate /
   yena guṇena divyantarikṣe bhūmau vāvasthāyitvamityarthaḥ /	yena guNena divi-antarikze BUmO vA-avasTAyi-tvam-iti-arTaH /
   'sāttvikametadrūpam'; iti / sattvatamobahulatvāt / buddheryadā	asAt-tvikam-etat-rUpam-a; iti / sattva-tamaH-bahula-tvAt / budDeH-yadA
   sattvamutkaṭaṃ bhavati tadaitaccatuṣṭayaṃ bhavatītyarthaḥ /	sattvam-utkawam Bavati tadA-etat-catuzwayam Bavati-iti-arTaH /
   'tāmasamasmādviparyastam'; iti / utkaṭalakṣaṇāt	atAmasam-asmAt-viparyastam-a; iti / utkawa-lakzaNAt-
   dharmādicatuṣṭayādviparītaṃ tamasyudrikte bhavatītyarthaḥ / adharmo	Darma-Adi-catuzwayAt-viparItam tamasi-udrikte Bavati-iti-arTaH / aDarmaH-
   'jñānamavairāgyamanaiśvaryaṃ ceti // 23 //	ajQAnam-avErAgyam-anESvaryam ca-iti // 23 //
   kārikā 24	kArikA 24
   ahaṅkāralakṣaṇamāha-	ahaFkAra-lakzaNam-Aha-
   abhimāno 'haṅkāraḥ, tasmāddvividhaḥ pravarttate sargaḥ /	aBimAnaH ahaFkAraH, tasmAt-dviviDaH pravarttate sargaH /
   ekādaśaśca gaṇastanmātrapañcakaścaiva // ISk_24 //	ekAdaSaH-ca gaNaH-tanmAtra-paQcakaH-ca-eva // ISc-_24 //
   'abhimānaḥ'; ityādi / abhimatirabhimānaḥ / rūpādiṣu viṣayeṣvabhimāno	aaBimAnaH-a; ityAdi / aBimatiH-aBimAnaH / rUpa-Adizu vizayezu-aBimAnaH-
   rūpavānaham, mamaite viṣayāḥ, ityahyaṅkāralakṣaṇam //	rUpavAn-aham, mama-ete vizayAH, iti-ahi-aFkAra-lakzaNam //
   tasmādabhimānalakṣaṇādahaṅkārāt 'dvividhaḥ pravarttate sargaḥ'; iti /	tasmAt-aBimAna-lakzaNAt-ahaFkArAt adviviDaH pravarttate sargaH-a; iti /
   sṛjyata iti sargaḥ //	sRjyate iti sargaH //
   tameva dvividhaṃ darśayitumāha- 'ekādaśakaśca gaṇaḥ'; iti / ekādaśa	tam-eva dviviDam darSayitum-Aha- aekAdaSakaH-ca gaNaH-a; iti / ekAdaSa
   parimāṇamasyetyekādaśaḥ śrotrādirgaṇaḥ //	parimANam-asya-iti-ekAdaSaH Srotra-AdiH-gaNaH //
   'tanmātrāpañcakaṃ ca'; iti / tanmātraśabdādisvarūpamātra ityarthaḥ /	atanmAtrA-paQcakam ca-a; iti / tanmAtra-Sabda-Adi-svarUpa-mAtraH iti-arTaH /
