   caturtha uddyotaḥ	caturTaH uddyotaH
   bhavatīti vīrodhālaṅkāracchāyā /	Bavati-iti vIroDa-alaFkAra=-CAyA /
   saundhavabhāṣayā mahamaha ityanayā bhaṇityā samunmeṣitā // 7 //	sOnDava-BAzayA mahamahe iti-anayA BaNityA samunmezitAH // 7 //
   avasthādivibhinnānāṃ vācyānāṃ vinibandhanam /	avasTA-Adi-viBinnAnAm vAcyAnAm vinibanDanam /
   bālapriyā arthādyānantyamityarthaḥ /	bAla-priyAH arTa-Adi-Anantyam-iti-arTaH /
   tata iti /	tatas iti /
   bhaṇitivaicitryādityarthaḥ /	BaNiti-vEcitryAt-iti-arTaH /
   yastetyanyapadārthavivararaṇam--alaṅkārāṇāmityādi /	yaH-ta-iti-anya-padArTa-vivara-raNam---alaFkArANAm-ityAdi /
   viśeṣaṇacchaleneti /	viSezaNa=-Calena-iti /
   pratiniyatetyādiviśeṣaṇavyājenetyarthaḥ /	pratiniyata-ityAdi-viSezaNa-vyAjena-iti-arTaH /
   'mahe'tyādeḥ chāyāmāha--mametyādi /	amahe-ati-AdeH CAyAm-Aha---mama-ityAdi /
   mama mama iti bhaṇataḥ mamāyaṃ mamedamityādi bhaṇataḥ /	mama mama iti BaNatas mama-ayam mama-idam-ityAdi BaNataH /
   atra mameti prakṛtārthaḥ /	atra mama-iti prakRta-arTaH /
   madhumathana iti pratīyamāno viruddhārthaḥ /	maDumaTanaH iti pratIyamAnaH virudDa-arTaH /
   tathāpīti virodhadyotakam /	taTA-api-iti viroDa-dyotakam /
   samunmiṣiteti /	samunmizitA-iti /
   mahamaha ityasya mama mama iti madhumathana iti ca chāyā bhavatīti bhāvaḥ	mahamahe iti-asya mama mama iti maDumaTanaH iti ca CAyA Bavati-iti BAvaH
   ita ūrdhvaṅkārikāvṛtyorbhedasya durgrahatayā tadubhayaṃ pṛthakpradarśayan	itas UrDvaFkArika-AvRtyoH-Bedasya durgraha-tayA tat-uBayam pRTak-pradarSayan
   vivṛṇoti--avasthetyādi /	vivRNoti--avasTA-ityAdi /
   bhūmnaiva dṛśyate lakṣye	BUmnA-eva dRSyate lakzye
   na tac chakyam apohitum /	na tat Sakyam apohitum /
   . . . . . . . . . . .tat tu bhāti rasāśrayāt // DhvK_4.8 //	. . . . . . . . . . .tat tu BAti rasa-ASrayAt // DhvK_4.8 //
   ... na tacchakyamapohitum /	... na tat-Sakyam-apohitum /
   tattu bhāti rasāśrayāt // 8 //	tat-tu BAti rasa-ASrayAt // 8 //
   tadidamatra saṅkṣepeṇābhidhīyate satkavīnāmupadeśāya---	tat-idam-atra saFkzepeNa-aBiDIyate sat-kavInAm-upadeSAya---
   rasa-bhāvādi-sambaddhā yady aucityānusāriṇī /	rasa-BAva-Adi--sambadDA yadi Ocitya-anusAriNI /
   anvīyate vastu-gatir deśa-kālādi-bhedinī // DhvK_4.9 //	anvIyate vastu--gatiH deSa--kAla-Adi-BedinI // DhvK_4.9 //
   rasabhāvādisambaddhā yadyaucityānusāriṇī /	rasa-BAva-Adi-sambadDA yadi-Ocitya-anusAriNI /
   anvīyate vastugatirdeśakālādibhedinī // 9 //	anvIyate vastu-gatiH-deSa-kAla-Adi-BedinI // 9 //
   tatkā gaṇanā kavīnāmanyeṣāṃ parimitaśaktīnām /	tat-kA gaNanA kavInAm-anyezAm parimita-SaktInAm /
   vācaspati-sahasrāṇāṃ sahasrair api yatnataḥ /	vAcaspati--sahasrANAm sahasrEH api yatnatas /
   nibaddhā sā kṣayaṃ naiti prakṛtir jagatām iva // DhvK_4.10 //	nibadDA sA kzayam na-eti prakRtiH jagatAm iva // DhvK_4.10 //
   vācaspatisahasrāṇāṃ sahasrairapi yatnataḥ /	vAcaspati-sahasrANAm sahasrEH-api yatnatas /
   nibaddhā sā kṣayaṃ naiti prakṛtarjagatāmiva // 10 // // //	nibadDA sA kzayam na-eti prakRta-rjagatAm-iva // 10 // // //
   yathāhi jagatprakṛtiratītakalpaparamparāvirbhūtavicitravastuprapañcā satī	yaTA-hi jagat-prakRtiH-atIta-kalpa-paramparA-virBUta-vicitra-vastu-prapaQcA satI
   locanam bhūmnaiva dṛśyate lakṣye tattu bhāti rasāśrayāt // //	locanam BUmnA-eva dRSyate lakzye tat-tu BAti rasa-ASrayAt // //
   iti kārikā /	iti kArikA /
   anyastu grantho madhyopaskāraḥ // 8 // // //	anyaH-tu granTaH maDya-upaskAraH // 8 // // //
   atra tu pādatrayasyārthamanūdya caturthapādārtho 'pūrvatayābhidhīyate /	atra tu pAda-trayasya-arTam-anUdya caturTa-pAda-arTaH apUrvatayA-aBiDIyate /
   tadityādi /	tat-ityAdi /
   śaktīnāmityantaṃ kārikayormadhyopaskāraḥ /	SaktInAm-iti-antam kArikayoH-maDya-upaskAraH /
   dvitīyakārikāyāsturyaṃ pādaṃ vyācaṣṭe--yathāhīti // 1//	dvitIya-kArikAyAH-turyam pAdam vyAcazwe--yaTA-ahi-iti // 1//
   bālapriya anyastu grantha iti /	bAla-priya anyaH-tu granTaH iti /
   'yatpradarśitaṃ prāgi'ti 'na tacchakyamapohitum' iti ca grantha ityarthaḥ	ayat-pradarSitam prAk-i-ati ana tat-Sakyam-apohitum-a iti ca granTaH iti-arTaH
   caturthetyādi /	caturTA-ityAdi /
   'tattu bhāta rasāśrayā'dityasyārtho 'tra vidhīyamāna ityarthaḥ /	atat-tu BAta rasa-ASrayA-adityasya-arTaH atra viDIyamAnaH iti-arTaH /
   karikayoriti /	karikayoH-iti /
   'rasabhāve'tyādeḥ 'vācaspatī'tyādeśca kārakayorityartha- /	arasa-BAve-atyAdeH avAcaspatI-atyAdeH-ca kArakayoH-iti-arTa /
   upaskāra iti /	upaskAraH iti /
   yadyanvīyate anyaiḥ kavibhiḥ tattarhi ityarthaḥ /	yadi-anvIyate anyEH kaviBiH tat-tarhi iti-arTaH /
   anyeṣāṃ vālmīkivyatiriktānām /	anyezAm vAlmIki-vyatiriktAnAm /
   kavīnāṃ gaṇanā kā /	kavInAm gaNanA kA /
   te agaṇyā bhaveyuriti tadarthaḥ /	te agaNyAH BaveyuH-iti tad-arTaH /
   turyaṃ pādamiti /	turyam pAdam-iti /
   prakṛtirjagatāmiveti pādamityarthaḥ /	prakRtiH-jagatAm-iva-iti pAdam-iti-arTaH /
   vyācaṣṭa iti /	vyAcazwaH iti /
   kṣayaṃ naitītyanena saha vivṛṇotītyarthaḥ /	kzayam na-eti-iti-anena saha vivRNoti-iti-arTaH /
   yathāhītīti /	yaTA-ahi-iti-iti /
   'yathāhī'tyādinā 'abhidhātum' ityantagranthenetyarthaḥ. 'tadvadi'tyādikaṃ	ayaTAhI-atyAdinA aaBiDAtum-a iti-anta-granTena-iti-arTaH. atadvat-i-ati-Adikam
   tu vācaspatītyādipādatrayārthavivaraṇam /	tu vAcaspati-iti-Adi-pAda-traya-arTa-vivaraNam /
   vṛttau 'jagatprakṛtiri'ti /	vRttO ajagat-prakRtiH-i-ati /
   jagatkāraṇabhūtā prakṛtirityarthaḥ /	jagat-kAraNa-BUtA prakRtiH-iti-arTaH /
   'atīte'ti /	aatIte-ati /
   atītānāṃ kalpanāṃ paramparāyāmāvirbhūntaḥ āvirbhāvitaḥ vicitrāṇāṃ vastūnāṃ	atItAnAm kalpanAm paramparAyAm-AvirBUntaH Avis-BAvitaH vicitrANAm vastUnAm
   prapañco yayā sā 'parī'ti /	prapaQcaH yayA sA aparI-ati /
   parikṣīṇā naṣṭā aparapadārthānāṃ nirmāṇaśaktiryasyāssetyarthaḥ // 1//	parikzINAH nazwAH apara-padArTAnAm nirmANa-SaktiH-yasya-assA-iti-arTaH // 1//
   punaridānīṃ parikṣīṇā parapadārthānirmāṇaśaktiriti na śakyate 'bhidhātum /	punar-idAnIm parikzINA para-padArTa-anirmANa-SaktiH-iti na Sakyate aBiDAtum /
   tadvadeveyaṃ kāvyasthitiranantābhiḥ kavimatibhirupabhuktāpi nedānīṃ	tat-vat-eva-iyam kAvya-sTitiH-anantABiH kavi-matiBiH-upaBuktA-api na-idAnIm
   parihīyate, pratyuta navanavābhirvyutpattibhiḥ parivardhate /	parihIyate, pratyuta nava-navABiH-vyutpattiBiH parivarDate /
   itthaṃ sthite 'pi--	itTam sTite api--
   saṃvādās tu bhavanty eva bāhulyena sumedhasām /	saMvAdAH tu Bavanti eva bAhulyena sumeDasAm /
   sthitaṃ hy etat saṃvādinya eva medhāvināṃ buddhayaḥ /	sTitam hi etat saMvAdinyaH eva meDAvinAm budDayaH /
   kintu-	kintu-
   naika-rūpatayā sarve te mantavyā vipaścitā // DhvK_4.11 //	na-eka--rUpa-tayA sarve te mantavyAH vipaScitAH // DhvK_4.11 //
   saṃvādāstu bhavantyeva bāhulyena sumedhasām /	saMvAdAH-tu Bavanti-eva bAhulyena sumeDasAm /
   sthitaṃ hyetat saṃvādinya eva medhāvināṃ buddhayaḥ /	sTitam hi-etat saMvAdinyaH eva meDAvinAm budDayaH /
   kintu-- naikarūpatayā sarve te mantavyā vipaścitā // 11 //	kintu- na-eka-rUpa-tayA sarve te mantavyAH vipaScitAH // 11 //
   kathamiti cet--- saṃvādo hyanyasādṛśyaṃ tatpunaḥ pratibimbavat /	kaTam-iti cet-- saMvAdaH hi-anya-sAdRSyam tat-punar pratibimba-vat /
   ālekhyākāravattulyadehivacca śarīriṇām // 12 //	AleKya-AkAra-vat-tulya-dehi-vat-ca SarIriNAm // 12 //
   saṃvādo hi kāvyārthasyocyate yadanyena kāvyavastunā sādṛśyam /	saMvAdaH hi kAvya-arTasya-ucyate yat-anyena kAvya-vastunA sAdRSyam /
   tatpunaḥ śarīriṇāṃ pratibimbavadālekhyākāravattulyadehivacca tridhā	tat-punar SarIriNAm pratibimba-vat-AleKya-AkAra-vat-tulya-dehi-vat-ca triDA
   vyavasthitam /	vyavasTitam /
   kiñciddhi kāvyavastu vastvantarasya śarīriṇaḥ pratibimbakalpam, locanam	kiQcid-hi kAvya-vastu vastu-antarasya SarIriNaH pratibimba-kalpam, locanam
   saṃvādā iti kāri kāyā ardhaṃ, naikarūpatayeti dvitīyam // 11 //	saMvAdAH iti kAri kAyAH arDan, na-eka-rUpatayA-iti dvitIyam // 11 //
   kimiyaṃ rājājñetyabhiprāyeṇāśaṅkate---kathamiti cediti /	kim-iyam rAjA-AjQa-iti-aBiprAyeNa-ASaFkate---kaTam-iti ced-iti /
   atrottaram--	atra-uttaram--
   saṃvādo hy anya-sādṛśyaṃ tat punaḥ pratibimbavat /	saMvAdaH hi anya--sAdRSyam tat punar pratibimba-vat /
   ālekhyākāravat tulya-dehivac ca śarīriṇām // DhvK_4.12 //	AleKya-AkAra-vat tulya--dehi-vat ca SarIriNAm // DhvK_4.12 //
   saṃvādo hyanyasādṛśyantatpunaḥ pratibambavat /	saMvAdaH hi-anya-sAdRSyan-tat-punar pratibamba-vat /
   ālekhyā kāravattulyadehivacca śarīriṇām // 12 //	AleKyA kAravat-tulya-dehi-vat-ca SarIriNAm // 12 //
   ityaneyā kārikayā /	iti-aneyA kArikayA /
   eṣā khaṇḍīkṛtya vṛttau vyākhyātā /	ezA KaNxIkRtya vRttO vyAKyAtAH /
   śarīriṇāmityayañcaśabdaḥ prativākyaṃ draṣṭavya iti darśitam /	SarIriNAm-iti-ayaQca-SabdaH prativAkyam drazwavyaH iti darSitam /
   śarīriṇa iti /	SarIriNaH iti /
   pūrvameva pratilabdhasvarūpatayā bālapriyā locane--saṃvādā ityādi /	pUrvam-eva pratilabDa-svarUpa-tayA bAla-priyAH locane---saMvAdAH ityAdi /
   'saṃvādā' ityādi'sumedhasām' ityantaṃ kārikāyāḥ prathamārdhaṃ,	asaMvAdAa ityAdi-asumeDasAm-a iti-antam kArikAyAH praTama-arDaM,
   'naike'tyādi 'vipaścite' tyantaṃ dvitīyārdhaṃ cetyarthaḥ /	anEke-atyAdi avipaScite-a tyantam dvitIya-arDam ca-iti-arTaH /
   atra sumedhasāṃ saṃvādā ityasya sumedhasāṃ buddhīnāṃ kāvyānāṃ ca saṃvādā	atra sumeDasAm saMvAdAH iti-asya sumeDasAm budDInAm kAvyAnAm ca saMvAdA
   ityartha ityabhipretya 'sthitaṃ hyetadi'tyādikaṃ 'saṃvādo hi	iti-arTaH iti-aBipretya asTitam hi-etat-i-atyAdikam asaMvAdaH hi
   kāvyārthasyocyata' iti ca vṛttāvuktamiti bodhyam //11 //	kAvya-arTasya-ucyata-a iti ca vRttO=-uktam-iti boDyam //11 //
   kha eḍīkṛtya(?) vṛttau vyākhyāteti /	Ke exIkRtya(?) vRttO vyAKyAtA-iti /
   keṣucitpustakeṣviti śeṣaḥ /	kezucid-pustakezu-iti SezaH /
   ata eva vakṣyate--keṣucit pustakeṣu kārikā akhaṇḍīkṛtā eva dṛśyanta iti /	atas eva vakzyate--kezucid pustakezu kArikAH aKaNxIkRtAH eva dRSyante iti /
   khaṇḍīkṛtya vyākhyānaṃ tu 'saṃvādo hyanyasādṛśyam' 'saṃvādo hi	KaNxIkRtya vyAKyAnam tu asaMvAdaH hi-anya-sAdRSyam-a asaMvAdaH hi
   kāvyārthasyocyate, yadanyena kāvyavastunā sādṛśyam, tat punaḥ	kAvya-arTasya-ucyate, yat-anyena kAvya-vastunA sAdRSyam, tat punar-
   pratibimbavat, tatpunaśśarīriṇāṃ pratibimbavat' ityādikaṃ bodhyam /	pratibimbavat, tat-punar-SarIriNAm pratibimbavat-a iti-Adikam boDyam /
   prativākyamityādi /	prativAkyam-ityAdi /
   śarīriṇāmityasya pratibimbādibhistribhissambandha iti bhāvaḥ /	SarIriNAm-iti-asya pratibimba-AdiBiH-triBissambanDaH iti BAvaH /
   anyadālekhyaprakhyam anyattulyena śarīraṇā sadṛśam /	anyat-AleKya-praKyam anyat-tulyena SarIraNA sadRSam /
   tatra pūrvam ananyātma tucchātma tad-anantaram /	tatra pUrvam ananya-Atma tucCa-Atma tad--anantaram /
   tṛtīyaṃ tu prasiddhātma nānya-sāmyaṃ tyajet kaviḥ // DhvK_4.13 //	tRtIyam tu prasidDa-Atma na-anya--sAmyam tyajet kaviH // DhvK_4.13 //
   tatra pūrvamananyātma tucchātma tadanantaram /	tatra pUrvam-anani-Atma tucCa-Atma tad-anantaram /
   tṛtīyaṃ tu prasiddhātma nānyasāmyaṃ tyajetkaviḥ // 13 //	tRtIyam tu prasidDa-Atma na-anya-sAmyam tyajet-kaviH // 13 //
   tatra pūrvaṃ pratibimbakalpaṃ kāvyavastu parihartavyaṃ sumatinā /	tatra pUrvam pratibimba-kalpam kAvya-vastu parihartavyam sumatinA /
   yatastadananyātma tāttvikaśarīraśūnyam /	yatas-tat-ananyAtma tAttvika-SarIra-SUnyam /
   tadanantaramālekhyaprakhyamanyasāmyaṃ śarīrāntarayuktamapi tucchātmatvena	tad-anantaram-AleKya-praKyam-anya-sAmyam SarIra-antara-yuktam-api tucCa-Atma-tvena
   tyaktavyam /	tyaktavyam /
   tṛtīyaṃ tu vibhinnakamanīyaśarīrasadbhāve sati sasaṃvādamapi kāvyavastu na	tRtIyam tu viBinna-kamanIya-SarIra-sadBAve sati sa-saMvAdam-api kAvya-vastu na
   tyaktavyaṃ kavinā /	tyaktavyam kavinA /
   na hi śarīrī śarīriṇānyena sadṛśo 'pyeka eveti śakyate vaktum /	na hi SarIrI SarIriNA-anyena sadRSaH api-ekaH eva-iti Sakyate vaktum /
   locanam pradhānabhūtasyetyarthaḥ // 12 //	locanam praDAna-BUtasya-iti-arTaH // 12 //
   tatra pūrvamananyātma tucchātma tadanantaram /	tatra pUrvam-anani-Atma tucCa-Atma tad-anantaram /
   tṛtīyantu prasiddhatma nānyasāmyantyajetkaviḥ // //	tRtIyantu prasidDa-tma na-anya-sAmyantyajet-kaviH // //
   iti kārikā /	iti kArikA /
   ananyaḥ pūrvopanibandhakāvyādātmā svabhāvo yasya tadananyātma yena rūpeṇa	ananyaH pUrva-upanibanDa-kAvyAdAtmA svaBAvaH yasya tad-ananI-Atma yena rUpeNa
   bhāti tatprākkavispṛṣṭameva, yathā yena rūpeṇa pratibimbaṃ bhāti, tena	BAti tad-prAkka-vispRzwam-eva, yaTA yena rUpeNa pratibimbam BAti, tena
   rūpeṇa bimbamevaitat /	rUpeNa bimbam-eva-etat /
   svayantu tatkīdṛśamityatrāha--tātvikaśarīraśūnyamiti /	svayantu tat-kIdRSam-iti-atra-Aha--tAtvika-SarIra-SUnyam-iti /
   na hi tena kiñcidapūrvamutprekṣitaṃ pratibimbamapyevameva /	na hi tena kiQcid-apUrvam-utprekzitam pratibimbam-api-evam-eva /
   evaṃ prathamaṃ prakāraṃ vyākhyāya dvitīyaṃ vyācaṣṭe--tadanantarantviti /	evam praTamam prakAram vyAKyAya dvitIyam vyAcazwe--tad-anantarantu-iti /
   dvitīyamityarthaḥ /	dvitIyam-iti-arTaH /
   anyena sāmyaṃ yasya tattathā /	anyena sAmyam yasya tat-taTA /
   tucchātmeti /	tucCa-AtmA-iti /
   anukāre hyanukāryabuddhireva citrapustādāviva na tu sindūrādibuddhiḥ	anukAre hi-anukArya-budDiH-eva citrapusta-AdO=-iva na tu sindUra-Adi-budDiH
   sphurati, sāpi ca na cārugatvāyeti bhāvaḥ //13//	sPurati, sA-api ca na cAruga-tvAya-iti BAvaH //13//
   bālapriyā vṛttau 'kāvyārthasye'ti pūratam /	bAla-priyA vRttO akAvya-arTasye-ati pUratam /
   kāvyārthagatamanyasādṛśyaṃ vivṛṇoti--'yadanyene'tyādi /	kAvya-arTa-gatam-anya-sAdRSyam vivRNoti---ayat-anyene-atyAdi /
   pratibimbavadityāditraye ṣaṣṭyantādvatiḥ /	pratibimba-vat-iti-Adi-traye zazwi-antAt-vatiH /
   pratibimbe anyasādṛśyaṃ śarīriṇā bimbena	pratibimbe anya-sAdRSyam SarIriNA bimbena
   sādṛśyamevamālekhyākāratulyadehanośca śarīriṇā sādṛśyaṃ bodhyam /	sAdRSyam-evam-AleKya-AkAra-tulya-dehanoH-ca SarIriNA sAdRSyam boDyam /
   'kiñciddhī'tyādiphalitarathakathanam /	akiQcid-DI-atyAdi-Palita-raTa-kaTanam /
   tatra śarīriṇa ityetatpadasya vivaraṇaṃ locane--pūrvamevetyādi /	tatra SarIriNaH iti-etat-padasya vivaraNam locane---pUrvam-eva-ityAdi /
   nānyasāmyaṃ tyajetkavirityuktyā gamyasyārthasya vivaraṇaṃ vṛttau	na-anya-sAmyam tyajet-kaviH-iti-uktyA gamyasya-arTasya vivaraNam vRttO
   'parihartavyaṃ sumatine'ti /	aparihartavyam sumatine-ati /
   'tyaktavyam' iti ca // 12 // // //	atyaktavyam-a iti ca // 12 // // //
   tātvikaśarīraśūnyamityananyātmetyasya vivaraṇamityanyathā pratipattiḥ	tAtvika-SarIra-SUnyam-iti-ananyAtmA-iti-asya vivaraNam-iti-anyaTA pratipattiH
   syādityato locane vivṛṇota--ananya ityādi /	syAt-iti-atas locane vivRNota--ananyaH ityAdi /
   bhātīti /	BAti-iti /
   kāvyavastviti śeṣaḥ /	kAvya-vastu-iti SezaH /
   tasya pratibimbakalpatvaṃ darśayati--yathetyādi /	tasya pratibimba-kalpa-tvam darSayati--yaTA-ityAdi /
   ityatrāheti /	iti-atra-Aha-iti /
   tathāca tātviketyādikamananyātmetyasya vivaraṇaṃ neti bhāvaḥ /	taTA-ca tAtvika-iti-Adikam-ana-nyAtmA-iti-asya vivaraNam na-iti BAvaH /
   tātvikaśarīraśūnyatve hetumāha--na hītyādi /	tAtvika-SarIra-SUnya-tve hetumAha--na hi-ityAdi /
   teneti /	tena-iti /
   navīnakavinetyarthaḥ /	navIna-kavinA-iti-arTaH /
   apūrvamiti /	apUrvam-iti /
   kāvyavastviti śeṣaḥ /	kAvya-vastu-iti SezaH /
   tucchātmatvamupapādayati--anukāre hītyādi /	tucCa-Atma-tvam-upapAdayati--anukAre hi-ityAdi /
   sāpīti /	sA-api-iti /
   sā anukāryabuddhiḥ // 13//	sA anukArya-budDiH // 13//
   etadevopapādayitumucyate--	etat-eva-upapAdayitum-ucyate--
   ātmano 'nyasya sad-bhāve pūrva-sthity-anuyāyy api /	AtmanaH anyasya sat--BAve pUrva--sTiti--anuyAyi api /
   vastu bhātitarāṃ tanvyāḥ śaśi-cchāyam ivānanam // DhvK_4.14 //	vastu BAtitarAm tanvyAH SaSi-=-CAyam iva-Ananam // DhvK_4.14 //
   ātmano 'nyasya sadbhāve pūrvasthityanuyāyyapi /	AtmanaH anyasya sadBAve pUrva-sTiti-anuyAyi-api /
   vastu bhātitarāṃ tanvyāḥ śaśicchāyamivānanam // 14 // // //	vastu BAtitarAm tanvyAH SaSit-CAyam-iva-Ananam // 14 // // //
   tattvasya sārabhūtasyātmanaḥ saddhāve 'nyasya pūrvasthityanuyāyyapi vastu	tattvasya sAra-BUtasya-AtmanaH sadhAve anyasya pUrva-sTiti-anuyAyi-api vastu
   bhātitarām /	BAtitarAm /
   purāṇaramaṇīyacchāyānugṛhītaṃ hi vastu śarīravatparāṃ śobhāṃ puṣyati /	purANa-ramaNIya=-CAyA-anugRhItam hi vastu SarIra-vatparAm SoBAm puzyati /
   na tu punaruktatvenāvabhāsate /	na tu punarukta-tvena-avaBAsate /
   tanvyāḥ śaśicchāyamivānanam /	tanvyAH SaSit-CAyam-iva-Ananam /
   evaṃ tāvatsasaṃvādānāṃ samudāyarūpāṇāṃ vākyārthānāṃ vibhaktāḥ sīmānaḥ /	evam tAvat-sa-saMvAdAnAm samudAya-rUpANAm vAkya-arTAnAm viBaktAH sImAnaH /
   padārtharūpāṇāṃ ca vastvantarasadṛśānāṃ kāvyavastūnāṃ nāstyeva doṣa iti	padArTa-rUpANAm ca vastu-antara-sadRSAnAm kAvya-vastUnAm na-asti-eva dozaH iti
   pratipādayitumucyate--	pratipAdayitum-ucyate--
   akṣarādi-racaneva yojyate yatra vastu-racanā purātanī /	akzara-Adi--racanA-iva yojyate yatra vastu-racanA purAtanI /
   nūtane sphurati kāvya-vastuni vyaktam eva khalu sā na duṣyati // DhvK_4.15	nUtane sPurati kAvya--vastuni vyaktam eva Kalu sA na duzyati // DhvK_4.15
   akṣarādiracaneva yojyate yatra vasturacanā purātanī /	akzara-Adi-racanA-iva yojyate yatra vastu-racanA purAtanI /
   nūtane sphurati kāvyavastuni vyaktameva khalu sāna duṣyati // 15 // // //	nUtane sPurati kAvya-vastuni vyaktam-eva Kalu sAna duzyati // 15 // // //
   na hi vācyaspatināpyakṣarāṇi padāni vā kānicidapūrvāṇi ghaṭayituṃ locanam	na hi vAcyaspatinA-api-akzarANi padAni vA kAnicid-apUrvANi Gawayitum locanam
   etadeveti tṛtīyasya rūpasyātyājyatvam /	etat-eva-iti tRtIyasya rUpasya-ati-Ajya-tvam /
   ātmano 'nyasya sadbhāve pūrvasthityanuyāyyapi /	AtmanaH anyasya sadBAve pUrva-sTiti-anuyAyi-api /
   vastu bhātitarāntanvyāśśaśicchāyamivānanam // //	vastu BAtitarAn-tanvyASSa-SicCAyam-iva-Ananam // //
   iti kārikā khaṇḍīkṛtya vṛttau paṭhitā /	iti kArikA KaNxIkRtya vRttO paWitA /
   keṣucitpustakeṣu kārikā akhaṇḍīkṛtā eva dṛśyante /	kezucid-pustakezu kArikAH aKaNxIkRtAH eva dRSyante /
   ātmana ityasya śabdasya pūrvapaṭhitābhyāmeva tatvasya sārabhūtasyeti ca	AtmanaH iti-asya Sabdasya pUrva-paWitAByAm-eva tatvasya sAra-BUtasya-iti ca
   padābhyāmartho nirūpitaḥ // 14 //	padAByAm-arTaH nirUpitaH // 14 //
   sasaṃvādānāmiti pāṭhaḥ /	sa-saMvAdAnAm-iti pAWaH /
   saṃvādānāmiti tu pāṭhe vākyārtharūpāṇāṃ samudāyānāṃ ye saṃvādāḥ teṣāmiti	saMvAdAnAm-iti tu pAWe vAkya-arTa-rUpANAm samudAyAnAm ye saMvAdAH tezAm-iti
   vaiyadhikaraṇyena saṃgatiḥ /	vEyaDikaraNyena saMgatiH /
   vastuśabtadena eko vā dvau vā trayo bālapriyā	vastu-Sabta-dena ekaH vA dvO vA trayaH bAlapriyA
   etadevetyatratyaitatpadārthavivaraṇam--tṛtīyasyetyādi /	etat-eva-iti-atratya-etat-padArTa-vivaraNam--tRtIyasya-ityAdi /
   ātmana ityasyārtho nirūpita iti sambandhaḥ tattvasya sārabhūtasyeti	AtmanaH iti-asya-arTaH nirUpitaH iti sambanDaH tattvasya sAra-BUtasya-iti
   cātmapadārthavivaraṇamiti bhāvaḥ /	ca-Atma-padArTa-vivaraNam-iti BAvaH /
   vṛttau /	vRttO /
   'pūrvasthitī' tyādyuktasyaiva vivaraṇaṃ 'purāṇe'tyādi /	apUrva-sTitI-a tyAdi-uktasya-eva vivaraNam apurANe-atyAdi /
   'puṣyatī' tyantam /	apuzyatI-a tyantam /
   'purāṇe'ti /	apurANe-ati /
   purāṇī ramaṇīyā ca yā chāyā tayānugṛhītamityarthaḥ /	purANI ramaNIyA ca yA CAyA tayA-anugRhItam-iti-arTaH /
   'śarīravat' śarīreṇa tulyam //14 // // //	aSarIravat-a SarIreNa tulyam //14 // // //
   kārikāyāṃ vasturacanetyatra vastupadaṃ vivṛṇoti locane--vastuśabdenetyādi	kArikAyAm vastu-racana-iti-atra vastu-padam vivRNoti locane---vastu-Sabdena-ityAdi
   śakyante /	Sakyante /
   tāni tu tānyevopanibaddhāni na kāvyādiṣu navatāṃ virudhyanti /	tAni tu tAni-eva-upanibadDAni na kAvya-Adizu navatAm viruDyanti /
   tathaiva padārtharūpāṇi śleṣādimayānyarthatattvāni /	taTA-eva padArTa-rUpANi Sleza-Adi-mayAni-arTa-tattvAni /
   tasmāt-- yadapi tadapi ramyaṃ yatra lokasya kiñcit-sphuritamidamitīyaṃ	tasmAt-- yat-api tat-api ramyam yatra lokasya kiQcit--sPuritam-idamiti-iyam
   buddhirabhyujjihīte /	budDiH-aByujjihIte /
   sphuraṇeyaṃ kāciditi sahṛdayānāṃ camatkṛtirutpadyate /	sPuraNeyam kAcid-iti sahRdayAnAm camatkRtiH-utpadyate /
   anugatam api pūrva-cchāyayā vastu tādṛk	anugatam api pUrva-=-CAyayA vastu tAdRS-
   sukavir upanibadhnan nindyatāṃ nopayāti // DhvK_4.16 //	su-kaviH upanibaDnan nindya-tAm na-upayAti // DhvK_4.16 //
   anugatamapi pūrvacchāyayā vastu tādṛk /	anugatam-api pUrva=-CAyayA vastu tAdRS /
   sukavirupanibadhnannindyatāṃ nopayāti // 16 //	sukaviH-upanibaDnat-nindya-tAm na-upayAti // 16 //
   locanam vā caturādayo vā padānāmarthāḥ /	locanam vA catur-AdayaH vA padAnAm-arTAH /
   tāni tviti /	tAni tu-iti /
   akṣarāṇi ca padāni ca /	akzarANi ca padAni ca /
   tānyeveti /	tAni-eva-iti /
   tenaiva rūpeṇa yuktāni manāgapyanyarūpatāmanāgatānītyarthaḥ /	tena-eva rUpeNa yuktAni manAgapi-anya-rUpa-tAm-anAgatAni-iti-arTaH /
   evamakṣarādiracanaiveti dṛṣṭāntabhāgaṃ vyākhyāya dārṣṭāntike	evam-akzara-Adi-racana-eva-iti dRzwAnta-BAgam vyAKyAya dArzwa-antike
   yojayati--tathaveti /	yojayati--taTavA-iti /
   śleṣādimayānīti /	Sleza-Adi-mayAni-iti /
   śleṣādisvabhāvānītyarthaḥ /	Sleza-Adi-svaBAvAni-iti-arTaH /
   sadvṛttatejasviguṇadvijādayo hi śabdāḥ pūrvapūrvairapi kavisahasraiḥ	sat-vRtta-tejasvi-guNa-dvija-AdayaH hi SabdAH pUrva-pUrvEH-api kavi-sahasrEH
   śleṣacchāyayā nibadhyante, nibaddhāścandrādayaścopamānatvena /	Sleza=-CAyayA nibaDyante, nibadDAH-candra-AdayaH-ca-upamAna-tvena /
