   prastāvanā /	prastAvanA /
   tattvajñānaṃ padārthakharūpayāthātathyaparicchedaḥ, tadātmakaṃ	tattva-jQAnam padArTa-Ka-rUpa-yATA-taTya-paricCedaH, tad-Atmakam
   yattanmahadutkṛṣṭaṃ mahastejastadupameyam /	yat-tat-mahat-utkRzwam mahaH-tejaH-tad-upameyam /
   kyaṅkapratyayopāttaścācāraḥ sādhāraṇo dharmaḥ /	kyaFka-pratyaya-upAttaH-ca-AcAraH sADAraNaH DarmaH /
   kyaṅpratyayasāmarthyāvaseyatvāccātrevāderaprayogaḥ /	kyaFpratyaya-sAmarTya-avaseya-tvAt-ca-atreva-AdeH-aprayogaH /
   teneyamekalopena subdhātūpamopanibaddhā /	tena-iyam-eka-lopena subDAtu-upamopanibadDA /
   kvacit viṣaye kartrupamānikā sā saṃkṣepopamā kvipā nibadhyate /	kvacid vizaye kartR-upamAnikA sA saMkzepa-upamA kvipA nibaDyate /
   sa ca kvip "sarvaprātipadikebhyaḥ kvibvā vaktavyaḥ"ityanena vidhīyate /	sa ca kvip "sarva-prAtipadikeByaH kvibvA vaktavyaH"iti-anena viDIyate /
   taduktaṃ "sā kvipā kvacidi"ti /	tat-uktam "sA kvipA kvacid-i"ti /
   atrāpi tatheti, upamānādācāra iti, karturiti ca trayamanuṣajyate /	atra-api taTA-iti, upamAnAt-AcAraH iti, kartuH-iti ca trayam-anuzajyate /
   tasyā udāharaṇam----	tasyAH udAharaNam-----
   "kṛśānuvajjagadi'jagadupameyam, ācāraśca sādhāraṇo dharmaḥ	"kRSa-anu-vat-jagadi-ajagat-upameyam, AcAraH-ca sADAraNaH DarmaH
   kvipsāmarthyadavagamyate /	kvipsAmarTya-dava-gamyate /
   atra copamānopameyayoḥ śabdopāttatvādivādīnāmācārasya ca	atra ca-upamAna-upameyayoH Sabda-upAtta-tvAt-iva-AdInAm-AcArasya ca
   arthasāmārthyavaseyatvāttaddvitayalopaḥ /	arTa-sAma-arTyavaseya-tvAt-tad-dvitaya-lopaH /
   na khalvaśrūyamāṇasya kvipor'thābhidhāyitā vaktuṃ śakyā /	na Kalu-aSrUyamANasya kvipor-aTa-aBiDAyitA vaktum SakyA /
   evameṣā subdhātvavaseyā trividhā saṃkṣepopamā pratipāditā /	evam-ezA subDAtu-avaseyA triviDA saMkzepa-upamA pratipAditA /
   kyackyaṅkvipparatyayāvaseyatvāt /	kyackI-aFku-ipparatyaya-avaseya-tvAt /
   kyacpratyayasāmarthyāvaseyā tu dvividhā /	kyacpratyaya-sAmarTya-avaseyA tu dviviDAH /
   karmādhikaraṇopamānakatvāt /	karma-aDikaraNa-upamAnaka-tvAt /
   kyappratyayāvaseyā tvekaprakārā /	kyappratyaya-avaseyA tu-eka-prakArAH /
   kvippratyayāvaseyāpyekaprakāraiva bhavati /	kvippratyaya-avaseya-api-eka-prakArA-eva Bavati /
   tadevameṣā caturvidhā subdhātupratyayāvaseyā saṃkṣepopamoktā /	tat-evam-ezA caturviDA subDAtu-pratyaya-avaseyA saMkzepa-upama-uktAH /
   kṛtpratyayasāmarthyāvaseyā saṃkṣepopamā dvividhā, karmopamānikā	kRt-pratyaya-sAmarTya-avaseyA saMkzepa-upamA dviviDA, karma-upamAnikA
   kartrupamānikā ca /	kartrupamAnikA ca /
   taduktaṃ 'upamāne karmaṇi vā kartari vā yo ṇamulkaṣādigatastadvācyā se'ti	tat-uktam aupamAne karmaNi vA kartari vA yaH Nam-ulkaza-Adi-gataH-tad-vAcyA se-ati
   kaṣādigataḥ kaṣādyanuprayogaka ityarthaḥ /	kazAdi-gataH kaza-Adi-anuprayogakaH iti-arTaH /
   karmopamānikāyāstasyā udāharaṇam----	karma-upamAnikAyAH-tasyAH udAharaNam-----
   tasyetaramanodāhamadahatprajvalanmanaḥ /	tasya-itara-manaH-dAham-adahat-prajvalat-manaH /
   umāṃ prati tapaḥśaktyākṛṣṭabuddheḥ smarānalaḥ // UKss_1.*28 //	umAm prati tapaH-Sakti-AkRzwa-budDeH smara-analaH // UKsH-_1.*28 //
   atra itarasya prākṛtasya saṃbandhi mana upamānaṃ, bhagavanmana upameyaṃ,	atra itarasya prAkRtasya saMbanDi manaH upamAnan, Bagavat-manaH upameyaM,
   dahyamānatvaṃ sādhāraṇo dharmaḥ /	dahyamAna-tvam sADAraNaH DarmaH /
   tacca trayaṃ śabdaspṛṣṭam /	tat-ca trayam Sabda-spRzwam /
   upamānopameyabhāvastvatra ṇamulsāmarthyādivādīnāmaprayoge 'pi gamyate /	upamAna-upameya-BAvaH-tu-atra Nam-ulsAmarTya-Adi-va-AdI-nAm-aprayoge api gamyate /
   teneyamekalope saṃkṣepopamā karmopamānikā kṛtpratyayāvaseyā /	tena-iyam-eka-lope saMkzepa-upamA karma-upamAnikA kRt-pratyayAvaseyAH /
   kartrupamānikāyāstu tasyā udāharaṇam----	kartR-upamAnikAyAH-tu tasyAH udAharaNam-----
   sa dagdhavigraheṇāpi vīryamātrasthitātmanā /	sa dagDa-vigraheNa-api vIrya-mAtra-sTita-AtmanA /
   spṛṣṭaḥ kāmena sāmānyaprāṇicintamacintayat // UKss_1.*29 //	spRzwaH kAmena sAmAnya-prANi-cintam-acintayat // UKsH-_1.*29 //
   vigrahaḥ śarīram /	vigrahaH SarIram /
   atra sāmānyabhūtaḥ prāṇī guṇātiśayaśūnya upaprānaṃ, tacchabdanirdiṣṭaśca	atra sAmAnya-BUtaH prANI guNa-atiSaya-SUnyaH upaprAnaM, tad-Sabda-nirdizwaH-ca
   bhagavānupameyaḥ, cintayitṛtvaṃ sādhāraṇo dharmo, ṇamulsāmarthyācca	BagavAn-upameyaH, cintayitR-tvam sADAraNaH Darmo, Nam-ulsA-marTyAt-ca
   ivāderaprayoge 'pyupamānopameyabhāvāvasāyaḥ /	iva-Adera-prayoge api-upamAna-upameya-BAva-avasAyaH /
   teneyamekalope sati kartrupamānikā saṃkṣepopamā kṛtpratyayāvaseyā /	tena-iyam-eka-lope sati kartR-upamAnikA saMkzepa-upamA kRt-pratyayAvaseyAH /
   evameṣā kṛtpratyayāvaseyā saṃkṣepopamā dvividhā pratipādatā /	evam-ezA kRt-pratyaya-avaseyA saMkzepa-upamA dviviDA pratipAdatA /
   yā tu taddhitasāmarthyāvaseyā vatiśabdādavagamyate, sā	yA tu tad-hita-sAmarTyA-avaseyAH vati-SabdAt-avagamyate, sA
   saṃpūrṇatvātpūrvamuktā /	saMpUrNa-tvAt-pUrva-m-uktAH /
   anyā tvasaṃpūrṇā kalpabādeḥ taddhitsya prayogādavasīyate /	anyA tu-asaMpUrNA kalpabAdeH tat-hitsya prayogAt-avasIyate /
   taduktaṃ 'kalpapprabhṛtibhiranyaiśca taddhitaiḥ sā nibadhyate kavibhiḥ'iti	tat-uktam akalpappraBRtiBiH-anyEH-ca tad-hitEH sA nibaDyate kaviBiH-aiti
   prabhṛtiśabdenātra 'ive pratikṛtau'ityādivihitānāṃ kanādīnāṃ parigrahaḥ /	praBRti-Sabdena-atra aive pratikRtO-aitya-Adi-vihitAnAm kanA-AdInAm parigrahaH /
   tasyā udāharaṇam-----	tasyAH udAharaNam------
   caṇḍālakalpe kandarpapluṣṭā mayi tirohite /	caNxAla-kalpe kandarpa-pluzwAH mayi tirohite /
   saṃjātātulanairāśyā kiṃ sā śokānmṛtā bhavet // UKss_1.*30 //	saMjAta-atula-nEH-ASyA kim sA SokAt-mRtA Bavet // UKsH-_1.*30 //
   atra caṇḍāla upamānaṃ, mayītyasmadartha upameyaḥ, kalpappratyayena ca	atra caNxAle upamAnan, mayi-iti-asmad-arTaH upameyaH, kalpappratyayena ca
   sādṛśyamupāttm /	sAdRSyam-upAttm /
   prakṛtyarthasadṛśer'the bhagavatkātyāyanadṛśā kalpabādīnāṃ vidhānāt	prakRti-arTa-sadRSer-aTe Bagavat-kAtyAyana-dRSA kalpa-bAdInAm viDAnAt-
   krauryādistu dharmaḥ svaśabdānupātto 'pi sāmarthyādatrāvasīyate /	krOryAdiH-tu DarmaH sva-Sabda-anupAttaH api sAmarTyAt-atra-avasIyate /
   teneyamekalope sati taddhitāvagamyā saṃkṣepopamā /	tena-iyam-eka-lope sati tad-hitO=-agamyA saMkzepa-upamA /
   evamaśvaka ityatrāpi draṣṭavyam /	evam-aSvakaH iti-atra-api drazwavyam /
   ivārthopalakṣite sadṛśe kano vidhānāt /	iva-arTa-upalakzite sadRSe kanaH viDAnAt /
   āyaḥśūlika ityādau tu tritayalopena taddhitasāmarthādupamāvasāyaḥ /	AyaHSUlikaH ityAdO tu tritaya-lopena tad-hita-sAmarTAt-upamAvasAyaH /
   tathāhi, atrāyaḥśūlenānvicchatīti vigṛhya "ayaḥśūladaṇḍājinābhyā"miti	taTA-hi, atra-ayaH-SUlena-anvicCati-iti vigRhya "ayaH-SUla-daNxa-ajina-aByA"m-iti
   ṭhagvadhīyate /	WagvaDIyate /
   atra cāyaḥśūlamupamānaṃ, arthānveṣaṇopāyaḥ kaścidupameyaḥ tīkṣṇatvādiḥ	atra ca-ayaH-SUlam-upamAnan, arTa-anvezaNa-upAyaH kaScid-upameyaH tIkzNa-tva-AdiH
   sādhāraṇo dharmaḥ upamānopameyabhāvaśceti catuṣṭayamavagamyate /	sADAraNaH DarmaH upamAna-upameya-BAvaH-ca-iti catuzwayam-avagamyate /
   tanmadhyātsvaśabdaspuṣṭamupamānamayaḥśūleneti /	tad-maDyAt-sva-Sabda-spuzwam-upamAnam-ayaH-SUlena-iti /
   śiṣṭaśabdasya tu tritayasyātrārthasāmarthyādavagatiḥ /	Sizwa-Sabdasya tu tritayasya-atra-arTa-sAmarTyAt-avagatiH /
   nanu cātropamānenāyaḥśūlenārthānveṣaṇopāyasyopameyasya	nanu ca-atra-upamAnena-ayaH-SUlena-arTa-anvezaNa-upAyasya-upameyasya
   tadbhāvādhyavasānenāpāditābhedasya pratīyamānatvādatiśayoktiriyaṃ na	tad-BAva-aDyavasAnena-ApAditA-Bedasya pratIyamAna-tvAt-atiSaya-uktiH-iyam na
   tūpamā /	tu-upamA /
   tatkathametadupamānodāharaṇam /	tat-kaTam-etat-upamAna-udAharaNam /
   ucyate /	ucyate /
   yathā 'śaśicchāyavadanām'ityatra satyapi śaśicchāyāpracchāditarūpatve	yaTA aSaSi=-CAya-vadanAm-aiti-atra sati-api SaSi=-CAyA-pracCAdita-rUpa-tve
   vadanacchāyāyāḥ kathañcidbhedapratipattipuraḥ--	vadana=-CAyAyAH kaTaQcid-Beda-pratipatti-puras---
   sarīkāreṇopamābhedatvamupanyastaṃ tathātrāpi bhaviṣyatītyadoṣaḥ /	sarIkAreNa-upama-aBeda-tvam-upanyastam taTA-atra-api Bavizyati-iti-adozaH /
   tenāyaḥ--śūlika ityatra tritayalope sati taddhitāvaseyā saṃkṣepopamā	tena-ayaH--SUlikaH iti-atra tritaya-lope sati tat-hita-avaseyA saMkzepa-upamA
   bhavati ev śvā mumūrṣati kūlaṃ pipatipatītyādāvapi yadi	Bavati ev SvA mumUrzati kUlam pipatipati-iti-AdO=-api yadi
   maraṇapatanādyānuguṇyasya upameyabhūtasya tadbhāvādhyavasānātsanvācyayā	maraNa-patana-Adya-anuguNyasya upameya-BUtasya tad-BAva-aDyavasAnAt-sanvAcyayA
   icchayopamānabhūtayā samāpāditābhedasya pratīyamānasya	icCayA-upamAna-BUtayA samApAdita-aBedasya pratIyamAnasya
   bhedāvagatinibandhanaṃ kiñcidvidyate tadopamābhedatvaṃ vācyam /	Beda-avagati-nibanDanam kiQcid-vidyate tadA-upama-aBeda-tvam vAcyam /
   anyathā tvatiśayoktibhedatāsyāvaseyā /	anyaTA tu-atiSaya-ukti-Beda-tA-asyAvaseyAH /
   yadāha sanvidhau bhagavānkātyāyanaḥ--"āśaṅkāyāmacetaneṣūpasaṃkhyānam""na	yat-Aha sanviDO BagavAn-kAtyAyanaH--"ASaFkAyAm-acetanezu-upasaMKyAnam""na
   vā tulyakāraṇātvādicchāyā hi pravṛttita upalabdhiri"ti, "upamānādvā	vA tulya-kAraNA-tvAt-icCAyA hi pravRttitaH upalabDiH-i"ti, "upamAnAt-vA
   siddhamiti" ca /	sidDam-iti" ca /
   atra hi 'na vā tulyakāraṇatvādi'tyādinā tadbhāvadhyavasānaṃ sūcitam /	atra hi ana vA tulya-kAraNa-tva-Adi-atyAdinA tad-BAvaDyavasAnam sUcitam /
   'upamānādvā siddhami'ti tūpamānopameyabhāvaḥ pratipāditaḥ /	aupamAnAt-vA sidDam-i-ati tu-upamAna-upameya-BAvaH pratipAditaH /
   iyaṃ ca ghātoḥ sano vidhānāttadantasya ca dhātutvātsubdhātūpamāvat	iyam ca GAtoH sanaH viDAnAt-tad-antasya ca DAtu-tvAt-subDAtu-upamAvat
   dhātudhātūpamāvaseyā /	DAtu-DAtu-upamAvaseyAH /
   evaṃ vartamānasāmīpyādāvapyupamābhedatvamatiśayoktibhedatvaṃ vā	evam vartamAna-sAm-Ipya-AdO=-api-upamA-Beda-tvam-atiSaya-ukti-Beda-tvam vA
   yathāpratīti yojyam /	yaTAprati-iti yojyam /
   cūrṇikārasya tvevamādau tadbhāvādhyavasānasamāśrayema	cUrNikArasya tu-evamAdO tad-BAva-aDyavasAna-samASrayema
   nātiśayoktibhedatvameveṣṭam /	na-atiSaya-ukti-Beda-tvam-eva-izwam /
   yadāha"na tiṅantenopamānamastī"ti /	yadA-aha"na tiFantena-upamAnam-asti-i"ti /
   ata eva daṇḍinā "limpatīva tamo 'ṅgāni varṣatīvāñjanaṃ nabhaḥ /	atas eva daNxinA "limpati-iva tamaH aFgAni varzati-iva-aQjanam naBaH /
   asatpuruṣaseveva dṛṣṭirniṣphalatāṃ	asat-puruza-sevA-iva dRzwiH-nizPala-tAm
   gatā"ityādergarbhīkṛtātiśayotprekṣābedatvameva mahatā prapañcenābhyadhāyi	gatA"-iti-AdeH-garBIkRta-atiSaya-utprekzA-beda-tvam-eva mahatA prapaQcena-aByaDAyi
   tena kadā devadatta grāmaṃ gamiṣyasi, eṣa gacchāmītyādāvapi	tena kadA devadatta grAmam gamizyasi, eza gacCAmi-ityAdO=-api
   vartamānasāmīpye vartamānarūpatayā	vartamAna-sAmIpye vartamAna-rUpa-tayA
   bhaviṣyatkālasyādhyavasānādatiśayoktibhedatvameva vācyam /	Bavizyat-kAlasya-aDyavasAnAt-atiSaya-ukti-Beda-tvam-eva vAcyam /
   evamanyatrāpyūhyam /	evam-anyatra-api-Uhyam /
   evameṣā vākyasamāsasubdhātukṛttaddhitāvaseyā saṃkṣepo pamā pañcavidhā	evam-ezA vAkya-samAsa-subDa-atu-kRt-tat-hita-avaseyA saMkzepaH pamA paQcaviDA
   pratipāditā /	pratipAditA /
   saṃpūrṇā tu vākyāsamāsataddhitabhedena trividhā pūrvamuktā /	saMpUrNA tu vAkya-asamAsa-tad-hita-Bedena triviDA pUrvam-uktAH /
   āsāmeva cāvāntarabhedā anye nirdiṣṭāḥ /	AsAm-eva ca-avAntara-BedAH anye nirdizwAH /
   tathāhi, saṃpūrṇayorvākyataddhitopamayoḥ śrautatvārthatvabhedena pratyekaṃ	taTA-hi, saMpUrNayoH-vAkya-tat-hita-upamayoH SrOta-tva-arTa-tva-Bedena pratyekam
   dvaividhyamuktam /	dvEviDyam-uktam /
   saṃkṣepopamāyāśca samāsopamāyā ekadvayatrayalopena caturbidhatvam /	saMkzepa-upamAyAH-ca samAsa-upamAyAH eka-dvaya-traya-lopena caturbiDa-tvam /
   ekalopasya hi tatra dvaividhyamuktam, ivādeḥ sādhāraṇadharmavācinaśca	eka-lopasya hi tatra dvEviDyam-uktam, iva-AdeH sADAraNa-Darma-vAcinaH-ca
   lopat sabdhātūpamāyāścaturvidhatvam, kyackyaṅkvippratyāyāvaseyatvāt /	lopat sabDAtu-upamAyAH-caturviDa-tvam, kyackyaFkvip-pratyAya-avaseya-tvAt /
   kyacpratyāyāvaseyā hi karmādhakaraṇopamānakatvena dvividhoktā /	kyat-pratyAyAvaseyAH hi karma-aDakaraNa-upamAnaka-tvena dviviDa-uktA /
   kṛtpratyāyāvaseyāyāśca kartṛkarmopamānakatvena dvividhatvam /	kRt-pratyAya-avaseyAyAH-ca kartR-karma-upamAnaka-tvena dviviDa-tvam /
   tadevameṣā saptadaśavidhā granthakṛtā upamā pratipāditā /	tat-evam-ezA saptadaSaviDA granTa-kRtA upamA pratipAditA /
   tadāhuḥ---	tat-AhuH---
   kṛttadvitasamāsebhyaḥ subdhātoratha vākyataḥ /	kRtta-dvita-samAseByaH subDAtoH-aTa vAkyataH /
   pūrṇā luptaikadeśā ca gamyate dvividhopamā //	pUrNA lupta-eka-deSA ca gamyate dviviDa-upamA //
   ekadvayatrayāṇāṃ ca lopātsyāllopinī trīdhā /	eka-dvaya-trayANAm ca lopAt-syAt-lopinI trIDA /
   pūrvau bhedau dvidhā cātra tṛtīyastvekarūpakaḥ //	pUrvO BedO dviDA ca-atra tRtIyaH-tu-eka-rUpakaH //
   iti	iti
   pūrvau bhedau dvidhā cātreti sādhāraṇadharmavācilopāccaikalopasya	pUrvO BedO dviDA ca-atra-iti sADAraNa-Darma-vAci-lopAt-ca-eka-lopasya
   dvaividhyam /	dvEviDyam /
   dvitayalopo 'pi sādhāraṇadharmavācīvādiviyogāttathā	dvitaya-lopaH api sADAraNa-Darma-vAcIva-Adi-viyogAt-taTA
   upameyavācīvādiviyogāddvividhaḥ /	upameya-vAcIva-Adi-viyogAt-dviviDaH /
   eṣā copamā vicitrabhedatve satyapi yatraiva cetohāritvamasti	ezA ca-upamA vicitra-Beda-tve sati-api yatra-eva cetaH-hAri-tvam-asti
   tatraivālaṅkāratāṃ pratipadyate na sarvatretyuktam //	tatra-eva-alaFkAra-tAm pratipadyate na sarvatra-iti-uktam //
   prativastūpamā---	prativastu-upamA---
   upamānasaṃnidhāne sāmyavācyucyate budhairyatra /	upamAna-saMniDAne sAmya-vAcI-ucyate buDEH-yatra /
   upameyasya ca kavibhiḥ sā prativastūpamā gaditā // UKss_1.22 //	upameyasya ca kaviBiH sA prativastu-upamA gaditA // UKsH-_1.22 //
   yatropamānopameyayoḥ saṃnidhāne sāmyavācinaḥ padasyāsakṛdupādānaṃ kriyate	yatra-upamAna-upameyayoH saMniDAne sAmya-vAcinaH padasya-asakRt-upAdAnam kriyate
   sā parativastūpamā /	sA parativastu-upamA /
   nanu yadi sāmyavācinaḥ padasya tatrāsakṛdupādānaṃ kriyate tato	nanu yadi sAmya-vAcinaH padasya tatra-asakRt-upAdAnam kriyate tatas-
   'nekavākyatvamāpatati /	aneka-vAkya-tvam-Apatati /
   na cānekasmin vākye ivādīni prayujyante, ekavākyaniṣṭhatayā	na ca-anekasmin vAkye iva-AdIni prayujyante, eka-vAkya-nizWatayA
   teṣāmabhidhāsāmarthyāvasitatvāt /	tezAm-aBiDAsAmarTyA-vasita-tvAt /
   ataścevādīnāmaprayoge kathaṃ tatropamānopameyabhāvāvasāya ityāsaṅkyāha----	atas-ca-iva-AdInAm-aprayoge kaTam tatra-upamAna-upameya-BAva-avasAyaH iti-AsaFkya-aha----
   prākaraṇiketaratvasthityaikaścopameyatāṃ labhate /	prAkaraNika-itara-tva-sTityA-ekaH-ca-upameya-tAm laBate /
   upamānatvaṃ cāpara ityupamāvāciśūnyatvam // UKss_1.23 //	upamAna-tvam ca-aparaH iti-upamA-vAci-SUnya-tvam // UKsH-_1.23 //
   nānāvākyatvādivādīnāmaprayoge 'pi	nAnA-vAkya-tva-Adiva-AdInAm-aprayoge api
   prākaraṇikatvāprākaraṇikatvaparyālocanayā	prAkaraNika-tva-aprAkaraNika-tva-paryAlocanayA
   arthasāmarthyādatropamānopameyabhāvo 'vasīyata ityarthaḥ /	arTa-sAmarTyAt-atra-upamAna-upameya-BAvaH avasIyate iti-arTaH /
   tadāhuḥ----	tat-AhuH----
   ivāderapratītāpi śabdasaṃskārataḥ kvacit /	iva-Adera-pratItA-api Sabda-saMskArataH kvacid /
   upamā lakṣyate 'nyatra kevalārthanibandhanā //	upamA lakzyate anyatra kevala-arTa-nibanDanAH //
   iti	iti
   iha prakāratrayeṇa upamāyāḥ pratipattiḥ /	iha prakAra-trayeNa upamAyAH pratipattiH /
   kvacidavādiśabdasāmarthyādupamā vācyabhūtā pratīyate, yathā candra iva	kvacid-avAdi-Sabda-sAmarTyAt-upamA vAcya-BUtA pratIyate, yaTA candraH iva
   mukhamasyā ityādau /	muKam-asyAH ityAdO /
   kvacittu tattadviśiṣṭasaṃskārasahāyācchabdātsvārthābhidhānamukhena	kvacid-tu tad-tad-viSizwa-saMskAra-sahAyAt-SabdAt-svArTa-aBiDAna-muKena
   lakṣyamāṇāyāstasyāḥ pratipattiḥ, yathā śastrīśyāmeti /	lakzyamANAyAH-tasyAH pratipattiH, yaTA SastrI-SyAma-iti /
   atra hi	atra hi
   samāsanibandhanaikapadyādisaṃskārasahitābhyāṃ śastrīśyāmāśabdābhyāṃ	samAsa-nibanDana-eka-padya-Adi-saMskAra-sahitAByAm SastrI-SyAmA-SabdAByAm
   svārthābhidhānavyavadhānena lakṣyamāṇopamā gamyate /	sva-arTa-aBiDAna-vyavaDAnena lakzyamANa-upamA gamyate /
   kvacittūpamānopameyanibandhanaśabdasaṃskārābhāve 'pi	kvacid-tu-upamAna-upameya-nibanDana-Sabda-saMskAra-aBAve api
   kevalādevārthasāmarthyāttasyāḥ pratipattiḥ, yathā	kevalAt-eva-arTa-sAmarTyAt-tasyAH pratipattiH, yaTA
   rūpakadīpakaprativastūpamādiṣvityarthaḥ /	rUpakadIpaka-prativastu-upama-Adizu-iti-arTaH /
   ataścāsyāṃ prativastūpamāyāṃ	atas-ca-asyAm prativastu-upamAyAm
   kevalenaivārthasāmarthyenopamānopameyatvamavagamyate ityadoṣaḥ /	kevalena-eva-arTa-sAmarTyena-upamAna-upameya-tvam-avagamyate iti-adozaH /
   tasyā udāharaṇam----	tasyAH udAharaNam-----
   viralāstādṛśo loke śīlasaundaryasaṃpadaḥ /	viralAH-tAdRSaH loke SIla-sOndarya-saMpadaH /
   niśāḥ kiyatyo varṣe 'pi yākhindiḥ pūrṇamaṇḍalaḥ // UKss_1.*31 //	niSAH kiyatyaH varze api yAKindiH pUrNa-maNxalaH // UKsH-_1.*31 //
   viralāḥ svalpāḥ /	viralAH su-alpAH /
   tādṛśaḥ pārvatīvarttinyo yāḥ śīlasaundaryasaṃpadaḥ tatsadṛsyaḥ /	tAdRSaH pArvatIvarttinyaH yAH SIla-sOndarya-saMpadaH tad-sadRsyaH /
   śīlaṃ susvabhāvatā /	SIlam su-svaBAva-tA /
   saundaryaṃ lāvaṇyam /	sOndaryam lAvaNyam /
   atra saṃvatsaramadhyavartinyo 'khaṇḍaśaśibimbā rātrayo dvādaśa upamānam /	atra saMvatsara-maDya-vartinyaH aKaNxa-SaSi-bimbA rAtrayaH dvAdaSa upamAnam /
   śīlasaundaryayoḥ saṃbhārāḥ sakalalokotkṛṣṭāḥ katipayajanajuṣa upameyāḥ /	SIla-sOndaryayoH saMBArAH sakala-loka-utkRzwAH katipaya-jana-juzaH upameyAH /
   sādhāraṇaśca dharmo viralatvam /	sADAraNaH-ca DarmaH virala-tvam /
   taccopamānasaṃnidhāne kiyatya ityupāttam /	tat-ca-upamAna-saMniDAne kiyatyaH iti-upAttam /
   upameyasaṃnidhāne tu viralā iti /	upameya-saMniDAne tu viralAH iti /
   ivādyanupādāne 'pi ca	iva-Adi-anupAdAne api ca
   prākaraṇikatvāprākaraṇikatvaparyālocanayātropamānopameyabhāvāvasāyaḥ /	prAkaraNika-tva-aprAkaraNika-tva-paryAlocana-yAtrA-upamAna-upameya-BAva-avasAyaH /
   teneyaṃ vastuni vastuni sādhāraṇopanibandhātprativastūpamā //	tena-iyam vastuni vastuni sADAraNa-upanibanDAt-prativastu-upamA //
   iti	iti
   mahāśrīpratīhārendurājaviracitāyāmudbhaṭālaṅkārasārasaṃgrahalaghuvṛttau	mahA-SrI-pratIhAra-indu-rAja-viracitAyAm-udBawa-alaFkAra-sAra-saMgraha-laGu-vRttO
   prathamo vargaḥ //	praTamaH vargaH //
   atha dvitīyo vargaḥ /	aTa dvitIyaH vargaH /
   ākṣepor'thāntaranyāso vyatireko vibhāvanā /	AkzepoH-aTa-antaranyAsaH vyatirekaH viBAvanA /
   samāsātiśayoktī cetyalaṅkārānpare viduḥ // UKss_2.1 //	samAsa-atiSaya-uktI ca-iti-alaFkArAn-pare viduH // UKsH-_2.1 //
   'samāsātiśayoktī ce'tyatra samāsātiśayayaśabdayoruktiśabdaḥ	asamAsa-atiSaya-uktI ce-ati-atra sa-mAsa-ati-Sayaya-SabdayoH-ukti-SabdaH
   pratyekamabhisaṃbadhyate /	pratyekam-aBisaMbaDyate /
   ākṣepaḥ /	AkzepaH /
   pratiṣedha iveṣṭasya yo viśeṣābhidhitsayā /	pratizeDaH iva-izwasya yaH viSeza-aBiDitsayA /
   ākṣepa iti taṃ santaḥ śaṃsanti kavayaḥ sadā // UKss_2.2 //	AkzepaH iti tam santaH SaMsanti kavayaH sadA // UKsH-_2.2 //
   iha kācidvakrabhaṇitistathāvidhā saṃbhavati yasyāṃ vidhitsitor'tho	iha kAcid-vakra-BaNitiH-taTAviDA saMBavati yasyAm viDitsitoH-aTo
   niṣedhavyājena saṃskriyate, na tu niṣidhyate /	nizeDa-vyAjena saMskriyate, na tu niziDyate /
   tatra vidhitsitasyārthasya yaḥ pratiṣedhaḥ kriyate sa pratiṣedha iva	tatra viDitsitasya-arTasya yaH pratizeDaH kriyate sa pratizeDaH iva
   bhavati, na tu pratiṣedha eva /	Bavati, na tu pratizeDaH eva /
   avāntaravākyārthatvena tatra vākyasyāparyavasānāt /	avAntara-vAkya-arTa-tvena tatra vAkyasya-aparyavasAnAt /
   avāntaravākyārthatā ca tatra niṣedhasya vidhitsitārthavirodhādbhavati /	avAntara-vAkya-arTa-tA ca tatra nizeDasya viDitsita-arTa-viroDAt-Bavati /
   tatra hi vidhitsitor'thaḥ pūrvopakrāntatvena sthemnāvatiṣṭhamānaḥ	tatra hi viDitsitor-aTaH pUrva-upakrAnta-tvena sTemnA-avatizWamAnaH
   svavirūddhatvena niṣedhaṃ	sva-virUdDa-tvena nizeDam
   niṣedhatātparyātpracyāvyasvagataviseṣābhidhānāyāvāntaravākyārthīkaroti /	nizeDa-tAtparyAt-pracyAvya-sva-gata-viseza-aBiDAna-AyAvAntara-vAkya-arTIkaroti /
   ato 'nantaroktena prakāreṇeṣṭasyārthasya viśeṣamabhidhātuṃ yatra niṣedha	atas anantara-uktena prakAreNa-izwasya-arTasya viSezam-aBiDAtum yatra nizeDa
   iva na tu niṣedha eva, asāviṣṭārthanirākaraṇasya leśena	iva na tu nizeDaH eva, asO=-izwa-arTa-nirAkaraNasya leSena
   saṃbhavadākṣepasaṃjñako 'laṅkāraḥ satkavibhirabhidhīyate /	saMBavat-Akzepa-saMjQakaH alaFkAraH sat-kaviBiH-aBiDIyate /
   santaḥ kavaya iti saṃbandhaḥ /	santaH kavayaH iti saMbanDaH /
   tasya bhedadvitayopadarśanāyāha---	tasya Beda-dvitaya-upadarSanAya-aha---
   vakṣyamāṇoktaviṣayaḥ sa ca dvividha iṣyate /	vakzyamANa-ukta-vizayaH sa ca dviviDaH izyate /
   vakṣyamāṇamuktaṃ ceṣṭamāśritya niṣedhābhidhānādākṣepo dvividha ityarthaḥ /	vakzyamANam-uktam ca-izwam-ASritya nizeDa-aBiDAnAt-AkzepaH dviviDaH iti-arTaH /
   nanu 'pratiṣedha iveṣṭasya'ityākṣepalakṣaṇamuktam /	nanu apratizeDaH iva-izwasya-aityAkzepa-lakzaNam-uktam /
   iṣṭatvaṃ cecchākarmatā /	izwa-tvam ca-icCA-karma-tA /
