   akrodhādyāś ca niyamāḥ SUp_7.101c	akroDa-AdyAH ca niyamAH SUp_7.101c
   dakṣiṇe kṣīratumbīṃ tu SUp_6.78c	dakziNe kzIratumbIm tu SUp_6.78c
   dakṣiṇe guḍaśuṇṭhīṃ ca SUp_6.74a	dakziNe guxa-SuNWIm ca SUp_6.74a
   dakṣiṇottarakuḍyayoḥ SUp_4.6d	dakziNa-uttara-kuxyayoH SUp_4.6d
   dakṣiṇottaradigbhāge SUp_3.3c	dakziNa-uttara-digBAge SUp_3.3c
   dattasya phalam āpnuyāt SUp_6.202d	dattasya Palam ApnuyAt SUp_6.202d
   dattvā koṭyāsanaṃ vṛttaṃ SUp_6.212c	dattvA kowI-Asanam vRttam SUp_6.212c
   dattvāñjanaśalākāṃ vā SUp_6.234a	dattvA-aQjana-SalAkAm vA SUp_6.234a
   dattvāpnoti śivaṃ puram SUp_6.58b	dattvA-Apnoti Sivam puram SUp_6.58b
   dattvā yajñaphalaṃ labhet SUp_6.283b	dattvA yajQa-Palam laBet SUp_6.283b
   dattvā yajñaphalaṃ vidyāt SUp_6.284e	dattvA yajQa-Palam vidyAt SUp_6.284e
   dattvā labhen mahābhogān SUp_6.87a	dattvA laBet mahA-BogAn SUp_6.87a
   dattvā śivapure bhogān SUp_6.273a	dattvA Siva-pure BogAn SUp_6.273a
   dattvā śivāgrajas tebhyaḥ SUp_6.57a	dattvA Siva-agrajaH teByaH SUp_6.57a
   dattvā śivāya gurave SUp_6.46a	dattvA SivAya gurave SUp_6.46a
   dattvopakaraṇaṃ kiṃcid SUp_6.254c	dattvA-upakaraNam kiMcid SUp_6.254c
   dadyāc chivagṛhasthebhyas SUp_6.210c	dadyAt Siva-gRhasTeByaH SUp_6.210c
   dadyāt tacchedanaṃ ca yaḥ SUp_6.240b	dadyAt tad-Cedanam ca yaH SUp_6.240b
   dadyāt pūrṇāhutitrayam SUp_2.24b	dadyAt pUrNAhuti-trayam SUp_2.24b
   dadyād ādhārapātrāṇi SUp_6.60a	dadyAt ADAra-pAtrANi SUp_6.60a
   dadyād ādhārabhājanam SUp_6.253d	dadyAt ADAra-BAjanam SUp_6.253d
   dadyād uttamadakṣiṇām SUp_2.27b	dadyAt uttama-dakziNAm SUp_2.27b
   dadyād gandhapavitrakam SUp_7.9b	dadyAt ganDa-pavitrakam SUp_7.9b
   dadyād gotrakalatrāṇāṃ SUp_6.173a	dadyAt gotra-kalatrANAm SUp_6.173a
   dadyād yaj jīrakaṃ pūrvam SUp_6.73c	dadyAt yat jIrakam pUrvam SUp_6.73c
   dadyād yat kiṃcid ādarāt SUp_6.284d	dadyAt yat kiMcid AdarAt SUp_6.284d
   dadyād yaḥ kevalaṃ vajraṃ SUp_6.97a	dadyAt yaH kevalam vajram SUp_6.97a
   dadyād yaḥ pustakādīnāṃ SUp_6.239a	dadyAt yaH pustaka-AdInAm SUp_6.239a
   dadyād yaḥ śivabhaktāya SUp_6.236a	dadyAt yaH Siva-BaktAya SUp_6.236a
   dadyād yaḥ śivayogine SUp_6.258d	dadyAt yaH Siva-yogine SUp_6.258d
   dadyād yaḥ śivayogine SUp_6.267b	dadyAt yaH Siva-yogine SUp_6.267b
   dadyād yaḥ śivayogibhyaḥ SUp_6.238a	dadyAt yaH Siva-yogiByaH SUp_6.238a
   dadyād yaḥ śivasattrārthaṃ SUp_6.199a	dadyAt yaH Siva-sattra-arTam SUp_6.199a
   dadyād yaḥ sarvajantūnām SUp_6.228a	dadyAt yaH sarva-jantUnAm SUp_6.228a
   dadyād yaḥ supayasvinīm SUp_6.200b	dadyAt yaH su-payasvinIm SUp_6.200b
   dadyād vikasitaṃ navam SUp_6.8b	dadyAt vikasitam navam SUp_6.8b
   dadyān madhyamadakṣiṇām SUp_2.27d	dadyAt maDyama-dakziNAm SUp_2.27d
   dadyāl lavaṇaparvatam SUp_6.62d	dadyAt lavaNaparvatam SUp_6.62d
   dadhikṣīraghṛtādibhiḥ SUp_4.38b	daDi-kzIra-GRta-AdiBiH SUp_4.38b
   dadhikṣīraghṛtāmbhasām SUp_6.59d	daDi-kzIra-GRta-amBasAm SUp_6.59d
   dadhi mūlaphalāni vā SUp_4.61b	daDi mUla-PalAni vA SUp_4.61b
   darpaṇaiś ca samujjvalam SUp_6.137d	darpaNEH ca samujjvalam SUp_6.137d
   darbhārthaṃ haritais tṛṇaiḥ SUp_4.61d	darBa-arTam haritEH tRNEH SUp_4.61d
   darśanīyāni pakvāni hy SUp_6.21a	darSanIyAni pakvAni hi SUp_6.21a
   darśayec chivabhaktebhyaḥ SUp_7.78c	darSayet Siva-BakteByaH SUp_7.78c
   daśakalpān mahābhogair SUp_6.270a	daSa-kalpAn mahA-BogEH SUp_6.270a
   daśadhenupradānasya SUp_6.220c	daSa-Denu-pradAnasya SUp_6.220c
   daśabhir daśabhiḥ kulaiḥ SUp_6.127b	daSaBiH daSaBiH kulEH SUp_6.127b
   daśalākṣaṇiko dharmaḥ SUp_7.102a	daSalAkzaNikaH DarmaH SUp_7.102a
   daśavarṣasahasrāṇi SUp_6.17c	daSa-varza-sahasrANi SUp_6.17c
   daśavarṣasahasrāṇi SUp_6.20a	daSa-varza-sahasrANi SUp_6.20a
   daśasāhasrikā jñeyāḥ SUp_4.46c	daSa-sAhasrikAH jQeyAH SUp_4.46c
   daśahastapramāṇā ca SUp_4.15c	daSa-hasta-pramANA ca SUp_4.15c
   dahyamānaṃ suvihvalam SUp_4.28b	dahyamAnam su-vihvalam SUp_4.28b
   dātus tatsadṛśaṃ phalam SUp_6.282b	dAtuH tad-sadRSam Palam SUp_6.282b
   dāridryopahatas tathā SUp_4.48d	dAridrya-upahataH taTA SUp_4.48d
   dāhakāṣṭhādi candanam SUp_7.82b	dAha-kAzWa-Adi candanam SUp_7.82b
   dikpatīnāṃ ca sarvadā SUp_4.16b	dikpatInAm ca sarvadA SUp_4.16b
   dinatrayaṃ prakurvīta SUp_6.141c	dina-trayam prakurvIta SUp_6.141c
   dine dine ca yas tv āpaṃ SUp_6.36c	dine dine ca yaH tu Apam SUp_6.36c
   divyastrīparivāritaḥ SUp_6.179d	divya-strI-parivAritaH SUp_6.179d
   divyastrībhogasaṃpanno SUp_6.271c	divya-strI-Boga-saMpannaH SUp_6.271c
   divyaṃ vimānam ārūḍhaḥ SUp_6.261c	divyam vimAnam ArUXaH SUp_6.261c
   divyāñ chivapure naraḥ SUp_6.56b	divyAn Civa-pure naraH SUp_6.56b
   divyāñ chivapure naraḥ SUp_6.230d	divyAn Civa-pure naraH SUp_6.230d
   divyāśvayuktaiḥ śrīmadbhir SUp_6.205a	divya-aSva-yuktEH SrImadBiH SUp_6.205a
   divyaiḥ śivapure vaset SUp_4.35d	divyEH Siva-pure vaset SUp_4.35d
   diśaś caivāvalokayan SUp_7.57b	diSaH ca-eva-avalokayan SUp_7.57b
   dīkṣāyāṃ ca sadakṣiṇam SUp_7.11b	dIkzAyAm ca sa-dakziNam SUp_7.11b
   dīkṣitodadhisaṃgamam SUp_7.88d	dIkzita-udaDi-saMgamam SUp_7.88d
   dīnāndhakṛpaṇebhyaś ca SUp_2.28a	dIna-anDa-kRpaNeByaH ca SUp_2.28a
   dīpadarpaṇacāmaraiḥ SUp_6.183b	dIpa-darpaNa-cAmarEH SUp_6.183b
   dīpayet tṛṇagomayaiḥ SUp_4.62d	dIpayet tRNa-gomayEH SUp_4.62d
   dīptaṃ cāpi tataḥ kṣipet SUp_7.70d	dIptam ca-api tatas kzipet SUp_7.70d
   dīrghaṃ pañcanavatyā ca SUp_4.4a	dIrGam paQcanavatyA ca SUp_4.4a
   durjanair avaliptaiś ca SUp_7.85c	durjanEH avaliptEH ca SUp_7.85c
   duḥkhaṃ tanmātrakaṃ jñeyaṃ SUp_7.118c	duHKam tanmAtrakam jQeyam SUp_7.118c
   duḥkhāpārjanarakṣaṇam (duḥkhopār) SUp_5.8b	duHKa-apArjana-rakzaNam (duHKa-upAr) SUp_5.8b
   dūrvayā bilvapattrair vā SUp_4.60c	dUrvayA bilva-pattrEH vA SUp_4.60c
   dūrvāgarbhasthitaṃ puṣpaṃ SUp_7.43c	dUrvA-garBa-sTitam puzpam SUp_7.43c
   dūrvāṃ ca bālavatsānāṃ SUp_6.225c	dUrvAm ca bAla-vatsAnAm SUp_6.225c
   dṛḍhapaṭṭacatuṣṭayam SUp_3.4b	dRXa-pawwa-catuzwayam SUp_3.4b
   dṛḍhavaṃśaprakalpitam SUp_6.135b	dRXa-vaMSa-prakalpitam SUp_6.135b
   dṛśyate nāpakāraś ca SUp_7.112c	dRSyate na-apakAraH ca SUp_7.112c
   dṛśyate sarvadehinām SUp_7.118b	dRSyate sarva-dehinAm SUp_7.118b
   dṛṣṭvā virajyate bhūyo SUp_4.28c	dRzwvA virajyate BUyas SUp_4.28c
   dṛṣṭvaiva gurum āyāntam SUp_7.17a	dRzwvA-eva gurum AyAntam SUp_7.17a
   devadravyaṃ hṛtaṃ naṣṭam SUp_6.249a	deva-dravyam hRtam nazwam SUp_6.249a
   devalokam avāpnuyāt SUp_4.25d	deva-lokam avApnuyAt SUp_4.25d
   devāgnigurugoṣṭhīṣu SUp_7.66a	deva-agni-guru-gozWIzu SUp_7.66a
   devāgniguruviprāṇāṃ SUp_7.68a	deva-agni-guru-viprANAm SUp_7.68a
   devān daivena tīrthena SUp_5.49a	devAn dEvena tIrTena SUp_5.49a
   devyāḥ sarvagaṇānāṃ ca SUp_1.5c	devyAH sarva-gaNAnAm ca SUp_1.5c
   deśe rogaprade vaset SUp_7.86d	deSe roga-prade vaset SUp_7.86d
   dehakaṇḍūyanaṃ kāryaṃ SUp_7.56c	deha-kaNxUyanam kAryam SUp_7.56c
   dehapātād anantaram SUp_1.31b	dehapAtAt anantaram SUp_1.31b
   dehasyaiko mahān guṇah SUp_7.123b	dehasya-ekaH mahAn guNah SUp_7.123b
   dairghyāt triguṇavistaram SUp_2.4d	dErGyAt triguNa-vistaram SUp_2.4d
   doṣāḥ prayāntu nāśaṃ ca SUp_6.159a	dozAH prayAntu nASam ca SUp_6.159a
   drākṣāphalāni pakvāni SUp_6.10a	drAkzA-PalAni pakvAni SUp_6.10a
   drākṣāphaleṣu yat puṇyaṃ SUp_6.12a	drAkzA-Palezu yat puNyam SUp_6.12a
   dvayaṃ devatvamokṣāya SUp_7.114a	dvayam deva-tva-mokzAya SUp_7.114a
   dvādaśottaradakṣiṇe SUp_4.1d	dvAdaSa-uttara-dakziNe SUp_4.1d
   dvāraśākhāvyavasthitau SUp_2.15b	dvAra-SAKA-vyavasTitO SUp_2.15b
   dvāraṃ triśākhaṃ vijñeyaṃ SUp_4.3a	dvAram tri-SAKam vijQeyam SUp_4.3a
   dvāraṃ paścānmukhaṃ jñeyam SUp_4.5a	dvAram paScAt-muKam jQeyam SUp_4.5a
   dviguṇaṃ guḍamiśritaiḥ SUp_6.87d	dviguNam guxa-miSritEH SUp_6.87d
   dvitīyaṃ vedimadhyataḥ SUp_2.3b	dvitIyam vedi-maDyatas SUp_2.3b
   dvitīyāyāṃ tathācamet SUp_7.49d	dvitIyAyAm taTA-Acamet SUp_7.49d
   dvidhābhūtaṃ vadec chinnaṃ SUp_7.83a	dviDA-BUtam vadet Cinnam SUp_7.83a
   dvihastamātravistīrṇā SUp_4.14c	dvi-hasta-mAtra-vistIrNA SUp_4.14c
   dvīpicarmaṇi yaḥ sthāpya SUp_6.72a	dvIpi-carmaNi yaH sTApya SUp_6.72a
   dvau bhāgau mañjarī smṛtā SUp_2.9d	dvO BAgO maQjarI smRtA SUp_2.9d
   dvyakṣaraṃ ca bhaven mṛtyus SUp_7.115a	dvi-akzaram ca Bavet mRtyuH SUp_7.115a
   dvyakṣaraṃ mantram abhyaset SUp_1.21b	dvi-akzaram mantram aByaset SUp_1.21b
   dvyakṣaraḥ śivamantro 'yaṃ SUp_1.19a	dvi-akzaraH Siva-mantraH ayam SUp_1.19a
   dhanuḥkhaḍgāyudhādīni SUp_6.243c	DanuH-Kaxga-AyuDa-AdIni SUp_6.243c
   dharmaniṣṭhaś ca bhavatu SUp_6.157c	Darma-nizWaH ca Bavatu SUp_6.157c
   dhārayeta prayatnataḥ SUp_7.71b	DArayeta prayatnataH SUp_7.71b
   dhārayet kusumāni ca SUp_7.50b	DArayet kusumAni ca SUp_7.50b
   dhārayet pāduke nityaṃ SUp_7.46a	DArayet pAduke nityam SUp_7.46a
   dhārmikaḥ satataṃ śuciḥ SUp_6.162d	DArmikaH satatam SuciH SUp_6.162d
   dhūtvā pāṇau kapolakam SUp_7.57d	DUtvA pANO kapolakam SUp_7.57d
   dhūpavelāpramāṇārthaṃ SUp_6.131a	DUpa-velA-pramANa-arTam SUp_6.131a
   dhūpaś ca guggulur deyaḥ SUp_1.27a	DUpaH ca gugguluH deyaH SUp_1.27a
   dhūpair vitānakalaśair SUp_6.183c	DUpEH vitAna-kalaSEH SUp_6.183c
   dhūmanirgamanārthāya SUp_4.6c	DUma-nirgamana-arTAya SUp_4.6c
   dhūmaśvagardabhadhvāṅkṣāś SUp_4.22c	DUma-SvagardaBa-DvAFkzAH SUp_4.22c
   dhūyayed ātmanas tanum SUp_7.44b	DUyayet AtmanaH tanum SUp_7.44b
   dhṛtam anyair na dhārayet SUp_7.90d	DRtam anyEH na DArayet SUp_7.90d
   dhemni baddhāni śambhave SUp_6.103b	Demni badDAni SamBave SUp_6.103b
   dhyāyamānaḥ śivaṃ yogī SUp_5.18c	DyAyamAnaH Sivam yogI SUp_5.18c
   dhyāyamānaḥ śivaṃ śāntam SUp_5.33c	DyAyamAnaH Sivam SAntam SUp_5.33c
   dhyāyec chāntaṃ paraṃ śivam SUp_7.128d	DyAyet SAntam param Sivam SUp_7.128d
   dhvajacchattrapatākābhir SUp_6.183a	Dvaja=-Cattra-patAkABiH SUp_6.183a
   dhvajacchattravimānādyair SUp_6.172a	Dvaja=-Cattra-vimAna-AdyEH SUp_6.172a
   dhvajasiṃhau vṛṣagajau SUp_4.22a	Dvaja-siMhO vRza-gajO SUp_4.22a
   dhvaṃsanaṃ mantrasatkṛtam SUp_5.3b	DvaMsanam mantra-satkRtam SUp_5.3b
   na kaṇṭhaṃ prāvṛtaṃ kuryān SUp_7.18a	na kaNWam prAvRtam kuryAn SUp_7.18a
   na kaṇḍūyen nakhais tanum SUp_7.54d	na kaNxUyet naKEH tanum SUp_7.54d
   na kaścit kasyacic chaktaḥ SUp_7.111a	na kaScid kasyacid SaktaH SUp_7.111a
   na kaścit kasyacit putraḥ SUp_7.109a	na kaScid kasyacid putraH SUp_7.109a
   na kiṃcit kīrtayed guroḥ SUp_7.15d	na kiMcid kIrtayet guroH SUp_7.15d
   na kudvāreṇa veśmāni SUp_7.60a	na kudvAreNa veSmAni SUp_7.60a
   na kuryāt kenacid vairam SUp_7.59a	na kuryAt kenacid vEram SUp_7.59a
   na kuryād gurusaṃnidhau SUp_7.13d	na kuryAt guru-saMniDO SUp_7.13d
   na kṣiped aśuciṃ vahnau SUp_7.69c	na kzipet aSucim vahnO SUp_7.69c
   nakhacchedanakaṃ dattvā SUp_6.233a	naKa=-Cedanakam dattvA SUp_6.233a
   nagarasthaṃ prakalpayet SUp_2.19d	nagara-sTam prakalpayet SUp_2.19d
   nagaraṃ grāmam āviśet SUp_7.60b	nagaram grAmam AviSet SUp_7.60b
   na guror apriyaṃ kuryāt SUp_7.37a	na guroH apriyam kuryAt SUp_7.37a
   na guroḥ kīrtayen nāma SUp_7.22a	na guroH kIrtayet nAma SUp_7.22a
   nagendrāṣṭakabhūṣitam SUp_6.105d	naga-indra-azwaka-BUzitam SUp_6.105d
   na ca kaṇṭakibhir vṛkṣair SUp_4.49a	na ca kaNwakiBiH vRkzEH SUp_4.49a
   na ca chindyān nakhais tṛṇam SUp_7.52b	na ca CindyAt naKEH tRNam SUp_7.52b
   na ca tatrāvasaktikām SUp_7.18b	na ca tatra-avasaktikAm SUp_7.18b
   na ca dharmaḥ pradṛśyate SUp_7.65b	na ca DarmaH pradRSyate SUp_7.65b
   na ca pādau pratāpayet SUp_7.69d	na ca pAdO pratApayet SUp_7.69d
   na ca mānuṣyakaṃ lokam SUp_6.113a	na ca mAnuzyakam lokam SUp_6.113a
   na ca loṣṭaṃ vimṛdnīyān SUp_7.52a	na ca lozwam vimRdnIyAn SUp_7.52a
   na cājñānam adhīyīta SUp_7.61c	na ca-ajQAnam aDIyIta SUp_7.61c
   na tat sukhaṃ mahendrasya SUp_7.130c	na tat suKam mahA-indrasya SUp_7.130c
   na tathā śudhyate tīrthais SUp_5.38a	na taTA SuDyate tIrTEH SUp_5.38a
   na tam adhyāpayed guruḥ SUp_7.65d	na tam aDyApayet guruH SUp_7.65d
   na tiṣṭhann aparāṅmukhaḥ SUp_7.16b	na tizWan aparAFmuKaH SUp_7.16b
   na tiṣṭhed guruṇā saha SUp_7.15b	na tizWet guruNA saha SUp_7.15b
   na te 'tra dehinaḥ santi SUp_7.125a	na te atra dehinaH santi SUp_7.125a
   na te prakṛtimānuṣāḥ SUp_7.139d	na te prakRti-mAnuzAH SUp_7.139d
   na dantakhādanaṃ kuryād SUp_7.53c	na dantaKAdanam kuryAt SUp_7.53c
   na dantadhāvanābhyaṅgam SUp_7.19a	na dantaDAvana-aByaFgam SUp_7.19a
   na daṃśamaśakāvṛte SUp_7.86b	na daMSa-maSaka-AvRte SUp_7.86b
   na divā prāvṛtaśirā SUp_7.60c	na divA prAvRta-SirAH SUp_7.60c
   nadītaḍāgavāpiṣu SUp_5.14c	nadI-taxAga-vApizu SUp_5.14c
   na duḥkhena vinā saukhyaṃ SUp_7.118a	na duHKena vinA sOKyam SUp_7.118a
   na nakhāṃś ca nakhair vidhyān SUp_7.54c	na naKAn ca naKEH viDyAn SUp_7.54c
   nandiskandamahākālās SUp_7.135a	nandi-skanda-mahAkAlAH SUp_7.135a
   nandīśvaramahākālau SUp_2.15a	nandISvara-mahA-kAlO SUp_2.15a
   na pattrapuṣpamūlyāni SUp_7.52c	na pattra-puzpa-mUlyAni SUp_7.52c
   na padbhyām ullikhed bhūmiṃ SUp_7.54a	na padByAm ulliKet BUmim SUp_7.54a
   na pāṇipādavākcakṣuḥ- SUp_7.58a	na pANi-pAda-vAc-cakzuH SUp_7.58a
   na pādadhāvanasnānaṃ SUp_7.18c	na pAda-DAvana-snAnam SUp_7.18c
   na pādau dhāvayet kāṃsye SUp_7.49a	na pAdO DAvayet kAMsye SUp_7.49a
   na prāpnoti tadā tasya SUp_6.249c	na prApnoti tadA tasya SUp_6.249c
   na bahir gandhamālyāni SUp_7.50c	na bahis ganDa-mAlyAni SUp_7.50c
   na bhaktir na yaśaḥ krauryaṃ SUp_7.65c	na BaktiH na yaSaH krOryam SUp_7.65c
   na bhūmau vinyaset pādam SUp_7.47a	na BUmO vinyaset pAdam SUp_7.47a
   na mameti vimucyate SUp_7.114d	na mama-iti vimucyate SUp_7.114d
   namaskārapurassaraḥ SUp_7.67d	namaskAra-purassaraH SUp_7.67d
   namaskārābhivādanam SUp_7.87b	namaskAra-aBivAdanam SUp_7.87b
   namaskāreṇa pūjayet SUp_7.5b	namaskAreNa pUjayet SUp_7.5b
   namaskuryāt sadā gurum SUp_7.7d	namaskuryAt sadA gurum SUp_7.7d
   namaskuryād guruṃ budhaḥ SUp_7.6d	namaskuryAt gurum buDaH SUp_7.6d
   namas tebhyaḥ sadā namaḥ SUp_7.136d	namaH teByaH sadA namaH SUp_7.136d
   na mukhena dhamed agniṃ SUp_7.69a	na muKena Damet agnim SUp_7.69a
   na mlecchamūrkhapatitaiḥ SUp_7.85a	na mlecCa-mUrKa-patitEH SUp_7.85a
   na yatheṣṭaś ca saṃtiṣṭhet SUp_7.14c	na yaTezwaH ca saMtizWet SUp_7.14c
   na raktam ulbaṇaṃ vastraṃ SUp_7.50a	na raktam ulbaNam vastram SUp_7.50a
   naradvayocchrite pīṭhe SUp_7.76a	nara-dvaya-ucCrite pIWe SUp_7.76a
   naras tadbhāvabhāvitaḥ SUp_1.23b	naraH tad-BAva-BAvitaH SUp_1.23b
   naraṃ dharmo 'nugacchati SUp_6.167d	naram DarmaH anugacCati SUp_6.167d
   naraḥ śivapure vaset SUp_6.270b	naraH Siva-pure vaset SUp_6.270b
   narā yānti śivaṃ puram SUp_5.28d	narAH yAnti Sivam puram SUp_5.28d
   na rohati yathā bījaṃ SUp_6.40c	na rohati yaTA bIjam SUp_6.40c
   na likṣākarṣaṇaṃ kuryād SUp_7.55c	na likza-AkarzaNam kuryAt SUp_7.55c
   navatyaṅgulam ucchritam SUp_4.3b	navati-aFgulam ucCritam SUp_4.3b
   navamaḥ sthāpakaḥ smṛtaḥ SUp_2.25d	navamaH sTApakaH smRtaH SUp_2.25d
   navahastaḥ smṛto jyeṣṭhaḥ SUp_2.7a	nava-hastaH smRtaH jyezWaH SUp_2.7a
   na vicittaṃ prakurvīta SUp_7.57a	na vicittam prakurvIta SUp_7.57a
   na vindati naro yogaṃ SUp_7.103a	na vindati naraH yogam SUp_7.103a
   na viviktam anācāntam SUp_7.6a	na viviktam anAcAntam SUp_7.6a
   na viśec ca gṛhād gṛham SUp_7.61b	na viSet ca gRhAt gRham SUp_7.61b
   na vrajed antareṇa tu SUp_7.68b	na vrajet antareNa tu SUp_7.68b
   na śayano na cāsīnaḥ SUp_7.16c	na SayanaH na ca-AsInaH SUp_7.16c
   na śivaḥ paripūrṇatvāt SUp_6.39c	na SivaH paripUrNa-tvAt SUp_6.39c
   na śuśrūṣārthakāmāś ca SUp_7.65a	na SuSrUzA-arTa-kAmAH ca SUp_7.65a
   na śokārtaś ca saṃtiṣṭhed SUp_7.57c	na Soka-ArtaH ca saMtizWet SUp_7.57c
   naṣṭam anveṣaṇīyaṃ ca SUp_7.83c	nazwam anvezaNIyam ca SUp_7.83c
   naṣṭam ānīya tad bhūyaḥ SUp_6.248c	nazwam AnIya tat BUyas SUp_6.248c
   naṣṭam ānīya tad bhūyaḥ SUp_6.251c	nazwam AnIya tat BUyas SUp_6.251c
   naṣṭāpahṛtam anviṣya SUp_6.247a	nazwa-apahRtam anvizya SUp_6.247a
   na sādhayati śāśvatam SUp_7.121d	na sADayati SASvatam SUp_7.121d
   na sā śakyā gṛhasthena SUp_5.19c	na sA SakyAH gRhasTena SUp_5.19c
   na spṛśet karajair budhaḥ SUp_7.55b	na spRSet karajEH buDaH SUp_7.55b
   nāgakesarapuṣpaṃ tu SUp_4.37a	nAgakesara-puzpam tu SUp_4.37a
   nāgadantādisaṃbhūtaṃ SUp_7.64a	nAga-danta-Adi-saMBUtam SUp_7.64a
   nātibhramaṇaśīlaḥ syān SUp_7.61a	na-ati-BramaNa-SIlaH syAt SUp_7.61a
   nātiśītajalākīrṇe SUp_7.86c	na-ati-SIta-jala-AkIrNe SUp_7.86c
   nādhaḥkuryān na laṅghayet SUp_7.69b	na-aDaHkuryAt na laFGayet SUp_7.69b
   nādhārmikanṛpākrānte SUp_7.86a	na-aDArmika-nRpa-AkrAnte SUp_7.86a
   nādhitiṣṭhed rajāṃsi ca SUp_7.51d	na-aDitizWet rajAMsi ca SUp_7.51d
   nānākarma śubhāśubham SUp_7.126d	nAnA-karma SuBa-aSuBam SUp_7.126d
   nānāparṇapuṭāṇāṃ ca SUp_6.266a	nAnA-parNa-puwANAm ca SUp_6.266a
   nānāpuṣpaprakaraṇaṃ SUp_7.34c	nAnA-puzpa-prakaraNam SUp_7.34c
   nānāprekṣaṇakāni ca SUp_6.186b	nAnA-prekzaNakAni ca SUp_6.186b
   nānābhaktisamanvitam SUp_6.136b	nAnA-Bakti-samanvitam SUp_6.136b
   nānābharaṇapūjābhir SUp_6.148c	nAnA-ABaraNa-pUjABiH SUp_6.148c
   nānābharaṇayuktāni SUp_6.125a	nAnA-ABaraNa-yuktAni SUp_6.125a
   nānāyatnādiśeṣānte SUp_6.186a	nAnA-Ayatna-Adi-Seza-ante SUp_6.186a
   nānuyuñjīta kāraṇam SUp_7.39d	na-anuyuQjIta kAraNam SUp_7.39d
   nāma cādyaṃ muhurmuhuḥ SUp_1.9b	nAma ca-Adyam muhur-muhur SUp_1.9b
   nāmasaṃkīrtaṇād eva SUp_1.20a	nAma-saMkIrtaNAt eva SUp_1.20a
   nārī ca bhuktvā satputraṃ SUp_6.222a	nArI ca BuktvA sat-putram SUp_6.222a
   nārpayen na ca gṛhṇīyāt SUp_7.68c	na-arpayet na ca gRhNIyAt SUp_7.68c
   nālakṣaṇe yathā liṅge SUp_7.3a	na-alakzaNe yaTA liFge SUp_7.3a
   nālikerasamudbhavam SUp_4.59d	nAlikera-samudBavam SUp_4.59d
   nāvijñāpya guruṃ gacched SUp_7.24c	na-avijQApya gurum gacCet SUp_7.24c
   nāsanaṃ śayanaṃ pānaṃ SUp_7.87a	na-Asanam Sayanam pAnam SUp_7.87a
   nāsikāśodhanaṃ dadyāt SUp_6.232a	nAsikA-SoDanam dadyAt SUp_6.232a
   nāsti dharmasamaṃ mitraṃ SUp_6.167a	na-asti Darma-samam mitram SUp_6.167a
   nāsti dharmasamaḥ sakhā SUp_6.167b	na-asti Darma-samaH saKA SUp_6.167b
   nāstīti śobhanaṃ sarvam SUp_7.84a	na-asti-iti SoBanam sarvam SUp_7.84a
   nāhvayīta tadākhyayā SUp_7.22d	na-AhvayIta tad-AKyayA SUp_7.22d
   nigṛhṇīyād upāyataḥ SUp_7.36d	nigRhNIyAt upAyataH SUp_7.36d
   nityaṃ tiṣṭhet samāhitaḥ SUp_7.45b	nityam tizWet samAhitaH SUp_7.45b
   nityaṃ dehaprasādhanam SUp_7.92b	nityam deha-prasADanam SUp_7.92b
   nityaṃ bhuñjīta vāgyataḥ SUp_7.48d	nityam BuQjIta vAgyataH SUp_7.48d
   nibaddhaḥ snehapāśena SUp_7.103c	nibadDaH sneha-pASena SUp_7.103c
   nirdoṣaṃ sulabhaṃ caiva SUp_3.13a	nirdozam sulaBam ca-eva SUp_3.13a
   nirmalaḥ suviśuddhaś ca SUp_5.41c	nirmalaH su-viSudDaH ca SUp_5.41c
   nivītī kaṇṭhasaṃsthite SUp_5.51d	nivItI kaNWa-saMsTite SUp_5.51d
   nivedayati śarvāya SUp_6.22a	nivedayati SarvAya SUp_6.22a
   nivedayitvā śarvāya SUp_6.89c	nivedayitvA SarvAya SUp_6.89c
   nivedayitvā śarvāya SUp_6.99c	nivedayitvA SarvAya SUp_6.99c
   nivedayitvā śarvāya SUp_6.102c	nivedayitvA SarvAya SUp_6.102c
   nivedayitvā skandāya SUp_6.209a	nivedayitvA skandAya SUp_6.209a
   nivedayīta rudrāya SUp_6.230a	nivedayIta rudrAya SUp_6.230a
   nivedayīta śarvāya SUp_6.24a	nivedayIta SarvAya SUp_6.24a
   nivedayet tu śarvāya SUp_6.35a	nivedayet tu SarvAya SUp_6.35a
   nivedya gurave naraḥ SUp_6.202b	nivedya gurave naraH SUp_6.202b
   nivedya gurave bhaktyā SUp_6.88c	nivedya gurave BaktyA SUp_6.88c
   nivedya gopradānasya SUp_6.71c	nivedya go-pradAnasya SUp_6.71c
   nivedya parameśāya SUp_6.27c	nivedya parameSAya SUp_6.27c
   nivedya phāṇitaṃ śuddhaṃ SUp_6.28c	nivedya PANitam SudDam SUp_6.28c
   nivedya bhaktyā śarvāya SUp_6.17a	nivedya BaktyA SarvAya SUp_6.17a
   nivedya mauktikaṃ svaccham SUp_6.100a	nivedya mOktikam svacCam SUp_6.100a
   nivedya yavamātrakam SUp_6.101b	nivedya yava-mAtrakam SUp_6.101b
   nivedya śivayogibhyaḥ SUp_6.237a	nivedya Siva-yogiByaH SUp_6.237a
   nivedya śivayogibhyaḥ SUp_6.263a	nivedya Siva-yogiByaH SUp_6.263a
