   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   viśvāmitraṛṣistvevaṃ stutvā tūṣṇīṃ babhūva ha /	viSvAmitra RziH tu evam stutvA tUzNIm baBUva ha /
   bhṛgunāradakṣāṃśca vihāya brahmaputrakāḥ // GarP_3,7.72 //	BRgu nAra dakzAn= ca vihAya brahma putrakAH // GarP_3,7.72 //
   saptasaṃkhyā vasiṣṭhādyā viśvāmitrastathaiva ca /	sapta saMKyA vasizWa AdyAH viSvAmitraH taTA eva ca /
   vaivasvatamanustvete parasparasamāḥ smṛtāḥ // GarP_3,7.73 //	vEvasvatam anuH tu ete paraspara samAH smRtAH // GarP_3,7.73 //
   vahnerapyavarā nityaṃ kiñcinmitrādguṇādhikāḥ /	vahneH api avarAH nityam kiQcid mitrAt guNa aDikAH /
   tadanantajastotraṃ vakṣye śṛṇu khageśvara // GarP_3,7.74 //	tad ananta ja stotram vakzye SRNu KageSvara // GarP_3,7.74 //
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe tṛtīyāṃśe brahmakāṇḍe	iti SrI gAruxe mahApurANe uttara KaNxe tRtIya aMSe brahma kANxe
   kṛṣṇagaruḍasaṃvāde devādistutitattattāratamyanirūpaṇaṃ nāma saptamo	kRzNagaruxasaMvAde devAdistutitattattAratamyanirUpaNam nAma saptamaH 
   'dhyāyaḥ	aDyAyaH
   śrīgaruḍamahāpurāṇam  8	SrI garuxa mahApurANam 8
   kratoranantaraṃ jāto mitro (śro) nāma khageśvara /	kratoH anantaram jAtaH mitraH (Sro) nAma KageSvara /
   nārāyaṇaṃ jagadyoniṃ stotuṃ samupacakrame // GarP_3,8.1 //	nArAyaNam jagadyonim stotum samupacakrame // GarP_3,8.1 //
   mitra uvāca /	mitraH uvAca /
   natosmyajñastvaccaraṇāravindaṃ bhavacchidaṃ svastyayanaṃ bhavacchide /	natosmi a jQaH tvad caraNa aravindam Bavat Cidam svastyayanam Bava= Cide /
   veda svayaṃ bhagavānvāsudevo nāhaṃ nāgnirna tridevā munīndrāḥ //	veda svayam BagavAn vAsudevaH na aham na agniH na tri devAH muni indrAH //
   GarP_3,8.2 //	GarP_3,8.2 //
   athāpare bhāgavatapradhānā yadā na jānīyurathāpare kutaḥ /	aTa apare BAgavata praDAnAH yadA na jAnIyuH aTa apare kutas /
   māṃ pāhi nityaṃ paratopyadhīśa viśvāmitrānnyūna eveti nityam /	mAm pAhi nityam paratopya DISa viSvAmitrAt nyUnaH eva iti nityam /
   ahaṃ parjanyārdviguṇa eva nityamato mama stavane nāsti śaktiḥ //	aham parjanyAH dviguNaH eva nityam atas mama stavane na asti SaktiH //
   GarP_3,8.3 //	GarP_3,8.3 //
   evaṃ stutvā hariṃ mitrastūṣṇīmāsa tadā khaga /	evam stutvA harim mitraH tUzNIm Asa tadA Kaga /
   tadanantarajā tārā stotuṃ samupacakrame // GarP_3,8.4 //	tad anantara jA tArA stotum samupacakrame // GarP_3,8.4 //
   tārovāca	tArA uvAca
   ananyena tu bhāvena bhaktiṃ kurvanti ye dṛḍhām /	ananyena tu BAvena Baktim kurvanti ye dRXAm /
   tvatkṛte tyaktakarmāṇastyaktasvajanabāndhavāḥ // GarP_3,8.5 //	tvad kRte tyakta karmANaH tyakta sva jana bAnDavAH // GarP_3,8.5 //
   tvadāśrayāṃ kathāṃ śrutvā (dṛṣṭvā) śṛṇvanti kathayanti ca /	tvad ASrayAm kaTAm SrutvA (dRzwvA) SRNvanti kaTayanti ca /
   tathaite sādhavo viṣṇo sarvasaṃgavivarjitāḥ // GarP_3,8.6 //	taTA ete sADavaH vizNo sarva saMga vivarjitAH // GarP_3,8.6 //
   tanmadhye patitāṃ pāhi sadā mitrasamāṃ prabho /	tad maDye patitAm pAhi sadA mitra samAm praBo /
   tārānantarajaḥ prāha nirṛtiśca khageśvara // GarP_3,8.7 //	tArA anantara jaH prAha nirRtiH ca KageSvara // GarP_3,8.7 //
   nirṛtiruvāca /	nirRtiH uvAca /
   yogena tvayyarpitayā ca bhaktyā saṃyānti lokāḥ paramāṃ gatiṃ ca /	yogena tvayi arpitayA ca BaktyA saMyAnti lokAH paramAm gatim ca /
   āsevayā sarvaguṇādhikānāṃ jñānena vairāgyayutenadave // GarP_3,8.8 //	AsevayA sarva guNa aDikAnAm jQAnena vErAgya yutena dave // GarP_3,8.8 //
   cittasya nigraheṇaiva viṣṇoryānti paraṃ padam /	cittasya nigraheNa eva vizNoH yAnti param padam /
   ato māṃ pāhi dayayā sadā tārāsamaṃ prabho /	atas mAm pAhi dayayA sadA tArA samam praBo /
   tadanantarajā stotuṃ prāvahī taṃ pracakrame // GarP_3,8.9 //	tad anantara jA stotum prAvahI tam pracakrame // GarP_3,8.9 //
   pravāhyuvāca /	pravAhI uvAca /
   sutāḥ prasaṃgena bhavanti vīryāttava prasādātparamāḥ sampadaśca /	sutAH prasaMgena Bavanti vIryAt tava prasAdAt paramAH sampadaH ca /
   yā hyuttamaślokarasāyanāḥ kathāstatsevanādāstvapavargavartmani //	yAH hi uttamaSloka rasAyanAH kaTAH tad sevanAt AH tu apavarga vartmani //
   GarP_3,8.10 //	GarP_3,8.10 //
   bhaktirbhavetsarvadā devadeva sadāpyahaṃ nirṛteḥ sāmyameva /	BaktiH Bavet sarvadA devadeva sadA api aham nirRteH sAmyam eva /
   saharbhāṣyakomitraḥ tkayītāraḥ prakīrtitāḥ // GarP_3,8.11 //	sa harBAzya komitraH tkayItAraH prakIrtitAH // GarP_3,8.11 //
   koṇādhipo nirṛtiśca prāvahī pravahapriyā /	koNADipaH nirRtiH ca prAvahI pravaha priyA /
   catvāra ete parjanyāttriguṇāḥ parikīrtitāḥ // GarP_3,8.12 //	catvAraH ete parjanyAt triguNAH parikIrtitAH // GarP_3,8.12 //
   tadanantarajānvakṣye tāñchṛṇu tvaṃ khageśvara /	tad anantara jAn vakzye tAn SRNu tvam KageSvara /
   pravāhabhāryānantarajo viṣvaksenothapārṣadaḥ /	pravAha BAryA anantara jaH vizvaksenoTa pArzadaH /
   vāyuputro mahābhāgaḥ hariṃ stotuṃ pracakrame // GarP_3,8.13 //	vAyuputraH mahABAgaH harim stotum pracakrame // GarP_3,8.13 //
   viṣvaksena uvāca /	vizvaksenaH uvAca /
   bhagavānmokṣadaḥ kṛṣṇaḥ pūrṇānando sadāyadi /	BagavAn mokza daH kRzNaH pUrNa AnandaH sadA Ayadi /
   yadi syātparamā bhaktirhya parokṣatvasādhanā // GarP_3,8.14 //	yadi syAt paramA BaktiH hya parokza tva sADanAH // GarP_3,8.14 //
   tathā svagurumārabhya brahmānteṣu ca sādhuṣu /	taTA sva gurum AraBya brahma antezu ca sADuzu /
   tadyogyatānusāreṇa bhaktirniṣkapaṭā yadi // GarP_3,8.15 //	tad yogya tA anusAreNa BaktiH nizkapawAH yadi // GarP_3,8.15 //
   tulasyādiṣu jīveṣu yadi syātprītiraṇḍaja /	tulasi Adizu jIvezu yadi syAt prItiraNxa jaH /
   saṃsmṛtiśca tadā nāśī bhūyādeva na saṃśayaḥ // GarP_3,8.16 //	saMsmRtiH ca tadA nASI BUyAt eva na saMSayaH // GarP_3,8.16 //
   evaṃ stuttvā mahābhāgo viṣvakse no mahāprabho /	evam stuttvA mahABAgaH vizvakse naH mahA praBaH /
   tūṣṇīṃ babhūva garuḍa prāñjalirnamrakandharaḥ /	tUzNIm baBUva garuxa prAQjaliH namra kanDaraH /
   mitrādahaṃ nyūna eva nātra kāryā vicāraṇā // GarP_3,8.17 //	mitrAt aham nyUnaH eva na atra kAryA vicAraNAH // GarP_3,8.17 //
   iti śrīgā  ma  u  tṛ  dha  viṣṇustutirdevatāramyādi  aṣṭamo 'dhyāyaḥ	iti SrI gA ma u tR Da vizNu stutiH devatA rami Adi azwamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  9	SrI garuxa mahApurANam 9
   śrīgaruḍa uvāca /	SrI garuxaH uvAca /
   ajānajasvarūpaṃ ca brūhi kṛṣṇa mahāmate /	ajAn aja sva rUpam ca brUhi kRzNa mahAmate /
   tadanyāṃśca krameṇeva vaktuṃ kṛṣṇa tvamarhasi // GarP_3,9.1 //	tad anyAn= ca krameNa iva vaktum kRzNa tvam arhasi // GarP_3,9.1 //
   śrīkṛṣṇa uvāca /	SrI kRzNaH uvAca /
   ajānākhyā devatāstu tattaddevakule bhavāḥ /	ajAna AKyAH devatAH tu tat tad devakule BavAH /
   ajānadevatāstā hi tebhyogyāḥ karmadevatāḥ // GarP_3,9.2 //	ajAna devatAH tAH hi teByogyAH karma devatAH // GarP_3,9.2 //
   virādhaścārudeṣṇaśca tathā citrarathastathā /	virADaH cArudezNaH ca taTA citraraTaH taTA /
   dhṛtarāṣṭraḥ kiśoraśca hūhūrhāhāstathaiva ca // GarP_3,9.3 //	DRtarAzwraH kiSoraH ca hUhUH hAhAH taTA eva ca // GarP_3,9.3 //
   vidyādharaścograseno viśvāvasuparāvasū /	vidyADaraH ca ugrasenaH viSvAvasu parAvasU /
   citrasenaśca gopālo balaḥ pañcadaśa smṛtāḥ // GarP_3,9.4 //	citrasenaH ca gopAlaH balaH paQcadaSa smRtAH // GarP_3,9.4 //
   evamādyaśca gandharvāḥ śatasaṃkhyāḥ khageśvara /	evamAdyaH ca ganDarvAH Sata saMKyAH KageSvara /
   ajānajasamā jñeyā muktau saṃsāra eva ca // GarP_3,9.5 //	ajAnaja samA jQeyAH muktO saMsAraH eva ca // GarP_3,9.5 //
   ajñānajāstu me devāḥ karmajebhyaḥ śatāvarāḥ /	ajQAna jA aH tu me devAH karma jeByaH SatAvarAH /
   ghṛtācī menakā raṃbhā urvaśī ca tilottamā // GarP_3,9.6 //	GRtAcI menakA raMBA urvaSI ca tilottamA // GarP_3,9.6 //
   suketuḥ śabarī caiva mañjughoṣā ca piṅgalā /	suketuH SabarI ca eva maQjuGozA ca piFgalA /
   ityādikaṃ yakṣaratnaṃ saha saṃparikīrtitam // GarP_3,9.7 //	iti Adikam yakza ratnam saha saMparikIrtitam // GarP_3,9.7 //
   ajānajasamā hyete karmajebhyaḥ śatāvarāḥ /	ajAnaja samAH hi ete karma jeByaH SatAvarAH /
   viśvāmitro vasiṣṭhaśca nāradaścyavanastathā // GarP_3,9.8 //	viSvAmitraH vasizWaH ca nAradaH cyavanaH taTA // GarP_3,9.8 //
   utathyaśca muniścaitāndrājapitvā khageśvara /	utaTyaH ca muniH ca etAndra ajapitvA KageSvara /
   ṛṣayaśca mahātmāno hyajānajasamāḥ smṛtāḥ // GarP_3,9.9 //	RzayaH ca mahAtmAnaH hi ajAnaja samAH smRtAH // GarP_3,9.9 //
   śatarciḥ kaśyapo jñeyo madhyamaśca parāśaraḥ /	SataRciH kaSyapaH jQeyaH maDyamaH ca parASaraH /
   pāvamānyaḥ pragāthaśca kṣudrasūktaśca devalaḥ // GarP_3,9.10 //	pAvamAnyaH pragATaH ca kzudrasUktaH ca devalaH // GarP_3,9.10 //
   gṛtsamado hyāsuriśca bharadvājotha mudgalaḥ /	gRtsamadaH hi AsuriH ca BaradvAjoTa mudgalaH /
   uddālako hyṛ śṛṅgaḥ śaṅkhaḥ satyavratastathā // GarP_3,9.11 //	uddAlakaH hyR SRFgaH SaFKaH satyavrataH taTA // GarP_3,9.11 //
   suyajñaścaiva bābhravyo māṇḍūkaścaiva bāṣkalaḥ /	suyajQaH ca eva bABravyaH mANxUkaH ca eva bAzkalaH /
   dharmācāryastathāgastyo dālbhyo dārḍhyacyutastathā // GarP_3,9.12 //	Darma AcAryaH taTA agastyaH dAlByaH dArXya cyutaH taTA // GarP_3,9.12 //
   kavaṣo haritaḥ kaṇvo virūpo musalastathā /	kavazaH haritaH kaNvaH virUpaH musalaH taTA /
   viṣṇuvṛddhaśca ātreyaḥ śrīvatso vatsaletyapi // GarP_3,9.13 //	vizNuvRdDaH ca AtreyaH SrIvatsaH vatsalA iti api // GarP_3,9.13 //
   bhārgavaścāpnavānaśca māṇḍūkeyastathaiva /	BArgavaH ca ApnavAnaH ca mANxUkeyaH taTA eva /
   maṇḍkaścaiva jābacaliḥ vītihavyastathaiva ca // GarP_3,9.14 //	maNxkaH ca eva jAbacaliH vItihavyaH taTA eva ca // GarP_3,9.14 //
   gṛtsamadaḥ śaunakaśca ityādyā ṛṣayaḥ smṛtāḥ /	gRtsamadaH SOnakaH ca ityAdyAH RzayaH smRtAH /
   eteṣāṃ śravaṇādeva hariḥ prīṇāti sarvadā // GarP_3,9.15 //	etezAm SravaNAt eva hariH prINAti sarvadA // GarP_3,9.15 //
   bruve dvyaṣṭasahasraṃ ca śṛṇu tārkṣya mama striyaḥ /	bruve dvi azwa sahasram ca SRNu tArkzya mama striyaH /
   agniputrāstu yaddvyaṣṭasahasrañca mama striyaḥ /	agni putrAH tu yat dvi azwa sahasraQca mama striyaH /
   ajānajasamā hyetā (te) nātra kāryā vicāraṇā // GarP_3,9.16 //	ajAnaja samA hi etAH (te) na atra kAryA vicAraNAH // GarP_3,9.16 //
   tvaṣṭuḥ putrī kaśerūśca tāsāṃ madhye guṇādhikā /	tvazwuH putrI kaSerUH ca tAsAm maDye guNa aDikA /
   tadanantarajānvakṣye śṛṇu samyak khageśvara // GarP_3,9.17 //	tad anantara jAn vakzye SRNu samyak KageSvara // GarP_3,9.17 //
   ājānebhyastu pitaraḥ saptabhyonye śatāvarāḥ /	AjAneByaH tu pitaraH saptaByonye SatAvarAH /
   tathādhikā hi pitara iti vedavidāṃ matam // GarP_3,9.18 //	taTA aDikA hi pitaraH iti veda vidAm matam // GarP_3,9.18 //
   tadanantarājānvakṣye śṛṇu tvaṃ dvijasattama /	tad ananta rAjAn vakzye SRNu tvam dvijasattamaH /
   aṣṭābhyo devagandharvā aṣṭottaraśataṃ vinā // GarP_3,9.19 //	azwAByaH deva ganDarvAH azwottaraSatam vinA // GarP_3,9.19 //
   tebhyaḥ śataguṇānandā devapreṣyāstu mukhyataḥ /	teByaH SataguNa AnandAH deva prezyAH tu muKyatas /
   svamukeneva devaiśca ājñāpyāḥ sarvadā gaṇāḥ // GarP_3,9.20 //	sva mukena iva devEH ca AjQApyAH sarvadA gaNAH // GarP_3,9.20 //
   ākhyātā devagandharvāstebhyaste ca śatāvarāḥ /	AKyAtAH deva ganDarvAH teByaH te ca SatAvarAH /
   tebhyastu kṣitipā jñeyā avarāśca śatairguṇaiḥ // GarP_3,9.21 //	teByaH tu kzitipAH jQeyAH avarAH ca SatEH guNEH // GarP_3,9.21 //
   tebhyaḥ śataguṇājñeyā mānuṣeṣūttamā gaṇāḥ /	teByaH SataguNa ajQeyAH mAnuzezu uttamAH gaNAH /
   evaṃ prāsaṃgikānuktvā prakṛtaṃ hyanusarāmyaham /	evam prAsaMgikAn uktvA prakRtam hi anusarAmi aham /
   evaṃ brahmādayo devā lakṣmyādyā api sarvaśaḥ // GarP_3,9.22 //	evam brahma AdayaH devAH lakzmI AdyAH api sarvaSas // GarP_3,9.22 //
   stutvā tūṣṇīṃ sthitāḥ sarve prāñjalīkṛtya bho dvija // GarP_3,9.23 //	stutvA tUzNIm sTitAH sarve prAQjalIkRtya Bo dvija // GarP_3,9.23 //
   iti stutaśca deveśo bhagavān hariravyayaḥ /	iti stutaH ca deveSaH BagavAn hariH avyayaH /
   teṣāmāyatanaṃ dātuṃ manasā samacintayat // GarP_3,9.24 //	tezAm Ayatanam dAtum manasA samacintayat // GarP_3,9.24 //
   idaṃ pavitramārogyaṃ puṇyaṃ pāpapraṇāśanam /	idam pavitram Arogyam puNyam pApa praNASanam /
   hariprasādajanakaṃ svarūpasukhasādhanam // GarP_3,9.25 //	hari prasAda janakam svarUpa suKa sADanam // GarP_3,9.25 //
   idaṃ tu stavanaṃ viprā na paṭhantīha mānavāḥ /	idam tu stavanam viprAH na paWanti iha mAnavAH /
   na śṛṇvanti ca ye nityaṃ te sarve caiva māyinaḥ // GarP_3,9.26 //	na SRNvanti ca ye nityam te sarve ca eva mAyinaH // GarP_3,9.26 //
   nasmarantontaraṃ nityaṃ ye bhuñjanti narādhamāḥ /	na smarantontaram nityam ye BuQjanti nara aDamAH /
   tairbhuktā satataṃ viṣṭhā sadā krimiśatairyutā // GarP_3,9.27 //	tEH BuktA satatam vizWA sadA krimi SatEH yutAH // GarP_3,9.27 //
   iti śrīgāruḍe mahāpurāṇe tṛtī  utta  brahmakāṇḍe	iti SrI gAruxe mahApurANe tRtI utta brahma kANxe
   devakṛtaviṣṇustutidevatātāratamyanirūpaṇaṃ nāma navamo 'dhyāyaḥ	devakRtavizNustutidevatAtAratamyanirUpaNam nAma navamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  10	SrI garuxa mahApurANam 10
   garuḍa uvāca /	garuxaH uvAca /
   devairevaṃ stuto viṣṇurbhagavānsāttvatāṃ patiḥ /	devEH evam stutaH vizNuH BagavAn sAttva tAm patiH /
   kīdṛśaṃ hyāśrayaṃ dattvaiṣāṃ viveśa mahāprabhuḥ // GarP_3,10.1 //	kIdRSam hi ASrayam dattvA ezAm viveSa mahA praBuH // GarP_3,10.1 //
   etadveditumicchāmi kṛṣṇakṛṣṇa mahāprabho /	etat veditum icCAmi kRzNa kRzNa mahA praBaH /
   samyag brūhi dayālo tvaṃ yadi macchrotramarhati // GarP_3,10.2 //	samyak brUhi dayAlo tvam yadi mad Srotram arhati // GarP_3,10.2 //
   śrīkṛṣṇa uvāca /	SrI kRzNaH uvAca /
   teṣu tattveṣu bhagavānsa viveśa mahāprabhuḥ /	tezu tattvezu BagavAn sa viveSa mahA praBuH /
   kṣobhayāmāsa bhagavān saṃbandhavidhuro hariḥ // GarP_3,10.3 //	kzoBayAmAsa BagavAn saMbanDa viDuraH hariH // GarP_3,10.3 //
   adau sasarja bhagavān brahmāṇḍaṃ kana kātmakam /	adO sasarja BagavAn brahmANxam kana ka Atmakam /
   pañcāśatkoṭivistīrṇaṃ yojanānāṃ samantataḥ // GarP_3,10.4 //	paQcASat kowi vistIrNam yojanAnAm samantataH // GarP_3,10.4 //
   tadūrdhvamaṇvavayavastāvānkanakarūpakaḥ /	tad UrDvam aNu avayavaH tAvAn kanaka rUpakaH /
   vartate tata ūrdhvaṃ tu pañcāśatkoṭibhūtalam // GarP_3,10.5 //	vartate tatas UrDvam tu paQcASat kowi BU talam // GarP_3,10.5 //
   evaṃ koṭiśataṃ tasyāvayavaḥ parikīrtitaḥ /	evam kowi Satam tasya avayavaH parikIrtitaH /
   tataśca saptāvaraṇaiḥ samatātparidhīkṛtam // GarP_3,10.6 //	tatas ca sapta AvaraNEH samatAt pariDIkRtam // GarP_3,10.6 //
   kabandhāvaraṇaṃ hyādyaṃ koṭyā daśasahasrakam /	kabanDa AvaraNam hi Adyam kowyA daSa sahasrakam /
   dvitīyā varaṇaṃ jñeyaṃ pāvakasya mahātmanaḥ // GarP_3,10.7 //	dvitIyA varaNam jQeyam pAvakasya mahAtmanaH // GarP_3,10.7 //
   apāṃ daśaguṇairyuktaṃ samantātparidhī (khī) kṛtam /	apAm daSaguNEH yuktam samantAt pariDI (KI) kRtam /
   tṛtīyāvaraṇaṃ jñeyaṃ harasyaiva mahātmanaḥ // GarP_3,10.8 //	tRtIya AvaraNam jQeyam harasya eva mahAtmanaH // GarP_3,10.8 //
   daśādhikaṃ pāvakācca samantātparivāritam /	daSa aDikam pAvakAt ca samantAt parivAritam /
   caturthāvaraṇaṃ jñeyaṃ nabhasopi mahāprabho // GarP_3,10.9 //	caturTa AvaraNam jQeyam naBasA upi mahA praBaH // GarP_3,10.9 //
   harāddaśaguṇairevaṃ samantātparivāritam /	harAt daSaguNEH evam samantAt parivAritam /
   pañcamāvaraṇaṃ jñeyamahaṅkārākhyamevaca // GarP_3,10.10 //	paQcama AvaraNam jQeyam ahaFkAra AKyam eva ca // GarP_3,10.10 //
   vyomno daśaguṇairevaṃ samantātparivāri tam /	vyomnaH daSaguNEH evam samantAt parivAri tam /
   ṣaṣṭhamāvaraṇaṃ proktaṃ mahattattvaṃ khageśvara // GarP_3,10.11 //	zazWam AvaraNam proktam mahat tattvam KageSvara // GarP_3,10.11 //
   ahaṅkārāddaśaguṇaṃ samantātparivāritam /	ahaFkArAt daSaguNam samantAt parivAritam /
   saptamāvaraṇaṃ proktaṃ triguṇāvaraṇaṃ prabho // GarP_3,10.12 //	saptama AvaraNam proktam triguNa AvaraNam praBo // GarP_3,10.12 //
   mahattattvāddaśaguṇairadhikaṃ parikīrtitam /	mahat tattvAt daSaguNEH aDikam parikIrtitam /
   mahattattvānantaraṃ ca tamo hyāvaraṇaṃ smṛtam // GarP_3,10.13 //	mahat tattva anantaram ca tamaH hi AvaraNam smRtam // GarP_3,10.13 //
   mahattattvātpañcaguṇairadhikaṃ parikīrtitam /	mahat tattvAt paQcaguNEH aDikam parikIrtitam /
   tasmācca dviguṇaṃ jñeyaṃrajo hyāvaraṇaṃ smṛtam // GarP_3,10.14 //	tasmAt ca dviguNam jQeyaMrajaH hi AvaraNam smRtam // GarP_3,10.14 //
   tataśca dviguṇaṃ jñeyaṃ sattvāvaraṇamuttamam /	tatas ca dviguNam jQeyam sattva AvaraNam uttamam /
   trayaścaivaṃ militvā tu ekāvaraṇamīritam // GarP_3,10.15 //	trayaH ca evam militvA tu eka AvaraNam Iritam // GarP_3,10.15 //
   avyākṛtākhyamākāśaṃ tadanantaramīritam /	avyAkRta AKyam AkASam tad anantaram Iritam /
   maryādārahitaścaivaṃ tatrāste hariravyayaḥ // GarP_3,10.16 //	maryAdA rahitaH ca evam tatra Aste hariH avyayaH // GarP_3,10.16 //
   aṣṭamāvaraṇaṃ vyomnoraṃ tarā virajā nadī /	azwam a AvaraNam vyomnoram tarA virajA nadI /
   pañcayojanavistīrṇā samantātparīdhīkṛtā // GarP_3,10.17 //	paQca yojana vistIrNA samantAt parIDIkRtAH // GarP_3,10.17 //
   asti puṇyatamā jñeyā lokasaṃsāranāśinī /	asti puNyatamA jQeyA loka saMsAra nASinI /
   evaṃ caturmukhenaiva tadā hṛṣyaṃ ti cāṇḍaja // GarP_3,10.18 //	evam caturmuKena eva tadA hRzyam ti ca aNxaja // GarP_3,10.18 //
   te sarve virajānadyāṃ samyak snātvā visarjya ca /	te sarve virajAnadyAm samyak snAtvA visarjya ca /
   liṅgadehaṃ tataḥ paścānmokṣaṃ vindanti te hareḥ // GarP_3,10.19 //	liFga deham tatas paScAt mokzam vindanti te hareH // GarP_3,10.19 //
   aparokṣadṛśāmevaṃ brahmaṇā saha gāminām /	aparokza dRSAm evam brahmaNA saha gAminAm /
   virajātaraṇaṃ viddhi nānyeṣāṃ vinatāsuta // GarP_3,10.20 //	viraja AtaraNam vidDi na anyezAm vinatA sutaH // GarP_3,10.20 //
   aparokṣadṛśāṃ brahmanvyāsādīnāṃ khageśvara /	aparokza dRSAm brahman vyAsa AdInAm KageSvara /
   virajātaraṇaṃ nāsti bhoktavyatvācca karmaṇaḥ // GarP_3,10.21 //	viraja AtaraNam na asti Boktavya tvAt ca karmaNaH // GarP_3,10.21 //
   viriñcenaiva sākaṃ tu kalpesminnadhikāriṇām /	viriQcena eva sAkam tu kalpesmin= aDikAriNAm /
   teṣāṃ tu niyamenaiva sarvaprārabdhasaṃkṣayaḥ // GarP_3,10.22 //	tezAm tu niyamena eva sarva prArabDa saMkzayaH // GarP_3,10.22 //
   bhavatyevaṃ na saṃdeho nānyeṣāṃ sarvasaṃkṣayaḥ /	Bavati evam na saMdehaH na anyezAm sarva saMkzayaH /
   atastu virajātaraṇaṃ teṣāmeva bhavetpaṭo // GarP_3,10.23 //	atas tu viraja AtaraNam tezAm eva Bavet pawaH // GarP_3,10.23 //
   virajātaraṇaṃ nāsti teṣāṃ ta (tayosta)tsaṃgināṃ tathā /	viraja AtaraNam na asti tezAm te (tayoH ta)t saMginAm taTA /
   sarvārabdhakṣayo nāsti yatasteṣāṃ khagādhipa // GarP_3,10.24 //	sarva ArabDa kzayaH na asti yatas tezAm Kaga aDipa // GarP_3,10.24 //
   ataśca sarvathā nāsti virajātaraṇaṃ prabho /	atas ca sarvaTA na asti viraja AtaraNam praBo /
   pralaye virajānadyā layo nāsti khageśvara // GarP_3,10.25 //	pralaye viraja anadyAH layaH na asti KageSvara // GarP_3,10.25 //
   lakṣmyātmikā tu sā jñeyā liṅgadehavidāriṇī /	lakzmI AtmikA tu sA jQeyA liFga deha vidAriNI /
   brahmatvayogyā ṛjavo nāma devāḥ prakīrtitāḥ // GarP_3,10.26 //	brahma tva yogyAH RjavaH nAma devAH prakIrtitAH // GarP_3,10.26 //
   tepi pratyekaśaḥ saṃti hyanantāśca pṛthaggaṇāḥ /	tepi pratyekaSaH saMti hi anantAH ca pRTak gaNAH /
   pṛthakpṛthak ca taiḥ sākaṃ mokṣayogyāḥ khageśvara // GarP_3,10.27 //	pRTak pRTak ca tEH sAkam mokza yogyAH KageSvara // GarP_3,10.27 //
   jīvāḥ saṃti hyaneke ca pratikalpe sṛjanti te /	jIvAH saMti hi aneke ca pratikalpe sRjanti te /
   dvātriṃśallakṣaṇaiḥ samyagyuktā vāyutvayogyakāḥ // GarP_3,10.29 // (10.28)	dvAtriMSat lakzaNEH samyak yuktAH vAyu tva yogyakAH // GarP_3,10.29 // (10.28)
   aṣṭāviṃśallakṣaṇaiśca girīśapadayoginaḥ /	azwAviMSat lakzaNEH ca girISa pada yoginaH /
   caturviṃśatimārabhyāṣoḍaśācca surāḥ smṛtāḥ // GarP_3,10.29 //	caturviMSatim AraByA zoxaSAt ca surAH smRtAH // GarP_3,10.29 //
   aṣṭakā ṛṣayaḥ proktāstadūnāścakravartinaḥ /	azwakAH RzayaH proktAH tad UnAH cakravartinaH /
   śatajanma samārabhya brahmaṇaḥ parameṣṭhinaḥ // GarP_3,10.30 //	Sata janma samAraBya brahmaNaH paramezWinaH // GarP_3,10.30 //
   aparokṣamiti proktaṃ tathā hyārabdhasaṃkṣayaḥ /	aparokzam iti proktam taTA hi ArabDa saMkzayaH /
