   sāṅkhyasāraḥ /	sAFKya-sAraH /
   vyaktatāvyaktatāmātrabhedo hyantarabāhyayoḥ /	vyakta-tA-vyakta-tA-mAtra-BedaH hi-antara-bAhyayoH /
   evamanye 'pi puruṣā baddhamuktāviśeṣataḥ // ViSs_2,6.43 //	evam-anye api puruzAH badDa-muktA-viSezataH // ViSH-_2,6.43 //
   īśānīśāviśeṣācca puruṣārtho na me 'styataḥ /	ISAnISA-viSezAt-ca puruza-arTaH na me asti-atas /
   mahānidraiva me sādhvī duḥkhabhogaharā priyā // ViSs_2,6.44 //	mahAnidrA-eva me sADvI duHKa-Boga-harA priyAH // ViSH-_2,6.44 //
   apriyā mūḍhacittānāmasādhvī dhīhatātmanām /	apriyA mUXa-cittAnAm-asADvI DI-hata-AtmanAm /
   cidādarśe mayi dhiyo yadyapi pratibimbanam // ViSs_2,6.45 //	cit-AdarSe mayi DiyaH yadi-api pratibimbanam // ViSH-_2,6.45 //
   tattvato naiva doṣāya tathā 'pi tyājyameva tat /	tattvataH na-eva dozAya taTA api tyAjyam-eva tat /
   svabhāvādasya heyatvaṃ svānubhūtyā hi sidhyati // ViSs_2,6.46 //	svaBAvAt-asya heya-tvam sva-anuBUtyA hi siDyati // ViSH-_2,6.46 //
   yathā ko 'pi parasyāpi vairūpyaṃ na didṛkṣati /	yaTA kaH api parasya-api vErUpyam na didRkzati /
   svāminyāropyātmadoṣān sādhvīyamanutapyate // ViSs_2,6.47 //	svAmini-Aropya-Atma-dozAn sADvIyam-anutapyate // ViSH-_2,6.47 //
   nirdoṣaṃ svāminaṃ dṛṣṭvā nirdoṣā syāt pativratā /	nirdozam svAminam dRzwvA nirdozA syAt pativratA /
   evamasyā rūpabhede 'pyekarūpo 'smi sarvadā // ViSs_2,6.48 //	evam-asyAH rUpa-Bede api-eka-rUpaH asmi sarvadA // ViSH-_2,6.48 //
   bhuñjāno vā 'pyabhuñjānastāṃ madarthāmananyagām /	BuQjAnaH vA api-aBuQjAnaH-tAm mad-arTAm-ananyagAm /
   yathaikarūpatopādhiyogāyogadaśāsvaho // ViSs_2,6.49 //	yaTA-eka-rUpa-tA-upADi-yoga-ayoga-daSAsu-ahaH // ViSH-_2,6.49 //
   ādarśasyāmalasyaiva cinnabhodarpaṇasya me /	AdarSasya-amalasya-eva cit-naBaH-darpaNasya me /
   dṛśyabuddhigatā doṣāḥ sākṣāttaddraṣṭari prabhau // ViSs_2,6.50 //	dRSya-budDi-gatAH dozAH sAkzAt-tat-drazwari praBO // ViSH-_2,6.50 //
   na santi mayi mohādyā bhāskare bhāsyadoṣavat /	na santi mayi moha-AdyAH BAskare BAsya-dozavat /
   duḥkhairbaddhā svamātmānaṃ tyaktvā madbhāvamāgatā // ViSs_2,6.51 //	duHKEH-badDA svam-AtmAnam tyaktvA mad-BAvam-AgatAH // ViSH-_2,6.51 //
   mucyate duḥkhabandhāddhīrna me mokṣo na bandhanam /	mucyate duHKa-banDAt-DIH-na me mokzaH na banDanam /
   kūṭasthāsaṅgacidvyomni dhīduḥkhapratibimbanam // ViSs_2,6.52 //	kUwasTA-saFga-cit-vyomni DI-duHKa-pratibimbanam // ViSH-_2,6.52 //
   yo 'nyo bandho bhogarūpaḥ so 'pi ciddarpaṇe mṛṣā /	yaH anyaH banDaH Boga-rUpaH saH api cit-darpaNe mRzA /
   jāgradāditrayāvasthāsākṣī tābhirvivarjitaḥ // ViSs_2,6.53 //	jAgrat-Adi-traya-avasTA-sAkzI tABiH-vivarjitaH // ViSH-_2,6.53 //
   ahaṃ pūrṇaścidāditya udayāstavivarjitaḥ /	aham pUrNaH-cit-AdityaH udaya-asta-vivarjitaH /
   darpaṇe mukhavadviśvaṃ mayi bodhe na tāttvikam // ViSs_2,6.54 //	darpaNe muKa-vat-viSvam mayi boDe na tAttvikam // ViSH-_2,6.54 //
   vibhutve ca bāhyāntaḥ suṣuptyādāvadarśanāt /	viBu-tve ca bAhya-antar suzupti-AdO=-adarSanAt /
   mayi vā 'nyatra vā puṃsi kevalānubhave vibhau // ViSs_2,6.55 //	mayi vA anyatra vA puMsi kevala-anuBave viBO // ViSH-_2,6.55 //
   bhāti yattadvivartto dhīpratibimbātmakatvataḥ /	BAti yat-tat-vivarttaH DI-pratibimba-Atmaka-tvataH /
   śuktau rajatavad viśvamato mayi na doṣakṛt // ViSs_2,6.56 //	SuktO rajata-vat viSvam-atas mayi na doza-kRt // ViSH-_2,6.56 //
   marīcau toyavat tadvadvyomādau nagarādivat /	marIcO toya-vat tadvat-vyoma-AdO nagara-Adi-vat /
   kālatraye 'pi nāstyeva mayi viśvaṃ sanātane // ViSs_2,6.57 //	kAla-traye api na-asti-eva mayi viSvam sanAtane // ViSH-_2,6.57 //
   anyatrāstvathavā mā 'stu buddhyādau mama tena kim /	anyatra-astu-aTavA mA astu budDi-AdO mama tena kim /
   mayi sarvaṃ yathā vyomni sarvatrāhaṃ yathā nabhaḥ // ViSs_2,6.58 //	mayi sarvam yaTA vyomni sarvatra-aham yaTA naBaH // ViSH-_2,6.58 //
   na sarvaṃ mayi sarvatra nāhaṃ cālepataḥ khavat /	na sarvam mayi sarvatra na-aham ca-AlepataH Ka-vat /
   ata evāvibhāgākhyābhedena kṣīranīravat // ViSs_2,6.59 //	atas eva-aviBAga-AKyA-Bedena kzIra-nIra-vat // ViSH-_2,6.59 //
   jñānātmakamidaṃ viśvaṃ gāyanti paramarṣayaḥ /	jQAna-Atmakam-idam viSvam gAyanti parama-RzayaH /
   jaganmama madarthatvānmaccharīrasukhādivat // ViSs_2,6.60 //	jagat-mama mad-arTa-tvAt-mad-SarIra-suKa-Adi-vat // ViSH-_2,6.60 //
   yatha mama tathā 'nyeṣāṃ mamaiveti dhiyo bhramaḥ /	yaTa mama taTA anyezAm mama-eva-iti DiyaH BramaH /
   vastutastu na kasyāpi kimapi vyabhicārataḥ // ViSs_2,6.61 //	vastutas-tu na kasya-api kim-api vyaBicArataH // ViSH-_2,6.61 //
   svāmitvasyādhruvatvena pānthasyāvāsagehavat /	svAmi-tvasya-aDruva-tvena pAnTasya-AvAsa-geha-vat /
   ekaṃ cinmātramastīha śuddhaṃ śūnyaṃ nirañjanam // ViSs_2,6.62 //	ekam cit-mAtram-asti-iha SudDam SUnyam niraQjanam // ViSH-_2,6.62 //
   sūkṣmāt sūkṣmataraṃ tatra na jaganna jagatkriyā /	sUkzmAt sUkzmataram tatra na jagat-na jagat-kriyA /
   dṛśyate sarvadṛśyāḍhyā svasvabuddhiparamparā // ViSs_2,6.63 //	dRSyate sarva-dRSya-AXyA sva-sva-budDi-paramparA // ViSH-_2,6.63 //
   cinmaṇḍalamahādarśe pratibimbamupāgatā /	cit-maNxala-mahA-AdarSe pratibimbam-upAgatA /
   kvacidvyaktaṃ kvacit sūkṣmaṃ nabhaḥ sarvatra tiṣṭhati // ViSs_2,6.64 //	kvacid-vyaktam kvacid sUkzmam naBaH sarvatra tizWati // ViSH-_2,6.64 //
   yathā tathā cidākāśaṃ dhīdeśe 'nyatra ca sthitam /	yaTA taTA cit-AkASam DI-deSe anyatra ca sTitam /
   cidākāśamayaṃ viśvaṃ yato 'to dhīritastataḥ // ViSs_2,6.65 //	cit-AkASa-mayam viSvam yatas atas DIritaH-tatas // ViSH-_2,6.65 //
   bhramantī tatra tatraiva bhāsate 'rke ghaṭādivat /	BramantI tatra tatra-eva BAsate arke Gawa-Adi-vat /
   dharmādharmau janmamṛtyū sukhaduḥkhādi cākhilam // ViSs_2,6.66 //	Darma-aDarmO janma-mRtyU suKa-duHKa-Adi ca-aKilam // ViSH-_2,6.66 //
   jāgratyapi mṛṣā svapna iva janmādikaṃ mama /	jAgrati-api mRzA svapnaH iva janma-Adikam mama /
   dṛśyayogaviyogābhyāṃ cito janmavināśadhīḥ // ViSs_2,6.67 //	dRSya-yoga-viyogAByAm citaH janma-vinASa-DIH // ViSH-_2,6.67 //
   abhivyaktyanabhivyaktidoṣābhyāṃ śaśino yathā /	aBivyakti-anaBivyakti-dozAByAm SaSinaH yaTA /
   mahāsuṣuptau bhavajanmamṛtyu-	mahA-suzuptO Bava-janma-mRtyu-
   duḥsvapnadhārāḥ kṣaṇabhaṅgurā dhiyaḥ /	duHsvapna-DArAH kzaNa-BaFgurA DiyaH /
   paśyāmyahaṃ tābhiraliptarūpo	paSyAmi-aham tABiH-alipta-rUpaH-
   ghanairūrtairvigatai raveḥ kim // ViSs_2,6.68 //	GanEH-UrtEH-vigatEH raveH kim // ViSH-_2,6.68 //
   ityevaṃ satataṃ dhyāyannekāgramanasā sudhīḥ /	iti-evam satatam DyAyan=-ekAgra-manasA suDIH /
   sākṣātkarotyātmatattvaṃ vāgagocararūpataḥ // ViSs_2,6.69 //	sAkzAt-karoti-Atma-tattvam vAc-agocara-rUpataH // ViSH-_2,6.69 //
   svarūpaṃ nirmalaṃ śāntaṃ manastyajati cet kṣaṇam /	svarUpam nirmalam SAntam manaH-tyajati ced kzaNam /
   tadaiva dṛśyasaṃskāraśeṣāt saṅkṣubhyatīndriyam // ViSs_2,6.70 //	tadA-eva dRSya-saMskAra-SezAt saFkzuByati-indriyam // ViSH-_2,6.70 //
   utthitanutthitāṃstatra indriyārīn punaḥ punaḥ /	utTita-nutTitAn=-tatra indriya-arIn punar punar /
   vivekenaiva vajreṇa hanyādindro girīniva // ViSs_2,6.71 //	vivekena-eva vajreNa hanyAt-indraH girIn-iva // ViSH-_2,6.71 //
   iti śrīvijñānabhikṣuviracite sāṅkhyasāre rājayogaprakāraparicchedaḥ // *	iti SrI-vijQAna-Bikzu-viracite sAFKya-sAre rAjayoga-prakAra-paricCedaH // *
   atha saptamaḥ paricchedaḥ /	aTa saptamaH paricCedaH /
   evamātmānubhavino jīvanmuktasya lakṣaṇam /	evam-Atma-anuBavinaH jIvanmuktasya lakzaNam /
   spaṣṭaṃ vakṣye bhavedyena jñānājñānaparīkṣaṇam // ViSs_2,7.1 //	spazwam vakzye Bavet-yena jQAna-ajQAna-parIkzaNam // ViSH-_2,7.1 //
   śravaṇān mananādvā 'pi anyathā '; 'tmajñatābhramāt /	SravaNAt mananAt-vA api anyaTA a; atma-jQa-tA-BramAt /
   kuryādgurumavidvāṃsaṃ syāccājño jñābhimānyapi // ViSs_2,7.2 //	kuryAt-gurum-avidvAMsam syAt-ca-ajQaH jQa-aBimAni-api // ViSH-_2,7.2 //
   naiśvaryānāgatajñatvādikaṃ jñānasya lakṣaṇam /	na-ESvarya-anAgata-jQa-tva-Adikam jQAnasya lakzaNam /
   tadṛte 'pi hi kaivalyaṃ yogabhāṣyakṛteritam // ViSs_2,7.3 //	tat-Rte api hi kEvalyam yoga-BAzya-kRta-Iritam // ViSH-_2,7.3 //
   śrautasmārtāni vākyāni jñānino mokṣabhāginaḥ /	SrOta-smArtAni vAkyAni jQAninaH mokza-BAginaH /
   lakṣakāṇyeva likhyante viśvāsātiśayāya vai // ViSs_2,7.4 //	lakzakANi-eva liKyante viSvAsa-atiSayAya vE // ViSH-_2,7.4 //
   yatra sarvāṇi bhūtāni ātmaivābhūd vijānataḥ /	yatra sarvANi BUtAni AtmA-eva-aBUt vijAnataH /
   tatra ko mohaḥ kaḥ śoka ekatvamanupaśyataḥ // ViSs_2,7.5 //	tatra kaH mohaH kaH SokaH eka-tvam-anupaSyataH // ViSH-_2,7.5 //
   yaḥ sarvatrānabhisnehastat tat prāpya śubhāśubham /	yaH sarvatra-anaBisnehaH-tat tat prApya SuBa-aSuBam /
   nābhinandanti na dveṣṭi tasya prajñā pratiṣṭhitā // ViSs_2,7.6 //	na-aBinandanti na dvezwi tasya prajQA pratizWitAH // ViSH-_2,7.6 //
   na vismarati sarvatra yathā satatago gatim /	na vismarati sarvatra yaTA satata-gaH gatim /
   na vismarati niścetyaṃ cinmātraṃ prājñadhīstathā // ViSs_2,7.7 //	na vismarati niScetyam cit-mAtram prAjQa-DIH-taTA // ViSH-_2,7.7 //
   nodeti nāstamāyāti sukhe duḥkhe mukhaprabhā /	na-udeti na-astam-AyAti suKe duHKe muKa-praBA /
   yathāpūrvasthitiryasya sa jīvanmukta ucyate // ViSs_2,7.8 //	yaTApUrva-sTitiH-yasya sa jIvanmuktaH ucyate // ViSH-_2,7.8 //
   yo jāgartti suṣuptastho yasya jāgranna vidyate /	yaH jAgartti suzupta-sTaH yasya jAgrat-na vidyate /
   yasya nirvāsano bodhaḥ sa jīvanmukta ucyate // ViSs_2,7.9 //	yasya nirvAsanaH boDaH sa jIvanmuktaH ucyate // ViSH-_2,7.9 //
   rāgadveṣabhayādīnāmanurūpaṃ carannapi /	rAga-dveza-Baya-AdInAm-anurUpam caran=-api /
   yo 'ntarvyomavadatyacchaḥ sa jīvanmukta ucyate // ViSs_2,7.10 //	yaH antar-vyoma-vat-ati-acCaH sa jIvanmuktaH ucyate // ViSH-_2,7.10 //
   yasya nāhaṅkṛto bhāvo buddhiryasya na lipyate /	yasya na-ahaFkRtaH BAvaH budDiH-yasya na lipyate /
   kurvato 'kurvato vā 'pi sa jīvanmukta ucyate // ViSs_2,7.11 //	kurvataH akurvataH vA api sa jIvanmuktaH ucyate // ViSH-_2,7.11 //
   api śītarucāvarke atyuṣṇe 'pīndumaṇḍale /	api SIta-rucO=-arke ati-uzNe api-indu-maNxale /
   apyadhaḥprasavatyagnau jīvanmuto na cānyadhīḥ // ViSs_2,7.12 //	api-aDas-prasavati-agnO jIvanmutaH na ca-anyaDIH // ViSH-_2,7.12 //
   cidātmana imā nityamprasphurantīha śaktayaḥ /	cit-AtmanaH imAH nityam-prasPuranti-iha SaktayaH /
   ityasyāścaryajāleṣu nābhyudeti kutūhalam // ViSs_2,7.13 //	iti-asya-AScarya-jAlezu na-aByudeti kutUhalam // ViSH-_2,7.13 //
   paravyasaninī nārī vyagrā 'pi gṛhakarmaṇi /	para-vyasaninI nArI vyagrA api gRha-karmaNi /
   tadevāsvādayatyantarnarasaṅgarasāyanam // ViSs_2,7.14 //	tat-eva-AsvAdayati-antar-nara-saFga-rasAyanam // ViSH-_2,7.14 //
   evaṃ tattve pare śuddhe dhīro viśrāntimāgataḥ /	evam tattve pare SudDe DIraH viSrAntim-AgataH /
   tadevāsvādayatyantarbahirvyavaharannapi // ViSs_2,7.15 //	tat-eva-AsvAdayati-antar-bahis-vyavaharan=-api // ViSH-_2,7.15 //
   yo nityamadhyātmamayo nityamantarmukhaḥ sukhī /	yaH nityam-aDyAtma-mayaH nityam-antarmuKaH suKI /
   gambhīraśca prasannaśca girāviva mahāhṛdaḥ // ViSs_2,7.16 //	gamBIraH-ca prasannaH-ca girO=-iva mahA-hRdaH // ViSH-_2,7.16 //
   parānandarasākṣubdho ramate svātmanā '; 'tmani /	para-Anandara-sAkzubDaH ramate sva-AtmanA a; atmani /
   sarvakarmaparityāgī nityahṛṣṭo nirāmayaḥ // ViSs_2,7.17 //	sarva-karma-parityAgI nitya-hRzwaH nirAmayaH // ViSH-_2,7.17 //
   na puṇyena na pāpena netareṇāpi lipyate /	na puNyena na pApena na-itareNa-api lipyate /
   yena kena cidācchanno yena kena cidāśitaḥ // ViSs_2,7.18 //	yena kena cit-AcCannaH yena kena cit-ASitaH // ViSH-_2,7.18 //
   yatra kvacana śāyī ca sa samrāḍiva rājate /	yatra kvacana SAyI ca sa samrAj-iva rAjate /
   varṇadharmāśramācāraśāstramantranayepsitaḥ // ViSs_2,7.19 //	varNa-Darma-ASrama-AcAra-SAstra-mantra-naya-IpsitaH // ViSH-_2,7.19 //
   nirgacchati jagajjālāt pañjarādiva kesarī /	nirgacCati jagat-jAlAt paQjarAt-iva kesarI /
   vācāmatītaviṣamo viṣayāśādṛśekṣitaḥ // ViSs_2,7.20 //	vAcAm-atIta-vizamaH vizaya-ASA-dRSa-IkzitaH // ViSH-_2,7.20 //
   kāmapyupagataḥ śobhāṃ śaradīva nabhastalam /	kAm-api-upagataH SoBAm Saradi-iva naBastalam /
   niḥstotro nirnamaskāraḥ pūjyapūjāvivarjitaḥ // ViSs_2,7.21 //	niHstotraH nirnamaskAraH pUjya-pUjA-vivarjitaH // ViSH-_2,7.21 //
   saṃyukto vā viyukto vā sadācāranayakramaiḥ /	saMyuktaH vA viyuktaH vA sat-AcAra-naya-kramEH /
   etāvadeva khalu liṅgamaliṅgamūrtteḥ	etAvat-eva Kalu liFgam-aliFga-mUrtteH
   saṃśāntasaṃsṛticirabhramanirvṛttasya /	saMSAnta-saMsRti-cira-Brama-nirvRttasya /
   tadyasya yanmadanakopaviṣādalobha-	tat-yasya yat-madana-kopa-vizAda-loBa-
   mohāpadāmanudinaṃ nipuṇaṃ tanutvam // ViSs_2,7.22 //	moha-ApadAm-anudinam nipuNam tanu-tvam // ViSH-_2,7.22 //
   turyaviśrāntiyuktasya pratitīpasya bhavārṇavāt /	turya-viSrAnti-yuktasya pratitIpasya Bava-arNavAt /
   na kṛtenākṛtenārtho na śrutismṛtivibhramaiḥ // ViSs_2,7.23 //	na kRtena-akRtena-arTaH na Sruti-smRti-viBramEH // ViSH-_2,7.23 //
   tanuṃ tayajatu vā tīrthe śvapacasya gṛhe 'thavā /	tanum tayajatu vA tIrTe Svapacasya gRhe aTavA /
   jñānasamprāptisamaye mukta evāmalāśayaḥ // ViSs_2,7.24 //	jQAna-samprApti-samaye muktaH eva-amala-ASayaH // ViSH-_2,7.24 //
   na mokṣo nabhasaḥ pṛṣṭhe na pātāle na bhūtale /	na mokzaH naBasaH pRzWe na pAtAle na BU-tale /
   sarvāśāsaṅkṣaye cetaḥkṣayo mokṣa iti śruteḥ // ViSs_2,7.25 //	sarva-ASA-saFkzaye cetaH-kzayaH mokzaH iti SruteH // ViSH-_2,7.25 //
   jīvanmuktapadaṃ tyaktā svadehe kālasātkṛte /	jIvanmukta-padam tyaktA sva-dehe kAlasAtkRte /
   viśatyadehamuktatvaṃ pavano 'spandatāmiva // ViSs_2,7.26 //	viSati-adeha-mukta-tvam pavanaH aspandatAm-iva // ViSH-_2,7.26 //
   anāptākhilaśailādipratibimbe hi yādṛśī /	anApta-aKila-SEla-Adi-pratibimbe hi yAdRSI /
   syāddarpaṇe darpaṇatā kevalātmasvarūpiṇī // ViSs_2,7.27 //	syAt-darpaNe darpaNa-tA kevala-Atma-svarUpiNI // ViSH-_2,7.27 //
   ahaṃ tvaṃ jagadityādau praśānte dṛśyasambhrame /	aham tvam jagat-iti-AdO praSAnte dRSya-samBrame /
   syāt tādṛśī kevalatā sthite draṣṭaryavīkṣaṇe // ViSs_2,7.28 //	syAt tAdRSI kevala-tA sTite drazwarya-vIkzaNe // ViSH-_2,7.28 //
   cinmātraṃ cetyarahitamanantamajaraṃ śivam /	cit-mAtram ca-iti-arahitam-anantam-ajaram Sivam /
   anādimadhyanilayaṃ yadanādhi nirāmayam // ViSs_2,7.29 //	anAdi-maDya-nilayam yat-anADi nirAmayam // ViSH-_2,7.29 //
   na śūnyaṃ nāpi cākāraṃ na dṛśyaṃ na ca darśanam /	na SUnyam na-api ca-AkAram na dRSyam na ca darSanam /
   anākhyamanabhivyaktaṃ tat kiñcidavaśiṣyate // ViSs_2,7.30 //	anAKyam-anaBivyaktam tat kiQcid-avaSizyate // ViSH-_2,7.30 //
   iti śrīvijñānabhikṣuviracite sāṅkhyasāre jīvanmuktiparamamuktyoḥ	iti SrI-vijQAna-Bikzu-viracite sAFKya-sAre jIvanmukti-parama-muktyoH
   paricchedaḥ // * //	paricCedaH // * //
   iti sāṅkhyasārasyottarabhāgaḥ /	iti sAFKya-sArasya-uttara-BAgaH /
   sāṅkhyasārākhyaṃ prakaraṇaṃ samāptam /	sAFKyasAra-AKyam prakaraNam samAptam /
