   akarod dharmato rājyaṃ NsP_52.124e	akarot DarmataH rAjyam NsP_52.124e
   tasya drohaṃ yadā daityaḥ NsP_40.61a	tasya droham yadA dEtyaH NsP_40.61a
   tasya dharmaṃ pravakṣyāmi NsP_57.18c	tasya Darmam pravakzyAmi NsP_57.18c
   tasya nātra vane bhāryā NsP_49.42a	tasya na atra vane BAryA NsP_49.42a
   tasya nāśo dhruvaṃ bhavet NsP_46.19d	tasya nASaH Druvam Bavet NsP_46.19d
   tasya patnī mahābhāgā NsP_13.6a	tasya patnI mahABAgA NsP_13.6a
   tasya patnī vyajāyata NsP_3.8b	tasya patnI vyajAyata NsP_3.8b
   tasya patnyo mahābhāgāḥ NsP_47.137a	tasya patnyaH mahABAgAH NsP_47.137a
   tasya pādatale tīrthaṃ NsP_66.21c	tasya pAda tale tIrTam NsP_66.21c
   tasya pāpakṣayaṃ deva NsP_19.21a	tasya pApa kzayam deva NsP_19.21a
   tasya pālayato rājyaṃ NsP_32.4a	tasya pAlayataH rAjyam NsP_32.4a
   tasya puṇyaphalaṃ śṛṇu NsP_34.27d	tasya puNya Palam SRNu NsP_34.27d
   tasya puṇyam anantakam NsP_34.11d	tasya puNyam anantakam NsP_34.11d
   tasya putro bhavāmy aham NsP_47.31d	tasya putraH BavAmi aham NsP_47.31d
   tasya putro mahābuddhe NsP_50.10c	tasya putraH mahAbudDe NsP_50.10c
   tasya putrau suvarcasau NsP_12.7b	tasya putrO su varcasO NsP_12.7b
   tasya bhāryābhavat sādhvī NsP_13.9c	tasya BAryA aBavat sADvI NsP_13.9c
   tasya bhedaṃ nibodhata NsP_58.78d	tasya Bedam niboData NsP_58.78d
   tasya muktiṃ kathaṃ bhavet NsP_16.3d	tasya muktim kaTam Bavet NsP_16.3d
   tasya muktiṃ na paśyāmi NsP_16.15c	tasya muktim na paSyAmi NsP_16.15c
   tasya rājño mahātmanaḥ NsP_25.29b	tasya rAjQaH mahAtmanaH NsP_25.29b
   tasya rāmasya darśanāt NsP_47.98b	tasya rAmasya darSanAt NsP_47.98b
   tasya rudrety asau dadau NsP_3.5d	tasya rudra iti asO dadO NsP_3.5d
   tasya vācyaṃ ca kartavyaṃ NsP_63.75a	tasya vAcyam ca kartavyam NsP_63.75a
   tasya viṣṇoḥ prasādena NsP_16.13a	tasya vizNoH prasAdena NsP_16.13a
   tasya vai gacchamānasya NsP_63.83c	tasya vE gacCamAnasya NsP_63.83c
   tasya vai tad vadasva naḥ NsP_28.1d	tasya vE tat vadasva naH NsP_28.1d
   tasya vai narasiṃhasya NsP_8.45a	tasya vE narasiMhasya NsP_8.45a
   tasya vai viśravā nāma NsP_47.2c	tasya vE viSravAH nAma NsP_47.2c
   tasya śṛṅgatrayaṃ mūrdhni NsP_30.21a	tasya SRFga trayam mUrDni NsP_30.21a
   tasya śṛṅge mahādivyā NsP_6.17a	tasya SRFge mahA divyA NsP_6.17a
   tasya sarvamayatvāc ca NsP_62.7a	tasya sarva maya tvAt ca NsP_62.7a
   tasya sarvārthabhūtasya saṃsāre 'tyantaniḥspṛhā NsP_64.15b	tasya sarva arTa BUtasya saMsAre atyanta niHspRhA NsP_64.15b
   tasya saṃtapyamānasya NsP_41.8c	tasya saMtapyamAnasya NsP_41.8c
   tasya saṃskārakāryāṇi NsP_48.123c	tasya saMskAra kAryANi NsP_48.123c
   tasya suptasya nābhau tu NsP_25.40a	tasya suptasya nABO tu NsP_25.40a
   tasya suptasya nābhau tu NsP_57.14a	tasya suptasya nABO tu NsP_57.14a
   tasya sūnur abhud bhaktaḥ NsP_41.30c	tasya sUnuH aBut BaktaH NsP_41.30c
   tasya sthūlaṃ śiro vane NsP_33.41b	tasya sTUlam SiraH vane NsP_33.41b
   tasya sparśo guṇo mataḥ NsP_1.45d	tasya sparSaH guNaH mataH NsP_1.45d
   tasya svargāpavargau tu NsP_34.44c	tasya svarga apavargO tu NsP_34.44c
   tasyāṅke roṣasaṃbhavaḥ NsP_3.4d	tasya aFke roza saMBavaH NsP_3.4d
   tasyājñāṃ jagṛhur mūrdhnā NsP_42.29e	tasya AjQAm jagRhuH mUrDnA NsP_42.29e
   tasyājñāṃ śirasā dadhe NsP_50.87b	tasya AjQAm SirasA daDe NsP_50.87b
   tasyājñāṃ śirasādāya NsP_52.37c	tasya AjQAm SirasA AdAya NsP_52.37c
   tasyādrau patitā brahmaṃs NsP_66.25a	tasya adrO patitAH brahman NsP_66.25a
   tasyānantaphalaṃ syād vai NsP_33.27a	tasya ananta Palam syAt vE NsP_33.27a
   tasyānu praviveśa vai NsP_49.10b	tasya anu praviveSa vE NsP_49.10b
   tasyānte 'bhūn mahān kalpo NsP_2.26a	tasya ante aBUt mahAn kalpaH NsP_2.26a
   tasyāpadaṃ saṃprati bho diśāmi NsP_63.27d	tasya Apadam saMprati Bo diSAmi NsP_63.27d
   tasyāpi bhāryā suśroṇī NsP_41.20a	tasya api BAryA suSroNI NsP_41.20a
   tasyābhiṣekaṃ rāmasya NsP_48.36c	tasya aBizekam rAmasya NsP_48.36c
   tasyābhūvan mahātmanaḥ NsP_1.63f	tasya aBUvat mahAtmanaH NsP_1.63f
   tasyām āsaktamānasaḥ NsP_49.65b	tasyAm Asakta mAnasaH NsP_49.65b
   tasyārayaḥ praṇaśyanti NsP_32.10c	tasya arayaH praNaSyanti NsP_32.10c
   tasyāś ca madhyamaḥ putro NsP_6.12c	tasyAH ca maDyamaH putraH NsP_6.12c
   tasyāśvān api bhallakaiḥ NsP_52.84d	tasya aSvAn api BallakEH NsP_52.84d
   tasyās tu nidhanād rāma NsP_47.80c	tasyAH tu niDanAt rAma NsP_47.80c
   tasyā hāsyena lāsyena NsP_6.31c	tasyAH hAsyena lAsyena NsP_6.31c
   tasyāṃ tasya suto jāto NsP_7.11c	tasyAm tasya sutaH jAtaH NsP_7.11c
   tasyāṃ puryāṃ daśagrīvo NsP_47.7a	tasyAm puryAm daSagrIvaH NsP_47.7a
   tasyāṃ bhaktyā tu yaḥ snāti NsP_66.36c	tasyAm BaktyA tu yaH snAti NsP_66.36c
   tasyāṃ varuṇa ādityo NsP_6.18c	tasyAm varuNaH AdityaH NsP_6.18c
   tasyāṃ vidhāyātha janasya vāsaṃ NsP_53.56a	tasyAm viDAya aTa janasya vAsam NsP_53.56a
   tasyāṃ viśvāsam ānīya NsP_51.35a	tasyAm viSvAsam AnIya NsP_51.35a
   tasyāḥ pārśve samānetuṃ NsP_63.72c	tasyAH pArSve samAnetum NsP_63.72c
   tasyāḥ puṇyaprado vadhaḥ NsP_47.81b	tasyAH puNya pradaH vaDaH NsP_47.81b
   tasyāḥ priyam idaṃ tv iti NsP_48.35b	tasyAH priyam idam tu iti NsP_48.35b
   tasyāḥ saubhāgyagauravāt NsP_31.13b	tasyAH sOBAgya gOravAt NsP_31.13b
   tasyeyaṃ dharmato bhāryā NsP_47.105a	tasya iyam DarmataH BAryA NsP_47.105a
   tasyehānuṣṭhitaṃ sarvaṃ NsP_13.46a	tasya iha anuzWitam sarvam NsP_13.46a
   tasyaiva sarvaṃ tvam avehi vipra NsP_23.42d	tasya eva sarvam tvam avehi vipra NsP_23.42d
   tasyopari tu deveśaṃ NsP_66.17a	tasya upari tu deveSam NsP_66.17a
   tasyopari nidhāya ca NsP_43.33d	tasya upari niDAya ca NsP_43.33d
   tasyaurdhvadehikaṃ kṛtvā NsP_48.129a	tasya OrDvadehikam kRtvA NsP_48.129a
   taṃ kleśād uddharāmy aham NsP_8.29d	tam kleSAt udDarAmi aham NsP_8.29d
   taṃ gacchantaṃ punar yātāḥ NsP_48.76c	tam gacCantam punar yAtAH NsP_48.76c
   taṃ gatvā vākyam abravīt NsP_50.99d	tam gatvA vAkyam abravIt NsP_50.99d
   taṃ ca prāpya hi gacchantaṃ NsP_48.72a	tam ca prApya hi gacCantam NsP_48.72a
   taṃ jagāda jagatpatiḥ NsP_43.77b	tam jagAda jagatpatiH NsP_43.77b
   taṃ jagādeti sāntvayan NsP_43.70d	tam jagAda iti sAntvayan NsP_43.70d
   taṃ jagnuḥ patinoditāḥ NsP_42.20d	tam jagnuH patinA uditAH NsP_42.20d
   taṃ jāmadagnyaṃ kṣitibhāranāśakaṃ NsP_53.22c	tam jAmadagnyam kziti BAra nASakam NsP_53.22c
   taṃ jīvitaṃ yat kriyate sudharmas NsP_63.46c	tam jIvitam yat kriyate suDarmaH NsP_63.46c
   taṃ taṃ vikāraṃ ca paraṃ pareśo NsP_3.29a	tam tam vikAram ca param pareSaH NsP_3.29a
   taṃ tu deśaṃ gatau devau NsP_6.25e	tam tu deSam gatO devO NsP_6.25e
   taṃ duṣṭaṃ agrataḥ kṛtvā NsP_50.38a	tam duzwam agratas kRtvA NsP_50.38a
   taṃ dṛṣṭvā tejasā dīptaṃ NsP_5.6a	tam dRzwvA tejasA dIptam NsP_5.6a
   taṃ dṛṣṭvā duḥkhito 'tīva NsP_28.21a	tam dRzwvA duHKitaH atIva NsP_28.21a
   taṃ dṛṣṭvā devadeveśaṃ NsP_64.109a	tam dRzwvA devadeveSam NsP_64.109a
   taṃ dṛṣṭvā parayā bhaktyā NsP_25.61c	tam dRzwvA parayA BaktyA NsP_25.61c
   taṃ dṛṣṭvā yācyamānāpi NsP_13.27a	tam dRzwvA yAcyamAnA api NsP_13.27a
   taṃ dṛṣṭvā rājapuruṣāḥ NsP_47.139c	tam dRzwvA rAja puruzAH NsP_47.139c
   taṃ dṛṣṭvā sahasā bhūmau NsP_10.31a	tam dRzwvA sahasA BUmO NsP_10.31a
   taṃ dṛṣṭvā sahasā rājan NsP_45.29a	tam dRzwvA sahasA rAjan NsP_45.29a
   taṃ dṛṣṭvā sahasā hariḥ NsP_38.20d	tam dRzwvA sahasA hariH NsP_38.20d
   taṃ dṛṣṭvotpatya sugrīvaḥ NsP_52.60a	tam dRzwvA utpatya sugrIvaH NsP_52.60a
   taṃ dṛṣṭvorjasvalaṃ bālaṃ NsP_31.50a	tam dRzwvA Urjasvalam bAlam NsP_31.50a
   taṃ devam amalaṃ divyaṃ NsP_55.11c	tam devam amalam divyam NsP_55.11c
   taṃ devaṃ draṣṭum icchan yaḥ NsP_10.5c	tam devam drazwum icCan yaH NsP_10.5c
   taṃ devaṃ puruṣottamam NsP_37.12b	tam devam puruzottamam NsP_37.12b
   taṃ daityamallaṃ janasaṃsadīśaḥ NsP_53.49d	tam dEtya mallam jana saMsadISaH NsP_53.49d
   taṃ draṣṭukāmo devarṣiḥ NsP_64.38a	tam drazwu kAmaH devarziH NsP_64.38a
   taṃ draṣṭum āgataḥ sākṣād NsP_32.5a	tam drazwum AgataH sAkzAt NsP_32.5a
   taṃ dhyāyamānaṃ kamapi NsP_8.3c	tam DyAyamAnam kam api NsP_8.3c
   taṃ natvā tatra viśramya NsP_49.25c	tam natvA tatra viSramya NsP_49.25c
   taṃ natvāhāsurātmajaḥ NsP_43.43b	tam natu Aha asura AtmajaH NsP_43.43b
   taṃ namāmi gaṇādhyakṣaṃ NsP_25.9a	tam namAmi gaNADyakzam NsP_25.9a
   taṃ namāmi jagadgurum NsP_55.7d	tam namAmi jagadgurum NsP_55.7d
   taṃ namāmi janārdanam NsP_55.10d	tam namAmi janArdanam NsP_55.10d
   taṃ namāmi sadā devaṃ NsP_8.44c	tam namAmi sadA devam NsP_8.44c
   taṃ nāgā jagṛhuḥ sarve NsP_38.25c	tam nAgAH jagRhuH sarve NsP_38.25c
   taṃ nārasiṃhaṃ puruṣaṃ namāmi NsP_53.20d	tam nArasiMham puruzam namAmi NsP_53.20d
   taṃ nirīkṣya nipīḍyātha NsP_51.8c	tam nirIkzya nipIxya aTa NsP_51.8c
   taṃ nirīkṣya mahātmānaṃ NsP_7.18a	tam nirIkzya mahAtmAnam NsP_7.18a
   taṃ nirīkṣya mahāmate NsP_7.14d	tam nirIkzya mahAmate NsP_7.14d
   taṃ nṛpaṃ praṇipatya ca NsP_48.10d	tam nRpam praNipatya ca NsP_48.10d
   taṃ padmavaktraṃ daityendraḥ NsP_41.35a	tam padma vaktram dEtya indraH NsP_41.35a
   taṃ papraccha kṛtāñjaliḥ NsP_7.5d	tam papracCa kRtAQjaliH NsP_7.5d
   taṃ pūjayitvā vidhivat NsP_1.10a	tam pUjayitvA viDivat NsP_1.10a
   taṃ pūjayitvā vidhivat NsP_47.110a	tam pUjayitvA viDivat NsP_47.110a
   taṃ pūjayitvā vidhivat NsP_52.111c	tam pUjayitvA viDivat NsP_52.111c
   taṃ pṛcchantaṃ pativratā NsP_13.54b	tam pRcCantam pativratA NsP_13.54b
   taṃ praṇamya kapīśvaraḥ NsP_50.32b	tam praNamya kapi ISvaraH NsP_50.32b
   taṃ praṇamya pravakṣyāmi NsP_1.25c	tam praNamya pravakzyAmi NsP_1.25c
   taṃ praṇamya sahānujaḥ NsP_33.23b	tam praNamya saha anujaH NsP_33.23b
   taṃ praṇamyābravīd vacaḥ NsP_25.35b	tam praNamya abravIt vacaH NsP_25.35b
   taṃ prasthitam athālokya NsP_47.64a	tam prasTitam aTa Alokya NsP_47.64a
   taṃ brahmacāriṇaṃ prāha NsP_13.35a	tam brahmacAriNam prAha NsP_13.35a
   taṃ bhavaḥ śirasā dhatte NsP_38.28c	tam BavaH SirasA Datte NsP_38.28c
   taṃ muniṃ garuḍadhvajaḥ NsP_11.54d	tam munim garuxaDvajaH NsP_11.54d
   taṃ muniṃ prahasann iva NsP_55.17b	tam munim prahasan iva NsP_55.17b
   taṃ mūrtivijñānanibhena devaḥ NsP_31.88c	tam mUrti vijQAna niBena devaH NsP_31.88c
   taṃ rāmadevaṃ satataṃ nato 'smi NsP_53.23d	tam rAmadevam satatam nataH asmi NsP_53.23d
   taṃ vāsudevaṃ praṇato 'smi keśavam NsP_53.16d	tam vAsudevam praNataH asmi keSavam NsP_53.16d
   taṃ viṣṇum ādyaṃ praṇato 'smi bhāskaram NsP_53.18d	tam vizNum Adyam praNataH asmi BAskaram NsP_53.18d
   taṃ vīkṣya nāradaṃ vīro NsP_63.84c	tam vIkzya nAradam vIraH NsP_63.84c
   taṃ vīkṣya harṣitāḥ santo NsP_47.157a	tam vIkzya harzitAH santaH NsP_47.157a
   taṃ vedamūrtiṃ praṇamāmi sūkaram NsP_53.19d	tam vedamUrtim praNamAmi sUkaram NsP_53.19d
   taṃ vedavedyaṃ praṇato 'smy ahaṃ sadā NsP_53.17d	tam veda vedyam praNataH asmi aham sadA NsP_53.17d
   taṃ śārṅgapāṇiṃ munivṛndavanditam NsP_10.9b	tam SArFga pANim muni vRnda vanditam NsP_10.9b
   taṃ śrīnivāsaṃ praṇato 'smi keśavam NsP_10.12d	tam SrInivAsam praNataH asmi keSavam NsP_10.12d
   taṃ sarvasākṣiṇaṃ viṣṇuṃ NsP_55.12c	tam sarva sAkziNam vizNum NsP_55.12c
   taṃ sarvahṛdgataṃ viṣṇuṃ NsP_16.25c	tam sarva hRd gatam vizNum NsP_16.25c
   taṃ sādhayitveti varair mukundaḥ NsP_31.97a	tam sADayitvA iti varEH mukundaH NsP_31.97a
   tāṭakāyā vanaṃ ghoraṃ NsP_47.75a	tAwakAyAH vanam Goram NsP_47.75a
   tāṭakā vivṛtānanā NsP_47.82b	tAwakA vivRta AnanA NsP_47.82b
   tāḍayantaṃ tu taṃ matvā NsP_49.94c	tAxayantam tu tam matvA NsP_49.94c
   tāḍayām_asa pārthiva NsP_46.29d	tAxayAm_asa pArTiva NsP_46.29d
   tāta tvām upagacchati NsP_31.35f	tAta tvAm upagacCati NsP_31.35f
   tātena saha dhīmatā NsP_7.20b	tAtena saha DImatA NsP_7.20b
   tān abravīd dharir devān NsP_38.7c	tAn abravIt DariH devAn NsP_38.7c
   tān ahaṃ kathayāmi te NsP_5.29b	tAn aham kaTayAmi te NsP_5.29b
   tān ahaṃ nāmato vakṣye NsP_5.50c	tAn aham nAmataH vakzye NsP_5.50c
   tān āgatān sa vijñāya NsP_47.90c	tAn AgatAn sa vijQAya NsP_47.90c
   tān āropya vimāneṣu NsP_8.42a	tAn Aropya vimAnezu NsP_8.42a
   tāni chittvātha śastrais tu NsP_52.54c	tAni CittvA aTa SastrEH tu NsP_52.54c
   tāni bhṛtyāḥ samāhṛtya NsP_48.7a	tAni BRtyAH samAhRtya NsP_48.7a
   tāni mitrāṇi me sadā NsP_50.46b	tAni mitrANi me sadA NsP_50.46b
   tāni me vada dharmajña NsP_66.10c	tAni me vada Darma jQa NsP_66.10c
   tāni me śṛṇu nāmāni NsP_19.2a	tAni me SRNu nAmAni NsP_19.2a
   tāni vakṣyāmi teṣāṃ ca NsP_1.54c	tAni vakzyAmi tezAm ca NsP_1.54c
   tāni śastrāṇi sarvāṇi NsP_37.31c	tAni SastrANi sarvANi NsP_37.31c
   tāni sthānāni tān mantrāṃs NsP_62.3c	tAni sTAnAni tAn mantrAn NsP_62.3c
   tān uvāca dṛḍhavrataḥ NsP_48.73d	tAn uvAca dRXa vrataH NsP_48.73d
   tān uvācātha sampātir NsP_50.151a	tAn uvAca aTa sampAtiH NsP_50.151a
   tān dṛṣṭvā pūjayitvā tu NsP_47.102a	tAn dRzwvA pUjayitvA tu NsP_47.102a
   tān dṛṣṭvā praṇipatyoccai NsP_49.20a	tAn dRzwvA praNipatya uccEs NsP_49.20a
   tān na saṃkhyātum utsahe NsP_53.66b	tAn na saMKyAtum utsahe NsP_53.66b
   tān niyujya daśagrīvaḥ NsP_52.65c	tAn niyujya daSagrIvaH NsP_52.65c
   tān nirīkṣya tato rāmo NsP_47.121c	tAn nirIkzya tatas rAmaH NsP_47.121c
   tān nihantuṃ ca dhāvat sa NsP_47.126a	tAn nihantum ca DAvat sa NsP_47.126a
   tān puṇyān api me vada NsP_32.8d	tAn puNyAn api me vada NsP_32.8d
   tān praṇamya munīṃś ca saḥ NsP_48.63b	tAn praNamya munIn ca saH NsP_48.63b
   tān praṇamya yathānyāyaṃ NsP_1.13c	tAn praNamya yaTAnyAyam NsP_1.13c
   tān bravīmi samāsataḥ NsP_37.1d	tAn bravImi samAsatas NsP_37.1d
   tān mṛtān api vijñāya NsP_44.21a	tAn mRtAn api vijQAya NsP_44.21a
   tāny asmābhiḥ pradṛṣṭāni NsP_50.91c	tAni asmABiH pradRzwAni NsP_50.91c
   tāny ahaṃ preṣayiṣyāmi NsP_50.60a	tAni aham prezayizyAmi NsP_50.60a
   tāny ahaṃ śrotum icchāmi NsP_19.1c	tAni aham Srotum icCAmi NsP_19.1c
   tāny ahaṃ śrotum icchāmi NsP_65.4c	tAni aham Srotum icCAmi NsP_65.4c
   tāny eva cāyanaṃ tasya NsP_64.61c	tAni eva ca ayanam tasya NsP_64.61c
   tān śṛṇuṣva mahīpāla NsP_36.1c	tAn SRNuzva mahIpAla NsP_36.1c
   tān sarvān punar abravīt NsP_48.12b	tAn sarvAn punar abravIt NsP_48.12b
   tān hatān api vijñāya NsP_44.23c	tAn hatAn api vijQAya NsP_44.23c
   tān hatvā sakalāṃs tatra NsP_44.17c	tAn hatvA sakalAn tatra NsP_44.17c
   tān hanti rākṣasān sarvān NsP_58.55a	tAn hanti rAkzasAn sarvAn NsP_58.55a
   tāpatrayamahāstraughaḥ NsP_42.24a	tApa traya mahA astra oGaH NsP_42.24a
   tāpasaṃ veṣam āsthāya NsP_24.40a	tApasam vezam AsTAya NsP_24.40a
   tāpasaṃ veṣam āsthāya NsP_25.22c	tApasam vezam AsTAya NsP_25.22c
   tāpasaṃ veṣam āsthāya NsP_48.97c	tApasam vezam AsTAya NsP_48.97c
   tāpasaṃ veṣam āsthitaḥ NsP_49.17d	tApasam vezam AsTitaH NsP_49.17d
   tāpasaṃ veṣam āsthitau NsP_50.3b	tApasam vezam AsTitO NsP_50.3b
   tāpī payoṣṇī puṇye dve NsP_66.4a	tApI payozNI puNye dve NsP_66.4a
   tābhyaḥ śiṣṭā yavīyasyas NsP_5.26a	tAByaH SizwA yavIyasyaH NsP_5.26a
   tābhyāṃ tatra tadā dṛṣṭā NsP_6.26a	tAByAm tatra tadA dRzwA NsP_6.26a
   tāmasaś ca tridhā mahān NsP_1.41d	tAmasaH ca triDA mahAn NsP_1.41d
   tām āvasad ayodhyāṃ tu NsP_24.17a	tAm Avasat ayoDyAm tu NsP_24.17a
   tāmisro hy andhasaṃjñitaḥ NsP_3.16b	tAmisraH hi anDa saMjQitaH NsP_3.16b
   tām uvāca pativratām NsP_13.33abb	tAm uvAca pativratAm NsP_13.33abb
   tāmrā krodhavaśā irā NsP_5.49b	tAmrA kroDa vaSA irA NsP_5.49b
   tāmrāyāṃ kaśyapāj jātāḥ NsP_5.57c	tAmrAyAm kaSyapAt jAtAH NsP_5.57c
   tārābhogaviṣaktas tvaṃ NsP_50.42a	tArA Boga vizaktaH tvam NsP_50.42a
   tārkṣyāsanāya devāya NsP_47.16c	tArkzyAsanAya devAya NsP_47.16c
   tālavṛntapradānena NsP_33.8a	tAlavRnta pradAnena NsP_33.8a
   tālīvanavirājite NsP_52.2b	tAlI vana virAjite NsP_52.2b
   tāvac ca bhojanaṃ dadyād NsP_35.21a	tAvat ca Bojanam dadyAt NsP_35.21a
   tāvac ca sadyaḥ surasiddhasaṅghaḥ NsP_31.98a	tAvat ca sadyas sura sidDa saFGaH NsP_31.98a
   tāvac ca sūryo gatavān nṛpāstam NsP_46.15b	tAvat ca sUryaH gatavAn nRpa astam NsP_46.15b
   tāvac chukraḥ kalaśago NsP_45.36a	tAvat SukraH kalaSa gaH NsP_45.36a
   tāvat tatra samāyātas NsP_63.91a	tAvat tatra samAyAtaH NsP_63.91a
   tāvat tatra samāyātau NsP_37.7c	tAvat tatra samAyAtO NsP_37.7c
   tāvat tatraiva saṃsthitāḥ NsP_63.101b	tAvat tatra eva saMsTitAH NsP_63.101b
   tāvat tasya mahān roṣo NsP_3.4a	tAvat tasya mahAn rozaH NsP_3.4a
   tāvat tiṣṭhantu te prāṇā NsP_49.101c	tAvat tizWantu te prANAH NsP_49.101c
   tāvat tau pakṣiṇau bhītau NsP_41.27a	tAvat tO pakziNO BItO NsP_41.27a
   tāvatpramāṇabhāge tu NsP_31.102c	tAvat pramANa BAge tu NsP_31.102c
   tāvatpramāṇā ca niśā NsP_23.39a	tAvat pramANA ca niSA NsP_23.39a
   tāvatpramāṇā pṛthivī NsP_30.20c	tAvat pramANA pRTivI NsP_30.20c
   tāvatprasphuṭitastambho NsP_44.12c	tAvat prasPuwita stamBaH NsP_44.12c
   tāvat sthūlaśirāḥ prāpto NsP_33.25c	tAvat sTUlaSirAH prAptaH NsP_33.25c
   tāvad uḍḍīya tau bhūpa NsP_41.18c	tAvat uxxIya tO BUpa NsP_41.18c
   tāvad eva caturbhujaḥ NsP_33.46d	tAvat eva catur BujaH NsP_33.46d
   tāvad dadarśa saptarṣīn NsP_31.45c	tAvat dadarSa saptarzIn NsP_31.45c
   tāvad dhomaṃ tilaiḥ kuryād NsP_35.20a	tAvat Domam tilEH kuryAt NsP_35.20a
   tāvad dhyānam udāhṛtam NsP_61.8b	tAvat DyAnam udAhRtam NsP_61.8b
   tāvad bhagavatādiṣṭaḥ NsP_43.39c	tAvat BagavatA AdizwaH NsP_43.39c
   tāvad bhaikṣaṃ samācaret NsP_60.13b	tAvat BEkzam samAcaret NsP_60.13b
   tāvad vidhāya tāṃ skandhe NsP_33.43a	tAvat viDAya tAm skanDe NsP_33.43a
   tāvantīṃ rātrim avyayaḥ NsP_2.25d	tAvantIm rAtrim avyayaH NsP_2.25d
   tāvan niśācarapateḥ paṭim ānametu NsP_52.24c	tAvat niSAcara pateH pawim Anam etu NsP_52.24c
   tāvanmāne vyavasthitaḥ NsP_31.103b	tAvat mAne vyavasTitaH NsP_31.103b
   tāv ānīya tataḥ śīghram NsP_48.107a	tO AnIya tatas SIGram NsP_48.107a
   tāv ānīya munis tu tau NsP_47.85b	tO AnIya muniH tu tO NsP_47.85b
   tāv ubhau madhukaiṭabhau NsP_37.7d	tO uBO maDu kEwaBO NsP_37.7d
   tāv ubhau madhukaiṭabhau NsP_37.23b	tO uBO maDu kEwaBO NsP_37.23b
   tāv eva kevalau ślāghyau NsP_11.52c	tO eva kevalO SlAGyO NsP_11.52c
   tāś ca sarvās tathā cakrur NsP_40.19c	tAH ca sarvAH taTA cakruH NsP_40.19c
   tāsāṃ jyeṣṭhā variṣṭhā ca NsP_6.8c	tAsAm jyezWA varizWA ca NsP_6.8c
   tāsāṃ nāmāni kīrtaye NsP_5.26b	tAsAm nAmAni kIrtaye NsP_5.26b
   tāsāṃ nāmāni me śṛṇu NsP_5.48d	tAsAm nAmAni me SRNu NsP_5.48d
   tāsāṃ nāmāni vakṣyāmi NsP_6.6a	tAsAm nAmAni vakzyAmi NsP_6.6a
   tāsāṃ putrā mahāsattvā NsP_5.61a	tAsAm putrAH mahAsattvAH NsP_5.61a
   tāṃ gaṅgāṃ sa mahādyutiḥ NsP_48.93d	tAm gaFgAm sa mahA dyutiH NsP_48.93d
   tāṃ gṛhṇīṣva ca dharmeṇa NsP_13.56c	tAm gRhNIzva ca DarmeNa NsP_13.56c
   tāṃ ca jānīhi saṃvīkṣya NsP_63.66c	tAm ca jAnIhi saMvIkzya NsP_63.66c
   tāṃ ca tasmai pradāsyāmaḥ NsP_63.107c	tAm ca tasmE pradAsyAmaH NsP_63.107c
   tāṃ ca tārāṃ tathā dattvā NsP_50.27c	tAm ca tArAm taTA dattvA NsP_50.27c
   tāṃ ca te darśayiṣyāmi NsP_63.82a	tAm ca te darSayizyAmi NsP_63.82a
   tāṃ tyaktvā vipine dharmaṃ NsP_13.41c	tAm tyaktvA vipine Darmam NsP_13.41c
   tāṃ tvaṃ rakṣaya jīvantīṃ NsP_13.48a	tAm tvam rakzaya jIvantIm NsP_13.48a
   tāṃ dṛṣṭvā nāradaḥ ślokaṃ NsP_24.15c	tAm dRzwvA nAradaH Slokam NsP_24.15c
   tāṃ dṛṣṭvā lakṣmaṇaḥ prāha NsP_49.46a	tAm dRzwvA lakzmaNaH prAha NsP_49.46a
   tāṃ dṛṣṭvā vivṛtānanām NsP_47.82d	tAm dRzwvA vivRta AnanAm NsP_47.82d
   tāṃ dṛṣṭvā sa yayau vīraḥ NsP_33.44c	tAm dRzwvA sa yayO vIraH NsP_33.44c
   tāṃ dhenuṃ prāpya rājendra NsP_46.22a	tAm Denum prApya rAja indra NsP_46.22a
   tāṃ natvā cāruyānaṃ tam NsP_48.69a	tAm natvA cAru yAnam tam NsP_48.69a
   tāṃ nītvā sa mahāsuraḥ NsP_39.8d	tAm nItvA sa mahA asuraH NsP_39.8d
   tāṃ pragṛhya tataḥ khaḍgam NsP_49.47a	tAm pragRhya tatas Kaxgam NsP_49.47a
   tāṃ praṇamya pratasthire NsP_50.149d	tAm praNamya pratasTire NsP_50.149d
   tāṃ me kathaya viprendra NsP_35.5aba	tAm me kaTaya vipra indra NsP_35.5aba
   tāṃ moktuṃ yatnam ācara NsP_51.58f	tAm moktum yatnam Acara NsP_51.58f
   tāṃ vilokya vanitāvadhe ghṛṇāṃ NsP_47.83c	tAm vilokya vanitA vaDe GRNAm NsP_47.83c
   tāṃ vīkṣya devarājo 'pi NsP_63.71c	tAm vIkzya devarAjaH api NsP_63.71c
   tāṃ vīkṣya vīkṣaṇasahasrabhareṇa kāmaṃ NsP_63.20a	tAm vIkzya vIkzaNa sahasra BareNa kAmam NsP_63.20a
   tāṃ śrutvā bharato 'nujaḥ NsP_50.72d	tAm SrutvA BarataH anujaH NsP_50.72d
   tāṃ siddhāṃ sumahāmatiḥ NsP_50.141b	tAm sidDAm su mahAmatiH NsP_50.141b
   tāṃ sītām aham āneṣye NsP_49.65a	tAm sItAm aham Anezye NsP_49.65a
   tāḥ prādāt kaśyapāya saḥ NsP_6.8b	tAH prAdAt kaSyapAya saH NsP_6.8b
