   // Saddharmalaṅkāvatārasūtram //	// Sat Darma laFkA avatAra sUtram //
   pravartate / tatasteṣāṃ tatra nirvāṇabuddhirbhavati //	pravartate / tatas tezAm tatra nirvANa budDiH Bavati //
   punaraparaṃ mahāmate dviprakāraṃ svabhāvadvayalakṣaṇaṃ bhavati / katamat	punar aparam mahAmate dvi prakAram svaBAva dvaya lakzaNam Bavati / katamat 
   dviprakāram? yaduta abhilāpasvabhāvābhiniveśataśca	dvi prakAram? yat uta aBilApa svaBAva aBiniveSataH ca
   vastusvabhāvābhiniveśataśca / tatra mahāmate abhilāpasvabhāvābhiniveśo	vastu svaBAva aBiniveSataH ca / tatra mahAmate aBilApa svaBAva aBiniveSaH 
   'nādikālavākprapañcavāsanābhiniveśātpravartate / tatra	anAdi kAla vAc prapaQca vAsanA aBiniveSAt pravartate / tatra
   vastusvabhāvābhiniveśaḥ punarmahāmate	vastu svaBAva aBiniveSaH punar mahAmate
   svacittadṛśyamātrānavabodhātpravartate //	sva citta dRSya mAtra anavaboDAt pravartate //
   punaraparaṃ mahāmate adhiṣṭhānadvayādhiṣṭhitā	punar aparam mahAmate aDizWAna dvaya aDizWitA
   bodhisattvāstathāgatānāmarhatāṃ samyaksaṃbuddhānāṃ caraṇayornipatya	boDisattvAH taTAgatAnAm arhatAm samyaksaMbudDAnAm caraNayoH nipatya
   praśnān paripṛcchanti / katamenādhiṣṭhānadvayenādhiṣṭhitāḥ? yaduta	praSnAn paripRcCanti / katamena aDizWAna dvayena aDizWitAH? yat uta
   samādhisamāpattyadhiṣṭhānena sarvakāyamukhapāṇyabhiṣekādhiṣṭhānena ca /	samADi samApatti aDizWAnena sarva kAya muKa pANi aBizeka aDizWAnena ca /
   tatra mahāmate bodhisattvā mahāsattvāḥ prathamāyāṃ bhūmau	tatra mahAmate boDisattvAH mahAsattvAH praTamAyAm BUmO
   buddhādhiṣṭhānādhiṣṭhitā mahāyānaprabhāsaṃ nāma bodhisattvasamādhiṃ	budDa aDizWAna aDizWitA mahAyAna praBAsam nAma boDisattva samADim
   samāpadyante / samanantarasamāpannānāṃ ca teṣāṃ bodhisattvānāṃ	samApadyante / samanantara samApannAnAm ca tezAm boDisattvAnAm
   mahāsattvānāṃ mahāyānaprabhāsaṃ bodhisattvasamādhim, atha	mahAsattvAnAm mahAyAna praBAsam boDisattva samADim, aTa
   daśadiglokadhātuvyavasthitāstathāgatā arhantaḥ samyaksaṃbuddhā	daSa diS loka DAtu vyavasTitAH taTAgatAH arhantaH samyaksaMbudDA
   mukhānyupadarśya sarvakāyamukhavācāsaṃdarśanenādhiṣṭhānaṃ kurvanti / yathā	muKAni upadarSya sarva kAya muKa vAcA saMdarSanena aDizWAnam kurvanti / yaTA
   mahāmate vajragarbhasya bodhisattvasya mahāsattvasya anyeṣāṃ ca	mahAmate vajragarBasya boDisattvasya mahAsattvasya anyezAm ca
   tādṛglakṣaṇaguṇasamanvāgatānāṃ bodhisattvānāṃ mahāsattvānām, evaṃ mahāmate	tAdRS lakzaNa guNa samanvAgatAnAm boDisattvAnAm mahAsattvAnAm, evam mahAmate
   prathamāyāṃ bhūmau bodhisattvā mahāsattvāḥ samādhisamāpattyadhiṣṭhānaṃ	praTamAyAm BUmO boDisattvAH mahAsattvAH samADi samApatti aDizWAnam
   pratilabhante / kalpaśatasahasraṃ saṃcitaiḥ kuśalamūlairanupūrveṇa	pratilaBante / kalpa Sata sahasram saMcitEH kuSala mUlEH anupUrveNa
   bhūmipakṣavipakṣalakṣaṇagatiṃgatāṃ dharmameghāyāṃ bodhisattvabhūmau	BUmi pakza vipakza lakzaNa gatiMgatAm Darma meGAyAm boDisattva BUmO
   mahāpadmavimānāsanasthasya bodhisattvasya mahāsattvasya	mahApadma vimAna Asana sTasya boDisattvasya mahAsattvasya
   tadanurūpairbodhisattvairmahāsattvaiḥ parivṛtasya	tad anurUpEH boDisattvEH mahAsattvEH parivRtasya
   sarvaratnābharaṇavibhūṣitakirīṭasya	sarva ratna ABaraNa viBUzita kirIwasya
   haritālakanakacampakacandrāṃśumayūkhapadmasadṛśā daśadiglokadhātvāgatā	haritAla kanaka campaka candra aMSu mayUKa padma sadRSA daSa diS lokaDAtu AgatA
   jinakarāstasya bodhisattvasya mahāsattvasya padmavimānāsanasthasya	jinakarAH tasya boDisattvasya mahAsattvasya padma vimAna Asana sTasya
   mūrdhanyabhiṣiñcanti	mUrDani aBiziQcanti
   vaśavarticakravartīndrarājavatsarvakāyamukhapāṇyabhiṣekena / sa ca	vaSa varti cakravartI indrarAja vat sarva kAya muKa pANi aBizekena / sa ca
   bodhisattvaste ca bodhisattvāḥ pāṇyabhiṣekādhiṣṭhānādhiṣṭhitā ityucyante /	boDisattvaH te ca boDisattvAH pANi aBizeka aDizWAna aDizWitAH iti ucyante /
   etanmahāmate bodhisattvānāṃ mahāsattvānāmadhiṣṭhānadvayam,	etat mahAmate boDisattvAnAm mahAsattvAnAm aDizWAna dvayam,
   yenādhiṣṭhānadvayenādhiṣṭhitā bodhisattvā mahāsattvāḥ	yena aDizWAna dvayena aDizWitAH boDisattvAH mahAsattvAH
   sarvabuddhamukhānyavalokayanti / anyatrāvyavalokyāstathāgatā arhantaḥ	sarva budDa muKAni avalokayanti / anyatra avyavalokyAH taTAgatAH arhantaH
   samyaksaṃbuddhāḥ //	samyaksaMbudDAH //
   punaraparaṃ mahāmate yatkiṃcidbodhisattvānāṃ mahāsattvānāṃ pratibhāti	punar aparam mahAmate yat kiMcid boDisattvAnAm mahAsattvAnAm pratiBAti
   samādhyṛddhideśanākāreṇa, tatsarvabuddhādhiṣṭhānadvayādhiṣṭhitānām / yadi	samADi RdDi deSana AkAreNa, tad sarva budDa aDizWAna dvaya aDizWitAnAm / yadi
   punarmahāmate bodhisattvānāṃ mahāsattvānāmadhiṣṭhānamantareṇa pratibhānaṃ	punar mahAmate boDisattvAnAm mahAsattvAnAm aDizWAnam antareNa pratiBAnam
   pratibhāyāt, bālapṛthagjanānāmapi mahāmate pratibhānaṃ pratibhāyāt /	pratiBA Aya at, bAla pRTagjanAnAm api mahAmate pratiBAnam pratiBAyAt /
   tatkasya hetoḥ? yaduta adhiṣṭhānānadhiṣṭhitatvāt / tṛṇagulmavṛkṣaparvatā	tat kasya hetoH? yat uta aDizWAna an aDizWita tvAt / tRNa gulma vRkza parvatA
   api mahāmate vividhāni ca vādyabhāṇḍāni	api mahAmate viviDAni ca vAdya BANxAni
   nagarabhavanagṛhavimānāsanasthānāni tathāgatapraveśādhiṣṭhānena	nagara Bavana gRha vimAna Asana sTAnAni taTAgata praveSa aDizWAnena
   pravādyante / kiṃ punarmahāmate sacetanā mūkāndhabadhirā api mahāmate	pravAdyante / kim punar mahAmate sa cetanA mUka anDa baDirAH api mahAmate
   svadoṣebhyo vimucyante / evaṃ mahāguṇaviśeṣaṃ mahāmate tathāgatādhiṣṭhānam	sva dozeByaH vimucyante / evam mahA guNa viSezam mahAmate taTAgata aDizWAnam
   punaraparaṃ mahāmatirāha   kiṃ punarbhagavaṃstathāgatā arhantaḥ	punar aparam mahAmatiH Aha  kim punar Bagavan= taTAgatAH arhantaH
   samyaksaṃbuddhā bodhisattvānāṃ mahāsattvānāṃ samādhisamāpattyavasthānakāle	samyaksaMbudDAH boDisattvAnAm mahAsattvAnAm samADi samApatti avasTAna kAle
   viśeṣabhūmau ca abhiṣekādhiṣṭhānaṃ prakurvanti? (Vaidya 43) bhagavānāha  	viSeza BUmO ca aBizeka aDizWAnam prakurvanti? (VEdyaH 43) BagavAn Aha  
   mārakarmakleśaviyuktārthaṃ śrāvakadhyānabhūmyaprapatanatayā ca	mAra karma kleSa viyukta arTam SrAvaka DyAna BUmi aprapatana tayA ca
   tathāgatabhūmipratyātmādhigamanatayā ca prāptadharmādhigamavivṛddhaye ca /	taTAgata BUmi pratyAtma aDigamana tayA ca prApta Darma aDigama vivRdDaye ca /
   etena mahāmate kāraṇena tathāgatā arhantaḥ samyaksaṃbuddhā bodhisattvānāṃ	etena mahAmate kAraNena taTAgatAH arhantaH samyaksaMbudDAH boDisattvAnAm
   mahāsattvānāmadhiṣṭhānairadhitiṣṭhanti / anadhiṣṭhitāśca mahāmate	mahAsattvAnAm aDizWAnEH aDitizWanti / anaDizWitAH ca mahAmate
   bodhisattvā mahāsattvāḥ kutīrthyaśrāvakamārāśayapatitā nānuttarāṃ	boDisattvAH mahAsattvAH kutIrTya SrAvaka mAra ASaya patitA na anuttarAm
   samyaksaṃbodhimabhisaṃbudhyeran / atastena kāraṇena bodhisattvā	samyaksaMboDim aBisaMbuDyeran / atas tena kAraNena boDisattvA
   mahāsattvāstathāgatairarhadbhiḥ samyaksaṃbuddhairanugṛhyante //	mahAsattvAH taTAgatEH arhadBiH samyaksaMbudDEH anugRhyante //
   tatredamucyate  	tatra idam ucyate  
   adhiṣṭhānaṃ narendrāṇāṃ praṇidhānairviśodhitam /	aDizWAnam narendrANAm praNiDAnEH viSoDitam /
   abhiṣekasamādhyādyāḥ prathamāddaśamāya vai // Lank_2.163 //	aBizeka samADi AdyAH praTamAt daSamAya vE // Lank _2.163 //
   atha khalu mahāmatirbodhisattvaḥ punarapi bhagavantametadavocat  	aTa Kalu mahAmatiH boDisattvaH punar api Bagavantam etat avocat  
   pratītyasamutpādaṃ punarbhagavatā deśayatā kāraṇavyapadeśa eva kṛto na	pratItyasamutpAdam punar BagavatA deSayatA kAraNa vyapadeSaH eva kRtaH na
   svanayaprakṛtyavasthānakathā / tīrthakarā api bhagavan kāraṇata utpattiṃ	sva naya prakRti avasTAna kaTA / tIrTakarAH api Bagavan kAraNatas utpattim
   varṇayanti, yaduta pradhāneśvarapuruṣakālāṇupratyayebhyo	varNayanti, yat uta praDAna ISvara puruza kAla aNu pratyayeByaH 
   bhāvānāmutpattayaḥ / kiṃ tu bhagavatā	BAvAnAm utpattayaH / kim tu BagavatA
   pratyayaparyāyāntareṇotpattirvarṇyate bhāvānām / na ca	pratyaya paryAya antareNa utpattiH varNyate BAvAnAm / na ca
   siddhāntaviśeṣāntaram / sadasato hi bhagavaṃstīrthakarā apyutpattiṃ	sidDAnta viSeza antaram / sat asataH hi Bagavan= tIrTakarAH api utpattim
   varṇayanti, bhūtvā ca vināśaṃ pratyayairbhāvānām / yadapyuktaṃ bhagavatā  	varNayanti, BUtvA ca vinASam pratyayEH BAvAnAm / yat api uktam BagavatA  
   avidyāpratyayāḥ saṃskārā yāvajjarāmaraṇamiti, ahetuvādavyapadeśa eṣa	avidyA pratyayAH saMskArAH yAvat jarA maraNam iti, ahetuvAda vyapadeSaH eza
   bhagavatānuvarṇitaḥ, na sa hetuvādaḥ / yugapadvayavasthitānāṃ	BagavatA anuvarNitaH, na sa hetuvAdaH / yugapa dvayavasTitAnAm
   bhagavannetadbhavati   asmin satīdaṃ bhavatīti, na	Bagavan= etat Bavati  asmin sati idam Bavati iti, na
   kramavṛttyapekṣāvasthitānām / kiṃ tu tīrthakaravyapadeśa eva bhagavan	krama vRtti apekzA avasTitAnAm / kim tu tIrTakara vyapadeSaH eva Bagavan
   viśiṣyate na tvadīyam / tatkasya hetoḥ? tīrthakarāṇāṃ hiṃ bhagavan	viSizyate na tvadIyam / tat kasya hetoH? tIrTakarANAm him Bagavan
   kāraṇamapratītyasamutpannaṃ kāryamabhinirvartayati / tava tu bhagavan	kAraNam apratItya samutpannam kAryam aBinirvartayati / tava tu Bagavan
   kāraṇamapi kāryāpekṣaṃ kāryamapi kāraṇāpekṣam / hetupratyayasaṃkaraśca	kAraNam api kArya apekzam kAryam api kAraNa apekzam / hetu pratyaya saMkaraH ca
   evamanyonyānavasthā prasajyate / ahetutvaṃ ca bhagavan lokasya   asmin	evam anyonya anavasTA prasajyate / ahetu tvam ca Bagavan lokasya  asmin
   satīdaṃ bruvataḥ / bhagavānāha   na mahāmate mamāhetukakāraṇavādo	sati idam bruvataH / BagavAn Aha  na mahAmate mama ahetuka kAraNa vAdaH 
   hetupratyayasaṃkaraśca prasajyate   asmin satīdaṃ bruvataḥ,	hetu pratyaya saMkaraH ca prasajyate  asmin sati idam bruvataH,
   grāhyagrāhakābhāvāt, svacittadṛśyamātrāvabodhāt / ye tu mahāmate	grAhya grAhaka aBAvAt, sva citta dRSya mAtra avaboDAt / ye tu mahAmate
   grāhyagrāhakābhiniviṣṭāḥ svacittadṛśyamātraṃ nāvabudhyante	grAhya grAhaka aBinivizwAH sva citta dRSya mAtram na avabuDyante
   bāhyasvaviṣayabhāvābhāvatvena, teṣāṃ mahāmate eṣa doṣaḥ prasajyate , na tu	bAhya sva vizaya BAva aBAva tvena, tezAm mahAmate eza dozaH prasajyate , na tu
   mama pratītyakāraṇavyapadeśaṃ kurvataḥ //	mama pratItya kAraNa vyapadeSam kurvataH //
   punaraparaṃ mahāmatirāha   nanu bhagavan abhilāpasadbhāvātsanti	punar aparam mahAmatiH Aha  nanu Bagavan aBilApa sadBAvAt santi
   sarvabhāvāḥ / yadi punarbhagavan bhāvā na syuḥ, abhilāpo na pravartate /	sarva BAvAH / yadi punar Bagavan BAvAH na syuH, aBilApaH na pravartate /
   pravartate ca / tasmādabhilāpasadbhāvādbhagavan santi sarvabhāvāḥ /	pravartate ca / tasmAt aBilApa sadBAvAt Bagavan santi sarva BAvAH /
   bhagavānāha   asatāmapi mahāmate bhāvānāmabhilāpaḥ kriyate / yaduta	BagavAn Aha  asatAm api mahAmate BAvAnAm aBilApaH kriyate / yat uta
   śaśaviṣāṇakūrmaromavandhyāputrādīnāṃ loke dṛṣṭo 'bhilāpaḥ / te ca mahāmate	SaSa vizANa kUrma roma vanDyA putra AdInAm loke dRzwaH aBilApaH / te ca mahAmate
   na bhāvā nābhāvāḥ, abhilapyante ca / tadyadavocastvaṃ mahāmate  	na BAvAH na aBAvAH, aBilapyante ca / tat yat avocaH tvam mahAmate  
   abhilāpasadbhāvātsanti sarvabhāvā iti, sa hi vādaḥ prahīṇaḥ / na ca	aBilApa sadBAvAt santi sarva BAvAH iti, sa hi vAdaH prahINaH / na ca
   mahāmate sarvabuddhakṣetreṣu prasiddho 'bhilāpaḥ / abhilāpo mahāmate	mahAmate sarva budDa kzetrezu prasidDaH aBilApaH / aBilApaH mahAmate
   kṛtakaḥ / kvacinmahāmate buddhakṣetre 'nimiṣaprekṣayā dharmo deśyate,	kRtakaH / kvacid mahAmate budDa kzetre animiza prekzayA DarmaH deSyate,
   kvacidiṅgitaiḥ, kvacidbhūvikṣepeṇa, kvacinnetrasaṃcāreṇa, kvacidāsyena,	kvacid iFgitEH, kvacid BU vikzepeNa, kvacid netra saMcAreNa, kvacid Asyena,
   kvacidvijṛmbhitena, kvacidutkāsanaśabdena, (Vaidya 44) kvacitkṣetrasmṛtyā,	kvacid vijRmBitena, kvacid utkAsana Sabdena, (VEdyaH 44) kvacid kzetra smRtyA,
   kvacitspanditena / yathā mahāmate animiṣāyāṃ gandhasugandhāyāṃ ca	kvacid spanditena / yaTA mahAmate animizAyAm ganDa suganDAyAm ca
   lokadhātau samantabhadrasya tathāgatasyārhataḥ samyaksaṃbuddhasya	lokaDAtO samantaBadrasya taTAgatasya arhataH samyaksaMbudDasya
   buddhakṣetre animiṣairnetraiḥ prekṣamāṇāste bodhisattvā mahāsattvā	budDa kzetre animizEH netrEH prekzamANAH te boDisattvAH mahAsattvA
   anutpattikadharmakṣāntiṃ pratilabhante anyāṃśca samādhiviśeṣān, ata	anutpattika Darma kzAntim pratilaBante anyAn= ca samADi viSezAn, ata
   evāsmātkāraṇānmahāmate nābhilāpasadbhāvātsanti sarvabhāvāḥ / dṛṣṭaṃ	eva asmAt kAraNAt mahAmate na aBilApa sadBAvAt santi sarva BAvAH / dRzwam
   caitanmahāmate / iha loke kṛmimakṣikaivamādyāḥ sattvaviśeṣā	ca etat mahAmate / iha loke kRmi makzikA evamAdyAH sattva viSezA
   anabhilāpenaiva svakṛtyaṃ kurvanti //	anaBilApena eva sva kRtyam kurvanti //
   tatredamucyate  	tatra idam ucyate  
   ākāśaṃ śaśaśṛṅgaṃ ca vandhyāyāḥ putra eva ca /	AkASam SaSa SRFgam ca vanDyAyAH putraH eva ca /
   asanto hyabhilapyante tathā bhāveṣu kalpanā // Lank_2.164 //	asantaH hi aBilapyante taTA BAvezu kalpanA // Lank _2.164 //
   hetupratyayasāmagryāṃ bālāḥ kalpanti saṃbhavam /	hetu pratyaya sAmagryAm bAlAH kalpanti saMBavam /
   ajānānā nayamidaṃ bhramanti tribhavālaye // Lank_2.165 //	ajAnAnAH nayam idam Bramanti triBava Alaye // Lank _2.165 //
   atha khalu mahāmatirbodhisattvo mahāsattvaḥ punarapi bhagavantametadavocat	aTa Kalu mahAmatiH boDisattvaH mahAsattvaH punar api Bagavantam etat avocat 
     nityaśabdaḥ punarbhagavan kvabhihitaḥ? bhagavānāha   bhrāntau mahāmate /	 nitya SabdaH punar Bagavan ku aBihitaH? BagavAn Aha  BrAntO mahAmate /
   yasmādiyaṃ bhrāntirāryāṇāmapi khyāyate viparyāsataḥ / tadyathā mahāmate	yasmAt iyam BrAntiH AryANAm api KyAyate viparyAsataH / tat yaTA mahAmate
   mṛgatṛṣṇālātacakrakeśoṇḍukagandharvanagaramāyāsvapnapratibimbākṣapuruṣā	mRgatRzNA alAta cakra keSoNxuka ganDarvanagara mAyA svapna pratibimba akza puruzA
   loke 'vidvadbhirviparyasyante, na tu vidvadbhiḥ / na ca punarna khyāyante	loke avidvadBiH viparyasyante, na tu vidvadBiH / na ca punar na KyAyante
   / sā punarbhrāntirmahāmate anekaprakārā khyāyāt / na bhrānteraśāśvatatāṃ	/ sA punar BrAntiH mahAmate aneka prakArA KyAyAt / na BrAnteH aSASvata tAm
   kurute / tatkasya hetoḥ? yaduta bhāvābhāvavivarjitatvāt / kathaṃ	kurute / tat kasya hetoH? yat uta BAva aBAva vivarjita tvAt / kaTam
   punarmahāmate bhāvābhāvavivarjitā bhrāntiḥ? yaduta	punar mahAmate BAva aBAva vivarjitA BrAntiH? yat uta
   sarvabālavicitragocaratvātsamudrataraṃgagaṅgodakavatpretānāṃ	sarva bAla vicitra gocara tvAt samudra taraMga gaFgA udaka vat pretAnAm
   darśanādarśanataḥ / ata etasmātkāraṇānmahāmate bhrāntibhāvo na bhavati /	darSana adarSanataH / atas etasmAt kAraNAt mahAmate BrAnti BAvaH na Bavati /
   yasmācca tadudakamanyeṣāṃ khyāyate, ato hyabhāvo na bhavati / evaṃ	yasmAt ca tat udakam anyezAm KyAyate, atas hi aBAvaH na Bavati / evam
   bhrāntirāryāṇāṃ viparyāsāviparyāsavarjitā / ataśca mahāmate	BrAntiH AryANAm viparyAsa aviparyAsa varjitAH / atas ca mahAmate
   asmātkāraṇācchāśvatā bhrāntiryaduta nimittalakṣaṇābhedatvāt / na hi	asmAt kAraNAt SASvatAH BrAntiH yat uta nimitta lakzaNa aBeda tvAt / na hi
   mahāmate bhrāntirvividhavicitranimittavikalpena vikalpyamānā bhedamupayāti	mahAmate BrAntiH viviDa vicitra nimitta vikalpena vikalpyamAnAH Bedam upayAti
   / ata etasmātkāraṇānmahāmate bhrāntiḥ śāśvatā //	/ atas etasmAt kAraNAt mahAmate BrAntiH SASvatA //
   kathaṃ punarmahāmate bhrāntistattvaṃ bhavati? yena punaḥ kāraṇena mahāmate	kaTam punar mahAmate BrAntiH tattvam Bavati? yena punar kAraNena mahAmate
   āryāṇāmasyāṃ bhrāntau viparyāsabuddhirna pravartate, nāviparyāsabuddhiḥ /	AryANAm asyAm BrAntO viparyAsa budDiH na pravartate, na aviparyAsa budDiH /
   nānyatra mahāmate āryā asyāṃ bhrāntau yakiṃcitsaṃjñino bhavanti	na anyatra mahAmate AryAH asyAm BrAntO yakiMcid saMjQinaH Bavanti
   nāryajñānavastusaṃjñinaḥ / yatkiṃciditi mahāmate bālapralāpa eṣa	nArya jQAna vastu saMjQinaH / yat kiMcid iti mahAmate bAla pralApaH eza
   nāryapralāpaḥ / sā punarbhrāntirviparyāsāviparyāsena vikalpyamānā	na Arya pralApaH / sA punar BrAntiH viparyAsa aviparyAsena vikalpyamAnA
   gotradvayāvahā bhavati yaduta āryagotrasya vā bālapṛthagjanagotrasya vā /	gotra dvaya AvahA Bavati yat uta Arya gotrasya vA bAla pRTagjana gotrasya vA /
   āryagotraṃ punarmahāmate triprakāramupayāti yaduta	Arya gotram punar mahAmate tri prakAram upayAti yat uta
   śrāvakapratyekabuddhabuddhaprabhedataḥ / tatra kathaṃ punarmahāmate	SrAvaka pratyekabudDa budDa praBedataH / tatra kaTam punar mahAmate
   bālairbhrāntirvikalpyamānā śrāvakayānagotraṃ janayati? yaduta mahāmate	bAlEH BrAntiH vikalpyamAnA SrAvaka yAna gotram janayati? yat uta mahAmate
   svasāmānyalakṣaṇābhiniveśenābhiniviśyamānā śrāvakayānagotrāya saṃvartate /	sva sAmAnya lakzaNa aBiniveSena aBiniviSyamAnA SrAvaka yAna gotrAya saMvartate /
   evaṃ mahāmate sā bhrāntiḥ śrāvakayānagotrāvahā bhavati / tatra kathaṃ	evam mahAmate sA BrAntiH SrAvaka yAna gotra AvahA Bavati / tatra kaTam
   punarmahāmate saiva bhrāntirvikalpyamānā pratyekabuddhayānagotrāvahā	punar mahAmate sA eva BrAntiH vikalpyamAnA pratyekabudDa yAna gotra AvahA
   bhavati? yaduta tasyā eva mahāmate bhrānteḥ	Bavati? yat uta tasyAH eva mahAmate BrAnteH
   svasāmānyalakṣaṇābhiniveśāsaṃsargataḥ pratyekabuddhayānagotrāvahā bhavati	sva sAmAnya lakzaNa aBiniveSa asaMsargataH pratyekabudDa yAna gotra AvahA Bavati
   / tatra kathaṃ (Vaidya 45) punarmahāmate paṇḍitaiḥ saiva	/ tatra kaTam (VEdyaH 45) punar mahAmate paNxitEH sA eva
   bhrāntirvikalpyamānā buddhayānagotrāvahā bhavati? yaduta mahāmate	BrAntiH vikalpyamAnA budDa yAna gotra AvahA Bavati? yat uta mahAmate
   svacittadṛśyamātrāvabodhādbāhyabhāvābhāvavikalpanatayā vikalpyamānā	sva citta dRSya mAtra avaboDAt bAhya BAva aBAva vikalpana tayA vikalpyamAnA
   buddhayānagotrāavahā bhavati / ata eva mahāmate gotram / eṣa gotrārthaḥ /	budDa yAna gotrAa vahA Bavati / atas eva mahAmate gotram / eza gotra arTaH /
   vicitravastubhāvanā punarmahāmate bālairbhrāntirvikalpyamānā	vicitra vastu BAvanA punar mahAmate bAlEH BrAntiH vikalpyamAnA
   saṃsārayānagotrāvahā bhavati, evamidaṃ nānyatheti / ata	saMsAra yAna gotra AvahA Bavati, evam idam na anyaTA iti / ata
   etasmātkāraṇānmahāmate bhrāntirvicitravastutvena kalpyate bālaiḥ / sā ca	etasmAt kAraNAt mahAmate BrAntiH vicitra vastu tvena kalpyate bAlEH / sA ca
   na vastu, nāvastu / saiva mahāmate bhrāntiravikalpyamānā āryāṇāṃ	na vastu, na avastu / sA eva mahAmate BrAntiH avikalpyamAnAH AryANAm
   cittamanomanovijñānadauṣṭhulyavāsanāsvabhāvadharmaparāvṛttibhāvādbhrāntirāryāṇāṃ	citta manaH manaH vijQAna dOzWulya vAsanA svaBAva Darma parAvRtti BAvAt BrAntiH AryANAm
   tathatetyucyate / ata etaduktaṃ bhavati mahāmate   tathatāpi	taTatA iti ucyate / atas etat uktam Bavati mahAmate  taTatA api
   cittavinirmukteti / asyaiva mahāmate padasyābhidyotanārthamidamuktaṃ mayā	citta vinirmuktA iti / asya eva mahAmate padasya aBidyotana arTam idam uktam mayA
     kalpanaiśca vivarjitaṃ sarvakalpanāvirahitamiti yāvaduktaṃ bhavati //	 kalpanEH ca vivarjitam sarva kalpanA virahitam iti yAvat uktam Bavati //
   mahāmatirāha   bhrāntirbhagavan vidyate neti? bhagavānāha  	mahAmatiH Aha  BrAntiH Bagavan vidyate na iti? BagavAn Aha  
   māyāvanmahāmate na lakṣaṇābhiniveśato bhrāntirvidyate / yadi punarmahāmate	mAyAvat mahAmate na lakzaNa aBiniveSataH BrAntiH vidyate / yadi punar mahAmate
   bhrāntirlakṣaṇābhiniveśena vidyate, avyāvṛtta eva mahāmate bhāvābhiniveśaḥ	BrAntiH lakzaNa aBiniveSena vidyate, avyAvRttaH eva mahAmate BAva aBiniveSaH
