   ātmasiddhiḥ /	Atma sidDiH /
   svayaṃprakāśatvaṃ ca niruktānumānataḥ / atastasyaivātmatvaṃ nyāyyamiti /	svayaMprakASa tvam ca niruktA anumAnataH / atas tasya eva Atma tvam nyAyyam iti /
   saṃvida ātmatve lāghavamapyāha kiṃ ce ti / veditrī jñātṛrūpā ātmeti yāvat	saMvidaH Atma tve lAGavam api Aha kim ce ti / veditrI  jQAtR rUpAH AtmA iti yAvat 
   / bhavatvi ti loṭū kāmacārābhyanujñāyām / itipadamanuṣañjanīyam / saṃvida	/ Bavatvi ti lowU kAma cAra aByanujQAyAm / iti pada m anuzaQjanIyam / saMvida
   eva prakāmamātmatvamityabhyanujñānaṃ śreṣṭhamityarthaḥ /	eva prakAmam Atma tvam iti aByanujQAnam SrezWam iti arTaH /
   saṃvida ātmatve bādhakamāśaṅkate nanvaham iti /	saMvidaH Atma tve bADakam ASaFkate nanu aham iti /
   prādhānyādahamarthasyaivātmatvaṃ pratīyate, natu dharmatayā bhāsamānāyāḥ	prADAnyAt aham arTasya eva Atma tvam pratIyate, na tu Darma tayA BAsamAnAyAH
   saṃvida iti bhāvaḥ / ardhāṅgīkāreṇa pariharati satyam iti /	saMvidaH iti BAvaH / arDa aFgIkAreNa pariharati satyam iti /
   jñātṛtvapratītāvupagamaḥ / tatprāmāṇye 'nupagamaḥ / tadaprāmāṇye hetumāha	jQAtR tva pratItO= upagamaH / tad prAmANye anupagamaH / tad aprAmANye hetum Aha
   sa tu iti / jñātā tu bhedarūpatayā nasākṣāt pratyakṣapramāṇasiddhaḥ, kintu	sa tu iti / jQAtA tu Beda rUpa tayA na sAkzAt pratyakza pramANa sidDaH, kintu
   bhrāntisiddhaḥ / svalakṣaṇavastumātrāvagāhi nirvikalpakameva hi pramāṇam /	BrAnti sidDaH / sva lakzaNa vastu mAtrA avagAhi nirvikalpakam eva hi pramANam /
   dharmadharmibhāvādikalpitabhedāvagāhi savikalpakaṃ tu	Darma Darmi BAva Adi kalpita Beda avagAhi sa vikalpakam tu
   bhramalakṣaṇamati hārdam / jñātṛbhedapratīteḥ yauktikabādhamapyāha	Brama lakzaNam ati hArdam / jQAtR Beda pratIteH yOktika bADam api Aha
   bhedajñāne ti / siddhavatkāreṇetyasyāgre 'pīti yojyam / apṛthagvastutaye	Beda jQAne ti / sidDa vatkAreNa iti asya agre api iti yojyam / apRTak vastutaye
   ti pāṭhaḥ saṃbhāvyate / vā aprakāśātmana iti padacchedaḥ / tathā	ti pAWaH saMBAvyate / vE aprakASa AtmanaH iti pada= CedaH / taTA
   cāyamarthaḥ bhedajñānasiddhavatkāreṇāpi kvacidbhedajñānasya	ca ayam arTaH Beda jQAna sidDa vatkAreNa api kva cit Beda jQAnasya
   prāmāṇyopagamenāpi / saṃvedanānāṃ bhedasya saugataiḥ tattvataḥ	prAmANya upagamena api / saMvedanAnAm Bedasya sOgatEH tattvataH
   iṣyamāṇatvāt / apṛthagvastutayā abhinnavastutvena sādhyena,	izyamANa tvAt / apRTak vastu tayA a a Binna vastu tvena sADyena,
   gṛhītāvyabhicāreṇa gṛhītavyāptikena, sahopalambhaniyamena jñānajñātroḥ	gRhIta avyaBicAreNa gRhIta vyAptikena, saha upalamBa niyamena  jQAna jQAtroH
   mahopambhaniyamarūpahetunā, jñāturaprakāśasvabhāvatve prakāśāyogaḥ	mahA upamBa niyama rUpa hetunA, jQAtura prakASa svaBAva tve prakASa ayogaH
   svabhāvavirodhādeva, prakāśasvabhāvatve ca saṃvedanatvamevetyādinā vā	svaBAva viroDAt eva, prakASa svaBAva tve ca saMvedana tvam eva ityAdinA vA
   saṃvidabhedasādhakena saṃvidbhedavādhakena hetunā aprakāśātmanaḥ	saMvid aBeda sADakena saMvid Beda vADakena hetunA aprakASa AtmanaH
   saṃvidbhinnasya jñāturahamarthasyātmanaḥ tattvaṃ svarūpaṃ	saMvid Binnasya jQAtuH aham arTasya AtmanaH tattvan svarUpam
   durupagamam upagantumaśakyamityarthaḥ / tṛtīyāntadvayaṃ	durupagamam  upagantum aSakyam iti arTaH / tRtIyAnta dvayam
   durupagamamityanenānvitam / jñātā saṃvidabhinnaḥ saṃvidā	durupagamam iti anena anvitam / jQAtA saMvid a BinnaH saMvidA
   sahaivopalabhyamānatvāt prakāśasvabhāvatvādvā iti prayogo 'tra bodhyaḥ /	saha eva upalaByamAna tvAt prakASa svaBAva tvAt vA iti prayogaH atra boDyaH /
   yadvā pṛthagvastutayenatvāt syātpāṭhaḥ /	yat vA pRTak vastutayena tvAt syAt pAWaH /
   avyabhicāranirūpakasyābhedarūpasādhyasyopasthitistvarthāt / prakāśātmana	avyaBicAra nirUpakasya aBeda rUpa sADyasya upasTitiH tu arTAt / prakASa Atmana
   ityeva cāstu padacchedaḥ / sahopalambhaniyamena, prakāśasvābhāvye ca	iti eva ca astu pada= CedaH / saha upalamBa niyamena, prakASa svABAvye ca
   saṃvedanatvamityādinā vā hetunā prakāśātmanaḥ saṃvidabhinnasya siddhyata	saMvedana tvam ityAdinA vA hetunA prakASa AtmanaH saMvid aBinnasya sidDyata
   ātmanaḥ,	AtmanaH,
   bhedajñānasiddhavatkāreṇa bhādajñānaprāmāṇyasiddhavadaṅgīkaraṇena,	Beda jQAna sidDa vat kAreNa BAda jQAna prAmANya sidDa vat aFgIkaraNena,
   pṛthagvastutayā saṃvidbhinnatvena tattvam astitvaṃ, durupagamamityarthaḥ /	pRTak vastu tayA  saMvid Binna tvena tattvam astitvan, durupagamam iti arTaH /
   nirukprakāraṃ grāhakabhedanirāsahetuṃ grāhyabhedanirāse 'pyatidiśati	niruj prakAram grAhaka Beda nirAsa hetum grAhya Beda nirAse api atidiSati
   grāhye ti / sahopalambhaniyamāt prakāśasvabhāvye ca saṃvedanatvamityādito	grAhye ti / saha upalamBa niyamAt prakASa svaBAvye ca saMvedana tvam iti Aditas 
   vā saṃvidabhinnatvaṃ nīlāderviṣayasyeti jñānabhinnatvena	vA saMvid aBinna tvam nIla AdeH vizayasya iti jQAna Binna tvena
   nīlādyarthabhedasyāpyasattvamityarthaḥ / nanu grāhyagrāhakayoḥ	nIla Adi arTa Bedasya api asattvam iti arTaH / nanu grAhya grAhakayoH
   saṃvidabhede jñātṛjñeyabhedānāṃ jñānatobhedenāvabhāsaḥ kathamityatrāha ata	saMvid aBede jQAtR jQeya BedAnAm jQAna toBedena avaBAsaH kaTam iti atra Aha ata
   iti / doṣamūlogrāhyagrāhakabhedāvabhāso mithyā;	iti / doza mUlaH grAhya grAhaka Beda avaBAsaH miTyA;
   saṃvidābhāsamātraṃ satyamiti bhāvaḥ / tatra vāsanā doṣa iti prakaṭānāṃ	saMvid ABAsa mAtram satyam iti BAvaH / tatra vAsanA dozaH iti prakawAnAm
   saugatānāṃ yogācārāṇāṃ pakṣaḥ / anādyavidyā doṣa iti pracchannānāṃ	sOgatAnAm yoga AcArANAm pakzaH / anAdya vidyA dozaH iti pracCannAnAm
   māyāvādinām / grāhyagrāhakavikalpaḥ jñeyajñātṛbhedaḥ	mAyA vAdinAm / grAhya grAhaka vikalpaH  jQeya jQAtR BedaH
   jñānaviṣayatvajñānāśrayatvalakṣaṇaḥ /	jQAna vizaya tva jQAna ASraya tva lakzaNaH /
   uktārthe prakaṭānāṃ saugatānāṃ saṃmatiṃ pradarśayati avibhogo 'pī ti /	ukta arTe prakawAnAm sOgatAnAm saMmatim pradarSayati aviBogaH apI ti /
   buddhirevā'tmā / sā ca nirbhedāpi bhrāntijñānaiḥ	budDiH evA atmA / sA ca nirBeda api BrAnti jQAnEH
   nīlabhedādigrāhyabhedacaitramaitrādigrāhaka bheda 	nIla Beda Adi grAhya Beda cEtra mEtra Adi grAhaka Beda 
   pratyakṣatvānumānatvādilakṣaṇajñānabhedavatīva pratīyata iti kārikārthaḥ /	pratyakza tvA anumAna tva Adi lakzaNa jQAna BedavatI iva pratIyate iti kArikA arTaH /
   māyināṃ saṃmatimupadarśayati śuddham iti / bheda prapañcasya śuddhaṃ	mAyinAm saMmatim upadarSayati SudDam iti / Beda prapaQcasya SudDam
   tattvaṃ nopādānam / tathā sati paramārthatvāpattyānivṛttiprasaṅgāt /	tattvam na upAdAnam / taTA sati paramArTa tva Apatti A nivRtti prasaFgAt /
   tatastasya prapañcasya māyaiva vividhavicitramithyārthapratibhāsahetuḥ	tatas tasya prapaQcasya mAyA eva  viviDa vicitra miTyA arTa pratiBAsa hetuH
   mithyābhū	miTyABU
   tānādyavidyaiva jananī upādānamiti kārikārthaḥ / nirviśeṣasanmātraṃ	tAn Adi avidyA eva jananI upAdAnam iti kArikA arTaH / nirviSeza sanmAtram
   cidrūpaṃ paramārthaḥ / tatrādhiṣṭhāne aparamārthanānābhedapratibhāso	cit rUpam parama arTaH / tatra aDizWAne aparama arTa nAnA Beda pratiBAsaH 
   māyayeti bhāvaḥ /	mAyayA iti BAvaH /
   ātmanaḥ svayaṃprakāśatvaṃ śrautam / saṃvidastathātvaṃ ca yuktisiddham /	AtmanaH svayaMprakASa tvam SrOtam / saMvidaH taTA tvam ca yukti sidDam /
   tattasyā evātmatvam / tadbhinnasya tu sarvasya	tat tasyAH eva Atma tvam / tad Binnasya tu sarvasya
   doṣamūlatvādābhāsamātratvamiti saṃvidātmatvaṃ pūrvapakṣitam / tatra cāsti	doza mUla tvAt ABAsa mAtra tvam iti saMvid Atma tvam pUrva pakzitam / tatra ca asti
   matadvayam / kṣaṇikavijñānamātmā, nityavijñānamātmeti ca / tatra	mata dvayam / kzaNika vijQAnam AtmA, nitya vijQAnam AtmA iti ca / tatra
   kṣaṇikavijñānātmatvamataṃ prakaṭasaugatānāṃ tāvannirasyati atrā'he tyādinā	kzaNika vijQAna Atma tva matam prakawa sOgatAnAm tAvat nirasyati atrA ahe tyAdinA
   / nityātmavādīkṣaṇikavijñānātmavāde dūṣaṇamāhetyarthaḥ / kṣaṇabhaṅginī ti	/ nitya Atma vAdI kzaNika vijQAna Atma vAde dUzaNam Aha iti arTaH / kzaNa BaFginI ti
   / kṣaṇarūpāvināśasvabhāvā viṣayabhedena nānā ca saṃvidupalabhyate /	/ kzaNa rUpA vinASa svaBAvA vizaya Bedena nAnA ca saMvid upalaByate /
   tasyāścedātmatvaṃ pratyabhijñādikaṃ nopapadyate / anusandhāturātmanaḥ	tasyAH ced Atma tvam pratyaBijQA Adikam na upapadyate / anusanDa Atura AtmanaH
   sthiratva eva tadupapatteriti bhāvaḥ / atha pratibhāyā iva nirviṣayatvaṃ	sTiratvaH eva tat upapatteH iti BAvaH / aTa pratiBAyAH iva nirvizaya tvam
   pratyabhijñāyāḥ śaṅkate na ca nirālambane ti / pratyabhijñā nirviṣayā	pratyaBijQAyAH SaFkate na ca nirAlambane ti / pratyaBijQA nirvizayA
   pratibhātvāt mānasakalpanāvilāsavaditi prayogaḥ / atra bādhitatvamāha	pratiBA tvAt mAnasa kalpanA vilAsa vat iti prayogaH / atra bADita tvam Aha
   nirālambanatve ti / jñānasāmānyasya saviṣayakatvaniyamānnirviṣayakatve	nirAlambana tve ti / jQAna sAmAnyasya sa vizayaka tva niyamAt nirvizayaka tve
   jñānatvāyogāt jñānaviśeṣe nirviṣayakatvasādhanaṃ bādhitaviṣayamityarthaḥ /	jQAna tva ayogAt jQAna viSeze nirvizayaka tva sADanam bADita vizayam iti arTaH /
   pratibhāyāmapi nātyantāya nirviṣayatvam / anyatra sata evānyatra bhānāt /	pratiBAyAm api na atyantAya nirvizaya tvam / anyatra sataH eva anyatra BAnAt /
   kvacidyāthārthyasyāpi dṛṣṭeriti bhāvaḥ / jñānasāmānyasya	kvacid yATArTyasya api dRzweH iti BAvaH / jQAna sAmAnyasya
   nirviṣayakatvamiti pakṣe svapravṛttivyāghātamapyāha sādhanasya ce ti /	nirvizayaka tvam iti pakze sva pravRtti vyAGAtam api Aha sADanasya ce ti /
   nirviṣayakatvasādhakānumānasya saviṣayakatve tadaviśeṣeṇāśeṣajñānānāṃ	nirvizayaka tva sADaka anumAnasya sa vizayaka tve tad aviSezeNa aSeza jQAnAnAm
   saviṣayakatvaṃsyāt / tasya nirviṣayakatve ca na	sa vizayaka tvaMsyAt / tasya nirvizayaka tve ca na
   nirviṣayakatvarūpasādhyasiddhiriti sādhanārthapravṛttivaighaṭyamiti bhāvaḥ	nirvizayakatva rUpa sADya sidDiH iti sADana arTa pravRtti vEGawyam iti BAvaH
   / prapañcitaśce ti / pūrvamīmāṃsāprathamādhyāyaprathamapāde	/ prapaQcitaH ce ti / pUrva mImAMsA praTama aDyAya praTama pAde
   uttaramīmāṃsādvitīyādhyāyacaraṇe ca jñānanirālambanatvamatanirākaraṇaṃ	uttaramI mAMsa advitIya aDyAya caraNe ca jQAna nirAlambana tvam atanirAkaraNam
   sūtratadvyākhyākartṛbhiḥ kṛtam / śāstre ca nyāyatattāvakhye	sUtra tad vyAKyA kartRBiH kRtam / SAstre ca nyAya tat tA= aKye
   sarvavijñānayāthārthyasamarthanena kṛtamityarthaḥ / atra	sarva vijQAna yATArTya samarTanena kRtam iti arTaH / atra
   pūrvottaramīmāṃsābhāgayorityanena mīmāṃsāyā viṃśatilakṣaṇyā aikaśāstrayaṃ	pUrva uttara mImAMsA BAgayoH iti anena mImAMsAyAH viMSati lakzaNyAH EkaSAH trayam
   tatpūrvottarabhāgarūpatvaṃ ca karmabrahmavicārayorabhimatam /	tad pUrva uttara BAga rUpa tvam ca karma brahma vicArayoH aBimatam /
   nanu vijñānaṃ dvividhaṃ pravṛttivijñānamālayavijñānaṃ ceti / tatrā'dyaṃ	nanu vijQAnam dviviDam pravRtti vijQAnam Alaya vijQAnam ca iti / tatrA adyam
   nīlapītādijñānam / antyaṃ cāhamākāramātmarūpam / kṣaṇikatve	nIla pIta Adi jQAnam / antyam ca aham AkAram Atma rUpam / kzaNika tve
   'pyubhayavidhavijñānasyā'layavijñānadhārānuvṛttyā pratyabhijñopapadyata	api uBayaviDa vijQAnasya Aalaya vijQAna DArA anuvRttyA pratyaBijQA upapadyata
   ityatrāha  ata eve ti / vijñānakṣaṇe ti / vijñānameva kṣaṇo vijñānakṣaṇaḥ	iti atra aha atas eve ti / vijQAna kzaNe ti / vijQAnam eva kzaNaH vijQAna kzaNaH
   / anusandhāyinaḥ pūrvānubhūtārthapratisandhānakartṛḥ	/ anusanDAyinaH pUrva anuBUta arTa pratisanDAna kartRH
   kṣaṇikavijñānavyatiriktasya sthirasyopagame sarvaṃ kṣaṇikamiti	kzaNika vijQAna vyatiriktasya sTirasya upagame sarvam kzaNikam iti
   siddhāntatyāgaḥ / prakārāntareṇa jñānavyatiriktajñātrabhyupaga	sidDAnta tyAgaH / prakAra antareNa jQAna vyatirikta jQAtraByupaga
   maprasaṅgaśceti bhāvaḥ / anabhyupagama iti /	mapra saFgaH ca iti BAvaH / anaByupagamaH iti /
   kṣaṇikakramikavijñānasamudāyalakṣaṇaṃ santānaṃ samudāyyanatiriktaṃ	kzaNika kramika vijQAna samudAya lakzaNam santAnam samudAyi anatiriktam
   cetpratyabhijñānupapattireva, santānāntargatasya	ced pratyaBijQA anupapattiH eva, santAna antargatasya
   pūrvasyānubhaviturvinaṣṭatvāt, uttarasya cānanubhavitṛtvena	pUrvasya anuBavituH vinazwa tva at, uttarasya ca ananuBavitR tvena
   pratisandhānāyogāditi bhāvaḥ / atredamanusandheyam kṣaṇikānāṃ	pratisanDAnA yogAt iti BAvaH / atra idam anusanDeya m kzaNikAnAm
   samudāyabhāvo 'pi na ghaṭate, sthiraikadeśakālādyupādhikroḍīkārāsaṃbhavāt	samudAya BAvaH api na Gawate, sTira eka deSa kAla Adi upADi kroxIkAra asaMBavAt
   saugate naye / ekabuddhikroḍīkārastvatiprasaktaḥ /	sOgate naye / ekabudDi kroxIkAraH tu ati prasaktaH /
   bhinnasantānivijñānānāmapi tathātvena santānaniyamānupapattyāpatteḥ /	Binna santAni vijQAnAnAm api taTA tvena santAna niyama anupapatti ApatteH /
   pūrvapūrvavijñānopādānakottarottaravijñānaparamparā santānamiti cenna /	pUrva pUrva vijQAna upAdAnaka uttara uttara vijQAna paramparA santAnam iti ced na /
   vinaṣṭasya kāryakāle 'sata upādānatvāyogāt /	vinazwasya kArya kAle asataH upAdAna tva ayogAt /
   pūrvatvamātrasyātiprasaktatvācca / tatsantānaniyamānupapattireveti /	pUrva tva mAtrasya ati prasakta tvAt ca / tad santAna niyama anupapattiH eva iti /
   nanvālayavijñānasya sausādṛśyena aikyabhrāntyā pratisandhānaṃ bhramātmakaṃ	nanu Alaya vijQAnasya sOsAdRSyena Ekya BrAntyA pratisanDAnam Brama Atmakam
   ghaṭata iti śaṅkate na ci ti / bhrāntirūpā ca pratyabhijñā na ghaṭata	GawataH iti SaFkate na ci ti / BrAnti rUpA ca pratyaBijQA na Gawata
   ityarthaḥ / ghaṭate iti śeṣaḥ / dṛṣṭāntavaiṣamyamupapādayati yujyata iti /	iti arTaH / Gawate iti SezaH / dRzwAnta vEzamyam upapAdayati yujyate iti /
   dṛṣṭānte bhinnakālikadīpakalikayoḥ susadṛśayoḥ sākṣātkartā sthiraścetanaḥ	dRzwAnte Binna kAlika dIpa kalikayoH su sadRSayoH sAkzAtkartA sTiraH cetanaH
   prasiddho bhrāntibhāktvayogyaḥ / tattatra bhrāntirūpā pratyabhijñā ghaṭate	prasidDaH BrAnti BAktva yogyaH / tat tatra BrAnti rUpA pratyaBijQA Gawate
   / na ca tathā prakṛte saṃvidāṃ draṣṭātiriktaḥ sthiro 'bhyupeyate / ataḥ	/ na ca taTA prakRte saMvidAm drazwA atiriktaH sTiraH aByupeyate / atas 
   saṃvidevātmānyenātmanābhedaṃ svātmani bhāvayediti vācyam /	saMvid eva AtmA anyena AtmanA Bedam sva Atmani BAvayet iti vAcyam /
   parasparavārtāmabhijñatvānnānyasmādbhedamabhedaṃ vā svātmani gṛhītumalam /	paraspara vArtAm aBijQa tvAt na anyasmAt Bedam aBedam vA sva Atmani gRhItum alam /
   niranvayavināśācca pūrvadharmānuvṛttibalādapi pūrvānubhūtapratisandhānādi	niranvaya vinASAt ca pUrva Darma anuvRtti balAt api pUrva anuBUta pratisanDAna Adi
   na ghaṭate iti samuditāśayaḥ /	na Gawate iti samudita ASayaH /
   parasparavārtānabhijñatvaṃ jñānāntaratadviṣayāgrāhitvam /	paraspara vArtA anaBijQa tvaM  jQAna antara tad vizaya AgrAhi tvam /
   niranvayavināśitvaṃ samūlavināśitvaṃ  svarūpato dharmataśca /	niranvaya vinASi tvaM sa mUla vinASi tvaM svarUpataH DarmataH ca /
   uttarottarakṣaṇeṣu pūrvapūrvavijñānakṣaṇato	uttara uttara kzaNezu pUrva pUrva vijQAna kzaNato
   vāsanodayātpratisandhānopapattirityapi na /	vAsanA udayAt pratisanDAna upapattiH iti api na /
   anantavāsanotpattivināśādikalpanāyāmatigauravāditi dik / śiṣṭaṃ spaṣṭam /	ananta vAsana utpatti vinASa Adi kalpanAyAm ati gOravAt iti diS / Sizwam spazwam /
   atra nityātmavādinā kenaciduktaṃ saṃvida āgamāpāyitvādikamamṛṣyamāṇo	atra nitya Atma vAdinA kenacid uktam saMvidaH Agama apAyi tva Adikam amRzyamANaH 
   'dvaitī pratyavatiṣṭhate / taducyate kaścidāhe ti / svasyāsattve	advEtI pratyavatizWate / tat ucyate kaScid Ahe ti / svasya asattve
   grāhakābhāvāt svasya svattve grāhyābhāvāśca na svataḥ saṃvidaḥ	grAhaka aBAvAt svasya svat tve grAhya aBAvAH ca na svatas saMvidaH
   prāgabhāvagrahaḥ / saṃvido	prAgaBAva grahaH / saMvidaH 
   jñānāntarāgocaratvenānyajñānatastajjñānaprāgabhāvagraho 'pi na saṃbhavati	jQAna antara agocara tvena anya jQAnataH tad jQAna prAgaBAva grahaH api na saMBavati
   / jñānaviṣayīkāramantarā taduparaktaprāgabhāvagrahaṇāyogāt /	/ jQAna vizayIkAram antarA tad uparakta prAgaBAva grahaNA yogAt /
   jñānāntaragocaratve ca ghaṭādivajjaḍatvaprasaṅgāt /	jQAna antara gocara tve ca Gawa Adi vat jaxa tva prasaFgAt /
   tatpramāṇābhāvātprāgabhāvaḥ saṃvido nāstīti bhāvaḥ / ata iti /	tad pramANa aBAvAt prAc aBAvaH saMvidaH na asti iti BAvaH / atas iti /
   prāgabhāvābhāvādutpattirnāsti saṃvidaḥ /	prAgaBAva aBAvAt utpattiH na asti saMvidaH /
   prāgabhāvasyāpyutpādakāntargatatvādityarthaḥ / janmābhāvā diti / itare	prAgaBAvasya api utpAdaka antargata tvAt iti arTaH / janma aBAvAH diti / itare
   bhāvavikārāḥ astitvavṛddhipariṇāmāpakṣayavināśāḥ / astitvamatra svopā	BAva vikArAH  astitva vRdDi pariNAma apakzaya vinASAH / astitvam atra sva upA
   dānāvacchinnasthitilakṣaṇam / utpattipratibaddhatvāt u	dAna avacCinna sTiti lakzaNam / utpatti pratibadDa tvAt u
   tpattivyāpyatvāt / vyāpakanivṛttyā vyāpyanivṛttiriti bhāvaḥ / ata eve ti /	tpatti vyApya tvAt / vyApaka nivRttyA vyApya nivRttiH iti BAvaH / atas eve ti /
   utpattyabhāvādeva sajātīyasaṃvidbhedalakṣaṇaṃ nānātvamapi	utpatti aBAvAt eva sajAtIya saMvid Beda lakzaNam nAnAtvam api
   nirastamityarthaḥ / utpattimattvavyāpake ti / karmadhārayo 'yam /	nirastam iti arTaH / utpattimat tva vyApake ti / karmaDArayaH ayam /
   vibhāgi nānā, bhinnam / atra saṃvinna nānā, nāpi vikāravatī,	viBAgi nAnA, Binnam / atra saMvid na nAnA, na api vikAravatI,
   ajatvādyannaivaṃ tannevaṃ yathā ghaṭa iti vyatirekiprayogaḥ / saṃvidi	aja tvAt yat na evam tat nevam yaTA GawaH iti vyatireki prayogaH / saMvidi
   bhedādiniṣedhe dharmapakṣakamanvayi ca pradarśayati cetyatvācce ti /	Beda Adi nizeDe Darmapakzakam anvayi ca pradarSayati cetya tvAt ce ti /
   bhedādayo na saṃvidi anubhāvyatvādrūpādivat / atra bhedapadaṃ	Beda AdayaH na saMvidi anuBAvya tvAt rUpa Adi vat / atra Beda padam
   vikārātmakotpattyādyavasthābhedaparaṃ prakaraṇāt /	vikAra Atmaka utpatti Adi avasTA Beda param prakaraNAt /
   itaretarābhāvaḥ sajātīyabhedaḥ / vijātīyasvāgatabhedāvādipadagrāhyau /	itaretarABAvaH  sajAtIya BedaH / vijAtIyasvAgata BedO= Adi pada grAhyO /
   yadvā bhedo vijātīyabhedaḥ / itaretarābhāvo yathoktarūpaḥ /	yat vA BedaH vijAtIya BedaH / itaretarABAvaH yaTA ukta rUpaH /
   ādipadagrāhyāḥ utpattyādyavasthāḥ svagatabhedāśca / etanmataṃ kroḍīkaroti	Adipada grAhyAH utpatti Adi avasTAH sva gata BedAH ca / etat matam kroxIkaroti
   ata iti / nirastanikhilabhedāsattvaprakāśatvādidharmarahitā	atas iti / nirasta niKila Beda asattva prakASa tva Adi Darma rahitA
   prakāśaikasvarūpā saṃvidevāvikāranityā paramātmā jīvātmā ca / jīvabhedo	prakASa eka svarUpA saMvid eva avikAra nityA paramAtmA jIvAtmA ca / jIva BedaH 
   'pi kalpita iti bhāvaḥ / uktārthe saṃvādamudāharati yānubhūti riti /	api kalpitaH iti BAvaH / ukta arTe saMvAdam udAharati yA anuBUti riti /
   ajatvam anutpattimattvam / ameyatvaṃ jñānāgocaratvam /	aja tvam  anutpattimat tvam / ameya tvan jQAna agocara tvam /
   anantatvaṃ vināśarāhityam / ātmatvam jīvātmaparamātmarūpatvam /	ananta tvaM vinASa rAhityam / Atma tvam  jIva Atma paramAtma rUpa tvam /
   niruktarūpaikā saṃvideva sarvavyāpikā paramātmarūpopādhibhedena	nirukta rUpA ekA saMvid eva sarva vyApikA paramAtma rUpa upADi Bedena
   nānājīvātmarūpā ceti bhāvaḥ / saiva ce ti / na vācyaśaktayeyaṃ vedānteṣu	nAnAjIva Atma rUpA ca iti BAvaH / sA eva ce ti / na vAcya SaktayA iyam vedAntezu
   pratipādyate / avācyaiva satī tātparyavṛttyā teṣu gamyata ityarthaḥ /	pratipAdyate / avAcyA eva satI tAtparyavRttyA tezu gamyate iti arTaH /
   bhāṣā paribhāṣā, saṅketa iti yāvat / saṅketabalādeva	BAzA  pariBAzA, saFketa iti yAvat / saFketa balAt eva
