   akatra prativāsinaḥ (?) K_892b	akatra prativAsinaH (?) K_892b
   gatā badarikāśramam Par_1.5d	gatAH badarikASramam Par_1.5d
   gatāḥ syur ye tu madhyatām K_675b	gatAH syuH ye tu maDya tAm K_675b
   gatidā gaṇavāritā Ang_1.929d	gati dA gaNa vAritAH Ank _1.929d
   gatibhāṣitaceṣṭitam Mn_2.199d	gati BAzita cezwitam M= _2.199d
   gatim asyāntarātmanaḥ Mn_6.73d	gatim asya antarAtmanaH M= _6.73d
   gatim āhur manīṣiṇaḥ Mn_12.50d	gatim AhuH manIziNaH M= _12.50d
   gatir ātmā tathātmanaḥ Mn_8.84b	gatiH AtmA taTA AtmanaH M= _8.84b
   gatirūrdhvaṃ na vidyate Ang_2,8.7d	gatiH UrDvam na vidyate Ank _2,8.7d
   gatir ūrdhvā na vidyate Par_12.34(33)d	gatiH UrDvA na vidyate Par_12.34(33)d
   gatir eṣā vidhīyate Par_4.1d	gatiH ezA viDIyate Par_4.1d
   gatīḥ svenaiva cetasā Mn_12.23b	gatIH svena eva cetasA M= _12.23b
   gate tasmin nimagnāṅgaṃ Yj_2.109c	gate tasmin nimagna aFgam Yt _2.109c
   gate tasmin punastathā Ang_1.103d	gate tasmin punar taTA Ang_1.103d
   gate 'nnaśrāddhamācaret Ang_1.279b	gate anna SrAdDam Acaret Ank _1.279b
   gatopagamanād eva YSS_2.62c	gata upagamanAt eva YSH _2.62c
   gatyā karmaphalena ca Yj_3.164b	gatyA karma Palena ca Yt _3.164b
   gatvā kakṣāntaraṃ tv anyat Mn_7.224[228M]a	gatvA kakza antaram tu anyat M= _7.224[228M]a
   gatvā cāndrāyaṇaṃ kuryāt YS182v_2.1c	gatvA cAndrAyaNam kuryAt YS182u _2.1c
   gatvā cāndrāyaṇaṃ caret Mn_11.171[170M]d	gatvA cAndrAyaNam caret M= _11.171[170M]d
   gatvā caiva divā striyam Yj_3.290d	gatvA ca eva divA striyam Yt _3.290d
   gatvā tu praviśed agniṃ YS182v_3.7c	gatvA tu praviSet agnim YS182u _3.7c
   gatvā tu praviśed agniṃ YSS_1.29c	gatvA tu praviSet agnim YSH _1.29c
   gatvā nadītaṭe vipro Par_11.13c	gatvA nadI tawe vipraH Par_11.13c
   gatvānṛṇyaṃ yathāvidhi Mn_4.257[258M]b	gatvA AnRNyam yaTAviDi M= _4.257[258M]b
   gatvā puṃsāṃ śataṃ yāti Par_10.35a	gatvA puMsAm Satam yAti Par_10.35a
   gatvāraṇyaṃ samāhitaḥ Mn_2.104d	gatvA araNyam samAhitaH M= _2.104d
   gatvaitāṃś ca sagotrāṃ ca YSS_1.31c	gatvA etAn ca sagotrAm ca YSH _1.31c
   gatvaitāḥ praviśed agniṃ YS99v_35c	gatvA etAH praviSet agnim YS99u _35c
   gatvodakyāṃ viśudhyati Yj_3.287d	gatvA udakyAm viSuDyati Yt _3.287d
   gadādharamaheśvarau Ang_1.538d	gadADara maheSvarO Ank _1.538d
   gadgadeṣu jaḍeṣu ca Par_4.27b	gadgadezu jaxezu ca Par_4.27b
   gantavyaṃ vā tato 'nyataḥ Mn_2.200d	gantavyam vA tatas anyatas M= _2.200d
   gantrī vasumatī nāśam Yj_3.10a	gantrI vasumatI nASam Yd _3.10a
   gandhadravyairakāvetra  Nar_1.60c	ganDa dravyEH aka avetra Nar_1.60c
   gandhadvāreti gomayam Par_11.32b	ganDa dvAra iti gomayam Par_11.32b
   gandhadhānyaguḍādiṣu Yj_2.245b	ganDa DAnya guxa Adizu Yt _2.245b
   gandham āghrāya somapaḥ Mn_11.149[148M]b	ganDam AGrAya somapaH M= _11.149[148M]b
   gandhamādanasaṃsthasya Nar_M2.16a	ganDamAdana saMsTasya Nar_M2.16a
   gandhamālyam adattaṃ tu Nar_M2.35a	ganDa mAlyam adattam tu Nar_M2.35a
   gandhamālyavivarjitam Ang_2,8.11b	ganDa mAlya vivarjitam Ank _2,8.11b
   gandhamālyaiḥ surabhibhir Mn_3.209[199M]c	ganDa mAlyEH suraBiBiH M= _3.209[199M]c
   gandharūparasasparśa  Yj_3.91a	ganDa rUpa rasa sparSa Yt _3.91a
   gandharvaś ca śubhāṃ giram Yj_1.71b	ganDarvaH ca SuBAm giram Yt _1.71b
   gandharvā guhyakā yakṣā Mn_12.47a	ganDarvAH guhyakAH yakzAH M= _12.47a
   gandharvāpsaraso 'surān Mn_1.37b	ganDarva apsarasaH asurAn M= _1.37b
   gandharvoragarakṣasām Mn_3.196[186M]b	ganDarva uraga rakzasAm M= _3.196[186M]b
   gandhalepakṣayakaraṃ Yj_1.17c	ganDa lepa kzaya karam Yt _1.17c
   gandhavarṇarasānvitam Nar_20.35b	ganDa varNa rasa anvitam Nar_20.35b
   gandhavarṇarasānvitāḥ Mn_5.128[126M]d	ganDa varNa rasa anvitAH M= _5.128[126M]d
   gandhaṃ mālyaṃ rasān striyaḥ Mn_2.177b	ganDam mAlyam rasAn striyaH M= _2.177b
   gandhākṣatayavādikam Ang_1.801b	ganDa akzatayava Adikam Ank _1.801b
   gandhākṣatasumādikam Ang_1.794d	ganDa akzata sumAdikam Ank _1.794d
   gandhānāṃ ca rasānāṃ ca Mn_9.329c	ganDAnAm ca rasAnAm ca M= _9.329c
   gandhān chucchundarī śubhān Yj_3.213d	ganDAn CucCundarI SuBAn Yt _3.213d
   gandhāś ca balayaś caiva Yj_1.299a	ganDAH ca balayaH ca eva Yt _1.299a
   gandhāḥ puṣpaṃ dadhi kṣitiḥ Yj_1.214b	ganDAH puzpam daDi kzitiH Yt _1.214b
   gandhair maṇḍalakeṣu vā Yj_1.298b	ganDEH maNxalakezu vE Yt _1.298b
   gandhodakatilair yuktaṃ Yj_1.253a	ganDa udaka tilEH yuktam Yt _1.253a
   gandho lepaś ca tatkṛtaḥ Mn_5.126[124M]b	ganDaH lepaH ca tad kRtaH M= _5.126[124M]b
   gandho lepaś ca tiṣṭhati Mn_4.111b	ganDaH lepaH ca tizWati M= _4.111b
   gandhauṣadhirasānāṃ ca Mn_7.131[132M]c	ganDa ozaDi rasAnAm ca M= _7.131[132M]c
   gamanaṃ samakālikam K_443b	gamanam sama kAlikam K_443b
   gamanād eva śūdrāyāṃ tv YSS_2.63a	gamanAt eva SUdrAyAm tu YSH _2.63a
   gamanīyatamo bhavet Mn_7.174[175M]b	gamanIyatamaH Bavet M= _7.174[175M]b
   gamane tv āgamaḥ kāryaḥ K_443c	gamane tu AgamaH kAryaH K_443c
   gamayaty uttamaṃ gatim Mn_5.42d	gamayati uttamam gatim M= _5.42d
   gamyaṃ tv abhāve dātṝṇāṃ Yj_1.64c	gamyam tu aBAve dAtLNAm Yt _1.64c
   gamyā api hi nopeyās Nar_12.78c	gamyAH api hi na upeyAH Nar_12.78c
   gamyāsv api pumān dāpyaḥ Yj_2.290c	gamyAsu api pumAn dApyaH Yj_2.290c
   gamyāḥ syur ānulomyena Nar_12.77c	gamyAH syuH Anulomyena Nar_12.77c
   gayasya sumahātmanaḥ Ang_1.488d	gayasya su mahAtmanaH Ank _1.488d
   gayādipuṇyakṣetrāṇi Ang_1.537c	gayA Adi puNya kzetrANi Ank _1.537c
   gayāphalgunikāśāka  Ang_1.489a	gayA Palgu nikASAka Ank _1.489a
   gayāyāṃ ca mṛte 'hani Ang_1.662d	gayAyAm ca mRte ahani Ank _1.662d
   gayāśrāddhamathāparam Ang_1.480d	gayA SrAdDam aTa aparam Ank _1.480d
   gayāśrāddhaśatādhikam Ang_1.904d	gayA SrAdDa Sata aDikam Ank _1.904d
   gayāśrāddhaśatādhikāt Ang_1.564b	gayA SrAdDa Sata aDikAt Ank _1.564b
   gayāśrāddhasamaḥ ko 'pi Ang_1.702a	gayA SrAdDa samaH kaH api Ank _1.702a
   gayāśrāddhasahasrakṛt Ang_1.544d	gayA SrAdDa sahasra kRt Ank _1.544d
   gayāśrāddhaṃ ca phalgunyāḥ Ang_1.476a	gayA SrAdDam ca PalgunyAH Ank _1.476a
   gayo rāmo 'thavā śrīmān Ang_1.494c	gayaH rAmaH aTavA SrImAn Ank _1.494c
   garadāgnidakīnāśa  Nar_1.163c	garada agnidakI nASa Nar_1.163c
   garadūṣo gaṇatrigaḥ Ang_1.526b	garadUzaH gaNatri gaH Ank _1.526b
   garīyasi garīyāṃsam Nar_19.42a	garIyasi garIyAMsam Nar_19.42a
   garīyān brahmadaḥ pitā Mn_2.146b	garIyAn brahma daH pitA M= _2.146b
   garīyo yad yad uttaram Mn_2.136d	garIyaH yat yat uttaram M= _2.136d
   gargeyā gautamīyāś ca Par_1.13a	gargeyAH gOtamIyAH ca Par_1.13a
   gartaprasravaṇeṣu ca Mn_4.203[204M]d	garta prasravaNezu ca M= _4.203[204M]d
   garte deyaṃ tathaiva ca K_947b	garte deyam taTA eva ca K_947b
   gardabhaṃ paśum ālabhya Yj_3.280c	gardaBam paSum AlaBya Yt _3.280c
   gardabhena catuṣpathe Mn_11.118[117M]b	gardaBena catuzpaTe M= _11.118[117M]b
   gardhabhājāvikānāṃ tu Mn_8.298a	garDa BAjAvikAnAm tu M= _8.298a
   garbhapātaṃ ca yā kuryān Par_4.19c	garBa pAtam ca yA kuryAt Par_4.19c
   garbhabhartṛdruhāṃ caiva Mn_5.90[89M]c	garBa BartR druhAm ca eva M= _5.90[89M]c
   garbhabhartṛvadhādau ca Yj_1.72c	garBa BartR vaDa AdO ca Yt _1.72c
   garbhavisraṃsinīṃ tathā Nar_12.92b	garBa visraMsinIm taTA Nar_12.92b
   garbhasaṃsravaṇe māse YS99v_76c	garBa saMsravaNe mAse YS99u _76c
   garbhasthaiḥ sadṛśo jñeya Nar_1.31a	garBa sTEH sadRSaH jQeya Nar_1.31a
   garbhasya pātane steno K_806a	garBasya pAtane stenaH K_806a
   garbhasya vaikṛtaṃ dṛṣṭam Yj_3.163c	garBasya vEkRtam dRzwam Yt _3.163c
   garbhasrāve māsatulyā Yj_3.20c	garBasrAve mAsa tulyAH Yt _3.20c
   garbhasrāve viśudhyati Mn_5.66[65M]b	garBasrAve viSuDyati M= _5.66[65M]b
   garbhasrāve viśudhyati YS99v_77b	garBasrAve viSuDyati YS99u _77b
   garbhahā ca yathāvarṇaṃ Yj_3.251c	garBa hA ca yaTAvarNam Yt _3.251c
   garbhāt tu dvādaśe viśaḥ Mn_2.36d	garBAt tu dvAdaSe viSaH M= _2.36d
   garbhād ekādaśe rājño Mn_2.36c	garBAt ekAdaSe rAjQaH M= _2.36c
   garbhādhānam ṛtau puṃsaḥ Yj_1.11a	garBADAnam RtO puMsaH Yt _1.11a
   garbhādhānavidhānataḥ Ang_1.91d	garBADAna viDAnataH Ank _1.91d
   garbhāṣṭame 'bde kurvīta Mn_2.36a	garBa azwame abde kurvIta M= _2.36a
   garbhāṣṭame 'ṣṭame vābde Yj_1.14a	garBa azwame azwame vA abde Yt _1.14a
   garbhiṇī tu dvimāsādis Mn_8.407a	garBiNI tu dvi mAsa AdiH M= _8.407a
   garbhiṇī bāla eva vā Mn_9.283b	garBiNI bAlaH eva vA M= _9.283b
   garbhiṇyāturakanyakāḥ Yj_1.105b	garBiNI Atura kanyakAH Yt _1.105b
   garbhe jāte parityāgo YS182v_4.36c	garBe jAte parityAgaH YS182u _4.36c
   garbhe tyāgo vidhīyate Yj_1.72b	garBe tyAgaH viDIyate Yt _1.72b
   garbhe retaḥ samanvite YS99v_44b	garBe retaH samanvite YS99u _44b
   garbhe vinnaḥ sahoḍhajaḥ Yj_2.131d	garBe vinnaH sahoXa jaH Yt _2.131d
   garbho doṣam avāpnuyāt Yj_3.79b	garBaH dozam avApnuyAt Yt _3.79b
   garbho 'pi saṃpated yadi YS99v_42b	garBaH api saMpatet yadi YS99u _42b
   garbho bhūtveha jāyate Mn_9.8b	garBaH BUtvA iha jAyate M= _9.8b
   garhaṇāṃ yāti sādhuṣu Mn_2.80d	garhaNAm yAti sADuzu M= _2.80d
   garhaṇīyānyathā bhavet Yj_1.86d	garhaNIyA anyaTA Bavet Yt _1.86d
   garhitād vā pratigrahāt Mn_10.103b	garhitAt vA pratigrahAt M= _10.103b
   garhitānādyayor jagdhiḥ Mn_11.56[55M]c	garhita anAdyayoH jagDiH M= _11.56[55M]c
   garhitānnāśanāsu ca Mn_10.35b	garhitAt na aSanAsu ca M= _10.35b
   garhyante brahmavādibhiḥ Mn_4.199[200M]b	garhyante brahma vAdiBiH M= _4.199[200M]b
   garhyaḥ sa pāpo daṇḍyaś ca K_670c	garhyaH sa pApaH daNxyaH ca K_670c
   garhyā daṇḍyāś ca dharmataḥ K_402d	garhyAH daNxyAH ca DarmataH K_402d
   garhye kuryād ubhe kule Mn_5.149[147M]d	garhye kuryAt uBe kule M= _5.149[147M]d
   gavatraṃ gomine deyaṃ Nar_11.34e	gavatram gomine deyam Nar_11.34e
   gavākṣān noparodhayet K_752b	gavAkzAt na uparoDayet K_752b
   gavāghrātaṃ khareṇa vā Par_6.71d	gavA AGrAtam KareNa vA Par_6.71d
   gavāghrātāni kāṃsyāni Par_7.23c	gavA AGrAtAni kAMsyAni Par_7.23c
   gavā cānnam upaghrātaṃ Mn_4.209[210M]a	gavA ca annam upaGrAtam M= _4.209[210M]a
   gavādigrahaṇaṃ ca yat K_720d	gavA Adi grahaNam ca yat K_720d
   gavādiprāṇihiṃsanam YS182v_5.6b	gavA Adi prANi hiMsanam YS182u _5.6b
   gavādiṣu praṇaṣṭeṣu Nar_14.21a	gavA Adizu praNazwezu Nar_14.21a
   gavāśaneṣu vikrīṇaṃs Par_9.36c	gavASanezu vikrINan Par_9.36c
   gavāṃ koṭipradānena Par_12.52(51)c	gavAm kowi pradAnena Par_12.52(51)c
   gavāṃ ca paripālanam Par_1.63b	gavAm ca paripAlanam Par_1.63b
   gavāṃ ca parivāsena Mn_5.124[122M]c	gavAm ca parivAsena M= _5.124[122M]c
   gavāṃ ca yānaṃ pṛṣṭhena Mn_4.72c	gavAm ca yAnam pRzWena M= _4.72c
   gavāṃ ca [vi]ghātam uttamam YS182v_4.11b	gavAm ca [vi]GAtam uttamam YS182u _4.11b
   gavāṃ caivānugamanaṃ Par_12.[81(80)]a	gavAm ca eva anugamanam Par_12.[81(80)]a
   gavāṃ dvādaśakasya ca Yj_3.244b	gavAm dvAdaSakasya ca Yt _3.244b
   gavāṃ nipātane caiva YS99v_42a	gavAm nipAtane ca eva YS99u _42a
   gavāṃ pracāre gopālāḥ Nar_M1.47a	gavAm pracAre gopAlAH Nar_M1.47a
   gavāṃ bandhanayoktreṣu Par_8.1a	gavAm banDana yoktrezu Par_8.1a
   gavāṃ bhakṣye tathendhane Mn_8.112b	gavAm Bakzye taTA inDane M= _8.112b
   gavāṃ madhye vased rātrau Par_8.31c	gavAm maDye vaset rAtrO Par_8.31c
   gavāṃ madhye vased rātrau YS182v_4.15c	gavAm maDye vaset rAtrO YS182u _4.15c
   gavāṃ mūtrapurīṣeṇa Par_6.49a	gavAm mUtra purIzeNa Par_6.49a
   gavāṃ śataṃ saikavṛṣaṃ Par_12.49(48)a	gavAm Satam sa eka vRzam Par_12.49(48)a
   gavāṃ śatād vatsatarī Nar_6.11a	gavAm SatAt vatsatarI Nar_6.11a
   gavāṃ śṛṅgodakaiḥ snānaṃ Par_5.2a	gavAm SRFga udakEH snAnam Par_5.2a
   gavāṃ saṃrakṣaṇārthāya Par_9.1a	gavAm saMrakzaNa arTAya Par_9.1a
   gavyameva bhaveddadhi Ang_2,12.5b	gavyam eva Bavet daDi Ank _2,12.5b
   gavyasya payaso 'lābhe Ang_2,12.5a	gavyasya payasaH alABe Ank _2,12.5a
   gahanatvād vivādānām Nar_M1.38a	gahana tvAt vivAdAnAm Nar_M1.38a
   gātraṃ ca kampate yasya K_455c	gAtram ca kampate yasya K_455c
   gātrāṇi caiva sarvāṇi Mn_4.143c	gAtrANi ca eva sarvANi M= _4.143c
   gātre mukhe ca praviśec ca samyak YS78v_44c	gAtre muKe ca praviSet ca samyak YS78u _44c
   gātrair gātrāṇy asaṃspṛśan Nar_12.81d	gAtrEH gAtrANi asaMspRSan Nar_12.81d
   gātraiśca śirasā caiva Ang_2,2.8c	gAtrEH ca SirasA ca eva Ank _2,2.8c
   gātrotsādanam eva ca Mn_2.211b	gAtra utsAdanam eva ca M= _2.211b
   gāndharvaś cāsuras tathā Nar_12.39b	gAnDarvaH ca asuraH taTA Nar_12.39b
   gāndharvaḥ sa tu vijñeyo Mn_3.32c	gAnDarvaH sa tu vijQeyaH M= _3.32c
   gāndharvaḥ samayān mithaḥ Yj_1.61b	gAnDarvaH samayAt miTas Yt _1.61b
   gāndharvo nāma pañcamam Nar_12.42b	gAnDarvaH nAma paQcamam Nar_12.42b
   gāndharvo rākṣasaś caiva Mn_3.21c	gAnDarvaH rAkzasaH ca eva M= _3.21c
   gāndharvo rākṣasaś caiva Mn_3.26c	gAnDarvaH rAkzasaH ca eva M= _3.26c
   gām ālabhya viśudhyati Mn_11.202[201M]d	gAm AlaBya viSuDyati M= _11.202[201M]d
   gām ālabhya viśudhyati YS182v_3.9d	gAm AlaBya viSuDyati YS182u _3.9d
   gām ālabhyārkam īkṣya vā Mn_5.87[86M]d	gAm AlaBya arkam Ikzya vA M= _5.87[86M]d
   gām ekāṃ brāhmaṇe dadan Par_10.15b	gAm ekAm brAhmaNe dadan Par_10.15b
   gāyakaṃ vraṇinaṃ kṣudra  Ang_1.757c	gAyakam vraNinam kzudra Ank _1.757c
   gāyatrījapyanirataḥ Yj_3.289c	gAyatrI japya nirataH Yj_3.289c
   gāyatrīdaśasāhasra  Ang_1.150c	gAyatrI daSa sAhasra Ank _1.150c
   gāyatrībrahmatattvajñāḥ Par_8.24c	gAyatrI brahma tattva jQAH Par_8.24c
   gāyatrīrahito vipraḥ Par_8.24a	gAyatrI rahitaH vipraH Par_8.24a
   gāyatrī śodhanaṃ paraṃ Par_11.56b	gAyatrI SoDanam param Par_11.56b
   gāyatrīsmaraṇāc chuciḥ Par_6.23d	gAyatrI smaraNAt SuciH Par_6.23d
   gāyatrīṃ japamānas tu Par_10.27a	gAyatrIm japamAnaH tu Par_10.27a
   gāyatrīṃ manasā sakṛt Yj_3.30d	gAyatrIm manasA sakRt Yt _3.30d
   gāyatrīṃ vā vidhānataḥ Ang_1.836b	gAyatrIm vA viDAnataH Ank _1.836b
   gāyatrīṃ vedamātaram Ang_1.201b	gAyatrIm vedamAtaram Ank _1.201b
   gāyatrīṃ vaiṣṇavīmapi Ang_1.836d	gAyatrIm vEzNavIm api Ank _1.836d
   gāyatrīṃ śirasā sārdhaṃ Yj_1.23a	gAyatrIm SirasA sArDam Yt _1.23a
   gāyatrīṃ sarvaśūnyadām Ang_1.838d	gAyatrIm sarva SUnya dAm Ank _1.838d
   gāyatro harilocanaḥ Ang_1.512d	gAyatraH harilocanaH Ank _1.512d
   gāyatryaṣṭasahasreṇa Par_11.17a	gAyatrI azwa sahasreNa Par_11.17a
   gāyatryā cābhimantrayet Yj_3.325d	gAyatryA ca aBimantrayet Yt _3.325d
   gāyatryā cāyutatrayam YS182v_4.38b	gAyatryA ca ayuta trayam YS182u _4.38b
   gāyatryādāya gomūtraṃ Par_11.32a	gAyatrI AdAya go mUtram Par_11.32a
   gāyatryā prokṣya tatparam Ang_1.815d	gAyatryA prokzya tad param Ank _1.815d
   gāyatryā prokṣya vai tataḥ Ang_1.822d	gAyatryA prokzya vE tatas Ank _1.822d
   gāyatryā vācanaṃ tathā Yj_3.309d	gAyatryA vAcanam taTA Yt _3.309d
   gāyatryā vā japo no cen Ang_1.155c	gAyatryA vA japaH no ced Ank _1.155c
   gāyatryā vyāhṛtibhiś ca YS182v_3.59a	gAyatryA vyAhRtiBiH ca YS182u _3.59a
   gāyatryā śodhanaṃ param YS182v_3.46d	gAyatryA SoDanam param YS182u _3.46d
   gāyatryāś ca viśeṣataḥ Yj_3.308b	gAyatryAH ca viSezataH Yt _3.308b
   gāyatryāḥ pratyahaṃ japaḥ Yj_1.22d	gAyatryAH pratyaham japaH Yt _1.22d
   gāyatryāḥ śodhanaṃ param YS99v_9d	gAyatryAH SoDanam param YS99u _9d
   gāyanās tu samāṃśinaḥ K_636d	gAyanAH tu sama aMSinaH K_636d
   gāyanto vedapāragāḥ Par_6.35b	gAyantaH vedapAragAH Par_6.35b
   gārutmatā gatimatī Ang_1.929c	gArutmatA gatimatI Ank _1.929c
   gārbhair homair jātakarma  Mn_2.27a	gArBEH homEH jAtakarma M= _2.27a
   gālavastu purā vipro Ang_1.556a	gAlavaH tu purA vipraH Ank _1.556a
   gāvayaṃ saupratīkaṃ ca Par_11.42c	gAvayam sOpratIkam ca Par_11.42c
   gāvaḥ kṣetraṃ samāśritāḥ Nar_11.31b	gAvaH kzetram samASritAH Nar_11.31b
   gāvo dūrapracāreṇa YS182v_4.60a	gAvaH dUra pracAreNa YS182u _4.60a
   gāvo mriyante yadi tā adagdhāḥ YSS_1.54b	gAvaH mriyante yadi tAH adagDAH YSH _1.54b
   gāvo yenābhighātitāḥ Par_9.17b	gAvaH yena aBiGAtitAH Par_9.17b
   gāścaivānuvrajennityaṃ Ang_2,11.4a	gAH ca eva anuvrajet nityam Ank _2,11.4a
   gāś caivaikaśataṃ dadyāc Par_12.73(72)c	gAH ca eva eka Satam dadyAt Par_12.73(72)c
   gāṃ godhāgniṃ bakas tathā Yj_3.215b	gAm goDA agnim bakaH taTA Yt _3.215b
   gāṃ dattvā vidhivad guroḥ Mn_3.95[85M]b	gAm dattvA viDivat guroH M= _3.95[85M]b
   gāṃ vipram ajam agniṃ vā Mn_3.260[250M]c	gAm vipram ajam agnim vA M= _3.260[250M]c
   giridurgaṃ viśiṣyate Mn_7.71d	giri durgam viSizyate M= _7.71d
   giridurgaṃ samāśrayet Mn_7.71b	giri durgam samASrayet M= _7.71b
   giripṛṣṭhaṃ samāruhya Mn_7.147[148M]a	giri pRzWam samAruhya M= _7.147[148M]a
   giry agrāt patito 'pi vā Nar_11.32d	giri agrAt patitaH api vA Nar_11.32d
   gītajño yadi yogena Yj_3.116a	gIta jQaH yadi yogena Yt _3.116a
   gītanṛtyaiś ca bhuñjīta Yj_1.330c	gIta nRtyEH ca BuQjIta Yt _1.330c
   gugguluṃ cāpsu nikṣipet Yj_1.279d	guggulum ca apsu nikzipet Yt _1.279d
   gucchagulmaṃ tu vividhaṃ Mn_1.48a	gucCa gulmam tu viviDam M= _1.48a
   guḍapiṣṭaṃ samodakam Yj_1.289b	guxa pizwam samodakam Yt _1.289b
   guḍamudgādikān madhu Ang_1.1013b	guxa mudga AdikAt maDu Ank _1.1013b
   guḍasya lavaṇasya ca K_511d	guxasya lavaNasya ca K_511d
   guḍasya lavaṇasya ca Nar_1.95d	guxasya lavaNasya ca Nar_1.95d
   guḍo rasastathodaśvid  Ang_2,8.17a	guxaH rasaH taTA udaSvid Ank _2,8.17a
   guḍaudanaṃ pāyasaṃ ca Yj_1.304a	guxa odanam pAyasam ca Yt _1.304a
   guṇadoṣaparīkṣaṇam Mn_1.117d	guNa doza parIkzaNam M= _1.117d
   guṇadoṣavicakṣaṇam Mn_9.169b	guNa doza vicakzaNam M= _9.169b
   guṇadoṣau ca karmaṇām Mn_1.107b	guNa dozO ca karmaNAm M= _1.107b
   guṇadoṣau ca tattvataḥ Mn_7.178[179M]d	guNa dozO ca tattvataH M= _7.178[179M]d
   guṇadoṣau ca yasya yau Mn_3.22b	guNa dozO ca yasya yO M= _3.22b
   guṇadoṣau vijānatā Mn_2.212d	guNa dozO vijAnatAH M= _2.212d
   guṇahīnāya karhi cit Mn_9.89d	guNa hInAya karhi cit M= _9.89d
   guṇāḍhyā guṇadā śeṣā Ang_1.930a	guNa AXyA guNa dA SezAH Ank _1.930a
   guṇānāṃ triṣu tiṣṭhatām Mn_12.34b	guNAnAm trizu tizWatAm M= _12.34b
   guṇānāṃ yaḥ phalodayaḥ Mn_12.30b	guNAnAm yaH Pala udayaH M= _12.30b
   guṇān sarvān pracodayan Mn_3.228[218M]d	guNAn sarvAn pracodayan M= _3.228[218M]d
   guṇāpekṣaṃ bhaved dānam Nar_12.29c	guNa apekzam Bavet dAnam Nar_12.29c
   guṇās tasyaiva kīrtitāḥ Yj_3.182b	guNAH tasya eva kIrtitAH Yt _3.182b
   guṇāṃś ca sūpaśākādyān Mn_3.226[216M]a	guNAn ca sUpa SAka AdyAn M= _3.226[216M]a
   guṇidvaidhe tu vacanaṃ Yj_2.78c	guNi dvEDe tu vacanam Yt _2.78c
   guṇidvaidhe dvijottamān Mn_8.73d	guNi dvEDe dvijottamAn M= _8.73d
   guṇair vā parivarjitaḥ Mn_5.154[152M]b	guNEH vA parivarjitaH M= _5.154[152M]b
   guṇaiś ca paricodayet Mn_3.233[223M]d	guNEH ca paricodayet M= _3.233[223M]d
   guptaṃ sarvartukaṃ śubhraṃ Mn_7.76c	guptam sarvartukam SuBram M= _7.76c
   guptaṃ sarveṇa hīyate Mn_8.374d	guptam sarveNa hIyate M= _8.374d
   guptāṃ viprāṃ balād vrajan Mn_8.378b	guptAm viprAm balAt vrajan M= _8.378b
   guptyarthaṃ sa mahādyutiḥ Mn_1.87b	gupti arTam sa mahA dyutiH M= _1.87b
   gurave tu varaṃ dattvā Yj_1.51a	gurave tu varam dattvA Yt _1.51a
   gurave prītim āvahet Mn_2.246d	gurave prItim Avahet M= _2.246d
   guruācāryanṛpādīnāṃ K_756c	guru AcArya nRpa AdInAm K_756c
   gurukāryeṣu daṇḍaḥ syān K_101c	guru kAryezu daNxaH syAt K_101c
   guruṇānumataḥ snātvā Mn_3.4a	guruNA anumataH snAtvA M= _3.4a
   guruṇā brahmaṇāpi vā Ang_1.502b	guruNA brahmaNA api vA Ank _1.502b
   guruṇā yadi gacchatā K_469d	guruNA yadi gacCatA K_469d
   gurutalpaga ucyate Nar_12.74b	guru talpa gaH ucyate Nar_12.74b
   gurutalpavrataṃ kuryād Mn_11.170[169M]a	gurutalpavratam kuryAt M= _11.170[169M]a
   gurutalpavrataṃ kecit YS99v_39a	gurutalpavratam kecid YS99u _39a
   gurutalpasamaṃ viduḥ Mn_11.58[57M]d	guru talpa samam viduH M= _11.58[57M]d
   gurutalpasamaṃ smṛtam Yj_3.231d	guru talpa samam smRtam Yt _3.231d
   gurutalpāpanuttaye Mn_11.106[105M]d	guru talpa apanuttaye M= _11.106[105M]d
   gurutalpe bhagaḥ kāryaḥ Mn_9.237a	gurutalpe BagaH kAryaH M= _9.237a
   gurutalpe bhagaḥ kāryaḥ Nar_19.51a	gurutalpe BagaH kAryaH Nar_19.51a
   gurutalpe surāpāne Nar_19.50c	gurutalpe surA pAne Nar_19.50c
   gurutalpy abhibhāṣyainas Mn_11.103[102M]a	gurutalpi aBiBAzya enaH M= _11.103[102M]a
   gurutvād asya dharmasya Nar_11.9c	guru tvAt asya Darmasya Nar_11.9c
   gurudāreṣu kurvīta Mn_2.217c	guru dArezu kurvIta M= _2.217c
   gurudāre sapiṇḍe vā Mn_2.247c	guru dAre sapiNxe vA M= _2.247c
   gurudevadvijārcakaḥ Mn_11.224[223M]d	guru deva dvija arcakaH M= _11.224[223M]d
   gurudrohiṇameva ca Ang_1.749b	guru drohiNam eva ca Ank _1.749b
   gurupatnī tu yuvatir Mn_2.212a	guru patnI tu yuvatiH M= _2.212a
   gurupatny anujasya sā Mn_9.57b	guru patnI anujasya sA M= _9.57b
   gurupatnyā na kāryāṇi Mn_2.211c	guru patnyAH na kAryANi M= _2.211c
   gurupātnīṃ snuṣāṃ caiva Par_10.12c	guru pAtnIm snuzAm ca eva Par_10.12c
   guruputre guṇānvite Mn_2.247b	guru putre guNa anvite M= _2.247b
   guruputre tathaiva ca Nar_5.08d	guru putre taTA eva ca Nar_5.08d
   guruputreṣu cāryeṣu Mn_2.207c	guru putrezu cAryezu M= _2.207c
