   ||śrīḥ||	||SrIH||
   alasa vilola vilocanāmbujābhyām // Krd_3.27 //	alasa vilola  vilocana ambujAByAm // KrD _3.27 //
   praṇayenaiva premṇaiva yo jala pravāhas taṃ vahanti yās tathā tāsām |	praNayena eva premNA eva yaH jala pravAhaH tam vahanti yAH taTA tAsAm |
   kābhyām ? lajjādinārdha nimīlita padmalocanābhyāṃ	kAByAm ? lajjA AdinA arDa  nimIlita padma locanAByAm
   sa vilāsa cañcalita netra padmābhyām ity api pāṭhaḥ | kimbhūtānām ? tasya	sa vilAsa  caQcalita netra  padmAByAm iti api pAWaH | kimBUtAnAm ? tasya
   parameśvarasyātiruciraṃ yat karma śṛṅgāra ceṣṭā viśeṣaḥ rūpa śobhā	parameSvarasya ati ruciram yat karma SRFgAra  cezwA  viSezaH rUpa SoBA
   kāminī mano rañjikā kāntiḥ te evāmṛta rasau tayor yat pānam	kAminI mano raQjikA kAntiH te eva amRta rasO tayoH yat pAnam
   atyanta cakṣur vyāpāras tat karaṇe sākāṅkṣābhyām | subhaga kamreti	atyanta  cakzuH  vyApAraH tat karaNe sa AkAFkzAByAm | suBaga kamra iti
   pāṭhāntaram | subhagaḥ sundaraḥ kamraḥ kamanīyaḥ subhaga kamanīyayor	pAWA antaram | suBagaH sundaraH kamraH kamanIyaH suBaga  kamanIyayoH 
   eka paryāyayor grahaṇam adbhutatvād rūpasyeti tripāṭhinaḥ || KrdC_3.27 ||	eka paryAyayoH grahaNam adButa tvAt rUpasya iti tri pAWinaH || KrdC_3.27 ||
   punaḥ kimbhūtānām ?	punar kimBUtAnAm ?
   viśraṃsat kavarī kalāpa vigalat phulla prasūna śravan 	viSraMsa t ka varI  kalA pa vigala t Pulla  prasUna  Sravan 
   mādhvī lampaṭa cañcarīka ghaṭayā saṃsevitānāṃ muhuḥ |	mADvI  lampawa  caQcarI ka GawayA saMsevitAnAm muhur |
   māronmāda mada skhalan mṛdu girām ālola kāñcy uchvasan 	mAra unmAda  mada   sKalan  mRdu  girAm Alola  kAQcI  u Cvasan 
   nīvī viślathamāna cīna sicayāntāvirnitamba tviṣām // Krd_3.28 //	nIvI  viSlaTa mAna   cIna  sicaya anta AviH nitamba tvizAm // KrD _3.28 //
   viśraṃsan skhalan yaḥ keśa pāśas tasmāt prabhraṃśyad yad vikasitaṃ puṣpaṃ	viSraMsan sKalan yaH keSa pASaH tasmAt praBraMSyat yat vikasitam puzpam
   tasmād galantī yā mādhvī puṣpa rasaḥ tatrātyantāsakto yaś cañcarīko	tasmAt galantI yA mADvI puzpa rasaH tatra atyanta AsaktaH yaH caQcarI kaH 
   bhramaras tasya samūhena muhur vāraṃ vāraṃ saṃsevitānām | punaḥ	BramaraH tasya samUhena muhur vAram vAram saMsevitAnAm | punar 
   kim bhūtānāṃ māreti |	kim  BUtAnAm mArA iti |
   kāma kṛtonmādena yā mattatā tayā skhalantī aspaṣṭā mṛdvī komalā manoharā	kAma kRta unmAdena yA matta tA tayA sKalantI aspazwA mRdvI komalA manoharA
   gīrvāṇī yāsāṃ tās tathā tāsām unmāda madau śṛṅgāra viśeṣau | tad uktaṃ	gIrvANI yAsAm tAH taTA tAsAm unmAda  madO SRFgAra  viSezO | tat uktam
   śṛṅgāra tilake 	SRFgAra tilake 
   śvāsa prarodanotkampair bahudhālokanair api |	SvAsa  prarodana utkampEH bahuDA AlokanEH api |
   vyāpāro jāyate yatra sa unmādaḥ smṛto yathā ||	vyApAraH jAyate yatra saH unmAdaH smRtaH yaTA ||
   evaṃ madasyāpi lakṣaṇaṃ boddhavyam iti kecit | punaḥ kīdṛśīnām ? ālolā	evam madasya api lakzaNam bodDavyam iti kecid | punar kIdRSInAm ? AlolA
   cañcalā yā kāñcī rasanā tathā ucchvasantī dṛḍhā bhavantī yā nīvī	caQcalA yA kAQcI  rasanA taTA ucCvasantI dRXA BavantI yA nIvI
   vastra granthiḥ | nīvī strī vasana granthāv iti koṣāt | tayā viślathamānaṃ	vastra granTiH | nIvI strI   vasana granTO iti kozAt | tayA viSlaTa mAnam
   cīna sicayaṃ cīna deśotpannaṃ sūkṣma vastraṃ tasyānte madhye āviḥ prakaṭā	cIna  sicayam cIna deSa utpannam sUkzma  vastram tasya ante maDye Avis prakawA
   nitamba tviṭ nitamba kāntir yāsāṃ tās tathā tāsām || KrdC_3.28 ||	nitamba  tviS nitamba kAntiH yAsAm tAH taTA tAsAm || Krdu _3.28 ||
   punaḥ kimbhūtānām ?	punar kimBUtAnAm ?
   skhalita lalita pādāmbhoja mandābhighāta 	sKalita lalita pAda amBoja  manda aBiGAta  
   kvaṇita maṇi tulākoṭyākulāśā mukhānām |	kvaNita maNi  tulA kowi Akula aSA  muKAnAm |
   calad adhara dalānāṃ kuḍmalat pakṣmalākṣi 	calat  aDara  dalAnAm kuxmalat  pakzmala akzi 
   dvaya sarasi ruhaṇām ullasat kuṇḍalānām // Krd_3.29 //	dvaya  sarasi  ruhaNAm ullasat  kuNxalAnAm // KrD _3.29 //
   skhalitam anāyattaṃ lalitaṃ manoharaṃ yat pāda padmaṃ tasya yo manda īṣad	sKalitam anAyattam lalitam manoharam yat pAda  padmam tasya yaH mandaH Izat 
   abhighātaḥ ābhighāta kvaṇita maṇi tulākoṭyākulāśā mukhānām	aBiGAtaH ABiGAta   kvaNita maNi  tulA kowi Akula aSA  muKAnAm
   calad adhara dalānāṃ kuḍmalat pakṣmalākṣi dvaya sarasi ruhaṇām	calat  aDara  dalAnAm kuxma lat  pakzmala akzi  dvaya  sarasi  ruhaNAm
   ullasat kuṇḍalānām || KrdC_3.29 ||	ullasat  kuNxalAnAm || Krdu _3.29 ||
   punaḥ kimbhūtānām ?	punar kimBUtAnAm ?
   drāghiṣṭha śvasana samīraṇābhi tāpa 	drAGizWa Svasana  samIraNa aBi  tApa 
   pramlānī bhavad aruṇoṣṭha pallavānām |	pramlAnI  Bavat  aruNa uzWa  pallavAnAm |
   nānopāyana vilasat karāmbujānām	nAnA upAyana  vilasat  kara ambujAnAm
   ālībhiḥ satata niṣevitaṃ samantāt // Krd_3.30 //	AlIBiH satata  nizevitam samantAt // KrD _3.30 //
   dīrgho yaḥ śvāsa vāyus tena yo 'bhitāpaḥ tena pramlānī bhavan	dIrGaH yaH SvAsa vAyuH tena yaH aBitApaH tena pramlAnI  Bavan
   raktauṣṭha pallavo yāsāṃ tās tathā tāsām | punaḥ kimbhūtānām ?	rakta ozWa  pallavaH yAsAm tAH taTA tAsAm | punar kimBUtAnAm ?
   vividhopāyanena śobhamānāni hasta kamalāni yāsāṃ tās tathā tāsām ||	viviDa upAyanena SoBamAnAni hasta kamalAni yAsAm tAH taTA tAsAm ||
   KrdC_3.30 ||	Krdu _3.30 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   tāsām āyata lola nīla nayana vyākośa nīlāmbuja 	tAsAm Ayata  lola  nIla  nayana  vyAka uSa  nIla ambuja 
   sragbhiḥ samparipūjitākhila tanuṃ nānā vilāsāspadam |	sragBiH samparipUjita aKila  tanum nAnA vilAsa Aspadam |
   tan mugdhānana paṅkaja pravigalan mādhvī rasāsvādanīṃ	tan  mugDa Anana  paFkaja  pravigalan  mADvI  rasa AsvAdanIm
   bibhrāṇaṃ praṇayonmadākṣi madhukṛn mālāṃ manohāriṇīm // Krd_3.31 //	biBrANam praNaya unmada akzi  maDukRn mAlAm manohAriNIm // KrD _3.31 //
   mukundaṃ tāsāṃ gopa sundarīṇām āyataṃ dīrghaṃ lolaṃ cañcalaṃ nīlaṃ śyāmaṃ	mukundam tAsAm gopa sundarINAm Ayatam dIrGam lolam caQcalam nIlam SyAmam
   yan nayanaṃ tad eva vyākośaṃ nīlotpalaṃ praphullaṃ nīlāmbujaṃ teṣāṃ	yat nayanam tat eva vyAkoSam nIlotpalam praPullam nIla ambujam tezAm
   sragbhir mālābhiḥ samparipūjitā adhikataram arcitā sakalā tanur yasya sa	sragBiH mAlABiH samparipUjitAH aDikataram arcitA sakalA tanuH yasya sa
   tathā tam | punaḥ kīdṛśam ? vividha vilāsa sthānam | punaḥ kīdṛśam ?	taTA tam | punar kIdRSam ? viviDa  vilAsa  sTAnam | punar kIdRSam ?
   tan mugdhānaneti tāsāṃ yan manoharaṃ mukhaṃ tad eva padma samūhas tasmāt	tan mugDAnanA iti tAsAm yat manoharam muKam tat eva padma samUhaH tasmAt 
   vigalan sravan yo mādhvī raso makarandaḥ tam āsvādayituṃ śīlaṃ yasyāḥ tām	vigalan sravan yaH mADvI  rasaH makarandaH tam AsvAdayitum SIlam yasyAH tAm
   praṇayena prītyā udgata madaṃ yad akṣi yugalaṃ saiva bhramara mālā paṅktis	praNayena prItyA udgata madam yat akzi yugalam sA eva Bramara mAlA paFktis
   tāṃ manohāriṇīṃ bibhrāṇam || KrdC_3.31 ||	tAm manohAriNIm biBrANam || Krdu _3.31 ||
   adhunā parameśvara dhyānānantaram upāsakāmara prabhṛtīnāṃ dhyānam āha 	aDunA parameSvara  DyAna anantaram upAsaka amara  praBRtInAm DyAnam Aha 
   gopī gopa paśūnāṃ bahiḥ	gopI  gopa  paSUnAm bahis 
   smared agrato 'sya gīrvāṇa ghaṭāṃ |	smaret agratas asya gIrvANa  GawAm |
   vittārthinīṃ viriñci trinayana 	vitta arTinIm viriQci  trinayana 
   śatamanyu pūrvikāṃ stotra parām // Krd_3.32 //	Satamanyu  pUrvikAm stotra  parAm // KrD _3.32 //
   asya parameśvarasyāgrato gopī go paśūnāṃ bahir gīr vāṇa ghaṭa deva samūhaṃ	asya parameSvarasya agratas gopI  go paSUnAm bahis gIr vANa  Gawa  deva  samUham
   smaret yadyapi bahiḥ śabda yoge pañcamī jñāpitā tathāpi jñāpaka siddhaṃ na	smaret yadi api bahis   Sabda yoge paQcamI jQApitA taTA api jQApaka sidDam na
   sarvatreti ṣaṣṭhī prayoge 'pi na doṣaḥ | kim bhūtām ? vittārthinīṃ	sarvatra iti zazWI  prayoge api na dozaH | kim BUtAm ? vitta arTinIm
   jñānārthinīṃ vā dhanārthinīṃ yad vā parameśvara cittāpaharaṇa parāṃ yad vā	jQAna arTinIm vA Dana arTinIm yat vA parameSvara  citta apaharaNa parAm yat vA
   dharma kāma mokṣārthinīm | punaḥ kim bhūtām ? virañcir brahmā īśaḥ śakraḥ	Darma kAma  mokza arTinIm | punar kim  BUtAm ? viraQciH brahmA ISaH SakraH
   tat pramukhām | punaḥ kim bhūtām ? stavana parām || KrdC_3.32 ||	tat  pramuKAm | punar kim  BUtAm ? stavana  parAm || KrdC_3.32 ||
   tad dakṣiṇato muni nikaraṃ	tad  dakziNatas muni  nikaram
   dṛḍha dharma vāñcham āmnāya param |	dRXa  Darma vAQCam AmnAya  param |
   yogīndrān atha pṛṣṭhe mumukṣa 	yogi indrAn aTa pRzWe mumukza 
   māṇān samādhinā sanakādyān // Krd_3.33 //	mANAn samADinA sanaka AdyAn // KrD _3.33 //
   tasya parameśvarato dakṣiṇato dakṣiṇa vibhāge tadvad iti pāṭhe tenaiva	tasya parameSvarataH dakziNatas dakziNa  viBAge tadvat iti pAWe tena eva
   prakāreṇa muni nikaraṃ muni samūhaṃ smaret | kīdṛśam ? āmnāya paraṃ	prakAreNa muni nikaram muni  samUham smaret | kIdRSam ? AmnAya  param
   vedādhyayana param | punaḥ kīdṛśam ? niścalā dharma vāñchā yasya taṃ yat	veda aDyayana  param | punar kIdRSam ? niScalAH Darma vAQCA yasya tam yat 
   tu mananāt munir ity abhidhānāt eṣāṃ dharma vāñchā na yuktā tena	tu mananAt muniH iti aBiDAnAt ezAm Darma vAQCA na yuktA tena
   muni śabdo 'tra ṛṣy upalakṣaka iti tan na,	muni  SabdaH atra Rzi  upalakzakaH iti tat na,
   dharma śabdenātrātma jñānābhidhānāt | tad uktaṃ yājñavalkyena ayaṃ tu	Darma  Sabdena atra Atma  jQAna aBiDAnAt | tat uktam yAjQavalkyena ayam tu
   paramo dharmao yad yogenātma darśanam iti |	paramaH DarmaaH yat yogena Atma darSanam iti |
   athānantaraṃ parameśvarasya paścād bhāge sanakādyān yogeśvarān smaret |	aTa anantaram parameSvarasya paScAt  BAge sanaka AdyAn yoga ISvarAn smaret |
   kim bhūtān ? mokṣaika parān | punaḥ kim bhūtān ? samādhinopaviṣṭān ||	kim  BUtAn ? mokza eka parAn | punar kim  BUtAn ? samADinA upavizwAn ||
   KrdC_3.33 ||	Krdu _3.33 ||
   savye sakāntān atha yakṣa siddha 	savye sa kAntAn aTa yakza sidDa 
   gandharva vidyādhara cāraṇāṃś ca |	ganDarva vidyADara  cAraNAn ca |
   sakinnarān apsarasaś ca mukhyāḥ	sa kinnarAn apsarasaH ca muKyAH
   kāmārthino nartana gīta vādyaiḥ // Krd_3.34 //	kAma arTinaH nartana gIta  vAdyEH // KrD _3.34 //
   athānantaraṃ deva vāma bhāge sa strīkān yakṣādīn smaret | kim bhūtān ?	aTa anantaram deva vAma BAge sa strIkAn yakza AdIn smaret | kim  BUtAn ?
   kinnara sahitān | punaḥ kim bhūtān ? sarva nartana gīta vādyaiḥ	kinnara  sahitAn | punar kim  BUtAn ? sarva nartana gIta  vAdyEH
   karaṇa bhūtair vāñchitārthinaḥ | tathā pradhāna bhūtā apsarasaḥ	karaNa BUtEH vAQCita arTinaH | taTA praDAna  BUtAH apsarasaH
   urvaśī mukhyāḥ smaret || KrdC_3.34 ||	urvaSI  muKyAH smaret || Krdu _3.34 ||
   śaṅkhendu kunda dhavalaṃ sakalāgamajñaṃ	SaFKa indu  kunda  Davalam sakala Agama jQam
   saudāmanī tati piśaṅga jaṭā kalāpam |	sOdAma nI tati  piSaFga  jawA  kalApam |
   tat pāda paṅkaja gatām acalāñca bhaktiṃ	tat pAda  paFkaja  gatAm acalAQca Baktim
   vāñchantam ujjhitatarānya samasta saṅgam // Krd_3.35 //	vAQCantam ujJitatarAnya  samasta saFgam // KrD _3.35 //
   nabhasi ākāśe dhātṛ sutaṃ brahma putraṃ smaret | katham bhūtam ?	naBasi AkASe DAtR sutam brahma putram smaret | kaTam  BUtam ?
   śaṅkhādivat śvetaṃ nirmalam | punaḥ kīdṛśam ? sampūrṇāgama vettāram |	SaFKa Adi vat Svetam nirmalam | punar kIdRSam ? sampUrNa Agama  vettAram |
   punaḥ kīdṛśam ? saudāmanī vidyut tasyās tatiḥ dīptis tadvat piśaṅgā kapilā	punar kIdRSam ? sOdAmanI vidyut tasyAH tatiH dIptiH tadvat piSaFgA kapilA
   yā jaṭā tasyāḥ kalāpaḥ samudāyo yatra tam | punaḥ kīdṛśam ? bhaktim	yA jawA tasyAH kalApaH samudAyaH yatra tam | punar kIdRSam ? Baktim
   icchantam | kim bhūtām ? sthirām | punaḥ kīdṛśam ?	icCantam | kim BUtAm ? sTirAm | punar kIdRSam ?
   atyanta parityakta parameśvara bhinna sakala sambandham || KrdC_3.35 ||	atyanta  parityakta  parameSvara  Binna  sakala  sambanDam || Krdu _3.35 ||
   punaḥ kīdṛśam ?	punar kIdRSam ?
   nānā vidha śruti gaṇānvita sapta rāga 	nAnA a viDa  Sruti  gaNa anvita  sapta rAga 
   grāma trayī gata manohara mūrchanābhiḥ |	grAma trayI  gata  manohara  mUrCanABiH |
   saṃprīṇayantam uditābhir amuṃ mahatyā	saMprINayantam uditABiH amum mahatyA
   sañcintayen nabhasi dhātṛ sutaṃ munīndram // Krd_3.36 //	saQcintayet naBasi DAtR sutam muni indram // KrD _3.36 //
   amuṃ nānā prakāraḥ ṣaṭ triṃśad bhedātmako yaḥ śruti gaṇaḥ nāda samūhas	amum nAnA prakAraH zaw triMSat  Beda AtmakaH yaH Sruti gaNaH nAda  samUha s
   tenānvitā ye sapta rāgāḥ	tena anvitAH ye sapta rAgAH
   niṣāda rṣabha gāndhāra ṣaḍja madhyama dhaivata pañcamākhyāḥ svarāḥ tatra	nizAda  RzaBa  gAnDAra  zaxja  maDyam a DEvata  paQcama AKyAH svarAH tatra
   trayāṇāṃ grāmāṇāṃ samāhāro grāma trayī tatra grāma trayyāṃ gatāḥ prāptāḥ	trayANAm grAmANAm samAhAraH grAma trayI tatra grAma trayyAm gatAH prAptAH
   yā mūrchanā manoharā ekatriṃśati prakārās tābhiḥ saṃprīṇayantam |	yAH mUrCanAH manoharAH ekatriMSati  prakArAH tABiH saMprINayantam |
   sapta svarās trayo grāmā mūrchanās tv ekaviṃśatiḥ |	sapta svarAH trayaH grAmAH mUrCanAH tu ekaviMSatiH |
   saṃmūrchitaḥ svaro yatra rāgatāṃ pratipadyate |	saMmUrCitaH svaraH yatra rAga tAm pratipadyate |
   mūrchanām iti tāṃ prāhuḥ kavayo grāma sambhavām ||	mUrCanAm iti tAm prAhuH kavayaH grAma  samBavAm ||
   kimbhūtābhiḥ ? mahatyā sapta tantrī yuktayā nārada vīṇayā uditābhir	kimBUtABiH ? mahatyA sapta tantrI  yuktayA nArada  vINayA uditABiH 
   udgatābhiḥ || KrdC_3.36 ||	udgatABiH || Krdu _3.36 ||
   adhunā prakṛtam upasaṃharan ātma pūjā kramam āha 	aDunA prakRtam upasaMharan Atma  pUjA a kramam Aha 
   iti dhyātvātmānaṃ paṭu viśada dhīr nanda tanayaṃ	iti DyAtvA AtmAnam pawu  viSada DIH nanda tanayam
   puro buddhyaivārghya prabhṛtibhir anindyopahṛtibhiḥ |	puras budDyA eva arGya  praBRtiBiH anindya upahRtiBiH |
   yajed bhūyo bhaktyā sva vapuṣi bahiṣṭhaiś ca vibhavair	yajet BUyas BaktyA sva  vapuzi bahizWEH ca viBavEH 
   vidhānaṃ tad brūmo vayam atula sānnidhya kṛd atha // Krd_3.37 //	viDAnam tat brUmaH vayam atula  sAnniDya kRt aTa // KrD _3.37 //
   iti pūrvokta dhyāna prakāreṇa paṭu viśada dhīḥ samarthā vicāra kṣamā atha	iti pUrva ukta  DyAna  prakAreNa pawu viSat a DIH samarTAH vicAra  kzamA aTa
   ca nirmalā evambhūtā buddhir yasya sa tathā ātmānaṃ nanda tanayaṃ	ca nirmalA evamBUtA budDiH yasya sa taTA AtmAnam nanda tanayam
   gopāla kṛṣṇa rūpaṃ dhyātvā ātma nanda tanayayor abhedaṃ cintayitvā puraḥ	gopAla  kRzNa   rUpam DyAtvA Atma nanda tanayayoH aBedam cintayitvA puras 
   prathamato buddhyaiva manasaivārghya prabhṛtibhir anindyopahṛtibhiḥ	praTamatas budDyA eva manasA eva arGya  praBRtiBiH anindya upahRtiBiH
   arghya pādyādibhir upahṛtibhir aninditopacāraiḥ yathopadeśaṃ pūjayet |	arGya  pAdya AdiBiH upahRtiBiH anindita upacArEH yaTopadeSam pUjayet |
   tripāṭhinas tu abhinandyeti pāṭhe dhṛtvā pūjayed ity artham āhuḥ | bhūyaḥ	tri pAWinaH tu aBinandya iti pAWe DRtvA pUjayet iti arTam AhuH | BUyas 
   punar api sva śarīre sākṣād bāhyopacārair arghyādibhiḥ pūjayet |	punar api sva  SarIre sAkzAt bAhya upacArEH arGya AdiBiH pUjayet |
   athānantaraṃ tad vidhānaṃ bahiṣṭha vibhavārcana prakāraṃ vayaṃ brumaḥ |	aTa anantaram tat  viDAnam bahizWa  viBava arcana  prakAram vayam brumaH |
   kīdṛśam ? parameśvarātyanta sānnidhya dātāram || KrdC_3.37 ||	kIdRSam ? parameSvara atyanta  sAnniDya dAtAram || Krdu _3.37 ||
   śaṅkha pūraṇa vidhiṃ darśayati 	SaFKa pUraNa  viDim darSayati 
   āracayya bhuvi gomayāmbhasā	Aracayya Buvi gomaya amBasA
   sthaṇḍilaṃ nijam amutra viṣṭaram |	sTaNxilam nijam amutra vizwaram |
   nyasya tatra vihitāspado 'mbhasā	nyasya tatra vihita AspadaH amBasA
   śaṅkham astra manunā viśodhayet // Krd_3.38 //	SaFKam astra manunA viSoDayet // KrD _3.38 //
   bhuvi pṛthivyāṃ sthaṇḍilaṃ pūjā sthalaṃ gomaya sahitena jalenāracayya	Buvi pRTivyAm sTaNxilam pUjA  sTalam gomaya  sahitena jalena Aracayya
   upalipya amutra sthaṇḍile nijaṃ svīyaṃ viṣṭaram āsanaṃ vastra kambalādikaṃ	upalipya amutra sTaNxile nijam svIyam vizwaram Asanam vastra kambala Adikam
   nyasya saṃsthāpya tatra viṣṭare vihitāspadaḥ kṛtāsano jalena śaṅkham	nyasya saMsTApya tatra vizware vihita AspadaH kRta AsanaH jalena SaFKam
   astra manunā mūlamantrāstra mantreṇa astrāya phaḍ iti mantreṇa vā	astra manunA mUlamantra astra mantreNa astrAya Paw iti mantreNa vA
   pralepayet || KrdC_3.38 ||	pralepayet || KrdC_3.38 ||
   tatra gandha sumanokṣatān atho	tatra ganDa  su mana ukzatAn aTo
   nikṣiped dhṛdaya mantram uccaran |	nikzipet DRdaya mantram uccaran |
   pūrayed vimala pāthasā sudhīr	pUrayet vimala  pATasA suDIH 
   akṣaraiḥ pratigataiḥ śiro 'ntakaiḥ // Krd_3.39 //	akzarEH pratigatEH SiraH antakEH // KrD _3.39 //
   vāma bhāga kṛta vahni maṇḍalādhārake śaṅkhe sudhīḥ subuddhi sādhakaḥ	vAma  BAga  kRta  vahni  maNxala ADArake SaFKe suDIH su budDi sADakaH
   hṛdaya mantraṃ mūla mantram eva hṛdaya mantram kevalaṃ hṛdayāya nama iti	hRdaya mantram mUla mantram eva hRdaya mantram kevalam hRdayAya namaH iti
   vā uccārya gandha puṣpa yava taṇḍulān nikṣipet | tathā vimala pāthasā	vA uccArya ganDa  puzpa yava  taNxulAn nikzipet | taTA vimala  pATasA
   nirmala jalena pūrayet | mantram āha pratigatair iti | pratiloma gataiḥ	nirmala  jalena pUrayet | mantram Aha  pratigatEH iti | pratiloma  gatEH
   pratiloma paṭhitair mātṛkākṣaraiḥ kṣa kārādyair akārāntaiḥ śiro 'ntakaiḥ	pratiloma  paWitEH mAtRkA akzarEH kza kAra AdyEH akAra antEH SiraH antakEH
   sa bindukaiḥ | bindv antakair iti laghu dīpikākāraḥ | svāhāntair iti	sa bindukEH | bindu  antakEH iti laGu dIpikA AkAraH | svAhA antEH iti
   vidyādharācāryaḥ vikrāya svāheyt antair iti tripāṭhinaḥ || KrdC_3.39 ||	vidyADara AcAryaH vikrAya svAhA iyt antEH iti tri pAWinaH || KrdC_3.39 ||
   pīṭheti 	pIWa iti 
   pīṭha śaṅkha salileṣu mantra vid	pIWa  SaFKa  salilezu mantra vid
   vahni vāsara niśā kṛtāṃ kramāt |	vahni  vAsara  niSA kRtAm kramAt |
   maṇḍalāni viṣakaśravokṣarair	maNxalAni vizakaSrava ukzarEH 
   arcayed vadana pūrva dīpitaiḥ // Krd_3.40 //	arcayet vadana  pUrva  dIpitEH // KrD _3.40 //
   pīṭhe śaṅkhe salile ca yathā kramaṃ vahni sūrya candrāṇāṃ maṇḍalāni viṣaṃ	pIWe SaFKe salile ca yaTA kramam vahni  sUrya candrANAm maNxalAni vizam
   ma kāraḥ kaṃ śiras tatra nyasyamāno 'kāraḥ śravaḥ śrotraṃ tatra	ma kAraH kam SiraH tatra nyasyamAnaH akAraH SravaH Srotram tatra
   nyasyamāno kāra ebhir akṣarair mantra vid upāsakaḥ krameṇa pūjayet |	nyasyamAnaH  kAraH eBiH akzarEH mantra vid upAsakaH krameNa pUjayet |
   kīdṛśaiḥ ? vadana pūrva dīpitaiḥ vadana pūrve śirasi nyasyamānam aṃ bindur	kIdRSEH ? vadana  pUrva  dIpitEH vadana  pUrve Sirasi nyasyamAnam am binduH 
   iti yāvat tena dīpitaiḥ sānusvārair ity arthaḥ | prayogas tu maṃ	iti yAvat tena dIpitEH sa anusvArEH iti arTaH | prayogaH tu mam
   vahni maṇḍalāya daśa kalātmane namaḥ | aṃ arka maṇḍalāya dvādaśa kalātmane	vahni  maNxalAya daSa kalA Atmane namaH | am arka  maNxalAya dvAdaSa kalA Atmane
   namaḥ | uṃ soma maṇḍalāya ṣoḍaśa kalātmane namaḥ || KrdC_3.40 ||	namaH | um soma  maNxalAya zoxaSa kalA Atmane namaH || Krdu _3.40 ||
   tatra tīrtha manunabhivāhayet	tatra tIrTa m anunaBivAhayet 
   tīrtham uṣṇa ruci maṇḍalāt tataḥ |	tIrTam uzNa ruci  maNxalAt tatas |
   svīya hṛt kamalato hariṃ tathā	svIya  hRt  kamalataH harim taTA
   gālinīṃ ca śikhayā pradarśayet // Krd_3.41 //	gAlinIm ca SiKayA pradarSayet // KrD _3.41 //
   tatra śaṅkha jale vakṣyamāṇa tīrtha mantreṇa sūrya maṇḍala tīrtham	tatra SaFKa jale vakzyamANa tIrTa mantreNa sUrya maNxala tIrTam
   āvāhayet tathā tataḥ svīya hṛt padmāt kṛṣṇam āvāhayet | anantaraṃ	AvAhayet taTA tatas svIya  hRt  padmAt kRzNam AvAhayet | anantaram
   śikhā mantreṇa vakṣyamāṇāṃ gālinīṃ mudrāṃ pradarśayet ca kārāt	SiKA mantreNa vakzyamANAm gAlinIm mudrAm pradarSayet ca kArAt 
   dhenu mudrāṃ ca | vāma hasta tale dakṣiṇa tarjanyā tāḍanaṃ prabodhanam ||	Denu mudrAm ca | vAma hasta  tale dakziNa  tarjanyA tAxanam praboDanam ||
   KrdC_3.41 ||	Krdu _3.41 ||
   taj jalaṃ nayana mantra vīkṣitaṃ	taj jalam nayana  mantra vIkzitam
   varmaṇā samavaguṇṭhya dor yujā |	varmaNA samavaguNWya dos  yujA |
