   Udīcya Śyāmilaka: Pāḍatāḍitaka	UdIcya ŚyAmilaka: PAxa-tAxitaka
   (c) punar api ca sudhābhir varṇayan saudhamālāḥ	(c) punar api ca suDABiH varNayan sODa-mAlAH
   (d) kṣarati kisalayebhyo mauktikānīva candraḥ	(d) kzarati kisalayeByaH mOktikAni-iva candraH
   (parikramya) aho nu khalu kṣīrodenevodvelapravṛttavikīryamāṇavīcirāśinā	(parikramya) aho nu Kalu kzIrodena-iva-udvela-pravRtta-vikIryamANa-vIci-rASinA
   jyotsnāsaṃjñakena payasā prasarpatānugṛhīta iva jīvalokaḥ saṃprati hi	jyotsnA-saMjQakena payasA prasarpata-anugRhItaH iva jIva-lokaH saMprati hi
   109 (a) ete vrajanti turagaiś ca kareṇubhiś ca	109 (a) ete vrajanti turagEH ca kareNuBiH ca
   (b) karṇīrathair api ca kambalavāhyakaiś ca	(b) karNIraTEH api ca kambala-vAhyakEH ca
   (c) āliṅgitā yuvatibhir mṛditā yuvāno	(c) AliFgitA yuvatiBiH mRditAH yuvAnaH-
   (d) gandharvasiddhamithunāni vihāyasīva	(d) ganDarva-sidDa-miTunAni vihAyasi-iva
   (parikramya)	(parikramya)
   110 (a) asāv anvārūḍho madalalitaceṣṭaḥ pramadayā	110 (a) asO anvArUXaH mada-lalita-cezwaH pramadayA
   (b) pariṣvaktaḥ pṛṣṭhe nibiḍataranikṣiptakucayā	(b) parizvaktaH pRzWe nibixatara-nikzipta-kucayA
   (c) parāvṛttaś cumban vrajati dayitāṃ yasya turago	(c) parAvRttaH cumban vrajati dayitAm yasya turagaH-
   (d) gṛhān eṣo 'bhyāsād anupatati notkrāmati pathaḥ	(d) gRhAn ezaH aByAsAt anupatati na-utkrAmati paTaH
   kaś ca tāvad ayam asmiṃś candrātape 'py andhakāra iva vartamāno	kaH ca tAvat ayam asmin candra-Atape api anDakAraH iva vartamAnaH-
   veśarathyāyāṃ garbhagṛhabhogena tiṣṭhan nairlajyam āviṣkaroti āḥ jñātam	veSaraTyAyAm garBagRha-Bogena tizWan nErlajyam Avizkaroti AH jQAtam
   eṣa saurāṣṭrikaḥ śakakumāro jayanandaka imāṃ ghaṭadāsīṃ barbarikām	eza sOrAzwrikaH SakakumAraH jayanandakaH imAm Gawa-dAsIm barbarikAm
   anuraktaḥ kiṃ ca tāvad anenaitasmāt	anuraktaH kim ca tAvat anena-etasmAt-
   [p.126] sarvaveśyāpattanād veśavad veśabarbaryā guṇavattvam avalokitam kiṃ	[p.126] sarva-veSyA-pattanAt veSavat veSabarbaryAH guNavat-tvam avalokitam kim
   ca tāvat	ca tAvat-
   111 (a) adhidevateva tamasaḥ kṛṣṇā śuklā dvijeṣu cākṣṇoś ca	111 (a) aDidevatA-iva tamasaH kRzNA SuklAH dvijezu ca-akzNoH ca
   (b) asakalaśaśāṅkalekheva śarvarī barbarī bhāti	(b) asakala-SaSAFka-leKA-iva SarvarI barbarI BAti
   athavā saurāṣṭrikā vānarā barbarā ity eko rāsiḥ kim atrāścaryam tathā hi	aTavA sOrAzwrikAH vAnarAH barbarA iti ekaH rAsiH kim atra-AScaryam taTA hi
   112 (a) gavalapratimāyām api	112 (a) gavala-pratimAyAm api
   barbaryāṃ saktacakṣuṣo hy asya	barbaryAm sakta-cakzuzaH hi asya
   (b) alasasakaṣāyadṛṣṭer	(b) alasa-sakazAya-dRzweH-
   jyotsnāpīyaṃ tamisreva	jyotsnA-apIyam tamisrA-iva
   tad alam, ayam asya panthāḥ ito vayam (parikramya) iyam aparā kā	tat alam, ayam asya panTAH itas vayam (parikramya) iyam aparA kA
   113 (a) karṇadvayāvanatakāñcanatālapattrā	113 (a) karNa-dvaya-avanata-kAQcana-tAla-pattrA
   (b) veṇyantalambimaṇimauktikahemagucchā	(b) veNI-anta-lambi-maNi-mOktika-hema-gucCA
   (c) kūrpāsakotkavacitastanabāhumūlā	(c) kUrpAsaka-utkavacita-stana-bAhu-mUlA
   (d) lāṭī nitambaparivṛttadaśāntanīvī	(d) lAwI nitamba-parivRtta-daSAnta-nIvI
   [p.127] (vicārya) bhavatu vijñātam eṣā hi sā rākā rājñaḥ syālam ābhīrakaṃ	[p.127] (vicArya) Bavatu vijQAtam ezA hi sA rAkA rAjQaH syAlam ABIrakam
   mayūrakumāraṃ mayūram iva nṛtyantam āliṅgantī candraśālāgre veśavīthyām	mayUra-kumAram mayUram iva nRtyantam AliFgantI candraSAlA-agre veSavITyAm
   ātmanaḥ saubhāgyaṃ prakāśayati ayam api cārjavenānayā tapasvī krīta iva	AtmanaH sOBAgyam prakASayati ayam api ca-Arjavena-anayA tapasvI krItaH iva
   114 (a) api ca mayūrakumāraṃ	114 (a) api ca mayUra-kumAram
   gaurī kṛṣṇam atidurbalaṃ sthūlā	gOrI kRzNam ati-durbalam sTUlA
   (b) svam iva pracchāyāgrakam	(b) svam iva pracCAya-agrakam
   urasi vilagnaṃ vahaty eṣā	urasi vilagnam vahati ezA
   (parikramya) iyam aparā kā (vicārya) iyaṃ hi sā	(parikramya) iyam aparA kA (vicArya) iyam hi sA
   tatrabhavataḥ sugṛhītanāmnaḥ śārdūlavarmaṇaḥ putrasya naḥ priyavayasyasya	tatraBavataH su-gRhIta-nAmnaH SArdUlavarmaNaH putrasya naH priya-vayasyasya
   varāhadāsasya priyatamā yavanī karpūraturiṣṭhā nāma praticandrābhimukhaṃ	varAha-dAsasya priyatamA yavanI karpUraturizWAH nAma praticandra-aBimuKam
   madhunaḥ kāṃsyam aṅgulitrayeṇa dhārayantī kapolatalaskhalitabimbam	maDunaH kAMsyam aFguli-trayeNa DArayantI kapola-tala-sKalita-bimbam
   avalambya kuṇḍalaṃ kiraṇaiḥ preṅkholitam aṃsadeśe śaśinam ivodvahantī	avalambya kuNxalam kiraNEH preFKolitam aMsa-deSe SaSinam iva-udvahantI
   yaiṣā	yA-ezA
   115 (a) cakoracikurekṣaṇā madhuni vīkṣamāṇā mukhaṃ	115 (a) cakora-cikura-IkzaNA maDuni vIkzamANA muKam
   vikīrya yavanī nakhair alakavallarīm āyatām	vikIrya yavanI naKEH alaka-vallarIm AyatAm
   (b) madhūkakusumāvadātasukumārayor gaṇḍayoḥ	(b) maDUka-kusuma-avadAta-su-kumArayoH gaNxayoH
   pramārṣṭi madarāgam utthitam alaktakāśaṅkayā	pramArzwi mada-rAgam utTitam alaktaka-ASaFkayA
   api ca yavanī gaṇikā vānarī nartakī mālavaḥ kāmuko gardabho gāyaka iti	api ca yavanI gaNikA vAnarI nartakI mAlavaH kAmukaH gardaBaH gAyakaH iti
   guṇataḥ sādhāraṇam avagacchāmi sarvathā sadṛśayogeṣu nipuṇaḥ khalu	guNataH sADAraNam avagacCAmi sarvaTA sadRSa-yogezu nipuNaH Kalu
   prajāpatiḥ tathā hi	prajApatiH taTA hi
   [p.128] 116 (a) khadiratarum ātmaguptā	[p.128] 116 (a) Kadira-tarum AtmaguptA
   paṭolavallī samāśritā nimbam	pawolavallI samASritA nimbam
   (b) śliṣṭo bata saṃyogo	(b) SlizwaH bata saMyogaH-
   yadi yavanī mālave saktā	yadi yavanI mAlave saktA
   tat kāmam iyam api me sakhī, na tv enām abhibhāṣiṣye ko hi nāma tāni	tat kAmam iyam api me saKI, na tu enAm aBiBAzizye kaH hi nAma tAni
   vānarīniṣkūjitopamāni sītkārabhūyiṣṭhāny apratyabhijñeyavyañjanāni	vAnarI-nizkUjita-upamAni sItkAra-BUyizWAni apratyaBijQeya-vyaQjanAni
   kiṃcitkāraṇāntarāṇi pradeśinīlālanamātrasūcitāni svayaṃ	kiMcid-kAraNa-antarANi pradeSinI-lAlana-mAtra-sUcitAni svayam
   veśayavanīkathitāni śroṣyati tad alam anayā (parikramya) ayam aparaḥ kaḥ	veSa-yavanI-kaTitAni Srozyati tat alam anayA (parikramya) ayam aparaH kaH
   117 (a) pratimukhapavanair vegād	117 (a) pratimuKa-pavanEH vegAt-
   utkṣi ptāgrālakottarī yān tām	utkzi ptAgrAlaka-uttarI yAn tAm
   (b) kāntāṃ harati kareṇvā	(b) kAntAm harati kareNvA
   vāsavadattām ivodayanaḥ	vAsavadattAm iva-udayanaH
   (vicārya) ā viditam eṣa sa ibhyaputro viṭapravāla iti ḍiṇḍibhir	(vicArya) A viditam eza saH iBya-putraH viwa-pravAlaH iti xiNxiBiH-
   abhyastanāmā surataraṇapaṭakaṭyambarāṇām adhipatis tāṃ veśasundarīm	aByasta-nAmA sura-taraNa-pawa-kawI-ambarANAm aDipatiH tAm veSa-sundarIm
   asmadbālikāṃ madanaparavaśaḥ pitur mātuś ca śāsanam upekṣyānurakta eva	asmad-bAlikAm madana-para-vaSaH pituH mAtuH ca SAsanam upekzya-anuraktaH eva
   kāmam atiḍiṇḍī khalv ayam śvaśuraśabdāvakuṇṭhanās tu vayam tad alam	kAmam atixiNxI Kalu ayam SvaSura-Sabda-avakuNWanAH tu vayam tat alam
   anenābhibhāṣitena	anena-aBiBAzitena
   [p.129] ayam asyāñjalir. itas tāvad vayam (parikramya) yāvad aham api	[p.129] ayam asya-aQjalir. itas tAvat vayam (parikramya) yAvat aham api
   viṭasamājaṃ gacchāmi eṣo 'smi bhoḥ suvṛthātivāhite veśamahāpathe	viwa-samAjam gacCAmi ezaH asmi BoH su-vRTA-ativAhite veSa-mahApaTe
   viṭamahattarasya bhaṭṭijīmūtasya samantāt	viwa-mahattarasya Bawwi-jImUtasya samantAt-
   saṃnipātitaviṭajanavāhanasahasrasaṃbādhapradvārāṅgaṇam	saMnipAtita-viwa-jana-vAhana-sahasra-saMbADa-pradvAra-aFgaNam
   utkṣiptarajatakalaśapādyaparicārakopasthitatoraṇaṃ bhavanam anuprāptaḥ	utkzipta-rajata-kalaSa-pAdya-paricAraka-upasTita-toraNam Bavanam anuprAptaH
   suṣṭhu khalv idam ucyate - mahāntaḥ khalu mahatām ārambhā iti sāṃprataṃ hy	suzWu Kalu idam ucyate  mahAntaH Kalu mahatAm AramBAH iti sAMpratam hi-
   etad daśārdhavarṇaṃ puṣpam utkīryate muktam āsajyate grathitam saṃcāryante	etat daSArDa-varNam puzpam utkIryate muktam Asajyate graTitam saMcAryante
   dhūpāḥ prajvālyante dīpā ucyate svāgataṃ mucyate yānaṃ dṛśyate vibhrama	DUpAH prajvAlyante dIpAH ucyate svAgatam mucyate yAnam dRSyate viBrama
   upagīyate gītam upavādyate vādyaṃ dīyate hastaḥ kathyate ślakṣṇam	upagIyate gItam upavAdyate vAdyam dIyate hastaH kaTyate SlakzNam
   āliṅgyate snigdham avalambyate sapraṇayam avanamyate savinayaṃ spṛśyate	AliFgyate snigDam avalambyate sa-praNayam avanamyate sa-vinayam spRSyate
   pṛṣṭham ānatasya gamyate sabhrūkṣepam āghrāyate śiraḥ sthīyate savibhramam	pRzWam Anatasya gamyate sa-BrU-kzepam AGrAyate SiraH sTIyate sa-viBramam
   upaviśyate salīlaṃ viśrāṇyate candanam ālipyate varṇakaṃ vinyasyate	upaviSyate sa-lIlam viSrANyate candanam Alipyate varNakam vinyasyate
   vilepanam utkīryate cūrṇaḥ parihāsyate viṭaiḥ pratigṛhyate vilāsinībhir	vilepanam utkIryate cUrNaH parihAsyate viwEH pratigRhyate vilAsinIBiH-
   iti kiṃ bahunā	iti kim bahunA
   118 (a) puṣpeṣv ete jānudaghneṣu lagnāḥ	118 (a) puzpezu ete jAnu-daGnezu lagnAH
   (b) kṛcchrāt pādā vāmanair uddhriyante	(b) kRcCrAt pAdAH vAmanEH udDriyante
   [p.130] (c) vibhrāntākṣyaḥ ketakīnāṃ palāśān	[p.130] (c) viBrAnta-akzyaH ketakInAm palASAn
   (d) sītkurvāṇāḥ pādalagnān haranti	(d) sItkurvANAH pAda-lagnAn haranti
   api caite viṭamukhyāḥ	api ca-ete viwa-muKyAH
   119 (a) śrīmantaḥ sakhibhir alaṃkṛtāsanārdhāḥ	119 (a) SrImantaH saKiBiH alaMkRta-Asana-arDAH
   (b) kurvantaś caturam amarmavedhi narma	(b) kurvantaH caturam amarma-veDi narma
   (c) veśyābhiḥ samupagatāḥ samaṃ samantād	(c) veSyABiH samupagatAH samam samantAt-
   (d) ukṣāṇo vraja iva bhānti sopasaryāḥ	(d) ukzANaH vrajaH iva BAnti sa-upasaryAH
   api caiṣām etat sadaḥ	api ca-ezAm etat sadaH
   120 (a) nabha ivaśatacandraṃ yoṣitāṃ vaktracandraiḥ	120 (a) naBaH iva-Sata-candram yozitAm vaktra-candrEH
   (b) kṛtaśabaladigantaṃ saṃpatadbhiḥ kaṭākṣaiḥ	(b) kRta-Sabala-diS-antam saMpatadBiH kawAkzEH
   (c) saparigraham iva yūnāṃ bāhubhiḥ saṃprahārair	(c) sa-parigraham iva yUnAm bAhuBiH saMprahArEH-
   (d) nicitam iva śilābhiś candanārdrair urobhiḥ	(d) nicitam iva SilABiH candana-ArdrEH uroBiH
   api cāsmin	api ca-asmin
   121 (a) ete vibhānti gaṇikājanakalpavṛkṣās	121 (a) ete viBAnti gaNikA-jana-kalpavRkzAH-
   (b) tādātvikāś ca khalu mūlaharāś ca vīrāḥ	(b) tAdAtvikAH ca Kalu mUla-harAH ca vIrAH
   (c) bālye 'pi kāṣṭhakalahān kathayanti yeṣāṃ	(c) bAlye api kAzWa-kalahAn kaTayanti yezAm
   ( d) vṛddhāḥ suyodhanavṛkodarayor ivoccaiḥ	( d) vRdDAH suyoDana-vRkodarayoH iva-uccEs-
   tad etāvad aham api suhṛnnideśaveṣṭane śirasi bhagavate citteśvarāyāñjaliṃ	tat etAvat aham api suhRd-nideSa-vezwane Sirasi Bagavate citteSvarAya-aQjalim
   kṛtvā suhṛnnideśād imam adhikāraṃ puraskṛtya prāyaścittārthaṃ	kRtvA suhRd-nideSAt imam aDikAram puraskRtya prAyaScitta-arTam
   tatrabhavatas tauṇḍikoker viṣṇunāgasya ghoṣaṇāpūrvakaṃ viṭān vijñāpayāmi	tatraBavataH tONxikokeH vizNu-nAgasya GozaNa-apUrvakam viwAn vijQApayAmi
   (parikramya) bho bhoḥ	(parikramya) Bo BoH
   [p.131] sakalakṣititalasamāgatāḥ priyakalahāḥ kalahānāṃ ca niveditāro	[p.131] sakala-kziti-tala-samAgatAH priya-kalahAH kalahAnAm ca niveditAraH-
   dhūrtamiśrāḥ śṛṇvantu śṛṇvantu bhavantaḥ	DUrta-miSrAH SRNvantu SRNvantu BavantaH
   122 (a) kāmas tapasviṣu jayaty adhikārakāmo	122 (a) kAmaH tapasvizu jayati aDikAra-kAmaH-
   (b) viśvasya cittavibhur indriyavājyadhīśaḥ	(b) viSvasya citta-viBuH indriya-vAjI-aDISaH
   (c) bhūtāni bibhrati mahānty api yasya śiṣṭiṃ	(c) BUtAni biBrati mahAnti api yasya Sizwim
   ( d) vyāvṛttamaulimaṇiraśmibhir uttamāṅgaiḥ	( d) vyAvRtta-mOli-maNi-raSmiBiH uttamAFgEH
   (parikramya)	(parikramya)
   123 (a) atha jayati mado vilāsinīnāṃ	123 (a) aTa jayati madaH vilAsinInAm
   (b) sphuṭahasitapravikīrṇakarṇapūraḥ	(b) sPuwa-hasita-pravikIrNa-karNapUraH
   (c) skhalitagatir adhīradṛṣṭipātas	(c) sKalita-gatiH aDIra-dRzwi-pAta-s
   (d) tadanu ca yauvanavibhramā jayanti	(d) tadanu ca yOvana-viBramAH jayanti
   tad evaṃ vāramukhyājanacaraṇarajaḥpavitrīkṛtena śirasā dhūrtamiśrān	tat evam vAra-muKyA-jana-caraNa-rajaH-pavitrIkRtena SirasA DUrta-miSrAn
   praṇipatya vijñāpayāmi kiṃ caitad vijñāpyam iti śrūyatām	praNipatya vijQApayAmi kim ca-etat vijQApyam iti SrUyatAm
   124 (a) nāgavad viṣṇunāgo 'sāv	124 (a) nAga-vat vizNu-nAgaH asO=-
   urasā veṣṭate kṣitau	urasA vezwate kzitO
   (b) prāyaścittārtham udvignaṃ	(b) prAyaScitta-arTam udvignam
   tam enaṃ trātum arhatha	tam enam trAtum arhaTa
   kiṃ māṃ pṛcchanti bhavantaḥ- ko 'syāpanaya iti śrūyatām	kim mAm pRcCanti BavantaH kaH asya-apanayaH iti SrUyatAm
   125 (a) utkṣiptālakam īkṣaṇāntagalitaṃ kopāñcitāntabhruvā	125 (a) utkzipta-alakam IkzaNa-anta-galitam kopa-AQcitAnta-BruvA
   (b) daṣṭārdhoṣṭham adhīradantakiraṇaṃ protkampayantyā mukham	(b) dazwa-arDa-uzWam aDIra-danta-kiraNam protkampayantyAH muKam
   (c) śiñjannūpurayā vikṛṣya vigaladraktāṃśukaṃ pāṇinā	(c) SiQjannUpurayA vikRzya vigalat-rakta-aMSukam pANinA
   (d) mūrdhany asya sanūpuraḥ samadayā pādo 'rpitaḥ kāntayā	(d) mUrDani asya sa-nUpuraH samadayA pAdaH arpitaH kAntayA
   kiṃ kiṃ vadanti bhavantaḥ - kasyāḥ punar idam avijñātapuruṣāntarāyāḥ	kim kim vadanti BavantaH  kasyAH punar idam avijQAta-puruza-antarAyAH
   [p.132] pramādasaṃjñakam ayaśo vistīryata iti nanu tatrabhavatyāḥ	[p.132] pramAda-saMjQakam ayaSaH vistIryate iti nanu tatraBavatyAH
   saurāṣṭrikāyā madanasenikāyāḥ ete viṭā diṣṭyā neha kaścid iti saṃbhrāntā	sOrAzwrikAyAH madana-senikAyAH ete viwAH dizwyA na-iha kaScid iti saMBrAntA
   iva ya ete	iva ye ete
   126 (a) nirdhūtahastā vinigūḍhahāsā	126 (a) nirDUta-hastA vinigUXa-hAsA
   (b) dhigvādino dhīramukhāni baddhvā	(b) Dik-vAdinaH DIra-muKAni badDvA
   (c) dhyāyanti saṃprekṣya parasparasya	(c) DyAyanti saMprekzya parasparasya
   (d) jātānukampā iva nāma dhūrtāḥ	(d) jAta-anukampAH iva nAma DUrtAH
   eteṣāṃ tāvad āsīnānāṃ niyukto viṭamahattaro bhaṭṭijīmūtaḥ	etezAm tAvat AsInAnAm niyuktaH viwa-mahattaraH Bawwi-jImUtaH
   kṛpayā nāma paraṃ vaiklavyam upagataḥ ya eṣaḥ	kRpayA nAma param vEklavyam upagataH yaH ezaH
   127 (a) kaṣṭaṃ kaṣṭam iti śvāsān	127 (a) kazwam kazwam iti SvAsAn
   muñcan klānta iva dvipaḥ	muQcan klAntaH iva dvipaH
   (b) jīmūta iva jīmūto	(b) jImUtaH iva jImUtaH-
   netrābhyāṃ vāri varṣati	netrAByAm vAri varzati
   eṣa mām āhvayati ayam āgato 'smi kim ājñāpayati bhaṭṭiḥ - srutapūrvaṃ mayā	eza mAm Ahvayati ayam AgataH asmi kim AjQApayati BawwiH  sruta-pUrvam mayA
   bhūyo 'pi vadasi. evaṃ prāyascittārthaṃ brāhmaṇopagamanam tasmād evāham	BUyas api vadasi. evam prAyascitta-arTam brAhmaNa-upagamanam tasmAt eva-aham
   upaviṣṭas, tat samayapūrvakam upagṛhyantāṃ tatrabhavanto viṭā iti yad	upavizwas, tat samaya-pUrvakam upagRhyantAm tatraBavantaH viwAH iti yat-
   ājñāpayati bhaṭṭiḥ bho bhoḥ śṛṇvantu śṛṇvantu bhavantaḥ	AjQApayati BawwiH Bo BoH SRNvantu SRNvantu BavantaH
   128 (a) dyūteṣu mā sma vijayiṣṭa paṇaṃ kadācin	128 (a) dyUtezu mA sma vijayizwa paNam kadAcid-
   (b) mātuḥ śṛṇotu pitaraṃ vinayena yātu	(b) mAtuH SRNotu pitaram vinayena yAtu
   [p.133] (c) kṣīraṃ śṛtaṃ pibatu modakam at tu mohād	[p.133] (c) kzIram SRtam pibatu modakam at tu mohAt-
   (d) vyūḍhāpatir bhavatu yo 'tra vaded ayuktam	(d) vyUXA-patiH Bavatu yaH atra vadet ayuktam
   api ca	api ca
   129 (a) paricaratu gurūn apaitu goṣṭhyā	129 (a) paricaratu gurUn apEtu gozWyA
   (b) bhavatu ca vṛddhasamo yuvā vinītaḥ	(b) Bavatu ca vRdDa-samaH yuvA vinItaH
   (c) palitam abhisamīkṣya yātu śāntiṃ	(c) palitam aBisamIkzya yAtu SAntim
   ( d) ya idam ayuktam udāharen niṣaṇṇaḥ	( d) yaH idam ayuktam udAharet nizaNNaH
   (vivṛtyāvalokya) eṣa dhārayakir anantakathaḥ sahasotthāya mām āhvayati kiṃ	(vivRtya-avalokya) eza DArayakiH ananta-kaTaH sahasA-utTAya mAm Ahvayati kim
   bravīṣi - tasyā evedam avijñātapraṇayāyāḥ pātakaṃ nātrabhavataḥ śrotum	bravIzi  tasyAH eva-idam avijQAta-praNayAyAH pAtakam na-atraBavataH Srotum
   arhati bhavān	arhati BavAn
   130 (a) aśokaṃ sparśena drumam asamaye puṣpayati yaḥ	130 (a) aSokam sparSena drumam asamaye puzpayati yaH
   (b) svayaṃ yasmin kāmo vitataśaracāpo nivasati	(b) svayam yasmin kAmaH vitata-Sara-cApaH nivasati
   (c) sa pādo vinyastaḥ paśuśirasi mohād iva yayā	(c) sa pAdaH vinyastaH paSu-Sirasi mohAt iva yayA
   (d) nanu prāyaścittaṃ caratu suciraṃ saiva capalā iti	(d) nanu prAyaScittam caratu su-ciram sA-eva capalAH iti
   samyag āha bhavān tathā hi	samyak Aha BavAn taTA hi
   131 (a) upavīṇita eṣa gardabhaḥ	131 (a) upavINitaH eza gardaBaH
   (b) samupaślokita eṣa vānaraḥ	(b) samupaSlokitaH eza vAnaraH
   (c) payasi śṛta eṣa māhiṣe	(c) payasi SRtaH eza mAhize
   (d) sahakārasya raso nipātitaḥ	(d) sahakArasya rasaH nipAtitaH
   api tv ārtānupātāni prāyascittāni ārtaś cāyam upāgatas, tad anugrahītum	api tu Arta-anupAtAni prAyascittAni ArtaH ca-ayam upAgatas, tat anugrahItum
   arhantibhavantaḥ tat kva nu khalv eṣāṃ goglanaptā	arhanti-BavantaH tat kva nu Kalu ezAm go-glanaptA
   [p.134] ya eṣa madarabhasacalitamaulim ekahastena pratisamābadhya	[p.134] yaH eza mada-raBasa-calita-mOlim eka-hastena pratisamAbaDya
   kṣudramuktāvakīrṇam iva svedabindubhir lalāṭadeśaṃ pradeśinyā parimṛjya	kzudra-mukta-avakIrNam iva sveda-binduBiH lalAwa-deSam pradeSinyA parimRjya
   śrūyatām asya prāyaścittam iti mām āhvayati yāvad upasarpāmi ete viṭāḥ kaś	SrUyatAm asya prAyaScittam iti mAm Ahvayati yAvat upasarpAmi ete viwAH kaS
   ca tāvad ayaṃ viṭabhāvadūṣitākāraḥ prathamataro Viṭo viṭapariṣady utthāya	ca tAvat ayam viwa-BAva-dUzita-AkAraH praTamataraH ViwaH viwa-parizadi utTAya
   prāyaścittam upadiśatīti kupitāḥ haṇḍe mallasvāmin, śrutam evam āhur	prAyaScittam upadiSati-iti kupitAH haNxe malla-svAmin, Srutam evam AhuH-
   atrabhavantaḥ kiṃ bravīṣi - mā tāvan, nanūcyantām atrabhavantaḥ	atraBavantaH kim bravIzi  mA tAvan, nanUcyantAm atraBavantaH
   132 (a) tāte pañcatvaṃ pañcarātre prayāte	132 (a) tAte paQcatvam paQca-rAtre prayAte
   (b) mitreṣv ārteṣu vyākule bandhuvarge	(b) mitrezu Artezu vyAkule banDu-varge
   (c) ekaṃ krośantaṃ bālam ādhāya putraṃ	(c) ekam kroSantam bAlam ADAya putram
   (d) dāsyā sārdhaṃ pītavān asmi madyam	(d) dAsyA sArDam pItavAn asmi madyam
   katham aham aviṭa iti evaṃ cet tvām anujānanti viṭamukhyo 'sīti āsyatām	kaTam aham aviwaH iti evam ced tvAm anujAnanti viwa-muKyaH asi-iti AsyatAm
   kiṃ bravīṣi - dīyatām asmai prāyascittam iti bāḍhaṃ bhūyaḥ śrāvayāmi tat	kim bravIzi  dIyatAm asmE prAyascittam iti bAXam BUyas SrAvayAmi tat-
   kiṃ nu khalv eṣa māṃ śaibyaḥ kavir āryarakṣito vāyuvaiṣamyanipīḍitākṣaro	kim nu Kalu eza mAm SEbyaH kaviH Arya-rakzitaH vAyu-vEzamya-nipIxita-akzaraH-
   mām āhvayan	mAm Ahvayan
   [p.135] na khalu na khalv idaṃ prāyaścittam iti pratiṣedhayati ativiṭaś	[p.135] na Kalu na Kalu idam prAyaScittam iti pratizeDayati ativiwaH-
   caiṣa dhāntraḥ kutaḥ	ca-eza DAntraH kutas-
   133 (a) vikrīṇāti hi kāvyaṃ	133 (a) vikrINAti hi kAvyam
   śrotriyabhavaneṣu madyacaṣakeṇa	Srotriya-Bavanezu madya-cazakeNa
   (b) yaḥ śibikule prasūto	(b) yaH Sibi-kule prasUtaH-
   bhartṛsthāne jarāṃ yātaḥ api ca	BartR-sTAne jarAm yAtaH api ca
   134 (a) vikrīṇanti hi kavayo	134 (a) vikrINanti hi kavayaH-
   yady evaṃ kāvyam adya caṣakeṇa	yadi evam kAvyam adya cazakeNa
   (b) kāśiṣu ca kosaleṣu ca	(b) kASizu ca kosalezu ca
   bhargeṣu niṣādanagareṣu yāvad enam upasarpāmi sakhe, ayam asmi kiṃ bravīṣi	Bargezu nizAda-nagarezu yAvat enam upasarpAmi saKe, ayam asmi kim bravIzi
   135 (a) dhṛto gaṇḍābhoge kamala iva baddho madhukaro	135 (a) DRtaH gaNxa-ABoge kamalaH iva badDaH maDukaraH-
   (b) vilāsinyā mukto bakulatarum āpuṣpayati yaḥ	(b) vilAsinyA muktaH bakulatarum Apuzpayati yaH
   (c) vilāso netrāṇāṃ taruṇasahakārapriyasakhaḥ	(c) vilAsaH netrANAm taruNa-sahakAra-priya-saKaH
   (d) sa gaṇḍūṣaḥ sīdhoḥ katham iva śiraḥ prāpsyati paśoḥ iti	(d) sa gaNxUzaH sIDoH kaTam iva SiraH prApsyati paSoH iti
   ayam aparo bhavakīrtir baddhakaraḥ prāyaścittārthaṃ mām āhvayati ativiṭaś	ayam aparaH Bava-kIrtiH badDa-karaH prAyaScitta-arTam mAm Ahvayati ativiwaH-
   caiṣa māṇavakaḥ kutaḥ	ca-eza mANavakaH kutas-
   136 (a) muṇḍāṃ vṛddhāṃ jīrṇakāṣāyavastrāṃ	136 (a) muNxAm vRdDAm jIrNa-kAzAya-vastrAm
   (b) bhikṣāhetor nirviśaṅkaṃ praviṣṭām	(b) BikzA-hetoH nirviSaFkam pravizwAm
   (c) bhūmāv ārtāṃ pātayitvā sphurantīṃ	(c) BUmO ArtAm pAtayitvA sPurantIm
   (d) yo 'yaṃ kāmī kāmakāraṃ karoti	(d) yaH ayam kAmI kAmakAram karoti
   [p.136] yāvad enam upasarpāmi kiṃ bravīṣi - idam asyāḥ prāyaścittam	[p.136] yAvat enam upasarpAmi kim bravIzi  idam asyAH prAyaScittam
   l37 (a) badhyatāṃ mekhalādāmnā	l37 (a) baDyatAm meKalA-dAmnA
   samākṛṣya kacagrahaiḥ	samAkRzya kaca-grahEH
   (b) atha tasyāḥ prasuptāyāḥ	(b) aTa tasyAH prasuptAyAH
   pādau saṃvāhayatv ayam iti	pAdO saMvAhayatu ayam iti
   bho etad api pratihatam eṣa ibhyaputraś ceṭaputrair abhyastanāmā	Bo etat api pratihatam ezaH iBya-putraH cewa-putrEH aByasta-nAmA
   gāndharvasenako hastam udyamya mām āhvayati yasyaiṣa hastaḥ	gAnDarva-senakaH hastam udyamya mAm Ahvayati yasya-eza hastaH
   l38 (a) vādyeṣu trividheṣv anekakaraṇaiḥ saṃcāritāgrāṅgulis	l38 (a) vAdyezu triviDezu aneka-karaNEH saMcArita-agra-aFguli-s
   (b) tāmrāmbhoruhapattravṛṣṭir iva yas tantrīṣu paryasyate	(b) tAmra-amBoruha-pattra-vRzwiH iva yaH tantrIzu paryasyate
   (c) kolambānugatena yena dadhatā śroṇītaṭe vallakīm	(c) kolamba-anugatena yena daDatA SroNI-tawe vallakIm
