   (Tvbh_38)	(TvB_38)
   pariniṣpannaḥ katham ity ata āha |	parinizpannaH kaTam iti atas Aha |
   niṣpannas tasya pūrveṇa sadā rahitatā tu yā || 21cd	nizpannaH tasya pUrveNa sadA rahita tA tu yA || 21cd
   avikārapariniṣpattyā sa pariniṣpannaḥ | tasyeti paratantrasya pūrveṇeti	avikAra parinizpattyA sa parinizpannaH | tasya iti paratantrasya pUrveNa iti
   parikalpitena tasmin vikalpe grāhyagrāhakabhāvaḥ parikalpitaḥ | tathā hi	parikalpitena tasmin vikalpe grAhya grAhaka BAvaH parikalpitaH | taTA hi
   tasmin vikalpe grāhyagrāhakatvam avidyamānam eva parikalpyata iti	tasmin vikalpe grAhya grAhaka tvam avidyamAnam eva parikalpyate iti
   parikalpitam ucyate | tena grāhyagrāhakeṇa paratantrasya sadā sarvakālam	parikalpitam ucyate | tena grAhya grAhakeNa paratantrasya sadA sarvakAlam
   atyantarahitatā yā sa pariniṣpannasvabhāvaḥ ||	atyantara hita tA yA sa parinizpanna svaBAvaH ||
   ata eva sa naivānyo nānanyaḥ paratantrataḥ | 22ab	atas eva sa na eva anyaH na ananyaH paratantrataH | 22ab
   ata eva sa naiveti parikalpitena svabhāvena paratantrasya sadā rahitatā	atas eva sa na eva iti parikalpitena svaBAvena paratantrasya sadA rahita tA
   pariniṣpannaḥ | rahitatā ca dharmatā | sā ca dharmatā dharmān nānyā	parinizpannaH | rahita tA ca DarmatA | sA ca DarmatA DarmAt na anyA
   nānanyā yujyate | pariniṣpannaś ca paratantradharmatety ataḥ paratantrāt	na ananyA yujyate | parinizpannaH ca paratantra DarmatA iti atas paratantrAt 
   pariniṣpanno nānyo nānanya iti boddhavyaḥ | yadi hi pariniṣpannaḥ	parinizpannaH na anyaH na ananyaH iti bodDavyaH | yadi hi parinizpannaH
   paratantrād anyaḥ syād evaṃ na parikalpitena paratantraḥ śūnyaḥ syāt |	paratantrAt anyaH syAt evam na parikalpitena paratantraH SUnyaH syAt |
   athānanya evam api pariniṣpanno na viśuddhālambanaḥ syāt paratantravat	aTa ananyaH evam api parinizpannaH na viSudDa AlambanaH syAt paratantra vat 
   saṃkleśātmakatvāt | evaṃ paratantraś ca na kleśātmakaḥ syāt |	saMkleSa Atmaka tvAt | evam paratantraH ca na kleSa AtmakaH syAt |
   pariniṣpannād ananyatvāt pariniṣpannavat |	parinizpannAt ananya tvAt parinizpanna vat |
   (Tvbh_126)	(TvB_126)
   anityatādivad vācyo 22c	anitya tA Adi vat vAcyaH 22c
   nānyo nānanya iti vākyaśeṣaḥ | yathā hy anityatā duḥkhatānātmatā ca |	na anyaH na ananyaH iti vAkya SezaH | yaTA hi anitya tA duHKa tAna Atma tA ca |
   saṃskārādibhyo	saMskAra AdiByaH 
   nānyā nānanyā | yadi saṃskārebhyo 'nityatā anyā | evaṃ tarhi saṃskārā	na anyA na ananyA | yadi saMskAreByaH anitya tA anyA | evam tarhi saMskArA
   nityāḥ syuḥ | athānanyā evam api saṃskārāḥ pradhvaṃsābhāvarūpāḥ syur	nityAH syuH | aTa ananyAH evam api saMskArAH praDvaMsa aBAva rUpAH syuH 
   anityatāvat | evaṃ duḥkhatādiṣv api vācyam |	anitya tAvat | evam duHKa tA Adizu api vAcyam |
   yadi grāhyagrāhakabhāvarahitaḥ paratantraḥ katham asau gṛhyate agṛhyamāṇo	yadi grAhya grAhaka BAva rahitaH paratantraH kaTam asO gRhyate agRhyamANaH 
   vā katham astīti vijñāyate | ata āha |	vA kaTam asti iti vijQAyate | atas Aha |
   nādṛṣṭe 'smin sa dṛśyate || 22d	na adRzwe asmin sa dRSyate || 22d
   nādṛṣṭe 'sminn iti pariniṣpannasvabhāve sa dṛśyata iti paratantraḥ	na adRzwe asmin iti parinizpanna svaBAve sa dRSyate iti paratantraH
   svabhāvaḥ | nirvikalpalokottarajñānadṛśye pariniṣpanne svabhāve adṛṣṭe	svaBAvaH | nirvikalpa loka uttara jQAna dRSye parinizpanne svaBAve adRzwe
   apratividdhe asākṣātkṛte tatpṛṣṭhalabdhaśuddhalaukikajñānagamyatvāt	apratividDe asAkzAtkRte tad pRzWa labDa SudDa lOkika jQAna gamya tvAt
   paratantro 'nyena jñānena na gṛhyate | ataḥ pariniṣpanne 'dṛṣṭe paratantro	paratantraH anyena jQAnena na gRhyate | atas parinizpanne adRzwe paratantraH 
   na dṛśyate | na punar lokottarajñānapṛṣṭhalabdhenāpi jñānena na dṛśyate |	na dRSyate | na punar loka uttara jQAna pRzWa labDena api jQAnena na dRSyate |
   tathā nirvikalpapraveśāyāṃ dhāraṇyām uktam |	taTA nirvikalpa praveSAyAm DAraNyAm uktam |
   tat pṛṣṭhalabdhena jñānena	tat pRzWa labDena jQAnena
   māyāmarīcisvapnapratiśrutkodakacandranirmitasamān sarvadharmān pratyetīti	mAyA marIci svapna pratiSrutka udaka candra nirmita samAn sarva DarmAn pratyeti iti
   atra ca dharmāḥ paratantrasaṃgṛhītā abhipretāḥ | pariniṣpannaś cākāśavad	atra ca DarmAH paratantra saMgRhItAH aBipretAH | parinizpannaH ca AkASa vat 
   ekarasaḥ | jñānañ ca yathoktaṃ	ekarasaH | jQAnan ca yaTA uktam
   nirvikalpena jñānenākāśasamatayā tān sarvadharmān paśyatīti	nirvikalpena jQAnena AkASa sama tayA tAn sarva DarmAn paSyati iti
   paratantradharmāṇāṃ tathatāmātradarśanāt ||	paratantra DarmANAm taTatA mAtra darSanAt ||
   (Tvbh_128)	(TvB_128)
   yadi dravyam eva paratantraḥ kathaṃ sūtre sarvadharmā niḥsvabhāvā	yadi dravyam eva paratantraH kaTam sUtre sarva DarmA niHsvaBAvA
   anutpannā aniruddhā iti nirdiśyante | nāsti virodhaḥ yasmāt |	anutpannAH anirudDAH iti nirdiSyante | na asti viroDaH yasmAt |
   trividhasya svabhāvasya trividhāṃ niḥsvabhāvatām |	triviDasya svaBAvasya triviDAm niHsvaBAva tAm |
   sandhāya sarvadharmāṇāṃ deśitā niḥsvabhāvatā || 23	sanDAya sarva DarmANAm deSitA niHsvaBAva tA || 23
   traya eva svabhāvā na caturtho 'stīti jñāpanārthaṃ saṃkhyānirdeśaḥ | svena	trayaH eva svaBAvAH na caturTaH asti iti jQApana arTam saMKyA nirdeSaH | svena
   svena lakṣaṇena vidyamānavad bhavatīti svbhāvaḥ |	svena lakzaNena vidyamAna vat Bavati iti svBAvaH |
   trividhā niḥsvabhāvatā lakṣaṇaniḥsvabhāvatā utpattiniḥsvabhāvatā	triviDA niHsvaBAva tA lakzaNa niHsvaBAva tA utpatti niHsvaBAva tA
   paramārthaniḥsvabhāvatā ca | sarvadharmāḥ	parama arTa niHsvaBAva tA ca | sarva DarmAH
   parikalpitaparatantrapariniṣpannātmakāḥ |	parikalpita paratantra parinizpanna AtmakAH |
   idānīṃ trividhasya svabhāvasya yā yasya niḥsvabhāvatā tāṃ tasya	idAnIm triviDasya svaBAvasya yA yasya niHsvaBAva tA tAm tasya
   pradarśayann āha |	pradarSayan Aha |
   prathamo lakṣaṇenaiva niḥsvabhāvo 'paraḥ punaḥ |	praTamaH lakzaNena eva niHsvaBAvaH aparaH punar |
   na svayaṃbhāva etasyety aparā niḥsvabhāvatā || 24	na svayaMBAvaH etasya iti aparA niHsvaBAva tA || 24
   dharmāṇāṃ paramārthaś ca sa yatas tathatāpi saḥ | 25ab	DarmANAm parama arTaH ca sa yatas taTatA api saH | 25ab
   prathamaḥ parikalpitaḥ svabhāvo 'yaṃ ca lakṣaṇenaiva niḥsvabhāvas	praTamaH parikalpitaH svaBAvaH ayam ca lakzaNena eva niHsvaBAva H 
   tallakṣaṇasyotprekṣitatvāt | rūpalakṣaṇaṃ rūpam | anubhavalakṣaṇā	tad lakzaNasya utprekzita tvAt | rUpa lakzaNam rUpam | anuBava lakzaNA
   vedanetyādi | ataś ca svarūpābhāvāt khapuṣpavat svarūpeṇaiva niḥsvabhāvaḥ	vedanA ityAdi | atas ca svarUpa aBAvAt Ka puzpa vat sva rUpeNa eva niHsvaBAvaH
   (Tvbh_130)	(TvB_130)
   aparaḥ punar iti paratantrasvabhāvaḥ | na svayaṃbhāva etasya māyāvat	aparaH punar iti paratantra svaBAvaH | na svayaMBAvaH etasya mAyAvat 
   parapratyayenotpatteḥ | ataś ca yathā prakhyāti tathāsyotpattir nāstīty	para pratyayena utpatteH | atas ca yaTA praKyAti taTA asya utpattiH na asti iti 
   ato 'syotpattiniḥsvabhāvatety ucyate |	atas asya utpatti niHsvaBAvatA iti ucyate |
   dharmāṇāṃ paramārthaś ca sa yatas tathāpi sa iti | (25ab)	DarmANAm parama arTaH ca sa yatas taTA api saH iti | (25ab)
   paramaṃ hi lokottarajñānaṃ niruttaratvāt tasyārthaḥ paramārthaḥ | atha	paramam hi loka uttara jQAnam niruttara tvAt tasya arTaH parama arTaH | aTa
   vākāśavat sarvatraikarasārthena vaimalyāvikārārthena ca pariniṣpannaḥ	vA AkASa vat sarvatra ekarasa arTena vEmalya avikAra arTena ca parinizpannaH
   svabhāvaḥ paramārtha ucyate | sa yasmāt pariniṣpannaḥ svabhāvaḥ	svaBAvaH parama arTaH ucyate | sa yasmAt parinizpannaH svaBAvaH
   sarvadharmāṇāṃ paratantrātmakānāṃ paramārthaḥ | taddharmateti kṛtvā tasmāt	sarva DarmANAm paratantra AtmakAnAm parama arTaH | tat Darma tA iti kRtvA tasmAt 
   pariniṣpanna eva svabhāvaḥ paramārthaniḥsvabhāvātā	parinizpannaH eva svaBAvaH parama arTa niHsvaBAvAtA
   pariniṣpannasyābhāvasvabhāvatvāt |	parinizpannasya aBAva svaBAva tvAt |
   kiṃ punaḥ paramārthābhidhānenaiva pariniṣpanno 'bhidhātavyaḥ | nety āha |	kim punar parama arTa aBiDAnena eva parinizpannaH aBiDAtavyaH | na iti Aha |
   kiṃ tarhi	kim tarhi
   tathatāpi saḥ | (25b)	taTatA api saH | (25b)
   apiśabdān na kevalaṃ tathatāśabdenaivābhidhātavyaḥ | kiṃ tarhi yāvanto	api SabdAt na kevalam taTatA Sabdena eva aBiDAtavyaH | kim tarhi yAvantaH 
   dharmadhātuparyāyāḥ sarvais tair apy abhidhātavya iti ||	DarmaDAtu paryAyAH sarvEH tEH api aBiDAtavyaH iti ||
   sarvakālaṃ tathābhāvāt 25c	sarvakAlam taTA aBAvAt 25c
   tathatā | tathā hi pṛthagjanaśaikṣāśaikṣāvasthāsu sarvakālaṃ tathaiva	taTatA | taTA hi pRTagjana SEkzA SEkza avasTAsu sarvakAlam taTA eva
   bhavati | nānyatheti tathatety ucyate |	Bavati | na anyaTA iti taTatA iti ucyate |
   kiṃ punas tathatāvat pariniṣpanna eva vijñaptimātratā | utānyā	kim punar taTatAvat parinizpannaH eva vijQaptimAtra tA | uta anyA
   vijñaptimātratā | ata āha |	vijQaptimAtra tA | atas Aha |
   saiva vijñaptimātratā || 25d	sA eva vijQaptimAtra tA || 25d
   (Tvbh_132)	(TvB_132)
   suviśuddhalakṣaṇāvabodhād yathoktam |	su viSudDa lakzaNa avaboDAt yaToktam |
   nāmni tiṣṭhati tac cittaṃ tadā tanmātradarśanāt |	nAmni tizWati tat cittam tadA tanmAtra darSanAt |
   nāmni sthānāc ca vijñaptāv upalambhaḥ prahīyate ||	nAmni sTAnAt ca vijQaptO upalamBaH prahIyate ||
   nopalambhaṃ tadā dhātuṃ spṛśate bhāvanānvayāt |	na upalamBam tadA DAtum spRSate BAvanA anvayAt |
   sarvāvaraṇavimokṣaṃ vibhutvaṃ labhate tadā ||	sarva AvaraNa vimokzam viBu tvam laBate tadA ||
   iti | saiva vijñaptimātratety anena vacanenābhisamaya uktaḥ |	iti | sA eva vijQaptimAtra tA iti anena vacanena aBisamayaH uktaH |
   yadi vijñaptimātram evedaṃ kasmāc cakṣuḥśrotraghrāṇarasanasparśanaiḥ	yadi vijQaptimAtram eva idam kasmAt cakzuH Srotra GrANa rasana sparSanEH
   rūpaśabdagandharasasparśān gṛhṇātīty asya bhavatīty ata āha |	rUpa Sabda ganDa rasa sparSAn gRhNAti iti asya Bavati iti atas Aha |
   yāvad vijñaptimātratve vijñānaṃ nāvatiṣṭhate |	yAvat vijQaptimAtra tve vijQAnam na avatizWate |
   grāhadvayasyānuśayas tāvan na vinivartate || 26	grAha dvayasya anuSayaH tAvat na vinivartate || 26
   atha vā yās tāḥ karmavāsanā grāhadvayavāsanāsahitāḥ	aTa vA yAH tAH karma vAsanAH grAha dvaya vAsanA sahitAH
   kṣīṇe pūrvavipāke 'nyaṃ vipākaṃ janayantīty (19cd)	kzINe pUrva vipAke anyam vipAkam janayanti iti (19cd)
   uktaṃ tasmāt kathaṃ prahāṇam aprahāṇaṃ cety ata āha |	uktam tasmAt kaTam prahANam aprahANam ca iti atas Aha |
   (Tvbh_134)	(TvB_134)
   yāvad vijñaptimātratve vijñānaṃ nāvatiṣṭḥata (26ab)	yAvat vijQaptimAtra tve vijQAnam na avatizwHata (26ab)
   iti vistaraḥ | yāvac cittadharmatāyāṃ vijñaptimātrasaṃśabditāyāṃ vijñānaṃ	iti vistaraH | yAvat citta Darma tAyAm vijQaptimAtra saMSabditAyAm vijQAnam
   nāvatiṣṭhate kiṃ tarhi grāhyagrāhakopalambhe carati | grāhadvayaṃ	na avatizWate kim tarhi grAhya grAhaka upalamBe carati | grAha dvayam
   grāhyagrāho grāhakagrāhaś ca | tasyānuśayas tadāhitam	grAhya grAhaH grAhaka grAhaH ca | tasya anuSayaH tat A ahitam
   anāgatagrāhadvayotpattaye bījam ālayavijñāne | yāvad advayalakṣaṇe	anAgata grAha dvaya utpattaye bIjam Alaya vijQAne | yAvat advaya lakzaNe
   vijñaptimātratve yoginaś cittaṃ na pratiṣṭhitaṃ bhavati tāvad	vijQaptimAtra tve yoginaH cittam na pratizWitam Bavati tAvat 
   grāhyagrāhakānuśayo na vinivartate na prahīyata ity arthaḥ | atra ca bahir	grAhya grAhaka anuSayaH na vinivartate na prahIyate iti arTaH | atra ca bahis 
   upalambhāprahāṇenādhyātmikopalambhāprahāṇaṃ darśitam iti | ato 'syaivam	upalamBa aprahANena ADyAtmika upalamBA prahANam darSitam iti | atas asya evam
   bhavaty ahaṃ cakṣurādibhiḥ rūpādīn gṛhṇāmīti |	Bavati aham cakzuH AdiBiH rUpa AdIn gRhNAmi iti |
   idam idānīṃ vaktavyaṃ kim artharahitacittamātropalambhāc	idam idAnIm vaktavyam kim arTa rahita citta mAtra upalamBAt 
   cittadharmatāvasthānam | nety āha | kiṃ tarhi |	citta DarmatA avasTAnam | na iti Aha | kim tarhi |
   vijñaptimātram evedam ity api hy upalambhataḥ |	vijQapti mAtram eva idam iti api hi upalamBataH |
   sthāpayann agrataḥ kiñcit tanmātre nāvatiṣṭhate || 27	sTApayan agratas kiQcid tanmAtre na avatizWate || 27
   iti atha vā yaḥ punar ābhimānikaḥ śrutamātrakeṇa jānīyad ahaṃ	iti aTa vA yaH punar ABimAnikaH Sruta mAtrakeNa jAnIyat aham
   vijñaptimātratāyāṃ śuddhāyāṃ sthita iti tadgrahavyudāsārtham āha |	vijQaptimAtra tAyAm SudDAyAm sTitaH iti tad graha vyudAsa arTam Aha |
   vijñaptimātram evedam ity api hy upalambhata ity (27ab)	vijQapti mAtram eva idam iti api hi upalamBate iti (27ab)
   ādi | vijñaptimātram evedaṃ artharahitaṃ na bāhyo 'rtho 'stīty evam	Adi | vijQaptimAtram eva idam arTa rahitam na bAhyaH arTaH asti iti evam
   upalambhato grahaṇataḥ citrīkaraṇata ity artho 'grata ity abhimukhaṃ	upalamBataH grahaNataH citrIkaraNataH iti arTaH agratas iti aBimuKam
   (Tvbh_136) sthāpayann iti yathāśrutaṃ manasā	(TvB_136) sTApayan iti yaTASrutam manasA
   bahuprakāratvād yogācārālambanānāṃ kiṃcid ity āhāsthisaṃkalikaṃ vā	bahu prakAra tvAt yoga AcAra AlambanAnAm kiMcid iti Aha asTi saMkalikam vA
   vinīlakaṃ vā vipūyakaṃ vā vipaḍumakaṃ vā vyādhmātakādikaṃ vā tanmātre	vinIlakam vA vipUyakam vA vipaxumakam vA vyADmAtaka Adikam vA tanmAtre
   nāvatiṣṭhate vijñānopalambhāprahāṇāt |	na avatizWate vijQAna upalamBa aprahANAt |
   kadā punar vijñānagrāhasya prahāṇaṃ cittadharmātāyāñ ca pratiṣṭhito	kadA punar vijQAna grAhasya prahANam citta Darma AtAyAn ca pratizWitaH 
   bhavatīty ata āha |	Bavati iti atas Aha |
   yadā tv ālambanaṃ jñānaṃ naivopalabhate tadā |	yadA tu Alambanam jQAnam na eva upalaBate tadA |
   sthitaṃ vijñaptimātratve grāhyābhābhāve tadagrahāt || 28	sTitam vijQaptimAtra tve grAhya aBa aBAve tad agrahAt || 28
   yasmin kāle deśanālambanaṃ avavādālambanaṃ prākṛtaṃ vā	yasmin kAle deSanA Alambanam avavAda Alambanam prAkRtam vA
   rūpaśabdādyālambanaṃ jñānaṃ bahiś cittān nopalabhate na paśyati na gṛhṇāti	rUpa Sabda Adi Alambanam jQAnam bahis cittAn na upalaBate na paSyati na gRhNAti
   nābhiniviśate yathābhūtārthadarśanān na tu jātyandhavat tasmin kāle	na aBiniviSate yaTABUta arTa darSanAt na tu jAti anDa vat tasmin kAle
   vijñānagrāhasya prahāṇaṃ svacittadharmatāyāṃ ca pratiṣṭhito bhavati |	vijQAna grAhasya prahANam sva citta DarmatAyAm ca pratizWitaH Bavati |
   atraiva kāraṇam āha |	atra eva kAraNam Aha |
   grāhyābhāve tadagrahād iti | (28d)	grAhya aBAve tad agrahAt iti | (28d)
   grāhye sati grāhako bhavati na tu grāhyābhāva iti | grāhyābhāve	grAhye sati grAhakaH Bavati na tu grAhya aBAvaH iti | grAhya aBAve
   grāhakābhāvam api pratipadyate | na kevalaṃ grāhyābhāvam | evaṃ hi	grAhaka aBAvam api pratipadyate | na kevalam grAhya aBAvam | evam hi
   (Tvbh_138) samasamālambyālambakaṃ nirvikalpaṃ lokottaraṃ jñānam utpadyate	(TvB_138) sama samAlambya Alambakam nirvikalpam loka uttaram jQAnam utpadyate
   | grāhyagrāhakābhiniveśānuśayāḥ prahīyante svacittadharmatāyāṃ ca cittam	| grAhya grAhaka aBiniveSa anuSayAH prahIyante sva citta DarmatAyAm ca cittam
   avasthitaṃ bhavati |	avasTitam Bavati |
   yadaivaṃ vijñaptimātratāyāṃ cittam avasthitaṃ bhavati tadā kathaṃ	yadA evam vijQaptimAtra tAyAm cittam avasTitam Bavati tadA kaTam
   vyapadiśyata ity āha |	vyapadiSyate iti Aha |
   acitto 'nupalambo 'sau jñānaṃ lokottarañ ca tat |	acittaH anupalambaH asO jQAnam lokottaran ca tat |
   āśrayasya parāvṛttir dvidhādauṣṭhulyahānitaḥ || 29	ASrayasya parAvRttiH dviDA dOzWulya hAnitaH || 29
   sa evānāsravo dhātur acintyaḥ kuśalo dhruvaḥ |	saH eva anAsravaH DAtuH acintyaH kuSalaH DruvaH |
   sukho vimuktikāyo 'sau dharmākhyo 'yaṃ mahāmuneḥ || 30	suKaH vimukti kAyaH asO Darma AKyaH ayam mahA muneH || 30
   iti | tad anena ślokadvayena darśanamārgam ārabhyottaraviśeṣagatyā	iti | tat anena Sloka dvayena darSana mArgam AraBya uttara viSeza gatyA
   phalasaṃpattir udbhāvitā vijñaptimātratāpraviṣṭayoginaḥ | tatra	Pala saMpattiH udBAvitAH vijQapti mAtra tA pravizwa yoginaH | tatra
   grāhakacittābhāvād grāhyārthānupalambhāc	grAhaka citta aBAvAt grAhya arTa anupalamBAt 
   cācitto 'nupalambho 'sau | (29a)	ca acittaH anupalamBaH asO | (29a)
   (Tvbh_140)	(TvB_140)
   anucitatvāl loke samudācārābhāvān nirvikalpatvāc ca lokād uttīrṇam iti	anucita tvAt loke samudAcAra aBAvAt nirvikalpa tvAt ca lokAt uttIrNam iti
   jñānaṃ lokottarañ ca tad iti | (29b)	jQAnam lokottaran ca tat iti | (29b)
   tasya jñānasyānantaraṃ āśrayasya parāvṛttir bhavatīti jñāpanārtham āha |	tasya jQAnasya anantaram ASrayasya parAvRttiH Bavati iti jQApana arTam Aha |
   āśrayasya parāvṛttir iti | (29c)	ASrayasya parAvRttiH iti | (29c)
   āśrayo 'tra sarvabījakam ālayavijñānam | tasya parāvṛttir yā	ASrayaH atra sarva bIjakam Alaya vijQAnam | tasya parAvRttiH yA
   dauṣṭhulyavipākadvayavāsanābhāvena nivṛttau satyāṃ	dOzWulya vipAka dvaya vAsanA BAvena nivRttO satyAm
   karmaṇyatādharmakāyādvayajñānabhāvena parāvṛttiḥ |	karmaNyatA Darma kAya advaya jQAna BAvena parAvRttiH |
   sā punar āśrayaparāvṛttiḥ kasya prahāṇāt prāpyate | ata āha |	sA punar ASraya parAvRttiH kasya prahANAt prApyate | atas Aha |
   dvidhādauṣṭhulyahānitaḥ | (29d)	dviDA dOzWulya hAnitaH | (29d)
   dvidheti kleśāvaraṇadauṣṭhulyaṃ jñeyāvaraṇadauṣṭhulyañ ca | dauṣṭhulyam	dviDA iti kleSa AvaraNa dOzWulyam jQeya AvaraNa dOzWulyan ca | dOzWulyam
   āśrayasyākarmaṇyatā | tat punaḥ kleśajñeyāvaraṇayor bījam | sā punar	ASrayasya akarmaNya tA | tat punar kleSa jQeya AvaraNayoH bIjam | sA punar 
   āśrayaparāvṛttiḥ śrāvakādigatadauṣṭhulyahānitaś ca prāpyate yad āha	ASraya parAvRttiH SrAvaka Adi gata dOzWulya hAnitaH ca prApyate yat Aha
   vimuktikāya iti |	vimukti kAya iti |
   bodhisattvagatadauṣṭhulyahānitaś ca prāpyate yad āha	boDisattva gata dOzWulya hAnitaH ca prApyate yat Aha
   dharmākhyo 'yaṃ mahāmuner iti | (30d)	Darma AKyaH ayam mahA muneH iti | (30d)
   dvidhā āvaraṇabhedena sottarā niruttarā cāśrayaparāvṛttir uktā |	dviDA AvaraNa Bedena sa uttarA niruttarA ca ASraya parAvRttiH uktA |
   atra gāthā |	atra gATAH |
   jñeyam ādānavijñānaṃ dvayāvaraṇalakṣaṇam |	jQeyam AdAna vijQAnam dvaya AvaraNa lakzaNam |
   sarvabījaṃ kleśabījaṃ bandhas tatra dvayor dvayoḥ ||	sarva bIjam kleSa bIjam banDaH tatra dvayoH dvayoH ||
   iti | dvayor iti śrāvakabodhisattvayoḥ | ādyasya kleśabījaṃ itarasya	iti | dvayoH iti SrAvaka boDisattvayoH | Adyasya kleSa bIjam itarasya
   dvayāvaraṇabījaṃ tadudghātāt sarvajñatāvāptir bhavatīti |	dvaya AvaraNa bIjam tat udGAtAt sarvajQa tA avAptiH Bavati iti |
   (Tvbh_142)	(TvB_142)
   sa evānāsravo dhātur iti (30a)	saH eva anAsravaH DAtuH iti (30a)
   sa evāśrayaparāvṛttirūpaḥ | anāsravo dhātur ity ucyate nirdauṣṭhulyatvāt |	saH eva ASraya parAvRtti rUpaH | anAsravaH DAtuH iti ucyate nirdOzWulya tvAt |
   sarvāsravavigata ity anāsravaḥ | āryadharmahetutvād dhātuḥ | hetvartho hy	sarva Asrava vigataH iti anAsravaH | Arya Darma hetu tvAt DAtuH | hetu arTaH hi 
   atra dhātuśabdaḥ |	atra DAtu SabdaH |
   acintyas tarkāgocaratvāt pratyātmavedyatvād dṛṣṭāntābhāvāc ca | kuśalo	acintyaH tarka agocara tvAt pratyAtma vedya tvAt dRzwAnta aBAvAt ca | kuSalaH 
   viśuddhālambanatvāt kṣematvād anāsravadharmamayatvāc ca | dhruvo nityatvād	viSudDa Alambana tvAt kzema tvAt anAsrava Darma maya tvAt ca | DruvaH nitya tvAt 
   akṣayatayā | sukho nityatvād eva yad anityaṃ tad duḥkhaṃ ayaṃ ca nitya iti	akzaya tayA | suKaH nitya tvAt eva yat anityam tat duHKam ayam ca nityaH iti
   tasmāt sukhaḥ |	tasmAt suKaH |
   kleśāvaraṇaprahāṇāc chrāvakāṇāṃ vimuktikāyaḥ |	kleSa AvaraNa prahANAt SrAvakANAm vimukti kAyaH |
   sa evāśrayaparāvṛttilakṣaṇo dharmākhyo 'py ucyate mahāmuner	saH eva ASraya parAvRtti lakzaNaH Darma AKyaH api ucyate mahA muneH 
   bhūmipāramitābhāvanayā kleśajñeyāvaraṇaprahāṇāt |	BUmi pAramitA BAvanayA kleSa jQeya AvaraNa prahANAt |
   āśrayaparāvṛttisamudāgamān mahāmuner dharmakāya ity ucyate |	ASraya parAvRtti samudAgamAt mahA muneH Darma kAyaH iti ucyate |
   saṃsārāparityāgāt tadanupasaṃkleśatvād bodhisattvānāṃ	saMsAra aparityAgAt tad anupasaMkleSa tvAt boDisattvAnAm
   sarvadharmavibhutvalābhataś ca dharmakāya ity ucyate | mahāmuner iti	sarva Darma viBu tva lABataH ca Darma kAyaH iti ucyate | mahA muneH iti
   paramauneyayogād buddho bhagavān mahāmunir iti ||	paramOneya yogAt budDaH BagavAn mahA muniH iti ||
   triṃśikāvijñaptibhāṣyaṃ samāptam || kṛtir ācāryastiramateḥ ||	triMSikA vijQapti BAzyam samAptam || kRtiH AcAryaH tira mateH ||
