   śrīmadarcaṭaviracitā	SrImat arcawa viracitA
   tasya[262]viśeṣaṇena vināśo 'sva(śāsva)bhāvatākhyāpane[263]na kiñcid	tasya[262]viSezaNena vinASaH asva(SAsva) BAvatA AKyApane[263]na kiQcid 
   aniṣṭam iti |	anizwam iti |
    tad ayuktam, tathāvidhasya[264]vināśasya hetumattāvirodhāt, svayam eva	tat ayuktam, taTAviDasya[264]vinASasya hetumatta aviroDAt, svayam eva
   caitad ācāryo [T. 246b.] vakṣyati | na ca tenānumitena kiñcit,	ca etat AcAryaH [T. 246b.] vakzyati | na ca tena anumitena kiQcit,
   tasyārthakriyāsāmarthyavikalatvāt | sukhaduḥkhasādhane jñātvā yathārhaṃ	tasya arTa kriyA sAmarTya vikala tvAt | suKa duHKa sADane jQAtvA yaTArham
   pratipitsavo hi kiñcit[265]parīkṣante na vyasanitayā | tasmād	pratipitsavaH hi kiQcit[265] parIkzante na vyasani tayA | tasmAt 
   anenāsthirasvabhāvataiva bhāvasyānumātavyā | saiva ca hetumatī {p. 60.1}	anena asTira svaBAva tA eva BAvasya anumAtavyA | sA eva ca hetumatI {p. 60.1}
   kalpanīyā | anyathā bhāvavilakṣaṇasya[266]pradhvaṃsābhāvasya mudgarāder	kalpanIyAH | anyaTA BAva vilakzaNasya[266] praDvaMsa aBAvasya mudgara AdeH 
   udaye 'pi tasya bhāve 'nupayogāt sa bhavas tadavastha [S. 64a.] eveti	udaye api tasya BAve anupayogAt sa BavaH tad avasTaH [S. 64a.] eva iti
   kathaṃ tadviśeṣaṇā sattā tatsamavāyo vā anityatā syāt? | avicalitarūpasya	kaTam tad viSezaNA sattA tad samavAyaH vA anitya tA syAt? | avicalita rUpasya
   ca bhāvasya mudgarādikṛtapradhvaṃsābhāvaviśeṣaṇau sattāsamavāyau yady	ca BAvasya mudgara Adi kRta praDvaMsa aBAva viSezaNO sattA samavAyO yadi 
   anityatā, kiṃ nātmāder api? iti prasaṅgaḥ tadavastha eva |	anitya tA, kim na Atma AdeH api? iti prasaFgaH tad avasTaH eva |
   svakāraṇasamavāyo 'pi cābhūtvā bhavanam anicchato na sidhyati | abhūtvā	sva kAraNa samavAyaH api ca aBUtvA Bavanam anicCataH na siDyati | aBUtvA
   bhavata eva ca yā sattā saiva kṛtakatvaṃ varṇyate | na ca sattāsamavāyayor	BavataH eva ca yA sattA sA eva kRtaka tvam varNyate | na ca sattA samavAyayoH 
   nityatayopagatayor niratiśayatvāt prāk pradhvaṃsābhāvau viśeṣaṇaṃ yujyate	nitya tayA upagatayoH niratiSaya tvAt prAk praDvaMsa aBAvO viSezaNam yujyate
   | abhūtvā bhavanopagame ca tad eva kṛtakatvam asthirasvabhāvatā ca vināśo	| aBUtvA Bavana upagame ca tat eva kRtaka tvam asTira svaBAva tA ca vinASaH 
   'stu | kiṃ niṣphalayā apramāṇikayā pramāṇabādhitayā 'rthāntarakalpanayā? |	astu | kim nizPalayA apramANikayA pramANa bADitayA arTa antara kalpanayA? |
   evaṃ kṛtakatvavināśayos tādātmyopagamo 'vaśyam bhāvī pareṣām api | tato	evam kRtaka tva vinASayoH tAdAtmya upagamaH avaSyam BAvI parezAm api | tatas 
   vināśasyāsthāyitvalakṣaṇasyārthāntaranimittatopagame	vinASasya AsTAyitva lakzaNasya arTa antara nimitta tA upagame
   kṛtakatvasyātatsvabhāvatā viśeṣaṇena khyāpyate | tanniṣpattāv aniṣpannasya	kRtaka tvasya atad svaBAva tA viSezaNena KyApyate | tad nizpattO anizpannasya
   bhinnahetukasya ca tatsvabhāvatvāyogāt |	Binna hetukasya ca tad svaBAva tva ayogAt |
       tathā, tasmin sādhye [S. 64b.] kṛtakatvasya vyabhicāraḥ | tathā hi   	taTA, tasmin sADye [S. 64b.] kRtaka tvasya vyaBicAraH | taTA hi   
   ye yatra hetva[T. 247a.]ntarāpekṣiṇo na te tatrāvaśyam bhāvinaḥ, yathā	ye yatra hetu a[T. 247a.]ntara apekziNaH na te tatra avaSyam BAvinaH, yaTA
   vāsasi rāgaḥ | hetvantarāpekṣī ca kṛtakeṣv api bhāveṣu pradhvaṃsābhāva iti	vAsasi rAgaH | hetu antara apekzI ca kRtakezu api BAvezu praDvaMsa aBAvaH iti
   viruddhavyāptopalabdhiḥ |	virudDa vyApta upalabDiH |
    nanu vāsasi rāgasya parimitahetutvāt tasya ca	nanu vAsasi rAgasya parimita hetu tvAt tasya ca
   svakāraṇāyattasannidhānatvāt tadāśrayasya ca	sva kAraNa Ayatta sanniDAna tvAt tad ASrayasya ca
   vidhurapratyayopanipātenāsthiratayā nāvaśyam bhāvitā yuktaiva | na punar	viDura pratyaya upanipAtena asTira tayA na avaSyam BAvitAH yuktA eva | na punar 
   vināśasya, taddhetūnām ānantyād avaśyaṃ kasyacid ghaṭādiṣu sannidheḥ | na	vinASasya, tad hetUnAm AnantyAt avaSyam kasyacid Gawa Adizu sanniDeH | na
   ca vināśasyāśrayaṃ prāk taddhetusannidheḥ kecid upaghnanti, yatas	ca vinASasya ASrayam prAk tad hetu sanniDeH kecid upaGnanti, yatas 
   tadabhāvād vināśo nārabhyeteti |	tad aBAvAt vinASaH na AraByeta iti |
   __________NOTES__________	__________NOTEH __________
   [253] vastuni	[253] vastuni
   [254] kṛtakatvādinā	[254] kRtaka tva AdinA
   [255] anityatvādinā	[255] anitya tva AdinA
   [256] sadṛśāparāparotpatti 	[256] sadRSa apara apara utpatti 
   [257]  dbhāvasaṃbhavādina    T.	[257]  dBAva saMBava AdinaH   T.
   [258] [kṛta] ka 	[258] [kRta] ka 
   [259] anitya 	[259] anitya 
   [260] niścitāniścitayor yaḥ pratibandhāvasāyaḥ sa purovartī yasya tasmāt	[260] niScitA niScitayoH yaH pratibanDa avasAyaH sa purovartI yasya tasmAt 
   [261] vināśasya	[261] vinASasya
   [262] kṛtakatvasya	[262] kRtaka tvasya
   [263] vināśasva     T.	[263] vinASa sva   T.
   [264] pradhvaṃsarūpasya	[264] praDvaMsa rUpasya
   [265] kiñcid vastu jñātvā yathārhaṃ	[265] kiQcid vastu jQAtvA yaTArham
   sukhaduḥkhasādhanaprāptiparihārapratipitsavaḥ sukhaduḥkhasādhane	suKa duHKa sADana prApti parihAra pratipitsavaH suKa duHKa sADane
   parīkṣanta ity arthaḥ | yad vā sukhaduḥkhasādhane jñātvā	parIkzante iti arTaH | yat vA suKa duHKa sADane jQAtvA
   tatprāptiparihārapratipitsavaḥ kiñcid vastu parīkṣanta iti sambandhaḥ	tad prApti parihAra pratipitsavaH kiQcid vastu parIkzante iti sambanDaH
   [266] bhāvaviviktalakṣaṇa     T.	[266] BAva vivikta lakzaNa   T.
       tad ayuktam, yato yady api bahulaṃ vināśakāraṇāni santi tathāpi teṣāṃ	tat ayuktam, yatas yadi api bahulam vinASa kAraNAni santi taTA api tezAm
   svakāraṇāyattasannidhitvāt tathā tatkāraṇānāṃ ca sannihitānām api	sva kAraNa Ayatta sanniDi tvAt taTA tad kAraNAnAm ca sannihitAnAm api
   virodhinām apy ānantyāt tadbhāve tacchaktipratibandhān nāvaśyaṃ hetavaḥ	viroDinAm api AnantyAt tad BAve tad Sakti pratibanDAt na avaSyam hetavaH
   phalavanta iti kaścin na vinaśyed apīti {p.61.1} vyabhicāro na nivartate |	PalavantaH iti kaScid na vinaSyet api iti {p.61.1} vyaBicAraH na nivartate |
   nanv ayaṃ vāsasi rāgaḥ sāpekṣo 'pi yadi sarvatropalabhyeta tataḥ kim	nanu ayam vAsasi rAgaH sa apekzaH api yadi sarvatra upalaByeta tatas kim
   avaśyambhāvī na syāt? | syād, yadi tathopalambhyeta | sa tv anyathā 'pi	avaSyamBAvI na syAt? | syAd, yadi taTA upalamByeta | sa tu anyaTA api
   [S. 65a.] gṛhyate | yady evaṃ[267]na tarhi sarvatropalabdhasya	[S. 65a.] gRhyate | yadi evaM[267]na tarhi sarvatra upalabDasya
   vināśasyānyathābhāvaśaṅkayā[268]manasi kheda ādhātavyaḥ | kiṃ vā	vinASasya anyaTA BAva SaFkayA[268]manasi KedaH ADAtavyaH | kim vA
   punarbhavān samastavastuvistaravyāpijñānālokaḥ?, yenaivaṃ vadati |	punarBavAn samasta vastu vistara vyApi jQAna AlokaH?, yena evam vadati |
   tathābhāve vā katham anumānavṛttir dṛṣṭe na vaiphalyam aśnuvīta? |	taTA aBAve vA kaTam anumAna vRttiH dRzwe na vEPalyam aSnuvIta? |
   kasyacit tu [T. 247b.] hetukṛtavināśadarśane 'pi hetvāyattajanmanām	kasyacid tu [T. 247b.] hetu kRta vinASa darSane api hetu Ayatta janmanAm
   anyathā 'pi darśanād upajātāśaṅko deśakālasvabhāvaviprakṛṣṭeṣu kathaṃ	anyaTA api darSanAt upajAta ASaFkaH deSa kAla svaBAva viprakRzwezu kaTam
   tathābhāvaṃ[269]niścinvīta? | kṛtakam api cāyaṃ bhāvābhāvalakṣaṇaṃ vināśaṃ	taTA aBAvaM[269] niScinvIta? | kRtakam api ca ayam BAva aBAva lakzaNam vinASam
   nityam upaiti, tadvināśopagame bhāvasyonmajjanaprasaṅgāt | na cāsya	nityam upEti, tad vinASa upagame BAvasya unmajjana prasaFgAt | na ca asya
   ghaṭāder iva vināśahetur upalabhyate kaścid iti | taduktam   	Gawa AdeH iva vinASa hetuH upalaByate kaScid iti | tat uktam   
       ghatādiṣu yathādṛṣṭāhetavo dhvaṃsakāriṇaḥ|	Gata Adizu yaTA dRzwa ahetavaH DvaMsa kAriNaH|
                    naivaṃnāśasya so[270]'hetus tasya[271] saṃjāyate katham?	na evaMnASasya saH [270] ahetuH tasya[271] saMjAyate kaTam?
   iti | tataḥ kṛtakatvasya vināśe sādhye tenaiva vyabhicāraḥ kiṃ neṣyate? |	iti | tatas kRtaka tvasya vinASe sADye tena eva vyaBicAraH kim na izyate? |
       bhāvānām ayam aikāntika eva dharma iti cet, kutaḥ punar etad vasitam?	BAvAnAm ayam EkAntikaH eva DarmaH iti cet, kutas punar etat vasitam?
   | teṣām anyathābhāvasyānupalambhād iti [S. 65b.] cet | nanv ayam	| tezAm anyaTA BAvasya anupalamBAt iti [S. 65b.] ced | nanu ayam
   anupalambho bhavann apy ātmāder anivarttakaḥ sattāyāḥ, katham	anupalamBaH Bavan api Atma AdeH anivarttakaH sattAyAH, kaTam
   anyatrānyathābhāvaṃ nivarttayati? |[272]tasyānumānenopalambhād iti yady	anyatra anyaTA BAvam nivarttayati? |[272]tasya anumAnena upalamBAt iti yadi 
   ucyate tadā tatrāpy[273]anumāne vipakṣe vṛttim anupalambha[274]eva hetoḥ	ucyate tadA tatra api [273]anumAne vipakze vRttim anupalamBa[274]A iva hetoH
   kathaṃ nivarttayati? iti yat kiñcid etat | tasmāt sādhūktam    `hetumati	kaTam nivarttayati? iti yat kiQcid etat | tasmAt sADu uktam   `hetumati
   vināśe kṛtakatvasyāsvabhāvatāṃ vyabhicāraṃ cāha' iti alam atijalpiteneti |	vinASe kRtaka tvasya asvaBAva tAm vyaBicAram ca Aha a iti alam ati jalpitena iti |
   __________NOTES__________	__________NOTEH __________
   [267] paraḥ	[267] paraH
   [268] avaśyambhāvitvāśaṅkayā	[268] avaSyam BAvi tva ASaFkayA
   [269] avaśyambhāvivināśitvam	[269] avaSyamBA vi vinASi tvam
   [270] nāśaḥ	[270] nASaH
   [271] nāśasya	[271] nASasya
   [272] ātmādeḥ	[272] Atma AdeH
   [273] ātmānumāne 'pi	[273] Atma anumAne api
   [274] apramāṇakaḥ san (prathamaṃ ṭippanam) ātmādeḥ	[274] apramANakaH san (praTamam wippanam) Atma AdeH
   saṃśayāpanivarttakatvenābhimato yaḥ sa eva (dvitīyaṃ ṭippanam)	saMSaya apanivarttaka tvena aBimataH yaH saH eva (dvitIyam wippanam)
   [ § 4. parārthānumāne sādharmyavaidharmyaprayogodāharaṇam |]	[ § 4. para arTa anumAne sADarmya vEDarmya prayoga udAharaNam |]
       idānīṃ yady api svārthānumānaṃ prakṛtaṃ tathāpi kaścit	idAnIm yadi api sva arTa anumAnam prakRtam taTA api kaScid 
   prayogadarśanābhyāsāt prayogabhaṅgyaiva pratipadyata iti svārthānumāne 'pi	prayoga darSana aByAsAt prayoga BaFgya eva pratipadyate iti sva arTa anumAne api
   {p. 62.1} tatsambhavāt[275]prasaṅgena ^10parārthānumānaṃ ca	{p. 62.1} tad samBava at[275] prasaFgena ^10para arTa anumAnam ca
   vyutpādayitum[276]āha    tasya svabhāvahetoḥ dvidhā	vyutpAdayitum [276]Aha   tasya svaBAva hetoH dviDA
   trailakṣaṇyapratipādako [T. 248a.] vacanodāhāraḥ prayogaḥ | tam eva	trElakzaNya pratipAdakaH [T. 248a.] vacana udAhAraH prayogaH | tam eva
   darśayati    samāno dharmo yasya tasya bhāvaḥ tena	darSayati   samAnaH DarmaH yasya tasya BAvaH tena
   sādhya(dha)rmyeṇaikaḥprayogaḥ | aparo visadṛśo dharmo yasya tasya bhāvaḥ	sADi a(Da)rmyeNa ekaH prayogaH | aparaH visadRSaH DarmaH yasya tasya BAvaH
   tena vaidharmyeṇa |	tena vEDarmyeNa |
       yathākramamanayor udāharaṇam ^1āha    yathāyat sat | yadyatsad	yaTAkrama m anayoH udAharaNam ^1Aha   yaTAyat sat | yat yat sat 
   iti[277]vīpsāpradhāno yacchabdaḥ | tat sarvam iti tacchabdo 'pi	iti[277]vIpsA praDAnaH yat SabdaH | tat sarvam iti tad SabdaH api
   vīpsāpradhāna eva | atra sarvagrahaṇena cāśeṣaparigrahād [S. 66a.]	vIpsA praDAnaH eva | atra sarva grahaNena ca aSeza parigrahAt [S. 66a.]
   bahirvyāpter nirāsaḥ | yathāghaṭādayaḥ iti | yasya sattvakṣaṇikatvayoḥ	bahis vyApteH nirAsaH | yaTA Gawa AdayaH iti | yasya sattva kzaNika tvayoH
   pratibandhaprasādhakaṃ pramāṇaṃ ghaṭādau pravṛttaṃ taṃ prati tatra	pratibanDa prasADakam pramANam Gawa AdO pravRttam tam prati tatra
   smṛtisamādhānārthaṃ dṛṣṭāntavacanaṃ na sādhyasiddhyartham |	smRti samADAna arTam dRzwAnta vacanam na sADya sidDi arTam |
   dṛṣṭāntamātrataḥ sādhyasiddher abhāvāt | na hy ekasya tathā bhāve sarvas	dRzwAnta mAtrataH sADya sidDeH aBAvAt | na hi ekasya taTA BAve sarva s
   tathā bhavati, atiprasaṅgāt | saṃścaśabdaḥ iti pakṣadharmopasaṃhāraḥ |	taTA Bavati, atiprasaFgAt | san= ca SabdaH iti pakza Darma upasaMhAraH |
       vaidharmyaprayogasyodāharaṇam    tathāityādi | tathāśabdaḥ samuccaye |	vEDarmya prayogasya udAharaNam   taTA aityAdi | taTASabdaH samuccaye |
   vaidharmyeṇa ca prayoga udāhriyate | atrāpi sarvagrahaṇaṃ	vEDarmyeNa ca prayogaH udAhriyate | atra api sarva grahaNam
   vibhaktivipariṇāmena sambandhanīyam kṣaṇikatvābhāve sarvasmin	viBakti vipariNAmena sambanDanIyam kzaNika tva aBAve sarvasmin
   satvā(ttvā)bhāvaḥ iti |	sa tvA(t tvA)BAvaH iti |
       prayogadvaye 'pi sarvagrahaṇasya phalaṃ darśayann āha    sarvasmin	prayoga dvaye api sarva grahaNasya Palam darSayan Aha   sarvasmin
   sādhanadharmavati dharmiṇi na dṛṣṭāntadharmiṇy eva	sADana Darmavati DarmiNi na dRzwAnta DarmiNI eva
   sādhyadharmasyopasaṃhāraṇaṃ upasaṃhāro ḍhaukanaṃ tena yā vyāptiḥ	sADya Darmasya upasaMhAraNam upasaMhAraH XOkanam tena yA vyAptiH
   `vyāpakasya tatra bhāva eva' ityādi rūpā tasyāḥ pradarśanaṃ pratipādanaṃ	`vyApakasya tatra BAvaH eva a ityAdi rUpA tasyAH pradarSanam pratipAdanam
   tad eva lakṣaṇaṃ yayoḥ tau tathoktau | tataś ca ye [T. 248b.] [S. 66b.]	tat eva lakzaNam yayoH tO taTA uktO | tatas ca ye [T. 248b.] [S. 66b.]
   sādhyadharmiṇaṃ parihṛtya bahirvyāptiṃ pradarśayanti te    yady api	sADya DarmiNam parihRtya bahis vyAptim pradarSayanti te   yadi api
   dṛṣṭāntadharmiṇi sādhyadharmeṇa sādhanadharmo vyāptaḥ tāvatā 'sya sarvatra	dRzwAnta DarmiNi sADya DarmeNa sADana DarmaH vyAptaH tAvatA asya sarvatra
   tathābhāvābhāvāt sādhyasiddhir ayukteti    nirastā bhavanti | sarvatra vā	taTA aBAva aBAvAt sADya sidDiH ayuktA iti   nirastAH Bavanti | sarvatra vA
   sādhyadharmeṇa sādhanadharmasya vyāptiḥ tadbhāve, sā tathāvidhaiva kin na	sADya DarmeNa sADana Darmasya vyAptiH tad BAve, sA taTAviDA eva kid na
   pradarśyate yenāsamarthā bahirvyāptir ākhyāyate? | na hi `sa śyāmaḥ,	pradarSyate yena asamarTA bahis vyAptiH AKyAyate? | na hi `sa SyAmaH,
   tatputratvāt, paridṛśyamānaputravad' iti tatputratvasya {p. 63.1}	tad putra tvAt, paridRSyamAna putra vada iti tad putra tvasya {p. 63.1}
   śyamatvena sādhyād bahiḥ paridṛśyamānaputre vyāptipradarśane 'pi	Syama tvena sADyAt bahis paridRSyamAna putre vyApti pradarSane api
   sādhyasiddhir bhavati | tasmād yaiva sarvopasaṃhāreṇa vyāptiḥ	sADya sidDiH Bavati | tasmAt yA eva sarva upasaMhAreNa vyAptiH
   pramāṇasiddhapratibandhanibandhanā sādhyasiddhau samarthā saiva	pramANa sidDa pratibanDa nibanDanA sADya sidDO samarTA sA eva
   tatsmṛtaye[278]pradarśanīyā | na ca sarvopasaṃhāreṇa vyāptipradarśane 'pi	tad smRtaye[278] pradarSanIyAH | na ca sarva upasaMhAreNa vyApti pradarSane api
   dharmaviśiṣṭo dharmy api tadaiva pratīyate, yataḥ	Darma viSizwaH DarmI api tadA eva pratIyate, yatas 
   pakṣadharmopadarśanottarakālabhāvino 'numānasya smṛtitvaṃ [S. 67a.] syāt |	pakza Darma upadarSana uttara kAla BAvinaH anumAnasya smRti tvam [S. 67a.] syAt |
   tasyāḥ[279]sādhyadharmiṇi	tasyAH[279]sADya DarmiNi
   sādhyadharmāvinābhūtasādhanadharmapratītinibandhanatvena tadupadarśanāt	sADya DarmAvinABUta sADana Darma pratIti nibanDana tvena tad upadarSanAt 
   prāg asambhavāt | tatpūrvikāyāṃ[280]ca vyāptau anantaraṃ[281]viśeṣaviṣayam	prAk asamBavAt | tad pUrvikAyAM[280]ca vyAptO anantaraM[281]viSeza vizayam
   anumānaṃ kathaṃ smṛtiḥ syāt? iti |	anumAnam kaTam smRtiH syAt? iti |
   __________NOTES__________	__________NOTEH __________
   [275] prayoga 	[275] prayoga 
   [276]  mānaprayogaṃ vyu     T.	[276]  mAna prayogam vyu   T.
   [277]  m āha yadyatsad iti    T.	[277]  m Aha yat yat sat iti   T.
   [278] pratibandha 	[278] pratibanDa 
   [279] sādhyadharmaviśiṣṭadharmipratīteḥ	[279] sADya Darma viSizwa Darmi pratIteH
   [280] pakṣadharmopadarśanapūrvikāyām	[280] pakza Darma upadarSana pUrvikAyAm
   [281] vyāptismaraṇāt	[281] vyApti smaraNAt 
   [ § 5. vaidharmyaprayoge 'pi vyāptipradarśanaṃ sāṃgatam |]	[ § 5. vEDarmya prayoge api vyApti pradarSanam sAMgatam |]
       nanu ca	nanu ca
   sādharmyaprayogasya vyāptipradarśanalakṣaṇatvaṃ yuktam, sādhanadharme sati	sADarmya prayogasya vyApti pradarSana lakzaNa tvam yuktam, sADana Darme sati
   sādhyadharmasyāvaśyam bhāvitāpradarśanāt; vaidharmyaprayogasya tu katham?	sADya Darmasya avaSyam BAvita apradarSanAt; vEDarmya prayogasya tu kaTam?
   | tatra hi kevalaṃ sādhyābhāve hetvabhāvaḥ kathyate, na tu hetau [T.	| tatra hi kevalam sADya aBAve hetu aBAvaH kaTyate, na tu hetO [T.
   249a.] sati sādhyasya bhāva eveti | naiṣa doṣaḥ | na hy atra sādhyābhāve	249a.] sati sADyasya BAvaH eva iti | na eza dozaH | na hi atra sADya aBAve
   hetvabhāvas tuccharūpo darśyate, ^1tasya[282]heturūpatāvirodhāt[283]|	hetu aBAvaH tucCa rUpaH darSyate, ^1tasya [282]hetu rUpa tA viroDAt[283]|
   vastudharmo hi sattvādiko hetuḥ | tasyātmana[284]evābhāvaḥ kathaṃ	vastu DarmaH hi sattva AdikaH hetuH | tasya Atmana [284]eva aBAvaH kaTam
   [hetusva]rūpaṃ bhaviṣyati, yatas trirūpo hetur bhavet | kintu nivṛttau	[hetu sva]rUpam Bavizyati, yatas tri rUpaH hetuH Bavet | kintu nivRttO
   nivṛttidharmakatvaṃ svagato dharma upadarśyate vaidharmyaprayogeṇa,	nivRtti Darmaka tvam svagataH DarmaH upadarSyate vEDarmya prayogeNa,
   tathāvidhe[285]ca sādhanadharme 'vaśyaṃ tayā sādhyadharmasya bhāvaḥ	taTAviDe[285]ca sADana Darme avaSyam tayA sADya Darmasya BAvaH
   pratīyata eva, anyathā tannivṛttau nivṛttidharmakatvasyaivāyogād iti na	pratIyate eva, anyaTA tad nivRttO nivRtti Darmaka tvasya eva ayogAt iti na
   vyāptipradarśanalakṣaṇatvaṃ vaidharmyaprayogasya na yujyate | [S. 67b.]	vyApti pradarSana lakzaNa tvam vEDarmya prayogasya na yujyate | [S. 67b.]
   __________NOTES__________	__________NOTEH __________
   [282] tuccharūpasya	[282] tucCa rUpasya
   [283] tasya hetuvyāptinirdeśalakṣaṇarūpasambandhitvābhāvāt    T.	[283] tasya hetu vyApti nirdeSa lakzaNa rUpa sambanDi tva aBAvAt   T.
   [284] satva(ttva)sya 	[284] satva(ttva)sya 
   [285] vipakṣanivarttanadharmasvabhāve	[285] vipakza nivarttana Darma svaBAve
   [ § 6. pratijñāprayogasya nairarthakyam |]	[ § 6. pratijQA prayogasya nErarTakyam |]
       nanu dvividhe 'pi prayoge pratijñāprayogo nopadarśitaḥ tat kathaṃ	nanu dviviDe api prayoge pratijQA prayogaH na upadarSitaH tat kaTam
   tadarthāvagatiḥ?, tadarthapratyāyanāya ca sādhanaprayogo 'bhimataḥ ity ata	tad arTa avagatiH?, tad arTa pratyAyanAya ca sADana prayogaH aBimataH iti ata
   āha    atra anayoḥ prayogayoḥ pakṣadharmasambandhavacanamātrasāmarthyād	Aha   atra anayoH prayogayoH pakza Darma sambanDa vacana mAtra sAmarTyAt 
   eva {p. 64.1} vakṣyamāṇakāt pratijñārthasya dharmadharmisamudāyalakṣaṇasya	eva {p. 64.1} vakzyamANakAt pratijQA arTasya Darma Darmi samudAya lakzaNasya
   sādhyasya pratīteḥ hetoḥ _{1}na _{2}pratijñāyāḥprayoga upadarśitaḥ | paraḥ	sADyasya pratIteH hetoH _{1}na _{2}pratijQAyAH prayogaH upadarSitaH | paraH
   sāmarthyam anavabudyamāna āha    apradarśite vacanena prameye sādhye	sAmarTyam anavabudyamAnaH Aha   apradarSite vacanena prameye sADye
   kathaṃ na kathañcit tatpratītiḥ pratijñārthapratītiḥ iti evaṃ ced yadi	kaTam na kaTaQcid tad pratItiH pratijQA arTa pratItiH iti evam ced yadi
   manyase tadā svārthānumānakāle svayaṃ paraṃ pratipādakam antareṇa	manyase tadA sva arTa anumAna kAle svayam param pratipAdakam antareNa
   pratipattau prameyasya ka upadarśayitā? naiva [T. 249b.] kaścit | svayam	pratipattO prameyasya kaH upadarSayitA? na eva [T. 249b.] kaScid | svayam
   eva tu sādhyāvinābhūtasādhanadharmadarśanāt prameyaṃ pratipadyate tathā	eva tu sADyAvinABUta sADana Darma darSanAt prameyam pratipadyate taTA
   parārthānumāne 'pi tata eva tatpratītir astu kiṃ pratijñāvacanena? |	para arTa anumAne api tatas eva tad pratItiH astu kim pratijQAvacanena? |
   yadi svayaṃ pratipattikāle na kaścit prameyasyopadarśayitā kathaṃ [S.	yadi svayam pratipatti kAle na kaScid prameyasya upadarSayitA kaTam [S.
   68a.] tarhi tatpratipattiḥ? ity ata āha    pradeśasthaṃ sādhyadharmiṇi	68a.] tarhi tad pratipattiH? iti atas Aha   pradeSa sTam sADya DarmiNi
   sthitaṃ dhūmaṃ sādhanadharmaṃ upalabdhavataḥ pratyakṣeṇa dṛṣṭavataḥ sataḥ	sTitam DUmam sADana Darmam upalabDavataH pratyakzeNa dRzwavataH sataH
