   Bhartrhari: Vakyapadiya	BhartH-hari: Vakya-pad-iya
   tatreyaṃ syād vicāraṇā Vp_3,3.76b	tatra-iyam syAt vicAraNA Vp_3,3.76b
   tatreṣiṇaiva nirbhogaḥ Vp_3,7.84c	tatra-iziNA-eva nirBogaH Vp_3,7.84c
   tatraikavacanānto vā Vp_2.472a	tatra-eka-vacana-antaH vA Vp_2.472a
   tat sattvam iti kathyate Vp_3,1.35d	tat sattvam iti kaTyate Vp_3,1.35d
   tatsamarthāni cācaran Vp_3,7.125b	tad-samarTAni ca-Acaran Vp_3,7.125b
   tat sarvaṃ śrutibhūtatvān Vp_2.75c	tat sarvam Sruti-BUta-tvAn Vp_2.75c
   tatsaṃbandhāt tu tadvatām Vp_2.260d	tad-saMbanDAt tu tadvatAm Vp_2.260d
   tatsiddhaye kriyāyuktam Vp_3,7.71c	tad-sidDaye kriyA-yuktam Vp_3,7.71c
   tat syād eva prakalpanam Vp_3,1.62d	tat syAt eva prakalpanam Vp_3,1.62d
   tathā kartrā niyukteṣu Vp_3,7.23a	taTA kartrA niyuktezu Vp_3,7.23a
   tathā kaiś cit prakalpitau Vp_3,7.111d	taTA kEH cit prakalpitO Vp_3,7.111d
   tathā ca buddhiviṣayād Vp_3,3.32c	taTA ca budDi-vizayAt Vp_3,3.32c
   tathā jātyutpalādīnāṃ Vp_2.157a	taTA jAti-utpala-AdInAm Vp_2.157a
   tathā tattvena gṛhyate Vp_3,1.101d	taTA tattvena gRhyate Vp_3,1.101d
   tathā tad avasīyate Vp_2.296d	taTA tat avasIyate Vp_2.296d
   tathā tiṅantaṃ tatrāhus Vp_2.6c	taTA tiFantam tatra-AhuH Vp_2.6c
   tathātmarūpagrahaṇāt Vp_3,1.31a	taTA-Atma-rUpa-grahaNAt Vp_3,1.31a
   tathā dravyair abhivyaktā Vp_3,1.29c	taTA dravyEH aBivyaktA Vp_3,1.29c
   tathā dvandvapadārthasya Vp_2.224c	taTA dvandva-padArTasya Vp_2.224c
   tathā dvirvacane 'cīti Vp_2.480a	taTA dvis-vacane acI-iti Vp_2.480a
   tathā dhātūpasargayoḥ Vp_2.186b	taTA DAtu-upasargayoH Vp_2.186b
   tathānyathā sarvathā ca Vp_3,3.22a	taTA-anyaTA sarvaTA ca Vp_3,3.22a
   tathānyad api dṛśyatām Vp_2.184d	taTA-anyat api dRSyatAm Vp_2.184d
   tathānyān pratipadyate Vp_2.394d	taTA-anyAn pratipadyate Vp_2.394d
   tathānyeṣv arthavastuṣu Vp_2.415d	taTA-anyezu arTa-vastuzu Vp_2.415d
   tathā padānāṃ sarveṣāṃ Vp_2.424a	taTA padAnAm sarvezAm Vp_2.424a
   tathā pikādiyogena vākye Vp_2.92a	taTA pikA-Adi-yogena vAkye Vp_2.92a
   tathābhāvam upāśritya Vp_3,3.60c	taTA-aBAvam upASritya Vp_3,3.60c
   tathābhiniviśau karma Vp_3,7.86a	taTA-aBiniviSO karma Vp_3,7.86a
   tathābhisaṃhitaḥ śabdo Vp_2.404c	taTA-aBisaMhitaH SabdaH Vp_2.404c
   tathābhūteṣu karmasu Vp_2.379b	taTABUtezu karmasu Vp_2.379b
   tathābhūteṣu vartate Vp_3,2.6b	taTABUtezu vartate Vp_3,2.6b
   tathābhūtaiva sā kriyā Vp_2.182d	taTABUtA-eva sA kriyA Vp_2.182d
   tathābhūto vivakṣitaḥ Vp_3,3.36d	taTABUtaH vivakzitaH Vp_3,3.36d
   tathāvayavinaṃ yuktam Vp_2.236c	taTA-avayavinam yuktam Vp_2.236c
   tathā vākyāntarābhāve Vp_2.112c	taTA vAkya-antara-aBAve Vp_2.112c
   tathā vikārarūpāṇāṃ Vp_3,2.10a	taTA vikAra-rUpANAm Vp_3,2.10a
   tathā vidyāpy anākhyeyā Vp_2.234c	taTA vidyA-api anAKyeyAH Vp_2.234c
   tathāvivakṣā bhedānaṃ Vp_2.69c	taTA-avivakzA BedAnam Vp_2.69c
   tathā śabdāntaraśrutiḥ Vp_1.90d	taTA Sabda-antara-SrutiH Vp_1.90d
   tathā śabdārthasaṃbandhāc Vp_3,1.8a	taTA Sabda-arTa-saMbanDAt Vp_3,1.8a
   tathā śabdo 'pi kasmiṃś cit Vp_2.301a	taTA SabdaH api kasmin cit Vp_2.301a
   tathā śabdo 'pi saṃbandhī Vp_2.302c	taTA SabdaH api saMbanDI Vp_2.302c
   tathā sa eva gośabdo Vp_2.252c	taTA saH eva go-SabdaH Vp_2.252c
   tathā sarveṣu jātayaḥ Vp_3,1.104b	taTA sarvezu jAtayaH Vp_3,1.104b
   tathā saṃbandhisaṃbandha- Vp_3,1.24c	taTA saMbanDi-saMbanDa Vp_3,1.24c
   tathā so 'rthaḥ pratīyate Vp_2.63d	taTA saH arTaH pratIyate Vp_2.63d
   tathā svarūpaṃ śabdānāṃ Vp_2.256a	taTA svarUpam SabdAnAm Vp_2.256a
   tathā hi grahaṇaṃ dvayoḥ Vp_2.374d	taTA hi grahaNam dvayoH Vp_2.374d
   tathā hi saṃgrāmayateḥ Vp_2.181a	taTA hi saMgrAmayateH Vp_2.181a
   tathāhuḥ prakṛtiṃ parām Vp_3,2.15d	taTA-AhuH prakRtim parAm Vp_3,2.15d
   tathaikam eva karmāpi Vp_3,7.78c	taTA-ekam eva karma-api Vp_3,7.78c
   tathaikāgārikāda yaḥ Vp_2.171b	taTA-ekAgArikAda yaH Vp_2.171b
   tathaikena prasiddhāyāṃ Vp_3,1.64c	taTA-ekena prasidDAyAm Vp_3,1.64c
   tathaiva janmarūpatvaṃ Vp_3,7.107c	taTA-eva janma-rUpa-tvam Vp_3,7.107c
   tathaiva pratipattṝṇāṃ Vp_1.94c	taTA-eva pratipattLNAm Vp_1.94c
   tathaiva bhāge sādṛśyaṃ Vp_2.94a	taTA-eva BAge sAdRSyam Vp_2.94a
   tathaiva mūrtināstitvam Vp_3,7.112c	taTA-eva mUrtinA-astitvam Vp_3,7.112c
   tathaiva rūḍhatām eti Vp_1.141c	taTA-eva rUXa-tAm eti Vp_1.141c
   tathaiva rūpaśaktibhyām Vp_2.277a	taTA-eva rUpa-SaktiByAm Vp_2.277a
   tathaiva loke vidyānām Vp_1.15c	taTA-eva loke vidyAnAm Vp_1.15c
   tathaiva śabdād arthasya Vp_2.134c	taTA-eva SabdAt arTasya Vp_2.134c
   tathaiva sarvaśabdānām Vp_1.56c	taTA-eva sarva-SabdAnAm Vp_1.56c
   tathaiva sphoṭanādayoḥ Vp_1.100d	taTA-eva sPowa-nAdayoH Vp_1.100d
   tathaiva syur anarthakāḥ Vp_2.14d	taTA-eva syuH anarTakAH Vp_2.14d
   tathaiva svārthikāḥ ke cit Vp_2.191a	taTA-eva svArTikAH ke cit Vp_2.191a
   tathaivānupakārakam Vp_2.217d	taTA-eva-anupakArakam Vp_2.217d
   tathaivārtho na vidyate Vp_2.211d	taTA-eva-arTaH na vidyate Vp_2.211d
   tathaivāsaṃnidhāne 'pi Vp_3,7.98c	taTA-eva-asaMniDAne api Vp_3,7.98c
   tathaivāsau pravartate Vp_3,7.80d	taTA-eva-asO pravartate Vp_3,7.80d
   tathaivaikasya vākyasya Vp_2.9a	taTA-eva-ekasya vAkyasya Vp_2.9a
   tathaivoddeśajā matiḥ Vp_3,3.53d	taTA-eva-uddeSa-jA matiH Vp_3,3.53d
   tathopāśrayavān arthaḥ Vp_3,3.58c	taTA-upASrayavAn arTaH Vp_3,3.58c
   tad atyantaṃ tathā bhavet Vp_3,7.166b	tat atyantam taTA Bavet Vp_3,7.166b
   tadadhīnapravṛttitvāt Vp_3,7.101c	tad-aDIna-pravRtti-tvAt Vp_3,7.101c
   tadadhyāropakalpanā Vp_3,1.6d	tad-aDyAra-upakalpanA Vp_3,1.6d
   tadantarāle bhedānām Vp_3,1.39c	tad-antarAle BedAnAm Vp_3,1.39c
   tad apy āgamapūrvakam Vp_1.30d	tat api Agama-pUrvakam Vp_1.30d
   tad apy ekaṃ samāptārthaṃ Vp_2.327c	tat api ekam samApta-arTam Vp_2.327c
   tadabhāvo 'nugamyate Vp_3,3.60b	tad-aBAvaH anugamyate Vp_3,3.60b
   tad abhūd asti neti vā Vp_2.429b	tat aBUt asti na-iti vA Vp_2.429b
   tad arūpaṃ nirūpyate Vp_2.426d	tat arUpam nirUpyate Vp_2.426d
   tadarthād eva jāyate Vp_1.68d	tad-arTAt eva jAyate Vp_1.68d
   tad arthāntarasaṃsargād Vp_2.44c	tat arTa-antara-saMsargAt Vp_2.44c
   tadarthāpagame tasya Vp_2.160c	tad-arTa-apagame tasya Vp_2.160c
   tadarthe pratipādite Vp_2.72b	tad-arTe pratipAdite Vp_2.72b
   tad avācyatayā yadā Vp_3,3.20b	tat avAcya-tayA yadA Vp_3,3.20b
   tadā karma kriyāyogāt Vp_3,7.132c	tadA karma kriyA-yogAt Vp_3,7.132c
   tadākṣepo na vidyate Vp_2.417b	tat-AkzepaH na vidyate Vp_2.417b
   tadātmeva ca tat tattvam Vp_3,2.10c	tat-AtmA-iva ca tat tattvam Vp_3,2.10c
   tadātmeva ca tat siddham Vp_3,2.9c	tat-AtmA-iva ca tat sidDam Vp_3,2.9c
   tadātmevāvadhāryate Vp_3,3.9b	tat-AtmA-iva-avaDAryate VB-_3,3.9b
   tadāpāyaḥ pratīyate Vp_3,7.4d	tadA-apAyaH pratIyate Vp_3,7.4d
   tadāśrayatvād bhede 'pi Vp_3,7.97c	tad-ASraya-tvAt Bede api Vp_3,7.97c
   tadāsāv upagamyate Vp_3,1.99d	tadA-asO upagamyate Vp_3,1.99d
   tad āhur abhidhāyakam Vp_2.41d	tat AhuH aBiDAyakam Vp_2.41d
   tadutkrāntau visaṃjño 'yaṃ Vp_1.135c	tad-utkrAntO visaMjQaH ayam Vp_1.135c
   tad upeyāt kathaṃ ca na Vp_2.460d	tat upeyAt kaTam ca na Vp_2.460d
   tad ekatvaṃ vivakṣitam Vp_3,1.56b	tat eka-tvam vivakzitam Vp_3,1.56b
   tad ekatvān na bhidyate Vp_3,7.40b	tat ekatvAt na Bidyate Vp_3,7.40b
   tad ekaṃ tat pṛthak pṛthak Vp_3,2.13b	tat ekam tat pRTak pRTak Vp_3,2.13b
   tad evaikam avasthitam Vp_3,7.42b	tat eva-ekam avasTitam Vp_3,7.42b
   tad evaikaṃ prakāśate Vp_2.106d	tat eva-ekam prakASate Vp_2.106d
   tadgatir nāntarīyakā Vp_2.123d	tad-gatiH na-antarIyakAH Vp_2.123d
   tadgandhapratipattaye Vp_1.81d	tad-ganDa-pratipattaye Vp_1.81d
   tad dṛśyaṃ darśanaṃ draṣṭā Vp_3,2.14c	tat dRSyam darSanam drazwA Vp_3,2.14c
   tad dvāram apavargasya Vp_1.14a	tat dvAram apavargasya Vp_1.14a
   taddharmaṇos tu tācchabdyaṃ Vp_3,3.6a	tad-DarmaNoH tu tAt-Sabdyam Vp_3,3.6a
   taddharmā prādir ucyate Vp_2.189d	tat-DarmA prAdiH ucyate Vp_2.189d
   taddharmeṇa samāviṣṭas Vp_1.117c	tad-DarmeNa samAvizwaH Vp_1.117c
   tad dhi jātyabhidhānāya Vp_3,1.52c	tat Di jAti-aBiDAnAya Vp_3,1.52c
   tad bādhakeṣu vākyeṣu Vp_2.348c	tat bADakezu vAkyezu Vp_2.348c
   tad brahmāmṛtam aśnute Vp_1.144d	tat brahma-amRtam aSnute Vp_1.144d
   tad bhāvapratyayair loke Vp_3,1.47c	tat BAva-pratyayEH loke Vp_3,1.47c
   tadbhāvam abhisaṃbhūya Vp_1.128c	tad-BAvam aBisaMBUya Vp_1.128c
   tadbhāvo 'py anugamyate Vp_3,3.60d	tad-BAvaH api anugamyate Vp_3,3.60d
   tadbhūtasya sakṛc chrutau Vp_2.460b	tad-BUtasya sakRt SrutO Vp_2.460b
   tadvac chabdo 'pi buddhisthaḥ Vp_1.47c	tadvat SabdaH api budDi-sTaH Vp_1.47c
   tadvac chabdo 'pi sattāyām Vp_3,3.41a	tadvat SabdaH api sattAyAm Vp_3,3.41a
   tadvad arthasya sādhakāḥ Vp_2.295d	tadvat arTasya sADakAH Vp_2.295d
   tadvad evābhidhīyate Vp_2.308d	tadvat eva-aBiDIyate Vp_2.308d
   tadvad evāśrayāntare Vp_3,7.1b	tadvat eva-ASraya-antare VB-_3,7.1b
   tadvaśād abhiniṣpannaṃ Vp_1.133c	tad-vaSAt aBinizpannam Vp_1.133c
   tad vākyāntaram evāhur Vp_2.270c	tat vAkya-antaram eva-AhuH Vp_2.270c
   tad vā śabdanibandhanām Vp_2.127b	tat vA Sabda-nibanDanAm Vp_2.127b
   tadvidāṃ nānumānikam Vp_1.35d	tad-vidAm na-anumAnikam Vp_1.35d
   tadvibhāgāvibhāgābhyāṃ Vp_1.171a	tad-viBAga-aviBAgAByAm Vp_1.171a
   tad viśiṣṭataraṃ viduḥ Vp_2.249d	tat viSizwataram viduH Vp_2.249d
   tad vyākaraṇam āgamya Vp_1.22c	tat vyAkaraNam Agamya Vp_1.22c
   tadvyāpāraviveke 'pi Vp_3,7.55a	tad-vyApAra-viveke api Vp_3,7.55a
   tantrāt tathaikaśabdatve Vp_2.103c	tantrAt taTA-eka-Sabda-tve Vp_2.103c
   tantreṇa pratipattāraḥ Vp_2.475c	tantreNa pratipattAraH Vp_2.475c
   tantreṇāparam iṣyate Vp_2.96d	tantreNa-aparam izyate Vp_2.96d
   tantreṇoccāraṇaṃ kāryam Vp_2.109c	tantreNa-uccAraNam kAryam Vp_2.109c
   tantreṇoccāraṇād ekaṃ Vp_2.110c	tantreNa-uccAraNAt ekam Vp_2.110c
   tantropāyād alakṣaṇaḥ Vp_2.480b	tantra-upAyAt alakzaNaH Vp_2.480b
   tan nāsti vidyate tac ca Vp_3,2.13a	tat na-asti vidyate tat ca Vp_3,2.13a
   tan nityaṃ śabdavācyaṃ tac Vp_3,2.11c	tat nityam Sabda-vAcyam tat Vp_3,2.11c
   tannibaddhā sakṛc chrutiḥ Vp_2.466d	tat-nibadDA sakRt SrutiH Vp_2.466d
   tan nirvartyaṃ vikāryaṃ ca Vp_3,7.49c	tat nirvartyam vikAryam ca Vp_3,7.49c
   tan nepsitatamaṃ kila Vp_3,7.70d	tat na-Ipsitatamam kila Vp_3,7.70d
   tanmātrām avyatikrāntaṃ Vp_1.134c	tanmAtrAm avyatikrAntam Vp_1.134c
   tan mithyeti nañā kṛtam Vp_2.243b	tat miTyA-iti naQA kRtam Vp_2.243b
   tapasām uttamaṃ tapaḥ Vp_1.11b	tapasAm uttamam tapaH Vp_1.11b
   tam apabhraṃśam icchanti Vp_1.175c	tam apaBraMSam icCanti Vp_1.175c
   tam aprasiddhaṃ manyante Vp_2.266c	tam aprasidDam manyante Vp_2.266c
   tam arthaṃ pratijānate Vp_2.329b	tam arTam pratijAnate Vp_2.329b
   tam asatyaṃ pracakṣate Vp_2.289d	tam asatyam pracakzate Vp_2.289d
   tam ātmānaṃ pracakṣate Vp_2.441d	tam AtmAnam pracakzate Vp_2.441d
   tam āhur arthaṃ tasyaiva Vp_2.330c	tam AhuH arTam tasya-eva Vp_2.330c
   tam evamlaksanam bhāvam Vp_3,7.34c	tam evamlaksanam BAvam Vp_3,7.34c
   tam evāśritya liṅgebhyo Vp_1.7c	tam eva-ASritya liFgeByaH Vp_1.7c
   tayā kārye pravartate Vp_1.139b	tayA kArye pravartate Vp_1.139b
   tayā hy artho vidhīyate Vp_1.141d	tayA hi arTaH viDIyate Vp_1.141d
   tayor api ca ghoṣiṇyā Vp_1.164c	tayoH api ca GoziNyA Vp_1.164c
   tayor apṛthagātmatve Vp_2.129a	tayoH apRTak-Atma-tve Vp_2.129a
   tayor apy avadhāraṇam Vp_2.268d	tayoH api avaDAraNam Vp_2.268d
   tayor apy upakārārthā Vp_3,3.6c	tayoH api upakAra-arTAH Vp_3,3.6c
   tayor nānātmanor iva Vp_3,2.16d	tayoH nAnA-AtmanoH iva Vp_3,2.16d
   tayos tu pṛthagarthitve Vp_3,1.74a	tayoH tu pRTak-arTi-tve Vp_3,1.74a
   tayos tulye 'pi darśane Vp_2.288d	tayoH tulye api darSane Vp_2.288d
   tayoḥ śakyaṃ prakalpanam Vp_2.167b	tayoH Sakyam prakalpanam Vp_2.167b
   tarkaś cakṣur apaśyatām Vp_1.151b	tarkaH cakzuH apaSyatAm Vp_1.151b
   tarkeṇa pravibhajyate Vp_1.152d	tarkeNa praviBajyate Vp_1.152d
   tarkeṇa vyavatiṣṭhate Vp_1.30b	tarkeNa vyavatizWate Vp_1.30b
   tarko yaḥ puruṣāśrayaḥ Vp_1.153b	tarkaH yaH puruza-ASrayaH Vp_1.153b
   talavad dṛśyate vyoma Vp_2.140a	tala-vat dRSyate vyoma Vp_2.140a
   talliṅgaṃ jātisaṃkhyayoḥ Vp_3,1.56d	tat-liFgam jAti-saMKyayoH Vp_3,1.56d
   tasmāc chaktivibhāgena Vp_3,3.87a	tasmAt Sakti-viBAgena Vp_3,3.87a
   tasmāc chabdārthayor naivaṃ Vp_3,3.17c	tasmAt Sabda-arTayoH na-evam Vp_3,3.17c
   tasmāt tadarthaiḥ kāryāṇāṃ Vp_1.63c	tasmAt tad-arTEH kAryANAm Vp_1.63c
   tasmāt tad ubhayaṃ saha Vp_3,7.145d	tasmAt tat uBayam saha Vp_3,7.145d
   tasmāt tāṃs tatra nāśrayet Vp_2.240d	tasmAt tAn tatra na-ASrayet Vp_2.240d
   tasmāt tulyaṃ vyapekṣaṇam Vp_2.353d	tasmAt tulyam vyapekzaNam Vp_2.353d
   tasmāt te viṣayaḥ kanaḥ Vp_2.293d	tasmAt te vizayaH kanaH Vp_2.293d
   tasmāt tyajann imān bhāvān Vp_3,6.19c	tasmAt tyajan imAn BAvAn Vp_3,6.19c
   tasmāt pratyakṣam apy arthaṃ Vp_2.141a	tasmAt pratyakzam api arTam Vp_2.141a
   tasmāt prayojakād anyān Vp_2.299c	tasmAt prayojakAt anyAn Vp_2.299c
   tasmāt saguṇa evāsau Vp_3,1.71c	tasmAt sa-guNaH eva-asO Vp_3,1.71c
   tasmāt saty api sāmarthye Vp_3,1.94c	tasmAt sati api sAmarTye Vp_3,1.94c
   tasmāt sarvatra nāśrayet Vp_3,3.28d	tasmAt sarvatra na-ASrayet Vp_3,3.28d
   tasmāt sarvam abhāvo vā Vp_3,3.63a	tasmAt sarvam aBAvaH vA Vp_3,3.63a
   tasmāt saṃghāta evaiko Vp_2.220c	tasmAt saMGAtaH eva-ekaH Vp_2.220c
   tasmāt saṃbhavino 'rthasya Vp_2.163a	tasmAt saMBavinaH arTasya Vp_2.163a
   tasmāt sākṣād avācakāḥ Vp_1.178d	tasmAt sAkzAt avAcakAH Vp_1.178d
   tasmād akṛtakaṃ śāstraṃ Vp_1.43a	tasmAt akRtakam SAstram Vp_1.43a
   tasmād adṛṣṭatattvānāṃ Vp_2.138a	tasmAt adRzwa-tattvAnAm Vp_2.138a
   tasmād abhinnakāleṣu Vp_1.104a	tasmAt aBinna-kAlezu Vp_1.104a
   tasmād arthavidhāḥ sarvāḥ Vp_1.123c	tasmAt arTaviDAH sarvAH Vp_1.123c
   tasmād alaukiko vākyād Vp_2.346c	tasmAt alOkikaH vAkyAt Vp_2.346c
   tasmād upanibandhanam Vp_2.461b	tasmAt upanibanDanam Vp_2.461b
   tasmād gatyarthakarmatve Vp_3,7.133c	tasmAt gati-arTa-karma-tve Vp_3,7.133c
   tasmād dravyādayaḥ sarvāḥ Vp_3,1.23a	tasmAt dravya-AdayaH sarvAH Vp_3,1.23a
   tasmād bhinneṣu dharmeṣu Vp_3,3.49a	tasmAt Binnezu Darmezu Vp_3,3.49a
   tasmād yat karaṇaṃ dravyaṃ Vp_3,7.167a	tasmAt yat karaNam dravyam Vp_3,7.167a
   tasmād yaḥ śabdasaṃskāraḥ Vp_1.144a	tasmAt yaH Sabda-saMskAraH Vp_1.144a
   tasmād vrīhitvam adhikaṃ Vp_2.66a	tasmAt vrIhi-tvam aDikam Vp_2.66a
   tasmān nābhāvam icchanti Vp_3,3.64a	tasmAt na-aBAvam icCanti Vp_3,3.64a
   tasmān nibadhyate śiṣṭaiḥ Vp_1.29c	tasmAt nibaDyate SizwEH Vp_1.29c
   tasminn akṛtabuddhīnāṃ Vp_2.483c	tasmin akRtabudDInAm Vp_2.483c
   tasminn abhede bhedānāṃ Vp_2.97a	tasmin aBede BedAnAm Vp_2.97a
   tasminn asati bhāve 'pi Vp_3,3.69c	tasmin asati BAve api Vp_3,3.69c
   tasmiṃs tūccarite bhedāṃs Vp_2.394c	tasmin tu-uccarite BedAn Vp_2.394c
   tasya kāraṇasāmarthyād Vp_1.112a	tasya kAraNa-sAmarTyAt Vp_1.112a
   tasya tat syāt kriyāntaram Vp_2.71d	tasya tat syAt kriyA-antaram Vp_2.71d
   tasya tasyopamāneṣu Vp_1.64c	tasya tasya-upamAnezu Vp_1.64c
   tasya dravyātmano bhavet Vp_3,7.167d	tasya dravya-AtmanaH Bavet Vp_3,7.167d
   tasya pravṛttitattvajñas Vp_1.144c	tasya pravRtti-tattva-jQaH Vp_1.144c
   tasya prāṇe ca yā śaktir Vp_1.121a	tasya prANe ca yA SaktiH Vp_1.121a
   tasya mārgo 'yam āñjasaḥ Vp_1.12d	tasya mArgaH ayam AQjasaH Vp_1.12d
   tasya mithyābhidhāne hi Vp_3,3.25c	tasya miTyA-aBiDAne hi Vp_3,3.25c
   tasya lopo na vidyate Vp_2.354b	tasya lopaH na vidyate Vp_2.354b
   tasya vākye tathaikatām Vp_2.30d	tasya vAkye taTA-ekatAm Vp_2.30d
   tasya vedo maharṣibhiḥ Vp_1.5b	tasya vedaH mahA-RziBiH Vp_1.5b
   tasya śabdārthasaṃbandha- Vp_3,2.14a	tasya Sabda-arTa-saMbanDa Vp_3,2.14a
   tasya śākhāsu dṛśyate Vp_1.6d	tasya SAKAsu dRSyate Vp_1.6d
   tasya śāstra udāhṛtam Vp_3,5.1d	tasya SAstre udAhRtam Vp_3,5.1d
   tasyātiṅgrahaṇenārtho Vp_2.448c	tasya-atiFgrahaNena-arTaH Vp_2.448c
   tasyātmā na nirūpyate Vp_2.420b	tasya-AtmA na nirUpyate Vp_2.420b
   tasyātmā pravibhajyate Vp_2.442d	tasya-AtmA praviBajyate Vp_2.442d
   tasyādhrauvyaṃ pracakṣate Vp_3,7.139d	tasya-aDrOvyam pracakzate Vp_3,7.139d
   tasyāpi vyavatiṣṭhate Vp_3,7.108d	tasya-api vyavatizWate Vp_3,7.108d
   tasyāpy uccāraṇe rūpam Vp_1.66c	tasya-api uccAraNe rUpam Vp_1.66c
   tasyābhidhāyako dhātuḥ Vp_2.190c	tasya-aBiDAyakaH DAtuH Vp_2.190c
   tasyābhidheyabhāvena Vp_1.66a	tasya-aBiDeya-BAvena Vp_1.66a
   tasyāmnāyo nibandhanam Vp_1.150d	tasya-AmnAyaH nibanDanam Vp_1.150d
   tasyārthavādarūpāṇi Vp_1.8a	tasya-arTavAda-rUpANi Vp_1.8a
   tasyārtho na pṛthag yadi Vp_2.342d	tasya-arTaH na pRTak yadi Vp_2.342d
   tasyāvayavadharmeṇa Vp_2.470c	tasya-avayava-DarmeNa Vp_2.470c
   tasyāvayavavartinā Vp_2.159d	tasya-avayava-vartinA Vp_2.159d
   tasyāśritād guṇād eva Vp_1.65c	tasya-ASritAt guNAt eva Vp_1.65c
   tasyās tu śakteḥ pūrvādi- Vp_3,6.20a	tasyAH tu SakteH pUrva-Adi Vp_3,6.20a
   tasyāṃ yad bījam āhitam Vp_2.26b	tasyAm yat bIjam Ahitam Vp_2.26b
   tasyaikatvaṃ prakalpyate Vp_2.389d	tasya-ekatvam prakalpyate Vp_2.389d
   tasyaivātmā nirūpyate Vp_2.420d	tasya-eva-AtmA nirUpyate Vp_2.420d
   tasyaivārthasya satyatvaṃ Vp_3,3.72c	tasya-eva-arTasya satya-tvam Vp_3,3.72c
   tasyaivāstitvanāstitve Vp_2.33a	tasya-eva-astitvana-astitve Vp_2.33a
   taṃ gauṇam apare viduḥ Vp_2.264d	tam gONam apare viduH Vp_2.264d
   taṃ gauṇam apare viduḥ Vp_2.273d	tam gONam apare viduH Vp_2.273d
   taṃ paśyaty anyathā punaḥ Vp_2.136d	tam paSyati anyaTA punar Vp_2.136d
   taṃ mukhyam arthaṃ manyante Vp_2.278c	tam muKyam arTam manyante Vp_2.278c
   tā eva vikṛtā ṛcaḥ Vp_2.107d	tAH eva vikRtAH RcaH Vp_2.107d
   tādarthyam ānulomyena Vp_3,7.27c	tAdarTyam Anulomyena Vp_3,7.27c
   tādarthyasyāviśeṣe 'pi Vp_2.452c	tAdarTyasya-aviSeze api Vp_2.452c
   tādātmyam upagamyeva Vp_1.177c	tAdAtmyam upagamya-iva Vp_1.177c
   tādrūpyeṇeva gacchati Vp_3,3.40d	tAdrUpyeNa-iva gacCati Vp_3,3.40d
   tāni dhātvantarāṇy eva Vp_3,7.57a	tAni DAtu-antarANi eva Vp_3,7.57a
   tāni śabdāntarāṇy eva Vp_2.332a	tAni Sabda-antarANi eva Vp_2.332a
   tān upāyān pracakṣate Vp_2.38b	tAn upAyAn pracakzate Vp_2.38b
   tān evaikatvadarśinaḥ Vp_2.408d	tAn eva-eka-tva-darSinaH Vp_2.408d
   tāny āmnāyāntarāṇy eva Vp_2.259a	tAni AmnAya-antarANi eva Vp_2.259a
   tān sādhūn saṃpracakṣate Vp_2.364d	tAn sADUn saMpracakzate Vp_2.364d
   tābhyo yā jāyate buddhir Vp_2.25a	tAByaH yA jAyate budDiH Vp_2.25a
   tām āhur amṛtāṃ kalām Vp_1.169d	tAm AhuH amRtAm kalAm Vp_1.169d
   tām āhus tvatalādayaḥ Vp_3,1.34d	tAm AhuH tu-atala-AdayaH Vp_3,1.34d
   tāvatārthasya siddhatvād Vp_3,1.65a	tAvatA-arTasya sidDa-tvAt Vp_3,1.65a
   tāvaty asaṃvidaṃ mūḍhaḥ Vp_2.91c	tAvatI asaMvidam mUXaH Vp_2.91c
   tāvān na mṛnmayeṣv asti Vp_2.293c	tAvAn na mRd-mayezu asti Vp_2.293c
   tāś cāparimitā iva Vp_3,7.36b	tAH ca-aparimitAH iva Vp_3,7.36b
   tāś cārthasya prasādhikāḥ Vp_3,1.104d	tAH ca-arTasya prasADikAH Vp_3,1.104d
   tāsām ātmasu vidyate Vp_3,6.27d	tAsAm Atmasu vidyate Vp_3,6.27d
   tāsu śrutir avasthitā Vp_3,1.48d	tAsu SrutiH avasTitAH Vp_3,1.48d
   tāsu sarvendriyaṃ viduḥ Vp_3,1.46b	tAsu sarva-indriyam viduH Vp_3,1.46b
   tāṃ kriyāṃ ca tadāśrayām Vp_3,3.45d	tAm kriyAm ca tad-ASrayAm Vp_3,3.45d
   tāṃ tām arthakriyāṃ prati Vp_1.33b	tAm tAm arTa-kriyAm prati Vp_1.33b
   tāṃ prātipadikārthaṃ ca Vp_3,1.34a	tAm prAtipadikA-arTam ca Vp_3,1.34a
   tāṃ viśeṣe niveśayan Vp_2.45d	tAm viSeze niveSayan Vp_2.45d
   tāṃ śaktiṃ samavāyākhyāṃ Vp_3,3.10a	tAm Saktim samavAya-AKyAm Vp_3,3.10a
   tiṅantasya viśeṣakam Vp_2.6b	tiFantasya viSezakam VB-_2.6b
   tiṅantasya viśeṣakam Vp_2.6d	tiFantasya viSezakam Vp_2.6d
   tiṅantāntarayukteṣu Vp_2.449a	tiFantA-antara-yuktezu Vp_2.449a
   tiṅā tiṅbhyo nighātasya Vp_2.447c	tiFA tiFByaH niGAtasya Vp_2.447c
   tiṅpadair abhidhīyate Vp_2.195d	tiFpadEH aBiDIyate Vp_2.195d
   tiraścām api tadvaśāt Vp_2.147d	tiraScAm api tad-vaSAt Vp_2.147d
