   ADHYAYA 1	ADHYAYAH 1
   na yukta iti cet /	na yuktaH iti ced /
   na, viparītajñānanimittatvānarthārthatvābhyāṃ tulyatvāt /	na, viparIta jQAna nimitta tva anarTa arTa tvAByAm tulya tvAt /
   kalañjabhakṣaṇādipravṛtteḥ mithyājñānanimittatvam /	kalaQja BakzaNa Adi pravRtteH miTyAjQAna nimitta tvam /
   anarthārthatvaṃ ca yathā, tathā śāstravihitapravṛttīnāmapi /	anarTa arTa tvam ca yaTA, taTA SAstra vihita pravRttInAm api /
   tasmāt paramātmayāthātmyavijñānavataḥ śāstravihitapravṛttīnāmapi	tasmAt paramAtma yATAtmya vijQAnavataH SAstra vihita pravRttInAm api
   mithyājñānanimittatvena anarthārthatvena ca tulyatvāt paramātmajñānena	miTyAjQAna nimitta tvena anarTa arTa tvena ca tulya tvAt paramAtma jQAnena
   viparītajñāne nivartite yukta evābhāvaḥ /	viparIta jQAne nivartite yuktaH eva aBAvaH /
   nanu tatra yuktaḥ, nityānāṃ tu kevalaśāstranimittatvāt,	nanu tatra yuktaH, nityAnAm tu kevala SAstra nimitta tvAt,
   anarthārthatvābhāvaccābhāvo na yukta iti cet? na avidyārāgadveṣādidoṣavato	anarTa arTa tva aBAvat ca aBAvaH na yuktaH iti cet? na avidyA rAga dveza Adi dozavataH 
   vihitatvāt /	vihita tvAt /
   yathā svargakāmādidoṣavato darśapūrṇamāsādīni kāmyāni karmāṇi vihitāni	yaTA svarga kAma Adi dozavataH darSa pUrNamAsa AdIni kAmyAni karmANi vihitAni
   tathā	taTA
   sarvānarthabījāvidyādidoṣavatastajjaniteṣṭāniṣṭaprāptiparihārarāgadveṣādidoṣavataśca	sarva anarTa bIja avidyA Adi dozavataH tad janita izwA anizwa prApti parihAra rAga dveza Adi dozavataH ca
   tatpreritāviśeṣapravṛtteriṣṭāniṣṭaprāptiparihārārthino nityāni karmāṇi	tad prerita aviSeza pravRtteH izwa anizwa prApti parihAra arTinaH nityAni karmANi
   vidhīyante, na kevalaṃ śāstranimittānyeva /	viDIyante, na kevalam SAstra nimittAni eva /
   na cāgnihotradarśapūrṇamāsacāturmāsyapaśubandhasomānāṃ karmaṇāṃ svataḥ	na ca agnihotra darSa pUrNamAsa cAturmAsya paSu banDa somAnAm karmaNAm svatas 
   kāmyanityatvavivekosti /	kAmya nitya tva viveka usti /
   kartṛgatena hi svargādikāmadoṣeṇa kāmārthatā /	kartR gatena hi svarga Adi kAma dozeNa kAma arTa tA /
   tathā avidyādidoṣavataḥ svabhāvaprāpteṣṭāniṣṭaprāptiparihārārthinaḥ	taTA avidyA Adi dozavataH svaBAva prApta izwa anizwa prApti parihAra arTinaH
   tadarthānyeva nityāni iti yuktam, taṃ prati vihitatvāt /	tad arTAni eva nityAni iti yuktam, tam prati vihita tvAt /
   na paramātmayāthātmyavijñānavataḥ śamopāyavyatirekeṇa kiñcitkarma	na paramAtma yATAtmya vijQAnavataH Sama upAya vyatirekeNa kiQcid karma
   vihitamubhalabhyate /	vihitam uBalaByate /
   karmanimittadevatādisarvasādhanavijñānopamardena hyātmajñānaṃ vidhīyate,	karma nimitta devatA Adi sarva sADana vijQAna upamardena hi Atma jQAnam viDIyate,
   na copamarditakriyākārakādivijñānasya karmapravṛttirupapadyate /	na ca upamardita kriyA kAraka Adi vijQAnasya karma pravRttiH upapadyate /
   viśiṣṭakriyāsādhanādijñānapūrvakatvātkriyāpravṛtteḥ /	viSizwa kriyA sADana Adi jQAna pUrvaka tvAt kriyA pravRtteH /
   na hi deśakālādyanavacchinnāsthūladvayādibrahmapatyayadhāriṇaḥ karmāvasaro	na hi deSa kAla Adi anavacCinnA sTUla dvaya Adi brahma patyaya DAriNaH karma avasaraH 
   'sti /	asti /
   bhojanādipravṛttyavasaravatsyāditi cet? na,	Bojana Adi pravRtti avasara vatsyAt iti cet? na,
   avidyādikevaladoṣanimittatvādbhojanādi pravṛtterāvaśyakatvānupapatteḥ /	avidyA Adi kevala doza nimitta tvAt Bojana Adi pravRtteH AvaSyaka tva anupapatteH /
   na tu tathāniyataṃ kadācitkriyate kadācinna kriyate ceti nityaṃ	na tu taTA aniyatam kadAcid kriyate kadAcid na kriyate ca iti nityam
   karmopapadyate /	karma upapadyate /
   kevaladoṣanimittatvāttu bhojanādikarmaṇo 'niyatatvaṃ syāt /	kevala doza nimitta tvAt tu Bojana Adi karmaNaH aniyata tvam syAt /
   doṣodbhavābhibhavayoraniyatatvāt kāmānāmiva kāmyeṣu /	doza udBava aBiBavayoH aniyata tvAt kAmAnAm iva kAmyezu /
   śāstranimittakālādyapekṣatvācca nityānāmaniyatatvānupapattiḥ /	SAstra nimitta kAla Adi apekza tvAt ca nityAnAm aniyata tva anupapattiH /
   doṣanimittatve satyapi yathā kāmyāgnihotrasya śāstravihitatvāt sāyaṃprātaḥ	doza nimitta tve sati api yaTA kAmya agnihotrasya SAstra vihita tvAt sAyaMprAtar 
   kālādyapekṣatvamevam /	kAla Adi apekza tvam evam /
   tadbhojanādipavṛttau niyamavatsyāditi cet? na, niyamasākriyatvāt	tad Bojana Adipa vRttO niyamavat syAt iti cet? na, niyama sAkriyatvAt 
   kriyāyāścaprayojakatvānnāsau jñānasyāpavādakaraḥ /	kriyAyAH caprayojaka tvAt na asO jQAnasya apavAda karaH /
   tasmāt paramātmāyāthātmyajñānavidherapi	tasmAt paramAtmAya aTAtmya jQAna viDeH api
   tadviparītasthūladvaitādijñānanivartakatvāt	tad viparIta sTUla dvEta Adi jQAna nivartaka tvAt 
   sāmarthyātsarvakarmapratiṣedhavidhyarthatvaṃ	sAmarTyAt sarva karma pratizeDa viDi arTa tvam
   sampadyate;karmapravṛttyabhāvasya tulyatvād yathā pratiṣedhaviṣaye /	sampadyate;karma pravRtti aBAvasya tulya tvAt yaTA pratizeDa vizaye /
   tasmāt pratiṣedhavidhivacca vastupratipādanaṃ tatparatvaṃ ca siddhaṃ	tasmAt pratizeDa viDi vat ca vastu pratipAdanam tat paratvam ca sidDam
   śāstrasya //1//	SAstrasya //1//
   START BrhUp 1,3.2	START BrhUp 1,3.2
   te ha vācam ūcus tvaṃ na udgāyeti |	te ha vAcam UcuH tvam naH udgAya iti |
   tatheti tebhyo vāg udagāyat |	taTA iti teByaH vAc udagAyat |
   yo vāci bhogas taṃ devebhya āgāyat |	yaH vAci BogaH tam deveByaH AgAyat |
   yat kalyāṇaṃ vadati tad ātmane |	yat kalyANam vadati tat Atmane |
   te 'vidur anena vai na udgātrātyeṣyantīti |	te aviduH anena vE naH udgAtrA atyezyanti iti |
   tam abhidrutya pāpmanāvidhyan |	tam aBidrutya pApmanA aviDyan |
   sa yaḥ sa pāpmā yad evedam apratirūpaṃ vadati |	sa yaH sa pApmA yat eva idam apratirUpam vadati |
   sa eva sa pāpmā || BrhUp_1,3.2 ||	saH eva sa pApmA || BrhUp_1,3.2 ||
   BrhUpBh_1,3.2 te devā haivaṃ viniścitya, vācaṃ vāgabhimāninīṃ	Brhu upBh_1,3.2 te devAH ha evam viniScitya, vAcam vAc aBimAninIm
   devatāmucuruktavantaḥ /	devatA mucuH uktavantaH /
   tvaṃ no 'smabhyamudgāyaudgātraṃ karma kuruṣva /	tvam naH asmaByam udgAya OdgAtram karma kuruzva /
   vāgdevatānirvarttyamaugātraṃ kama dṛṣṭavantaḥ, tāmeva ca devatāṃ	vAgdevatA nirvartti amOgAtram kama dRzwavantaH, tAm eva ca devatAm
   japamantrābhidhāyām"asato mā sadgamaya"(bṛ.u.1 / 3 / 28) iti /	japa mantra aBiDAyAm"asataH mA sat gamaya "(bR.u.1 / 3 / 28) iti /
   atra copāsanāyāḥ karmaṇaśca kartṛtvena vāgādaya eva vivakṣyante /	atra ca upAsanAyAH karmaNaH ca kartR tvena vAc AdayaH eva vivakzyante /
   kasmāt? yasmātparamārthatastat kartṛkastadviṣaya eva ca sarvo	kasmAt? yasmAt paramArTataH tat kartRkaH tad vizayaH eva ca sarvaH 
   jñānakarmasaṃvyavahāraḥ /	jQAna karma saMvyavahAraH /
   vakṣyati hi"dhyāyatīva lelāyatīva"ityātmakartṛkatvābhāvaṃ vistarataḥ ṣaṣṭe	vakzyati hi"DyAyati iva lelAyati iva" iti Atma kartRkatva aBAvam vistarataH zazwe
   ihāpi cādyāyānte upasaṃhariṣyati avyākṛtādikriyākārakaphalajātam,"trayaṃ	iha api ca adyAya ante upasaMharizyati avyAkRta Adi kriyA kAraka Pala jAtam," trayam
   vā idaṃ nāma rūpaṃ karma"(1 / 6 / 1) iti avidyāviṣayam /	vA idam nAma rUpam karma "(1 / 6 / 1) iti avidyA vizayam /
   avyākṛtāttu yatparaṃ paramātmākhyaṃ vidyāviṣayam anāmarūpakarmātmakam"neti	avyAkRtAt tu yat param paramAtma AKyam vidyA vizayam anAma rUpa karma Atmakam"nA iti
   neti"(2 / 3 / 6) iti itarapratyākhyānenopasaṃhariṣyati pṛthak /	na iti"(2 / 3 / 6) iti itara pratyAKyAnena upasaMharizyati pRTak /
   yastu vāgādisamāhāropādhiparikalpitaḥ saṃsāryātmā taṃ ca	yaH tu vAc Adi samAhAra upADi parikalpitaH saMsArya AtmA tam ca
   vāgādisamāhārapakṣapātinameva darśayiṣyati"etebhyo bhūtebhyaḥ samutthāya	vAc Adi samAhAra pakzapAtinam eva darSayizyati "eteByaH BUteByaH samutTAya
   tānyevānuvinaśyati"(2 / 4 / 12) iti /	tAni eva anuvinaSyati"(2 / 4 / 12) iti /
   tasmādyuktā vāgādīnāmeva jñānakarmakartṛtvaphalaprāptivivakṣā /	tasmAt yuktA vAc AdInAm eva jQAna karma kartR tva Pala prApti vivakzA /
   tatheti tathāstviti devairuktā vāktebhyo 'rthibhyor'thāya udakāyadudgānaṃ	taTA iti taTA astu iti devEH uktA vA akteByaH arTiByor aTa ayaH udakAyat udgAnam
   kṛtavatī /	kRtavatI /
   kaḥ punarasau devebhyor'thāya udgānakarmaṇā vācā nirvartitaḥ kāryaviśeṣaḥ?	kaH punar asO deveByor aTa ayaH udgAna karmaNA vAcA nirvartitaH kArya viSezaH?
   ityucyate  yo vācī nimittabhūtāyāṃ vāgādisamudāyasya ya upakāro niṣpadyate	iti ucyate yaH vAcI nimitta BUtAyAm vAc Adi samudAyasya yaH upakAraH nizpadyate
   vadanādivyāpāreṇa, sa eva /	vadana Adi vyApAreNa, saH eva /
   sarveṣāṃ hyasau vāgvadanābhinirvṛtto bhogaḥ phalam /	sarvezAm hi asO vAc vadana aBinirvRttaH BogaH Palam /
   taṃ bhogaṃ sā tṛṣu pavamāneṣu kṛtvā avaśiṣṭeṣu navasu stotreṣu	tam Bogam sA tRzu pavamAnezu kRtvA avaSizwezu navasu stotrezu
   vācanikamārtvijyaṃ phalaṃ yatkalyāṇaṃ śobhanaṃ vadati	vAcanikam Artvijyam Palam yat kalyANam SoBanam vadati
   varṇānabhinirvartayati tad ātmane mahyameva /	varNAn aBinirvartayati tat Atmane mahyam eva /
   taddhyasādhāraṇaṃ vāgdevatāyāḥ karma yatsamyagvarṇānāmuccāraṇam /	tad hi asADAraNam vAgdevatAyAH karma yat samyak varNAnAm uccAraNam /
   atastadeva viśeṣyate yatkalyāṇaṃ vadatīti /	atas tat eva viSezyate yat kalyANam vadati iti /
   yattu vadanakāryaṃ sarvasaṃghātopakārātmakaṃ tadyājamānameva /	yat tu vadana kAryam sarva saMGAta upakAra Atmakam tat yAjamAnam eva /
   tatra kalyāṇavadanātmasambandhāsaṅgāvasaraṃ devatāyā randhraṃ pratilamya	tatra kalyANa vadana Atma sambanDa asaFga avasaram devatAyAH ranDram pratilamya
   te vidurasurāḥ, katham? anenodgātrāno 'smānsvābhāvikaṃ jñānaṃ	te vidura surAH, kaTam? anena udgAtrAnaH asmAn svABAvikam jQAnam
   cābhibhūyātītya śāstrajanitakarmajñānarūpeṇa jyotiṣodgātrātmanā	ca aBiBUya atItya SAstra janita karma jQAna rUpeNa jyotiza udgAtra AtmanA
   atyeṣvantyatigamiṣyanti /	ati ezvanti atigamizyanti /
   ityevaṃ vijñāya samudgātāramabhidrutyābhigamya svena āsaṅgalakṣaṇena	iti evam vijQAya samudgAtAram aBidrutya aBigamya svena AsaFga lakzaNena
   pāpmanāvidhyaṃstāḍitavantaḥ saṃyojitavanta ityarthaḥ /	pApmanA viDyan= tAxitavantaH saMyojitavantaH iti arTaH /
   sa yaḥ sa pāpmā prajāpateḥ pūrvajanmāvasthasya vāci kṣiptaḥ sa eṣa	sa yaH sa pApmA prajApateH pUrva janma avasTasya vAci kziptaH saH eza
   pratyakṣīkriyate /	pratyakzIkriyate /
   ko 'sau? yadevamapratirūpamananurūpaṃ śāstrapratiṣiddhaṃ vadati yena	kaH asO? yat evam apratirUpam ananurUpam SAstra pratizidDam vadati yena
   prayukto 'sabhyabībhatsānṛtādyanicchannapi vadati /	prayuktaH asaBya bIBatsA anRta adyanicCan= api vadati /
   anena kāryeṇāpratirūpavadanena anugamyamānaḥ prajāpateḥ kāryabhūtāsu	anena kAryeNa apratirUpa vadanena anugamyamAnaH prajApateH kArya BUtAsu
   prajāsu vāci vartate /	prajAsu vAci vartate /
   sa evāpratirūpavadanenānumitaḥ sa prajāpatervāci gataḥ pāpmā,	saH eva apratirUpa vadanena anumitaH sa prajApateH vAci gataH pApmA,
   kāraṇānuvidhāyi hi kāryamiti //2//	kAraNa anuviDAyi hi kAryam iti //2//
   START BrhUp 1,3.3 6	START BrhUp 1,3.3 6
   atha ha prāṇam ūcus tvaṃ na udgāyeti |	aTa ha prANam UcuH tvam naH udgAya iti |
   tatheti tebhyaḥ prāṇa udagāyat |	taTA iti teByaH prANaH udagAyat |
   yaḥ prāṇe bhogas taṃ devebhya āgāyat |	yaH prANe BogaH tam deveByaH AgAyat |
   yat kalyāṇaṃ jighrati tad ātmane |	yat kalyANam jiGrati tat Atmane |
   te 'vidur anena vai na udgātrātyeṣyantīti |	te aviduH anena vE naH udgAtrA atyezyanti iti |
   tam abhidrutya pāpmanāvidhyan |	tam aBidrutya pApmanA aviDyan |
   sa yaḥ sa pāpmā yad evedam apratirūpaṃ jighrati |	sa yaH sa pApmA yat eva idam apratirUpam jiGrati |
   sa eva sa pāpmā || BrhUp_1,3.3 ||	saH eva sa pApmA || BrhUp_1,3.3 ||
   atha ha cakṣur ūcus tvaṃ na udgāyeti |	aTa ha cakzuH UcuH tvam naH udgAya iti |
   tatheti tebhyaś cakṣur udagāyat |	taTA iti teByaH cakzuH udagAyat |
   yaś cakṣuṣi bhogas taṃ devebhya āgāyat |	yaH cakzuzi BogaH tam deveByaH AgAyat |
   yat kalyāṇaṃ paśyati tad ātmane |	yat kalyANam paSyati tat Atmane |
   te 'vidur anena vai na udgātrātyeṣyantīti |	te aviduH anena vE naH udgAtrA atyezyanti iti |
   tam abhidrutya pāpmanāvidhyan |	tam aBidrutya pApmanA aviDyan |
   sa yaḥ sa pāpmā yad evedam apratirūpaṃ paśyati |	sa yaH sa pApmA yat eva idam apratirUpam paSyati |
   sa eva sa pāpmā || BrhUp_1,3.4 ||	saH eva sa pApmA || BrhUp_1,3.4 ||
   atha ha śrotram ūcus tvaṃ na udgāyeti |	aTa ha Srotram UcuH tvam naH udgAya iti |
   tatheti tebhyaḥ śrotram udagāyat |	taTA iti teByaH Srotram udagAyat |
   yaḥ śrotre bhogas taṃ devebhya āgāyat |	yaH Srotre BogaH tam deveByaH AgAyat |
   yat kalyāṇaṃ śṛṇoti tad ātmane |	yat kalyANam SRNoti tat Atmane |
   te 'vidur anena vai na udgātrātyeṣyantīti |	te aviduH anena vE naH udgAtrA atyezyanti iti |
   tam abhidrutya pāpmanāvidhyan |	tam aBidrutya pApmanA aviDyan |
   sa yaḥ sa pāpmā |	sa yaH sa pApmA |
   yad evedam apratirūpaṃ śṛṇoti |	yat eva idam apratirUpam SRNoti |
   sa eva sa pāpmā || BrhUp_1,3.5 ||	saH eva sa pApmA || BrhUp_1,3.5 ||
   atha ha mana ūcus tvaṃ na udgāyeti |	aTa ha manaH UcuH tvam naH udgAya iti |
   tatheti tebhyo mana udagāyat |	taTA iti teByaH manaH udagAyat |
   yo manasi bhogas taṃ devebhya āgāyat |	yaH manasi BogaH tam deveByaH AgAyat |
   yat kalyāṇaṃ saṃkalpayati tad ātmane |	yat kalyANam saMkalpayati tat Atmane |
   te 'vidur anena vai na udgātrātyeṣyantīti |	te aviduH anena vE naH udgAtrA atyezyanti iti |
   tam abhidrutya pāpmanāvidhyan |	tam aBidrutya pApmanA aviDyan |
   sa yaḥ sa pāpmā |	sa yaH sa pApmA |
   yad evedam apratirūpaṃ saṃkalpayati |	yat eva idam apratirUpam saMkalpayati |
   sa eva sa pāpmā |	saH eva sa pApmA |
   evam u khalv etā devatāḥ pāpmabhir upāsṛjan |	evam u Kalu etAH devatAH pApmaBiH upAsRjan |
   evam enāḥ pāpmanāvidhyan || BrhUp_1,3.6 ||	evam enAH pApmanA aviDyan || BrhUp_1,3.6 ||
   BrhUpBh_1,3.3 6 tathaiva ghrāṇādidevatā	Brhu upBh_1,3.3 6 taTA eva GrANa Adi devatA
   udgīthanirvartatvājjapamantraprakāśyā upāsyāśceti kameṇa parīkṣitavantaḥ /	udgITa nirvarta tvAt japa mantra prakASyAH upAsyAH ca iti kameNa parIkzitavantaH /
   devānāṃ caitanniścitamāsīt  vāgādidevatāḥ kameṇa parīkṣyamāṇāḥ	devAnAm ca etat niScitam AsIt vAc Adi devatAH kameNa parIkzyamANAH
   kalyāṇaviṣayaviśeṣātmasambandhāsaṅgahetorāsurapāpmasaṃsargād	kalyANa vizaya viSeza Atma sambanDa AsaFga hetoH Asura pApma saMsargAt 
   udgīthanirvartanāsamarthāḥ /	udgITa nirvartana asamarTAH /
   ato 'nabhidheyāḥ"asato mā sadgamaya"ityanupāsyāśca,	atas anaBiDeyAH"asataH mA sat gamaya"iti anupAsyAH ca,
   aśuddhatvāditarāvyāpakatvācceti /	aSudDa tvAt itara avyApaka tvAt ca iti /
   evamu khalvanuktā apyetāstvagādidevatāḥ kalyāṇākalyāṇākāryadarśanādevaṃ	evamu Kalu anuktAH api etAH tvac Adi devatAH kalyANA kalyANa akArya darSanAt evam
   vāgādideva, enāḥ pāpmanāvidhyanpāpmanā viddhavanta iti yaduktaṃ	vAc Adideva, enAH pApmanA viDi an pApmanA vidDavantaH iti yat uktam
   tatpāpmabhirupāsṛjanpāpmabhiḥ saṃsargaṃ kṛtavanta ityetat //3 6 //	tad pApmaBiH upAsRjan pApmaBiH saMsargam kRtavantaH iti etat //3 6 //
   vāgādidevatā upāsīnā api mṛtyatigamanāyāśaraṇāḥ santo devāḥ krameṇa 	vAc Adi devatAH upAsInAH api mRti ati gamanAya aSaraNAH santaH devAH krameNa 
   START BrhUp 1,3.7	START BrhUp 1,3.7
   atha hemam āsanyaṃ prāṇam ūcus tvaṃ na udgāyeti |	aTa ha imam Asanyam prANam UcuH tvam naH udgAya iti |
   tatheti tebhya eṣa prāṇa udagāyat |	taTA iti teByaH eza prANaH udagAyat |
   te 'vidur anena vai na udgātrātyeṣyantīti |	te aviduH anena vE naH udgAtrA atyezyanti iti |
   tam abhidrutya pāpmanāvivyatsan |	tam aBidrutya pApmanA vivyat san |
   sa yathāśmānam ṛtvā loṣṭo vidhvaṃsetaivaṃ haiva vidhvaṃsamānā viṣvañco	sa yaTA aSmAnam RtvA lozwaH viDvaMseta evam ha eva viDvaMsamAnA vizvaQcaH 
   vineśuḥ |	vineSuH |
   tato devā abhavan, parāsurā |	tatas devAH aBavan, para asurAH |
   bhavaty ātmanā, parāsya dviṣan bhrātṛvyo bhavati ya evaṃ veda ||	Bavati AtmanA, parA asya dvizan BrAtRvyaH Bavati yaH evam veda ||
   BrhUp_1,3.7 ||	BrhUp_1,3.7 ||
   BrhUpBh_1,3.7 athānantaraṃ ha imamityabhinayapradarśanārtham /	Brhu upBh_1,3.7 aTa anantaram ha imam iti aBinaya pradarSana arTam /
   āsanyamāsye bhavamāsanyaṃ mukhāntarbilasthaṃ prāṇamūcustvaṃ na udgāyeti /	Asanyam Asye Bavam Asanyam muKa antar bila sTam prANam UcuH tvam naH udgAya iti /
   tathetyevaṃ śaraṇamupagatebhyaḥ sa eṣa prāṇo mukhya udagāyadityādi	taTA iti evam SaraNam upagateByaH saH eza prANaH muKyaH udagAyat ityAdi
   pūrvavat /	pUrvavat /
   pāpmanāvivyatsanvedhanaṃ kartumiṣṭavantaste ca doṣāsaṃsargiṇaṃ santaṃ	pApmanAvivyat sanveDanam kartum izwavantaH te ca doza asaMsargiNam santam
   mukhyaṃ prāṇam /	muKyam prANam /
   svena āsaṅgadoṣeṇa vāgādiṣu labdhaprasarāstadabhyāsānuvṛttyā	svena AsaFga dozeNa vAc Adizu labDa prasarAH tad aByAsa anuvRttyA
   saṃsrakṣyamāṇā vineśurvinaṣṭā vidhvastāḥ /	saMsrakzyamANAH vineSuH vinazwAH viDvastAH /
   kathamiva? iti dṛṣṭānta ucyate  sa yathā sa dṛṣṭānto yathā loke 'śmānaṃ	kaTam iva? iti dRzwAntaH ucyate sa yaTA sa dRzwAntaH yaTA loke aSmAnam
   pāṣāṇamṛtvā gatvā prāpya, loṣṭaḥ pāṃsupiṇḍaḥ pāṣāṇacūrṇanāyāśmani	pAzANam RtvA gatvA prApya, lozwaH pAMsu piNxaH pAzANa cUrNa nAya aSmani
   nikṣiptaḥ svayaṃ vidhvaṃseta vistraṃseta vicūrṇībhavet, evaṃ haiva	nikziptaH svayam viDvaMseta vistraMseta vicUrNIBavet, evam ha eva
   yathāyaṃ dṛṣṭānta evameva, vidhvaṃsamānā viśeṣeṇa dhvaṃsamānā viṣvañco	yaTA ayam dRzwAntaH evam eva, viDvaMsamAnAH viSezeNa DvaMsamAnA vizvaQcaH 
   nānāgatayo vineśurvinaṣṭā yataḥ,	nAnA gatayaH vineSuH vinazwAH yatas ,
   tatastasmādāsuravināśāddevatvapratibandhabhūtebhyaḥ	tatas tasmAt AsuravinASAt deva tva pratibanDa BUteByaH
   svābhāvikāsaṅgajanitapāpmabhyo viyogād	svABAvika AsaFga janita pApmaByaH viyogAt 
   asaṃsargadharmimukhyaprāṇāśrayabalād devā vāgādayaḥ prakṛtā abhavat /	asaMsarga Darmi muKya prANa ASraya balAt devAH vAc AdayaH prakRtAH aBavat /
   kimabhavan? svaṃ devatārūpamagnyādyātmakaṃ vakṣyamāṇam /	kim aBavan? svam devatA rUpam agni Adi Atmakam vakzyamANam /
   pūrvamaṣyagnyādyātmana eva santaḥ svābhāvikena pāpmanā tiraskṛtavijñānāḥ	pUrvam azi agni Adi AtmanaH eva santaH svABAvikena pApmanA tiraskRta vijQAnAH
   piṇḍamātrābhimānā āsan /	piNxa mAtra aBimAnAH Asan /
   te tatpāpmaviyogādujjhitvā piṇḍamātrābhimānaṃ	te tad pApma viyogAt ujJitvA piNxa mAtra aBimAnam
   śāstrasamarpitavāgādyagnyādyātmābhimānā babhūvurityarthaḥ /	SAstra samarpita vAc Adi agni Adi Atma aBimAnAH baBUvuH iti arTaH /
   kiñca te pratipakṣabhūtā asurāḥ parābhavannityanuvartate /	kiQca te pratipakza BUtAH asurAH parABavan= iti anuvartate /
   parābhūtā vinaṣṭā ityarthaḥ /	parABUtAH vinazwAH iti arTaH /
   yathā purākalpena varṇitaḥ pūrvayajamāno 'tikrāntakālikaḥ	yaTA purA kalpena varNitaH pUrvayajamAnaH atikrAnta kAlikaH
   etāmevākhyāyikārūpāṃ śrutiṃ dṛṣṭvā tenaiva krameṇa vāgādidevatāḥ parīkṣya,	etAm eva AKyAyikA rUpAm Srutim dRzwvA tena eva krameNa vAc Adi devatAH parIkzya,
   tāścāpohyāsaṅgapāpmāspadadoṣavattvenādoṣāspadaṃ mukhyaṃ	tAH ca apohya AsaFga pApma Aspada dozavat tvena adoza Aspadam muKyam
   prāṇamātmatvenopagamya vāgādyādhyātmikapiṇḍamātraparicchinnātmābhimānaṃ	prANam Atma tvena upagamya vAc AdyADyAtmika piNxa mAtra paricCinna Atma aBimAnam
   hitvā vairājapiṇḍābhimānaṃ vāgādyagnyādyātmaviṣayaṃ vartamānaprajāpatitvaṃ	hitvA vErAja piNxa aBimAnam vAc Adi agni Adi Atma vizayam vartamAna prajApati tvam
   śāstraprakāśitaṃ pratipannaḥ, tathaivāyaṃ yajamānastenaiva vidhinā bhavati	SAstra prakASitam pratipannaH, taTA eva ayam yajamAnaH tena eva viDinA Bavati
   prajāpatisvarūpeṇātmanā /	prajApati svarUpeNa AtmanA /
   parā cāsyā prajāpatitvapratipakṣabhūtaḥ pāpmā dviṣanbhrātṛvyo bhavati /	parA ca asyAH prajApati tva pratipakza BUtaH pApmA dvizan BrAtRvyaH Bavati /
   yato 'dveṣṭāpi bhavati kaścid bhrātṛvyo bharatāditulyaḥ,	yatas advezwA api Bavati kaScid BrAtRvyaH Barata Adi tulyaH,
