   bhīṣmaparva	BIzma-parva
   dhanaṃjayo 'tha niḥśvasya viṣaṇṇavadanāmbujaḥ /	DanaMjayaH aTa niHSvasya vizaNNa-vadana-ambujaH /
   nindanmuhuḥ kṣattradharmaṃ pitāmahamupādravat // Bhmj_6.428 //	nindan-muhur kzattra-Darmam pitAmaham-upAdravat // Bhmd-_6.428 //
   dṛṣaṭvā gāṇḍīvadhanvānamudyataṃ śaravarṣiṇam /	dRzawvA gANxIvaDanvAnam-udyatam Sara-varziNam /
   bale tūrṇamupāvṛtte punaryuyudhire bhaṭāḥ // Bhmj_6.429 //	bale tUrNam-upAvRtte punar-yuyuDire BawAH // Bhmd-_6.429 //
   bhīṣmacāpacyutairbāṇaiśchāditaṃ vīkṣya phalguṇam /	BIzma-cApa-cyutEH-bANEH-CAditam vIkzya PalguNam /
   rathamutsṛjya kaṃsāristamadhāvadbhujāyudhaḥ // Bhmj_6.430 //	raTam-utsRjya kaMsAriH-tam-aDAvat-Buja-AyuDaH // Bhmd-_6.430 //
   vilokya kupitaṃ bhīṣmaḥ svayaṃ kṛṣmamabhidrutam /	vilokya kupitam BIzmaH svayam kRzmam-aBidrutam /
   uvāca dhanyatāmānī pulakālaṃkṛtākṛtiḥ // Bhmj_6.431 //	uvAca Danya-tA-mAnI pulaka-alaMkRta-AkRtiH // Bhmd-_6.431 //
   puṇyabhājāmahaṃ dhuryo bhagavankṛtināṃ varaḥ /	puNya-BAjAm-aham DuryaH Bagavan-kRtinAm varaH /
   yasya tvaṃ jagatāṃ nātho vadhāya svayamudyataḥ // Bhmj_6.432 //	yasya tvam jagatAm nATaH vaDAya svayam-udyataH // Bhmd-_6.432 //
   iti vādini gāṅgeye rathāttūrṇaṃ dhanaṃjayaḥ /	iti vAdini gAFgeye raTAt-tUrNam DanaMjayaH /
   avaruhya tataḥ kṛṣṇamānināya rathaṃ punaḥ // Bhmj_6.433 //	avaruhya tatas kRzNam-AninAya raTam punar // Bhmd-_6.433 //
   athārjunaśarāsārairākīrṇe kurukānane /	aTa-arjuna-Sara-AsArEH-AkIrNe kuru-kAnane /
   punaḥ śāntanavaścakre saṃhāraṃ pṛthivībhujām // Bhmj_6.434 //	punar SAntanavaH-cakre saMhAram pRTivIBujAm // Bhmd-_6.434 //
   ghore vyatikare tasminbhagne subhaṭamaṇḍale /	Gore vyatikare tasmin-Bagne su-Bawa-maNxale /
   avahāramakurvanta dinānte pāṇḍunandanāḥ // Bhmj_6.435 //	avahAram-akurvanta dina-ante pANxu-nandanAH // Bhmd-_6.435 //
   ***** navamo yuddhadivasaḥ || 30 || *****	***** navamaH yudDa-divasaH || 30 || *****
   tato rājanyāṃ vijane dharmarājo janārdanam /	tatas rAjanyAm vijane DarmarAjaH janArdanam /
   jagāda rājakaṃ dṛṣṭvā bhinnaṃ bhīṣmeṇa duḥkhitaḥ // Bhmj_6.436 //	jagAda rAjakam dRzwvA Binnam BIzmeNa duHKitaH // Bhmd-_6.436 //
   paśya kṛṣṇa prabuddhena gāṅgeyavaḍavāgninā /	paSya kRzNa prabudDena gAFgeya-vaxava-agninA /
   sainyāmbudhiraparyante mama nīto 'lpaśeṣatām // Bhmj_6.437 //	sEnya-ambuDiH-aparyante mama nItaH alpa-Seza-tAm // Bhmd-_6.437 //
   maṇḍalīkṛtacāpasya sahasrāṃśuśatatviṣaḥ /	maNxalIkRta-cApasya sahasrAMSu-Sata-tvizaH /
   bhīṣmasyākhaṇḍalopyagre satyaṃ paribhāvāspadam // Bhmj_6.438 //	BIzmasya-aKaNxala-upi-agre satyam pariBAva-Aspadam // Bhmd-_6.438 //
   alaṃ rājyena me tāvaditi vādini dharmaje /	alam rAjyena me tAvat-iti vAdini Darmaje /
   uvāca śauriryotsye 'haṃ svayaṃ śantanunandanam // Bhmj_6.439 //	uvAca SOriH-yotsye aham svayam Santanu-nandanam // Bhmd-_6.439 //
   nākārya me bhavatkāryamutsṛṣṭasamayo 'dhunā /	na-AkArya me Bavat-kAryam-utsRzwa-samayaH aDunA /
   pālayāmi raṇe bhīṣmaṃ paśyatāṃ jagatībhujām // Bhmj_6.440 //	pAlayAmi raNe BIzmam paSyatAm jagatIBujAm // Bhmd-_6.440 //
   etadākarṇya kṛṣṇoktaṃ babhāṣe pāṇḍavāgrajaḥ /	etat-AkarNya kRzNa-uktam baBAze pANxava-agrajaH /
   na mithyāvādinaṃ kāmāttvāṃ kuryāmahamacyuta // Bhmj_6.441 //	na miTyA-vAdinam kAmAt-tvAm kuryAm-aham-acyutaH // Bhmd-_6.441 //
   jayopāyamito gatvā bhīṣmaṃ pṛcchāmi bhūtale /	jaya-upAyam-itas gatvA BIzmam pRcCAmi BU-tale /
   sa hi māmāśiṣā pūrvaṃ vātsalyātsamayojayat // Bhmj_6.442 //	sa hi mAm-ASizA pUrvam vAtsalyAt-samayojayat // Bhmd-_6.442 //
   iti niścitya kṛṣṇena bhrātṛbhiśca sahāśu kṛt /	iti niScitya kRzNena BrAtRBiH-ca saha-ASu kRt /
   jagāma bhīṣmaśibiraṃ gūḍhacārī yudhiṣṭhiraḥ // Bhmj_6.443 //	jagAma BIzma-Sibiram gUXa-cArI yuDizWiraH // Bhmd-_6.443 //
   sa pramamyānujasakhaḥ śauryarāśiṃ pitāmaham /	sa pramamya-anuja-saKaH SOrya-rASim pitAmaham /
   papraccha vijayopāyaṃ sa ca pṛṣṭastamabravīt // Bhmj_6.444 //	papracCa vijaya-upAyam sa ca pRzwaH-tam-abravIt // Bhmd-_6.444 //
   na taṃ paśyāmi lokeṣu vīro māṃ vijayeta yaḥ /	na tam paSyAmi lokezu vIraH mAm vijayeta yaH /
   jayalābhe ca yuṣmākaṃ mayi jīvati kā kathā // Bhmj_6.445 //	jaya-lABe ca yuzmAkam mayi jIvati kA kaTAH // Bhmd-_6.445 //
   na viśastrena saṃtraste na strīpūrve mameṣavaḥ /	na viSastrena saMtraste na strI-pUrve mama-izavaH /
   patanti tasmātklīvena māṃ ghātaya śikhaṇḍinā // Bhmj_6.446 //	patanti tasmAt-klIvena mAm GAtaya SiKaNxinA // Bhmd-_6.446 //
   ukte devavrateneti lajjāvinamitānanaḥ /	ukte devavratena-iti lajjA-vinamita-AnanaH /
   akāma iva duḥkhena yayau svaśibiraṃ nṛpaḥ // Bhmj_6.447 //	akAmaH iva duHKena yayO sva-Sibiram nRpaH // Bhmd-_6.447 //
   tataḥ prabhāte vyūheṣu sainyeṣu subhaṭairmithaḥ /	tatas praBAte vyUhezu sEnyezu su-BawEH-miTas /
   śikhaṇḍipramukhā vīrā parānīkamupādravan // Bhmj_6.448 //	SiKaNxi-pramuKAH vIrA para-anIkam-upAdravan // Bhmd-_6.448 //
   tato bhīṣmaśaraśreṇīlulite rājamaṇḍale /	tatas BIzma-Sara-SreNI-lulite rAja-maNxale /
   śikhaṇḍī dhutakodaṇḍaścaṇḍakopastamabhyadhāt // Bhmj_6.449 //	SiKaNxI Duta-kodaNxaH-caNxa-kopaH-tam-aByaDAt // Bhmd-_6.449 //
   tamabravīcchāntanavaḥ kāmaṃ prahara pārṣata /	tam-abravIt-SAntanavaH kAmam prahara pArzata /
   nanāma bhīṣmaviśikhāḥ patantyanujane jane // Bhmj_6.450 //	nanAma BIzma-viSiKAH patanti-anujane jane // Bhmd-_6.450 //
   iti vādinamabhyetya maṇḍalīkṛtakārmukaḥ /	iti vAdinam-aByetya maNxalIkRta-kArmukaH /
   śikhaṇḍī niḥśvasankopādāpageyamabhāṣata // Bhmj_6.451 //	SiKaNxI niHSvasan-kopAt-Apageyam-aBAzata // Bhmd-_6.451 //
   jetāraṃ bhārgavasyāpi jānāmi tvāṃ mahaujasam /	jetAram BArgavasya-api jAnAmi tvAm mahA-ojasam /
   yudhi yudhyasva vā mā vā na me jīvangamiṣyasi // Bhmj_6.452 //	yuDi yuDyasva vA mA vA na me jIvan-gamizyasi // Bhmd-_6.452 //
   uktvaitadbāṇajālena pārṣataḥ samapūrayat /	uktvA-etat-bANa-jAlena pArzataH samapUrayat /
   rakṣyamāṇaḥ samabhyetya paścādgāṇḍīvadhanvanā // Bhmj_6.453 //	rakzyamANaH samaByetya paScAt-gANxIvaDanvanAH // Bhmd-_6.453 //
   bhīṣmo 'pi tamanādṛtya viddhvā kṛṣṇārjunau śaraiḥ /	BIzmaH api tam-anAdRtya vidDvA kRzNa-arjunO SarEH /
   viveśa pāṇḍavacamūṃ rājaveṇuvanānalaḥ // Bhmj_6.454 //	viveSa pANxava-camUm rAja-veNu-vana-analaH // Bhmd-_6.454 //
   dhṛṣṭadyumnamukhairvīraiḥ kauravāṇāṃ tarasvinām /	DRzwadyumna-muKEH-vIrEH kOravANAm tarasvinAm /
   dāruṇo 'tha prahāro 'bhūdrajaḥpihitadiḍbhukhaḥ // Bhmj_6.455 //	dAruNaH aTa prahAraH aBUt-rajaH-pihita-dixBuKaH // Bhmd-_6.455 //
   tato droṇiprabhṛtayo vīrā droṇasya śāsanāt /	tatas droNi-praBRtayaH vIrAH droNasya SAsanAt /
   rakṣantaḥ samare bhīṣmaṃ dhanaṃjayamayodhayan // Bhmj_6.456 //	rakzantaH samare BIzmam DanaMjayam-ayoDayan // Bhmd-_6.456 //
   tataḥ śāntanavo rājñāṃ śarairaśanigauravaiḥ /	tatas SAntanavaH rAjQAm SarEH-aSani-gOravEH /
   mauliratnāṃśuśabalaṃ samunmathya virocanam // Bhmj_6.457 //	mOli-ratna-aMSu-Sabalam samunmaTya virocanam // Bhmd-_6.457 //
   ākrīḍamiva kālasya vidhāya kadanaṃ raṇe /	AkrIxam-iva kAlasya viDAya kadanam raNe /
   abravītkūṇitamanā dūrādeva yudhiṣṭhiram // Bhmj_6.458 //	abravIt-kUNita-manAH dUrAt-eva yuDizWiram // Bhmd-_6.458 //
   vadhāya kuru kaunteya yatnaṃ me nṛpatikṣayāt /	vaDAya kuru kOnteya yatnam me nRpati-kzayAt /
   viṣaṇṇo 'haṃ bhṛśaṃ putra raudreṇānena karmaṇā // Bhmj_6.459 //	vizaNNaH aham BRSam putra rOdreNa-anena karmaNA // Bhmd-_6.459 //
   iti vādini gāṅgeye śithilīkṛtakārmuke /	iti vAdini gAFgeye SiTilIkRta-kArmuke /
   sṛñjayāḥ saha pāñcālaiḥ somakaiśca sahādravan // Bhmj_6.460 //	sRQjayAH saha pAQcAlEH somakEH-ca saha-adravan // Bhmd-_6.460 //
   tataḥ kurucamūvīrāḥ pāṇḍavānāṃ mahārathān /	tatas kuru-camU-vIrAH pANxavAnAm mahA-raTAn /
   āvārya bhīṣmarakṣāyai dvandvaṃ yuddhāni cakrire // Bhmj_6.461 //	AvArya BIzma-rakzAyE dvandvam yudDAni cakrire // Bhmd-_6.461 //
   atha gāṅgeyaviśikhairaprayatnojjhitairapi /	aTa gAFgeya-viSiKEH-aprayatna-ujJitEH-api /
   avartata mahāraudro rājajīvitasaṃkṣayaḥ // Bhmj_6.462 //	avartata mahA-rOdraH rAja-jIvita-saMkzayaH // Bhmd-_6.462 //
   tamabhyadhāvadākarṇākṛṣṭakodaṇḍalaḥ /	tam-aByaDAvat-AkarNa-AkRzwa-kodaNxalaH /
   śikhaṇḍī khaṇḍaparaśuprabhāvaṃ phalguṇeritaḥ // Bhmj_6.463 //	SiKaNxI KaNxa-paraSu-praBAvam PalguNa-IritaH // Bhmd-_6.463 //
   svayaṃ duryodhanenātha preritāṃ vīkṣya vāhinīm /	svayam duryoDanena-aTa preritAm vIkzya vAhinIm /
   tasminsvabhaṭasaṃhāre vartamāne pitāmahaḥ // Bhmj_6.464 //	tasmin-sva-Bawa-saMhAre vartamAne pitAmahaH // Bhmd-_6.464 //
   udīrya ghoraṃ divyāstramabhyadhāvaddhanaṃjayam /	udIrya Goram divya-astram-aByaDAvat-DanaMjayam /
   athārjunasyāgrametya śikhaṇḍini puraḥsthite // Bhmj_6.465 //	aTa-arjunasya-agram-etya SiKaNxini puras-sTite // Bhmd-_6.465 //
   vimānā iva gāṅgeyo mahāstraṃ saṃjahāra tat /	vimAnAH iva gAFgeyaH mahA-astram saMjahAra tat /
   brahmalokābikāmeṣu yudhyamāneṣu rājasu // Bhmj_6.466 //	brahma-loka-abi-kAmezu yuDyamAnezu rAjasu // Bhmd-_6.466 //
   vīrāṇāṃ bhīṣmaviśikhairayuteṣu patatsu ca /	vIrANAm BIzma-viSiKEH-ayutezu patatsu ca /
   dārayantaṃ parānīkaṃ tametya vasavo 'bruvan // Bhmj_6.467 //	dArayantam para-anIkam tam-etya vasavaH abruvan // Bhmd-_6.467 //
   bhīṣma saṃnyāsakālo 'yaṃ tavāsmadabhikāṅkṣitaḥ /	BIzma saMnyAsa-kAlaH ayam tava-asmad-aBikAFkzitaH /
   tataḥ ślathodyame tasminprasanne bhuvanatraye // Bhmj_6.468 //	tatas SlaTa-udyame tasmin-prasanne Buvanatraye // Bhmd-_6.468 //
   arjunapramukhāḥ sarve sāyakaistamapūrayan /	arjuna-pramuKAH sarve sAyakEH-tam-apUrayan /
   chidyamāneṣu bāleṣu tasya tūrṇaṃ kirīṭinā // Bhmj_6.469 //	CidyamAnezu bAlezu tasya tUrNam kirIwinA // Bhmd-_6.469 //
   śikhaṇḍī prāhiṇottasmai hemapuṅkhaśarāvalīm /	SiKaNxI prAhiNot-tasmE hema-puFKa-SarAvalIm /
   śaikhaṇḍīṃ śaramālāṃ tāṃ śairoṣīmiva peśalām // Bhmj_6.470 //	SEKaNxIm Sara-mAlAm tAm SErozIm-iva peSalAm // Bhmd-_6.470 //
   jagrāha prahasanbhīṣmaḥ kṣaṇaṃ sthagitakārmukaḥ /	jagrAha prahasan-BIzmaH kzaNam sTagita-kArmukaH /
   duryodhanasamādiṣṭānbhīṣmasya ratharakṣiṇaḥ // Bhmj_6.471 //	duryoDana-samAdizwAn-BIzmasya raTa-rakziNaH // Bhmd-_6.471 //
   mohayanbāṇajālena phalguṇastamavākirat /	mohayan-bANa-jAlena PalguNaH-tam-avAkirat /
   vidāryamāṇo nīrandhrairgāṇḍīvānniḥsṛtaiḥ śaraiḥ // Bhmj_6.472 //	vidAryamANaH nIranDrEH-gANxIvAt-niHsRtEH SarEH // Bhmd-_6.472 //
   duḥśāsanaṃ pārśvagataṃ bhīṣmaḥ sasmitamabravīt /	duHSAsanam pArSva-gatam BIzmaH sa-smitam-abravIt /
   naite śikhaṇḍino bāṇāḥ śilāsaṃghātabhedinaḥ // Bhmj_6.473 //	na-ete SiKaNxinaH bANAH SilA-saMGAta-BedinaH // Bhmd-_6.473 //
   viśanti mama marmāṇi bilaṃ viṣadharā iva /	viSanti mama marmANi bilam vizaDarAH iva /
   ete te vajrasaṃsparśā nivātakavacacchidaḥ // Bhmj_6.474 //	ete te vajra-saMsparSAH nivAta-kavaca=-CidaH // Bhmd-_6.474 //
   śarīrahāriṇo ghorāḥ kirātaraṇasākṣiṇaḥ /	SarIra-hAriNaH GorAH kirAtaraNa-sAkziNaH /
   ityuktvā pāṇḍuputrāya śaktiṃ cikṣepa śaktimān // Bhmj_6.475 //	iti-uktvA pANxu-putrAya Saktim cikzepa SaktimAn // Bhmd-_6.475 //
   tāṃ ca śakrasutastūrṇaṃ cakāra viśikhaistridhā /	tAm ca Sakra-sutaH-tUrNam cakAra viSiKEH-triDA /
   sarvāyudheṣu cchinneṣu tato gāṇḍīvadhanvanā // Bhmj_6.476 //	sarva-AyuDezu cCinnezu tatas gANxIvaDanvanA // Bhmd-_6.476 //
   kṣaṇādbabhūva durlakṣyo bhīṣmo nirvivaraiḥ śaraiḥ /	kzaNAt-baBUva durlakzyaH BIzmaH nirvivarEH SarEH /
   yudhyamāneṣu vīreṣu bhūtāviṣṭeṣvivākulam // Bhmj_6.477 //	yuDyamAnezu vIrezu BUta-Avizwezu-iva-Akulam // Bhmd-_6.477 //
   dārume tumule tasminnirvibhāge baladvaye /	dArume tumule tasmin-nirviBAge bala-dvaye /
   aparāhṇe rathādbhīṣmaḥ sahasrāṃśurivāparaḥ // Bhmj_6.478 //	aparAhNe raTAt-BIzmaH sahasrAMSuH-iva-aparaH // Bhmd-_6.478 //
   aspṛṣṭabhūmirviśikhaiḥ papāta mahasāṃ nidhiḥ /	aspRzwa-BUmiH-viSiKEH papAta mahasAm niDiH /
   tasminnipatite vīre ketau sarvadhanuṣmatām // Bhmj_6.479 //	tasmin-nipatite vIre ketO sarva-DanuzmatAm // Bhmd-_6.479 //
   mahatāmapi vīrāṇāṃ hṛdayāni cakampire /	mahatAm-api vIrANAm hRdayAni cakampire /
   tato nivṛtte saṃgrāme hāhākāre nabhaḥspṛśiḥ // Bhmj_6.480 //	tatas nivRtte saMgrAme hAhAkAre naBaHspRSiH // Bhmd-_6.480 //
   divyaṃ bheje nijaṃ bhāvamaluptātmā pitāmahaḥ /	divyam Beje nijam BAvam-alupta-AtmA pitAmahaH /
   ākampamāne bhuvane vāguvācāśarīriṇī // Bhmj_6.481 //	AkampamAne Buvane vAc-uvAca-aSarIriNI // Bhmd-_6.481 //
   bhīṣma kālaṃ pratīkṣasva yogavānuttarāyaṇam /	BIzma kAlam pratIkzasva yogavAn-uttarAyaNam /
   sarvajña dhāraya prāṇānsvacchandanidhano hṛdi // Bhmj_6.482 //	sarvajQa DAraya prANAn-svacCanda-niDanaH hRdi // Bhmd-_6.482 //
   śrutvaitatparamaṃ yogamāsasāda suravrataḥ /	SrutvA-etat-paramam yogam-AsasAda sura-vrataH /
   tatastridaśavāhinyā visṛṣṭa haṃsarūpiṇaḥ // Bhmj_6.483 //	tatas-tridaSa-vAhinyA visRzwa haMsa-rUpiNaH // Bhmd-_6.483 //
   tamevārthaṃ samabhyetya munayo bhīṣmamabruvan /	tam-eva-arTam samaByetya munayaH BIzmam-abruvan /
   sthito 'smīti ca gāṅgeyo nigadya yaśasāṃ nidhiḥ // Bhmj_6.484 //	sTitaH asmi-iti ca gAFgeyaH nigadya yaSasAm niDiH // Bhmd-_6.484 //
   iratalpe gataḥ sarvānkurūnbhītānasāntvayat /	iratalpe gataH sarvAn-kurUn-BItAn-asAntvayat /
   praṇatānatha saṃprāptānpunaḥ kauravapāṇḍavān // Bhmj_6.485 //	praNatAn-aTa saMprAptAn-punar kOrava-pANxavAn // Bhmd-_6.485 //
   aśrupūrṇekṣaṇānūce saṃbhāvya kurupuṃgavaḥ /	aSru-pUrNa-IkzaNAn-Uce saMBAvya kuru-puMgavaH /
   dhāraṇaṃ lambamānasya śiraso me vidhīyatām // Bhmj_6.486 //	DAraNam lambamAnasya SirasaH me viDIyatAm // Bhmd-_6.486 //
   śrutvaitadupadhāneṣu samānīteṣu rājabhiḥ /	SrutvA-etat-upaDAnezu samAnItezu rAjaBiH /
   jagrāha śāsanāttasya tribhiḥ pārthaḥ śaraiḥ śiraḥ // Bhmj_6.487 //	jagrAha SAsanAt-tasya triBiH pArTaH SarEH SiraH // Bhmd-_6.487 //
   bhīṣmastatkarmatuṣṭo 'tha praśaśaṃsa dhanaṃjayam /	BIzmaH-tad-karma-tuzwaH aTa praSaSaMsa DanaMjayam /
   pāṇḍavaiḥ kriyatāṃ saṃdhirityuvāca ca kauravam // Bhmj_6.488 //	pANxavEH kriyatAm saMDiH-iti-uvAca ca kOravam // Bhmd-_6.488 //
   ***** daśamo yuddhadivasaḥ || 31 || *****	***** daSamaH yudDa-divasaH || 31 || *****
   tato rajanyāṃ yātāyāmupāviṣṭeṣu rājasu /	tatas rajanyAm yAtAyAm-upAvizwezu rAjasu /
   sevyamāno munijanairbhīṣmo jalamayācata // Bhmj_6.489 //	sevyamAnaH muni-janEH-BIzmaH jalam-ayAcata // Bhmd-_6.489 //
   maṇikāñcanacitreṣu kalaśeṣvamalāmbhasaḥ /	maNi-kAQcana-citrezu kalaSezu-amala-amBasaH /
   samānīteṣu bhūpālairvyadhānmeghāstramarjunaḥ // Bhmj_6.490 //	samAnItezu BUpAlEH-vyaDAt-meGa-astram-arjunaH // Bhmd-_6.490 //
   tadudbhūtena payasā gāṅgeyastena tarpitaḥ /	tad-udBUtena payasA gAFgeyaH-tena tarpitaH /
   narāvatāraṃ prītātmā sādaraṃ tamapūjayat // Bhmj_6.491 //	nara-avatAram prIta-AtmA sa-Adaram tam-apUjayat // Bhmd-_6.491 //
   mahāratheṣu yāteṣu samāmantryāpagāsutam /	mahA-raTezu yAtezu samAmantrya-ApagA-sutam /
   karṇaḥ prasādayāmāsa tadabhyarcya kṛtāñjaliḥ // Bhmj_6.492 //	karNaH prasAdayAmAsa tat-aByarcya kRtAQjaliH // Bhmd-_6.492 //
   tamuvāca prasannātmā vītamanyuḥ pitāmahaḥ /	tam-uvAca prasanna-AtmA vIta-manyuH pitAmahaH /
   bhajasva pārtheṣu śamaṃ vīrāste bhrātarastava // Bhmj_6.493 //	Bajasva pArTezu Samam vIrAH-te BrAtaraH-tava // Bhmd-_6.493 //
   vaikartanastadākarṇya jagāda vinatānanaḥ /	vEkartanaH-tat-AkarNya jagAda vinata-AnanaH /
   jāne sarvamavaśyaṃ tu bhavitavyamidaṃ prabho // Bhmj_6.494 //	jAne sarvam-avaSyam tu Bavitavyam-idam praBo // Bhmd-_6.494 //
   kiṃtu duryodhanasyārthe suhṛdo mānakāriṇaḥ /	kiMtu duryoDanasya-arTe suhRdaH mAna-kAriNaH /
   anujānīhi māṃ tāta samarāya samudyatam // Bhmj_6.495 //	anujAnIhi mAm tAta samarAya samudyatam // Bhmd-_6.495 //
   iti bruvāṇo bhīṣmeṇa so 'nujñāto varūthinīm /	iti bruvANaH BIzmeNa saH anujQAtaH varUTinIm /
   prayayau kuruputrāṇāṃ rathena ghananādinā // Bhmj_6.496 //	prayayO kuru-putrANAm raTena Gana-nAdinA // Bhmd-_6.496 //
   atha kuruvṛṣabāṇāmaṅgarājotsukānāṃ paraparibhavadīkṣābhagnamānādarāṇām /	aTa kuru-vRza-bANAm-aFga-rAja-utsukAnAm para-pariBava-dIkzA-Bagna-mAna-AdarANAm /
   patihitamanīkaṃ sāmyamāpa drutānāṃ sarayapavanapānīkampitānāṃ vanānām //	pati-hitam-anIkam sAmyam-Apa drutAnAm saraya-pavana-pAnI-kampitAnAm vanAnAm //
   Bhmj_6.497 //	Bhmd-_6.497 //
   iti śrīkṣemendraviracitāyāṃ bhāratamañjaryā bhīṣmaparva	iti SrIkzema-indra-viracitAyAm BAratamaQjaryA BIzma-parva
