   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   kṣuttṛṣāviṣṭadehaśca bhakṣyaṃ pānaṃ na cāpnuyām /	kzuD tRzA Avizwa dehaH ca Bakzyam pAnam na ca ApnuyAm /
   ato vikṛtireṣā vai kṛśātvādiramāṃsakā // GarP_2,9.53 //	atas vikRtiH ezA vE kRSAtu Adira mAMsakAH // GarP_2,9.53 //
   kṣuttṛḍjanyaṃ mahāduḥ khamanubhavāmi punaḥ punaḥ /	kzuD tRz janyam mahA duH Kam anuBavAmi punar punar /
   akalyāṇaṃ hi pretatvaṃ vṛṣotsargaṃ vinā kṛtam // GarP_2,9.54 //	akalyANam hi preta tvam vRzotsargam vinA kRtam // GarP_2,9.54 //
   tasmādrājandayāsindho prārthayāmi tavāgrataḥ /	tasmAt rAjan dayA sinDo prArTayAmi tava agratas /
   rājovāca /	rAjA uvAca /
   vartate matkule preta iti jñeyaṃ kathaṃ naraiḥ // GarP_2,9.55 //	vartate mad kule pretaH iti jQeyam kaTam narEH // GarP_2,9.55 //
   tanmamācakṣva hi preta pretatvānmucyate katham /	tat mama Acakzva hi preta preta tvAt mucyate kaTam /
   preta uvāca /	pretaH uvAca /
   liṅgena pīḍayā preto 'numātavyo naraiḥ sadā // GarP_2,9.56 //	liFgena pIxayA pretaH anumAtavyaH narEH sadA // GarP_2,9.56 //
   vakṣyāmi pīḍāstā rājanyā vai pretakṛtā bhuvi /	vakzyAmi pIxAH tAH rAjanyA vE preta kRtA Buvi /
   ṛtuḥ syādaphalaḥ strīṇāṃ yadā vaṃśo na vardhate // GarP_2,9.57 //	RtuH syAt aPalaH strINAm yadA vaMSaH na varDate // GarP_2,9.57 //
   miyante cālpavayasaḥ sā pīḍā petasambhavā /	miyante ca alpa vayasaH sA pIxA petasamBavAH /
   akasmādvṛttiharaṇamapratiṣṭhā janeṣu vai // GarP_2,9.58 //	akasmAt vRtti haraNam apratizWA janezu vE // GarP_2,9.58 //
   akasmādgahadāhaḥ syātsā pīḍā pretasambhavā /	akasmAt gaha dAhaH syAt sA pIxA preta samBavAH /
   svagehe kalaho nityaṃ syācca mithyābhiśaṃsanapa // GarP_2,9.59 //	sva gehe kalahaH nityam syAt ca miTyA aBiSaMsanapaH // GarP_2,9.59 //
   gajayakṣmādisambhūtiḥ sā pīḍā pretasambhavā /	gaja yakzma Adi samBUtiH sA pIxA preta samBavAH /
   api svayaṃ dhanaṃ muktaṃ prayatnādanave pathi // GarP_2,9.60 //	api svayam Danam muktam prayatnAt anave paTi // GarP_2,9.60 //
   naiva labhyeta naśyetaḥ sā pīḍā pretasaṃmavā /	na eva laByeta naSyetaH sA pIxA preta saMmavAH /
   suvṛṣṭau kṛṣināśaḥ syādvāṇijyādvṛttināśanam // GarP_2,9.61 //	su vRzwO kRzi nASaH syAt vANijyAt vRtti nASanam // GarP_2,9.61 //
   kalatraṃ patikūlaṃ syātsā pīḍā pretasambhavā /	kalatram pati kUlam syAt sA pIxA preta samBavAH /
   evantu pīḍayā rājanpretajñānaṃ bhavennṛṇām // GarP_2,9.62 //	evantu pIxayA rAjan preta jQAnam Bavet nRNAm // GarP_2,9.62 //
   vṛṣotsargo yadi bhavetpretatvānmucyate tadā /	vRzotsargaH yadi Bavet preta tvAt mucyate tadA /
   tasmānnapa tvamapyevaṃ vṛṣotsargaṃ kuru prabho // GarP_2,9.63 //	tasmAt napa tvam api evam vRzotsargam kuru praBo // GarP_2,9.63 //
   māmuddiśya nṛpe 'pyatrādhikāro 'tyanukampayā /	mAm uddiSya nRpe api atra aDikAraH atyanukampayA /
   rājaputro hataḥ kaścinmayaivāptastato mayā // GarP_2,9.64 //	rAja putraH hataH kaScid mayA eva AptaH tatas mayA // GarP_2,9.64 //
   kuruṣva tvaṃ gṛhītvā me taddhanena vṛṣotsavam /	kuruzva tvam gRhItvA me tad Danena vRza utsavam /
   kārtikyāṃ paurṇamāsyāṃ vā'śvayuṅmadhye 'thavā nṛpa // GarP_2,9.65 //	kArtikyAm pOrNamAsyAm vA aSva yuj maDye aTavA nRpa // GarP_2,9.65 //
   revatīyuktadivase kṛṣīṣṭhā me vṛṣotsavam /	revatI yukta divase kRzIzWAH me vRza utsavam /
   puṇyānviprānsamāhūya vahniṃ sthāpya vidhānataḥ // GarP_2,9.66 //	puNyAn viprAn samAhUya vahnim sTApya viDAnataH // GarP_2,9.66 //
   mantrairhemastathā kāryaḥ ṣaḍbhirnṛpa vidhānataḥ /	mantrEH hemaH taTA kAryaH zaxBiH nRpa viDAnataH /
   bahūnviprān bhojayethāstadratnāptadhanena vai /	bahUn viprAn BojayeTAH tad ratna Apta Danena vE /
   evaṃ kṛte mahīpāla mama muktirbhaviṣyati // GarP_2,9.67 //	evam kRte mahIpAla mama muktiH Bavizyati // GarP_2,9.67 //
   śrīkṛṣṇa uvāca /	SrI kRzNaH uvAca /
   tatheti pratijagrāha maṇiṃ rājā tataḥ khaga // GarP_2,9.68 //	taTA iti pratijagrAha maNim rAjA tatas Kaga // GarP_2,9.68 //
   kriyādhikārastasyaiva yo dhanagrāhako bhavet /	kriyA aDikAraH tasya eva yaH Dana grAhakaH Bavet /
   kurvatostu tayorvārtāmevaṃ pretamahīkṣitoḥ // GarP_2,9.69 //	kurvatoH tu tayoH vArtAm evam preta mahIkzitoH // GarP_2,9.69 //
   jhaṇatkārastu ghaṇṭānāṃ bherīṇāṃ bhāṅkṛtistathā /	JaNatkAraH tu GaNwAnAm BerINAm BAFkRtiH taTA /
   jātastadā rājasenā caturaṅgā samāpatat // GarP_2,9.70 //	jAtaH tadA rAja senA caturaFgA samApatat // GarP_2,9.70 //
   tasyāmāgatamātrāyāṃ pretaścādṛśyatāṃ gataḥ /	tasyAm Agata mAtrAyAm pretaH ca adRSya tAm gataH /
   tasmādvanādviniḥ sṛtya rājāpi puramāgamat // GarP_2,9.71 //	tasmAt vanAt viniH sRtya rAjA api puram Agamat // GarP_2,9.71 //
   sa kārtikyāṃ pūrṇimāyāṃ pretamuddiśya saṃvyadhāt /	sa kArtikyAm pUrNimAyAm pretam uddiSya saMvyaDAt /
   vṛṣotsargaṃ vidhānena tanmaṇyāptadhanena ca // GarP_2,9.72 //	vRzotsargam viDAnena tat maNya Apta Danena ca // GarP_2,9.72 //
   preto 'pyayaṃ sapadilabdhasuvarṇadehaḥ karmānta āgata iti praṇanāma bhūpam	pretaH api ayam sapadi labDa suvarNa dehaH karmAntaH AgataH iti praNanAma BUpam
   deva tvadīyamahimāyamiti stuvan sa yāto divaṃ garuḍa bhūpatinā kṛtajñaḥ //	deva tvadIyam ahi mAyam iti stuvan sa yAtaH divam garuxa BUpatinA kRtajQaH //
   GarP_2,9.73 //	GarP_2,9.73 //
   etatte sarvamākhyātaṃ yathā bhūpatināpi saḥ /	etat te sarvam AKyAtam yaTA BUpatinA api saH /
   uddhṛtaḥ pretabhāvādvai kimanyacchrotumicchasi // GarP_2,9.74 //	udDRtaH preta BAvAt vE kim anyat Srotum icCasi // GarP_2,9.74 //
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe dvitīyāṃśe dharmakāṇḍe pretakalpe	iti SrI gAruxe mahApurANe uttara KaNxe dvitIya aMSe Darma kANxe preta kalpe
   śrīkṛṣṇagaruḍasaṃvāde rājakṛtavṛṣotsargakriyādinirūpaṇaṃ nāma navamo	SrI kRzNagaruxasaMvAde rAjakRtavRzotsargakriyAdinirUpaNam nAma navamaH 
   'dhyāyaḥ	aDyAyaH
   śrīgaruḍamahāpurāṇam  10	SrI garuxa mahApurANam 10
   garuḍa uvāca /	garuxaH uvAca /
   sapiṇḍīkaraṇa jāte ābdike ca svakarmabhiḥ /	sapiNxIkaraNa jAte Abdike ca sva karmaBiH /
   devatvaṃ vā manuṣyatvaṃ pakṣitvaṃ vāpnuyurnarāḥ // GarP_2,10.1 //	deva tvam vA manuzya tvam pakzi tvam vA ApnuyuH narAH // GarP_2,10.1 //
   teṣāṃ vibhinnāhārāṇāṃ śrāddhaṃ vai tṛptidaṃ katham /	tezAm viBinna AhArANAm SrAdDam vE tRpti dam kaTam /
   yadapyanyairdvijairbhuktaṃ hūyate yadi vānale // GarP_2,10.2 //	yat api anyEH dvijEH Buktam hUyate yadi vA anale // GarP_2,10.2 //
   śubhāśubhātmakaiḥ pretastaddattaṃ bhujyate katham /	SuBa aSuBa AtmakEH pretaH tat dattam Bujyate kaTam /
   śrāddhasyāvaśyakatvantu āmāvāsyādiṣu śrutam // GarP_2,10.3 //	SrAdDasya AvaSyakatvantu AmAvAsya Adizu Srutam // GarP_2,10.3 //
   śrībhagavānuvāca /	SrI BagavAn uvAca /
   pretānāṃ śṛṇu pakṣīndra yathā śrāddhantu tṛptidam /	pretAnAm SRNu pakzi indra yaTA SrAdDantu tRpti dam /
   devo yadapi jāto 'yaṃ manuṣyaḥ karmayogataḥ // GarP_2,10.4 //	devaH yat api jAtaH ayam manuzyaH karma yogataH // GarP_2,10.4 //
   tasyānnamamṛtaṃ bhūtvā devatve 'pyanuyāti ca /	tasya annam amRtam BUtvA deva tve api anuyAti ca /
   gāndhavye bhogarūpeṇa paśutve ca tṛṇaṃ bhavet // GarP_2,10.5 //	gAnDavye Boga rUpeNa paSutve ca tRNam Bavet // GarP_2,10.5 //
   śrāddhaṃ hi vāyurūpeṇa nāgatve 'pyanugacchati /	SrAdDam hi vAyu rUpeNa nAga tve api anugacCati /
   phalaṃ bhavati pakṣitve rākṣaseṣu tathāmiṣam // GarP_2,10.6 //	Palam Bavati pakzi tve rAkzasezu taTA Amizam // GarP_2,10.6 //
   dānavatve tathā māṃsaṃ pretatverudhiraṃ tathā /	dAnava tve taTA mAMsam preta tveruDiram taTA /
   manuṣyatve 'nnapānādi bālye bhogaraso bhavet // GarP_2,10.7 //	manuzya tve anna pAna Adi bAlye Boga rasaH Bavet // GarP_2,10.7 //
   garuḍa uvāca /	garuxaH uvAca /
   kathaṃ kavyāni dattāni havyāni ca janairiha /	kaTam kavyAni dattAni havyAni ca janEH iha /
   gacchanti pitṛlokaṃ vā prāpakaḥ ko 'tra gadyate // GarP_2,10.8 //	gacCanti pitR lokam vA prApakaH kaH atra gadyate // GarP_2,10.8 //
   mṛtānāmapi jantūnāṃ śrāddhamāpyāyanaṃ yadi /	mRtAnAm api jantUnAm SrAdDam Apya ayanam yadi /
   nirvāṇasya pradīpasya tailaṃ saṃvardhayecchikhām // GarP_2,10.9 //	nirvANasya pradIpasya tElam saMvarDayet SiKAm // GarP_2,10.9 //
   mṛtāśca puruṣāḥ svāmin svakarmajanitāṃ gatim /	mRtAH ca puruzAH svAmin sva karma janitAm gatim /
   gāhantaḥ ke kathaṃ svasya sutasya śreya āpnuyuḥ // GarP_2,10.10 //	gAhantaH ke kaTam svasya sutasya SreyaH ApnuyuH // GarP_2,10.10 //
   śrībhagavānuvāca /	SrI BagavAn uvAca /
   śruteḥ pratyakṣatastārkṣya prāmāṇyaṃ balavattaram /	SruteH pratyakzataH tArkzya prAmANyam balavattaram /
   śrutyā tuḥ bodhitārthasya pīyūṣatvādirūpatā // GarP_2,10.11 //	SrutyA tuH boDita arTasya pIyUza tva Adi rUpa tA // GarP_2,10.11 //
   nāmagotraṃ pitṝṇāṃ vai prāpakaṃ havyakavyayoḥ /	nAma gotram pitLNAm vE prApakam havya kavyayoH /
   śrāddhasya mantrāstadvattu prāpakāścaiva bhaktitaḥ // GarP_2,10.12 //	SrAdDasya mantrAH tadvat tu prApakAH ca eva BaktitaH // GarP_2,10.12 //
   acetanāni caitāni prāpayanti kathantviti /	acetanAni ca etAni prApayanti kaTantu iti /
   suparṇa nāvagantavyaṃ prāpakaṃ vacmi te 'param // GarP_2,10.13 //	suparNa na avagantavyam prApakam vacmi te aparam // GarP_2,10.13 //
   agniṣvāttādayasteṣā mādhipatye vyavasthitāḥ /	agnizvAtta AdayaH tezAH mA ADipatye vyavasTitAH /
   kāle nyāyāgataṃ pātre vidhinā pratipāditam // GarP_2,10.14 //	kAle nyAya Agatam pAtre viDinA pratipAditam // GarP_2,10.14 //
   annaṃ nayanti tatraite janturyatrāvatiṣṭhate /	annam nayanti tatra ete jantuH yatra avatizWate /
   nāma gotrañca mantrāśca dattamannaṃ nayanti te // GarP_2,10.15 //	nAma gotraQca mantrAH ca dattam annam nayanti te // GarP_2,10.15 //
   api yoniśataṃ prāptāṃstāṃstṛptirupatiṣṭhati /	api yoni Satam prAptAn= tAn= tRptiH upatizWati /
   teṣāṃ lokāntarasthānāṃ vividhairnāmagotrakaiḥ // GarP_2,10.16 //	tezAm loka antara sTAnAm viviDEH nAma gotrakEH // GarP_2,10.16 //
   apasavyaṃ kṣitau darbhe dattāḥ piṇḍāstrayastu vai /	apasavyam kzitO darBe dattAH piNxAH trayaH tu vE /
   yānti tāṃstarpayantyevaṃ pretasthānasthitānpitṝn // GarP_2,10.17 //	yAnti tAn= tarpayanti evam preta sTAna sTitAn pitLn // GarP_2,10.17 //
   aprāptayātanāsthānāḥ śreṣṭhā ye bhuvi pañcadhā /	aprApta yAtanA sTAnAH SrezWAH ye Buvi paQcaDA /
   nānārūpāstu jātā ye tiryagyonyādijātiṣu // GarP_2,10.18 //	nAnA rUpAH tu jAtAH ye tiryagyonyAdi jAtizu // GarP_2,10.18 //
   yadāhārā bhavantyete pitaro yatra yoniṣu /	yad AhArAH Bavanti ete pitaraH yatra yonizu /
   tāsutāsu tadāhāraḥ śrāddhā avatiṣṭhati // GarP_2,10.19 //	tAsutAsu tad AhAraH SrAdDAH avatizWati // GarP_2,10.19 //
   yathā goṣu pranaṣṭāsu vatso vindati mātaram /	yaTA gozu pranazwAsu vatsaH vindati mAtaram /
   tathānnaṃ nayate vipra janturyatrāvatiṣṭhate // GarP_2,10.20 //	taTA annam nayate vipra jantuH yatra avatizWate // GarP_2,10.20 //
   pitaraḥ śrāddhamoktāro viśverdevaiḥ sadā saha /	pitaraH SrAdDa moktAraH viSveH devEH sadA saha /
   ete śrāddhaṃ sadā bhuktvā pitṝnsantarpayantyataḥ // GarP_2,10.21 //	ete SrAdDam sadA BuktvA pitLn santarpayanti atas // GarP_2,10.21 //
   vasurudrāditisutāḥ pitaraḥ śrāddhadevatāḥ /	vasu rudrAt iti sutAH pitaraH SrAdDa devatAH /
   prīṇayāte manuṣyāṇāṃ pitṝñśrāddheṣu tarpitāḥ // GarP_2,10.22 //	prINa yAte manuzyANAm pitLn SrAdDezu tarpitAH // GarP_2,10.22 //
   ātmānaṃ gurviṇī garbhamapi prīṇāti vai yathā /	AtmAnam gurviNI garBam api prINAti vE yaTA /
   dohadena tathā devāḥ śrāddhaiḥ svāṃśca pitṝnnṛṇām // GarP_2,10.23 //	dohadena taTA devAH SrAdDEH svAn= ca pitLn nRNAm // GarP_2,10.23 //
   hṛṣyanti pitaraḥ śrutvā śrāddhakālamupasthitam /	hRzyanti pitaraH SrutvA SrAdDa kAlam upasTitam /
   anyonyaṃ manasā dhyātvā sampatanti manojavam // GarP_2,10.24 //	anyonyam manasA DyAtvA sampatanti manojavam // GarP_2,10.24 //
   brāhmaṇaiḥ saha cāśranti pitaro hyantarikṣagāḥ /	brAhmaNEH saha ca ASranti pitaraH hi antarikza gAH /
   vāyubhūtāśca tiṣṭhanti bhuktvā yānti parāṃ gatim // GarP_2,10.25 //	vAyu BUtAH ca tizWanti BuktvA yAnti parAm gatim // GarP_2,10.25 //
   nimantritāstu ye viprāḥ śrāddhapūrvadineḥ khaga /	nimantritAH tu ye viprAH SrAdDa pUrva dineH Kaga /
   praviśya pitarasteṣu bhuktvā yānti svamālayam // GarP_2,10.26 //	praviSya pitaraH tezu BuktvA yAnti svam Alayam // GarP_2,10.26 //
   śrāddhakartrā tu yadyekaḥ śrāddhe vipro nimantritaḥ /	SrAdDa kartrA tu yadi ekaH SrAdDe vipraH nimantritaH /
   udarasthaḥ pitā tasya vāmapārśve pitāmahaḥ // GarP_2,10.27 //	udara sTaH pitA tasya vAma pArSve pitAmahaH // GarP_2,10.27 //
   prapitāmaho dakṣiṇataḥ pṛṣṭhataḥ piṇḍabhakṣakaḥ /	prapitAmahaH dakziNatas pRzWatas piNxaBakzakaH /
   śrāddhakāle yamaḥ pretānpitṝṃścāpi yamālayāt // GarP_2,10.28 //	SrAdDa kAle yamaH pretAn pitLn= ca api yama AlayAt // GarP_2,10.28 //
   visarjayati mānuṣye nirayasthāṃśca kāśyapa /	visarjayati mAnuzye niraya sTAn= ca kASyapa /
   kṣudhārtāḥ kīrtayantaśca duṣkṛtañca svayaṅkṛtam // GarP_2,10.29 //	kzuDA ArtAH kIrtayantaH ca duzkRtaQca svayaFkRtam // GarP_2,10.29 //
   kāṅkṣanti putrapautrebhyaḥ pāyasaṃ madhusaṃyutam /	kAFkzanti putra pOtreByaH pAyasam maDu saMyutam /
   tasmāttāṃstatra vidhinā tarpayetpāyasena tu // GarP_2,10.30 //	tasmAt tAn= tatra viDinA tarpayet pAyasena tu // GarP_2,10.30 //
   garuḍa uvāca /	garuxaH uvAca /
   svāminkenāpi te dṛṣṭā āgatāḥ pitaro dvija /	svAmin kena api te dRzwAH AgatAH pitaraH dvija /
   lokādamuṣmādāgatya bhuñjanto bhuvi mānada // GarP_2,10.31 //	lokAt amuzmAt Agatya BuQjantaH Buvi mAnada // GarP_2,10.31 //
   śrībhagavānuvāca /	SrI BagavAn uvAca /
   garutmañchṛṇu vakṣyāmi yathā dṛṣṭāstu sītayā /	garutman SRNu vakzyAmi yaTA dRzwAH tu sItayA /
   pitaro vipradehe vai śvaśurādyāstrayaḥ kvacit // GarP_2,10.32 //	pitaraH vipra dehe vE SvaSura AdyAH trayaH kvacid // GarP_2,10.32 //
   gṛhītvā piturājñāṃ vai rāmo vanamupāgamat /	gRhItvA pituH AjQAm vE rAmaH vanam upAgamat /
   tataḥ puṣkarayātrārthaṃ rāmo 'yātsītayā saha // GarP_2,10.33 //	tatas puzkara yAtrA arTam rAmaH ayAtsItayA saha // GarP_2,10.33 //
   tīrthaṃ cāpi samāgatya śrāddhaṃ prārabdha vāṃstu saḥ /	tIrTam ca api samAgatya SrAdDam prArabDa vAn= tu saH /
   phalaṃ pakvantu jānakyā siddhaṃ rāme niveditam // GarP_2,10.34 //	Palam pakvantu jAnakyA sidDam rAme niveditam // GarP_2,10.34 //
   snātapriyoktavākyāttu susnātā namapālayat /	snAta priyA ukta vAkyAt tu su snAtA nam apAlayat /
   nabhomadhyagate sūrye kāle kutupa āgate // GarP_2,10.35 //	naBaH maDya gate sUrye kAle kutupaH Agate // GarP_2,10.35 //
   ayātā ṛḥṣayaḥ sarve ye rāmeṇa nimantritāḥ /	ayAtAH RHzayaH sarve ye rAmeNa nimantritAH /
   tānmunīnāgatāndṛṣṭvā vaidehī janakātmakā // GarP_2,10.36 //	tAn munIn AgatAn dRzwvA vEdehI janaka AtmakAH // GarP_2,10.36 //
   rāmājñayānnamādāya pariveṣṭumupāgatā /	rAma AjQayA annam AdAya parivezwum upAgatA /
   apāsarpattato dūre vipramadhye tu saṃsthitā // GarP_2,10.37 //	apAsarpat tatas dUre vipra maDye tu saMsTitAH // GarP_2,10.37 //
   gulmairācchādya cātmānaṃ nigūḍhaṃ sā sthitā tadā /	gulmEH AcCAdya ca AtmAnam nigUXam sA sTitA tadA /
   ekānte tu tadā sītāṃ jñātvā rāghavanandanaḥ // GarP_2,10.38 //	ekAnte tu tadA sItAm jQAtvA rAGava nandanaH // GarP_2,10.38 //
   vimṛśya suciraṃ kālamidaṃ kimiti satvaram /	vimRSya su ciram kAlam idam kim iti sa tvaram /
   kiñcitkvacidgatā sādhvī trapāyāḥ kāraṇena hi // GarP_2,10.39 //	kiQcid kvacid gatA sADvI trapAyAH kAraNena hi // GarP_2,10.39 //
   kiṃ vā na bhojayanviprānsī tāmanveṣayāmyaham /	kim vA na Bojayan viprAn sI tAm anvezayAmi aham /
   vimṛśannevamevaṃ sa svayaṃ viprānabhojayat // GarP_2,10.40 //	vimRSan= evam evam sa svayam viprAn aBojayat // GarP_2,10.40 //
   gateṣu dvijamukhyeṣu priyāṃ rāmo 'bravīdidam /	gatezu dvija muKyezu priyAm rAmaH abravIt idam /
   kathaṃ talāsu līnā tvaṃ munīndṛṣṭvā samāgatān // GarP_2,10.41 //	kaTam talAsu lInA tvam munIn dRzwvA samAgatAn // GarP_2,10.41 //
   tatsarvaṃ mama tanvaṅgi kāraṇaṃ vada mā ciram /	tat sarvam mama tanvaFgi kAraNam vada mA ciram /
   evamuktā tadā bhartrā sītā sādhomukhī sthitā /	evam uktA tadA BartrA sItA sa aDomuKI sTitA /
   muñcantī cāśrusaṃghātaṃ rāghavaṃ vākyamabravīt // GarP_2,10.42 //	muQcantI ca aSru saMGAtam rAGavam vAkyam abravIt // GarP_2,10.42 //
   sītovāca /	sItA uvAca /
   śṛṇu tvaṃ nātha yaddṛṣṭamāścaryamiha yādṛśam // GarP_2,10.43 //	SRNu tvam nATa yat dRzwam AScaryam iha yAdRSam // GarP_2,10.43 //
   pitā tava mayā dṛṣṭo brāhmaṇāgre tu rāghavaḥ /	pitA tava mayA dRzwaH brAhmaNa agre tu rAGavaH /
   sarvābharaṇasaṃyuktodvau cānyau ca tathāvidhau // GarP_2,10.44 //	sarva ABaraNa saMyukta udvO ca anyO ca taTAviDO // GarP_2,10.44 //
   dṛṣṭvā tvatpitarañcāhamapakrāntā tavāntikāt /	dRzwvA tvad pitaraQcA aham apakrAntA tava antikAt /
   valkalājinasaṃvītā kathaṃ rājñaḥ puraḥ prabho // GarP_2,10.45 //	valkala ajina saMvItA kaTam rAjQaH puras praBo // GarP_2,10.45 //
   bhavāmi ripuvīraghna satyametaduhāhṛtam /	BavAmi ripu vIra Gna satyam etat uha AhRtam /
   svahastena kathaṃ deyaṃ rājñe vā bhojanaṃ mayā // GarP_2,10.46 //	sva hastena kaTam deyam rAjQe vA Bojanam mayA // GarP_2,10.46 //
   dāsānāmapi ye dāsā nopabhuñjanti karhicit /	dAsAnAm api ye dAsAH na upaBuQjanti karhicit /
   tṛṇapātre kathaṃ tasmai annaṃ dātuṃ hi śakruyām // GarP_2,10.47 //	tRNa pAtre kaTam tasmE annam dAtum hi SakruyAm // GarP_2,10.47 //
   yāhaṃ rājñā purā dṛṣṭā sarvābharaṇabhūṣitā /	yA aham rAjQA purA dRzwA sarva ABaraNa BUzitA /
   sā svedamaladigdhāṅgī kathaṃ yāsyāmi bhūpatim /	sA sveda mala digDa aFgI kaTam yAsyAmi BUpatim /
   apakṛṣṭāsmi tenāhaṃ trapayā raghunandana /	apakRzwA asmi tena aham trapayA raGunandana /
   śrībhāgavānuvāca // GarP_2,10.48 //	SrI BAgavAn uvAca // GarP_2,10.48 //
   iti śrutvā priyāvākyaṃ rāmo vismitamānasaḥ // GarP_2,10.49 //	iti SrutvA priyA vAkyam rAmaH vismita mAnasaH // GarP_2,10.49 //
   āścaryamiti tajjñātvā tadā svasthānamāgamat /	AScaryam iti tat jQAtvA tadA sva sTAnam Agamat /
   sītayā pitaro dṛṣṭā yathā tatte niveditam // GarP_2,10.50 //	sItayA pitaraH dRzwA yaTA tat te niveditam // GarP_2,10.50 //
   aparaṃ śrāddhamāhātmyaṃ kiñcicchṛṇu samāsataḥ /	aparam SrAdDa mAhAtmyam kiQcid SRNu samAsatas /
   amāvasyādine prāpte gṛhadvāre samāsthitāḥ // GarP_2,10.51 //	amAvasya Adine prApte gRha dvAre samAsTitAH // GarP_2,10.51 //
   vāyubhūtāḥ pravāñchanti śrāddhaṃ pitṛgaṇā nṛṇām /	vAyu BUtAH pravAQCanti SrAdDam pitR gaNAH nRNAm /
   yāvadastamayaṃ bhānoḥ kṣutpipāsāsamākulāḥ // GarP_2,10.52 //	yAvat astamayam BAnoH kzuD pipAsA samAkulAH // GarP_2,10.52 //
   tataścāstaṃ gate sūrye nirāśā duḥ khasaṃyutāḥ /	tatas ca astam gate sUrye nirASAH duH Ka saMyutAH /
   niḥ śvasantaściraṃ yānti garhayantastu vaṃśajam // GarP_2,10.53 //	niH SvasantaH ciram yAnti garhayantaH tu vaMSa jam // GarP_2,10.53 //
   tasmācchrāddhaṃ prayatnena amāyāṃ kartumarhati /	tasmAt SrAdDam prayatnena amAyAm kartum arhati /
   yadi śrāddhaṃ prakurvanti putrādyāstasya bāndhavāḥ // GarP_2,10.54 //	yadi SrAdDam prakurvanti putra AdyAH tasya bAnDavAH // GarP_2,10.54 //
   uddhṛtā ye gayāśrāddhe brahmalokañca taiḥ saha /	udDRtAH ye gayA SrAdDe brahma lokaQca tEH saha /
   bhajante kṣutpipāsā vā na teṣāṃ jāyate kvacit // GarP_2,10.55 //	Bajante kzuD pipAsA vA na tezAm jAyate kvacid // GarP_2,10.55 //
   tasmācchrāddhaṃ prayatnena samyakkuryādvicakṣaṇaḥ /	tasmAt SrAdDam prayatnena samyak kuryAt vicakzaNaH /
   tasmācchrāddhaṃ caredbhaktyā śākairapi yathāvidhi // GarP_2,10.56 //	tasmAt SrAdDam caret BaktyA SAkEH api yaTAviDi // GarP_2,10.56 //
   kurvīta samaye śrāddhaṃ kule kaścinna sīdati /	kurvIta samaye SrAdDam kule kaScid na sIdati /
   āyuḥ putrānyaśaḥ svargaṃ kīrtiṃ puṣṭiṃ balaṃ śriyam // GarP_2,10.57 //	AyuH putrAn yaSaH svargam kIrtim puzwim balam Sriyam // GarP_2,10.57 //
   paśūnsāraivyaṃ dhanaṃ dhānyaṃ prāpnuyātpitṛpūjanāt /	paSUn sArA evyam Danam DAnyam prApnuyAt pitR pUjanAt /
   devakāryādapi sadā pitṛkāryaṃ viśiṣyate // GarP_2,10.58 //	deva kAryAt api sadA pitR kAryam viSizyate // GarP_2,10.58 //
   devatābhyaḥ pitṝṇāṃ hi pūrvamāpyāyanaṃ śubham /	devatAByaH pitLNAm hi pUrvam ApyAyanam SuBam /
   ye yajanti pitṝndevānbrāhmaṇāṃśca hutāśanam // GarP_2,10.59 //	ye yajanti pitLn devAn brAhmaNAn= ca hutASanam // GarP_2,10.59 //
   sarvabhūtāntarātmānaṃ māmeva hi yajanti te /	sarva BUta antarAtmAnam mAm eva hi yajanti te /
   smārtena vidhinā śrāddhaṃ kṛtvā svavibhavocitam // GarP_2,10.60 //	smArtena viDinA SrAdDam kRtvA sva viBava ucitam // GarP_2,10.60 //
   ābrāhmastambaparyantaṃ jagatprīṇāti mānavaḥ /	AbrAhma stamba paryantam jagat prINAti mAnavaH /
   annaprakiraṇaṃ yattu manuṣyaiḥ kriyate bhuvi // GarP_2,10.61 //	anna prakiraNam yat tu manuzyEH kriyate Buvi // GarP_2,10.61 //
   tena tuptimupāyānti ye piśācatvamāgatāḥ /	tena tuptim upAyAnti ye piSAca tvam AgatAH /
