   darpadalanam	darpa-dalanam
   paṅkakalilaklinnastaṭe śuṣyati // KDarp_4.73 //	paFka-kalila-klinnaH-tawe Suzyati // KDarp_4.73 //
   vairūpyaṃ sahajaṃ jarāhṛtaruciryāto yayātiḥ purā kāntyā	vErUpyam sahajam jarA-hRta-ruciH-yAtaH yayAtiH purA kAntyA
   tarjitakāmakīrtirabhavaddurdarśamūrtirnalaḥ /	tarjita-kAma-kIrtiH-aBavat-durdarSa-mUrtiH-nalaH /
   saudāsasya manoharaṃ vapurabhūtsaṃtrāsanaṃ dehināṃ rūpe kasya bhaviṣyati	sOdAsasya manoharam vapuH-aBUt-saMtrAsanam dehinAm rUpe kasya Bavizyati
   pratidinamlāyinyanitye dhṛtiḥ // KDarp_4.74 //	pratidina-mlAyinya-nitye DRtiH // KDarp_4.74 //
   tasmādasthirarūpaṃ vicārya rūpaṃ bhavasvarūpaṃ ca /*	tasmAt-asTira-rUpam vicArya rUpam Bava-svarUpam ca /*
   anurūpamadanaśamanaṃ sthirapadasaṃprāptaye sudhiyām // KDarp_4.75 //*	anurUpa-madana-Samanam sTira-pada-saMprAptaye suDiyAm // KDarp_4.75 //*
   pañcamo vicāraḥ	paQcamaH vicAraH
   ahaṃ śūraḥ krūrapratibhaṭaghaṭāpāṭanapaṭus tarasvī senāyāṃ	aham SUraH krUra-pratiBawa-GawA-pAwana-pawuH tarasvI senAyAm
   hayagajaghaṭānāmadhipatiḥ /	haya-gaja-GawAnAm-aDipatiH /
   iti prauḍhaḥ puṃsāṃ nijabhujabalākrāntajagatāṃ bhavatyantardarpaḥ	iti prOXaH puMsAm nija-Buja-bala-AkrAnta-jagatAm Bavati-antar-darpaH
   paribhavapadaṃ kālagalitaḥ // KDarp_5.1 //	pariBava-padam kAlagalitaH // KDarp_5.1 //
   śauryeṇa darpaḥ puruṣasya ko 'yaṃ dṛṣṭastiraścāmapi śūrabhāvaḥ /	SOryeNa darpaH puruzasya kaH ayam dRzwaH-tiraScAm-api SUra-BAvaH /
   aucityahīnaṃ vinayavyapetaṃ dayādaridraṃ na vadanti śauryam // KDarp_5.2	Ocitya-hInam vinaya-vyapetam dayA-daridram na vadanti SOryam // KDarp_5.2
   bālasya śauryaṃ kusumopamasya mātuḥ prahāre praṇayasmiteṣu /	bAlasya SOryam kusuma-upamasya mAtuH prahAre praNaya-smitezu /
   vṛddhasya śauryaṃ śithilāṅgasaṃdheḥ svaślāghayā pūrvakathāpatheṣu //	vRdDasya SOryam SiTila-aFga-saMDeH sva-SlAGayA pUrva-kaTA-paTezu //
   KDarp_5.3 //	KDarp_5.3 //
   vayastribhāge taruṇasya śauryaṃ yadeva darpaprabhavābhibhūtam /	vayaH-tri-BAge taruNasya SOryam yat-eva darpa-praBava-aBiBUtam /
   taccittavṛttervividhasvabhāvāt paryāyaśo yātyativaiparītyam // KDarp_5.4	tad-citta-vRtteH-viviDa-svaBAvAt paryAyaSaH yAti-ati-vEparItyam // KDarp_5.4
   cittasya jātyānilacañcalasya nānāguṇatvātkriyate kimasya // KDarp_5.5 //	cittasya jAtyA-anila-caQcalasya nAnA-guNa-tvAt-kriyate kim-asya // KDarp_5.5 //
   hyo yena bhagnāḥ purato 'risenā bhītaḥ sa evādya bhavatyadhīraḥ /	hyas yena BagnAH puratas ari-senA BItaH saH eva-adya Bavati-aDIraH /
   vṛtreṇa śakraḥ samare nigīrṇaḥ phenena śakraḥ sa jaghāna vṛtram //	vRtreNa SakraH samare nigIrNaH Penena SakraH sa jaGAna vRtram //
   KDarp_5.6 //	KDarp_5.6 //
   ekaṃ samāliṅgati darpalolā kṣībeva veśyā nahi rājalakṣmīḥ // KDarp_5.7 //	ekam samAliFgati darpa-lolA kzIbA-iva veSyA na-hi rAja-lakzmIH // KDarp_5.7 //
   yaḥ kārtavīryasya ca doḥsahasraṃ viccheda vīro nahi yudhi jāmadagnyaḥ /*	yaH kArtavIryasya ca dos-sahasram vicCeda vIraH na-hi yuDi jAmadagnyaH /*
   sa sāyake rāmakarādhirūḍhe brāhmaṇyadainyapraṇayī babhūva // KDarp_5.8 //*	sa sAyake rAma-kara-aDirUXe brAhmaNya-dEnya-praNayI baBUva // KDarp_5.8 //*
   rāmo 'pi sāhāyakalābhalobhāccakre kapeḥ saṃśrayadainyasevām /*	rAmaH api sAhAya-kalABa-loBAt-cakre kapeH saMSraya-dEnya-sevAm /*
   śūrapratāpaḥ śiśirartuneva kālena līḍhastanutāmupaiti // KDarp_5.9 //*	SUra-pratApaH SiSira-RtunA-iva kAlena lIXaH-tanu-tAm-upEti // KDarp_5.9 //*
   vālī prasahya plavagaḥ kareṇa sollāsakailāsasahaṃ daśāsyam /	vAlI prasahya plavagaH kareNa sa-ullAsa-kElAsa-saham daSa-Asyam /
   nikṣipya kakṣāñcalasaṃdhibandhe saptābdhisaṃdhyāvidhimanvatiṣṭhat //	nikzipya kakzA-aQcala-saMDi-banDe sapta-abDi-saMDyA-viDim-anvatizWat //
   KDarp_5.10 //	KDarp_5.10 //
   yuddhoddhatā bhūpatayaḥ prasiddhā baddhā jarāsaṃdhanṛpeṇa pūrvam /	yudDa-udDatAH BUpatayaH prasidDAH badDA jarAsaMDa-nRpeNa pUrvam /
   sabhīmasenena bhujāyudhena dvidhā kṛtaḥ saṃdhividāraṇena // KDarp_5.11 //	sa-BImasenena Buja-AyuDena dviDA kRtaH saMDi-vidAraNena // KDarp_5.11 //
   bhīmo 'pi karṇena vikīrṇadhairyaḥ pramūḍhaśaktiḥ kṛpayā vimuktaḥ /	BImaH api karNena vikIrNa-DEryaH pramUXa-SaktiH kRpayA vimuktaH /
   karṇe 'rjunasyātatakārmukasya kṣaṇātkṣaṇaṃ yācakatāṃ prayātaḥ //	karNe arjunasya-Atata-kArmukasya kzaNAt-kzaNam yAcaka-tAm prayAtaH //
   KDarp_5.12 //	KDarp_5.12 //
   tyaktvārjunaḥ kṛṣṇakalatravargaṃ jagāma gopālabalābhibhūtaḥ /	tyaktvA-arjunaH kRzNa-kalatra-vargam jagAma gopAla-bala-aBiBUtaH /
   na jñāyate daivapathānuyātā śauryasya vṛttiḥ karikarṇalolā // KDarp_5.13	na jQAyate dEva-paTa-anuyAtA SOryasya vRttiH kari-karNa-lolA // KDarp_5.13
   bhīruḥ śūratvamāyāti śūro 'pyāyāti bhīrutām /	BIruH SUra-tvam-AyAti SUraH api-AyAti BIru-tAm /
   na kvaciccapalasyāsya śauryasya niyatā sthitiḥ // KDarp_5.14 //	na kvacid-capalasya-asya SOryasya niyatA sTitiH // KDarp_5.14 //
   bāṇastryakṣeṇa kaṃsāri- cakradhārāpathātithiḥ /	bANaH-tri-akzeNa kaMsAri cakraDArA-paTa-atiTiH /
   ājanmabhaktipraṇayī rakṣaṇārho na rakṣitaḥ // KDarp_5.15 //	Ajanma-Bakti-praNayI rakzaNa-arhaH na rakzitaH // KDarp_5.15 //
   vegāpte kālayavane mucukundamaśiśriyat /	vega-Apte kAlayavane mucukundam-aSiSriyat /
   śauriḥ śayanaparyaṅka- talasaṃkucitākṛtiḥ // KDarp_5.16 //	SOriH Sayana-paryaFka tala-saMkucita-AkRtiH // KDarp_5.16 //
   śiśupālasya śirasi cchinne cakreṇa cakriṇā /	SiSupAlasya Sirasi cCinne cakreNa cakriNA /
   dṛṣṭiḥ kṛtā na cāpeṣu nṛpaistatpakṣipātibhiḥ // KDarp_5.17 //	dRzwiH kRtA na cApezu nRpEH-tad-pakzi-pAtiBiH // KDarp_5.17 //
   bhīmaniṣpīyamāṇasṛg dṛṣṭo duryodhanānujaḥ /	BIma-nizpIyamANa-sRj dRzwaH duryoDana-anujaH /
   aśastrābhireva strībhir droṇakarṇakṛpādibhiḥ // KDarp_5.18 //	aSastrABiH-eva strIBiH droNa-karNa-kRpa-AdiBiH // KDarp_5.18 //
   sphārājagarasaṃruddha- bhujadvandvo vṛkodaraḥ /	sPAra-ajagara-saMrudDa Buja-dvandvaH vRkodaraH /
   jananīkaruṇākranda- ninādamukharo 'bhavat // KDarp_5.19 //	jananI-karuNA-Akranda ninAda-muKaraH aBavat // KDarp_5.19 //
   mahatāmapi pūrveṣām evaṃrūpā madakṣitiḥ /	mahatAm-api pUrvezAm evaMrUpA mada-kzitiH /
   sāmānyavikramoddāma- ślāghā kenābhinandyate // KDarp_5.20 //	sAmAnya-vikrama-uddAma SlAGA kena-aBinandyate // KDarp_5.20 //
   aśakte raudratātaikṣṇyaṃ tīvrapāpeṣu dhīratā /	aSakte rOdra-tA-tEkzNyam tIvra-pApezu DIra-tA /
   chadmadhīrvāci pāruṣyaṃ nīcānāṃ śauryamīdṛśam // KDarp_5.21 //	Cadma-DIH-vAci pAruzyam nIcAnAm SOryam-IdRSam // KDarp_5.21 //
   niṣkāraṇanṛśaṃsasya śauryaṃ hiṃsratvamucyate /	nizkAraNa-nRSaMsasya SOryam hiMsra-tvam-ucyate /
   yaḥ sarpa iva saṃnaddhaḥ prāṇabhādhāya dehinām // KDarp_5.22 //	yaH sarpaH iva saMnadDaH prANa-BADAya dehinAm // KDarp_5.22 //
   etadeva paraṃ śauryaṃ yatparaprāṇarakṣaṇam /	etat-eva param SOryam yat-para-prANa-rakzaNam /
   nahi prāṇaharaḥ śūraḥ śūraḥ prāṇaprado 'rthinām // KDarp_5.23 //	na-hi prANa-haraH SUraH SUraH prANa-pradaH arTinAm // KDarp_5.23 //
   na kaścidbuddhihīnasya śauryeṇa kriyate guṇaḥ /	na kaScid-budDi-hInasya SOryeNa kriyate guNaH /
   parjanyagarjitāmarṣī śvabhre patati kesarī // KDarp_5.24 //	parjanya-garjita-amarzI SvaBre patati kesarI // KDarp_5.24 //
   kiṃ śauryeṇa sarāgasya madakṣībasya dantinaḥ /	kim SOryeNa sa-rAgasya madakzIbasya dantinaH /
   bandhakīlābhalobhena yaḥ kṣipatyavaṭe tanum // KDarp_5.25 //	banDa-kI-lABa-loBena yaH kzipati-avawe tanum // KDarp_5.25 //
   śauryaṃ vikrītakāyasya sevakasya kimadbhutam /	SOryam vikrIta-kAyasya sevakasya kim-adButam /
   meṣasyeva vadho yasya sūnābaddhasya niścitaḥ // KDarp_5.26 //	mezasya-iva vaDaH yasya sUnA-badDasya niScitaH // KDarp_5.26 //
   na darpavikṛtaṃ śauryaṃ na māyāmalinaṃ manaḥ /	na darpa-vikRtam SOryam na mAyA-malinam manaH /
   na dveṣoṣṇaṃ śrutaṃ yeṣāṃ gaṇyante tadguṇā budhaiḥ // KDarp_5.27 //	na dveza-uzNam Srutam yezAm gaNyante tad-guNAH buDEH // KDarp_5.27 //
   kulaṃ kutanayeneva lobheneva guṇodayaḥ /	kulam ku-tanayena-iva loBena-iva guNa-udayaH /
   aiśvaryaṃ durnayeneva śauryaṃ darpeṇa naśyati // KDarp_5.28 //	ESvaryam durnayena-iva SOryam darpeNa naSyati // KDarp_5.28 //
   prabhāvabhavanastambha iva dambhodbhavo 'bhavat /	praBAva-Bavana-stamBaH iva damBodBavaH aBavat /
   saptābdhiparikhālekha- mekhalāyāḥ prabhurbhuvaḥ // KDarp_5.29 //	sapta-abDi-pariKA-leKa meKalAyAH praBuH-BuvaH // KDarp_5.29 //
   tasya niḥśeṣitārāteḥ sadā yuddhamanorathaḥ /	tasya niHSezita-arAteH sadA yudDa-manoraTaH /
   aprāptapratimallasya yayau hṛdayaśalyatām // KDarp_5.30 //	aprApta-pratimallasya yayO hRdaya-Salya-tAm // KDarp_5.30 //
   sa surāsurayuddhāpta- darpadarpitamānasaḥ /	sa sura-asura-yudDa-Apta darpa-darpita-mAnasaH /
   kaḥ ko 'sti śūraḥ saṃrambhād ityapṛcchatsadājanam // KDarp_5.31 //	kaH kaH asti SUraH saMramBAt iti-apRcCat-sadA-janam // KDarp_5.31 //
   darpakaṇḍūladordaṇḍaṃ pṛcchantaṃ rabhasena tam /	darpa-kaNxUla-dos-daNxam pRcCantam raBasena tam /
   sarvāvamānasaṃnaddhaṃ jagādābhyetya nāradaḥ // KDarp_5.32 //	sarva-avamAna-saMnadDam jagAda-aByetya nAradaH // KDarp_5.32 //
   nāsti tvatsadṛśaḥ śūras trailokye satyamucyate /	na-asti tvad-sadRSaH SUraH trElokye satyam-ucyate /
   kiṃ tu jāne raṇārhau te naranārāyaṇāvṛṣī // KDarp_5.33 //	kim tu jAne raNa-arhO te nara-nArAyaNO=-RzI // KDarp_5.33 //
   badaryāśramasaṃsaktau tīvre tapasi niṣṭhitau /	badaryASrama-saMsaktO tIvre tapasi nizWitO /
   yuddhecchau tau yadi syātāṃ tatpūrṇaste manorathaḥ // KDarp_5.34 //	yudDa-icCO tO yadi syAtAm tad-pUrNaH-te manoraTaH // KDarp_5.34 //
   nāradenetyabhihite sa badaryāśramaṃ yayau /	nAradena-iti-aBihite sa badaryASramam yayO /
   vilokayannijabhujau pratyāsannaraṇotsavau // KDarp_5.35 //	vilokayat-nija-BujO pratyAsanna-raNa-utsavO // KDarp_5.35 //
   dṛṣṭvā tejonidhī tatra naranārāyaṇau nṛpaḥ /	dRzwvA tejaH-niDI tatra nara-nArAyaNO nRpaH /
   manorathapathābhyastaṃ yayāce yuddhamuddhataḥ // KDarp_5.36 //	manoraTa-paTa-aByastam yayAce yudDam-udDataH // KDarp_5.36 //
   taṃ yuddhakāmukaṃ tiryag- dṛśā gambhīradhīrayā /	tam yudDa-kAmukam tiryag dRSA gamBIra-DIrayA /
   vilokyovāca sāvajña- smitadigdhādharaṃ naraḥ // KDarp_5.37 //	vilokya-uvAca sa-avajQa smita-digDa-aDaram naraH // KDarp_5.37 //
   mahīpate nivartasva na vayaṃ yuddhakovidāḥ /	mahIpate nivartasva na vayam yudDa-kovidAH /
   yuktastaireva saṅgrāmas tava ye bhūmyanantarāḥ // KDarp_5.38 //	yuktaH-tEH-eva saFgrAmaH tava ye BUmi-anantarAH // KDarp_5.38 //
   ityukto 'pi yadā rājā na cacāla raṇādarāt /	iti-uktaH api yadA rAjA na cacAla raNa-AdarAt /
   tadā taṃ dṛptamaiṣīka- niśitāstrairapūrayat // KDarp_5.39 //	tadA tam dRpta-mEzIka niSita-astrEH-apUrayat // KDarp_5.39 //
   pradīptajvalanākāraiḥ śarairākīrṇavigrahaḥ /	pradIpta-jvalana-AkArEH SarEH-AkIrNa-vigrahaH /
   vinaṣṭavigraharucir nṛpastatyāja dhīratām // KDarp_5.40 //	vinazwa-vigraha-ruciH nRpaH-tatyAja DIra-tAm // KDarp_5.40 //
   akāṇḍakhaṇḍitoccaṇḍa- darpajvarabharo nṛpaḥ /	akANxa-KaNxita-uccaNxa darpa-jvara-BaraH nRpaH /
   kṛpaṇaḥ prāṇarakṣāyai tameva śaraṇaṃ yayau // KDarp_5.41 //	kRpaNaH prANa-rakzAyE tam-eva SaraNam yayO // KDarp_5.41 //
   vāritāstrastatastena bhagnamānamanorathaḥ /	vAritAstraH-tatas-tena Bagna-mAna-manoraTaH /
   lajjāvikuṇṭhakaṇṭhaḥ svāṃ rājadhānīṃ yayau nṛpaḥ // KDarp_5.42 //	lajjA-vikuNWa-kaNWaH svAm rAjaDAnIm yayO nRpaH // KDarp_5.42 //
   iti mānasya mahatām api ghorāśanirmadaḥ /	iti mAnasya mahatAm api Gora-aSa-niH-madaH /
   lohasya svamaleneva kṣayo darpeṇa tejasaḥ // KDarp_5.43 //	lohasya sva-malena-iva kzayaH darpeNa tejasaH // KDarp_5.43 //
   tasmātsadā mānadhanena puṃsā darpaḥ prayatnena nivāraṇīyaḥ /	tasmAt-sadA mAna-Danena puMsA darpaH prayatnena nivAraNIyaH /
   darpogravaktrasya suhṛjjano 'pi sarvātmanā tivranipātasajjaḥ // KDarp_5.44	darpa-ugra-vaktrasya suhRd-janaH api sarva-AtmanA tivra-nipAta-sajjaH // KDarp_5.44
   adarpaśauryaspṛhaṇīyasattvā goviprarakṣākṣapitasvadehāḥ /	adarpa-SOrya-spRhaNIya-sattvAH go-vipra-rakzA-kzapita-sva-dehAH /
   prayānti vīrāḥ sukṛtāmṛtādrair yaśaḥśarīrairajarāmaratvam // KDarp_5.45 //	prayAnti vIrAH sukRta-amRta-adrEH yaSaH-SarIrEH-ajara-amara-tvam // KDarp_5.45 //
   ṣaṣṭho vicāraḥ	zazWaH vicAraH
   jagatyeko bhadradvirada iva dānārdrasaraṇir yaśasvī	jagati-ekaH Badra-dviradaH iva dAna-Ardra-saraNiH yaSasvI
   niḥsvānāmahamabhimatāśāphalataruḥ /	niHsvAnAm-aham-aBimata-ASA-Pala-taruH /
   iti tyāgodagraṃ vahati kila darpaṃ manasi yas tadudbhūtaṃ sarvaṃ	iti tyAga-udagram vahati kila darpam manasi yaH tad-udBUtam sarvam
   sukṛtamapahāya vrajati saḥ // KDarp_6.1 //	sukRtam-apahAya vrajati saH // KDarp_6.1 //
   svargādisaṃbhogaphalābhilāṣāt pātrāya pūjāṃ pratipadyate yaḥ /	svarga-Adi-saMBoga-Pala-aBilAzAt pAtrAya pUjAm pratipadyate yaH /
   dharmārthapaṇyakrayavikrayo 'sau kastena dānaprabhavo 'bhimānaḥ //	Darma-arTa-paNya-kraya-vikrayaH asO kaH-tena dAna-praBavaH aBimAnaH //
   KDarp_6.2 //	KDarp_6.2 //
   yadvidyādiguṇotkarṣa- viśeṣaparitoṣitaiḥ /	yat-vidyA-Adi-guNa-utkarza viSeza-paritozitEH /
   dīyate prītidhanayoḥ sa paṇyakrayavikrayaḥ // KDarp_6.3 //	dIyate prIti-DanayoH sa paNya-kraya-vikrayaH // KDarp_6.3 //
   lokaprasiddhisiddhyai yaḥ prayacchati guṇastavaiḥ /	loka-prasidDi-sidDyE yaH prayacCati guNa-stavEH /
   karoti vittayaśasoḥ sa tadā krayavikrayam // KDarp_6.4 //	karoti vitta-yaSasoH sa tadA kraya-vikrayam // KDarp_6.4 //
   avamānahataṃ yacca dattamaśraddhayā dhanam /	avamAna-hatam yat-ca dattam-aSradDayA Danam /
   ūṣare niṣphalaṃ bījaṃ kṣiptamakṣiptameva tat // KDarp_6.5 //	Uzare nizPalam bIjam kziptam-akziptam-eva tat // KDarp_6.5 //
   tyāgino 'nyasya saṃgharṣe kīrtyutkarṣajigīṣayā /	tyAginaH anyasya saMGarze kIrti-utkarza-jigIzayA /
   dattaṃ kāraṇabhūtasya tasyaivānte phalapradam // KDarp_6.6 //	dattam kAraNa-BUtasya tasya-eva-ante Pala-pradam // KDarp_6.6 //
   parārtiśamanaṃ vittam ajñātamanudīritam /	para-Arti-Samanam vittam ajQAtam-anudIritam /
   aphalākāṅkṣayā yuktaṃ prayātyalpamanalpatām // KDarp_6.7 //	aPala-AkAFkzayA yuktam prayAti-alpam-analpatAm // KDarp_6.7 //
   kurukṣetrādideśeṣu kāleṣvarkagrahādiṣu /	kurukzetra-Adi-deSezu kAlezu-arka-graha-Adizu /
   ātmopakāramātreṇa pātre dānena kiṃ madaḥ // KDarp_6.8 //	Atma-upakAra-mAtreNa pAtre dAnena kim madaH // KDarp_6.8 //
   deśakālakriyāpātrāṇy avicāryaiva kevalam /	deSa-kAla-kriyA-pAtrANi avicArya-eva kevalam /
   pareṣāmārtiśamanaṃ dayārdraṃ dānamucyate // KDarp_6.9 //	parezAm-Arti-Samanam dayA-Ardram dAnam-ucyate // KDarp_6.9 //
   rakṣāyai saṃpadāṃ putra- kalatrasukhasiddhaye /	rakzAyE saMpadAm putra kalatra-suKa-sidDaye /
   dīyate yatprayatnena lobhadānena tena kim // KDarp_6.10 //	dIyate yat-prayatnena loBa-dAnena tena kim // KDarp_6.10 //
   vāde khalaiḥ khalīkṛtya vedhadrutaparīkṣayā /	vAde KalEH KalIkRtya veDa-druta-parIkzayA /
   dīyate yaccirakliṣṭaṃ kaṣṭadānena tena kim // KDarp_6.11 //	dIyate yat-cira-klizwam kazwa-dAnena tena kim // KDarp_6.11 //
   tyaktvāśāgatasatpātraṃ pūrṇāyābhyarthya dīyate /	tyaktvA-ASA-gata-sat-pAtram pUrNAya-aByarTya dIyate /
   yattaducchvāsasaṃtaptaṃ dagdhadānena tena kim // KDarp_6.12 //	yat-tat-ucCvAsa-saMtaptam dagDa-dAnena tena kim // KDarp_6.12 //
   anyadābhāṣitaṃ pūrvaṃ dattamanyattato 'lpakam /	anyat-ABAzitam pUrvam dattam-anyat-tatas alpakam /
   yatsadoṣamayogyaṃ vā kūṭadānena tena kim // KDarp_6.13 //	yat-sadozam-ayogyam vA kUwa-dAnena tena kim // KDarp_6.13 //
   cirasevānurodhena lobhakṛcchrādanicchayā /	cira-sevA-anuroDena loBa-kRcCrAt-anicCayA /
   aprasādena yaddattaṃ balādānena tena kim // KDarp_6.14 //	aprasAdena yat-dattam bala-AdAnena tena kim // KDarp_6.14 //
   yatpuṣpadhūpatilaka- pratipattipradarśitam /	yad-puzpa-DUpa-tilaka pratipatti-pradarSitam /
   dattamatyalpaniḥsāraṃ dambhadānena tena kim // KDarp_6.15 //	dattam-atyalpa-niHsAram damBa-dAnena tena kim // KDarp_6.15 //
   prabhūtabhārasaṃbhāraṃ rājacaurādiviplave /	praBUta-BAra-saMBAram rAja-cOra-Adi-viplave /
   dattvā yadduṣṭamudghuṣṭaṃ śalyadānena tena kim // KDarp_6.16 //	dattvA yat-duzwam-udGuzwam Salya-dAnena tena kim // KDarp_6.16 //
   anāsvādyamavikreyam anādeyamanīpsitam /	anAsvAdyam-avikreyam anAdeyam-anIpsitam /
   dattaṃ nirupakāraṃ yad vandhyadānena tena kim // KDarp_6.17 //	dattam nirupakAram yat vanDya-dAnena tena kim // KDarp_6.17 //
   ṛṇavaccirasaṃśodhyaṃ vacasā pratipāditam /	RNavat-cira-saMSoDyam vacasA pratipAditam /
   yannityayācanadveṣaṃ yācyadānena tena kim // KDarp_6.18 //	yat-nitya-yAcana-dvezam yAcya-dAnena tena kim // KDarp_6.18 //
   ekasmai pūrṇamanyasmai kṛśaṃ tulyaguṇodaye /	ekasmE pUrNam-anyasmE kRSam tulya-guNa-udaye /
   bhedādyadarpitaṃ rāga- dveṣadānena tena kim // KDarp_6.19 //	Beda-At-yat-arpitam rAga dveza-dAnena tena kim // KDarp_6.19 //
   ṛṇadaiḥ svajanaiḥ putrair labdhakṣāmapratigrahaḥ /	RNadEH sva-janEH putrEH labDa-kzAma-pratigrahaH /
   nityamāyāsyate yena kalidānena tena kim // KDarp_6.20 //	nityam-AyAsyate yena kali-dAnena tena kim // KDarp_6.20 //
   na parasyārtiśanamaṃ nātmanaḥ puṇyakāraṇam /	na parasya-Arti-Sanamam na-AtmanaH puNya-kAraNam /
   dattālpamūlyenāptaṃ yat svalpadānena tena kim // KDarp_6.21 //	datta-alpa-mUlyena-Aptam yat su-alpa-dAnena tena kim // KDarp_6.21 //
   durgraheṣu viruddheṣu daśāpāke 'tidāruṇe /	durgrahezu virudDezu daSA-pAke ati-dAruNe /
   dīyate doṣaśāntyai yad bhayadānena tena kim // KDarp_6.22 //	dIyate doza-SAntyE yat Baya-dAnena tena kim // KDarp_6.22 //
   mumūrṣastyaktasarvāśaḥ śayanastho dadāti yat /	mumUrzaH-tyakta-sarva-ASaH Sayana-sTaH dadAti yat /
   mūrcchāsthānena manasā mohadānena tena kim // KDarp_6.23 //	mUrcCA-sTAnena manasA moha-dAnena tena kim // KDarp_6.23 //
   dattaṃ priyaviyogogra- śokaśalyārtacetasā /	dattam priya-viyoga-ugra Soka-Salya-Arta-cetasA /
   yatpaścāttāpajananaṃ bāṣpadānena tena kim // KDarp_6.24 //	yat-paScAt-tApa-jananam bAzpa-dAnena tena kim // KDarp_6.24 //
   purohitāya gurave śāntisvastividhāyine /	purohitAya gurave SAnti-svasti-viDAyine /
   dīyate yatprasaṅgena bhṛtidānena tena kim // KDarp_6.25 //	dIyate yat-prasaFgena BRti-dAnena tena kim // KDarp_6.25 //
   yatsaṃtyaktaphalaspṛhaṃ yaducitaṃ sarvasvabhūtaṃ ca yan nānyāyena	yat-saMtyakta-Pala-spRham yat-ucitam sarva-sva-BUtam ca yat na-anyAyena
   yadarjitaṃ paradhanasparśena śaptaṃ na yat /	yat-arjitam para-Dana-sparSena Saptam na yat /
   dattvā duḥkhaśataṃ na yatsvavacasā paścānna yadgaṇyate taddānaṃ	dattvA duHKa-Satam na yat-sva-vacasA paScAt-na yat-gaNyate tad-dAnam
   dhanabījavāpanipuṇaḥ śeṣaḥ prakāraḥ kṛṣeḥ // KDarp_6.26 //	Dana-bIja-vApa-nipuNaH SezaH prakAraH kRzeH // KDarp_6.26 //
   prāptuṃ svargavarāṅganāstanataṭasparśātiriktaṃ sukhaṃ datto merurapi	prAptum svarga-vara-aFganA-stana-tawa-sparSa-atiriktam suKam dattaH meruH-api
   prayāti tṛṇatāmātmopakārecchayā /	prayAti tRNa-tAm-Atma-upakAra-icCayA /
   āpannārtivilokane karuṇayā śraddhāsudhāpūritaṃ sattvotsāhasamanvitaṃ	Apanna-Arti-vilokane karuNayA SradDA-suDA-pUritam sattva-utsAha-samanvitam
   tṛṇamapi trailokyadānādhikam // KDarp_6.27 //	tRNam-api trElokya-dAna-aDikam // KDarp_6.27 //
   yudhiṣṭhirasya bhūbhartuḥ purā kanakavarṣiṇaḥ /	yuDizWirasya BUBartuH purA kanaka-varziNaH /
   aśvamedhe vidhānena vartamāne mahākratau // KDarp_6.28 //	aSvameDe viDAnena vartamAne mahA-kratO // KDarp_6.28 //
   sajjāsu rājabhojyāsu vividhāsvannapāliṣu /	sajjAsu rAja-BojyAsu viviDAsu-anna-pAlizu /
   aniśaṃ ratnapātreṣu bhuñjāneṣu dvijanmasu // KDarp_6.29 //	aniSam ratna-pAtrezu BuQjAnezu dvijanmasu // KDarp_6.29 //
   vipreṣu pūryamāṇeṣu maṇikāñcanaśāsanaiḥ /	viprezu pUryamANezu maNi-kAQcana-SAsanEH /
   ucchiṣṭabhūmiṃ nakulaḥ svabilātsamupāyayau // KDarp_6.30 //	ucCizwa-BUmim nakulaH sva-bilAt-samupAyayO // KDarp_6.30 //
   dīptakāñcanavarṇena pārśvenaikena śobhitaḥ /	dIpta-kAQcana-varNena pArSvena-ekena SoBitaH /
   apareṇāsuvarṇena vitīrṇajanakautukaḥ // KDarp_6.31 //	apareNa-asuvarNena vitIrNa-jana-kOtukaH // KDarp_6.31 //
   so 'bhyetya tūrṇamucchiṣṭa hemapātracyute 'mbhasi /	saH aByetya tUrNam-ucCizwa hema-pAtra-cyute amBasi /
   luloṭha śapharotphāla- parivartavivartanaiḥ // KDarp_6.32 //	luloWa SaPara-utPAla parivarta-vivartanEH // KDarp_6.32 //
   suvarṇapārśvaṃ nakulaṃ dṛṣṭvā sarve kutūhalāt /	suvarNa-pArSvam nakulam dRzwvA sarve kutUhalAt /
   majjantamucchiṣṭajale kṣitipāya nyavedayan // KDarp_6.33 //	majjantam-ucCizwa-jale kzitipAya nyavedayan // KDarp_6.33 //
   prāptena bhūbhujā dṛṣṭvā dṛṣṭyā pṛṣṭa iveṣṭayā /	prAptena BUBujA dRzwvA dRzwyA pRzwaH iva-izwayA /
   so 'vadadvismayabhuvā suspaṣṭākṣarayā girā // KDarp_6.34 //	saH avadat-vismaya-BuvA su-spazwA-akzarayA girA // KDarp_6.34 //
   rājannasyātidānasya na paśyāmyucitaṃ phalam /	rAjan=-asya-atidAnasya na paSyAmi-ucitam Palam /
   asmātprabhūtasaṃbhārāt saktupātraṃ varaṃ param // KDarp_6.35 //	asmAt-praBUta-saMBArAt saktu-pAtram varam param // KDarp_6.35 //
   pravṛtte 'sminmahādāne mahataste mahīpate /	pravRtte asmin-mahA-dAne mahataH-te mahIpate /
   vitte vṛtte ca citte ca śuddhiṃ ko vetti tattvataḥ // KDarp_6.36 //	vitte vRtte ca citte ca SudDim kaH vetti tattvataH // KDarp_6.36 //
