   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   vyavadhānāvyavadhānābhyāṃ śayanasādhanatvāt samuccayaśca, tathehāpi	vyavaDAna avyavaDAnAByAm Sayana sADana tvAt samuccayaH ca, taTA iha api
   nāḍīpurītatorjīvasya saṃcāradvārā brahmaṇyeva suptiriti samuccaya	nAxIpurItatorjIvasya saMcAra dvArAH brahmaNi eva suptiH iti samuccaya
   ityarthaḥ /	iti arTaH /
   nāḍīnāṃ prāṇasya ca ekena vākyenopādānānmithaḥ samuccaya ityāha ekavākyeti	nAxInAm prANasya ca ekena vAkyena upAdAnAt miTas samuccayaH iti Aha eka vAkya iti
   ādhāratvamātraṃ saptamyartho na nirapekṣatvamato na samuccayasya saptamyā	ADAra tva mAtram saptamI arTaH na nirapekza tvam atas na samuccayasya saptamyA
   bādha ityāha na caivamapīti /	bADaH iti Aha na ca evam api iti /
   samuccaye 'pītyarthaḥ /	samuccaye api iti arTaH /
   atra nāḍīśrutau nāḍīṣu bhoktuḥ suptirna vivakṣitā	atra nAxI SrutO nAxIzu BoktuH suptiH na vivakzitA
   raśmisaṃbandhanāḍīrūpamārgastutyarthatvādityāha apiceti /	raSmi saMbanDa nAxI rUpa mArga stuti arTa tvAt iti Aha apicA iti /
   pittena viṣayekṣaṇābhāve sukhaduḥkhayorabhāvāt	pittena vizaya IkzaNa aBAve suKa duHKayoH aBAvAt 
   taddhetudharmātmakapāpmāsparśa ityarthaḥ /	tad hetu Darma Atmaka pApmA sparSaH iti arTaH /
   apahatapāpmabrahmasaṃpattyā vā pāpmāsparśa ityāha athaveti /	apahata pApma brahma saMpattyA vA pApmA sparSaH iti Aha aTavA iti /
   asmin vyākhyāne lābhamāha evaṃ ca satīti /	asmin vyAKyAne lABa mAha evam ca sati iti /
   'tāsu tadā bhavatyathāsmin prāṇa evaikadhā bhavati'iti śruteḥ samuccaya	atAsu tadA Bavati aTa asmin prANaH eva ekaDA Bavati aiti SruteH samuccaya
   āśrito bhavatītyarthaḥ /	ASritaH Bavati iti arTaH /
   nāḍībrahmaṇorguṇapradhānabhāvena suptau	nAxI brahmaNoH guNa praDAna BAvena suptO
   samuccayavatpurītadbrahmaṇorapītyāha tathetyādinā /	samuccaya vat purI tad brahmaNoH api iti Aha  taTA ityAdinA /
   ākāśe brahmaṇi śeta ityupakramya tābhiḥ pratyavasṛpya purītamiti śeta	AkASe brahmaNi SetaH iti upakramya tABiH pratyavasRpya purItam iti Seta
   ityuktaṃ, tathāca nāḍīdvārā purītataṃ gatvā brahmaṇi śeta iti samuccayaḥ	iti uktan, taTA ca nAxI dvArA purItatam gatvA brahmaNi SetaH iti samuccayaH
   siddha ityāha tathā nāḍīti /	sidDaH iti Aha  taTA nAxI iti /
   satā saṃpanno bhavati prājñena saṃpariṣvakta iti satprājñayoḥ śruteḥ pañca	satA saMpannaH Bavati prAjQena saMparizvaktaH iti sat prAjQayoH SruteH paQca
   suptisthānānītyata āha satprājñayoriti /	supti sTAnAni iti atas Aha sat prAjQayoH iti /
   kiñca prakṛtadarśādisādhanaikapuroḍāśaniṣpattau mitho 'napekṣatayā	kiQca prakRta darSa Adi sADana eka puroxASa nizpattO miTas anapekzatayA
   samarthatvādyukto vrīhiyavayorvikalpaḥ, nāḍyādīnāṃ tu brahmanirapekṣatayā	samarTa tvAt yuktaH vrIhi yavayoH vikalpaH, nAxI AdInAm tu brahma nirapekza tayA
   suṣuptajīvādhāratvāsāmarthyānna vikalpa ityāha apica nāḍya iti /	suzupta jIva ADAra tva asAm arTyAn na vikalpaH iti Aha  apica nAxyaH iti /
   upādhiliṅgāśrayanāḍīpurītatorupahitajīvāśrayatvaṃ paramparayā vācyaṃ,	upADi liFga ASraya nAxI purIta toH upahita jIva ASraya tvam paramparayA vAcyaM,
   tadapi suṣuptau na saṃbhavati, upādhilayādityarthaḥ /	tat api suzuptO na saMBavati, upADilayAt iti arTaH /
   nanu brahmāpi jīvasya na mukhyaṃ sthānaṃ abhedādityata	nanu brahmA api jIvasya na muKyam sTAnam aBedAt ityata
   āha brahmādhāratvamiti /	Aha brahma ADAra tvam iti /
   jīvasya brahmaṇyabhedenāvasthānaṃ nāḍīpurītatostu līnopādherjīvasya	jIvasya brahmaNi aBedena avasTAnam nAxIpurItatoH tu lIna upADeH jIvasya
   sthitireva na saṃbhavatītyekārthasāmarthyābhāvānna vikalpa ityarthaḥ /	sTitiH eva na saMBavati iti eka arTa sAmarTya aBAvAt na vikalpaH iti arTaH /
   suṣuptau jīvasya bhedakopādhilayāccautsargikabrahmābhedasya vikalpo na	suzuptO jIvasya Bedaka upa ADilayAt ca Otsargika brahma aBedasya vikalpaH na
   yukta ityāha apiceti /	yuktaH iti Aha apicA iti /
   kiñca nāḍyādīnāmanyatamasthāne kvacitsuptivādināpi suṣuptaṃ na viśiṣyata	kiQca nAxI AdInAm anyatama sTAne kvacid supti vAdinA api suzuptam na viSizyata
   iti vaktavyaṃ, tacca vaktuṃ na śakyata ityāha apica sthāneti /	iti vaktavyan, tat ca vaktum na Sakyate iti Aha  apica sTAnA iti /
   bhedābhāvo hi bhedajñānābhāve hetuḥ, nāḍīpūritadratasya tu jīvasya	Beda aBAvaH hi Beda jQAna aBAve hetuH, nAxI pUrita dratasya tu jIvasya
   bhedāvasthatvādbhedāvijñāne karaṇaṃ nāstītyarthaḥ /	Beda avasTa tvAt Beda avijQAne karaNam na asti iti arTaH /
   dvaitāvasthāsyāpi dvaitājñāne hetuṃ śaṅkate nanu bhedeti /	dvEta avasTA asya api dvEta ajQAne hetum SaFkate nanu Beda iti /
   draṣṭurdṛśyāddūrasthatvaṃ svābhāvikamaupādhikaṃ vā /	drazwuH dRSyAt dUra sTa tvam svABAvikam OpADikam vA /
   tatrādyaṃ sadṛṣṭāntamanūdya pratyāha bāḍhamityādinā /	tatra Adyam sa dRzwAntam anUdya pratyAha bAXam ityAdinA /
   dvitīyamanūdya dūṣayati upādhigatameveti /	dvitIyam anUdya dUzayati  upADi gatam eva iti /
   upādhisaṃbhinnasyaiva nāḍyādau svāpe katipayasaṃnikṛṣṭārthajñānaprasaṅgāt	upADi saMBinnasya eva nAxI AdO svApe katipaya saMnikRzwa arTa jQAna prasaFgAt
   suṣuptivyāghātaḥ syāt /	suzupti vyAGAtaH syAt /
   upādhilaye tvanyatra jīvasya sthityayogādbrahmaṇyeva svāpa āstheya	upADilaye tu anyatra jIvasya sTiti ayogAt brahmaNi eva svApaH AsTeya
   ityarthaḥ /	iti arTaH /
   evaṃ vikalpaṃ nirasya nāḍīpurītatorbrahmaṇā saha	evam vikalpam nirasya nAxI purItatoH brahmaNA saha
   tulyavatsamuccayamaphalatvena dūṣayan guṇapradhānatvena	tulya vat samuccayam aPala tvena dUzayan guNa praDAna tvena
   samuccayamupasaṃharati naca vayamityādinā //7//	samuccayam upasaMharati naca vayam ityAdinA //7//
   END BsRp_3,2.2.7	END BsRp _3,2.2.7
   START BsRp_3,2.2.8ḥ	START BsRp _3,2.2.8H
   ataḥ prabodho 'smāt | BBs_3,2.8 |	atas praboDaH asmAt | BBH _3,2.8 |
   kiñca brahmaṇaḥ sakāśājjīvasyotthānaśruterbrahmaiva	kiQca brahmaNaH sakASAt jIvasya utTAna SruteH brahmA eva
   suṣuptisthānamityāha sūtrakāraḥ ataḥ prabodha iti /	suzupti sTAnam iti Aha  sUtra kAraH  atas praboDaH iti /
   nāḍīpurītatoḥ kvāpyutthānāpādānatvāśravaṇānna suṣuptisthānatvamityarthaḥ,	nAxIpurItatoH kvApi utTAna apAda Anatva aSravaNAt na suzupti sTAna tvam iti arTaH,
   tasmādupādhilaye jīvasya brahmābhedādaupādhika eva bheda iti	tasmAt upADilaye jIvasya brahma aBedAt OpADikaH eva BedaH iti
   vivekadvākyārthābhedasiddhiriti sthitam //8//	viveka dvAkya arTa aBeda sidDiH iti sTitam //8//
   END BsRp_3,2.2.8	END BsRp _3,2.2.8
   START BsRp_3,2.3.9ḥ	START BsRp _3,2.3.9H
   sa eva tu karmānusmṛtiśabdavidhibhyaḥ | BBs_3,2.9 |	saH eva tu karma anusmRti Sabda viDiByaH | BBH _3,2.9 |
   sa eva tu karmānusmṛtiśabdavidhibhyaḥ /	saH eva tu karma anusmRti Sabda viDiByaH /
   suṣuptau upādhināśāt karmānusmṛtyāderdarśanācca saṃśaye satyasmādbrahmaṇo	suzuptO upADi nASAt karma anusmRti AdeH darSanAt ca saMSaye satyasmAt brahmaNaH 
   jīvasyotthānaśruterbrahmaiva suṣuptisthānamityuktamayuktam /	jIvasya utTAna SruteH brahmA eva suzupti sTAnam iti uktam ayuktam /
   suptādanyasyāpyutthānasaṃbhavena suṣuptasya	suptAt anyasya api utTAna saMBavena suzuptasya
   nāḍyādisthānatvasaṃbhavādityākṣepasaṃgatyā niyamakābhāvādaniyama iti	nAxI Adi sTAna tva saMBavAt iti Akzepa saMgatyA niyamaka aBAvAt aniyamaH iti
   pūrvapakṣamāha tasyāḥ punarityādinā /	pUrva pakzam Aha tasyAH punar ityAdinA /
   pūrvapakṣe jñānavaiyarthyaṃ suṣuptyaivāpunarāvṛttirūpamuktisiddheḥ,	pUrva pakze jQAna vEyarTyam suzuptyA eva apunarAvRtti rUpa mukti sidDeH,
   siddhānte tu ajñātabrahmātmanā sthitasyājñānabalena	sidDAnte tu ajQAta brahma AtmanA sTitasya ajQAna balena
   punastasyaivotthānāvaśyaṃbhāvādajñānanāśāya jñānāpekṣeti phalam /	punar tasya eva utTAna avaSyaMBAvAt ajQAna nASAya jQAna apekzA iti Palam /
   īśvaro vetyaniyamadārḍhyāyoktam /	ISvaraH vA iti aniyama dArXyAya uktam /
   sa vānyo vetyeva pūrvapakṣaḥ /	sa vA anyaH vA iti eva pUrva pakzaH /
   jñānaṃ vinā buddhyādyupādheratyantanāśābhāvādyayā buddhyopahito jīvaḥ	jQAnam vinA budDi Adi upADeH atyanta nASa aBAva AdyayA budDyA upahitaH jIvaH
   suṣuptau kāraṇātmanā sthitastasyaiva nānākarmānubhavasaṃskāravatyopahita	suzuptO kAraNa AtmanA sTitaH tasya eva nAnA karma anuBava saMskAravatyA upahita
   uttiṣṭhatīti siddhāntayati sa eva tvityādinā /	uttizWati iti sidDAntayati saH eva tu ityAdinA /
   sāmikṛtasyārdhakṛtasya ekasyaiva jyotiṣṭomāderanekayajamānakatvāpāto	sAmi kRtasya arDa kRtasya ekasya eva jyotizwoma AdeH aneka yaja mAnaka tva apAto
   'tiprasaṅgaḥ /	atiprasaFgaH /
   smṛtimuktvānuśabdasūcitāṃ pratyabhijñāmāha so 'hamiti /	smRti muktvA anuSabda sUcitAm pratyaBijQAm Aha saH aham iti /
   ayanaṃ gamanaṃ āyaḥ /	ayanam gamanam AyaH /
   yoniḥ tattadindriyasthānam /	yoniH tad tad indriya sTAnam /
   pratiniyataṃ gamanaṃ yathā bhavati tathā pratiyonyāgacchati jāgaraṇāyeti	pratiniyatam gamanam yaTA Bavati taTA pratiyonya AgacCati jAgaraNAya iti
   śrutyarthaḥ /	Sruti arTaH /
   na vindatītyajñānasattvātsuptasyotthānaniyama uktaḥ /	na vindati iti ajQAna sattvAt suptasya utTAna niyamaH uktaH /
   iha pūrvaprabodhe ye bhavanti ta eva tadottaraprabodhe bhavantītyarthaḥ /	iha pUrva praboDe ye Bavanti te eva tadA uttara praboDe Bavanti iti arTaH /
   vidhiṃ vyācaṣṭe karmeti /	viDim vyAcazwe  karma iti /
   sa evottiṣṭhatīti niścīyate ityarthaḥ atraivotsūtraṃ	saH eva uttizWati iti niScIyate iti arTaH atra eva utsUtram
   yuktyantaramāha apicetyādinā /	yukti antara m Aha a pica ityAdinA /
   anyotthāne sukhāderna pūrvakarmakāryatetyakṛtasukhādyāgamaḥ	anya utTAne suKa AdeH na pUrva karma kAryatA iti akRta suKa Adi AgamaH
   pūrvasuptajīvakṛtakarmanāśaścetyarthaḥ /	pUrva supta jIva kRta karma nASaH ca iti arTaH /
   pūrvapakṣyuktaṃ dṛṣṭāntaṃ vaiṣamyeṇa dūṣayati yatpunarityādinā /	pUrva pakzyuktam dRzwAntam vEzamyeNa dUzayati yat punar ityAdinA /
   asmadādyaśakyamapi vivecanaṃ prāṇyadṛṣṭāpekṣa īśvaraḥ karotīti matvā	asmad Adi aSakyam api vivecanam prANi adRzwa apekzaH ISvaraH karoti iti matvA
   dṛṣṭāntamāha dṛśyate ceti /	dRzwAntam Aha dRSyate ca iti /
   brahmābhedācca jīvasya jalabinduvaiṣamyamityāha apiceti /	brahma aBedAt ca jIvasya jala bindu vEzamyam iti Aha apicA iti /
   abhede sa vānyo vottiṣṭhati iti cintānavakāśa ityāśaṅkya buddhibhedena	aBede sa vA anyaH vA uttizWati iti cintA anavakASaH iti ASaFkya budDi Bedena
   jīvabhedāccintetyāha evaṃ satīti /	jIva BedAt cintA iti Aha evam sati iti /
   suṣuptau buddhināśena pratyahaṃ buddhyupādhibhedādekajīvasya vyavahāro na	suzuptO budDi nASena pratyaham budDi upADi BedAt eka jIvasya vyavahAraH na
   syādityata āha sa evāyamiti /	syAt iti atas Aha saH eva ayam iti /
   sthūlasūkṣmātmanā tiṣṭhatyekopādhirityarthaḥ //9//	sTUla sUkzma AtmanA tizWati eka upADiH iti arTaH //9//
   END BsRp_3,2.3.9	END BsRp _3,2.3.9
   START BsRp_3,2.4.10ḥ	START BsRp _3,2.4.10H
   mugdher'dhasaṃpattiḥ pariśeṣāt | BBs_3,2.10 |	mugDer aDasaMpattiH pariSezAt | BBH _3,2.10 |
   avasthātrayādātmānaṃ vivicya mūrcchāto vivecayati mugdher'dhasaṃpattiḥ	avasTA trayAt AtmAnam vivicya mUrcCAtaH vivecayati mugDer aDasaMpattiH
   pariśeṣāt /	pariSezAt /
   mūrcchā prasiddhāvasthāntargatā vā pañcamāvasthā veti /	mUrcCA prasidDa avasTA antargatAH vA paQcama avasTA vA iti /
   avasthācatuṣṭayasiddhermugdhasya tadvailakṣaṇyācca saṃśaye so 'hamiti	avasTA catuzwaya sidDeH mugDasya tad vElakzaNyAt ca saMSaye saH aham iti
   pratyabhijñayotthitasya suptābhedavadviśeṣajñānābhāvāviśeṣeṇa liṅgena	pratyaBijQayA utTitasya supta aBeda vat viSeza jQAna aBAva aviSezeNa liFgena
   suṣuptireva mūrccheti pratyabhijñānātsuṣuptyantargatā mūrccheti	suzuptiH eva mUrcCA iti pratyaBijQAnAt suzupti antargatA mUrcCA iti
   dṛṣṭāntasaṃgatyā pūrvapakṣamāha tisrastāvaditi /	dRzwAnta saMgatyA pUrva pakzam Aha tisraH tAvat iti /
   pūrvapakṣe prasiddhāvasthātaḥ pṛthagātmano mūrcchāto vivekārthaṃ	pUrva pakze prasidDa avasTAtaH pRTak AtmanaH mUrcCA atas viveka arTam
   yatnāsiddhiḥ phalaṃ, siddhānte pṛthagyatnadhrauvyamiti bhedaḥ pariśeṣaṃ	yatna asidDiH PalaM, sidDAnte pRTak yatna DrOvyam iti BedaH pariSezam
   darśayan siddhāntayati na tāvadityādinā /	darSayan sidDAntayati na tAvat ityAdinA /
   jāgradapi jāgarāvastho 'pītyarthaḥ /	jAgrat api jAgara avasTaH api iti arTaH /
   aindriyakamarthajñānaṃ dehadhāraṇaṃ ca tasyāsti na mugdhasyeti	Endriyakam arTa jQAnam deha DAraNam ca tasya asti na mugDasya iti
   vaiṣamyoktyā dūṣayati netyādinā /	vEzamya uktyA dUzayati  na ityAdinA /
   mūrcchāyā jāgarādbhedamuktvā svapnamṛtibhyāṃ bhedamāha nāpītyādinā /	mUrcCAyA jAgarAt Bedam uktvA svapna mRtiByAm Beda mAha nApi ityAdinA /
   ālabhante spṛśanti /	AlaBante spRSanti /
   diṣṭaṃ maraṇam /	dizwam maraNam /
   suṣuptimūrcchayoḥ kiñcitsārūpye 'pi bahuvailakṣaṇyādbheda ityāha neti /	suzupti mUrcCayoH kiQcid sA ArUpye api bahu vElakzaNyAt BedaH iti Aha na iti /
   lakṣaṇabhedamuktvā nimittabhedamāha nimitteti /	lakzaNa Bedam uktvA nimitta Beda m Aha  nimittA iti /
   pratyabhijñāpyasiddhetyāha naceti /	pratyaBijQApi asidDa iti Aha naca iti /
   uktasārūpyavairūpyābhyāmardhasaṃpattiḥ sarvaiḥ suṣuptidharmairasaṃpanno	ukta sArUpya vErUpyAByAm arDa saMpattiH sarvEH suzupti DarmEH asaMpannaH 
   mugdhaḥ suṣupto na bhavati, sarvairmaraṇāvasthādharmairasaṃpattermṛto 'pi	mugDaH suzuptaH na Bavati, sarvEH maraNa avasTA DarmEH asaMpatteH mRtaH api
   na kintu avasthāntaraṃ gata iti sūtrārthaḥ /	na kintu avasTA antaram gataH iti sUtra arTaH /
   atra sūtre jīvasya brahmaṇārdhasaṃpattirukteti bhrāntaḥ śaṅkate kathamiti	atra sUtre jIvasya brahmaNA arDa saMpattiH uktA iti BrAntaH SaFkate  kaTam iti
   yatsuptaṃ prati satsaṃpannatvaṃ śrutaṃ tadupādhyābhāvābhiprāyam /	yat suptam prati sat saMpanna tvam Srutam tad upADya aBAva aBiprAyam /
   upādhyabhāvaśca mugdhasyāpi mama iti yatastasmāt	upADi aBAvaH ca mugDasya api mama iti yatas tasmAt 
   kṛtsnasaṃpattirevetyarthaḥ /	kRtsna saMpattiH eva iti arTaH /
   suṣuptikāle karmāsaṃbandhe punarutthānaṃ kathamityāśaṅkya	suzupti kAle karma asaMbanDe punar utTAnam kaTam iti ASaFkya
   tatkāryābhāvāttadasaṃbandhoktirityāha jīve hīti /	tad kArya aBAvAt tad asaMbanDa uktiH iti Aha jIve hi iti /
   brahmaṇā kṛtsnasaṃpattimaṅgīkṛtya pariharati na brūma iti /	brahmaNA kRtsna saMpattim aFgIkRtya pariharati na brUmaH iti /
   mugdhatvaṃ hi suṣuptasyārdhena niḥsaṃjñatvādidharmeṇa sāmyena saṃpannaṃ	mugDa tvam hi suzuptasya arDena niHsaMjQa tva Adi DarmeNa sAmyena saMpannam
   bhavati, maraṇāsyārdhena kampādinā saṃpannamityardhasaṃpattirityarthaḥ /	Bavati, maraNa asya arDena kampa AdinA saMpannam iti arDa saMpattiH iti arTaH /
   ito 'pi suṣuptivaiṣamyamityāha dvāraṃ ceti /	itas api suzupti vEzamyam iti Aha  dvAram ca iti /
   aprasiddhimaṅgīkṛtyoktaṃ prasiddhirapyastītyāha prasiddhā ceti /	aprasidDim aFgIkRtya uktam prasidDiH api asti iti Aha  prasidDA ca iti /
   nāyurvedo vaidyaśāstram /	na AyurvedaH vEdya SAstram /
   prasiddhau kathaṃ vivāda ityāśaṅkya pañcamatvenāprasiddherityāha ardheti /	prasidDO kaTam vivAdaH iti ASaFkya paQcama tvena aprasidDeH iti Aha arDA iti /
   suṣuptimṛtidharmārdhasaṃpattyā tadantarbhāvabuddhirlokānāmityarthaḥ //10//	suzupti mRti Darma arDa saMpattyA tad antar BAva budDiH lokAnAm iti arTaH //10//
   END BsRp_3,2.4.10	END BsRp _3,2.4.10
   START BsRp_3,2.5.11ḥ	START BsRp _3,2.5.11H
   na sthānato 'pi parasyobhayaliṅgaṃ sarvatra hi | BBs_3,2.11 |	na sTAnataH api parasya uBaya liFgam sarvatra hi | BBH _3,2.11 |
   sarvābhiravasthābhiraliptastvamartha iti nirūpayitukāmaḥ prathamaṃ tasya	sarvABiH avasTABiH aliptaH tvam arTaH iti nirUpayitu kAmaH praTamam tasya
   nirviśeṣatvamāha na sthānato 'pi parasyobhyaliṅgaṃ sarvatra hi /	nirviSeza tvam Aha na sTAnataH api parasya uByaliFgam sarvatra hi /
   uddeśayatvampadārthajijñāsoparamānantaraṃ	uddeSaya tvam padArTa jijQAsA uparama anantaram
   tatsvarūpabrahmavicārasyāvasarasaṃgatimāha yeneti /	tad svarUpa brahma vicArasya avasara saMgatim Aha yena iti /
   nirviśeṣatvaṃsav iśeṣatvaṃ cetyubhayaṃ liṅgyate jñāpyate yābhistā	nirviSeza tvaMsau iSeza tvam ca iti uBayam liFgyate jQApyate yABiH tAH 
   ubhayaliṅgaḥ śrutayaḥ saṃśayabījatvena santītyarthaḥ /	uBaya liFgaH SrutayaH saMSaya bIja tvena santi iti arTaH /
   yathā viruddhasuṣuptimaraṇobhayarūpaṃ mugdhatvaṃ tathā	yaTA virudDa suzupti maraNa uBaya rUpam mugDa tvam taTA
   śrutiprāmāṇyādubhayarūpaṃ brahma dhyeyamiti dṛṣṭāntena pūrvapakṣaḥ /	Sruti prAmANyAt uBaya rUpam brahma Dyeyam iti dRzwAntena pUrva pakzaH /
   nirviśeṣamekarūpameva jñeyamiti siddhāntayati evamiti /	nirviSezam eka rUpam eva jQeyam iti sidDAntayati evam iti /
   kimubhayarūpatvaṃ svataḥ, uta svato nirguṇasya sarvagandhatvādiviśeṣa	kim uBaya rUpa tvam svataH, uta svatas nirguNasya sarva ganDa tva Adi viSeza
   upādhitaḥ satyaḥ, āhosvitsvataḥ saviśeṣameva brahmeti /	upADitaH satyaH, Ahosvit su atas sa viSezam eva brahma iti /
   tatrādya nirasya dvitīyamanūdya dūṣayati astu tarhīti /	tatra adya nirasya dvitIyam anUdya dUzayati aH tu tarhi iti /
   sthānamupādhiḥ /	sTAnam upADiH /
   brahmaṇi viśeṣaḥ, kalpitaḥ aupādhikatvātsphaṭikalauhityavadityarthaḥ /	brahmaNi viSezaH, kalpitaH OpADika tvAt sPawika lOhitya vat iti arTaH /
   upādheḥ satyatve 'pi tatkṛtaṃ mithyeti dṛṣṭaṃ brahmaṇi tūpādhīnāṃ	upADeH satya tve api tat kRtam miTyA iti dRzwam brahmaNi tu upADInAm
   mithyātvāttatkṛto viśeṣo mithyeti kimu vācyamityāha upādhīnāmiti /	miTyAtvAt tad kRtaH viSezaH miTyA iti kimu vAcyam iti Aha  upADInAm iti /
   tṛtīyaṃ nirasyati ataśceti /	tRtIyam nirasyati ataH ca iti /
   sarvasya viśeṣasya kalpitatvādevetyarthaḥ /	sarvasya viSezasya kalpita tvAt eva iti arTaH /
   niṣedhaśruteścaivamityāha sarvatra hīti //11//	nizeDa SruteH ca evam iti Aha  sarvatra hi iti //11//
   END BsRp_3,2.5.11	END BsRp _3,2.5.11
   START BsRp_3,2.5.12ḥ	START BsRp _3,2.5.12H
   na bhedād iti cen na pratyekamatadvacanāt | BBs_3,2.12 |	na BedAt iti ced na pratyekam atad vacanAt | BBH _3,2.12 |
   bhidyata iti bhedo viśeṣaḥ, nirviśeṣatvaśrutāvapi viśeṣasyāpi	Bidyate iti BedaH viSezaH, nirviSeza tva SrutO= api viSezasya api
   śruterubhayarūpatvaṃ syāditi śaṅkāṃ vyācaṣṭe athāpi syāditi /	SruteH u Baya rUpa tvam syAt iti SaFkAm vyAcazwe aTa api syAt iti /
   pūrvoktaṃ virodhaṃ smārayati nanūktamiti /	pUrva uktam viroDam smArayati nanu uktam iti /
   bhedaśrutiprāmāṇyārthamaupādhikarūpabhedasvīkārādavirodha iti	Beda Sruti prAmANya arTam OpADika rUpa Beda svIkArAt aviroDaH iti
   samādhyarthaḥ /	samADi arTaH /
   kimupādhigata eva rūpabhedo brahmaṇyupacaryate	kim upADi gataH eva rUpa BedaH brahmaNi upacaryate
   dhyānārthamutopādhiyogātsatyaviruddharūpavattayā brahmaṇo bhedo bhavatīti	DyAna arTa muta upADi yogAt satya virudDa rUpavat tayA brahmaNaH BedaH Bavati iti
   ādye 'smādiṣṭasiddhiḥ, dvitīyamabhedaśrutyā dūṣayati neti brūma iti //12//	Adye asmAt izwa sidDiH, dvitIyam aBeda SrutyA dUzayati na iti brUmaH iti //12//
   END BsRp_3,2.5.12	END BsRp _3,2.5.12
   START BsRp_3,2.5.13ḥ	START BsRp _3,2.5.13H
   api caivam eke | BBs_3,2.13 |	api ca evam eke | BBH _3,2.13 |
   dvaitanindāpūrvakamadvaitokteśca nirviśeṣaṃ tattvamiti	dvEta nindA pUrva kam advEta ukteH ca nirviSezam tattvam iti
   sūtrārthamāha apiceti /	sUtra arTam Aha apicA iti /
   bhoktā jīvo bhogyaṃ śabdādi tayoḥ preritāramīśvaraṃ ca matvā vicārya me	BoktA jIvaH Bogyam Sabda Adi tayoH preritAram ISvaram ca matvA vicArya me
   mama proktaṃ tatsarvaṃ trividhaṃ brahmaiveti jānīyādityarthaḥ //13//	mama proktam tat sarvam triviDam brahma eva iti jAnIyAt iti arTaH //13//
   END BsRp_3,2.5.13	END BsRp _3,2.5.13
   START BsRp_3,2.5.14ḥ	START BsRp _3,2.5.14H
   arūpavadeva hi tatpradhānatvāt | BBs_3,2.14 |	arUpa vat eva hi tad praDAna tvAt | BBH _3,2.14 |
   dvividhaśrutiṣu satīṣu nirviśeṣatve kiṃ niyāmakamiti śaṅkate kathaṃ	dviviDa Srutizu satIzu nirviSeza tve kim niyAmakam iti SaFkate  kaTam
   punariti /	punar iti /
   tatparātaparavirodhe tatparaṃ balavaditi nyāyo niyāmaka	tad parAta para viroDe tat param bala vat iti nyAyaH niyAmaka
   ityāha arūpavadeveti /	iti Aha a rUpavat eva iti /
   upāsanāparavākyeṣu ākāre tātparyābhāve 'pi	upAsana apara vAkyezu AkAre tAtparya aBAve api
   devatāvigrahādivadākārasiddhimāśaṅkya	devatA vigraha Adi vat AkAra sidDim ASaFkya
   niṣprapañcaparaśrutivirodhānmaivamityāha teṣvasatīti //14//	nizprapaQca para Sruti viroDAt mA evam iti Aha tezu asati iti //14//
   END BsRp_3,2.5.14	END BsRp _3,2.5.14
