   sāṅkhyakārikā gauḍapādabhāṣya	sAFKya-kArikAH gOxa-pAda-BAzya
   sūkṣmaśarīrasyopacayaṃ kurvīta tat sūkṣmaśarīraṃ	sUkzma-SarIrasya-upacayam kurvIta tat sUkzma-SarIram
   punarmāturaśitapītanānāvidharasena nābhīnibandhenāpyāyate tathā prārabdhaṃ	punar-mAtuH-aSita-pIta-nAnAviDa-rasena nABI-nibanDena-ApyAyate taTA prArabDam
   śarīraṃ sūkṣmairmātāpitṛjaiśca saha mahābhūtaistrividhā viśeṣaiḥ	SarIram sUkzmEH-mAtA-pitR-jEH-ca saha mahABUtEH-triviDA viSezEH
   pṛṣṭhodarajaṃghākaṭyuraḥ śiraḥ prabhṛti ṣāṭ kauśikaṃ pañcabhautikaṃ	pRzWodara-jaMGA-kawI-uraH SiraH praBRti zAw kOSikam paQca-BOtikam
   rudhiramāṃsasnāyuśukrāsthimajjāsaṃbhṛtamākāśo 'vakāśadānādvāyurvarddhanāt	ruDira-mAMsa-snAyu-Sukra-asTi-majjA-saMBRtam-AkASaH avakASa-dAnAt-vAyuH-vardDanAt
   tejaḥ pākādāpaḥ saṃgrahātpṛthivī dhāraṇāt samastāvayavopetaṃ	tejaH pAkAdApaH saMgrahAt-pRTivI DAraNAt samasta-avayava-upetam
   māturudarādbahirbhavati / evamete trividhā viśeṣā syuḥ / atrāha ke nityāḥ	mAtuH-udarAt-bahis-Bavati / evam-ete triviDAH viSezA syuH / atra-Aha ke nityAH
   ke vānityāḥ sūkṣmāsteṣāṃ niyatāḥ sūkṣmāstanmātrasaṃjñakāsteṣāṃ madhye	ke vA-anityAH sUkzmAH-tezAm niyatAH sUkzmAH-tanmAtra-saMjQakAH-tezAm maDye
   niyatā nityāstairārabdhaṃ śarīraṃ karmavaśāt	niyatAH nityAH-tEH-ArabDam SarIram karma-vaSAt-
   paśumṛgapakṣisarīsṛpasthāvarajātiṣu saṃsarati	paSu-mRga-pakzi-sarIsRpa-sTAvara-jAtizu saMsarati
   dharmavaśādindrakādilokeṣvevametanniyataṃ sūkṣmaśarīraṃ sarati yāvat	Darma-vaSAt-indraka-Adi-lokezu-evam-etat-niyatam sUkzmaSarIram sarati yAvat-
   jñānamutpadyate utpanne jñāne vidvāṃñcharīraṃ tyaktvā mokṣaṃ gacchati	jQAnam-utpadyate utpanne jQAne vidvAnn-SarIram tyaktvA mokzam gacCati
   tasmādete viśeṣā sūkṣmā nityā iti mātāpitṛjā nivartante tat sūkṣmaśarīraṃ	tasmAt-ete viSezA sUkzmAH nityAH iti mAtA-pitR-jAH nivartante tat sUkzma-SarIram
   parityajyehaiva prāṇatyāgavelāyāṃ mātāpitṛjā nivartante maraṇakāle	parityajya-iha-eva prANatyAga-velAyAm mAtA-pitR-jAH nivartante maraNa-kAle
   mātāpitṛjaṃ śarīramihaiva nivarttya bhūmyādiṣu pralīyate yathā tattvaṃ //	mAtA-pitR-jam SarIram-iha-eva nivarttya BUmi-Adizu pralIyate yaTA tattvam //
   sūkṣmaṃ ca kathaṃ saṃsarati tadāha /	sUkzmam ca kaTam saMsarati tat-Aha /
   pūrvotpannamasaktaṃ niyataṃ mahadādisūkṣmaparyantam /	pUrva-utpannam-asaktam niyatam mahat-Adi-sUkzma-paryantam /
   saṃsarati nirupabhogaṃ bhāvairadhivāsitaṃ liṅgam // ISk_40 //	saMsarati nirupaBogam BAvEH-aDivAsitam liFgam // ISc-_40 //
   yadā lokānupannāḥ pradhānādisarge tadā sūkṣmaśarīramutpannamiti /	yadA lokAnupannAH praDAna-Adi-sarge tadA sUkzmaSarIram-utpannam-iti /
   kiṃcānyadasaktaṃ na saṃyuktaṃ tiryagyonidevamānuṣasthāneṣu sūkṣmatvāt	kiMca-anyat-asaktam na saMyuktam tiryagyoni-deva-mAnuza-sTAnezu sUkzma-tvAt-
   kutracidasaktaṃ parvatādiṣvapratihataprasaraṃ sarti gacchati / nityaṃ	kutracid-asaktam parvata-Adizu-apratihata-prasaram sarti gacCati / nityam
   yāvannajñānamutpadyate tāvat saṃsarati tacca mahadādisūkṣmaparyantaṃ	yO=-at-na-jQAnam-utpadyate tAvat saMsarati tat-ca mahat-Adi-sUkzma-paryantam
   mahānādau yasya tanmahadādi buddhirahaṃkāro mana iti pañca tanmātrāṇi	mahAn-AdO yasya tat-mahat-Adi budDiH-ahaMkAraH manaH iti paQca tanmAtrANi
   sūkṣmaparyantaṃ tanmātraparyantaṃ saṃsarati śūlagrahapipīlikāvat trīnapi	sUkzma-paryantam tanmAtra-paryantam saMsarati SUla-graha-pipIlikA-vat trIn-api
   lokān / nirupabhogaṃ bhogarahitaṃ tat sūkṣmaśarīraṃ pitṛmātṛjena	lokAn / nirupaBogam Boga-rahitam tat sUkzmaSarIram pitR-mAtR-jena
   bāhyenopacayena kriyādharmagrahaṇāt bhogeṣu samarthaṃ bhavatītyarthaḥ /	bAhyena-upacayena kriyA-Darma-grahaNAt Bogezu samarTam Bavati-iti-arTaH /
   bhāvairadhivāsitaṃ purastādbhāvān dharmādīn	BAvEH-aDivAsitam purastAt-BAvAn Darma-AdIn
   vakṣyāmastairadhivāsitamuparaṃjitaṃ liṃgamiti / pralayakāle	vakzyAmaH-tEH-aDivAsitam-uparaMjitam liMgam-iti / pralaya-kAle
   mahadādisūkṣmaparyantaṃ karaṇopetaṃ pradhāne līyate asaṃsaraṇayuktaṃ sadā	mahat-Adi-sUkzma-paryantam karaNa-upetam praDAne lIyate asaMsaraNa-yuktam sadA
   sargakālamatra varttate prakṛtimohabandhanabaddhaṃ sat	sarga-kAlam-atra varttate prakRti-moha-banDana-badDam sat-
   saṃsaraṇādikriyāsvasamarthamiti punaḥ sargakāle saṃsarati tasmālliṃgaṃ	saMsaraNa-Adi-kriyAsu-asamarTam-iti punar sarga-kAle saMsarati tasmAt-liMgam
   sūkṣmam // 40 //	sUkzmam // 40 //
   kiṃ prayojanena trayodaśavidhaṃ karaṇaṃ saṃsaratītyevaṃ codite satyāha /	kim prayojanena trayodaSaviDam karaNam saMsarati-iti-evam codite satyAha /
   citraṃ yathāśrayamṛte sthāṇvādibhyo yathā vinā chāyā /	citram yaTA-ASrayam-Rte sTANu-AdiByaH yaTA vinA CAyA /
   tadvadvinā viśeṣaistiṣṭhati na nirāśrayaṃ liṅgam // ISk_41 //	tadvat-vinA viSezEH-tizWati na nirASrayam liFgam // ISc-_41 //
   citraṃ yathā kuḍyāśrayamṛte na tiṣṭhati sthāṇvādibhyaḥ kīlakādibhyo vinā	citram yaTA kuxya-ASraya-m-Rte na tizWati sTANu-AdiByaH kIlaka-AdiByaH vinA
   chāyā na tiṣṭhati tairvinā na bhavatyādigrahaṇādyathā śaityaṃ vinā nāpo	CAyA na tizWati tEH-vinA na Bavati-Adi-grahaNAt-yaTA SEtyam vinA na-apaH-
   bhavanti śaityaṃ vādbhirvinā / agniruṣṇaṃ vinā vāyuḥ sparśaṃ vinā	Bavanti SEtyam vA-adBiH-vinA / agniH-uzNam vinA vAyuH sparSam vinA
   ākāśamavakāśaṃ vinā pṛthivī gandhaṃ vinā tadvadetena dṛṣṭāntena nyāyana	AkASam-avakASam vinA pRTivI ganDam vinA tadvat-etena dRzwAntena nyAyana
   vinā viśeṣairaviśeṣaistanmātrairvinā na tiṣṭhati / atha	vinA viSezEH-aviSezEH-tanmAtrEH-vinA na tizWati / aTa
   viśeṣabhūtānyucyante śarīraṃ pañcabhūtamayaṃ vaiśeṣiṇā śarīreṇa vinā kva	viSeza-BUtAni-ucyante SarIram paQcaBUta-mayam vESeziNA SarIreNa vinA kva
   liṅgasthānaṃ ceti kva ekadehamujjhati tadevānyamāśrayati	liFga-sTAnam ca-iti kva eka-deham-ujJati tat-eva-anyam-ASrayati
   nirāśrayamāśrayarahitaṃ liṅgaṃ trayodaśa vidhaṃ karaṇamityarthaḥ // 41 //	nirASrayam-ASraya-rahitam liFgam trayodaSa viDam karaNam-iti-arTaH // 41 //
   kimarthaṃ taducyate /	kimarTam tat-ucyate /
   puruṣārthahetukamidaṃ nimittanaimittikaprasaṅgena /	puruza-arTa-hetukam-idam nimitta-nEmittika-prasaFgena /
   prakṛtervibhutvayogānnaṭavadvyavatiṣṭhate liṅgam // ISk_42 //	prakRteH-viBu-tva-yogAn-nawa-vat-vyavatizWate liFgam // ISc-_42 //
   puruṣārthaḥ kartavya iti pradhānaṃ pravarttate sa ca dvividhaḥ	puruza-arTaH kartavyaH iti praDAnam pravarttate sa ca dviviDaH
   śabdādyupalabdhilakṣaṇo guṇapuruṣāntaro labdhilakṣaṇaśca /	Sabda-Adi-upalabDi-lakzaNaH guNa-puruza-antaraH labDi-lakzaNaH-ca /
   śabdādyupalabdhirbrahmādiṣu lokeṣu gandhādibhogāvāptiḥ	Sabda-Adi-upalabDiH-brahma-Adizu lokezu ganDa-Adi-Boga-avAptiH
   guṇapuruṣāntaropalabdhirmokṣa iti tasamāduktaṃ puruṣārthahetukamidaṃ	guNa-puruza-antara-upalabDiH-mokzaH iti tasamAt-uktam puruza-arTa-hetukam-idam
   sūkṣmaśarīraṃ pravarttata iti / nimittanaimittikaprasaṃgena nimittaṃ	sUkzmaSarIram pravarttate iti / nimitta-nEmittika-prasaMgena nimittam
   dharmādi naimittikamūrddhvagamanādi purastādeva vakṣyāmaḥ prasaṃgena	Darma-Adi nEmittika-mUrdDva-gamana-Adi purastAt-eva vakzyAmaH prasaMgena
   prasaktyā prakṛteḥ pradhānasya vibhutvayogādyathā rājā svarāṣṭre	prasaktyA prakRteH praDAnasya viBu-tva-yogAt-yaTA rAjA sva-rAzwre
   vibhutvādyadyadicchati tattat karotīti tathā prakṛteḥ sarvatra	viBu-tvAt-yat-yat-icCati tat-tat karoti-iti taTA prakRteH sarvatra
   vibhutvayogānnimittanaimittakaṃ prasaṃgena vyavatiṣṭhate pṛthak	viBu-tva-yogAt-nimitta-nEmittakam prasaMgena vyavatizWate pRTak-
   pṛthagdehadhāraṇe liṅgasya vyavasthāṃ karoti / liṃgaṃ sūkṣmaḥ	pRTak-deha-DAraNe liFgasya vyavasTAm karoti / liMgam sUkzmaH
   paramāṇubhistanmātrairūpacitaṃ śarīraṃ trayodaśavidhakaraṇopetaṃ	paramANuBiH-tanmAtrErUpacitam SarIram trayodaSaviDa-karaNa-upetam
   mānuṣadevatiryagyoniṣu vyavatiṣṭhate kathaṃ naṭavat yathā naṭaḥ	mAnuza-deva-tiryagyonizu vyavatizWate kaTam nawa-vat yaTA nawaH
   paṭāntareṇa praviśya devo bhūtvā nirgacchati punarmānuṣaḥ punarvidūṣakaḥ /	pawa-antareNa praviSya devaH BUtvA nirgacCati punar-mAnuzaH punar-vidUzakaH /
   evaṃ liṃgaṃ nimittanaimittikaprasaṃgenodarāntaḥ praviśya hastī strī pumān	evam liMgam nimitta-nEmittika-prasaMgena-udara-antaH praviSya hastI strI pumAn
   bhavati // 42 //	Bavati // 42 //
   bhāvairadhivāsitaṃ liṃgaṃ saṃsaratītyuktaṃ tat ke bhāvā ityāha /	BAvEH-aDivAsitam liMgam saMsarati-iti-uktam tat ke BAvAH iti-Aha /
   sāṃsiddhikāśca bhāvāḥ prākṛtikā vaikṛtāśca dharmādyāḥ /	sAMsidDikAH-ca BAvAH prAkRtikAH vEkRtAH-ca Darma-AdyAH /
   dṛṣṭāḥ karaṇāśrayiṇaḥ kāryāśrayiṇaśca kalalādyāḥ // ISk_43 //	dRzwAH karaNa-ASrayiNaH kArya-ASrayiNaH-ca kalala-AdyAH // ISc-_43 //
   bhāvāstrividhāścintyante sāṃsiddhikāḥ prākṛtā vaikṛtāśca / tatra	BAvAH-triviDAH-cintyante sAMsidDikAH prAkRtAH vEkRtAH-ca / tatra
   sāṃsiddhikā yathā bhavagataḥ kapilasyādisarge utpadyamānasya catvāro	sAMsidDikAH yaTA Bava-gataH kapilasya-Adisarge utpadyamAnasya catvAraH-
   bhāvāḥ sahotpannāḥ dharmo jñānaṃ vairāgyamaiśvaryamiti / prākṛtāḥ	BAvAH saha-utpannAH DarmaH jQAnam vErAgyam-ESvaryam-iti / prAkRtAH
   kathyante brahmaṇaścatvāraḥ putrāḥ sanakasanandanasanātanasanatkumārā	kaTyante brahmaNaH-catvAraH putrAH sanaka-sanandana-sanAtanasanatkumArA
   babhūvuḥ / teṣāmutpannakāryakāraṇānāṃ śarīriṇāṃ ṣoḍaśavarṣāṇāmete	baBUvuH / tezAm-utpanna-kArya-kAraNAnAm SarIriNAm zoxaSa-varzANAm-ete
   bhāvāścatvāraḥ samutpannāstasmādete prākṛtāḥ / tathā vaikṛtā yathā	BAvAH-catvAraH samutpannAH-tasmAt-ete prAkRtAH / taTA vEkRtAH yaTA
   ācāryamūrttiṃ nimittaṃ kṛtvāsmadādīnāṃ jñānamutpadyate jñānādvairāgyaṃ	AcArya-mUrttim nimittam kRtvA-asmad-AdInAm jQAnam-utpadyate jQAnAt-vErAgyam
   vairāgyāddharmo dharmādaiśvaryamiti / ācāryamūrttirapi vikṛtiriti	vErAgyAt-DarmaH DarmAt-ESvaryam-iti / AcArya-mUrttiH-api vikRtiH-iti
   tasmādvaikṛtā ete bhāvā ucyante yairadhivāsitaṃ liṅgaṃ saṃsarati ete	tasmAt-vEkRtAH ete BAvAH ucyante yEH-aDivAsitam liFgam saMsarati ete
   catvāro bhāvāḥ sātvikāstāmasāviparītāḥ sāttvikametadrūpaṃ	catvAraH BAvAH sAtvikAH-tAmasa-aviparItAH sAttvikam-etat-rUpam
   tāmasamasmādviparyastamityatra vyākhyātā evamaṣṭau dharmo jñānaṃ	tAmasam-asmAt-viparyastam-iti-atra vyAKyAtAH evam-azwO DarmaH jQAnam
   vairāgyamaiśvaryamadharmo 'jñānamavairāgyamanaiśvaryamityaṣṭau bhāvāḥ /	vErAgyam-ESvaryam-aDarmaH ajQAnam-avErAgyam-anESvaryam-iti-azwO BAvAH /
   etaduktamadhyavasāyo buddhiḥ dharmo jñānamiti kāryaṃ dehastadāśrayāḥ	etat-ukta-maDyavasAyaH budDiH DarmaH jQAnam-iti kAryam dehaH-tad-ASrayAH
   kalalādyā ye mātṛjā ityuktāḥ śukraśoṇitasaṃyoge vivṛddhihetukāḥ kalalādyā	kalala-AdyAH ye mAtR-jAH iti-uktAH Sukra-SoNita-saMyoge vivRdDi-hetukAH kalala-AdyA
   budbudamāṃsapeśīprabhṛtayaḥ / tathā kaumārayauvanasthaviratvādayo bhāvā	budbuda-mAMsa-peSI-praBRtayaH / taTA kOmAra-yOvana-sTavira-tva-AdayaH BAvA
   annapānarasanimittā niṣpadyanta ataḥ kāryāśrayiṇa ucyanta	anna-pAna-rasa-nimittAH nizpadyanta atas kArya-ASrayiNaH ucyanta
   annādiviṣayabhoganimittā jāyante // 43 //	anna-Adi-vizaya-Boga-nimittAH jAyante // 43 //
   nimittanaimittikaprasaṅgeneti yaduktamatrocyate /	nimitta-nEmittika-prasaFgena-iti yat-uktam-atra-ucyate /
   dharmeṇa gamanamūrdhvaṃ gamanamadhastādbhavatyadharmeṇa /	DarmeNa gamanam-UrDvam gamanam-aDastAt-Bavati-aDarmeNa /
   jñānena cāpavargo viparyayādiṣyate bandhaḥ // ISk_44 //	jQAnena ca-apavargaH viparyayAt-izyate banDaH // ISc-_44 //
   dharmeṇa gamanamūrddhvaṃ dharmaṃ nimittaṃ kṛtvorddhvamupanayati	DarmeNa gamanam-UrdDvam Darmam nimittam kRtvA-UrdDvam-upanayati
   ūrddhvamityaṣṭau sthānāni gṛhyante / tadyathā / brāhmaṃ prājāpatyaṃ	UrdDvam-iti-azwO sTAnAni gRhyante / tat-yaTA / brAhmam prAjApatyam
   saumyamaindraṃ gāndharvaṃ rākṣasaṃ paiśācamiti tat sūkṣmaṃ śarīraṃ	sOmyam-Endram gAnDarvam rAkzasam pESAcam-iti tat sUkzmam SarIram
   gacchati paśumṛgapakṣisarīsṛpasthāvarānteṣvadharmo nimittam / kiṃca	gacCati paSu-mRga-pakzi-sarIsRpa-sTAvara-antezu-aDarmaH nimittam / kiMca
   jñānena cāpavargaśca pañcaviṃśatitattvajñānaṃ tena nimittenāpavargo mokṣaḥ	jQAnena ca-apavargaH-ca paQcaviMSati-tattva-jQAnam tena nimittena-apavargaH mokzaH
   tataḥ sūkṣmaṃ śarīraṃ nivartate paramātmā ucyate / viparyayādiṣyate	tatas sUkzmam SarIram nivartate paramAtmA ucyate / viparyayAt-izyate
   bandhaḥ ajñānaṃ nimittaṃ sa caiṣa naimittikaḥ prākṛto vaikāriko	banDaH ajQAnam nimittam sa ca-eza nEmittikaH prAkRtaH vEkArikaH-
   dākṣiṇikaśca bandha iti vakṣyati purastāt yadidamuktam / 'prākṛtena ca	dAkziNikaH-ca banDaH iti vakzyati purastAt yat-idam-uktam / aprAkRtena ca
   bandhena tathā vaikārikeṇa ca / dakṣiṇābhistṛtīyena baddho nānyena	banDena taTA vEkArikeNa ca / dakziNABiH-tRtIyena badDaH na-anyena
   mucyate'; // 44 //	mucyate-a; // 44 //
   tathānyadapi nimittam /	taTA-anyat-api nimittam /
   vairāgyātprakṛtilayaḥ saṃsāro bhavati rājasādrāgāt /	vErAgyAt-prakRti-layaH saMsAraH Bavati rAjasAt-rAgAt /
   aiśvaryādavighāto viparyayāttadviparyāsaḥ // ISk_45 //	ESvaryAt-aviGAtaH viparyayAt-tad-viparyAsaH // ISc-_45 //
   yathā kasyacidvairāgyamasti na tattvajñānaṃ tasmādajñānapūrvādvairāgyāt	yaTA kasyacid-vErAgyam-asti na tattva-jQAnam tasmAt-ajQAna-pUrvAt-vErAgyAt-
   prakṛtilayo mṛto 'ṣṭāsu prakṛtiṣu pradhānabuddhyahaṅkāratanmātreṣu līyate	prakRti-layaH mRtaH azwAsu prakRtizu praDAna-budDi-ahaFkAra-tanmAtrezu lIyate
   na mokṣaḥ tato bhūyo 'pi saṃsarati / tathā yo 'yaṃ rājaso rāgaḥ yajāmi	na mokzaH tatas BUyas api saMsarati / taTA yaH ayam rAjasaH rAgaH yajAmi
   dakṣiṇāṃ dadāmi yenāmuṣmiṃlloke 'tra yaddivyaṃ mānuṣaṃ	dakziNAm dadAmi yena-amuzmin=-loke atra yat-divyam mAnuzam
   sukhamanubhavāmyetasmādrājasādrāgāt saṃsāro bhavati / tathā	suKam-anuBavAmi-etasmAt-rAjasAt-rAgAt saMsAraH Bavati / taTA
   aiśvaryādavighātaḥ etadaiśvaryamaṣṭaguṇamaṇimādiyuktaṃ	ESvaryAt-aviGAtaH etat-ESvaryam-azwaguNa-maNima-Adi-yuktam
   tasmādaiśvaryanimittādavighāto naimittiko bhavati brāhmādiṣu	tasmAt-ESvarya-nimittAt-aviGAtaH nEmittikaH Bavati brAhma-Adizu
   sthāneṣvaiśvaryaṃ na vihanyate / kiṃcānyadviparyayādviparyāsaḥ	sTAnezu-ESvaryam na vihanyate / kiMca-anyat-viparyayAt-viparyAsaH
   tasyāvighātastasya viparyāso vighāto bhavatyanaiśvaryāt sarvatra vihanyate	tasya-aviGAtaH-tasya viparyAsaH viGAtaH Bavati-anESvaryAt sarvatra vihanyate
   / kiṃcānyadviparyādviparyāsaḥ syāvighātasya viparyāso vighāto	/ kiMca-anyat-viparyAt-viparyAsaH sya-aviGAtasya viparyAsaH viGAtaH-
   bhavatyanaiśvaryāt sarvatra vihanyate // 45 //	Bavati-anESvaryAt sarvatra vihanyate // 45 //
   eṣa nimittaiḥ saha naimittikaḥ ṣoḍaśavidho vyākhyātaḥ / sa kimātmaka	eza nimittEH saha nEmittikaH zoxaSaviDaH vyAKyAtaH / sa kimAtmaka
   ityāha /	iti-Aha /
   eṣa pratyayasargo viparyayāśaktituṣṭisiddhyākhyaḥ /	eza pratyaya-sargaH viparyaya-aSakti-tuzwi-sidDi-AKyaH /
   guṇavaiṣamyavimardāt tasya bhedāstu pañcāśat // ISk_46 //	guNa-vEzamya-vimardAt tasya BedAH-tu paQcASat // ISc-_46 //
   yathā eṣa ṣoḍaśavidho nimittanaimittabhedo vyākhyāta eṣa pratyayasarga	yaTA eza zoxaSaviDaH nimitta-nEmitta-BedaH vyAKyAtaH eza pratyaya-sarga
   ucyate / pratyayo buddhirityuktādhyavasāyo buddhirdharmo jñānamityādi sa	ucyate / pratyayaH budDiH-iti-ukta-aDyavasAyaH budDiH-DarmaH jQAnam-ityAdi sa
   ca pratyayasargaścaturdhā bhidyate viparyayāśaktituṣṭisiddhākhyabhedāt /	ca pratyaya-sargaH-caturDA Bidyate viparyaya-aSakti-tuzwi-sidDa-AKya-BedAt /
   tatra saṃśayo 'jñānam / yathā kasyacit sthāṇudarśane sthāṇurayaṃ puruṣo	tatra saMSayaH ajQAnam / yaTA kasyacid sTANu-darSane sTANuH-ayam puruzaH-
   veti saṃśayaḥ / aśaktiryathā / tameva sthāṇuṃ samyadgṛṣṭvā saṃśayaṃ	vA-iti saMSayaH / aSaktiH-yaTA / tam-eva sTANum samyat-gRzwvA saMSayam
   chettuṃ na śaknotītyaśaktiḥ / evaṃ tṛtīyastuṣṭyākhyo yathā / tameva	Cettum na Saknoti-iti-aSaktiH / evam tRtIyaH-tuzwi-AKyaH yaTA / tam-eva
   sthāṇuṃ jñātuṃ saṃśayituṃ vā necchati kimanenāsmākamityeṣā tuṣṭiḥ /	sTANum jQAtum saMSayitum vA na-icCati kim-anena-asmAkam-iti-ezA tuzwiH /
   caturthaḥ siddhākhyo yathā / ānanditendriyaḥ sthāṇumārūḍhāṃ valliṃ paśyati	caturTaH sidDa-AKyaH yaTA / Anandita-indriyaH sTANum-ArUXAm vallim paSyati
   śakuniṃ vā tasya siddhirbhavati sthāṇurayamiti / evamasya caturvidhasya	Sakunim vA tasya sidDiH-Bavati sTANuH-ayam-iti / evam-asya caturviDasya
   pratyayasargasya guṇavaiṣamyavimardde tasya bhedāstu pañcāśat yo 'yaṃ	pratyaya-sargasya guNa-vEzamya-vimardde tasya BedAH-tu paQcASat yaH ayam
   sattvarajastamoguṇānāṃ vaiṣamyo vimarddaḥ tena tasya pratyayasargasya	sattva-rajaH-tamaH-guNAnAm vEzamyaH vimarddaH tena tasya pratyaya-sargasya
   pañcāśadbhedā bhavanti tathā kvāpi sattvamutkaṭaṃ rajastamasī udāsīne	paQcASat-BedAH Bavanti taTA kvApi sattvam-utkawam rajaH-tamasI udAsIne
   kvāpi rajaḥ kvāpi tama iti // 46 //	kvApi rajaH kvApi tamaH iti // 46 //
   bhedāḥ kathyante /	BedAH kaTyante /
   pañca viparyayabhedā bhavantyaśakteśca karaṇavaikalyāt /	paQca viparyaya-BedAH Bavanti-aSakteH-ca karaNa-vEkalyAt /
   aṣṭāviṃśatibhedāstuṣṭirnavadhāṣṭadhā siddhiḥ // ISk_47 //	azwAviMSati-BedAH-tuzwiH-navaDA-azwaDA sidDiH // ISc-_47 //
   pañca viparyayabhedāste yathā tamo moho mahāmohastāmisro 'ndhatāmisra	paQca viparyaya-BedAH-te yaTA tamaH mohaH mahAmohaH-tAmisraH anDatAmisra
   ityeṣāṃ bhedānāṃ nānātvaṃ vakṣyate 'nantarameveti /	iti-ezAm BedAnAm nAnAtvam vakzyate anantaram-eva-iti /
   aśaktestvaṣṭāviṃśatibhedā bhavanti karaṇavaikalyāt tānapi vakṣyāmastathā	aSakteH-tu-azwAviMSati-BedAH Bavanti karaNa-vEkalyAt tAn-api vakzyAmaH-taTA
   ca tuṣṭirnavadhā ūrddhvasrotasi rājasāni jñānāni / tathāṣṭavidhā siddhiḥ	ca tuzwiH-navaDA UrdDva-srotasi rAjasAni jQAnAni / taTA-azwaviDA sidDiH
   sāttvikāni jñānāni tatraivorddhvasrotasi / etat krameṇaiva vakṣyante // 47	sAttvikAni jQAnAni tatra-eva-UrdDvasrotasi / etat krameNa-eva vakzyante // 47
   tatra viparyayabhedā ucyante /	tatra viparyaya-BedAH ucyante /
   bhedastamaso 'ṣṭavidho mohasya ca daśavidho mahāmohaḥ /	BedaH-tamasaH azwaviDaH mohasya ca daSaviDaH mahAmohaH /
   tāmisro 'ṣṭādaśadhā tathā bhavatyandhatāmisraḥ // ISk_48 //	tAmisraH azwAdaSaDA taTA Bavati-anDatAmisraH // ISc-_48 //
   tamasastāvadaṣṭadhā bhedaḥ pralayo 'jñānādvibhajyate so 'ṣṭāsu prakṛtiṣu	tamasaH-tAvat-azwaDA BedaH pralayaH ajQAnAt-viBajyate saH azwAsu prakRtizu
   līyate pradhānabuddhyahaṃkārapañcatanmātrāṣṭāsu tatra līnamātmānaṃ manyate	lIyate praDAna-budDi-ahaMkAra-paQca-tanmAtra-azwAsu tatra lInam-AtmAnam manyate
   mukto 'hamiti tamo bheda eṣo 'ṣṭavidhasya mohasya bhedo 'ṣṭavidha	muktaH aham-iti tamaH BedaH ezaH azwaviDasya mohasya BedaH azwaviDa
   evetyarthaḥ / yatrāṣṭaguṇamaṇimādyaiśvaryaṃ tatra saṃgādindrādayo devā na	eva-iti-arTaH / yatra-azwaguNa-maNima-Adi-ESvaryam tatra saMgAt-indra-AdayaH devAH na
   mokṣaṃ prāpnuvanti punaśca tat kṣaye saṃsarantyeṣo 'ṣṭavidho moha iti /	mokzam prApnuvanti punar-ca tat kzaye saMsaranti-ezaH azwaviDaH mohaH iti /
   daśavidho mahāmohaḥ śabdasparśarūparasagandhā devānāmete pañcaviṣayāḥ	daSaviDaH mahA-mohaH Sabda-sparSa-rUpa-rasa-ganDAH devAnAm-ete paQca-vizayAH
   sukhalakṣaṇāḥ mānuṣāṇāmapyete eva śabdādayaḥ pañca viṣayā evameteṣu daśasu	suKa-lakzaNAH mAnuzANAm-api-ete eva Sabda-AdayaH paQca vizayAH evam-etezu daSasu
   mahāmoha iti / tāmisro 'ṣṭadaśadhāṣṭāvidhamaiśvaryaṃ dṛṣṭānuśravikā viṣayā	mahAmohaH iti / tAmisraH azwadaSaDA-azwAviDam-ESvaryam dRzwa-AnuSravikA vizayA
   daśa eteṣāmaṣṭādaśānāṃ sampadamanunandanti vipadaṃ nānumodantyeṣo	daSa etezAm-azwAdaSAnAm sampadam-anunandanti vipadam na-anumodanti-ezo
   'ṣṭādaśavidho vikalpastāmisro / tathā tāmisramaṣṭaguṇamaiśvaryaṃ	azwAdaSaviDaH vikalpaH-tAmisraH / taTA tAmisram-azwaguNam-ESvaryam
   dṛṣṭānuśravikā daśaviṣayāstathāndhatāmisro 'pyaṣṭādaśabheda eva kiṃtu	dRzwa-AnuSravikAH daSa-vizayAH-taTA-anDatAmisraH api-azwAdaSa-BedaH eva kiMtu
   viṣayasampattau sambhogakāle ya eva mriyate 'ṣṭaguṇaiśvaryādvā bhraśyate	vizaya-sampattO samBoga-kAle yaH eva mriyate azwaguNa-ESvaryAt-vA BraSyate
   tatastasya mahadduḥkhamutpadyate so 'ndhatāmisra iti / evaṃ	tatas-tasya mahat-duHKam-utpadyate saH anDatAmisraH iti / evam
   viparyayabhedāstamaḥ prabhṛtayaḥ pañca pratyekaṃ bhidyamānā dviṣaṣṭibhedāḥ	viparyaya-BedAH-tamaH praBRtayaH paQca pratyekam BidyamAnAH dvi-zazwi-BedAH
   saṃvṛttā iti // 48 //	saMvRttAH iti // 48 //
   aśaktibhedāḥ kathyante /	aSakti-BedAH kaTyante /
   ekādaśendriyavadhāḥ saha buddhivadhairaśaktiruddiṣṭā /	ekAdaSa-indriya-vaDAH saha budDi-vaDEH-aSaktiH-uddizwA /
   saptadaśavadhā buddherviparyayāttuṣṭisiddhīnām // ISk_49 //	saptadaSa-vaDAH budDeH-viparyayAt-tuzwi-sidDInAm // ISc-_49 //
   bhavantyaśakteśca karaṇavaikalyādaṣṭāviṃśatibhedā ityuddiṣṭaṃ	Bavanti-aSakteH-ca karaNa-vEkalyAt-azwAviMSati-BedAH iti-uddizwam
