   brahmasūtraśāṅkarabhāṣyam	brahmasUtra SAFkara BAzyam
   anadhyasta ātmabhāvaḥ ātmatādātmyaṃ yasmin tanetyarthaḥ /	anaDyastaH Atma BAvaH Atma tAdAtmyam yasmin tanA iti arTaH /
   'asaṅgo hi'iti śruteḥ, ādhyāsika eva dehātmanoḥ saṃbandho na saṃyogādiriti	aasaFgaH hi aiti SruteH, ADyAsikaH eva deha AtmanoH saMbanDaH na saMyoga AdiH iti
   bhāvaḥ /	BAvaH /
   nanvātmano dehādibhirādhyāsikasaṃbandho 'pi māstu, svataścetanatayā	nanu AtmanaH deha AdiBiH ADyAsika saMbanDaH api mA astu, svatas cetana tayA
   pramātṛtvopapatteḥ /	pramAtR tva upapatteH /
   na ca suṣuptau pramātṛtvāpattiḥ karaṇoparamāditi tatrāha na caitasminniti	na ca suzuptO pramAtR tva ApattiH karaNa uparamAt iti tatra aha na ca etasmin= iti
   pramāśrayatvaṃ hi pramātṛtvam /	pramA ASraya tvam hi pramAtR tvam /
   pramā yadi nityacinmātraṃ tarhyāśrayatvāyogaḥ karaṇavaiyarthyaṃ ca /	pramA yadi nitya cit mAtram tarhi ASraya tva ayogaH karaNa vEyarTyam ca /
   yadi vṛttimātraṃ, jagadāndhyaprasaṅgaḥ, vṛtterjaḍatvāt /	yadi vRtti mAtraM, jagat AnDya prasaFgaH, vRtteH jaxa tvAt /
   ato vṛttīdvo bodhaḥ pramā, tadāśrayatvamasaṅgasyātmano	atas vRttIdvaH boDaH pramA, tad ASraya tvam asaFgasya AtmanaH 
   vṛttimanmanastādātmyādhyāsaṃ vinā na saṃbhavatīti bhāvaḥ /	vRttimat manaH tAdAtmya aDyAsam vinA na saMBavati iti BAvaH /
   dehādhyāse, taddharmādhyāse cāsatītyakṣarārthaḥ /	deha aDyAse, tad Darma aDyAse ca asati iti akzara arTaH /
   tarhyātmanaḥ pramātṛtvaṃ māstu iti vadantaṃ pratyāha na ceti /	tarhi AtmanaH pramAtR tvam mA astu iti vadantam pratyAha na ca iti /
   tasmādātmanaḥ pramātṛtvādivyavahārārthamadhyāso 'ṅgīkartavya	tasmAt AtmanaH pramAtR tva Adi vyavahAra arTam aDyAsaH aFgIkartavya
   ityanumānārthāpattyoḥ phalamupasaṃharati tasmāditi /	iti anumAna arTApattyoH Palam upasaMharati  tasmAt iti /
   pramāṇasattvādityarthaḥ /	pramANa sattvAt iti arTaH /
   yadvā pramāṇapraśnaṃ samādhāyākṣepaṃ pariharati tasmāditi /	yat vA pramANa praSnam samADAya Akzepam pariharati tasmAt iti /
   ahamityadhyāsasya pramātrantargatatvenādoṣatvāt, avidyāvadāśrayāṇyapi	aham iti aDyAsasya pramAtR antargata tvena adoza tva at, avidyAvat ASrayANi api
   pramāṇānyeveti yojanā /	pramANAni eva iti yojanAH /
   sati pramātari paścādbhavan doṣa ityucyate, yathā kācādiḥ /	sati pramAtari paScAt Bavan dozaH iti ucyate, yaTA kAca AdiH /
   avidyā tu pramātrantargatatvānna doṣaḥ, yena pratyakṣādīnāmaprāmāṇyaṃ	avidyA tu pramAtR antargata tvAt na dozaH, yena pratyakza AdInAm aprAmANyam
   bhavediti bhāvaḥ /	Bavet iti BAvaH /
   nanu yaduktamanvayavyatirekābhyāṃ vyavahāro 'dhyāsakārya iti, tadayuktaṃ	nanu yat uktam anvaya vyatirekAByAm vyavahAraH aDyAsa kAryaH iti, tat ayuktam
   viduṣāmadhyāsābhāve 'pi vyavahāradṛṣṭerityata āha paśvādibhiśceti /	viduzAm aDyAsa aBAve api vyavahAra dRzweH iti atas Aha paSu a AdiBiH ca iti /
   caśabdaḥ śaṅkānirāsārthaḥ, kiṃ vidvattvaṃ brahmāsmīti sākṣātkāraḥ uta	caSabdaH SaFkA nirAsa arTaH, kim vidvat tvam brahma asmi iti sAkzAtkAraH uta
   yauktikamātmānātmabhedajñānam /	yOktikam AtmAnAtma Beda jQAnam /
   ādye bādhitādhyāsānuvṛttyā vyavahāra ithi samanvayasūtre vakṣyate /	Adye bADita aDyAsa anuvRttyA vyavahAraH iTi samanvaya sUtre vakzyate /
   dvitīye parokṣajñānasyāparokṣabhrāntyanivartakatvāt, vivekināmapi	dvitIye parokza jQAnasya aparokza BrAnti anivartaka tvAt, vivekinAm api
   vyavahārakāle paśvādibhiraviśeṣāt adhyāsavattvena tulyatvādvyavahāro	vyavahAra kAle paSu AdiBiH aviSezAt aDyAsavat tvena tulya tvAt vyavahAraH 
   'dhyāsakārya iti yuktamityarthaḥ /	aDyAsa kAryaH iti yuktam iti arTaH /
   atrāyaṃ prayogaḥ vivekino 'dhyāsavantaḥ vyavahāravattvāt, paśvādivaditi /	atra ayam prayogaH vivekinaH aDyAsavantaH vyavahAravat tva at, paSu Adi vat iti /
   tatra saṃgrahavākyaṃ vyākurvan dṛṣṭānte hetuṃ sphuṭayati yathāhīti /	tatra saMgraha vAkyam vyAkurvan dRzwAnte hetum sPuwayati yaTA ahi iti /
   vijñānasyānukūlatvaṃ pratikūlatvaṃ ceṣṭāniṣṭasādhanagocaratvaṃ,	vijQAnasya anukUla tvam pratikUla tvam ca izwA anizwa sADana gocara tvaM,
   tadevodāharati yatheti /	tat eva udAharati yaTA iti /
   ayaṃ daṇḍo madaniṣṭasādhanaṃ, daṇḍatvāt, anubhūtadaṇḍavat, idaṃ tṛṇaṃ	ayam daNxaH mad anizwa sADanan, daNxa tvAt, anuBUta daNxavat, idam tRNam
   iṣṭasādhanaṃ, anubhūtatṛṇavadityanumāya vyavahārantītyarthaḥ /	izwa sADanaM, anuBUta tRNa vat iti anumAya vyavahAranti iti arTaH /
   adhunā hetoḥ pakṣadharmatāmāha evamiti /	aDunA hetoH pakza Darma tAm Aha evam iti /
   vyutpannacittā apītyanvayaḥ /	vyutpanna cittAH api iti anvayaH /
   vivekino 'pītyarthaḥ /	vivekinaH api iti arTaH /
   phalitamāha ata iti /	Palitam Aha ate iti /
   anubhavabalādityartaḥ /	anuBava balAt itya rtaH /
   samāna iti /	samAnaH iti /
   adhyāsakāryatvenatulyaityarthaḥ /	aDyAsa kArya tvena tulyA eti arTaH /
   nanvasmākaṃ pravṛttiradhyāsāditi na paśvādayo bruvanti, nāpi	nanu asmAkam pravRttiH aDyAsAt iti na paSu AdayaH bruvanti, na api
   pareṣāmetatpratyatraṃ ataḥ sādhyavikalo dṛṣṭānta iti netyāha paśvādīnāṃ	parezAm etat pratyatram atas sADya vikalaH dRzwAntaH iti na iti Aha  paSu AdInAm
   ceti /	ca iti /
   teṣāmātmānātmanorjñānamātramasti na vivekaḥ, upadeśābhāvāt /	tezAm AtmAnAtmanoH jQAna mAtram asti na vivekaH, upadeSa aBAvAt /
   ataḥ sāmagrīsattvādadhyāsasteṣāṃ prasiddha ityarthaḥ /	atas sAmagrI sattvAt aDyAsaH tezAm prasidDaH iti arTaH /
   nigamayati tatsāmānyeti /	nigamayati tad sAmAnya iti /
   taiḥ paścādibhiḥ sāmānyaṃ vyavahāravattvaṃ tasya darśanādvivekināmapyayaṃ	tEH paSca AdiBiH sAmAnyam vyavahAravat tvam tasya darSanAt vivekinAm api ayam
   vyavahāraḥ samāna iti niścīyata iti saṃbandhaḥ /	vyavahAraH samAnaH iti niScIyate iti saMbanDaH /
   samānatvaṃ vyavahārasyādhyāsakāryatvenetyuktaṃ purastāt /	samAna tvam vyavahArasya aDyAsa kArya tvena iti uktam purastAt /
   tatroktānvayavyatirekau smārayati tatkā iti /	tatra ukta anvaya vyatirekO smArayati tatkA iti /
   tasyādhyāsasya kāla eva kālo yasya sa tatkālaḥ /	tasya aDyAsasya kAlaH eva kAlaH yasya sa tad kAlaH /
   yadvā adhyāsastadā vyavahāraḥ, tadabhāve suṣuptau tadabhāva	yat vA aDyAsaH tadA vyavahAraH, tad aBAve suzuptO tad aBAva
   ityuktānvayādimāniti yāvat /	iti ukta anvaya AdimAn iti yAvat /
   ato vyavahāraliṅgādvivekināmapi dehādiṣvahaṃmamābhimāno 'stītyanavadyam /	atas vyavahAra liFgAt vivekinAm api deha Adizu ahaMmam a aBimAnaH asti iti anavadyam /
   nanu laukikavyavahārasyādhyāsikatveṣa'pi jyotiṣṭomādivyavahārasya	nanu lOkika vyavahArasya aDyAsika tveza api jyotizwoma Adi vyavahArasya
   nādhyāsajanyatvaṃ, tasya dehātiriktātmajñānapūrvakatvādityāśaṅkya	na aDyAsa janya tvan, tasya deha atirikta Atma jQAna pUrvaka tvAt ityASaFkya
   hetumaṅgīkaroti śāstrīye tviti /	hetum aFgI karoti SAstrIye tu iti /
   tarhi kathaṃ vaidikakarmaṇo 'dhyāsajanyatvasiddhirityāśaṅkya kiṃ tatra	tarhi kaTam vEdika karmaNaH aDyAsa janya tva sidDiH iti ASaFkya kim tatra
   dehānyātmadhīmātramapekṣitamuta, ātmatattvajñānaṃ, ādye	dehAni Atma DI mAtram apekzita muta, Atma tattva jQAnan, Adye
   tasyādhyāsābādhakatvāttatsiddhirityāha tathāpīti /	tasya aDyAsa AbADaka tvAt tad sidDiH iti Aha taTA api iti /
   na dvitīya ityāha na vedānteti /	na dvitIyaH iti Aha na vedAnta iti /
   kṣutpipāsādigrasto jātiviśeṣavānahaṃ saṃsārīti jñānaṃ karmaṇyapekṣitaṃ na	kzuD pipAsA Adi grastaH jAti viSezavAn aham saMsArI iti jQAnam karmaNi apekzitam na
   tadviparītātmatattvajñānaṃ, anupayogāt pravṛttibādhāccetyarthaḥ /	tad viparIta Atma tattva jQAnan, anupayogAt pravRtti bADAt ca iti arTaH /
   śāstrīyakarmaṇo 'dhyāsajanyatvaṃ nigamayati prākveti /	SAstrIya karmaNaH aDyAsa janya tvam nigamayati prAkva iti /
   adhyāse āgamaṃ pramāṇayati yathā hīti /	aDyAse Agamam pramANa yati  yaTA hi iti /
   yathā pratyakṣānumānārthāpattayo 'dhyāse pramāṇaṃ tathāgamo 'pītyarthaḥ /	yaTA pratyakza anumAna arTApattayaH aDyAse pramANam taTA AgamaH api iti arTaH /
   'brāhmaṇo yajeta''na ha vai snātvā bhikṣeta''aṣṭavarṣaṃ	abrAhmaNaH yajeta aanaH ha vE snAtvA Bikzeta aaazwa varzam
   brāhyaṇamupanayīta' 'kṛṣṇakeśo 'gnīnādadhīta'ityāgamo	brAhyaNam upanayIta a akRzNa keSaH agnInAt aDIta aitya AgamaH 
   brāhmaṇādipadairadhikāriṇaṃ varṇadyabhimāninamanuvadan adhyāsaṃ gamayatīti	brAhmaNa Adi padEH aDikAriNam varNa dyaBimAninam anuvadan aDyAsam gamayati iti
   bhāvaḥ /	BAvaH /
   evamadhyāse pramāṇasiddhe 'pi kasya kutrādhyāsa iti jijñāsāyāṃ	evam aDyAse pramANa sidDe api kasya kutra aDyAsaH iti jijQAsAyAm
   tamudāhartuṃ lakṣaṇaṃ smārayati adhyaso nāmeti /	tam udAhartum lakzaNam smArayati  aDyasaH nAma iti /
   udāharati tadyatheti /	udAharati tat yaTA iti /
   tallakṣaṇaṃ yathā spaṣṭaṃ bhavati tathodāhriyata ityarthaḥ /	tad lakzaNam yaTA spazwam Bavati taTA udAhriyate iti arTaH /
   svadehādbhedena pratyakṣāḥ putrādayo bāhyāḥ	sva dehAt Bedena pratyakzAH putra AdayaH bAhyAH
   taddharmānsākalyādīndehaviśiṣṭātmanyadhyasyati, taddharmajñānāt	tad DarmAn sAkalya AdIn deha viSizwa Atmani aDyasyati, tad Darma jQAnAt
   svasmiṃstattulyadharmānadhyasyatītyarthaḥ /	svasmin= tad tulya Darma AnaDyasyati iti arTaH /
   bhedāparokṣajñāne taddharmādhyāsāyogāt, anyathākhyātyanaṅgīkārācceti	Beda aparokza jQAne tad Darma aDyAsa ayoga at, anyaTA AKyAti anaFgIkArAt ca iti
   draṣṭavyam /	drazwavyam /
   dehendriyadharmānmanoviśiṣṭātmanyadhyasyatītyāha tatheti /	deha indriya DarmAt manaH viSizwa Atmani aDi asyati iti Aha  taTA iti /
   kṛśatvādidharmavato dehāderātmani tādātmyena kalpitatvāttaddharmāḥ	kRSa tva Adi DarmavataH deha AdeH Atmani tAdAtmyena kalpita tvAt tad DarmAH
   sākṣādātmanyadhyastā iti mantavyam /	sAkzAt Atmani aDyastAH iti mantavyam /
   ajñātapratyagrūpe sākṣīṇi manodharmādhyāsamāha tathāntaḥkaraṇeti /	ajQAta pratyagrUpe sa akzINi manaH Darma aDyAsam Aha  taTA antaHkaraNa iti /
   dharmādhyāsamuktvā tadvadeva dharmyadhyāsamāha evamiti /	Darma ADyAsam uktvA tadvat eva DarmyaDyAsa mAha evam iti /
   antaḥkaraṇaṃ sākṣiṇyabhedenādhyasya taddharmān kāmādīn adhyasyatīti	antaHkaraNam sAkziNya Bedena aDyasya tad DarmAn kAma AdIn aDyasyati iti
   mantavyam /	mantavyam /
   svapracārā manovṛttayaḥ /	sva pracArAH manaH vRttayaH /
   prati prātilomyenāsajjaṅaduḥkhātmākāhaṅkārādivilakṣaṇatayā	prati prAtilomyena Asat jaFa duHKa AtmAkA ahaFkAra Adi vilakzaNa tayA
   saccitsukhātmakatvenāñcati prakāśata iti pratyak /	saccit suKa Atmaka tvena aQcati prakASate iti pratyak /
   evamātmanyanātmataddharmādhyāsamudāhṛtyānātmanyātmano 'pi	evam Atmani anAtma tad Darma aDyAsam udAhRtyAn Atmani AtmanaH api
   saṃsṛṣṭatvenādhyāsamāha tañceti /	saMsRzwa tvena aDyAsam Aha taQca iti /
   ahamityadhyāse cidātmano bhānaṃ vācyaṃ, anyathā jagadāndhyāpatteḥ /	aham iti aDyAse cit AtmanaH BAnam vAcyaM, anyaTA jagadAnDya ApatteH /
   na cānadhyastasyādhyāse bhānamasti /	na ca anaDyaH tasya aDyAse BAnam asti /
   tasmādrajatādāvidama ivātmanaḥ saṃsargādhyāsa eṣṭavyaḥ /	tasmAt rajata Ada avidamaH iva AtmanaH saMsarga aDyAsaH ezwavyaH /
   tadviparyayeṇepi /	tad viparyayeNa Ipi /
   tasyādhyāstasya jaḍasya viparyayodhiṣṭhānatvaṃ, caitanyaṃ ca tadātmanā	tasya aDyAstasya jaxasya viparyayoDizWAna tvaM, cEtanyam ca tad AtmanA
   sthitamiti yāvat /	sTitam iti yAvat /
   tatrājñāne kevalātmanā saṃsargaḥ, manasyajñānopahitasya dehādau	tatra ajQAne kevala AtmanA saMsargaH, manasi a jQAna upahitasya deha AdO
   manaupahitasyeti viśeṣaḥ /	manOpahitasya iti viSezaH /
   evamātmani buddhyādyadhyāsāt kartṛtvādilābhaḥ, buddhyādau	evam Atmani budDi Adi aDyAsAt kartR tva Adi lABaH, budDi AdO
   cātmādhyasāccaitanyalābha iti bhāvaḥ /	ca Atma aDyasAt cEtanya lABaH iti BAvaH /
   varṇitādhyāsamupasaṃharati evamayamiti /	varNita aDyAsam upasaMharati  evam ayam iti /
   anādyavidyātmakatayā kāryādhyāsasyānāditvamadhyāsāt saṃskārastato 'dhyāsa	anAdya vidyA Atmaka tayA kArya aDyAsasya anAdi tvam aDyAsAt saMskAraH tatas aDyAsa
   iti /	iti /
   pravāhato naisargigatvaṃ /	pravAhataH nEsargi ga tvam /
   evamupādānaṃ nimittaṃ coktaṃ bhavati /	evam upAdAnam nimittam ca uktam Bavati /
   jñānaṃ vinā dhvaṃsābhāvādānantyam /	jQAnam vinA DvaMsa aBAvAt Anantyam /
   taduktaṃ bhagavadgītāsu 'na rūpamasyeha tathopalabhyate nānto na cādirna	tat uktam Bagavat gIta asu  ana rUpam asya iha taTA upalaByate na antaH na ca AdiH na
   ca saṃpratiṣṭhā'iti /	ca saMpratizWA aiti /
   hetumuktā svarūpamāha mithyeti /	hetu m uktA svarUpam Aha miTyA iti /
   mithyā māyā tayā pratīyata iti pratyayaḥ kāryaprapañcaḥ	miTyA mAyA tayA pratIyate iti pratyayaH kArya prapaQcaH
   tatpratītiścetyevaṃsvarūpa ityarthaḥ /	tat pratItiH ca iti evaMsvarUpaH iti arTaH /
   tasya kāryamāha kartṛtveti /	tasya kAryam Aha kartR tva iti /
   pramāṇaṃ nigamayati sarveti /	pramANam nigamayati  sarvA iti /
   sākṣipratyakṣamevādhyāsadharmigrāhakaṃ mānaṃ, anumānādikaṃ tu	sAkzi pratyakzam eva aDyAsa Darmi grAhakam mAnaM, anumAna Adikam tu
   saṃbhāvānārthamityabhipretya pratyakṣopasaṃhāraḥ kṛtaḥ /	saMBAvAna arTam iti aBipretya pratyakza upasaMhAraH kRtaH /
   evamadhyāsaṃ varṇayitvā tatsādhye viṣayaprayojane darśayati asyeti /	evam aDyAsam varNayitvA tad sADye vizaya prayojane darSayati asya iti /
   kartṛtvādyanarthahetoradhyāsasya samūlasyātyantikanāśo mokṣaḥ sa kenetyata	kartR tva Adi anarTa hetoH aDyAsasya sa mUlasya Atyantika nASaH mokzaH sa kena ityata
   āha ātmeti /	Aha a AtmA iti /
   brahmātmaikyasākṣātkārasya pratipattiḥ śravaṇādibhirapratibandhena	brahma AtmA Ekya sAkzAtkArasya pratipattiH SravaNa AdiBiH apratibanDena
   lābhastasyā ityarthaḥ /	lABaH tasyAH iti arTaH /
   vidyāyāṃ kāraṇamāha sarva iti /	vidyAyAm kAraNam Aha  sarve iti /
   ārabhyante adhītya vicāryante ityarthaḥ /	AraByante aDItya vicAryante iti arTaH /
   vicāritavedāntānāṃ brahmātmaikyaṃ viṣayaḥ, mokṣaḥ phalamityuktaṃ bhavati /	vicArita veda antAnAm brahma Atma Ekyam vizayaH, mokzaH Palam iti uktam Bavati /
   arthāttadvicārātmakaśāstrasyāpi te eva viṣayaprayojane iti jñeyam /	arTAt tad vicAra Atmaka SAstrasya api te eva vizaya prayojane iti jQeyam /
   nanu vedānteṣu prāṇādyupāstīnāṃ bhānādātmaikyameva teṣāmartha iti	nanu vedAntezu prANa Adi upAstInAm BAnAt Atma Ekyam eva tezAm arTaH iti
   kathamityata āha yathā ceti /	kaTam iti atas Aha yaTA ca iti /
   śarīrameva śārīrakaṃ, kutsitatvāt, tannivāsī śārīrako jīvastasya	SarIram eva SArIrakaM, kutsita tvAt, tat nivAsI SArIrakaH jIvaH tasya
   brahmatvavicāro mīmāṃsā tasyāmityarthaḥ /	brahmatva vicAraH mImAMsA tasyAm iti arTaH /
   upāstīnāṃ citaikāgryadvārātmaikyajñānārthatvāttadvākyānāmapi	upAstInAm citA ekAgrya dvAra Atma Ekya jQAna arTa tvAt tad vAkyAnAm api
   mahātātparyamaikye iti vakṣyate /	mahAtAt paryam Ekye iti vakzyate /
   evamadhyāsoktyā brahmātmaikye virodhābhāvena	evam aDyAsa uktyAH brahma Atma Ekye viroDa aBAvena
   viṣayaprayojanavatvācchāstramārambhaṇīyamiti darśim //* //	vizaya prayojanava tvAt SAstram AramBaNIyam iti darSim //* //
   iti prathamavarṇakam //*//	iti praTama varNakam //*//
   vicārasya sākṣādviṣayā vedāntāḥ;teṣāṃ	vicArasya sAkzAt vizayAH vedAntAH;tezAm
   gatārthatvāgatārthatvābhyāmārambhasaṃdehe kṛtsnasya vedasya vidhiparatvāt,	gata arTa tva Agata arTa tvAByAm AramBa saMdehe kRtsnasya vedasya viDi paratvAt,
   vidheśca 'adhāto brahmajijñāsā'ityādinā pūrvatantreṇa vicāritatvāt,	viDeH ca aaDAtaH brahmajijQAsA aitya AdinA pUrvatantreNa vicArita tva at,
   avagatārthā eva vedāntā ityavyavahitaviṣayābhāvānnārambha iti prāpte	avagata arTAH eva vedAntAH iti avyavahita vizaya aBAvAt na AramBaH iti prApte
   brūte vedānteti /	brUte  vedAnta iti /
   vedāntaviṣayakapūjitavicārātmakaśāstrasya vyākhyātumiṣṭasya	vedAnta vizayaka pUjita vicAra Atmaka SAstrasya vyAKyAtum izwasya
   sūtrasaṃdarbhasyedaṃ prathamasūtramityarthaḥ /	sUtra saMdarBasya idam praTama sUtram iti arTaH /
   yadi vidhireva vedārthaḥ syāttadā sarvajño bādarāyaṇo brahmajijñāsāṃ na	yadi viDiH eva veda arTaH syAt tadA sarvajQaH bAdarAyaNaH brahma jijQAsAm na
   brūyāt, brahmaṇi mānābhāvāt /	brUyAt, brahmaNi mAna aBAvAt /
   ato brahmaṇo jijñāsyatvoktyā kenāpi	atas brahmaNaH jijQAsyatva uktyA kena api
   tantreṇānavagatabrahmaparavedāntavicāra ārambhaṇīya iti sūtrakṛddarśayati	tantreNa anavagata brahma para veda anta vicAraH AramBaNIyaH iti sUtrakRt darSayati
   tacca 'vyācikhyāsitasya'iti padena bhāṣyakāro babhāṣe //* //	tat ca avyAci Kya asitasya aiti padena BAzya kAraH baBAze //* //
   iti dvitīyavarṇakam //* //	iti dvitIya varNakam //* //
   evaṃ varṇakadvayena vedāntavicārasya kartavyatāyāṃ	evam varNaka dvayena vedAnta vicArasya kartavyatAyAm
   viṣayaprayojanavattvamagatārthatvaṃ ceti hetudvayaṃ sūtrasyārthikārthaṃ	vizaya prayojana vat tvam agata arTa tvam ca iti hetu dvayam sUtrasya arTika arTam
   vyākhyāyākṣaravyākhyāmārabhamāṇaḥ punarapyadhikāribhāvābhābhyāṃ	vyAKyAya akzara vyAKyAm AraBamANaH punar api aDikAri BAva ABAByAm
   śāstrārambhasaṃdehe sati athaśabdasyānantaryārthakatvoktyā adhikāriṇaṃ	SAstra AramBa saMdehe sati aTa Sabdasya anantarya arTaka tva uktyA aDikAriNam
   sādhayati tatrāthaśabda iti /	sADayati  tatra aTa SabdaH iti /
   sūtra ityarthaḥ /	sUtre iti arTaH /
   'maṅgalānantarārambhapraśnakārtsnyeṣvatho atha'ityathaśabdasya yahavorthāḥ	amaFgala anantara AramBa praSna kArtsnyezu aTo aTa aiti aTa Sabdasya yahavorTAH
   santi /	santi /
   tatra 'atha yogānuśāsanam'ityatra, sūtre yathā athaśabda ārambhārthakaḥ	tatra aaTa yoga anuSAsanam aityatra, sUtre yaTA aTa SabdaH AramBa arTakaH
   yogaśāstramārabhyata iti	yoga SAstram AraByate iti
   tadvadatra kiṃ na syādityata āha nādhikārārtha iti /	tadvat atra kim na syAt iti atas Aha na aDikAra arTaH iti /
   ayamāśayaḥ kiṃ jijñāsāpadaṃ jñānecchāparamuta vicāralakṣakam?ādye	ayam ASayaH kim jijQAsA padam jQAna icCA param uta vicAra lakza kam?a Adye
   'thaśabdasyārambhārthatve brahmajñānecchārabhyata iti sūtrārthaḥ syāt sa	aTa Sabdasya AramBa arTa tve brahma jQAna icCA AraByate iti sUtra arTaH syAt sa
   cāsaṃgataḥ, tasyā anārabhyatvāt /	ca asaMgataH, tasyAH anAraBya tvAt /
   nahi pratyathikaraṇaṃ icchā kriyate kintu tayā vicāraḥ /	na hi pratyaTi karaNam icCA kriyate kintu tayA vicAraH /
   na dvitīyaḥ, kartavyapadādhyāhāraṃ vinā vicāralakṣakatvāyogāt, adhyāhṛte	na dvitIyaH, kartavya pada aDyAhAram vinA vicAra lakzaka tva ayogAt, aDyAhRte
   ca tenaivārambhokterathaśabdavaiyarthyāt /	ca tena eva AramBa ukteH aTa Sabda vEyarTyAt /
   kintvadhikārisiddhyarthamānāntaryārthataiva yukteti adhunā	kintu aDikAri sidDi arTa mAna antaryArTa tA eva yuktA iti aDunA
   saṃbhāvitamarthāntaraṃ dūṣayati maṅgalasyeti /	saMBAvitam arTa antaram dUza yati maFgalasya iti /
   vākyārtho vicārakartavyatā na hi tatra maṅgalasya kartṛtvādinānvayo	vAkya arTaH vicAra kartavyatA na hi tatra maFgalasya kartR tva AdinA anvayaH 
   'stītyarthaḥ /	asti iti arTaH /
   nanu sūtrakṛtā śāstrādau maṅgalaṃ kāryamityathaśabdaḥ pratyukta iti cet	nanu sUtra kRtA SAstra AdO maFgalam kAryam iti aTa SabdaH pratyuktaH iti ced 
   satyaṃ, na tasyārtho maṅgalaṃ kintu ca tacchravaṇamuccāraṇaṃ ca	satyan, na tasya arTaH maFgalam kintu ca tat SravaNam uccAraNam ca
   maṅgalakṛtyaṃ karoti /	maFgala kRtyam karoti /
   tadarthastvānantaryamevetyaha arthānatareti /	tad arTaH tu Anantaryam eva iti aha arTAn atarA iti /
   arthāntaramānantaryam /	arTa antaram Anantaryam /
   śrutyā śravaṇena śaṅkhavīṇādinādaśravaṇavadoṅkārāthaśabdayoḥ śravaṇaṃ	SrutyA SravaNena SaFKa vINA Adi nAda SravaNa vadoFkArATa SabdayoH SravaNam
   maṅgalaphalakam /	maFgala Palakam /
   'oṅkāścāthaśabdaśca dvāvetau brahmaṇaḥ purā /	aoFkAH ca aTa SabdaH ca dvO= etO brahmaNaH purA /
   kaṇṭhaṃ bhittvā viniryātau tasmānmāṅgalikāvimau //	kaNWam BittvA viniryAtO tasmAt mAFgalikO= imO //
   'iti smaraṇāditi bhāvaḥ /	aiti smaraNAt iti BAvaH /
   nanu prapañco mithyeti prakṛte sati, atha mataṃ prapañcaḥ satya ityatra	nanu prapaQcaH miTyA iti prakRte sati, aTa matam prapaQcaH satyaH iti atra
   pūrvaprakṛtārthāduttarārthasyārthāstaratvārtho 'thaśabdo dṛṣṭaḥ, tathātra	pUrva prakRta arTAt uttara arTasya arTAH taratva arTaH aTa SabdaH dRzwaH, taTA atra
   kiṃ na syādityata āha pūrveti /	kim na syAt iti atas Aha pUrvA iti /
   phalataḥ phalasyetyarthaḥ /	PalataH Palasya iti arTaH /
   brahmajijñāsāyāḥ pūrvaṃ arthaviśeṣaḥ prakṛto nāsti yasmāttasyā	brahma jijQAsAyAH pUrvam arTa viSezaH prakRtaH na asti yasmAt tasyAH 
