   Abhidharmakośabhāṣyam	ABiDarma-koSa-BAzyam
   pādāsthna ākapālārdhatyāgāt kṛtajayaḥ smṛtaḥ // VAkK_6.10 //	pAda-asTnaH AkapAla-arDa-tyAgAt kRta-jayaH smRtaH // VAkK_6.10 //
   atikrāntamanaskāro bhrūmadhye cittadhāraṇāt /	atikrAnta-manaskAraH BrU-maDye citta-DAraNAt /
   alobho daśabhūḥ kāmadṛśyālambā nṛjāśubhā // VAkK_6.11 //	aloBaH daSa-BUH kAma-dRSya-AlambA nRja-aSuBA // VAkK_6.11 //
   ānāpānasmṛtiḥ prajñā pañcabhūrvāyurgīcarā /	AnA-pAna-smRtiH prajQA paQcaBUH-vAyuH-gIcarAH /
   kāmāśrayā na bāhyānām ṣaḍ vidhā gaṇanādibhiḥ // VAkK_6.12 //	kAma-ASrayAH na bAhyAnAm zaw viDAH gaNanA-AdiBiH // VAkK_6.12 //
   ānāpānau yataḥ kāyaḥ sattvākhyau anupāttakau /	AnA-pAnO yatas kAyaH sattva-AKyO anupAttakO /
   naiḥṣyandikau nādhareṇa lakṣyete manasā ca tau // VAkK_6.13 //	nEHzyandikO na-aDareNa lakzyete manasA ca tO // VAkK_6.13 //
   niṣprannaśamathaḥ kuryāt smṛtyupasthānabhāvanām /	nizpranna-SamaTaH kuryAt smRti-upasTAna-BAvanAm /
   kāyaviccittadharmāṇāṃ dvilakṣaṇaparīkṣaṇāt // VAkK_6.14 //	kAya-vid-citta-DarmANAm dvi-lakzaNa-parIkzaNAt // VAkK_6.14 //
   prajñā śrutādimayī anye saṃsargālambanāḥ kramaḥ /	prajQA Sruta-Adi-mayI anye saMsarga-AlambanAH kramaH /
   yathotpatti catuṣkaṃ tu viparyāsavipakṣataḥ // VAkK_6.15 //	yaTA-utpatti catuzkam tu viparyAsa-vipakzataH // VAkK_6.15 //
   sa dharmasmṛtyupasthāne samastālambane sthitaḥ /	sa Darma-smRti-upasTAne samasta-Alambane sTitaH /
   ānityaduḥkhataḥ śūnyānātmatastānvipaśyati // VAkK_6.16 //	Anitya-duHKataH SUnyAn-AtmataH-tAn-vipaSyati // VAkK_6.16 //
   tata ūṣmagatotpattiḥ taccatuḥsatyagocaram /	tatas Uzma-gata-utpattiH tad-catur-satya-gocaram /
   ṣoḍaśākāram ūṣmabhyo mūrdhānaḥ te 'pi tādṛśāḥ // VAkK_6.17 //	zoxaSa-AkAram UzmaByaH mUrDAnaH te api tAdRSAH // VAkK_6.17 //
   ubhayākaraṇaṃ dharmeṇa anyairapi tu vardhanam /	uBaya-AkaraNam DarmeNa anyEH-api tu varDanam /
   tebhyaḥ kṣāntiḥ dvidhā tadvat kṣāntyā dharmeṇa vardhanam // VAkK_6.18 //	teByaH kzAntiH dviDA tadvat kzAntyA DarmeNa varDanam // VAkK_6.18 //
   kāmāptaduḥkhaviṣayā tvadhimātrā kṣaṇaṃ ca sā /	kAma-Apta-duHKa-vizayA tu-aDimAtrA kzaNam ca sA /
   tathāgradharmāḥ sarve tu pañcaskandhāḥ vināptibhiḥ // VAkK_6.19 //	taTA-agra-DarmAH sarve tu paQca-skanDAH vinA-AptiBiH // VAkK_6.19 //
   iti nirvedhabhāgīyaṃ caturdhā bhāvanāmayam /	iti nirveDa-BAgIyam caturDA BAvanA-mayam /
   anāgamyā ntaradhyānabhūmikam dve tvadho 'pi vā // VAkK_6.20 //	anAgamyAH ntara-DyAna-BUmikam dve tu-aDas api vA // VAkK_6.20 //
   kāmāśrayāṇi agradharmān dvayāśrayān labhate 'ṅganā /	kAma-ASrayANi agra-DarmAn dvaya-ASrayAn laBate aFganA /
   bhūmityāgāttyajatyāryastāni anāryastu mṛtyunā // VAkK_6.21 //	BUm-iti-AgAt-tyajati-AryaH-tAni anAryaH-tu mRtyunA // VAkK_6.21 //
   ādye dve parihāṇyā ca maulestatraiva satyadṛk /	Adye dve parihANyA ca mOleH-tatra-eva satya-dRS /
   apūrvāptirvihīneṣu hānī dve asamanvitiḥ // VAkK_6.22 //	apUrva-AptiH-vihInezu hAnI dve asamanvitiH // VAkK_6.22 //
   mūrdhalābhī na mūlacchit kṣāntilābhyanapāyagaḥ /	mUrDa-lABI na mUla=-Cid kzAntilAByanapAya-gaH /
   śiṣyagotrā nnivartya dve buddhaḥ syāt trīṇyapītaraḥ // VAkK_6.23 //	Sizya-gotrAH nnivartya dve budDaH syAt trINi-api-itaraH // VAkK_6.23 //
   ābodheḥ sarvamekatra dhyānāntye śāstṛkhaḍgayoḥ /	AboDeH sarvam-ekatra DyAna-antye SAstR-KaxgayoH /
   prāktebhyo mokṣabhāgīyaṃ kṣipraṃ mokṣastribhirbhavaiḥ // VAkK_6.24 //	prAkteByaH mokza-BAgIyam kzipram mokzaH-triBiH-BavEH // VAkK_6.24 //
   śrutacintāmayaṃ trīṇi karmāṇi ākṣipyate nṛṣu /	Sruta-cintA-mayam trINi karmANi Akzipyate nRzu /
   laukikebhyo 'gradharmebhyo dharmakṣāntiranāsravā // VAkK_6.25 //	lOkikeByaH agra-DarmeByaH Darma-kzAntiH-anAsravAH // VAkK_6.25 //
   kāmaduḥkhe tato 'traiva dharmajñānaṃ tathā punaḥ /	kAma-duHKe tatas atra-eva Darma-jQAnam taTA punar /
   śeṣe duḥkhe 'nvayakṣāntijñāne satyatraye tathā // VAkK_6.26 //	Seze duHKe anvaya-kzAnti-jQAne satya-traye taTA // VAkK_6.26 //
   iti ṣoḍaśacitto 'yaṃ satyābhisamayaḥ tridhā /	iti zoxaSa-cittaH ayam satya-aBisamayaH triDA /
   darśanālambakāryākhyaḥ so 'gradharmaikabhūmikaḥ // VAkK_6.27 //	darSana-Alamba-kArya-AKyaH saH agra-Darma-eka-BUmikaH // VAkK_6.27 //
   kṣāntijñānānyanantarya muktimārgā yathākramam /	kzAnti-jQAnAni-anantarya mukti-mArgAH yaTAkramam /
   adṛṣṭadṛṣṭerdṛṅgmārgastatra pañcadaśa kṣaṇāḥ // VAkK_6.28 //	adRzwa-dRzweH-dRFgmArgaH-tatra paQcadaSa kzaNAH // VAkK_6.28 //
   mṛdutīkṣṇendriyau teṣu śraddhādharmānusāriṇau /	mRdu-tIkzNa-indriyO tezu SradDA-Darma-anusAriNO /
   ahīnabhāvanāheyau phalādyuapratipannakau // VAkK_6.29 //	ahIna-BAvanAheyO Pala-Adi-ua-pratipannakO // VAkK_6.29 //
   yāvat pañcaprakāraghnau dvītīye 'rvāṅnavakṣayāt /	yAvat paQca-prakAra-GnO dvItIye arvAk-nava-kzayAt /
   kāmādviraktāvūrdhvaṃ vā tṛtīyapratipannakau // VAkK_6.30 //	kAmAt-viraktO=-UrDvam vA tRtIya-pratipannakO // VAkK_6.30 //
   ṣoḍaśe tu phalasthau tau yatra yaḥ pratipannakaḥ /	zoxaSe tu Pala-sTO tO yatra yaH pratipannakaH /
   śraddhādhimuktadṛṣṭyāptau mṛdutīkṣṇendriyau tadā // VAkK_6.31 //	SradDA-aDimukta-dRzwi-AptO mRdu-tIkzNa-indriyO tadA // VAkK_6.31 //
   phale phalaviśiṣṭasya lābho mārgasya nāstyataḥ /	Pale Pala-viSizwasya lABaH mArgasya na-asti-atas /
   nāprayukto viśeṣāya phalasthaḥ pratipannakaḥ // VAkK_6.32 //	na-aprayuktaH viSezAya Pala-sTaH pratipannakaH // VAkK_6.32 //
   navaprakārā doṣā hi bhūmau bhūmau tathā guṇāḥ /	nava-prakArAH dozAH hi BUmO BUmO taTA guNAH /
   mṛdumadhyādhimātrāṇāṃ punarmṛdvādibhedataḥ // VAkK_6.33 //	mRdu-maDya-aDimAtrANAm punar-mRdu-Adi-BedataH // VAkK_6.33 //
   akṣīṇabhāvanāheyaḥ phalasthaḥ saptakṛtparaḥ /	akzINa-BAvanA-heyaH Pala-sTaH sapta-kRt-paraH /
   tricaturvidhamuktastu dvitrijanmā kulaṃkulaḥ // VAkK_6.34 //	tri-caturviDa-muktaH-tu dvi-tri-janmA kulaMkulaH // VAkK_6.34 //
   āpañcamaprakāraghno dvitīyapratipannakaḥ /	ApaQcama-prakAra-GnaH dvitIya-pratipannakaH /
   kṣīṇaṣaṣṭhaprakārastu sakṛdāgāmyasau punaḥ // VAkK_6.35 //	kzINa-zazWa-prakAraH-tu sakRdAgAmi-asO punar // VAkK_6.35 //
   kṣīṇasaptāṣṭadoṣāṃśa ekajanmaikavīcikaḥ /	kzINa-sapta-azwa-doza-aMSaH eka-janma-eka-vIcikaH /
   tṛtīyapratipannaśca so 'nāgāmi navakṣayāt // VAkK_6.36 //	tRtIya-pratipannaH-ca saH anAgAmi nava-kzayAt // VAkK_6.36 //
   so 'ntarotpannasaṃskārāsaṃskāraparinirvṛtiḥ /	saH antara-utpanna-saMskAra-asaMskAra-parinirvRtiH /
   ūrdhvastrotāśca sa dhyāne vyavakīrṇo 'kaniṣṭhagaḥ // VAkK_6.37 //	UrDvaH-trotAH-ca sa DyAne vyavakIrNaH akanizWa-gaH // VAkK_6.37 //
   sa pluto 'rdhaplutaḥ sarvacyutaśca anyo bhavāgragaḥ /	sa plutaH arDa-plutaH sarva-cyutaH-ca anyaH Bava-agra-gaH /
   ārūpyagaścaturdhānyaḥ iha nirvāpako 'paraḥ // VAkK_6.38 //	ArUpya-gaH-caturDAnyaH iha nirvApakaH aparaH // VAkK_6.38 //
   punastrīṃstrividhān kṛtvā nava rūpopagāḥ smṛtāḥ /	punar-trIn=-triviDAn kRtvA nava rUpa-upagAH smRtAH /
   tadviśeṣaḥ punaḥ karmakleśendriyaviśeṣataḥ // VAkK_6.39 //	tad-viSezaH punar karma-kleSa-indriya-viSezataH // VAkK_6.39 //
   ūrdhvastroturabhedena sapta sadgatayo matāḥ /	UrDvaH-trotura-Bedena sapta sat-gatayaH matAH /
   sadasadvṛttyavṛttibhyāṃ gatāpratyāgateśca tāḥ // VAkK_6.40 //	sat-asat-vRtti-avRttiByAm gata-apratyAgateH-ca tAH // VAkK_6.40 //
   na parāvṛttajanmāryaḥ kāme dhātvantaropagaḥ /	na parAvRtta-janma-AryaH kAme DAtu-antara-upagaH /
   sa cordhvajaśca naivākṣasaṃcāraparihāṇibhāk // VAkK_6.41 //	sa ca-UrDva-jaH-ca na-eva-akza-saMcAra-parihANi-BAj // VAkK_6.41 //
   ākīryate caturtha prāk niṣpatti kṣaṇamiśraṇāt /	AkIryate caturTa prAk nizpatti kzaNa-miSraNAt /
   upapattivihārārtha kleśabhīrutayāpi ca // VAkK_6.42 //	upapatti-vihAra-arTa kleSa-BIH-utayA-api ca // VAkK_6.42 //
   tatpāñcavidhyātpañcaiva śuddhāvāsopapattayaḥ /	tad-pAQcaviDyAt-paQca-eva SudDAvAsa-upapattayaH /
   nirodhalābhyanāgāmī kāyasākṣī punarmataḥ // VAkK_6.43 //	niroDa-la-aByanAgAmI kAya-sAkzI punar-mataH // VAkK_6.43 //
   ābhavāgrāṣṭabhāgakṣidarhattve pratipannakaḥ /	ABava-agra-azwa-BAga-kzit-arhat-tve pratipannakaH /
   navamasyāpyānantaryapathe vajropamaśca saḥ // VAkK_6.44 //	navamasya-api-Anantarya-paTe vajra-upamaH-ca saH // VAkK_6.44 //
   tatkṣayāptyā kṣayajñānaṃ āśaikṣo 'rhannasau tadā /	tad-kzaya-AptyA kzaya-jQAnam ASEkzaH arhan=-asO tadA /
   lokottareṇa vairāgyaṃ bhavāgrāt anyato dvidhā // VAkK_6.45 //	loka-uttareNa vErAgyam Bava-agrAt anyatas dviDA // VAkK_6.45 //
   laukikenāryavairāgye visaṃyogāptayo dvidhā /	lOkikena-ArI-avErAgye visaMyoga-AptayaH dviDA /
   lokottareṇa cetyeke tyakte kleśāsamanvayāt // VAkK_6.46 //	loka-uttareNa ca-iti-eke tyakte kleSa-asam-anvayAt // VAkK_6.46 //
   bhavāgrādhavimuktordhvajātavattvasamanvayaḥ /	Bava-agrADa-vimukta-UrDva-jAtavattva-samanvayaH /
   anāsraveṇa vairāgyamanāgāmyena sarvataḥ // VAkK_6.47 //	anAsraveNa vErAgyam-anAgAmyena sarvatas // VAkK_6.47 //
   dhyānātsāmantakādvāntyo mukti mārgastribhūjaye /	DyAnAt-sAmantakAt-vAntyaH mukti mArgaH-tri-BUjaye /
   nordhvaṃ sāmantakāt āryairaṣṭābhiḥ svordhvabhūjayaḥ // VAkK_6.48 //	na-UrDvam sAmantakAt AryEH-azwABiH sva-UrDva-BUjayaH // VAkK_6.48 //
   vimuktyānantaryapathā laukikāstu yathākramam /	vimukti-Anantarya-paTAH lOkikAH-tu yaTAkramam /
   śāntādyudārādyākārāḥ uttarādharagocarāḥ // VAkK_6.49 //	SAnta-Adi-udAra-Adi-AkArAH uttara-aDara-gocarAH // VAkK_6.49 //
   yadyakopyaḥ kṣayajñānādanutpādamatiḥ na cet /	yadi-akopyaH kzaya-jQAnAt-anutpAda-matiH na ced /
   kṣayajñānamaśaikṣo vā dṛṣṭiḥ sarvasya sārhataḥ // VAkK_6.50 //	kzaya-jQAnam-aSEkzaH vA dRzwiH sarvasya sArhataH // VAkK_6.50 //
   śrāmaṇyamamalo mārgaḥ saṃskṛtāsaṃskṛtaṃ phalam /	SrAmaNyam-amalaH mArgaH saMskRta-asaMskRtam Palam /
   ekānnavatistāni muktimārgāḥ saha kṣayaiḥ // VAkK_6.51 //	ekAt-navatiH-tAni mukti-mArgAH saha kzayEH // VAkK_6.51 //
   catuṣphalavyavasthā tu pañcakāraṇasaṃbhavāt /	catuzPala-vyavasTA tu paQca-kAraNa-saMBavAt /
   pūrvatyāgo 'nyamārgāptiḥ kṣayasaṃkalanaṃ phale // VAkK_6.52 //	pUrva-tyAgaH anya-mArga-AptiH kzaya-saMkalanam Pale // VAkK_6.52 //
   jñānāṣṭakasya lābho 'tha ṣoḍaśākārabhāvanā /	jQAna-azwakasya lABaH aTa zoxaSa-AkAra-BAvanA /
   laukikāptaṃ tu miśratvānāsravāptiḥ dhṛteḥ phalam // VAkK_6.53 //	lOkika-Aptam tu miSra-tvAt-Asrava-AptiH DRteH Palam // VAkK_6.53 //
   brāhmaṇyaṃ brahmacakraṃ ca tadeva brahmavartanāt /	brAhmaNyam brahma-cakram ca tat-eva brahmavartanAt /
   dharmacakraṃ tu dṛṅmārgaḥ āśugatvādyarādibhiḥ // VAkK_6.54 //	Darma-cakram tu dRS-mArgaH ASu-ga-tvA-Adyara-AdiBiH // VAkK_6.54 //
   kāme trayāptiḥ antyasya triṣu nordhva hi dṛkpathaḥ /	kAme traya-AptiH antyasya trizu na-UrDva hi dRkpaTaH /
   asaṃvegādiha vidhā tatra niṣṭheti cāgamāt // VAkK_6.55 //	asaMvegAt-iha viDA tatra nizWA-iti ca-AgamAt // VAkK_6.55 //
   ṣaḍarhanto matāḥ teṣāṃ pañca śraddhādhimuktijāḥ /	zaz-arhantaH matAH tezAm paQca SradDA-aDimukti-jAH /
   vimuktiḥ sāmayikyeṣām akopyākopyadharmaṇaḥ // VAkK_6.56 //	vimuktiH sAmayikI-ezAm akopya-akopya-DarmaNaH // VAkK_6.56 //
   ato 'samayamukto 'sau dṛṣṭiprāptānvayaśca saḥ /	atas asamayam-uktaH asO dRzwi-prApta-anvayaH-ca saH /
   tadgotrā āditaḥ kecitkeciduttāpanāgatāḥ // VAkK_6.57 //	tad-gotrAH Aditas kecid-kecid-uttApana-AgatAH // VAkK_6.57 //
   gotrāccaturṇāṃ pañcānāṃ phalāddhāniḥ na pūrvakāt /	gotrAt-caturNAm paQcAnAm PalAt-hAniH na pUrvakAt /
   śaikṣānāryāśca ṣaḍgotrāḥ saṃcāro nāsti darśane // VAkK_6.58 //	SEkzAnAryAH-ca zaxgotrAH saMcAraH na-asti darSane // VAkK_6.58 //
   parihāṇistridhā jñeyā prāptāprāptopabhogataḥ /	parihANiH-triDA jQeyA prApta-aprApta-upaBogataH /
   antyā śāsturakopyasya madhyā cānyasya tu tridhā // VAkK_6.59 //	antyA SAstuH-akopyasya maDyA ca-anyasya tu triDA // VAkK_6.59 //
   mriyate na phalabhraṣṭaḥ tadakārya karoti na /	mriyate na Pala-BrazwaH tat-akArya karoti na /
   vimuktyānantaryapathā navākopye atisevanāt // VAkK_6.60 //	vimukti-Anantarya-paTA navA-kopye ati-sevanAt // VAkK_6.60 //
   dṛṣṭayāptatāyāmekaikaḥ anāsravāḥ nṛṣu vardhanam /	dRzwayA-AptatAyAm-ekEkaH anAsravAH nRzu varDanam /
   aśaikṣo nava niśritya bhūmīḥ śaikṣastu ṣaṭ yataḥ // VAkK_6.61 //	aSEkzaH nava niSritya BUmIH SEkzaH-tu zaw yatas // VAkK_6.61 //
   saviśeṣaṃ phalaṃ tyaktvā phalamāpnoti vardhayan /	sa-viSezam Palam tyaktvA Palam-Apnoti varDayan /
   dvau buddhau śrāvakāḥ sapta navaite navadhendriyāḥ // VAkK_6.62 //	dvO budDO SrAvakAH sapta navA-ete navaDA-indriyAH // VAkK_6.62 //
   prayogākṣasamāpattivimuktyubhayataḥ kṛtāḥ /	prayoga-akza-samApatti-vimukti-uBayatas kRtAH /
   pudgalāḥ sapta ṣaṭ tvete dvau dvau mārgatraye yataḥ // VAkK_6.63 //	pudgalAH sapta zaw tu-ete dvO dvO mArga-traye yatas // VAkK_6.63 //
   nirodhalābhyubhayatovimuktaḥ prajñayetaraḥ /	niroDa-lAByuBayatas-vimuktaH prajQayA-itaraH /
   samāpattīndriyaphalaiḥ pūrṇaḥ śaikṣo 'bhidhīyate // VAkK_6.64 //	samApatti-indriya-PalEH pUrNaH SEkzaH aBiDIyate // VAkK_6.64 //
   aśaikṣaparipūrṇatvaṃ dvābhyām mārgaḥ samāsataḥ /	aSEkza-paripUrNa-tvam dvAByAm mArgaH samAsatas /
   viśeṣamuktyānantaryaprayogākhya ścaturvidhaḥ // VAkK_6.65 //	viSeza-muktyA-anantarya-prayoga-AKya ScaturviDaH // VAkK_6.65 //
   dhyāneṣu mārgaḥ pratipatsukhā duḥkhānyabhūmiṣu /	DyAnezu mArgaH pratipad-suKAH duHKAni-aBUmizu /
   dhanyābhijñā mṛdumateḥ kṣiprābhijñetarasya tu // VAkK_6.66 //	Danya-aBijQAH mRdu-mateH kzipra-aBijQA-itarasya tu // VAkK_6.66 //
   anutpādakṣayajñāne bodhiḥ tādanulomyataḥ /	anutpAda-kzaya-jQAne boDiH tAdanulomyataH /
   saptatriṃśattu tatpakṣyāḥ nāmato dravyato daśa // VAkK_6.67 //	saptatriMSat-tu tad-pakzyAH nAmataH dravyataH daSa // VAkK_6.67 //
   śraddhā vīryaṃ smṛtiḥ prajñā samādhiḥ prītyupekṣaṇe /	SradDA vIryam smRtiH prajQA samADiH prIti-upekzaNe /
   praśrabdhiśīlasaṃkalpāḥ prajñā hi smṛtyupasthitiḥ // VAkK_6.68 //	praSrabDi-SIla-saMkalpAH prajQA hi smRti-upasTitiH // VAkK_6.68 //
   vīryaṃ samyakprahāṇākhyamṛddhipādāḥ samādhayaḥ /	vIryam samyak-prahANa-AKyam-RdDi-pAdAH samADayaH /
   pradhānagrahaṇaṃ sarve guṇāḥ prāyogikāstu te // VAkK_6.69 //	praDAna-grahaNam sarve guNAH prAyogikAH-tu te // VAkK_6.69 //
   ādikarmikanirvedhabhāgīyeṣu prabhāvitāḥ /	Adi-karmika-nirveDa-BAgIyezu praBAvitAH /
   bhāvane darśane caiva sapta vargā yathākramam // VAkK_6.70 //	BAvane darSane ca-eva sapta vargAH yaTAkramam // VAkK_6.70 //
   anāsravāṇi bodhyaṅgamārgāṅgāni dvidhetare /	anAsravANi boDi-aFga-mArga-aFgAni dviDA-itare /
   sakalāḥ prathame dhyāne anāgamye prītivarjitāḥ // VAkK_6.71 //	sakalAH praTame DyAne anAgamye prIti-varjitAH // VAkK_6.71 //
   dvitīye 'nyatra saṃkalpāt dvayostaddvayavarjitāḥ /	dvitIye anyatra saMkalpAt dvayoH-tad-dvaya-varjitAH /
   dhyānāntare ca śīlāṅgaistābhyāṃ ca triṣvarūpiṣu // VAkK_6.72 //	DyAna-antare ca SIla-aFgEH-tAByAm ca trizu-arUpizu // VAkK_6.72 //
   kāmadhātau bhavāgre ca bodhimārgāṅgavarjitāḥ /	kAmaDAtO Bava-agre ca boDi-mArga-aFga-varjitAH /
   trisatyadarśane śīladharmāvetyaprasādayoḥ // VAkK_6.73 //	tri-satya-darSane SIla-Darma-Avetya-prasAdayoH // VAkK_6.73 //
   lābho mārgābhisamaye buddhatatsaṃghayorapi /	lABaH mArga-aBisamaye budDa-tad-saMGayoH-api /
   dharmaḥ satyatrayaṃ bodhisattvapratyekabuddhayoḥ // VAkK_6.74 //	DarmaH satya-trayam boDisattva-pratyekabudDayoH // VAkK_6.74 //
   mārgaśca dravyatastu dve śraddhā śīlaṃ ca nirmalāḥ /	mArgaH-ca dravyataH-tu dve SradDA SIlam ca nirmalAH /
   noktā vimuktiḥ śaikṣāṅgaṃ baddhatvāt sā punardvidhā // VAkK_6.75 //	na-uktA vimuktiH SEkza-aFgam badDa-tvAt sA punar-dviDA // VAkK_6.75 //
   asaṃskṛtā kleśahānamadhimuktastu saṃskṛtā /	asaMskRtA kleSa-hAnam-aDimuktaH-tu saMskRtAH /
   sāṅgaḥ saiva vimuktī dve jñānaṃ bodhiryathoditā // VAkK_6.76 //	sa-aFgaH sA-eva vimuktI dve jQAnam boDiH-yaTA-uditA // VAkK_6.76 //
   vimucyate jāyamānasaśaikṣaṃ cittamāvṛteḥ /	vimucyate jAyamAnasa-SEkzam cittam-AvRteH /
   nirudhyamāno mārgastu prajahāti tadāvṛtim // VAkK_6.77 //	niruDyamAnaH mArgaH-tu prajahAti tad-AvRtim // VAkK_6.77 //
   asaṃskṛtaiva dhātvākhyā virāgo rāgasaṃkṣayaḥ /	asaMskRtA-eva DAtu-AKyA virAgaH rAga-saMkzayaH /
   prahāṇadhāturanyeṣāṃ nirodhākhyastu vastunaḥ // VAkK_6.78 //	prahANa-DAtuH-anyezAm niroDa-AKyaH-tu vastunaH // VAkK_6.78 //
   nirvidyate duḥkhahetukṣāntijñānaiḥ virajyate /	nirvidyate duHKa-hetu-kzAnti-jQAnEH virajyate /
   sarvairjahāti yaiḥ evaṃ catuṣkoṭikasaṃbhavaḥ // VAkK_6.79 //	sarvEH-jahAti yEH evam catuzkowika-saMBavaH // VAkK_6.79 //
   abhidharmakośe mārgapudgalanirdeśo nāma ṣaṣṭhaṃ kośasthānaṃ samāptamiti //	aBiDarmakoSe mArgapudgala-nirdeSaH nAma zazWam koSa-sTAnam samAptam-iti //
   saptamaṃ kośasthānam	saptamam koSa-sTAnam
   namo buddhāya //	namaH budDAya //
   nāmalā kṣāntayo jñānaṃ kṣayānutpādadhīrna dak /	na-amalA kzAntayaH jQAnam kzaya-anutpAda-DIH-na dak /
   tadanyobhayathāryā dhīḥ anyā jñānaṃ dṛśaśca ṣaṭ // VAkK_7.1 //	tad-anya-uBayaTa-AryAH DIH anyAH jQAnam dRSaH-ca zaw // VAkK_7.1 //
   sāsravānāsravaṃ jñānaṃ ādyaṃ saṃvṛtijñāpakam /	sa-AsravAnAsravam jQAnam Adyam saMvRti-jQApakam /
   anāsravaṃ dvidhā dharmajñānamanvayameva ca // VAkK_7.2 //	anAsravam dviDA Darma-jQAnam-anvayam-eva ca // VAkK_7.2 //
   sāṃvṛtaṃ sarvaviṣayaṃ kāmaduḥkhādigocaram /	sAMvRtam sarva-vizayam kAma-duHKa-Adi-gocaram /
   dharmākhyam anvayajñānaṃ tūrdhvaduḥkhādigocaram // VAkK_7.3 //	Darma-AKyam anvaya-jQAnam tu-UrDva-duHKa-Adi-gocaram // VAkK_7.3 //
   te eva satyabhedena catvāri ete caturvidhe /	te eva satya-Bedena catvAri ete caturviDe /
   anutpādakṣayajñāne te punaḥ prathamodite // VAkK_7.4 //	anutpAda-kzaya-jQAne te punar praTama-udite // VAkK_7.4 //
   duḥkhahetvanvayajñāne caturbhyaḥ paracittavit /	duHKa-hetu-anvaya-jQAne caturByaH para-citta-vid /
   bhūmyakṣapudgalotkrāntaṃ naṣṭājātaṃ na vetti tat // VAkK_7.5 //	BUmi-akza-pudgala-utkrAntam nazwAjAtam na vetti tat // VAkK_7.5 //
   ta dharmānvayadhīpakṣyamanyo 'nyaṃ darśanakṣaṇau /	te Darma-anvayaDI-pakzyam-anyaH anyam darSa-nakzaNO /
   śrāvako vetti khaṅgastrīn sarvānbuddho 'prayogataḥ // VAkK_7.6 //	SrAvakaH vetti KaFgaH-trIn sarvAn-budDaH aprayogataH // VAkK_7.6 //
   kṣayajñānaṃ hi satyeṣu parijñātādiniścayaḥ /	kzaya-jQAnam hi satyezu parijQAta-Adi-niScayaH /
   na parijñeyamityādiranutpādamatirmatā // VAkK_7.7 //	na parijQeyam-iti-AdiH-anud-pAda-matiH-matA // VAkK_7.7 //
   svabhāvapratipakṣābhyāmākārākāragocarāt /	svaBAva-pratipakzAByAm-AkAra-AkAra-gocarAt /
   prayogakṛtakṛtyatvahetūpacayato daśa // VAkK_7.8 //	prayoga-kRta-kRtya-tva-hetu-upacayataH daSa // VAkK_7.8 //
   dharmajñānanirodhe yanmārge vā bhāvanāpathe /	Darma-jQAna-niroDe yat-mArge vA BAvanA-paTe /
   tridhātupratipakṣastat kāmadhāto 'stu nānvayam // VAkK_7.9 //	tri-DAtu-pratipakzaH-tat kAmaDAtaH astu na-anvayam // VAkK_7.9 //
   dharmajñānānvayajñānaṃ ṣoḍaśākāram anyathā /	Darma-jQAna-anvaya-jQAnam zoxaSa-AkAram anyaTA /
   tathā ca sāṃvṛtaṃ svaiḥ svaiḥ satyākāraiścatuṣṭayam // VAkK_7.10 //	taTA ca sAMvRtam svEH svEH satya-AkArEH-catuzwayam // VAkK_7.10 //
   tathā paramanojñānaṃ nirmalaṃ samalaṃ punaḥ /	taTA para-manaH-jQAnam nirmalam sa-malam punar /
   jñeyasvalakṣaṇākāraṃ ekaikadravyagocaram // VAkK_7.11 //	jQeya-sva-lakzaNa-AkAram ekEka-dravya-gocaram // VAkK_7.11 //
   śeṣe caturdaśākāre śūnyānātmavivarjite /	Seze caturdaSa-AkAre SUnya-anAtma-vivarjite /
   nāmalaḥ ṣoḍaśabhyo 'nya ākāraḥ anye 'sti śāstrataḥ // VAkK_7.12 //	na-amalaH zoxaSaByaH anyaH AkAraH anye asti SAstrataH // VAkK_7.12 //
   dravyataḥ ṣoḍaśākārāḥ prajñākāraḥ tayā saha /	dravyataH zoxaSa-AkArAH prajQA-kAraH tayA saha /
   ākārayanti sālambāḥ sarvamākāryate tu sat // VAkK_7.13 //	AkArayanti sa-AlambAH sarvam-AkAryate tu sat // VAkK_7.13 //
   tridhādyaṃ kuśalānyanyāni ādyaṃ sarvāsu bhūmiṣu /	triDA-Adyam kuSalAni-anyAni Adyam sarvAsu BUmizu /
   dharmākhyaṃ ṣaṭsu navasu tvanvayākhyaṃ tathaiva ṣaṭ // VAkK_7.14 //	Darma-AKyam zawsu navasu tu-anvaya-AKyam taTA-eva zaw // VAkK_7.14 //
   dhyāneṣvanyamanojñānaṃ kāmarūpāśrayaṃ ca tat /	DyAnezu-anya-manaH-jQAnam kAmarUpa-ASrayam ca tat /
   kāmāśrayaṃ tu dharmākhyam anyattraidhātukāśrayam // VAkK_7.15 //	kAma-ASrayam tu Darma-AKyam anyat-trEDAtuka-ASrayam // VAkK_7.15 //
   smṛtyupasthānamekaṃ dhīrnirodhe paracittadhīḥ /	smRti-upasTAnam-ekam DIH-niroDe para-citta-DIH /
   trīṇi catvāri śeṣāṇi dharmadhīgocaro nava // VAkK_7.16 //	trINi catvAri SezANi DarmaDI-gocaraH nava // VAkK_7.16 //
   nava mārgānvayadhiyoḥ duḥkhahetudhiyordvayam /	nava mArga-anvaya-DiyoH duHKa-hetuDiyoH-dvayam /
