   akartṛbhāvādbhoktuśca MrgT_1,2.15c	akartR-BAvAt-BoktuH-ca MrgT_1,2.15c
   daśotsedhā navāntarāḥ MrgT_1,13.65b	daSa-utseDAH nava-antarAH MrgT_1,13.65b
   dahanaścāgnidiggatāḥ MrgT_1,13.127b	dahanaH-ca-agni-diggatAH MrgT_1,13.127b
   daṃṣṭribhīmāḥ palādapāḥ MrgT_1,13.129b	daMzwri-BImAH palAdapAH MrgT_1,13.129b
   dānavāśca śiveritāḥ MrgT_3.39d	dAnavAH-ca Siva-IritAH MrgT_3.39d
   dārujaṃ bhaumasādhitam MrgT_3.App.1b	dAru-jam BOma-sADitam MrgT_3.App.1b
   dārubhistrividhaṃ param MrgT_3.App.2d	dAruBiH-triviDam param MrgT_3.App.2d
   dikṣu ye bhūdharāḥ sthitāḥ MrgT_1,13.63b	dikzu ye BUDarAH sTitAH MrgT_1,13.63b
   didṛkṣurgocaraṃ dṛśaḥ MrgT_1,10.8b	didRkzuH-gocaram dRSaH MrgT_1,10.8b
   dinānte ca divākṛtam MrgT_4.29d	dina-ante ca divAkRtam MrgT_4.29d
   dinārthe savane gate MrgT_3.79b	dina-arTe savane gate MrgT_3.79b
   divā taddviguṇaṃ japet MrgT_3.108d	divA tad-dviguNam japet MrgT_3.108d
   divyamārṣaṃ ca gauhyakam MrgT_3.36d	divyam-Arzam ca gOhyakam MrgT_3.36d
   divyālokapravṛttidam MrgT_4.49d	divya-Aloka-pravRtti-dam MrgT_4.49d
   dīkṣāsaṃsthāpaneṣu ca MrgT_4.27b	dIkzA-saMsTApanezu ca MrgT_4.27b
   dīkṣāṃ kuryādvilomataḥ MrgT_3.27d	dIkzAm kuryAt-vilomataH MrgT_3.27d
   dīptaṃ paramayā śriyā MrgT_1,13.143d	dIptam paramayA SriyA MrgT_1,13.143d
   dīptākhyaṃ sūkṣmakaṃ param MrgT_3.44b	dIpta-AKyam sUkzmakam param MrgT_3.44b
   durdarśastakṣakastathā MrgT_1,13.31b	durdarSaH-takzakaH-taTA MrgT_1,13.31b
   durvāraṃ tatkṣapayati tamo yatprasādastamīśaṃ MrgT_3.0c	durvAram tat-kzapayati tamaH yad-prasAdaH-tam-ISam MrgT_3.0c
   duḥkhaśokabhayojjhitaḥ MrgT_1,13.83d	duHKa-Soka-Baya-ujJitaH MrgT_1,13.83d
   duḥkhahetuḥ pratīyate MrgT_1,7.18d	duHKa-hetuH pratIyate MrgT_1,7.18d
   dṛkkriyāprāṇarociṣā MrgT_4.11d	dRkkriyA-prANa-rocizA MrgT_4.11d
   dṛgādatte sarūpakam MrgT_1,12.14d	dRS-Adatte sarUpakam MrgT_1,12.14d
   dṛṣṭamutpattidharmakam MrgT_1,9.6b	dRzwam-utpatti-Darmakam MrgT_1,9.6b
   dṛṣṭaṃ purādi yadbhogyaṃ MrgT_1,13.4c	dRzwam purA-Adi yat-Bogyam MrgT_1,13.4c
   dṛṣṭaṃ lokasthitāvapi MrgT_1,3.2b	dRzwam loka-sTitO=-api MrgT_1,3.2b
   dṛṣṭaḥ śveto dhanairjanaiḥ MrgT_1,1.16d	dRzwaH SvetaH DanEH-janEH MrgT_1,1.16d
   dṛṣṭā nākaraṇā kṛtiḥ MrgT_1,3.3d	dRzwA na-akaraNA kRtiH MrgT_1,3.3d
   dṛṣṭā baddhasya vaśyatā MrgT_1,7.3b	dRzwA badDasya vaSya-tA MrgT_1,7.3b
   dṛṣṭārtho 'pyapipāsitaḥ MrgT_1,10.11b	dRzwa-arTaH api-apipAsitaH MrgT_1,10.11b
   dṛṣṭe dviphaṇini dvyaham MrgT_3.57d	dRzwe dvi-PaNini dvi-aham MrgT_3.57d
   deyaṃ nātipramādine MrgT_4.64d	deyam na-ati-pramAdine MrgT_4.64d
   devatārādhanopāyas MrgT_1,1.5c	devatA-ArADana-upAyaH MrgT_1,1.5c
   devapravartakaṃ śīghra- MrgT_1,12.7a	deva-pravartakam SIGra MrgT_1,12.7a
   devaḥ sadāśivo bindau MrgT_1,13.161a	devaH sadASivaH bindO MrgT_1,13.161a
   devānāṃ daśakoṭikī MrgT_1,13.110b	devAnAm daSa-kowikI MrgT_1,13.110b
   devāstadadhikāriṇaḥ MrgT_1,13.190b	devAH-tad-aDikAriNaH MrgT_1,13.190b
   devairniṣevyate channaḥ MrgT_1,13.79c	devEH-nizevyate CannaH MrgT_1,13.79c
   devo vidyādhipaḥ sthitaḥ MrgT_1,13.157d	devaH vidyA-aDipaH sTitaH MrgT_1,13.157d
   deśikādyā jigīṣavaḥ MrgT_4.1d	deSikA-AdyAH jigIzavaH MrgT_4.1d
   deśiko mantravṛttiśca MrgT_3.2a	deSikaH mantra-vRttiH-ca MrgT_3.2a
   dehatyāge ca śāṅkare MrgT_4.26d	dehatyAge ca SAFkare MrgT_4.26d
   dehapātāntakaṃ yeṣāṃ MrgT_3.8c	deha-pAta-antakam yezAm MrgT_3.8c
   dehabandhaḥ sukhī balī MrgT_1,13.82d	dehabanDaH suKI balI MrgT_1,13.82d
   dehasaṃyogajā yataḥ MrgT_1,2.23b	deha-saMyoga-jAH yatas MrgT_1,2.23b
   dehākṣaphalabhūmīnāṃ MrgT_1,13.187c	deha-akza-Pala-BUmInAm MrgT_1,13.187c
   dehābhāvāducyate dehaśabdaiḥ MrgT_1,3.14b	deha-aBAvAt-ucyate deha-SabdEH MrgT_1,3.14b
   dehābhāve 'pi pūrvavat MrgT_1,10.27d	deha-aBAve api pUrvavat MrgT_1,10.27d
   dehe 'sthimāṃsakeśatvaṅ- MrgT_1,12.30a	dehe asTi-mAMsa-keSa-tvaF MrgT_1,12.30a
   daityayakṣāsurādhīśa- MrgT_1,13.34a	dEtya-yakza-asura-aDISa MrgT_1,13.34a
   daityāḥ śaṅkuśrutiḥ pūrve MrgT_1,13.29c	dEtyAH SaFku-SrutiH pUrve MrgT_1,13.29c
   doṣaḥ sahānavasthāno MrgT_1,11.17c	dozaH saha-anavasTAnaH MrgT_1,11.17c
   ddhāma yogivarastutam MrgT_1,13.145b	dDAma yogi-vara-stutam MrgT_1,13.145b
   dyutiḥ panasasārabhuk MrgT_1,13.82b	dyutiH panasa-sAra-Buj MrgT_1,13.82b
   dvayorapyadhvanorevaṃ MrgT_1,13.179a	dvayoH-api-aDvanoH-evam MrgT_1,13.179a
   dvayorvyaktikaraḥ kaścic MrgT_1,5.7c	dvayoH-vyakti-karaH kaScid MrgT_1,5.7c
   dvādaśāyurhiraṇvati MrgT_1,13.87d	dvAdaSa-AyuH-hiraNvati MrgT_1,13.87d
   dvādaśaitāni kāraṇam MrgT_4.50b	dvAdaSa-etAni kAraNam MrgT_4.50b
   dvikrośamāhurgavyūtiṃ MrgT_1,13.8c	dvi-kroSam-AhuH-gavyUtim MrgT_1,13.8c
   dvigavyūtiṃ ca yojanam MrgT_1,13.8d	dvi-gavyUtim ca yojanam MrgT_1,13.8d
   dviguṇaṃ śuddhikāraṇāt MrgT_3.110d	dviguNam SudDi-kAraNAt MrgT_3.110d
   dviguṇaṃ svavaśastāva MrgT_3.125c	dviguNam svavaSaH-tAva MrgT_3.125c
   dvijamukhya nibodha me MrgT_1,13.14d	dvijamuKya niboDa me MrgT_1,13.14d
   dvijasaṃghastutā bhāti MrgT_1,13.53c	dvija-saMGa-stutAH BAti MrgT_1,13.53c
   dvijādyucchiṣṭasaṃsarge MrgT_3.109a	dvija-Adi-ucCizwa-saMsarge MrgT_3.109a
   dvipañcaguṇitaṃ śuddhyai MrgT_3.119a	dvi-paQca-guNitam SudDyE MrgT_3.119a
   dviraṇḍachagalāṇḍakāḥ MrgT_1,13.141d	dvi-s-aNxa-Cagala-aNxakAH MrgT_1,13.141d
   dvirvimṛjyānanaṃ spṛśet MrgT_4.16b	dvis-vimRjya-Ananam spRSet MrgT_4.16b
   dvirvratī trirapaḥ pītvā MrgT_4.16a	dvis-vratI tris-apaH pItvA MrgT_4.16a
   dvistrirvā śaucitādharaḥ MrgT_4.16d	dvis-tris-vA SOcita-aDaraH MrgT_4.16d
   dvīpaketurabhūjjambūḥ MrgT_1,13.76a	dvIpaketuH-aBUt-jambUH MrgT_1,13.76a
   dvīpaśailasaridvāri- MrgT_1,13.35a	dvIpa-SEla-sarit-vAri MrgT_1,13.35a
   dvīpānnadīvanāntāṃśca MrgT_1,13.40a	dvIpAn-nadIvana-antAn=-ca MrgT_1,13.40a
   dve koṭī satrikaṃ dalam MrgT_1,13.108d	dve kowI satrikam dalam MrgT_1,13.108d
   dve ca lakṣe dvijottama MrgT_1,13.21b	dve ca lakze dvijottamaH MrgT_1,13.21b
   dve tathaikamathāpi vā MrgT_3.48d	dve taTA-ekam-aTa-api vA MrgT_3.48d
   dveṣānte sa punaryena MrgT_1,11.19c	dveza-ante sa punar-yena MrgT_1,11.19c
   dvaitatyānna pradeśagam MrgT_1,3.2f	dvEtatyAt-na pradeSa-gam MrgT_1,3.2f
   dhanustadvedalakṣitam MrgT_1,13.7d	DanuH-tad-veda-lakzitam MrgT_1,13.7d
   dharaṇīnāṃ ca vṛttayaḥ MrgT_1,12.22b	DaraNInAm ca vRttayaH MrgT_1,12.22b
   dharmayoranuvartanam MrgT_1,7.22b	DarmayoH-anuvartanam MrgT_1,7.22b
   dharmasāmānya evāyaṃ MrgT_1,5.12c	Darma-sAmAnyaH eva-ayam MrgT_1,5.12c
   dharmādyanukṛtau ceti MrgT_1,13.188c	Darma-Adi-anukRtO ca-iti MrgT_1,13.188c
   dharmādharmasvarūpakam MrgT_1,8.4d	Darma-aDarma-svarUpakam MrgT_1,8.4d
   dharmā nāmnaiva kīrtitāḥ MrgT_1,2.7d	DarmAH nAmnA-eva kIrtitAH MrgT_1,2.7d
   dharmānuvartanādeva MrgT_1,7.11c	Darma-anuvartanAt-eva MrgT_1,7.11c
   dharmiṇo 'nugraho nāma MrgT_1,7.20a	DarmiNaH anugrahaH nAma MrgT_1,7.20a
   dhāmavaddaityasevitā MrgT_1,13.50b	DAma-vat-dEtya-sevitA MrgT_1,13.50b
   dhāmaśaṅkuṣu lokeśān MrgT_3.102c	DAma-SaFkuzu lokeSAn MrgT_3.102c
   dhāmānyāśābhṛtāṃ mune MrgT_1,13.112b	DAmAnyASA-BRtAm mune MrgT_1,13.112b
   dhāraṇā dvādaśa dhyānaṃ MrgT_4.49c	DAraNA dvAdaSa DyAnam MrgT_4.49c
   dhāraṇā dhyānavīkṣaṇe MrgT_4.3b	DAraNA DyAna-vIkzaNe MrgT_4.3b
   dhāraṇāyogyatāmeti MrgT_4.6c	DAraNA-yogya-tAm-eti MrgT_4.6c
   dhāraṇāsiddhidānataḥ MrgT_4.35b	DAraNA-sidDi-dAnataH MrgT_4.35b
   dhārayetkṣitimarthavit MrgT_4.40d	DArayet-kzitim-arTa-vid MrgT_4.40d
   dhiraṇyaṃ śvetaparvatāt MrgT_1,13.70b	DiraNyam SvetaparvatAt MrgT_1,13.70b
   dhīśailaḥ sāragauravāt MrgT_1,1.10d	DI-SElaH sAra-gOravAt MrgT_1,1.10d
   dhūnanajvalanaplāva- MrgT_1,12.20c	DUnana-jvalana-plAva MrgT_1,12.20c
   dhūmaḥ sāndraḥ sudāruṇaḥ MrgT_1,13.12d	DUmaH sAndraH su-dAruNaH MrgT_1,13.12d
   dhyātuṃ śakyaṃ na jātucit MrgT_4.54d	DyAtum Sakyam na jAtucit MrgT_4.54d
   dhyānārcanajapādyeṣu MrgT_4.26c	DyAna-arcana-japa-Adyezu MrgT_4.26c
   dhyāyanmantraṃ japedvidvān MrgT_3.87c	DyAyan-mantram japet-vidvAn MrgT_3.87c
   dhyāyedadhvāntagaṃ devaṃ MrgT_4.31c	DyAyet-aDva-anta-gam devam MrgT_4.31c
   dhruvatejodhiṣau rudrau MrgT_1,13.153c	Druva-tejaH-DizO rudrO MrgT_1,13.153c
   dhruvaprānto mahītalāt MrgT_1,13.114d	Druva-prAntaH mahI-talAt MrgT_1,13.114d
   na kaṃcitpraṇamed brūyāt MrgT_3.90a	na kaMcid-praNamet brUyAt MrgT_3.90a
   na kaṃcidanugṛhṇīyān MrgT_3.78a	na kaMcid-anugRhNIyAt MrgT_3.78a
   na kāryaṃ śaktirūpakam MrgT_1,9.18b	na kAryam Sakti-rUpakam MrgT_1,9.18b
   nakhadanteṣu cāvaniḥ MrgT_1,12.30b	naKa-dantezu ca-avaniH MrgT_1,12.30b
   na gauṇastadvidharmataḥ MrgT_1,11.15b	na gONaH-tad-viDarmataH MrgT_1,11.15b
   na grāhyaṃ kārakaṃ kiṃcit MrgT_3.122a	na grAhyam kArakam kiMcid MrgT_3.122a
   na ca tatsādhakaṃ kiṃcit MrgT_1,1.9a	na ca tad-sADakam kiMcid MrgT_1,1.9a
   na ca paśyāmi tatkiṃcit MrgT_1,9.16c	na ca paSyAmi tat-kiMcid MrgT_1,9.16c
   na ca yatrāsti kartavyaṃ MrgT_1,7.19c	na ca yatra-asti kartavyam MrgT_1,7.19c
   na ca viṇmūtrabādhane MrgT_3.30b	na ca viz-mUtra-bADane MrgT_3.30b
   na ca sṛṣṭyādi kurvanti MrgT_1,13.175a	na ca sRzwi-Adi kurvanti MrgT_1,13.175a
   na cādhvasu pradhāvatsu MrgT_3.84a	na ca-aDvasu praDAvatsu MrgT_3.84a
   na cānyavṛttiniṣṭhasya MrgT_3.74c	na ca-anya-vRtti-nizWasya MrgT_3.74c
   na cāstyanubhavaḥ kaścid MrgT_1,2.26c	na ca-asti-anuBavaH kaScid MrgT_1,2.26c
   na cedamūlaṃ bhūtānāṃ MrgT_1,1.14c	na ced-amUlam BUtAnAm MrgT_1,1.14c
   na caikaviniyogitvaṃ MrgT_1,11.13a	na ca-eka-viniyogi-tvam MrgT_1,11.13a
   na chardyāṃ nātisāre vā MrgT_3.30c	na CardyAm na-atisAre vA MrgT_3.30c
   na jātu devatāmūrtir MrgT_1,1.11a	na jAtu devatA-mUrtiH MrgT_1,1.11a
   na tadasti jagatyasmin MrgT_1,10.22a	na tat-asti jagati-asmin MrgT_1,10.22a
   na tadutpattimattasmād MrgT_1,9.6c	na tad-utpattimat-tasmAt MrgT_1,9.6c
   na tamīṣṭe naraḥ kaścit MrgT_4.11a	na tam-Izwe naraH kaScid MrgT_4.11a
   na tāpayati vaikṛṣṭyād MrgT_1,13.112a	na tApayati vEkRzwyAt MrgT_1,13.112a
   na te mantraprayoktāraḥ MrgT_3.28a	na te mantra-prayoktAraH MrgT_3.28a
   na teṣvavasthābhedo 'sti MrgT_1,13.91a	na tezu-avasTA-BedaH asti MrgT_1,13.91a
   na todanāya kurute MrgT_1,7.15a	na todanAya kurute MrgT_1,7.15a
   nadī puṣkariṇī nāma MrgT_1,13.105c	nadI puzkariNI nAma MrgT_1,13.105c
   na duṣṭānekasādhyatā MrgT_1,11.13d	na duzwa-aneka-sADyatA MrgT_1,11.13d
   na dhyeye dhāraṇe tadā MrgT_4.55d	na Dyeye DAraNe tadA MrgT_4.55d
   na niṣeveta bhartsayet MrgT_3.78b	na nizeveta Bartsayet MrgT_3.78b
   na nīcaiḥ saṃvasennnāpi MrgT_3.64a	na nIcEs saMvaset-a-ena-api MrgT_3.64a
   nandanaṃ mānasaṃ tatra MrgT_1,13.78c	nandanam mAnasam tatra MrgT_1,13.78c
   na paṭastantubhirvinā MrgT_1,9.3d	na pawaH-tantuBiH-vinA MrgT_1,9.3d
   na pareṇeṣyate tathā MrgT_1,12.15b	na pareNa-izyate taTA MrgT_1,12.15b
   na prāthamikasādhakāḥ MrgT_3.9b	na prATamika-sADakAH MrgT_3.9b
   na prāptamapi karmādi MrgT_1,12.16a	na prAptam-api karma-Adi MrgT_1,12.16a
   nabhasye vocyamānavat MrgT_3.129d	naBasye vA-ucya-mAna-vat MrgT_3.129d
   nabhasvānukta eva te MrgT_1,12.31d	naBasva-anuktaH eva te MrgT_1,12.31d
   nabhasvān paścimottarām MrgT_1,13.122b	naBasvAn paScima-uttarAm MrgT_1,13.122b
   na bhuñjānaṃ samādhisthaṃ MrgT_3.70a	na BuQjAnam samADi-sTam MrgT_3.70a
   namaskṛtya maheśānam MrgT_4.18a	namaskRtya maheSAnam MrgT_4.18a
   na muktāvapyupaplavaḥ MrgT_1,2.26b	na muktO=-api-upaplavaH MrgT_1,2.26b
   na yāyādanupānatkaḥ MrgT_3.63a	na yAyAt-anupAnatkaH MrgT_3.63a
   nayettā bhautikavratī MrgT_3.7d	nayet-tA BOtika-vratI MrgT_3.7d
   na yogyatāṅgamabhajat MrgT_1,5.11c	na yogyatA-aFgam-aBajat MrgT_1,5.11c
   na yoṣinna vayontasthā MrgT_3.4c	na yozit-na vayontasTAH MrgT_3.4c
   narakā iti viśrutaḥ MrgT_1,13.15d	narakAH iti viSrutaH MrgT_1,13.15d
   na rātrau na khārātape MrgT_3.63d	na rAtrO na KAra-Atape MrgT_3.63d
   na rogī vikalo 'pi vā MrgT_3.4d	na rogI vikalaH api vA MrgT_3.4d
   nava cātrārdhakasthale MrgT_1,13.93d	nava ca-atra-arDaka-sTale MrgT_1,13.93d
   navābdhisrotasi dvīpā MrgT_1,13.93c	nava-abDi-srotasi dvIpAH MrgT_1,13.93c
   na vyañjakamapekṣate MrgT_1,5.14b	na vyaQjakam-apekzate MrgT_1,5.14b
   na śakyaṃ vistarādvaktuṃ MrgT_4.14a	na Sakyam vistarAt-vaktum MrgT_4.14a
   na śābdamapi śāṅkaram MrgT_1,5.16b	na SAbdam-api SAFkaram MrgT_1,5.16b
   naṣṭaduḥkhaikakaṇṭakaḥ MrgT_1,13.108b	nazwa-duHKa-eka-kaNwakaH MrgT_1,13.108b
   na satyapi śave citiḥ MrgT_1,6.5d	na sati-api Save citiH MrgT_1,6.5d
   na sarvajño mṛṣā vadet MrgT_1,9.10d	na sarvajQaH mRzA vadet MrgT_1,9.10d
   na sādhikāre tamasi MrgT_1,7.16a	na sa-aDikAre tamasi MrgT_1,7.16a
   na sā prayāti sāṃnidhyaṃ MrgT_1,1.8c	na sA prayAti sAMniDyam MrgT_1,1.8c
   na siddhikṣetramutsṛjya MrgT_3.104c	na sidDi-kzetram-utsRjya MrgT_3.104c
   na so 'sti kasyacijjātu MrgT_1,7.20c	na saH asti kasyacid-jAtu MrgT_1,7.20c
   na so 'sti viṣayadvaye MrgT_1,11.16b	na saH asti vizaya-dvaye MrgT_1,11.16b
   na sphuṭo vastusaṃgrahaḥ MrgT_1,2.11b	na sPuwaH vastu-saMgrahaH MrgT_1,2.11b
   na smṛternāpi karmaṇaḥ MrgT_1,2.25d	na smRteH-na-api karmaNaH MrgT_1,2.25d
   na svārthamapyacidbhāvān MrgT_1,6.2c	na sva-arTam-api-acit-BAvAt MrgT_1,6.2c
   nākartā bhinnacidyogī MrgT_1,6.7c	na-akartA Binna-cit-yogI MrgT_1,6.7c
   nākṣipedoṣadhīrmantra- MrgT_3.90c	na-Akzipet-ozaDIH-mantra MrgT_3.90c
   nāgadvīpaścāndramaso MrgT_1,13.95a	nAgadvIpaH-cAndramasaH MrgT_1,13.95a
   nājīrṇāmlarasodgāre MrgT_3.30a	na-ajIrNa-amla-rasa-udgAre MrgT_3.30a
   nājño nāpi pramādavān MrgT_3.4b	na-ajQaH na-api pramAdavAn MrgT_3.4b
   nāḍībhūtena sūtreṇa MrgT_3.100c	nAxIBUtena sUtreNa MrgT_3.100c
   nātiprāṅnātivelāyāṃ MrgT_3.63c	na-ati-prAk-na-ati-velAyAm MrgT_3.63c
   nādakoṭeradho mune MrgT_1,13.177d	nAda-koweH-aDas mune MrgT_1,13.177d
   nādatte ghaṭaśabdo 'mbhaś MrgT_1,1.12c	na-Adatte Gawa-SabdaH amBaH MrgT_1,1.12c
   nādadyānna vigarhitāt MrgT_3.81b	na-AdadyAt-na vigarhitAt MrgT_3.81b
   nādadyānnātisaṃskṛtām MrgT_3.82b	na-AdadyAt-na-atisaMskRtAm MrgT_3.82b
   nādamatti parā śaktiḥ MrgT_1,13.192a	nAdam-atti parA SaktiH MrgT_1,13.192a
   nādaḥ sūkṣmaḥ kalā kāla- MrgT_1,13.195c	nAdaH sUkzmaH kalA kAla MrgT_1,13.195c
   nāde dhvanipatiḥ śaktau MrgT_1,13.161c	nAde Dvani-patiH SaktO MrgT_1,13.161c
   nādhikṛtyāviraktāṇūn MrgT_4.57a	na-aDikRtya-avirakta-aNUn MrgT_4.57a
   nādhiṣṭhānaṃ vihanyate MrgT_1,7.19b	na-aDizWAnam vihanyate MrgT_1,7.19b
   nādhyakṣaṃ nāpi tallaiṅgaṃ MrgT_1,5.16a	na-aDyakzam na-api tad-lEFgam MrgT_1,5.16a
   nādhyāpayeccaturdaśyām MrgT_3.53c	na-aDyApayet-caturdaSyAm MrgT_3.53c
   nānaratnaprabhājāla- MrgT_1,13.47a	nAna-ratna-praBA-jAla MrgT_1,13.47a
   nānarthyaṃ kartṛgauravāt MrgT_1,6.2d	na-anarTyam kartR-gOravAt MrgT_1,6.2d
   nānājanasamāśrayā MrgT_1,13.34d	nAnA-jana-samASrayAH MrgT_1,13.34d
   nānājātijanākīrṇā MrgT_1,13.96a	nAnA-jAti-jana-AkIrNA MrgT_1,13.96a
   nānāparvatanimnagāḥ MrgT_1,13.95d	nAnA-parvata-nimnagAH MrgT_1,13.95d
   nānāyonīni kasyacit MrgT_1,12.12b	nAnA-yonIni kasyacid MrgT_1,12.12b
   nānāratnadrumācalā MrgT_1,13.109d	nAnA-ratna-druma-acalAH MrgT_1,13.109d
   nānārūpairmahāvīryais MrgT_1,13.124c	nAnA-rUpEH-mahA-vIryEH MrgT_1,13.124c
   nānukuryānna pīḍayet MrgT_3.64d	na-anukuryAt-na pIxayet MrgT_3.64d
   nānviṣyatyanyathā balam MrgT_1,7.5d	na-anvizyati-anyaTA balam MrgT_1,7.5d
   nāpaiti guṇino guṇaḥ MrgT_1,13.187b	na-apEti guNinaH guNaH MrgT_1,13.187b
   nāpyevaṃ supratītatvāt MrgT_1,6.6c	na-api-evam su-pratIta-tvAt MrgT_1,6.6c
   nābhāti niranugrahā MrgT_1,10.3d	na-ABAti niranugrahAH MrgT_1,10.3d
   nābhuktaṃ layameti ca MrgT_1,8.5d	na-aBuktam layam-eti ca MrgT_1,8.5d
   nāmatastānibodhata MrgT_1,13.46d	nAmataH-tAniboData MrgT_1,13.46d
   nāmatastānnibodha me MrgT_1,13.94b	nAmataH-tAn-niboDa me MrgT_1,13.94b
   nāmataḥ kathayāmi te MrgT_1,13.141b	nAmataH kaTayAmi te MrgT_1,13.141b
   nāmabhistānnibodha me MrgT_1,13.125b	nAmaBiH-tAn-niboDa me MrgT_1,13.125b
   nāmedhine nātapase MrgT_4.64e	nAmeDine na-Atapase MrgT_4.64e
   nāmnā kiṃpuruṣaṃ khyātaṃ MrgT_1,13.69c	nAmnA kiMpuruzam KyAtam MrgT_1,13.69c
   nāmnā krauñcaṃ taducyate MrgT_1,13.101b	nAmnA krOQcam tat-ucyate MrgT_1,13.101b
   nārāyaṇāśrame puṇye MrgT_1,1.2a	nArAyaNa-ASrame puNye MrgT_1,1.2a
   nālpakāloṣitāyaitad MrgT_4.64c	na-alpa-kAla-uzitAya-etat MrgT_4.64c
   nāvyāpako na kṣaṇiko MrgT_1,6.7a	na-avyApakaH na kzaNikaH MrgT_1,6.7a
   nāśusaṃcaraṇādṛte MrgT_1,12.11d	nASu-saMcaraNAt-Rte MrgT_1,12.11d
   nāsataḥ kriyate vyaktiḥ MrgT_1,9.21e	na-asataH kriyate vyaktiH MrgT_1,9.21e
   nāsadācaritaṃ kiṃcid MrgT_3.65a	na-asat-Acaritam kiMcid MrgT_3.65a
   nāsāgrāhitadṛgdvayaḥ MrgT_4.18d	nAsA-gra-ahita-dRS-dvayaH MrgT_4.18d
   nāsā ca manasā saha MrgT_1,12.3b	nAsA ca manasA saha MrgT_1,12.3b
   nāsāmyāddveṣarāgayoḥ MrgT_1,11.17d	na-asAmyAt-dveza-rAgayoH MrgT_1,11.17d
   nāsārandhaviśiṣṭaṃ tad MrgT_1,12.17a	nAsAranDa-viSizwam tat MrgT_1,12.17a
   nāsīta ciramanyatra MrgT_3.78c	na-AsIta ciram-anyatra MrgT_3.78c
   nāsnātaḥ kṛtamaithunaḥ MrgT_3.30d	na-asnAtaH kRta-mETunaH MrgT_3.30d
   nikhilaśrotṛsammataḥ MrgT_1,1.20d	niKila-SrotR-sammataH MrgT_1,1.20d
   nijaguḥ kartṛkārakam MrgT_1,10.7d	nijaguH kartR-kArakam MrgT_1,10.7d
   nityatvavyāpakatvādi- MrgT_1,13.4a	nitya-tva-vyApaka-tva-Adi MrgT_1,13.4a
   nityavyāpakacicchakti- MrgT_1,7.5a	nitya-vyApaka-cicCakti MrgT_1,7.5a
   nityaṃ kālānavacchedād MrgT_1,3.2e	nityam kAla-anavacCedAt MrgT_1,3.2e
   nidhimaṇḍalamaṇḍitā MrgT_1,13.35b	niDi-maNxala-maNxitA MrgT_1,13.35b
   nidhirapyarthasiddhaye MrgT_1,7.5b	niDiH-api-arTa-sidDaye MrgT_1,7.5b
   nidhirbinduścatuṣkalaḥ MrgT_1,13.196d	niDiH-binduH-catuzkalaH MrgT_1,13.196d
   nidhīśo rūpavān dhanya- MrgT_1,13.131c	niDi-ISaH rUpavAn Danya MrgT_1,13.131c
   nimittamāgāmibhāvād MrgT_1,8.1c	nimittam-AgAmi-BAvAt MrgT_1,8.1c
   niyatārthatayākṣāṇi MrgT_1,12.12a	niyata-arTa-tayA-akzANi MrgT_1,12.12a
   niyatāveva dūṣaṇam MrgT_1,11.17b	niyatO=-eva dUzaNam MrgT_1,11.17b
   niyatyā niyataṃ paśum MrgT_1,10.14d	niyatyA niyatam paSum MrgT_1,10.14d
   niyojyatvaṃ malāṃśataḥ MrgT_1,4.5b	niyojya-tvam mala-aMSataH MrgT_1,4.5b
   niyojyatvaṃ malāṃśataḥ MrgT_1,13.172b	niyojya-tvam mala-aMSataH MrgT_1,13.172b
   niyojyāḥ parameṣṭhinaḥ MrgT_1,4.4d	niyojyAH paramezWinaH MrgT_1,4.4d
   nirayāṇāṃ patiḥ sthitaḥ MrgT_1,13.23b	nirayANAm patiH sTitaH MrgT_1,13.23b
   nirucchvāsanasocchvāsāḥ MrgT_1,13.17d	nirucCvAsanasa-ucCvAsAH MrgT_1,13.17d
   nirṛtirmāraṇakrodha- MrgT_1,13.128c	nirRtiH-mAraNa-kroDa MrgT_1,13.128c
   nirodhaḥ kumbhakaḥ smṛtaḥ MrgT_4.22d	niroDaH kumBakaH smRtaH MrgT_4.22d
   nirgatā dīptimattarāḥ MrgT_1,13.44b	nirgatAH dIptimattarAH MrgT_1,13.44b
   nirghātolkāmahīkampa- MrgT_3.54c	nirGAta-ulkA-mahIkampa MrgT_3.54c
   nirṇetānubhavo nṛṇām MrgT_1,12.24b	nirNeta-anuBavaH nRNAm MrgT_1,12.24b
   nirmame bhagavānidam MrgT_1,1.22d	nirmame BagavAn-idam MrgT_1,1.22d
   nirmitānyadhvavedhasā MrgT_1,13.14b	nirmitAni-aDva-veDasA MrgT_1,13.14b
   nirvighnasiddhimanvicchan MrgT_3.128a	nirviGna-sidDim-anvicCan MrgT_3.128a
   nivartayati bhūtāni MrgT_1,13.166c	nivartayati BUtAni MrgT_1,13.166c
   nivṛttasya gatirbhūyo MrgT_1,13.167c	nivRttasya gatiH-BUyas MrgT_1,13.167c
   nivṛttiriti tatsthānaṃ MrgT_1,13.167a	nivRttiH-iti tat-sTAnam MrgT_1,13.167a
   nivṛttirdhāraṇādīnāṃ MrgT_4.12c	nivRttiH-DAraNa-AdInAm MrgT_4.12c
   nivṛttermanaso hetuḥ MrgT_4.12a	nivRtteH-manasaH hetuH MrgT_4.12a
   nivṛttestatparicyutau MrgT_1,5.1b	nivRtteH-tad-paricyutO MrgT_1,5.1b
