   (Hbṭ 1)	(Hbj 1)
   [36. hetoḥ prakāratrayasya nāmanirdeśaḥ |]	[36. hetoH prakAra trayasya nAma nirdeSaH |]
   tadetāvatā granthena "pakṣadharmastadaṃśena vyāpto hetuḥ" iti vyākhyātam |	tat etAvatA granTena "pakza DarmaH tad aMSena vyAptaH hetuH" iti vyAKyAtam |
   adhunā "tridhaiva saḥ" ityetad vyākhyātumāha  "etallakṣaṇaḥ" ‘pakṣadharmaḥ	aDunA "triDA eva saH" iti etat vyAKyAtum Aha "etad lakzaNaH" ‘pakza DarmaH
   san yastadaṃśena vyāpto hetuḥ'; ityetallakṣaṇaṃ yasya sa etallakṣaṇaḥ |	san yaH tad aMSena vyAptaH hetuH a; iti etat lakzaNam yasya saH etad lakzaNaH |
   "tridhaiva saḥ" | ‘saḥ'; ityetasya vyākhyānaṃ "hetu"riti, | ‘tridhaiva';	"triDA eva saH" | ‘saH a; iti etasya vyAKyAnam "hetu"riti, | ‘triDA eva a;
   ityasya vivaraṇaṃ "triprakāra eve" ti | tān hetūna svena svena nāmnā	iti asya vivaraNam "tri prakAraH eve" ti | tAn hetUna svena svena nAmnA
   kīrtayati  "svabhāvaḥ kāryam anupalabdhiśceti" | "ca"kāro	kIrtayati "svaBAvaH kAryam anupalabDiH ceti" | "ca"kAraH 
   hetutvasamuccayārthaḥ | "iti" śabdaḥ samāptiṃ sūcayannavadhāraṇārthameva	hetu tva samuccaya arTaH | "iti" SabdaH samAptim sUcayan= avaDAraNa arTam eva
   sphuṭayati | "yathā  anitye" kasmiṃścit śabdādau "sādhye satva(ttva)miti"	sPuwayati | "yaTA anitye" kasmiMScid Sabda AdO "sADye satva(ttva)m iti"
   svabhāvahetūpadarśanam, (Hbṭ 55) "agnimati pradeśe" sādhye "dhūma iti"	svaBAva hetu upadarSanam, (Hbj 55) "agnimati pradeSe" sADye "DUmaH iti"
   kāryahetoḥ pradarśanam, "abhāve ca" abhāvasya vyavahāre ca	kArya hetoH pradarSanam, "aBAve ca" aBAvasya vyavahAre ca
   "upalabdhilakṣaṇaprāptasyānupalabdhiriti" anupalabdherupanyāsaḥ |	"upalabDi lakzaNa prAptasya anupalabDiH iti" anupalabDeH upanyAsaH |
   [37. trividhahetubāhyānāṃ hetvābhāsatve pramāṇopadarśanam |]	[37. triviDa hetu bAhyAnAm hetvABAsa tve pramANa upadarSanam |]
   kasmāt punaḥ trividha eva hetuḥ? ityāśaṅkaya	kasmAt punar triviDaH eva hetuH? iti ASaFkaya
   trividhahetuvyatiriktānāmarthānāṃ hetvābhāsatayā hetuviruddhayā	triviDa hetu vyatiriktAnAm arTAnAm hetvABAsa tayA hetu virudDayA
   vyāptestriṣveva hetutvaṃ niyataṃ bhavatiti hetvābhāsatāṃ pramāṇavatīṃ	vyApteH trizu eva hetu tvam niyatam Bavatiti hetvABAsa tAm pramANavatIm
   tadvyatirekiṇāṃ darśayannāha  "atraiva" svabhāvakāryānupalabdhyākhye	tad vyatirekiNAm darSayat = Aha "atra eva" svaBAva kArya anupalabDi AKye
   "trividhahetau avinābhāvasya niyamāditi"	"triviDa hetO avinA aBAvasya niyamAt iti"
   trividhahetuvyatirikteṣvartheṣvavinābhāvābhāvādityarthaḥ |	triviDa hetu vyatiriktezu arTezu avinA aBAva aBAvAt iti arTaH |
   tataścāvinābhāvavikalatvāt svabhāvakāryānupalabdhivyatirekiṇo 'rthā	tatas ca avina aBAva vikala tvAt svaBAva kAryAnupalabDi vyatirekiNaH arTA
   hetvābhāsāḥ prameyatvādivat ityuktaṃ bhavati | avinābhāvābhāvaśca	hetvABAsAH prameya tva Adi vat iti uktam Bavati | avinA aBAva aBAvaH ca
   trividhahetuvyatiriktatvādeva	triviDa hetu vyatirikta tvAt eva
   tādātmyatadutpattyoravinābhāvavyāpikayorabhāvād vyāpakānupalabdhito	tAdAtmya tad utpattyoH avinA aBAva vyApi kayoH aBAvAt vyApaka anupalabDitaH 
   'vagataḥ |	avagataH |
   [38. avinābhāvanirūpaṇam |]	[38. avinA aBAva nirUpaNam |]
   atha ko 'yamavinābhāvaḥ? kasya cāsau? kathaṃ vātraiva niyata ucyate?	aTa kaH ayam avinABAvaH? kasya ca asO? kaTam vA atra eva niyataH ucyate?
   ityata āha  "yathoktā vyāptiḥ vyāpakasya"  tatkāraṇatayā tadbhāvatayā ca |	iti atas Aha "yaTA uktA vyAptiH vyApakasya" tad kAraNa tayA tad BAva tayA ca |
   yatra tadvayāpyaṃ kāryaṃ svabhāvo vā sannihitastatra bhāva eva |	yatra tat vayApyam kAryam svaBAvaH vA sannihitaH tatra BAvaH eva |
   "vyāpyasya vā"  kāryasya svabhāvasya vā | yatra tatkāraṇasvabhāvākhyaṃ	"vyApyasya vA" kAryasya svaBAvasya vA | yatra tad kAraNa svaBAva AKyam
   vyāpakaṃ sannihitaṃ tatraiva dharmiṇi na tadabhāve 'pi bhāva iti yā	vyApakam sannihitam tatra eva DarmiNi na tad aBAve api BAvaH iti yA
   vyāpakavyāpyadharmatayā vyāptiruktā sā "yathoktā vyāptiravinābhāvaḥ" |	vyApaka vyApya Darma tayA vyAptiH uktA sA "yaTA uktA vyAptiH avinA aBAvaH" |
   kasya? | "pakṣadharmasya" | sādhyadharmidharmasya | "sa" evaṃrūpo	kasya? | "pakza Darmasya" | sADya Darmi Darmasya | "sa" evaMrUpaH 
   'vinābhāvaḥ "tṛ(tri)vidhād" yathoktād hetoḥ "anyatraḥ" tadvyatirekiṇyarthe	avinABAvaH "tR(tri)viDAd" yaTA uktAt hetoH "anyatraH" tad vyatirekiNI arTe
   "nāsti" | yato 'tra ca tṛ(tri)vidhe 'sti tādātmyatadutpattyoravinābhāvena	"nAsti" | yatas atra ca tR(tri)viDe asti tAdAtmya tad utpattyoH avinA aBAvena
   vyāptayorbhāvāt, kṛtakatvānityatvavadanayorvyāpyavyāpakabhāvāditi	vyAptayoH BAvAt, kRtaka tva anitya tva vadanayoH vyApi avyApaka BAvAt iti
   "tasmādatraiva" trividhe hetau tadanyatrābhāvamukhena "niyataḥ" ucyate |	"tasmAt atra eva" triviDe hetO tad anyatra aBAva muKena "niyataH" ucyate |
   tadanena "hetvābhāsāstato 'pare" ityasya "avinābhāvaniyamāt"	tat anena "hetvABAsAH tatas apare" iti asya "avinA aBAva niyamAt"
   ityupapattisahitasyārthaḥ pradarśitaḥ | yathā ca trividhād	iti upapatti sahitasya arTaH pradarSitaH | yaTA ca triviDAt 
   hetoranyatrāvinābhāvo nāsti tathā prāgevoktam |	hetoH anyatra AvinABAvaH na asti taTA prAk eva uktam |
   (Hbṭ 56)	(Hbj 56)
   yadi vā svabhāvādanyo 'rtho 'rthāntaram, tacca kāryādapyanyat	yadi vA svaBAvAt anyaH arTaH arTa antaram, tat ca kAryAt api anyat
   kāraṇamanubhayaṃ vā | anupalabdherapyanyad yathoktāyāḥ	kAraNam anuBayam vA | anupalabDeH api anyat yaTA uktAyAH
   anupalabdhimātramupalabdhirvā pratiṣedhyasya tadanyasyāpi	anupalabDi mAtram upalabDiH vA pratizeDyasya tad anyasya api
   viruddhasyāviruddhasya vā | tatrārthāntaram yadyanantarakāryaṃ	virudDasya avirudDasya vA | tatra arTa antaram yadi anantara kAryam
   tasyārvāgdarśibhiḥ itaravivekena lakṣayitumaśakyatvāt aliṅgatvam |	tasya arvAk darSiBiH itara vivekena lakzayitum aSakya tvAt aliFga tvam |
   kāryadarśanāt vivekāvasāye 'pi sādhyasidyuttarakālabhāvī	kArya darSanAt viveka avasAye api sADya sidyuttara kAla BAvI
   pakṣadharmatāvasāyo 'nvayānugamanaṃ ca vyarthaṃ | vyavahitakāryamapi	pakza DarmatAvasAyaH anvaya anugamanam ca vyarTam | vyavahita kAryam api
   kāraṇaṃ na kāryasya liṅgam, antarālapratibandhavaikalyasambhavena	kAraNam na kAryasya liFgam, antarAla pratibanDa vEkalya samBavena
   vyabhicārāt | taduktam 	vyaBicArAt | tat uktam 
   "sāmagrīphalaśaktīnāṃ pariṇāmānubandhini |	"sAmagrI Pala SaktInAm pariNAma anubanDini |
   anaikāntikatā kārye pratibandhasya sambhavāt" ||	anEkAntika tA kArye pratibanDasya samBavAt" ||
   iti | yogyatānumāne tu nārthāntaraṃ liṅgam |	iti | yogyatA anumAne tu na arTa antaram liFgam |
   nāpyanubhayam, apratibandhena gamakatvāyogāt | kathaṃ kṛttikodayavijñānād	na api anuBayam, apratibanDena gamakatva ayogAt | kaTam kRttikA udaya vijQAnAt 
   rohiṇyāsattiklṛptiḥ? iti cet | nanu sāpi naivāsati pratibandhe yuktā	rohiNI A sat tiklRptiH? iti ced | nanu sA api na eva asati pratibanDe yuktA
   viśeṣābhāvena sarvataḥ sarvapratītiprasaṅgāt ityuktatvāt |	viSeza aBAvena sarvatas sarva pratIti prasaFgAt iti ukta tvAt |
   tasmānnakṣatracakrasya saṅkrāntihetureva kālavyavadhānena kaścit	tasmAt nakzatra cakrasya saFkrAnti hetuH eva kAla vyavaDAnena kaScid 
   kalpayitavyaḥ, yathā bhūtasaṃkṣobhaḥ paścātkālabhāvino varṣasyeti	kalpayitavyaH, yaTA BUta saMkzoBaH paScAt kAla BAvinaH varzasya iti
   hetudharmānumānena kāryaliṅgajaiva kalpayitavyā |	hetu Darma anumAnena kArya liFga jA eva kalpayitavyA |
   anupalabdhimātramapi saṃśayahetuḥ, pramāṇanivṛttāvapyarthābhāvāsiddheḥ |	anupalabDi mAtram api saMSaya hetuH, pramANa nivRttO= api arTa aBAva asidDeH |
   upalabdhirapi pratiṣedhyasya kathamabhāvaṃ sādhayet?,	upalabDiH api pratizeDyasya kaTam aBAvam sADayet?,
   abhrāntopalambhasyābhāvāyogāt | viruddhopalabdhistu pratiyogyabhāvaṃ	aBrAnta upalamBasya aBAva ayogAt | virudDa upalabDiH tu pratiyogi aBAvam
   sādhayati | kintu sa virodhastadbhāve satyanyānupalambhādeva siddha iti	sADayati | kintu sa viroDaH tad BAve sati anya anupalamBAt eva sidDaH iti
   taddvāreṇānupalabdhireva prayuktā bhavati |	tad dvAreNa anupalabDiH eva prayuktA Bavati |
   anyathāniṣiddhopalabdherabhāvāsiddheḥ | aviruddhopalabdhiḥ punaḥ	anyaTA nizidDa upalabDeH aBAva asidDeH | avirudDa upalabDiH punar 
   pratiṣedhe 'naikāntikī, sahabhāvasambhavādaviruddhānām | na cāparaḥ	pratizeDe anEkAntikI, sahaBAva samBavAt avirudDAnAm | na ca aparaH
   prakāraḥ sambhavatīti nāvinābhāvo 'nyatra vidyata iti |	prakAraH samBavati iti nAvinA aBAvaH anyatra vidyate iti |
   (Hbṭ 57)	(Hbj 57)
   [2. svabhāvahetunirūpaṇam |]	[2. svaBAva hetu nirUpaNam |]
   [1. svabhāvahetorlakṣaṇābhidhānam |]	[1. svaBAva hetoH lakzaNa aBiDAnam |]
   idānīṃ svabhāvahetostāvallakṣaṇamāha  "tatra" hetutraye	idAnIm svaBAva hetoH tAvat lakzaNam Aha "tatra" hetu traye
   svabhāvahetostāvallakṣaṇamucyate | sādhyate yena tat sādhanam | taccāsau	svaBAva hetoH tAvat lakzaNam ucyate | sADyate yena tat sADanam | tat ca asO
   dharmaśca tasya bhāvastadbhāvaḥ | sa eva "sādhanadharmabhāvamātra"m |	DarmaH ca tasya BAvaH tad BAvaH | saH eva "sADana Darma BAva mAtra"m |
   tasya "anvayaḥ" | sa yasyāsti sādhyadharmasyāvayave samudāyopacārāt,	tasya "anvayaH" | sa yasya asti sADya Darmasya avayave samudAya upacArAt,
   tasmin | "svabhāvo hetuḥ" | sādhyadharmasya śrutatvāt tasyaiva svabhāva	tasmin | "svaBAvaH hetuH" | sADya Darmasya Sruta tvAt tasya eva svaBAva
   iti gamyate | kathaṃ punarasau sādhyadharmasvabhāvo? yāvatā bhedena	iti gamyate | kaTam punar asO sADya Darma svaBAvo? yAvatA Bedena
   pratīyata ityata āha  "aparasmādaparasmācca" asato 'kṣaṇikācca yā	pratIyate iti atas Aha "aparasmAt aparasmAt ca" asataH akzaNikAt ca yA
   "vyāvṛtti"stasyā yo "bhedaḥ" avadhibhedopakalpitastena hetubhūtena	"vyAvRtti"H tasyAH yaH "BedaH" avaDi Beda upakalpitaH tena hetu BUtena
   "sādhyadharmāt sādhanadharmasya" yo "bheda"stasmin "satyapi" "vastutaḥ"	"sADya DarmAt sADana Darmasya" yaH "Beda"H tasmin "sati api" "vastutaH"
   paramārthato "liṅgasvabhāva eva" sādhyadharmasvabhāva eva | tathā hi  ya	paramArTataH "liFga svaBAvaH eva" sADya Darma svaBAvaH eva | taTA hi ya
   evāsato vyāvṛttaḥ sa evākṣaṇikādapi | tata ekasmād dharmiṇo bhedābhāvāt	eva asataH vyAvRttaH saH eva akzaNikAt api | tatas ekasmAt DarmiNaH Beda aBAvAt
   sādhyasādhanadharmāvapi paramārthato naiva bhidyete iti |	sADya sADana DarmO= api paramArTataH na eva Bidyete iti |
   [2. paramatanirāsārthaṃ sādhyadharme sādhanadharmabhāvamātretyādiviśeṣaṇam	[2. para mata nirAsa arTam sADya Darme sADana Darma BAva mAtrA ityAdi viSezaNam
   yadi vastuto liṅgisvabhāva eva sādhanadharmaḥ, tat kasmāt	yadi vastutas liFgi svaBAvaH eva sADana DarmaH, tat kasmAt 
   "sādhanadharmabhāvamātrānvayini" iti sādhyadharmo viśeṣyate? | yo hi yasya	"sADana Darma BAva mAtra anvayini" iti sADya DarmaH viSezyate? | yaH hi yasya
   svabhāvaḥ sa kathaṃ tanmātrānvayī na syāt?,	svaBAvaH sa kaTam tanmAtra anvayI na syAt?,
   nīrūpatvaprasaṅgādatatsvabhāvatā vā ityata āha  hetuḥ svabhāvo yasya	nIrUpa tva prasaFgAt atad svaBAva tA vA iti atas Aha hetuH svaBAvaH yasya
   sādhyadharmasya tasmin "hetusvabhāve" "sādhyadharme" sati	sADya Darmasya tasmin "hetu svaBAve" "sADya Darme" sati
   "anvayavyabhicārābhāvāt" sādhanadharmabhāvamātrasya yo 'nvayastasya	"anvaya vyaBicAra aBAvAt" sADana Darma BAva mAtrasya yaH anvayaH tasya
   vyabhicārābhāvāt | sambhave vyabhicāre ca viśeṣaṇaṃ yuktam | atra tu	vyaBicAra aBAvAt | samBave vyaBicAre ca viSezaNam yuktam | atra tu
   sambhava eva na vyabhicāra iti "viśeṣaṇamayuktameva | tathāpi"	samBavaH eva na vyaBicAraH iti "viSezaNam ayuktam eva | taTA api"
   svabhavahetulakṣaṇe kriyamāṇe yadetat "sādhyadharmasya" "tanmātrānvayena"	sva Bava hetu lakzaNe kriyamANe yat etat "sADya Darmasya" "tanmAtra anvayena"
   sādhanadharmabhāvamātrānugamanena viśeṣaṇaṃ "tat paramatāpekṣaṃ"	sADana Darma BAva mAtra anugamanena viSezaNam "tat parama tApekzaM"
   naiyāyikādīnāṃ vipratipattestanmatāpekṣaṃ na tu svamatāpekṣam |	nEyAyika AdInAm vipratipatteH tad mata apekzam na tu sva mata apekzam |
   (Hbṭ 58)	(Hbj 58)
   tāmeva paravipratipattiṃ darśayannāha  "pare hi" naiyāyikādayaḥ	tAm eva para vipratipattim darSayat = Aha "pare hi" nEyAyika AdayaH
   "arthāntaranimittaḥ" janakādarthādanyo yo 'rtho vegavaddravyayogādiḥ	"arTa antara nimittaH" janakAt arTAt anyaH yaH arTaH vegavat dravya yoga AdiH
   tannimittam | te hyevamāhuḥ  vegavaddravyayogādavayaveṣu karmāṇyutpadyante	tad nimittam | te hi evam AhuH vegavat dravya yogAt avayavezu karmANi utpadyante
   | tebhyo 'vayavavibhāgaḥ | tatastatsaṃyogavināśastadārabdhaṃ kāryadravye	| teByaH avayava viBAgaH | tatas tad saMyoga vinASaH tadA ArabDam kArya dravye
   'pi (kāryadravyamapi) naśyatīti | evamarthāntaraṃ nimittaṃ | tata eva	api (kArya dravyam api) naSyati iti | evam arTa antaram nimittam | tatas eva
   "arthāntaranimittapekṣamāṇaṃ" kṛtakatvādibhāve 'pyabhāvād	"arTa antara nimitta pekzamANaM" kRtaka tva Adi BAve api aBAvAt 
   "atadbhāvamātrānvayinaṃ" tasya kṛtakatvādeḥ bhāvaḥ sattā saiva tanmātraṃ	"atadBAva mAtra anvayinan" tasya kRtaka tva AdeH BAvaH sattA sA eva tanmAtram
   tasyānvayaḥ sa yasyāsti sādhyadharmasya anityatvalakṣaṇasya tadviparītam	tasya anvayaH sa yasya asti sADya Darmasya anitya tva lakzaNasya tad viparItam
   "api" kṛtakatvādeḥ "svabhāvamicchanti" yataḥ tato viśeṣaṇaṃ kṛtam | tena	"api" kRtaka tva AdeH "svaBAvam icCanti" yatas tatas viSezaNam kRtam | tena
   ca viśeṣaṇena tathāvidhasyārthāntaranimittasya vināśasyātatsvabhāvatāmāha	ca viSezaNena taTAviDasya arTa antara nimittasya vinASasya atad svaBAvatAm Aha
   lakṣaṇe viśeṣaṇakāraḥ | svasattāmātrabhāvinyeva svabhāvatvaṃ nānyatreti	lakzaNe viSezaNa kAraH | sva sattA mAtra BAvini eva svaBAva tvam na anyatra iti
   viśeṣaṇena sūcanāt |	viSezaNena sUcanAt |
   [3. hetumati vināśe sādhye kṛtakatvasya vyabhicāritvam |]	[3. hetumati vinASe sADye kRtaka tvasya vyaBicAri tvam |]
   tathā, "tasmin" arthāntaranimitte sādhye "hetoḥ" kṛtakatvādeḥ	taTA, "tasmin" arTa antara nimitte sADye "hetoH" kRtaka tva AdeH
   vyabhicāramanaikāntikatāṃ cāha | atrodāharaṇaṃ "yathā hetumati vināśe"	vyaBicAram anEkAntika tAm ca Aha | atra udAharaNam "yaTA hetumati vinASe"
   sādhye "kṛtakatvasya" hetoḥ "atatsvabhāvatā vyabhicāraśceti" |	sADye "kRtaka tvasya" hetoH "atatsvaBAva tA vyaBicAraH ceti" |
   nanu ca kṛtakatvasvabhāvatā anityatāyā bhedopagamāt neṣṭaiva paraistat	nanu ca kRtaka tva svaBAva tA anitya tAyAH Beda upagamAt na izwA eva parEH tat 
   kimucyate  "atadbhāvamātrānvayinamapi svabhāvamicchanti" iti? | evaṃ	kim ucyate "atadBAva mAtra anvayinam api svaBAvam icCanti" iti? | evam
   manyate  vyatiriktāvapi kṛtakatvānityatvākhyau	manyate vyatiriktO= api kRtaka tva anitya tva AKyO
   dharmāvabhyupagacchadbhiravaśyam ‘abhūtvā bhavanaṃ bhūtvā	DarmO= aByupagacCadBiH avaSyam ‘aBUtvA Bavanam BUtvA
   cābhavanamanavasthāyisvabhāvatvam'; abhyupagantavyam, anyathātmādiṣvapi	ca aBavanam anavasTAyi svaBAva tvam a; aByupagantavyam, anyaTA Atma Adizu api
   kṛtakatvānityatve viśeṣābhāvād bhavetām | tato yadeva‘abhūtvā bhavanaṃ	kRtaka tva anitya tve viSeza aBAvAt BavetAm | tatas yat eva‘ aBUtvA Bavanam
   bhūtvā ['bhavanaṃ] cānavasthāyitvam'; upādīyate bhāvasya tayoreva	BUtvA [ aBavanaM] ca anavasTAyi tvam a; upAdIyate BAvasya tayoH eva
   taddarśanabalotpannakṛtakatvāniyatvabhedāvabhāsikalpanādvāreṇa	tad darSana bala utpanna kRtaka tva aniyatva Beda avaBAsi kalpanA dvAreNa
   sādhyasādhanabhāvo 'stu, kiṃ vyatiriktadharmakalpanayā? | kalpayitvāpi	sADya sADana BAvaH astu, kim vyatirikta Darma kalpanayA? | kalpayitvA api
   vastvātmana evārthakriyānibandhanatayā tadarthibhiḥ cintyatvāt | taduktam 	vastu AtmanaH eva arTa kriyA nibanDana tayA tad arTiBiH cintya tvAt | tat uktam 
   (Hbṭ 59)	(Hbj 59)
   "sadasatpakṣabhedena śabdārthānapavādibhiḥ |	"sat asat pakza Bedena Sabda arTAnapavAdiBiH |
   vastveva cintyate hyatra pratibaddhaḥ phalodayaḥ ||	vastu eva cintyate hi atra pratibadDaH Pala udayaH ||
   arthākriyāsamarthasya vikā(cā)raiḥ kiṃ tadarthinām? |	arTa akriyA samarTasya vikA( cA)rEH kim tad arTi nAm? |
   ṣaṇḍhasya rūpavairūpye kāminyāḥ kiṃ parīkṣayā? ||"	zaNXasya rUpa vErUpye kAminyAH kim parIkzayA? ||"
   iti | tasmād dṛṣṭā api bhāvāḥ kenacidātmanā tadanyavyāvṛttena	iti | tasmAt dRzwAH api BAvAH kenacid AtmanA tad anya vyAvRttena
   kathañcinniścitāḥ tadanyenāpyatadrūpavyāvṛttenātmanā	kaTaQcid niScitAH tad anyena api atad rUpa vyAvRttena AtmanA
   bhrāntikāraṇasadbhāvādaniścīyamānāḥ, niścitāniścitayo rūpayoḥ	BrAnti kAraNa sadBAvAt aniScIyamAnAH, niScitA niScitayaH rUpayoH
   pramāṇāntarataḥ pratibandhāvasāyāpurovartino 'numānato niścīyate iti	pramANa antarataH pratibanDa avasAyA purovartinaH anumAnataH niScIyate iti
   anityatāsvabhāvabhūtasyaiva kṛtakatvasya vināśaṃ prati liṅgatā yuktā |	anitya tA svaBAva BUtasya eva kRtaka tvasya vinASam prati liFgatA yuktAH |
   tathā ca vināśasvabhāva eva kṛtakatvākhyo hetuḥ tairyathoktanyāyādiṣṭo	taTA ca vinASa svaBAvaH eva kRtaka tva AKyaH hetuH tEH yaTA ukta nyAya At izwo
   bhavati | tasyātanmātrānvayitve 'rthāntaranimittatayā	Bavati | tasya atanmAtra anvayitve arTa antara nimitta tayA
   viśeṣaṇenātatsvabhāvatā kathyate |	viSezaNena atad svaBAva tA kaTyate |
   syānmatam  kṛtakatvena sākṣad hetumān vināśo 'numīyate tataḥ	syAt matam kRtaka tvena sAkzat hetumAn vinASaH anumIyate tatas 
   prākpradhvaṃsābhavaviśeṣaṇā sattā tatsamavāyo vānityatā vyavasthāpyate |	prAc praDvaMsA Bava viSezaNA sattA tad samavAyaH vA anitya tA vyavasTApyate |
   ata evātmādiṣvanityatāprasaṅgābhāvaḥ | vināśa iti ca na bhāvābhāvaṃ	atas eva Atma Adizu anitya tA prasaFga aBAvaH | vinASaH iti ca na BAva aBAvam
   pradhvaṃsalakṣaṇaṃ manyāmahe | kṛtakatvaṃ tu svakāraṇasattāsamavāyam |	praDvaMsa lakzaNam manyAmahe | kRtaka tvam tu sva kAraNa sattA samavAyam |
   tasya viśeṣaṇena vināśo 'sva(śāsva)bhāvatākhyāpane na kiñcidaniṣṭamiti |	tasya viSezaNena vinASaH asva(SAsva) BAvatA KyApane na kiQcid anizwam iti |
   tadayuktam, tathāvidhasya vināśasya hetumattāvirodhāt, svayameva	tat ayuktam, taTAviDasya vinASasya hetumatta aviroDAt, svayam eva
   caitadācāryo vakṣyati | na ca tenānumitena kiñcit,	ca etat AcAryaH vakzyati | na ca tena anumitena kiQcit,
   tasyārthakriyāsāmarthyavikalatvāt | sukhaduḥsvasādhane jñātvā yathārhaṃ	tasya arTa kriyA sAmarTya vikala tvAt | suKa duHsva sADane jQAtvA yaTArham
   pratipitsavo hi kiñcit parīkṣante na vyasanitayā |	pratipitsavaH hi kiQcid parIkzante na vyasani tayA |
   tasmādanenāsthirasvabhāvataiva bhāvasyānumātavyā | saiva ca hetumatī (Hbṭ	tasmAt anena asTira svaBAva tA eva BAvasya anumAtavyA | sA eva ca hetumatI (H bw
   60) kalpanīyā | anyathā bhāvāvilakṣaṇasya pradhvaṃsābhāvasya	60) kalpanIyAH | anyaTA BAva avilakzaNasya praDvaMsa aBAvasya
   mugdarāderudaye 'pi tasya bhāve 'nupayogāt sa bhāvastadavastha eveti	mugdara AdeH udaye api tasya BAve anupayogAt sa BAvaH tad avasTaH eva iti
   kathaṃ tadviśeṣaṇā sattā tatsamavāyo vā anityatā syāt? | avicalitarūpasya	kaTam tad viSezaNA sattA tad samavAyaH vA anitya tA syAt? | avicalita rUpasya
   ca bhāvasya mugdarādikṛtapradhvaṃsābhāvaviśeṣaṇau sattāsamavāyau	ca BAvasya mugdara Adi kRta praDvaMsa aBAva viSezaNO sattA samavAyO
   yadyanityatā, kiṃ nātmāderapi? iti prasaṅga tadavastha eva |	yadi anitya tA, kim na Atma AdeH api? iti prasaFga tad avasTaH eva |
   svakāraṇasamavāyo 'pi cābhūtvā bhavanamanicchato na sidhyati | abhūtvā	sva kAraNa samavAyaH api ca aBUtvA Bavanam anicCataH na siDyati | aBUtvA
   bhavata eva ca yā sattā saiva kṛtakatvaṃ varṇyate | na ca	BavataH eva ca yA sattA sA eva kRtaka tvam varNyate | na ca
   sattāsamavāyayornityatayopagatayorniratiśayatvāt prākpradhvaṃsābhāvau	sattA samavAyayoH nitya tayA upagatayoH niratiSaya tvAt prAc praDvaMsa aBAvO
   viśeṣaṇaṃ yujyete | abhūtvā bhavanopagame ca tadeva	viSezaNam yujyete | aBUtvA Bavana upagame ca tat eva
   kṛtakatvamasthirasvabhāvatā ca vināśo 'stu | kiṃ niṣphalayā apramāṇikayā	kRtaka tvam asTira svaBAva tA ca vinASaH astu | kim nizPalayA apramANikayA
   pramāṇabadhitaya'rthāntarakalpanayā? | evaṃ	pramANa baDitaya arTa antara kalpanayA? | evam
   kṛtakatvavināśayostādātmyopagamo 'vaśyambhāvī pareṣāmapi | tato	kRtaka tva vinASayoH tAdAtmya upagamaH avaSyamBAvI parezAm api | tatas 
   vināśasyāsthāyitvalakṣaṇasyārthāntaranimittatopagame	vinASasya AsTAyitva lakzaNasya arTa antara nimitta tA upagame
